
[00:00:00.000 --> 00:00:10.000]   [SOUND]
[00:16:33.160 --> 00:16:37.840]   they give how much they put into their 403(b) and 457.
[00:16:37.840 --> 00:16:41.840]   Also have two rental properties that are not in California, and
[00:16:41.840 --> 00:16:44.120]   200,000 in brokerages and savings.
[00:16:44.120 --> 00:16:48.360]   Should my pension be treated like the bonds in my retirement portfolio, and
[00:16:48.360 --> 00:16:51.360]   should I put 100% of my other retirement investments in an index fund?
[00:16:51.360 --> 00:16:55.360]   >> First of all, this person is in a good position, obviously,
[00:16:55.360 --> 00:16:56.360]   to actually have a pension.
[00:16:56.360 --> 00:16:58.080]   Not many people have that.
[00:16:58.080 --> 00:16:59.560]   My brother works for the government.
[00:16:59.560 --> 00:17:02.040]   I think the only reason he's staying in that job is because he's gonna get
[00:17:02.040 --> 00:17:04.120]   a pension in his 50s.
[00:17:04.120 --> 00:17:05.160]   It really- >> Makes sense.
[00:17:05.160 --> 00:17:07.520]   >> Yeah, this person put a dollar value on it.
[00:17:07.520 --> 00:17:08.600]   They didn't tell us how much they're gonna get.
[00:17:08.600 --> 00:17:12.800]   But how does having that income stream change things if someone comes to you
[00:17:12.800 --> 00:17:14.120]   from a financial planning perspective?
[00:17:14.120 --> 00:17:15.960]   They say, all right, here's my portfolio, and
[00:17:15.960 --> 00:17:17.280]   then I have this income stream on top of it.
[00:17:17.280 --> 00:17:20.000]   What does that do to your ability or need to take risk?
[00:17:20.000 --> 00:17:25.960]   >> Ben, in 15 years of doing this, anyone I've seen come through the door who's got
[00:17:25.960 --> 00:17:30.600]   a pension as part of the financial plan is infinitely more comfortable
[00:17:30.600 --> 00:17:33.040]   from their own perspective on their finance.
[00:17:33.040 --> 00:17:34.440]   It doesn't matter how many millions they have.
[00:17:34.440 --> 00:17:36.480]   It doesn't matter what else they've gone on.
[00:17:36.480 --> 00:17:39.920]   Knowing that there's a pension, if it's coming from, if it's a state pension,
[00:17:39.920 --> 00:17:42.400]   if it's a teacher pension, if it's coming from a solid company.
[00:17:42.400 --> 00:17:45.360]   Obviously, like you said, there just aren't many of these left.
[00:17:45.360 --> 00:17:47.280]   So that's a small group of people.
[00:17:47.280 --> 00:17:50.120]   But for those who are fortunate enough to be in that position,
[00:17:50.120 --> 00:17:52.200]   it changes the entire game.
[00:17:52.200 --> 00:17:56.240]   Now, when you're thinking about like bucketing out what that pension serves
[00:17:56.240 --> 00:18:00.240]   versus like any other investments you have, the only way to answer that question is
[00:18:00.240 --> 00:18:02.840]   to look at it through what your actual need is, right?
[00:18:02.840 --> 00:18:07.560]   So if you've covered, if he's covered his basic spending need with a pension,
[00:18:07.560 --> 00:18:10.520]   that makes everything else a little more creative, right?
[00:18:10.520 --> 00:18:13.040]   Like you can look at it from a goal to goal perspective.
[00:18:13.040 --> 00:18:15.240]   So I don't think it's binary, is what I'm saying.
[00:18:15.240 --> 00:18:16.960]   I don't think it's, all right, I have the pension figured out.
[00:18:16.960 --> 00:18:21.320]   Let's like, let's just jam the pedal to the floor with the rest of the stuff.
[00:18:21.320 --> 00:18:23.040]   - Right, it could mean that you take less risk, right?
[00:18:23.040 --> 00:18:24.960]   Because you have that pension, you don't need to take as much risk.
[00:18:24.960 --> 00:18:27.200]   So it like, it's kind of like both sides, right?
[00:18:27.200 --> 00:18:31.120]   - It's a matter of looking at through the lens of what do you want to have happen?
[00:18:31.120 --> 00:18:34.000]   I mean, this is a 40 year old, again, longevity, right?
[00:18:34.000 --> 00:18:37.680]   If the pension is going to be there to supply the basic living expense,
[00:18:37.680 --> 00:18:41.400]   and you don't have to, you know, take risks to cover your needs,
[00:18:41.400 --> 00:18:45.520]   then it's a matter of thinking through what exactly you want to do with the excess
[00:18:45.520 --> 00:18:47.120]   before you can answer that question.
[00:18:47.120 --> 00:18:49.440]   You know, what are the planning needs you're solving for?
[00:18:49.440 --> 00:18:52.880]   Not simply, well, this is covered, let's invest in all stocks.
[00:18:52.880 --> 00:18:55.560]   - Yeah, and does it even open you up to the fact that like,
[00:18:55.560 --> 00:18:59.280]   this pension allows me to like, invest for the next generation?
[00:18:59.280 --> 00:19:01.600]   Like, you could be taking more risk because, yeah,
[00:19:01.600 --> 00:19:04.080]   maybe you're investing for years or whatever.
[00:19:04.080 --> 00:19:07.000]   All right, Chris, we got one question actually from the chat here.
[00:19:07.000 --> 00:19:10.320]   Casey asks, and this is like asking a barber, do I need a haircut?
[00:19:10.320 --> 00:19:13.440]   Casey says like, how do I know if I need a financial planner?
[00:19:13.440 --> 00:19:15.360]   Like, what are some of the reasons people come to us
[00:19:15.360 --> 00:19:16.200]   because they need help?
[00:19:16.200 --> 00:19:17.440]   Like, what are some of the main reasons?
[00:19:17.440 --> 00:19:26.680]   - I think the easiest way to look at that is we're helping people make better decisions.
[00:19:26.680 --> 00:19:30.520]   You know, we're not here, and we being financial planners universally,
[00:19:30.520 --> 00:19:31.720]   right, not just at Riddell 12.
[00:19:31.720 --> 00:19:35.520]   Like, universally, financial planners are there literally to help people make
[00:19:35.520 --> 00:19:39.880]   decisions that are not only more well-informed, but without, like,
[00:19:39.880 --> 00:19:43.240]   all the baggage of that, you know, oh, my God, am I doing the right thing?
[00:19:43.240 --> 00:19:46.160]   You know, oh, my God, did I just like screw up my future?
[00:19:46.160 --> 00:19:47.800]   And that's the lens you have to look at that through.
[00:19:47.800 --> 00:19:52.600]   Do you have a situation where decisions in front of you are being made, you know,
[00:19:52.600 --> 00:19:55.280]   like, either on the fly or really uncomfortably?
[00:19:55.280 --> 00:19:58.480]   And if that's the case, then absolutely, start talking to someone.
[00:19:58.480 --> 00:19:59.200]   Why not?
[00:19:59.200 --> 00:20:00.320]   You know, at least do...
[00:20:00.320 --> 00:20:03.320]   I can't think of someone who's going to charge for an initial consultation.
[00:20:03.320 --> 00:20:06.440]   You know, sit down with the firm that you're comfortable with and, you know,
[00:20:06.440 --> 00:20:10.680]   see if the questions that you're faced with are actually, you know,
[00:20:10.680 --> 00:20:13.600]   of detriment to you in the future.
[00:20:13.600 --> 00:20:16.680]   So to put that in a box is really difficult, right?
[00:20:16.680 --> 00:20:21.080]   To say, well, you have to be this age and have this many assets or whatever.
[00:20:21.080 --> 00:20:26.360]   You know, I just think it's as simple as, are your future decisions or near-term
[00:20:26.360 --> 00:20:28.840]   decisions stressing you out to the point where you think you're going to mess
[00:20:28.840 --> 00:20:29.920]   something up?
[00:20:29.920 --> 00:20:30.760]   - Right, yeah.
[00:20:30.760 --> 00:20:34.040]   Or do you just want to find a place with expertise in a bunch of different areas
[00:20:34.040 --> 00:20:36.800]   that can help you make better informed decisions, right?
[00:20:36.800 --> 00:20:41.160]   - Yeah, and that's really the value we're bringing is, like, as planners is,
[00:20:41.160 --> 00:20:45.200]   you know, hey, I want to make sure, like, these questions here, hey,
[00:20:45.200 --> 00:20:49.720]   how should I view my pension in light of the fact that I've also got 457s
[00:20:49.720 --> 00:20:50.480]   and 401(k) accounts?
[00:20:50.480 --> 00:20:52.560]   Well, what are they for, right?
[00:20:52.560 --> 00:20:53.760]   I don't, you know, I don't think it's...
[00:20:53.760 --> 00:20:56.800]   I think most of these decisions aren't binary.
[00:20:56.800 --> 00:21:01.600]   - Do the flows of inquiries go up with market volatility, typically,
[00:21:01.600 --> 00:21:03.080]   for financial advisors?
[00:21:03.080 --> 00:21:04.880]   - Absolutely, absolutely.
[00:21:04.880 --> 00:21:09.000]   - I think especially from people who have advisors that don't have a plan,
[00:21:09.000 --> 00:21:12.160]   like we see that, and also people who have been doing it themselves and they go,
[00:21:12.160 --> 00:21:15.920]   "Okay, I've amassed enough wealth that I don't want to mess this up now and I don't
[00:21:15.920 --> 00:21:17.200]   have as much time as I used to have," right?
[00:21:17.200 --> 00:21:18.960]   Like, those are the things that we definitely see.
[00:21:18.960 --> 00:21:21.120]   - And that's true at any asset level.
[00:21:21.120 --> 00:21:24.440]   You know, I've heard all too often people with significant amounts of money,
[00:21:24.440 --> 00:21:25.520]   "Oh, I don't need a financial plan."
[00:21:25.520 --> 00:21:26.280]   Well, what do you mean?
[00:21:26.280 --> 00:21:27.720]   You've got everything figured out.
[00:21:27.720 --> 00:21:30.760]   You know the direction of all of these assets as long as your lifestyle is
[00:21:30.760 --> 00:21:31.260]   covered.
[00:21:31.260 --> 00:21:34.880]   Like, that's 99% of the time when you turn that question around on someone,
[00:21:34.880 --> 00:21:36.280]   it's like, "Well, no, I didn't think of that."
[00:21:36.280 --> 00:21:36.780]   - Yeah.
[00:21:36.780 --> 00:21:38.340]   I mean, like, if it's not fun anymore, right?
[00:21:38.340 --> 00:21:40.400]   Like, my Robin Hood's no longer fun, you know?
[00:21:40.400 --> 00:21:40.900]   - Yeah.
[00:21:40.900 --> 00:21:43.660]   - It used to be fun, and now it's not.
[00:21:43.660 --> 00:21:45.140]   - Duncan needs a consultation, Chris.
[00:21:45.140 --> 00:21:45.780]   All right.
[00:21:45.780 --> 00:21:47.340]   Next week, we are off.
[00:21:47.340 --> 00:21:51.740]   I'm taking the family, my wife, three kids, the in-laws, all going to Disney.
[00:21:51.740 --> 00:21:54.700]   Duncan, you're a Disney guy, what are my tips here?
[00:21:54.700 --> 00:21:56.580]   - Oh, I mean, I always like the pools.
[00:21:56.580 --> 00:21:57.540]   I'd hang out at the pools.
[00:21:57.540 --> 00:21:59.260]   Epcot, World Showcase.
[00:21:59.260 --> 00:22:00.700]   - Yeah, a pool sounds great to me.
[00:22:00.700 --> 00:22:04.140]   Yeah, I'd much rather be in a pool than waiting in line all day.
[00:22:04.140 --> 00:22:07.620]   Remember, if you have some thoughts on any of the questions here today,
[00:22:07.620 --> 00:22:11.300]   leave a comment for us on YouTube, have a question for the show,
[00:22:11.300 --> 00:22:13.900]   askthecompoundshow@gmail.com.
[00:22:13.900 --> 00:22:16.920]   Duncan, are we doing a ticker yet for 100,000 subscribers?
[00:22:16.920 --> 00:22:18.300]   Like, the national debt level in the country?
[00:22:18.300 --> 00:22:19.540]   - Yeah, we're getting real close.
[00:22:19.540 --> 00:22:20.340]   We're getting real close.
[00:22:20.340 --> 00:22:21.620]   But, yeah, share with your friends.
[00:22:21.620 --> 00:22:22.900]   Let's get to 100,000.
[00:22:22.900 --> 00:22:26.760]   - If you liked Chris's compound hoodie today, go to idontshop.com.
[00:22:26.760 --> 00:22:28.460]   Again, we're off next week.
[00:22:28.460 --> 00:22:29.780]   I'm in Disney.
[00:22:29.780 --> 00:22:31.380]   I'm going to be waiting in lines.
[00:22:31.380 --> 00:22:32.260]   It's going to be hot and sticky.
[00:22:32.260 --> 00:22:34.340]   I just can't wait, Duncan.
[00:22:34.340 --> 00:22:36.100]   We'll be back in two weeks.
[00:22:36.100 --> 00:22:37.060]   Thanks, everyone.
[00:22:37.060 --> 00:22:37.560]   - See ya.
[00:22:38.520 --> 00:22:41.880]   [MUSIC PLAYING]
[00:22:41.880 --> 00:22:45.240]   [MUSIC PLAYING]
[00:22:45.240 --> 00:22:47.820]   (upbeat music)
[00:22:47.820 --> 00:22:49.880]   you

