
[00:00:00.040 --> 00:00:09.360]   additionally
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:22:30.760]   I was here at Austin, wanted dinner with a group
[00:22:30.760 --> 00:23:00.780]   I was here at Austin, wanted dinner with a group
[00:23:00.780 --> 00:23:00.780]   I was here at Austin, wanted dinner with a group
[00:23:00.780 --> 00:23:00.780]   I was here at Austin, wanted dinner with a group
[00:23:00.780 --> 00:23:00.780]   I was here at Austin, wanted dinner with a group
[00:23:00.780 --> 00:23:00.780]   I was here at Austin, wanted dinner with a group
[00:23:00.780 --> 00:23:00.780]   I was here at Austin, wanted dinner with a group
[00:23:00.780 --> 00:23:00.780]   I was here at Austin, wanted dinner with a group
[00:23:00.780 --> 00:23:00.780]   I was here at Austin, wanted dinner with a group
[00:23:00.780 --> 00:23:00.780]   I was here at Austin, wanted dinner with a group
[00:23:00.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:23:30.800]   I was here at Austin, wanted dinner with a group
[00:23:30.800 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.820 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.820 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.820 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.820 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.820 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.820 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.820 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.820 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.820 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.820 --> 00:24:00.820]   I was here at Austin, wanted dinner with a group
[00:24:00.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:24:30.840]   I was here at Austin, wanted dinner with a group
[00:24:30.840 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.860 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.860 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.860 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.860 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.860 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.860 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.860 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.860 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.860 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.860 --> 00:25:00.860]   I was here at Austin, wanted dinner with a group
[00:25:00.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:25:30.880]   I was here at Austin, wanted dinner with a group
[00:25:30.880 --> 00:26:00.900]   I was here at Austin, wanted dinner with a group
[00:26:00.900 --> 00:26:00.900]   I was here at Austin, wanted dinner with a group
[00:26:00.900 --> 00:26:00.900]   I was here at Austin, wanted dinner with a group
[00:26:00.900 --> 00:26:00.900]   I was here at Austin, wanted dinner with a group
[00:26:00.900 --> 00:26:00.900]   I was here at Austin, wanted dinner with a group
[00:26:00.900 --> 00:26:00.900]   I was here at Austin, wanted dinner with a group
[00:26:00.900 --> 00:26:00.900]   I was here at Austin, wanted dinner with a group
[00:26:00.900 --> 00:26:00.900]   I was here at Austin, wanted dinner with a group
[00:26:00.900 --> 00:26:00.900]   I was here at Austin, wanted dinner with a group
[00:26:00.900 --> 00:26:00.900]   I was here at Austin, wanted dinner with a group
[00:26:00.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.920 --> 00:26:30.920]   I was here at Austin, wanted dinner with a group
[00:26:30.960 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.940 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.940 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.940 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.940 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.940 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.940 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.940 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.940 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.940 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.940 --> 00:27:00.940]   I was here at Austin, wanted dinner with a group
[00:27:00.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:27:30.960]   I was here at Austin, wanted dinner with a group
[00:27:30.960 --> 00:28:00.980]   I was here at Austin, wanted dinner with a group
[00:28:00.980 --> 00:28:00.980]   I was here at Austin, wanted dinner with a group
[00:28:00.980 --> 00:28:00.980]   I was here at Austin, wanted dinner with a group
[00:28:00.980 --> 00:28:00.980]   I was here at Austin, wanted dinner with a group
[00:28:00.980 --> 00:28:00.980]   I was here at Austin, wanted dinner with a group
[00:28:00.980 --> 00:28:00.980]   I was here at Austin, wanted dinner with a group
[00:28:00.980 --> 00:28:00.980]   I was here at Austin, wanted dinner with a group
[00:28:00.980 --> 00:28:00.980]   I was here at Austin, wanted dinner with a group
[00:28:00.980 --> 00:28:00.980]   I was here at Austin, wanted dinner with a group
[00:28:00.980 --> 00:28:00.980]   I was here at Austin, wanted dinner with a group
[00:28:01.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:28:31.000]   I was here at Austin, wanted dinner with a group
[00:28:31.000 --> 00:29:01.020]   I was here at Austin, wanted dinner with a group
[00:29:01.020 --> 00:29:01.020]   I was here at Austin, wanted dinner with a group
[00:29:01.020 --> 00:29:01.020]   I was here at Austin, wanted dinner with a group
[00:29:01.020 --> 00:29:01.020]   I was here at Austin, wanted dinner with a group
[00:29:01.020 --> 00:29:01.020]   I was here at Austin, wanted dinner with a group
[00:29:01.020 --> 00:29:01.020]   I was here at Austin, wanted dinner with a group
[00:29:01.020 --> 00:29:01.020]   I was here at Austin, wanted dinner with a group
[00:29:01.020 --> 00:29:01.020]   I was here at Austin, wanted dinner with a group
[00:29:01.020 --> 00:29:01.020]   I was here at Austin, wanted dinner with a group
[00:29:01.020 --> 00:29:01.020]   I was here at Austin, wanted dinner with a group
[00:29:01.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.040 --> 00:29:31.040]   I was here at Austin, wanted dinner with a group
[00:29:31.080 --> 00:30:01.060]   I was here at Austin, wanted dinner with a group
[00:30:01.060 --> 00:30:01.060]   I was here at Austin, wanted dinner with a group
[00:30:01.060 --> 00:30:01.060]   I was here at Austin, wanted dinner with a group
[00:30:01.060 --> 00:30:01.060]   I was here at Austin, wanted dinner with a group
[00:30:01.060 --> 00:30:01.060]   I was here at Austin, wanted dinner with a group
[00:30:01.060 --> 00:30:01.060]   I was here at Austin, wanted dinner with a group
[00:30:01.060 --> 00:30:01.060]   I was here at Austin, wanted dinner with a group
[00:30:01.060 --> 00:30:01.060]   I was here at Austin, wanted dinner with a group
[00:30:01.060 --> 00:30:01.060]   I was here at Austin, wanted dinner with a group
[00:30:01.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:30:31.080]   I was here at Austin, wanted dinner with a group
[00:30:31.080 --> 00:31:01.100]  , I was here at Austin, wanted dinner with a group
[00:31:01.100 --> 00:31:01.100]   I was here at Austin, wanted dinner with a group
[00:31:01.100 --> 00:31:01.100]   I was here at Austin, wanted dinner with a group
[00:31:01.100 --> 00:31:01.100]   I was here at Austin, wanted dinner with a group
[00:31:01.100 --> 00:31:01.100]   I was here at Austin, wanted dinner with a group
[00:31:01.100 --> 00:31:01.100]   I was here at Austin, wanted dinner with a group
[00:31:01.100 --> 00:31:01.100]   I was here at Austin, wanted dinner with a group
[00:31:01.100 --> 00:31:01.100]   I was here at Austin, wanted dinner with a group
[00:31:01.100 --> 00:31:01.100]   I was here at Austin, wanted dinner with a group
[00:31:01.100 --> 00:31:01.100]   I was here at Austin, wanted dinner with a group
[00:31:01.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:31:31.120]   I was here at Austin, wanted dinner with a group
[00:31:31.120 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.140 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.140 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.140 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.140 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.140 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.140 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.140 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.140 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.140 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.140 --> 00:32:01.140]   I was here at Austin, wanted dinner with a group
[00:32:01.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:32:31.160]   I was here at Austin, wanted dinner with a group
[00:32:31.160 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.180 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.180 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.180 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.180 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.180 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.180 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.180 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.180 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.180 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.180 --> 00:33:01.180]   I was here at Austin, wanted dinner with a group
[00:33:01.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.200 --> 00:33:31.200]   I was here at Austin, wanted dinner with a group
[00:33:31.240 --> 00:34:01.220]   I was here at Austin, wanted dinner with a group
[00:34:01.220 --> 00:34:01.220]   I was here at Austin, wanted dinner with a group
[00:34:01.220 --> 00:34:01.220]   I was here at Austin, wanted dinner with a group
[00:34:01.220 --> 00:34:01.220]   I was here at Austin, wanted dinner with a group
[00:34:01.220 --> 00:34:01.220]   I was here at Austin, wanted dinner with a group
[00:34:01.220 --> 00:34:01.220]   I was here at Austin, wanted dinner with a group
[00:34:01.220 --> 00:34:01.220]   I was here at Austin, wanted dinner with a group
[00:34:01.220 --> 00:34:01.220]   I was here at Austin, wanted dinner with a group
[00:34:01.220 --> 00:34:01.220]   I was here at Austin, wanted dinner with a group
[00:34:01.260 --> 00:34:31.240]   неведom. I was here at Austin, wanted dinner with a group
[00:34:31.240 --> 00:34:31.240]   The first principles of physics
[00:34:31.240 --> 00:34:31.240]   The first principles of physics
[00:34:31.240 --> 00:34:31.240]   The first principles of physics
[00:34:31.240 --> 00:34:31.240]   involve things like, well, humans drive
[00:34:31.240 --> 00:34:31.240]   involve things like, well, humans drive with only visual input.
[00:34:31.240 --> 00:34:31.240]   They don't have radar. They don't have LIDAR. They don't have sonar.
[00:34:31.240 --> 00:34:31.240]   There is no reason in the laws of physics that make it so that vision only won't be successful in creating self-driving. Now, that becomes an article of faith to him, and he gets a lot of pushback.
[00:34:31.240 --> 00:34:31.240]   Now, that becomes an article of faith to him, and he gets a lot of pushback. But now, and he
[00:34:31.240 --> 00:35:01.260]   Nevadis have been the first principles of getting rid of unnecessary things. Now, you would think LIDAR, why not use it like why not use a crush is like, yeah, we can do things vision only, but when I look at the stars at night, I use a telescope to well, you could use LIDAR, but you can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:01.260 --> 00:35:01.260]   You can use a telescope, but you can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:01.260 --> 00:35:01.260]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:01.260 --> 00:35:01.260]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:01.260 --> 00:35:01.260]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:01.300 --> 00:35:31.280]  ,
[00:35:31.280 --> 00:35:31.280]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:31.280 --> 00:35:31.280]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:31.280 --> 00:35:31.280]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:31.280 --> 00:35:31.280]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:31.280 --> 00:35:31.280]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:31.280 --> 00:35:31.280]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:31.280 --> 00:35:31.280]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:31.280 --> 00:35:31.280]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:35:31.300 --> 00:36:01.300]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:36:01.300 --> 00:36:01.300]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:36:01.300 --> 00:36:01.300]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:36:01.300 --> 00:36:01.300]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:36:01.300 --> 00:36:01.300]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:36:01.300 --> 00:36:01.300]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:36:01.300 --> 00:36:01.300]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:36:01.300 --> 00:36:01.300]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:36:01.300 --> 00:36:01.300]   You can't do millions of cars that way at scale at a certain point, you have to make it.
[00:36:01.340 --> 00:36:10.960]   control
[00:36:10.960 --> 00:36:15.320]   Min L I,G,
[00:36:15.320 --> 00:36:17.420]   charger provide in the assembly line. It's a color that's all of the coaching. I'm not beingר, this, but, many, 9, use, LGBTQ,功,
[00:36:17.420 --> 00:36:29.980]   aye,
[00:36:30.900 --> 00:37:00.460]   I'm learning only. FST12 will be based on the billion or so frames from Tesla each week of Tesla drivers and saying, what happened when a human was in this situation? What did the human do? And let's only pick the best humans, the five star drivers, the Uber drivers, as Elon says. And so that's him changing his mind and going to first principles, but saying, all right, I'm even going to change full self driving to a full self driving.
[00:37:00.480 --> 00:37:30.040]  ,
