
[00:00:00.000 --> 00:00:14.120]   Welcome to Boogleheads on Investing, episode number 73.
[00:27:24.180 --> 00:27:30.180]   And his point is, if you get funny looks with how you're spending your money, you're probably doing it right.
[00:27:30.180 --> 00:27:33.180]   Let's get back to the income side of this.
[00:27:33.180 --> 00:27:43.180]   We did talk about Social Security, but the next lesson, which is lesson number eight, is know your retirement income style with Wade Pfau.
[00:27:43.180 --> 00:27:50.180]   Wade, of course, is a longtime friend of the Bogleheads, has contributed a lot of very important retirement research.
[00:27:50.180 --> 00:27:58.180]   I wanted to talk to him about this retirement income style awareness matrix that he came up with with one of his colleagues.
[00:27:58.180 --> 00:28:04.180]   And the basic idea is that we're all wired a little bit differently in terms of our retirement cash flows.
[00:28:04.180 --> 00:28:12.180]   So some of us might be very geared toward, I just want that paycheck equivalent, something like what I had while I was working.
[00:28:12.180 --> 00:28:15.180]   Other people may be fine with more variability.
[00:28:15.180 --> 00:28:18.180]   But his point is that this is really personal.
[00:28:18.180 --> 00:28:44.180]   So we have in the book a link to a questionnaire that people can take to kind of get their own customized retirement income style analysis where you go through a series of questions and you come out with a sense of, OK, here are the things that I should be focusing my energies on in terms of my retirement portfolio, whether an annuity should be under consideration or I should just put it on the trash heap.
[00:28:44.180 --> 00:28:52.180]   So it's, I think, a helpful discussion about the various dimensions of that RISA matrix that Wade has come up with.
[00:28:52.180 --> 00:29:03.180]   The way I think about it is that it's kind of like a style box for investors in retirement, which I think is just sort of a genius complement to our Morningstar style box.
[00:29:03.180 --> 00:29:04.180]   Yeah, Wade has some great ideas.
[00:29:04.180 --> 00:29:09.180]   I've known him for many years and some wonderful information he puts out.
[00:29:09.180 --> 00:29:12.180]   And his book is about, I don't know, as thick as a phone book.
[00:29:12.180 --> 00:29:14.180]   It is always on my desk, though.
[00:29:14.180 --> 00:29:15.180]   It's one of my favorites.
[00:29:15.180 --> 00:29:16.180]   It just is.
[00:29:16.180 --> 00:29:19.180]   If there's anything more comprehensive, I don't know what it is.
[00:29:19.180 --> 00:29:20.180]   It's a go to.
[00:29:20.180 --> 00:29:24.180]   Well, let's continue to pivot a little bit here and talk more about investing.
[00:29:24.180 --> 00:29:32.180]   And lesson number nine is set an asset allocation for your retirement portfolio with Dr.
[00:29:32.180 --> 00:29:33.180]   William Bernstein.
[00:29:33.180 --> 00:29:38.180]   Yeah, I was lucky to be able to call Bill up and say, hey, would you do this?
[00:29:38.180 --> 00:29:42.180]   And so we talked about how to construct an in-retirement portfolio.
[00:29:42.180 --> 00:29:54.180]   Bill, of course, is, I would say, fairly risk averse with respect to inflation, especially making sure that whatever you do, you are hedging against that as a key risk.
[00:29:54.180 --> 00:30:04.180]   So we talked about using treasury inflation-protected securities as kind of the bedrock of that portfolio and then bringing equities into the mix.
[00:30:04.180 --> 00:30:10.180]   As you know, Rick, since Bill is a mutual friend of ours, he has very strong opinions on certain topics.
[00:30:10.180 --> 00:30:20.180]   So whereas Wade might see more of a gray on topics like annuities, for Bill, there's no gray.
[00:30:20.180 --> 00:30:27.180]   He does not love annuities at all, but we delved into a lot of different dimensions of constructing an in-retirement portfolio.
[00:30:27.180 --> 00:30:34.180]   We talked about simplifying the in-retirement portfolio, even using an all-in-one type fund.
[00:30:34.180 --> 00:30:38.180]   Bill admitted that there are shortcomings, but overall he loves the simplicity.
[00:30:38.180 --> 00:30:44.180]   And then at the end, he talked about how the behavioral aspect of this is just so important.
[00:30:44.180 --> 00:30:55.180]   So in addition to creating a portfolio that passes muster from a mathematical standpoint, you also need to create a portfolio that you can live with.
[00:30:55.180 --> 00:30:57.180]   That's the best portfolio of all.
[00:30:57.180 --> 00:31:01.180]   I recall the first Bill Bernstein book I read 20 years ago.
[00:31:01.180 --> 00:31:03.180]   It was The Intelligent Asset Allocator.
[00:31:03.180 --> 00:31:04.180]   I thought it was fantastic.
[00:31:04.180 --> 00:31:05.180]   Great book.
[00:31:05.180 --> 00:31:06.180]   He's a genius.
[00:31:06.180 --> 00:31:07.180]   Okay.
[00:31:07.180 --> 00:31:13.180]   Sticking with investing, stick to a simple investment plan with J.L. Collins.
[00:31:13.180 --> 00:31:21.180]   I wanted to talk to J.L. because, A, he has a lot of fans, obviously, among Bogleheads and in circles that I move in.
[00:31:21.180 --> 00:31:26.180]   And his book, A Simple Path to Wealth, has been so influential to so many people.
[00:31:26.180 --> 00:31:34.180]   So I wanted to talk about how one could radically simplify a retirement portfolio if they so chose.
[00:31:34.180 --> 00:31:40.180]   And so we talked about using simple index funds as the bedrock of that portfolio.
[00:31:40.180 --> 00:31:48.180]   In J.L.'s view, just a basic U.S. equity index along with a bond index and maybe a little bit of cash.
[00:31:48.180 --> 00:31:54.180]   We also talked about some of J.L.'s most controversial work, which relates to homeownership.
[00:31:54.180 --> 00:31:58.180]   J.L. is not a fan, although he is a homeowner, actually.
[00:31:58.180 --> 00:32:05.180]   But he thinks that we in the U.S. are a little bit overextended with respect to homes
[00:32:05.180 --> 00:32:11.180]   and that people are overly defensive about homes as part of kind of wealth building.
[00:32:11.180 --> 00:32:20.180]   So we discussed that aspect as well, and especially the idea of whether you should carry a mortgage into retirement or not.
[00:32:20.180 --> 00:32:22.180]   Yeah, so this gets to something that I just want to throw in.
[00:32:22.180 --> 00:32:30.180]   I mean, we all have the philosophy of the Bogleheads, you know, live below your means, try to invest simply, try to use index funds and so forth.
[00:32:30.180 --> 00:32:32.180]   This is like the philosophy that we use.
[00:32:32.180 --> 00:32:42.180]   But the strategy that we all use to get there can be vastly different, even though we may have the same beliefs about how to invest,
[00:32:42.180 --> 00:32:46.180]   how we actually put our portfolio together and whether we own a house or don't own a house.
[00:32:46.180 --> 00:32:47.180]   I call that strategy.
[00:32:47.180 --> 00:32:49.180]   And it can be vastly different from person to person.
[00:32:49.180 --> 00:32:53.180]   It doesn't make mine right and yours wrong or yours right and my wrong.
[00:32:53.180 --> 00:32:55.180]   It's what's best for us.
[00:32:55.180 --> 00:32:57.180]   And I think that's a lot of what we're getting at.
[00:32:57.180 --> 00:32:58.180]   Absolutely.
[00:32:58.180 --> 00:33:03.180]   So JL's vision for a retirement portfolio, I would argue, is kind of radically simplified.
[00:33:03.180 --> 00:33:11.180]   But the point is, as you move into retirement, you should try to reduce the number of moving parts, especially if you're a DIY type.
[00:33:11.180 --> 00:33:15.180]   You want to be very careful about managing something overly complicated.
[00:33:15.180 --> 00:33:18.180]   So I hope the message gets through from that standpoint.
[00:33:18.180 --> 00:33:23.180]   Try to reduce the number of holdings in your portfolio if you possibly can.
[00:33:23.180 --> 00:33:30.180]   And you, in Chapter 11, are your own interviewee, I guess.
[00:33:30.180 --> 00:33:35.180]   But you did ask Susan to interview you from Morningstar.
[00:33:35.180 --> 00:33:37.180]   You get to put your own words into this book.
[00:33:37.180 --> 00:33:38.180]   That's right.
[00:33:38.180 --> 00:33:43.180]   So I asked my colleague, Susan Jabinski, to interview me for one chapter.
[00:33:43.180 --> 00:33:51.180]   And the chapter was about retirement portfolio planning and especially this bucket approach that I often work on on Morningstar.com.
[00:33:51.180 --> 00:33:59.180]   And the basic idea was influenced by a conversation I had with Harold Davinsky, who's a now retired financial planner.
[00:33:59.180 --> 00:34:02.180]   He and I were talking probably 20 years ago.
[00:34:02.180 --> 00:34:07.180]   And I was asking him what he did with his retired clients to create their cash flows.
[00:34:07.180 --> 00:34:16.180]   And his point was, well, I just strip off this cash bucket amounting to a couple of years worth of portfolio withdrawals.
[00:34:16.180 --> 00:34:29.180]   And having that cash set aside gives my clients a ton of peace of mind with the rest of the portfolio, the long term piece of the portfolio, which will naturally fluctuate a little bit as the years go by.
[00:34:29.180 --> 00:34:32.180]   And so I've been writing and talking about the bucket approach.
[00:34:32.180 --> 00:34:42.180]   And it looks deceptively simple when you see these three buckets and you've essentially got a cash bucket, a high quality bond bucket and an equity bucket.
[00:34:42.180 --> 00:34:56.180]   But it gets a little bit more complicated when you are talking about how to maintain the buckets on an ongoing basis and also how the logistics work if you have multiple tax silos that you're bringing into retirement.
[00:34:56.180 --> 00:35:02.180]   So Susan and I discussed some of the finer points of bucketing in this chapter.
[00:35:02.180 --> 00:35:03.180]   Oh, that's excellent.
[00:35:03.180 --> 00:35:04.180]   Okay.
[00:35:04.180 --> 00:35:08.180]   Now we're going to pivot again back to housing.
[00:35:08.180 --> 00:35:09.180]   Lesson 12.
[00:35:09.180 --> 00:35:14.180]   Make smart choices about housing with Mark Miller.
[00:35:14.180 --> 00:35:15.180]   Right.
[00:35:15.180 --> 00:35:18.180]   Mark has been a longtime contributor to Morningstar.com.
[00:35:18.180 --> 00:35:26.180]   And the housing has been one of his beats for us where he talks about housing for older adults, especially.
[00:35:26.180 --> 00:35:31.180]   And he and I had just a fabulous conversation about thinking ahead.
[00:35:31.180 --> 00:35:35.180]   Don't just think about your 62 or 65 year old self.
[00:35:35.180 --> 00:35:43.180]   Think about yourself as you move through retirement and what you may want from your housing as the years go by.
[00:35:43.180 --> 00:35:52.180]   So he and I had a great conversation about location, proximity to health care, proximity to people, taxes.
[00:35:52.180 --> 00:35:55.180]   So financial considerations were certainly part of the discussion.
[00:35:55.180 --> 00:35:59.180]   But I feel like it's an under discussed component of retirement planning.
[00:35:59.180 --> 00:36:07.180]   We also discussed reverse mortgages and tapping home equity and other ways in retirement, including to pay for long term care.
[00:36:07.180 --> 00:36:11.180]   So it was a tremendously wide ranging discussion.
[00:36:11.180 --> 00:36:19.180]   I know that I and many Vogelheads tend to not think of housing wealth as really part of our investment portfolio.
[00:36:19.180 --> 00:36:22.180]   But it's silly to not to ignore it.
[00:36:22.180 --> 00:36:28.180]   So I was happy that Mark and I did discuss the financial dimension of housing in retirement.
[00:36:28.180 --> 00:36:31.180]   The next one is lesson number 13.
[00:36:31.180 --> 00:36:36.180]   Focus on what you can control with Maria Bruno from Vanguard.
[00:36:36.180 --> 00:36:44.180]   Maria has been a longtime friend and she and I have collaborated on several events at Vanguard over the years.
[00:36:44.180 --> 00:36:51.180]   She works on some of Vanguard's financial planning that it provides to its clients and is a CFP.
[00:36:51.180 --> 00:36:56.180]   So she's incredibly conversant in many different aspects of retirement planning.
[00:36:56.180 --> 00:36:59.180]   Retirement decumulation has been a huge focus of hers.
[00:36:59.180 --> 00:37:13.180]   So that was a thesis that she wanted to discuss the importance of not getting overly concerned with things that especially as an investor, you have no position to exert any control over.
[00:37:13.180 --> 00:37:19.180]   So a lot of the stuff that you might hear about on CNBC, for example, just put that in your too hard pile.
[00:37:19.180 --> 00:37:25.180]   And instead, we focused on some things that investors do actually exert control over.
[00:37:25.180 --> 00:37:28.180]   So their lifestyles and what they want them to look like.
[00:37:28.180 --> 00:37:29.180]   She's Vanguard.
[00:37:29.180 --> 00:37:34.180]   So no doubt we talked about costs, controlling the total costs that you pay.
[00:37:34.180 --> 00:37:51.180]   We talked about health care costs, having discipline with your plan, lots of different dimensions of control in retirement, which I think can be empowering because there are a lot of aspects about embarking on retirement that do feel uncertain.
[00:37:51.180 --> 00:37:56.180]   It's really terrific if you can take stock of the things that you actually do control.
[00:37:56.180 --> 00:38:03.180]   Lesson 14, be adaptable as retirement unfolds with Jamie Hopkins.
[00:38:03.180 --> 00:38:04.180]   Right.
[00:38:04.180 --> 00:38:06.180]   Jamie is another CFP.
[00:38:06.180 --> 00:38:12.180]   He's also an attorney and is very conversant in the ins and outs of retirement planning.
[00:38:12.180 --> 00:38:15.180]   And this is a huge thrust for Jamie and his work.
[00:38:15.180 --> 00:38:18.180]   I've seen some great presentations from him on this topic.
[00:38:18.180 --> 00:38:26.180]   But the basic idea, and it picks up on a theme I think that people are hearing probably loud and clear, is that you should be prepared to adjust.
[00:38:26.180 --> 00:38:38.180]   One thing Jamie hit hard in this topic was the transition from saving to spending, which, Rick, I'm guessing you probably hear from clients in your practice that it's difficult.
[00:38:38.180 --> 00:38:39.180]   Very difficult.
[00:38:39.180 --> 00:38:40.180]   Yeah.
[00:38:40.180 --> 00:38:41.180]   Yeah.
[00:38:41.180 --> 00:38:47.180]   You identify as a saver, as an investing person, this idea of ever tapping your portfolio.
[00:38:47.180 --> 00:38:53.180]   And I wouldn't know, I'm not retired, but this idea of tapping your portfolio feels very uncomfortable.
[00:38:53.180 --> 00:39:01.180]   So Jamie talked about making that adaptation, some tricks that you can use to get yourself over that hump.
[00:39:01.180 --> 00:39:05.180]   He talked about the value of kind of phased retirement.
[00:39:05.180 --> 00:39:14.180]   Jamie, like several of other several other interviewees in the book, is a big believer in people phasing into retirement if they possibly can.
[00:39:14.180 --> 00:39:19.180]   But he talked about getting ahead of some of the changes that what retirement will bring.
[00:39:19.180 --> 00:39:23.180]   Well, I'm right in line with Jamie on a lot of this.
[00:39:23.180 --> 00:39:32.180]   I mean, probably the biggest hurdle I have with the clients is getting over the hump, which they've accumulated all their lives and saved all their lives.
[00:39:32.180 --> 00:39:38.180]   And they just have this feeling that if they stop doing that within six months, they're going to be living under a bridge and eating dog food.
[00:39:38.180 --> 00:39:41.180]   And of course, it's not true.
[00:39:41.180 --> 00:39:42.180]   Well, exactly.
[00:39:42.180 --> 00:39:45.180]   And so the phase part is exactly what I am personally doing myself.
[00:39:45.180 --> 00:39:50.180]   So I'm 100 percent on board with a lot of the things that Jamie is talking about.
[00:39:50.180 --> 00:39:58.180]   OK, let's go to another boglehead, one we both know well, Plan for Taxes with Mike Piper.
[00:39:58.180 --> 00:40:03.180]   Right. Mike could have been the expert on several topics in this book, including Social Security.
[00:40:03.180 --> 00:40:08.180]   So I had to pick my spots. Mike is just so clear at explaining tax matters.
[00:40:08.180 --> 00:40:15.180]   So we started very basic where he talked about the tax treatment of different silos that we might bring into retirement.
[00:40:15.180 --> 00:40:23.180]   But he spent a lot of time talking about being thoughtful about sequencing your withdrawals from your retirement accounts.
[00:40:23.180 --> 00:40:36.180]   He's just super clear in terms of explaining various considerations about, OK, so you've exhausted this account or you've spent everything you've had you had in your checking account.
[00:40:36.180 --> 00:40:38.180]   Where do you go next and where do you go after that?
[00:40:38.180 --> 00:40:48.180]   And he also talked about the influence that Social Security can have on tax planning as well as required minimum distributions, which kick in once you hit page 73.
[00:40:48.180 --> 00:41:00.180]   So I think just a very clear discussion of the tax implications of constructing that retirement portfolio and figuring out where to go for spending money.
[00:41:00.180 --> 00:41:05.180]   And Mike will be one of our speakers at the Bogleheads Conference, as will many of the people on your list.
[00:41:05.180 --> 00:41:10.180]   That's true. Mike will never let retire from the Bogleheads Conference, I don't think.
[00:41:10.180 --> 00:41:12.180]   He's always just such a big hit.
[00:41:12.180 --> 00:41:15.180]   All right. Lesson number 16.
[00:41:15.180 --> 00:41:17.180]   And here's a big one.
[00:41:17.180 --> 00:41:20.180]   You touched on it, but now we're going to get into it a little bit.
[00:41:20.180 --> 00:41:24.180]   Plan for health care with Carolyn McClanahan.
[00:41:24.180 --> 00:41:28.180]   Right. Carolyn will also be at the Bogleheads Conference in 2024.
[00:41:28.180 --> 00:41:34.180]   Carolyn is a medical doctor and she's also a financial planner with a practice in Florida.
[00:41:34.180 --> 00:41:44.180]   And Carolyn specializes in getting ahead of health care spending, thinking about how your health care might play out in retirement,
[00:41:44.180 --> 00:41:48.180]   thinking about your providers, thinking about long term care.
[00:41:48.180 --> 00:41:58.180]   So this was the chapter where we discussed long term care in depth, figuring out where you'll receive care, how importantly, how you'll pay for care,
[00:41:58.180 --> 00:42:08.180]   which is an area that Carolyn is, I would say, somewhat uniquely equipped to address because she's a doctor and has encountered this stuff with a lot of her own clients.
[00:42:08.180 --> 00:42:18.180]   She also talks about the importance of having good proxies to help make health care decisions for you if you can't make them for yourself.
[00:42:18.180 --> 00:42:21.180]   So many different dimensions to this discussion.
[00:42:21.180 --> 00:42:28.180]   And she also just talked about the importance of taking care of your health in the years leading up to retirement.
[00:42:28.180 --> 00:42:37.180]   That's I think she calls it the live long, die quickly plan that we all want to be on that.
[00:42:37.180 --> 00:42:43.180]   And one of the best ways to do that is to be preemptive about taking care of your own health while you are younger.
[00:42:43.180 --> 00:42:47.180]   Now, we know that historically women tend to outlive men.
[00:42:47.180 --> 00:42:49.180]   It's what the mortality records show.
[00:42:49.180 --> 00:42:53.180]   And women often end up alone.
[00:42:53.180 --> 00:42:56.180]   And you have a chapter in here, which I thought was really interesting.
[00:42:56.180 --> 00:43:02.180]   Lesson number 17, what women need to do differently with Jean Chatzky.
[00:43:02.180 --> 00:43:04.180]   This is an interesting chapter.
[00:43:04.180 --> 00:43:05.180]   Why don't you get into it a little bit?
[00:43:05.180 --> 00:43:10.180]   This is a passion of Jean's helping women with their financial lives.
[00:43:10.180 --> 00:43:16.180]   She's got several groups going where she works with women about their financial plans.
[00:43:16.180 --> 00:43:23.180]   And as you said, Rick, it is a little bit different for women in that we tend to outlive our male partners by a couple of years.
[00:43:23.180 --> 00:43:29.180]   And that means that we've got to be more concerned with having our portfolios last.
[00:43:29.180 --> 00:43:38.180]   It means that we are also more likely to need long term care because we often provide care for our partners and they aren't around to care for us.
[00:43:38.180 --> 00:43:40.180]   So she discussed that dimension.
[00:43:40.180 --> 00:43:49.180]   Jean is very much a believer in women making sure that they have a plan for long term care, not necessarily insurance, but just what is your plan?
[00:43:49.180 --> 00:43:54.180]   And she also discusses the dimension of sandwich generation people.
[00:43:54.180 --> 00:43:59.180]   So people who are caring for their parents as well as their children.
[00:43:59.180 --> 00:44:05.180]   And adult daughters are some of the main informal caregivers in the U.S.
[00:44:05.180 --> 00:44:14.180]   So she discusses that dimension as well, including some of the career ramifications for women who need to take time away from work to care for their parents.
[00:44:14.180 --> 00:44:19.180]   That can be a big deal in terms of their portfolios and in terms of their financial plans.
[00:44:19.180 --> 00:44:26.180]   The next lesson, which is really important and a lot of people don't do it.
[00:44:26.180 --> 00:44:30.180]   Lesson number 18, communicate with your loved ones.
[00:44:30.180 --> 00:44:32.180]   Cameron Huddleston.
[00:44:32.180 --> 00:44:37.180]   Yeah, Cameron wrote a terrific book called Mom and Dad, We Need to Talk.
[00:44:37.180 --> 00:44:45.180]   And it's really drawn from her personal experience of losing her dad at a fairly young age.
[00:44:45.180 --> 00:44:49.180]   He passed away with, I believe, little to no estate plan.
[00:44:49.180 --> 00:44:54.180]   And then her mom developed dementia at quite an early age.
[00:44:54.180 --> 00:45:04.180]   So grappling with her mom's health care needs, with her mom's financial life, effectively grappling with the custodianship of her mom later in life.
[00:45:04.180 --> 00:45:11.180]   So Carolyn used that really painful experience to make this her passion that she talks to older adults about.
[00:45:11.180 --> 00:45:19.180]   Making sure you are laying the groundwork for your kids so that they understand what you want, what you have.
[00:45:19.180 --> 00:45:24.180]   I think that oftentimes it is a missing layer in communication.
[00:45:24.180 --> 00:45:32.180]   So she discusses all of the things to do to make sure that you're giving your loved ones a read in to your financial life.
[00:45:32.180 --> 00:45:35.180]   And her point is they're going to find out at some point, right?
[00:45:35.180 --> 00:45:39.180]   So why be shy about the specific contours of your plan?
[00:45:39.180 --> 00:45:47.180]   Either they find out and you share your wishes with them or they find out after you're gone and they're left having to figure this stuff out on the fly.
[00:45:47.180 --> 00:45:49.180]   So I love Cameron's work.
[00:45:49.180 --> 00:45:55.180]   I hope people find that the chapter to be a good igniter to get them working on this stuff as well.
[00:45:55.180 --> 00:45:56.180]   Funny story.
[00:45:56.180 --> 00:46:05.180]   I was talking with a client who was in her eighties and I asked her if she had this conversation with her children yet about her estate.
[00:46:05.180 --> 00:46:10.180]   And she goes, "No, I don't want them to know what I have because it'll make them lazy."
[00:46:10.180 --> 00:46:11.180]   And I said, "Well, how old are your children?"
[00:46:11.180 --> 00:46:13.180]   She goes, "Well, they're all in their sixties."
[00:46:13.180 --> 00:46:15.180]   I don't know.
[00:46:15.180 --> 00:46:16.180]   People have some strange ideas.
[00:46:16.180 --> 00:46:20.180]   Maybe hunter-gatherer type things, you know, DNA things that we just can't shake.
[00:46:20.180 --> 00:46:21.180]   Right.
[00:46:21.180 --> 00:46:22.180]   Okay.
[00:46:22.180 --> 00:46:25.180]   Next thing that we all need to do is an estate plan.
[00:46:25.180 --> 00:46:30.180]   So lesson 19, create an estate plan with Jennifer Roselle.
[00:46:30.180 --> 00:46:31.180]   Yeah.
[00:46:31.180 --> 00:46:34.180]   Jennifer Roselle is an estate planning attorney in Indiana.
[00:46:34.180 --> 00:46:42.180]   And she's also just a tremendously clear communicator about the why and what of an estate plan.
[00:46:42.180 --> 00:46:48.180]   I think sometimes people glaze over a little bit when they hear about these different documents that they should have.
[00:46:48.180 --> 00:46:58.180]   She keeps it very basic, but also I think does inject that real world perspective because she works with clients on this stuff day to day.
[00:46:58.180 --> 00:47:13.180]   She's dealt with issues like clients with cognitive decline, making sure that kids are taken care of, how to deal with kids who maybe have unequal asset levels, whether you should help the kid who needs it more.
[00:47:13.180 --> 00:47:25.180]   So she discusses a lot of real world dimensions of estate planning in addition to sharing the basics of some of the documents that you want to be sure to bring into your later years.
[00:47:25.180 --> 00:47:29.180]   And by the way, you shouldn't wait until retirement to get an estate plan.
[00:47:29.180 --> 00:47:33.180]   I have one, I have had one for probably 20 years.
[00:47:33.180 --> 00:47:37.180]   And I think people should start younger on the estate planning process.
[00:47:37.180 --> 00:47:39.180]   And you will have to update things as the years go by.
[00:47:39.180 --> 00:47:42.180]   But nonetheless, I think it makes sense to stay ahead of it.
[00:47:42.180 --> 00:47:48.180]   And the last lesson, lesson 20, leave no regrets with Jordan Grumet.
[00:47:48.180 --> 00:47:53.180]   He was a wonderful final speaker at the last Boglehead conference.
[00:47:53.180 --> 00:47:57.180]   Right. He was a keynote speaker and he'll be at the 2024 conference as well.
[00:47:57.180 --> 00:47:58.180]   He was such a crowd pleaser.
[00:47:58.180 --> 00:48:02.180]   He is one of my favorite individuals to talk to.
[00:48:02.180 --> 00:48:13.180]   And Jordan is a hospice doctor who is also a podcaster, a blogger, an author, and has written a couple of great books.
[00:48:13.180 --> 00:48:30.180]   He's got a new book coming out this year, but Jordan has so much to say about making sure that you don't have regrets because this is something he talks to people who are on their deathbeds about what gave you gratification in your lifetime.
[00:48:30.180 --> 00:48:32.180]   What do you wish you had done?
[00:48:32.180 --> 00:48:37.180]   And a key takeaway from Jordan is people don't regret things they tried and failed at.
[00:48:37.180 --> 00:48:40.180]   What they regret is that they didn't try.
[00:48:40.180 --> 00:48:44.180]   And so he and I had a discussion about that.
[00:48:44.180 --> 00:48:50.180]   I remember telling my husband about this and he was like, wait, you've got a hospice doctor is the last chapter of your book.
[00:48:50.180 --> 00:48:55.180]   And I was like, hold on a sec. I swear it is an incredibly uplifting chapter.
[00:48:55.180 --> 00:48:57.180]   His point is don't wait.
[00:48:57.180 --> 00:49:02.180]   The other thing I love is that he talks about what he calls big P purpose and small P purpose.
[00:49:02.180 --> 00:49:10.180]   So big P purpose might be something kind of grandiose that you want to do, like start a foundation or something like that.
[00:49:10.180 --> 00:49:19.180]   But all of us on a day to day basis have small P purposes, things that really give us joy, that bring us closer to our loved ones.
[00:49:19.180 --> 00:49:26.180]   His point is that those small P purposes are just as important as the big P purpose stuff, which is a message that I love.
[00:49:26.180 --> 00:49:30.180]   Yeah, I really enjoyed his talk last year and I'm looking forward to it this year.
[00:49:30.180 --> 00:49:36.180]   OK, closing thoughts or concluding thoughts did all of these interviews.
[00:49:36.180 --> 00:49:39.180]   You've said you wrote writing the book.
[00:49:39.180 --> 00:49:46.180]   If you've made it this far, you probably guess that this book is a little bit of a me search project, which I never heard that before.
[00:49:46.180 --> 00:49:48.180]   Me search, but I like it.
[00:49:48.180 --> 00:49:50.180]   So what did you get out of the book?
[00:49:50.180 --> 00:49:55.180]   So Scott Rick, who's a professor at University of Michigan.
[00:49:55.180 --> 00:49:57.180]   I don't know if he came up with it.
[00:49:57.180 --> 00:50:00.180]   He used the term me search and I was like, oh, my gosh, that's genius.
[00:50:00.180 --> 00:50:02.180]   And that is exactly what I'm working on here.
[00:50:02.180 --> 00:50:05.180]   A couple of key takeaways, Rick.
[00:50:05.180 --> 00:50:13.180]   One is just the value of I'm just a big believer in staying busy and not busy for the sake of being busy.
[00:50:13.180 --> 00:50:25.180]   But just continuing to try to make an impact for me is something that even if, you know, I retire from paid work at some point, if and when I do that, I still just want to make an impact.
[00:50:25.180 --> 00:50:32.180]   I still want to fill my days with doing things that are making the world a little bit better.
[00:50:32.180 --> 00:50:38.180]   And that sounds cheesy, but I would say the book project very much reinforced my goal to do that.
[00:50:38.180 --> 00:50:54.180]   The whole idea of being adaptive and I cannot put myself in the shoes of my 85 year old self, but really trying to think ahead, not be stubborn about life changes as they might come at me.
[00:50:54.180 --> 00:50:56.180]   I want to listen to loved ones.
[00:50:56.180 --> 00:51:02.180]   If they're telling me I should do something, I am not just going to put my head down and keep doing what I'm doing.
[00:51:02.180 --> 00:51:05.180]   I really do want to try to listen to the people around me.
[00:51:05.180 --> 00:51:13.180]   A key takeaway I would have for Bogle heads is just the importance of not overly obsessing about the money piece.
[00:51:13.180 --> 00:51:18.180]   If you are a Bogle head, I'm guessing the money piece will probably be just fine.
[00:51:18.180 --> 00:51:33.180]   Instead, spend as much time on the relationship piece, the purpose piece, those things will ultimately be even more impactful in terms of whether your retirement is a success.
[00:51:33.180 --> 00:51:38.180]   So I would say obsess about those things just as much as you do about the financials.
[00:51:38.180 --> 00:51:45.180]   I'd like to tell you about a conversation I had with Jonathan Clements because it hits directly at what you said a little bit earlier.
[00:51:45.180 --> 00:51:56.180]   I was sitting across the table from him having we're having dinner at a Bogle heads event and he had just started or was working on the humble dollar.
[00:51:56.180 --> 00:51:59.180]   And, you know, he didn't need to do that.
[00:51:59.180 --> 00:52:01.180]   He was doing it as a nonprofit.
[00:52:01.180 --> 00:52:04.180]   He was asking for donations from people to help him pay for expenses.
[00:52:04.180 --> 00:52:08.180]   And then I asked him, I said, Jonathan, I mean, you don't need to work anymore.
[00:52:08.180 --> 00:52:11.180]   But you're doing this new project called the humble dollar.
[00:52:11.180 --> 00:52:13.180]   You know, why are you doing it?
[00:52:13.180 --> 00:52:18.180]   And his answer was, well, Rick, I just want to continue to be part of the conversation.
[00:52:18.180 --> 00:52:20.180]   And I never forgot that.
[00:52:20.180 --> 00:52:24.180]   I said, you know what, I get it.
[00:52:24.180 --> 00:52:25.180]   I get it.
[00:52:25.180 --> 00:52:27.180]   And I hear that coming from you as well.
[00:52:27.180 --> 00:52:32.180]   So I want to thank you so much, Christine, for being a guest again on Bogle heads on investing.
[00:52:32.180 --> 00:52:35.180]   Good luck with the book and we'll see you in a few weeks.
[00:52:35.180 --> 00:52:37.180]   Rick, thank you so much for having me on.
[00:52:37.180 --> 00:52:38.180]   It's been such an honor.
[00:52:38.180 --> 00:52:43.180]   And I'm grateful to the Bogle heads for listening to me talk about the book.
[00:52:43.180 --> 00:52:44.180]   Thanks so much.
[00:52:44.180 --> 00:52:48.180]   This concludes this episode of Bogle heads on investing.
[00:52:48.180 --> 00:52:52.180]   Join us each month as we interview a new guest on a new topic.
[00:52:52.180 --> 00:52:59.180]   In the meantime, visit Bogle Center.net, Bogleheads.org, The Bogle Heads Wiki, Bogle Heads Twitter,
[00:52:59.180 --> 00:53:04.180]   The Bogle Heads YouTube channel, Bogle Heads Facebook, Bogle Heads Reddit.
[00:53:04.180 --> 00:53:08.180]   Join one of your local Bogle Heads chapters and get others to join.
[00:53:08.180 --> 00:53:09.180]   Thanks for listening.
[00:53:09.180 --> 00:53:10.180]   Bye.
[00:53:10.180 --> 00:53:10.180]   Bye.
[00:53:10.180 --> 00:53:11.180]   Bye.
[00:53:11.180 --> 00:53:12.180]   Bye.
[00:53:12.180 --> 00:53:13.180]   Bye.
[00:53:13.180 --> 00:53:14.180]   Bye.
[00:53:14.180 --> 00:53:14.180]   Bye.
[00:53:14.180 --> 00:53:15.180]   Bye.
[00:53:15.180 --> 00:53:16.180]   Bye.
[00:53:16.180 --> 00:53:17.180]   Bye.
