
[00:00:00.320 --> 00:00:09.280]   the luma said okay give me k2 um last week we went over the original muon paper so basically
[00:30:38.720 --> 00:30:47.040]   but the performance increase is very small and uh it it had instability issues with their optimizer
[00:30:47.040 --> 00:30:53.200]   this doesn't mean that um adam w with more attention heads isn't stable but you know it's
[00:30:53.200 --> 00:31:01.520]   it's a big uh compute cost so something to note there regarding the analogy i think i need to read uh hear
[00:31:01.520 --> 00:31:06.320]   it again i don't know if someone else wants to comment or maybe you want to post it in the chat
[00:31:06.320 --> 00:31:12.640]   but i i didn't really digest and if someone else wants to comment you know pop in i wanted to ask
[00:31:12.640 --> 00:31:20.560]   is it more of the experts or the attention heads that we're you know being optimized for here
[00:31:20.560 --> 00:31:30.400]   this is both um so they're keeping it sparse by uh having a lot of experts but only a few active
[00:31:30.400 --> 00:31:34.320]   that's one part of the equation that's in their scaling laws better performance so
[00:31:34.320 --> 00:31:40.480]   if you have a set of if you have a fixed inference budget like let's say i want to run this thing at 32
[00:31:40.480 --> 00:31:47.040]   billion active parameters uh you'll do better by having more total experts so that's part of it
[00:31:47.040 --> 00:31:53.360]   the that's for performance right that will get you better overall performance even though it has
[00:31:53.360 --> 00:32:01.920]   training complexity the attention heads is uh inference optimization so you know when you cut attention heads
[00:32:01.920 --> 00:32:10.320]   um you have less kvs right each attention head basically has to do kvs and over long sequences
[00:32:10.320 --> 00:32:17.760]   kv is quadratic scaling and that's that's a lot of gpu utilization if you can cut half you can kind of
[00:32:17.760 --> 00:32:24.480]   cut half of your kv cache which is a lot of gpu usage uh eugene it seems like you have good intuition you
[00:32:24.480 --> 00:32:30.320]   wanna wanna you wanna wanna intuit no i i don't know if i have good intuition but my thinking is that
[00:32:30.320 --> 00:32:36.480]   attention heads are just like an ensemble and beyond a certain number they found that you know from 68
[00:32:36.480 --> 00:32:44.240]   64 to 128 they say that yes while it does improve validation loss um like it's over there uh only
[00:32:44.240 --> 00:32:50.080]   validation loss improved by half a percent to 1.2 percent and okay given that fixed amount of compute they rather
[00:32:50.800 --> 00:32:57.120]   not double they rather half the attention hits and have more experts so it's a compute trade-off which
[00:32:57.120 --> 00:33:02.480]   makes sense to me i think i think that makes sense no no i think that makes sense the difference here is
[00:33:02.480 --> 00:33:12.800]   also just um the architecture right so we're operating on trillion parameter and 384 experts now does this
[00:33:12.800 --> 00:33:20.400]   scale to dense models does this scale to a small 24b who knows i think that's um you know we'll have to
[00:33:20.400 --> 00:33:27.680]   figure that out but um it's it's verified in their case i don't know if you can take this at face value
[00:33:27.680 --> 00:33:35.040]   for for other architectures and other sizes um but you know i highlighted this in green it's important
[00:33:35.040 --> 00:33:41.680]   very very useful cutting attention head saves a lot of compute at long context but once again attention is
[00:33:41.680 --> 00:33:50.000]   a problem at long context this is like my one concern for like uh transformer alternatives and stuff
[00:33:50.000 --> 00:33:56.480]   uh you guys really need to train at long context right because the benefit of your like getting rid
[00:33:56.480 --> 00:34:02.320]   of attention and swapping it in with something like recurrence states that's cool but it really only makes
[00:34:02.320 --> 00:34:09.040]   a difference at long context at short context it's not that deep and you know train at long context even
[00:34:09.040 --> 00:34:16.560]   though you're not very gpu rich do it anyway okay uh training infrastructure this was cool if you care
[00:34:16.560 --> 00:34:25.440]   about trade restrictions so basically nvidia didn't allow h100 h200 exports but china had the custom h800
[00:34:25.440 --> 00:34:34.720]   gpu um then this is their training node so uh each node in the h800 cluster contains two bare two terabytes of
[00:34:34.720 --> 00:34:41.840]   ram and eight gpus connected with envy link and envy switches within nodes across different nodes eight
[00:34:41.840 --> 00:34:52.480]   um g8 400 gig roce interconnect they talk about stuff with like pcie offloading saving to disk uh weight
[00:34:52.480 --> 00:35:00.640]   optimization so basically the thing that magistral did was really efficient to just keep rollouts 24/7
[00:35:00.640 --> 00:35:06.880]   uh with this scale of trillion parameters they they did a lot more offloading to dram and stuff um
[00:35:06.880 --> 00:35:14.480]   apparently h200s are coming to china soon nvidia is winning um actually like there was a post about
[00:35:14.480 --> 00:35:22.080]   this where everyone was like i don't know why deep seek had such a big impact on like nvidia stock because
[00:35:22.800 --> 00:35:30.240]   guess what h800 is still nvidia like it's it's all nvidia at the end of the day but um what's she
[00:35:30.240 --> 00:35:39.120]   trying to jump off table but you stay this is mochi mochi's the non-expert doggo but she's learning to be
[00:35:39.120 --> 00:35:48.640]   expert okay um parallelism for model scaling i don't know if we have that much time left for this so maybe i go
[00:35:48.640 --> 00:35:56.560]   through this section quickly and we come back if we have time um i like this i nerded out over this in
[00:35:56.560 --> 00:36:03.520]   the magistral paper uh do the rl part i think the rl and data gen stuff is more fun watch you come here
[00:36:03.520 --> 00:36:12.000]   okay um i was gonna read a lot of this but let's let's skip it for now um basically there's three things
[00:36:12.000 --> 00:36:20.640]   they do uh combination of 16-way pipeline parallelism 16-way expert parallelism and zero one data parallel
[00:36:20.640 --> 00:36:25.680]   a lot of this is just like if you're ever interested in how big models are trained you should read this
[00:36:25.680 --> 00:36:32.560]   section it's kind of cool here's what they have to go over activation reductions with glue okay fpa for
[00:36:32.560 --> 00:36:38.880]   more intensive off but what else cpu offloading training recipe this was interesting so training
[00:36:38.880 --> 00:36:48.800]   recipe um they mostly train at 4 000 token context window using their new optimizer um total of 15
[00:36:48.800 --> 00:36:55.680]   trillion tokens the first 10 trillion tokens were you know standard learning rate small warm-up then the
[00:36:55.680 --> 00:37:04.080]   last 5.5 trillion tokens they had cosine dk weight dk was set global back size was pretty large 67 million
[00:37:04.080 --> 00:37:14.000]   tokens per bat crazy uh figure four is there figure four that i skipped over these figures were very odd
[00:37:14.000 --> 00:37:19.520]   um the rewrite takes both previous and the current segment okay that's that's relevant right now okay
[00:37:19.520 --> 00:37:25.760]   so uh most of the training was done at short context then towards the end they had an annealing phase
[00:37:25.760 --> 00:37:32.960]   followed by long context activation activation stage bat size still 67 million tokens uh learning rate was
[00:37:32.960 --> 00:37:39.600]   decayed quite a bit more in this phase we trained 400 billion tokens with a 4k sequence length followed
[00:37:39.600 --> 00:37:47.360]   by an additional 60 billion tokens on 32k sequence then they extend with yarn so basically like you know
[00:37:47.360 --> 00:37:55.680]   60 billion out of 15 trillion tokens are at 32k sequence um very very much like the majority of this training is
[00:37:55.680 --> 00:38:02.560]   just done at 4k context post training um muon is still used in post training if anyone's fine tuning
[00:38:02.560 --> 00:38:10.480]   kimmy k2 you should also still use this muon optimizer don't don't use adam w it's cooked um i think there's
[00:38:10.480 --> 00:38:17.360]   a chance so like one of the co-founders of xai is jimmy ba who who worked on the adam w optimizer it's like his big
[00:38:17.360 --> 00:38:25.280]   thing um what are the odds that these people get coached to xai because they like optimizers um who
[00:38:25.280 --> 00:38:36.960]   else elon is trying to coach carpathy again but that's side t okay uh sft so um there's instruction
[00:38:36.960 --> 00:38:43.120]   tuning data set maximizing probability of fire response data gen pipelines for different tasks in
[00:38:43.120 --> 00:38:49.680]   different domains so they use kimmy k 1.5 their in-house domain specialized expert model to generate
[00:38:49.680 --> 00:38:55.120]   candidate responses for various tasks followed by llm or human judges to perform automated query
[00:38:55.120 --> 00:39:01.440]   evaluation and filtering uh for agentic data we create a data synthesis pipeline to teach models
[00:39:01.440 --> 00:39:06.720]   tool use capabilities through multi-step interactive reading this stuff is pretty interesting um this
[00:39:06.720 --> 00:39:14.400]   is like really the nice meat of this paper i think um okay large-scale agentic data synthesis for
[00:39:14.400 --> 00:39:23.360]   tool use um basically we we need llms to be able to autonomously figure out how to use unfamiliar tools
[00:39:23.360 --> 00:39:28.800]   uh interact with external environments and iteratively refine their actions to reasoning
[00:39:28.800 --> 00:39:35.200]   execution and error correction so here are some papers that you should check out about how to train uh tool
[00:39:35.200 --> 00:39:46.240]   use and tool use evaluation so tool lm ac bench and then same thing with um synthetic data so um
[00:39:46.240 --> 00:39:57.760]   real world environments rich so difficult to construct at scale complexity privacy accessibility recent work on
[00:39:57.760 --> 00:40:03.120]   synthetic data gen agent instruct self-instruct and stable tool bench and zero search i think we covered
[00:40:03.120 --> 00:40:10.080]   agent instruct and self-instruct uh two new ones that they talk about here that if you're interested in
[00:40:10.080 --> 00:40:16.800]   synthetic data gen you should probably check out uh stable tool bench and zero search they show promise in
[00:40:16.800 --> 00:40:26.720]   creating large-scale data training without relying on real-world interactions it's all synthetic they have a pipeline that simulates
[00:40:26.720 --> 00:40:33.280]   real-world tool use scenarios at scale uh enabling the generation of tens of thousands of diverse and
[00:40:33.280 --> 00:40:40.720]   high-quality training examples okay three stages in uh data synthesis pipeline tool spec generation so step
[00:40:40.720 --> 00:40:49.120]   one is you know first construct a large repository of tools from both real-world tools and lm uh synthetic tools
[00:40:49.120 --> 00:40:56.080]   agentic and task generation for each tool sampled from the tool repository so they have like thousands of tools by the way
[00:40:56.080 --> 00:41:03.760]   by the way generate an agent to use a tool set and some corresponding tasks then trajectory generation
[00:41:03.760 --> 00:41:10.320]   for each agent and task generate trajectories where the agent finishes a task by invoking tools
[00:41:10.320 --> 00:41:18.640]   um here are some of those tools so they have a bunch of real mcp tools they kind of do a distinguish
[00:41:18.640 --> 00:41:25.760]   they kind of like filter them out by category so some search tools database tools uh communication r d
[00:41:25.760 --> 00:41:37.120]   then here's their synthetic tools we'll go over this soon um first we directly fetched 3000 plus real mcp
[00:41:37.120 --> 00:41:43.280]   tools from github repositories leveraging existing high quality tool specs uh the interesting thing with mcp
[00:41:43.280 --> 00:41:48.880]   tools is like they don't really say how they verify that these are high quality tools right you can have
[00:41:48.880 --> 00:41:55.120]   non-high quality mcps there's no like great standard over this but they don't mention much filtration over
[00:41:55.120 --> 00:42:02.560]   this uh second we systematically evolve synthetic tools through a hierarchical domain generation process
[00:42:02.560 --> 00:42:11.440]   we begin with uh key categories so they they have a they have like a they basically have like a categorizer
[00:42:11.440 --> 00:42:18.640]   that that categorizes different tools in different domains they start with that so uh then we evolve
[00:42:18.640 --> 00:42:23.840]   multiple specific application domains with each category specialized tools are then synthesized for
[00:42:23.840 --> 00:42:30.720]   for each domain with clear interfaces description operational semantics so get a bunch of tools classify
[00:42:30.720 --> 00:42:37.520]   them in categories um then evolve multiple specific application domains with each category then tools are
[00:42:37.520 --> 00:42:47.280]   synthesized they produce over 20 000 synthetic tools across different domains um both mcp and synthetic
[00:42:47.280 --> 00:42:53.520]   tools cover complementary regions okay agent diversification seems like generating all these
[00:42:53.520 --> 00:42:57.920]   synthetic tool workflows would take a ton of compute yeah there's a lot of inference that goes under this
[00:42:57.920 --> 00:43:05.680]   stuff um okay agent diversification so we just casually generate thousands of distinct agents they
[00:43:05.680 --> 00:43:11.360]   synthesize various system prompts and equip them with different combinations of tools from our repository
[00:43:11.360 --> 00:43:18.480]   when i said that this is kind of basic eugene this is kind of what i meant like i didn't expect stuff
[00:43:18.480 --> 00:43:25.840]   like this to just work like sure you can get a bunch of tools um generate different categories and expand
[00:43:25.840 --> 00:43:31.840]   them out i didn't expect diversity in these 20 000 tools but this is what i really didn't understand
[00:43:31.840 --> 00:43:37.840]   they just generate thousands of distinct agents with different combinations of tools from their repository
[00:43:37.840 --> 00:43:42.640]   and you know from this they have rubrics of different stuff that they should be able to solve and all
[00:43:42.640 --> 00:43:48.240]   this kind of just work they have varied capabilities areas of expertise behavior patterns ensuring a broad
[00:43:48.240 --> 00:43:54.480]   range of uh potential use cases and then before you know this is the last section for each agent
[00:43:54.480 --> 00:44:00.400]   config we generate tasks that range from simple to complex operations each task is paired with an
[00:44:00.400 --> 00:44:06.640]   explicit rubric that specifies success criteria expected tool use patterns i don't know how they just
[00:44:06.640 --> 00:44:13.440]   generate tool use patterns because if you can do inference to you know figure out what are the tool uses
[00:44:13.440 --> 00:44:18.880]   you kind of don't have the best quality data right because like you can kind of solve the task i guess
[00:44:18.880 --> 00:44:26.800]   but like i get matching a task with tools but not tool use pattern rubrics uh and then evaluation
[00:44:26.800 --> 00:44:33.840]   checkpoints rubrics ensure consistent and objective evaluation of agentic performance um this is kind of
[00:44:33.840 --> 00:44:43.840]   interesting you know yeah i get that i think um i think of this as like a huge synthetic data etl pipeline
[00:44:43.840 --> 00:44:48.960]   where you could be creating a hundred traces and through your quality evaluation and filtering
[00:44:48.960 --> 00:44:53.680]   we don't know to what extent how strict they do it but they could be filtering only to the best 10
[00:44:53.680 --> 00:45:00.720]   or the best five even they talk about their filtration actually a bit like in some stuff like in in
[00:45:00.720 --> 00:45:06.640]   magistral they talked about like they they get rid of stuff that mr large could solve they have a they
[00:45:06.640 --> 00:45:11.440]   have something here that talks about yeah they have something here whereby they actually use an sft
[00:45:11.440 --> 00:45:16.320]   model and if the sft model is only when the sft model is not able to solve it then they keep it
[00:45:16.320 --> 00:45:22.560]   uh so it's really interesting the data cleaning and data generation that they do yeah it's like
[00:45:22.560 --> 00:45:28.240]   it's cool it's there i think this paper could be a bit worded better but it's still cool it's still like
[00:45:28.240 --> 00:45:35.200]   nice that they that they explain all this okay so uh multi-turn trajectory generation they simulate
[00:45:35.200 --> 00:45:42.560]   real tool use scenarios user simulation so basically um you know lms are personas with communication
[00:45:42.560 --> 00:45:47.680]   styles like one might be moody one might be authoritative one might be stupid one might be like
[00:45:47.680 --> 00:45:55.120]   phd level smart um and preferences they they have multi-turn dialogues with agents creating naturalistic
[00:45:55.120 --> 00:46:01.040]   interaction patterns uh tool execution environments so there's a tool simulator so it's kind of cool
[00:46:01.040 --> 00:46:08.000]   they talk about like their sandbox here um a sophisticated tool simulator functionally equivalent
[00:46:08.000 --> 00:46:13.280]   to a world model they have ag i guess they have a world model they execute tools and provide realistic
[00:46:13.280 --> 00:46:20.640]   feedback simulator maintains an update state after each tool enabling complex multi-step interactions so this
[00:46:20.640 --> 00:46:25.120]   is like if you think of like web arena and stuff like that where you kind of have like a fake website and
[00:46:25.120 --> 00:46:32.160]   you're shopping through uh instead you have a simulator that might have like tasks and as you make as you
[00:46:32.160 --> 00:46:38.480]   interact and do stuff and use a tool the simulator keeps state section by section this is kind of cool i wish
[00:46:38.480 --> 00:46:43.120]   you could have talked a bit more about this um it introduces controlled stochasticity to produce
[00:46:43.120 --> 00:46:48.400]   varied outcomes including success partial and edge cases so you know you're actually changing an environment
[00:46:48.400 --> 00:46:54.720]   a lot of this is like gym motivated style um but you know very cool like they they have all of this um
[00:46:54.720 --> 00:47:02.960]   lm-based judge evaluates trajectories against task rubrics only trajectories that meet success criteria
[00:47:02.960 --> 00:47:08.480]   are retained for training ensuring high quality data while only allowing natural variation and test
[00:47:08.480 --> 00:47:16.400]   completion um interesting little section there yeah i i i yeah i'm sorry jump the gun i thought the
[00:47:16.400 --> 00:47:21.840]   hybrid approach uh which is what you're going to talk about nick is amazingly cool because
[00:47:24.000 --> 00:47:32.560]   they fine-tune their the judge on verifiable code and then what they say is that from this verifiable
[00:47:32.560 --> 00:47:41.360]   code the model is able to learn subjective eval actually wait am i looking at the right section
[00:47:41.360 --> 00:47:49.440]   sorry guys what is confusion is this the section yeah i i had a note somewhere uh give me a second let me
[00:47:49.440 --> 00:47:55.840]   check it i'm gonna cover this for now so uh yeah go ahead there's inherent limitation to simulation
[00:47:55.840 --> 00:48:01.760]   fidelity we complement our simulated environments with real execution sandbox they talk about scraping a
[00:48:01.760 --> 00:48:07.600]   lot of like real github issues uh they want real authentic like stuff right so encoding and software
[00:48:07.600 --> 00:48:14.720]   engineering uh they have execution sandbox these execution sandbox execute actual code interact with
[00:48:14.720 --> 00:48:18.880]   genuine development environments and provide ground truth feedback for objective metrics and test
[00:48:18.880 --> 00:48:25.200]   suite pass rates uh this allows them to learn from diversity of simulated scenarios and authenticity of
[00:48:25.200 --> 00:48:30.880]   fuel execution significantly strengthening the practical agent capabilities so in this hyper
[00:48:30.880 --> 00:48:35.520]   uh pipeline i don't think this is the section you're talking about eugene but you're right sorry it's the
[00:48:35.520 --> 00:48:41.680]   section on close loop yeah we get to that when we get to that okay i think i'm gonna go a little
[00:48:41.680 --> 00:48:47.520]   fast because we're running short on time but basically uh you know rejection sampling so get rid of the
[00:48:47.520 --> 00:48:54.160]   the ones that are easy quality filtration sft has demonstrated improvements for tool use okay oral
[00:48:54.160 --> 00:49:02.560]   um better token efficiency than sft this is understood uh they have a gym like extensible framework that
[00:49:02.560 --> 00:49:10.160]   facilitates rl across a wide range of scenarios uh tasks with verifiable rewards subjective preferences
[00:49:10.160 --> 00:49:16.240]   such as creative writing open-ended question answering we introduce a self-critique reward in which models perform
[00:49:16.240 --> 00:49:22.960]   pairwise comparisons to judge its own outputs it's like similar to grpo right grpo you output a bunch of
[00:49:22.960 --> 00:49:30.640]   outputs and then you do preference over the group of outputs to what's the best uh this instead is you
[00:49:30.640 --> 00:49:37.600]   know you have a self-critique over your output and you judge your own uh output so kind of interesting
[00:49:37.600 --> 00:49:43.840]   on how they do rl for creative writing and open-ended questions uh verifiable rewards and gym so i think we can
[00:49:43.840 --> 00:49:49.360]   skip some of this for math and stem you know pretty straightforward complex instruction following is
[00:49:49.360 --> 00:49:57.680]   this what you're talking about eugene oh no slightly below okay uh we will get it yeah okay so for hybrid
[00:49:57.680 --> 00:50:04.640]   rule verification there's um you know evaluation of code interpreters lm is a judge okay multi-sourced
[00:50:04.640 --> 00:50:13.040]   instruction generation complex prompts faithfulness uh this was kind of cool they have this um there's
[00:50:13.040 --> 00:50:20.480]   this framework of facts grounding there's a sentence level classifier judge that's prompted that's uh
[00:50:20.480 --> 00:50:27.440]   useful to perform automated verification basically uh it detects sentences that make factual claims without
[00:50:27.440 --> 00:50:34.400]   evidence and context they have this as a bit of the reward in rl so faithfulness coding and software
[00:50:34.400 --> 00:50:44.400]   engineering um again this is this part is cool right in the sense that they rephrase the question but
[00:50:44.400 --> 00:50:50.880]   they still so care so much about uh factual verification as well as the responses factual verification they are
[00:50:50.880 --> 00:50:56.240]   putting so much effort into this as well as the coding as well as they have adversarial prompts for their
[00:50:56.240 --> 00:51:03.200]   safety aspects as well safety and faithfulness yeah it's so interesting to see what are the key
[00:51:03.200 --> 00:51:07.200]   things and there are some points where they say that the key challenge is faithfulness reducing
[00:51:07.200 --> 00:51:11.760]   hallucinations and scaling this so essentially they actually write very clearly these are the
[00:51:11.760 --> 00:51:19.840]   challenges we are facing right now um if you if you read between the lines yeah um this was cool
[00:51:19.840 --> 00:51:26.880]   basically e2b style or daytona style sandboxing very very robust sandbox infrastructure uh so pr's and
[00:51:26.880 --> 00:51:31.680]   issues from github to build software development environments that consist of user prompt issues and
[00:51:31.680 --> 00:51:38.560]   executionable unit tests so real github staff has unit tests uh they this environment was built on a
[00:51:38.560 --> 00:51:44.080]   robust sandbox infrastructure powered by kubernetes for scalability and security it supports over 10 000
[00:51:44.080 --> 00:51:50.080]   concurrent sandbox instances while with stable performance they just they just cranked that
[00:51:50.080 --> 00:51:56.880]   out real quick safety they have uh you know attack model that generates adversarial prompts a target
[00:51:56.880 --> 00:52:03.280]   model that produces responses and then a judge that determines if they could bypass the uh safety
[00:52:03.280 --> 00:52:11.040]   mechanism each iteration is assessed with a rubric and then it's used in the reward uh 10k concurrent agents
[00:52:11.040 --> 00:52:17.120]   it's crazy right okay beyond verification self-critique rubric reward so self-critique rubric reward is what
[00:52:17.120 --> 00:52:23.200]   they did uh general rl with self-critique it evaluates its own outputs to generate preference signals
[00:52:23.200 --> 00:52:30.960]   um it initializes critique ability in the sft stage since we're kind of out of time i'm gonna like really
[00:52:30.960 --> 00:52:35.760]   really quickly do the rest of this and then and then we'll stay for discussion but i guess if anyone has
[00:52:35.760 --> 00:52:40.800]   any questions um i guess now's your chance if you have to help or if eugene you want to add in maybe
[00:52:40.800 --> 00:52:48.640]   i'll just focus on the the last paragraph in page 12 here um if you read this right the critic model is
[00:52:48.640 --> 00:52:54.240]   refined with verifiable signals so they find in the critic model with the verifiable signals they continuously
[00:52:54.240 --> 00:53:03.200]   update this critique this transfer learning process grounds so this transfer this transfers subjective judgments
[00:53:04.160 --> 00:53:10.000]   allowing the performance gains from verifiable tasks to enhance the critics judgment on complex tasks like
[00:53:10.000 --> 00:53:15.680]   explicit reward that's crazy in the sense that you can fine tune essentially you can bootstrap yourself
[00:53:15.680 --> 00:53:22.400]   on verifiable reward to train a reward model for non-verifiable reward um how that transfers i don't
[00:53:22.400 --> 00:53:26.400]   know i don't know what the intuition is on that but i think there's a lot in this paragraph here
[00:53:26.400 --> 00:53:33.520]   on reward modeling and evaluation and the the critique just keeps getting better and better right they
[00:53:33.520 --> 00:53:41.280]   update the critiques uh as well and you know it recalibrates its evaluation standards and locks up a
[00:53:41.280 --> 00:53:45.920]   policy evaluation so if you if you look at this right right now we are solving verifiable reward like code
[00:53:45.920 --> 00:53:51.120]   and software right and the question we always have would this generalize to non-verifiable reward i think
[00:53:51.120 --> 00:53:58.160]   this paragraph here says that maybe it would uh in the sense that at least non-verifiable reward is
[00:53:58.160 --> 00:54:03.680]   helping non-verifiable reward then our evaluation so we start from there
[00:54:03.680 --> 00:54:14.080]   very interesting uh rl has slight modification policy so they have their muon optimizer
[00:54:17.040 --> 00:54:25.280]   several additions budget control so they say um properly distributed inference budget we enforce
[00:54:25.280 --> 00:54:31.440]   so um they kind of shit on reasoning models rl often results in substantial increase in length
[00:54:31.440 --> 00:54:40.160]   model generated outputs um now even though that gives improvement in performance these benefits often do
[00:54:40.160 --> 00:54:45.520]   not justify its inference costs in non-reasoning domains so for general stuff you don't want this to
[00:54:45.520 --> 00:54:52.880]   encourage the model to properly distribute its inference budget we in first we enforce a per sample maximum
[00:54:52.880 --> 00:54:59.600]   token budget draw rl throughout rl training and the budget is determined based on the type of tasks so
[00:54:59.600 --> 00:55:05.520]   our task you can reason a little more responses that exceed this token budget are truncated and assigned a
[00:55:05.520 --> 00:55:14.080]   penalty this is all done in the formula there watch it um it incentivizes the model to generate solutions within the
[00:55:14.080 --> 00:55:21.760]   limit enhances its token efficiency to get concise and effective um solutions ptx loss this just keeps it
[00:55:21.760 --> 00:55:27.840]   grounded in previous stuff temperature decay when it starts out you want high temperature so it can
[00:55:27.840 --> 00:55:36.560]   explore different stuff then uh you tone it down rl infrastructure um i don't think we have time for a lot
[00:55:36.560 --> 00:55:44.640]   of this efficient engine swapping efficient system startup agentic rollout rl infrastructure supports
[00:55:44.640 --> 00:55:51.760]   training on long horizon multi-turn agentic tasks tasks present distinct challenges two strategies
[00:55:51.760 --> 00:56:05.200]   to play heavy environments okay evals it books um all the evals are done at 4k context yeah um soda very
[00:56:05.200 --> 00:56:13.280]   soda i think that's enough red teaming they do some red teaming here limitations um when dealing
[00:56:13.280 --> 00:56:18.160]   with hard reasoning tasks or unclear tool definition the model may generate excessive tokens sometimes
[00:56:18.160 --> 00:56:24.800]   leading to truncated outputs or incomplete tool calls basically they have it in their rl that if it's
[00:56:24.800 --> 00:56:31.040]   too long we just truncate and it's cooked um you know that can lead to it wasting its context and then
[00:56:32.080 --> 00:56:37.680]   cutting off at tool calls additionally performance may decline on certain tasks if tool use is
[00:56:37.680 --> 00:56:41.920]   unnecessarily enabled when building a complete software project the success rate of one-shot
[00:56:41.920 --> 00:56:48.320]   bumping is not as good as k2 and their agent decoding stuff yeah um that's paper sorry um
[00:56:48.320 --> 00:56:54.080]   anyone familiar with their rl formula what rl variant is it based on
[00:56:54.800 --> 00:57:01.040]   let me check i thought i thought i knew this i think they said it's based on the kimi v 1.5 i
[00:57:01.040 --> 00:57:09.440]   haven't had a chance to go through that um okay yeah it is a 1.5 but what is the kimi 1.5 based on
[00:57:09.440 --> 00:57:16.560]   uh it's the same the reward model uh so the reward will minus the mean r uh so you can go back so grpo
[00:57:17.280 --> 00:57:23.680]   uh it yes it has gpo in it uh but it doesn't go through the partial sequence right so grpo actually
[00:57:23.680 --> 00:57:32.400]   go through partial sequence um and this one doesn't just a final okay thank you it looked grpo-esque um
[00:57:32.400 --> 00:57:42.800]   any other thoughts questions comments so i was wondering like for the 10 000 agents um it seems like a bit
[00:57:42.800 --> 00:57:47.760]   excessive because does it is it the fact that um all these agents are doing something a little bit different
[00:57:47.760 --> 00:57:55.920]   like how how does uh uh how does it take yeah do you mean the sandbox execution uh no given that you
[00:57:55.920 --> 00:58:02.480]   have so many tools right oh it's 10 000 concurrent sandboxes oh okay i'm sorry which i extrapolated to
[00:58:02.480 --> 00:58:07.920]   10 000 agents running it may be the same agent maybe i think no no i think this is just like when
[00:58:07.920 --> 00:58:16.080]   you're training in batch size of like 67 million or whatever you need a way to run your verification
[00:58:16.080 --> 00:58:23.360]   and stuff right you need to be able to let this thing talk call tools and like so when you're doing
[00:58:23.360 --> 00:58:28.640]   rollouts you're testing how well it can use tools and interact with the environment you have to keep
[00:58:28.640 --> 00:58:34.800]   state for these environments now you need a bunch of environments running so this is like you know this
[00:58:34.800 --> 00:58:42.560]   is for that it's not it's not 10 000 agents like swarming out to solve stuff maybe more like figure
[00:58:42.560 --> 00:58:48.800]   nine right which each dot each dot is like uh a different tool is that correct so basically the
[00:58:48.800 --> 00:58:54.880]   synthetic tool right yeah you just had it right there with a bunch of colors yeah right there so yeah figure
[00:58:54.880 --> 00:59:00.720]   yes figure nine right so figure nine um they create a lot of synthetic tools and i was wondering like
[00:59:00.720 --> 00:59:07.840]   does that diversity really help out that much um of different tools like uh are some of these doing
[00:59:07.840 --> 00:59:14.080]   redundant stuff so that's my question yes they're definitely doing redundant stuff right because i mean
[00:59:14.080 --> 00:59:20.080]   how many categories do you have here you have 10 000 tools and how many colors do we see i see maybe 30 40
[00:59:20.080 --> 00:59:29.440]   colors so yes tools are doing similar categories of stuff but um it's it's still like even if you have a tool
[00:59:29.440 --> 00:59:35.200]   in the same category as long as it has different descriptions different ways to use it different
[00:59:35.200 --> 00:59:41.920]   um steps because they don't just look at like their rubric isn't only on full task completion so they have
[00:59:41.920 --> 00:59:47.600]   like in the middle uh checks for you know partial partial completion as long as it's using the right
[00:59:47.600 --> 00:59:55.680]   tool use like the right steps that's still a good output but i think their sandbox is basically just
[00:59:56.320 --> 01:00:02.800]   keeping their environment online and like allowing these tool calls and these different environments
[01:00:02.800 --> 01:00:10.160]   to just keep state i guess my question is like are they do they want specifically add so much redundancy
[01:00:10.160 --> 01:00:16.880]   because you want the model to better generalize to usage uh because if i was kind of like have this
[01:00:16.880 --> 01:00:22.080]   diversity of stuff which does similar things how do i know which tool to even pick right so i'm trying to
[01:00:22.080 --> 01:00:27.600]   understand like what's the reasoning there yeah they're pre they're predetermined so in their data gen
[01:00:27.600 --> 01:00:36.480]   pipeline they create agents that have um specified what tools they're allowed to use so i think one yes
[01:00:36.480 --> 01:00:42.480]   you want diversity and being able to generalize and use different tools but two when they generate the
[01:00:42.480 --> 01:00:52.640]   agents themselves they're they're given um different yeah yeah yeah i'll try to find the quote yeah you're
[01:00:52.640 --> 01:00:57.280]   saying that they only present a certain number of tools right so that makes sense they're not given
[01:00:57.280 --> 01:01:04.000]   everything yeah gotcha so um basically we generate thousands of distinct agents by synthesizing various
[01:01:04.000 --> 01:01:09.760]   system prompts and equipping them with different combinations of tools from our repository so it's not
[01:01:09.760 --> 01:01:13.760]   like they have access to all 10 000 you probably have an agent that does something that has access to
[01:01:13.760 --> 01:01:18.320]   like four tools with varied capabilities areas of expertise and behavioral patterns
[01:01:18.320 --> 01:01:22.080]   i know armgard has a hand raised
[01:01:22.080 --> 01:01:32.160]   yeah thanks a lot for the amazing walkthrough i just wanted to go back to the point about uh whether
[01:01:32.160 --> 01:01:39.120]   this is a reasoning or non-reasoning model i i think this one is non-reasoning because uh one of the
[01:01:39.120 --> 01:01:44.320]   reasons i have a gripe with the recent reasoning models is they take too long to give you the answer
[01:01:44.320 --> 01:01:48.880]   and there is like an argument about whether we can justify this increase in cost on latency
[01:01:48.880 --> 01:01:54.400]   like whether the increase in performance can justify the increasing cost of latency but for this model if
[01:01:54.400 --> 01:01:59.920]   you ask it to translate a document from english to french it will give you the french translator
