
[00:00:00.000 --> 00:00:01.000]   Guys, my dog.
[00:20:17.060 --> 00:20:19.540]   to the left of society as a whole. Sachs?
[00:20:19.540 --> 00:20:20.340]   Well, actually,
[00:20:20.340 --> 00:20:24.980]   Chamath put this on the docket. So, Chamath, do you want to introduce what you liked about it?
[00:20:24.980 --> 00:20:28.980]   The reason I saw this and I thought it was so interesting was basically we had
[00:20:28.980 --> 00:20:38.020]   an entire body of research trying to understand why some folks are attracted to these authoritarian
[00:20:38.020 --> 00:20:44.180]   figures like Trump. And overwhelmingly, all the research at the time said they only exist on the
[00:20:44.180 --> 00:20:50.180]   right. And, you know, you… and all of this started after Hitler. And so, there was all this
[00:20:50.180 --> 00:20:55.700]   research around the, you know, social and attitudinal reactions to Hitler and how he came
[00:20:55.700 --> 00:21:01.380]   to power and then all of the iterations of folks like him on the right afterwards. And so, people
[00:21:01.380 --> 00:21:06.500]   put Trump in that category and then they said it can only exist there. But as it turns out,
[00:21:06.500 --> 00:21:10.980]   when this person did this research and she surveyed 7,000 people and all of this data was
[00:21:10.980 --> 00:21:15.940]   very well summarized in this Atlantic article, which I'm sure we can post in the show notes that
[00:21:15.940 --> 00:21:20.020]   folks should read, lo and behold, it actually exists on both sides.
[00:21:20.020 --> 00:21:25.540]   So, as it turns out, the extreme right and the extreme left are exactly the same.
[00:21:25.540 --> 00:21:31.220]   They're moral absolutists. They believe in themselves and themselves only. And they believe
[00:21:31.220 --> 00:21:37.300]   anybody else that outside of where they are is fundamentally in the wrong. And if you actually
[00:21:37.300 --> 00:21:44.500]   look at that and see how Trump behaved in his presidency and now how you see how the left
[00:21:44.500 --> 00:21:49.860]   names and shames, you actually find a lot of commonality. So, the reason I found that article
[00:21:49.860 --> 00:21:52.980]   interesting is that it actually says again what we've been saying, which is
[00:21:52.980 --> 00:21:58.740]   coming down the middle and finding, you know, reasonable compromise is the only way forward
[00:21:58.740 --> 00:22:04.260]   because the minute you start moving in either direction, you are the same. And that person is
[00:22:04.260 --> 00:22:08.100]   an ugly person that we don't want around. Let me give the money quote and then get
[00:22:08.100 --> 00:22:12.900]   your feedback, Friedberg. The similarities in the study included, quote, "similarities between
[00:22:12.900 --> 00:22:18.100]   authoritarianism on both sides, left and right, preference for social uniformity, check, prejudice
[00:22:18.100 --> 00:22:19.700]   toward different groups, different
[00:22:19.700 --> 00:22:25.460]   others, willingness to wield group authority to coerce behavior, cognitive rigidity,
[00:22:25.460 --> 00:22:32.260]   aggression and punitiveness toward perceived enemies, outsized concern for hierarchy, and,"
[00:22:32.260 --> 00:22:36.020]   as Chamath pointed out, "moral absolutism." Friedberg?
[00:22:36.020 --> 00:22:39.860]   I think authoritarian figures resolve when
[00:22:39.860 --> 00:22:49.540]   a population feels insecure. So, I mean, we talked about this last pod, but I do think that
[00:22:49.540 --> 00:22:56.820]   you know, the notion of freedom emerges after the comfort of security has been provided. And I think
[00:22:56.820 --> 00:23:03.780]   the absence of security drives people away from the drive towards freedom. Like, when you have a
[00:23:03.780 --> 00:23:08.900]   feeling of insecurity with respect to kind of your ability to get a job, I mean, remember,
[00:23:08.900 --> 00:23:16.580]   Hitler rose to power when unemployment, you know, post-Weimar Republic was skyrocketing.
[00:23:16.580 --> 00:23:19.380]   People, you know, couldn't get jobs, they couldn't afford food.
[00:23:19.380 --> 00:23:24.100]   And the authoritarian figure was going to provide the security needed, I think,
[00:23:24.100 --> 00:23:29.620]   to resolve the concerns that the population had. And then, you know, people latch on to that. So,
[00:23:29.620 --> 00:23:33.700]   you know, there are moments in time when I think authoritarianism can emerge
[00:23:33.700 --> 00:23:37.940]   with different forms of resolution. It doesn't necessarily mean that the authoritarian actor
[00:23:37.940 --> 00:23:42.820]   needs to take a left or a right point of view. They're just going to give you a path to security
[00:23:42.820 --> 00:23:46.260]   when you're feeling insecure. If you don't feel insecure, you're going to say, "That's ridiculous."
[00:23:46.260 --> 00:23:48.500]   So, countries that are wealthy, countries that are
[00:23:48.500 --> 00:23:53.460]   privileged with the opportunities that maybe the United States has are less likely and less
[00:23:53.460 --> 00:24:00.740]   inclined to fall in, you know, in favor of authoritarian leaders. And then as we slip
[00:24:00.740 --> 00:24:06.900]   backwards economically, unemployment-wise, etc., we're more likely to be in favor of
[00:24:06.900 --> 00:24:09.940]   those sorts of actors. And so, I think that, you know, we'll see them emerge.
[00:24:09.940 --> 00:24:14.740]   But don't you think it's crazy that we actually didn't think it could exist in one end of the
[00:24:14.740 --> 00:24:17.460]   political spectrum and now it does? You have a point in that or no?
[00:24:17.460 --> 00:24:18.340]   I never really understood the point of that.
[00:24:18.340 --> 00:24:23.300]   I never understood the whole like, "Hitler is purely a right-wing guy." Like, he was a,
[00:24:23.300 --> 00:24:27.940]   you know, a socialist and he was trying to enable like, you know, socialized services and socialized
[00:24:27.940 --> 00:24:32.100]   systems for people, you know, in a lot of political circles that would be argued as being
[00:24:32.100 --> 00:24:36.180]   a very kind of left point of view. And so, I don't know if it... Yeah, I...
[00:24:36.180 --> 00:24:42.340]   Let's go beyond Hitler. You're right, the Nazi party was a national socialist party. That's
[00:24:42.340 --> 00:24:48.180]   what the name of the party was. But there's also Stalin, Pol Pot, Mao. I mean, if you're paying
[00:24:48.180 --> 00:24:54.020]   attention to history, you know that there's been authoritarianism on the left, not just the right.
[00:24:54.020 --> 00:24:59.540]   But, you know, in the universities and in the media, they only want to focus on the
[00:24:59.540 --> 00:25:05.140]   right-wing version of it. And I think what this study does is it upends 70 years of dogma that,
[00:25:05.140 --> 00:25:12.020]   you know, authoritarianism is only to be found on the political right. I mean, it obviously can be
[00:25:12.020 --> 00:25:18.020]   found on the political left as well. And you can see that in cancel culture, in speech restrictions,
[00:25:18.580 --> 00:25:27.860]   in these very aggressive Covid mandates that are now happening. You can see it in the sort of the
[00:25:27.860 --> 00:25:35.140]   ghoulishness. Anytime somebody on the right, you know, dies from Covid, I mean, there's always some
[00:25:35.140 --> 00:25:41.220]   chortling on the part of the left about this. The harsh penalties for noncompliance. I mean, right now...
[00:25:41.220 --> 00:25:47.860]   A lot of rigidity is the one that stands out for me, like, there is just on the left, they make a decision. Amazon is
[00:25:47.860 --> 00:25:51.940]   bad, and they cannot move off of that. Right, David? Like, even if...
[00:25:51.940 --> 00:25:55.460]   What about willingness to wield group authority to coerce behavior? And what about aggression
[00:25:55.460 --> 00:25:58.980]   and punitiveness towards perceived enemies? Cancel culture. That would be cancel culture.
[00:25:58.980 --> 00:25:59.700]   That to me is...
[00:25:59.700 --> 00:26:04.420]   It begs a good question, which is, what socialist
[00:26:04.420 --> 00:26:12.340]   regimes have come to power without an authoritarian figure? Has there... I'm just trying to...
[00:26:12.340 --> 00:26:17.700]   None. They're all revolutionaries. And actually, the study has a really good point,
[00:26:17.700 --> 00:26:23.700]   about this, which is they say that the researchers describe what they call anti-hierarchical aggression.
[00:26:23.700 --> 00:26:29.220]   So, one of the traits of authoritarianism is, they call it an outsized concern for hierarchy.
[00:26:29.220 --> 00:26:33.380]   But, you know, leftists think that they don't believe in hierarchy, but actually they do.
[00:26:33.380 --> 00:26:39.540]   They believe in an anti-hierarchical hierarchy, which is they want to turn upside down the social hierarchy,
[00:26:39.540 --> 00:26:47.540]   and they're willing to justify... The ends justify the means. In other words, if you can turn the hierarchy upside down, they'll let you do anything.
[00:26:47.540 --> 00:26:51.380]   And it's actually pretty scary. That's where the revolution comes from.
[00:26:51.380 --> 00:26:56.980]   Here's a practical thing, J. Cal, about what you said, which illustrates this point even further.
[00:26:56.980 --> 00:27:04.100]   Right now, we have a three and a half trillion dollar bill meandering through Congress. And,
[00:27:04.100 --> 00:27:06.980]   you know, it's very much a question mark about whether it gets passed or not.
[00:27:06.980 --> 00:27:16.180]   And one of the elements that's in there is free community college. Now, when it passes, if it passes,
[00:27:17.380 --> 00:27:22.100]   there's a lot of support that that's something that the government should do. It's a good thing.
[00:27:22.100 --> 00:27:26.820]   But if you're a private company like Amazon, who just announced that they will give you free college,
[00:27:26.820 --> 00:27:33.220]   they're still a bad company. And this is the example of this intellectual rigidity that
[00:27:33.220 --> 00:27:37.380]   doesn't actually see the forest from the trees. What do you really want? Do you want the process
[00:27:37.380 --> 00:27:42.820]   where you control and you meter out progress? Or do you actually want the outcome where
[00:27:42.820 --> 00:27:47.220]   somebody can get a job where they make fifteen or twenty dollars an hour and also now get
[00:27:47.220 --> 00:27:50.420]   college paid for? Yes, I personally want the latter.
[00:27:50.420 --> 00:27:52.740]   Yeah, we much better if the government didn't have to provide.
[00:27:52.740 --> 00:27:56.820]   I'd love I'd love it if the government could pay for it. But I'm really glad that Amazon is in a
[00:27:56.820 --> 00:28:01.860]   position to pay for it as well. But if you start to become absolutist and say, well, no, it just
[00:28:01.860 --> 00:28:06.660]   needs to be top down and metered out this way. And any private organization that wants to try to do
[00:28:06.660 --> 00:28:11.620]   it is still bad. I think that's where that rigidity holds us all back. It's unnecessary.
[00:28:11.620 --> 00:28:17.060]   Here's where I see the rigidity, Chamath is they keep saying gig workers are bad. Nobody should be
[00:28:17.060 --> 00:28:21.220]   allowed to be a gig worker. And David had a great interview with the ride sharing guy on call in
[00:28:21.220 --> 00:28:26.900]   in which they talked about the fact and this is somebody who is super pro advocate of drivers said,
[00:28:26.900 --> 00:28:33.300]   listen, 80% of people do not want to do shift work. They do not want the government dictating
[00:28:33.300 --> 00:28:39.300]   how they work. And I talked anecdotally with an Uber driver says making like 70 bucks an hour
[00:28:39.300 --> 00:28:45.860]   during peak hours. They were fighting to get minimum wage for drivers. Now drivers are making
[00:28:46.900 --> 00:28:52.980]   40 $50 an hour. Uber rides have gone and Lyft rides. It's a massive competition free market
[00:28:52.980 --> 00:28:58.500]   works. Well, and they can't take the win. They still are so rigid on the left that they're
[00:28:58.500 --> 00:29:03.380]   demanding whatever that woman's name is, who is you know, in the pocket of the arena Gonzalez,
[00:29:03.380 --> 00:29:10.900]   Lorraine Gonzalez in the pocket of the unions. How cynical are they? The victory is upon them.
[00:29:10.900 --> 00:29:15.780]   People are getting paid five times more, three times more wage, and they still want to screw them
[00:29:15.780 --> 00:29:16.740]   the takeaway for a lot of people. The takeaway for a lot of people is that they're not going to do it.
[00:29:16.740 --> 00:29:23.060]   A lot of people should be that your spidey senses should go up. When folks present solutions as a
[00:29:23.060 --> 00:29:31.700]   choice of one source only. Ah, you know, when things when things can only happen in one way,
[00:29:31.700 --> 00:29:36.020]   and it's the way that I feel the most comfortable. Yeah, your spidey sensor should go up and you
[00:29:36.020 --> 00:29:41.220]   should think to yourself really is that is that really the only way like can't we have choice?
[00:29:41.220 --> 00:29:44.980]   Can't we have different ways of solving this? Can't we maybe we can run an experiment and see
[00:29:44.980 --> 00:29:46.580]   what happens? Go ahead, sex. Well,
[00:29:46.580 --> 00:29:51.780]   I think your spidey sense should also go up whenever somebody is basically saying that
[00:29:51.780 --> 00:29:57.220]   speech needs to be censored for some higher purpose. You know, that that that whatever
[00:29:57.220 --> 00:30:04.820]   people are trying to abridge and take away our rights and our sort of long held values,
[00:30:04.820 --> 00:30:10.500]   our freedoms, you have to start getting concerned. And there's always a reason why they want to do it.
[00:30:10.500 --> 00:30:15.860]   In the study, the quote that the left wing authoritarians agreed with was getting rid of
[00:30:15.860 --> 00:30:16.420]   inequality,
[00:30:16.420 --> 00:30:20.500]   equality is more important than protecting the so called right to free speech. So there's always
[00:30:20.500 --> 00:30:26.740]   some higher reason the means always justify the the ends always justify the means. But but that's
[00:30:26.740 --> 00:30:29.780]   that's what you have to look out for is when they're taking away your right to speech to
[00:30:29.780 --> 00:30:35.860]   another fun proof point. Fun because it's Dave Chappelle that you can listen to or watch to
[00:30:35.860 --> 00:30:40.660]   see a flavor of this left wing authoritarianism is called redemption song,
[00:30:40.660 --> 00:30:46.260]   which is a little clip he put out recently. And the the entire clip is more about him
[00:30:46.260 --> 00:30:52.020]   getting his body of work back from Comedy Central. But the part in the beginning talks about
[00:30:52.020 --> 00:30:59.780]   folks on the left that really tried to dunk on him when he got COVID. And you should just listen to
[00:30:59.780 --> 00:31:04.420]   his reaction and how he frames it. Because I think it's pretty powerful. And again, it explains that
[00:31:04.420 --> 00:31:07.780]   extremism on both sides, they actually end up looking the same.
[00:31:07.780 --> 00:31:12.260]   Yeah, aggression and punitiveness towards perceived enemies. And I think that applies to
[00:31:12.260 --> 00:31:16.100]   anyone who anyone who defies the whatever the
[00:31:16.100 --> 00:31:23.060]   conventional wisdom is on COVID. There's another another example in the study of that, that the
[00:31:23.060 --> 00:31:26.980]   people who the left wing authoritarians agreed with the statement, I cannot imagine myself
[00:31:26.980 --> 00:31:31.380]   becoming friends with a political conservative. So you know, you've got these social groups that
[00:31:31.380 --> 00:31:36.100]   are completely uniform. And by the way, there have been like studies for a long time showing that
[00:31:36.100 --> 00:31:41.220]   liberals are twice as likely as conservatives to be upset if their son or daughter were to
[00:31:41.220 --> 00:31:45.700]   marry someone of the opposite party. So this has been this has been turned up in polls for a while.
[00:31:45.940 --> 00:31:51.140]   But this and you've seen it on universities and college campuses, right. But there's this idea that
[00:31:51.140 --> 00:31:57.460]   you know, anybody of the other political side is just suspect, you know, morally suspect needs to
[00:31:57.460 --> 00:32:02.740]   be shunned, needs to be expelled. Like those are the people you have to be concerned about.
[00:32:02.740 --> 00:32:05.620]   Yeah, you can't be friends. I can't be friends with you,
[00:32:05.620 --> 00:32:07.860]   Sachs, because you voted for Trump. It's just ridiculous.
[00:32:07.860 --> 00:32:15.780]   No, but it's, I think it's the derangement to give the other side of this. I think Trump was so
[00:32:15.780 --> 00:32:21.460]   extreme and so trolling and so great. I mean, if you think about his superpower, it was to troll
[00:32:21.460 --> 00:32:27.300]   the left and put them into such a deranged mindset that they did actually become that which they
[00:32:27.300 --> 00:32:32.500]   hated most. Right, but he did. He did troll the left. But But here's, but here's the thing is that
[00:32:32.500 --> 00:32:38.820]   we only hear in the media about the authoritarianism of the Trump administration. How
[00:32:38.820 --> 00:32:45.620]   many times were they screaming fascism during the Trump years? And, and now today, and of course,
[00:32:45.620 --> 00:32:50.260]   you know, if you go to MSNBC, it's January six all day all the time. That's all they want to talk
[00:32:50.260 --> 00:32:55.140]   about. But you there's a total blind spot with respect to the authoritarian tendencies of the
[00:32:55.140 --> 00:33:00.660]   left, which we see right now in COVID policy. I mean, it is getting so extreme right now.
[00:33:00.660 --> 00:33:05.860]   And I mean, Freeberg, you posted a the breaking news that just announced by a press conference,
[00:33:05.860 --> 00:33:11.620]   Gavin Newsom is now implementing mandated COVID vaccines for all public K through 12 schools
[00:33:11.620 --> 00:33:15.460]   in California starting this fall. Wait, wait, these students?
[00:33:16.180 --> 00:33:20.900]   Yeah, all eligible kids in all in all public schools, in all public schools,
[00:33:20.900 --> 00:33:24.020]   in order to go to school in California, you have to have a vaccine.
[00:33:24.020 --> 00:33:28.820]   I mean, kindergarten, kindergarten? Well, I mean, they're not eligible. Yeah,
[00:33:28.820 --> 00:33:32.580]   if it's when they're eligible, they're, they're, they're gonna be eligible very soon.
[00:33:32.580 --> 00:33:40.580]   I mean, look, I so so we have a 13 year old and 11 year old and a five year old, the 13 year old
[00:33:40.580 --> 00:33:45.060]   got vaccinated. She wanted to we supported it, the 11 year old wasn't eligible. She didn't get a
[00:33:45.300 --> 00:33:49.460]   vaccine. She got COVID. For me, it was a mild case. And our five year old isn't eligible for
[00:33:49.460 --> 00:33:55.380]   the vaccine. He never got COVID. Now, if if and when a new vaccine comes out that our five year
[00:33:55.380 --> 00:34:00.100]   old is eligible, I don't think he needs it. I mean, I'm not anti vax. I mean, I'm glad I got
[00:34:00.100 --> 00:34:05.300]   the vaccine. I'm glad you know, going to school by 13 year old vaccine. Yeah, he goes to school.
[00:34:05.300 --> 00:34:09.220]   Question is, do you if it is safe? Do you want them going to school catching it,
[00:34:09.220 --> 00:34:13.620]   spreading it? And do you want them to not have to wear a mask? Because you say conclusively,
[00:34:14.420 --> 00:34:18.980]   what say for a five or six year old at this point, it's a little hard, their bodies are developing.
[00:34:18.980 --> 00:34:23.300]   And yeah, you need some time. Do we really need to mandate this? I mean, why? Why can't parents
[00:34:23.300 --> 00:34:27.300]   make up their own decision? Because of other people in society would be impacted? I mean,
[00:34:27.300 --> 00:34:31.300]   you also see this, you know, look, I think I think vaccines maybe are complicated to
[00:34:31.300 --> 00:34:35.220]   debate because vaccines do actually provide protection. Let's talk about these mass
[00:34:35.220 --> 00:34:39.540]   mandates, which I supported at the beginning of the pandemic, because it's all we had to fight it.
[00:34:39.540 --> 00:34:44.260]   But you take an example like San Francisco still has these stringent mass mandates that may or
[00:34:44.260 --> 00:34:46.980]   not be effective. And I think that's a good example of how we can do this.
[00:34:46.980 --> 00:34:49.940]   So I think that's a good example of how we can do this. And I think that's a good example of how
[00:34:49.940 --> 00:34:51.460]   we can do this. And I think that's a good example of how we can do this. And I think that's a good
[00:34:51.460 --> 00:34:51.780]   example of how we can do this. And I think that's a good example of how we can do this.
[00:34:51.780 --> 00:34:55.700]   Yeah, I mean, that's what she said. She was like, she was basically like,
[00:34:55.700 --> 00:34:57.620]   it's Tony, Tony, Tony, guys, what do you want me to do?
[00:34:57.620 --> 00:35:00.180]   I'll risk the COVID, which is personal freedom.
[00:35:00.180 --> 00:35:00.980]   I had to give her that one.
[00:35:00.980 --> 00:35:06.020]   If you want to risk, if you want to risk COVID to play poker, or see your favorite artist,
[00:35:06.020 --> 00:35:07.940]   I mean, I mean, what do you want to do? What do you want her to do?
[00:35:07.940 --> 00:35:09.940]   What do you think about? Let me ask this question.
[00:35:09.940 --> 00:35:14.980]   What she said when she got caught was actually correct, which is we should be out supporting
[00:35:14.980 --> 00:35:18.260]   restaurants, we should be out supporting nightlife, adults should be able to make their
[00:35:18.260 --> 00:35:22.180]   own decision about the risks they're willing to take. The problem is she's not willing to give
[00:35:22.180 --> 00:35:24.260]   the rest of us that choice. Right.
[00:35:24.260 --> 00:35:29.060]   And we can all make our own choice. And by the way, look, the idea that the COVID is not going
[00:35:29.060 --> 00:35:34.740]   to get you with you know, once you take off your mask, when you get to the table, you know, we've
[00:35:34.740 --> 00:35:37.780]   talked about this, right? Yeah, you wear the mask and the made or
[00:35:37.780 --> 00:35:41.780]   do you stand to the table, then you take it off to eat and drink. And the COVID somehow
[00:35:41.780 --> 00:35:47.380]   between getting in. She was saying she was like, I listen, they were like, you weren't eating,
[00:35:47.380 --> 00:35:51.220]   we have you on video, you weren't drinking. She's like, it's unrealistic for an adult to put the
[00:35:51.220 --> 00:35:56.580]   mask on and off in between sips and bites. And I was on a flight and I was flying coach as opposed
[00:35:56.580 --> 00:36:01.460]   to business class recently. And when I was in business class, I was eating and drinking.
[00:36:01.460 --> 00:36:04.820]   There was no entire foreign language so far you're speaking what are you saying?
[00:36:07.620 --> 00:36:11.140]   Most people pay for a plane ticket and then they get on an airplane.
[00:36:11.140 --> 00:36:14.980]   So but the interesting thing was when I was in business class, I was eating my meal,
[00:36:14.980 --> 00:36:19.540]   I was drinking no issues. I had the mask off for whatever 20 minutes I was eating and drinking.
[00:36:19.540 --> 00:36:25.060]   When I was in coach, same situation, the flight attendant was going up and down the aisle.
[00:36:25.060 --> 00:36:28.580]   And while people were eating and drinking, if they didn't have the mask on, she was kind of being like
[00:36:28.580 --> 00:36:34.340]   a whole monitor saying please put your mask on in between bites. And I was like, okay.
[00:36:34.340 --> 00:36:37.460]   Yeah. And when we supported this mask man,
[00:36:37.460 --> 00:36:41.140]   day way at the beginning of the vaccine, we all thought the government's going to distribute N99,
[00:36:41.140 --> 00:36:46.180]   or at least N95 high quality 3M masks, right? We never got those. We never got them.
[00:36:46.180 --> 00:36:47.460]   Where's our testing kits?
[00:36:47.460 --> 00:36:51.940]   I know people are like walking around wearing these cloth masks, these loose fitting cloth
[00:36:51.940 --> 00:36:57.140]   masks. It's ridiculous. The COVID goes, you know, through the bottom, over the top, through the
[00:36:57.140 --> 00:37:00.340]   side, go right through it. I mean, like it doesn't do anything.
[00:37:00.340 --> 00:37:02.500]   Yeah, you're the lone ranger. Yeah. How's that work?
[00:37:02.500 --> 00:37:07.300]   I mean, I look if you wear a high quality, like, you know, PPE type,
[00:37:07.300 --> 00:37:13.220]   mask, I think it might be helpful. But you know, it's a marginal benefit once we have vaccines.
[00:37:13.220 --> 00:37:16.740]   Oh, by the way, just as we end this, what do we think of
[00:37:16.740 --> 00:37:22.500]   Andrew Wiggin? Well, you can't comment on this, maybe because you're an owner on the team, but
[00:37:22.500 --> 00:37:28.180]   a number of NBA players, high profile ones, in fact, in New York and California,
[00:37:28.180 --> 00:37:31.700]   where you're not allowed in the arena, if you're not vaccinated,
[00:37:31.700 --> 00:37:37.140]   are now deciding to sit out their home games. So Kyrie Irving being the highest profile
[00:37:37.140 --> 00:37:44.420]   one is refusing to get the vaccine. And he will be getting paid. He's got a $200 million contract
[00:37:44.420 --> 00:37:50.580]   max player, I think he gets 40 50 million a year. He's going to give up half of his salary to not
[00:37:50.580 --> 00:37:56.100]   20 million a year to not get the vaccine at least and leave his team to not play with them in home
[00:37:56.100 --> 00:38:03.620]   games. What are our thoughts on mandating NBA players who are playing inside an arena to be
[00:38:03.620 --> 00:38:05.460]   vaccinated? DC Draymond interview?
[00:38:05.460 --> 00:38:06.980]   I did.
[00:38:06.980 --> 00:38:09.220]   What did what did a day have to say about this?
[00:38:09.220 --> 00:38:12.180]   He says he's so fucking strong, isn't he?
[00:38:12.180 --> 00:38:16.340]   Yeah, he was like, this is ridiculous that we don't like respect each other is like,
[00:38:16.340 --> 00:38:20.980]   we've made this so political. And it's all like antagonistic, as opposed to meta,
[00:38:20.980 --> 00:38:25.380]   recognizing that there are differences and people have differences of opinion and respecting them
[00:38:25.380 --> 00:38:29.620]   and embracing each other for those differences rather than like, attacking each other and finding
[00:38:29.620 --> 00:38:32.660]   fault in each other and forcing them. And it's a great point. But
[00:38:32.660 --> 00:38:36.820]   I don't know. I mean, I don't think that this point is any different than
[00:38:36.820 --> 00:38:42.180]   the point about, you know, mandating a vaccine for anything, any workplace, any school. I mean,
[00:38:42.180 --> 00:38:45.780]   if you're going to mandate if you're going to mandate vaccines for workplaces and mandate
[00:38:45.780 --> 00:38:51.460]   vaccines for schools, you know, the NBA is gonna, you know, not be kind of excluded here. It's what
[00:38:51.460 --> 00:38:51.780]   it is.
[00:38:51.780 --> 00:38:55.300]   Right, just happens to be a bigger paycheck and a higher profile stage.
[00:38:55.300 --> 00:38:57.220]   I think as a matter of policy,
[00:38:57.220 --> 00:39:01.460]   the right policy here is to let private employers decide whether they're going to require
[00:39:01.460 --> 00:39:06.420]   vaccination or not. I think I think private organizations have the right to do that. If you
[00:39:06.420 --> 00:39:10.580]   know if a restaurateur wants to say that we are going to be an all vax restaurant, you want to,
[00:39:10.580 --> 00:39:14.740]   you know, they're only going to take clientele who are vax, that should be their right to do it.
[00:39:14.740 --> 00:39:19.300]   If another restaurant says we don't care, people can go to that restaurant if they want. You know,
[00:39:19.300 --> 00:39:22.980]   I think that the free market can sort of sort this out. I don't know that we need the government
[00:39:22.980 --> 00:39:25.940]   imposing it. If the NBA decides this is what they want to do, they can't.
[00:39:25.940 --> 00:39:28.260]   The NBA has decided, what do you think of that decision?
[00:39:28.260 --> 00:39:31.700]   Well, I mean, what I wonder about is how necessary it is.
[00:39:31.700 --> 00:39:35.940]   I mean, given the fact that, you know, all the players are young and healthy,
[00:39:35.940 --> 00:39:42.100]   and if they want the vaccine, they can get the vaccine. Look, I'm really glad I got it. You know,
[00:39:42.100 --> 00:39:49.460]   I think it but but I just you know, if given that everybody is vaccinated now who wants it,
[00:39:49.460 --> 00:39:55.060]   I just you know, what is the point of forcing that last 10% of holdouts to do something they
[00:39:55.060 --> 00:39:59.620]   don't want to do? I mean, this is where I think the authoritarian I would resist the authoritarian
[00:39:59.620 --> 00:40:00.500]   impulse.
[00:40:00.500 --> 00:40:05.860]   Freiburg, is there a new pill that's coming out? I saw a story today about this. I don't
[00:40:05.860 --> 00:40:07.540]   know if want to cover that or go to unicorns first.
[00:40:07.540 --> 00:40:15.940]   Merck published some results on this, basically, antiviral pill, it effectively
[00:40:15.940 --> 00:40:23.940]   inhibits RNA replication in viruses, and it's kind of, it was designed to be kind of broadly
[00:40:23.940 --> 00:40:29.620]   applicable. It was, you know, discovered at Emory University years ago, and they were testing it for
[00:40:29.620 --> 00:40:35.780]   influenza. And then even pre pre COVID, they were testing it on other kind of coronaviruses. Asar,
[00:40:35.780 --> 00:40:43.060]   and MERS. And so the the data that they just published shows that there's a 50% reduction in
[00:40:43.060 --> 00:40:51.860]   hospitalizations 50% in hospitalizations, water for people that are test positive for SARS CoV
[00:40:51.860 --> 00:40:55.780]   two infection, and then they start the pill within some number of hours, you take a few of these
[00:40:55.780 --> 00:41:00.340]   pills, I think they said five days, right? Yeah, well, I think it will they did the test on like,
[00:41:00.340 --> 00:41:05.700]   it was effectively Yeah, four or five days. That's right. When you end up reducing the number, the,
[00:41:05.700 --> 00:41:11.060]   the percentage of people that end up in the hospital by 50%. Now, you know, so the idea is
[00:41:11.060 --> 00:41:17.220]   that for countries that don't have access to vaccines, you can very cheaply make this chemistry,
[00:41:17.220 --> 00:41:21.140]   it's a cheap molecule that you could theoretically produce at scale, and you could ship it all over
[00:41:21.140 --> 00:41:25.940]   the world. And countries that don't have, you know, broad scale vaccination programs, they can
[00:41:25.940 --> 00:41:30.980]   make these pills available quickly and cheaply. And then you know, as people get infected with SARS
[00:41:30.980 --> 00:41:35.620]   CoV two, they just pick up this pill, you know, put it in every pharmacy, go grab a couple. And
[00:41:35.620 --> 00:41:40.660]   then you know, the hospitalization rate goes down, we don't yet know if it reduces the transmission
[00:41:40.660 --> 00:41:45.460]   rate. So there's a lot of question marks on like, does this actually solve the problem of the
[00:41:45.460 --> 00:41:50.500]   pandemic? It's certainly another instrument to blunt the, you know, the impact announced the
[00:41:50.500 --> 00:41:57.140]   name of it. It's mall new all new peer review, mall new peer review, the government. And by the
[00:41:57.140 --> 00:42:01.940]   way, there wasn't a lot of people in the study, no one that took the pill died, people that didn't
[00:42:01.940 --> 00:42:05.540]   take the pill did die in the in the infection in the infected population, because they were
[00:42:05.540 --> 00:42:09.380]   not the only ones that took the pill. And so I think that's a really important question, because
[00:42:09.380 --> 00:42:12.740]   they split them, right? They gave some people a placebo and some people the pill, the people that
[00:42:12.740 --> 00:42:18.420]   had the placebo, there were deaths. No one in the group that had the pill, the actual pill died. And
[00:42:18.420 --> 00:42:23.060]   so, you know, so theoretically, we don't yet have enough data to know. But there's also a big
[00:42:23.060 --> 00:42:30.820]   question on the side effects. Typically, these anti viral RNA kind of blocking drugs have other
[00:42:30.820 --> 00:42:35.460]   side effects. They're usually pretty mild, but you know, so there'll be a little bit more studying.
[00:42:35.460 --> 00:42:36.500]   So I think that's a really important question. And I think that's a really important question.
[00:42:36.500 --> 00:42:36.660]   I think that's a really important question. I think that's a really important question.
[00:42:36.660 --> 00:42:39.060]   I'm going to make it I'm going to make a prediction. Here we go.
[00:42:39.060 --> 00:42:46.900]   I think that the combination of vaccines and what is equivalently Tamiflu for COVID,
[00:42:46.900 --> 00:42:53.780]   which is effectively what this is, is the one two punch we need, so that this basically is rendered.
[00:42:53.780 --> 00:42:57.300]   You're missing the three, you're missing a key piece there, the testing,
[00:42:57.300 --> 00:42:59.780]   you must have testing to know that you have to take this.
[00:42:59.780 --> 00:43:05.380]   But I think that that's a I think like the testing is, it's not efficient, but the solution
[00:43:05.380 --> 00:43:06.020]   is, it's not efficient, but the solution is, it's not efficient, but the solution is, it's not
[00:43:06.020 --> 00:43:09.940]   efficient. My point is, if you have a combination of all these things, this is like a flu, which
[00:43:09.940 --> 00:43:14.820]   means that there'll be less ability for folks to not show up to work, which means that most of the
