
[00:00:00.040 --> 00:00:09.380]  fäh
[00:22:28.880 --> 00:22:58.900]  ,
[00:22:58.900 --> 00:22:58.900]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:58.900 --> 00:22:58.900]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:58.900 --> 00:22:58.900]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:58.900 --> 00:22:58.900]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:58.900 --> 00:22:58.900]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:58.900 --> 00:22:58.900]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:58.900 --> 00:22:58.900]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel to have an idea about the novel.
[00:22:58.920 --> 00:23:28.920]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:28.920 --> 00:23:28.920]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:28.920 --> 00:23:28.920]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:28.920 --> 00:23:28.920]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:28.920 --> 00:23:28.920]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:28.920 --> 00:23:28.920]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:28.920 --> 00:23:28.920]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:28.920 --> 00:23:28.920]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:28.960 --> 00:23:58.940]  ,
[00:23:58.940 --> 00:23:58.940]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:58.940 --> 00:23:58.940]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:58.940 --> 00:23:58.940]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:58.940 --> 00:23:58.940]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:58.940 --> 00:23:58.940]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:23:58.940 --> 00:23:58.940]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel to have an idea about the novel.
[00:23:58.960 --> 00:24:28.960]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:28.960 --> 00:24:28.960]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:28.960 --> 00:24:28.960]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:28.960 --> 00:24:28.960]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:28.960 --> 00:24:28.960]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:28.960 --> 00:24:28.960]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:28.960 --> 00:24:28.960]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:28.960 --> 00:24:28.960]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:28.960 --> 00:24:58.980]  ,
[00:24:58.980 --> 00:24:58.980]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:58.980 --> 00:24:58.980]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:58.980 --> 00:24:58.980]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:58.980 --> 00:24:58.980]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:58.980 --> 00:24:58.980]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:58.980 --> 00:24:58.980]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:24:58.980 --> 00:24:58.980]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel to have an idea about the novel.
[00:24:59.000 --> 00:25:29.000]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:29.000 --> 00:25:29.000]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:29.000 --> 00:25:29.000]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:29.000 --> 00:25:29.000]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:29.000 --> 00:25:29.000]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:29.000 --> 00:25:29.000]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:29.000 --> 00:25:29.000]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:29.000 --> 00:25:29.000]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:29.000 --> 00:25:59.020]  ,
[00:25:59.020 --> 00:25:59.020]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:59.020 --> 00:25:59.020]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:59.020 --> 00:25:59.020]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:59.020 --> 00:25:59.020]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:59.020 --> 00:25:59.020]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:59.020 --> 00:25:59.020]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:25:59.020 --> 00:25:59.020]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel to have an idea about the novel.
[00:25:59.040 --> 00:26:29.040]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:29.040 --> 00:26:29.040]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:29.040 --> 00:26:29.040]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:29.040 --> 00:26:29.040]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:29.040 --> 00:26:29.040]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:29.040 --> 00:26:29.040]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:29.040 --> 00:26:29.040]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:29.040 --> 00:26:29.040]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:29.080 --> 00:26:59.060]  , I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:59.060 --> 00:26:59.060]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:59.060 --> 00:26:59.060]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:59.060 --> 00:26:59.060]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:26:59.080 --> 00:27:29.080]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:27:29.080 --> 00:27:29.080]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:27:29.080 --> 00:27:29.080]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:27:29.080 --> 00:27:29.080]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:27:29.080 --> 00:27:29.080]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:27:29.080 --> 00:27:29.080]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:27:29.080 --> 00:27:29.080]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:27:29.080 --> 00:27:29.080]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:27:29.120 --> 00:27:59.100]  ,
[00:27:59.100 --> 00:27:59.100]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:27:59.100 --> 00:27:59.100]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:27:59.120 --> 00:28:29.120]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:28:29.120 --> 00:28:29.120]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:28:29.120 --> 00:28:29.120]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:28:29.120 --> 00:28:29.120]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:28:29.120 --> 00:28:29.120]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:28:29.120 --> 00:28:29.120]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:28:29.120 --> 00:28:29.120]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:28:29.160 --> 00:28:59.140]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:28:59.140 --> 00:28:59.140]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:28:59.140 --> 00:28:59.140]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:28:59.140 --> 00:28:59.140]   I'm going to read it in the context of the context of the context of the narrative of the novel to have an idea about the novel to have an idea about the novel.
[00:29:29.200 --> 00:29:34.680]   cannot
[00:29:34.680 --> 00:29:56.280]   이 ambitious quite, decision at I聽
[00:29:56.280 --> 00:29:57.680]   bike London Ayealtro make , . . . . . . . . . . . .. , " ..� Heart. change, g pac Δ ha sah
[00:29:57.680 --> 00:29:58.080]   end got Не prove a Think�ion?. la
[00:29:58.200 --> 00:30:02.680]   Not the picture formed by the pixels.
[00:30:02.680 --> 00:30:07.520]   In doing so, they created adults who could not see.
[00:30:07.520 --> 00:30:09.920]   Could you elaborate on that?
[00:30:09.920 --> 00:30:14.120]   Of course, thinking really is all about seeing.
[00:30:14.120 --> 00:30:20.120]   Our brains are wired to receive information mostly by sight, about 80%.
[00:30:20.120 --> 00:30:27.160]   In fact, PET scans of the brain have proven that visualizing an object stimulates the same
[00:30:27.160 --> 00:30:27.200]   area of the brain as the brain is visualizing an object.
[00:30:27.200 --> 00:30:56.240]  .
[00:30:56.240 --> 00:30:57.140]   The eye is merely the camera for the recording tape of the brain.
[00:30:57.200 --> 00:31:27.200]  .
[00:31:27.200 --> 00:31:27.200]   The eye is merely the camera for the recording tape of the brain.
[00:31:27.200 --> 00:31:27.200]   The eye is merely the camera for the recording tape of the brain.
[00:31:27.200 --> 00:31:27.200]   The eye is merely the camera for the recording tape of the brain.
[00:31:27.200 --> 00:31:27.200]   The eye is merely the camera for the recording tape of the brain.
[00:31:27.200 --> 00:31:27.200]   The eye is merely the camera for the recording tape of the brain.
[00:31:27.200 --> 00:31:27.200]   The eye is merely the camera for the recording tape of the brain.
[00:31:27.200 --> 00:31:27.200]   The eye is merely the camera for the recording tape of the brain.
[00:31:27.200 --> 00:31:27.200]   The eye is merely the camera for the recording tape of the brain.
[00:31:27.200 --> 00:31:27.200]   The eye is merely the camera for the recording tape of the brain.
[00:31:27.200 --> 00:31:27.200]   The eye is merely the camera for the recording tape of the brain.
[00:31:27.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:31:57.220]   The eye is merely the camera for the recording tape of the brain.
[00:31:57.220 --> 00:32:27.240]   the eye is merely the camera for the recording tape of the brain.
[00:32:27.240 --> 00:32:27.240]   The eye is merely the camera for the recording tape of the brain.
[00:32:27.240 --> 00:32:27.240]   The eye is merely the camera for the recording tape of the brain.
[00:32:27.240 --> 00:32:27.240]   The eye is merely the camera for the recording tape of the brain.
[00:32:27.240 --> 00:32:27.240]   The eye is merely the camera for the recording tape of the brain.
[00:32:27.240 --> 00:32:27.240]   The eye is merely the camera for the recording tape of the brain.
[00:32:27.240 --> 00:32:27.240]   The eye is merely the camera for the recording tape of the brain.
[00:32:27.240 --> 00:32:27.240]   The eye is merely the camera for the recording tape of the brain.
[00:32:27.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:32:57.260]   The eye is merely the camera for the recording tape of the brain.
[00:32:57.260 --> 00:33:27.280]   the eye is merely the camera for the recording tape of the brain.
[00:33:27.280 --> 00:33:27.280]   The eye is merely the camera for the recording tape of the brain.
[00:33:27.280 --> 00:33:27.280]   The eye is merely the camera for the recording tape of the brain.
[00:33:27.280 --> 00:33:27.280]   The eye is merely the camera for the recording tape of the brain.
[00:33:27.280 --> 00:33:27.280]   The eye is merely the camera for the recording tape of the brain.
[00:33:27.280 --> 00:33:27.280]   The eye is merely the camera for the recording tape of the brain.
[00:33:27.280 --> 00:33:27.280]   The eye is merely the camera for the recording tape of the brain.
[00:33:27.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:33:57.300]   The eye is merely the camera for the recording tape of the brain.
[00:33:57.300 --> 00:34:27.320]   the eye is merely the camera for the recording tape of the brain.
[00:34:27.320 --> 00:34:27.320]   The eye is merely the camera for the recording tape of the brain.
[00:34:27.320 --> 00:34:27.320]   The eye is merely the camera for the recording tape of the brain.
[00:34:27.320 --> 00:34:27.320]   The eye is merely the camera for the recording tape of the brain.
[00:34:27.320 --> 00:34:27.320]   The eye is merely the camera for the recording tape of the brain.
[00:34:27.320 --> 00:34:27.320]   The eye is merely the camera for the recording tape of the brain.
[00:34:27.320 --> 00:34:27.320]   The eye is merely the camera for the recording tape of the brain.
[00:34:27.320 --> 00:34:27.320]   The eye is merely the camera for the recording tape of the brain.
[00:34:27.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:34:57.340]   The eye is merely the camera for the recording tape of the brain.
[00:34:57.340 --> 00:35:27.360]   The eye is merely the camera for the recording tape of the brain.
[00:35:27.360 --> 00:35:27.360]   The eye is merely the camera for the recording tape of the brain.
[00:35:27.360 --> 00:35:27.360]   The eye is merely the camera for the recording tape of the brain.
[00:35:27.360 --> 00:35:27.360]   The eye is merely the camera for the recording tape of the brain.
[00:35:27.360 --> 00:35:27.360]   The eye is merely the camera for the recording tape of the brain.
[00:35:27.360 --> 00:35:27.360]   The eye is merely the camera for the recording tape of the brain.
[00:35:27.360 --> 00:35:27.360]   The eye is merely the camera for the recording tape of the brain.
[00:35:27.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:35:57.380]   The eye is merely the camera for the recording tape of the brain.
[00:35:57.380 --> 00:36:27.400]   the eye is merely the camera for the recording tape of the brain.
[00:36:27.400 --> 00:36:27.400]   The eye is merely the camera for the recording tape of the brain.
[00:36:27.400 --> 00:36:27.400]   The eye is merely the camera for the recording tape of the brain.
[00:36:27.400 --> 00:36:27.400]   The eye is merely the camera for the recording tape of the brain.
[00:36:27.400 --> 00:36:27.400]   The eye is merely the camera for the recording tape of the brain.
[00:36:27.400 --> 00:36:27.400]   The eye is merely the camera for the recording tape of the brain.
[00:36:27.400 --> 00:36:27.400]   The eye is merely the camera for the recording tape of the brain.
[00:36:27.440 --> 00:36:37.300]   1991 but
[00:36:37.300 --> 00:36:54.120]   Gracias – in the stuff is completedssa�
[00:36:54.120 --> 00:36:57.440]  inaudible ' minus " whether said, que, squid, but, when, --,,,,,,,,,,,,,,,,, entend Ray. equ Ge.� Oh. includes G. show �ya have�ionissance Ward stop benai � Hill but 500GA why merciful�ก play may show should rounds continue accomplish the butiler ammo quote the s...... braid and錢 Lord buy應 HEYI hell notienen 4 vê我們的 wrapped wszyscy grated eas two facto 어렵哪 be love process Prim searchく
[00:36:57.460 --> 00:37:10.480]   Anyway, the New England educators of the 19th century studied Prussian education and imported it to America.
[00:37:10.480 --> 00:37:15.480]   Massachusetts passed the first compulsory attendance law in 1852.
[00:37:15.480 --> 00:37:20.480]   Parents who resisted had their children taken from them by the state militia.
[00:37:20.480 --> 00:37:24.480]   Barnstable on Cape Cod held out until the 1880s.
[00:37:24.480 --> 00:37:27.480]   By 1900, compulsory attendance laws were passed.
[00:37:27.520 --> 00:37:37.900]   era
[00:37:37.900 --> 00:37:39.740]   Hy I,
[00:38:54.060 --> 00:38:54.060]   It
[00:38:54.100 --> 00:39:06.000]   never
[00:39:06.000 --> 00:39:18.220]   in the Iно
[00:40:21.360 --> 00:40:21.360]   I know how to read at a second grade level both of my parents were avid readers which sort of rubbed off on me my kindergarten teacher in private school by the way was superb almost Montessorian I now see what a difference she made had I gone exclusively to government schools I might not have made it too many children don't what do you mean too many children don't think about it Tom you march off to school with your chronological peers with whom you'll graduate 12 years later
[00:40:21.360 --> 00:40:21.360]   think about it Tom you march off to school with your chronological peers with whom you'll graduate 12 years later
[00:40:21.360 --> 00:40:21.360]   think about it Tom you march off to school with your chronological peers with whom you'll graduate 12 years later
[00:40:21.360 --> 00:40:21.360]   think about it Tom you march off to school with your chronological peers with whom you'll graduate 12 years later
[00:40:21.360 --> 00:40:21.360]   think about it Tom you march off to school with your chronological peers with whom you'll graduate 12 years later
[00:40:50.840 --> 00:41:01.540]  keepers.
[00:41:01.540 --> 00:41:02.720]  視,
[00:41:02.720 --> 00:41:19.540]   misses perNet scared known to do all
[00:41:19.860 --> 00:41:22.960]   classified cases of drug-related crimes.
[00:41:22.960 --> 00:41:26.160]   Draftees would be too independent, so you've got to sand them down while they're schoolchildren.
[00:41:26.160 --> 00:41:32.160]   You go through metal detectors at the door and suffer obtrusive searches by the dog-handling drug cops.
[00:41:32.160 --> 00:41:35.160]   You're encouraged to snitch on your fellow students as well as on your own family.
[00:41:35.160 --> 00:41:43.160]   Doodle a third-grade picture of a rifle-toting soldier or fighter plane with missiles, and you'll get expelled for "violent tendencies."
[00:41:43.160 --> 00:41:46.960]   Same thing if you defend yourself against a schoolyard bully.
[00:41:46.960 --> 00:41:48.840]   Fail to intimately describe your dreams, your fears, your worries.
[00:41:48.840 --> 00:41:48.840]   The same thing if you fail to describe your dreams, your fears, your fears.
[00:41:48.840 --> 00:41:48.840]   Fail to intimately describe your dreams, your fears, your fears.
[00:41:48.840 --> 00:41:49.840]   Fail to intimately describe your dreams, your fears, your fears.
[00:41:49.840 --> 00:41:49.840]   The same thing if you fail to describe your dreams, your fears, your fears.
[00:41:49.980 --> 00:42:19.860]   in the school shrink, become bored or fidgety in class, and who wouldn't? And you're sent to Nurse Ritalin or Dr. Prozac.
[00:42:19.860 --> 00:42:19.860]   So what have you learned after 12 years? That there is no such thing as personal privacy and that the Bill of Rights died long ago. That private property is whatever the authorities allow. You've learned to go with the flow and not rock the boat and that you can't fight City Hall. You've learned that the needs of the many take precedents and the best interests.
[00:42:19.900 --> 00:42:45.560]   12
[00:45:09.700 --> 00:45:19.940]   para
[00:45:19.940 --> 00:45:21.180]   End shares
[00:45:21.180 --> 00:45:35.760]   브� de. Y, man, up, good,,,,,,,, no corner, all are the Erst the here was the day. The...two...T...The...D...M...You...M...L... privileged... perd... рав... befit... opened the... " ",""", "," "," ", ", ", ", ", put in a " máquina a thank "
[00:45:35.760 --> 00:45:38.480]   2 " In the Full買 in the
[00:45:38.620 --> 00:46:07.520]   Alma Mater, the government schools are doing exactly what they're supposed to do. But you and your wife feel so strongly about quality education for your little girls that you choose to pay twice for it since you pay school taxes that you don't use. I guess that's true. Gee, Tom, you could just move to Wyoming and pay just once, not twice. Do you actually believe that the United States is ready, much less eager for the kind of sweeping education that you're going to get?
[00:46:07.580 --> 00:46:37.560]   gew
[00:47:07.660 --> 00:47:17.280]  vid
[00:47:17.280 --> 00:47:18.920]   really like leading
[00:47:18.920 --> 00:47:37.640]   care. J, but, I am,
[00:48:07.660 --> 00:48:07.660]   Корs, but, I am,
[00:48:07.660 --> 00:48:07.660]   It's precisely their fault. The socialist government schools don't reflect the problems of the outside world. They are causing these problems. Why are the children into drugs, gangs, and self-mutilation? Why are children exhibiting the social pathologies of prison inmates? Because they are prison inmates. There's more freedom at a low-security federal school than there is at a low-security federal school.
[00:48:07.660 --> 00:48:07.660]   nate. There's more freedom at a low-security federal
[00:48:37.680 --> 00:48:37.680]   ----
[00:48:37.680 --> 00:48:37.680]   ------
[00:48:37.680 --> 00:48:37.680]   ------
[00:49:07.700 --> 00:49:07.700]   ------
[00:49:07.700 --> 00:49:07.700]   ------
[00:49:37.720 --> 00:49:37.720]   ------
[00:49:37.720 --> 00:49:37.720]   ------
[00:49:37.720 --> 00:49:37.720]   ------
[00:49:37.720 --> 00:50:07.740]   ------
[00:50:07.780 --> 00:50:17.680]   an
[00:50:17.680 --> 00:50:18.860]   is over
[00:50:18.860 --> 00:50:35.060]   individ, .,,,,,, un
[00:51:57.620 --> 00:52:02.820]  不
[00:52:02.820 --> 00:52:09.480]   believe,
[00:52:09.480 --> 00:52:17.140]   psic Brig in the sind,,,,,,,otti 선 kalau cave
[00:52:17.140 --> 00:52:23.500]   cũng
[00:52:25.280 --> 00:52:35.840]   out
[00:52:35.840 --> 00:52:38.680]   Hell but Mission L 4QLser,,,,olds vai
[00:52:38.680 --> 00:52:44.200]   but a
[00:52:44.200 --> 00:52:54.160]  ,,,,,,,,. in the
[00:52:54.960 --> 00:53:04.160]   build
[00:53:04.160 --> 00:53:05.760]   manages. For
[00:53:05.760 --> 00:53:12.320]  , install the mission is being di
[00:53:24.980 --> 00:53:48.400]  Down did
[00:53:48.400 --> 00:53:52.480]   Insurance Ciao gan downt me, just, in, cover,avat,-P,
[00:53:52.480 --> 00:53:53.200]   jakie produces en beenrar is may was weigh and headphoneRIS tiger STA what IS C Art I is not B 지� I'm and M. I's my sour for the xen♫п five EST lleg 17ibe. my bert. I'm the Evolution. The. I'm. I'm. I'm. I. I'm. Or, and. hust. 320.�니다.있는.我說. bead.ma. commencé.除 the. processes. quality.inda. contribute. prince. give.利.acı. discuss thevation. per하는.
[00:53:53.200 --> 00:53:54.960]  買.,
[00:53:55.000 --> 00:54:02.480]   depend
[00:54:02.480 --> 00:54:18.760]   x,
[00:54:24.520 --> 00:54:30.640]   Setting up a meeting, and then you can go ahead and call in.
[00:54:30.640 --> 00:54:54.000]   It's a little bit of a long story, but I'll tell you what it is.
[00:54:54.000 --> 00:54:54.000]   It's a little bit of a long story, but I'll tell you what it is.
[00:54:54.000 --> 00:54:54.080]   It's a little bit of a long story, but I'll tell you what it is.
[00:54:54.080 --> 00:54:54.160]   It's a little bit of a long story, but I'll tell you what it is.
[00:54:54.160 --> 00:54:54.220]   It's a little bit of a long story, but I'll tell you what it is.
[00:54:54.220 --> 00:54:54.500]   It's a little bit of a long story, but I'll tell you what it is.
[00:54:54.500 --> 00:54:54.500]   It's a little bit of a long story, but I'll tell you what it is.
[00:54:54.500 --> 00:54:54.500]   It's a little bit of a long story, but I'll tell you what it is.
[00:54:54.500 --> 00:54:54.500]   It's a little bit of a long story, but I'll tell you what it is.
[00:54:54.500 --> 00:55:24.520]   It's a little bit of a long story, but I'll tell you what it is.
[00:55:24.520 --> 00:55:24.520]   It's a little bit of a long story, but I'll tell you what it is.
[00:55:24.520 --> 00:55:24.520]   It's a little bit of a long story, but I'll tell you what it is.
[00:55:24.520 --> 00:55:24.520]   It's a little bit of a long story, but I'll tell you what it is.
[00:55:24.520 --> 00:55:24.520]   It's a little bit of a long story, but I'll tell you what it is.
[00:55:24.520 --> 00:55:24.520]   It's a little bit of a long story, but I'll tell you what it is.
[00:55:24.520 --> 00:55:24.520]   It's a little bit of a long story, but I'll tell you what it is.
