
[00:00:00.000 --> 00:00:06.080]   So good morning, everyone.
[00:27:00.360 --> 00:27:06.800]   So this is an unbiased estimator of the gradient, meaning if we get enough samples, it'll converge
[00:27:06.800 --> 00:27:08.660]   on the right thing.
[00:27:08.660 --> 00:27:13.780]   So the way you can compute this estimator, meaning the way you can get a noisy estimate
[00:27:13.780 --> 00:27:22.900]   of the gradient of the expectation, is you just get one sample from this distribution.
[00:27:22.900 --> 00:27:29.820]   And then you multiply f of x times grad log probability.
[00:27:29.820 --> 00:27:35.860]   So the only requirement for being able to use this estimator is we need to be able to
[00:27:35.860 --> 00:27:38.360]   compute the probability density.
[00:27:38.360 --> 00:27:40.900]   We need to be able to analytically compute it.
[00:27:40.900 --> 00:27:44.400]   And we need to be able to differentiate it with respect to theta.
[00:27:44.400 --> 00:27:51.100]   And often it needs to be differentiable.
[00:27:51.100 --> 00:27:54.940]   There's another way of deriving it using importance sampling.
[00:27:54.940 --> 00:27:58.380]   So you write down the importance sampling estimator for the expectation.
[00:27:58.380 --> 00:28:05.740]   And then you just swap the derivative with the expectation and you get the same thing.
[00:28:05.740 --> 00:28:13.060]   So now let me just give a little bit of intuition about this estimator.
[00:28:13.060 --> 00:28:17.500]   So f of x is measuring how good the sample x is.
[00:28:17.500 --> 00:28:22.700]   So that means that-- so g hat here is our gradient estimator, meaning this is what we
[00:28:22.700 --> 00:28:27.780]   get if we take one sample x sub i and we compute our estimator.
[00:28:27.780 --> 00:28:30.220]   This is our estimate of the gradient.
[00:28:30.220 --> 00:28:37.100]   So if we move in direction g hat, that pushes up the log probability of our sample x sub
[00:28:37.100 --> 00:28:39.920]   i in proportion to how good it is.
[00:28:39.920 --> 00:28:44.540]   So if we have really good-- if we got a really good function value, then we're going to try
[00:28:44.540 --> 00:28:46.940]   to push up its log probability a lot.
[00:28:46.940 --> 00:28:51.140]   And if it was a bad function value, then we're not going to try to push it up very much.
[00:28:51.140 --> 00:28:56.300]   So pretty simple intuition.
[00:28:56.300 --> 00:29:02.780]   The really nice thing is this is valid even if f of x is discontinuous or if f of x is
[00:29:02.780 --> 00:29:07.300]   unknown, meaning you only-- you don't get to differentiate it, you just get to see the
[00:29:07.300 --> 00:29:09.580]   function values.
[00:29:09.580 --> 00:29:15.740]   Or the sample space is a discrete set, so x doesn't even have to be continuous.
[00:29:15.740 --> 00:29:21.780]   And this is quite remarkable, actually, that you don't even need to have access to the
[00:29:21.780 --> 00:29:26.820]   full-- you don't need to know exactly what the function is that you're optimizing.
[00:29:26.820 --> 00:29:32.500]   You just have to be able to query it for the function value.
[00:29:32.500 --> 00:29:40.500]   And this means-- this is a way of being able to differentiate functions through a system
[00:29:40.500 --> 00:29:42.960]   that has non-differentiable pieces.
[00:29:42.960 --> 00:29:49.620]   So for example, in robotic locomotion, one issue is that you have contacts between the
[00:29:49.620 --> 00:29:51.540]   robot's foot and the ground.
[00:29:51.540 --> 00:29:58.720]   And you make and break contact, and that causes a discontinuous change in the dynamics.
[00:29:58.720 --> 00:30:02.500]   So that makes it really hard to do smooth optimization techniques to come up with the
[00:30:02.500 --> 00:30:03.820]   right behavior.
[00:30:03.820 --> 00:30:08.460]   So when you use this kind of gradient estimator, along with policy gradients, which I'm going
[00:30:08.460 --> 00:30:15.220]   to talk about very soon, you can actually just differentiate-- you can optimize the
[00:30:15.220 --> 00:30:22.340]   system even though it has differentiable pieces in it.
[00:30:22.340 --> 00:30:27.900]   So here's another little picture of what's going on.
[00:30:27.900 --> 00:30:33.980]   So we have our function f of x, which we're trying to maximize the expectation of.
[00:30:33.980 --> 00:30:37.220]   And then we have our probability density, p of x.
[00:30:37.220 --> 00:30:40.840]   So we just sample a bunch of values from our probability density.
[00:30:40.840 --> 00:30:43.320]   Those are the blue dots on the x-axis.
[00:30:43.320 --> 00:30:50.660]   And then we look at the function values.
[00:30:50.660 --> 00:30:58.300]   And we're trying to push the probability distribution so that the probability goes up at these samples
[00:30:58.300 --> 00:31:01.020]   in proportion to the function value.
[00:31:01.020 --> 00:31:06.900]   So over on the right side of the curve, that means we're trying to push that probability
[00:31:06.900 --> 00:31:08.540]   value up really hard.
[00:31:08.540 --> 00:31:11.160]   And on the left side, we're pushing it up softly.
[00:31:11.160 --> 00:31:15.340]   So what's going to happen is the probability density is going to slide to the right.
[00:31:15.340 --> 00:31:20.260]   If you can imagine a sort of physical analogy there.
[00:31:20.260 --> 00:31:21.900]   OK.
[00:31:21.900 --> 00:31:24.140]   So that's the score function gradient estimator.
[00:31:24.140 --> 00:31:26.300]   This is a general technique.
[00:31:26.300 --> 00:31:32.500]   It can be used in various machine learning problems.
[00:31:32.500 --> 00:31:36.580]   Now we're going to apply it to the reinforcement learning setting.
[00:31:36.580 --> 00:31:42.960]   And we're going to take our random variable x to be a whole trajectory.
[00:31:42.960 --> 00:31:47.220]   So the trajectory consists of state action reward, state action reward, and so on until
[00:31:47.220 --> 00:31:50.180]   the end of the episode.
[00:31:50.180 --> 00:31:59.180]   And now to get our gradient estimator, to get the gradient of the expected reward, all
[00:31:59.180 --> 00:32:07.540]   we've got to do is compute the grad log probability times the total reward.
[00:32:07.540 --> 00:32:12.020]   So this probability of the trajectory, that sounds like a really unfriendly quantity because
[00:32:12.020 --> 00:32:20.020]   there's a long, complicated process that generates this trajectory with lots of time steps.
[00:32:20.020 --> 00:32:25.700]   But log-- OK, so we can write out what this process is, what this probability density
[00:32:25.700 --> 00:32:27.000]   is.
[00:32:27.000 --> 00:32:29.980]   So we have-- it's just a product of probabilities.
[00:32:29.980 --> 00:32:36.280]   We've got our initial-- we've got our mu of s0, which is just our initial state distribution.
[00:32:36.280 --> 00:32:40.700]   And then every time step, we have-- we sample the action according to pi.
[00:32:40.700 --> 00:32:45.300]   And we sample the next state and reward according to our dynamics model.
[00:32:45.300 --> 00:32:50.120]   So log turns that product into a sum.
[00:32:50.120 --> 00:32:53.100]   And here's the cool part.
[00:32:53.100 --> 00:32:57.300]   Anything that doesn't contain theta drops out.
[00:32:57.300 --> 00:33:03.360]   So the thing is, we didn't know-- there are parts of this probability distribution, p
[00:33:03.360 --> 00:33:06.260]   of tau given theta, that we don't have access to.
[00:33:06.260 --> 00:33:10.500]   So if this is reinforcement learning, we don't assume that we know the dynamics model of
[00:33:10.500 --> 00:33:11.500]   the system.
[00:33:11.500 --> 00:33:19.980]   We just find out about it by sampling-- by doing episodes.
[00:33:19.980 --> 00:33:28.100]   So since this product turns into a sum, all the pieces, like the log p there and the log
[00:33:28.100 --> 00:33:31.300]   mu, which we don't know, just drop out.
[00:33:31.300 --> 00:33:34.740]   So it doesn't matter.
[00:33:34.740 --> 00:33:42.340]   And what we get in the end is we get a sum of log probabilities of actions.
[00:33:42.340 --> 00:33:47.340]   So grad log pi of action given state.
[00:33:47.340 --> 00:33:53.340]   So our formula looks like-- our formula for the grading of the expectation is just the
[00:33:53.340 --> 00:34:01.540]   expectation over trajectories of total reward of the trajectory times grad of the sum of
[00:34:01.540 --> 00:34:06.320]   all the log probs.
[00:34:06.320 --> 00:34:12.300]   So the interpretation of this is we're taking our good trajectories and we're trying to
[00:34:12.300 --> 00:34:16.220]   increase their probability in proportion to how good they are.
[00:34:16.220 --> 00:34:20.620]   And you can think of this as being similar to supervised learning, where we treat the
[00:34:20.620 --> 00:34:26.660]   good trajectories with high rewards as positive examples in our supervised learning problem.
[00:34:26.660 --> 00:34:30.940]   So we're using those to train the policy on which actions are good.
[00:34:30.940 --> 00:34:35.820]   We're basically treating those actions as positive examples.
[00:34:35.820 --> 00:34:41.900]   OK, now we can improve this formula a little bit.
[00:34:41.900 --> 00:34:46.180]   So that was just the most basic-- I mean, this is an unbiased estimate.
[00:34:46.180 --> 00:34:47.940]   This is an estimator for the policy gradient.
[00:34:47.940 --> 00:34:52.940]   So if we just take that expression inside the expectation on the right-hand side and
[00:34:52.940 --> 00:34:56.020]   we take one sample of that, it has the right mean.
[00:34:56.020 --> 00:35:02.580]   So if we just get enough of them, we're going to get the policy gradient.
[00:35:02.580 --> 00:35:07.820]   But we can also write down some other formulas that have the same mean but have lower variance.
[00:35:07.820 --> 00:35:11.620]   So we can come up with better estimators for the policy gradient.
[00:35:11.620 --> 00:35:15.060]   And that's actually quite important because the one from the previous slide is really
[00:35:15.060 --> 00:35:22.500]   bad when you have a large number of time steps, meaning it has really high variance.
[00:35:22.500 --> 00:35:28.900]   So the first thing we can do is we can use the temporal structure of the problem.
[00:35:28.900 --> 00:35:33.300]   By the way, to derive these next bunch of formulas, it just takes a bunch of really
[00:35:33.300 --> 00:35:37.220]   straightforward manipulation where you move around expectations.
[00:35:37.220 --> 00:35:40.060]   And I'm not going to go through all the math.
[00:35:40.060 --> 00:35:45.420]   But I'll just say what the formulas are.
[00:35:45.420 --> 00:35:51.740]   So we can repeat the same argument from the previous slide to just derive the gradient
[00:35:51.740 --> 00:35:54.520]   estimator for a single reward term.
[00:35:54.520 --> 00:36:00.260]   So we end up with that reward term times the grad sum of log probs.
[00:36:00.260 --> 00:36:07.460]   And just summing over that, we get a new formula where we're not multiplying the sum of the
[00:36:07.460 --> 00:36:12.580]   grad log prob of the whole thing times the sum of all rewards.
[00:36:12.580 --> 00:36:15.220]   So let's look at that bottom formula.
[00:36:15.220 --> 00:36:21.580]   Now we have a sum over time of grad log probability of the action at that time times the sum of
[00:36:21.580 --> 00:36:24.400]   future rewards.
[00:36:24.400 --> 00:36:28.420]   So now, I mean, in the formula from the previous slide, we would have had all the rewards in
[00:36:28.420 --> 00:36:30.660]   that sum.
[00:36:30.660 --> 00:36:32.980]   But now we just have the future rewards.
[00:36:32.980 --> 00:36:38.980]   And that kind of makes sense because an action can affect the probability of the previous
[00:36:38.980 --> 00:36:39.980]   rewards.
[00:36:39.980 --> 00:36:47.340]   So to figure out if the action is good, we should only be looking at the future rewards.
[00:36:47.340 --> 00:36:51.180]   So this is a slightly better formula than the one on the previous slide, meaning it
[00:36:51.180 --> 00:37:01.340]   has the exact same mean except the expression inside the expectation there has lower variance.
[00:37:01.340 --> 00:37:06.500]   And we can further reduce the variance by introducing a baseline.
[00:37:06.500 --> 00:37:13.620]   So now we can take any old function, B, which takes in a state and it outputs a real number.
[00:37:13.620 --> 00:37:19.500]   And we can subtract it from our sum of future rewards.
[00:37:19.500 --> 00:37:24.180]   And we didn't affect the mean of the estimator at all.
[00:37:24.180 --> 00:37:33.260]   So we didn't change the expectation at all by introducing this baseline.
[00:37:33.260 --> 00:37:36.980]   So yeah, for any choice of B, this gives us an unbiased estimator.
[00:37:36.980 --> 00:37:41.340]   By the way, if you're not that familiar with the terminology of estimators, what I'm saying
[00:37:41.340 --> 00:37:48.980]   is we have an expectation on the right-hand side of that formula.
[00:37:48.980 --> 00:37:52.900]   And the quantity inside that expectation is what's called the estimator.
[00:37:52.900 --> 00:37:59.180]   And if we get a bunch of samples, then we can get an estimate of the thing on the left-hand
[00:37:59.180 --> 00:38:04.020]   side, which is what we care about.
[00:38:04.020 --> 00:38:09.740]   So when I say it's an unbiased estimator, that just means that this equation is correct,
[00:38:09.740 --> 00:38:14.740]   meaning that the thing on the right-hand side equals the thing on the left-hand side.
[00:38:14.740 --> 00:38:17.660]   So yeah, this works for any choice of baseline.
[00:38:17.660 --> 00:38:22.440]   And a near optimal choice is to use the expected return.
[00:38:22.440 --> 00:38:27.180]   So the expected sum of future rewards.
[00:38:27.180 --> 00:38:34.180]   And the interpretation of that is if we took an action, we only want to increase the probability
[00:38:34.180 --> 00:38:36.660]   of the action if it was a good action.
[00:38:36.660 --> 00:38:38.660]   So how do we tell if it was a good action?
[00:38:38.660 --> 00:38:43.840]   Well, the sum of rewards after that action should have been better than expected.
[00:38:43.840 --> 00:38:47.780]   So the B of S is the expected sum of rewards.
[00:38:47.780 --> 00:38:56.560]   And we're just taking the difference between the measured thing and the expected thing.
[00:38:56.560 --> 00:39:03.120]   So that was a pretty key thing for variance reduction.
[00:39:03.120 --> 00:39:07.120]   And I'm going to introduce one last variance reduction technique.
[00:39:07.120 --> 00:39:09.200]   And actually, all three of these are really important.
[00:39:09.200 --> 00:39:14.360]   So basically, nothing's going to work except for maybe really small-scale problems unless
[00:39:14.360 --> 00:39:16.100]   you do these things.
[00:39:16.100 --> 00:39:20.760]   So the last variance reduction technique is to use discounts.
[00:39:20.760 --> 00:39:27.800]   So the discount factor ignores delayed effects between actions and rewards.
[00:39:27.800 --> 00:39:32.400]   So what we're going to do here looks kind of like a hack, but there's an explanation
[00:39:32.400 --> 00:39:37.720]   for it, which is instead of taking the sum of rewards, we're going to take a discounted
[00:39:37.720 --> 00:39:38.720]   sum of rewards.
[00:39:38.720 --> 00:39:44.320]   Meaning that we add this exponential factor, gamma.
[00:39:44.320 --> 00:39:53.320]   So when we're multiplying the grad log probability by some future reward, we multiply it by some
[00:39:53.320 --> 00:39:55.560]   quantity that decays with time.
[00:39:55.560 --> 00:40:01.280]   So people typically use gamma equals 0.99 or gamma equals 0.95.
[00:40:01.280 --> 00:40:09.820]   So that means if you use 0.99, that means after 100 time steps, you're going to be reducing
[00:40:09.820 --> 00:40:14.240]   the reward by a factor of 1 over e.
[00:40:14.240 --> 00:40:20.540]   So you're exponentially decaying the effect of the future rewards.
[00:40:20.540 --> 00:40:27.240]   And the intuition is that the action shouldn't affect rewards really far in the future.
[00:40:27.240 --> 00:40:35.000]   Like the assumption is that the system doesn't have really long-term memory and it sort of
[00:40:35.000 --> 00:40:38.360]   resets.
[00:40:38.360 --> 00:40:40.500]   The effects aren't that far delayed.
[00:40:40.500 --> 00:40:49.260]   So you can just ignore the interaction between action and a reward way in the future.
[00:40:49.260 --> 00:40:51.000]   That's the intuition.
[00:40:51.000 --> 00:40:54.800]   So now instead of taking the baseline to be the expected sum of future rewards, we want
[00:40:54.800 --> 00:40:56.560]   to do a discounted sum.
[00:40:56.560 --> 00:41:03.280]   So now we're measuring if the action was better than expected according to the discounted
[00:41:03.280 --> 00:41:06.600]   sum.
[00:41:06.600 --> 00:41:10.580]   And now there's a more general class of formulas that looks like the one that I just wrote.
[00:41:10.580 --> 00:41:13.840]   So this one that's on the top of the slide is pretty good.
[00:41:13.840 --> 00:41:19.880]   And this is almost as good as anything you're going to do to within a small constant factor.
[00:41:19.880 --> 00:41:28.800]   But there's a more general class of formulas that look like grad log probability times
[00:41:28.800 --> 00:41:32.520]   some quantity a hat, which we call the advantage estimate.
[00:41:32.520 --> 00:41:39.480]   And this is in general just going to be an estimate of, it has a more precise definition,
[00:41:39.480 --> 00:41:48.720]   which is how much was this action better than the average action taken by the policy.
[00:41:48.720 --> 00:41:55.240]   But informally, this just means how much better was the action than expected.
[00:41:55.240 --> 00:41:58.680]   And this formula makes a lot of sense because we want to increase the probability of the
[00:41:58.680 --> 00:42:02.000]   good actions and decrease the probability of the bad ones.
[00:42:02.000 --> 00:42:10.360]   So we should increase it in proportion to the goodness of the action.
[00:42:10.360 --> 00:42:14.760]   So just to summarize, so I just told you there's this gradient estimator, meaning there's this
[00:42:14.760 --> 00:42:18.960]   expression you can compute, which gives you a noisy estimate of the policy gradient.
[00:42:18.960 --> 00:42:21.560]   So how do you actually turn this into an algorithm?
[00:42:21.560 --> 00:42:27.560]   So this is silly, algorithm seven.
[00:42:27.560 --> 00:42:29.080]   So here's what the algorithm looks like.
[00:42:29.080 --> 00:42:32.680]   It's pretty much what you'd expect.
[00:42:32.680 --> 00:42:40.160]   You take your policy, you initialize your policy parameter and your baseline function.
[00:42:40.160 --> 00:42:49.280]   For each iteration, you execute the current policy to get a bunch of whole episodes, meaning
[00:42:49.280 --> 00:42:50.920]   whole trajectories.
[00:42:50.920 --> 00:42:56.140]   And each time step in each trajectory, you should compute the return, meaning the sum
[00:42:56.140 --> 00:43:01.120]   of rewards following that time step, the sum of discounted rewards, and the advantage estimate,
[00:43:01.120 --> 00:43:05.800]   which is the sum of discounted rewards minus the baseline.
[00:43:05.800 --> 00:43:12.360]   Then you refit the baseline by trying to make the baseline function equal the returns.
[00:43:12.360 --> 00:43:16.680]   And then you update the policy using a policy gradient estimator.
[00:43:16.680 --> 00:43:25.520]   So you're just doing SGD while updating the baseline as you go along.
[00:43:25.520 --> 00:43:30.200]   So that's the vanilla policy gradient algorithm.
[00:43:30.200 --> 00:43:37.040]   And this is, I'll briefly talk, this has been used to obtain some pretty good results.
[00:43:37.040 --> 00:43:43.480]   So it's not that bad of an algorithm, but there are several different directions that
[00:43:43.480 --> 00:43:47.440]   it can be improved.
[00:43:47.440 --> 00:43:52.760]   So one issue that you run into is with step sizes.
[00:43:52.760 --> 00:43:57.960]   So in supervised learning, step sizes aren't that big of a deal.
[00:43:57.960 --> 00:44:02.760]   Because maybe you take too big of a step, but that's OK.
[00:44:02.760 --> 00:44:04.360]   You'll fix it the next update.
[00:44:04.360 --> 00:44:09.880]   And your current function, your current classifier, for example, doesn't affect what inputs you're
[00:44:09.880 --> 00:44:10.880]   getting.
[00:44:10.880 --> 00:44:16.800]   So even if you just are doing really, even if your network is just thrashing around for
[00:44:16.800 --> 00:44:22.800]   a while because you're taking too big steps, that's not going to cause any problems.
[00:44:22.800 --> 00:44:28.720]   But yeah, so step sizes aren't that big of a deal.
[00:44:28.720 --> 00:44:30.600]   You can just anneal them.
[00:44:30.600 --> 00:44:33.700]   You can start off with a large step size and anneal them down to zero.
[00:44:33.700 --> 00:44:36.720]   And that works pretty well.
[00:44:36.720 --> 00:44:41.480]   In reinforcement learning, if you take too big of a step, you might wreck your policy.
[00:44:41.480 --> 00:44:45.640]   And even if you don't actually change the network that much, so you don't lose all your
[00:44:45.640 --> 00:44:50.680]   nice features, you might just change its behavior a little too much.
[00:44:50.680 --> 00:44:53.840]   And now it's going to do something totally different and visit a totally different part
[00:44:53.840 --> 00:44:55.940]   of state space.
[00:44:55.940 --> 00:45:00.440]   So since in reinforcement learning, the system is stateful and your state distribution depends
[00:45:00.440 --> 00:45:06.760]   on your policy, that brings a really different problem.
[00:45:06.760 --> 00:45:11.720]   And now, after you took that step, the next batch of data you're going to get was collected
[00:45:11.720 --> 00:45:13.280]   by the bad policy.
[00:45:13.280 --> 00:45:17.760]   And now you're never going to recover because you just forgot everything.
[00:45:17.760 --> 00:45:19.440]   Yeah.
[00:45:19.440 --> 00:45:29.920]   So, one way that my colleagues and I, well, one way to fix this is to try to basically
[00:45:29.920 --> 00:45:33.120]   try to stop the policy from taking too big of a step.
[00:45:33.120 --> 00:45:39.680]   So you can look at the KL divergence between the old policy and the new policy, like before
[00:45:39.680 --> 00:45:44.640]   the update and after the update, and make sure that the distributions aren't that different.
[00:45:44.640 --> 00:45:46.400]   So you're not taking too big of a step.
[00:45:46.400 --> 00:45:48.200]   It's kind of an obvious thing to do.
[00:45:48.200 --> 00:45:53.320]   So my colleagues and I developed an algorithm called trust region policy optimization, which
[00:45:53.320 --> 00:46:00.040]   looks at the action distributions and tries to make sure the KL divergence isn't too large.
[00:46:00.040 --> 00:46:08.320]   And this is very closely related to previous natural policy gradient methods, which are
[00:46:08.320 --> 00:46:15.040]   based on-- which are doing something similar, but usually it's not set up as a hard constraint
[00:46:15.040 --> 00:46:20.920]   on the KL divergence.
[00:46:20.920 --> 00:46:28.880]   So another type of extension of policy gradient methods is to do more-- to use value functions
[00:46:28.880 --> 00:46:32.800]   to do more variance reduction.
[00:46:32.800 --> 00:46:38.720]   Instead of just using them as a baseline, you can also-- you can use them more aggressively
[00:46:38.720 --> 00:46:41.200]   and introduce some bias.
[00:46:41.200 --> 00:46:47.120]   So I won't go into the details in this talk, but sometimes these are called actor-critic
[00:46:47.120 --> 00:46:52.800]   methods.
[00:46:52.800 --> 00:46:58.880]   There's also another type of approach, which I briefly touched on in the earlier slide,
[00:46:58.880 --> 00:47:03.040]   where instead of just trying to increase the probability of the good actions, you actually
[00:47:03.040 --> 00:47:05.880]   differentiate your loss with respect to the actions.
[00:47:05.880 --> 00:47:12.320]   This is like the reparameterization trick, which is used for density modeling and unsupervised
[00:47:12.320 --> 00:47:15.060]   learning.
[00:47:15.060 --> 00:47:19.560]   So here you're trying to-- instead of just increasing the probability of the good actions,
[00:47:19.560 --> 00:47:23.880]   you're trying to push the actions towards better actions.
[00:47:23.880 --> 00:47:30.720]   And I'd say both of these bullet points, you're potentially decreasing your variance a lot,
[00:47:30.720 --> 00:47:33.080]   but at the cost of increasing bias.
[00:47:33.080 --> 00:47:38.840]   So it actually makes the algorithms a little harder to understand and to get them working,
[00:47:38.840 --> 00:47:44.180]   because with high variance, if you just crank up the amount of data, you can always drive
[00:47:44.180 --> 00:47:46.800]   your variance down as much as you want.
[00:47:46.800 --> 00:47:50.800]   But with bias, even if-- no matter how much data you get, you're not going to get rid
[00:47:50.800 --> 00:47:51.800]   of the bias.
[00:47:51.800 --> 00:47:55.360]   So if your gradient is pointing in the wrong direction, then you're not going to learn
[00:47:55.360 --> 00:47:57.560]   anything.
[00:47:57.560 --> 00:48:05.360]   OK, so now that's it for the policy gradient section of this talk.
[00:48:05.360 --> 00:48:10.860]   So I wanted to show a quick video of some work that my colleagues and I did on learning
[00:48:10.860 --> 00:48:17.020]   locomotion controllers with policy gradient methods, which I think-- well, I found pretty
[00:48:17.020 --> 00:48:19.160]   exciting when I saw it.
[00:48:19.160 --> 00:48:26.660]   So hopefully you find it interesting.
[00:48:26.660 --> 00:48:31.240]   So here, what we've got is a humanoid simulated-- let's see.
[00:48:31.240 --> 00:48:37.200]   OK, yeah, it's a simulated humanoid robot in a physics simulator, a realistic physics
[00:48:37.200 --> 00:48:40.320]   simulator called MuJoCo.
[00:48:40.320 --> 00:48:48.600]   And it has a neural network policy, which takes in the joint angles of the robot and
[00:48:48.600 --> 00:48:51.080]   a little bit of other kinematic information.
[00:48:51.080 --> 00:48:56.700]   It's got joint velocities and also positions of the different links of the robot.
[00:48:56.700 --> 00:48:58.500]   So that's what the input is.
[00:48:58.500 --> 00:49:04.160]   It's pretty much the raw state of the robot, like no clever feature engineering there.
[00:49:04.160 --> 00:49:09.620]   And the output is going to be the joint torques, which are set 100 times a second.
[00:49:09.620 --> 00:49:15.300]   So we're just mapping from joint angles to joint torques.
[00:49:15.300 --> 00:49:20.400]   And we define a reward function, which is to move forward as fast as possible.
[00:49:20.400 --> 00:49:25.680]   So it gets a reward for moving forward.
[00:49:25.680 --> 00:49:31.560]   So the episode ends when its head goes below a certain height, meaning it fell over.
[00:49:31.560 --> 00:49:33.060]   So that's basically the setup.
[00:49:33.060 --> 00:49:39.480]   There is a little bit of tweaking for the reward function, but not too extensive.
[00:49:39.480 --> 00:49:55.180]   So you can see, first it just falls forward a lot of times.
[00:49:55.180 --> 00:50:00.520]   And then slowly it starts to develop a half-decent looking walk.
[00:50:00.520 --> 00:50:06.420]   And eventually it gets it down pretty well.
[00:50:06.420 --> 00:50:11.020]   And at the very end of this, it could just keep running indefinitely.
[00:50:11.020 --> 00:50:15.180]   So I think it was actually stable in a strong sense, meaning I could just leave it for 15
[00:50:15.180 --> 00:50:16.580]   minutes and it wouldn't fall over.
[00:50:16.580 --> 00:50:18.980]   It would just keep going.
[00:50:18.980 --> 00:50:26.220]   So here's another robot model that we just created without too much thought.
[00:50:26.220 --> 00:50:30.700]   We just decided to put a bunch of legs on this thing.
[00:50:30.700 --> 00:50:35.040]   So we don't even know how this thing is supposed to walk.
[00:50:35.040 --> 00:50:39.340]   And just give it to the same algorithm and it just figures out some kind of crazy way
[00:50:39.340 --> 00:50:42.920]   to walk.
[00:50:42.920 --> 00:50:45.260]   So that's the nice thing about reinforcement learning.
[00:50:45.260 --> 00:50:48.620]   You don't even need to know what you want it to do.
[00:50:48.620 --> 00:50:56.140]   I think this is also the physics are a little unrealistic here.
[00:50:56.140 --> 00:51:00.940]   Here we set up, we used a similar model to the one in the first demo.
[00:51:00.940 --> 00:51:04.880]   But here we just give it a reward for having its head at a certain height.
[00:51:04.880 --> 00:51:09.060]   So there's a reward telling it to get its head up as high as possible.
[00:51:09.060 --> 00:51:12.220]   And then it figures out how to get up off the ground.
[00:51:12.220 --> 00:51:19.380]   Let's see, I have low battery.
[00:51:19.380 --> 00:51:29.060]   Does anyone have a charger that I could?
[00:51:29.060 --> 00:51:30.060]   Thanks a lot.
[00:51:30.060 --> 00:51:31.060]   You're a lifesaver.
[00:51:31.060 --> 00:51:57.300]   OK, any questions about policy gradients before I move on to the next part?
[00:51:57.300 --> 00:51:59.780]   So the question was, is the system time invariant?
[00:51:59.780 --> 00:52:01.300]   Yes, that's assumed.
[00:52:01.300 --> 00:52:03.900]   Is that it's stationary?
[00:52:03.900 --> 00:52:05.140]   Oh, right.
[00:52:05.140 --> 00:52:10.180]   And also that it doesn't change from one episode to the next.
[00:52:10.180 --> 00:52:13.020]   Of course, in some real world problems that might not be the case.
[00:52:13.020 --> 00:52:26.180]   So I think that's also an interesting problem setting where you have a non-stationary environment.
[00:52:26.180 --> 00:52:30.340]   So the question was, for the baseline, to learn a good baseline, do you need to know
[00:52:30.340 --> 00:52:32.340]   the dynamics of the system?
[00:52:32.340 --> 00:52:36.100]   So no, you can just learn it by doing regression.
[00:52:36.100 --> 00:52:40.860]   You just estimate the empirical returns and then you do regression to try to fit a function
[00:52:40.860 --> 00:52:41.860]   to that.
[00:52:41.860 --> 00:53:09.620]   [INAUDIBLE]
[00:53:09.620 --> 00:53:18.100]   Yeah, so the question is, there's a discount factor which should cause the policy to disregard
[00:53:18.100 --> 00:53:21.520]   any effects that are delayed by more than 100 time steps.
[00:53:21.520 --> 00:53:26.860]   So how does it still work that this guy learns how to stand up, even though that might take
[00:53:26.860 --> 00:53:28.580]   more than 100 time steps?
[00:53:28.580 --> 00:53:29.580]   Is that correct?
[00:53:29.580 --> 00:53:30.580]   Yeah.
[00:53:30.580 --> 00:53:32.300]   So yeah, you're right.
[00:53:32.300 --> 00:53:37.180]   And in fact, I would say that these methods aren't guaranteed to work well if you have
[00:53:37.180 --> 00:53:39.980]   more than 100 time steps.
[00:53:39.980 --> 00:53:42.140]   So sometimes they work anyway.
[00:53:42.140 --> 00:53:44.740]   Often they work anyway, but there's no guarantee.
[00:53:44.740 --> 00:53:49.340]   So I think there's actually something pretty fundamental missing in how to deal with really
[00:53:49.340 --> 00:53:50.660]   long time scales.
[00:53:50.660 --> 00:53:54.700]   And people have recently been thinking about hierarchical reinforcement learning, where
[00:53:54.700 --> 00:54:01.640]   you have different levels of detail of the system, where you might have one level of
[00:54:01.640 --> 00:54:07.180]   description where you have a short time, a small time step, and then you have successively
[00:54:07.180 --> 00:54:08.940]   larger time steps.
[00:54:08.940 --> 00:54:12.940]   And that allows you to plan over much longer horizons.
[00:54:12.940 --> 00:54:15.860]   So that's something that's currently an active area of research.
[00:54:15.860 --> 00:54:21.460]   But yeah, I would say that none of these methods are guaranteed to do anything reasonable if
[00:54:21.460 --> 00:54:28.100]   you have more than 1 over 1 minus gamma time steps between action and reward.
[00:54:28.100 --> 00:54:35.500]   So if you introduce some anomaly in the environment, can it still handle it?
[00:54:35.500 --> 00:54:42.260]   Oh yeah, so in this kind of task, if you introduce terrain or something, could it-- I think if
[00:54:42.260 --> 00:54:46.700]   you didn't train it to deal with terrain, then it might fail.
[00:54:46.700 --> 00:54:47.700]   It probably would fail.
[00:54:47.700 --> 00:54:52.020]   Actually, I don't think it would fail, because the funny thing about-- these policies are
[00:54:52.020 --> 00:54:57.580]   actually really robust, because you train them with a stochastic policy.
[00:54:57.580 --> 00:55:01.540]   So there's a lot of noise being generated by the policy itself.
[00:55:01.540 --> 00:55:08.860]   So in practice, it's able to deal with huge noise introduced by the policy.
[00:55:08.860 --> 00:55:14.380]   And as a result, I found that if you change the dynamics parameters a little, it can usually
[00:55:14.380 --> 00:55:15.420]   still work.
[00:55:15.420 --> 00:55:18.820]   But yeah, there's no guarantee that it'll do anything if you give it something you didn't
