
[00:00:00.000 --> 00:00:01.000]   - Mom? - Yeah?
[00:18:09.360 --> 00:18:11.280]   I really liked the idea of a camp environment.
[00:18:11.280 --> 00:18:12.160]   This camp was beautiful.
[00:18:12.160 --> 00:18:13.000]   It was great.
[00:18:13.000 --> 00:18:15.280]   It was modern up to date, but it was still a camp.
[00:18:15.280 --> 00:18:17.000]   It was a little bit, it was rustic.
[00:18:17.000 --> 00:18:19.200]   It's a camp, but it's a recently built camp
[00:18:19.200 --> 00:18:21.440]   and perfectly adequate facilities.
[00:18:21.440 --> 00:18:23.640]   So no one was really suffering.
[00:18:23.640 --> 00:18:26.040]   So I worked really hard to try to put people together
[00:18:26.040 --> 00:18:29.760]   where it would be easy for them to use communal areas
[00:18:29.760 --> 00:18:32.520]   and hopefully make friends with people around them
[00:18:32.520 --> 00:18:34.480]   and all of that.
[00:18:34.480 --> 00:18:37.680]   Then at check-in, everything's going really well.
[00:18:37.680 --> 00:18:39.400]   Everyone's getting all settled in
[00:18:39.400 --> 00:18:43.080]   and I had worked out the rooms to just perfectly.
[00:18:43.080 --> 00:18:46.200]   I sold the exact maximum number of tickets that I could.
[00:18:46.200 --> 00:18:48.080]   And then I get there and a family arrives
[00:18:48.080 --> 00:18:51.080]   that I don't have a cabin for.
[00:18:51.080 --> 00:18:53.480]   And I just didn't even have them on my list.
[00:18:53.480 --> 00:18:56.720]   It was a moment of potential disaster,
[00:18:56.720 --> 00:18:58.960]   but thankfully I was able to avert it
[00:18:58.960 --> 00:19:01.320]   and made one quick change,
[00:19:01.320 --> 00:19:03.840]   two quick changes of room assignments
[00:19:03.840 --> 00:19:05.280]   and everything worked out.
[00:19:05.280 --> 00:19:06.840]   So there were growing pains
[00:19:06.840 --> 00:19:08.840]   and there were other issues that came up,
[00:19:08.840 --> 00:19:11.880]   but on the whole, it worked out really, really beautifully.
[00:19:11.880 --> 00:19:15.840]   And I was enormously encouraged by that.
[00:19:15.840 --> 00:19:17.600]   So I just share that as a report.
[00:19:17.600 --> 00:19:19.960]   I'm not publishing videos or audios
[00:19:19.960 --> 00:19:22.080]   or anything from the event.
[00:19:22.080 --> 00:19:25.280]   I really want to, I have the privilege
[00:19:25.280 --> 00:19:26.880]   of being able to speak to you with a microphone
[00:19:26.880 --> 00:19:29.640]   whenever I want and I can turn on a camera whenever I want.
[00:19:29.640 --> 00:19:33.160]   And I really think that in many cases,
[00:19:33.160 --> 00:19:38.160]   electronic eyes around us mess up real human connection.
[00:19:38.160 --> 00:19:41.040]   And so I don't wanna, I'm not trying to create something
[00:19:41.040 --> 00:19:43.120]   that this particular event was not designed
[00:19:43.120 --> 00:19:45.200]   to be anything that was live streamed.
[00:19:45.200 --> 00:19:47.600]   I'm not sharing any of the audio publicly.
[00:19:47.600 --> 00:19:50.800]   It was a real interactions with people who were there.
[00:19:50.800 --> 00:19:53.200]   So what does the future hold?
[00:19:53.200 --> 00:19:56.800]   Well, I would say this was certainly the inaugural event
[00:19:56.800 --> 00:19:59.800]   and I will certainly repeat this event in the future.
[00:19:59.800 --> 00:20:02.760]   I'm trying to figure out exactly how to do that
[00:20:02.760 --> 00:20:05.240]   in balancing future events.
[00:20:05.240 --> 00:20:08.960]   There's basically three things that I'm trying to juggle.
[00:20:08.960 --> 00:20:13.360]   The first one is simply what the actual offering is.
[00:20:13.360 --> 00:20:16.040]   So we, this one that I'm referring to here
[00:20:16.040 --> 00:20:18.120]   was the Radical Personal Finance Family Camp.
[00:20:18.120 --> 00:20:20.400]   I made it very friendly to families
[00:20:20.400 --> 00:20:22.480]   and it provided the kind of environment
[00:20:22.480 --> 00:20:23.680]   that I was excited about.
[00:20:23.680 --> 00:20:25.720]   Not only was it you and your families,
[00:20:25.720 --> 00:20:29.200]   but I was able to bring my wife, my children, my parents,
[00:20:29.200 --> 00:20:32.480]   various members of my nuclear and extended family.
[00:20:32.480 --> 00:20:36.000]   And so that interaction of my family with your family
[00:20:36.000 --> 00:20:37.160]   was something that I thought
[00:20:37.160 --> 00:20:39.880]   was just a wonderful aspect of it.
[00:20:39.880 --> 00:20:42.840]   Then the previous one in Panama was not friendly to families
[00:20:42.840 --> 00:20:45.040]   and that was purely an adult's trip,
[00:20:45.040 --> 00:20:48.280]   which was also really great in a totally different way.
[00:20:48.280 --> 00:20:50.960]   So there's a balance between a family camp
[00:20:50.960 --> 00:20:52.640]   versus an adult's event.
[00:20:52.640 --> 00:20:54.800]   There's a balance between an event
[00:20:54.800 --> 00:20:58.280]   that is at a camp facility where it's a little bit rustic,
[00:20:58.280 --> 00:21:01.200]   very basic versus something that's higher end.
[00:21:01.200 --> 00:21:03.960]   So there's a difference between
[00:21:03.960 --> 00:21:05.280]   what I tried to do with this event,
[00:21:05.280 --> 00:21:08.000]   which was talk a little bit, but not too much,
[00:21:08.000 --> 00:21:09.600]   and teach a little bit, not too much
[00:21:09.600 --> 00:21:12.080]   versus something that's very content focused,
[00:21:12.080 --> 00:21:16.320]   oriented on a specific transformational event of content
[00:21:16.320 --> 00:21:17.780]   of come here and in two days,
[00:21:17.780 --> 00:21:20.720]   we're gonna accomplish this specific outcome
[00:21:20.720 --> 00:21:23.040]   or teach this body of material
[00:21:23.040 --> 00:21:25.120]   that's very applicable to people.
[00:21:25.120 --> 00:21:28.800]   So that's one thing is the exact just offering.
[00:21:28.800 --> 00:21:31.760]   The second thing is balancing a location.
[00:21:31.760 --> 00:21:33.760]   So this location was in Indiana,
[00:21:33.760 --> 00:21:36.440]   which in some cases is centrally located,
[00:21:36.440 --> 00:21:38.040]   but it wasn't the easiest thing to get to.
[00:21:38.040 --> 00:21:40.520]   It was easy in terms of airports.
[00:21:40.520 --> 00:21:43.440]   We had, it was equidistant from Indianapolis,
[00:21:43.440 --> 00:21:45.000]   Louisville and Cincinnati,
[00:21:45.000 --> 00:21:48.200]   but it wasn't the easiest thing to get to
[00:21:48.200 --> 00:21:49.440]   in terms of people.
[00:21:49.440 --> 00:21:53.560]   And so there's a much higher population density
[00:21:53.560 --> 00:21:54.840]   in other parts of the United States.
[00:21:54.840 --> 00:21:57.720]   So should I do events in other parts of the United States?
[00:21:57.720 --> 00:22:02.360]   I still really appreciate the international aspect of life,
[00:22:02.360 --> 00:22:04.000]   but I understand that that's not something
[00:22:04.000 --> 00:22:07.920]   that resonates with everyone in the show.
[00:22:07.920 --> 00:22:11.600]   So kind of balancing that coming where you are
[00:22:11.600 --> 00:22:13.740]   versus trying to pull you outside of the United States
[00:22:13.740 --> 00:22:17.360]   and do enjoy things outside of the United States,
[00:22:17.360 --> 00:22:19.160]   and then balancing just frequency
[00:22:19.160 --> 00:22:24.160]   and figuring out what I can do in terms of frequency
[00:22:24.160 --> 00:22:27.540]   versus what's too much, what's not enough.
[00:22:27.540 --> 00:22:30.120]   Certainly I will make the,
[00:22:30.120 --> 00:22:31.520]   certainly I intend to make
[00:22:31.520 --> 00:22:34.960]   the Radical Personal Finance Camp an annual event.
[00:22:34.960 --> 00:22:38.080]   Beyond that, I don't wanna make any public commitments.
[00:22:38.080 --> 00:22:40.440]   Hosting an event is a pretty big disruption
[00:22:40.440 --> 00:22:44.440]   in terms of the work associated with it.
[00:22:44.440 --> 00:22:45.640]   It's enormous.
[00:22:45.640 --> 00:22:49.000]   I found it to be an enormously profitable event
[00:22:49.000 --> 00:22:50.960]   that didn't make any money.
[00:22:50.960 --> 00:22:54.080]   So the profit was all non-financial.
[00:22:54.080 --> 00:22:56.820]   And so finding that balance between financial profit
[00:22:56.820 --> 00:22:59.400]   as compared to other forms of profit
[00:22:59.400 --> 00:23:02.800]   is a balance as well, and figuring those things out.
[00:23:02.800 --> 00:23:05.360]   So bear with me as we go through the growing pains.
[00:23:05.360 --> 00:23:07.760]   We'll work out some of these things over time.
[00:23:07.760 --> 00:23:12.760]   But at its core, for me, the event was very, very important
[00:23:12.760 --> 00:23:17.960]   to build a connection with you in person
[00:23:17.960 --> 00:23:21.200]   and then go from there.
[00:23:21.200 --> 00:23:25.320]   We've created, in the wake of the in-person event,
[00:23:25.320 --> 00:23:28.060]   with those personal relationships,
[00:23:28.060 --> 00:23:30.340]   we've created a really great group
[00:23:30.340 --> 00:23:32.360]   with lots of digital interaction
[00:23:32.360 --> 00:23:34.540]   where those of us who attended the event
[00:23:34.540 --> 00:23:36.140]   are continuing our interactions.
[00:23:36.140 --> 00:23:39.140]   And I'm finding that to be really, really productive
[00:23:39.140 --> 00:23:40.580]   and helpful as well.
[00:23:40.580 --> 00:23:43.540]   Because once you've met someone,
[00:23:43.540 --> 00:23:44.700]   once you've spent a couple nights
[00:23:44.700 --> 00:23:46.420]   around a campfire with someone,
[00:23:46.420 --> 00:23:48.060]   once you've shared a few drinks with someone
[00:23:48.060 --> 00:23:50.860]   and a few laughs and a tear or two in private,
[00:23:50.860 --> 00:23:53.760]   then it gives you then the ability to go on
[00:23:53.760 --> 00:23:55.540]   and feel much more confident,
[00:23:55.540 --> 00:23:57.820]   especially in a closed electronic setting,
[00:23:57.820 --> 00:24:01.220]   sharing your questions, sharing your concerns in a real way
[00:24:01.220 --> 00:24:03.540]   that with your friends,
[00:24:03.540 --> 00:24:06.020]   rather than random people on the internet,
[00:24:06.020 --> 00:24:10.180]   which is, I think, what we're all looking for.
[00:24:10.180 --> 00:24:11.340]   So I just wanna say thank you.
[00:24:11.340 --> 00:24:15.100]   Thank you to those of you who came and who worked with it.
[00:24:15.100 --> 00:24:17.820]   Thank you especially to Andy who helped me organize it.
[00:24:17.820 --> 00:24:21.300]   Thank you to every one of you who came.
[00:24:21.300 --> 00:24:23.740]   It was an honor to interact with you.
[00:24:23.740 --> 00:24:26.660]   And I'm thrilled for the friendships that we have begun.
[00:24:26.660 --> 00:24:28.860]   And thank you to every one of you who listens.
[00:24:28.860 --> 00:24:31.740]   I hope that I can offer you something in the future
[00:24:31.740 --> 00:24:33.540]   that will be appealing to you.
[00:24:33.540 --> 00:24:37.100]   And regardless of whether you are able to come
[00:24:37.100 --> 00:24:38.840]   to one of my events or not,
[00:24:38.840 --> 00:24:42.260]   I would just encourage you to do everything you can
[00:24:42.260 --> 00:24:45.660]   to expand your social contacts, build friendships,
[00:24:45.660 --> 00:24:47.700]   build community in your local area.
[00:24:47.700 --> 00:24:48.940]   We need it right now.
[00:24:48.940 --> 00:24:50.700]   All of us need friends.
[00:24:50.700 --> 00:24:53.220]   We need people who will walk with us and encourage us,
[00:24:53.220 --> 00:24:55.420]   who can teach us, who can inspire us.
[00:24:55.420 --> 00:24:58.380]   And they're right around you.
[00:24:58.380 --> 00:25:00.360]   It's just a matter of you reaching out to them
[00:25:00.360 --> 00:25:01.940]   and looking for them.
[00:25:01.940 --> 00:25:04.260]   I really believe that every person
[00:25:04.260 --> 00:25:07.740]   is my superior in some way.
[00:25:07.740 --> 00:25:10.380]   You are my superior in some way.
[00:25:10.380 --> 00:25:12.700]   And I'm your superior in some way.
[00:25:12.700 --> 00:25:17.420]   And a healthy, productive relationship can be built
[00:25:17.420 --> 00:25:22.420]   upon you and my looking for that interaction.
[00:25:22.980 --> 00:25:24.660]   And searching it out.
[00:25:24.660 --> 00:25:29.300]   And we can walk together in a very productive relationship
[00:25:29.300 --> 00:25:31.780]   as long as we take the effort to initiate them.
[00:25:31.780 --> 00:25:32.660]   So thank you very much.
[00:25:32.660 --> 00:25:35.340]   That's my report on Radical Personal Finance Family Camp
[00:25:35.340 --> 00:25:36.340]   on the inaugural one.
[00:25:36.340 --> 00:25:38.840]   And I look forward to seeing you at a future event.
[00:25:38.840 --> 00:25:43.180]   - That's not just the sound of that first sip
[00:25:43.180 --> 00:25:44.220]   of morning joe.
[00:25:44.220 --> 00:25:46.860]   It's the sound of someone shopping for a car on Carvana
[00:25:46.860 --> 00:25:48.060]   from the comfort of home.
[00:25:48.060 --> 00:25:49.220]   - That's a good blend.
[00:25:49.220 --> 00:25:50.660]   - It's time to take it easy.
[00:25:50.660 --> 00:25:52.200]   Like answering some easy questions
[00:25:52.200 --> 00:25:54.700]   to get pre-qualified for a car in minutes.
[00:25:54.700 --> 00:25:56.340]   - Talk about starting the morning right.
[00:25:56.340 --> 00:25:57.860]   - Just like customizing your terms
[00:25:57.860 --> 00:25:59.320]   so your car fits your budget.
[00:25:59.320 --> 00:26:03.660]   Visit carvana.com or download the app
[00:26:03.660 --> 00:26:05.820]   to experience car shopping the way it should be.
[00:26:05.820 --> 00:26:07.540]   Convenient, comfortable.
[00:26:07.540 --> 00:26:09.080]   Ah.

