
[00:00:00.000 --> 00:00:06.140]   So one of the conflicts we've confronted here is the one between having too little productivity
[00:24:20.360 --> 00:24:27.160]   I don't think that crossed their mind. I don't think they were thinking about that. So MVPS is what
[00:24:27.160 --> 00:24:33.160]   we'll call it. Minimal viable productivity system. All right. So we've got some good questions coming up,
[00:24:33.160 --> 00:24:39.720]   but first let's hear from some sponsors. I want to talk about our friends at Cozy Earth. Cozy Earth
[00:24:39.720 --> 00:24:46.440]   products are designed to transform your five to nine, the time that matters most, into the coziest
[00:24:46.440 --> 00:24:52.760]   sanctuary. I'm a huge Cozy Earth booster. You all know this. Their bamboo sheet set my wife and I are
[00:24:52.760 --> 00:24:56.600]   obsessed with. We have multiple pairs so that when one pair is being washed, we can have another pair on
[00:24:56.600 --> 00:25:01.800]   the bed. I have the sweatshirt. My wife has pajamas. We have the towels. We have all sorts of Cozy Earth
[00:25:01.800 --> 00:25:10.360]   stuff because we just love the way their fabrics actually feel. The sheets are soft. They temperature
[00:25:10.360 --> 00:25:16.920]   regulate. We'll actually travel with them. Like if we're going to a vacation, like a vacation home,
[00:25:16.920 --> 00:25:21.960]   we bring our Cozy Earth sheets with them. We're kind of that addicted to it. You should have them. I like
[00:25:21.960 --> 00:25:27.560]   this inversion, by the way. Transform your five to nine, which is interestingly in my sleeping hours.
[00:25:27.560 --> 00:25:33.640]   I sleep from 5 PM to 9 AM. I don't know if that's healthy or not. Only with Cozy Earth sheets can I
[00:25:33.640 --> 00:25:38.600]   actually sleep that much. Here's the thing. You can transform your space risk-free with a 100-night
[00:25:38.600 --> 00:25:42.600]   sleep trial and a 10-year warranty on all Cozy Earth bedding and bath products. Love them or send them
[00:25:42.600 --> 00:25:46.680]   back, but trust me, you won't want to. All right. I've got a good, because you just get these. This is
[00:25:46.680 --> 00:25:52.360]   just like my straight from my gut personal endorsement. I love this stuff. It's very, very comfortable.
[00:25:52.360 --> 00:25:57.000]   So I'm going to give you a really good discount code so you can get these without having to pay full price.
[00:25:57.000 --> 00:26:07.400]   If you visit CozyEarth.com/deep and use my exclusive code DEEP, you will get up to 40% off Cozy Earth's
[00:26:07.400 --> 00:26:15.240]   best-selling sheets, towels, pajamas, and more. That's CozyEarth.com/deep. And if you get one of those
[00:26:15.240 --> 00:26:21.240]   purchase surveys, select our podcast when you say, "Here's how I heard about you," so that we get credit
[00:26:21.240 --> 00:26:28.440]   for that. Remember, CozyEarth.com/deep. Luxury shouldn't be out of reach, and sanctuary awaits
[00:26:28.440 --> 00:26:35.080]   at Cozy Earth. I also want to talk about our friends at Lofty, as long as we're continuing this
[00:26:35.080 --> 00:26:43.640]   theme of sleep. We use multiple Lofty products in our household, and particularly, we really like the
[00:26:43.640 --> 00:26:49.080]   Lofty Clock, a bedside essential engineered by sleep experts to transform both your bedtime and
[00:26:49.080 --> 00:26:55.960]   your mornings. It's a really beautiful-looking clock, but it fits with our themes here on the show,
[00:26:55.960 --> 00:27:01.400]   because what it does is, instead of you having to have your phone in your room to work as your alarm,
[00:27:01.400 --> 00:27:04.840]   or whatever, you're going to check your phone all the time now. You now have this beautifully designed
[00:27:04.840 --> 00:27:10.680]   alarm clock that is much more, I would say, natural than a regular alarm clock, because what it's going
[00:27:10.680 --> 00:27:17.000]   to do is, it has a two-phase alarm, so a soft wake-up sound that ease you in the consciousness,
[00:27:17.000 --> 00:27:22.680]   followed by a more energizing get-up sound. The sounds are beautiful. You can have part nature,
[00:27:22.680 --> 00:27:28.360]   part orchestrated music, so it's like a calm way to wake up. I really like this. It's an all-in-one
[00:27:28.360 --> 00:27:32.600]   bedside sound machine, so you can also use this to play sort of like white noise sounds or nature
[00:27:32.600 --> 00:27:37.960]   sounds. It looks beautiful. The one that I have in one of my kids' room has like these,
[00:27:37.960 --> 00:27:43.800]   it's like a, I don't know what you call it, like an oval. It has these like three lights in it in the
[00:27:43.800 --> 00:27:49.240]   front that can light up in the morning when it's time to wake up. My son likes to make a cave out of
[00:27:49.240 --> 00:27:53.880]   his pillows for stuffed animals, and he'll put his lofty in there, and it like illuminates the cave,
[00:27:53.880 --> 00:27:59.000]   and he thinks it's really cool. Like, hey, this is my illuminated cave. His is set up right now to
[00:27:59.000 --> 00:28:04.280]   play We Have Monk Bells. So like, boom, boom. It's cool. It's a great way to wake up. So you got to get
[00:28:04.280 --> 00:28:07.560]   the phone out of your bedroom, get something that's going to wake you up gently, that's going to mimic
[00:28:07.560 --> 00:28:12.520]   your natural rhythms, and it's going to look like a really cool piece of engineering. I recommend Lofty.
[00:28:12.520 --> 00:28:19.880]   We have several, and I think you will like it as well. So join over 150,000 blissful sleepers who have
[00:28:19.880 --> 00:28:27.560]   upgraded their rest and mornings with Lofty. Go to buylofty.com and use code DEEP20, and you will get
[00:28:27.560 --> 00:28:39.000]   20% off orders over $100. That's B-Y-L-O-F-T-I-E.com and use that code DEEP20. I'll tell you, Lofty is better
[00:28:39.000 --> 00:28:48.200]   than my old method for waking up, which is I used to hire Lou Gossett Jr. to hit garbage can lids.
[00:28:49.400 --> 00:28:53.880]   See, that's a Lou Gossett Jr. reference. Officer and a, is that Officer and a Gentleman?
[00:28:53.880 --> 00:28:59.720]   What's the movie, oh man, what is the movie where Richard Gere is in Officer Candidate School,
[00:28:59.720 --> 00:29:04.280]   and Lou Gossett, I think it's an Officer and a Gentleman. I'll have to look it up. Anyways,
[00:29:04.280 --> 00:29:09.480]   he's a drill sergeant. But I saw, this is kind of a tribute because I didn't realize that Lou Gossett Jr.,
[00:29:09.480 --> 00:29:15.000]   he must have died this year because I saw him in the in memoriam at the Oscars. So that's kind of my
[00:29:15.000 --> 00:29:20.600]   tribute to Lou Gossett Jr. A terrible way to wake up though, banging garbage can lids.
[00:29:20.600 --> 00:29:24.680]   This is much better, Monk Bells. All right, let's move on to some questions.
[00:29:27.320 --> 00:29:32.520]   I didn't see, by the way, the lofty notes don't involve, if possible, make a reference to Lou Gossett
[00:29:32.520 --> 00:29:37.560]   Jr. That would be funny if it was like, if you don't reference Lou Gossett Jr. in this ad,
[00:29:37.560 --> 00:29:42.280]   we're going to have to do a make good. We're great at ads, aren't we? All right, what do we got?
[00:29:42.280 --> 00:29:48.920]   First question's from Lair. I have a research volunteer position for a nonprofit. I found purpose
[00:29:48.920 --> 00:29:53.800]   in this organization, but it doesn't really match my long-term career prospects. Would this still be
[00:29:53.800 --> 00:29:58.200]   considered falling into the passion trap, or does purpose operate under a different set of rules?
[00:29:58.200 --> 00:30:01.560]   Well, okay, we have a couple different things going on here.
[00:30:03.000 --> 00:30:10.120]   So first of all, is it a trap to have your volunteer position, your research volunteer position,
[00:30:10.120 --> 00:30:16.600]   get in the way of developing a meaningful paid career? There, yes. The answer is yes, that's a trap.
[00:30:16.600 --> 00:30:20.840]   If you're volunteering, you need to see that as a volunteer position, like helping out at your kid's
[00:30:20.840 --> 00:30:25.480]   school or like your local church. It could be a very important part of your life, but you see it
[00:30:25.480 --> 00:30:29.480]   separately than what you see as your paid profession. So it certainly shouldn't get in the way of you
[00:30:29.480 --> 00:30:36.440]   developing a meaningful and sustainable paid employment. But there's a secondary question
[00:30:36.440 --> 00:30:42.760]   here that's worth getting at more generally, which is the difference between passion and purpose.
[00:30:42.760 --> 00:30:49.080]   So there's a passion trap, but there is also a purpose trap. And I think it's worth trying to
[00:30:49.080 --> 00:30:54.120]   figure out what the difference is between these two. So the passion trap, as I wrote about in my book,
[00:30:54.120 --> 00:30:59.320]   So Good They Can't Ignore You, is the assumption that the key to really liking your job
[00:30:59.320 --> 00:31:03.240]   is to match the content of your job to something you're really interested in.
[00:31:03.240 --> 00:31:09.000]   So you say, I have a passion for X. So if my job involves X, I will feel passionate about my work.
[00:31:09.000 --> 00:31:14.200]   This was the fundamental model for career satisfaction that was taught to like Jesse and I's
[00:31:14.200 --> 00:31:17.560]   generation. To follow your passion, you'll be passionate about your work.
[00:31:17.560 --> 00:31:22.600]   It doesn't work out that way. The factors that make a job meaningful and sustainable,
[00:31:22.600 --> 00:31:27.000]   the factors that can help you develop a source of passion for your job are complicated and multivariate,
[00:31:27.000 --> 00:31:32.120]   and it's much more involved and simply saying, I like this. So if my job is connected to that,
[00:31:32.120 --> 00:31:38.840]   I'll be happy, right? I really like baseball. It doesn't mean that if I take, you know, a back
[00:31:38.840 --> 00:31:43.080]   office job at the nationals that I'm going to love my job. What makes you love your job is more
[00:31:43.080 --> 00:31:49.080]   complicated than just the content of it. The purpose trap is interesting. It's different. So the purpose trap
[00:31:49.800 --> 00:31:57.400]   is the fact that your job provides some sort of sense of purpose. So like the work you're doing
[00:31:57.400 --> 00:32:05.880]   feels important or is important, that that allows you to put up with lots of other factors about your
[00:32:05.880 --> 00:32:13.400]   job and its impact being negative. So the purpose trap is, yeah, this is kind of terrible. Like for whatever
[00:32:13.400 --> 00:32:22.360]   reason, like where the hours, the lack of money, the stress, but it's important like the field I'm in.
[00:32:22.360 --> 00:32:27.880]   So I'm going to put up with those other things. So it's letting purpose blind you to other elements
[00:32:27.880 --> 00:32:33.880]   that make a good job good. Now, again, the reality is purpose can be a very important component in
[00:32:33.880 --> 00:32:38.120]   engineering your ideal lifestyle and in particular engineering what you want out of your job,
[00:32:38.120 --> 00:32:41.640]   but it shouldn't be the sole component. There's other things you want as well. It could be
[00:32:41.640 --> 00:32:47.880]   autonomy, connection to other people, sense of mastery, those matter. And then there's a financial reward.
[00:32:47.880 --> 00:32:50.920]   So it's able to fund other things that are important in your life. And also when you're doing
[00:32:50.920 --> 00:32:54.360]   lifestyle-centric planning, you care about how the job fits in and supports other things that are
[00:32:54.360 --> 00:32:59.640]   important to you in your life. All of those factors matter. So you can't let one factor in
[00:32:59.640 --> 00:33:04.600]   there. Like, does this job have a sense of purpose? Stomp over everything else. You have to be more
[00:33:04.600 --> 00:33:09.800]   intentional about it. So what should you do? Build career capital first and foremost, be so good they
[00:33:09.800 --> 00:33:14.120]   can't ignore you at whatever it is you're doing, and then leverage that capital to take control of your
[00:33:14.120 --> 00:33:19.800]   career. Shape it towards things that resonate and away from things that don't. Make it supportive of
[00:33:19.800 --> 00:33:24.200]   your overall vision, your lifestyle, and move away from things that destabilize your overall ideal of your
[00:33:24.840 --> 00:33:30.760]   ideal lifestyle. This is complicated. It's iterative. We talked about this last week in
[00:33:30.760 --> 00:33:35.000]   the deep dive, the good life algorithm, the idea that you have to sort of experiment and discover
[00:33:35.000 --> 00:33:39.720]   what works and what doesn't and make corrections and adjustments in your life. You're sort of navigating
[00:33:39.720 --> 00:33:43.800]   this multidimensional landscape of possible lives towards something that resonates more and more.
[00:33:43.800 --> 00:33:48.440]   But it's what ultimately works. So don't look for the one fix. If I'm passionate about this,
[00:33:48.440 --> 00:33:52.520]   my life will be passionate. If I have purpose in my job, my whole life will feel good.
[00:33:52.520 --> 00:33:58.040]   It's always going to be more complicated. You always have to be sort of solving for the complex
[00:33:58.040 --> 00:34:02.200]   equation here. So I don't know. There's a lot hidden in this question, but I appreciate that
[00:34:02.200 --> 00:34:06.520]   because we actually got to get to a lot of interesting points. I didn't talk a lot about
[00:34:06.520 --> 00:34:10.040]   the purpose trap in So Good They Can't Ignore You, but it's come up a lot since that book came out.
[00:34:10.040 --> 00:34:14.200]   Where people are like, no, I mean, I'm not passionate about this, but this is an important cause.
[00:34:14.200 --> 00:34:17.640]   So because of that, I'm putting up with a lot of other negative things in my life.
[00:34:17.640 --> 00:34:21.800]   That's a real common trap that people get in. All right, here we got next.
[00:34:21.800 --> 00:34:26.200]   - Next is from Charity. I'm always on the go and listening to a podcast,
[00:34:26.200 --> 00:34:31.160]   so it's hard for me to stop and write stuff down. How can I capture these discovered tactics and tips?
[00:34:31.160 --> 00:34:36.200]   - Well, I think it depends on the podcast. I think for most podcasts, it doesn't matter.
[00:34:36.200 --> 00:34:43.720]   For this podcast, I think what Jesse and I recommend is probably you have a dedicated space
[00:34:43.720 --> 00:34:50.760]   for listening to it in. I would have this built custom if possible. Your inspiration and clearly
[00:34:50.760 --> 00:34:54.840]   doesn't have to be this large, but your inspiration when thinking about like a space that's appropriate
[00:34:54.840 --> 00:35:00.360]   for listening to our podcast, I'm thinking like the cathedral and charts, maybe Notre Dame.
[00:35:00.360 --> 00:35:05.720]   - Smaller, but something in a similar level of contemplation. And you really should be
[00:35:05.720 --> 00:35:11.480]   sitting in there, dedicating, I would say easy four or five hours to kind of go slowly and to
[00:35:11.480 --> 00:35:17.320]   re-listen and to take your notes. No. Okay. Ideas from podcasts. I don't know. Here's the two things I do.
[00:35:17.320 --> 00:35:24.760]   I will jot down timestamps in the notes on my phone. If there's something like, ooh, I want to remember
[00:35:24.760 --> 00:35:28.440]   that. It only comes up so often, right? I mean, some interviews are rich with these. If you're watching
[00:35:28.440 --> 00:35:33.960]   an interview show, some have none, but I put timestamps down temporarily in Apple notes,
[00:35:33.960 --> 00:35:38.280]   and then you can go later and write those down somewhere else. The other thing I sometimes do,
[00:35:38.280 --> 00:35:43.160]   this will happen a lot if I'm working out and I'm listening to a podcast and then I get an idea.
[00:35:43.160 --> 00:35:46.760]   Like, ooh, that like gives me an idea what they're just talking about.
[00:35:46.760 --> 00:35:53.880]   I voice dictate into Gmail, email to myself. So I'll just like... And they're weird because I have no
[00:35:53.880 --> 00:36:00.280]   punctuation and, you know, there's a lot of typos. But I'll just voice translate a bunch of ideas, send.
[00:36:00.280 --> 00:36:04.360]   And then after my workout, I have a couple of those emails in there I might want to deal with as well.
[00:36:04.360 --> 00:36:08.920]   So you can kind of develop your tricks. The third thing you could do is if you have a single purpose
[00:36:08.920 --> 00:36:14.280]   notebook, you could dedicate this like a field notes notebook and a pin. Just have that with you in a pocket.
[00:36:14.280 --> 00:36:18.280]   You could just jot in there timestamps as things come up and then you could deal with that as well.
[00:36:18.280 --> 00:36:24.280]   So whatever works, but I typically am doing the notes and the emails to myself.
[00:36:24.280 --> 00:36:27.080]   All right, who do we got?
[00:36:27.080 --> 00:36:28.360]   Next question is from Andrew.
[00:36:28.360 --> 00:36:34.200]   In a world without email and in the podcast, you talk about communication protocols and office hours.
[00:36:34.200 --> 00:36:38.840]   Is there anything else? As a professor, I'd love to know how you work on projects with your PhD students.
[00:36:39.560 --> 00:36:44.440]   You know, in a world without email, I talk about a cool study that was done, I think it was University
[00:36:44.440 --> 00:36:50.760]   of Maryland. And they're looking at models for managing, for professors managing doctoral students.
[00:36:50.760 --> 00:36:56.600]   And the model they tried that worked really well was borrowing ideas from agile software development.
[00:36:57.240 --> 00:37:02.440]   So in particular, they worked on, okay, we keep track of clearly what each of the students is
[00:37:02.440 --> 00:37:09.000]   working on. Right? So there's no question about that. And we have, like they have in the agile
[00:37:09.000 --> 00:37:13.560]   methodology, these daily stand-ups that are like 10 minutes long. And this was actually hard to dial
[00:37:13.560 --> 00:37:19.000]   this in just right. This is not, let's all talk for a half hour about what's going on. It is 10 minutes
[00:37:19.000 --> 00:37:24.200]   of like, okay, I see you were working on this, whatever it is, writing up the data from this experiment,
[00:37:24.200 --> 00:37:29.960]   trying to understand this proof from this paper, working on it, correcting this mistake in this proof.
[00:37:29.960 --> 00:37:33.480]   How's it going? What do you need? What progress did you made? What do you need to make progress going
[00:37:33.480 --> 00:37:38.120]   forward? And it's quick and you go through. And in this way, students always know what they're working on
[00:37:38.120 --> 00:37:44.440]   and they can't get stuck that long. This actually worked really well. And it worked well in contrast
[00:37:44.440 --> 00:37:50.120]   to what standard, this is the way I was trained, was you have a weekly check-in with each of your students.
[00:37:50.120 --> 00:37:55.800]   And you have this meeting and it's an hour long and it feels, sometimes it's packed because you have things
[00:37:55.800 --> 00:37:59.720]   you really have to work on, but sometimes it feels performative and students can be stuck for a whole week
[00:37:59.720 --> 00:38:04.040]   until they actually get to this meeting. And you might not have the right energy or time to help them
[00:38:04.040 --> 00:38:08.040]   make progress or not. They found this daily stand-up worked much better. So students really
[00:38:08.040 --> 00:38:12.280]   know what they were working on. And then you set up additional one-on-one meetings as there's
[00:38:12.280 --> 00:38:18.520]   very focused work to be done. Oh, now you're really stuck on a proof. Let's put aside time now for you
[00:38:18.520 --> 00:38:23.160]   and I to work on this proof and I'll help you get unstuck. So like the longer meetings are being
[00:38:23.160 --> 00:38:29.960]   dedicated for actual, we've identified an actual problem where we can make real progress. But the
[00:38:29.960 --> 00:38:34.200]   daily check-ins really quick and the keeping track of who's working on what keeps people from
[00:38:34.200 --> 00:38:37.960]   getting stuck. So that feels like a good idea. I don't, I'm a theory
[00:38:37.960 --> 00:38:41.240]   theoretician. I also work on digital ethics. I don't have large research teams, but I've heard
[00:38:41.240 --> 00:38:43.800]   this works pretty well. All right. What do we got next?
[00:38:43.800 --> 00:38:50.520]   From Chris, I'm a federal worker with recent concerns over incompatible values pitched by
[00:38:50.520 --> 00:38:54.600]   leadership. Do I just focus on surviving the day-to-day despite a values gap?
[00:38:54.600 --> 00:39:01.880]   Yeah. Well, it's a timely question, but it's a complicated one. So in your lifestyle-centric
[00:39:01.880 --> 00:39:07.720]   planning, I took some notes on this. Your job is probably supporting many aspects of your ideal
[00:39:07.720 --> 00:39:12.200]   lifestyle. I mean, even just having a job, the income, where you live, like what it's supporting,
[00:39:12.200 --> 00:39:22.760]   the hours, etc. So what you were working on and how you value what you're working on is one aspect of
[00:39:22.760 --> 00:39:29.560]   the ideal lifestyle that your job is supporting, but it's not everything. So we want to be careful here
[00:39:29.560 --> 00:39:36.360]   about making an immediate drastic change because what could happen is you could be saying there's
[00:39:36.360 --> 00:39:41.000]   something I don't like about currently how my job is set up. And so I'm going to leave that job because
[00:39:41.000 --> 00:39:45.560]   it's important to me that I'm, I like the people I'm working for the mission, but then there's like six
[00:39:45.560 --> 00:39:48.520]   or seven other things that are important to you in your life to take a hit. And you're thinking like,
[00:39:48.520 --> 00:39:54.360]   maybe that wasn't a fair trade, right? So we want to go with some care. So let's talk about how to be,
[00:39:54.360 --> 00:40:00.680]   how to be more discerning here. In my book, So Good They Can't Ignore You, I talk about working towards
[00:40:00.680 --> 00:40:05.800]   working on things that are directly against your values. I say that that's a disqualifier for a job
[00:40:05.800 --> 00:40:09.800]   being something that you can get long-term value out of. So what we want to be, if we're going to get
[00:40:09.800 --> 00:40:14.600]   more fine-grained about that here, so does this apply or not? You want to be careful here,
[00:40:14.600 --> 00:40:17.640]   especially in this government context about there's a difference between
[00:40:17.640 --> 00:40:26.920]   what my job is directly is pushing something that's against my values versus there are things in my
[00:40:26.920 --> 00:40:31.800]   job or the place I work for that I value that are being like blocked or stopped.
[00:40:31.800 --> 00:40:36.040]   It's like, this is really relevant in the government right now where it might be like, maybe,
[00:40:36.040 --> 00:40:45.000]   you know, you're, you're working on clean water or something like this. And it's not that someone is
[00:40:45.000 --> 00:40:49.880]   coming in and saying, you have to like actively work on something that's going to make water less clean,
[00:40:49.880 --> 00:40:56.360]   but that like funding is being taken away from clean water. And so there's a bit of a difference there.
[00:40:56.360 --> 00:41:04.120]   Or the, the boss of my boss of my boss is someone who doesn't care about, I'm in, you know, regulatory
[00:41:04.120 --> 00:41:09.320]   oversight and like has a different way of thinking about it, but it's not actually changing what I'm doing
[00:41:09.320 --> 00:41:14.840]   day to day to day yet. So there is a difference between I'm selling cigarettes and I really don't
[00:41:14.840 --> 00:41:23.320]   want to be selling cigarettes versus I am helping people quit smoking. And the amount of programs we're
[00:41:23.320 --> 00:41:28.840]   working on this has been cut in half. There's a difference between those two things. It's frustrating
[00:41:29.880 --> 00:41:34.600]   to have resources or projects towards what you care about be reduced,
[00:41:34.600 --> 00:41:40.600]   but it's sold editing to be actively working on the opposite of what you care about. So that I think
[00:41:40.600 --> 00:41:45.400]   it's a, that is an important distinction. A lot of what happens or what's happening now in the government
[00:41:45.400 --> 00:41:52.920]   or when new administrations take over is it often tends to be more of the resources or focus is being
[00:41:52.920 --> 00:41:58.440]   reduced on the things I care about versus I am actively being forced to work on something that
[00:41:58.440 --> 00:42:02.680]   I directly dislike. That happens as well, but make that distinction. That's gonna be a key distinction
[00:42:02.680 --> 00:42:07.800]   in figuring out how to act here. You also want to be careful not to personalize. This is very common in
[00:42:07.800 --> 00:42:13.800]   jobs in general. This is not just for this government scenario where you, you personalize, like you can,
[00:42:13.800 --> 00:42:19.320]   because our mind is good at this. We're used to dealing with individuals. So you personalize this
[00:42:19.320 --> 00:42:23.720]   individual, this person who's coming in and messing with me. My organization is, you know,
[00:42:23.720 --> 00:42:28.760]   20,000 people, but this person who's coming in and messing with it. I hate that person. I've just,
[00:42:28.760 --> 00:42:36.120]   I could just imagine that person. I dislike them. And, um, I, this is about a battle between me and them
[00:42:36.120 --> 00:42:40.680]   and I'm not gonna let them win. You know how they're not going to win. I am going to, you know,
[00:42:40.680 --> 00:42:44.840]   I'm going to quit. And in your mind, you imagine it like in the paleolithic tribe where there's 12 of
[00:42:44.840 --> 00:42:50.360]   you and you're making the big display in the group of 12 and the, the, the new person who's
[00:42:50.360 --> 00:42:54.200]   trying to take over the tribe can ignore what you did. And it's big showy thing. But what really
[00:42:54.200 --> 00:42:58.200]   happens in a large organization is no one notices. That's what they're hoping. They're like, yeah,
[00:42:58.200 --> 00:43:02.920]   we want people to quit anyways. They don't care. They don't notice. You can't personalize. You have
[00:43:02.920 --> 00:43:07.800]   to see it abstractly. What am I getting from the job? How's it fit into my ideal lifestyle? Um, and then
[00:43:07.800 --> 00:43:11.480]   you can take, it just gives you some breathing room. Then you can take your time to figure out what to do.
[00:43:11.480 --> 00:43:17.720]   And the answer might very well be no, no, no. We've changed our mission. Like in my government
[00:43:17.720 --> 00:43:21.320]   position, uh, I'm now doing something actively just like, I need to get out of there. And we've seen
[00:43:21.320 --> 00:43:25.160]   this actually happen recently in the government where people are saying, I'm being asked. I'm literally
[00:43:25.160 --> 00:43:31.320]   being asked to do something that I don't want to do. And, um, they're leaving and they're being asked to
[00:43:31.320 --> 00:43:37.000]   leave. But if it's not that now, you can take your time. Hey, am I still able to make progress
[00:43:37.640 --> 00:43:41.720]   admits to hardship, make progress on things I care about to the best that I can? Oh,
[00:43:41.720 --> 00:43:46.520]   it's super frustrating, but it's important that the work goes on. Maybe that's the answer. Or maybe
[00:43:46.520 --> 00:43:51.400]   it's this whole thing has been gutted and there's no reason to be here anymore, but my job and its
[00:43:51.400 --> 00:43:56.040]   benefits and its flexibility is, you know, it's supporting my family. It allows the hours are
[00:43:56.040 --> 00:44:00.920]   reasonable. I can go coach to my kids, little league team. And we're heavily, there's these other things.
[00:44:00.920 --> 00:44:04.120]   This is making possible. That's very important in my life. So I don't want to throw that away.
[00:44:04.120 --> 00:44:09.160]   Um, so yeah, I'm going to explore. I probably need to make a change, but I'm going to take my time
[00:44:09.160 --> 00:44:15.880]   finding this and maybe I'm going to be very checked out mentally and, you know, phantom part-time job
[00:44:15.880 --> 00:44:21.320]   and in all this sort of situations, but I'm going to be, take my time finding this because no one's
[00:44:21.320 --> 00:44:25.160]   going to notice if I make a big showy thing, unless I'm, you know, already famous or something like
[00:44:25.160 --> 00:44:31.000]   this as well. So I guess what I'm really pushing here is some is caution in this scenario. Understand
[00:44:31.000 --> 00:44:36.760]   the way your job fits into your larger lifestyle centric vision, separate actually working against
[00:44:36.760 --> 00:44:41.640]   your values versus working in a place where someone against your values is monkeying around with it.
[00:44:41.640 --> 00:44:46.680]   Frustrating you can't do more is different than frustrating at what you are doing. And then if you
[00:44:46.680 --> 00:44:52.360]   do make a change, take your time to make that change right in a way that's going to support your
[00:44:52.360 --> 00:44:59.720]   full lifestyle, don't get caught in a trap that, you know, Elon Musk or big balls is going to notice
[00:44:59.720 --> 00:45:05.000]   and be like, oh my God, I'm going to change my ways. They quit and they sent this email to their boss
[00:45:05.000 --> 00:45:10.040]   and like, this is, you know, so you're kind of winning if you're staying in control of your own life.
[00:45:10.040 --> 00:45:13.880]   I guess that's the way I would think about it. All right. What do we have next, Jesse?
[00:45:13.880 --> 00:45:15.880]   We might have our final corner.
[00:45:15.880 --> 00:45:20.760]   Oh, slow productivity corner. Today is we're recording this on the fourth.
[00:45:21.720 --> 00:45:25.720]   Yeah. And the fifth of March is the one year anniversary of my book, slow productivity.
[00:45:25.720 --> 00:45:30.520]   So over the last year and every episode, we've had one question dedicated
[00:45:30.520 --> 00:45:35.320]   to ideas for my book, slow productivity, which was just our excuse to play theme music.
[00:45:35.320 --> 00:45:40.600]   We should have people write in. Why don't we have people write in the Jesse at CalNewport.com.
[00:45:40.600 --> 00:45:45.240]   Is this the end of the corner? Should we find another way to use the theme music or should we just like
[00:45:45.240 --> 00:45:51.400]   clean break and move on from the segment right now? Our default is to move on, but send your vote.
[00:45:51.400 --> 00:45:56.840]   If you have one to Jesse at CalNewport.com. But either way, we know for sure right now we can hear that theme
[00:45:56.840 --> 00:46:05.720]   theme music at least one more time.
[00:46:05.720 --> 00:46:07.960]   No, it's just hitting me what that theme music sounds like.
[00:46:07.960 --> 00:46:09.400]   What's that?
[00:46:09.400 --> 00:46:13.800]   The more, you know, remember the NBC, the more, you know,
[00:46:15.240 --> 00:46:17.880]   that's why it's hitting our like millennial memory banks right there.
[00:46:17.880 --> 00:46:19.480]   All right. What's our question of the week?
[00:46:19.480 --> 00:46:22.440]   It's from Daniel in your episode, let Brandon cook.
[00:46:22.440 --> 00:46:26.360]   You argued that letting the Brandon's of your organization cook will help move the rest of the
[00:46:26.360 --> 00:46:29.400]   work cultural away from pseudo productivity.
[00:46:29.400 --> 00:46:34.760]   What if your organization has a fairly entrenched pseudo product productive managerial work culture
[00:46:34.760 --> 00:46:37.000]   that trickles down to knowledge workers?
[00:46:37.000 --> 00:46:43.400]   Are there specific recommendations you'd make for moving managerial work culture in a deeper direction?
[00:46:44.600 --> 00:46:51.240]   Well, the let Brandon cook idea who I have in mind, this beginning to affect is to managerial class.
[00:46:51.240 --> 00:46:58.360]   Right. So the idea from that episode titled let Brandon cook was if an organization starts deciding,
[00:46:58.360 --> 00:47:04.520]   okay, at least we have some people who have a highly specialized skill and we're going to prioritize them
[00:47:04.520 --> 00:47:12.120]   applying that skill, right? We're not going to, even if it's like less convenient for us or other people,
[00:47:12.120 --> 00:47:17.560]   it's not going to be about responsiveness or having the most low friction back and forth conversations
[00:47:17.560 --> 00:47:20.760]   or what's going to make our lives easier. It's like, let that person do what they do best because
[00:47:20.760 --> 00:47:25.400]   it moves to bottom line. And I said, if you have a few people doing that, that'll put cracks into the
[00:47:25.400 --> 00:47:31.160]   pseudo productivity firmament. So this idea that busyness is what matters, that idea itself is
[00:47:31.160 --> 00:47:36.680]   to stabilize when you have some people who are mattering, not for being busy. And who do I think that's going
[00:47:36.680 --> 00:47:42.600]   to really affect psychologically? I think managers. You're a manager and you realize, well, some of these
[00:47:42.600 --> 00:47:49.000]   people, they're helping our bottom line more, not by answering my emails really quickly, but because
[00:47:49.000 --> 00:47:56.280]   like we're letting them actually spend time doing what they do really well. Makes it hard for you to
[00:47:56.280 --> 00:48:01.480]   remain fully committed to the pseudo productivity ideal that activity is all that matters. So actually,
[00:48:01.480 --> 00:48:06.360]   it's the managerial class itself where I want to start affecting some changes. And I think that is
[00:48:06.360 --> 00:48:15.160]   where letting Brandon Cook can begin to help make progress. Because once you start thinking another
[00:48:15.160 --> 00:48:20.440]   way of measuring productivity is how much actual valuable stuff did you produce? That sounds so
[00:48:20.440 --> 00:48:24.200]   obvious because every other measure of productivity in every other sector does that, but we don't do that
[00:48:24.200 --> 00:48:28.920]   in knowledge work. So as soon as you bring that in the knowledge work, this many lines of good code,
[00:48:28.920 --> 00:48:34.600]   this articles that got this many, you know, readers or won these many awards, when you're thinking about
[00:48:34.600 --> 00:48:40.760]   results, suddenly email response time doesn't matter. Suddenly being on Slack doesn't matter.
[00:48:40.760 --> 00:48:45.320]   Suddenly like what's really important that we need to know exactly what days you're in the office doesn't
