
[00:00:00.000 --> 00:00:00.840]   That's good.
[00:18:30.700 --> 00:18:33.980]   In any case, I'm going to go through what the algorithm is.
[00:18:33.980 --> 00:18:35.900]   I'm going to highlight some of the key points
[00:18:35.900 --> 00:18:39.220]   that will come up later in understanding how actually
[00:18:39.220 --> 00:18:41.380]   backpropagation functions.
[00:18:41.380 --> 00:18:44.820]   So the basic idea is that we'll compute gradients
[00:18:44.820 --> 00:18:46.420]   by exploiting the chain rule.
[00:18:46.420 --> 00:18:50.220]   And we'll go from the top layer all the way to the bottom,
[00:18:50.220 --> 00:18:53.820]   computing gradients for layers that are closer and closer
[00:18:53.820 --> 00:18:56.540]   to the input as we go, and exploiting the chain rule
[00:18:56.540 --> 00:18:59.820]   to exploit or reuse previous computations we've
[00:18:59.820 --> 00:19:03.460]   made at upper layers to compute the gradients at the layers
[00:19:03.460 --> 00:19:04.980]   below.
[00:19:04.980 --> 00:19:08.140]   So we usually start by computing what is the gradient
[00:19:08.140 --> 00:19:09.300]   at the output layer.
[00:19:09.300 --> 00:19:12.460]   So what's the gradient of my loss with respect
[00:19:12.460 --> 00:19:13.820]   to my output layer?
[00:19:13.820 --> 00:19:15.380]   And actually, it's more convenient
[00:19:15.380 --> 00:19:18.340]   to compute the loss with respect to the pre-activation.
[00:19:18.340 --> 00:19:21.140]   It's actually a very simple expression.
[00:19:21.140 --> 00:19:24.180]   So that's why I have the gradient of this vector,
[00:19:24.180 --> 00:19:25.140]   a l plus 1.
[00:19:25.140 --> 00:19:28.980]   That's the pre-activation at the very last layer of the loss
[00:19:28.980 --> 00:19:32.460]   function, which is minus the log f of x, y.
[00:19:32.460 --> 00:19:35.060]   And it turns out this gradient is super simple.
[00:19:35.060 --> 00:19:37.100]   It's minus E of y.
[00:19:37.100 --> 00:19:40.180]   So that's the one-hot vector for class y.
[00:19:40.180 --> 00:19:43.820]   So what this means is E of y is just a vector filled
[00:19:43.820 --> 00:19:47.860]   with a bunch of 0's and then the 1 at the correct class.
[00:19:47.860 --> 00:19:51.100]   So if y was the fourth class, then in this case,
[00:19:51.100 --> 00:19:53.260]   it would be this vector, where I have a 1 at the fourth
[00:19:53.260 --> 00:19:54.740]   dimension.
[00:19:54.740 --> 00:19:56.580]   So E of y is just a vector.
[00:19:56.580 --> 00:19:58.700]   We call it the one-hot vector full of 0's.
[00:19:58.700 --> 00:20:01.620]   And the single 1 at the position corresponding
[00:20:01.620 --> 00:20:03.540]   to the correct class.
[00:20:03.540 --> 00:20:05.140]   So what this part of the gradient
[00:20:05.140 --> 00:20:07.620]   is essentially saying is that I'm going to increase--
[00:20:07.620 --> 00:20:09.460]   I want to increase the probability
[00:20:09.460 --> 00:20:10.580]   of the correct class.
[00:20:10.580 --> 00:20:12.520]   I want to increase the pre-activation, which
[00:20:12.520 --> 00:20:15.460]   will increase the probability of the correct class.
[00:20:15.460 --> 00:20:18.660]   And I'm going to subtract what is the current probabilities
[00:20:18.660 --> 00:20:21.860]   assigned by my neural net to all of the classes.
[00:20:21.860 --> 00:20:23.580]   So f of x, that's my output layer.
[00:20:23.580 --> 00:20:26.420]   And that's the current beliefs of the neural net
[00:20:26.420 --> 00:20:30.100]   as to in which class, what's the probability of assigning
[00:20:30.100 --> 00:20:31.740]   the input to each class.
[00:20:31.740 --> 00:20:33.740]   So what this is doing is essentially
[00:20:33.740 --> 00:20:36.260]   trying to decrease the probability of everything
[00:20:36.260 --> 00:20:39.900]   and specifically decrease it as much as the neural net currently
[00:20:39.900 --> 00:20:42.900]   believes that the input belongs to it.
[00:20:42.900 --> 00:20:45.420]   And so if you think about the subtraction of these two
[00:20:45.420 --> 00:20:48.260]   things, well, for the class that's the correct class,
[00:20:48.260 --> 00:20:51.140]   I'm going to have 1 minus some number between 0 and 1,
[00:20:51.140 --> 00:20:52.420]   because it's a probability.
[00:20:52.420 --> 00:20:53.700]   So that's going to be positive.
[00:20:53.700 --> 00:20:55.380]   So I'm going to increase the probability
[00:20:55.380 --> 00:20:56.500]   of the correct class.
[00:20:56.500 --> 00:20:58.000]   And for everything else, it's going
[00:20:58.000 --> 00:20:59.820]   to be 0 minus a positive number.
[00:20:59.820 --> 00:21:01.180]   So it's going to be negative.
[00:21:01.180 --> 00:21:03.180]   So I'm actually going to decrease the probability
[00:21:03.180 --> 00:21:04.180]   of everything else.
[00:21:04.180 --> 00:21:05.620]   So intuitively, it makes sense.
[00:21:05.620 --> 00:21:08.740]   This gradient has the right behavior.
[00:21:08.740 --> 00:21:11.580]   And I'm going to take that pre-activation gradient.
[00:21:11.580 --> 00:21:15.340]   I'm going to propagate it from the top to the bottom
[00:21:15.340 --> 00:21:19.740]   and essentially iterating from the last layer, which
[00:21:19.740 --> 00:21:22.380]   is the output layer, L plus 1, all the way down
[00:21:22.380 --> 00:21:23.980]   to the first layer.
[00:21:23.980 --> 00:21:26.780]   And as I'm going down, I'm going to compute the gradients
[00:21:26.780 --> 00:21:28.500]   with respect to my parameters and then
[00:21:28.500 --> 00:21:31.420]   compute what's the gradient for the pre-activation
[00:21:31.420 --> 00:21:34.580]   at the layer below and then iterate like that.
[00:21:34.580 --> 00:21:38.180]   So at each iteration of that loop,
[00:21:38.180 --> 00:21:42.900]   I take what is the current gradient of the loss function
[00:21:42.900 --> 00:21:44.420]   with respect to the pre-activation
[00:21:44.420 --> 00:21:46.220]   at the current layer.
[00:21:46.220 --> 00:21:49.380]   And I can compute the gradient of the loss function
[00:21:49.380 --> 00:21:51.500]   with respect to my weight matrix.
[00:21:51.500 --> 00:21:54.460]   So not doing the derivation here,
[00:21:54.460 --> 00:21:58.180]   it's actually simply this vector.
[00:21:58.180 --> 00:22:00.580]   So in my notation, I assume that all the vectors
[00:22:00.580 --> 00:22:02.220]   are column vectors.
[00:22:02.220 --> 00:22:05.180]   So this pre-activation gradient vector,
[00:22:05.180 --> 00:22:09.020]   and I multiply it by the transpose of the activations,
[00:22:09.020 --> 00:22:14.540]   so the value of the layer right below, the layer k minus 1.
[00:22:14.540 --> 00:22:16.100]   So because I take the transpose, that's
[00:22:16.100 --> 00:22:17.380]   a multiplication like this.
[00:22:17.380 --> 00:22:19.180]   And you can see if I do the outer product,
[00:22:19.180 --> 00:22:20.800]   essentially, between these two vectors,
[00:22:20.800 --> 00:22:24.260]   I'm going to get a matrix of the same size as my weight matrix.
[00:22:24.260 --> 00:22:25.940]   So it all checks out.
[00:22:25.940 --> 00:22:27.500]   That makes sense.
[00:22:27.500 --> 00:22:29.680]   Turns out that the gradient of the loss with respect
[00:22:29.680 --> 00:22:31.940]   to the bias is exactly the gradient
[00:22:31.940 --> 00:22:34.700]   of the loss with respect to the pre-activation.
[00:22:34.700 --> 00:22:36.220]   So that's very simple.
[00:22:36.220 --> 00:22:38.700]   So that gives me now my gradients for my parameters.
[00:22:38.700 --> 00:22:40.420]   Now I need to compute, OK, what is
[00:22:40.420 --> 00:22:42.660]   going to be the gradient of the pre-activations
[00:22:42.660 --> 00:22:44.700]   at the layer below?
[00:22:44.700 --> 00:22:48.980]   Well, first, I'm going to get the gradient of the loss
[00:22:48.980 --> 00:22:54.220]   function with respect to the activation at the layer below.
[00:22:54.220 --> 00:22:57.980]   Well, that's just taking my pre-activation gradient vector
[00:22:57.980 --> 00:22:59.940]   and multiplying it by--
[00:22:59.940 --> 00:23:01.780]   for some reason, it doesn't show here--
[00:23:01.780 --> 00:23:04.660]   and multiply it by the transpose of my weight matrix.
[00:23:04.660 --> 00:23:07.580]   Super simple operation, just a linear transformation
[00:23:07.580 --> 00:23:10.580]   of my gradients at layer k, linear and transformed
[00:23:10.580 --> 00:23:13.780]   to get my gradients of the activation at the layer k
[00:23:13.780 --> 00:23:15.180]   minus 1.
[00:23:15.180 --> 00:23:17.900]   And then to get the gradients of the pre-activation,
[00:23:17.900 --> 00:23:21.020]   so before the activation function,
[00:23:21.020 --> 00:23:22.940]   I'm going to take this gradient here,
[00:23:22.940 --> 00:23:25.540]   which is the gradient of the activation function
[00:23:25.540 --> 00:23:27.220]   at the layer k minus 1.
[00:23:27.220 --> 00:23:29.900]   And then I apply the gradient corresponding
[00:23:29.900 --> 00:23:33.700]   to the partial derivative of my nonlinear activation function.
[00:23:33.700 --> 00:23:37.060]   So this here, this refers to an element-wise product.
[00:23:37.060 --> 00:23:39.860]   So I'm taking these two vectors, this vector here
[00:23:39.860 --> 00:23:40.740]   and this vector here.
[00:23:40.740 --> 00:23:43.740]   I'm going to do an element-wise product between the two.
[00:23:43.740 --> 00:23:47.020]   And this vector here is just the partial derivative
[00:23:47.020 --> 00:23:49.620]   of the activation function for each unit
[00:23:49.620 --> 00:23:52.700]   individually that I've put together into a vector.
[00:23:52.700 --> 00:23:55.180]   This is what this corresponds to.
[00:23:55.180 --> 00:23:57.060]   Now, the key things to notice is first
[00:23:57.060 --> 00:23:59.580]   that this pass, computing all the gradients
[00:23:59.580 --> 00:24:02.820]   and doing all these iterations, is actually fairly cheap.
[00:24:02.820 --> 00:24:05.540]   Complexity is essentially the same as the one
[00:24:05.540 --> 00:24:07.700]   that's doing a forward pass.
[00:24:07.700 --> 00:24:11.180]   So all I'm doing are linear transformations
[00:24:11.180 --> 00:24:14.220]   multiplying by matrices, in this case, the transpose of my weight
[00:24:14.220 --> 00:24:15.060]   matrix.
[00:24:15.060 --> 00:24:17.620]   And then I'm also doing this nonlinear operation
[00:24:17.620 --> 00:24:20.120]   where I'm multiplying by the gradient of the activation
[00:24:20.120 --> 00:24:21.020]   function.
[00:24:21.020 --> 00:24:22.860]   So that's the first thing to notice.
[00:24:22.860 --> 00:24:24.220]   And the second thing to notice is
[00:24:24.220 --> 00:24:27.420]   that here I'm doing this element-wise product.
[00:24:27.420 --> 00:24:30.060]   So if any of these terms here for a unit
[00:24:30.060 --> 00:24:33.900]   is very close to 0, then the pre-activation gradient
[00:24:33.900 --> 00:24:36.460]   is going to be 0 for the next layer.
[00:24:36.460 --> 00:24:39.740]   And I highlight this point because essentially whenever--
[00:24:39.740 --> 00:24:41.500]   that's something to think about a lot when
[00:24:41.500 --> 00:24:42.860]   you're training neural nets.
[00:24:42.860 --> 00:24:46.060]   Whenever this gradient here, these partial derivatives,
[00:24:46.060 --> 00:24:48.660]   come close to 0, then it means the gradient will not
[00:24:48.660 --> 00:24:50.420]   propagate well to the next layer, which
[00:24:50.420 --> 00:24:53.120]   means that you're not going to get a good gradient to update
[00:24:53.120 --> 00:24:54.980]   your parameters.
[00:24:54.980 --> 00:24:56.380]   Now, when does that happen?
[00:24:56.380 --> 00:24:59.380]   When will you see these terms here being close to 0?
[00:24:59.380 --> 00:25:01.580]   Well, that's going to be when the partial derivatives
[00:25:01.580 --> 00:25:03.700]   of these nonlinear activation functions
[00:25:03.700 --> 00:25:05.780]   are close to 0 or 0.
[00:25:05.780 --> 00:25:08.160]   So we can look at the partial derivatives, say,
[00:25:08.160 --> 00:25:10.140]   of the sigmoid function.
[00:25:10.140 --> 00:25:12.460]   It turns out it's super easy to compute.
[00:25:12.460 --> 00:25:15.340]   It's just the sigmoid itself times 1
[00:25:15.340 --> 00:25:18.100]   minus the sigmoid itself.
[00:25:18.100 --> 00:25:20.160]   So that means that whenever the activation
[00:25:20.160 --> 00:25:23.500]   of the unit for a sigmoid unit is close to 1 or close to 0,
[00:25:23.500 --> 00:25:27.540]   I essentially get a partial derivative that's close to 0.
[00:25:27.540 --> 00:25:28.780]   You can kind of see it here.
[00:25:28.780 --> 00:25:30.380]   The slope here is essentially flat,
[00:25:30.380 --> 00:25:31.700]   and the slope here is flat.
[00:25:31.700 --> 00:25:35.260]   That's the value of the partial derivative.
[00:25:35.260 --> 00:25:37.940]   So in other words, if my pre-activations
[00:25:37.940 --> 00:25:39.860]   are very negative or very positive,
[00:25:39.860 --> 00:25:42.940]   or if my unit is very saturated, then gradients
[00:25:42.940 --> 00:25:46.500]   will have a hard time propagating to the next layer.
[00:25:46.500 --> 00:25:49.020]   That's the key insight here.
[00:25:49.020 --> 00:25:51.820]   Same thing for the tanh function.
[00:25:51.820 --> 00:25:53.500]   So it turns out the partial derivative
[00:25:53.500 --> 00:25:54.940]   is also easy to compute.
[00:25:54.940 --> 00:25:57.580]   You just take the tanh value, square it,
[00:25:57.580 --> 00:25:59.980]   and you're going to subtract it to 1.
[00:25:59.980 --> 00:26:04.420]   And indeed, if it's close to minus 1 or close to 1,
[00:26:04.420 --> 00:26:07.180]   you can see that the slope is flat.
[00:26:07.180 --> 00:26:09.420]   So again, if the unit is saturating,
[00:26:09.420 --> 00:26:11.900]   gradients will have a hard time propagating
[00:26:11.900 --> 00:26:14.140]   to the next layers.
[00:26:14.140 --> 00:26:18.140]   And for the ReLU, the rectified linear activation function,
[00:26:18.140 --> 00:26:21.180]   the gradient is even simpler.
[00:26:21.180 --> 00:26:23.580]   You just check whether the pre-activation is greater than
[00:26:23.580 --> 00:26:24.080]   0.
[00:26:24.080 --> 00:26:26.300]   If it is, the partial derivative is 1.
[00:26:26.300 --> 00:26:27.780]   If it's not, it's 0.
[00:26:27.780 --> 00:26:30.020]   So actually, you're going to multiply by 1 or 0.
[00:26:30.020 --> 00:26:31.760]   You essentially get a binary mask
[00:26:31.760 --> 00:26:35.220]   when you're performing the propagation through the ReLU.
[00:26:35.220 --> 00:26:36.180]   And you can see it.
[00:26:36.180 --> 00:26:38.100]   The slope here is flat, and otherwise, you
[00:26:38.100 --> 00:26:40.020]   have a linear function.
[00:26:40.020 --> 00:26:43.940]   So actually, here, the shrinking of the gradient towards 0
[00:26:43.940 --> 00:26:44.860]   is even harder.
[00:26:44.860 --> 00:26:47.780]   It's exactly multiplying by 0 if you have
[00:26:47.780 --> 00:26:52.140]   a unit that's saturating below.
[00:26:52.140 --> 00:26:56.820]   And beyond all the math, in terms of actually using those
[00:26:56.820 --> 00:26:58.800]   in practice, during the weekend, you'll
[00:26:58.800 --> 00:27:01.780]   see three different libraries that essentially allows you
[00:27:01.780 --> 00:27:03.220]   to compute these gradients for you.
[00:27:03.220 --> 00:27:06.000]   You actually usually don't write down backprop.
[00:27:06.000 --> 00:27:08.020]   You just use all of these modules
[00:27:08.020 --> 00:27:09.180]   that you've implemented.
[00:27:09.180 --> 00:27:13.380]   And it turns out there's a way of automatically differentiating
[00:27:13.380 --> 00:27:16.220]   your loss function and getting gradients for free
[00:27:16.220 --> 00:27:19.460]   in terms of effort, in terms of programming effort,
[00:27:19.460 --> 00:27:21.500]   with respect to your parameters.
[00:27:21.500 --> 00:27:23.940]   So conceptually, the way you do this--
[00:27:23.940 --> 00:27:26.460]   and you'll see essentially three different libraries doing it
[00:27:26.460 --> 00:27:28.580]   in slightly different ways.
[00:27:28.580 --> 00:27:31.340]   What you do is you augment your flow graph
[00:27:31.340 --> 00:27:34.420]   by adding, at the very end, the computation of your loss
[00:27:34.420 --> 00:27:35.600]   function.
[00:27:35.600 --> 00:27:38.020]   And then each of these boxes, which are conceptually
[00:27:38.020 --> 00:27:40.540]   objects that are taking arguments and computing
[00:27:40.540 --> 00:27:45.420]   a value, you're going to augment them to also have a method
[00:27:45.420 --> 00:27:47.600]   that's a backprop or a bprop method.
[00:27:47.600 --> 00:27:50.660]   You'll often see, actually, this expression being used, bprop.
[00:27:50.660 --> 00:27:52.980]   And what this method should do is
[00:27:52.980 --> 00:27:54.500]   that it should take as input, what
[00:27:54.500 --> 00:27:57.300]   is the gradient of the loss with respect to myself?
[00:27:57.300 --> 00:28:00.340]   And then it should propagate to its arguments,
[00:28:00.340 --> 00:28:02.780]   so the things that its parents in the flow graph,
[00:28:02.780 --> 00:28:04.780]   the things it takes to compute its own value,
[00:28:04.780 --> 00:28:07.100]   it's going to propagate them using the chain rule, what
[00:28:07.100 --> 00:28:10.780]   is their gradients with respect to the loss?
[00:28:10.780 --> 00:28:14.220]   So what this means is that you would start the process
[00:28:14.220 --> 00:28:16.860]   by initializing, well, the gradient of the loss
[00:28:16.860 --> 00:28:19.360]   with respect to itself is 1.
[00:28:19.360 --> 00:28:22.260]   And then you pass the bprop method here 1.
[00:28:22.260 --> 00:28:26.420]   And then it's going to propagate to its argument, what
[00:28:26.420 --> 00:28:28.240]   is, by using the chain rule, what
[00:28:28.240 --> 00:28:32.040]   is the gradient of the loss with respect to f of x?
[00:28:32.040 --> 00:28:34.800]   And then you're going to call bprop on this object here.
[00:28:34.800 --> 00:28:36.220]   And it's going to compute, well, I
[00:28:36.220 --> 00:28:38.460]   have the gradient of the loss with respect to myself,
[00:28:38.460 --> 00:28:39.300]   f of x.
[00:28:39.300 --> 00:28:42.700]   From this, I can compute what's the gradient of my argument,
[00:28:42.700 --> 00:28:45.140]   which is the pre-activation at layer 2,
[00:28:45.140 --> 00:28:46.580]   with respect to the loss.
[00:28:46.580 --> 00:28:48.380]   So I'm going to reuse the computation I just
[00:28:48.380 --> 00:28:50.860]   got and update it using my--
[00:28:50.860 --> 00:28:53.020]   what is essentially the Jacobian.
[00:28:53.020 --> 00:28:55.140]   And then I'm going to take the pre-activation here,
[00:28:55.140 --> 00:28:57.340]   which now knows what is the gradient of the loss with
[00:28:57.340 --> 00:28:59.180]   respect to itself, the pre-activation.
[00:28:59.180 --> 00:29:02.020]   It's going to propagate to the weights and the biases
[00:29:02.020 --> 00:29:04.200]   and the layer below, updating them with--
[00:29:04.200 --> 00:29:06.280]   informing them of what is the gradient of the loss
[00:29:06.280 --> 00:29:07.420]   with respect to themselves.
[00:29:07.420 --> 00:29:09.080]   And you continue like this, essentially
[00:29:09.080 --> 00:29:12.880]   going through the flow graph, but in the opposite direction.
[00:29:12.880 --> 00:29:15.400]   So the library torch, the basic library torch,
[00:29:15.400 --> 00:29:18.440]   essentially functions like this quite explicitly.
[00:29:18.440 --> 00:29:21.000]   You construct-- you chain these elements together.
[00:29:21.000 --> 00:29:23.000]   And then when you're performing backpropagation,
[00:29:23.000 --> 00:29:24.340]   you're going in the reverse order
[00:29:24.340 --> 00:29:25.880]   of these chained elements.
[00:29:25.880 --> 00:29:29.280]   And then you have libraries like Torchautograd and Theano
[00:29:29.280 --> 00:29:31.240]   and TensorFlow, which you'll learn about,
[00:29:31.240 --> 00:29:34.340]   which are doing things slightly more sophisticated there.
[00:29:34.340 --> 00:29:38.540]   And you'll learn about that later on.
[00:29:38.540 --> 00:29:40.940]   OK, so that's a discussion of how you actually
[00:29:40.940 --> 00:29:44.620]   compute gradients of the loss with respect to the parameters.
[00:29:44.620 --> 00:29:47.540]   So that's another component we need in stochastic gradient
[00:29:47.540 --> 00:29:48.640]   descent.
[00:29:48.640 --> 00:29:50.100]   We can choose a regularizer.
[00:29:50.100 --> 00:29:53.500]   One that's often used is the L2 regularization.
[00:29:53.500 --> 00:29:57.100]   So that's just the sum of the squared of all the weights.
[00:29:57.100 --> 00:30:01.280]   And the gradient of that is just twice times the weight.
[00:30:01.280 --> 00:30:03.400]   So it's a super simple gradient to compute.
[00:30:03.400 --> 00:30:06.840]   We usually don't regularize the biases.
[00:30:06.840 --> 00:30:10.960]   There's no particularly important reason for that.
[00:30:10.960 --> 00:30:15.200]   There are much fewer biases, so it seems less important.
[00:30:15.200 --> 00:30:17.020]   And often, this L2 regularization
[00:30:17.020 --> 00:30:18.760]   is often referred to as weight decay.
[00:30:18.760 --> 00:30:20.320]   So if you hear about weight decay,
[00:30:20.320 --> 00:30:24.400]   that often refers to L2 regularization.
[00:30:24.400 --> 00:30:28.660]   And then finally, and this is also a very important point,
[00:30:28.660 --> 00:30:31.080]   you have to initialize the parameters before you actually
[00:30:31.080 --> 00:30:32.120]   start doing backprop.
[00:30:32.120 --> 00:30:34.160]   And there are a few tricky cases you
[00:30:34.160 --> 00:30:37.640]   need to make sure that you don't fall into.
[00:30:37.640 --> 00:30:40.600]   So the biases, often we initialize them to 0.
[00:30:40.600 --> 00:30:42.880]   There are certain exceptions, but for the most part,
[00:30:42.880 --> 00:30:44.720]   we initialize them to 0.
[00:30:44.720 --> 00:30:47.600]   But for the weights, there are a few things we can't do.
[00:30:47.600 --> 00:30:50.200]   So we can't initialize the weights to 0,
[00:30:50.200 --> 00:30:53.960]   and especially if you have tanh activations.
[00:30:53.960 --> 00:30:56.160]   The reason-- and I won't explain it here,
[00:30:56.160 --> 00:30:59.240]   but it's not a bad exercise to try to figure out why--
[00:30:59.240 --> 00:31:02.100]   is that essentially, when you do your first pass,
[00:31:02.100 --> 00:31:04.520]   you're going to get gradients for all your parameters that
[00:31:04.520 --> 00:31:05.920]   are going to be 0.
[00:31:05.920 --> 00:31:08.960]   So you're going to be stuck at this 0 initialization.
[00:31:08.960 --> 00:31:11.280]   So we can't do that.
[00:31:11.280 --> 00:31:13.160]   We also can't initialize all the weights
[00:31:13.160 --> 00:31:16.440]   to exactly the same value.
[00:31:16.440 --> 00:31:18.720]   Again, you think about it a little bit.
[00:31:18.720 --> 00:31:20.600]   What's going to happen is essentially
[00:31:20.600 --> 00:31:24.720]   that all the weights coming into a unit within the layer
[00:31:24.720 --> 00:31:27.640]   are going to have exactly the same gradients, which
[00:31:27.640 --> 00:31:30.000]   means they're going to be updated exactly the same way,
[00:31:30.000 --> 00:31:32.280]   which means they're going to stay constant the same--
[00:31:32.280 --> 00:31:34.360]   not constant, but they're going to stay the same--
[00:31:34.360 --> 00:31:35.080]   the whole time.
[00:31:35.080 --> 00:31:38.320]   So it's as if you have multiple copies of the same unit.
[00:31:38.320 --> 00:31:40.920]   So you essentially have to break that initial symmetry
[00:31:40.920 --> 00:31:43.080]   that you would create if you initialized everything
[00:31:43.080 --> 00:31:44.520]   to the same value.
[00:31:44.520 --> 00:31:46.260]   So what we end up doing most of the time
[00:31:46.260 --> 00:31:50.480]   is initialize the weights to some randomly generated value.
[00:31:50.480 --> 00:31:52.080]   Often, we generate them--
[00:31:52.080 --> 00:31:54.120]   there are a few other recipes, but one of them
[00:31:54.120 --> 00:31:56.480]   is to initialize them from some uniform distribution
[00:31:56.480 --> 00:31:59.360]   between lower and upper bound.
[00:31:59.360 --> 00:32:01.440]   This is a recipe here that is often
[00:32:01.440 --> 00:32:05.440]   used that has some theoretical grounding that was derived
[00:32:05.440 --> 00:32:06.880]   specifically for the tanh.
[00:32:06.880 --> 00:32:09.880]   There's this paper here by Xavier Guerroux and Yoshua
[00:32:09.880 --> 00:32:13.120]   Bengio you can check out for some intuition as to how
[00:32:13.120 --> 00:32:14.460]   you should initialize the weights.
[00:32:14.460 --> 00:32:17.100]   But essentially, they should be initially random,
[00:32:17.100 --> 00:32:19.320]   and they should be initially close to 0.
[00:32:19.320 --> 00:32:23.160]   Random to break symmetry, and close to 0
[00:32:23.160 --> 00:32:27.040]   so that initially the units are not already saturated.
[00:32:27.040 --> 00:32:28.680]   Because if the units are saturated,
[00:32:28.680 --> 00:32:29.800]   then there are no gradients that are
[00:32:29.800 --> 00:32:31.280]   going to pass through the units.
[00:32:31.280 --> 00:32:33.680]   You're essentially going to get gradients very close to 0
[00:32:33.680 --> 00:32:35.120]   at the lower layers.
[00:32:35.120 --> 00:32:37.360]   So that's the main intuition, is to have weights
[00:32:37.360 --> 00:32:40.200]   that are small and random.
[00:32:40.200 --> 00:32:45.360]   So those are all the pieces we need
[00:32:45.360 --> 00:32:47.200]   for running stochastic gradient descent.
[00:32:47.200 --> 00:32:48.860]   So that allows us to take a training set
[00:32:48.860 --> 00:32:50.720]   and run a certain number of epochs,
[00:32:50.720 --> 00:32:53.920]   and have the neural net learn from that training set.
[00:32:53.920 --> 00:32:57.120]   Now, there are other quantities in our neural network
[00:32:57.120 --> 00:32:59.240]   that we haven't specified how to choose them.
[00:32:59.240 --> 00:33:02.560]   So those are the hyperparameters.
[00:33:02.560 --> 00:33:05.240]   So usually, we're going to have a separate validation set.
[00:33:05.240 --> 00:33:06.880]   Most people here are familiar with machine learning,
[00:33:06.880 --> 00:33:08.440]   so that's a typical procedure.
[00:33:08.440 --> 00:33:10.320]   And then we need to select things like, OK,
[00:33:10.320 --> 00:33:11.560]   how many layers do I want?
[00:33:11.560 --> 00:33:14.200]   How many units per layer do I want?
[00:33:14.200 --> 00:33:16.120]   What's the step size, the learning rate
[00:33:16.120 --> 00:33:17.920]   of my stochastic gradient descent procedure,
[00:33:17.920 --> 00:33:19.540]   that alpha number?
[00:33:19.540 --> 00:33:22.300]   What is the weight decay that I'm going to use?
[00:33:22.300 --> 00:33:24.340]   So a standard thing in machine learning
[00:33:24.340 --> 00:33:27.380]   is to perform a grid search.
[00:33:27.380 --> 00:33:29.340]   That is, if I have two hyperparameters,
[00:33:29.340 --> 00:33:31.320]   I list out a bunch of values I want to try.
[00:33:31.320 --> 00:33:32.780]   So for the number of hidden units,
[00:33:32.780 --> 00:33:36.940]   maybe I want to try 100, 1,000, and 2,000, say.
[00:33:36.940 --> 00:33:38.540]   And then for the learning rate, maybe I
[00:33:38.540 --> 00:33:42.420]   want to try 0.01 and 0.001.
[00:33:42.420 --> 00:33:44.580]   So a grid search would just try all combinations
[00:33:44.580 --> 00:33:46.900]   of these three values for the hidden units
[00:33:46.900 --> 00:33:49.820]   and these two values for the learning rates.
[00:33:49.820 --> 00:33:53.340]   So that means that the more hyperparameters there are,
[00:33:53.340 --> 00:33:57.420]   the number of configurations you have to try out blows up
[00:33:57.420 --> 00:33:59.620]   and grows exponentially.
[00:33:59.620 --> 00:34:03.180]   So another procedure that is now more and more common,
[00:34:03.180 --> 00:34:07.580]   which is more practical, is to perform a form of random search.
[00:34:07.580 --> 00:34:10.020]   In this case, what you do is for each parameter,
[00:34:10.020 --> 00:34:13.460]   you actually determine a distribution of likely values
[00:34:13.460 --> 00:34:14.220]   you'd like to try.
[00:34:14.220 --> 00:34:16.100]   So it could be--
[00:34:16.100 --> 00:34:17.560]   so for the number of hidden units,
[00:34:17.560 --> 00:34:19.500]   maybe I do a uniform distribution
[00:34:19.500 --> 00:34:22.700]   over all integers from 100 to 1,000, say,
[00:34:22.700 --> 00:34:25.220]   or maybe a log uniform distribution.
[00:34:25.220 --> 00:34:26.920]   And for the learning rate, maybe, again,
[00:34:26.920 --> 00:34:32.840]   the log uniform distribution, but from 0.001 to 0.01, say.
[00:34:32.840 --> 00:34:35.260]   And then to get an experiment, so
[00:34:35.260 --> 00:34:37.060]   to get values for my hyperparameters
[00:34:37.060 --> 00:34:39.940]   to do an experiment with and get a performance on my validation
[00:34:39.940 --> 00:34:43.140]   set, I just independently sample from these distributions
[00:34:43.140 --> 00:34:46.460]   for each hyperparameter to get a full configuration
[00:34:46.460 --> 00:34:47.820]   for my experiment.
[00:34:47.820 --> 00:34:50.720]   And then because I have this way of getting one experiment,
[00:34:50.720 --> 00:34:53.740]   I do it independently for all of my jobs, all of my experiments
[00:34:53.740 --> 00:34:54.620]   that I will do.
[00:34:54.620 --> 00:34:58.020]   So in this case, if I know I have enough compute power
[00:34:58.020 --> 00:35:02.120]   to do 50 experiments, I just sample 50 independent samples
[00:35:02.120 --> 00:35:04.100]   from these distributions for hyperparameters,
[00:35:04.100 --> 00:35:07.860]   perform these 50 experiments, and I just take the best one.
[00:35:07.860 --> 00:35:09.880]   What's nice about it is that there are no--
[00:35:09.880 --> 00:35:12.620]   unlike grid search, there are never any holes in the grid.
[00:35:12.620 --> 00:35:15.260]   That is, you just specify how many experiments you do.
[00:35:15.260 --> 00:35:18.460]   If one of your jobs died, well, you just have one less.
[00:35:18.460 --> 00:35:21.900]   But there's no hole in your experiment.
[00:35:21.900 --> 00:35:24.700]   And also, one reason why it's particularly useful,
[00:35:24.700 --> 00:35:29.380]   this approach, is that if you have a specific value in grid
[00:35:29.380 --> 00:35:32.100]   search for one of the hyperparameters that just makes
[00:35:32.100 --> 00:35:35.100]   the experiment not work at all-- so learning rates
[00:35:35.100 --> 00:35:36.300]   are a lot like this.
[00:35:36.300 --> 00:35:38.620]   If you have a learning rate that's too high,
