
[00:00:00.000 --> 00:00:16.960]   A lot of effort has gone into thinking about the engineering of inference and not so much
[00:29:32.960 --> 00:29:40.160]   not a kind of shared, like the gorilla model is like fine tuned on a bunch of APIs from like torch hub,
[00:29:40.160 --> 00:29:44.960]   TensorFlow hub and hugging face. So the gorilla model is really good at using other machine learning models,
[00:29:44.960 --> 00:29:50.800]   but not like generic possible tools. At least this example, then maybe they have tuned more than one.
[00:29:50.800 --> 00:29:58.320]   Um, but this is a general problem that if you train a model to use a specific tool, um, then like the, uh,
[00:29:58.320 --> 00:30:04.800]   it's not gonna be able to use like any tool. Um, but if you train a model to, to use a very broad class
[00:30:04.800 --> 00:30:10.960]   of tools by using something that's like kind of closer to this grammar where there's like a, a format
[00:30:10.960 --> 00:30:21.760]   for tools, um, then you are now a people write an interface between the, uh, that standard and the, um,
[00:30:22.560 --> 00:30:27.840]   and the thing that they actually want to use. So this has shown up in open, uh, like, uh, in open
[00:30:27.840 --> 00:30:37.040]   AI's API as the use of JSON schema for describing function calls. So this allows them to train a model
[00:30:37.040 --> 00:30:45.280]   on fairly generic stuff, um, that all fits this, like it all fits the JSON schema spec. Um, and so the
[00:30:45.280 --> 00:30:49.920]   model has learned a bunch of stuff about the JSON schema spec and how to generate that correctly. Um,
[00:30:49.920 --> 00:30:55.200]   you can imagine using grammar based sampling to enforce that. Um, and this, uh, allows it to
[00:30:55.200 --> 00:31:01.360]   connect to many, many tools cause now all you need to do is write a tiny connector between like the JSON
[00:31:01.360 --> 00:31:08.160]   format and the actual thing you want to use. Um, and that's like pretty easy. It's like a big part
[00:31:08.160 --> 00:31:13.200]   of web development from my understanding is that you just like pass JSON blobs back and forth until
[00:31:13.200 --> 00:31:22.960]   somebody gives you money. Um, and so, uh, yeah, so this is a very good kind of schema. Um, uh,
[00:31:22.960 --> 00:31:28.080]   but one thing that people miss is that the tool doesn't have to actually be real. Like the key
[00:31:28.080 --> 00:31:32.800]   thing that happens here is the language model goes from outputting unstructured text to outputting JSON
[00:31:32.800 --> 00:31:38.480]   that fits schema. And it just so happens that the primary use case for that, that open AI envisaged
[00:31:38.480 --> 00:31:45.680]   was putting it through a like function call, putting it through some downstream computer system. Um, but
[00:31:45.680 --> 00:31:51.760]   like really that, uh, some downstream system, but really it like doesn't have to be a real function.
[00:31:51.760 --> 00:31:58.080]   You can tell it about a fake function. That's like, please pass a string, like describing whether the,
[00:31:58.080 --> 00:32:03.760]   the input was spam or not spam so that I can like render an HTML element. Right. And so the model is now
[00:32:03.760 --> 00:32:08.720]   trying to like call a function that's like that in order to provide the arguments to that function
[00:32:08.720 --> 00:32:13.280]   as to decide whether an input is spam or not spam. And that's maybe the thing you really care about.
[00:32:13.280 --> 00:32:17.520]   And so you like invent a little fictional function for it to call that you don't call and then you just
[00:32:17.520 --> 00:32:23.200]   use it for something else. So this is a pattern in, um, uh, there's a library for this called instructor
[00:32:23.200 --> 00:32:27.920]   from Jason. Um, Jason Liu, who's going to be speaking later at the conference. Yeah.
[00:32:27.920 --> 00:32:42.160]   You have to fit the Jason schema, which the schema that they like the, the, there's like a meta schema
[00:32:42.160 --> 00:32:46.720]   kind of thing there. Like it has to, it has to be a function call and the model has been trained on
[00:32:46.720 --> 00:32:54.560]   things that are like, you know, get name, get current weather. Um, so, uh, yeah, I mean, you can hack in
[00:32:54.560 --> 00:32:59.040]   because, you know, functional programming has taught us that everything is just a function,
[00:32:59.040 --> 00:33:03.440]   like a constant is just a function that always returns the same thing. Um, and so you can, you
[00:33:03.440 --> 00:33:09.200]   can like hack it in there. Um, and instructor has some fun, like kind of functional programming stuff
[00:33:09.200 --> 00:33:15.760]   built into it, like maybes and stuff. So, you know, um, and also somebody did like dag construction,
[00:33:15.760 --> 00:33:21.920]   where it's like, you give it a schema for a dag constructor, and then it like writes a dag of function
[00:33:21.920 --> 00:33:26.560]   calls instead of just a single function call. So, you can really go wild, which is very fun.
[00:33:26.560 --> 00:33:31.760]   Um, and yeah.
[00:33:31.760 --> 00:33:35.920]   Most of the time when you generate something,
[00:33:35.920 --> 00:33:41.040]   if you want to extract something out of the output, you want to display to the end user,
[00:33:41.040 --> 00:33:48.400]   and then the question of latency comes in. If we use this, how do we solve the streaming?
[00:33:48.400 --> 00:33:54.240]   Yeah, so that is a great question. The answer is that this basically breaks your ability to stream.
[00:33:54.240 --> 00:34:02.000]   Um, I think it's not, so this is maybe a little bit more oriented to like back of house stuff,
[00:34:02.000 --> 00:34:08.400]   where you're using language models to like handle data rather than using language models to directly
[00:34:08.400 --> 00:34:16.800]   interact with the user. Um, I think if you set up a pipeline correctly, then you can stream the outputs
[00:34:16.800 --> 00:34:24.000]   from one call into the inputs of the next one. And if you have the relevant information you need from
[00:34:24.000 --> 00:34:28.640]   the func, the function call one, then you can just immediately kick off the next thing. And you can just,
[00:34:28.640 --> 00:34:33.280]   you can write, you know, like more like a Unix pipe style, and then you start to get back to being
[00:34:33.280 --> 00:34:40.560]   streaming, but you don't have like the Unix pipes work because of new lines as a separator that lets
[00:34:40.560 --> 00:34:47.040]   you break work out. And there's not an obvious way to do that with this. Um, so yeah, the short answer,
[00:34:47.040 --> 00:34:50.560]   I guess, is that it's really hard to get back that kind of streaming thing when using these.
[00:34:50.560 --> 00:34:58.160]   Um, yeah. Um, I'm gonna, let's see, how much more do I have? I'm gonna push forward because I want to
[00:34:58.160 --> 00:35:03.680]   make sure to get to the last section. Um, but I will be around to answer people's questions. Um,
[00:35:03.680 --> 00:35:11.440]   okay. So, uh, this conference is not called NLP engineer summit. And we've been talking about like,
[00:35:11.440 --> 00:35:16.240]   you know, structured out extracting structured outputs from language information retrieval,
[00:35:16.240 --> 00:35:21.280]   like that's also natural language processing and language user interfaces. Like that's not artificial
[00:35:21.280 --> 00:35:27.280]   intelligence. Like where's the AI? The, like the thing that really feels like artificial intelligence with
[00:35:27.280 --> 00:35:34.880]   language models is something like agents, uh, that are, that have memory that they keep over time.
[00:35:34.880 --> 00:35:43.280]   Uh, so for example, the generative agents, um, that was, uh, let's see, it's mostly Stanford people
[00:35:43.280 --> 00:35:50.720]   remember correctly, but, uh, the like generative agents paper, uh, combined like a stream of memories
[00:35:50.720 --> 00:35:56.800]   generated as these agents interacted in like a video game environment with like some like reasoning
[00:35:56.800 --> 00:36:03.360]   flows to create these like little tiny characters that had personalities that developed over time
[00:36:03.360 --> 00:36:13.040]   in interaction with each other. And like, um, and that is, uh, like much closer to what people imagine
[00:36:13.040 --> 00:36:23.280]   when they hear AI than even a chat bot. Um, and there's been a lot of advancement in, uh, using these things
[00:36:23.280 --> 00:36:28.000]   in simulated environments. So that was like a full all language models simulated environment with
[00:36:28.000 --> 00:36:33.280]   generative agents. There's also a ton of really cool stuff going on in the Minecraft world. Um,
[00:36:33.280 --> 00:36:43.440]   which is like people have, uh, this Voyager agent writes JavaScript code jobs. Yeah. JavaScript code to
[00:36:43.440 --> 00:36:50.000]   call the, like this, like Minecraft API that allows it to like drive a little, um, uh, you know,
[00:36:50.000 --> 00:36:53.840]   a little character in the Minecraft world and it starts with basically nothing. Um,
[00:36:53.840 --> 00:36:59.280]   and then it writes itself a bunch of little subroutines to like mine wood log or like stab zombie
[00:36:59.280 --> 00:37:05.520]   or whatever. And it like accumulates them over time, like learns how to do new stuff. Um, like comes up with
[00:37:05.520 --> 00:37:12.160]   its own curriculum for how to solve, like how to get better. Um, and was able to like do extremely well at
[00:37:12.160 --> 00:37:21.440]   this, uh, uh, a notoriously hard RL task, uh, mine diamond, uh, which was like a, uh, a grand challenge for the RL world, um,
[00:37:21.440 --> 00:37:32.080]   only a couple of years ago. Um, so they're like, they can accumulate information over time. They can accumulate skills over time. They can use tools. This is all very cool.
[00:37:32.080 --> 00:37:55.360]   Um, they are, they have a couple of problems. The biggest one being the, like the problem of reliability, um, structured outputs can't help with that. And there's like only limited work, I would say on agents that has come out since at least like published, you know, research work since the, like since function calling got really good in the open API. Um,
[00:37:55.360 --> 00:38:25.240]   Um, also there's kind of like a cacophony of different techniques out there with like Voyager, uh, react is kind of an agent, um, generative agents. Um, there's a really like awesome paper from, uh, Tom Griffith's group at Princeton cognitive architectures for language agents that brings back a bunch of ideas from good old fashioned AI in the eighties on like, um, production systems, uh, and cognitive architectures, a bunch of stuff that was like really cool ideas, but it could never like get past the demo.
[00:38:25.240 --> 00:38:55.120]   So, um, the most stage, um, on like how to create the things that we know about or that we believe about human and animal cognition, like procedural memories, semantic memories, episodic memories, how to implement that in software and the problem, like those systems could do cool stuff, but the problem was always that they lacked this like general world knowledge and common sense with language models. They don't have memory. Um, and they don't, um, like they don't have this like structured aspect to their cognition. Um, but they do have
[00:38:55.120 --> 00:39:25.000]   that like world knowledge and that common sense. Uh, so this is, uh, like mushing those two things together and using a language model to do, um, basically these kinds of like, uh, observing the world or doing cognition, um, and doing decision procedures, um, like Mary's the best of both worlds. Um, and it is actually like a pretty effective way of breaking down the existing agent architectures, uh,
[00:39:25.000 --> 00:39:54.880]   like in their different choices. Like in their different choices about how to do long-term memory, how to do external grounding, how they like interact with the external world. Um, the concept of internal actions, uh, comes from cognitive architectures, um, which is like, uh, choosing to spend time reasoning or choosing to update your like long-term memory, um, or yeah, or your decision procedure. Yeah. And then also explicitly calling out a decision-making procedure. Um, so there's a, and that paper is also just like has an entire research
[00:39:54.880 --> 00:40:24.760]   agenda agenda in it, um, on like ways that you could just start filling out the cross product, just filling out a big array of like, try this idea from language models with like this idea from cognitive architectures. Um, and there's just like a billion, uh, really cool ideas in there. Um, so if you are interested in agents, um, but have like struggled to like, uh, like wrap your brain around all the different ways you could, you could do stuff, um, and around like
[00:40:24.760 --> 00:40:32.620]   like how to make them like how to make them a little bit more tame. Uh, I think the koala paper has some good pointers.
[00:40:32.620 --> 00:40:48.100]   Um, oh yeah. And then lastly for this LLM patterns thing that I was talking generally about like different ways people are building stuff with LLMs, Eugenian's blog has some of the best, uh, writing on this, um, uh, both on, uh, patterns and anti-patterns.
[00:40:48.100 --> 00:41:07.960]   Okay. Um, I want to give some time for monitoring evaluation observability. So I'm just going to, I know that there's probably lots of interesting things that people have to say on the agent stuff, but we'll, we have the rest of the conference to talk about that. Um, so, uh, the goal here is to talk about AI engineering.
[00:41:07.960 --> 00:41:17.320]   So that last part was about AI. What about the engineering in engineering? We want to have a process for building like a process for creating these things and a process for improving them.
[00:41:17.320 --> 00:41:35.320]   Um, and progress on this front has been pretty halting. Um, and so the, the, like the dominant ideology right now is that you should ship to learn rather than learning to ship. Um, and so this is one of the big ideas in the full stack deep learning course that I've taught in.
[00:41:35.320 --> 00:41:52.320]   It's something that Andre Carpathie has really hammered on the, like idea of a data engine or data flywheel, where in order to do well, you need to go out there and collect data from the world, uh, find issues in your data and use that to improve your model in like, you know, uh, and an unending cycle.
[00:41:52.320 --> 00:42:02.320]   Um, charity majors from honeycomb, uh, who's big in the monitoring and observability world, uh, like has said that this is something that she has come to like about ML in software.
[00:42:02.320 --> 00:42:09.320]   You start with tests and then you graduate production when the tests pass, or at least like that's what you tell people on the internet and like your manager.
[00:42:09.320 --> 00:42:20.320]   Um, uh, but with ML, you can't even lie and you know that you have to like start with production, use that to find out the like issues with, uh, to like generate your tests.
[00:42:20.320 --> 00:42:24.320]   So, you know, it's, it's oops, all regression tests, uh, version.
[00:42:24.320 --> 00:42:32.320]   Um, and so what that, that means is that monitoring is very critical from the very beginning.
[00:42:32.320 --> 00:42:34.320]   Um, that we monitor for user behavior.
[00:42:34.320 --> 00:42:36.320]   We monitor for performance and costs and we monitor for bugs.
[00:42:36.320 --> 00:42:40.320]   So some of these are just like regular old monitoring stuff.
[00:42:40.320 --> 00:42:55.320]   And this is just like bread and butter things that can be, uh, yeah, like similar to the way we do with, with, uh, existing software monitoring users always reveals like, uh, like both misuse and product insights.
[00:42:55.320 --> 00:43:01.320]   So one thing that I found from running this discord bot is like one of the things that you get the most are like meta questions.
[00:43:01.320 --> 00:43:04.320]   Like, uh, are you getting feedback from these emojis?
[00:43:04.320 --> 00:43:05.320]   Who's a good bot?
[00:43:05.320 --> 00:43:06.320]   That's maybe not a meta question.
[00:43:06.320 --> 00:43:08.320]   Um, does your dataset include your own source code?
[00:43:08.320 --> 00:43:09.320]   Um, what do you do?
[00:43:09.320 --> 00:43:15.320]   Like these are very common, like things that people input and it wasn't, it wasn't in my head that that was important.
[00:43:15.320 --> 00:43:19.320]   So now there's like special stuff in the prompt for handling that class of questions.
[00:43:19.320 --> 00:43:26.320]   So by monitoring how users use the, uh, your, your system, you can get really great product insights.
[00:43:26.320 --> 00:43:27.320]   Yeah.
[00:43:27.320 --> 00:43:30.320]   Did you get these for just like a, like a few minute manual tech of your crew?
[00:43:30.320 --> 00:43:31.320]   Oh yeah.
[00:43:31.320 --> 00:43:36.320]   Uh, I had logged them to Gantry and then I looked at the ones that had up and down thumbs.
[00:43:36.320 --> 00:43:40.320]   Um, and I also read all of them cause it was like only a couple hundred rows.
[00:43:40.320 --> 00:43:45.320]   Oh man, my battery's gonna run out.
[00:43:45.320 --> 00:43:47.320]   Uh, all right, we gotta move fast.
[00:43:47.320 --> 00:43:56.320]   Um, so, uh, monitoring, monitoring performance, uh, can help us manage the constraints that I like talked about when we were thinking about all the different places.
[00:43:56.320 --> 00:43:58.320]   Um, our models might run.
[00:43:58.320 --> 00:44:05.320]   So as always you want to monitor things like latency quantiles, like, like how long do requests take?
[00:44:05.320 --> 00:44:06.320]   Oh, wow.
[00:44:06.320 --> 00:44:07.320]   That's nice.
[00:44:07.320 --> 00:44:08.320]   Thank you.
[00:44:08.320 --> 00:44:09.320]   Huge.
[00:44:09.320 --> 00:44:17.320]   Um, and so like latency quantiles, like that's how long, like take all the requests.
[00:44:17.320 --> 00:44:20.320]   What is the probability that a request took at least this long?
[00:44:20.320 --> 00:44:25.320]   Um, the people often think like if I get 90% of them, like below something, that's great.
[00:44:25.320 --> 00:44:30.320]   And the problem with thinking that way is that users don't just make one request.
[00:44:30.320 --> 00:44:31.320]   They make many requests in sequence.
[00:44:31.320 --> 00:44:35.320]   So by the time you've made like 30 requests, there's a 10% chance of hitting like a really slow one.
[00:44:35.320 --> 00:44:38.320]   Then, um, you know, you have hit a slow request.
[00:44:38.320 --> 00:44:43.320]   So that, um, so you really need to care about those like 99th percentile latencies.
[00:44:43.320 --> 00:44:46.320]   Those are also often your most useful and engaged users.
[00:44:46.320 --> 00:44:49.320]   So watch those, watch those extreme quantiles.
[00:44:49.320 --> 00:44:58.320]   Um, and obviously like throughput is a distinct thing to also monitor for the quality, uh, you know, quality of the system.
[00:44:58.320 --> 00:45:04.320]   You want to marry that with things like the profiles and traces that I've talked about before, like spot check ones randomly subsampled.
[00:45:04.320 --> 00:45:09.320]   So you can check what like, so you can actually debug that through the throughput issues.
[00:45:09.320 --> 00:45:10.320]   That's fairly general stuff.
[00:45:10.320 --> 00:45:16.320]   If you're an inference using inference as a service provider, you're going to want to monitor API rates and errors, monitor costs.
[00:45:16.320 --> 00:45:19.320]   If you're self serving inference, you have a lot more stuff to monitor.
[00:45:19.320 --> 00:45:23.320]   Um, and that's like compute utilization.
[00:45:23.320 --> 00:45:26.320]   Um, yeah, I guess I already talked about this.
[00:45:26.320 --> 00:45:28.320]   Uh, yeah, yeah.
[00:45:28.320 --> 00:45:34.320]   Well, so it's, it's an even harder, like maintaining the throughput when you're doing the inference yourself is like much more your problem.
[00:45:34.320 --> 00:45:38.320]   Um, and much more, uh, AI ML specific stuff.
[00:45:38.320 --> 00:45:40.320]   Um, yeah.
[00:45:40.320 --> 00:45:41.320]   Okay.
[00:45:41.320 --> 00:45:43.320]   Monitoring for bugs is another can of worms.
[00:45:43.320 --> 00:45:45.320]   We'll talk about that in a second.
[00:45:45.320 --> 00:45:48.320]   Um, this is like just generally, this is a very fast growing.
[00:45:48.320 --> 00:46:00.320]   Um, so there are generic monitoring observability solutions for all kinds of like, you know, complex apps and, and, and web apps data dog century new relic honeycomb.
[00:46:00.320 --> 00:46:04.320]   Like these are, um, like you can adapt those.
[00:46:04.320 --> 00:46:06.320]   Um, and that might be the thing that wins.
[00:46:06.320 --> 00:46:15.320]   Um, there is, uh, you can of course just roll your own with the, like the, you know, open, open telemetry compliant, uh, you know, tooling.
[00:46:15.320 --> 00:46:18.320]   And you could use the existing ML ops tooling.
[00:46:18.320 --> 00:46:23.320]   So there's a lot of stuff that has been built for monitoring observability of general ML applications.
[00:46:23.320 --> 00:46:24.320]   So including weights and biases.
[00:46:24.320 --> 00:46:25.320]   We're used to work.
[00:46:25.320 --> 00:46:31.320]   Um, fiddler arise and gantry are the like three larger startups in that space.
[00:46:31.320 --> 00:46:44.320]   Um, with more of a focus on monitoring systems in production and less on the like ML ops, like kind of like serving, um, and like managing, managing training, like weights and biases.
[00:46:44.320 --> 00:46:58.320]   Um, there's also, because generation times, uh, are now six months or less, a new generation of ops tooling for LLM ops, including Lang Smith from Lang chain and, uh, Lang fuse, which was in Y Combinator's recent batch.
[00:46:58.320 --> 00:47:04.320]   Um, it's like a very unclear, which of these is going to be the best solution.
[00:47:04.320 --> 00:47:06.320]   Um, so I think it's like, you know, dealer's choice to try them all out.
[00:47:06.320 --> 00:47:14.320]   Um, I think I like tools with as much ability to like make crazy queries of unstructured data as possible.
[00:47:14.320 --> 00:47:19.320]   Um, so that's something that I really like about weights and biases production monitoring, uh, offering.
[00:47:19.320 --> 00:47:22.320]   Um, Gantry has some similar stuff.
[00:47:22.320 --> 00:47:25.320]   Um, I've tried less of it with the, uh, the other tools.
[00:47:25.320 --> 00:47:32.320]   Um, I think if you're doing, if you're doing it with data dog century, et cetera, you're probably going to need to roll some of that stuff yourself.
[00:47:32.320 --> 00:47:34.320]   Um, but maybe that's fine.
[00:47:34.320 --> 00:47:35.320]   Jupiter notebooks are fun.
[00:47:35.320 --> 00:47:43.320]   Um, I was going to check out, uh, the like Lang fuse monitoring interface, but, um, in interest of time, gonna go past that.
[00:47:43.320 --> 00:47:49.320]   They have an awesome demo where you can interact with their docs chat bot and it shows up in their monitoring interface.
[00:47:49.320 --> 00:47:56.320]   So like they have a live demo of their monitoring tool where you can actually like use it to monitor an app that you can also use.
[00:47:56.320 --> 00:48:02.320]   Um, so that's just, it's really, it was really fun to like actually try out the tool that way.
[00:48:02.320 --> 00:48:05.320]   Um, I recommend you try it out.
[00:48:05.320 --> 00:48:10.320]   Um, but just monitoring, like just getting ahold of information is not enough.
[00:48:10.320 --> 00:48:15.320]   This is something that's known from like the distributed systems monitoring world.
[00:48:15.320 --> 00:48:18.320]   What you really want is observability.
[00:48:18.320 --> 00:48:24.320]   What both Charity and Andre were talking about is about how you improve a system based off of what you observe.
[00:48:24.320 --> 00:48:31.320]   It's like not enough to just like throw something out there and observe and like just see the mistakes.
[00:48:31.320 --> 00:48:33.320]   You want to like fix the mistakes.
[00:48:33.320 --> 00:48:44.320]   Um, and so there's this, uh, Honeycomb and, uh, Charity are big on the idea of observability as the, uh, as an idea from like control theory.
[00:48:44.320 --> 00:48:48.320]   From like old school, um, like control theory, systems theory.
[00:48:48.320 --> 00:48:57.320]   Uh, observability is whether you can actually, um, figure out what is going on inside of a system just from observing it from the outside.
[00:48:57.320 --> 00:49:01.320]   So it's like, can you actually debug this software just from looking at your logs?
[00:49:01.320 --> 00:49:06.320]   Um, and not having to go into a live debugger inside of the system.
[00:49:06.320 --> 00:49:19.320]   Um, and that's like, uh, when live debugging does not work and when systems have outpaced our ability to predict what's going to break, um, this is the only solution.
[00:49:19.320 --> 00:49:26.320]   Uh, and for AI systems that is, um, where we can't predict what's going to break.
[00:49:26.320 --> 00:49:34.320]   And you can't like drop into a debugger 13 layers deep in GPT three and RGB four and like debug, uh, it's inference.
[00:49:34.320 --> 00:49:39.320]   Uh, you have no choice, but to monitor stuff sufficiently that you can fix the issues.
[00:49:39.320 --> 00:49:51.320]   The blocker here is that actually determining whether the model is right or wrong, um, is itself hard, which makes figuring out how to fix it also hard.
[00:49:51.320 --> 00:49:56.320]   Cause you don't necessarily know whether it's messing up and you don't know whether you fixed it.
[00:49:56.320 --> 00:50:00.320]   Um, so we're in a tough phase for this problem right now.
[00:50:00.320 --> 00:50:04.320]   There'll be lots of discussion of evaluation at this conference, which is very exciting.
[00:50:04.320 --> 00:50:16.320]   Um, lots of people complaining about how difficult evaluation is anthropic and, uh, Arvind Narayanan from, uh, and Sayesh Kapoor who write the AI snake oil sub stack, really high quality stuff.
[00:50:16.320 --> 00:50:26.320]   Um, and, uh, open AI, like open source, their eval framework, uh, because in part they like don't, can't really evaluate their systems.
[00:50:26.320 --> 00:50:27.320]   themselves.
[00:50:27.320 --> 00:50:29.320]   It's like, that's how hard this problem is.
[00:50:29.320 --> 00:50:33.320]   Um, it's also what we saw with the, uh, false promise of imitating proprietary LLMs.
[00:50:33.320 --> 00:50:38.320]   Like a large community of people were like kind of convinced that models were doing better than they actually were.
[00:50:38.320 --> 00:50:47.320]   Um, so the solution, uh, like is to like one of the key solutions, spend time looking at your data.
[00:50:47.320 --> 00:50:49.320]   Stella Biederman from a Luther has talked about this.
[00:50:49.320 --> 00:50:52.320]   Uh, Jason way has talked about how critical this is.
[00:50:52.320 --> 00:50:59.320]   Jason is at open AI now, um, and talked about spending like a ton of time, just like getting very good at evals.
[00:50:59.320 --> 00:51:05.320]   Like building tooling, internal tooling for evals, spending time with like understanding the evaluations.
[00:51:05.320 --> 00:51:08.320]   Um, and somebody on hacker news said it's a major differentiator.
[00:51:08.320 --> 00:51:13.320]   So, you know, that's, that's definitely the orange website never lies.
[00:51:13.320 --> 00:51:23.320]   Um, so, um, evaluation is particularly hard and all these complaints about evaluation are when you're dealing with like open ended generations from a language model.
[00:51:23.320 --> 00:51:24.320]   Like no structure to them.
[00:51:24.320 --> 00:51:27.320]   Um, no, no real structure to the user inputs.
[00:51:27.320 --> 00:51:31.320]   Um, and like limited data sources.
[00:51:31.320 --> 00:51:43.320]   Um, but there's this nice flow chart, um, from the full stack LLM bootcamp that my fellow instructor, Josh Tobin made that sort of helps you avoid getting into that, uh, pit of evaluations.
[00:51:43.320 --> 00:51:54.320]   So if you can find a correct answer, then you can stick with existing ML metrics and you like, don't have to worry about the problems of the value of like the difficulty of evaluating open ended generations.
[00:51:54.320 --> 00:52:04.320]   If you have a reference answer, you can check for like reference matching, which is like a looser thing than like a literal correct answer, which is like ABC or D in multiple choice is a correct answer.
[00:52:04.320 --> 00:52:10.320]   A reference answer is like a short, like generation, like a short answer on the test.
[00:52:10.320 --> 00:52:16.320]   Um, if you have a previous answer from your system, you can at least see if your system is getting better by comparing the two.
[00:52:16.320 --> 00:52:21.320]   Um, and that like kind of, which is better comparison can be done by a human, can be done by a language model.
[00:52:21.320 --> 00:52:29.320]   Um, and if you have human feedback, you can actually check like between, uh, the input and the output was the feedback incorporated by the language model.
[00:52:29.320 --> 00:52:31.320]   Like a human said, I didn't like that.
[00:52:31.320 --> 00:52:33.320]   Um, did the language model get better?
[00:52:33.320 --> 00:52:38.320]   And it's only if you don't have any of those things that you like are out in the unstructured world.
[00:52:38.320 --> 00:52:47.320]   Um, the people at illicit, um, who have worked on doing extraction of information from scientific papers,
[00:52:47.320 --> 00:52:53.320]   have a very principled approach of iterated decomposition where you start with a task that runs end to end.
[00:52:53.320 --> 00:53:01.320]   And then you, uh, when you notice a failure, you look at the failures and you see how you could have broken the task out into multiple pieces.
[00:53:01.320 --> 00:53:08.320]   In such a way that the failure would arise in a simpler sub task and then optimize that sub task.
[00:53:08.320 --> 00:53:11.320]   So you run into the problem that's been mentioned before about latency.
[00:53:11.320 --> 00:53:20.320]   If you're like chaining calls, um, and it's not always easy to like decompose the, for example, to decompose the process of responding to a user in a chat bot.
[00:53:20.320 --> 00:53:21.320]   That's kind of challenging.
[00:53:21.320 --> 00:53:30.320]   Um, but, uh, but when you can do this, this is another great way to like get yourself out of the hole of needing to evaluate open-ended generations.
[00:53:30.320 --> 00:53:35.320]   But if you're stuck evaluating natural text, there's a couple of like basic approaches.
[00:53:35.320 --> 00:53:39.320]   Um, you can just, uh, keep a few trusty test cases at hand.
[00:53:39.320 --> 00:53:45.320]   Um, and, uh, you know, if it does well on those couple of test cases, looks good to me, let's ship it.
[00:53:45.320 --> 00:53:49.320]   Um, unclear what to do when it fails, just like hit the language model with a wrench.
[00:53:49.320 --> 00:53:54.320]   Um, but, uh, this is what kind of grows out into that data engine.
[00:53:54.320 --> 00:53:59.320]   You start with something like this and then you start adding stuff from your production observations into it.
[00:53:59.320 --> 00:54:01.320]   And then you like put it in a GitHub action.
[00:54:01.320 --> 00:54:04.320]   And like, now that's like, that's, that's basically testing, right?
[00:54:04.320 --> 00:54:07.320]   Um, that's, is certified software.
[00:54:07.320 --> 00:54:13.320]   Um, you can like, uh, you can try and get user feedback and you want to do it as naturally as possible.
[00:54:13.320 --> 00:54:20.320]   Um, like, uh, if you're like you would, you really want to reveal preferences from user behavior.
[00:54:20.320 --> 00:54:24.320]   So the image generation world is very ahead of the language modeling world.
[00:54:24.320 --> 00:54:30.320]   I think on this, if you'll get mid journey, for example, um, that is what honeycomb did with their query builder.
[00:54:30.320 --> 00:54:34.320]   They attached it to get this downstream business objectives.
[00:54:34.320 --> 00:54:35.320]   Wow.
[00:54:35.320 --> 00:54:36.320]   What a way to build a software system.
[00:54:36.320 --> 00:54:38.320]   That's the right way to do it.
[00:54:38.320 --> 00:54:42.320]   Um, and so like connecting a chain of metrics from the actual system that you're improving.
[00:54:42.320 --> 00:54:51.320]   To the actual downstream, like organizational goals, um, uh, through things like reveal preferences of users or like, yeah.
[00:54:51.320 --> 00:54:55.320]   General user behavior much better than like demanding users fill out a form.
[00:54:55.320 --> 00:55:00.320]   Um, you could also pay people to do that work of giving you feedback on your system with an annotation team.
[00:55:00.320 --> 00:55:04.320]   This is what the large, this is what open AI does to improve their models.
[00:55:04.320 --> 00:55:10.320]   But as alluded to by Karina, it's actually much more effective to use language models in that place.
[00:55:10.320 --> 00:55:14.320]   Because language models are maybe not as smart as all humans.
[00:55:14.320 --> 00:55:20.320]   Uh, but they tend to outperform crowd workers, um, on, uh, a large number of very textual tasks.
[00:55:20.320 --> 00:55:26.320]   Um, and so, um, you might find that the task of like annotating and improving your data.
[00:55:26.320 --> 00:55:31.320]   If you're at the point where you're starting to think about crowd workers, you'll find lower cost for equal performance.
[00:55:31.320 --> 00:55:35.320]   With, uh, like GPT 3.5 turbo is like a median crowd worker.
[00:55:35.320 --> 00:55:37.320]   GPT 4 is like a 90th percentile crowd worker.
[00:55:37.320 --> 00:55:40.320]   Um, and maybe a hybrid approach with some crowd workers.
[00:55:40.320 --> 00:55:46.320]   A smaller number of crowd workers managing, uh, some language models is also been discussed.
[00:55:46.320 --> 00:55:55.320]   Um, all right, so the, there's like not that much to say in the end about that, like that aspect of the engineering of systems.
[00:55:55.320 --> 00:55:58.320]   We don't know what the user interfaces and the user experiences are going to look like.
[00:55:58.320 --> 00:56:03.320]   We don't know, uh, we don't know a lot about how to engineer these things to be correct.
[00:56:03.320 --> 00:56:17.320]   Um, so, uh, I guess the exciting thing about that is that the people who are here in this room on the stream at the summit are here to fill in all of the steps here that lead to from the circle to the fully drawn owl.
[00:56:17.320 --> 00:56:25.320]   Um, by like, uh, uh, by figuring it out, um, by like trying things and sharing what works like people will do at this conference.
[00:56:25.320 --> 00:56:28.320]   Um, so that's why I'm excited to be here and I hope you are as well.
[00:56:28.320 --> 00:56:29.320]   All right.
[00:56:29.320 --> 00:56:30.320]   Thank you everyone.
[00:56:30.320 --> 00:56:56.320]   Thank you everyone.

