
[00:00:00.040 --> 00:00:09.460]  志
[00:20:10.500 --> 00:20:20.340]   conoc
[00:20:20.340 --> 00:20:39.400]   check張
[00:20:39.480 --> 00:20:43.260]   adventure
[00:20:43.260 --> 00:20:48.300]   so sit down and make a list of all of your assets
[00:20:48.300 --> 00:20:53.940]   and see is there a way that I could turn these assets into adventure
[00:20:53.940 --> 00:20:57.260]   you own a home currently
[00:20:57.260 --> 00:21:01.920]   if you sold that home you would probably wind up with money
[00:21:01.920 --> 00:21:05.000]   and you could turn that money into adventure
[00:21:05.000 --> 00:21:08.460]   you could swap out your house that you live in currently
[00:21:08.460 --> 00:21:08.460]   and you could turn that money into adventure
[00:21:08.460 --> 00:21:08.460]   and you could swap out your house that you live in currently
[00:21:08.460 --> 00:21:08.460]   and you could swap out your house that you live in currently
[00:21:08.460 --> 00:21:08.460]   and you could swap out your house that you live in currently
[00:21:08.460 --> 00:21:08.460]   and you could swap out your house that you live in currently
[00:21:08.460 --> 00:21:08.460]   and you could swap out your house that you live in currently
[00:21:08.460 --> 00:21:08.460]   and you could swap out your house that you live in currently
[00:21:08.460 --> 00:21:08.460]   and you could swap out your house that you live in currently
[00:21:08.460 --> 00:21:08.460]   and you could swap out your house that you live in currently
[00:21:08.460 --> 00:21:08.460]   and you could swap out your house that you live in currently
[00:21:08.460 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.620 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.620 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.620 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.620 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.620 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.620 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.620 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.620 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.620 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.620 --> 00:21:37.620]   and you could swap out your house that you live in currently
[00:21:37.640 --> 00:21:41.260]   and you could swap out your house that you live in currently venerable way for a young man of action
[00:21:41.260 --> 00:21:41.260]   venerable way for a young man of action
[00:21:41.260 --> 00:21:43.960]   venerable way for a young man of action and adventure to go and have his action
[00:21:43.960 --> 00:21:43.980]   and adventure to go and have his action
[00:21:43.980 --> 00:21:46.860]   and adventure to go and have his action and adventure let's go get a job a lot of
[00:21:46.860 --> 00:21:46.860]   and adventure let's go get a job a lot of
[00:21:46.860 --> 00:21:48.940]   and adventure let's go get a job a lot of guys when got a job with some army with
[00:21:48.940 --> 00:21:48.940]   guys when got a job with some army with
[00:21:48.940 --> 00:21:50.700]   guys when got a job with some army with the navy travel the world right on uncle
[00:21:50.700 --> 00:21:50.700]   the navy travel the world right on uncle
[00:21:50.700 --> 00:21:53.100]   the navy travel the world right on uncle sam's dollar go get a job on a tramp
[00:21:53.100 --> 00:21:53.100]   sam's dollar go get a job on a tramp
[00:21:53.100 --> 00:21:57.020]   sam's dollar go get a job on a tramp steamer go get a job servicing a bus
[00:21:57.040 --> 00:22:19.060]   that does overland adventure tours through africa
[00:22:19.060 --> 00:22:19.060]   does overland adventure tours through africa
[00:22:19.060 --> 00:22:21.060]   does overland adventure tours through africa buddy of mine was a pilot he got a job in africa
[00:22:21.060 --> 00:22:21.060]   buddy of mine was a pilot he got a job in africa
[00:22:21.060 --> 00:22:23.060]   buddy of mine was a pilot he got a job in africa flying airplanes for an african airline he loved
[00:22:23.060 --> 00:22:23.060]   flying airplanes for an african airline he loved
[00:22:23.060 --> 00:22:25.060]   flying airplanes for an african airline he loved it did it for a few years quit went and
[00:22:25.060 --> 00:22:25.060]   it did it for a few years quit went and became a financial advisor so use what
[00:22:25.060 --> 00:22:53.100]  ed it for a few years quit went and became a financial advisor so use what
[00:22:53.100 --> 00:22:53.100]   it for a few years quit went and became a financial advisor so use what you've got turn your money into adventure
[00:22:53.100 --> 00:22:53.100]   you've got turn your money into adventure
[00:22:53.100 --> 00:22:55.100]   you've got turn your money into adventure spend your money sell your car turn it into a year on the
[00:22:55.140 --> 00:23:04.940]   Bat
[00:23:04.940 --> 00:23:05.320]   Mighty Close
[00:25:35.260 --> 00:25:37.640]   talk
[00:25:37.640 --> 00:25:54.260]   do, ,,,
[00:26:02.840 --> 00:26:12.780]  ух
[00:26:12.780 --> 00:26:13.180]   out. I wouldn
[00:26:13.180 --> 00:26:31.960]   Nig I say "
[00:26:32.880 --> 00:26:34.840]  획, but he was an o
[00:26:34.840 --> 00:26:41.460]   was Fred. But he was an
[00:26:41.460 --> 00:26:44.820]   typical, if I just said t
[00:26:44.820 --> 00:26:46.960]   guy, van dweller, he's p
[00:26:46.960 --> 00:26:51.140]   imagine. He was white hai
[00:26:51.140 --> 00:26:53.900]   overweight, kind of unkem
[00:26:53.900 --> 00:26:53.940]   hair and whatnot. His van
[00:26:53.940 --> 00:27:02.880]   I don't, I don't get why
[00:27:02.880 --> 00:27:02.880]   I don't, I don't get why
[00:27:02.880 --> 00:27:02.880]   I don't, I don't get why
[00:27:02.880 --> 00:27:02.880]   I don't, I don't get why people like have a lot of
[00:27:02.880 --> 00:27:02.880]   people like have a lot of
[00:27:03.860 --> 00:27:32.920]  , I don't understand why people sometimes do this, but
[00:27:32.920 --> 00:27:32.920]   people sometimes do this, but Fred didn't didn't bother Fred if he looked like a van dweller. The front of his van, the front dashboard stacked with books, stacked with papers, stacked with magazines. But the thing about Fred, he just lived in his van and he found places to park it. And he would come down to Florida and the place I encountered him was a friend's house. Friend had an acre and a quarter and the deal was Fred could just park out under a pine tree.
[00:27:32.940 --> 00:27:40.960]   Friend had an acre and a quarter and the deal was Fred could just park out under a pine tree. He didn't have anything out there. He just parked under a pine tree. And every few days he would move his van to, I assume, go get gas or dispose of his stuff. I don't know. But then he would come back and he just parked out under the pine tree.
[00:27:40.960 --> 00:27:42.960]   But then he would come back and he just parked out under the pine tree.
[00:27:42.960 --> 00:27:44.960]   But then he would come back and he just parked out under the pine tree.
[00:27:44.960 --> 00:27:52.960]   But when you look at something like that, he had just a small Social Security payment that was his source of income, you realize that what Fred's actually done is he's just changed his standards.
[00:27:52.960 --> 00:27:56.960]   But when you look at something like that, he had just a small Social Security payment that was his source of income, you realize that what Fred's actually done is he's just changed his standards.
[00:27:56.980 --> 00:28:24.000]   My closing point is this. You and your standards are the impediment to your adventure. You could today go and live like Fred did. But your standards will probably not want you to live that way. If you want to, go for it. But your standards of living are the impediments to your adventure.
[00:28:24.000 --> 00:28:26.000]   But your standards will probably not want you to live that way. If you want to, go for it. But your standards of living are the impediments to your adventure.
[00:28:26.000 --> 00:28:27.000]   But your standards will probably not want you to live that way. If you want to, go for it. But your standards of living are the impediments to your adventure.
[00:28:27.040 --> 00:28:57.040]  .
[00:28:57.040 --> 00:28:57.040]   I'm not opposed to standards of living. I would have no problem living in a van. I wouldn't have all the junk. I'm a fan of standards. But most standards are negotiable. Comfort. Comfort is a relative thing. You might say, "Well, I only sleep well when I have a really comfortable mattress."
[00:28:57.040 --> 00:28:57.040]   .
[00:28:57.040 --> 00:28:57.040]   .
[00:28:57.040 --> 00:28:57.040]   .
[00:28:57.040 --> 00:28:57.040]   . .
[00:28:57.080 --> 00:29:07.520]   provide
[00:29:07.520 --> 00:29:25.680]  atas cut. I am,,,,
[00:30:27.100 --> 00:30:27.100]   and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[00:30:27.100 --> 00:30:27.100]   the U.S. soldier think World War II started to use it and then it's become a fairly common word in the U.S. and the English lexicon now but we
[00:30:27.100 --> 00:30:27.100]   We're moving from one town to another and we're moving from a place way way way back in the mountains so I mean the literal boondocks that word boondocks if you're familiar with it boondocks comes from a Filipino word and it was the U.S. soldier think World War II started to use it and then it's become a fairly common word in the U.S. and the English lexicon now but we
[00:31:57.160 --> 00:31:57.160]  obedio
[00:31:57.160 --> 00:31:57.160]   in the U.S. and the American state we U.S. American parents spend a lot of time thinking about how we get our children to go to sleep there are books written who parents expecting their first child all about how do I get my child to go to sleep I learned you know what a lot of the world doesn't really worry about that
[00:31:57.160 --> 00:31:57.160]   you know what a lot of the world doesn't really worry about that
[00:31:57.160 --> 00:31:57.160]   you know what a lot of the world doesn't really worry about that
[00:31:57.160 --> 00:31:57.160]   you know what a lot of the world doesn't really worry about that
[00:31:57.160 --> 00:31:57.160]   you know what a lot of the world doesn't really worry about that
[00:31:57.160 --> 00:31:57.160]   you know what a lot of the world doesn't really worry about that
[00:31:57.200 --> 00:32:27.180]   you know what a lot of the world doesn't really worry about that
[00:32:27.180 --> 00:32:27.180]   you know what a lot of the world doesn't really worry about that
[00:32:27.180 --> 00:32:27.180]   you know what a lot of the world doesn't really worry about that
[00:32:27.180 --> 00:32:27.180]   you know what a lot of the world doesn't really worry about that
[00:32:27.180 --> 00:32:27.180]   you know what a lot of the world doesn't really worry about that
[00:32:27.200 --> 00:32:57.200]   The things that we think are kind of iron laws often aren't
[00:32:57.200 --> 00:32:57.200]   The things that we think are kind of iron laws often aren't
[00:32:57.200 --> 00:32:57.200]   So remember my parents my dad when he was growing up my grandparents were from California and yet when my dad was growing up they lived in Colorado and okay on occasion they would travel back and forth for a vacation to see family but the standards at that time were that they didn't have the money and it wasn't even the
[00:32:57.200 --> 00:32:57.200]   The things that we think are kind of iron laws often aren't so remember my parents my dad when he was growing up my grandparents were from California and yet when my dad was growing up they lived in Colorado and okay on occasion they would travel back and forth for a vacation to see family but the standards at that time were that they didn't have the money and it wasn't even the
[00:32:57.220 --> 00:33:27.220]   The things that we think are kind of iron laws often aren't so remember my parents my dad when he was growing up my grandparents were that they didn't have the money and it wasn't even the standards at that time were that they didn't have the money and it wasn't even the standards at that time were that they didn't have the money and it wasn't even the standards at that time
[00:33:27.260 --> 00:33:57.240]  .
[00:33:57.280 --> 00:34:27.260]  ,
[00:34:27.260 --> 00:34:27.260]   I don't know about you but I find it very freeing to challenge those standards whether or not I actually physically do something different at least the mental experiment of am I willing to do that could I do that that's really valuable and then I find that consistently whenever I challenge those things it puts within me a great degree of confidence
[00:34:27.260 --> 00:34:27.260]   I don't know about you but I find it very freeing to challenge those standards whether or not I actually physically do something different at least the mental experiment of am I willing to do that could I do that that's really valuable and then I find that consistently whenever I challenge those things it puts within me a great degree of confidence
[00:34:27.260 --> 00:34:27.260]   I don't know about you but I find that consistently whenever I challenge those things that puts within me a great degree of confidence
[00:34:27.280 --> 00:34:57.280]   I don't know about you but I find that consistently whenever I challenge those things that puts within me a great degree of confidence
[00:34:57.280 --> 00:34:57.280]   I don't know about you but I find that consistently whenever I challenge those things that puts within me a great degree of confidence
[00:34:57.280 --> 00:34:57.280]   I don't know about you but I find that consistently whenever I challenge those things that puts within me a great degree of confidence
[00:34:57.280 --> 00:34:57.280]   I don't know about you but I find that consistently whenever I challenge those things that puts within me a great degree of confidence
[00:34:57.280 --> 00:34:57.280]   I don't know about you but I find that consistently whenever I challenge those things that puts within me a great degree of confidence
[00:34:57.280 --> 00:34:57.280]   I don't know about you but I find that consistently whenever I challenge those things that puts within me a great degree of confidence
[00:34:57.320 --> 00:35:07.660]   camar
[00:35:07.660 --> 00:35:09.180]   at, wicked,
[00:35:09.180 --> 00:35:24.120]  madizione Bead ' ' the low and the but the that the temper PAC argent discuss the calculate the . . . . . . . . .. OH R. A. A. work. care. is a—, and the, and, and, in the, and, even,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, nonprofit.del. Việt beautiful
[00:35:24.120 --> 00:35:25.680]  �我就 does or
[00:35:26.240 --> 00:35:36.120]  ,
[00:35:54.100 --> 00:36:01.480]   push
[00:36:01.480 --> 00:36:22.100]  知愛 end thinks bang испыт di ver樂 hard " " " ", the, the, the, the, the, the, the, the, the, the, the, the, the, the, thousand,民ury. estabcess.�. favorable. ley grateful. Listening. gained.備.��.μα. beverages
[00:36:22.100 --> 00:36:23.000]   Magic.
[00:36:23.240 --> 00:36:31.160]   If you have an adventure that you want to pursue, it is achievable.
[00:36:31.160 --> 00:36:37.160]   And it's achievable far faster than you might think.
[00:36:37.160 --> 00:36:45.160]   The key variable is how creative are you going to be in planning and executing your adventure.
[00:36:45.160 --> 00:36:51.380]   Thank you for listening. You've honored me with your time and attention, and I'm grateful for that.
[00:36:51.380 --> 00:36:52.380]   And I hope that I've affected your life.
[00:36:52.380 --> 00:36:52.380]   And I hope that I've affected your life.
[00:36:52.380 --> 00:36:52.380]   And I hope that I've affected your life.
[00:36:52.380 --> 00:36:52.380]   And I hope that I've affected your life.
[00:36:52.380 --> 00:36:52.380]   And I hope that I've affected your life.
[00:36:52.380 --> 00:36:52.380]   And I hope that I've affected your life.
[00:36:52.380 --> 00:36:52.380]   And I hope that I've affected your life.
[00:36:52.380 --> 00:36:52.380]   And I hope that I've affected your life.
[00:36:52.380 --> 00:36:52.420]   And I hope that I've affected your life.
[00:36:52.420 --> 00:36:52.480]   And I hope that I've affected your life.
[00:36:52.480 --> 00:36:52.560]   And I hope that I've affected your life.
[00:36:52.600 --> 00:37:21.960]   And I hope that I've affected your life.
[00:37:21.960 --> 00:37:22.000]   And I hope that I've affected your life.
[00:37:22.000 --> 00:37:22.060]   And I hope that I've affected your life.
[00:37:22.060 --> 00:37:22.120]   And I hope that I've affected your life.
[00:37:22.120 --> 00:37:22.160]   And I hope that I've affected your life.
[00:37:22.160 --> 00:37:22.200]   And I hope that I've affected your life.
[00:37:22.200 --> 00:37:22.220]   And I hope that I've affected your life.
[00:37:22.220 --> 00:37:22.300]   And I hope that I've affected your life.
[00:37:22.300 --> 00:37:22.320]   And I hope that I've affected your life.
[00:37:22.320 --> 00:37:22.420]   And I hope that I've affected your life.
[00:37:22.420 --> 00:37:22.420]   And I hope that I've affected your life.
[00:37:22.420 --> 00:37:22.420]   And I hope that I've affected your life.
[00:37:22.420 --> 00:37:22.420]   And I hope that I've affected your life.
[00:37:22.420 --> 00:37:22.420]   And I hope that I've affected your life.
[00:37:22.420 --> 00:37:22.440]   And I hope that I've affected your life.
[00:37:22.440 --> 00:37:22.560]   and I hope that I've been a life. I've been a life.
[00:37:22.600 --> 00:37:33.700]   .
[00:37:33.700 --> 00:37:46.920]  -- once,
[00:37:49.880 --> 00:37:53.120]  �
[00:37:53.120 --> 00:38:00.000]   która perd the "
[00:38:00.000 --> 00:38:01.320]  ,,,,, co least "
[00:38:01.320 --> 00:38:08.880]   continue to do a
[00:38:18.720 --> 00:38:37.000]   didnt you want to see me do it, you can contact me with a dollar a month, $5 a month, $10 a month, any number that seems right to you. But if you're gaining financial benefit from this show, and if it's achieving financial results in your life, I'd be grateful for your financial support at RadicalPersonalFinance.com/patron.

