
[00:00:00.000 --> 00:00:15.460]   Welcome, everyone, to the 80th edition of Bogleheads on Investing.
[00:28:09.460 --> 00:28:13.300]   Lutton will go through and, and they'll diligence these in the same way they do the other types
[00:28:13.300 --> 00:28:18.340]   of products that they evaluate, trying to make sure that they hold them to the same high standards.
[00:28:18.340 --> 00:28:21.540]   You wrote a piece recently,
[00:28:21.540 --> 00:28:28.580]   Vanguard's Jack Bogle was right again, because what you looked at was
[00:28:29.940 --> 00:28:38.500]   trading, the amount of trading that goes on between ETFs and mutual funds. And you found that mutual
[00:28:38.500 --> 00:28:45.380]   funds, there is less trading ETFs, there is more trading, and that had certain results. Can you talk
[00:28:45.380 --> 00:28:54.340]   about that study? For sure. The proxy that I was using for trading was the volatility of net flows to equity
[00:28:54.340 --> 00:29:02.100]   ETFs. And, and what I found by that measure is that trading in equity ETFs is about three times
[00:29:02.100 --> 00:29:11.460]   as volatile as trading in open-end mutual funds. And so, you know, we've long studied the relationship
[00:29:11.460 --> 00:29:17.140]   between investor activity and the sort of outcomes that they achieve. And sort of the way we try to
[00:29:17.140 --> 00:29:20.900]   measure that is through an internal rate of return, a dollar weighted return of calculation in our
[00:29:20.900 --> 00:29:26.740]   power balance, it's an investor return, it's how much the average dollar does. And long story short,
[00:29:26.740 --> 00:29:32.660]   so I took a look at this big picture, and then more specific to Vanguard, what I found was that
[00:29:32.660 --> 00:29:42.020]   from a time weighted a total return standpoint, equity ETFs were earning just as much as open-end funds,
[00:29:42.020 --> 00:29:48.100]   in fact, a little bit more. By time weighted, you simply mean ignoring cash flows, you're just
[00:29:48.100 --> 00:29:53.940]   looking at the actual return of the fund, it didn't matter how much money was coming in or going out.
[00:29:53.940 --> 00:29:57.540]   Exactly right. I should have clarified that. Yeah. So it's assuming a buy and hold investment. You
[00:29:57.540 --> 00:30:02.740]   invest a lump sum at the beginning, you hold it to the end. And so it's agnostic to the timing and
[00:30:02.740 --> 00:30:10.820]   magnitude of investor cash flows along the way. And so what you found on that basis is that ETFs actually,
[00:30:10.820 --> 00:30:16.020]   equity ETFs, I should say, over the, I think, 10 year period I looked at ended January 2025,
[00:30:16.020 --> 00:30:21.380]   they were slightly out earning comparable open-end funds over that period of time, which is kind of
[00:30:21.380 --> 00:30:25.300]   what you would expect. They're a little bit cheaper. However, when you looked at them on a
[00:30:25.300 --> 00:30:30.660]   dollar weighted basis, and so this does take into account the timing and magnitude of investor cash flows,
[00:30:30.660 --> 00:30:37.460]   what you found is that they were actually lagging comparable equity, open-end mutual funds. This is
[00:30:37.460 --> 00:30:44.020]   true for the industry at large. It was also true for Vanguard. They weren't capturing as much of the
[00:30:44.020 --> 00:30:49.940]   potential buy and hold that is total return that they could have earned. Well, there's no smoking gun with
[00:30:49.940 --> 00:30:56.180]   these things we can't know whether that's directly attributable to over transacting. You know,
[00:30:56.180 --> 00:31:03.940]   circumstantially, it does lead you to conclude that some of the trading activity that we've seen
[00:31:03.940 --> 00:31:12.180]   in ETFs has been detrimental in the sense that their average return in equity ETFs hasn't been
[00:31:12.180 --> 00:31:16.020]   as high as it could have been if they had traded less, which is sort of what you see in open-end
[00:31:16.020 --> 00:31:23.460]   mutual funds. And like I said, found this not only for equity ETFs and mutual funds for the industry
[00:31:23.460 --> 00:31:29.700]   as a whole, but also for Vanguard more specifically. The good news for Vanguard investors is the gap that
[00:31:29.700 --> 00:31:35.700]   I saw for ETFs between the total return of the dollar weighted return was narrower than what I saw in the
[00:31:35.700 --> 00:31:41.460]   ETF industry as a whole. And even when you looked at the average dollars return in the equity ETFs that
[00:31:41.460 --> 00:31:46.980]   Vanguard offered, they still exceeded that. The return of the average dollar for the industry as
[00:31:46.980 --> 00:31:52.900]   a whole. So those are things that I think Mogul, if I could presume, would have felt good about.
[00:31:52.900 --> 00:31:55.220]   You know, he's a very competitive guy, wanted to beat the competition.
[00:31:55.220 --> 00:32:00.100]   Vindicated. He would have felt vindicated. I can see him now, right? That's exactly what I said.
[00:32:00.100 --> 00:32:01.780]   Why didn't anybody listen to me? Right?
[00:32:01.780 --> 00:32:03.780]   Yeah, you can hear it, right?
[00:32:03.780 --> 00:32:14.420]   It was the reason why Jack turned down the idea of doing an S&P 500 ETF back in the mid-1990s. Great
[00:32:14.420 --> 00:32:18.740]   idea, but he didn't want to get involved. He saw ETFs as pouring gasoline on a fire.
[00:32:18.740 --> 00:32:24.740]   One thing I would add though, to be fair to Vanguard, and it may reassure a few of your listeners,
[00:32:24.740 --> 00:32:31.300]   we don't typically publish gap data between dollar weighted returns and total returns for particular fund
[00:32:31.300 --> 00:32:36.900]   families. But when I've studied this just on my own time, what I have found is that the gap
[00:32:36.900 --> 00:32:42.580]   for Vanguard funds and ETFs has been meaningfully narrower. And so what that means is that Vanguard
[00:32:42.580 --> 00:32:48.100]   fund investors are earning more of their funds' total returns. A different way, I suppose, to put
[00:32:48.100 --> 00:32:54.580]   that is they're doing a better job of timing their cash flows or just being disciplined than we're
[00:32:54.580 --> 00:32:57.940]   seeing elsewhere in the industry. And so that's to their credit.
[00:32:57.940 --> 00:33:04.980]   Talking about cash flows, we've got 1,300 mutual funds created, 1,700 ETFs created
[00:33:04.980 --> 00:33:09.140]   in the last three years, although there's been a lot of mutual funds that have closed,
[00:33:09.140 --> 00:33:15.220]   a lot less ETFs that have closed. We've got all these funds, but where is the big money going?
[00:33:15.220 --> 00:33:21.060]   Okay, so I'll run through them, sort of the broad categories. So it's going to indexing,
[00:33:21.060 --> 00:33:31.540]   it's going to ETFs, and it's going to Vanguard and BlackRock primarily. They're hoovering up cash at an
[00:33:31.540 --> 00:33:37.300]   almost historic rate. And we can get into the specifics here, but maybe I'll focus on the trailing
[00:33:37.300 --> 00:33:47.060]   year ended February. So with respect to ETFs, they saw $1.2 trillion in net inflows. And so I think for
[00:33:47.060 --> 00:33:54.900]   the year 2024 was the biggest ever for ETFs, 1.1 trillion of net inflows. And so that's equivalent
[00:33:54.900 --> 00:33:57.460]   to a 14% organic growth rate.
[00:33:57.460 --> 00:34:02.740]   Well, this is inflows. This is not gain in the market. This is actual new cash coming in.
[00:34:02.740 --> 00:34:09.460]   That's correct. Exactly. So again, that was $1.1 trillion of net inflows last year, which was
[00:34:09.460 --> 00:34:17.780]   equivalent to around 14% of what would have been the beginning net assets in the US ETF industry at the
[00:34:17.780 --> 00:34:25.220]   start of that year. And contrast that with open end funds. Last year, they shrank by around 2% of their
[00:34:25.220 --> 00:34:32.100]   beginning net assets. So it was around half a trillion dollars in outflows, give or take over the course of
[00:34:32.100 --> 00:34:38.020]   last year for open end funds. So you've really seen a sea change. And this is just the past year that trend
[00:34:38.020 --> 00:34:45.540]   has been playing itself out. The ETF industry at this point, for those who are wondering, it's a nearly $11 trillion
[00:34:45.540 --> 00:34:47.560]   industry.
[00:34:47.880 --> 00:34:53.640]   Open end funds, believe it or not, despite the fact that we've seen this torrent of flows out of
[00:34:53.640 --> 00:35:01.080]   open end funds into ETFs, it's still a $21 trillion industry. So when you look at the market share of
[00:35:01.080 --> 00:35:08.760]   open end funds versus ETFs, it's still about two to one open end fund assets to ETF assets. Open end funds
[00:35:08.760 --> 00:35:16.600]   still have about two thirds of the market compared to the ETFs, one third. I mentioned index versus active
[00:35:16.600 --> 00:35:23.800]   being the other line of differentiation, kind of how it cleaves. As I mentioned, index is dominating. So if
[00:35:23.800 --> 00:35:32.280]   you're to focus on the year ended February, $918 billion of net inflows into index funds, and that's
[00:35:32.280 --> 00:35:36.680]   what's going to be the other year. It's going to be the other year that's going to be the other year.
[00:35:36.680 --> 00:35:37.560]   Wow.
[00:35:37.560 --> 00:35:44.600]   2024 was the second biggest year for index funds on record. It was a very, very historic year when it
[00:35:44.600 --> 00:35:51.240]   came to ETFs and index funds more generally gathering assets from investors.
[00:35:51.240 --> 00:35:57.720]   You know, sort of the more popular categories for discretionary active ETFs, in case you were
[00:35:57.720 --> 00:36:05.160]   wondering about that, were ultra short bond, large blend, derivative income, which is sort of like,
[00:36:05.160 --> 00:36:12.520]   you can think of that as sort of covered call, sort of option writing strategies, core plus bond in large
[00:36:12.520 --> 00:36:19.720]   value. That's where we've seen sort of the active ETFs come to the fore. We've seen more launches in that area
[00:36:19.720 --> 00:36:22.280]   in the past few years than we have for some others.
[00:36:23.000 --> 00:36:29.080]   But have they gathered assets? Are they just launching these things with the hope of stopping
[00:36:29.080 --> 00:36:36.280]   the flow out of their actively managed mutual funds? We may be cannibalizing our own open end funds,
[00:36:36.280 --> 00:36:41.880]   but at least we'll be stopping the flow going to somewhere else. So I mean, are these things attracting
[00:36:41.880 --> 00:36:42.920]   meaningful assets?
[00:36:42.920 --> 00:36:50.760]   Yeah, that's a great question. The short answer is they are. So 2024 was a banner year for active ETFs.
[00:36:50.760 --> 00:36:56.280]   They saw around $290 billion in inflows, according to our estimate.
[00:36:56.280 --> 00:36:56.680]   Wow.
[00:36:56.680 --> 00:37:04.520]   Over the past three years, they saw around $560 billion of inflows, which is equivalent to around
[00:37:04.520 --> 00:37:13.000]   24% of all flows that we saw to ETFs. And so like the biggest ones that you would see are the bestsellers.
[00:37:13.000 --> 00:37:20.200]   So there's a Janice Henderson, AAA CLO ETF, which I think has seen around $15
[00:37:20.200 --> 00:37:26.760]   billion in flows over the last three years. I think I mentioned JEPI, which is the JP Morgan
[00:37:26.760 --> 00:37:31.160]   equity premium income ETF. There's a NASDAQ version, which has been a hot seller. And then Fidelity
[00:37:31.160 --> 00:37:37.160]   has an active bond product, Fidelity total bond ETF, which has also been hot selling as well.
[00:37:37.160 --> 00:37:41.720]   You know, this has definitely been an area of real interest and activity for the providers,
[00:37:41.720 --> 00:37:48.200]   as you can imagine, and it's paid off by some measures. So let's get into the active versus
[00:37:48.200 --> 00:37:48.760]   passive.
[00:37:48.760 --> 00:37:50.280]   We chart comparisons.
[00:37:50.280 --> 00:38:00.440]   And by passive, I'd like to stick with Jack Bogle's view of a traditional index fund versus
[00:38:01.720 --> 00:38:11.160]   a, what I call a Spindex, which is a special purpose index fund. And call it a, you know,
[00:38:11.160 --> 00:38:15.720]   a NVIDIA 2X. You've done a lot of work. Morningstar has always done a lot of work,
[00:38:15.720 --> 00:38:23.240]   as have other companies on active versus passive. You just recently have come out with your annual
[00:38:23.240 --> 00:38:32.680]   report looking at 2024 and previous to that going back many, many years. What's going on? Are these
[00:38:32.680 --> 00:38:38.600]   newfangled ideas that are coming out in ETF format? Are they outperforming? What is going on in the
[00:38:38.600 --> 00:38:43.480]   active versus passive debate? Yeah, great question. So we did put out a report recently. We call it
[00:38:43.480 --> 00:38:47.640]   the active passive barometer. My colleagues, Brian Armour, Ryan Jackson, Eugene Gorbatikov,
[00:38:47.640 --> 00:38:54.040]   and Human Kim put it out. And it looks at active fund success rates versus a style-appropriate
[00:38:54.040 --> 00:39:00.120]   passive composite over different trailing periods. To answer your question, Rick, we're seeing far more
[00:39:00.120 --> 00:39:04.760]   failure than we are success, especially as you look at the longer period. So just to give you an example
[00:39:04.760 --> 00:39:13.560]   for the U.S. large cap categories, only about 6% of active U.S. large blend funds beat their passive
[00:39:13.560 --> 00:39:19.640]   composite composite over the 10-year period and to December 2024. For large value, it was around 14%.
[00:39:19.640 --> 00:39:27.240]   And for large growth, it was only 3%. And so those are very, very sobering figures indeed. As you range
[00:39:27.240 --> 00:39:32.120]   out to some of the other areas, you would have seen the success rates perk up a bit. For instance,
[00:39:32.120 --> 00:39:40.280]   as you move towards small cap, you're talking about 20% to 30% of active small cap funds that started
[00:39:40.280 --> 00:39:45.640]   the period survive to the end and beat their passive composite. But that's still less than
[00:39:45.640 --> 00:39:52.440]   a coin flips chance. Where you do see the success rates get meaningfully better, at least in relative
[00:39:52.440 --> 00:39:59.000]   terms, is within active bond funds. And so as you move to areas like intermediate corporate bonds,
[00:39:59.000 --> 00:40:05.560]   high yield bonds, that's where the success rates can approach 50%. But again, in a number of these cases,
[00:40:05.560 --> 00:40:10.440]   you're talking about a coin flips chance for many investors, they'll conclude that's not good enough
[00:40:10.440 --> 00:40:16.040]   odds, and they'll opt to index, which I think for many investors is advisable anyway. But it's an excellent
[00:40:16.040 --> 00:40:21.960]   report my colleagues put out. It is. You do a great job with this. It's hard to categorize some of these funds,
[00:40:21.960 --> 00:40:29.720]   but I mean, you do the best that you can do. I would like to point out a couple of things. As you go further out,
[00:40:29.720 --> 00:40:35.880]   I mean, time is not on your side, right? I mean, over a one year period, it might be some years 60%
[00:40:35.880 --> 00:40:42.200]   of active outperformed, some years 40, some years less. But as you move out to five years, the number
[00:40:42.200 --> 00:40:47.000]   drops. You also have a survivorship bias. I mean, a lot of funds just close, and so they're not included
[00:40:47.000 --> 00:40:51.560]   in the data anymore. And the only data you can include is the funds that's still around, and maybe
[00:40:51.560 --> 00:40:57.000]   the funds that were around before they closed, you can include that data. But once you go out to
[00:40:57.000 --> 00:41:03.400]   10 years, the percentages drop even more. 15 years, they tend to drop more. And by 20 years, you're really,
[00:41:03.400 --> 00:41:10.000]   really dropping. And I found this to be true, regardless of the period of time you're looking at. It could be the
[00:41:10.000 --> 00:41:15.880]   last 20 years. You could start in 2000, looking backwards 20 years. You could start in 1980, look backwards 20 years.
[00:41:15.880 --> 00:41:23.960]   And these numbers are very consistent. The longer you hold your active funds, the lower the probability they will
[00:41:23.960 --> 00:41:29.720]   outperform the index. And you talk about that phenomenon, that recurring phenomenon.
[00:41:29.720 --> 00:41:35.720]   Oh yeah, for sure. No, I think that point's really well taken. I would say the common denominator across
[00:41:35.720 --> 00:41:41.480]   all these different time periods that we might have measured, you know, going back in time, funds come
[00:41:41.480 --> 00:41:46.440]   and they go. My colleague found that, you know, over a typical 10-year time horizon,
[00:41:47.480 --> 00:41:54.360]   30 to 40, in some cases, even 50% of the active funds that began the period did not survive to the
[00:41:54.360 --> 00:42:00.280]   end of the period. And so, the common thread here is sort of the perishability of some of these active
[00:42:00.280 --> 00:42:06.040]   funds. That plays a large part in explaining why success rates aren't higher than they are. I'm not
[00:42:06.040 --> 00:42:13.320]   suggesting that they would necessarily be markedly better, even if all of these active funds that die in
[00:42:13.320 --> 00:42:19.480]   droves were to somehow survive to the end. There's a number of other factors that probably portend
[00:42:19.480 --> 00:42:26.680]   against that. But nevertheless, one of the overarching factors in why active funds have struggled to beat
[00:42:26.680 --> 00:42:31.160]   their passive composites in greater numbers is the fact that they just don't make it to the end. They
[00:42:31.160 --> 00:42:38.520]   don't have the staying power. The other thing I wanted to bring up about the data is that you mentioned in the
[00:42:38.520 --> 00:42:45.400]   last 10 years bond funds, if you bought an actively managed bond fund, it's maybe a coin flip. You've
[00:42:45.400 --> 00:42:51.960]   got a 50-50 chance of outperforming the bond index. However, I do want to point this out about the
[00:42:51.960 --> 00:43:02.600]   difference between bond funds and stock funds, is that when you look at the range of returns of the stock
[00:43:02.600 --> 00:43:10.040]   stock funds over that 10-year period, it's an 80 percentile of the funds fall into a very wide range,
[00:43:10.040 --> 00:43:16.600]   like 5% between the ones that do come close to beating the market or even maybe beat it by a little
[00:43:16.600 --> 00:43:25.720]   bit, and the ones on the other side of the chart that underperform that 80 percentile. It's a wide range,
[00:43:25.720 --> 00:43:34.200]   like 5% difference. But that's not the case with bond funds. Bond funds is a very narrow, peaky
[00:43:34.200 --> 00:43:41.400]   graph, where the ones that outperform might outperform by a half a percent. The ones that
[00:43:41.400 --> 00:43:47.320]   underperform, underperform by maybe a half a percent. And if you just bought the index,
[00:43:47.320 --> 00:43:53.000]   which is in the middle, you did just fine. So if you're going to try to beat the market,
[00:43:53.000 --> 00:43:59.320]   and you want to beat it meaningfully, and you're trying to do it in a balanced portfolio,
[00:43:59.320 --> 00:44:04.360]   it becomes very difficult because the equity side of that has a very low probability of outperforming.
[00:44:04.360 --> 00:44:10.280]   And you could underperform by an awful lot. So if you have a three-fund portfolio of U.S. stock,
[00:44:10.280 --> 00:44:15.080]   international stock, and bonds, you could pick three actively managed funds. The bonds might actually
[00:44:15.080 --> 00:44:20.440]   do okay. They might outperform by a half. But if one of your stock funds underperforms by three percent,
[00:44:20.440 --> 00:44:24.280]   I mean, you just blew the whole thing out of the water, and you should have just had three index
[00:44:24.280 --> 00:44:29.560]   funds. No, I think that's exactly right. If we look at this on two different axes, one being likelihood
[00:44:29.560 --> 00:44:36.280]   of success, the other being expected payoff, I suppose. Like you say, what you would find is that
[00:44:36.280 --> 00:44:42.840]   you probably have a lower likelihood of success in equity, albeit with maybe a larger potential payoff,
[00:44:42.840 --> 00:44:47.960]   should it survive to the end and actually beat the passive composite, should it do so. Whereas
[00:44:47.960 --> 00:44:53.320]   with fixed income funds, there might be a slightly higher chance to succeed to beat the passive
[00:44:53.320 --> 00:44:58.760]   composite. But as you say, it's not going to do a moonshot. You're not going to get this huge payoff
[00:44:58.760 --> 00:45:04.120]   where it's beating the benchmark by multiple percentage points. If it's doing so, you actually
[00:45:04.120 --> 00:45:08.280]   probably want to diligence further just to make sure you understand your strategy and why there's
[00:45:08.280 --> 00:45:12.680]   that sort of tracking error to it, because it can obviously go the opposite way. So you should be
[00:45:12.680 --> 00:45:15.960]   thinking of it along both of those dimensions, as you rightly point out.
[00:45:15.960 --> 00:45:20.680]   I wrote about this in a book called The Power of Passive Investing, and I said the same thing. It's like,
[00:45:20.680 --> 00:45:25.240]   you might be able to pick one fund out of three that outperforms, but unless that outperforms by a lot,
[00:45:25.240 --> 00:45:31.640]   your portfolio still underperforms. So just do all index funds, and you have a high probability of
[00:45:31.640 --> 00:45:39.160]   outperforming a portfolio of active funds. I do want to get to a couple more items. And you did a lot of work on
[00:45:39.800 --> 00:45:47.160]   active funds again, but here looking beyond the fee. Clearly, everyone agrees that active funds have
[00:45:47.160 --> 00:45:53.960]   higher fees, and you have to get over that hurdle rate first. But your research even went in a little
[00:45:53.960 --> 00:46:00.440]   bit deeper, at least recently, that says, well, you know, if you buy the past performing funds that have
[00:46:00.440 --> 00:46:08.200]   low fees, something might be there. Can you describe that? Yeah, so we took a look at what might be doing a
[00:46:08.200 --> 00:46:12.120]   good job of sorting based on future performance, as it were. And so we looked at a couple things. One
[00:46:12.120 --> 00:46:18.440]   was past performance before fees. The other was fees themselves. And what we actually found is that
[00:46:18.440 --> 00:46:23.800]   if you favor the funds that had the best past performance before fees, and then furthermore,
[00:46:23.800 --> 00:46:29.480]   within that cohort, you favor the lowest cost, you greatly boosted your odds of success of beating
[00:46:29.480 --> 00:46:35.720]   your average peer over time. So I think for a lot of your listeners, they're already sort of well
[00:46:35.720 --> 00:46:41.080]   accustomed to sort of pinching pennies and favoring lower cost funds. I think that probably they would
[00:46:41.080 --> 00:46:46.200]   be less inclined to factor past performance in. But what our research found is that actually past
[00:46:46.200 --> 00:46:51.480]   performance before fees has done a more than respectable job in recent years of sorting funds
[00:46:51.480 --> 00:46:57.560]   based on past performers. Those which outperform before fees, this was across asset classes and across
[00:46:57.560 --> 00:47:03.560]   years, were likely to outperform their average peer going forward than were the low performers in the
[00:47:03.560 --> 00:47:08.040]   past which tended to lag their average peer peer over future periods.
[00:47:08.040 --> 00:47:10.280]   So the message is that if you are going to pick
[00:47:10.280 --> 00:47:16.280]   a active fund, let's say you're in a 401k plan and they don't have any index funds, which would be
[00:47:16.280 --> 00:47:21.560]   very unusual, by the way, because most 401k plans at least have an S&P 500 now. But let's say you're in
[00:47:21.560 --> 00:47:29.640]   a 401k or 403b, you know, legacy thing that's really not good investment options. Then you should opt for
[00:47:29.640 --> 00:47:37.720]   the highest past performing active fund that has the lowest fee and that gives you the highest probability
[00:47:37.720 --> 00:47:42.200]   of at least getting maybe close to the market return, if not maybe outperforming.
[00:47:42.200 --> 00:47:47.720]   I would start with fees. I think that's your best starting place. And my colleague Russ Kinnell did
[00:47:47.720 --> 00:47:54.280]   landmark research some years ago on which variables do the best job of predicting future fund net return
[00:47:54.280 --> 00:48:00.680]   performance and fees shine through. And so if anything, I think the research that I did more recently
[00:48:00.680 --> 00:48:07.880]   builds very slightly on the work that Russ had done previously. But fees not only tilt the odds in your
[00:48:07.880 --> 00:48:13.640]   favor if you're looking at it versus other funds that are relevant peers, but also some of the more
[00:48:13.640 --> 00:48:19.000]   recent research I did, you know, I found that cheaper funds are likelier to survive over a longer time
[00:48:19.000 --> 00:48:25.160]   period than our pricier funds. So you also tilt the odds in your favor that way. Then secondarily,
[00:48:25.160 --> 00:48:30.760]   you can look at performance, you know, we have tended to find in the last, you know, 10, 20 years,
[00:48:30.760 --> 00:48:36.520]   that past performance before fees has done a pretty good job of sorting. But I would start with fees. I
[00:48:36.520 --> 00:48:40.840]   think that that's the most reliable starting point. And certainly Russ found that some years ago.
[00:48:40.840 --> 00:48:46.440]   I think I'd just make one last comment on past performance. It's been a momentum market in the
[00:48:46.440 --> 00:48:55.640]   last few years where the magnificent seven, you had to have them. And it's been that way for several years.
[00:48:55.640 --> 00:49:00.920]   And active managers who did have them probably kept them at least a portion. In fact, you had an article
[00:49:00.920 --> 00:49:06.600]   on that talking about the portfolio construction of active funds, where they look a whole lot more
[00:49:06.600 --> 00:49:11.400]   like closet index funds than what the active managers would say. But the bottom line is there's been a
[00:49:11.400 --> 00:49:16.600]   lot of momentum in the market. Does some of that research about past performance have to do with recent
[00:49:16.600 --> 00:49:17.240]   momentum?
[00:49:17.240 --> 00:49:23.080]   Yeah, I think that's very astute. So I, I owe sort of our readers a follow up article to sort of dig into
[00:49:23.080 --> 00:49:27.640]   what some of the factors that explain it. But, but I think that you're keying on on some of the most
[00:49:27.640 --> 00:49:36.680]   important factors. We've seen an unusual persistence of large beating small of growth, beating value of
[00:49:36.680 --> 00:49:46.200]   domestic, beating foreign, of spread within fixed in, beating govy. These are areas which, in some cases, you'll see
[00:49:46.200 --> 00:49:53.880]   the best past performance having had favored, and they'll stick with that. And it's tended to reward them if
[00:49:53.880 --> 00:49:59.240]   they've stuck with those things. So yeah, there has been a certain pro cyclicality to it. And I think that explains
[00:49:59.240 --> 00:50:06.360]   some of the trended performance. But as we know, that can reverse itself quite dramatically in the markets. And so that's why I think,
[00:50:06.360 --> 00:50:10.200]   I think probably people are best served to start with cost rather than past performance.
[00:50:10.200 --> 00:50:14.520]   Last area I want to get into is portfolio management. And just a couple of items here.
[00:50:14.520 --> 00:50:15.000]   Sure.
[00:50:15.000 --> 00:50:25.740]   A couple of reports that you did looking at the asset allocation of portfolios. And we tend to, I don't want to say we're trend
[00:50:25.740 --> 00:50:32.860]   followers. We, we are, but the fact is we are trend followers, at least to the point where we don't like to rebalance.
[00:50:33.860 --> 00:50:39.460]   And that when U.S. equities are doing well, we tend to let that become a greater and greater portion of our portfolio
[00:50:39.460 --> 00:50:45.860]   than rebalancing, say, to international. Or if equities in general are doing better than bonds,
[00:50:45.860 --> 00:50:50.580]   or bonds are not doing well, so you really should be selling some stock and buying some more bonds,
[00:50:50.580 --> 00:50:56.180]   we tend to not do that. At least that's what I read from your data. Is that an accurate assessment?
[00:50:56.740 --> 00:51:01.860]   That is an accurate assessment. Inertia is very powerful. And on the flip side, it can be very
[00:51:01.860 --> 00:51:07.380]   uncomfortable. Indeed, when we go through a rebalance take from our strong performers and give to our weak
[00:51:07.380 --> 00:51:12.900]   performers, there's a natural aversion to doing so. It's incidentally, it's one of the reasons why
[00:51:12.900 --> 00:51:19.780]   I think that strategies which automate those tasks, like target date funds, like target risk funds,
[00:51:19.780 --> 00:51:26.020]   are so useful to investors. Certainly, there's probably an optimal solution out there, quote,
[00:51:26.020 --> 00:51:33.700]   unquote, that could maybe carve the asset allocation more precisely, or do the rebalancing and reconstitution
[00:51:33.700 --> 00:51:39.220]   in a more tailor made way. But I don't think people should make perfect the enemy of good target date funds,
[00:51:39.220 --> 00:51:45.060]   target risk funds, are perfectly acceptable solutions. They help people to earn more of their
[00:51:45.060 --> 00:51:50.500]   funds, total returns to participate in markets, and to do so in a way that appropriately balances risk
[00:51:50.500 --> 00:51:57.700]   and opportunity. And so I think that helps you to overcome inertia, and there's no real action that's
[00:51:57.700 --> 00:52:02.500]   required on your part. But the research that we did recently, you know, in a sense, it tried to quantify
[00:52:02.500 --> 00:52:08.020]   some of that inertia. And what we did was we just went through and we tallied up all the assets by
[00:52:08.020 --> 00:52:13.780]   type of fund, and literally the securities that they held. And what we found that there was some drift
[00:52:13.780 --> 00:52:19.300]   into equities, US equities, large in particular, and away from some of the areas that haven't performed
[00:52:19.300 --> 00:52:26.020]   us strongly. So cash bonds, foreign stocks. And so, you know, when you kind of went through and sort of added
[00:52:26.020 --> 00:52:34.660]   it up, it was around we found $800 billion in assets that probably ought to be rebalanced, assuming certain
[00:52:34.660 --> 00:52:40.020]   things about what kind of the baseline allocation should be. It's not huge in percentage terms. I think
[00:52:40.020 --> 00:52:46.340]   we're talking about 3% of the equity allocation would need to be moved back into cash and bonds,
[00:52:46.340 --> 00:52:51.860]   let's say, and then within the equity sleeve a little bit of rejiggering around of the domestic to foreign
[00:52:51.860 --> 00:52:57.060]   split. You know, but it's real money in dollar terms. And we've seen in periods like the one
[00:52:57.060 --> 00:53:02.340]   we're coming off of that we can all get a little complacent as investors in doing some rebalancing
[00:53:02.340 --> 00:53:07.380]   and adjusting given our objectives and circumstances can be very much worthwhile. And this was our attempt
[00:53:07.380 --> 00:53:14.260]   to quantify that. One last question. We're talking about the creation of ETFs and target date funds.
[00:53:14.260 --> 00:53:25.060]   I still am yet to see any kind of a push by the fund companies to create balanced ETFs, very low cost,
[00:53:25.060 --> 00:53:32.260]   balanced ETFs that do, let's say, a life strategy fund at Vanguard. In fact, Vanguard hasn't even created
[00:53:32.260 --> 00:53:40.100]   a life strategy ETF yet that we could use, say, in an IRA. Why is that? Do you have any idea?
[00:53:40.100 --> 00:53:45.780]   David Stein: So I think that probably just one practical operational reason is that target date
[00:53:45.780 --> 00:53:52.420]   funds, they've been used most often within the context of a 401k plan. The 401k plans,
[00:53:52.420 --> 00:53:58.180]   their pipes and plumbing aren't set up to hold ETFs. And so I suppose from that standpoint,
[00:53:58.180 --> 00:54:02.100]   if they're just to look at it as capitalists, they would conclude it's not worth their while to develop
[00:54:02.100 --> 00:54:07.140]   these because they can't put them in the place where they enjoy the most uptake. But I completely agree
[00:54:07.140 --> 00:54:14.180]   with you that from just from an overall investment utility standpoint, they make a great deal of sense.
[00:54:14.180 --> 00:54:18.580]   David Stein: You know, particularly, you know, maybe they would need to get a little bit creative
[00:54:18.580 --> 00:54:24.820]   on the fixed income side. But if you think of taxable money, we know that equity ETFs, you know,
[00:54:24.820 --> 00:54:30.820]   they excel in keeping cap gains distributions to a minimum. In theory, you could deploy some of the fixed
[00:54:30.820 --> 00:54:35.620]   income sleeve into things like munis. Maybe they don't scale quite as well, but that would be a nice
[00:54:35.620 --> 00:54:42.900]   solution for taxable investors. In particular, I would warmly welcome target date and target risk ETFs.
[00:54:42.900 --> 00:54:48.180]   Because like you said, I think they've got lots to offer investors. Simplicity is the key. And so as
[00:54:48.180 --> 00:54:53.460]   people move into ETFs, being able to offer them simpler, more ready made options like target date,
[00:54:53.460 --> 00:54:56.660]   target risk ETFs, I think that would make a great deal of sense.
[00:54:56.660 --> 00:55:01.620]   David Stein: Index ETFs, meaning, you know, very, very low cost, few basis points.
[00:55:01.620 --> 00:55:04.900]   David Stein: Right. Well, Jeff, it's been wonderful having you back on Bogleheads
[00:55:04.900 --> 00:55:09.220]   on Investing. Thanks for all that great information. And hopefully, we'll see you again sometime.
[00:55:09.220 --> 00:55:10.820]   David Stein: Thanks again, Rick. It was a real pleasure.
[00:55:10.820 --> 00:55:18.660]   David Stein: This concludes this episode of Bogleheads on Investing. Join us each month as we interview a new
[00:55:18.660 --> 00:55:25.780]   guest on a new topic. In the meantime, visit Boglecenter.net, Bogleheads.org, The Bogleheads Wiki,
