
[00:00:00.000 --> 00:00:07.000]   Hey there wine lovers! Elevate your holiday wine time with WineEnthusiast.com.
[00:32:16.000 --> 00:32:22.000]   Everything of the past cleared. All of it gone. Just like that.
[00:32:22.000 --> 00:32:26.000]   It's incredible.
[00:32:26.000 --> 00:32:41.000]   One of the better promises even is still the fact that going forward from that place, you can have personal freedom from being controlled by sin, controlled by anything outside.
[00:32:41.000 --> 00:32:46.000]   There's much more, especially in the context of money. We can talk about some of the things that relate to money.
[00:32:46.000 --> 00:32:50.000]   Jesus said, "Don't worry about your life." Reading to you from the book of Luke.
[00:32:50.000 --> 00:33:01.000]   "Then Jesus said to his disciples, 'Therefore I tell you, do not worry about your life, what you'll eat, or about your body, what you will wear. For life is more than food and the body more than clothes.
[00:33:01.000 --> 00:33:10.000]   Consider the ravens. They do not sow or reap. They have no storeroom or barn, yet God feeds them. And how much more valuable you are than birds.
[00:33:10.000 --> 00:33:17.000]   Who of you, by worrying, can add a single hour to your life? Since you cannot do this very little thing, why do you worry about the rest?
[00:33:17.000 --> 00:33:26.000]   Consider how the wild flowers grow. They do not labor or spin. Yet I tell you, not even Solomon in all his splendor was dressed like one of these.
[00:33:26.000 --> 00:33:36.000]   If that is how God clothes the grass of the field, which is here today and tomorrow is thrown into the fire, how much more will he clothe you, you of little faith?
[00:33:36.000 --> 00:33:40.000]   And do not set your heart on what you will eat or drink. Do not worry about it.
[00:33:40.000 --> 00:33:49.000]   For the pagan world runs after all such things, and your Father knows that you need them. But seek his kingdom, and these things will be given to you as well.
[00:33:49.000 --> 00:33:54.000]   Do not be afraid, little flock, for your Father has been pleased to give you the kingdom.
[00:33:54.000 --> 00:33:59.000]   Sell your possessions and give to the poor. Provide purses for yourselves that will not wear out.
[00:33:59.000 --> 00:34:08.000]   A treasure in heaven that will never fail, where no thief comes near and no moth destroys. For where your treasure is, there your heart will be also.
[00:34:08.000 --> 00:34:17.000]   The ability to give up worrying because there's a God who's in control of the world is one of the most profound points of freedom that you can ever experience.
[00:34:17.000 --> 00:34:29.000]   One of the most crushing realities of some philosophies is the purported aimlessness and pointlessness of the world.
[00:34:29.000 --> 00:34:38.000]   I have a friend who is an atheist, and as an atheist he's a philosophical materialist, and we talk about this.
[00:34:38.000 --> 00:34:44.000]   About the fact that if you become, if you don't believe that there is a God, and you don't believe that there is a God who's in control,
[00:34:44.000 --> 00:34:50.000]   maybe you're a deist, okay, there is a God who's not in control, the great clockmaker concept, or if you say there's no God,
[00:34:50.000 --> 00:34:58.000]   then you're inexorably drawn to the reality that life itself is an accident.
[00:34:58.000 --> 00:35:04.000]   And what's worse is you don't have much of any will in the process.
[00:35:04.000 --> 00:35:14.000]   You are an accident, and all of the things that happen in your life are an accident.
[00:35:14.000 --> 00:35:19.000]   A mere outcome of a biological computer over which you have no control.
[00:35:19.000 --> 00:35:26.000]   You are the victim and the slave of biology.
[00:35:26.000 --> 00:35:36.000]   You were raised in an accidental set of circumstances, and you are the victim of a biological computer that's forming you
[00:35:36.000 --> 00:35:41.000]   and forming your life for you without your ability to influence it.
[00:35:41.000 --> 00:35:46.000]   Whatever your culture is that you were raised in, however you were nurtured, and whatever your nature is,
[00:35:46.000 --> 00:35:50.000]   that will determine the outcome of your life.
[00:35:50.000 --> 00:35:56.000]   And you don't have any say in it, because free will is nothing but an illusion.
[00:35:56.000 --> 00:36:02.000]   That's a desperately depressing philosophy.
[00:36:02.000 --> 00:36:11.000]   When you compare that philosophy to, "There is a sovereign and omnipotent God who knows all things,
[00:36:11.000 --> 00:36:15.000]   who understands all things, and who controls all things."
[00:36:15.000 --> 00:36:20.000]   That sovereign and omnipotent God knows the very hairs on my head.
[00:36:20.000 --> 00:36:24.000]   Simply a metaphor to say, "He knows me better than I know myself."
[00:36:24.000 --> 00:36:30.000]   And what's more, He loves me.
[00:36:30.000 --> 00:36:37.000]   And He wants to enjoy a relationship with me both now in this earth and in eternity.
[00:36:37.000 --> 00:36:44.000]   And He has sovereignly ordained all of the circumstances of my life.
[00:36:44.000 --> 00:36:48.000]   Some of those things I can see and appreciate, some of them I can't see and understand now.
[00:36:48.000 --> 00:36:54.000]   But He's sovereignly ordained all the circumstances of my life, and that very God tells me, "Don't worry.
[00:36:54.000 --> 00:36:58.000]   Don't worry about what you'll eat. Don't worry about your food.
[00:36:58.000 --> 00:37:04.000]   Don't worry about your IRA balance." Take some liberties to modernize the speech of Jesus a little bit.
[00:37:04.000 --> 00:37:09.000]   "Don't worry about your weight. Don't worry about these things.
[00:37:09.000 --> 00:37:11.000]   Your Father knows what you need."
[00:37:11.000 --> 00:37:18.000]   And if He provides for the very birds of the air and the grass of the field, He'll provide for you.
[00:37:18.000 --> 00:37:31.000]   It's one of the most profoundly peacemaking realizations to bring tremendous peace to your life and liberty.
[00:37:31.000 --> 00:37:43.000]   Another hugely impactful and helpful component of Christianity is simply being able to be part of the Christian community.
[00:37:43.000 --> 00:37:51.000]   To be part of a community with people from every walk of life, whether rich, whether poor, from every background,
[00:37:51.000 --> 00:38:02.000]   every color of skin, every position of advantage and privilege and disadvantage and difficulty, all come together equal before God.
[00:38:02.000 --> 00:38:08.000]   It's one of the most incredible things to just simply be a part of that community and to have that community at your back.
[00:38:08.000 --> 00:38:16.000]   One of the things that I observe as a financial planner, people talk a lot about the advantages that rich people have,
[00:38:16.000 --> 00:38:22.000]   the advantages that the children of rich people have coming from a safety net, having a safety net behind them.
[00:38:22.000 --> 00:38:29.000]   And I think that's really true. I think there really is a major benefit of knowing that you're supported,
[00:38:29.000 --> 00:38:35.000]   that you're going to be cared for by your parents. To me, that really strikes as true.
[00:38:35.000 --> 00:38:45.000]   But one of the cool things is, though, that it's not only available just for the children of rich parents.
[00:38:45.000 --> 00:38:51.000]   I didn't come from rich parents. My parents always provided for me. I always felt the confidence knowing that there was a safety net there.
[00:38:51.000 --> 00:38:56.000]   But even as I just read, I've always felt the confidence of a safety net that God knows what He's doing.
[00:38:56.000 --> 00:39:04.000]   God knows what I'm doing. And I can work together with Him. And though I lose it all, God still loves me and He'll still provide for me.
[00:39:04.000 --> 00:39:09.000]   That I'll never be in need. I'll never be in want. I'll be cared for, no matter what.
[00:39:09.000 --> 00:39:17.000]   Then when you bring in the Christian community, which stands up and backs up people,
[00:39:17.000 --> 00:39:25.000]   it's a tremendously empowering thing to know that you're cared for, that you're provided for.
[00:39:25.000 --> 00:39:32.000]   To know that there are people who would take you in. I've never worried about going and sleeping under a bridge.
[00:39:32.000 --> 00:39:40.000]   I could go to almost any place in the world and say, "I'm in need."
[00:39:40.000 --> 00:39:51.000]   And the Christian community there would welcome me in, help me, get me back on my feet, love me, pray for me, care for me, feed me, while I get back on my feet.
[00:39:51.000 --> 00:39:58.000]   It's an incredible thing. And due to the strength and the power of just simply the Christian philosophy,
[00:39:58.000 --> 00:40:04.000]   which gives dignity to suffering, gives dignity to work. One of the things that Jesus talks a lot about is suffering.
[00:40:04.000 --> 00:40:10.000]   I'll talk about that in a moment. But gives dignity to suffering, gives dignity to menial work.
[00:40:10.000 --> 00:40:21.000]   Work is always praised in the Christian tradition. And a special work, a special dignity is given to even difficult work, menial work, physical work.
[00:40:21.000 --> 00:40:30.000]   A special dignity is given to the poor. The poor are always held in higher regard by Jesus than the rich are.
[00:40:30.000 --> 00:40:37.000]   And so, even in the most difficult of circumstances, poor doing difficult work, there's value brought to it.
[00:40:37.000 --> 00:40:41.000]   There's worth that's brought to it. And that's incredibly transformative.
[00:40:41.000 --> 00:40:47.000]   You can go all over the world right now, and if you go into poor communities and go and find a Christian church,
[00:40:47.000 --> 00:40:54.000]   you'll find lives being transformed day after day after day after day.
[00:40:54.000 --> 00:41:00.000]   Wife will bring her husband into church. He's an alcoholic who won't work.
[00:41:00.000 --> 00:41:09.000]   He gets set free, is born again, gives up drinking, gives up partying, and goes and starts working.
[00:41:09.000 --> 00:41:16.000]   And that in and of itself starts to transform families, starts to transform communities, and in time,
[00:41:16.000 --> 00:41:22.000]   I wish God's time scale were shorter, but it seems that he's got a very long time scale,
[00:41:22.000 --> 00:41:29.000]   and in time that will continue to transform the world step by step by step, day by day by day,
[00:41:29.000 --> 00:41:32.000]   as that ripple effect spreads out in communities all over the world.
[00:41:32.000 --> 00:41:36.000]   It's one of the most incredible things to see. It's very different.
[00:41:36.000 --> 00:41:40.000]   Most of my audience in the US American context, very different in the US American context
[00:41:40.000 --> 00:41:43.000]   and the backgrounds that many US Americans come from.
[00:41:43.000 --> 00:41:48.000]   I encourage you, get out of your bubble and go and see what God is doing all over the world.
[00:41:48.000 --> 00:41:56.000]   It's incredible. When you know that your life counts, when you know that you're provided for,
[00:41:56.000 --> 00:42:04.000]   and when you know that worth is brought to even the most menial tasks, to your slavery, worth is brought.
[00:42:04.000 --> 00:42:12.000]   I could preach for hours, Philemon and Onesimus, and do the stories of the slaves in the Bible again and again and again.
[00:42:12.000 --> 00:42:16.000]   And when you recognize that even if you don't understand your circumstances,
[00:42:16.000 --> 00:42:24.000]   go back to the children of Israel being slaves in Egypt for over 400 years, they didn't understand why.
[00:42:24.000 --> 00:42:28.000]   God says, "You're my chosen people," makes all these promises to Abraham, Isaac, and Jacob,
[00:42:28.000 --> 00:42:31.000]   and then sends them into slavery for 400 years.
[00:42:31.000 --> 00:42:36.000]   I'm so grateful those accounts are saved because what can happen is that even if you're in the midst of slavery,
[00:42:36.000 --> 00:42:42.000]   be it physical slavery or something akin to slavery, you're in the midst of stuck circumstances,
[00:42:42.000 --> 00:42:45.000]   you can be confident, you can know purpose in that.
[00:42:45.000 --> 00:42:50.000]   You can say, "I may not see how God is working right now, but right now I'm in slavery,
[00:42:50.000 --> 00:42:56.000]   but I can know God in the midst of this, in prison."
[00:42:56.000 --> 00:42:58.000]   That's why one of the reasons the Bible has always been such a source of comfort,
[00:42:58.000 --> 00:43:04.000]   the stories in the Bible of Joseph sold into slavery, sent into prison,
[00:43:04.000 --> 00:43:10.000]   and then raised right out of prison to the very top of power, number two ruler in this land,
[00:43:10.000 --> 00:43:11.000]   again and again and again.
[00:43:11.000 --> 00:43:13.000]   I've got to stop preaching.
[00:43:13.000 --> 00:43:17.000]   The point is just simply this stuff is powerful.
[00:43:17.000 --> 00:43:20.000]   These philosophies, these ideas are powerful.
[00:43:20.000 --> 00:43:26.000]   There is a reality to it that sets people free, free from demonic oppression,
[00:43:26.000 --> 00:43:30.000]   free from demonic possession, free from sin.
[00:43:30.000 --> 00:43:36.000]   That sets them free and that transforms lives.
[00:43:36.000 --> 00:43:42.000]   You've known in your life lives that have been transformed by Jesus Christ.
[00:43:42.000 --> 00:43:46.000]   If you haven't experienced that, you can.
[00:43:46.000 --> 00:43:49.000]   I need to warn you.
[00:43:49.000 --> 00:43:56.000]   If you decide to pursue Christ, his demand of allegiance is absolute.
[00:43:56.000 --> 00:44:00.000]   Jesus famously told the rich young ruler when he was coming, says, "What do I do?"
[00:44:00.000 --> 00:44:02.000]   Let me read you the passage.
[00:44:02.000 --> 00:44:04.000]   I'll read it from Mark 10.
[00:44:04.000 --> 00:44:07.000]   "Jesus was setting out on a journey and a man ran up and knelt before him and asked him,
[00:44:07.000 --> 00:44:10.000]   'Good teacher, what must I do to inherit eternal life?'
[00:44:10.000 --> 00:44:12.000]   And Jesus said to him, 'Why do you call me good?
[00:44:12.000 --> 00:44:14.000]   No one is good except God alone.
[00:44:14.000 --> 00:44:15.000]   You know the commandments.
[00:44:15.000 --> 00:44:16.000]   Do not murder.
[00:44:16.000 --> 00:44:18.000]   Do not commit adultery.
[00:44:18.000 --> 00:44:19.000]   Do not steal.
[00:44:19.000 --> 00:44:21.000]   Do not bear false witness.
[00:44:21.000 --> 00:44:22.000]   Do not defraud.
[00:44:22.000 --> 00:44:24.000]   Honor your father and mother.'
[00:44:24.000 --> 00:44:28.000]   And he said to him, 'Teacher, all these I have kept from my youth.'
[00:44:28.000 --> 00:44:34.000]   And Jesus, looking at him, loved him and said to him, 'You lack one thing.
[00:44:34.000 --> 00:44:40.000]   Go, sell all that you have and give to the poor, and you will have treasure in heaven.
[00:44:40.000 --> 00:44:43.000]   And come, follow me.'
[00:44:43.000 --> 00:44:49.000]   Disheartened by the saying, he went away sorrowful, for he had great possessions.
[00:44:49.000 --> 00:44:53.000]   And Jesus looked around and said to his disciples, 'How difficult it will be for those who have
[00:44:53.000 --> 00:44:55.000]   wealth to enter the kingdom of God.'
[00:44:55.000 --> 00:44:59.000]   And the disciples were amazed at his words, but Jesus said to them again, 'Children, how
[00:44:59.000 --> 00:45:01.000]   difficult it is to enter the kingdom of God.
[00:45:01.000 --> 00:45:05.000]   It is easier for a camel to go through the eye of a needle than for a rich person to
[00:45:05.000 --> 00:45:06.000]   enter the kingdom of God.'
[00:45:06.000 --> 00:45:11.000]   And they were exceedingly astonished and said to him, 'Then who can be saved?'
[00:45:11.000 --> 00:45:17.000]   Jesus looked at them and said, 'With man it is impossible, but not with God, for all
[00:45:17.000 --> 00:45:20.000]   things are possible with God.'"
[00:45:20.000 --> 00:45:26.000]   Now, when you work in what we're talking about here every day, money, wealth, that's the
[00:45:26.000 --> 00:45:30.000]   kind of thing you better pay careful attention to.
[00:45:30.000 --> 00:45:36.000]   Do know this, if you look to your money and think that you're going to get freedom from
[00:45:36.000 --> 00:45:40.000]   your money, it'll never deliver you.
[00:45:40.000 --> 00:45:43.000]   Now, I could cite all kinds of stories, but you're smart, you can come up with them on
[00:45:43.000 --> 00:45:44.000]   your own.
[00:45:44.000 --> 00:45:47.000]   And that's the point that Jesus is making here.
[00:45:47.000 --> 00:45:51.000]   Do you want to follow him or do you want to follow your money?
[00:45:51.000 --> 00:45:55.000]   And it's especially difficult for those who have worked hard and who have built wealth.
[00:45:55.000 --> 00:45:58.000]   It's one of the reasons why I think the poor have it easier.
[00:45:58.000 --> 00:46:03.000]   As you look at Christianity, Christianity has always spread fastest among the poor and
[00:46:03.000 --> 00:46:08.000]   the downtrodden, among the marginalized and the oppressed.
[00:46:08.000 --> 00:46:14.000]   Much faster than among the wealthy elite.
[00:46:14.000 --> 00:46:20.000]   Because the wealthy elite can often say, "I've got my money, it's all I need.
[00:46:20.000 --> 00:46:27.000]   I can hire the best therapist in the land to help deliver me from my psychological problems.
[00:46:27.000 --> 00:46:35.000]   I can hire the best detox center in the world to try to help me get off of this substance."
[00:46:35.000 --> 00:46:38.000]   The poor don't have those options.
[00:46:38.000 --> 00:46:40.000]   They know they need to be forgiven.
[00:46:40.000 --> 00:46:44.000]   They know they need help.
[00:46:44.000 --> 00:46:47.000]   I don't know what God's requirement is for you.
[00:46:47.000 --> 00:46:51.000]   I don't think that, in my personal opinion, is that it's not that you have to give away
[00:46:51.000 --> 00:46:55.000]   all your money as a condition for entering into the kingdom of God.
[00:46:55.000 --> 00:46:59.000]   But I do know you better be ready to.
[00:46:59.000 --> 00:47:03.000]   But the return on that investment is pretty stinking good.
[00:47:03.000 --> 00:47:12.000]   In the book of Mark, Jesus says, in Mark chapter 10, when this particular…
[00:47:12.000 --> 00:47:15.000]   I should have read this one to you.
[00:47:15.000 --> 00:47:16.000]   I'll read it again here.
[00:47:16.000 --> 00:47:19.000]   "As Jesus was starting out on his way to Jerusalem, a man came running up to him, knelt down and
[00:47:19.000 --> 00:47:22.000]   asked, 'Good teacher, what must I do to inherit eternal life?
[00:47:22.000 --> 00:47:24.000]   Why do you call me good?'"
[00:47:24.000 --> 00:47:26.000]   Sorry, I switched to a different translation.
[00:47:26.000 --> 00:47:28.000]   I got confused for a moment.
[00:47:28.000 --> 00:47:31.000]   "So Jesus looked around and said to his disciples, 'How hard it is for the rich to enter the
[00:47:31.000 --> 00:47:32.000]   kingdom of God.
[00:47:32.000 --> 00:47:34.000]   This amazed them.'
[00:47:34.000 --> 00:47:38.000]   But Jesus said again, 'Dear children, it is very hard to enter the kingdom of God.
[00:47:38.000 --> 00:47:41.000]   In fact, it is easier for a camel to go through the eye of a needle than for a rich person
[00:47:41.000 --> 00:47:43.000]   to enter the kingdom of God.'
[00:47:43.000 --> 00:47:44.000]   The disciples were astounded.
[00:47:44.000 --> 00:47:46.000]   'Then who in the world can be saved?' they asked.
[00:47:46.000 --> 00:47:52.000]   Jesus looked at them intently and said, 'Humanly speaking, it's impossible, but not with God.
[00:47:52.000 --> 00:47:54.000]   Everything is possible with God.'
[00:47:54.000 --> 00:47:55.000]   Then Peter began to speak up.
[00:47:55.000 --> 00:47:58.000]   'We've given up everything to follow you,' he said.
[00:47:58.000 --> 00:48:04.000]   'Yes,' Jesus replied, 'and I assure you that everyone who has given up house or brothers
[00:48:04.000 --> 00:48:10.000]   or sisters or father or mother or children or property for my sake and for the good news
[00:48:10.000 --> 00:48:15.000]   will receive now in return a hundred times as many houses, brothers, sisters, mothers,
[00:48:15.000 --> 00:48:18.000]   children and property, along with persecution.
[00:48:18.000 --> 00:48:21.000]   And in the world to come, that person will have eternal life.
[00:48:21.000 --> 00:48:26.000]   But many who are the greatest now will be least important then, and those who seem least
[00:48:26.000 --> 00:48:29.000]   important now will be the greatest then.'"
[00:48:29.000 --> 00:48:33.000]   And I've often thought about that.
[00:48:33.000 --> 00:48:38.000]   I don't know that I have full insight into what Jesus meant, but I do know this.
[00:48:38.000 --> 00:48:43.000]   I think he was foreshadowing and talking about just the community of believers.
[00:48:43.000 --> 00:48:52.000]   And I've often thought that I could travel the world for years not having a dime to my
[00:48:52.000 --> 00:48:57.000]   name, and I could be fed, I could be housed, and I could be loved.
[00:48:57.000 --> 00:49:03.000]   I could be transported by people all around the world in the Christian community.
[00:49:03.000 --> 00:49:06.000]   And I've often wondered if that was what Jesus meant.
[00:49:06.000 --> 00:49:07.000]   I don't know.
[00:49:07.000 --> 00:49:08.000]   I don't know exactly what he meant.
[00:49:08.000 --> 00:49:11.000]   I think the focus is on eternal life.
[00:49:11.000 --> 00:49:15.000]   You may give up everything in this world, but to have eternal life in the next for eternity
[00:49:15.000 --> 00:49:18.000]   is well worth it.
[00:49:18.000 --> 00:49:23.000]   There is a return now, and I think that just simply knowing you're at peace—back to the
[00:49:23.000 --> 00:49:30.000]   basic outline that I'm trying to drive to—having that sense of spiritual liberty is worth it.
[00:49:30.000 --> 00:49:34.000]   Let me give you just an example.
[00:49:34.000 --> 00:49:38.000]   Pretend you have two men.
[00:49:38.000 --> 00:49:40.000]   One man is an absolute crook.
[00:49:40.000 --> 00:49:42.000]   Bernie Madoff, maybe.
[00:49:42.000 --> 00:49:43.000]   All right?
[00:49:43.000 --> 00:49:44.000]   A crook.
[00:49:44.000 --> 00:49:49.000]   Makes his life and his living by stealing.
[00:49:49.000 --> 00:49:51.000]   He's a thief.
[00:49:51.000 --> 00:49:53.000]   No question.
[00:49:53.000 --> 00:49:55.000]   An absolute thief.
[00:49:55.000 --> 00:50:08.000]   And yet lives in the opulence of great wealth, all gotten with ill-gotten gains, by theft.
[00:50:08.000 --> 00:50:14.000]   Now, on the other side of town, there's a man who's very poor, but he's an honest man.
[00:50:14.000 --> 00:50:17.000]   Goes to work every day.
[00:50:17.000 --> 00:50:20.000]   Earns an honest paycheck for an honest day's work.
[00:50:20.000 --> 00:50:23.000]   Doesn't steal from other people.
[00:50:23.000 --> 00:50:26.000]   Doesn't abuse other people.
[00:50:26.000 --> 00:50:27.000]   Just works honestly.
[00:50:27.000 --> 00:50:30.000]   Cares for himself, cares for his wife, cares for his children.
[00:50:30.000 --> 00:50:32.000]   Pays his bills.
[00:50:32.000 --> 00:50:38.000]   Doesn't have any money left at the end of the month, but he satisfies his obligations.
[00:50:38.000 --> 00:50:43.000]   Which of those men, if you had to choose, would you rather be?
[00:50:43.000 --> 00:50:50.000]   Would you want to be the one who goes to sleep every night in the palace, and yet who doesn't sleep,
[00:50:50.000 --> 00:50:55.000]   because your conscience is so tormented by the evil man that you are?
[00:50:55.000 --> 00:51:05.000]   Or would you rather be the one who goes to sleep in a very spare and spartan room, content with your moral life,
[00:51:05.000 --> 00:51:10.000]   and with the simple pleasures of your family?
[00:51:10.000 --> 00:51:12.000]   I guess you can choose.
[00:51:12.000 --> 00:51:17.000]   I know for me which one I'd rather be.
[00:51:17.000 --> 00:51:23.000]   I don't think either of those men is doomed to be where they are forever.
[00:51:23.000 --> 00:51:32.000]   The man who is poor and living in a basic existence can probably improve and grow to be wealthier.
[00:51:32.000 --> 00:51:39.000]   And the rich thief can repent of his sin, can go and repay the people that he stole,
[00:51:39.000 --> 00:51:42.000]   can confess his sins, and live an honest life.
[00:51:42.000 --> 00:51:46.000]   God can forgive him.
[00:51:46.000 --> 00:51:54.000]   But I hope that little comparison together demonstrates how it's far better to be able to go to sleep at night,
[00:51:54.000 --> 00:51:59.000]   lay your head upon the pillow, knowing that you've lived a righteous life,
[00:51:59.000 --> 00:52:04.000]   than to be surrounded by ill-gotten gains from sin.
[00:52:04.000 --> 00:52:07.000]   Now back to the basic theme of this show and we'll start to wrap up.
[00:52:07.000 --> 00:52:14.000]   Talking about liberty, spiritual liberty, is it possible to have true spiritual liberty?
[00:52:14.000 --> 00:52:19.000]   Well, it depends on your definition of liberty and of freedom.
[00:52:19.000 --> 00:52:23.000]   A lot of people, when they think of these words of liberty and freedom,
[00:52:23.000 --> 00:52:33.000]   they think of, in essence, almost an anarchistic, complete lack of rules.
[00:52:33.000 --> 00:52:37.000]   Total, I don't know a better word than anarchy, but kind of this philosophical anarchy,
[00:52:37.000 --> 00:52:41.000]   the sense that nobody can tell me what to do and I'm the master of everything.
[00:52:41.000 --> 00:52:46.000]   I don't believe that that kind of liberty is possible, nor do I think that's even a good definition of liberty.
[00:52:46.000 --> 00:52:52.000]   Now many people pursue it, and later in this series, and I think the sixth episode in this series,
[00:52:52.000 --> 00:52:57.000]   I'll talk about how you can actually get the closest to that in this world.
[00:52:57.000 --> 00:53:05.000]   But nobody actually believes that a total anarchistic, complete lack of rules,
[00:53:05.000 --> 00:53:15.000]   complete lack of instruction, complete lack of any kind of imposition is possible or even desirable.
[00:53:15.000 --> 00:53:22.000]   You don't believe, no matter how anarchistic you are, you don't believe that you have the right
[00:53:22.000 --> 00:53:28.000]   to simply go to your neighbor's house and murder him just simply because you felt like it for no other reason.
[00:53:28.000 --> 00:53:29.000]   Nobody believes that.
[00:53:29.000 --> 00:53:37.000]   So everybody affirms that there's some kind of rules, some kind of objective moral values and duties
[00:53:37.000 --> 00:53:40.000]   under which everybody is subject.
[00:53:40.000 --> 00:53:45.000]   But to the greater extent that you personally can be under self-control,
[00:53:45.000 --> 00:53:47.000]   you can have increasing levels of freedom.
[00:53:47.000 --> 00:53:50.000]   One of the things you see about a society is that if a society is upright,
[00:53:50.000 --> 00:53:57.000]   if the people in a society are moral and upright, there can be almost no external controls imposed on them.
[00:53:57.000 --> 00:54:04.000]   I don't need, I'm a man who lives under self-control, I don't need a lot of external rules imposed on me
[00:54:04.000 --> 00:54:10.000]   by a government agent or a government authority to try to say that you have to do this and you can't do that.
[00:54:10.000 --> 00:54:17.000]   I'm going to live a morally upright life because I'm submitted to Christ and to His law.
[00:54:17.000 --> 00:54:22.000]   But if I weren't, if I were not under self-control, I would need that controlling,
[00:54:22.000 --> 00:54:29.000]   restraining influence of the community, the society to bring me under control for my own good.
[00:54:29.000 --> 00:54:37.000]   So true anarchistic self-liberty is not possible, nor is it even desirable.
[00:54:37.000 --> 00:54:42.000]   So then you have the question, well, there's going to be some degree of duty that I'm going to have,
[00:54:42.000 --> 00:54:48.000]   some degree of restriction and restraint on my passions.
[00:54:48.000 --> 00:54:51.000]   Where is that going to come from?
[00:54:51.000 --> 00:54:54.000]   Well, ideally it comes from within you.
[00:54:54.000 --> 00:55:05.000]   But if what comes from within you is fundamentally broken, if you're a slave to sin, not enough.
[00:55:05.000 --> 00:55:09.000]   So you need something a little bit more.
[00:55:09.000 --> 00:55:19.000]   And the lightest, the very best solution to this problem of personal liberty is found in Christianity.
[00:55:19.000 --> 00:55:25.000]   Because in what I've expressed, the fullness of the gospel, that God promised that you would be set free from sin.
[00:55:25.000 --> 00:55:28.000]   You would no longer be a slave to sin.
[00:55:28.000 --> 00:55:35.000]   But rather now you become a slave to Christ, a disciple of Christ, to submit to Him.
[00:55:35.000 --> 00:55:38.000]   But what does Jesus say?
[00:55:38.000 --> 00:55:43.000]   Jesus said, "All things have been handed over to me by my Father, and no one knows the Son except the Father,
[00:55:43.000 --> 00:55:49.000]   and no one knows the Father except the Son, and anyone to whom the Son chooses to reveal Him.
[00:55:49.000 --> 00:55:54.000]   Come to me, all who labor and are heavy laden, and I will give you rest.
[00:55:54.000 --> 00:55:59.000]   Take my yoke upon you and learn from me, for I am gentle and lowly in heart,
[00:55:59.000 --> 00:56:01.000]   and you will find rest for your souls.
[00:56:01.000 --> 00:56:07.000]   For my yoke is easy, and my burden is light."
[00:56:07.000 --> 00:56:14.000]   Jesus said, "For my yoke is easy, and my burden is light."
[00:56:14.000 --> 00:56:18.000]   That's what I have found.
[00:56:18.000 --> 00:56:21.000]   Jesus says you're going to have a yoke and a burden.
[00:56:21.000 --> 00:56:26.000]   That yoke and burden is inescapable.
[00:56:26.000 --> 00:56:29.000]   But Christ's burden is easy and light.
[00:56:29.000 --> 00:56:39.000]   If you compare God's rules, what He expects of you and of me, to the rules that our society expects of you and of me,
[00:56:39.000 --> 00:56:45.000]   it's astonishing how simple and how light God's requirements are.
[00:56:45.000 --> 00:56:53.000]   God says, "Don't murder. Don't commit adultery. Don't steal."
[00:56:53.000 --> 00:56:57.000]   There's a few more, right? Some simple things.
[00:56:57.000 --> 00:57:02.000]   Our society expects--political rant, put your earmuffs on if you need it.
[00:57:02.000 --> 00:57:10.000]   Our society expects me to labor under this guilt of murder of millions of people around the world that I had nothing to do with.
[00:57:10.000 --> 00:57:17.000]   And I'm supposed to live my life under this guilt of some kind into perpetuity with no clear date.
[00:57:17.000 --> 00:57:23.000]   And the only way I'm to be absolved of that guilt is to pay half my income into some kind of fund
[00:57:23.000 --> 00:57:27.000]   that someone else is going to use to spend so that my guilt can be absolved.
[00:57:27.000 --> 00:57:29.000]   It's the craziest thing ever.
[00:57:29.000 --> 00:57:32.000]   Jesus said, "Don't murder."
[00:57:32.000 --> 00:57:35.000]   I haven't murdered. Thus I have no guilt.
[00:57:35.000 --> 00:57:41.000]   Society expects me to labor under this guilt of--I don't know--
[00:57:41.000 --> 00:57:44.000]   that somehow because of the color of my skin is the wrong color,
[00:57:44.000 --> 00:57:50.000]   that I've got this guilt that I'm to labor under for all of my life.
[00:57:50.000 --> 00:57:58.000]   Jesus says, "Love your neighbor. Go love your neighbor. Love him as yourself."
[00:57:58.000 --> 00:58:02.000]   No guilt. Just a command. Go love your neighbor.
[00:58:02.000 --> 00:58:09.000]   It's the most profoundly obvious freedom that comes from it.
[00:58:09.000 --> 00:58:14.000]   And then when you're under control, when you're under control of God,
[00:58:14.000 --> 00:58:23.000]   when you're submitted to God's law, which is very light, all the good things come from it.
[00:58:23.000 --> 00:58:26.000]   God says, "Love your wife. Be faithful to her."
[00:58:26.000 --> 00:58:33.000]   Very simple. In the context of that relationship, we can have total sexual fulfillment.
[00:58:33.000 --> 00:58:36.000]   Our society says, "Here's all these weird rules about sexual reality,
[00:58:36.000 --> 00:58:38.000]   and you can have sex with anyone you want in any way that you want,
[00:58:38.000 --> 00:58:41.000]   but you have to follow all these detailed rules and you have to get a signed consent form
[00:58:41.000 --> 00:58:44.000]   and you got to make sure that it's the right person and you're not taking advantage of this and that
[00:58:44.000 --> 00:58:45.000]   and it's got to have these circumstances, etc.
[00:58:45.000 --> 00:58:48.000]   And then if you do this, you got to have all these other things imposed on you, blah, blah, blah, blah, blah."
[00:58:48.000 --> 00:58:53.000]   It goes on and on. It's the biggest bondage ever. Very simple.
[00:58:53.000 --> 00:58:56.000]   So you're going to be under some kind of burden.
