
[00:00:00.040 --> 00:00:09.520]   Muss
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:32:27.040]   Sincerely, I'm Tony Robbins.
[00:32:27.040 --> 00:32:27.040]   Sincerely, I'm Tony Robbins.
[00:32:27.040 --> 00:32:27.040]   Sincerely, I'm Tony Robbins.
[00:32:27.040 --> 00:32:27.040]   Sincerely, I'm Tony Robbins.
[00:32:27.040 --> 00:32:27.040]   Sincerely, I'm Tony Robbins.
[00:32:27.040 --> 00:32:27.040]   Sincerely, I'm Tony Robbins.
[00:32:27.040 --> 00:32:27.040]   Sincerely, I'm Tony Robbins.
[00:32:27.040 --> 00:32:27.040]   Sincerely, I'm Tony Robbins.
[00:32:27.040 --> 00:32:27.040]   Sincerely, I'm Tony Robbins.
[00:32:27.040 --> 00:32:27.040]   Sincerely, I'm Tony Robbins.
[00:32:27.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:32:57.060]   Sincerely, I'm Tony Robbins.
[00:32:57.060 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.080 --> 00:33:27.080]   Sincerely, I'm Tony Robbins.
[00:33:27.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:33:57.100]   Sincerely, I'm Tony Robbins.
[00:33:57.100 --> 00:34:27.120]   the knowledge skills insight today is insight and encouragement today is encouragement that you need to live a life of success and change your life.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.120 --> 00:34:27.120]   Sincerely, I'm Tony Robbins.
[00:34:27.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:34:57.140]   Sincerely, I'm Tony Robbins.
[00:34:57.140 --> 00:35:27.160]   Sincerely, I'm Tony Robbins.
[00:35:27.160 --> 00:35:27.160]   Sincerely, I'm Tony Robbins.
[00:35:27.160 --> 00:35:27.160]   Sincerely, I'm Tony Robbins.
[00:35:27.160 --> 00:35:27.160]   Sincerely, I'm Tony Robbins.
[00:35:27.160 --> 00:35:27.160]   Sincerely, I'm Tony Robbins.
[00:35:27.160 --> 00:35:27.160]   Sincerely, I'm Tony Robbins.
[00:35:27.160 --> 00:35:27.160]   Sincerely, I'm Tony Robbins.
[00:35:27.160 --> 00:35:27.160]   Sincerely, I'm Tony Robbins.
[00:35:27.160 --> 00:35:27.160]   Sincerely, I'm Tony Robbins.
[00:35:27.160 --> 00:35:27.160]   Sincerely, I'm Tony Robbins.
[00:35:27.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:35:57.180]   Sincerely, I'm Tony Robbins.
[00:35:57.180 --> 00:36:27.200]   Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:27.200 --> 00:36:27.200]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:27.220 --> 00:36:57.220]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:57.220 --> 00:36:57.220]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:57.220 --> 00:36:57.220]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:57.220 --> 00:36:57.220]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:57.220 --> 00:36:57.220]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:57.220 --> 00:36:57.220]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:57.220 --> 00:36:57.220]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:57.220 --> 00:36:57.220]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:57.220 --> 00:36:57.220]   Sincerely, I'm Tony Robbins. Sincerely, I'm Tony Robbins.
[00:36:57.240 --> 00:37:27.240]   It has been awesome.
[00:37:27.240 --> 00:37:27.240]   My life has been measurably, measurably improved. My self-confidence has been high. My productivity has been high. My interest has been strong. I've been actually able to get stuff done. I've actually been able to learn things and read weird books that interest me. There's so much more reward in my life than I've ever had.
[00:37:27.240 --> 00:37:27.240]   I've actually been able to learn things and read weird books that interest me. There's so much more reward in my life than I've ever had.
[00:37:27.240 --> 00:37:27.240]   There's so much more reward in my life than I've ever had.
[00:37:27.240 --> 00:37:27.240]   There's so much more reward in my life than I've ever had.
[00:37:27.240 --> 00:37:27.240]   There's so much more reward in my life than I've ever had.
[00:37:27.240 --> 00:37:27.240]   There's so much more reward in my life than I've ever had.
[00:37:27.240 --> 00:37:27.240]   There's so much more reward in my life than I've ever had.
[00:37:27.240 --> 00:37:57.260]   in my life than I've ever had.
[00:37:57.260 --> 00:37:57.260]   There's so much more reward in my life than I've ever had.
[00:37:57.260 --> 00:37:57.260]   There's so much more reward in my life than I've ever had.
[00:37:57.260 --> 00:37:57.260]   There's so much more reward in my life than I've ever had.
[00:37:57.260 --> 00:37:57.260]   There's so much more reward in my life than I've ever had.
[00:37:57.260 --> 00:37:57.260]   There's so much more reward in my life than I've ever had.
[00:37:57.260 --> 00:37:57.260]   There's so much more reward in my life than I've ever had.
[00:37:57.300 --> 00:38:00.980]  eg
[00:38:00.980 --> 00:38:26.080]   another,'t,
[00:38:27.320 --> 00:38:37.700]  't
[00:38:37.700 --> 00:38:50.920]  Е I live, men,
[00:39:21.880 --> 00:39:21.880]   and I'm a very successful client, very successful person, just frustrated with their own troubles. Lack of ability to execute on their to-do list. And we're sitting going over the same things month after month after month. No progress. His solution? He deleted his podcast app. Started playing classical music instead. Immediately reported to me a significant increase in his audience.
[00:39:49.180 --> 00:39:49.180]   I recommend, this is a client that found me through my podcast. He doesn't listen to my podcast anymore because he's done with podcasts. I recommend to you, listen, your life is what matters.
[00:39:49.180 --> 00:39:49.180]   I recommend to you, listen, your life is what matters. I recommend to you, listen, your life is what matters. I recommend to you, listen, your life is what matters.
[00:39:49.220 --> 00:40:10.540]   I recommend to you, listen, your goals are what matter. Your priorities are what matter. It's your life. It's your family. These are your children. My children are never going to be where they're at right now. I am not going to miss their life because I'm staring at the screen of my phone.
[00:40:10.540 --> 00:40:18.540]   I still have my podcast app, but you know what I don't have? I deleted my Kindle app.
[00:40:18.540 --> 00:40:19.040]   I deleted my Kindle app.
[00:40:19.040 --> 00:40:49.000]   I deleted my iBooks.
[00:40:49.000 --> 00:40:49.060]   And just in case you're curious why, it's not that I don't like to read. It's not that I don't read digital books, but it's that ability to focus. I really quit reading on the phone because with the phone it's so easy to see the next notification. It's so easy to click over and say, "Oh, I'll just research that interesting thing." So I have a standalone Kindle and I have a standalone e-readers and Kindles that aren't connected to anything. They don't have a standalone e-reader and Kindles that aren't connected to anything.
[00:40:49.100 --> 00:40:55.180]   Sub
[00:42:15.620 --> 00:42:15.620]   Bass invest Percy
[00:42:15.620 --> 00:42:29.460]   plug. May,,,,,
[00:42:44.820 --> 00:42:52.240]   —
[00:42:52.240 --> 00:42:55.840]   care, ,, Mill Min G I Sarah
[00:42:55.840 --> 00:43:01.880]   10
[00:43:04.220 --> 00:43:12.120]   on
[00:43:12.120 --> 00:43:32.640]   at, E R Which
[00:43:34.240 --> 00:43:44.340]   Claro
[00:43:44.340 --> 00:43:45.200]   , in the play itaut
[00:43:45.200 --> 00:43:50.120]   double
[00:43:50.120 --> 00:43:59.380]  學 Connect requirementsent the Black The The The this is a and the just the work in the for the się
[00:47:11.040 --> 00:47:17.880]   may
[00:47:17.880 --> 00:47:21.500]  ed,
[00:47:21.500 --> 00:47:36.820]   ho . .. work,
[00:47:37.000 --> 00:47:48.200]  ,
[00:47:48.200 --> 00:48:00.800]   wasn,ר,
[00:48:05.820 --> 00:48:16.060]  问题
[00:48:16.060 --> 00:48:16.840]   like,
[00:48:16.840 --> 00:48:25.720]  �
[00:48:25.720 --> 00:48:33.080]   contribute 15 world stuff yacht g沒關係這 노력 di leave a never dess An Вс Le Mak't P greet the Ioughil--H hung-C, and, in, .T, bio-D, ..., ..., ..., ..., ..., ..., ..., ...., ...,..., ..., ...,...,..., ...,... or ..., or...視 on word of not the's discuss the my no inconvenient Magic's no wellно for a little beyond the play in the check the only buy a 오�Nat discuss the Hail the departments de wasn't a ICE I'm not the quantity be disc compared the cad select a Dunk the этому ganint the выступ a work de nhân theisés the Triple arrows26 the connectivity gray in slang will Bar evenarl gs. I'm Lambo. I'm the net, I'm the grey the
[00:48:33.100 --> 00:48:37.880]   And I was thinking about it.
[00:48:37.880 --> 00:48:39.880]   I was talking to my wife, and I was saying, "You know,
[00:48:39.880 --> 00:48:43.880]   I don't have any romantic feelings for that girl. It was a long time ago."
[00:48:43.880 --> 00:48:49.880]   I honestly, as a most--I don't know what I was thinking at the time, but I guess I wasn't. It was all
[00:48:49.880 --> 00:48:53.880]   unthinking.
[00:48:53.880 --> 00:49:00.880]   But I was talking to my wife, and I said, "You know, I can see how it starts right there.
[00:49:00.880 --> 00:49:02.880]   If my wife were to say, "You know, I'm not the only one who's going to be a hero,
[00:49:02.880 --> 00:49:03.080]   I'm not the only one who's going to be a hero,
[00:49:03.080 --> 00:49:03.080]   I'm not the only one who's going to be a hero,
[00:49:03.080 --> 00:49:03.080]   I'm not the only one who's going to be a hero,
[00:49:03.080 --> 00:49:03.080]   I'm not the only one who's going to be a hero,
[00:49:03.080 --> 00:49:03.080]   I'm not the only one who's going to be a hero,
[00:49:03.120 --> 00:49:33.080]   I'm not the only one who's going to be a hero,
[00:49:33.120 --> 00:49:40.640]   worked
[00:49:40.640 --> 00:50:00.480]   think,,, elsewhere
[00:50:30.240 --> 00:50:40.320]  ,
[00:50:40.320 --> 00:50:58.860]  為 как, make,,,, toe Th O ' moins
[00:51:56.340 --> 00:52:04.980]   woods視
[00:52:04.980 --> 00:52:21.740]  ル,,,,ut
[00:53:22.300 --> 00:53:47.540]  andez.com/save-up-save-up.com. You can make all your favorite things this holiday season because Kroger Brand's proven quality products come at exceptionally low prices. And with a money-back quality guarantee, every dish is sure to be a favorite. Whether you shop delivery, pickup, or in-store, Kroger Brand has all your favorite things. Ralph, fresh for everyone.
[00:53:47.580 --> 00:53:56.520]   et

