
[00:00:00.000 --> 00:00:10.920]   Hello, and welcome to the Everyday Educator, a podcast where we explore the beauty, challenges,
[00:28:24.440 --> 00:28:33.220]   Right. Right. I remember, um, struggling with feelings of guilt. Um, whenever we first started
[00:28:33.220 --> 00:28:39.780]   homeschooling, because I am a raging extrovert by nature. And I experienced something similar to you,
[00:28:39.780 --> 00:28:45.860]   Lynn, where I just needed to sit and look at a wall. And I felt badly about that because I needed to
[00:28:45.860 --> 00:28:52.120]   decompress from a day with active, you know, wiggly squirrely children all day long who needed me, um,
[00:28:52.120 --> 00:28:58.880]   so much. And I think Didi, if I had been wise, like what you're describing, and I had my heart posture
[00:28:58.880 --> 00:29:05.880]   needed to be adjusted. Um, because I think I was being, I was being led around by the tyranny of the urgent.
[00:29:06.620 --> 00:29:15.140]   And I did not allow my days to be spirit field filled. I had a rigid schedule and I was like,
[00:29:15.140 --> 00:29:25.120]   oh my goodness, we're math from eight to, um, eight 59. And then we have Bible. And I just look back and
[00:29:25.120 --> 00:29:31.560]   I'm like, oh, you know, I wish that I wish that in preparing for homeschooling, I'd had a better
[00:29:31.560 --> 00:29:37.240]   understanding of what life school looks like. And the fact that I can do these things and I can make
[00:29:37.240 --> 00:29:44.000]   my environment perfect for what I thought would perfect would look like. But the reality is you've
[00:29:44.000 --> 00:29:52.100]   got to start with your heart and then have to take steps to allow yourself grace to be that parent that
[00:29:52.100 --> 00:29:57.200]   your children need. And I agree with you, Lynn, like for me, like the house, like that's a big deal
[00:29:57.200 --> 00:30:03.420]   because suddenly, you know, you're not going out, you're in, right. And so you're looking at things
[00:30:03.420 --> 00:30:09.600]   and sometimes things can try to be more important than people in our lives. And we have to cast that
[00:30:09.600 --> 00:30:15.180]   down. So I really applaud both of you, the wisdom that you exercise to have the right heart posture
[00:30:15.180 --> 00:30:21.240]   and to provide the right learning environment so that you weren't distracted by things that maybe were not
[00:30:21.240 --> 00:30:28.320]   the most important thing at that particular moment. Um, I'm, I'm curious, Dede, you mentioned the box
[00:30:28.320 --> 00:30:34.920]   card children, one of my favorite series and a huge part. I know as I look around, like there were stacks
[00:30:34.920 --> 00:30:41.240]   of books, the cabinet behind me is full of books, my children have books in their rooms. And as a former
[00:30:41.240 --> 00:30:48.020]   classroom teacher, I really, before we discovered classical conversations, felt a tremendous amount of
[00:30:48.020 --> 00:30:55.520]   overwhelm because there are so many options available to us as homeschoolers. Um, you know, and we do
[00:30:55.520 --> 00:31:00.600]   sometimes feel that invisible pressure to find the magic bullet that we'll use forever and ever that
[00:31:00.600 --> 00:31:11.300]   will make all of our children, you know, surgeon, surgeon, president. Um, and I'm curious, um, for both of you,
[00:31:11.300 --> 00:31:17.480]   you know, looking back, what advice would you give to parents who maybe feel similarly to how I did?
[00:31:17.480 --> 00:31:24.120]   They feel a little overwhelmed by all of the curriculum options that are available. I'm curious,
[00:31:24.120 --> 00:31:30.880]   Lynn, what your thoughts are about that. Yeah, I think, um, you know, if you talk to anybody about
[00:31:30.880 --> 00:31:37.200]   homeschool for just a minute, you probably will get to curriculum pretty quickly. But then when I have in
[00:31:37.200 --> 00:31:43.600]   mind this, this prototype mom, who's just dipping her toe and just like, wait, is this right for my family?
[00:31:43.600 --> 00:31:49.460]   I feel like curriculum wouldn't necessarily be her first thing. I mean, maybe, yeah. What worksheets do
[00:31:49.460 --> 00:31:58.260]   I use or something? But, um, you know, when I dove in, um, it was like, I had to, I had to kind of get my
[00:31:58.260 --> 00:32:02.980]   hands on it for a while before I was like, Ooh, now I want to talk about curriculum and what goes.
[00:32:03.240 --> 00:32:07.920]   But what, one thing that I had a friend and this wasn't even at the beginning. So now as a friend,
[00:32:07.920 --> 00:32:14.480]   I will tell everyone, you know, to really sit down and create some kind of a philosophy of homeschool,
[00:32:14.480 --> 00:32:21.400]   you know, what, what, what do I want for these kids? And, and maybe even if you are a researcher,
[00:32:21.400 --> 00:32:28.620]   even if you're not to look into the different, um, styles of homeschool, because that will inform,
[00:32:28.620 --> 00:32:36.700]   you know, how you, um, run your homeschool. And I do think, um, you know, our philosophy as an example,
[00:32:36.700 --> 00:32:41.760]   when the kids were really little, our philosophy was developing lifelong learners who love adventure
[00:32:41.760 --> 00:32:48.280]   and who give generously. Um, and this is all under the umbrella of, um, the gospel, you know,
[00:32:48.280 --> 00:32:55.720]   obviously, maybe not, obviously I should say that, um, you know, having that philosophy can drive your
[00:32:55.720 --> 00:33:02.060]   curriculum choices. Then you have to sit with the kid that's in front of you and say, is this working
[00:33:02.060 --> 00:33:08.940]   for them? Because we are not teaching curriculum. We're teaching children. And I say that as an avid CC
[00:33:08.940 --> 00:33:14.720]   mom and an avid, whatever homeschool mom, but we are teaching those little souls, those little
[00:33:14.720 --> 00:33:20.660]   immortal souls that sit in front of us every day, that's who we're teaching. And I have had many years
[00:33:20.660 --> 00:33:26.600]   where I start off earnestly in August with a plan and a curriculum and blah, blah, blah. And then by
[00:33:26.600 --> 00:33:33.860]   November we're, we're changing it all up. So, um, you know, I think curriculum is, is long and deep and
[00:33:33.860 --> 00:33:41.600]   wide and we could get there, but just on the, on the front end of it, I would say that developing your
[00:33:41.600 --> 00:33:47.620]   philosophy of homeschool, why you're doing it and you know, what, what, um, outcome you want from even
[00:33:47.620 --> 00:33:53.740]   just the first few months or the year or whatever, that's where you have to start. I agree. I agree.
[00:33:53.740 --> 00:33:57.500]   And if you're listening to this podcast and you're looking for a great place to begin,
[00:33:57.640 --> 00:34:03.800]   the scribblers at home curriculum actually takes you through the steps to create and craft a vision
[00:34:03.800 --> 00:34:08.380]   statement for your family so that you can think more deeply about your why, because I'm going to tell
[00:34:08.380 --> 00:34:13.780]   you right now, friends, that if you don't firmly latch onto that, why it's really easy to make a
[00:34:13.780 --> 00:34:20.340]   decision to just forego, um, what you've been called to do. And so it is, I agree with you, Lynn,
[00:34:20.420 --> 00:34:26.760]   it's so important to understand your family's why so that you have a target. You're not shooting an
[00:34:26.760 --> 00:34:32.120]   arrow and then drawing a bullseye around it, but you have a target for why, um, you're making the
[00:34:32.120 --> 00:34:37.620]   decisions that you are. Um, Dede, I'm curious, you've already alluded to this a little bit, but, um,
[00:34:37.620 --> 00:34:42.860]   there is a lot of preparation for homeschooling that is invisible. And I know the theme of practicum
[00:34:42.860 --> 00:34:48.600]   this season is seeing the unseen. So I'm curious if you would allude a little bit more about
[00:34:48.600 --> 00:34:55.560]   spiritually, how did you prepare for your calling to homeschool? Um, were there steps that you took
[00:34:55.560 --> 00:35:02.380]   with your husband or individually that you felt prepared you well, um, or at least prepared you?
[00:35:02.380 --> 00:35:07.760]   I'll say that because we've all learned things after the fact, um, as well, or beginning homeschooling
[00:35:07.760 --> 00:35:16.360]   with your family. Yeah, I would say it's abiding in the word. I think it's understanding that no matter
[00:35:16.360 --> 00:35:23.020]   what you're doing, you are teaching your children. If I'm spending my morning on YouTube, looking for
[00:35:23.020 --> 00:35:29.500]   the perfect block schedule for my kids, I'm teaching my kids that you need to go to YouTube and find the
[00:35:29.500 --> 00:35:36.860]   perfect schedule for yourself. Instead of putting up my Bible, reading the word, letting it wash over me,
[00:35:37.000 --> 00:35:43.120]   maybe pausing at a verse and saying, Oh, that's interesting. While I'm at the table and my kids are
[00:35:43.120 --> 00:35:48.520]   eating breakfast and saying, Oh, that's, that's interesting. And then speaking about it, you know, all of
[00:35:48.520 --> 00:35:57.380]   those things are teaching our children. So I feel like just abiding in the word and prayer was the most
[00:35:57.380 --> 00:36:03.920]   important part of preparing me spiritually. I think the Lord gave me this verse in Ephesians 5 16 that says, um,
[00:36:04.040 --> 00:36:10.320]   something to the effect of redeeming the time for the days are evil. And it sounds kind of like looming,
[00:36:10.320 --> 00:36:15.100]   you know, I'm like the days are evil. We will homeschool, you know, it's like
[00:36:15.100 --> 00:36:24.360]   my vigilante over here, but it was more, it was more about, you know what, let's, let's see what we can
[00:36:24.360 --> 00:36:31.980]   do to actually love the Lord and love family and his purpose for us through homeschool. And so I love what
[00:36:31.980 --> 00:36:37.980]   you said to Lynn about the, why is so important. If you have that, why, if you care, the curriculum
[00:36:37.980 --> 00:36:43.860]   will follow all those things will happen. And even when you're not bound to the curriculum,
[00:36:43.860 --> 00:36:48.340]   right. When you're just sitting in between subjects or it's lunchtime, what you do with yourself,
[00:36:48.340 --> 00:36:55.500]   that's still teaching your kids is important. So if you have a worship song, you want to play that
[00:36:55.500 --> 00:37:04.240]   matters. Um, so I just, I think in preparation, it was, I just had that verse, um, kind of ready
[00:37:04.240 --> 00:37:10.200]   on my heart and ready to share. And then just continuing to look for ways to be with my kids
[00:37:10.200 --> 00:37:15.560]   and see where they are spiritually as well. So I feel like to start, you just have to be with your kids.
[00:37:15.560 --> 00:37:21.820]   You, you have to sit with your kids. It's the time that you invest in them. And I had a friend
[00:37:21.820 --> 00:37:26.880]   who had homeschooled many years before me. And she said, it's not about choosing the right curriculum
[00:37:26.880 --> 00:37:32.020]   or finding the right books. Like you were saying, Kelly, it's not a silver bullet. It's that you use
[00:37:32.020 --> 00:37:38.280]   the books you have. And that really struck me because I was always searching, always looking for the next
[00:37:38.280 --> 00:37:43.820]   great curriculum that was shiny with the stickers. And you go to all these fairs and you're like,
[00:37:43.820 --> 00:37:49.400]   no, that one is better. Just use the things you have, use the tool you have. We have the Lord,
[00:37:49.400 --> 00:37:54.880]   we have our children, we have our husband, right? Supporting us. So when you use that,
[00:37:54.880 --> 00:37:58.640]   I feel like you do feel more equipped to do the tasks that you're called to do.
[00:37:58.640 --> 00:38:03.740]   Yeah. When I started, I, I'm just thinking about what you said, Didi. I don't think I really
[00:38:03.740 --> 00:38:11.660]   understood God's word and the truth of Christianity. I don't know if I really understood how important
[00:38:11.660 --> 00:38:17.580]   that was in our homeschool. I feel like the last two to three years as my older ones are getting older
[00:38:17.580 --> 00:38:23.580]   and like, you can start to see them, you know, as adults in the real world, which is like a whole
[00:38:23.580 --> 00:38:31.140]   other thing. But I'm like, there's only one thing that matters. Like, it's really true. Like all of those
[00:38:31.140 --> 00:38:37.800]   mamas, you know, who were old when I was young and they would say, it's really the only thing that
[00:38:37.800 --> 00:38:44.080]   matters. I don't know if I had ears to hear that at the time, but man, I do now. And I just, if there's
[00:38:44.080 --> 00:38:51.240]   anything that I could say today, it would be that, you know, that the truth of Christianity, that God's
[00:38:51.240 --> 00:38:58.600]   word is actually the most important foundation for these kids. Yeah. You know, what's amazing about
[00:38:58.600 --> 00:39:05.720]   that is that they see us growing as well, right? They can look back and say, I remember when mom was
[00:39:05.720 --> 00:39:14.380]   so into this one curriculum and so on edge about this and our test scores. And then, you know, it just
[00:39:14.380 --> 00:39:20.460]   became about really good conversation about who God is and they feel the difference in their bodies and
[00:39:20.460 --> 00:39:25.740]   they take that with them. And so it is an all around school. Like we're all becoming educated. We're all
[00:39:25.740 --> 00:39:31.580]   growing and that's the fruit of homeschooling and in community because your testimony, what you're
[00:39:31.580 --> 00:39:39.140]   sharing encourages me that it's still happening wherever we are today. Right? Like even now there's,
[00:39:39.140 --> 00:39:43.660]   there's something, there's a place God is still taking us and taking these families that are listening.
[00:39:43.660 --> 00:39:47.500]   They might not know exactly where, but that's okay. You'll get there.
[00:39:48.780 --> 00:39:54.060]   Absolutely. Absolutely. I think we've already alluded to this a little bit and the fact that
[00:39:54.060 --> 00:40:00.860]   God's word sustains us, um, that as believers, we homeschool because that is the main thing
[00:40:00.860 --> 00:40:07.300]   and keeping the main thing can be difficult and sometimes overwhelming, um, even discouraging.
[00:40:07.300 --> 00:40:12.640]   So I'm curious, you know, a lot of the people who are listening to this, this conversation might
[00:40:12.640 --> 00:40:16.740]   think like, Oh, there are going to be so many mountaintop moments as homeschoolers. And there
[00:40:16.740 --> 00:40:23.840]   are, but there are also some valleys that we experienced. And I'm curious, um, if both of you
[00:40:23.840 --> 00:40:28.820]   would speak to that a little bit, have there been moments where perhaps you were discouraged because
[00:40:28.820 --> 00:40:34.340]   you were doing the right things and you were doing them well, but you got weary, or there was something
[00:40:34.340 --> 00:40:41.400]   that maybe was a setback for you during those times. Um, and maybe both can allude as much as
[00:40:41.400 --> 00:40:46.200]   you're comfortable with, um, how did your faith sustain you? How did your walk with the Lord sustain
[00:40:46.200 --> 00:40:54.800]   you through those times? Um, and Lynn, you can go ahead and lead off with that. Um, yeah, I mean,
[00:40:54.800 --> 00:41:01.940]   the answer is yes. Discouragement is like, it's just part of the, part of the plan. And so, yeah,
[00:41:01.940 --> 00:41:07.680]   I mean, there's been health things, business, uh, disappointments, there's been, um, financial
[00:41:07.680 --> 00:41:12.980]   strain. Um, there was a brief period where I sent my kids to a private Christian school
[00:41:12.980 --> 00:41:19.760]   because I was burnt out, burnt out, burn out is a real thing. Um, all of the things, all
[00:41:19.760 --> 00:41:26.200]   of the things, um, and you ask, you know, how did my faith sustain me? I don't know if I could
[00:41:26.200 --> 00:41:31.940]   tell you how it sustained me. I just know that it did. And that, um, I was thinking about
[00:41:31.940 --> 00:41:37.240]   like, I was thinking about that whole concept where we're putting God in the center of, of
[00:41:37.240 --> 00:41:44.660]   all of the education. Right. And so my faith is, it's not an ingredient in how to make a great
[00:41:44.660 --> 00:41:52.260]   homeschool cake. It's like, it's like the house where you're making the cake. It's like the world,
[00:41:52.260 --> 00:41:59.120]   like it's so much bigger than an ingredient. And I think when I first started, I thought that faith
[00:41:59.120 --> 00:42:04.600]   was an ingredient. I thought that the Bible reading the Bible of my kid was a box to check or something,
[00:42:04.600 --> 00:42:08.280]   which don't get me wrong. Sometimes it is. They got to check a box. Okay, fine.
[00:42:08.660 --> 00:42:15.220]   But that's because we're building the discipline. But now looking back to those early years is like
[00:42:15.220 --> 00:42:22.580]   faith was everything. It was everything. Um, and, um, I think, I, I don't know if we could put a little
[00:42:22.580 --> 00:42:28.020]   bit of a finer point on the idea that faith isn't necessarily the curriculum that we're teaching our
[00:42:28.020 --> 00:42:34.240]   kids, but it is that overarching thing. Um, because I know if I were listening to this and I was a mom,
[00:42:34.320 --> 00:42:40.240]   like, Oh, I want to homeschool those little old ladies who sit and they say, it's all about Jesus,
[00:42:40.240 --> 00:42:48.500]   this is my heart, you know, well, it is, but it, it, it also is about like, well, what the heck do I do?
[00:42:48.500 --> 00:42:55.600]   You know? Um, uh, we can speak to that, but I know that, right. You know, for this, um, what's germane
[00:42:55.600 --> 00:43:02.440]   to this point is that faith is really everything. It really is. I love the idea of, you know, it being
[00:43:02.440 --> 00:43:09.640]   the house, like it is, it is, it is where and how we do what we do. What about you, Dede?
[00:43:09.640 --> 00:43:15.900]   So, yeah, I will echo what Lynn said. Yes. The times of discouragement are there and they're still
[00:43:15.900 --> 00:43:23.420]   here. Um, and how did my faith sustain me again, similar to Lynn? I, I don't really know how,
[00:43:23.420 --> 00:43:30.320]   I don't even know that I knew it was happening when it was. It's just the fact that I, I got through
[00:43:30.320 --> 00:43:36.820]   another day. Yes. And I, I wasn't going to bed like, wow, my faith really got me through today.
[00:43:36.820 --> 00:43:43.860]   It was like, it was like, Oh my goodness. Are we ever going to make it? And then you turn around
[00:43:43.860 --> 00:43:49.740]   and you're like, Oh wow, this actually, these things were okay. Like the gaps that I thought were so big
[00:43:49.740 --> 00:43:56.960]   and so wide and that I thought I needed to fill. God was filling that God was doing that. And you look
[00:43:56.960 --> 00:44:01.820]   around and you have people that have also poured into your kids because of community homeschooling
[00:44:01.820 --> 00:44:07.380]   and community. I can't say that enough. God designed us for community. And so that's where
[00:44:07.380 --> 00:44:13.640]   I feel like my faith, I was carried because other people saw the fruit that my kids were bearing and would
[00:44:13.640 --> 00:44:18.600]   say, Hey, your son did a good job with this. Or your daughter, you know, really stepped up in this
[00:44:18.600 --> 00:44:25.540]   way. And I was like, Oh, they did. Okay. So, so it's okay. And I think those are the moments that
[00:44:25.540 --> 00:44:31.360]   really encouraged me to keep going because you really can't fill all the gaps. You just can't,
[00:44:31.360 --> 00:44:37.700]   it's impossible, but it's a reminder to rely on God even more because that it is the house. It's where
[00:44:37.700 --> 00:44:42.480]   we live. That's right. That's right. I love that. I love that. I'll carry that metaphor with me
[00:44:42.480 --> 00:44:49.880]   throughout the rest of the day. Absolutely. Um, you know, I look back on the beginning of our
[00:44:49.880 --> 00:44:56.340]   family's homeschool journey and I think about the person I was, um, at that place that although I had
[00:44:56.340 --> 00:45:04.560]   a formal education to be an educator, um, there were ways that I still felt woefully inept, um,
[00:45:04.560 --> 00:45:12.000]   because I was used to educating solo in a classroom, um, by 25 little people who were all
[00:45:12.000 --> 00:45:18.440]   the same ages. And, you know, at the end of the day, guess what guys, they went home and then I would
[00:45:18.440 --> 00:45:25.220]   go home and then I could breathe and relax. And so, you know, coming into homeschooling and realizing
[00:45:25.220 --> 00:45:30.920]   that, you know, they're with me all the time and they're not, they're not going away.
[00:45:31.560 --> 00:45:41.140]   But also a mega adjustment for me. So when, when we began homeschooling, um, I was grateful
[00:45:41.140 --> 00:45:47.480]   for the blessing of community because, um, you know, there were other individuals who could speak
[00:45:47.480 --> 00:45:53.400]   truth into my life, who can maybe keep an eye on my children for five minutes so that I could have a
[00:45:53.400 --> 00:45:59.240]   conversation with a friend or go to the bathroom. That's right. Most importantly, go to the bathroom,
[00:45:59.240 --> 00:46:06.280]   get a snack, breathe, talk in complete sentences, all those things. Um, I am curious when you guys
[00:46:06.280 --> 00:46:10.980]   first began, um, and I already know the answer to this because one thing that I have not told you
[00:46:10.980 --> 00:46:16.140]   listeners is that both of these dear ladies are my friends, my personal friends and directors in the
[00:46:16.140 --> 00:46:22.560]   community in which I participate. So we know each other pretty well. Um, initially when you started this
[00:46:22.560 --> 00:46:28.100]   process, did you guys seek out a homeschooling community, recognizing that you needed that
[00:46:28.100 --> 00:46:34.880]   support? And I'm curious how the supportive community continues to shape your journey as
[00:46:34.880 --> 00:46:39.080]   homeschoolers now, because you've both already said you have younger children, but you also have older
[00:46:39.080 --> 00:46:45.680]   children. And I know for me personally, we're at the end. It makes me teary. We're at the end of our
[00:46:45.680 --> 00:46:50.940]   homeschooling journey as a family, at least with our three children that God has given to us. Now
[00:46:50.940 --> 00:46:55.640]   there may be opportunities to homeschool grandchildren down the line. So we'll cross that bridge when we
[00:46:55.640 --> 00:47:04.180]   come to it. But, um, you know, I'm curious, like how has community shaped your journey? Um, Dede,
[00:47:04.180 --> 00:47:09.800]   when you first came into homeschooling, did you immediately navigate toward a community or did you
[00:47:09.800 --> 00:47:16.000]   try to go it alone or how did that work out for you? I'm curious. Well, I initially started in the
[00:47:16.000 --> 00:47:20.820]   summertime with our, um, you know, just the books that we were reading. So we started with the boxcar
[00:47:20.820 --> 00:47:24.980]   children and the curriculum I used said, here's how you can pull out a science lesson from that.
[00:47:24.980 --> 00:47:31.280]   But I will speak to the idea of community can just be one person. Community can be that neighbor friend
[00:47:31.280 --> 00:47:37.420]   that I had said, you can do this because I had relationship with her already. And so community
[00:47:37.420 --> 00:47:42.760]   doesn't have to be this big group of people that maybe you don't really know. It can be that one
[00:47:42.760 --> 00:47:48.300]   person who has walked alongside you and says, I know you, I know your kids. I see what you're doing.
[00:47:48.300 --> 00:47:54.520]   You can do this. And it also helped being able to just watch her homeschool and step into her room
[00:47:54.520 --> 00:47:59.180]   every once in a while and say, Oh, you guys are doing math. Here's what it looks like. I wasn't
[00:47:59.180 --> 00:48:05.940]   necessarily seeking out community. Let's say it just kind of found me. And I think, again, that's the Lord
[00:48:05.940 --> 00:48:11.420]   leading me to this because I didn't even know what, you know, like whoever's listening. This is great
[00:48:11.420 --> 00:48:19.040]   that you're listening to this. I just, you know, I was like, Oh, okay. You can do this or that. And
[00:48:19.040 --> 00:48:26.040]   they just, I feel like it just found me. And then ultimately classical conversations was that broader
[00:48:26.040 --> 00:48:31.900]   community. But even within the broader community, I found relationship like with you guys. And when I was
[00:48:31.900 --> 00:48:38.600]   weary and I was low, I could just reach out and say, okay, how do we do this? Or how are you doing?
[00:48:38.600 --> 00:48:45.520]   And then encourage each other. And I think it's also interesting to how God will allow someone to
[00:48:45.520 --> 00:48:50.860]   come across your path that also has a need. So when we're feeling depleted and low, there's someone that
[00:48:50.860 --> 00:48:56.300]   needs advice or a word. And you're like, you know what, you could do this, this, this. And suddenly you're
[00:48:56.300 --> 00:49:02.780]   not so low, right? Like it's just the way that we can see others as well that have needs. We all have
[00:49:02.780 --> 00:49:07.540]   needs. So I don't know if that answers your question, but yeah.
[00:49:07.540 --> 00:49:13.420]   It does. What about you, Lynn? Were you naturally drawn to community at first or did you start this
[00:49:13.420 --> 00:49:18.540]   alone? I'm just curious because we're all three in community together now. And I know we've had
[00:49:18.540 --> 00:49:22.860]   conversations about community and the value of it. So I'm curious what your experience was.
[00:49:23.300 --> 00:49:30.460]   Yeah. I can remember when my oldest was four, four months, four months old. My, um, I think it was
[00:49:30.460 --> 00:49:35.720]   through a sermon I heard or something. I was like, I'm starting a mom's group. So we had a mom's group
[00:49:35.720 --> 00:49:42.260]   from the time she was four months old. And that really informed my sort of like collection of knowledge
[00:49:42.260 --> 00:49:48.300]   about community. Um, it was not homeschool. It was just getting through that first year of life.
[00:49:48.300 --> 00:49:52.960]   A lot of talking about birth stories. That's part of that first year of life is processing through
[00:49:52.960 --> 00:50:01.000]   that, which is wonderful. Um, and then, um, so community to answer the question first and foremost
[00:50:01.000 --> 00:50:07.920]   is always been a part of my motherhood journey. Um, and then, so when my friend Emily said, well,
[00:50:07.920 --> 00:50:12.220]   we're up here, she, she lives in a different state, but we're doing CC. And I was like, Oh,
[00:50:12.220 --> 00:50:19.800]   I'll just do that. Um, it was, I think as I look back on natural outcropping of what I had already
[00:50:19.800 --> 00:50:25.180]   been doing that, obviously I'm going to need to meet with some ladies once a week. Like that's just
[00:50:25.180 --> 00:50:31.880]   part of my rhythm and routine. Um, I will say that we did CC for five years, the first five,
[00:50:31.880 --> 00:50:39.260]   and then we moved and, um, we didn't move far, but we moved far enough that I couldn't continue
[00:50:39.260 --> 00:50:46.840]   attending that community. And where we moved to, uh, there was no space for, they had four or five
[00:50:46.840 --> 00:50:53.860]   communities and they were chock full. And so I could not be a part of community. And so then it
[00:50:53.860 --> 00:51:00.320]   got taken away from me. And then I realized like, it was like oxygen. I was like, this is really
[00:51:00.320 --> 00:51:06.760]   difficult to do this without community. And I will say just the way that timeline works there, um,
[00:51:06.760 --> 00:51:13.720]   that not being in community for me led me to, um, that fall where I, I did send my kids to Christian
[00:51:13.720 --> 00:51:20.380]   school, which is, it's totally fine. I understand, but I just know that, um, the burnout of having no
[00:51:20.380 --> 00:51:27.960]   one around feeling alone, I'm in a new town. Um, it was enough to, to kind of, to get me really low.
[00:51:27.960 --> 00:51:35.640]   So, um, you know, after the, the Christian school stuff, it was COVID. So then it was like, well,
[00:51:35.640 --> 00:51:42.240]   obviously nobody's in community right now. I mean, family became community, family was community.
[00:51:42.240 --> 00:51:50.260]   Um, and so when the opportunity arose in 2021 for us to be a part of a community, I jumped on it all
[00:51:50.260 --> 00:51:57.900]   10 toes, like let's go. Um, because I knew that that would, would be life sustaining. And then moving
[00:51:57.900 --> 00:52:04.060]   to North Carolina again, I was like the first calls that I made when I knew we were coming here were to
[00:52:04.060 --> 00:52:10.380]   find a community. Absolutely. Absolutely. I would say if you are a parent who is standing on the edge,
[00:52:10.380 --> 00:52:16.320]   the precipice of homeschooling and you're thinking, you know, what are, what are the first steps that I
[00:52:16.320 --> 00:52:21.600]   need to take? I think that both of these ladies have, have alluded to the fact that you need to be in
[00:52:21.600 --> 00:52:30.260]   relationship, um, with either with your community of one, as Didi said, so, so lovely. We all begin with
[00:52:30.260 --> 00:52:37.020]   a community of one. There's one person perhaps who shares with you or encourages you, but then also
[00:52:37.020 --> 00:52:43.440]   getting to a place where you recognize the need to come into community and be surrounded by others who
[00:52:43.440 --> 00:52:49.260]   perhaps have the same mission or have the same goals. I would strongly encourage you to seek out
[00:52:49.260 --> 00:52:56.460]   a practicum near you this summer. Um, you know, I know that practicum is a great time where you can
[00:52:56.460 --> 00:53:01.600]   get together and you can sit across the table and have conversations with others who are contemplating
[00:53:01.600 --> 00:53:07.960]   the same things and where you can feel a camaraderie. Um, just like I feel with both of these wonderful
[00:53:07.960 --> 00:53:12.860]   friends. Um, just knowing that you can have conversations about these things, what God's calling
[00:53:12.860 --> 00:53:19.900]   you to what this looks like when it's fleshed out in your own home. So definitely go to classical
[00:53:19.900 --> 00:53:27.780]   conversations.com and do a search on the events tab that's on that page and see if you can locate a
[00:53:27.780 --> 00:53:33.940]   local practicum to attend so that you can begin to taste the first fruits of community, um, with others
[00:53:33.940 --> 00:53:39.580]   who are similarly called. So as we start to wind down this podcast, um, we could, we could probably
[00:53:39.580 --> 00:53:45.900]   record two or three hours, just a conversation together. Um, and you know, we are, we, we have
[00:53:45.900 --> 00:53:51.660]   talked about several things. We've talked about the importance of being connected, um, you know,
[00:53:51.660 --> 00:53:58.980]   spiritually to the one capital O who has called us to this, the importance of being connected to
[00:53:58.980 --> 00:54:05.500]   community, the importance of preparing yourself physically, mentally, spiritually, for what God has
[00:54:05.500 --> 00:54:11.740]   called you to. And I'm curious, um, both of you, um, I know personally have a rebellious streak.
[00:54:11.740 --> 00:54:19.340]   So I would love to, um, as we wind down this podcast, talk about what does being ready for
[00:54:19.340 --> 00:54:27.480]   homeschooling really mean? And I say being ready in air quotes and what are myths about readiness now that
[00:54:27.480 --> 00:54:34.580]   you're farther down this journey that you'd like to debunk. Um, and I'm going to lead off by saying
[00:54:34.580 --> 00:54:44.840]   that you will never be feel a hundred percent percent ready. And that is God's gift in your life.
[00:54:44.840 --> 00:54:53.680]   Um, because I think looking back, if I had felt 100% ready, what need did I have for God to sustain me
[00:54:53.680 --> 00:55:03.120]   daily? Um, don't negate his work, your reliance on him by feeling like you are self-sustaining and that
[00:55:03.120 --> 00:55:08.280]   you're self-sufficient and have all of the answers because homeschooling, what you will quickly
[00:55:08.280 --> 00:55:14.380]   discover is a walk of refinement. You begin thinking it's a refining for your children,
[00:55:14.380 --> 00:55:20.460]   but then somewhere along the way, you also discover that it's a refining for you as you redeem your own
[00:55:20.460 --> 00:55:28.320]   education academically and spiritually. So I'm curious, Didi, is there a myth you'd like to debunk
[00:55:28.380 --> 00:55:37.820]   about readiness? Wow. Um, I guess it sounds so simple. I almost want to say it. You just,
[00:55:37.820 --> 00:55:45.980]   you just have to care. You just have to, it's a heart decision, honestly. Like I know I've said that
[00:55:45.980 --> 00:55:53.980]   before, but if you care about your kids, the fact that you're listening to this, whoever's listening to
[00:55:53.980 --> 00:56:00.140]   this, you're ready because you want to know more. You want to understand that's what it takes. Cause
[00:56:00.140 --> 00:56:05.800]   that will continue to lead you to the right curriculum and the right community and all those
[00:56:05.800 --> 00:56:11.760]   things because you care about how your kids are being educated. So I feel like maybe the myth I'd
[00:56:11.760 --> 00:56:19.280]   like to debunk is that you have to have everything set up beforehand. Um, that is a myth. You do learn as
[00:56:19.280 --> 00:56:24.380]   you go as with everything. I mean, if you were to take an archery class, you don't have to know how
[00:56:24.380 --> 00:56:30.760]   to do it before you start, you show up. So you just show up with your kids, you show up with your heart
[00:56:30.760 --> 00:56:38.340]   in the right place with the Lord and you will homeschool your kids. So I love that. I love that.
[00:56:38.340 --> 00:56:45.560]   All right. Then another myth to debunk. Yeah. I mean, I can't echo enough. You'll never be ready.
[00:56:45.560 --> 00:56:52.600]   You'll never be enough. It's all, all the things like, um, but I think that there is value in saying,
[00:56:52.600 --> 00:56:59.320]   um, that, you know, when, when the babies were little, right. They would be like in, in some new
[00:56:59.320 --> 00:57:04.060]   stage. Right. And I would be like, Oh, well, she usually takes a nap between dah, dah, dah, dah, dah.
[00:57:04.060 --> 00:57:09.680]   Or she usually really likes this food or whatever. And I figured out so quickly that we just aren't
[00:57:09.680 --> 00:57:13.540]   going to do that anymore. We're just not going to say what she usually does because that'll be the day
