
[00:00:00.080 --> 00:00:04.720]   Traveling for free isn't just about earning points, it's about using them smartly.
[00:23:13.380 --> 00:23:17.700]   So if you find an amazing deal and you don't have the points, that doesn't mean you can't take advantage of it.
[00:23:17.700 --> 00:23:18.880]   So let's jump into the tactics.
[00:23:18.880 --> 00:23:22.180]   So the first one I want to talk about is finding award sweet spots.
[00:23:22.180 --> 00:23:29.140]   And the thing that's interesting is that every different airline has a different way that they price flights using their points and miles.
[00:23:29.500 --> 00:23:34.560]   And sometimes they have one way they price flights on their own airline and then another way if you're using a partner airline.
[00:23:34.560 --> 00:23:39.420]   And some of those are dynamic, meaning they don't actually have an award chart.
[00:23:39.420 --> 00:23:41.020]   They don't tell you how much it's going to cost.
[00:23:41.020 --> 00:23:42.360]   You don't know until you search.
[00:23:42.360 --> 00:23:47.920]   And a lot of the U.S. airlines have started adopting that program where you just search and it just tells you a price.
[00:23:48.100 --> 00:23:53.320]   Now, if you've done this enough, you kind of have a sense of, oh, when it's low, it's going to be about this.
[00:23:53.320 --> 00:23:58.140]   But when it's high, it's somewhat correlated to the flight price and it could be quite expensive.
[00:23:58.140 --> 00:24:03.580]   But other airlines have either distance charts or zone-based charts.
[00:24:03.580 --> 00:24:10.040]   And so Air Canada, for example, on their partner airline chart, there's actually a set price depending on where you go.
[00:24:10.040 --> 00:24:12.080]   For some airlines, that's based on distance.
[00:24:12.080 --> 00:24:18.180]   So you can go up to 12,000 miles or something from a destination and it's going to be the same price.
[00:24:18.180 --> 00:24:26.800]   But the reason I bring this up is because for each program, there are some really, really great sweet spots that can be awesome ways to take advantage of points and miles.
[00:24:26.800 --> 00:24:35.480]   So Turkish Airlines, for example, charges 7,500 miles for one way and economy within the continental U.S., but that includes Hawaii.
[00:24:35.480 --> 00:24:41.960]   So if you can find space on United to Hawaii within the U.S., you can get that for only 7,500 miles.
[00:24:41.960 --> 00:24:44.960]   That flight on United might be 25,000 miles or more.
[00:24:44.960 --> 00:24:47.400]   British Airways uses a distance-based award chart.
[00:24:47.400 --> 00:24:50.620]   So it can be really fantastic for really, really short flights.
[00:24:50.620 --> 00:24:57.560]   So flights under 650 miles might be as little as 4,500, obviously, in one-way economy.
[00:24:57.560 --> 00:25:00.860]   Maybe you're going from Miami to the Bahamas or Hong Kong to Taiwan.
[00:25:00.980 --> 00:25:11.900]   Being able to do it for that small, small number of points and miles in a scenario where that cash price might be way, way higher and the price that most U.S. programs charge might be way higher.
[00:25:11.900 --> 00:25:16.440]   So you can start to learn if you search for sweet spots getting to a certain place.
[00:25:16.440 --> 00:25:19.560]   That can be really, really powerful to find great deals.
[00:25:19.560 --> 00:25:22.720]   Then on the hotel side, Hilton free night certificates have no cap.
[00:25:22.720 --> 00:25:32.440]   So the sweet spot with Hilton free night certificates is finding those hotels that cost the most, which in a recent devaluation, I think now it's up to 180,000 or 200,000 points a night.
[00:25:32.440 --> 00:25:38.860]   And for people who are using Hilton points, that's a bummer because it might have gone up 50% in terms of the number of points you need.
[00:25:38.860 --> 00:25:43.340]   But if you have free night certificates, at least right now, that doesn't really matter to you.
[00:25:43.340 --> 00:25:46.220]   It doesn't matter if the hotel is 180,000 or 30,000.
[00:25:46.220 --> 00:25:50.700]   Those free night certificates work no matter what the price is, as long as it's a standard award.
[00:25:51.080 --> 00:25:55.400]   Now, sometimes you'll go to Hilton and it'll say 2.8 million points for this room.
[00:25:55.400 --> 00:25:57.200]   Those don't work for free night certificates.
[00:25:57.200 --> 00:25:59.080]   That's their dynamic pricing.
[00:25:59.080 --> 00:26:00.880]   Definitely want to steer clear there.
[00:26:00.880 --> 00:26:03.240]   Next, let's talk about transfer bonuses.
[00:26:03.240 --> 00:26:12.780]   I briefly mentioned earlier that, you know, if you were looking at a Virgin Atlantic flight and it was 47,000 points, transferring from Chase right now because there's a bonus makes it even more compelling.
[00:26:12.780 --> 00:26:21.020]   And so right now, there's 30% bonus transferring from Amex to Avios, 25% from Amex to Hilton, 25% from Citi to Wyndham.
[00:26:21.020 --> 00:26:22.460]   And these are changing all the time.
[00:26:22.460 --> 00:26:25.240]   So don't read into anything I just shared.
[00:26:25.240 --> 00:26:28.300]   By the time this comes out, all of those will probably be expired.
[00:26:28.300 --> 00:26:35.680]   But I looked back over the last few years and every year since 2021, there's been over 50 different transfer bonuses.
[00:26:36.220 --> 00:26:40.460]   And in 2025, just in the first five months, there's already been 30.
[00:26:40.860 --> 00:26:42.960]   So transfer bonuses are amazing.
[00:26:42.960 --> 00:26:48.320]   They typically range from 15% to 20% all the way up to 50%.
[00:26:48.320 --> 00:26:54.300]   Except in the case of built, they have these crazy transfer bonuses sometimes that have been as high as 100% to 200%.
[00:26:54.300 --> 00:27:00.280]   So transferring one built point into two or sometimes three miles in another program.
[00:27:00.280 --> 00:27:00.920]   Pretty amazing.
[00:27:00.920 --> 00:27:08.220]   But the transfer bonuses are only when you transfer the points from that transferable currency to that airline or hotel group.
[00:27:08.220 --> 00:27:09.280]   And they're not reversible.
[00:27:09.740 --> 00:27:18.140]   So as much as I love the fact that there are these amazing deals, I encourage people not to necessarily jump in and take advantage of them until they're ready to book.
[00:27:18.660 --> 00:27:23.780]   Unless you're really, really comfortable with that program and you know how you're going to use those points in the future.
[00:27:23.780 --> 00:27:27.420]   And I say that because I was really comfortable with Air France.
[00:27:27.420 --> 00:27:31.780]   And so I transferred in some points to book a flight that we weren't sure if we were going to take.
[00:27:31.780 --> 00:27:33.220]   We ended up not taking it.
[00:27:33.220 --> 00:27:35.820]   And I felt really comfortable about Air France.
[00:27:35.820 --> 00:27:37.560]   So I felt comfortable with that deal.
[00:27:37.560 --> 00:27:45.120]   Well, it turns out that Air France last year, the year before, was really generous at releasing European award space in business class.
[00:27:45.120 --> 00:27:47.700]   This year, they have not been quite as generous.
[00:27:47.700 --> 00:27:54.840]   So I have some Air France points and I don't have an easy way to use them anymore until they start, hopefully, releasing more space.
[00:27:54.840 --> 00:27:58.480]   So just keep in mind that those transfers are not things that you can reverse.
[00:27:58.480 --> 00:28:10.000]   But if you're looking to book a trip and those transfer bonuses are happening, it can just further reduce the number of points you need to have if you're starting with transferable points in Chase, Amex, Capital One, etc.
[00:28:10.000 --> 00:28:13.500]   In addition to transfer bonuses, they're often award sales.
[00:28:14.000 --> 00:28:21.700]   So flying blue regularly, as much as they might not make wide open U.S. to Europe inventory as pervasive as it used to be.
[00:28:21.700 --> 00:28:24.240]   They do have these promo rewards every month.
[00:28:24.240 --> 00:28:26.100]   They can be 25 to 50% off.
[00:28:26.100 --> 00:28:28.900]   And British Airways often does off-peak pricing.
[00:28:28.900 --> 00:28:30.540]   And these are things we put in the newsletter.
[00:28:30.540 --> 00:28:34.520]   Anytime there are new transfer bonuses, airline mileage promo rewards.
[00:28:34.640 --> 00:28:38.600]   So if you're not subscribed, allthehacks.com slash email if you want to stay on top of that.
[00:28:38.600 --> 00:28:43.540]   The next tip is to almost always book your award travel with one-way flights.
[00:28:43.540 --> 00:28:44.760]   There's a couple reasons for this.
[00:28:44.760 --> 00:28:46.660]   One, you don't have to book roundtrip.
[00:28:46.660 --> 00:28:51.760]   When you book a lot of international roundtrip flights with cash, you get a much better deal than one-ways.
[00:28:51.940 --> 00:29:01.960]   But with miles and points, there's almost never a scenario, except for maybe one or two programs that I don't use that often, where booking two one-ways is different from a roundtrip.
[00:29:01.960 --> 00:29:07.980]   So I'm always booking one-ways, not just because of that, but because sometimes I don't find the availability on the other leg.
[00:29:08.420 --> 00:29:12.900]   So when we were looking to book these flights to Japan, we were trying to book them right as the schedule opened.
[00:29:12.900 --> 00:29:17.460]   If I wanted to wait to book a roundtrip, I would have had to wait until the return leg opened.
[00:29:17.460 --> 00:29:21.160]   And by then, maybe the outbound leg was already taken and there wasn't any availability.
[00:29:21.160 --> 00:29:23.280]   So we booked one-way trip to get to Japan.
[00:29:23.280 --> 00:29:28.260]   And then about 10 days later, when the schedule opened for the return flight, we booked those.
[00:29:28.260 --> 00:29:30.140]   So I'm booking one-ways.
[00:29:30.140 --> 00:29:31.600]   It gives you a lot more flexibility.
[00:29:31.600 --> 00:29:38.400]   It's easier to change or cancel because if you have a roundtrip, sometimes you have to call and get them to split it into two items.
[00:29:38.400 --> 00:29:42.880]   So you can cancel one leg in case something better pops up or you want to change it.
[00:29:42.880 --> 00:29:43.680]   That's why I love one-ways.
[00:29:43.680 --> 00:29:47.840]   I say almost all-ways because there are probably two scenarios I can think of.
[00:29:47.840 --> 00:29:54.400]   One, there are some airlines that might charge a fee both for canceling or booking an award flight.
[00:29:54.400 --> 00:29:59.140]   And so if they charge that fee based on the number of legs, then it doesn't matter.
[00:29:59.140 --> 00:30:04.340]   But if they charge it on a booking, then it might make more sense to book a roundtrip because you'd only pay the fee once.
[00:30:04.340 --> 00:30:06.340]   Whereas two one-ways, you might pay the fee twice.
[00:30:06.340 --> 00:30:16.520]   And then the other one is there are some regions, and this is pretty common flying out of the UK and sometimes Europe, where if you have a trip that originates in that region, it might be more expensive.
[00:30:16.520 --> 00:30:27.360]   And so there might be cases where booking a roundtrip to Europe is slightly cheaper than booking two one-ways because the taxes and fees might be a little higher on the return.
[00:30:27.360 --> 00:30:29.420]   This is one where I've read it.
[00:30:29.420 --> 00:30:31.480]   I haven't seen it in practice that often.
[00:30:31.680 --> 00:30:36.180]   So I'd encourage you to go look around, but it's not one that I would think too long and hard about.
[00:30:36.180 --> 00:30:40.340]   In fact, until finding it, researching this episode, it's not one I even considered.
[00:30:40.340 --> 00:30:43.080]   But now that I found it, I feel obliged to share it.
[00:30:43.240 --> 00:30:49.560]   This episode is brought to you by Viori, which is amazing because they are one of only the few brands I wear almost every single day.
[00:30:49.560 --> 00:30:50.600]   I've got a shirt on.
[00:30:50.600 --> 00:30:52.080]   I've got the core shorts on.
[00:30:52.080 --> 00:30:56.400]   I love Viori, and I love that they bring a new perspective on performance apparel.
[00:30:56.400 --> 00:30:57.680]   It's so versatile.
[00:30:57.680 --> 00:31:05.220]   It can be used for just about any activity, whether it's running, training, swimming, yoga, or even lounging or running errands or going out to dinner.
[00:31:05.220 --> 00:31:08.620]   Seriously, I wear my Meta pants out for dinner all the time.
[00:31:09.080 --> 00:31:12.320]   But today I want to talk about their Dream Knit collection because it's amazing.
[00:31:12.320 --> 00:31:20.260]   It is super soft, lightweight, moisture wicking, but also has this amazing four-way performance stretch that makes it so comfortable.
[00:31:20.260 --> 00:31:24.280]   While it's almost impossible to narrow my Viori recommendations down to just one thing,
[00:31:24.280 --> 00:31:28.600]   I want you to check out the Ponto Performance Jogger for men or the Performance Jogger for women.
[00:31:28.600 --> 00:31:32.960]   I know me and my wife, Amy, absolutely love them and wear them all the time.
[00:31:33.180 --> 00:31:44.040]   Seriously, I think Viori is an investment in your happiness, and for everyone watching, they're offering 20% off your first purchase, plus free shipping on U.S. orders over $75 and free returns.
[00:31:44.040 --> 00:31:50.520]   So get yourself some of the most comfortable and versatile clothing on the planet at chrishutchins.com slash Viori.
[00:31:50.520 --> 00:31:52.340]   That's V-U-O-R-I.
[00:31:52.340 --> 00:31:58.080]   Again, that's chrishutchins.com slash Viori to discover the versatility of Viori clothing.
[00:31:58.080 --> 00:31:59.340]   Exclusions apply.
[00:31:59.340 --> 00:32:03.420]   Visit the website for full terms and conditions and find the link in the description.
[00:32:03.420 --> 00:32:06.020]   This episode is brought to you by Superhuman.
[00:32:06.340 --> 00:32:14.600]   Now, I've used Superhuman for years, and I think it's hands down the best way to do email, assuming you value your time, which I absolutely assume you do.
[00:32:14.600 --> 00:32:19.460]   That's because Superhuman is the ultimate solution for inbox decluttering and enhanced productivity.
[00:32:19.460 --> 00:32:26.360]   It's also the fastest email experience out there, and I'm certain I've saved dozens, if not hundreds of hours a year using Superhuman.
[00:32:26.360 --> 00:32:34.580]   They have every feature you could ever want built in, split inboxes for prioritizing what matters, keyboard shortcuts and snippets for everything.
[00:32:34.580 --> 00:32:40.300]   AI tools to draft responses and summarize emails, automated reminders and integrated calendars.
[00:32:40.300 --> 00:32:48.560]   And if you're using Superhuman for teams, you get shared conversations and drafts that will help you respond faster and reduce deal cycles.
[00:32:48.560 --> 00:32:52.460]   Best of all, Superhuman works with your existing Gmail or Outlook.
[00:32:52.460 --> 00:32:57.080]   So unless you love wasting away hours of your day to email, you have to check out Superhuman.
[00:32:57.080 --> 00:33:02.340]   And every one of you can get your first month free at chrishutchins.com slash superhuman.
[00:33:02.340 --> 00:33:05.760]   Again, that's chrishutchins.com slash superhuman.
[00:33:05.760 --> 00:33:09.840]   Or click the link in the description to get back hours of your time each week.
[00:33:09.840 --> 00:33:14.640]   The next trick is probably one of the ones I use the most of all of the tricks here.
[00:33:14.640 --> 00:33:25.040]   And it is to look at trying to book your long haul flight, sometimes separately from the flight from your home airport or to your final destination.
[00:33:25.040 --> 00:33:26.900]   And the reason why doesn't always make sense.
[00:33:26.900 --> 00:33:34.000]   Sometimes I've found that the hardest flight to find award availability on is the easiest one for me to pay for.
[00:33:34.100 --> 00:33:37.340]   And this has happened in the past where we were trying to get from San Francisco to Europe.
[00:33:37.340 --> 00:33:45.760]   And I could not find an award flight to get to Los Angeles to connect to the Los Angeles to Europe flight that was available.
[00:33:45.760 --> 00:33:48.560]   So I just booked Los Angeles to Europe.
[00:33:48.560 --> 00:33:52.020]   And then we bought a paid flight from San Francisco to Los Angeles.
[00:33:52.260 --> 00:34:01.780]   Now, depending on the airline, if you see that San Francisco to Los Angeles flight pop up in the future, you can absolutely call the airline and see if they will add it on to your itinerary for free.
[00:34:01.780 --> 00:34:03.620]   Maybe they won't, maybe they will.
[00:34:03.620 --> 00:34:17.080]   But at the end of the day, a lot of these positioning flights that either get you from your home airport to that long haul international flight or from your destination on the long haul international flight to your final destination, they're very inexpensive.
[00:34:17.380 --> 00:34:32.820]   So last year or the year before, when we were going to Europe, we wanted to go to the island of Mallorca and getting to Mallorca with points and miles would require me finding a carrier that flies from the U.S. to Europe because there are no direct flights to Mallorca.
[00:34:32.820 --> 00:34:36.080]   But I would also have to find a carrier that flew to Mallorca.
[00:34:36.080 --> 00:34:46.200]   And of all the airlines and their partners that fly to Europe, I would guess that a small number of them also have flights to Mallorca from the airport they fly to in Europe.
[00:34:46.460 --> 00:34:49.300]   So searching SFO to Mallorca was basically zero.
[00:34:49.300 --> 00:34:51.720]   There were zero flights I could find using points and miles.
[00:34:51.720 --> 00:34:58.160]   But searching SF to Paris and then coming home from Zurich back to SF was easy.
[00:34:58.160 --> 00:34:59.300]   We found amazing deals.
[00:34:59.300 --> 00:35:07.120]   And it turns out the flights from Paris and Zurich to Mallorca were like $50, $60 on Transavia and Condor.
[00:35:07.120 --> 00:35:18.600]   So absolutely every time I'm looking for trips, I'm trying to search from a region to a region looking for those flights that can get me across the ocean, get me 90% of the way there.
[00:35:18.600 --> 00:35:29.880]   And that's one of the things that a lot of these tools do now is you can search for West Coast airports or USA to Europe or put in six or seven different airports if you're not flexible with all of Europe.
[00:35:29.960 --> 00:35:31.900]   But I will flag one important thing.
[00:35:31.900 --> 00:35:44.320]   If you are booking flights separately, they're not on the same itinerary, you are not going to be protected if the first flight is late or you miss a connection or, you know, your bags aren't going to be transferred usually over.
[00:35:44.480 --> 00:35:46.680]   So you're going to have to make sure you leave time to collect them.
[00:35:46.680 --> 00:35:47.780]   So that's just something I consider.
[00:35:47.780 --> 00:35:58.840]   Now, when I think about those positioning flights, if it's a positioning flight from my home airport to the airport I'm flying internationally from, I'm probably a little more risk averse and don't want to cut it too tight.
[00:35:58.840 --> 00:36:04.560]   Because if a flight's an hour or two late and then you miss your long haul flight, that could be pretty costly mistake.
[00:36:04.560 --> 00:36:12.620]   Whereas if I'm flying from San Francisco to Europe and I have this connecting flight to Spain, I want to leave enough time that I can collect my bags and go through immigration.
[00:36:12.840 --> 00:36:16.340]   But the worst, worst case is that I might have to miss that flight.
[00:36:16.340 --> 00:36:21.620]   And if I can't get the airline to give me another one, I might have to buy another one and it might be a few hundred dollars.
[00:36:21.620 --> 00:36:26.940]   But I'm not missing that long haul international flight, which is going to be a much harder thing to replace.
[00:36:26.940 --> 00:36:28.500]   So keep that in mind.
[00:36:28.500 --> 00:36:33.860]   And if you really want to be risk averse, you can code the night before or you can leave a really long layover.
[00:36:33.860 --> 00:36:40.140]   And fortunately, if you have the right credit cards, you can have lounge access and you can at least make that long layover a little more enjoyable.
[00:36:40.380 --> 00:36:43.300]   Next tip is to take advantage of stopovers and open jaws.
[00:36:43.300 --> 00:36:47.660]   Now, if you're not familiar with open jaws, it's where you fly into one city and fly out of another.
[00:36:47.660 --> 00:36:54.840]   In a world where we're almost always booking one-way flights, it's not really a perk that matters because you could just book two one-way flights.
[00:36:55.240 --> 00:37:09.680]   But if you're in one of those scenarios where you're redeeming points and the fees or the regions make it such that it's really more advantageous to book a round trip, but you want to hit up two cities, it might be very possible to book it as an open jaw.
[00:37:09.680 --> 00:37:12.260]   And that is often allowed with programs.
[00:37:12.260 --> 00:37:14.640]   But again, if you're booking one-ways, it doesn't matter.
[00:37:14.640 --> 00:37:30.260]   So for example, if you were flying from your home airport to city one, added a stopover and then flew to city B, then you on your own went from that second destination and bought a flight or a train or a bus to third destination.
[00:37:30.260 --> 00:37:41.500]   And then booked an award from that third destination home, you would actually be able to visit all three destinations with two one-way flights, one with a stopover, only having to buy that one flight in the middle.
[00:37:41.500 --> 00:37:50.660]   And like I said earlier, if that one flight happens to be very close together, maybe you'll get an amazing deal for under 5,000 points with a program like British Airways Obios.
[00:37:51.340 --> 00:37:54.760]   So taking advantage of stopovers lets you hit two places in one.
[00:37:54.760 --> 00:37:57.340]   You can do it on the outbound, you can do it on the return.
[00:37:57.340 --> 00:38:02.920]   Many programs have a limit of one stopover, so you're not going to be able to stop 15 different times on your trip.
[00:38:02.920 --> 00:38:11.500]   But that's again where you can look and say which airlines are the best for stopovers, and you'll get a lot of answers, whether it's ChatGPT or just a search online.
[00:38:11.500 --> 00:38:13.560]   The next tactic is mixed cabin awards.
[00:38:13.560 --> 00:38:16.080]   And this has both a pro and a con.
[00:38:16.460 --> 00:38:23.280]   So most of the times, there's actually no discount if part of your trip is in economy and the rest of it is in business.
[00:38:23.280 --> 00:38:30.600]   And so you want to make sure that you're keeping an eye on this because there are some websites where they'll say this is a mixed cabin award.
[00:38:30.600 --> 00:38:35.480]   And if you don't look into what that mixed cabin is, so let's say you're going from San Francisco to LA to Japan.
[00:38:35.480 --> 00:38:39.720]   If that San Francisco to LA flight is an economy and the long haul is in business, that's great.
[00:38:39.720 --> 00:38:40.920]   That might be totally fine for you.
[00:38:40.920 --> 00:38:49.860]   But if the opposite is true and it says first class, but it's actually just first class to LA and then economy to Japan, that's going to be a terrible redemption of points.
[00:38:49.860 --> 00:38:57.280]   However, where this can become valuable is sometimes those domestic legs are really tough to find in business class.
[00:38:57.280 --> 00:39:15.240]   And so if you can't find San Francisco to Tokyo in business class because you're only looking for 100% business class, you might be able to find an award where you fly in coach to a connecting city in Seattle or Los Angeles and then connect on in business class.
[00:39:15.240 --> 00:39:21.520]   So that's something that's interesting and a way to book that positioning flight as part of the same award just in a different cabin.
[00:39:21.520 --> 00:39:33.340]   However, there are a few programs, I think Life Miles and Cathay Pacific are two, where they average out the award based on what percentage of the distance is in economy versus business.
[00:39:33.340 --> 00:39:45.400]   So if you were flying from, I don't know, San Francisco to New York to London, and you're okay doing the San Francisco to New York in economy, but you really wanted to do the New York to London in business class, that actually might be one.
[00:39:45.400 --> 00:39:50.280]   If you booked through Life Miles or Cathay Pacific, you'd get a much lower price because they're going to average that out.
[00:39:50.280 --> 00:39:54.600]   When I talk about hidden city ticketing, I'll talk about how this could actually be something you use to your advantage.
[00:39:54.600 --> 00:40:01.440]   Now, this next tip is one I use all the time, and it's that I try to book flights that will work, but maybe they're not ideal.
[00:40:01.440 --> 00:40:04.800]   And then I set up alerts to try to find the flights I really want.
[00:40:04.800 --> 00:40:08.400]   And that gives me the comfort of knowing that the trip is booked.
[00:40:08.400 --> 00:40:13.940]   We don't have to wait until seven days before departure to know that we're actually going on this trip.
[00:40:13.940 --> 00:40:19.200]   So maybe you really want to fly business class, but you end up booking premium economy one way.
[00:40:19.200 --> 00:40:26.160]   Maybe you really want direct flights, but you end up booking a flight to change planes in another city because that will work, even if it's not ideal.
[00:40:26.160 --> 00:40:31.800]   Maybe you really want to stay till Sunday, but you decide that you book a flight coming back Saturday because you found it.
[00:40:31.800 --> 00:40:33.120]   We do this all the time.
[00:40:33.120 --> 00:40:37.680]   And then most of these award search tools have the ability to set up alerts.
[00:40:37.680 --> 00:40:44.640]   To take my previous example, we booked two flights to Japan where me and one of my daughters is on one, my wife and the other daughters on the other.
[00:40:44.640 --> 00:40:48.000]   But we have 11 months until we're leaving.
[00:40:48.000 --> 00:40:51.080]   So I went in and put alerts on both of those flights.
[00:40:51.080 --> 00:41:02.720]   So if two seats open up on either of those flights or if four seats open up on any other flight that day, we'll be able to easily cancel or change our flights so that we're all on the same flight.
[00:41:02.840 --> 00:41:19.960]   And so I remember I told my wife, you know, yeah, it's not ideal that we're on two separate flights, but if I had to put odds on it, my gut says that there's a greater than 50% chance that between now and the day of departure that we are all on the same flight.
[00:41:19.960 --> 00:41:25.400]   And very, very often a lot of these seats open up in the final days or even hours.
[00:41:25.400 --> 00:41:32.280]   Some of the searches I was doing today, kind of prepping for this episode, there was amazing inventory for flights that took off in the next 24 hours.
[00:41:32.280 --> 00:41:39.680]   It would be very stressful for me and my wife and the whole family if we were planning our flights and travel 24 hours out.
[00:41:39.680 --> 00:41:44.280]   But if we know, hey, we're leaving this day, we've got two separate flights, but we're leaving this day.
[00:41:44.600 --> 00:41:53.200]   If six hours before I can change that flight to all four of us on the same flight, that doesn't really change anything because we were already prepared to leave that day.
[00:41:53.200 --> 00:42:02.600]   Or if we were booked in premium economy and one hour before departure, business class opened up, which has happened multiple times because they open up this last minute inventory.
[00:42:02.600 --> 00:42:05.680]   I log on, change, move to business class, amazing.
[00:42:05.680 --> 00:42:09.980]   So if those kinds of changes happen last minute, it doesn't really throw us off the game.
[00:42:09.980 --> 00:42:12.780]   It makes things better, totally fine with it.
[00:42:12.860 --> 00:42:18.100]   So one of the things I'm always doing, I'm booking flights that could work, setting alerts for better flights.
[00:42:18.100 --> 00:42:20.820]   Or if there's no flights that work at all, I'll set alerts.
[00:42:20.820 --> 00:42:28.500]   If we knew we wanted to go to Japan and I couldn't find anything, I'll just set alerts for all the West Coast cities flying to Japan for at least two people.
[00:42:28.500 --> 00:42:32.080]   And I'll wait until I get an email and inevitably something will open up.
[00:42:32.080 --> 00:42:36.860]   And we actually did that because I was thinking, why not spread our options out?
[00:42:36.960 --> 00:42:44.920]   Now, obviously, sometimes booking multiple flights that you won't end up taking requires you to have more points and miles and have them in different programs.
[00:42:44.920 --> 00:42:47.940]   So I get that that's not something that might be easy out the gate.
[00:42:47.940 --> 00:42:52.160]   And it's certainly not something where you'd want to buy points to be able to have backup flights.
[00:42:52.280 --> 00:42:55.140]   But the last tactic in this section is backup flights.
[00:42:55.140 --> 00:43:02.980]   And so if you have enough points and miles in different programs, especially now that a lot of programs have very, very flexible cancellation policies.
[00:43:03.580 --> 00:43:07.880]   I will, every now and then, when I think it might be necessary, book a backup flight.
[00:43:07.880 --> 00:43:13.520]   We've all probably been at the airport in a scenario where a flight was canceled or significantly delayed.
[00:43:13.520 --> 00:43:23.560]   If you already have a backup booked and that backup can be canceled up until departure for no penalty, there's not a lot of reason not to do it as long as you don't need those points and miles.
[00:43:23.560 --> 00:43:31.060]   And so I remember when we were coming back from Hawaii, I just booked a second flight just in case we show up and something was canceled and we wanted to get home.
[00:43:31.060 --> 00:43:35.420]   We had it. Turns out nothing was wrong. Canceled the flight. Got all the points back.
[00:43:35.420 --> 00:43:38.400]   Again, keep in mind, transfers to programs are irreversible.
[00:43:38.400 --> 00:43:44.140]   So this doesn't work well if you want to make sure you keep your points as flexible as possible.
[00:43:44.140 --> 00:43:52.040]   But if you already have points, especially in programs like Delta, American, Alaska and United, where booking and canceling has no penalties and no fees,
[00:43:52.040 --> 00:43:55.380]   then this is something I use all the time just to make sure we're backed up.
[00:43:55.380 --> 00:44:01.880]   I also use it for domestic flights with carriers like Southwest just to make sure there's another option if something were to go wrong.
[00:44:01.880 --> 00:44:07.260]   The next three things I want to talk about are things that kind of trip people up or can cause a lot of pain when you don't realize them.
[00:44:07.260 --> 00:44:12.960]   And I talked about fees and program rules above, but I'm just going to focus on one specific one, and that's the fuel surcharge.
[00:44:13.380 --> 00:44:22.380]   And if you look at the list of fees, it's usually denoted by YQ, and I want you to make sure you're always keeping an eye out for this because not every airline charges it.
[00:44:22.380 --> 00:44:31.500]   So if you're looking at an award flight and you see a really high fee, just like in that example earlier of the flight from Boston to Amsterdam, that doesn't mean all the partners are going to charge it.
[00:44:31.840 --> 00:44:37.040]   Now, if it's an airport tax, you're probably going to pay that everywhere, but if it's a fuel surcharge, you might not.
[00:44:37.040 --> 00:44:48.140]   Now, British Airways, Lufthansa and Emirates are notorious for high fuel surcharges, and United and Air Canada are awesome in the opposite direction in that they aren't charging those extra fuel surcharges.
[00:44:48.840 --> 00:44:55.460]   Most of the award search tools will show you these fuel surcharges, and many of them even have the ability to limit the amount of fees.
[00:44:55.460 --> 00:45:01.600]   So you can say, hey, I want to search for flights from the West Coast to Europe, but don't show me anything if the fees are more than $500.
[00:45:01.600 --> 00:45:04.460]   Now, keep in mind that high fees aren't always bad.
[00:45:04.460 --> 00:45:21.480]   In that example before, if your option is a $2,700 cash price, a 240,000 delta mile, or a 47,500 points plus $1,000, well, that $1,000 fee might feel like it burns, but it's way better than paying $2,700 to take that flight.
[00:45:21.480 --> 00:45:32.140]   Now, in that case, the flying blue option was way better, but in general, I would say just make sure you're accounting for those taxes and fees when you try to decide whether something was a good deal.
[00:45:32.140 --> 00:45:41.720]   Another important one is when you have those taxes and fees, there are credit cards that will extend all their travel benefits if you just pay the fees on that card.
[00:45:41.720 --> 00:45:44.200]   So the Chase Sapphire Reserve is one of the best ones here.
[00:45:44.200 --> 00:45:47.500]   You've got to go look at your card's list and guide to benefits.
[00:45:47.500 --> 00:46:00.080]   But with the Chase Reserve, even if you just pay the taxes and fees on the card, all those extra travel benefits, whether it's delayed flights, lost baggage, anything like that is going to be covered just by paying those taxes and fees.
[00:46:00.080 --> 00:46:06.440]   So make sure that you pay the taxes and fees on the right card so that you're covered for all the travel protections on that trip.
[00:46:06.440 --> 00:46:08.480]   This episode is brought to you by GELT.
[00:46:08.480 --> 00:46:12.740]   Now, when it comes to building wealth, taxes are such a big part of the strategy.
[00:46:12.740 --> 00:46:17.160]   And as tax time gets closer, getting prepared now is so important.
[00:46:17.160 --> 00:46:24.240]   And now that I'm working with GELT, I finally feel like I have a partner I can trust to handle everything for my personal and business taxes.
[00:46:24.560 --> 00:46:27.020]   You can think of GELT as the ultimate modern CPA.
[00:46:27.020 --> 00:46:35.400]   Of course, they have an in-house team of expert CPAs to work with who can help you determine the most effective tax strategies to minimize risk and grow your wealth.
[00:46:35.400 --> 00:46:42.820]   But they also have an amazing tech platform that gives you personalized guidance to maximize deductions, tax credits, and savings.
[00:46:42.820 --> 00:46:54.320]   Beyond that, the tax library you get access to as a client has dozens of in-depth guides on things like choosing retirement plans, taxes for parents, qualified business income or QBI, and much more.
[00:46:54.320 --> 00:47:01.620]   So if you're ready for a more premium, proactive tax strategy to optimize and file your taxes, definitely check out GELT.
[00:47:02.340 --> 00:47:05.000]   And as a viewer, you can skip the waitlist.
[00:47:05.000 --> 00:47:08.760]   Just head to chrishutchins.com slash GELT, G-E-L-T.
[00:47:08.760 --> 00:47:11.540]   Again, that's chrishutchins.com slash GELT.
[00:47:11.540 --> 00:47:15.320]   Or find the link in the description to stop overpaying on taxes.
