
[00:00:00.000 --> 00:00:02.000]   I'm now recording.
[00:29:55.000 --> 00:29:56.000]   Why would you do it privately?
[00:29:56.000 --> 00:29:57.000]   You're about to move the market.
[00:29:57.000 --> 00:29:59.000]   He wanted to move the market to zero.
[00:29:59.000 --> 00:30:00.000]   Yes.
[00:30:00.000 --> 00:30:01.000]   He's letting people know why,
[00:30:01.000 --> 00:30:04.000]   but he wanted to kill his competitor as Chamath was just saying.
[00:30:04.000 --> 00:30:06.000]   He's he wanted to kill his competitor.
[00:30:06.000 --> 00:30:07.000]   He told the market.
[00:30:07.000 --> 00:30:08.000]   I am.
[00:30:08.000 --> 00:30:09.000]   He was trying to do that.
[00:30:09.000 --> 00:30:12.000]   We got to back up here because I think we've done a lot of like 30,000 foot,
[00:30:12.000 --> 00:30:15.000]   like lessons and like takeaways from this whole thing,
[00:30:15.000 --> 00:30:18.000]   but we haven't really established what it is that SBF did wrong.
[00:30:18.000 --> 00:30:21.000]   So I think we need to sort of take a second to unmoddy the waters.
[00:30:21.000 --> 00:30:22.000]   Okay.
[00:30:22.000 --> 00:30:24.000]   And part of that,
[00:30:24.000 --> 00:30:27.000]   I think we should start with this idea of a run on the bank because the
[00:30:27.000 --> 00:30:30.000]   favorite, the press, you've been writing puff pieces about SBF.
[00:30:30.000 --> 00:30:33.000]   I'd say mainly Semaphore, which he was a big donor to.
[00:30:33.000 --> 00:30:34.000]   Yeah.
[00:30:34.000 --> 00:30:35.000]   Even trying to frame it as a run on the bank.
[00:30:35.000 --> 00:30:37.000]   And then that implies that it's not really his fault.
[00:30:37.000 --> 00:30:38.000]   It could happen to anybody.
[00:30:38.000 --> 00:30:40.000]   Lots of banks have had this problem.
[00:30:40.000 --> 00:30:41.000]   Okay.
[00:30:41.000 --> 00:30:42.000]   First of all, they're not a bank.
[00:30:42.000 --> 00:30:46.000]   Banks actually have the legal right under certain conditions to take customer
[00:30:46.000 --> 00:30:48.000]   deposits and loan them out.
[00:30:48.000 --> 00:30:49.000]   Okay.
[00:30:49.000 --> 00:30:50.000]   Yes, they did not.
[00:30:50.000 --> 00:30:53.000]   Their terms of use did not allow that as Stephanopoulos pointed out.
[00:30:53.000 --> 00:30:57.000]   SBF's answer to that was, well, we had this like margin account program.
[00:30:57.000 --> 00:31:00.000]   There were other provisions and other terms of use, but most of the customers
[00:31:00.000 --> 00:31:03.000]   who lost money, the vast majority did not opt into that program.
[00:31:03.000 --> 00:31:04.000]   They never agreed to that.
[00:31:04.000 --> 00:31:06.000]   So that's, that's point number one.
[00:31:06.000 --> 00:31:10.000]   Point number two is I think we need to, to look at this language of margin
[00:31:10.000 --> 00:31:11.000]   account.
[00:31:11.000 --> 00:31:12.000]   Okay.
[00:31:12.000 --> 00:31:18.000]   SBF's explanation of how customer money was siphoned off for his own
[00:31:18.000 --> 00:31:22.000]   personal use, IE to Alameda is that Alameda had a margin account.
[00:31:22.000 --> 00:31:26.000]   So I think we could perform a service here by explaining why it wasn't a
[00:31:26.000 --> 00:31:27.000]   margin account.
[00:31:27.000 --> 00:31:30.000]   And, you know, Jamal and you guys understand this really well.
[00:31:30.000 --> 00:31:34.000]   The way that a margin account works is the following.
[00:31:34.000 --> 00:31:35.000]   Okay.
[00:31:35.000 --> 00:31:38.000]   Because I think some of us have them set up with investment banks.
[00:31:38.000 --> 00:31:43.000]   You go to an investment bank, say Morgan Stanley, and you over, you post
[00:31:43.000 --> 00:31:46.000]   collateral, you actually over collateralize.
[00:31:46.000 --> 00:31:50.000]   So for example, you might take a hundred million dollars of stock posted at
[00:31:50.000 --> 00:31:55.000]   the investment bank, and then they will let you loan a certain percentage,
[00:31:55.000 --> 00:31:57.000]   nowhere near a hundred percent, maybe 50% of that.
[00:31:57.000 --> 00:32:04.000]   So if you have a very, very liquid security, you may get 50% coverage,
[00:32:04.000 --> 00:32:07.000]   which means if you posted a hundred million dollars, you could get a 50
[00:32:07.000 --> 00:32:08.000]   million dollar loan.
[00:32:08.000 --> 00:32:09.000]   Okay.
[00:32:09.000 --> 00:32:12.000]   So you have a hundred million in Amazon stock, you're some Amazon VP, you
[00:32:12.000 --> 00:32:13.000]   can get 50 million loans.
[00:32:13.000 --> 00:32:19.000]   And if it's a private asset, it's anywhere as high as 30%, 35%.
[00:32:19.000 --> 00:32:21.000]   But typically it's about 25%.
[00:32:21.000 --> 00:32:25.000]   My expectation is in a liquid token like this would have basically gotten
[00:32:25.000 --> 00:32:28.000]   five or 10% coverage ratio at the best of it.
[00:32:28.000 --> 00:32:31.000]   And then what happens is you have these maintenance values.
[00:32:31.000 --> 00:32:36.000]   So if all of a sudden the value of these entities multiplied by that
[00:32:36.000 --> 00:32:39.000]   percentage that you're allowed to loan falls below, you have to post money.
[00:32:39.000 --> 00:32:40.000]   That's how a margin account works.
[00:32:40.000 --> 00:32:42.000]   It's just, there is no free lunch in that.
[00:32:42.000 --> 00:32:44.000]   Yes, exactly.
[00:32:44.000 --> 00:32:48.000]   Let me just say quite simply, very simply what I, it appears this guy did.
[00:32:48.000 --> 00:32:52.000]   He took customer deposits in us dollars.
[00:32:52.000 --> 00:32:57.000]   He then converted those dollars into some other asset.
[00:32:57.000 --> 00:32:59.000]   And he had a mark on that asset.
[00:32:59.000 --> 00:33:01.000]   Let's call it a dollar a token.
[00:33:01.000 --> 00:33:04.000]   And then those dollars were moved to somewhere else.
[00:33:04.000 --> 00:33:08.000]   No, this is someone transferred in some other token.
[00:33:08.000 --> 00:33:13.000]   But we need to finish the explainer around the margin account.
[00:33:13.000 --> 00:33:14.000]   Okay.
[00:33:14.000 --> 00:33:17.000]   Because what SPF did is this.
[00:33:17.000 --> 00:33:21.000]   He took customer deposits, gave them to himself.
[00:33:21.000 --> 00:33:22.000]   Just be clear.
[00:33:22.000 --> 00:33:25.000]   No, he gave, he took customer deposits in us dollars.
[00:33:25.000 --> 00:33:27.000]   They were wired in.
[00:33:27.000 --> 00:33:28.000]   Correct.
[00:33:28.000 --> 00:33:32.000]   He took those dollars out and he put a fake token in and he called that.
[00:33:32.000 --> 00:33:33.000]   That's right.
[00:33:33.000 --> 00:33:37.000]   He said, therefore he said, the balance sheet is good.
[00:33:37.000 --> 00:33:40.000]   But the value of that token, it turns out isn't a dollar.
[00:33:40.000 --> 00:33:41.000]   It's 10 cents.
[00:33:41.000 --> 00:33:42.000]   That's right.
[00:33:42.000 --> 00:33:45.000]   It was his, it was his sort of, it was sort of his made up token that
[00:33:45.000 --> 00:33:50.000]   he tightly controlled the trading of and artificially prompted the price.
[00:33:50.000 --> 00:33:52.000]   By the way, it wasn't just FTT.
[00:33:52.000 --> 00:33:53.000]   Yeah.
[00:33:53.000 --> 00:33:54.000]   But here's the thing.
[00:33:54.000 --> 00:33:56.000]   It wasn't just the fact that his collateral was no good.
[00:33:56.000 --> 00:34:01.000]   It was also the fact that, and this is from the bankruptcy filing by the
[00:34:01.000 --> 00:34:05.000]   Enron trustee guy.
[00:34:05.000 --> 00:34:09.000]   He specifically said that Alameda, unlike every other margin account on
[00:34:09.000 --> 00:34:13.000]   the platform, had the auto liquidation provisions turned off.
[00:34:13.000 --> 00:34:15.000]   So wait, we have to finish the thought around how margin works.
[00:34:15.000 --> 00:34:18.000]   So like Tomas said, you over post collateral.
[00:34:18.000 --> 00:34:23.000]   And if the value of that collateral goes down or the, the, the, the, the
[00:34:23.000 --> 00:34:26.000]   position, your trading account, the value of that goes down, you either
[00:34:26.000 --> 00:34:31.000]   have to post more collateral or they will actually liquidate your collateral
[00:34:31.000 --> 00:34:33.000]   to pay off the loan.
[00:34:33.000 --> 00:34:36.000]   So Morgan Stanley will never lose money on a margin account.
[00:34:36.000 --> 00:34:37.000]   Never.
[00:34:37.000 --> 00:34:40.000]   The whole point is because they don't make money on it.
[00:34:40.000 --> 00:34:44.000]   They loan you the money at like, you know, a few percents, like very cheap.
[00:34:44.000 --> 00:34:45.000]   Yeah.
[00:34:45.000 --> 00:34:46.000]   Loan LIBOR plus.
[00:34:46.000 --> 00:34:47.000]   So exactly.
[00:34:47.000 --> 00:34:49.000]   That is not a risk account to them.
[00:34:49.000 --> 00:34:52.000]   And so in the, in the example, let's use an example.
[00:34:52.000 --> 00:34:56.000]   In the case of the VP at Amazon, who's got a hundred million in Amazon,
[00:34:56.000 --> 00:34:58.000]   they have a $50 million loan.
[00:34:58.000 --> 00:35:02.000]   If Amazon loses half its value, then that triggers the automatic selling
[00:35:02.000 --> 00:35:06.000]   of Amazon shares to get it back down to 50% coverage.
[00:35:06.000 --> 00:35:10.000]   So now you have to sell 25 million of Amazon shares.
[00:35:10.000 --> 00:35:13.000]   If the full 50 million was pulled down to get back down to 25 to 50%
[00:35:13.000 --> 00:35:14.000]   leverage.
[00:35:14.000 --> 00:35:15.000]   Yes.
[00:35:15.000 --> 00:35:19.000]   And they don't wait until like Amazon stock is at the exact level where
[00:35:19.000 --> 00:35:21.000]   now the collateral equals a hundred percent of the loan.
[00:35:21.000 --> 00:35:25.000]   They will keep that 50% loan to value and they will liquidate you, you
[00:35:25.000 --> 00:35:28.000]   know, and, and by the way, you can lose your entire amount, right?
[00:35:28.000 --> 00:35:31.000]   So, you know, this is why I'm trading a margin is so risky.
[00:35:31.000 --> 00:35:34.000]   Is that you can get wiped out completely, wiped out very, very quickly
[00:35:34.000 --> 00:35:38.000]   with a small move down because they are the custodians of that Amazon
[00:35:38.000 --> 00:35:39.000]   stock.
[00:35:39.000 --> 00:35:42.000]   They are holding it for you now and they have the right to sell it to
[00:35:42.000 --> 00:35:43.000]   cover your margin.
[00:35:43.000 --> 00:35:47.000]   You're saying that governor, that basic tenant, that basic safety
[00:35:47.000 --> 00:35:51.000]   control was turned off by Alameda and it's even more sinister.
[00:35:51.000 --> 00:35:56.000]   Alameda controlled like 90 or 95% of these FTT tokens and was owned
[00:35:56.000 --> 00:35:59.000]   by Sam Bankman fraud.
[00:35:59.000 --> 00:36:00.000]   So he owned that company.
[00:36:00.000 --> 00:36:02.000]   Then he claims he had no operating.
[00:36:02.000 --> 00:36:07.000]   Listen, what should have happened is with that collateral is that as
[00:36:07.000 --> 00:36:11.000]   the value of their position was going down and or as the value of the
[00:36:11.000 --> 00:36:14.000]   collateral was going down, it should have been liquidated to pay off
[00:36:14.000 --> 00:36:15.000]   the margin loan.
[00:36:15.000 --> 00:36:16.000]   And that did not happen.
[00:36:16.000 --> 00:36:19.000]   And the reason it didn't happen is that Alameda got a special
[00:36:19.000 --> 00:36:22.000]   exception on the platform to turn off auto liquidation.
[00:36:22.000 --> 00:36:24.000]   Therefore it was never a margin account.
[00:36:24.000 --> 00:36:27.000]   If even if it was a margin account, okay.
[00:36:27.000 --> 00:36:31.000]   And, and FTX somehow misadministered the margin account.
[00:36:31.000 --> 00:36:35.000]   It should never have taken other customers deposits and use them to
[00:36:35.000 --> 00:36:36.000]   pay back that money.
[00:36:36.000 --> 00:36:40.000]   What should have happened is if FTX was going to lose money on a margin
[00:36:40.000 --> 00:36:44.000]   account, that would hit the FTX corporate treasury.
[00:36:44.000 --> 00:36:45.000]   Okay.
[00:36:45.000 --> 00:36:48.000]   And when the FTX corporate treasury ran out, the company falls for
[00:36:48.000 --> 00:36:52.000]   bankruptcy then, and then all the other customers hold on their account
[00:36:52.000 --> 00:36:53.000]   is still there.
[00:36:53.000 --> 00:36:57.000]   Their money is there in segregated accounts and in bankruptcy, they get
[00:36:57.000 --> 00:36:58.000]   their money back.
[00:36:58.000 --> 00:37:03.000]   The idea that a margin account could ever cause another customer to
[00:37:03.000 --> 00:37:06.000]   lose money that like, whatever that is, that's not a margin.
[00:37:06.000 --> 00:37:07.000]   There's a great article.
[00:37:07.000 --> 00:37:08.000]   There's a great article.
[00:37:08.000 --> 00:37:11.000]   This one was a journalist that did his job properly.
[00:37:11.000 --> 00:37:12.000]   His name is David Z.
[00:37:12.000 --> 00:37:13.000]   Morris.
[00:37:13.000 --> 00:37:17.000]   He wrote an article in coin desk that summed up for anybody that's
[00:37:17.000 --> 00:37:21.000]   interested, all of the actual fraud and all of the crimes that were
[00:37:21.000 --> 00:37:24.000]   committed in excruciating detail.
[00:37:24.000 --> 00:37:27.000]   And what's so sad about all these interviews in this press tour is if
[00:37:27.000 --> 00:37:30.000]   anybody would just read this article, you can construct the right
[00:37:30.000 --> 00:37:33.000]   questions to ask this guy just based on this one article.
[00:37:33.000 --> 00:37:37.000]   But the point I wanted to make is that one of the most interesting
[00:37:37.000 --> 00:37:43.000]   insights was these guys had lost an enormous amount of money already in
[00:37:43.000 --> 00:37:45.000]   calendar year 21.
[00:37:45.000 --> 00:37:51.000]   And so this is what's so crazy, Jason, about you using language like
[00:37:51.000 --> 00:37:56.000]   rug pulling and nobody actually trying to be clear.
[00:37:56.000 --> 00:37:58.000]   Like you guys are giving this guy a hall pass.
[00:37:58.000 --> 00:38:02.000]   I'm not giving any, any industrious reporter could have found an
[00:38:02.000 --> 00:38:06.000]   employee who said, wait a minute, we just blew a $3 billion hole in
[00:38:06.000 --> 00:38:08.000]   our balance sheet and calendar year 21, 20.
[00:38:08.000 --> 00:38:11.000]   And now we're sitting here at the end of 22.
[00:38:11.000 --> 00:38:14.000]   Hold on.
[00:38:14.000 --> 00:38:15.000]   I need to respond.
[00:38:15.000 --> 00:38:17.000]   I am not giving him a pass.
[00:38:17.000 --> 00:38:22.000]   And for you to blame journalists who are reflecting the crime and not
[00:38:22.000 --> 00:38:26.000]   putting any light on VCs and the capital allocators who made this
[00:38:26.000 --> 00:38:29.000]   investment and who did no diligence and now put governance in it is the
[00:38:29.000 --> 00:38:30.000]   height of arrogance.
[00:38:30.000 --> 00:38:31.000]   Shama.
[00:38:31.000 --> 00:38:32.000]   This is not the press is not doing that.
[00:38:32.000 --> 00:38:34.000]   This is the VCs.
[00:38:34.000 --> 00:38:36.000]   Is the capital allocators fault.
[00:38:36.000 --> 00:38:39.000]   You're blaming the people who are telling the story after the crime
[00:38:39.000 --> 00:38:40.000]   story.
[00:38:40.000 --> 00:38:42.000]   They're covering the story.
[00:38:42.000 --> 00:38:43.000]   I can't handle the truth.
[00:38:43.000 --> 00:38:45.000]   Jason, they're covering the story.
[00:38:45.000 --> 00:38:46.000]   Can I get in here?
[00:38:46.000 --> 00:38:47.000]   Can I get in here?
[00:38:47.000 --> 00:38:50.000]   All right, listen, Jason, I will defend you against tomorrow saying
[00:38:50.000 --> 00:38:54.000]   that somehow you're, you know, that you're letting SPF off the hook.
[00:38:54.000 --> 00:38:56.000]   I know you don't want to let SPF.
[00:38:56.000 --> 00:38:58.000]   However, you are letting the press off the hook.
[00:38:58.000 --> 00:39:00.000]   And the reason why, hold on a second.
[00:39:00.000 --> 00:39:04.000]   The reason why you're using this inaccurate language like rug pulling
[00:39:04.000 --> 00:39:07.000]   and run on the bank when there was no run and there was no bank is
[00:39:07.000 --> 00:39:11.000]   because you've been infected by this language that the media has inserted
[00:39:11.000 --> 00:39:12.000]   into the discourse.
[00:39:12.000 --> 00:39:15.000]   The media, listen, hold on a second.
[00:39:15.000 --> 00:39:17.000]   Investors may have got it wrong last year.
[00:39:17.000 --> 00:39:20.000]   Investors may have got it wrong when they did that last round, but I
[00:39:20.000 --> 00:39:23.000]   think investors now understand what's happening, but the media is still
[00:39:23.000 --> 00:39:27.000]   covering for SPF by miss explaining what happened.
[00:39:27.000 --> 00:39:28.000]   Okay.
[00:39:28.000 --> 00:39:30.000]   Give me a percentage, Saks, of who's to blame here.
[00:39:30.000 --> 00:39:34.000]   VCs who invested and didn't set up any governance regulators who did
[00:39:34.000 --> 00:39:40.000]   not set rules around crypto and then three, the media, what percentage
[00:39:40.000 --> 00:39:44.000]   out of a hundred percent is the investors, the regulators and the
[00:39:44.000 --> 00:39:47.000]   press go three numbers.
[00:39:47.000 --> 00:39:50.000]   I would say that before the fraud got exposed, one third, one third,
[00:39:50.000 --> 00:39:54.000]   one third, one third each before the fraud got exposed, but they were
[00:39:54.000 --> 00:39:56.000]   all jointly and severally liable.
[00:39:56.000 --> 00:40:00.000]   But after the fraud has been exposed, no investor is still defending
[00:40:00.000 --> 00:40:01.000]   SPF.
[00:40:01.000 --> 00:40:04.000]   But I think that the investors who were swindled by him, they feel
[00:40:04.000 --> 00:40:05.000]   bad about it.
[00:40:05.000 --> 00:40:08.000]   So 30, 30, 30 is absurd.
[00:40:08.000 --> 00:40:11.000]   The press had no way to know the fraud was going on.
[00:40:11.000 --> 00:40:14.000]   Just like the VCs who put the money in.
[00:40:14.000 --> 00:40:16.000]   Jason, are you stupid?
[00:40:16.000 --> 00:40:20.000]   Like, wasn't it your stupid journalist that exposed the fraud at
[00:40:20.000 --> 00:40:21.000]   Theranos?
[00:40:21.000 --> 00:40:22.000]   He's the guy that went and did all the work.
[00:40:22.000 --> 00:40:24.000]   John Kerry, you should be celebrated.
[00:40:24.000 --> 00:40:25.000]   Hold on a second.
[00:40:25.000 --> 00:40:29.000]   John Kerry, you went and found this thing when nobody, when everybody
[00:40:29.000 --> 00:40:30.000]   else was like, this is perfect.
[00:40:30.000 --> 00:40:32.000]   It meets all of our priors.
[00:40:32.000 --> 00:40:33.000]   Let me finish, please.
[00:40:33.000 --> 00:40:34.000]   It meets all of our priors.
[00:40:34.000 --> 00:40:35.000]   This is great.
[00:40:35.000 --> 00:40:39.000]   And John Kerry was like, this doesn't pass the smell test to me.
[00:40:39.000 --> 00:40:40.000]   Let me go do some work.
[00:40:40.000 --> 00:40:42.000]   And he pulled one little string.
[00:40:42.000 --> 00:40:45.000]   And over the course of 18 months, he exposed the whole bloody thing.
[00:40:45.000 --> 00:40:46.000]   So hold on a second.
[00:40:46.000 --> 00:40:50.000]   So what is incredible to me is that it was possible to expose this
[00:40:50.000 --> 00:40:52.000]   thing before nobody did.
[00:40:52.000 --> 00:40:53.000]   I agree with David.
[00:40:53.000 --> 00:40:57.000]   It's about equal responsibility before, but afterwards, the bulk of
[00:40:57.000 --> 00:41:00.000]   the responsibilities now sits with regulators to clean it up and
[00:41:00.000 --> 00:41:01.000]   journalists to tell the truth.
[00:41:01.000 --> 00:41:02.000]   Okay.
[00:41:02.000 --> 00:41:05.000]   And now may I respond to that since you call me stupid?
[00:41:05.000 --> 00:41:07.000]   You are delusional.
[00:41:07.000 --> 00:41:11.000]   Number one, every one of those investors in Theranos could have
[00:41:11.000 --> 00:41:15.000]   taking a fucking blood test at two different places like Jean-Louis
[00:41:15.000 --> 00:41:19.000]   Gassier did and write a blog post and prove that Theranos didn't
[00:41:19.000 --> 00:41:20.000]   work.
[00:41:20.000 --> 00:41:22.000]   And they withheld disbelief.
[00:41:22.000 --> 00:41:25.000]   Investors putting in a hundred million dollars, including Rupert
[00:41:25.000 --> 00:41:29.000]   Murdoch, didn't even take a fucking blood test or tell one of their
[00:41:29.000 --> 00:41:30.000]   diligence teams to do it.
[00:41:30.000 --> 00:41:34.000]   The same thing happened here with the investors in FTX.
[00:41:34.000 --> 00:41:36.000]   They did zero diligence.
[00:41:36.000 --> 00:41:37.000]   They set up zero governance.
[00:41:37.000 --> 00:41:43.000]   This was a failure of the investors and the governance for 99% of
[00:41:43.000 --> 00:41:44.000]   the problem.
[00:41:44.000 --> 00:41:45.000]   And then regulators should have caught it.
[00:41:45.000 --> 00:41:48.000]   And the regulators in fact did catch Theranos.
[00:41:48.000 --> 00:41:49.000]   So you're completely wrong.
[00:41:49.000 --> 00:41:54.000]   Chamath again, the journalists come in after the fraud is happening.
[00:41:54.000 --> 00:41:57.000]   The investors and governance is responsible for stopping these
[00:41:57.000 --> 00:41:58.000]   things.
[00:41:58.000 --> 00:42:00.000]   FTX was a failure of governance and investors.
[00:42:00.000 --> 00:42:02.000]   And so was Theranos.
[00:42:02.000 --> 00:42:03.000]   The end.
[00:42:03.000 --> 00:42:04.000]   You're completely wrong.
[00:42:04.000 --> 00:42:07.000]   The question is post post exposure.
[00:42:07.000 --> 00:42:09.000]   Why are you guys obsessed with post?
[00:42:09.000 --> 00:42:10.000]   How about avoiding these things?
[00:42:10.000 --> 00:42:13.000]   You guys are blaming the story is ongoing because the story is
[00:42:13.000 --> 00:42:16.000]   ongoing journalists for something that is capital allocators
[00:42:16.000 --> 00:42:17.000]   responsibility.
[00:42:17.000 --> 00:42:19.000]   It is our responsibility to do diligence.
[00:42:19.000 --> 00:42:23.000]   It is our responsibility to create a board of directors that checks on
[00:42:23.000 --> 00:42:25.000]   Elizabeth Holmes and Sam.
[00:42:25.000 --> 00:42:26.000]   I didn't disagree.
[00:42:26.000 --> 00:42:29.000]   I just call me stupid.
[00:42:29.000 --> 00:42:32.000]   You just call me stupid for pointing out something that you refuse to
[00:42:32.000 --> 00:42:33.000]   accept.
[00:42:33.000 --> 00:42:34.000]   What are you talking about?
[00:42:34.000 --> 00:42:35.000]   I'm the biggest.
[00:42:35.000 --> 00:42:37.000]   I'm the older brother.
[00:42:37.000 --> 00:42:44.000]   I think that maybe you guys are giving a pass to the investors.
[00:42:44.000 --> 00:42:46.000]   You're doing a good impression again.
[00:42:46.000 --> 00:42:47.000]   I'm not doing Fredo.
[00:42:47.000 --> 00:42:48.000]   I'm not doing Fredo.
[00:42:48.000 --> 00:42:49.000]   You guys are being absurd.
[00:42:49.000 --> 00:42:53.000]   This is why people say that we're delusional on this podcast.
[00:42:53.000 --> 00:42:54.000]   Don't call him dumb.
[00:42:54.000 --> 00:42:57.000]   The reason people say we're delusional is that we won't take
[00:42:57.000 --> 00:42:58.000]   acceptance of this issue.
[00:42:58.000 --> 00:43:01.000]   Remember in Fish Called Wanda, like the guy you can't call dumb.
[00:43:01.000 --> 00:43:02.000]   Totally.
[00:43:02.000 --> 00:43:03.000]   He loses it.
[00:43:03.000 --> 00:43:04.000]   He goes berserk.
[00:43:04.000 --> 00:43:05.000]   No, I'm not going berserk.
[00:43:05.000 --> 00:43:06.000]   You guys have a blind spot.
[00:43:06.000 --> 00:43:08.000]   Capital allocators are responsible.
[00:43:08.000 --> 00:43:10.000]   He's like, don't call me dumb.
[00:43:10.000 --> 00:43:14.000]   I'm not going to defend any single one of those investors.
[00:43:14.000 --> 00:43:17.000]   I think that they did a horrible job too.
[00:43:17.000 --> 00:43:18.000]   It's a great episode.
[00:43:18.000 --> 00:43:24.000]   But the reality is I think that if you think that you can -- it's your
[00:43:24.000 --> 00:43:26.000]   decision to defend the mainstream media.
[00:43:26.000 --> 00:43:27.000]   I think that that's fine.
[00:43:27.000 --> 00:43:28.000]   I'm not defending them.
[00:43:28.000 --> 00:43:29.000]   No, you are.
[00:43:29.000 --> 00:43:30.000]   You said they have no responsibility.
[00:43:30.000 --> 00:43:31.000]   No, I'm blaming the VCs.
[00:43:31.000 --> 00:43:32.000]   It's different.
[00:43:32.000 --> 00:43:37.000]   The culpability is with the investor class that has not had proper
[00:43:37.000 --> 00:43:38.000]   governance and diligence.
[00:43:38.000 --> 00:43:41.000]   Jason, how many articles have been written excoriating them?
[00:43:41.000 --> 00:43:43.000]   Yeah, some.
[00:43:43.000 --> 00:43:44.000]   A lot.
[00:43:44.000 --> 00:43:45.000]   They look like fools.
[00:43:45.000 --> 00:43:46.000]   Yeah.
[00:43:46.000 --> 00:43:48.000]   Show me the Washington Post.
[00:43:48.000 --> 00:43:49.000]   Type into Capital.
[00:43:49.000 --> 00:43:52.000]   No, show me the Washington Post, New York Times that's like digging
[00:43:52.000 --> 00:43:56.000]   in to that malfeasance or that lack of oversight and holding them
[00:43:56.000 --> 00:44:00.000]   accountable in a way that you feel exposes this problem to create
[00:44:00.000 --> 00:44:01.000]   change.
[00:44:01.000 --> 00:44:06.000]   Well, if we look at Theranos, those people who invested, including
[00:44:06.000 --> 00:44:09.000]   Draper and --
[00:44:09.000 --> 00:44:10.000]   Just show me the examples.
[00:44:10.000 --> 00:44:13.000]   Rupert Murdoch, they really went after them for sure.
[00:44:13.000 --> 00:44:14.000]   Yeah.
[00:44:14.000 --> 00:44:15.000]   What about here?
[00:44:15.000 --> 00:44:19.000]   Wall Street Journal, one day ago, Sequoia Capital apologizes to its
[00:44:19.000 --> 00:44:20.000]   fund investors for FTX loss.
[00:44:20.000 --> 00:44:22.000]   Venture capital firm tells fund investors that --
[00:44:22.000 --> 00:44:23.000]   That's hard hitting.
[00:44:23.000 --> 00:44:25.000]   -- it will improve due diligence on future investments after 100
[00:44:25.000 --> 00:44:26.000]   billion loss.
[00:44:26.000 --> 00:44:27.000]   They really got them.
[00:44:27.000 --> 00:44:28.000]   They really got them.
[00:44:28.000 --> 00:44:29.000]   Let me read you.
[00:44:29.000 --> 00:44:33.000]   I'm going to read you a sentence from the New York Times coverage of
[00:44:33.000 --> 00:44:34.000]   SBF.
[00:44:34.000 --> 00:44:35.000]   I'm not defending that.
[00:44:35.000 --> 00:44:39.000]   Sam Banquet-Fried is neither a visionary nor a criminal mastermind.
[00:44:39.000 --> 00:44:43.000]   He is a human who made the same poor choice that generations of money
[00:44:43.000 --> 00:44:45.000]   managers have made before him.
[00:44:45.000 --> 00:44:46.000]   Are you effing kidding me?
[00:44:46.000 --> 00:44:48.000]   No, I'm not defending them.
[00:44:48.000 --> 00:44:49.000]   Yes, you are.
[00:44:49.000 --> 00:44:50.000]   I am not defending them.
[00:44:50.000 --> 00:44:53.000]   I just called Andrew Horne's token a suit.
[00:44:53.000 --> 00:44:56.000]   And then Semaphore, who was on the take, who received millions of
[00:44:56.000 --> 00:44:57.000]   dollars in his money --
[00:44:57.000 --> 00:44:58.000]   They're on the payroll.
[00:44:58.000 --> 00:44:59.000]   They're on the bank.
[00:44:59.000 --> 00:45:00.000]   Okay.
[00:45:00.000 --> 00:45:01.000]   How much did they get?
[00:45:01.000 --> 00:45:02.000]   5 million?
[00:45:02.000 --> 00:45:03.000]   Now, where is their apology?
[00:45:03.000 --> 00:45:04.000]   Hold on a second.
[00:45:04.000 --> 00:45:05.000]   Where is their apology?
[00:45:05.000 --> 00:45:06.000]   Sequoia has apologized.
[00:45:06.000 --> 00:45:07.000]   Where is their apology?
[00:45:07.000 --> 00:45:08.000]   Oh, it has to come.
[00:45:08.000 --> 00:45:09.000]   I'm not defending the press.
[00:45:09.000 --> 00:45:10.000]   Yes, you are.
[00:45:10.000 --> 00:45:11.000]   I'm just saying --
[00:45:11.000 --> 00:45:12.000]   Yes, you are.
[00:45:12.000 --> 00:45:13.000]   No, I am not.
[00:45:13.000 --> 00:45:15.000]   I am literally telling you that the New York Times has been asleep at
[00:45:15.000 --> 00:45:16.000]   the wheel and throwing --
[00:45:16.000 --> 00:45:17.000]   Where's the New York Times apology?
[00:45:17.000 --> 00:45:19.000]   The press is always demanding an apology from everybody else.
[00:45:19.000 --> 00:45:20.000]   I'm agreeing with you.
[00:45:20.000 --> 00:45:21.000]   The press has done a shit job.
[00:45:21.000 --> 00:45:22.000]   Hold on a second.
[00:45:22.000 --> 00:45:23.000]   The press is always demanding --
[00:45:23.000 --> 00:45:24.000]   The press is so incompetent on this.
[00:45:24.000 --> 00:45:26.000]   The Twitter spaces yesterday did a better job of trying to ask
[00:45:26.000 --> 00:45:29.000]   questions and getting to the truth than a single journalist has
[00:45:29.000 --> 00:45:31.000]   done or the collective body of all of journalists.
[00:45:31.000 --> 00:45:32.000]   Absolutely.
[00:45:32.000 --> 00:45:35.000]   Literally, randos on Twitter spaces did a better job than Sorkin.
[00:45:35.000 --> 00:45:38.000]   Let me tell you why no one trusts the press, Jason.
[00:45:38.000 --> 00:45:39.000]   First of all, they have an agenda.
[00:45:39.000 --> 00:45:40.000]   I am in agreement.
[00:45:40.000 --> 00:45:42.000]   But second of all, when they make a mistake, they never admit it.
[00:45:42.000 --> 00:45:45.000]   When's the last time they did an apology or retraction?
[00:45:45.000 --> 00:45:47.000]   When's the last time they did what Sequoia did?
[00:45:47.000 --> 00:45:48.000]   I don't know.
