
[00:00:00.000 --> 00:00:06.840]   Let's get started.
[00:19:42.560 --> 00:19:44.560]   And that's probably when the thinking matters most.
[00:19:44.560 --> 00:19:49.280]   So starting with Cloud 4, our models now think between tool calls.
[00:19:49.280 --> 00:19:50.560]   And we can watch this happen.
[00:19:50.560 --> 00:19:52.400]   So we have Cloud in this project.
[00:19:52.400 --> 00:19:53.680]   There's a few different files in here.
[00:19:53.680 --> 00:19:55.360]   And I'm just going to tell it to think hard
[00:19:55.360 --> 00:19:57.360]   and figure out what's in this project.
[00:19:57.360 --> 00:19:59.760]   And we can watch Cloud start to work.
[00:19:59.760 --> 00:20:02.320]   And so the way you know you triggered thinking
[00:20:02.320 --> 00:20:05.040]   is you'll see kind of this lighter gray text.
[00:20:05.040 --> 00:20:06.800]   And then it'll call some file.
[00:20:06.800 --> 00:20:07.840]   It'll call some tools.
[00:20:07.840 --> 00:20:09.040]   It'll read some stuff.
[00:20:09.040 --> 00:20:11.120]   And then we see some more thinking.
[00:20:11.120 --> 00:20:12.560]   And this is awesome.
[00:20:12.560 --> 00:20:16.400]   So I encourage you, when you're working on tasks and solving bugs,
[00:20:16.400 --> 00:20:17.600]   throw a think hard in there.
[00:20:17.600 --> 00:20:21.920]   And then the other thing, and you know what?
[00:20:21.920 --> 00:20:26.720]   We'll just throw it up real quick, is I have this in VS Code.
[00:20:26.720 --> 00:20:28.880]   But of course, this is in JetBrains as well.
[00:20:28.880 --> 00:20:33.600]   But we have these new great integrations with VS Code and JetBrains.
[00:20:34.320 --> 00:20:37.360]   We can do things like, Claude's going to know what file I'm in.
[00:20:37.360 --> 00:20:38.720]   What file am I in?
[00:20:38.720 --> 00:20:44.320]   That is not what I meant to say, but Claude's going to figure it out.
[00:20:44.320 --> 00:20:47.200]   And you can do things like this.
[00:20:58.080 --> 00:21:01.680]   So these are the sort of things I would encourage you to stay on top of.
[00:21:01.680 --> 00:21:07.520]   We have a public kind of GitHub project called Claude Code under Anthropic.
[00:21:07.520 --> 00:21:10.720]   You can post issues there, but we also post our changelog there.
[00:21:10.720 --> 00:21:15.280]   And so I check this once a week and make sure that I'm on top of all the new stuff we're shipping,
[00:21:15.280 --> 00:21:17.120]   because even I can't keep up with it.
[00:21:17.120 --> 00:21:20.640]   So with that said, we have like four minutes left.
[00:21:20.640 --> 00:21:23.360]   I'm happy to answer questions about anything Claude Code related.
[00:21:23.360 --> 00:21:24.480]   We have it here.
[00:21:24.480 --> 00:21:26.560]   I can live demo some stuff if you're interested.
[00:21:26.560 --> 00:21:29.120]   Let's do a few.
[00:21:29.120 --> 00:21:33.840]   Thanks real quick.
[00:21:33.840 --> 00:21:40.720]   This might be obvious, but multiple Claude.md files in a project, I presume that's possible
[00:21:40.720 --> 00:21:42.160]   and it just figures it out or no?
[00:21:42.160 --> 00:21:44.400]   So there's a few options.
[00:21:44.400 --> 00:21:48.400]   Of course, like in the same directory, you couldn't.
[00:21:48.400 --> 00:21:56.320]   But you could have one here and one in a subdirectory.
[00:21:56.320 --> 00:22:00.640]   And I think we changed this so that all the subdirectory ones aren't read in,
[00:22:00.640 --> 00:22:02.960]   because like Anthropic, we have a monorepo.
[00:22:02.960 --> 00:22:07.760]   And people would open it at the top and blow up their context with all the Claude MDs.
[00:22:07.760 --> 00:22:13.280]   So we encourage Claude when it's searching around and it discovers Claude.md files
[00:22:13.280 --> 00:22:17.920]   in child directories that are relevant to be sure to read them.
[00:22:17.920 --> 00:22:23.600]   But by default, it just reads the Claude.md file in the current working directory when you fire it up.
[00:22:23.600 --> 00:22:26.240]   And then also you can set one in like your home directory.
[00:22:26.240 --> 00:22:28.560]   There are things you can do, though.
[00:22:28.560 --> 00:22:29.600]   We have this new thing.
[00:22:29.600 --> 00:22:33.760]   Like in your Claude.md, you can start referencing other files.
[00:22:34.880 --> 00:22:39.520]   So you could, for instance, do something like this with an @ sign.
[00:22:39.520 --> 00:22:44.080]   If you have other Claude.md files that you just kind of know you always want to read in,
[00:22:44.080 --> 00:22:47.120]   to do something like that.
[00:22:47.120 --> 00:22:49.440]   Hi, okay.
[00:22:49.440 --> 00:22:54.480]   I have not had luck getting Claude to respect my Claude.md.
[00:22:54.480 --> 00:22:58.640]   Like there's one thing particular where I'll ask it to refactor something,
[00:22:58.640 --> 00:23:02.720]   and then it will leave inline comments explaining the what of it is.
[00:23:02.720 --> 00:23:04.800]   And it's like something that's extremely obvious.
[00:23:04.800 --> 00:23:05.280]   Yes.
[00:23:05.280 --> 00:23:10.400]   And so I'll tell it like, go and remove any inline comments that describe the what of what's happening.
[00:23:10.400 --> 00:23:13.920]   And then it will remove it and then immediately do it again in like the same path.
[00:23:13.920 --> 00:23:15.600]   So do you have any strategies for dealing with that?
[00:23:15.600 --> 00:23:18.880]   So there's kind of two things that fix that.
[00:23:18.880 --> 00:23:20.960]   So that was actually kind of a model problem.
[00:23:20.960 --> 00:23:22.160]   There's nothing in the prompt.
[00:23:22.160 --> 00:23:27.200]   We have actually a lot in the prompts for 3.7 that said, whoa, do not leave comments.
[00:23:27.200 --> 00:23:29.600]   And despite that, the model just loves to leave comments.
[00:23:29.600 --> 00:23:32.880]   So it doesn't surprise me that your Claude.md didn't help much either.
[00:23:32.880 --> 00:23:33.920]   We already did a lot.
[00:23:33.920 --> 00:23:38.480]   I did a lot of work to try to tamp it down from what happens out of the box.
[00:23:38.480 --> 00:23:42.800]   So we mostly fixed that in Claude 4.
[00:23:42.800 --> 00:23:45.200]   Now, there might be some new weird behavior quirks.
[00:23:45.200 --> 00:23:49.120]   But the other thing we made better in Claude 4 is it's just better at following instructions.
[00:23:49.120 --> 00:23:54.640]   And we've gotten a lot of feedback from early testers that all of a sudden, whoa,
[00:23:54.640 --> 00:23:57.280]   my Claude.md is being followed way more closely.
[00:23:57.280 --> 00:24:02.800]   And it might be a good chance to go look in your Claude.md and decide, do I still need this stuff?
[00:24:02.800 --> 00:24:04.800]   Maybe I can take some of it out.
[00:24:04.800 --> 00:24:06.880]   Maybe I need to add a few new things.
[00:24:06.880 --> 00:24:11.120]   So moving over to the new models might be a good time to take another look at what's in there and
[00:24:11.120 --> 00:24:13.680]   see what you need and what maybe can go.
[00:24:13.680 --> 00:24:18.080]   For the record, I'm trying to think of something that you might not have thought of.
[00:24:18.080 --> 00:24:18.560]   Yes.
[00:24:18.560 --> 00:24:22.240]   We're doing multi-agent execution and parallelization.
[00:24:22.240 --> 00:24:28.160]   Can you make it so that for four agents, say, agents two and three use the context from agent one?
[00:24:28.160 --> 00:24:31.360]   Maybe agent four uses the context from agent two at a certain point?
[00:24:31.360 --> 00:24:31.840]   Yeah.
[00:24:31.840 --> 00:24:33.600]   Yeah, et cetera.
[00:24:33.600 --> 00:24:34.960]   That's interesting.
[00:24:34.960 --> 00:24:39.360]   We're trying to-- so kind of like I said at the beginning, we're trying to do the simple thing
[00:24:39.360 --> 00:24:43.120]   that works, which is just one agent that's great at coding and does everything.
[00:24:43.120 --> 00:24:46.080]   I think we want to figure that out.
[00:24:46.080 --> 00:24:50.800]   Probably what's going to happen is if you wanted to do that, you would ask all your
[00:24:50.800 --> 00:24:55.440]   agents to probably write to a shared markdown file or something like that so they can all
[00:24:55.440 --> 00:24:57.200]   kind of check in and communicate.
[00:24:57.200 --> 00:25:03.120]   Sometimes I'll be working with Claude and I'll just say, "Hey, I need you to write
[00:25:03.120 --> 00:25:06.160]   some stuff in Ticket.md for another developer."
[00:25:06.160 --> 00:25:09.440]   And then I'll fire up another Claude code and I'll be like, "Hey, read Ticket.md.
[00:25:09.440 --> 00:25:12.240]   Another developer left this note for you.
[00:25:12.240 --> 00:25:13.440]   This is what you're going to work on."
[00:25:14.000 --> 00:25:18.160]   So I would think about trying to write that state to a file and then just kind of like
[00:25:18.160 --> 00:25:21.600]   count on the model's ability to just like read files and make sense to them.
[00:25:21.600 --> 00:25:28.160]   It's probably the best you can do today and maybe we'll figure out clever ways to expose that
[00:25:28.160 --> 00:25:30.720]   in the product as something more native.
[00:25:30.720 --> 00:25:32.880]   Cool.
[00:25:32.880 --> 00:25:35.200]   All right.
[00:25:35.200 --> 00:25:41.440]   And with that said, I have some rare Claude code stickers that I found in my backpack.
[00:25:41.440 --> 00:25:42.320]   So come find me.
[00:25:42.320 --> 00:25:43.920]   I'll be hanging out over there or something.
[00:25:43.920 --> 00:25:45.760]   Happy to share them.
[00:25:45.760 --> 00:25:52.480]   Happy to share them.

