
[00:00:00.000 --> 00:00:04.740]   All right. I want to try something unexpected here. I'm going to start with a little known
[00:25:29.940 --> 00:25:38.180]   opportunity goes away. I think of it as the efficient job market theory. Now, I could be wrong here,
[00:25:38.180 --> 00:25:43.540]   but I know I've seen some books for some stores, including several stores in Tacoma Park. I know
[00:25:43.540 --> 00:25:49.140]   the owners. These are hard businesses. It's hard work. It's hard to scrape a margin. Almost certainly,
[00:25:49.140 --> 00:25:54.900]   you're getting a much higher return on your time and much closer paths to autonomy and flexibility
[00:25:54.900 --> 00:25:58.820]   and being something like a business analyst with a specialty than you are running a retail convenience
[00:25:58.820 --> 00:26:04.980]   store. All this is just to say, be wary. Now, that's not to say that this is not a bad business,
[00:26:04.980 --> 00:26:11.140]   because I'm going to play devil's advocate for myself here, Visho. There are some types of retail
[00:26:11.140 --> 00:26:16.740]   outlets that can be pretty profitable, like a good McDonald's franchise in a good location can do really
[00:26:16.740 --> 00:26:21.060]   well. And you could say, well, then why does anyone do it? Well, it's because McDonald's
[00:26:21.060 --> 00:26:27.380]   has a, if you want to be a franchisee, they have this rule that says you can't finance more than some
[00:26:27.380 --> 00:26:32.260]   small percent of the purchase price of the franchise. So you have to have, it depends on where you are,
[00:26:32.260 --> 00:26:36.900]   but many hundreds of thousands of dollars worth of capital. Now, if you have that, it could be a
[00:26:36.900 --> 00:26:42.820]   pretty good investment. These are, McDonald's are relatively turnkey, how they run, and you can scale
[00:26:42.820 --> 00:26:47.940]   them. And it's a situation where not everyone can do it because not everyone has $700,000 worth of
[00:26:47.940 --> 00:26:51.940]   capital to buy a McDonald's and Silver Spring or whatever it is. So there is some devil advocate
[00:26:51.940 --> 00:26:56.420]   here that if there's capital at play and that's what's keeping people out of the market, or it's
[00:26:56.420 --> 00:27:01.220]   an unusually good location and you have an inside connection to it, maybe that helps.
[00:27:01.220 --> 00:27:06.820]   But I just want to make this general point, regardless of the details of Visho's situation,
[00:27:06.820 --> 00:27:13.940]   I want to make this general point for anyone out there. If you think a deal is too good to be true,
[00:27:13.940 --> 00:27:17.860]   like, wow, I can just do this and make a lot of money. I don't know much about it. You're probably
[00:27:17.860 --> 00:27:24.020]   the sucker in the bet, probably the sucker in the bet. So be very wary about career capital and be very
[00:27:24.020 --> 00:27:28.980]   wary, A, about things that require career capital and be very open to where can I take the career capital
[00:27:28.980 --> 00:27:33.780]   I already have, specialize it a little bit more and six months from now have like a very big piece
[00:27:33.780 --> 00:27:38.340]   of leverage I can use in my life. If I'm a business analyst, is there a new market emerging that has
[00:27:38.340 --> 00:27:44.660]   some tech complicated technical component that I can master and then go freelance and do this 20 hours
[00:27:44.660 --> 00:27:49.780]   a week or do this 40 weeks a year and take the other 12 weeks off. And if I change my living expenses,
[00:27:49.780 --> 00:27:58.100]   it can work. Like I can imagine many more potential paths to a deep life building on the career capital
[00:27:58.100 --> 00:28:02.420]   you already have than I can imagine building a retail empire being the way to get there.
[00:28:02.420 --> 00:28:07.460]   All right. So that's my sermon. I'm just very worried about anything where if I'm not,
[00:28:07.460 --> 00:28:13.220]   if I'm not leveraging a hard one skill, I'm nervous about the idea that this is going to be
[00:28:13.220 --> 00:28:21.300]   a pretty good or easy or lucrative job. All right, who we got? Next up is Doug. You've said before that
[00:28:21.300 --> 00:28:26.100]   the real way to improve as a writer is to write for publications. My niche is small. I've submitted
[00:28:26.100 --> 00:28:31.540]   pieces before, but the responses have always been no with no suggestions or edits. I haven't tried often
[00:28:31.540 --> 00:28:36.340]   because the process didn't help me grow. I also prickle at the prospect of using my precious limited
[00:28:36.340 --> 00:28:40.420]   writing time to do the non-writing that would come with searching for other avenues. How should I do this?
[00:28:41.700 --> 00:28:46.180]   Jesse, I feel like I'm in my curmudgeon mode today question because I've got another curmudgeonly
[00:28:46.180 --> 00:28:52.580]   answer coming. I don't know. I'm sort of, I'm sort of feeling like angry uncle today. Um, again,
[00:28:52.580 --> 00:28:59.460]   Doug, not knowing all your circumstances, and I don't mean to rant, but writing for publications,
[00:28:59.460 --> 00:29:03.860]   how you get better. Now, if you're right, if you're journaling for yourself, if you're writing fiction,
[00:29:03.860 --> 00:29:08.900]   just, uh, for the creative expression to share with your friends, if you're your poetry,
[00:29:08.900 --> 00:29:13.060]   because it just helps you get your feelings out, of course, don't mess. It doesn't matter
[00:29:13.060 --> 00:29:16.660]   if you publish it or not. And if it's a pain, I agree with you. Don't waste the time. But if you're
[00:29:16.660 --> 00:29:20.740]   trying to become a better writer, like I want to get good at this, maybe I want to have this be,
[00:29:20.740 --> 00:29:27.060]   if not a career, like a component to my professional life, something I'm known for something I do at a
[00:29:27.060 --> 00:29:32.660]   high level writing for publications, how you get good. Yes. You've submitted some pieces. The
[00:29:32.660 --> 00:29:37.060]   response has been no, there's been no suggestions. That's because it takes a lot. It's hard to be a
[00:29:37.060 --> 00:29:42.660]   published writer. You know, it takes, if it was easy, everyone would be like, yeah, I'm going to spend
[00:29:42.660 --> 00:29:47.380]   four months and start publishing stuff. And it's great. Yeah. It's a hard entry ramp, but it is worth
[00:29:47.380 --> 00:29:53.540]   keep pushing yourself to get past that gate of being published. Stephen King, he writes about this in his book
[00:29:53.540 --> 00:29:58.180]   On Writing. When he first started writing fiction and he was aiming in the short story market, there
[00:29:58.180 --> 00:30:04.100]   was a lot more short story magazines for horror and speculative fiction back then. Up in his attic,
[00:30:04.100 --> 00:30:10.660]   he took a railroad spike and he knocked that spike into the wall above the typewriter where he was
[00:30:10.660 --> 00:30:15.220]   writing up in that attic room. And he said, that's where I'm going to put my rejection slips, not a nail,
[00:30:15.220 --> 00:30:21.700]   because a nail is not long enough. And he began filling that railroad spike with rejection slips.
[00:30:21.700 --> 00:30:25.300]   And you know the story he tells in On Writing? Reminds me of you. At first,
[00:30:25.300 --> 00:30:33.700]   no. Rejections, no information. After a while, hey, this was kind of good, but it's not for us.
[00:30:33.700 --> 00:30:38.580]   Maybe a couple of sentences of feedback. After a while, hey, I think this was close. You know,
[00:30:38.580 --> 00:30:44.020]   Stephen, I like this. This is close, but I'm not quite sure about it. Then stuff started getting in.
[00:30:44.020 --> 00:30:48.180]   And then he started messing around with novels. They weren't working. And then he had one that did work.
[00:30:48.180 --> 00:30:55.460]   It was about a young woman who had telekinesis, right? Had this power of telekinesis and what
[00:30:55.460 --> 00:31:01.940]   happened in a small town. And he sold it, hardcover. I think it was like a $2,000 advance. He was a
[00:31:01.940 --> 00:31:09.940]   teacher in Bangor having to work summer jobs to cleaning industrial laundries, cleaning tablecloths from
[00:31:10.740 --> 00:31:15.380]   New England lobster joints and maggots on him. It's gross, right? But he needed the summer job to
[00:31:15.380 --> 00:31:19.860]   make the money. The book does pretty well, though. It catches some attention. It's starting to get
[00:31:19.860 --> 00:31:24.900]   some heat. He doesn't really know this. There's no internet back then. A call comes in to his agent.
[00:31:24.900 --> 00:31:32.100]   They've sold the paperback rights. $400,000. This is in the 1970s. Railroad spike filled with rejection
[00:31:32.100 --> 00:31:36.580]   slips before he made that progress. Which is all to say, this is part of the rite of passage of writing.
[00:31:36.580 --> 00:31:40.180]   The key is when you're getting the no's, you say, well, how do I get better to try to make the next
[00:31:40.180 --> 00:31:44.580]   one not be a no? So even while you're waiting to get feedback from publication, have a writer's group.
[00:31:44.580 --> 00:31:50.340]   Work with other people. What's working here? What's not? Be brutally honest with me. Get the feedback.
[00:31:50.340 --> 00:31:53.860]   Try harder. Try a different format. Try a different style. What if I tried this? Maybe this is a better
[00:31:53.860 --> 00:31:58.660]   match. It's that hard work of trying to get accepted is the first major deliberate practice
[00:31:58.660 --> 00:32:02.820]   stretch that happens in the life of a professional writer. Once you're writing for publication,
[00:32:02.820 --> 00:32:08.660]   the next large deliberate practice stretch happens where you go from not bad to good and then really
[00:32:08.660 --> 00:32:16.020]   cool stuff can go on. So don't write a story. If again, if your goal is to be like a good writer,
[00:32:16.020 --> 00:32:19.860]   don't try to write yourself a story where it's all gatekeepers and they don't know what they're
[00:32:19.860 --> 00:32:23.620]   talking about and you're just going to do your thousand words a day because it's fun and you like
[00:32:23.620 --> 00:32:28.180]   the idea of it and you have your herbal moth AT and you Instagram photos of it. Don't write your own
[00:32:28.180 --> 00:32:33.140]   story about how you want the world of writing to work. The real story is it's hard, but that hardness
[00:32:33.140 --> 00:32:40.980]   is the edge against which the blade of craft is sharpened. And even that push to get past the simple
[00:32:40.980 --> 00:32:45.540]   no, if you're really pushing, if they anger you when you push back and you have friends and you have
[00:32:45.540 --> 00:32:49.540]   writers groups and you're trying and you're relentless, that's when you start to get good.
[00:32:49.540 --> 00:32:54.340]   And so maybe my problem is I left off that first part, Jesse, that sometimes it's hard to even get in the
[00:32:54.340 --> 00:32:58.340]   publications in the first place. And that's okay. That is the first step of getting better.
[00:32:58.340 --> 00:33:02.500]   Mm-hmm I had my tour. We're going to revisit Doug too in the case study.
[00:33:02.500 --> 00:33:06.980]   Oh, okay. Excellent. Is that the same Doug? It's the same Doug. Yeah.
[00:33:06.980 --> 00:33:10.900]   Oh, interesting. And the case study is having a great time. Yeah.
[00:33:10.900 --> 00:33:14.500]   All right. This will be interesting. All right, Doug, stay tuned. We're going to revisit listeners,
[00:33:14.500 --> 00:33:20.180]   Doug's story in the case study. He says like, Hey, I just sold. I went around trying to write for
[00:33:20.180 --> 00:33:24.420]   publication and an editor just showed up at my house and said, Hey, I just happened to see this
[00:33:24.420 --> 00:33:29.380]   on your computer screen through the window. We're just going to give you this giant check right now.
[00:33:29.380 --> 00:33:35.220]   I'm glad you didn't waste your time writing submission letters. Doug actually has a cool story.
[00:33:35.220 --> 00:33:39.540]   So I look forward to returning to that. All right. Do we have another question from someone with a name
[00:33:39.540 --> 00:33:44.660]   that starts with a D because that's what I really want right now? Daniel. And Daniel says,
[00:33:44.660 --> 00:33:51.620]   Companies investing in AI see a tool that should decrease time to value. Knowledge workers should
[00:33:51.620 --> 00:33:57.380]   now be able to produce faster in the company's view. How should we argue to companies that the
[00:33:57.380 --> 00:34:03.620]   long-term benefits of allowing slow friction-laden skill building outweigh the shorter-term benefits of
[00:34:03.620 --> 00:34:09.940]   faster project completion through AI assistance? So Daniel, I don't have this argument with your
[00:34:09.940 --> 00:34:17.780]   company. Executives are acting kind of delusional about AI because it's this, we don't understand the
[00:34:17.780 --> 00:34:24.420]   technology. We don't really understand exactly how it works, but we're seeing on our phone, all these
[00:34:24.420 --> 00:34:32.180]   like crazy headlines from fortune articles. And so I think if you get a chat GPT description is what I
[00:34:32.180 --> 00:34:38.980]   can tell here is it'll automate all of your work in about 17 minutes. Wow. So we should just do that.
[00:34:38.980 --> 00:34:43.780]   So executives are like, we use AI. And if you're not using AI, then we don't want you here or whatever.
[00:34:43.780 --> 00:34:47.780]   But honestly, it's pretty narrow still, and we'll get into this more in the third segment, but it's
[00:34:47.780 --> 00:34:52.740]   pretty narrow still the niches in which there are significant productivity improvements happening from AI.
[00:34:52.740 --> 00:34:59.300]   So you have to kind of just tune out the almost delusional exuberance of the executive class
[00:34:59.300 --> 00:35:06.500]   right now. Look at what you do. If you see people using AI in what you do in a way that seems really
[00:35:06.500 --> 00:35:12.180]   helpful, then say, hey, teach me about it and use it. It might help some. But that's kind of it. And if you
[00:35:12.180 --> 00:35:18.340]   don't have a useful way to use it, you know, tell your boss, yeah, I have my chat GPT description and
[00:35:18.340 --> 00:35:21.380]   just go on and do the hard work of getting really good and so good they can't ignore you.
[00:35:21.380 --> 00:35:27.860]   There is a lot of energy that right now is kind of rootless and disconnected from reality right now.
[00:35:27.860 --> 00:35:33.700]   So you are not probably missing out on some way that AI was going to fully automate your job. So
[00:35:33.700 --> 00:35:37.860]   keep an eye on it, but just look at the people around you. Hey, are you using this? Are you finding
[00:35:37.860 --> 00:35:41.780]   any use in it? And after like, I don't know, I'm like having conversations with it for 45 minutes a
[00:35:41.780 --> 00:35:45.700]   day before I write my email to make sure that I feel good about it. You can be like, that's great. And
[00:35:45.700 --> 00:35:48.820]   you're doing good. And that's a really good idea. And then you can go back to your desk and just do
[00:35:48.820 --> 00:35:53.220]   the work. But if there really is something that's helping, then use it. But I think most people right
[00:35:53.220 --> 00:35:58.020]   now, there's not a major, it's okay. You're not doing something wrong if you don't have like a
[00:35:58.020 --> 00:36:02.500]   major productivity boosting use case for AI. It's not your job to figure out how to use their products.
[00:36:02.500 --> 00:36:09.140]   It's their job to convince you that the product is indispensable. So no matter how excited your boss got,
[00:36:09.140 --> 00:36:15.060]   because he watched a YouTube interview of Dario Amadei saying all jobs are going to be automated
[00:36:15.060 --> 00:36:20.180]   within 19 minutes. Keep doing your work. Keep doing it well. All right. Who do we got?
[00:36:20.180 --> 00:36:26.340]   All right. Next up is Amy. Naval Ravikant in his podcast with Chris Williamson says that
[00:36:26.340 --> 00:36:32.500]   inspiration is perishable. He argues that there is value in doing things spontaneously instead of having
[00:36:32.500 --> 00:36:37.300]   scheduled time for it. You won't be in the mood to do that thing when the time arrives. He also mentions
[00:36:37.300 --> 00:36:41.780]   that being able to do something that you want at the moment you want it is liberating.
[00:36:41.780 --> 00:36:48.820]   He does embody the removing the unnecessary overhead part of where he has no meetings,
[00:36:48.820 --> 00:36:55.620]   etc., but says that the overly scheduled life is not worth living. Does this contradict with the deep life?
[00:36:55.620 --> 00:37:01.940]   I mean, not to be spicy and like every one of my answers today, and maybe it's this New England air,
[00:37:02.660 --> 00:37:14.660]   but Naval is basically describing the life of like an 18th century aristocrat. Yes. If you're a moneyed
[00:37:14.660 --> 00:37:19.300]   gentleman. We can play it if you want to play the clip. Do you have a clip of it? Well, I think you
[00:37:19.300 --> 00:37:25.140]   captured it. I think that captured the main things. Okay. If you're the type of person that would come
[00:37:25.140 --> 00:37:33.940]   calling in a Jane Austen novel. Sure. It's probably right. This is like a great way of living, right?
[00:37:33.940 --> 00:37:39.940]   Because our income comes from our investments and we have freedom of time and we want to use the time
[00:37:39.940 --> 00:37:46.100]   in the highest ways. And to have a day that's overly scheduled, it probably is like not as life-affirming
[00:37:46.100 --> 00:37:51.460]   as sort of taking the interest as it arises and pursuing it. And it could be the, you're like,
[00:37:51.460 --> 00:37:58.580]   uh, I don't know, like, uh, Jason Priestley. Not Jason. I just said Jason Priestley. Jason Priestley is
[00:37:58.580 --> 00:38:09.700]   from Beverly Hills, 90210, Shannon Doherty's brother. I'm thinking about someone who's very similar.
[00:38:10.660 --> 00:38:16.340]   Joseph Priestley, I think. Let me just get this name right. Jason Priestley. You need to be like,
[00:38:16.340 --> 00:38:23.300]   uh, Luke. I don't remember this guy's name. Jason Priestley. All right. So who I am thinking about here
[00:38:23.300 --> 00:38:30.740]   is Joseph Priestley. I'm pretty close, Jesse. Yeah. Uh, similar to Jason Priestley. Joseph Priestley
[00:38:30.740 --> 00:38:35.620]   was a gentleman scientist from the 18th century contemporary of Benjamin Franklin, who he crossed
[00:38:35.620 --> 00:38:39.540]   paths with, who helped isolate oxygen because he just like ran these experiments because
[00:38:40.100 --> 00:38:44.900]   today I shall horse ride tomorrow. I shall work on experiments. And I agree. It's like a,
[00:38:44.900 --> 00:38:50.740]   it's probably a really interesting day-to-day way to live. But Naval Ravikant is an incredibly
[00:38:50.740 --> 00:38:55.300]   successful seed level investor who had early money in Uber and all these other types of companies and
[00:38:55.300 --> 00:39:02.500]   has a lot of money and doesn't have to, um, like a gentleman aristocrat of the 19th century can just sort
[00:39:02.500 --> 00:39:08.100]   of like let his day unfold. The rest of us, however, if we want to master a craft that's going to be
[00:39:08.100 --> 00:39:13.060]   meaningful and profitable takes really hard work. It's diligence. Diligence, not just to return to
[00:39:13.060 --> 00:39:16.900]   that craft day after day and push yourself deliberately, but the diligence to say no to
[00:39:16.900 --> 00:39:22.580]   other things that are more interesting in the moment because crafting that skill requires repeated time.
[00:39:22.580 --> 00:39:27.140]   You want to produce something that the market respects to produce something that matters to have
[00:39:27.140 --> 00:39:32.340]   leverage, create leverage in your life through the value you produce. Like that is hard work. It's
[00:39:32.340 --> 00:39:37.380]   diligent work. You have to time block. You have to work with your motivational systems. It's not always fun,
[00:39:37.380 --> 00:39:41.460]   but it can be really fulfilling. I'm sure Naval went through all this when he was an early stage
[00:39:41.460 --> 00:39:46.180]   investor making his moves early on and trying to understand the market and get in on these early
[00:39:46.180 --> 00:39:49.860]   startups. He was involved and it was hard work, but it was probably also really satisfying in that
[00:39:49.860 --> 00:39:56.740]   stage of life. So anyways, I'm sure Naval is right that, uh, it is very liberating not to have a schedule.
[00:39:56.740 --> 00:40:01.380]   And actually you would enjoy a lot about your life in the moment, but most of us don't have that
[00:40:01.380 --> 00:40:06.420]   opportunity. But more importantly, and I think this is maybe the contrarian stance here,
[00:40:06.420 --> 00:40:14.340]   is it really better? Again, when are people alive? When are they fulfilled? When they have a purpose
[00:40:14.340 --> 00:40:22.820]   they're pursuing? When they're able to take their energies and to shape them with discipline and
[00:40:22.820 --> 00:40:28.660]   motivation to creating something that makes the world better or it's interesting? What deeper satisfactions
[00:40:28.660 --> 00:40:34.100]   outside of those of community you get? And actually that type of motion, that type of movement towards
[00:40:34.100 --> 00:40:38.900]   making your intentions manifest concretely in the world, to borrow the Matt Crawford phrase.
[00:40:39.700 --> 00:40:46.820]   And that's often hard. Crawford talks about that in "Shop Class of Soulcraft," the deep satisfactions of
[00:40:46.820 --> 00:40:52.820]   commercial electrician work, bending those contuant almost like art so that all of the wires can fit
[00:40:52.820 --> 00:40:59.460]   into the commercial junction box and it just works. That's hard. You're bending pipes. I watched our AC
[00:40:59.460 --> 00:41:04.500]   guy bend like two pipes a few months ago when we got a new AC involved. That's hard work. You're heating it
[00:41:04.500 --> 00:41:09.220]   up at the soldering thing and you're bending it. But he was pretty satisfied when he was done because he made
[00:41:09.220 --> 00:41:14.580]   that thing work and the machine turns on and the house gets cold. So I don't know. I'm sure it's fun.
[00:41:14.580 --> 00:41:20.020]   I'm sure it's fine in the moment. I'm sure it is liberating to not have a schedule, not be pushing.
[00:41:20.020 --> 00:41:23.940]   But when you're pushing on the right things, sometimes that's even better.
[00:41:23.940 --> 00:41:29.700]   All right. Hopefully our call today, Jesse, doesn't get me fired up anymore. We need something to...
[00:41:29.700 --> 00:41:33.380]   I don't know what it is, but we need something to calm me down. So if this is a call that says,
[00:41:35.860 --> 00:41:43.220]   how could I find time to deep work when I am on a submarine in charge of the nuclear reactor and it
[00:41:43.220 --> 00:41:48.980]   requires 18 hour shifts and my child is with me and I'm doing childcare on the submarine while I'm doing
[00:41:48.980 --> 00:41:52.420]   that. When am I doing my deep work? I hope it's not a call like that. I hope it's something that's going to
[00:41:52.420 --> 00:41:58.980]   call me. All right. Here we go. Hey, Cal, this is Catherine. You've written a lot about how we
[00:41:58.980 --> 00:42:05.060]   shouldn't be beholden to our email inboxes and the email that comes in should not set our priorities for
[00:42:05.060 --> 00:42:15.140]   the day, which makes total sense to me intellectually. But as a lifelong inbox zero person, I find it
[00:42:15.140 --> 00:42:21.860]   incredibly difficult to let go of the sense of control that comes from addressing everything in
[00:42:21.860 --> 00:42:31.540]   my inbox. Do you have any suggestions for people like me who want to reply to things and address things
[00:42:31.540 --> 00:42:38.900]   that that come in? Um, are there half measures that you would suggest we take, um, or kind of other
[00:42:38.900 --> 00:42:45.700]   strategies to lessen the stranglehold of the desire to keep on top of our inboxes? Thanks.
[00:42:47.220 --> 00:42:52.740]   Let me ask you this, Jesse. Do we still have the slow productivity theme music loaded up on that
[00:42:52.740 --> 00:43:02.260]   board? Because I think this will, I'm in a spicy mood. I think we've got to calm things down.
[00:43:02.260 --> 00:43:08.820]   All right. That's putting me in the right mindset here. So I'm going to approach this question
[00:43:09.940 --> 00:43:19.140]   with calm. So I'm going to start by saying with calmness. I know it is a common thing people say
[00:43:19.140 --> 00:43:25.540]   about email. Don't stress what's in there. Don't make that be your priority. There's like more important
[00:43:25.540 --> 00:43:31.380]   things than it. These aren't urgent. People should have better expectations. I know that's a common
[00:43:31.380 --> 00:43:39.700]   response to inbox overload. I don't agree with it though. I actually think you should deal with what's
[00:43:39.700 --> 00:43:44.580]   in your inbox. You should be able to deal with everything in your inbox. And the solution is not
[00:43:44.580 --> 00:43:48.980]   to pretend like your inbox isn't there. It's not to pretend like people's expectations are wrong for
[00:43:48.980 --> 00:43:53.940]   emailing you. It is to reduce the amount of those emails that arrive in your inbox in the first place.
[00:43:53.940 --> 00:43:59.140]   I'm also an inbox. You're a person. I get very stressed by it. It's social stress. We talked about
[00:43:59.140 --> 00:44:04.900]   this context of text messages in the last week's deep dive. So I wrote a whole book called The World
[00:44:04.900 --> 00:44:10.020]   Without Email. It came out in 2021. And the whole premise of that book, well, I guess there's two
[00:44:10.020 --> 00:44:15.220]   premises. The premise is having a lot of back and forth communication is terrible for us. It makes us
[00:44:15.220 --> 00:44:20.180]   stressed out. It doesn't make us more productive. But the main idea of the advice in that book
[00:44:20.180 --> 00:44:26.820]   is we can re-engineer how we collaborate in a professional context so that we're not so dependent on
[00:44:26.820 --> 00:44:32.180]   unscheduled messages that require responses. That's the thing that creates an anxiety-producing inbox
[00:44:32.180 --> 00:44:38.500]   full of messages that have to be dealt with is that you have a dozen or two dozen ongoing virtual
[00:44:38.500 --> 00:44:44.100]   asynchronous conversations unfolding with messages being bounced back and forth. So any moment you look
[00:44:44.100 --> 00:44:50.180]   in your inbox, 75% of those conversations have the next message waiting for you. And you kind of have
[00:44:50.180 --> 00:44:54.020]   to answer those pretty quickly because when you bounce it back to them, they'll bounce it back to you and
[00:44:54.020 --> 00:44:57.380]   you'll bounce it back to them. And you're doing this game where you're trying to get to an asynchronous
[00:44:57.380 --> 00:45:02.100]   conclusion before too much time goes on. So you have to check that inbox and you have to get down to zero.
[00:45:02.100 --> 00:45:06.020]   And by the time you get down to zero, there's 24 more messages arrive because they just bounced them
[00:45:06.020 --> 00:45:11.700]   back to you. The key then is not to ignore that. It is to stop there being so many proverbial ping pong
[00:45:11.700 --> 00:45:16.820]   balls coming in your direction. And the whole second half of that book, or what's it called,
[00:45:17.860 --> 00:45:21.460]   a world without email. I was going to say how to become an email superstar,
[00:45:21.460 --> 00:45:28.980]   which is another awesome title, but a world without email. The whole second half is saying
[00:45:28.980 --> 00:45:35.620]   when you get emails that are part of a conversation, so not something you can just either informational or
[00:45:35.620 --> 00:45:39.220]   something you can just answer with a single message. When they're part of a back and forth conversation,
[00:45:40.260 --> 00:45:46.340]   ask yourself, "What is this conversation about? What type of thing is this trying to bring us to a
[00:45:46.340 --> 00:45:51.860]   resolution about?" And then you have a short-term and long-term solution here. Short-term for that
[00:45:51.860 --> 00:45:57.700]   particular conversation, say, "How can I respond to this email that is going to move this out of
[00:45:57.700 --> 00:46:02.660]   unscheduled messaging from here on out?" And that might mean spending more time on that particular email.
[00:46:02.660 --> 00:46:06.820]   They say, "Okay, here's the decisions we need to make. Here's the way I think we should do it.
[00:46:06.820 --> 00:46:11.620]   You finish this draft by Wednesday, put it into this Dropbox folder by close of business. I'll pick it up
[00:46:11.620 --> 00:46:16.580]   first thing Thursday morning. I'll annotate it. I'll have any of my annotations in that Dropbox version by
[00:46:16.580 --> 00:46:22.340]   noon. You can pick it up any time after noon on Thursday to act on those. By the way, we have a meeting
[00:46:22.340 --> 00:46:27.540]   on this unrelated thing Thursday afternoon. So any unresolved questions, let's just chat real quickly
[00:46:27.540 --> 00:46:32.820]   after that meeting. But otherwise, whatever you have in there at the end of day Thursday, I'm going to
[00:46:32.820 --> 00:46:37.300]   send on to the designer. We'll have that report put together." That email is more of a pain to write
[00:46:37.300 --> 00:46:40.900]   than just answering the current email with like, "Yeah, I think so, but when are you available?"
[00:46:40.900 --> 00:46:46.340]   It takes more time to write, but you have just cauterized the wound of all of those back and forth
[00:46:46.340 --> 00:46:51.620]   messages. That conversation will no longer generate new messages that require a response in your inbox,
[00:46:51.620 --> 00:46:57.460]   so the effort was worth it. So we call that process-centric emailing. You respond to ongoing
[00:46:57.460 --> 00:47:02.100]   chains in ways that breaks the ongoing chain. That reduces the pressure in your inbox. That's
[00:47:02.100 --> 00:47:09.380]   a short-term solution. The long-term solution is you say, "What is the general type of work that this
[00:47:09.380 --> 00:47:14.980]   responds to? Is this conversation about something that I do again and again? Is there a type of report
[00:47:14.980 --> 00:47:23.300]   we put out? Is there agenda planning we do for this weekly meeting? Is there client issues that come in
[00:47:23.300 --> 00:47:29.780]   that are kind of complicated to figure out? What is the regularly occurring work-related process that
[00:47:29.780 --> 00:47:35.300]   this email conversation is related to?" And you can step back and say, "Let's put in place a different
[00:47:35.300 --> 00:47:41.620]   protocol for dealing with this type of thing. Here's our process for how we produce reports,
[00:47:41.620 --> 00:47:47.300]   and we synchronize it. We don't need unscheduled messages. Here's our process for dealing with clients.
[00:47:47.300 --> 00:47:51.940]   There's three days a week where they can call at this time if they want. They don't have to if they have
[00:47:51.940 --> 00:47:56.100]   nothing to talk about. But we will be there, and we will answer and chat with them about any question
[00:47:56.100 --> 00:48:00.420]   you have. We'll have our intern take notes. We'll send them a summary of the notes right after and
[00:48:00.420 --> 00:48:04.340]   about all the things we've committed to doing. And when they next call, we'll tell them how it's going.
[00:48:04.340 --> 00:48:08.260]   And there we go. We now have a way of dealing with clients that don't require back and forth messages.
[00:48:08.260 --> 00:48:13.780]   So the long-term solution is creating protocols for regularly occurring business processes that are
[00:48:13.780 --> 00:48:19.300]   right now generating these unscheduled back and forth conversations. That is the killer of inboxes.
[00:48:19.300 --> 00:48:23.620]   Back and forth conversations consisting of unscheduled messages that require relatively
[00:48:23.620 --> 00:48:29.620]   timely responses. That is the productivity poison that has to be neutralized. And in this sort of
[00:48:29.620 --> 00:48:35.620]   medical analogy, the activated charcoal that you would use here, and I'm really stretching this analogy,
[00:48:35.620 --> 00:48:41.300]   is being smarter about process and protocol. So I don't think we should ignore inboxes. This is,
[00:48:41.300 --> 00:48:47.940]   by the way, why I think most advice about inboxes fails, because it ignores the psychological reality
[00:48:47.940 --> 00:48:51.700]   of having messages waiting that require a response. And when you tell me to batch, when you tell me to
[00:48:51.700 --> 00:48:57.540]   don't check email first thing in the morning, when you tell me to tell people to have new expectations
[00:48:57.540 --> 00:49:02.980]   for when to expect a response, none of that works when you have dozens of messages that really do need
[00:49:02.980 --> 00:49:08.820]   to be replied to quickly for you to be a useful collaborator in your company. There's too much social
[00:49:08.820 --> 00:49:12.580]   stress around it. So we got to prevent those messages from getting to the inbox in the first
[00:49:12.580 --> 00:49:16.500]   place. Read a world without email. More people should read that. I mean, it's not that that book
[00:49:16.500 --> 00:49:20.580]   did poorly, but it probably came in a little bit under the radar in 2021. There's a few other things
[00:49:20.580 --> 00:49:25.380]   happening in the world, and people weren't thinking that much about reengineering their business processes.
[00:49:25.380 --> 00:49:31.060]   So check that book out. If you're curious about the type of things we're talking about, I don't know
[00:49:31.060 --> 00:49:36.980]   if the theme music really called me down, Jesse, but I tried. It's good to hear it again. Yeah. All right.
[00:49:36.980 --> 00:49:42.980]   We got a case study here from Doug, who I sort of gave a sermon about Stephen King and a railroad spike.
[00:49:42.980 --> 00:49:48.020]   I gave my son that same sermon, by the way, I made him read on writing to Stephen King nonfiction book.
[00:49:48.020 --> 00:49:53.860]   So I'm already fired up about it. Doug, let's hear your case study because I think it's going to make me
[00:49:53.860 --> 00:49:58.820]   chill out a little bit. All right. So Doug says, "I'm a public school teacher in Atlanta,
[00:49:58.820 --> 00:50:03.700]   and I also write a blog. You talk often about how time and place affect creative energy,
[00:50:03.700 --> 00:50:07.940]   and I've leaned into that more than ever this summer. The routine I've settled into has been,
[00:50:07.940 --> 00:50:14.420]   one, I do most of my writing in the nearby university library, which is only about a mile
[00:50:14.420 --> 00:50:19.380]   and a half from my home. It is beautiful, inspiring, and mostly empty over the summer." Doug, I've been
[00:50:19.380 --> 00:50:23.940]   doing the same thing here this summer. I did a lot of work at Dartmouth, and I was in the tower room again
