
[00:00:00.040 --> 00:00:09.420]   caveat
[00:30:41.640 --> 00:30:41.640]   I know I've heard you talk about the tax preparer.
[00:30:41.640 --> 00:30:41.640]   I know I've heard you talk about the tax preparer.
[00:30:41.640 --> 00:30:41.640]   I know I've heard you talk about the tax preparer.
[00:30:41.680 --> 00:31:11.660]   I know I've heard you talk about the tax preparer.
[00:31:11.660 --> 00:31:11.660]   I know I've heard you talk about the tax preparer.
[00:31:11.660 --> 00:31:11.660]   I know I've heard you talk about the tax preparer.
[00:31:11.660 --> 00:31:11.660]   I know I've heard you talk about the tax preparer.
[00:31:11.660 --> 00:31:11.660]   I know I've heard you talk about the tax preparer.
[00:31:11.660 --> 00:31:11.660]   I know I've heard you talk about the tax preparer.
[00:31:11.660 --> 00:31:11.660]   I know I've heard you talk about the tax preparer.
[00:31:11.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:31:41.680]   I know I know I've heard you talk about the tax preparer.
[00:31:41.680 --> 00:32:11.700]   I know I've heard you talk about the tax preparer.
[00:32:11.700 --> 00:32:11.700]   I know I've heard you talk about the tax preparer.
[00:32:11.700 --> 00:32:11.700]   I know I've heard you talk about the tax preparer.
[00:32:11.700 --> 00:32:11.700]   I know I've heard you talk about the tax preparer.
[00:32:11.700 --> 00:32:11.700]   I know I've heard you talk about the tax preparer.
[00:32:11.700 --> 00:32:11.700]   I know I've heard you talk about the tax preparer.
[00:32:11.700 --> 00:32:11.700]   I know I've heard you talk about the tax preparer.
[00:32:11.700 --> 00:32:11.700]   I know I've heard you talk about the tax preparer.
[00:32:11.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:32:41.720]   I know I've heard you talk about the tax preparer.
[00:32:41.720 --> 00:33:11.740]   I know I've heard you talk about the tax preparer.
[00:33:11.740 --> 00:33:11.740]   I know I've heard you talk about the tax preparer.
[00:33:11.740 --> 00:33:11.740]   I know I've heard you talk about the tax preparer.
[00:33:11.740 --> 00:33:11.740]   I know I've heard you talk about the tax preparer.
[00:33:11.740 --> 00:33:11.740]   I know I've heard you talk about the tax preparer.
[00:33:11.740 --> 00:33:11.740]   I know I've heard you talk about the tax preparer.
[00:33:11.740 --> 00:33:11.740]   I know I've heard you talk about the tax preparer.
[00:33:11.740 --> 00:33:11.740]   I know I've heard you talk about the tax preparer.
[00:33:11.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:33:41.760]   I know I've heard you talk about the tax preparer.
[00:33:41.760 --> 00:34:11.780]   I know I've heard you talk about the tax preparer.
[00:34:11.780 --> 00:34:11.780]   I know I've heard you talk about the tax preparer.
[00:34:11.780 --> 00:34:11.780]   I know I've heard you talk about the tax preparer.
[00:34:11.780 --> 00:34:11.780]   I know I've heard you talk about the tax preparer.
[00:34:11.780 --> 00:34:11.780]   I know I've heard you talk about the tax preparer.
[00:34:11.780 --> 00:34:11.780]   I know I've heard you talk about the tax preparer.
[00:34:11.780 --> 00:34:11.780]   I know I've heard you talk about the tax preparer.
[00:34:11.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:34:41.800]   I know I've heard you talk about the tax preparer.
[00:34:41.800 --> 00:35:11.820]   I know I've heard you talk about the tax preparer.
[00:35:11.820 --> 00:35:11.820]   I know I've heard you talk about the tax preparer.
[00:35:11.820 --> 00:35:11.820]   I know I've heard you talk about the tax preparer.
[00:35:11.820 --> 00:35:11.820]   I know I've heard you talk about the tax preparer.
[00:35:11.820 --> 00:35:11.820]   I know I've heard you talk about the tax preparer.
[00:35:11.820 --> 00:35:11.820]   I know I've heard you talk about the tax preparer.
[00:35:11.820 --> 00:35:11.820]   I know I've heard you talk about the tax preparer.
[00:35:11.820 --> 00:35:11.820]   I know I've heard you talk about the tax preparer.
[00:35:11.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:35:41.840]   I know I've heard you talk about the tax preparer.
[00:35:41.840 --> 00:36:11.860]   I know I've heard you talk about the tax preparer.
[00:36:11.860 --> 00:36:11.860]   I know I've heard you talk about the tax preparer.
[00:36:11.860 --> 00:36:11.860]   I know I've heard you talk about the tax preparer.
[00:36:11.860 --> 00:36:11.860]   I know I've heard you talk about the tax preparer.
[00:36:11.860 --> 00:36:11.860]   I know I've heard you talk about the tax preparer.
[00:36:11.860 --> 00:36:11.860]   I know I've heard you talk about the tax preparer.
[00:36:11.860 --> 00:36:11.860]   I know I've heard you talk about the tax preparer.
[00:36:11.860 --> 00:36:11.860]   I know I've heard you talk about the tax preparer.
[00:36:11.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:36:41.880]   I know I've heard you talk about the tax preparer.
[00:36:41.880 --> 00:37:11.900]   I know I've heard you talk about the tax preparer.
[00:37:11.900 --> 00:37:11.900]   I know I've heard you talk about the tax preparer.
[00:37:11.900 --> 00:37:11.900]   I know I've heard you talk about the tax preparer.
[00:37:11.900 --> 00:37:11.900]   I know I've heard you talk about the tax preparer.
[00:37:11.900 --> 00:37:11.900]   I know I've heard you talk about the tax preparer.
[00:37:11.900 --> 00:37:11.900]   I know I've heard you talk about the tax preparer.
[00:37:11.900 --> 00:37:11.900]   I know I've heard you talk about the tax preparer.
[00:37:11.920 --> 00:37:41.920]   You can see the way to pay cash.
[00:37:41.920 --> 00:37:41.920]   I know I've heard you talk about the tax preparer.
[00:37:41.920 --> 00:37:41.920]   You can see the way to pay cash.
[00:37:41.920 --> 00:37:41.920]   I know I've heard you talk about the tax preparer.
[00:37:41.920 --> 00:37:41.920]   You can see the way to pay cash.
[00:37:41.920 --> 00:37:41.920]   I know I've heard you talk about the tax preparer.
[00:37:41.920 --> 00:37:41.920]   You can see the way to pay cash.
[00:37:41.920 --> 00:37:41.920]   I know I've heard you talk about the tax preparer.
[00:37:41.920 --> 00:37:41.920]   You can see the way to pay cash.
[00:37:41.920 --> 00:37:41.920]   I know I've heard you talk about the tax preparer.
[00:37:41.920 --> 00:37:41.920]   You can see the way to pay cash.
[00:37:41.920 --> 00:37:41.920]   I know I've heard you talk about the tax preparer.
[00:37:41.920 --> 00:37:41.920]   You can see the way to pay cash.
[00:37:41.920 --> 00:37:41.920]   You can see the way to pay cash.
[00:37:41.920 --> 00:37:41.920]   I know I've heard you talk about the tax preparer.
[00:37:41.920 --> 00:37:41.920]   You can see the way to pay cash.
[00:37:41.920 --> 00:37:41.920]   You can see the way to pay cash.
[00:37:41.960 --> 00:37:52.900]   could
[00:37:52.900 --> 00:38:07.660]   par 2009;e,,,, rebound
[00:38:38.320 --> 00:39:07.540]   hear
[00:41:33.120 --> 00:41:34.180]  , you know, there's a lot of people who are like, oh, well, they're not going to be able to pay the mortgage or the debtor laws there versus having the mortgage on something, the debt on something else. So that's, that's, those are basically my arguments. I would love it if you paid cash for a house. I think that's great. Just don't make the mistake of thinking that by putting 50% down, you're safer. You're not. You're safer to put 10% down, keep the other 40% in cash, and then wait until you can pay it off 100%, then make the payments and pay it off 100%. Okay, thank you. My pleasure. Hope that made sense. Joshua's speech on how to pay for a house.
[00:42:04.240 --> 00:42:16.100]  aden
[00:42:16.100 --> 00:42:29.740]   isn in, ket, be,il, dough. his believe his trabaj 99 Xiaomi I Iав the another give a listen七
[00:42:29.740 --> 00:42:32.340]  аться
[00:43:01.920 --> 00:43:01.920]   and I've been wondering if I pretty much have sabotaged myself. Is it in treasury bonds, corporate bonds, what kind of bond portfolio? It seems like it's a mix, but it's definitely under the category of a bond investment. And honestly, even when I've talked to representatives of this financial institution, even the representatives didn't have a very clear idea as to what exactly is all in that fund.
[00:43:01.920 --> 00:43:01.920]   I'm wondering if I pretty much have sabotaged myself. Is it in treasury bonds, corporate bonds, what kind of what kind of bond portfolio? It seems like it's a mix, but it's definitely under the category of a bond investment. And honestly, even when I've talked to representatives of this financial institution, even the representatives didn't have a very clear idea as to what exactly is all in that fund.
[00:43:30.800 --> 00:43:59.640]  .
[00:43:59.640 --> 00:43:59.640]   It's a mix, but it's definitely under the category of a bond investment. And honestly, even when I've talked to representatives of this financial institution, even the representatives didn't have a very clear idea as to what exactly is all in that fund.
[00:43:59.660 --> 00:44:28.500]  , but it seems like it's a mix, but it's definitely under the category of a bond investment.
[00:44:28.500 --> 00:44:28.500]   It seems like it's a mix, but it's definitely under the category of a bond investment.
[00:44:28.500 --> 00:44:28.500]   It seems like it's a mix, but it's definitely under the category of a bond investment.
[00:44:28.500 --> 00:44:28.500]   It seems like it's a mix, but it's definitely under the category of a bond investment.
[00:44:28.500 --> 00:44:28.500]   It seems like it's a mix, but it's definitely under the category of a bond investment.
[00:44:28.500 --> 00:44:28.500]   It seems like it's a mix, but it's definitely under the category of a bond investment.
[00:44:28.500 --> 00:44:28.500]   It seems like it's a mix, but it's certainly under the category of a bond investment.
[00:44:28.500 --> 00:44:28.500]   It seems like it's a mix, but it's certainly under the category of a bond investment.
[00:44:28.500 --> 00:44:28.500]   It seems like it's under the category of a bond investment.
[00:44:28.500 --> 00:44:29.660]   it seems like it's under the category of a bond investment.
[00:44:29.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:44:59.680]   It seems like it's under the category of a bond investment.
[00:44:59.680 --> 00:45:29.700]   It seems like it's under the category of a bond investment.
[00:45:29.700 --> 00:45:29.700]   It seems like it's under the category of a bond investment.
[00:45:29.700 --> 00:45:29.700]   It seems like it's under the category of a bond investment.
[00:45:29.700 --> 00:45:29.700]   It seems like it's under the category of a bond investment.
[00:45:29.700 --> 00:45:29.700]   It seems like it's under the category of a bond investment.
[00:45:29.700 --> 00:45:29.700]   It seems like it's under the category of a bond investment.
[00:45:29.700 --> 00:45:29.700]   It seems like it's under the category of a bond investment.
[00:45:29.700 --> 00:45:29.700]   It seems like it's under the category of a bond investment.
[00:45:29.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:45:59.720]   It seems like it's under the category of a bond investment.
[00:45:59.720 --> 00:46:29.740]   It seems like it's under the category of a bond investment.
[00:46:29.740 --> 00:46:29.740]   It seems like it's under the category of a bond investment.
[00:46:29.740 --> 00:46:29.740]   It seems like it's under the category of a bond investment.
[00:46:29.740 --> 00:46:29.740]   It seems like it's under the category of a bond investment.
[00:46:29.740 --> 00:46:29.740]   It seems like it's under the category of a bond investment.
[00:46:29.740 --> 00:46:29.740]   It seems like it's under the category of a bond investment.
[00:46:29.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:46:59.760]   It seems like it's under the category of a bond investment.
[00:46:59.760 --> 00:47:29.780]   It seems like it's under the category of a bond investment.
[00:47:29.780 --> 00:47:29.780]   It seems like it's under the category of a bond investment.
[00:47:29.780 --> 00:47:29.780]   It seems like it's under the category of a bond investment.
[00:47:29.780 --> 00:47:29.780]   It seems like it's under the category of a bond investment.
[00:47:29.780 --> 00:47:29.780]   It seems like it's under the category of a bond investment.
[00:47:29.780 --> 00:47:29.780]   It seems like it's under the category of a bond investment.
[00:47:29.780 --> 00:47:29.780]   It seems like it's under the category of a bond investment.
[00:47:29.780 --> 00:47:29.780]   It seems like it's under the category of a bond investment.
[00:47:29.780 --> 00:47:29.780]   It seems like it's under the category of a bond investment.
[00:47:29.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:47:59.800]   It seems like it's under the category of a bond investment.
[00:47:59.800 --> 00:48:29.820]   It seems like it's under the category of a bond investment.
[00:48:29.820 --> 00:48:29.820]   It seems like it's under the category of a bond investment.
[00:48:29.820 --> 00:48:29.820]   It seems like it's under the category of a bond investment.
[00:48:29.820 --> 00:48:29.820]   It seems like it's under the category of a bond investment.
[00:48:29.820 --> 00:48:29.820]   It seems like it's under the category of a bond investment.
[00:48:29.820 --> 00:48:29.820]   It seems like it's under the category of a bond investment.
[00:48:29.820 --> 00:48:29.820]   It seems like it's under the category of a bond investment.
[00:48:29.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:48:59.840]   It seems like it's under the category of a bond investment.
[00:48:59.840 --> 00:49:29.860]   It seems like it's under the category of a bond investment.
[00:49:29.860 --> 00:49:29.860]   It seems like it's under the category of a bond investment.
[00:49:29.860 --> 00:49:29.860]   It seems like it's under the category of a bond investment.
[00:49:29.860 --> 00:49:29.860]   It seems like it's under the category of a bond investment.
[00:49:29.860 --> 00:49:29.860]   It seems like it's under the category of a bond investment.
[00:49:29.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:49:59.880]   It seems like it's under the category of a bond investment.
[00:49:59.880 --> 00:50:29.900]   It seems like it's under the category of a bond investment.
[00:50:29.900 --> 00:50:29.900]   It seems like it's under the category of a bond investment.
[00:50:29.900 --> 00:50:29.900]   It seems like it's under the category of a bond investment.
[00:50:29.900 --> 00:50:29.900]   It seems like it's under the category of a bond investment.
[00:50:29.900 --> 00:50:29.900]   It seems like it's under the category of a bond investment.
[00:50:29.900 --> 00:50:29.900]   It seems like it's under the category of a bond investment.
[00:50:29.900 --> 00:50:29.900]   It seems like it's under the category of a bond investment.
[00:50:29.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:50:59.920]   It seems like it's under the category of a bond investment.
[00:50:59.920 --> 00:51:29.940]   It seems like it's under the category of a bond investment.
[00:51:29.940 --> 00:51:29.940]   It seems like it's under the category of a bond investment.
[00:51:29.940 --> 00:51:29.940]   It seems like it's under the category of a bond investment.
[00:51:29.940 --> 00:51:29.940]   It seems like it's under the category of a bond investment.
[00:51:29.940 --> 00:51:29.940]   It seems like it's under the category of a bond investment.
[00:51:29.940 --> 00:51:29.940]   It seems like it's under the category of a bond investment.
[00:51:29.940 --> 00:51:29.940]   It seems like it's under the category of a bond investment.
[00:51:29.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:51:59.960]   I'm not sure if you're familiar with the word bond investment.
[00:51:59.960 --> 00:52:29.980]  ,
[00:52:29.980 --> 00:52:29.980]   and I would have my $30,000 to start again with.
[00:52:29.980 --> 00:52:29.980]   But if I had taken that $30,000 and put it in my checking account,
[00:52:29.980 --> 00:52:29.980]   then I would have my $30,000 and put it in my checking account,
[00:52:29.980 --> 00:52:29.980]   then I would have my $30,000 and put it in my checking account,
[00:52:29.980 --> 00:52:29.980]   then I would have my $30,000 and put it in my checking account,
[00:52:29.980 --> 00:52:29.980]   and I would have my $30,000 and put it in my credit.
[00:52:29.980 --> 00:52:29.980]   and I would have my $30,000 and put it in my credit.
[00:52:29.980 --> 00:52:29.980]   and I would have my $30,000 and put it in my credit.
[00:52:30.000 --> 00:53:00.000]   ,
[00:53:00.000 --> 00:53:00.000]   I would have my $30,000 and put it in my credit.
[00:53:00.000 --> 00:53:00.000]   I would have my $30,000 and put it in my credit.
