
[00:00:00.000 --> 00:00:07.000]   At Suboba Casino Resort this October, something fun is lurking in the dark.
[00:29:39.000 --> 00:29:55.000]   And there was just a question of is – that was kind of my question was is the risk of doing the HELOC worth like the extra – let's say over two or three years, it ends up being like an extra $10,000 in interest.
[00:29:55.000 --> 00:29:57.000]   Like is the risk worth it?
[00:29:57.000 --> 00:30:11.000]   And that's kind of like why I was calling in today was whether or not it would be worth it to do that or if we just suck it up and, hey, we just – we accept that this is a high interest rate and we just work our butts off to pay it down.
[00:30:11.000 --> 00:30:15.000]   So that's kind of where the discussion was for me.
[00:30:15.000 --> 00:30:25.000]   Well, I guess all I can – it's a hard question for me to answer because the benefits – all I can do is just lay out kind of the benefits and the advantages for you.
[00:30:25.000 --> 00:30:32.000]   The benefit of moving it over onto a home equity line of credit, the obvious benefit is you lower your interest rate dramatically.
[00:30:32.000 --> 00:30:34.000]   That is a dramatic savings.
[00:30:34.000 --> 00:30:45.000]   The second benefit to moving it to a home equity line of credit is you move what today would be a mixture of business debt, deductible debt and non-deductible debt over onto a home equity line.
[00:30:45.000 --> 00:30:48.000]   And you can deduct that along with your other mortgage interest.
[00:30:48.000 --> 00:30:51.000]   So that could help you slightly from a tax consideration.
[00:30:51.000 --> 00:31:00.000]   And you do have that debt secured by an asset that eventually could be sold and paid off.
[00:31:00.000 --> 00:31:06.000]   Those would be kind of the benefits of the home equity line of credit and the interest savings is substantial.
[00:31:06.000 --> 00:31:08.000]   It's definitely substantial.
[00:31:08.000 --> 00:31:17.000]   The fear that you have if you move it over onto the home equity line of credit and then face some sort of emergency, that fear is justified.
[00:31:17.000 --> 00:31:21.000]   But you have to recognize that you still have access to the credit cards.
[00:31:21.000 --> 00:31:32.000]   So if you did move it over to the home equity line of credit, in essence, on the net, you're in the same position as you are keeping the balance on the credit cards and just having an empty home equity line of credit.
[00:31:32.000 --> 00:31:36.000]   You're in basically the same place.
[00:31:36.000 --> 00:31:40.000]   Because if you had an emergency, you could still, of course, use the credit cards again.
[00:31:40.000 --> 00:31:44.000]   And if you move the money over onto the home equity line of credit, it would help you to improve your credit score.
[00:31:44.000 --> 00:31:51.000]   Interest in favor of keeping it on the credit cards is the motivation to keep paying off the debt.
[00:31:51.000 --> 00:32:00.000]   I have almost never seen a family who was motivated to pay off credit cards when they moved it over to the home equity line of credit was able to keep the same motivation.
[00:32:00.000 --> 00:32:03.000]   There's something about having credit card debt that helps you to stay motivated.
[00:32:03.000 --> 00:32:09.000]   And I don't like the idea of moving debt over onto something where it's secured by an asset.
[00:32:09.000 --> 00:32:13.000]   But in your case, you're kind of stuck.
[00:32:13.000 --> 00:32:17.000]   So I would say it's either, number one, how quickly can you get out of debt?
[00:32:17.000 --> 00:32:24.000]   If you and she are both working full-time jobs and working side jobs, you could have this thing gone and you could be completely debt-free in 12 months.
[00:32:24.000 --> 00:32:32.000]   If you work hard and build up the business while you have your main job, you could be there in 12 months.
[00:32:32.000 --> 00:32:35.000]   And in 12 months, is the interest on the credit cards going to be a huge deal?
[00:32:35.000 --> 00:32:36.000]   Probably not.
[00:32:36.000 --> 00:32:40.000]   And you'd be able to get it down as you pay off the balance of some.
[00:32:40.000 --> 00:32:45.000]   So I think there's a strong argument made in favor of the home equity line of credit.
[00:32:45.000 --> 00:32:47.000]   I think I would be annoyed.
[00:32:47.000 --> 00:32:54.000]   And I personally, this is my opinion, I personally don't want unsecured debt moving to secured debt.
[00:32:54.000 --> 00:33:03.000]   It's more important to me to maintain a lower risk profile at the cost of a higher temporary interest for a few months than it is for me to save the interest.
[00:33:03.000 --> 00:33:08.000]   But that was a 20-minute discussion to say I don't know what you should do.
[00:33:08.000 --> 00:33:29.000]   But you really brought up some great points and definitely gave me some stuff to think about that I had no clue about, especially with the credit utilization and just the idea of if the emergency does come up, we still have access to the credit cards, which if we did do the HELOC, I'm not going to touch the credit cards.
[00:33:29.000 --> 00:33:37.000]   Because my whole goal is to be debt-free and ideally financially independent by the time I'm 35.
[00:33:37.000 --> 00:33:38.000]   So –
[00:33:38.000 --> 00:33:39.000]   Okay.
[00:33:39.000 --> 00:33:43.000]   If you've got that major motivation, then in that situation, I think I would shred the credit cards.
[00:33:43.000 --> 00:33:44.000]   I'd get rid of them completely.
[00:33:44.000 --> 00:33:45.000]   I wouldn't close them.
[00:33:45.000 --> 00:33:49.000]   But if you're going to move to the HELOC and still have them, shred them.
[00:33:49.000 --> 00:33:51.000]   If you have an emergency, you can get access to them in a few days.
[00:33:51.000 --> 00:33:56.000]   You can call the company and say, "Hey, we're going to – we need the cards again."
[00:33:56.000 --> 00:34:00.000]   But make a pact with your wife that we're going to have this thing gone.
[00:34:00.000 --> 00:34:02.000]   Otherwise, you just run the risk of going behind.
[00:34:02.000 --> 00:34:06.000]   But remember this, and I wanted to lead what I said earlier is important.
[00:34:06.000 --> 00:34:11.000]   When you're in a business startup place, it's okay for you to wait.
[00:34:11.000 --> 00:34:17.000]   It's okay for you to say, "I need to wait, and I'll deal with this in 12 months or six months," and look at the business.
[00:34:17.000 --> 00:34:19.000]   Make the business grow.
[00:34:19.000 --> 00:34:21.000]   You have the focus where you can do all of the above.
[00:34:21.000 --> 00:34:22.000]   You don't have to.
[00:34:22.000 --> 00:34:29.000]   But it's perfectly reasonable to say this is financing cost for the startup of my new business, and I can work on this in six or 12 months.
[00:34:29.000 --> 00:34:34.000]   Many people delude themselves, and six or 12 months turns into six or 12 years.
[00:34:34.000 --> 00:34:37.000]   And they still have a failing business, and they didn't move quickly enough.
[00:34:37.000 --> 00:34:40.000]   But it's okay to wait.
[00:34:40.000 --> 00:34:43.000]   All right, good luck to you guys, and let me know how it goes.
[00:34:43.000 --> 00:34:44.000]   I hope it helps.
[00:34:44.000 --> 00:34:47.000]   I hate to go back and forth, and maybe I didn't even answer it.
[00:34:47.000 --> 00:34:49.000]   Next – oops, wrong button.
[00:34:49.000 --> 00:34:50.000]   Matthew, hold on.
[00:34:50.000 --> 00:34:51.000]   I'm coming to you.
[00:34:51.000 --> 00:34:52.000]   Matthew, welcome to the show.
[00:34:52.000 --> 00:34:54.000]   How can I serve you today, please?
[00:34:54.000 --> 00:34:55.000]   Hey, Joshua.
[00:34:55.000 --> 00:34:58.000]   Thanks for taking my call today.
[00:34:58.000 --> 00:35:03.000]   I guess this falls under the career and income planning.
[00:35:03.000 --> 00:35:18.000]   I was reading Cal Newport's book, "So Good They Can't Ignore You," and he states that people find fulfillment in a career sometimes by simply sticking with that career
[00:35:18.000 --> 00:35:25.000]   and over time becoming, I don't know, necessarily an expert, but much more comfortable with their career.
[00:35:25.000 --> 00:35:32.000]   That's an oversimplification of what's in the actual book, but that's kind of how it is broken down.
[00:35:32.000 --> 00:35:35.000]   Do you believe that that has merit?
[00:35:35.000 --> 00:35:37.000]   If so, why, and if not, why not?
[00:35:37.000 --> 00:35:42.000]   And the reason I ask that is because it kind of runs into the sunk cost fallacy.
[00:35:42.000 --> 00:36:00.000]   You have to walk that thin line between, "Okay, do I just believe everything is gone and I'm making a clear decision today," or does each day I get a little bit better and this becomes a little bit more of a fulfilling career for me?
[00:36:00.000 --> 00:36:09.000]   If a career is fundamentally a bad fit, it's very unlikely that somebody is going to be able or willing to stick it out until they're good.
[00:36:09.000 --> 00:36:16.000]   So I think you have to start with there's got to be some basic fundamental fit.
[00:36:16.000 --> 00:36:24.000]   As long as there's some basic fundamental fit, and obviously here – well, not obviously.
[00:36:24.000 --> 00:36:32.000]   I'm not here talking about somebody who's in survival mode, totally broke, just the bare minimum necessities of life.
[00:36:32.000 --> 00:36:37.000]   In that situation, you take whatever job is at hand and you get yourself out of the ditch.
[00:36:37.000 --> 00:36:40.000]   We're talking about somebody who has opportunity and who's done well.
[00:36:40.000 --> 00:36:50.000]   I think when you have a basic level of fit, then that does make a lot of sense and there are – there is value in getting better at something.
[00:36:50.000 --> 00:37:00.000]   So I'll just use the simplest example, myself, because listeners know who I am because I've shared so much of my life.
[00:37:00.000 --> 00:37:12.000]   I often when I was younger had this dream of having an internet business because I would sit at home and I would – I've been pursuing this goal of having an independent online income that was location independent.
[00:37:12.000 --> 00:37:17.000]   I've been pursuing it for 15 years, maybe more, 17 years perhaps.
[00:37:17.000 --> 00:37:26.000]   And so I'd often have this dream and this idea and this goal that life would just be perfect if I had a laptop and could sit in front of a laptop.
[00:37:26.000 --> 00:37:35.000]   When I got into the financial planning business, I quit after three years and I quit – now, the first three years were brutal.
[00:37:35.000 --> 00:37:37.000]   After three years, I got better.
[00:37:37.000 --> 00:37:50.000]   But then I had an opportunity with a startup, a friend of mine who had created a startup, and it was in the technology space, had huge potential, huge potential returns, et cetera, and needed some help with online marketing.
[00:37:50.000 --> 00:37:53.000]   And I felt I had some skills to offer in that situation.
[00:37:53.000 --> 00:37:59.000]   I quit my business, told my bosses and everybody that I was done.
[00:37:59.000 --> 00:38:02.000]   I didn't fully terminate my contract, but I was moving towards that.
[00:38:02.000 --> 00:38:12.000]   And for about a month or two, I quit and went to work with this other person doing this technology startup.
[00:38:12.000 --> 00:38:26.000]   I quickly discovered that my dream, my juvenile dream that life would just be great if I can sit in front of a laptop and make my income wasn't the reality, that it wasn't just perfect and beautiful and fun just because I could sit in front of a laptop.
[00:38:26.000 --> 00:38:30.000]   I found it was really hard and it was work just like everything else was.
[00:38:30.000 --> 00:38:32.000]   Now, that particular venture didn't work out.
[00:38:32.000 --> 00:38:44.000]   I didn't have a good fit with the founder, and I was able to, without even ever having ever told my clients, I was able to step back in and kind of pick up the reins of my financial planning business like I had before.
[00:38:44.000 --> 00:38:54.000]   The next three years, years three to six, were much more fun because of my mastery of certain fundamentals that had caused me problems in the first three years.
[00:38:54.000 --> 00:38:58.000]   But then ultimately, I did switch and come to Radical Personal Finance.
[00:38:58.000 --> 00:39:03.000]   Now, one thing I am guaranteed proven to myself again is this is work.
[00:39:03.000 --> 00:39:09.000]   Having a so-called internet business and a media – I jokingly call my media empire.
[00:39:09.000 --> 00:39:10.000]   It's work.
[00:39:10.000 --> 00:39:14.000]   It is hard work and it's not always fun.
[00:39:14.000 --> 00:39:23.000]   So, I wholeheartedly stand with you and would condemn the idea that work is going to just be fun.
[00:39:23.000 --> 00:39:28.000]   Just because work is not fun doesn't mean work is not worth doing.
[00:39:28.000 --> 00:39:40.000]   And I don't know anybody who is effective and successful at their job or their business, their career, who doesn't have parts of it that they don't particularly love doing that aren't particularly fun.
[00:39:40.000 --> 00:39:42.000]   But that doesn't mean it's not worth doing.
[00:39:42.000 --> 00:39:47.000]   So, I do agree as long as there's a basic fit with the career.
[00:39:47.000 --> 00:40:07.000]   There are some careers and some people working in them that just simply are not fundamentally a fit, and it's a waste of time to keep pursuing them for year after year after year when a small, simple transition to something else would open up the horizons of opportunity and success far more freely.
[00:40:07.000 --> 00:40:11.000]   Got it. That makes sense.
[00:40:11.000 --> 00:40:25.000]   Yeah, I was just curious of how those two fit because there's so many jobs and careers that would be quite fulfilling to people but may not check the whole passion box.
[00:40:25.000 --> 00:40:42.000]   And I was just curious of kind of and I've actually noticed that in my own careers that I've noticed that people who have been around for 15 years really enjoy what they do.
[00:40:42.000 --> 00:40:51.000]   Although if you ask them 10 years ago if they would find "passion" in that job or in that field, they would probably answer no.
[00:40:51.000 --> 00:40:57.000]   But after the time had passed, they had found fulfillment in what they were doing.
[00:40:57.000 --> 00:41:00.000]   I do think that word – I wholeheartedly agree with Cal Newport in this.
[00:41:00.000 --> 00:41:08.000]   I think the word "passion" is very much oversold and misunderstood by many people.
[00:41:08.000 --> 00:41:15.000]   People often conflate the word "passion" with "fun," and I think that's a major mistake.
[00:41:15.000 --> 00:41:20.000]   And passion I think is appropriate.
[00:41:20.000 --> 00:41:27.000]   I have a deep passion for what I do, but it's not expressed in the same way that, "Oh, this is fun. I'm doing what I like to do for fun."
[00:41:27.000 --> 00:41:35.000]   I've experienced that anytime I've ever taken what I like to do for fun and turned it into work, it's quickly lost its fun for me.
[00:41:35.000 --> 00:41:38.000]   That's just been my experience and my observation of other people as well.
[00:41:38.000 --> 00:41:40.000]   I've known professional athletes.
[00:41:40.000 --> 00:41:47.000]   I've known people who are engaged in sports work, things that are fun for people.
[00:41:47.000 --> 00:41:53.000]   Again, quickly loses its appeal when it's turned into work.
[00:41:53.000 --> 00:41:57.000]   To me, passion is much more a matter of impact.
[00:41:57.000 --> 00:42:07.000]   So I'm passionate about the work that I do because I want to see a difference made in the world, and I can do that in many different ways.
[00:42:07.000 --> 00:42:13.000]   It's no different – what I'm doing now is fully integrated with the change that I want to see in the world.
[00:42:13.000 --> 00:42:31.000]   And it's that passion for change, that passion for truth, that passion for the things that – for lobbying and advocating and teaching the ideas and fundamental principles and concepts that I believe are helpful that keeps me going through the more difficult times.
[00:42:31.000 --> 00:42:35.000]   It's not just a fun passion for talking on a microphone.
[00:42:35.000 --> 00:42:39.000]   I could do this in a dozen different ways, but it is a deep passion.
[00:42:39.000 --> 00:42:41.000]   It's just not a fun.
[00:42:41.000 --> 00:42:42.000]   So good question.
[00:42:42.000 --> 00:42:43.000]   All right.
[00:42:43.000 --> 00:42:46.000]   I have got two other callers here.
[00:42:46.000 --> 00:42:50.000]   Let's go first with 415 caller from California.
[00:42:50.000 --> 00:42:52.000]   Welcome to Radical Personal Finance.
[00:42:52.000 --> 00:42:58.000]   Go ahead and tell us who you are and ask your question, please.
[00:42:58.000 --> 00:43:01.000]   415 Area Code from San Francisco, California.
[00:43:01.000 --> 00:43:06.000]   Welcome to the show.
[00:43:06.000 --> 00:43:07.000]   All right.
[00:43:07.000 --> 00:43:08.000]   Dead air just like on the radio.
[00:43:08.000 --> 00:43:11.000]   Next, we'll go to Washington, 202 number.
[00:43:11.000 --> 00:43:13.000]   Welcome to the show.
[00:43:13.000 --> 00:43:15.000]   Introduce yourself, please, and let me know your question.
[00:43:15.000 --> 00:43:16.000]   Yes, Joshua.
[00:43:16.000 --> 00:43:17.000]   My name is John.
[00:43:17.000 --> 00:43:19.000]   Thank you for taking the call.
[00:43:19.000 --> 00:43:30.000]   I am an active duty officer in the Navy, and I have been running some calculations for myself about the military survivor benefit plan.
[00:43:30.000 --> 00:43:35.000]   And I wanted to tell you what I have seen so far.
[00:43:35.000 --> 00:43:44.000]   And as my virtual financial advisor, I wanted to ask some feedback as to whether or not there is something that I'm missing.
[00:43:44.000 --> 00:43:45.000]   Okay.
[00:43:45.000 --> 00:43:46.000]   Go ahead.
[00:43:46.000 --> 00:44:00.000]   So the military survivor benefit plan, in short, is basically buying into an annuity for my spouse to continue to receive a benefit in the event that I were to pass away.
[00:44:00.000 --> 00:44:10.000]   So my spouse would be entitled to 55% of my retirement pay, and that would include inflation adjustments.
[00:44:10.000 --> 00:44:18.000]   But the cost to buy into that program is 6.5% each month for 30 years.
[00:44:18.000 --> 00:44:24.000]   So that 6.5% does have the benefit of being pre-taxed.
[00:44:24.000 --> 00:44:30.000]   The alternative sometimes discussed is the idea of a term life insurance.
[00:44:30.000 --> 00:44:36.000]   But as I've considered that, I know one of the disadvantages there is there's nothing at the end of the term.
[00:44:36.000 --> 00:44:42.000]   And although we could go through financial planning and talk about how other investments may grow,
[00:44:42.000 --> 00:44:57.000]   I feel like I would be missing an opportunity to fully care for my spouse or my wife in terms of having something guaranteed rather than relying on some other investment growth.
[00:44:57.000 --> 00:45:07.000]   So that has led me to look more closely at whole life insurance, which the disadvantage there is it would be relatively costly.
[00:45:07.000 --> 00:45:16.000]   But I'm considering the idea of a 10-year paid up policy, which means I could cover that within my current monthly budget,
[00:45:16.000 --> 00:45:26.000]   pay it off over the next 10 years with the added benefit of getting that expense ended and not carrying that expense into retirement.
[00:45:26.000 --> 00:45:36.000]   I see the other benefits of the whole life insurance being an opportunity if my wife were to die prematurely relative to me,
[00:45:36.000 --> 00:45:46.000]   there would still be something there in my estate compared to nothing buying into this survivor benefit as an effective annuity.
[00:45:46.000 --> 00:45:54.000]   So roughly speaking, just doing some ballpark estimates, the 10-year whole life insurance,
[00:45:54.000 --> 00:46:08.000]   and I'm notionally looking at something like a $600,000 policy, would be paying in about $120,000 from year 2017 to year 2027.
[00:46:08.000 --> 00:46:19.000]   Compared to the military survivor benefit with that 6.5%, being roughly, and just estimating a potential retirement in 2027,
[00:46:19.000 --> 00:46:30.000]   roughly being about $200, just making some rough assumptions about inflation from 2027 to 2057.
[00:46:30.000 --> 00:46:38.000]   So I think like any other insurance decision, this is really coming down to a risk decision.
[00:46:38.000 --> 00:46:51.000]   But I see some benefits to the military survivor benefit in particular if I were to be hit by a bus early or if inflation were to run rampant.
[00:46:51.000 --> 00:47:01.000]   But that's the summary I have, and I'm just wanting to, again, see if I'm missing something.
[00:47:01.000 --> 00:47:08.000]   –Have you reviewed the quotes that you've received and the policy illustrations on a whole life policy?
[00:47:08.000 --> 00:47:17.000]   Have those been reviewed in consultation with a professional agent or those things that you pulled just online on your own research?
[00:47:17.000 --> 00:47:26.000]   –I've done some quotes with a life insurance company that I'm familiar with because I have term life policies with them,
[00:47:26.000 --> 00:47:32.000]   so I do not have any whole life policy with them, but I haven't gone into detailed discussions with an agent.
[00:47:32.000 --> 00:47:44.000]   –Given your health, is there any reason to expect that you would not be granted a life insurance policy with the best health underwriting at the best health classification?
[00:47:44.000 --> 00:47:48.000]   –No. I think I would be. –How old are you currently?
[00:47:48.000 --> 00:47:54.000]   –I am 38. –And tell me your wife, her age, please.
[00:47:54.000 --> 00:48:01.000]   –She's just a year older than me. –And is her health also in good condition? Is she also in good health?
[00:48:01.000 --> 00:48:19.000]   –Her health is not as good as mine. She has some chronic concerns, though not specifically related to anything that should affect longevity.
[00:48:19.000 --> 00:48:27.000]   –Her family history and your family history, are your parents alive? If so, how old are they? Or if not, at what age did they die?
[00:48:27.000 --> 00:48:34.000]   –They are all alive in their 60s. –With your grandparents, were they long-lived?
[00:48:34.000 --> 00:48:38.000]   –Relatively speaking.
[00:48:38.000 --> 00:48:50.000]   –So just to kind of clarify, this is an important area of consideration because we're basically trying to make some guesses here.
[00:48:50.000 --> 00:49:00.000]   And if you guess right or wrong, you may come out substantially ahead or not, depending on what happens.
[00:49:00.000 --> 00:49:14.000]   If you live and are very long-lived, then – and if you can get the benefit of your military pension for a long period of time at a higher rate, that's going to be very much in your favor.
[00:49:14.000 --> 00:49:23.000]   If your wife dies before you or dies at a younger age, then it would be much better for you to choose the option that gives you more money.
[00:49:23.000 --> 00:49:29.000]   So that's a big deal. This entire plan is predicated upon the fact that you could even get insurance.
[00:49:29.000 --> 00:49:40.000]   And so that's why I ask the health questions. Many people who start to do these calculations and think this through quickly find out, "Well, I can't even get insurance."
[00:49:40.000 --> 00:49:47.000]   And if you can't get insurance, the best thing to do is go with these benefits like the military survivor benefit plan.
[00:49:47.000 --> 00:50:00.000]   And then also age makes a big difference. The problem with life insurance is it needs to be – really to work out well, it really needs to be purchased at a younger age for short-term needs like this.
[00:50:00.000 --> 00:50:05.000]   So 38 is an entirely reasonable age to do this.
[00:50:05.000 --> 00:50:12.000]   The first thing to do is to get as accurate numbers as possible.
[00:50:12.000 --> 00:50:22.000]   So the company that you did this with, was it USAA? Do you have term insurance with them? And you talked to them about a whole life policy. What company was it?
[00:50:22.000 --> 00:50:25.000]   It is actually Navy Mutual Aid Association.
[00:50:25.000 --> 00:50:45.000]   Okay. So it's good to talk with them whether it's Navy Mutual Aid, etc. I probably would be very slow to go with – for whole life insurance, I'd be very slow to talk too long with a company that doesn't specialize in whole life insurance.
[00:50:45.000 --> 00:50:52.000]   And the four big guns in the whole life insurance policy are the big mutual life insurance companies.
[00:50:52.000 --> 00:50:59.000]   Northwestern Mutual, New York Life, MassMutual and Guardian are the leaders in that space. That's what they do.
[00:50:59.000 --> 00:51:10.000]   And I would review this with an agent from one or a couple of those companies depending on which company we're talking about.
[00:51:10.000 --> 00:51:17.000]   They may or may not have access to the other company's policies, but they're all going to be very similar in terms of their quality.
[00:51:17.000 --> 00:51:27.000]   The reason that's important is if you work with one of those companies, you're more likely to get somebody who is experienced in whole life insurance and who can run some numbers.
[00:51:27.000 --> 00:51:32.000]   Because with this, a lot of it is going to depend on the performance of the actual policy.
[00:51:32.000 --> 00:51:43.000]   A $600,000 policy that stays $600,000 compared to the benefit of a military – pension of the military benefit is probably not going to be all that great.
[00:51:43.000 --> 00:51:55.000]   A $600,000 policy that makes up the difference for the 6.5% loss and that's run with a good quality mutual company where you're going to get ongoing dividends.
[00:51:55.000 --> 00:52:02.000]   Once the policy is mature, it's going to continue growing. The cash values will be there. The death benefit will be there.
[00:52:02.000 --> 00:52:13.000]   That approach will make a big difference. And so this has to be carefully calculated based upon somebody who knows and who can use a quality conservative policy that is going to be there.
[00:52:13.000 --> 00:52:28.000]   It's very important that you recognize that in terms of what you're considering giving up, the military survivor benefit pension plan, that is a gold-plated option.
[00:52:28.000 --> 00:52:37.000]   That is a powerful financial planning tool. It is – number one, it's guaranteed to you. There's no underwriting. You just have to sign up for it.
[00:52:37.000 --> 00:52:43.000]   Number two, it's backed directly by the full faith and credit of the US government.
[00:52:43.000 --> 00:52:49.000]   We're not talking about an insurance company that is – may or may not go under, may or may not pay out.
[00:52:49.000 --> 00:52:55.000]   We're talking about the full faith and credit of the US government, which is backed by all of their taxing authority.
[00:52:55.000 --> 00:53:04.000]   That's backed by military budget allocation, which nobody right now is lobbying to take money away from the military.
[00:53:04.000 --> 00:53:13.000]   And so especially for veterans and all of this stuff, you don't get a stronger positioning power than what you're talking about.
[00:53:13.000 --> 00:53:20.000]   Military benefit pension plans, that is gold in our current political space.
[00:53:20.000 --> 00:53:28.000]   And because of the cost of living adjustment, Ryder, that is one of the most valuable potential assets that you can have.
[00:53:28.000 --> 00:53:37.000]   When you start calculating that inflation benefit and when it's – that's so, so powerful and it makes a huge difference to the value of it.
[00:53:37.000 --> 00:53:46.000]   So you have to approach this very seriously and start with the fact of this thing is a diamond in my financial planning tool belt.
[00:53:46.000 --> 00:53:52.000]   I may be able to get a slightly better diamond, but I need to be very suspicious.
[00:53:52.000 --> 00:54:01.000]   You don't just trot out to the local financial person and say, "Hey, I'm interested in buying a 10-year paid up whole life insurance policy. What you got?"
[00:54:01.000 --> 00:54:08.000]   And buy with some B-rated company or a policy that may self-destruct because it was poorly designed and poorly funded, et cetera.
[00:54:08.000 --> 00:54:13.000]   You need to replace gold with gold if you're going to consider something like this for your family.
[00:54:13.000 --> 00:54:25.000]   And so I would – if I woke up in your shoes, I would exclusively start in one of those situations and I would try to work with a gold-plated agent or somebody that can work with you with those.
[00:54:25.000 --> 00:54:29.000]   They're not as good as the full faith and credit of the government.
[00:54:29.000 --> 00:54:34.000]   But there may be an opportunity to enhance it and you'll only know by calculating it.
[00:54:34.000 --> 00:54:41.000]   My standard advice on how to find an experienced life insurance agent in a situation like yours is this.
[00:54:41.000 --> 00:54:50.000]   If you don't have somebody or don't have a connection, find in phone book, local search directory, et cetera, one of the offices for those four companies.
[00:54:50.000 --> 00:54:52.000]   And you should start with a couple.
[00:54:52.000 --> 00:54:55.000]   Every one of them has a reason why they think they're better than another.
[00:54:55.000 --> 00:54:56.000]   But start with those offices.
[00:54:56.000 --> 00:54:57.000]   Call the local office.
[00:54:57.000 --> 00:55:00.000]   Speak to the secretary who answers the phone.
[00:55:00.000 --> 00:55:05.000]   Tell them you want to speak with the managing director or managing partner of the office.
[00:55:05.000 --> 00:55:11.000]   And just tell them, "I'm interested in getting some insurance quotes but I'd like to talk to the managing director or managing partner."
[00:55:11.000 --> 00:55:13.000]   They may or may not put you through.
[00:55:13.000 --> 00:55:15.000]   So tell the information to the secretary.
[00:55:15.000 --> 00:55:17.000]   You don't need to talk to the managing director or managing partner.
[00:55:17.000 --> 00:55:25.000]   But tell them, "I'm shopping for life insurance policy as a possible pension replacement option and I need to get some quotes and talk with somebody knowledgeable.
[00:55:25.000 --> 00:55:28.000]   Who in your office would you recommend I talk to?"
[00:55:28.000 --> 00:55:43.000]   And that way they'll steer you to somebody who's more experienced senior agent who should hopefully have the technical competence to actually run an accurate calculation for you or they may just do it themselves.
[00:55:43.000 --> 00:55:45.000]   You don't need to talk to the managing director.
[00:55:45.000 --> 00:55:48.000]   The secretary can tell you who that person is and put them in touch with you.
[00:55:48.000 --> 00:55:56.000]   But at least by going through the managing director, you don't run the risk of just facing whoever's new off the street.
[00:55:56.000 --> 00:56:19.000]   To the actual question of it, if you don't buy the spousal benefit option and you die early, is my understanding accurate that your wife would get nothing from your pension?
[00:56:19.000 --> 00:56:25.000]   That is correct.
[00:56:25.000 --> 00:56:31.000]   That has been the thing that I have come to loathe about some of the pension plans.
[00:56:31.000 --> 00:56:51.000]   And because of that, I have actually – the year before I came and started Radical Personal Finance, I went through this analysis with a client of mine who was a schoolteacher.
[00:56:51.000 --> 00:57:02.000]   And they had the gold-plated pension, the best that the government school system had to offer.
[00:57:02.000 --> 00:57:06.000]   But there was no survivor benefit.
[00:57:06.000 --> 00:57:09.000]   And we worked through the whole analysis.
[00:57:09.000 --> 00:57:21.000]   We ran the numbers on the policies and we did move into the situation of replacing that pension with a life insurance policy and a – it was a different planning scenario.
[00:57:21.000 --> 00:57:27.000]   But – and the major reason we did it was because they were willing to bet on long life and they wanted both.
[00:57:27.000 --> 00:57:29.000]   They wanted the insurance and it.
[00:57:29.000 --> 00:57:42.000]   I'm concerned about only $600,000 because your pension would have a present value I would assume far in excess of $600,000.
[00:57:42.000 --> 00:57:54.000]   So just my gut is if you're running your numbers based upon what you got from that one quote, my gut is that you're better off skipping the life insurance policy and keeping the military benefits.
[00:57:54.000 --> 00:57:57.000]   But you may be able to get a better policy.
[00:57:57.000 --> 00:58:05.000]   You may be able to get a better designed policy, a policy that's built for death benefit and can run at a lower premium but is still very, very safe.
[00:58:05.000 --> 00:58:13.000]   And you may be able to do it and come out ahead, especially if you're confident about your health.
[00:58:13.000 --> 00:58:15.000]   But I would cover it in the short term.
[00:58:15.000 --> 00:58:21.000]   I would definitely – if you're going to do that, you definitely need to make up much more than $600,000 of whole life in term.
[00:58:21.000 --> 00:58:27.000]   You're going to need a lot more term to protect yourself over the next decade as you move towards that, a couple of decades.
[00:58:27.000 --> 00:58:35.000]   And so you're going to need a delicate plan that's well-designed if you do want to do better.
[00:58:35.000 --> 00:58:46.000]   In general, my advice is take the government benefit because it's so strong and it does provide that rock solid protection for your wife, which is crucial.
[00:58:46.000 --> 00:58:53.000]   But the situation that you're describing piques my interest in that it's worth further calculation.
[00:58:53.000 --> 00:59:02.000]   But you need a better built policy to get you there and you need to do some more careful calculation on what you'd be giving up of the present value of the benefit for her.
[00:59:02.000 --> 00:59:04.000]   Helpful?
[00:59:04.000 --> 00:59:07.000]   Does that answer your question enough to get you started?
[00:59:07.000 --> 00:59:09.000]   Yes, it does.
[00:59:09.000 --> 00:59:16.000]   You do have – you are the right type of candidate for whom this plan can potentially work for.
[00:59:16.000 --> 00:59:21.000]   In general, these plans don't work for most people.
[00:59:21.000 --> 00:59:26.000]   People who want to buy a life insurance policy to replace something, it usually doesn't work.
[00:59:26.000 --> 00:59:33.000]   In my experience, it doesn't work because people are usually buying them too old and they're too sick and they can't get policies at good ratings.
[00:59:33.000 --> 00:59:40.000]   If you were issued a standard or a rated policy, then the whole plan goes out the window and you absolutely should not go with it.
[00:59:40.000 --> 01:00:01.000]   But if you could get a preferred policy with a well-run company, it is possible that this could come out better and you could get to enjoy the benefit of a pension for your entire lifetime and protect your wife financially and have the possibility of leaving a much larger estate.
[01:00:01.000 --> 01:00:15.000]   It is one of the reasons why I do love it when people get life insurance at a young age with good companies because this opens up opportunities to them that many of their peers won't have.
[01:00:15.000 --> 01:00:19.000]   Anything else I can answer for you before we go?
[01:00:19.000 --> 01:00:20.000]   Is that good enough?
[01:00:20.000 --> 01:00:23.000]   Yes, sir. Thank you, Joshua.
