
[00:00:00.000 --> 00:00:06.480]   I mean the the the the the the question was do we record the whole thing or just the
[00:28:55.680 --> 00:29:02.400]   evaluation results so this would be something like dspy etc etc that you can think about which we saw in
[00:29:02.400 --> 00:29:09.520]   some demos to automatically improve our evaluation prompts um but so yeah that's it that's all i had
[00:29:09.520 --> 00:29:19.120]   to share any questions just gonna go back to the screen here oh there's a few questions
[00:29:22.960 --> 00:29:30.480]   um okay i am gonna start from the one in the bottom um is there feedback on the information utility of
[00:29:30.480 --> 00:29:33.840]   specific labels for improving alignment
[00:29:33.840 --> 00:29:45.760]   this is not clear to me um i don't know and i don't know if shreya has joined yet she may not be able to
[00:29:45.760 --> 00:29:52.480]   join uh she may not have joined yet she has not i think this is a question that maybe i will wait
[00:29:52.480 --> 00:29:57.280]   for shreya let me just check twitter if she is just respond i did share for the zoom link
[00:29:57.280 --> 00:30:13.600]   eugene you said you made a prototype based on uh like the i think there was like a diagram earlier
[00:30:13.600 --> 00:30:17.920]   like can you talk more about the prototype if no one else has questions for the paper
[00:30:17.920 --> 00:30:21.760]   yeah sure i can share more about the prototype um
[00:30:21.760 --> 00:30:30.320]   where is it okay here we go
[00:30:30.320 --> 00:30:41.280]   share so here's a here's a very small simple prototype essentially the question the question that i have for
[00:30:41.280 --> 00:30:51.440]   myself is how can i help users um label data and evaluate data and improve their evaluation prompts
[00:30:51.440 --> 00:30:56.800]   easier so here's a small toy that i made uh it's called label lm assistance for better evaluation
[00:30:56.800 --> 00:31:02.560]   labels um so to get started we have to upload a csv file right so you can see as you file essentially
[00:31:02.560 --> 00:31:07.280]   i think these are fairly reasonable constraints id input output and a label and the label can be empty
[00:31:08.320 --> 00:31:15.040]   so what am i going to do is i'm going to input a upload csv file so this is a csv file it's the
[00:31:15.040 --> 00:31:21.040]   factually inconsistent that's this is the factual inconsistent um data set so what i'm going to do
[00:31:21.040 --> 00:31:26.400]   is let me just start from scratch um upload so here's how the csv profile looks like after we've
[00:31:26.400 --> 00:31:31.040]   uploaded that's the input that's output the goal is to try to make it easy for the users to read
[00:31:31.840 --> 00:31:37.520]   right and we can enter labels so the thing is currently right now we are in evaluate we are in
[00:31:37.520 --> 00:31:44.240]   labeling mode so to unlock evaluation mode you have to label at least many rows and i try to provide
[00:31:44.240 --> 00:31:49.280]   feedback that you know you have to label as many rows essentially i'm trying to gamify this to help
[00:31:49.280 --> 00:31:57.840]   users get to the next level so but i have a data set that uh already has some rows uploaded
[00:31:57.840 --> 00:32:00.560]   um
[00:32:00.560 --> 00:32:12.800]   so this this has uh this is evaluation mode so in uh in order to achieve evaluation mode
[00:32:13.520 --> 00:32:17.680]   uh wait a minute have i already labeled so many so much data
[00:32:17.680 --> 00:32:23.200]   let me just okay maybe my data set wasn't prepared correctly
[00:32:23.200 --> 00:32:28.720]   uh by the way this is this is now evaluation mode after we've labeled 20 out of 20 it will show that
[00:32:28.720 --> 00:32:33.600]   evaluation mode has been unlocked so you see evaluation mode unlock scroll top to add your prompt
[00:32:33.600 --> 00:32:39.440]   so once evaluation mode is unlocked you can enter the prompt and it'll allow you to use the prompt to
[00:32:39.440 --> 00:32:47.520]   try to do that so evaluation mode you can just run evaluate it will evaluate all the data uh evaluate
[00:32:47.520 --> 00:32:52.240]   on the data so you can see we start getting results as it comes in piece by piece essentially what this
[00:32:52.240 --> 00:32:56.640]   is happening is just running on the back end uh big thanks to swix for teaching me how to do this the
[00:32:56.640 --> 00:33:00.400]   right way to do this and then what we're doing is this it's running on the background it's all
[00:33:00.400 --> 00:33:04.560]   storing the database but at the same time we're also polling it once a second to show the results
[00:33:04.560 --> 00:33:10.400]   and what we see in the top left corner here these are metrics right these are metrics for recall
[00:33:10.400 --> 00:33:16.400]   precision cohen's kappa and we also have true positive true negative uh false positive and false negative
[00:33:16.400 --> 00:33:24.080]   so this is uh going to take some time and it's going to evaluate the data and along the way we can
[00:33:24.080 --> 00:33:28.880]   see how well it lines so we can actually see that okay when alignment is there you see essentially
[00:33:28.880 --> 00:33:33.760]   the label the prediction matches your label that's great and then when alignment is not there the
[00:33:33.760 --> 00:33:38.080]   prediction doesn't match the label it's uh it'll be highlighted in red and you can look through it
[00:33:38.080 --> 00:33:41.920]   you can look through it you can try to update the chain of thought you can try to understand why
[00:33:41.920 --> 00:33:46.080]   it's giving this prediction based on the explanation and you can see the explanation here
[00:33:46.080 --> 00:33:52.000]   and as we scroll down oh wow this is pretty good you can see a lot most of it is largely aligned
[00:33:52.000 --> 00:33:55.040]   essentially what this is doing this is just a chain of thought followed by the final label
[00:33:56.080 --> 00:34:03.120]   and it's just going to go through it and once it goes through all 50 of it um again this is uh so
[00:34:03.120 --> 00:34:08.480]   currently we're in evaluation mode where the lm is evaluating it so to unlock optimization mode you have
[00:34:08.480 --> 00:34:13.520]   to label at least 50 rows and you have to run evaluation mode once essentially we sort of need an
[00:34:13.520 --> 00:34:18.880]   existing metric for how well we need a baseline for how well this basic evaluation prompt works and you
[00:34:18.880 --> 00:34:22.880]   can see the problem is actually very short just evaluate if the output summary is actually consistent with the
[00:34:22.880 --> 00:34:26.240]   input article if it's consistent return one if it's inconsistent return zero
[00:34:26.240 --> 00:34:35.840]   so now we are at uh row number 38 oh seems to have broken nope it's still running it's just taking a
[00:34:35.840 --> 00:34:41.920]   bit of time uh row number 41 so once we have at least 50 rows i actually think the right number should be
[00:34:41.920 --> 00:34:49.440]   maybe 100 to 400 if you want to be optimizing based on this uh and after we've run evaluation mode once uh we
[00:34:49.440 --> 00:34:55.440]   can actually run optimization mode so optimization mode is going to come up in maybe a couple of
[00:34:55.440 --> 00:35:00.000]   seconds so you can see right here it's just i just want to try to figure out a way to give users fast
[00:35:00.000 --> 00:35:06.160]   feedback all right so now that we've labeled 50 uh and evaluated all of them it shows that optimization
[00:35:06.160 --> 00:35:10.240]   mode is unlocked so we can scroll to the top and click on optimize evaluation prompt so optimization
[00:35:10.240 --> 00:35:15.920]   what it does is that on the back end we're just going to try to figure out how to optimize the evaluation
[00:35:15.920 --> 00:35:20.320]   prompt uh unfortunately clicking on this number clicking on this button doesn't do anything
[00:35:20.320 --> 00:35:29.440]   i just implemented this yesterday um but i tried to um well with next js it's very easy to try to make
[00:35:29.440 --> 00:35:36.240]   it something fun and funky of course i'm sure six uh will do something way better but essentially this is
[00:35:36.240 --> 00:35:40.800]   this is what the next step is clicking on this button will optimize in the back end we'll see a different
[00:35:40.800 --> 00:35:45.840]   we'll see a different page which has like maybe 10 rows and all the different optimization scores
[00:35:45.840 --> 00:35:51.680]   it's actually just hyper parameter tuning you can think of it hyper prompt tuning um so yeah that's my
[00:35:51.680 --> 00:36:00.560]   short demo any questions or feedback would be nice yeah that's fire so so of all the tested frameworks
[00:36:00.560 --> 00:36:05.440]   you ended up going with next js and not like um oh how do you know this is next how do you know this is next
[00:36:05.440 --> 00:36:12.240]   yes you mentioned it a couple minutes a second ago oh okay yeah this is next js i it was really easy to
[00:36:12.240 --> 00:36:23.040]   build this with cursor and v0.dev um and i went with it the back end uh is going to be fast api
[00:36:23.040 --> 00:36:30.560]   i i believe the back end will be fast api uh or i could try to do it uh all in type script and xjs i
[00:36:30.560 --> 00:36:35.120]   don't know uh but i think the prompt optimization back and i'll just have a fast api and then you
[00:36:35.120 --> 00:36:43.200]   know next js this app will just call fast api uh you know here's the here's the label data set or rather
[00:36:43.200 --> 00:36:50.880]   the label data set is all in a dynamo db or rather it's just in a sqlite db and then the the fast api
[00:36:50.880 --> 00:36:54.400]   backend will also have access to that and just optimizing it and computing scores
[00:36:54.400 --> 00:37:05.440]   so this is oh sorry go ahead no i was just gonna say that was really cool i'm now trying
[00:37:05.440 --> 00:37:09.520]   to tie it back into like uh the validator paper that we just read and understand like the implications
[00:37:09.520 --> 00:37:15.200]   that you're talking about for that diagram at the beginning exactly exactly that's great thank you flo um
[00:37:15.840 --> 00:37:24.800]   so what i was trying to do was this this green section over here right i'm trying to force people
[00:37:24.800 --> 00:37:29.520]   so you can see that there's a it's very specific right i'm trying to force people i really think
[00:37:29.520 --> 00:37:35.360]   that you should be evaluating at least 20 samples evaluate at least 10 20 samples um i'm not trying
[00:37:35.360 --> 00:37:41.280]   to create candidate criteria um i'm not trying to get lm to create initial criteria the thing is i need the
[00:37:41.280 --> 00:37:46.320]   human i need a human to just provide the criteria and it could be bullet points so you can assume
[00:37:46.320 --> 00:37:49.760]   someone who doesn't know anything about prompting just gonna put bullet points i'm just gonna take
[00:37:49.760 --> 00:37:53.760]   whatever sop they have they're just gonna paste it in there and we just get s we'll just get the lm to
[00:37:53.760 --> 00:38:00.640]   run right and then we're gonna check and then we can check the alignment report card which is this
[00:38:00.640 --> 00:38:07.680]   thing over on the here on top probably will have a separate screen on its own um i don't know uh but this
[00:38:07.680 --> 00:38:12.000]   thing is just a floating screen it's just i think it's fun to see i think it gives instantaneous
[00:38:12.000 --> 00:38:19.280]   feedback that hey no this thing is doing some work your work is um your work is valuable you doing the
[00:38:19.280 --> 00:38:24.800]   labeling is valuable and therefore i want you to label more data and of course every step of the way
[00:38:24.800 --> 00:38:32.160]   i try to give you milestones after you've labeled um i'm gonna i'm gonna delete all of this or rather maybe
[00:38:32.160 --> 00:38:37.280]   not i'm gonna give okay so if you if you want to unlock evaluation mode you have to label at least 20
[00:38:37.280 --> 00:38:43.440]   rows okay so try to get into to the first milestone of labeling as 20 rows of data after you've labeled
[00:38:43.440 --> 00:38:47.760]   20 rows of data you can run evaluation mode and if you want to unlock optimization mode you have to label
[00:38:47.760 --> 00:38:53.760]   another 30 rows um so give them the next milestone and after they've done that okay now we can do
[00:38:53.760 --> 00:38:58.560]   optimization mode i think i think for this demo the numbers were actually low i think 20 and 50 is a bit
[00:38:58.560 --> 00:39:05.600]   too low i think maybe it should be 25 and 100 but i'm actually trying to play with that uh but yeah
[00:39:05.600 --> 00:39:12.080]   that's that's the that's the this is the loop this green box here is the loop i'm trying to
[00:39:12.800 --> 00:39:29.280]   uh improve on make it make tighter okay no more questions i guess yeah it's it's a fairly easy and
[00:39:29.280 --> 00:39:39.120]   straightforward paper oh actually there's a lot stuff in the chat is the code open uh it's the code open
[00:39:39.120 --> 00:39:42.800]   it's not open yet because it's very ugly um i will
[00:39:42.800 --> 00:39:51.120]   this code is not open but the previous one on the evaluation frameworks it is open um so you can look
[00:39:51.120 --> 00:39:56.400]   at it this this one is not open i still have quite a bit of work to do to make it a little bit cleaner
[00:39:56.400 --> 00:40:03.040]   um you should experiment with the writer framework to see how it does and handle front and back for you
[00:40:03.040 --> 00:40:10.000]   yeah oh kind of like fast html wow yeah i i i know you ping me that sam uh i haven't had a chance to
[00:40:10.000 --> 00:40:22.720]   look at it um the am on is type the couple yeah um um yeah the back like this app i was really
[00:40:22.720 --> 00:40:28.640]   again when i was trying to build it before i was building i was like okay maybe let's try to uh dig into
[00:40:28.640 --> 00:40:34.480]   next js again or typescript frameworks again so in this over here uh shoot
[00:40:34.480 --> 00:40:43.840]   i switched over to a different screen um in this framework over here so long story short i went through
[00:40:43.840 --> 00:40:49.920]   fast html next js civic kit and even had a frankenstein of civic kit
[00:40:51.360 --> 00:40:59.920]   svelte with fast api in the backend uh this was not good um yeah i really had to hack a lot of
[00:40:59.920 --> 00:41:04.800]   things and frankenstein it i really don't like how it works but i think this is probably the best of both
[00:41:04.800 --> 00:41:16.240]   worlds um yeah sdk might be fun to try i think i did use the versell ai sdk for this um but i can't
[00:41:16.240 --> 00:41:26.720]   confirm let me let me let me take a look right now uh well so here's this ugly code um and the evaluate
[00:41:26.720 --> 00:41:35.360]   route oh i'm just using and i'm just calling entropic directly yeah yeah sdk i think i initially
[00:41:35.360 --> 00:41:41.280]   used ai sdk from versell but i think what was useful there was streaming and i didn't have streaming so i
[00:41:41.280 --> 00:41:50.400]   i just simplified it and just deleted um stuff to yeah to simplify it yeah the law paper is leadership
[00:41:50.400 --> 00:42:04.160]   principles oh so um eugene if i may yeah yeah um okay so in your experience were all or at least most
[00:42:04.160 --> 00:42:12.160]   tasks distillable down to a binary prediction or is that just the ideal goal i think most tasks can be
[00:42:12.160 --> 00:42:17.600]   i think if you think about it if summarization it's really relevance
[00:42:17.600 --> 00:42:24.160]   factuality comprehensiveness or maybe you can give me an example of something that you don't think can be
[00:42:24.160 --> 00:42:31.280]   distilled down um well off the top of my head because i don't have a specific use case in mind but
[00:42:31.280 --> 00:42:37.520]   it may be you know multiple class classification but i guess that can be distilled down to pairwise
[00:42:37.520 --> 00:42:41.440]   one v one uh sort of framework so
[00:42:41.440 --> 00:42:48.880]   when you think about multiple class are you thinking about does this output
[00:42:48.880 --> 00:42:58.720]   meet not meet policies for toxicity bias multiple choice questions where multiple answers uh are required for
[00:42:58.720 --> 00:43:06.160]   some questions yeah so that is not the task of an lm evaluator right that's the task of an lm classifier
[00:43:06.160 --> 00:43:14.640]   oh i see okay yeah okay okay targeting specifically the uh ability of an llm to evaluate uh whether
[00:43:14.640 --> 00:43:21.760]   something is good or bad got it okay makes more so you're right for multi-task like you know or maybe like
[00:43:21.760 --> 00:43:28.720]   um let's say given some kind of product description and title can you say is it uh
[00:43:28.720 --> 00:43:36.800]   is it fmcg is it clothes is it furniture yeah that that that is completely different that that would be
[00:43:36.800 --> 00:43:41.600]   that would be a separate thing but right now i'm just really focusing on evaluating it
[00:43:42.640 --> 00:43:48.960]   is this is this classification is this classification correct or wrong simple that's binary but the goal
[00:43:48.960 --> 00:43:55.520]   here is to have a uh let's say a solid justification for using an lm as an evaluator
[00:43:57.920 --> 00:44:04.800]   uh no not really um i know that we have to use an lm as an evaluator there's no way around it if we
[00:44:04.800 --> 00:44:09.760]   want to scale i think that's the only way the question is how can i tighten the alignment how can i
[00:44:09.760 --> 00:44:18.160]   tighten the feedback loop to make it easier to use the lms and evaluator i'm taking a lot of um inspiration from
[00:44:19.920 --> 00:44:27.520]   tracking the loop in order to be able to scale to uh more instances uh faster exactly so you can
[00:44:27.520 --> 00:44:34.480]   exactly so you can imagine that uh maybe an ai engineer might be able to look at the data
[00:44:34.480 --> 00:44:39.840]   understand the criteria talk to pms understand criteria look at the user experience and then write
[00:44:39.840 --> 00:44:45.520]   the prompts and then they will do all the evaluation themselves right but now let's imagine that we don't
[00:44:45.520 --> 00:44:50.240]   have that ai engineer or that ai engineer is actually bottlenecked and we want to use ai everywhere
[00:44:50.240 --> 00:44:56.560]   right we're going to have lms doing classification summarization translations extraction everywhere
[00:44:56.560 --> 00:45:02.480]   um now there will be a certain level of there at some point in time there will be a certain thing
[00:45:02.480 --> 00:45:08.480]   there'll be certain level of risk tolerance whereby simple things like extraction and classification
[00:45:08.480 --> 00:45:13.200]   if it's on the back end we probably don't need an evaluator but then there may be other things
[00:45:13.200 --> 00:45:19.840]   like if you're summarizing a financial document or if you're summarizing a medical document if you're
[00:45:19.840 --> 00:45:25.360]   extracting a medical document there may be certain things yeah essentially the key thing is i'm trying
[00:45:25.360 --> 00:45:31.120]   to force people to look at the area oh my god i think this is like a um you should just post this
[00:45:31.120 --> 00:45:39.120]   on twitter and tag hamel and me um and who knows what i mean like this is like um brilliant yeah and also
[00:45:39.120 --> 00:45:45.520]   it might not have been your main intent but i think it makes for a good framework uh to uh
[00:45:45.520 --> 00:45:53.760]   i don't know maybe to answer skeptics about llm evaluators uh it could show that there's a systematic
[00:45:53.760 --> 00:46:00.880]   way of uh ensuring at least some some robustness or at least some reliability in lm evaluation before
[00:46:00.880 --> 00:46:06.480]   actually deploying it in production exactly right i think the metrics here that's what we're trying to
[00:46:06.480 --> 00:46:12.080]   do with the metrics here hey we can say that hey no you gave me again i don't use 50 yet you give me
[00:46:12.080 --> 00:46:17.920]   100 to 400 rows of data i am able to do well on that and that's no different from machine learning
[00:46:17.920 --> 00:46:23.040]   right instead of using the data to train a model is what we're using now is we're using the data
[00:46:23.040 --> 00:46:30.080]   to fine tune a prompt which is the model now which is now the artifact that prompt that prompt married to
[00:46:30.080 --> 00:46:35.680]   that coupled with that lm that you're using is now the artifact that you can then use to optimize
[00:46:35.680 --> 00:46:40.960]   against the label data essentially it always starts with having labeled data um so i'm trying to force
[00:46:40.960 --> 00:46:45.520]   people to label data uh instead of just using vibe checks when you are doing vibe tracks you also you
[00:46:45.520 --> 00:46:49.600]   can also just take the extra step to just label the data and then with that label data i don't you
[00:46:49.600 --> 00:46:54.080]   i don't need to bother you anymore to do the vibe checks you give me a little bit i try to optimize
[00:46:54.080 --> 00:47:01.360]   it completely agree thank you you're welcome um so nicolay uh have you played around using re-rankers
[00:47:01.360 --> 00:47:10.480]   what do you mean nicolay um yeah no i talked to the guy from mixed bread today and he mentioned they're
[00:47:10.480 --> 00:47:17.600]   using the re-rankers a lot in evaluations but also in test time for example to evaluate something like
[00:47:17.600 --> 00:47:30.080]   factuality and just training the re-rankers with a small data set um sorry i i confess i was trying
[00:47:30.080 --> 00:47:36.000]   to ping shreya and i can't multitask so you're using re-rankers to try to evaluate what does that mean yeah
[00:47:36.000 --> 00:47:42.240]   basically as opposed to training a classifier to predict like the label you are using re-rankers
[00:47:43.280 --> 00:47:52.480]   and um so for example for factuality is like an an obvious one and using the scores plus a threshold
[00:47:52.480 --> 00:47:59.360]   which apparently seems to work better than classifiers in their cases so okay just understand
[00:47:59.360 --> 00:48:04.480]   understand just to make sure i understand you well you're using the re-ranker to rank poorer things down
[00:48:06.640 --> 00:48:18.480]   um no in the end like the the re-ranker is trained on like you trained on peers so as you have in
[00:48:18.480 --> 00:48:25.280]   factuality checks when you have nli models so in an nli model you basically you have a hypothesis and you
[00:48:25.280 --> 00:48:30.560]   have like the ground truth and you basically try to determine where the hypothesis and the ground truth
[00:48:30.560 --> 00:48:37.280]   the lines and you could use that basically with the label to train the re-ranker on it and then
[00:48:37.280 --> 00:48:44.960]   basically set a threshold above the score of the re-ranker it's determined basically as the class like
[00:48:44.960 --> 00:48:50.240]   one it's passing zero it's not passing i see i see so what you're saying is that okay we have some
[00:48:50.240 --> 00:48:55.440]   references we have some golden samples and then we compare we train the re-ranker to rank the golden
[00:48:55.440 --> 00:49:03.120]   samples higher yeah that could work i mean if you have a threshold that could work yeah i think what
[00:49:03.120 --> 00:49:09.600]   is um what is hard for me to understand sometimes is that if you're using a re-ranker and you pass in
[00:49:09.600 --> 00:49:14.400]   two pairwise preferences and it returns it's actually actually your re-ranker is actually returning a
[00:49:14.400 --> 00:49:18.640]   score it's not really uh it's not really pairwise preference so that that was tripping out so if
[00:49:18.640 --> 00:49:22.800]   your re-ranker is returning a score that's actually also you can think of as a classifier
[00:49:24.800 --> 00:49:30.400]   yeah the the thing previously when i tried to do this several folks including from um
[00:49:30.400 --> 00:49:37.440]   some of the labs they suggested doing pairwise preferences so the reason why pairwise preferences
[00:49:37.440 --> 00:49:44.880]   cannot work is that if you give two things that are both factual um or if you give two things that
[00:49:44.880 --> 00:49:49.440]   are both non-factual you would say that one is better than the other but it still doesn't meet the bar
[00:49:49.440 --> 00:49:54.160]   of being factual enough but in your case i mean the case of re-ranker that you mentioned there's
[00:49:54.160 --> 00:49:57.520]   a score involved so you use the score to cut the threshold and that would work
[00:49:57.520 --> 00:50:02.240]   yeah i i i i so to answer that i haven't
[00:50:02.240 --> 00:50:06.320]   played around using re-rankers as as opposed to a classifier
[00:50:06.320 --> 00:50:14.880]   okay i think shreya might not be able to join uh her seminar has been running late
[00:50:16.800 --> 00:50:19.280]   too bad but any other questions
[00:50:19.280 --> 00:50:28.960]   or any other ideas on how we can make this more fun
[00:50:28.960 --> 00:50:37.280]   for people sorry i just had a follow-up to what you just said regarding the pairwise cannot be used
[00:50:37.280 --> 00:50:44.080]   for optimized evaluator so um what if you take like a batch of input outputs and then you did the pairwise
[00:50:44.080 --> 00:50:50.880]   preferences computed elo scores for each one of the input outputs right within the particular batch
[00:50:50.880 --> 00:50:58.640]   and then i guess you could have some kind of a threshold on okay anything which crossed this elo rating is
[00:50:58.640 --> 00:51:04.560]   probably good enough like couldn't you use that method because like yeah you can then turn that
[00:51:04.560 --> 00:51:11.360]   pairwise thing into like a per data point threshold that's i think that's a great point i think the
[00:51:11.360 --> 00:51:19.120]   the way to answer this question the answer to this is that um let's look at man select there's just i mean
[00:51:19.120 --> 00:51:25.680]   zoom just gives me no feedback when i'm sharing my screen or not um so the way to answer this is the
[00:51:25.680 --> 00:51:31.440]   question is is your task objective or subjective so if your task is factual like something more objective
[00:51:31.440 --> 00:51:37.520]   like toxicity or factuality like is it is it's a clear one or zero then if you're comparing two zeros
[00:51:37.520 --> 00:51:42.160]   and it's saying that one is better um that you you that doesn't make sense or if you're comparing two
[00:51:42.160 --> 00:51:47.520]   ones and saying that one is worse well but if your task is more subjective like which of this is more
[00:51:47.520 --> 00:51:51.280]   persuasive which of this has a better tone which of this is better clickbait which of this is more
[00:51:51.280 --> 00:51:59.840]   relevant yes uh a pairwise comparison could work so that's how i think about the task so a lot of times
[00:51:59.840 --> 00:52:05.280]   it's like okay we have control control is our current one then we have something new let's say we have
[00:52:05.280 --> 00:52:09.600]   new or better new or better recommendations it's the same thing is that we have a new or better prompt
[00:52:09.600 --> 00:52:12.880]   we have new or better output we have a new or better way of creating the summary
[00:52:13.440 --> 00:52:19.840]   and then we just do a you can just in that case pairwise comparisons can work and i know uh ai news
[00:52:19.840 --> 00:52:24.560]   does a lot of pairwise comparisons almost every time there's a new model that comes out it does
[00:52:24.560 --> 00:52:28.560]   pair commerce and it actually involves users in the pairwise comparisons as well and share shares that
[00:52:28.560 --> 00:52:32.880]   and saying that you know these are different models that can work on the other hand there's certain
[00:52:32.880 --> 00:52:36.400]   things that are just more objective i think pairwise comparisons doesn't really make sense
[00:52:39.280 --> 00:52:45.520]   um i think just one minor pushback i think the differentiation on the objectivity versus
[00:52:45.520 --> 00:52:51.200]   subjectivity is not as clean in practice like when for example here you have instruction following as
[00:52:51.200 --> 00:52:56.560]   like a objective metric i think to an extent it's objective right if you have something like don't
[00:52:56.560 --> 00:53:03.440]   exceed these many words and um don't uh use this kind of language but like even just within like a
[00:53:03.440 --> 00:53:09.440]   two two domain experts right let's say it's like a medical task um i feel like there is some level
[00:53:09.440 --> 00:53:16.080]   of subjectivity it's like taste that's what i think it is where each like domain expert is like well i
[00:53:16.080 --> 00:53:22.000]   think a better way of following the instructions would have been this way um i don't know i think that's
[00:53:22.000 --> 00:53:26.880]   all i i that that's like where i think in practice this kind of breaks down uh what i've seen is like
[00:53:27.520 --> 00:53:34.000]   um even even with like factuality like um yeah there's that gray area of how you interpret the
[00:53:34.000 --> 00:53:39.920]   data um so yeah i think maybe that's an issue on the margins maybe does not end up being as effective
[00:53:39.920 --> 00:53:46.480]   but yeah that's a good point there's definitely gray areas right uh for example is is the show my
[00:53:46.480 --> 00:53:51.360]   little pony should be should we tagged as horse or should it not be i mean people might search for
[00:53:51.360 --> 00:53:56.000]   search for horses and they're looking for equestrian or like olympic sequestrian definitely not my little
[00:53:56.000 --> 00:54:02.640]   pony but well my little pony is a horse so that's a great point so there's definitely a huge chunk of
[00:54:02.640 --> 00:54:08.960]   gray area in the middle yeah um that's just hard that's just hard to get get free size on yeah because
[00:54:08.960 --> 00:54:15.600]   i just feel like if ai is gonna get very intelligent it's gonna do more things like that yeah and i think
[00:54:15.600 --> 00:54:20.320]   even for that we can just make a call to say that okay in this case we actually want it to be one and
[00:54:20.320 --> 00:54:25.440]   we can write an instruction for it and we can make that task simplified to binary as opposed to
[00:54:25.440 --> 00:54:30.880]   is this a better summary than this is which one has more relevance which one is more comprehensive
[00:54:30.880 --> 00:54:37.120]   etc for me that is really hard to you can try to break it down into binary you can say relevance is
[00:54:37.120 --> 00:54:42.960]   composed of these criteria um comprehensiveness is composed of this criteria but i think we are
[00:54:42.960 --> 00:54:47.680]   usually better off with a pairwise comparison if you're trying to compare control versus treatment which
[00:54:47.680 --> 00:54:58.160]   is better yeah thank you welcome um okay i guess that's it i guess sriya didn't have a it's not
[00:54:58.160 --> 00:55:05.440]   gonna be able to have a chance to join us um it's okay uh she's i think she's giving a seminar right now
[00:55:05.440 --> 00:55:12.960]   and you just cannot join well no no i'm here i was here for five minutes sorry you took your time you
[00:55:12.960 --> 00:55:20.160]   took your time sure yeah sorry no i was at a seminar that ended at 12 50 i'm so sorry it was not click
[00:55:20.160 --> 00:55:25.760]   bait i i did legitimately invite sharia uh i was hopeful she will be enjoying um i don't know so now that
[00:55:25.760 --> 00:55:31.360]   sharia the author of the paper here is here anyone have any questions for her about the paper
[00:55:31.360 --> 00:55:40.960]   i think we all just asked you with the questions earlier and you answered yeah actually there's one
[00:55:40.960 --> 00:55:48.240]   question uh that i see from venu ah sharia is there feedback on the information utility of specific
[00:55:48.240 --> 00:55:58.240]   labels for improving alignment we do not have it in the papers prototype um but the v2 that will
[00:55:58.240 --> 00:56:03.760]   hopefully be pushed in the next couple of weeks it has to be before the conference um that does consider
[00:56:03.760 --> 00:56:09.520]   natural language feedback nice so essentially it's like is it like chain of thought feedback and then
[00:56:09.520 --> 00:56:16.800]   the llm will use it to update the prompt or update the the assertions if user gives the feedback maybe
[00:56:16.800 --> 00:56:24.160]   on why something is bad just a few words and then that is included in the prompt for that validator
[00:56:24.160 --> 00:56:32.000]   for that task or sorry for that criteria oh essentially it's a few short example yes oh no nice that's
[00:56:32.000 --> 00:56:42.880]   that's great yeah yeah um any other trey i have a quick question are you are you planning to publish
[00:56:42.880 --> 00:56:48.160]   this framework in some way as an open source project i didn't see if you had already done that or what's
[00:56:48.160 --> 00:56:53.520]   going on not yet it's not out yet but we will so the conference is in three weeks we have to have it
[00:56:53.520 --> 00:57:01.120]   out by then but it'll be implemented in chainforge.ai which is an open source llm pipeline building tool
[00:57:01.120 --> 00:57:12.880]   right okay awesome yep great thanks um trey if i may um you had a tweet recently about a good test
[00:57:12.880 --> 00:57:19.600]   decomposition and how it can 1000x uh the accuracy of an llm pipeline uh how do you think that plays
[00:57:19.600 --> 00:57:26.560]   that interacts with uh an evaluation uh framework would you then have to evaluate each component
[00:57:26.560 --> 00:57:33.440]   separately uh or does it all tie in in some end of end to end kind of way or some hybrid of both
[00:57:33.440 --> 00:57:40.800]   great question we're exploring this as a research topic but the idea is to have each node in your
[00:57:40.800 --> 00:57:48.880]   graph kind of be a standalone do a standalone thing that you can have standalone assertions for and if you
[00:57:48.880 --> 00:57:53.040]   think about you know infinitely many inputs flowing through your pipeline there's going to be some
[00:57:53.040 --> 00:57:59.760]   fraction of inputs that fail at each step then you can track error throughout the pipeline and do some
[00:57:59.760 --> 00:58:06.240]   form of causal analysis to see like which is the most which node is the biggest reason for why the most
[00:58:06.240 --> 00:58:11.200]   downstream node failed so that's something that we're working on now but the idea is you should do
[00:58:11.200 --> 00:58:17.440]   decomposition in a way that like you can also validate the intermediates um they should be somewhat
[00:58:17.440 --> 00:58:24.320]   of a unit task so basically it would involve some bottleneck analysis of which nodes uh like you said
[00:58:24.320 --> 00:58:29.920]   are more most responsible for the overall performance and focus on those okay got it yeah thank you
[00:58:29.920 --> 00:58:40.400]   all right i think that's the hour uh we're a little bit uh slightly distracted in the discord chat with uh
[00:58:40.400 --> 00:58:45.280]   mira muradi getting well she says she resigned but we don't know
[00:58:45.280 --> 00:58:54.640]   um not much speculation we can do uh yeah i think that's it thanks wait what's happening next week
[00:58:54.640 --> 00:59:01.840]   uh yeah we have uh people signing up to do i i think sam signed up to do a paper he didn't set a date
[00:59:01.840 --> 00:59:06.800]   yay sam we really like to dive into function calling and the berkeley team
[00:59:07.440 --> 00:59:14.400]   i guess we're just mainlining all the berkeley phds uh berkeley team put out v3 if sam you're interested
[00:59:14.400 --> 00:59:20.800]   yeah i can try you got this you got this it'll be my first one
[00:59:20.800 --> 00:59:24.400]   the eval v3 what uh i missed it
