
[00:00:00.000 --> 00:00:05.540]   The following is a conversation with Jeffrey Wasserstrom, a historian of modern China.
[00:41:45.780 --> 00:41:49.780]   : So you just create friction so that, okay, some people will find this out.
[00:41:49.780 --> 00:41:57.780]   : And then flooding. You just fill the airwaves and the media with versions of the stories that you want the people to believe.
[00:41:57.780 --> 00:42:06.780]   : So all those kind of exist in operation. And I think the fear is the easiest side to say of what's blocked.
[00:42:06.780 --> 00:42:14.780]   : So I'm always interested in things that you would expect to be censored that aren't censored.
[00:42:14.780 --> 00:42:23.780]   : You can read all sorts of things in China about totalitarian. You can read Hannah Arendt's book on totalitarianism.
[00:42:23.780 --> 00:42:31.780]   : Which would be the kind of thing you just, you know, you're not supposed to be able to read that in a somewhat totalitarian state or a dictatorial state, if anything.
[00:42:31.780 --> 00:42:40.780]   : But it's not specifically about China. And so censorship is most restrictive when it's things that are actually about China.
[00:42:40.780 --> 00:42:50.780]   : Things about leaders of the Chinese Communist Party, there's intense kind of censorship of that and certain events in that way.
[00:42:50.780 --> 00:43:04.780]   : But a sort of like something through allegory, something through imagining a place that looks a lot like a Communist Party ruled state so that people are going to read it.
[00:43:04.780 --> 00:43:11.780]   : There were things that were banned throughout up until like the very last period of Gorbachev's rule.
[00:43:11.780 --> 00:43:15.780]   : There were things banned in the Soviet Union that are available in Chinese bookstores.
[00:43:15.780 --> 00:43:21.780]   : You can buy 1984 in a Chinese bookstore. You've been able to since 1985.
[00:43:21.780 --> 00:43:28.780]   : You can buy, again, it's not about China. And actually for some people within China in the mid-1980s,
[00:43:29.780 --> 00:43:34.780]   : where they focused on the part of 1984 that's like the two minutes of hate, these rituals of denunciation of people.
[00:43:34.780 --> 00:43:39.780]   : For some people in China, it seemed like it was about their past, not about their present.
[00:43:39.780 --> 00:43:46.780]   : And then by the 90s, 1984 is a very bleak culture of scarcity, a place where people just aren't having fun.
[00:43:46.780 --> 00:43:54.780]   : And people said, like, you could read, some people would read 1984 and say, "Look, this is the world we're living in. It's a big brother state."
[00:43:54.780 --> 00:44:01.780]   : But others said, "Well, that has some similarities to us, but, you know, he wasn't talking about a country like ours.
[00:44:01.780 --> 00:44:07.780]   : Look, we've got supermarkets. We've got McDonald's. I mean, this is not, you know, we've got fast trains.
[00:44:07.780 --> 00:44:12.780]   : We've got things that we're living so much better in some ways than our grandparents did."
[00:44:12.780 --> 00:44:16.780]   : And this isn't like that bleak world he was imagining.
[00:44:16.780 --> 00:44:23.780]   : Yeah, you've actually spoken about and described China as more akin to the dystopian world of Brave New World than 1984.
[00:44:23.780 --> 00:44:34.780]   : Which is really interesting to think about. I think about that a lot. I've recently reread, over the past couple of years reread Brave New World a couple of times, and also 1984.
[00:44:34.780 --> 00:44:48.780]   : It does seem that the 21st century might be more defined to the degree it is dystopian, any of the nations are, by Brave New World than by 1984.
[00:44:48.780 --> 00:44:53.780]   : There are mixed elements. I think there are moments when it can seem more, more one than the other.
[00:44:53.780 --> 00:44:59.780]   : And there can be parts of the same country that seem more one than the other, I think.
[00:44:59.780 --> 00:45:09.780]   : And if we just think about control through distraction and playing to your sense of pleasure.
[00:45:09.780 --> 00:45:20.780]   : One thing that people forget sometimes, or don't know, is that Aldous Huxley who wrote Brave New World taught Eric Blair who became George Orwell when he was a student at Eden.
[00:45:20.780 --> 00:45:31.780]   : Sort of rivals. And in fact, in 1949, Orwell sent his former teacher a copy of 1984 and said, "Look, I've written this."
[00:45:31.780 --> 00:45:53.780]   : "This place is yours." He didn't say that. He just said, "I want you to have this." But he had criticized Brave New World and reviews as not having imagined a world of capitalism run wild like before realizing the kind of totalitarian threats of the middle of the 20th century.
[00:45:53.780 --> 00:46:01.780]   : But Huxley wrote Orwell a letter in October of 1949, same month the Communist Party took control in China, not that he mentions China.
[00:46:01.780 --> 00:46:11.780]   And he just said, "You know, it's a great book and everything, but I think the dictators of the future will find less arduous ways to keep control over the population."
[00:46:11.780 --> 00:46:16.780]   : Basically saying more like what was in my book than in yours.
[00:46:16.780 --> 00:46:23.780]   : I have to say, I think Huxley might be really onto something there, truly a visionary.
[00:46:23.780 --> 00:46:35.780]   Although to give points to Orwell, I do think as far as just a philosophical work of fiction, 1984 is a better book.
[00:46:35.780 --> 00:46:40.780]   : Because Brave New World does not quite construct the philosophical message thoroughly.
[00:46:40.780 --> 00:46:48.780]   Because 1984 contains many very clearly, very poetically defined elements of a totalitarian regime.
[00:46:48.780 --> 00:46:51.780]   : Oh, and the dissection of language is just so amazing.
[00:46:51.780 --> 00:46:52.780]   : Language.
[00:46:52.780 --> 00:46:59.780]   : No, I think you've got a point there, and I went back and reread Brave New World, and it's fascinating, but it's very messy.
[00:46:59.780 --> 00:47:00.780]   : Yeah.
[00:47:00.780 --> 00:47:11.780]   : I think there's a clarity to Orwell's 1984, there's a clarity to Margaret Atwood's Handmaid's Tale, similarly, the construction of the elements.
[00:47:11.780 --> 00:47:19.780]   And she was a big fan of both 1984 and Brave New World, so there's a way they go forward.
[00:47:19.780 --> 00:47:26.780]   : But, you know, there was a kind of, it's not exactly a sequel, but Huxley did write something called Brave New World Revisited.
[00:47:26.780 --> 00:47:27.780]   : Yes, he did.
[00:47:27.780 --> 00:47:28.780]   : In the '50s.
[00:47:28.780 --> 00:47:37.780]   : And he kind of said, actually, it seems, and he mentions China there, he says that in Mao's China, they're kind of combining the two things of this.
[00:47:37.780 --> 00:47:48.780]   : And I'm really fascinated by that because they published in China on the Chinese mainland, it was published in Taiwan and Hong Kong, too.
[00:47:48.780 --> 00:47:50.780]   : It's called the Dystopian Trilogy.
[00:47:50.780 --> 00:47:59.780]   : And it's a box set where you have Zemiatin's We, who then inspired both Orwell and Huxley to some extent.
[00:47:59.780 --> 00:48:00.780]   : That's one book.
[00:48:00.780 --> 00:48:04.780]   : And then there's Animal Farm in 1984 is the second book.
[00:48:04.780 --> 00:48:09.780]   : And then the third volume is Huxley's Brave New World and Brave New World Revisited.
[00:48:09.780 --> 00:48:19.780]   : And it was published in Complex Characters, you could buy it in Hong Kong, but I compared it to the book you can buy on the mainland.
[00:48:19.780 --> 00:48:27.780]   : And it's all the same, except the parts in Brave New World Revisited that refer to China are scalpeled out.
[00:48:27.780 --> 00:48:32.780]   : And this, I think, shows the subtlety of the censorship system.
[00:48:32.780 --> 00:48:41.780]   : You can buy these books and you can read about them, but the parts that really show you how to connect the dots, that gets taken out.
[00:48:41.780 --> 00:48:59.780]   : And I do think the Brave New World side of things, I think, with China, I was feeling it was definitely moving more toward Brave New World, except Tibet and Xinjiang being more the crude, boot-on-the-face 1984 style of control.
[00:48:59.780 --> 00:49:12.780]   : But then during the COVID lockdowns, when people were being so intensely monitored and controlled, even places like Shanghai, that it seemed much more the Brave New World kind of style, had their Orwellian moment.
[00:49:12.780 --> 00:49:22.780]   : So you have it, now I think it's, you know, there are more 1984, more Brave New World parts of the country, and there are also more Brave New World, more 1984 moments.
[00:49:22.780 --> 00:49:33.780]   : I see why it could give a sense, after you've thoroughly internalized the fear that you have complete freedom of speech, just don't mention the government.
[00:49:33.780 --> 00:49:41.780]   : So you could talk about totalitarianism, you could talk about the darkest aspects of human nature, just don't.
[00:49:41.780 --> 00:49:51.780]   : You can even talk about the government in a sort of metaphorical, like poetic way that's not directly linkable.
[00:49:51.780 --> 00:49:54.780]   : But the moment you mention the government, it's like a dumb keyword search.
[00:49:54.780 --> 00:50:04.780]   : It's, yeah, it's, and I think it's like one of these really good examples of how, you know, China's distinctive, but it's not unique.
[00:50:04.780 --> 00:50:08.780]   : Like you have other settings where you have these, like, no-go zones that you learn.
[00:50:08.780 --> 00:50:19.780]   : And one example is in Singapore, you know, there was this, so National University of Singapore has a world-class history department, but no Singapore historian in it.
[00:50:19.780 --> 00:50:27.780]   : Nobody who focuses on the history of Singapore, because, you know, it's incredibly wide-ranging what you can, what you can do, analyze.
[00:50:27.780 --> 00:50:35.780]   : But when you're actually talking about the family that's been most powerful in Singapore, then it gets to be touchy.
[00:50:35.780 --> 00:50:50.780]   : In Thailand, which I've been working on recently, you have this Les Majestés laws that make it very, very dangerous to say certain kinds of things about the king.
[00:50:50.780 --> 00:50:54.780]   : And so you, in all of these settings, you have to figure out ways to work around.
[00:50:54.780 --> 00:51:03.780]   : And there's a way in which you can, say, at the international, the foreign correspondence clubs in different parts of Asia,
[00:51:03.780 --> 00:51:13.780]   : you can have an event that's about the country won over, that you can say basically anything you want, but when it gets to the things in the place where you are,
[00:51:13.780 --> 00:51:18.780]   : you're, you're, it's touchy, I should give credit for that insight.
[00:51:18.780 --> 00:51:24.780]   : Shabani Matani, who's written, co-wrote a very good book on Hong Kong, Among the Braves,
[00:51:24.780 --> 00:51:30.780]   : she was talking about that, that in Singapore, at the Foreign Correspondence Club, you could have an event on Hong Kong
[00:51:30.780 --> 00:51:35.780]   : that could say all kinds of things that you couldn't say at the Hong Kong Foreign Correspondence Club.
[00:51:35.780 --> 00:51:43.780]   : But at the same time, when I saw her in Singapore, she said there was a Singapore refugee, a political refugee in Hong Kong,
[00:51:43.780 --> 00:51:49.780]   : who was giving a talk at the Hong Kong Foreign Correspondence Club, saying kinds of things that he couldn't say in Singapore.
[00:51:49.780 --> 00:51:55.780]   : And in Thailand, I gave a talk at the Foreign Correspondence Club, and then I went to hear a talk there,
[00:51:55.780 --> 00:52:01.780]   : because I was just curious about like what the culture in this Foreign Correspondence Club,
[00:52:01.780 --> 00:52:07.780]   : and there was somebody talking about human rights abuses in different parts of Southeast Asia, saying things very directly,
[00:52:07.780 --> 00:52:13.780]   : and then said, "And there are things going on in Thailand that we're not going to talk about."
[00:52:13.780 --> 00:52:18.780]   : And there was this kind of, yes, self-censorship can be a very powerful thing.
[00:52:18.780 --> 00:52:27.780]   : One of the things I learned about all this, which is interesting, I want to learn more, is about the human psychology,
[00:52:27.780 --> 00:52:31.780]   : the ability of the individual mind to compartmentalize things.
[00:52:31.780 --> 00:52:37.780]   : It does seem like you could not live in a state of fear, as long as you don't mention a particular topic.
[00:52:37.780 --> 00:52:44.780]   : My intuition would be about the human mind, if there's anything you're afraid of talking about,
[00:52:44.780 --> 00:52:47.780]   : that fear will permeate through everything else.
[00:52:47.780 --> 00:52:51.780]   : You would not be able to do great science, great exploration, great technology.
[00:52:51.780 --> 00:52:55.780]   : And that idea, I think, underpins the whole idea of freedom of speech.
[00:52:55.780 --> 00:53:01.780]   : Why you don't want, in the United States, you don't want to censor any even dangerous speech,
[00:53:01.780 --> 00:53:04.780]   : because that will permeate everything else.
[00:53:04.780 --> 00:53:07.780]   : You won't be able to have great scientists, you won't be able to have great journalists,
[00:53:07.780 --> 00:53:11.780]   : you won't be able to have, I don't know, and I'm obviously biased towards America,
[00:53:11.780 --> 00:53:14.780]   : and I think you do need to have that full-on freedom of speech.
[00:53:14.780 --> 00:53:18.780]   : But this is an interesting case study, and that's actually something that you speak about,
[00:53:18.780 --> 00:53:24.780]   : that Mao, if he were alive today and visited China, would be quite surprised.
[00:53:24.780 --> 00:53:30.780]   : Can you give the Nanjing Bookstore as an example, can you just speak to this?
[00:53:30.780 --> 00:53:33.780]   : If Mao visited China, let's go with that thought experiment.
[00:53:33.780 --> 00:53:37.780]   : What would he recognize, what would he be surprised by?
[00:53:37.780 --> 00:53:43.780]   : So, I wrote about imagining a revivified Mao, you know, going into it,
[00:53:43.780 --> 00:53:48.780]   : wandering in this really cool Nanjing Bookstore in the early 2000s,
[00:53:48.780 --> 00:53:54.780]   : and just being amazed at what you could read there, and what books were for sale.
[00:53:54.780 --> 00:54:01.780]   : And I thought about how he'd be like, what's going on, you know, is the Communist Party not in control?
[00:54:01.780 --> 00:54:06.780]   : I mean, he talked about how art and politics needed to, in some ways, go together,
[00:54:06.780 --> 00:54:10.780]   : and you've got all these kind of things. He'd also be, he also would have been shocked by all these,
[00:54:10.780 --> 00:54:16.780]   : there were all these books about how to start your own cafe and bar, and sort of celebrating entrepreneurship,
[00:54:16.780 --> 00:54:22.780]   : how to get into Harvard. It's like, you know, all of these things just wouldn't compute from his time.
[00:54:22.780 --> 00:54:27.780]   : Although I said, it would actually maybe make him nostalgia for the time of his youth in the 1910s.
[00:54:27.780 --> 00:54:32.780]   : He was a participant in the May 4th movement, which was a time of reading all over the world,
[00:54:32.780 --> 00:54:40.780]   : looking for the best ideas circulating. So, he might say, well, the teenage me would have really, really loved this.
[00:54:40.780 --> 00:54:48.780]   : So, some of the coolest bookstores, the things that I just was amazed could exist in the early 2000s.
[00:54:48.780 --> 00:54:54.780]   : So, you can still read, you can still buy copies of 1984, and you can still get some of these other things.
[00:54:54.780 --> 00:54:58.780]   : But that was a time when more and more of those things were being translated fresh.
[00:54:58.780 --> 00:55:05.780]   : I'm not sure you'd get permission to translate some of those things now. There's more of a sense of caution.
[00:55:05.780 --> 00:55:13.780]   : And when some of those bookstores would also then hold events that would talk about the kinds of ideas
[00:55:13.780 --> 00:55:19.780]   : that then take them to the next level and talk about the applicability to the situation in China,
[00:55:19.780 --> 00:55:27.780]   : some of those bookstores have closed or have had to become kind of really shadows of what they were.
[00:55:27.780 --> 00:55:33.780]   : And one of the best ones, not the one I wrote about in Nanjing, but a similar one, a Shanghai one,
[00:55:33.780 --> 00:55:37.780]   : which was literally an underground bookstore. It was in a metro station.
[00:55:37.780 --> 00:55:45.780]   : And it had really freewheeling discussions of liberal ideas in the early 2000s and early 2010s.
[00:55:45.780 --> 00:55:53.780]   : But then it just got less and less space to operate under Xi Jinping when things started narrowing.
[00:55:53.780 --> 00:56:00.780]   : And it then had to close in Shanghai. And it's just been reopened in D.C. as JF Books.
[00:56:00.780 --> 00:56:05.780]   : And it's becoming this really interesting cultural hub, and I'm really delighted.
[00:56:05.780 --> 00:56:13.780]   : It's where I'm going to hold the launch for my next book when it comes out in June, this book on the Milk Tea Alliance,
[00:56:13.780 --> 00:56:22.780]   : about struggles for change across East and Southeast Asia, including in places that are worried about the kind of rising influence of Beijing.
[00:56:22.780 --> 00:56:29.780]   : And it seems just perfect to be holding it in the kind of place that can't exist in Shanghai.
[00:56:29.780 --> 00:56:35.780]   : So places like that, they stopped being able to exist on the mainland, then they could still exist in Hong Kong.
[00:56:35.780 --> 00:56:40.780]   : But now in Hong Kong, one of the coolest bookstores has had to close up.
[00:56:40.780 --> 00:56:46.780]   : It just didn't feel like it could continue operating and tightening control there, and it's reopened in upstate New York.
[00:56:46.780 --> 00:56:53.780]   : So you have this phenomenon of bookstores. There's also a few bookstores called the Nowhere Bookstores
[00:56:53.780 --> 00:57:03.780]   : that opened in Chiang Mai and Taipei, and The Hague, and I heard one maybe is going to open in Japan too.
[00:57:03.780 --> 00:57:10.780]   : My sometime collaborator, Amy Hawkins, who covers China for The Guardian, wrote a great piece late last year
[00:57:10.780 --> 00:57:19.780]   : about this overseas bookstore phenomenon, sort of carrying on the conversations that people thought they might be able to have in China
[00:57:19.780 --> 00:57:25.780]   : and then couldn't, and imagine someday being able to hold in China, but maybe can't.
[00:57:25.780 --> 00:57:35.780]   : So first of all, boy, do I love America. And second of all, it makes me really sad, because there's a very large number of incredible people in China,
[00:57:35.780 --> 00:57:46.780]   : incredible minds. And maybe I'm romantic about this, but books is a catalyst for brilliant minds to flourish. And without that...
[00:57:46.780 --> 00:57:54.780]   : So I guess maybe this is a good time to mention something that I do think about, and sometimes people will think because of censorship,
[00:57:54.780 --> 00:58:04.780]   and that there's an idea of sort of brainwashing within China, population control. And I periodically will get students from the mainland,
[00:58:04.780 --> 00:58:10.780]   : and I have a lot of students from the mainland in my classes, and I teach Chinese history, and I feel like, okay,
[00:58:10.780 --> 00:58:20.780]   : now I'm contradicting the version of the past that's been drumbeat into them. But I'll still get students who are incredible free thinkers,
[00:58:20.780 --> 00:58:28.780]   : who have come through that system, and it just doesn't hold, or there are limits to it. And this is kind of...
[00:58:28.780 --> 00:58:36.780]   : I mean, some of them are people who just got curious by something, and it is a porous system. Even, you know,
[00:58:36.780 --> 00:58:44.780]   : it's more porous than in North Korea, things like that. So there are, even if there's that fear, friction, and flooding, which, you know,
[00:58:44.780 --> 00:58:54.780]   : Roberts talks about that ends up keeping lots of people on the same page as the government, there's still people who take the time to go over the firewall,
[00:58:54.780 --> 00:59:04.780]   : or get intrigued, or they see an image sent by a friend of theirs on social media, you know,
[00:59:04.780 --> 00:59:18.780]   : will share them something on WeChat that it doesn't get picked up by the censors, but they look at it carefully, and they say, "Oh, well, wait a minute,
[00:59:18.780 --> 00:59:30.780]   : that contradicts what the government's official line is." So there's still ways in which that, you know, creativity and freedom of thinking persists.
[00:59:30.780 --> 00:59:46.780]   : I mean, that's really beautiful to hear. I mean, fundamentally, the human spirit is curious and wants to understand. And in some, especially the young people, as we mentioned, are suspicious of authority in the best kind of way.
[00:59:46.780 --> 00:59:52.780]   : And so they're always asking kinds of questions, but we always have the child, the young person inside us always asking, like,
[00:59:52.780 --> 01:00:02.780]   : that maybe I'm being lied to in all these kinds of ways. But still, it's sad, because there is, if you're not deliberately doing that,
[01:00:02.780 --> 01:00:14.780]   : or if there's not a spark of possibility that comes before you as just a regular citizen of China, you might never really ask, maybe a whole, there's a whole different perspective on history, on world history.
[01:00:14.780 --> 01:00:24.780]   : To be fair, I think United States is often guilty of this very United States-centric view of history. I mean, similar with Europe.
[01:00:24.780 --> 01:00:32.780]   : Europe has a very Europe sense of history. I often enjoy talking to people from different backgrounds, from different parts of the world,
[01:00:32.780 --> 01:00:42.780]   : talking to them about World War Two. Because it's like, it's clear that the emphasis, you've read certain chapters of the story,
[01:00:42.780 --> 01:00:58.780]   : a lot of times, and not the other chapters of the story. Now, the Western Front in Europe, and the Eastern Front in Europe, and then Japan and China's role in World War Two, and the history around that, before and after World War Two, of China, is not often talked about in the United States.
[01:00:58.780 --> 01:01:08.780]   : And I'm sure, if I can venture a guess, that the opposite is true in China. I certainly know the opposite was true in the Soviet Union, and even in Europe,
[01:01:08.780 --> 01:01:16.780]   : that directly experienced France, Great Britain, Germany, Italy. They all have very different ways of speaking and thinking and reading about World War Two. And the same goes across all of history and all of culture. So, yes, it's always good to sort of question the mainstream narrative.
[01:01:16.780 --> 01:01:30.780]   : In your country, and looking outside, it's just harder to do in China, based on technological, based on all the reasons you mentioned. And if I can, I just want to give a shout out. Thank you. I'll look at her work, Margaret Roberts, the fear of the friction and the flooding.
[01:01:30.780 --> 01:01:44.780]   : Her ideas, I can really tell there's a lot of brilliance here. Fear, this is the most traditional form involving overt threats and punishments for accessing and sharing sensitive information.
[01:01:44.780 --> 01:01:56.780]   : However, Roberts finds that fear-based censorship is used selectively, mainly targeting high-profile individuals such as journalists or activists. For the average citizen, the risk of punishment is relatively low, and fear alone is not the main deterrent.
[01:01:56.780 --> 01:02:14.780]   : She goes on to describe the friction and the flooding. The friction is a tax on information access. And flooding is less visible than fear or friction, but is a powerful tool for shaping the information environment.
[01:02:14.780 --> 01:02:32.780]   : Flooding once scares me more and more. Flooding once scares me more and more. Flooding once is the brave new world.
[01:02:32.780 --> 01:02:40.780]   : Yeah, it is. And I think it's a whole kind of the world of short attention spans and social media and how this all works.
[01:02:40.780 --> 01:02:47.780]   : Chinese Communist Party leaders, I brought up Singapore, and Deng Xiaoping and some of the other leaders were looking at that.
[01:02:47.780 --> 01:03:06.780]   : There are all kinds of things that both going to Singapore can sometimes make you feel like you're in this futuristic setting in terms of a lot of things that eventually came to other parts of the world would be tried out there.
[01:03:06.780 --> 01:03:15.780]   : And I think the seductiveness is that some of these things are really--they both add to convenience at the same time they strip away.
[01:03:15.780 --> 01:03:33.780]   : Mm-hmm. : They're collecting information about you, which can be also something that can make your life easier at the same time it's stripping you away of--I mean, we talk about the siloing of information and targeting of ads and targeting of news.
[01:03:33.780 --> 01:03:48.780]   : And so two things come to mind to mention. One is Christina Larson, a very bright journalist, a friend of mine who's now working on other things but was working on China, and she wrote about this in MIT Technology Review.
[01:03:48.780 --> 01:03:53.780]   : She said, "You need to think about China as having the best as well as the worst internet experience in the world."
[01:03:53.780 --> 01:04:01.780]   : And, you know, you think about it with--you think of the worst as easy, you know, the Great Firewall, you try to search for what happened.
[01:04:01.780 --> 01:04:07.780]   You search for the tank man, you won't get it. You search for information about Dalai Lama, and you get all these lies about him.
[01:04:07.780 --> 01:04:22.780]   search for things about Xinjiang and it makes it seem like it's a place where people are happy rather than massive extra-legal detention camps and where your life can be ruined by things you have no control over.
[01:04:22.780 --> 01:04:31.780]   : But she said, like, on other ways, when it comes to, like, consumer playing to your pleasures and things, it was really advanced.
[01:04:31.780 --> 01:04:35.780]   : So a lot of things that then come out of place are tried out there and in massive numbers.
[01:04:35.780 --> 01:04:42.780]   : And I remember after I--around the time that I had read that, I was in Shanghai and somebody was explaining it to me.
[01:04:42.780 --> 01:04:46.780]   : They were talking about, like, going out to eat. Like, I said, "Oh, we've got such and such."
[01:04:46.780 --> 01:04:48.780]   : And I said, "Oh, that's like Yelp."
[01:04:48.780 --> 01:04:54.780]   : I said, "Well, yeah, but Yelp just tells you the overall rating for a restaurant over time."
[01:04:54.780 --> 01:05:04.780]   : We've got one that can tell you who's--which part of the restaurant you want to sit in because there's a waiter that's in a really bad mood and people have posted enough information to do this.
[01:05:04.780 --> 01:05:11.780]   : Or, you know, what the best dish there is in the last week. Forget about these sort of slow things.
[01:05:11.780 --> 01:05:20.780]   : And you had a lot of things, you know, that were like, "Okay, you're a smart city and controlled. You can learn things about ease of movement."
[01:05:20.780 --> 01:05:30.780]   : And Singapore had some of these things tested, too. You had way before--you go into an underground parking lot now in the U.S.
[01:05:30.780 --> 01:05:39.780]   : And you find out whether there are any empty spaces on a floor. That was something that was years before in Singapore.
[01:05:39.780 --> 01:05:48.780]   : And you don't use--you used money less often there because you had a kind of transponder that would automatically pay for your parking and things.
[01:05:48.780 --> 01:06:01.780]   : And it was something that can be very seductive. So the other line besides Best and Worst Internet I always like is William Gibson, who wrote one of the other important dystopian novels of the present Neuromancer.
[01:06:01.780 --> 01:06:08.780]   : And he wrote a rare, for him, nonfiction piece about Singapore where he referred to it as Disneyland with the death penalty.
[01:06:08.780 --> 01:06:11.780]   : And, you know, there are times when--
[01:06:11.780 --> 01:06:12.780]   : I shouldn't laugh.
[01:06:12.780 --> 01:06:15.780]   : But it is. It's a powerful--
[01:06:15.780 --> 01:06:16.780]   : Yeah.
[01:06:16.780 --> 01:06:18.780]   : He's not welcomed in Singapore, let's just say.
[01:06:18.780 --> 01:06:31.780]   : But he talked about how when he wanted to try to--he went to Japan a lot in the 1980s at a time when Japan was a place where you sort of got a sense of what the future might hold.
[01:06:31.780 --> 01:06:44.780]   : So the dark side of this, the surveillance state at its worst, which we're seeing--we see in Xinjiang in places. And there, again, it may seem like I'm just obsessed with science fiction.
[01:06:44.780 --> 01:06:52.780]   : And there, it really is minority report. It's this kind of like, you do certain kinds of behaviors, and we're seeing this other places too.
[01:06:52.780 --> 01:07:00.780]   : You know, we're seeing versions of it in the US as well, where it's like, oh, we can tell from a pattern that you're the kind of person who might do X.
[01:07:00.780 --> 01:07:19.780]   : And so in Xinjiang, they were--when they were starting to round people up, there's this great book by a Uyghur poet, he talks about how people were just starting to disappear off the streets, and they were being accused of being radicalized and being potential terrorists.
[01:07:19.780 --> 01:07:38.780]   : And the cues could be something like somebody giving up smoking or not drinking alcohol, because that was seen as something that sometimes went along with becoming more devoted to Islam and more devoted to something, a particular version of it.
[01:07:38.780 --> 01:07:47.780]   : So he talked about how a group of the poets, when they would get--writers, when they get together, they would--whether or not any of them drank, they would make sure there was a bottle of alcohol on their table,
[01:07:47.780 --> 01:08:08.760]   because it was simply a way of trying to stay ahead of this system of looking for these kind of clues. So you really have this dark side of Xinjiang is this example, and Tibet also, with incredible tight control. And there's more of that kind of push on the
[01:08:08.760 --> 01:08:27.760]   : personal life in other parts of China as well. But I think the question of whether we give up too much and who can abuse what we do give up is something that is being asked in the United States now about big tech companies as well. It's asked about governments, but it's also asked about big tech and what you have as a trade-off.
[01:08:27.760 --> 01:08:46.760]   : But I hadn't thought about it until this conversation, which I can tell is why people find it stimulating to have these extended conversations, because you have set lines, but then you kind of--the conversation goes and you think in a different way.
[01:08:46.760 --> 01:09:16.740]   : So what I used to always say about China after 1989 was the Chinese Communist Party wanted to stay in power, and they realized that the Soviet Union, Soviet bloc, was falling apart. They knew that one reason why people--and this is like the simple way of--one way I think you have to understand why communism fell in Eastern Europe--was partly about ideals and thirst for freedom and that, but also people knew that
[01:09:16.740 --> 01:09:38.740]   : East Germans knew that West Germans were having more fun and getting better stuff. And when some East Berliners got over the wall, one of the first places they went to was this department store to see if the images of better food and more choices were available there. And it was true. And I think this is a human--as human as the desire for more freedom.
[01:09:38.740 --> 01:10:00.740]   : So one of the things that the Chinese Communist Party--they never articulated it this way, but how can we try to get to a stage where we don't have things like Tiananmen again? Well, what if we tried to make a deal with people? We'll give them more choices in their daily life. We'll give them better stuff. We'll give them more choices at the store. We'll give them more choices about what to read, too.
[01:10:00.740 --> 01:10:10.740]   : Because, you know, we'll give them more choices in consumer goods and intellectuals. The consumer goods they want are to watch the movies and read the books that other people like them around the world are reading.
[01:10:10.740 --> 01:10:18.740]   : So we'll give them more choices. We won't open the floodgates completely, but we'll give them more choices, but not give them more choices at the ballot box or in politics.
[01:10:18.740 --> 01:10:36.740]   : And this was the new kind of new social compact. Allow us to keep ruling and we'll make sure that you're living better than the last generation in terms of choices and in terms of material goods.
[01:10:36.740 --> 01:10:56.740]   : Now, one of the things that's happening now is the Chinese Communist Party, the economy isn't booming the way it was before. The sort of sense of clearly we're living better materially than the generation before, it's not as easy an argument to make when you have slower growth rates and things like that.
[01:10:56.740 --> 01:11:04.740]   : But the Communist Party makes different kinds of arguments now about the rest of the world is in chaos and we're stable.
[01:11:04.740 --> 01:11:16.740]   : But the thing that I now am going to think about differently is the argument was we'll give you more choices and you'll have more of a private life, more of this.
[01:11:16.740 --> 01:11:26.740]   : But now, in the period we are globally, now there's a new kind of suspicion about the degree of any kind of private choices.
[01:11:26.740 --> 01:11:36.740]   : I mean, there was an idea that the post Tiananmen generation was promised to have a little bit more space away from the prying eyes of the state.
[01:11:36.740 --> 01:11:46.740]   : And now, globally, we worry about the prying eyes of whether it's the state or whether it's tech companies. It's a different moment.
[01:11:46.740 --> 01:11:48.740]   : What does it mean to say you have more choices?
[01:11:48.740 --> 01:11:52.740]   : It's almost like you have two knobs. One is 1984 and one is Brave New World.
[01:11:52.740 --> 01:12:02.740]   : At first they turned up to Brave New World, more choices. And now they're turning up to 1984, keeping the choices, but turning up to 1984 with more surveillance.
[01:12:02.740 --> 01:12:15.740]   : So the choices you make have to be more public. Do you have a sense that the thing we've been talking about, the increase in censorship, does that predate Xi Jinping?
[01:12:15.740 --> 01:12:27.740]   : Is Xi Jinping a part of that increase in censorship? Like, what is that dynamic? What role does Xi Jinping play in what China has gone through over the past, let's say, a decade and a half?
[01:12:27.740 --> 01:12:40.740]   : That's a really great question. I was actually just writing a review of two books. One is called The Xi Jinping Effect, which was just a bunch of scholars, an academic volume, sort of looking at,
[01:12:40.740 --> 01:12:54.740]   take this topic and that topic, how much has Xi Jinping as a person really affected it? And they come up with all kinds of answers. But there's a book I really like. Emily Fang of NPR has a new book out called,
[01:12:54.740 --> 01:13:24.720]   "Let only red flowers bloom." And what she talks about, the changes in China as she was covering it from the mid-2010s on, was, and I think this really is Xi Jinping's, one of his imprimators on the country, is there's a narrowing of spaces available for variations of ways of being Chinese within the country. And this goes against the grain of a pattern of the
[01:13:24.720 --> 01:13:42.720]   pattern in the sort of post Tiananmen period of allowing more space for sort of civil society, but also allowing sort of way Muslims felt that they didn't have to choose between being, you know, their Muslim identity and their Chinese identity. But there's more and more of a kind of...
