
[00:00:00.000 --> 00:00:03.280]   Hey there, wine lovers!
[00:24:33.000 --> 00:24:35.200]   My scorecard on this level of income.
[00:24:35.200 --> 00:24:37.160]   Giving potential is effective.
[00:24:37.160 --> 00:24:44.040]   $10,000 given per year over 40 years is almost half a million dollars, $400,000 given away.
[00:24:44.040 --> 00:24:46.400]   Wealth building potential, effective.
[00:24:46.400 --> 00:24:52.000]   $10,000 per year invested over 40 years at a 5% rate of return equals a portfolio value
[00:24:52.000 --> 00:24:56.160]   of $1.2 million.
[00:24:56.160 --> 00:25:00.000]   And your lifestyle potential here is excellent.
[00:25:00.000 --> 00:25:03.400]   It's possible for you to support a family in comfort.
[00:25:03.400 --> 00:25:07.300]   You're able to consume the higher grade products and services.
[00:25:07.300 --> 00:25:12.000]   And there's plenty of wiggle room, especially if you're a skilled spender.
[00:25:12.000 --> 00:25:18.200]   I've known a lot of people with $121,000 income who don't feel rich, but that's because they
[00:25:18.200 --> 00:25:22.500]   were mediocre spenders.
[00:25:22.500 --> 00:25:25.740]   All they know how to do is write checks and swipe cards and not how to get a good value
[00:25:25.740 --> 00:25:27.220]   for their money.
[00:25:27.220 --> 00:25:31.140]   You can fix that, and we'll fix that another time when I talk to you about a decreased
[00:25:31.140 --> 00:25:36.060]   expenses course in the future.
[00:25:36.060 --> 00:25:42.620]   Your target at the minimum should be to move into the top 20% of your occupation of income
[00:25:42.620 --> 00:25:43.620]   earners.
[00:25:43.620 --> 00:25:52.700]   I bet if you will analyze your industry, the top 20% of income earners earn at least $121,000
[00:25:52.700 --> 00:25:54.060]   per year.
[00:25:54.060 --> 00:26:02.580]   I've known a lot of guys in the trades, blue collar trades, who've earned $120,000 a year.
[00:26:02.580 --> 00:26:07.980]   There are some occupations that are, of course, tilted higher, in which case the top 20% of
[00:26:07.980 --> 00:26:09.860]   that occupation is much higher.
[00:26:09.860 --> 00:26:14.140]   But on the whole, $121,000 a year is top 20%.
[00:26:14.140 --> 00:26:22.160]   You should set that as a target and make a plan to achieve it quickly.
[00:26:22.160 --> 00:26:33.780]   Give me a 15-year-old young man with good cognitive ability, strong work ethic, basic
[00:26:33.780 --> 00:26:40.160]   social skills, and strong personal ethics.
[00:26:40.160 --> 00:26:41.160]   All of those are important.
[00:26:41.160 --> 00:26:45.120]   Again, I repeat, good cognitive ability.
[00:26:45.120 --> 00:26:48.920]   You have to be able to process abstract concepts.
[00:26:48.920 --> 00:26:53.180]   If you're in an industry where you can't process the abstract concepts of your industry, move
[00:26:53.180 --> 00:26:56.520]   to one where you can.
[00:26:56.520 --> 00:27:03.800]   But give me a 15-year-old man with good cognitive ability, personal skills, personal interaction
[00:27:03.800 --> 00:27:13.680]   skills, a good work ethic, and personal integrity and personal ethics.
[00:27:13.680 --> 00:27:17.080]   He's not going to steal from his boss.
[00:27:17.080 --> 00:27:20.320]   He's not going to be ripping off his boss because he's hanging out on Facebook on the
[00:27:20.320 --> 00:27:22.560]   clock.
[00:27:22.560 --> 00:27:30.600]   Give me a 15-year-old young man or woman and give me the industry, and in five to 10 years,
[00:27:30.600 --> 00:27:37.760]   we can go from minimum wage to top 20% of $120,000.
[00:27:37.760 --> 00:27:43.680]   I can do it in the trades, and so can you.
[00:27:43.680 --> 00:27:47.800]   If you're not in the trades, there are many options for you.
[00:27:47.800 --> 00:27:49.600]   What else should you target as a goal?
[00:27:49.600 --> 00:27:54.760]   Well, I think you should move into the top 5%.
[00:27:54.760 --> 00:28:00.320]   In a parade of distribution, the 20/80 continues to function.
[00:28:00.320 --> 00:28:06.000]   So if you look at an analysis of income earners in the United States of America, the top 20%
[00:28:06.000 --> 00:28:22.280]   of income earners earn 80% of the total income, but in the top 20%, the same case exists.
[00:28:22.280 --> 00:28:30.680]   So in the top 20%, the top 20% of the top 20% earn 80% of the top 20% of income, or
[00:28:30.680 --> 00:28:34.480]   about 64% of total income.
[00:28:34.480 --> 00:28:40.240]   And then the top 20% of the top 20% of the top 20% earn 80%, et cetera, and it goes on,
[00:28:40.240 --> 00:28:44.480]   which is why if you work the numbers, I can't remember the latest analysis, you wind up
[00:28:44.480 --> 00:28:46.280]   with a dozen.
[00:28:46.280 --> 00:28:49.960]   You wind up with a couple hundred people in the world that own, what is it, 30%, 40% of
[00:28:49.960 --> 00:28:54.440]   all the assets, or you wind up with a couple of dozen who own 20% of all the assets.
[00:28:54.440 --> 00:28:55.440]   You wind up with this.
[00:28:55.440 --> 00:28:59.520]   It's the same Pareto principle on and on.
[00:28:59.520 --> 00:29:04.080]   I don't know if everybody can go from the bottom 80% to the top 20.
[00:29:04.080 --> 00:29:05.520]   No, sorry, let me rephrase.
[00:29:05.520 --> 00:29:12.200]   I believe that you, not everybody can go from the bottom 80% to the top 20%, but you can.
[00:29:12.200 --> 00:29:19.200]   I don't know if you can go from the bottom 80% of the top 20% into the top 20% of the
[00:29:19.200 --> 00:29:25.560]   top 20%, which is basically the top 4% or 5%, but I think you can.
[00:29:25.560 --> 00:29:28.560]   I don't know if you should make it your ambition to go higher.
[00:29:28.560 --> 00:29:32.840]   I personally don't have any ambition to be the number one person in my field.
[00:29:32.840 --> 00:29:34.520]   I used to set that as a goal.
[00:29:34.520 --> 00:29:37.400]   When I was a financial planner, I would run the numbers and I would figure out what it
[00:29:37.400 --> 00:29:43.880]   meant to be the top, the very top, but the price was always too high.
[00:29:43.880 --> 00:29:47.880]   When I calculated what would be necessary in order for me to achieve that, I decided
[00:29:47.880 --> 00:29:49.600]   that the juice wasn't worth the squeeze.
[00:29:49.600 --> 00:29:50.600]   The price was too high.
[00:29:50.600 --> 00:29:52.360]   So you can't fake it.
[00:29:52.360 --> 00:29:54.360]   You can't get there by accident.
[00:29:54.360 --> 00:29:59.440]   The people who are at the very top have sacrificed other areas of their life, and I came to the
[00:29:59.440 --> 00:30:03.160]   realization that I wasn't willing to sacrifice like they did.
[00:30:03.160 --> 00:30:05.300]   Wasn't worth it.
[00:30:05.300 --> 00:30:13.040]   But moving into the top 5% total is probably doable and is probably adequate for most people.
[00:30:13.040 --> 00:30:21.240]   Now in the United States, the 95th percentile of income is $225,251 according to the 2016
[00:30:21.240 --> 00:30:22.240]   census data.
[00:30:22.240 --> 00:30:29.000]   It wasn't the 2016 census, but from the census bureaus where I'm citing and sourcing my figures.
[00:30:29.000 --> 00:30:32.760]   So let's call it $225,000 per year.
[00:30:32.760 --> 00:30:40.120]   I think you should set as your target to earn $225,000 per year in your occupation.
[00:30:40.120 --> 00:30:43.680]   Now what will that buy you?
[00:30:43.680 --> 00:30:50.780]   Well at a $225,000 income, you'll pay about $50,000 per year in taxes.
[00:30:50.780 --> 00:30:55.080]   Your employment taxes would be about $11,150.
[00:30:55.080 --> 00:31:01.580]   We would max out the social security wage base, a total social security tax of $7,886
[00:31:01.580 --> 00:31:08.800]   and the Medicare tax of $3,262, or a total employment tax of $11,150.
[00:31:08.800 --> 00:31:12.280]   By the way, if these numbers are making your head spin and you want to see them written,
[00:31:12.280 --> 00:31:18.520]   I am speaking to you very loosely from a module in the Increase Income course.
[00:31:18.520 --> 00:31:21.980]   Arsenalfinance.com/increaseincome on sale right now.
[00:31:21.980 --> 00:31:23.940]   Talk to you about that in a moment when I'm done.
[00:31:23.940 --> 00:31:25.580]   But I'm reading to you from a module.
[00:31:25.580 --> 00:31:26.580]   All of this is written down.
[00:31:26.580 --> 00:31:29.840]   All of this is part of your notes in that particular module.
[00:31:29.840 --> 00:31:33.780]   My presentation in that module is much tighter, more edited.
[00:31:33.780 --> 00:31:37.600]   This particular presentation I'm giving to you now is more free form, but this is one
[00:31:37.600 --> 00:31:41.860]   of the modules in that course with all the numbers.
[00:31:41.860 --> 00:31:47.380]   So employment taxes on a $225,000 per year salary would be just over 11 grand and your
[00:31:47.380 --> 00:31:50.040]   income taxes would be about $39,000.
[00:31:50.040 --> 00:31:51.260]   That's just a loose estimate.
[00:31:51.260 --> 00:31:55.100]   I'm assuming $20,000 in qualified plan contributions and two dependents.
[00:31:55.100 --> 00:31:57.940]   For a total taxes of about $50,000 per year.
[00:31:57.940 --> 00:32:03.420]   That leaves you with $175,000 available after taxes.
[00:32:03.420 --> 00:32:05.740]   Assume that you give 10% of your income away.
[00:32:05.740 --> 00:32:11.260]   That leaves you with $17,500 per year in your giving budget.
[00:32:11.260 --> 00:32:17.120]   Now here in your savings, let's bump it up from that standard 10% number we've been
[00:32:17.120 --> 00:32:20.000]   using to 20%.
[00:32:20.000 --> 00:32:27.000]   After all, at this level of earnings, significantly increased savings should easily be available
[00:32:27.000 --> 00:32:30.220]   without sacrificing lifestyle.
[00:32:30.220 --> 00:32:33.140]   So let's move up your savings from 10% to 20%.
[00:32:33.140 --> 00:32:38.240]   That's a total of $35,000 per year saved.
[00:32:38.240 --> 00:32:43.640]   We're left with 70% for expenses or $122,500 per year.
[00:32:43.640 --> 00:32:45.820]   Let's call it 10 grand a month.
[00:32:45.820 --> 00:32:51.280]   If 30% of that is allocated towards housing, we've got $3,000 a month.
[00:32:51.280 --> 00:32:56.080]   What kind of house can you rent in your town for $3,000 a month?
[00:32:56.080 --> 00:33:00.620]   If 10% is for utilities, we've got $1,000 per month.
[00:33:00.620 --> 00:33:07.480]   Can you meet all of your utility needs in abundance on $1,000 a month for a $3,000 house?
[00:33:07.480 --> 00:33:14.180]   If 15% is allocated toward transportation, we've got $1,500 a month.
[00:33:14.180 --> 00:33:19.000]   Can you meet your transportation needs in luxury on $1,500 a month?
[00:33:19.000 --> 00:33:24.060]   15% is allocated towards food, that's $1,500 a month.
[00:33:24.060 --> 00:33:31.760]   Can you meet your nutrient needs in luxury on $1,500 a month?
[00:33:31.760 --> 00:33:35.040]   Health and medical 5%, $500 a month.
[00:33:35.040 --> 00:33:42.400]   Entertainment 5%, and we're left with a 20% or $2,000 a month miscellaneous expense slush
[00:33:42.400 --> 00:33:46.480]   fund for other expenses.
[00:33:46.480 --> 00:33:48.200]   How do I rate this particular level of income?
[00:33:48.200 --> 00:33:51.160]   Well, giving potential is excellent.
[00:33:51.160 --> 00:33:58.120]   If you give away $17,500 per year for 40 years, you would give away $700,000, three-quarters
[00:33:58.120 --> 00:34:01.080]   of a million dollars.
[00:34:01.080 --> 00:34:05.680]   I would rate here your wealth-building potential as excellent.
[00:34:05.680 --> 00:34:12.260]   If you invest $35,000 per year for 40 years at a 5% interest rate, you would wind up with
[00:34:12.260 --> 00:34:15.640]   a portfolio value of $4.2 million.
[00:34:15.640 --> 00:34:18.040]   I call that excellent.
[00:34:18.040 --> 00:34:21.960]   And your lifestyle potential here is excellent.
[00:34:21.960 --> 00:34:29.120]   It's possible for you to support family and even extended family in luxury and comfort.
[00:34:29.120 --> 00:34:33.440]   You'll be able to consume the highest grades of products and services.
[00:34:33.440 --> 00:34:42.000]   There's plenty of monthly surplus for spontaneous expenditures and adventures.
[00:34:42.000 --> 00:34:49.620]   This is the land of abundance.
[00:34:49.620 --> 00:34:53.980]   The land of abundance is found in the top 5%.
[00:34:53.980 --> 00:35:02.860]   Excellent giving potential, excellent wealth-building potential, and excellent lifestyle potential.
[00:35:02.860 --> 00:35:09.000]   So in conclusion, the best way for you to be able to give a lot of money away, to become
[00:35:09.000 --> 00:35:15.740]   enormously wealthy, and to enjoy a rich and rewarding lifestyle every year of your career
[00:35:15.740 --> 00:35:17.660]   is for you to build a high income.
[00:35:17.660 --> 00:35:24.620]   A high income allows you to do all of these well.
[00:35:24.620 --> 00:35:30.560]   So target the top 5% of income earners for your personal income.
[00:35:30.560 --> 00:35:36.740]   Target $225,000 per year.
[00:35:36.740 --> 00:35:43.220]   You don't have to earn $225,000 per year in order to live well.
[00:35:43.220 --> 00:35:47.460]   I give this to you as a goal and to stimulate your thinking.
[00:35:47.460 --> 00:35:55.500]   As I've shown, minimum wage is meager, median wage is adequate, top 20% is good, and top
[00:35:55.500 --> 00:35:58.380]   5% is excellent.
[00:35:58.380 --> 00:36:02.980]   If you'll set these as a goal, you'll be open to the ways to get there.
[00:36:02.980 --> 00:36:08.340]   Again, I emphasize, I didn't use the top 1%.
[00:36:08.340 --> 00:36:12.900]   Sometimes you got to sell your soul to the devil to get into the top 1%.
[00:36:12.900 --> 00:36:15.340]   Sometimes you got to live at the office to get into the top 1%.
[00:36:15.340 --> 00:36:20.300]   I don't think that's a good plan.
[00:36:20.300 --> 00:36:29.300]   But you can live well on 5% because of the money that comes in, and you can find a position
[00:36:29.300 --> 00:36:41.220]   in the top 5% that gives you enough income to live well.
[00:36:41.220 --> 00:36:50.260]   If you'd like my help in working with you to create a plan for you, I'd love for you
[00:36:50.260 --> 00:36:56.900]   to join the Radical Personal Finance Increase Income course that I have open right now.
[00:36:56.900 --> 00:37:01.820]   The launch window here is open for a total of four weeks.
[00:37:01.820 --> 00:37:09.620]   Today is Thursday, May 10, and registration for this course will be open until Wednesday,
[00:37:09.620 --> 00:37:10.860]   June 6.
[00:37:10.860 --> 00:37:16.060]   However, if you buy today, you will save money.
[00:37:16.060 --> 00:37:21.620]   Each week that goes by, I'm increasing the cost of the course by $100.
[00:37:21.620 --> 00:37:27.260]   So you are still, right now, if you're listening to this, you are still in the cheapest opening
[00:37:27.260 --> 00:37:28.260]   price.
[00:37:28.260 --> 00:37:34.860]   The opening price right now is $395 for the course, and it will be $395 until Tuesday,
[00:37:34.860 --> 00:37:40.740]   end of day, Tuesday, May 15.
[00:37:40.740 --> 00:37:41.740]   What are you going to get in the course?
[00:37:41.740 --> 00:37:46.820]   Well, there's 104 video lessons that I've prepared using concepts like these to try
[00:37:46.820 --> 00:37:54.780]   to give you an abundance of ideas that you can apply to your own situation.
[00:37:54.780 --> 00:37:59.340]   In addition, there are weekly and sometimes bi-weekly conference calls where you can speak
[00:37:59.340 --> 00:38:04.620]   to me and to other students, and we will personally work with you to help you apply ideas to your
[00:38:04.620 --> 00:38:07.140]   own situation.
[00:38:07.140 --> 00:38:11.780]   There's guidance on things that you can put into place in your current career.
[00:38:11.780 --> 00:38:13.500]   There's guidance on how to switch to a new career.
[00:38:13.500 --> 00:38:18.220]   If you look at your career and say, "I can't earn $225,000 on my career," well, you might
[00:38:18.220 --> 00:38:20.340]   need to change.
[00:38:20.340 --> 00:38:24.820]   But you can take what you love about that career and move it into something else or
[00:38:24.820 --> 00:38:31.000]   split your time.
[00:38:31.000 --> 00:38:32.500]   In addition, there are...
[00:38:32.500 --> 00:38:37.220]   It's a comment section, and I'm interacting heavily during the first 12 weeks of the course.
[00:38:37.220 --> 00:38:41.380]   I'm interacting heavily with you there in the comments, answering every question, interacting
[00:38:41.380 --> 00:38:45.900]   with you on all of the details to try to give you customized support.
[00:38:45.900 --> 00:38:48.300]   And then depending on your questions, if there's something that you have a question on that
[00:38:48.300 --> 00:38:52.460]   I haven't hit well in the videos, the 104 lessons that are already there, I may make
[00:38:52.460 --> 00:38:55.460]   a custom video for you.
[00:38:55.460 --> 00:38:56.460]   So I'd love for you to join me.
[00:38:56.460 --> 00:38:58.340]   If this has been inspiring to you, I'd love for you to join me.
[00:38:58.340 --> 00:39:01.260]   Now I want you to think about this for a moment.
[00:39:01.260 --> 00:39:07.120]   Let's pretend for a moment that I could serve you effectively in this area.
[00:39:07.120 --> 00:39:11.660]   Pretend that I could help you to develop strategies and ideas that will help you increase your
[00:39:11.660 --> 00:39:15.460]   income.
[00:39:15.460 --> 00:39:20.340]   Pretend that we could increase your income by 10%.
[00:39:20.340 --> 00:39:26.380]   Calculate in your head what a 10% increase in income would be for you in the next year
[00:39:26.380 --> 00:39:31.060]   or two.
[00:39:31.060 --> 00:39:40.460]   Would it be worth investing a measly 395 bucks to increase your income by 10%?
[00:39:40.460 --> 00:39:42.140]   What about 50%?
[00:39:42.140 --> 00:39:45.020]   What about 100%?
[00:39:45.020 --> 00:39:50.100]   My hope is that your investment in this course will return to you untold multiples throughout
[00:39:50.100 --> 00:39:52.200]   your lifetime.
[00:39:52.200 --> 00:39:56.820]   Because if we can move you from these lower levels of income into the upper levels of
[00:39:56.820 --> 00:40:03.740]   income, that'll do powerful things for you, for your family, for your wealth, for your
[00:40:03.740 --> 00:40:06.180]   community.
[00:40:06.180 --> 00:40:10.320]   So if you're interested, I'd love for you to come by radicalpersonalfinance.com/increaseincome.
[00:40:10.320 --> 00:40:11.320]   Come by soon.
[00:40:11.320 --> 00:40:12.320]   Save money.
[00:40:12.320 --> 00:40:13.320]   I'd like you to get a good deal.
[00:40:13.320 --> 00:40:17.100]   Come by any time between now and May 15.
[00:40:17.100 --> 00:40:18.100]   The price is $395.
[00:40:18.100 --> 00:40:22.100]   If you come by after May 15, it'll be higher.
[00:40:22.100 --> 00:40:24.260]   495 is the next bracket.
[00:40:24.260 --> 00:40:25.700]   Come by and sign up.
[00:40:25.700 --> 00:40:27.620]   30-day money-back guarantee.
[00:40:27.620 --> 00:40:29.380]   If you're in the course, all the videos are there.
[00:40:29.380 --> 00:40:30.380]   You can watch them now.
[00:40:30.380 --> 00:40:32.100]   You can join the first three weeks of calls.
[00:40:32.100 --> 00:40:33.500]   30-day money-back guarantee.
[00:40:33.500 --> 00:40:36.340]   If for any reason in the first 30 days you look at the course and you say, "This isn't
[00:40:36.340 --> 00:40:37.340]   for me.
[00:40:37.340 --> 00:40:38.340]   Not learning thing.
[00:40:38.340 --> 00:40:39.340]   Not helpful."
[00:40:39.340 --> 00:40:40.340]   Whatever reason.
[00:40:40.340 --> 00:40:41.340]   You don't even have to give me a reason.
[00:40:41.340 --> 00:40:42.340]   Send me an email.
[00:40:42.340 --> 00:40:43.340]   100% refund.
[00:40:43.340 --> 00:40:44.340]   No fees.
[00:40:44.340 --> 00:40:45.340]   No expenses.
[00:40:45.340 --> 00:40:46.340]   None of that nonsense.
[00:40:46.340 --> 00:40:47.340]   100% refund for you.
[00:40:47.340 --> 00:40:49.280]   Come by radicalpersonalfinance.com/increaseincome.
[00:40:49.280 --> 00:40:50.280]   Sign up today.
[00:40:50.280 --> 00:40:51.280]   Again, radicalpersonalfinance.com/increaseincome.
[00:40:51.280 --> 00:40:55.580]   And I'll see you inside the course.
[00:40:56.580 --> 00:40:59.940]   Don't just dream about paradise.
[00:40:59.940 --> 00:41:01.660]   Live it with Fiji Airways.
[00:41:01.660 --> 00:41:05.740]   Escape the ordinary with Fiji Airways Global Beat the Rush Sale.
[00:41:05.740 --> 00:41:10.740]   Immerse yourself in white sandy beaches or dive deep into coral reefs.
[00:41:10.740 --> 00:41:17.900]   Fiji Airways has flights to Nadi starting at just $748 for light and just $798 for value.
[00:41:17.900 --> 00:41:21.740]   Discover your tropical dreams at FijiAirways.com.
[00:41:21.740 --> 00:41:23.420]   That's FijiAirways.com.
[00:41:23.420 --> 00:41:24.940]   From here to happy.
[00:41:24.940 --> 00:41:26.940]   Flying direct with Fiji Airways.
[00:41:26.940 --> 00:41:28.940]   (beeps)

