
[00:00:00.040 --> 00:00:09.580]   caregiver
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:21:13.480]   I think that's the first place that you could go.
[00:21:13.480 --> 00:21:13.480]   I think that's the first place that you could go.
[00:21:13.480 --> 00:21:13.480]   I think that's the first place that you could go.
[00:21:13.480 --> 00:21:13.480]   I think that's the first place that you could go.
[00:21:13.480 --> 00:21:13.480]   I think that's the first place that you could go.
[00:21:13.480 --> 00:21:13.480]   I think that's the first place that you could go.
[00:21:13.480 --> 00:21:13.480]   I think that's the first place that you could go.
[00:21:13.480 --> 00:21:13.480]   I think that's the first place that you could go.
[00:21:13.480 --> 00:21:13.480]   I think that's the first place that you could go.
[00:21:13.500 --> 00:21:43.500]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:21:43.500 --> 00:21:43.500]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:21:43.500 --> 00:21:43.500]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:21:43.500 --> 00:21:43.500]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:21:43.500 --> 00:21:43.500]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:21:43.500 --> 00:21:43.500]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:21:43.500 --> 00:21:43.500]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:21:43.500 --> 00:21:43.500]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:21:43.500 --> 00:21:43.500]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:21:43.500 --> 00:21:43.500]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:21:43.540 --> 00:22:13.520]  ,
[00:22:13.520 --> 00:22:13.520]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:13.520 --> 00:22:13.520]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:13.520 --> 00:22:13.520]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:13.520 --> 00:22:13.520]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:13.520 --> 00:22:13.520]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:13.520 --> 00:22:13.520]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:13.520 --> 00:22:13.520]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:13.540 --> 00:22:43.540]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:43.540 --> 00:22:43.540]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:43.540 --> 00:22:43.540]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:43.540 --> 00:22:43.540]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:43.540 --> 00:22:43.540]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:43.540 --> 00:22:43.540]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:43.540 --> 00:22:43.540]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:43.540 --> 00:22:43.540]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:43.540 --> 00:22:43.540]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:43.540 --> 00:22:43.540]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:22:43.580 --> 00:23:13.560]   : The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:13.560 --> 00:23:13.560]   : The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:13.560 --> 00:23:13.560]   : The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:13.560 --> 00:23:13.560]   : The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:13.560 --> 00:23:13.560]   : The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:13.560 --> 00:23:13.560]   : The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:13.560 --> 00:23:13.560]   : The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:13.560 --> 00:23:13.560]   : The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:13.580 --> 00:23:43.580]   : The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:43.580 --> 00:23:43.580]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:43.580 --> 00:23:43.580]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:43.580 --> 00:23:43.580]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:43.580 --> 00:23:43.580]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:43.580 --> 00:23:43.580]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:43.580 --> 00:23:43.580]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:43.580 --> 00:23:43.580]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:43.580 --> 00:23:43.580]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:43.580 --> 00:23:43.580]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:23:43.600 --> 00:24:13.600]   It's a stain on the Japanese culture of that day.
[00:24:13.600 --> 00:24:13.600]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:13.600 --> 00:24:13.600]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:13.600 --> 00:24:13.600]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:13.600 --> 00:24:13.600]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:13.600 --> 00:24:13.600]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:13.600 --> 00:24:13.600]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:13.600 --> 00:24:13.600]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:13.600 --> 00:24:13.600]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:13.600 --> 00:24:13.600]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:13.620 --> 00:24:43.620]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:43.620 --> 00:24:43.620]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:43.620 --> 00:24:43.620]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:43.620 --> 00:24:43.620]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:43.620 --> 00:24:43.620]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:43.620 --> 00:24:43.620]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:43.620 --> 00:24:43.620]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:43.620 --> 00:24:43.620]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:43.620 --> 00:24:43.620]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:43.620 --> 00:24:43.620]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:24:43.640 --> 00:25:13.640]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:13.640 --> 00:25:13.640]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:13.640 --> 00:25:13.640]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:13.640 --> 00:25:13.640]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:13.640 --> 00:25:13.640]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:13.640 --> 00:25:13.640]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:13.640 --> 00:25:13.640]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:13.640 --> 00:25:13.640]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:13.640 --> 00:25:13.640]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:13.640 --> 00:25:13.640]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:13.640 --> 00:25:43.660]  ,
[00:25:43.660 --> 00:25:43.660]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:43.660 --> 00:25:43.660]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:43.660 --> 00:25:43.660]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:43.660 --> 00:25:43.660]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:43.660 --> 00:25:43.660]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:43.660 --> 00:25:43.660]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:43.660 --> 00:25:43.660]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:43.660 --> 00:25:43.660]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:25:43.680 --> 00:26:13.680]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:13.680 --> 00:26:13.680]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:13.680 --> 00:26:13.680]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:13.680 --> 00:26:13.680]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:13.680 --> 00:26:13.680]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:13.680 --> 00:26:13.680]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:13.680 --> 00:26:13.680]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:13.680 --> 00:26:13.680]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:13.680 --> 00:26:13.680]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:13.680 --> 00:26:13.680]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:13.700 --> 00:26:43.700]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:43.700 --> 00:26:43.700]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:43.700 --> 00:26:43.700]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:43.700 --> 00:26:43.700]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:43.700 --> 00:26:43.700]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:43.700 --> 00:26:43.700]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:43.700 --> 00:26:43.700]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:43.700 --> 00:26:43.700]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:43.700 --> 00:26:43.700]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:43.700 --> 00:26:43.700]   The fact that they didn't stand up is a stain on the Japanese culture of that day.
[00:26:43.700 --> 00:27:13.720]  ,
[00:27:13.720 --> 00:27:13.720]   You have, as I consider it, two basic options.
[00:27:13.720 --> 00:27:13.720]   You have, as I consider it, two basic options.
[00:27:13.720 --> 00:27:13.720]   You have, as I consider it, two basic options.
[00:27:13.720 --> 00:27:13.720]   You have, as I consider it, two basic options.
[00:27:13.720 --> 00:27:13.720]   You have, as I consider it, two basic options.
[00:27:13.720 --> 00:27:13.720]   You have, as I consider it, two basic options.
[00:27:13.720 --> 00:27:13.720]   You have, as I consider it, two basic options.
[00:27:13.720 --> 00:27:13.720]   You have, as I consider it, two basic options.
[00:27:13.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:27:43.740]   You have, as I consider it, two basic options.
[00:27:43.740 --> 00:28:13.760]   You have, as I consider it, two basic options.
[00:28:13.760 --> 00:28:13.760]   You have, as I consider it, two basic options.
[00:28:13.760 --> 00:28:13.760]   You have, as I consider it, two basic options.
[00:28:13.760 --> 00:28:13.760]   You have, as I consider it, two basic options.
[00:28:13.760 --> 00:28:13.760]   You have, as I consider it, two basic options.
[00:28:13.760 --> 00:28:13.760]   You have, as I consider it, two basic options.
[00:28:13.760 --> 00:28:13.760]   You have, as I consider it, two basic options.
[00:28:13.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:28:43.780]   You have, as I consider it, two basic options.
[00:28:43.780 --> 00:29:13.800]   You have, as I consider it, two basic options.
[00:29:13.800 --> 00:29:13.800]   You have, as I consider it, two basic options.
[00:29:13.800 --> 00:29:13.800]   You have, as I consider it, two basic options.
[00:29:13.800 --> 00:29:13.800]   You have, as I consider it, two basic options.
[00:29:13.800 --> 00:29:13.800]   You have, as I consider it, two basic options.
[00:29:13.800 --> 00:29:13.800]   You have, as I consider it, two basic options.
[00:29:13.800 --> 00:29:13.800]   You have, as I consider it, two basic options.
[00:29:13.800 --> 00:29:13.800]   You have, as I consider it, two basic options.
[00:29:13.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:29:43.820]   You have, as I consider it, two basic options.
[00:29:43.820 --> 00:30:13.840]   You have, as I consider it, two basic options.
[00:30:13.840 --> 00:30:13.840]   You have, as I consider it, two basic options.
[00:30:13.840 --> 00:30:13.840]   You have, as I consider it, two basic options.
[00:30:13.840 --> 00:30:13.840]   You have, as I consider it, two basic options.
[00:30:13.840 --> 00:30:13.840]   You have, as I consider it, two basic options.
[00:30:13.840 --> 00:30:13.840]   You have, as I consider it, two basic options.
[00:30:13.840 --> 00:30:13.840]   You have, as I consider it, two basic options.
[00:30:13.840 --> 00:30:13.840]   You have, as I consider it, two basic options.
[00:30:13.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:30:43.860]   You have, as I consider it, two basic options.
[00:30:43.860 --> 00:31:13.880]   You have, as I consider it, two basic options.
[00:31:13.880 --> 00:31:13.880]   You have, as I consider it, two basic options.
[00:31:13.880 --> 00:31:13.880]   You have, as I consider it, two basic options.
[00:31:13.880 --> 00:31:13.880]   You have, as I consider it, two basic options.
[00:31:13.880 --> 00:31:13.880]   You have, as I consider it, two basic options.
[00:31:13.880 --> 00:31:13.880]   You have, as I consider it, two basic options.
[00:31:13.880 --> 00:31:13.880]   You have, as I consider it, two basic options.
[00:31:13.880 --> 00:31:13.880]   You have, as I consider it, two basic options.
[00:31:13.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:31:43.900]   You have, as I consider it, two basic options.
[00:31:43.900 --> 00:32:13.920]  , you have, as I consider it, two basic options.
[00:32:13.920 --> 00:32:13.920]   You have, as I consider it, two basic options.
[00:32:13.920 --> 00:32:13.920]   You have, as I consider it, two basic options.
[00:32:13.920 --> 00:32:13.920]   You have, as I consider it, two basic options.
[00:32:13.920 --> 00:32:13.920]   You have, as I consider it, two basic options.
[00:32:13.920 --> 00:32:13.920]   You have, as I consider it, two basic options.
[00:32:13.920 --> 00:32:13.920]   You have, as I consider it, two basic options.
[00:32:13.920 --> 00:32:13.920]   You have, as I consider it, two basic options.
[00:32:13.920 --> 00:32:13.920]   You have, as I consider it, two basic options.
[00:32:13.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:32:43.940]   You have, as I consider it, two basic options.
[00:32:43.940 --> 00:33:13.960]  .
[00:33:13.960 --> 00:33:13.960]   You have, as I consider it, two basic options.
[00:33:13.960 --> 00:33:13.960]   You have, as I consider it, two basic options.
[00:33:13.960 --> 00:33:13.960]   You have, as I consider it, two basic options.
[00:33:13.960 --> 00:33:13.960]   You have, as I consider it, two basic options.
[00:33:13.960 --> 00:33:13.960]   You have, as I consider it, two basic options.
[00:33:13.960 --> 00:33:13.960]   You have, as I consider it, two basic options.
[00:33:13.960 --> 00:33:13.960]   You have, as I consider it, two basic options.
[00:33:13.960 --> 00:33:13.960]   You have, as I consider it, two basic options.
[00:33:13.960 --> 00:33:13.960]   You have, as I consider it, two basic options.
[00:33:13.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:33:43.980]   You have, as I consider it, two basic options.
[00:33:43.980 --> 00:34:14.000]   I have, as I consider it, two basic options.
[00:34:14.000 --> 00:34:14.000]   You have, as I consider it, two basic options.
[00:34:14.000 --> 00:34:14.000]   You have, as I consider it, two basic options.
[00:34:14.000 --> 00:34:14.000]   You have, as I consider it, two basic options.
[00:34:14.000 --> 00:34:14.000]   You have, as I consider it, two basic options.
[00:34:14.000 --> 00:34:14.000]   You have, as I consider it, two basic options.
[00:34:14.000 --> 00:34:14.000]   You have, as I consider it, two basic options.
[00:34:14.000 --> 00:34:14.000]   You have, as I consider it, two basic options.
[00:34:14.000 --> 00:34:14.000]   You have, as I consider it, two basic options.
[00:34:14.000 --> 00:34:14.000]   You have, as I consider it, two basic options.
[00:34:14.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:34:44.020]   You have, as I consider it, two basic options.
[00:34:44.020 --> 00:35:14.040]   You have, as I consider it, two basic options.
[00:35:14.040 --> 00:35:14.040]   You have, as I consider it, two basic options.
[00:35:14.040 --> 00:35:14.040]   You have, as I consider it, two basic options.
[00:35:14.040 --> 00:35:14.040]   You have, as I consider it, two basic options.
[00:35:14.040 --> 00:35:14.040]   You have, as I consider it, two basic options.
[00:35:14.040 --> 00:35:14.040]   You have, as I consider it, two basic options.
[00:35:14.040 --> 00:35:14.040]   You have, as I consider it, two basic options.
[00:35:14.040 --> 00:35:14.040]   You have, as I consider it, two basic options.
[00:35:14.040 --> 00:35:14.040]   You have, as I consider it, two basic options.
[00:35:14.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:35:44.060]   You have, as I consider it, two basic options.
[00:35:44.060 --> 00:36:14.080]   You have, as I consider it, two basic options.
[00:36:14.080 --> 00:36:14.080]   You have, as I consider it, two basic options.
[00:36:14.080 --> 00:36:14.080]   You have, as I consider it, two basic options.
[00:36:14.080 --> 00:36:14.080]   You have, as I consider it, two basic options.
[00:36:14.080 --> 00:36:14.080]   You have, as I consider it, two basic options.
[00:36:14.100 --> 00:36:44.100]   The purpose of this essay is not to settle once and for all the matter to which it is addressed,
[00:36:44.100 --> 00:36:44.100]   The purpose of this essay is not to settle once and for all the matter to which it is addressed,
[00:36:44.100 --> 00:36:44.100]   The purpose of this essay is not to settle once and for all the matter to which it is addressed,
[00:36:44.100 --> 00:36:44.100]   The purpose of this essay is not to settle once and for all the matter to which it is addressed,
[00:36:44.100 --> 00:36:44.100]   The purpose of this essay is not to settle once and for all the matter to which it is addressed,
[00:36:44.100 --> 00:36:44.100]   The purpose of this essay is not to settle once and for all the matter to which it is addressed,
[00:36:44.100 --> 00:36:44.100]   The purpose of this essay is not to settle once and for all the matter to which it is addressed,
[00:36:44.100 --> 00:36:44.100]   The purpose of this essay is not to settle once and for all the matter to which it is addressed,
