
[00:00:00.000 --> 00:00:22.720]   For a show of hands, how many people in this audience know who Circle is, what we do?
[00:36:16.500 --> 00:36:19.500]   And let me do a refresh.
[00:36:19.500 --> 00:36:26.500]   So that listing will show.
[00:36:26.500 --> 00:36:27.500]   Yeah.
[00:36:27.500 --> 00:36:28.500]   Okay.
[00:36:28.500 --> 00:36:29.500]   Yep.
[00:36:29.500 --> 00:36:30.500]   So that's the listing.
[00:36:30.500 --> 00:36:38.500]   Um, and so now what we want to do is, um, we want to create a smart contract.
[00:36:38.500 --> 00:36:43.500]   So, um, because it has all the information that it needs to actually create this agreement
[00:36:43.500 --> 00:36:44.500]   now on chain.
[00:36:44.500 --> 00:36:47.500]   So we hit create smart contract.
[00:36:47.500 --> 00:36:54.500]   What it's doing now is calling the circle APIs to actually, uh, deploy that contract on chain.
[00:36:54.500 --> 00:37:03.500]   So may take a little time, but, uh, it should work in a few minutes.
[00:37:03.500 --> 00:37:04.500]   Let's see.
[00:37:04.500 --> 00:37:04.500]   Yeah.
[00:37:04.500 --> 00:37:05.500]   Actually, great question.
[00:37:05.500 --> 00:37:06.500]   Uh, the network I'm using is base.
[00:37:06.500 --> 00:37:07.500]   Sepolia.
[00:37:07.500 --> 00:37:08.500]   Yeah.
[00:37:08.500 --> 00:37:09.500]   Yeah.
[00:37:09.500 --> 00:37:10.500]   Yeah.
[00:37:10.500 --> 00:37:11.500]   No, no, no.
[00:37:11.500 --> 00:37:12.500]   I mean, it's a great partner.
[00:37:12.500 --> 00:37:14.500]   Um, but, uh, but we, we support, you know, all the, a lot of different chains.
[00:37:14.500 --> 00:37:15.500]   Yeah.
[00:37:15.500 --> 00:37:15.500]   Let me see.
[00:37:15.500 --> 00:37:16.500]   It was taking a little time.
[00:37:16.500 --> 00:37:17.500]   Yeah.
[00:37:17.500 --> 00:37:21.500]   You actually can perform cross chain extra escrow experience.
[00:37:21.500 --> 00:37:22.500]   Yeah.
[00:37:22.500 --> 00:37:23.500]   Yeah.
[00:37:23.500 --> 00:37:25.500]   You actually can perform cross chain extra escrow experience.
[00:37:25.500 --> 00:37:26.500]   I'm using this base.
[00:37:26.500 --> 00:37:27.500]   Yeah.
[00:37:27.500 --> 00:37:28.500]   Yeah.
[00:37:28.500 --> 00:37:29.500]   Yeah.
[00:37:29.500 --> 00:37:30.500]   Yeah.
[00:37:30.500 --> 00:37:31.500]   Yeah.
[00:37:31.500 --> 00:37:32.500]   No, no, no.
[00:37:32.500 --> 00:37:34.500]   I mean, it is a great partner.
[00:37:34.500 --> 00:37:37.500]   Um, but, um, but we, we support, you know, all the, a lot of different chains.
[00:37:37.500 --> 00:37:45.500]   Um, yeah, you actually can perform cross chain extra escrow experiences.
[00:37:45.500 --> 00:37:50.500]   Um, you can use our cross chain transfer protocol to do that.
[00:37:50.500 --> 00:37:53.500]   So I'll give you an example of how maybe that would look is.
[00:37:53.500 --> 00:37:56.500]   It's more of, uh, maybe a cross chain deposit.
[00:37:56.500 --> 00:38:03.500]   So maybe someone comes to the platform and the contracts are on base, but their USDC is
[00:38:03.500 --> 00:38:08.500]   on Solana and so they want to deposit from Solana USDC to base.
[00:38:08.500 --> 00:38:12.500]   They can send it over the cross chain transfer protocol to CCTP.
[00:38:12.500 --> 00:38:13.500]   Right.
[00:38:13.500 --> 00:38:16.500]   And then it will deposit into that base contract.
[00:38:16.500 --> 00:38:20.500]   And then if the beneficiary says, Hey, you know, like, I'm not on base.
[00:38:20.500 --> 00:38:23.500]   I'm on, you know, another chain, Ethereum.
[00:38:23.500 --> 00:38:24.500]   I want it on Ethereum.
[00:38:24.500 --> 00:38:29.500]   Then you can do a cross chain, you know, payout from that contract.
[00:38:29.500 --> 00:38:32.500]   Oh, so it's not actually part of the contract, but it's on the platform.
[00:38:32.500 --> 00:38:33.500]   Right.
[00:38:33.500 --> 00:38:34.500]   Right.
[00:38:34.500 --> 00:38:40.500]   So, so usually what we've seen is developers who are building, um, cross chain experiences
[00:38:40.500 --> 00:38:43.500]   where they're dealing with smart contracts, escrow.
[00:38:43.500 --> 00:38:49.500]   Uh, a lot of them pick like one chain where the actual contracts will live and then they
[00:38:49.500 --> 00:38:52.500]   build interoperability between like deposit and payout flows.
[00:38:52.500 --> 00:38:53.500]   Yeah.
[00:38:53.500 --> 00:38:54.500]   Yeah.
[00:38:54.500 --> 00:38:55.500]   Yeah.
[00:38:55.500 --> 00:38:56.500]   Uh, let's see.
[00:38:56.500 --> 00:38:59.500]   Let me go here to the.
[00:38:59.500 --> 00:39:00.500]   Oops.
[00:39:00.500 --> 00:39:01.500]   Wrong one.
[00:39:01.500 --> 00:39:02.500]   It's logging in.
[00:39:02.500 --> 00:39:06.500]   Let's see something.
[00:39:06.500 --> 00:39:07.500]   Okay.
[00:39:07.500 --> 00:39:07.500]   It's working.
[00:39:07.500 --> 00:39:07.500]   It's pending.
[00:39:07.500 --> 00:39:07.500]   It's just taking some time, a little latency here to actually.
[00:39:07.500 --> 00:39:08.500]   deploy the contract.
[00:39:08.500 --> 00:39:08.500]   Okay.
[00:39:08.500 --> 00:39:08.500]   So yeah, it's working.
[00:39:08.500 --> 00:39:08.500]   It's pending.
[00:39:08.500 --> 00:39:08.500]   It's just taking some time, a little latency here to actually deploy the contract.
[00:39:08.500 --> 00:39:09.500]   Okay.
[00:39:09.500 --> 00:39:09.500]   Um, so yeah, it's working.
[00:39:09.500 --> 00:39:10.500]   It's pending.
[00:39:10.500 --> 00:39:11.500]   It's just taking some time.
[00:39:11.500 --> 00:39:12.500]   Um, so yeah, it's working.
[00:39:12.500 --> 00:39:13.500]   It's pending.
[00:39:13.500 --> 00:39:38.500]   It's just taking some time, a little latency here to actually deploy the contract.
[00:39:38.500 --> 00:39:43.500]   Um, so these are, these are different contracts that deploy testing it.
[00:39:43.500 --> 00:39:46.500]   So this is some base upon you.
[00:39:46.500 --> 00:39:53.500]   Um, let's see.
[00:39:53.500 --> 00:39:57.500]   Actually, what I'm going to do, let me, let me show this cool video.
[00:39:57.500 --> 00:39:59.500]   So you all can see like end to end really quickly.
[00:39:59.500 --> 00:40:06.500]   Cause there is, you know, some sort of, uh, latency around the internet in here.
[00:40:06.500 --> 00:40:14.500]   So I'll play this video right quick.
[00:40:14.500 --> 00:40:18.500]   So you guys can see an end to end flow of like how it works.
[00:40:18.500 --> 00:40:32.500]   Okay.
[00:40:32.500 --> 00:40:34.500]   Okay.
[00:40:34.500 --> 00:40:36.500]   Okay.
[00:40:36.500 --> 00:40:54.500]   Okay.
[00:40:54.500 --> 00:40:54.500]   Okay.
[00:40:54.500 --> 00:41:13.500]   Okay.
[00:41:13.500 --> 00:41:14.500]   Okay.
[00:41:14.500 --> 00:41:15.500]   Okay.
[00:41:15.500 --> 00:41:25.500]   And another thing too, um, is, you know, you, you don't have to worry about gas with these, uh, with using our tooling because you can design these experiences.
[00:41:25.500 --> 00:41:29.500]   And then we have built in gas abstraction with our wallet, uh, as a service infra.
[00:41:29.500 --> 00:41:37.500]   Um, and so it enables you to really abstract away kind of dealing with, you know, holding native tokens for gas.
[00:41:37.500 --> 00:41:49.500]   And so we also, uh, make it very easy for, you know, as we're abstracting the gas away, obviously there's a cost there, but we make it easy for you to actually, uh, pay for your gas fees from Fiat.
[00:41:49.500 --> 00:41:53.500]   Um, directly from a debit card that you would, or a credit card that you put on file.
[00:41:53.500 --> 00:42:05.500]   Um, but we, we really have, uh, designed this for, you know, enterprises, um, that, you know, probably aren't web three native to be able to integrate our technology.
[00:42:05.500 --> 00:42:26.500]   Take advantage of their near instant settlement that comes with public blockchain networks and manage wallets and transactions at a scalable level to be able to, um, you know, expand their, their actual footprint of payments around the world.
[00:42:26.500 --> 00:42:35.500]   So, um, the last thing I have is, um, let's see.
[00:42:35.500 --> 00:42:36.500]   Yeah.
[00:42:36.500 --> 00:42:37.500]   Yeah.
[00:42:37.500 --> 00:42:38.500]   I used to be really into a theory.
[00:42:38.500 --> 00:42:43.500]   I'm going to, I remember deploying the contracts before the biggest gas costs.
[00:42:43.500 --> 00:42:44.500]   Yeah.
[00:42:44.500 --> 00:42:45.500]   Yeah.
[00:42:45.500 --> 00:42:52.500]   You can, you can actually deploy like a contract factory.
[00:42:52.500 --> 00:42:55.500]   Uh, and then that'll allow you to kind of create iterations.
[00:42:55.500 --> 00:43:00.500]   of that within the contract factory to be more efficient on the gas.
[00:43:00.500 --> 00:43:01.500]   Yeah.
[00:43:01.500 --> 00:43:02.500]   Yeah.
[00:43:02.500 --> 00:43:03.500]   Yeah.
[00:43:03.500 --> 00:43:04.500]   Yeah.
[00:43:04.500 --> 00:43:05.500]   I think.
[00:43:05.500 --> 00:43:21.500]   So in the mechanics of what you're doing is that first step, basically taking the unstructured document and you creating basically structured data to then feed to the circle API in terms of, and I guess, how does that piece work?
[00:43:21.500 --> 00:43:30.500]   Is it as simple as like feeding the contracts to open API and just doing a little bit of prompting to kind of get the structured data you want as far as the JSON format?
[00:43:30.500 --> 00:43:31.500]   Yeah.
[00:43:31.500 --> 00:43:32.500]   Yeah.
[00:43:32.500 --> 00:43:34.500]   I'll jump into this right quick for you.
[00:43:34.500 --> 00:43:35.500]   So, okay.
[00:43:35.500 --> 00:43:46.500]   So yeah, that first part is, you know, we've created a prompt to make sure it outputs it in JSON.
[00:43:46.500 --> 00:43:51.500]   So it parses things out, outputs it in kind of a JSON format that looks like this.
[00:43:51.500 --> 00:44:08.500]   Uh, and then, uh, that's how we're able to kind of feed it through to be able to, uh, create basically that listing that adheres to a, uh, a consistent format of, uh, showing the actual transaction amount in task.
[00:44:08.500 --> 00:44:11.500]   I'm not super familiar with escrow contracts.
[00:44:11.500 --> 00:44:15.500]   Are they fairly standardized or do they come in different forms?
[00:44:15.500 --> 00:44:23.500]   And I guess how, uh, robust has it been able to be in terms of handling different, uh, formats?
[00:44:23.500 --> 00:44:24.500]   Yeah.
[00:44:24.500 --> 00:44:27.500]   So, um, here's the actual solidity code.
[00:44:27.500 --> 00:44:32.500]   I'll show you, uh, for the actual escrow contract here.
[00:44:32.500 --> 00:44:36.500]   Uh, and it, this is a very simple one.
[00:44:36.500 --> 00:44:40.500]   Um, it's only like a couple of hundred lines, uh, and a few functions.
[00:44:40.500 --> 00:44:52.500]   They can get, uh, very robust, but if you're, um, for most, for most escrow, um, you know, experiences, uh, this could cover up.
[00:44:52.500 --> 00:44:58.500]   Uh, this could cover a lot, you know, for most they were experiences and there are a lot of templates out there.
[00:44:58.500 --> 00:45:11.500]   Um, since escrow has been a big thing in the actual crypto ecosystem, um, that you can use one, um, is, is one that, um, our research team worked on.
[00:45:11.500 --> 00:45:13.500]   It's called the refund protocol.
[00:45:13.500 --> 00:45:21.500]   Uh, I'll pull it up right now, but it's a, it's an escrow template that kind of gives you all the robustness you would probably need to handle, um, any type of escrow.
[00:45:21.500 --> 00:45:26.500]   Any type of escrow scenario, uh, that, that has been prevalent in the ecosystem.
[00:45:26.500 --> 00:45:27.500]   Let me pull it up right now.
[00:45:27.500 --> 00:45:36.500]   And, um, you could actually use that, uh, and as a template and, and, you know, add to it if you want, or just use it straight out of the box.
[00:45:36.500 --> 00:45:40.500]   So, let me show you this one.
[00:45:40.500 --> 00:45:44.500]   So, let me show you this one.
[00:45:44.500 --> 00:45:59.500]   Yeah, here it is right here.
[00:45:59.500 --> 00:46:11.500]   So, if you go to circle research, uh, this is an article about it and it kind of explains, you know, the functionality built into it, but also too, we have a repo.
[00:46:11.500 --> 00:46:23.500]   Um, it is, uh, where is this repo?
[00:46:23.500 --> 00:46:24.500]   Refund protocol.
[00:46:24.500 --> 00:46:25.500]   So, yeah, this one right here.
[00:46:25.500 --> 00:46:27.500]   You could use this as a template.
[00:46:27.500 --> 00:46:28.500]   Yeah.
[00:46:28.500 --> 00:46:28.500]   Yeah.
[00:46:28.500 --> 00:46:29.500]   Yeah.
[00:46:29.500 --> 00:46:34.500]   Can you just wait for the microphone so everybody can hear you?
[00:46:34.500 --> 00:46:35.500]   Hold on one second.
[00:46:35.500 --> 00:46:36.500]   Okay.
[00:46:36.500 --> 00:46:54.500]   Okay, um, so my, my question here is, uh, towards the challenges of minimizing human intervention.
[00:46:54.500 --> 00:47:06.500]   Um, I, I find, uh, LLMs and agents, um, sometimes unreliably non-deterministic, right?
[00:47:06.500 --> 00:47:07.500]   Mm-hmm.
[00:47:07.500 --> 00:47:16.500]   So, there is always this pattern of, um, the LLM or the agent builds, like, a plan and someone reveals to approve.
[00:47:16.500 --> 00:47:21.500]   Um, given the nature of, um, your business, right?
[00:47:21.500 --> 00:47:36.500]   I, I understand that, like, I guess the question here is, like, what are, for Circle.ai, the biggest challenges when you talk about minimizing human interaction using agents?
[00:47:36.500 --> 00:47:37.500]   Yeah.
[00:47:37.500 --> 00:47:38.500]   Yeah.
[00:47:38.500 --> 00:47:39.500]   Great, great question.
[00:47:39.500 --> 00:47:50.500]   Um, so the question here is, you know, what, what is, um, the challenges with minimizing interactions with payments as it relates to Circle.
[00:47:50.500 --> 00:48:06.500]   Um, so I think that, um, our focus as our company is kind of, like, creating more of a frictionless exchange of value using public blockchain networks for settlement, right?
[00:48:06.500 --> 00:48:21.500]   But we started to see a huge trend, uh, over a year ago where, um, a lot of developers were building agentic workflows using USDC as the payment rail of choice to transact between agents and agents.
[00:48:21.500 --> 00:48:36.500]   And so, um, and so, um, what we, we think is, um, obviously, they're, um, the, the one thing about, you know, um, AI is this, it's not deterministic and payments are deterministic.
[00:48:36.500 --> 00:48:48.500]   Uh, you want them to be deterministic, but there is a lot of conditional logic that is happening before payments are being released in the world.
[00:48:48.500 --> 00:49:00.500]   Um, and so, um, what, what I think is right now, the best safest way to design these experiences is with human in the loop built into it.
[00:49:00.500 --> 00:49:24.500]   Um, and, and, and really kind of focus on it doing, being just a peer review basically for a person in a actual, um, payment operation, um, job to be able to have just something else out there that is doing work 24/7 and saying, hey, here are a list of payments that are ready to go.
[00:49:24.500 --> 00:49:29.500]   Uh, and this is what we've analyzed and why we believe it's ready to go.
[00:49:29.500 --> 00:49:32.500]   But at the end of the day, like you're the final approver.
[00:49:32.500 --> 00:49:39.500]   Uh, and so that's what we think, um, you know, in the near future, combining these technologies together.
[00:49:39.500 --> 00:49:51.500]   Uh, it can be a great combination, but autonomously and just, you know, full automation of controlling, uh, sending and receiving payments.
[00:49:51.500 --> 00:50:14.500]   Um, I'm not sure we're there right now, uh, but I will say that, um, you know, the way this AI industry is moving, um, there could be a world, you know, five to 10 years from now where, um, people actually trust these agents to autonomously handle, um, payments, um, and procurement and things like that.
[00:50:14.500 --> 00:50:16.500]   So hopefully that answers your question.
[00:50:16.500 --> 00:50:17.500]   Yeah.
[00:50:17.500 --> 00:50:26.500]   But we're, we're in the first inning of this and to be completely transparent, you know, there's people in this room who have a lot of experience building with agents.
[00:50:26.500 --> 00:50:34.500]   Um, this is designed to inspire you all to like test out the combination of this technology and, and, and, and give us feedback too.
[00:50:34.500 --> 00:50:35.500]   Uh, we're learning alongside.
[00:50:35.500 --> 00:50:47.500]   Oh, um, I missed the first part, but what's the closest real life examples you have of this autonomous work evaluation and settlement?
[00:50:47.500 --> 00:50:50.500]   Do you have any kind of real life examples you can share?
[00:50:50.500 --> 00:50:51.500]   Yeah.
[00:50:51.500 --> 00:51:03.500]   Um, so we, we haven't released any, anything that's like in production doing this, but there are companies that are doing this right now.
[00:51:03.500 --> 00:51:10.500]   Um, and that is, you know, you have cross meant is one company.
[00:51:10.500 --> 00:51:17.500]   Uh, and then another company is, um, third way with nebula, uh, their model.
[00:51:17.500 --> 00:51:26.500]   So those companies are kind of, you know, on the bleeding edge of, of offering these experiences to developers, but also kind of, you know, putting things out themselves.
[00:51:26.500 --> 00:51:29.500]   So I'd encourage you to check out those two companies.
[00:51:29.500 --> 00:51:33.500]   They're both, uh, cross meant headquartered in New York, I think.
[00:51:33.500 --> 00:51:36.500]   And, uh, third web is right down the street here in the bay.
[00:51:36.500 --> 00:51:37.500]   Yeah.
[00:51:37.500 --> 00:51:38.500]   Yeah.
[00:51:38.500 --> 00:51:39.500]   Um, hi.
[00:51:39.500 --> 00:51:44.500]   Um, I have a question regarding like, uh, around the escrow transactions.
[00:51:44.500 --> 00:51:55.500]   So I wanted to know how feasible, uh, is it to implement zero knowledge proof, um, in this blockchain best escrow transactions?
[00:51:55.500 --> 00:52:07.500]   Yeah, um, that, that is, um, that's something that is, is pretty feasible with the advancements that we've seen with, um, proving TLS notary communications.
[00:52:07.500 --> 00:52:19.500]   Uh, those are a little bit lighter weight to prove and you can generate a proof faster and pass that to a smart contract to be able to, um, perform, uh, escrow.
[00:52:19.500 --> 00:52:28.500]   Uh, so, uh, there is a company called ZKP2P that actually is experimenting with this and it's a live experiment that is working really well.
[00:52:28.500 --> 00:52:35.500]   So, um, there are different ways you could, you could design these and integrate ZK proofs into 'em, um, that we've seen.
[00:52:35.500 --> 00:52:39.500]   And ZKP2P is one of them that's, it's done it pretty well.
[00:52:39.500 --> 00:52:40.500]   Yeah.
[00:52:40.500 --> 00:52:41.500]   Great question.
[00:52:41.500 --> 00:52:42.500]   Yeah.
[00:52:42.500 --> 00:52:43.500]   Thank you.
[00:52:43.500 --> 00:52:44.500]   I have, sorry.
[00:52:44.500 --> 00:52:45.500]   I have one other question as well.
[00:52:45.500 --> 00:52:52.500]   So, uh, could you go to the slide where the, uh, implementation thing is there for the cold storage support?
[00:52:52.500 --> 00:52:53.500]   Okay.
[00:52:53.500 --> 00:52:54.500]   Let's see.
[00:52:54.500 --> 00:52:58.500]   Yeah.
[00:52:58.500 --> 00:53:01.500]   So here I have a, uh, downlight.
[00:53:01.500 --> 00:53:08.500]   Um, so yes.
[00:53:08.500 --> 00:53:13.500]   In this, like, transactions should not all, uh, always be instantaneous.
[00:53:13.500 --> 00:53:18.500]   So you should be, like, creating ahead of time and broadcast next month, right?
[00:53:18.500 --> 00:53:27.500]   So I'm not sure, like, I have a doubt, like, if, is there a possibility if, like, uh, there might be a double spending kind of attack?
[00:53:27.500 --> 00:53:32.500]   If we, like, hold, uh, the transaction and it is not instantaneous?
[00:53:32.500 --> 00:53:45.500]   Um, so the, the question is, could actually, uh, generating an offline transaction that's approved create a double spending, uh, exploit?
[00:53:45.500 --> 00:53:47.500]   Is that, that, that, that the question?
[00:53:47.500 --> 00:53:48.500]   Um, yes.
[00:53:48.500 --> 00:53:53.500]   Uh, um, I don't think it could, could necessarily do that.
[00:53:53.500 --> 00:54:08.500]   Um, you know, from, from my experience of, of people actually kind of generating transactions offline to actually broadcast later, I haven't seen that, that issue become, uh, a problem with double spending.
[00:54:08.500 --> 00:54:17.500]   Oh, oh, no, no, like, uh, could you, like, a little bit, uh, explain me the scenario of, like, how transactions should not always be instantaneous, like, around this?
[00:54:17.500 --> 00:54:18.500]   Yeah.
[00:54:18.500 --> 00:54:35.500]   So, so, so this, this use case, I mean, maybe if you are a company and you're running payroll on chain, and, um, you know that, um, there is a transaction that you're gonna make in the future, um, for a certain amount to do payroll and it's on a consistent cadence.
[00:54:35.500 --> 00:54:47.500]   You could actually, uh, generate that transaction, sign and approve it offline, and then broadcast it on the day of the actual transaction that needs to be sent out.
[00:54:47.500 --> 00:54:48.500]   Oh, got it.
[00:54:48.500 --> 00:54:49.500]   Thank you.
[00:54:49.500 --> 00:54:50.500]   Yeah.
[00:54:50.500 --> 00:54:51.500]   Yeah.
[00:54:51.500 --> 00:54:52.500]   Okay.
[00:54:52.500 --> 00:54:53.500]   Yeah.
[00:54:53.500 --> 00:54:55.500]   Hey, how's it going?
[00:54:55.500 --> 00:54:56.500]   Good.
[00:54:56.500 --> 00:54:57.500]   How you doing?
[00:54:57.500 --> 00:55:02.500]   Um, I must have missed the first part where you mentioned multi-sig.
[00:55:02.500 --> 00:55:03.500]   Yeah.
[00:55:03.500 --> 00:55:11.500]   But, um, my question was just revolving around, like, some of the different use cases of multi-sig, combining that with, you know, humans, agents.
[00:55:11.500 --> 00:55:22.500]   Um, you know, for example, in this, um, contract evaluation, you could have, like, three different agents try to evaluate the same contract and criteria inside of multi-sig.
[00:55:22.500 --> 00:55:27.500]   But what are the, what other use cases of multi-sig and AI do you see?
[00:55:27.500 --> 00:55:29.500]   Great question.
[00:55:29.500 --> 00:55:48.500]   Um, you know, I, I think that, um, you know, there could be a world where, um, you, like, you, you have multiple agents that may act as, um, you know, in, in kind of like a, a financial, uh, operations unit at a company, small company.
[00:55:48.500 --> 00:55:59.500]   And you may have, um, you know, a CFO agent, a controller agent, uh, accountant agent, and those agents are cross-checking each other's work and things like that.
[00:55:59.500 --> 00:56:09.500]   But then ultimately they need to do, uh, some sort of multi-signature process to be able to sign off on, uh, maybe transactions that are over like $25,000.
[00:56:09.500 --> 00:56:17.500]   Um, so that, that, that could be like a world that we see, uh, with, with agents and, um, USDC.
[00:56:17.500 --> 00:56:18.500]   Great. Thank you.
[00:56:18.500 --> 00:56:19.500]   Yeah. Okay.
[00:56:19.500 --> 00:56:34.500]   So where are you using that AI, um, for reading the document and generating the, like, what the contract should be?
[00:56:34.500 --> 00:56:36.500]   So there is a human in the loop.
[00:56:36.500 --> 00:56:44.500]   Uh, so for, in order to the, in order for the human to approve or reject it, he needs to go through that document himself as well, right?
[00:56:44.500 --> 00:56:50.500]   Um, so how exactly is that agent saving any effort?
[00:56:50.500 --> 00:56:54.500]   Because the human has to still go and read the document, right?
[00:56:54.500 --> 00:56:55.500]   Yeah, yeah.
[00:56:55.500 --> 00:57:00.500]   So, like, you know, right now, like, this is just a, a simple prototype, right?
[00:57:00.500 --> 00:57:16.500]   Um, we could have gone the extra mile and started out with someone, uh, you know, using NLP to, like, just create, like, a, a simple prompt to say, hey, I want a contract between, you know, me and this other person that does these things.
[00:57:16.500 --> 00:57:18.500]   And then the agent goes out and writes it.
[00:57:18.500 --> 00:57:28.500]   And then the agent could actually, you know, um, parse out the information that it wrote and then send a notification to the two parties that this is an agreement for a hundred dollars.
[00:57:28.500 --> 00:57:30.500]   And these are the things that need to be met.
[00:57:30.500 --> 00:57:39.500]   Um, so that, that's, that's a word where we, we could have done that, but like, we were just trying to put together a simple prototype to just showcase the combination of technology.
[00:57:39.500 --> 00:57:51.500]   But this is not, you know, something we, we feel like is, you should, you know, deploy in production and use right now, but it's inspiration, you know, of combining these different technologies.
[00:57:51.500 --> 00:57:52.500]   Okay.
[00:57:52.500 --> 00:57:53.500]   Got it.
[00:57:53.500 --> 00:57:54.500]   Yes.
[00:57:54.500 --> 00:57:55.500]   Yeah.
[00:57:55.500 --> 00:58:04.500]   So I guess, um, yeah, uh, we don't have any other questions.
[00:58:04.500 --> 00:58:09.500]   We can close it out.
[00:58:09.500 --> 00:58:09.500]   Thanks everyone.
[00:58:09.500 --> 00:58:10.500]   Thanks everyone.
[00:58:10.500 --> 00:58:11.500]   Thank you.
[00:58:11.500 --> 00:58:12.500]   Thanks everyone.
[00:58:12.500 --> 00:58:13.000]   you
[00:58:13.000 --> 00:58:15.060]   you
[00:58:15.060 --> 00:58:17.160]   We'll see you next time.

