
[00:00:00.000 --> 00:00:02.960]   if we impose high structural tariffs,
[00:25:41.060 --> 00:25:47.540]   basically are monitoring your company's workloads that are occurring in AWS, GCP, Azure, et cetera,
[00:25:47.540 --> 00:25:54.980]   and what code can be deployed on those platforms. Um, rumors are that they're going to do something like
[00:25:54.980 --> 00:26:02.740]   a billion dollars in, in ARR in this calendar year. Yeah. And so if you look at it, 32 billion,
[00:26:02.740 --> 00:26:07.460]   you know, it looks like they're paying something just over 30 times forward revenue for the business.
[00:26:07.460 --> 00:26:13.380]   I think the business is probably close to break even. I don't exactly know where that is. You know,
[00:26:13.380 --> 00:26:19.860]   Google's total cloud revenue is about 45 billion. So when you look at this, this is about a billion
[00:26:19.860 --> 00:26:25.780]   on 45 or about you're buying basically 2% growth. It certainly is not coming cheap considering that
[00:26:25.780 --> 00:26:31.140]   Google trades at, you know, five times revenue versus these guys at 30 times revenue. They
[00:26:31.140 --> 00:26:37.700]   clearly think it's strategic to their business, but the more interesting thing, you know, I tweeted, uh,
[00:26:37.700 --> 00:26:42.580]   this week and set on CNBC last week, the M and a market is back people. They called them off the
[00:26:42.580 --> 00:26:47.780]   beach. The corp dev teams are back in the office. They're looking for deals. And this one is going
[00:26:47.780 --> 00:26:53.620]   to be a key litmus test for this administration. So talk to me about what you're thinking about from
[00:26:53.620 --> 00:26:58.900]   the logic of the deal perspective and what this may or may not tell us about the business environment,
[00:26:58.900 --> 00:27:03.860]   um, uh, folks are entering into with this new administration. Yeah. And those are both important
[00:27:03.860 --> 00:27:09.700]   topics and, and clearly the backdrop to remind everyone, um, it's been really slow going for
[00:27:09.700 --> 00:27:15.220]   M and a particularly with the perspectives that were held during the Biden administration,
[00:27:15.220 --> 00:27:22.180]   as well as the IPO market, which we've frequently talked about. And so anything that starts to open
[00:27:22.180 --> 00:27:28.820]   that up would be seen as a huge, huge positive, uh, data point for the, for the venture market. I think,
[00:27:28.820 --> 00:27:33.460]   I thought a lot about this with respect to Google. And I think in order to understand it,
[00:27:33.460 --> 00:27:41.540]   you have to put yourself into place. Google's in so huge, huge market cap top five in the world
[00:27:41.540 --> 00:27:48.020]   clearly has been successful with acquisitions in the past. YouTube, uh, Android, uh, came through an
[00:27:48.020 --> 00:27:54.260]   acquisition. So a company that's been successful at acquisition and a huge, you know, if they wanted to
[00:27:54.260 --> 00:27:59.860]   buy something with stock, they could easily do that too. Um, but where can they spend it? And there's massive
[00:27:59.860 --> 00:28:07.060]   pressure from the EU, as you noted, it's very unlikely they would allow to be, to acquire anything that
[00:28:07.060 --> 00:28:14.260]   relates to search, maybe anything that relates to AI, anything that relates to YouTube. So those may be
[00:28:14.260 --> 00:28:20.740]   all off the table. So if you, if you put yourself in those shoes and you say you're, you know, you're on
[00:28:20.740 --> 00:28:27.860]   the board or you're on the M and a team at Google, which of our businesses would we be allowed to
[00:28:27.860 --> 00:28:33.940]   acquire in? And it, you know, enterprise is one where they don't have dominant market share. AWS did. It's
[00:28:33.940 --> 00:28:40.580]   a more competitive environment with Microsoft and others. And you probably could get something done
[00:28:40.580 --> 00:28:46.820]   here. And so it's, I, I can't prove that's how they got to this place, but my guess is that that's how they
[00:28:46.820 --> 00:28:52.500]   backed into saying, well, we should acquire something in this space within that space.
[00:28:52.500 --> 00:28:58.500]   You know, you say, how could we differentiate ourselves? And, you know, AWS was first. I think
[00:28:58.500 --> 00:29:05.300]   AWS is considered a little more developer friendly. They kind of started in that place, um, from the very
[00:29:05.300 --> 00:29:11.860]   beginning, they've been more flexible and open and what they offer, you know, Microsoft, I think mostly
[00:29:12.500 --> 00:29:18.340]   leverages their corporate customer base and kind of uses that to drive their business. So Google,
[00:29:18.340 --> 00:29:24.820]   how can they differentiate security, especially in a distributed world seems like a very reasonable
[00:29:24.820 --> 00:29:31.300]   answer to that question. And so I guess, you know, to put it all in perspective, watching all that,
[00:29:31.300 --> 00:29:36.740]   it makes a lot of sense that they would come to this place. Now they're still saying it might take until next
[00:29:36.740 --> 00:29:44.900]   calendar year to get this done. And I think they put up a $3.2 billion breakup fee that they lose if this
[00:29:44.900 --> 00:29:51.540]   doesn't get approved. So it's not like this is easy going. I remember when they tucked in ways and 90 days,
[00:29:51.540 --> 00:29:58.260]   like even this is difficult, but I can, I can very easily see how they got to this place. And I,
[00:29:58.260 --> 00:30:04.420]   and you know, I'm not deep in cloud security, but I can, I can also, I have a lot of conviction that
[00:30:04.420 --> 00:30:10.980]   that's a good idea for an area of differentiation. Well, I mean, I will tell you this. I hear it from
[00:30:10.980 --> 00:30:15.620]   every single company I'm talking to. They're going to be watching this one very closely because people
[00:30:15.620 --> 00:30:20.020]   want to get back to the M and A game. And basically there's been no M and A over the course of the last
[00:30:20.020 --> 00:30:26.340]   several years. You know, we certainly, one, one area I want to cover here is, you know, just the pace at
[00:30:26.340 --> 00:30:35.540]   which we're building monster companies, right? Hat tip here to Charlotte Shaw at index to Doug Leone for
[00:30:35.540 --> 00:30:42.820]   another legendary investment. You know, this is a business that was started in 2020. Okay. And they're
[00:30:42.820 --> 00:30:50.020]   selling it five years later for $32 billion, 32 billion. One of the largest outcomes in the history
[00:30:50.020 --> 00:30:57.380]   of Silicon Valley, you know, and those guys are both repeat offenders at home run power law outcomes. So
[00:30:57.380 --> 00:31:03.060]   hat tip to both of them. Green Oaks was in this and listen, Bill, I I I'll share a little vulnerability
[00:31:03.060 --> 00:31:09.940]   here, um, about, about altimeter, uh, and myself, because I've talked a lot about the search. Uh,
[00:31:09.940 --> 00:31:13.780]   you know, what can we learn from search as we go to invest in these model companies? And I,
[00:31:13.780 --> 00:31:17.940]   I say, you know, think about all the people who got Lycos and Alta Vista and all these logos. They
[00:31:17.940 --> 00:31:23.220]   were right about the internet. They were right about search and, and they didn't make any money and all
[00:31:23.220 --> 00:31:30.180]   the money went to, you know, uh, to, to Google. Well, this is a case where altimeter was an investor
[00:31:30.180 --> 00:31:35.620]   with Sutter Hill in a company called lace work. Right. Right. And it was competing in a very, very similar
[00:31:35.620 --> 00:31:40.500]   space. This was the thesis of lace work lace work raised a lot of money, too much money. I would
[00:31:40.500 --> 00:31:45.860]   argue, uh, you know, at the time, and they, they went hard at go to market, but they didn't have the
[00:31:45.860 --> 00:31:52.180]   product market fit and execution. Right. Relative to whiz. And I remember when whiz did that series B
[00:31:52.180 --> 00:31:56.660]   and I said, we've got a product issue. They're killing us, you know, in terms of how fast they're
[00:31:56.660 --> 00:32:02.980]   growing on product. And so this was a case where we lost money betting in this space. And some of
[00:32:02.980 --> 00:32:07.220]   these great, great friends of ours made a lot of money betting on the competitors. You know, we've,
[00:32:07.220 --> 00:32:12.020]   we've had plenty of wins here. And, uh, but this was one of those humbling times. Like, what did we,
[00:32:12.020 --> 00:32:18.020]   what did we get wrong? Right. In terms of team and execution and shows how hard this business is bill.
[00:32:18.020 --> 00:32:24.580]   Right. It is a razor's edge between, you know, the promised land and, and, and not making anything
[00:32:24.580 --> 00:32:30.100]   because the winners tend to, to walk away with, uh, you know, a disproportionate amount of the prize.
[00:32:30.100 --> 00:32:35.300]   So any reflections bill, just, you've been around this for a while, 32 billion of enterprise value
[00:32:35.300 --> 00:32:41.700]   created in five years. Well, definitely. And I would, I would, uh, qualify one statement. You,
[00:32:41.700 --> 00:32:48.820]   you said they made a lot of money. Sounds like that won't happen until 2026. So let's not count the
[00:32:48.820 --> 00:32:56.500]   chickens just yet. Um, yeah, look, one takeaway I have, which my partners don't, they don't think
[00:32:56.500 --> 00:33:02.420]   it's fair, but I'm going to say it anyway, repeat entrepreneurs in the enterprise space are a golden
[00:33:02.420 --> 00:33:11.540]   ticket. Like, like it is. So there are so many learned experiences about go mostly. I think about go to market
[00:33:11.540 --> 00:33:18.260]   that are repeatable that you can line them up and do it again. And I always think of the work day
[00:33:18.260 --> 00:33:24.100]   example is like picture proof of this, right? It's the team that built people saw and, and they just
[00:33:24.100 --> 00:33:31.140]   came and did it on the new platform and the technology stacks always changing. And when it changes, it allows
[00:33:31.140 --> 00:33:36.580]   for a new entrant to come along and be disruptive relative to that. And this has happened over and over
[00:33:36.580 --> 00:33:41.700]   and over again from mainframe to minis, minis to client server, client server to the internet,
[00:33:41.700 --> 00:33:47.620]   internet to the cloud. It just happens over and over again. And so if you have a repeat entrepreneur
[00:33:47.620 --> 00:33:53.940]   and you can, you know, establish a relationship where they're going to want to come back to you again,
[00:33:53.940 --> 00:34:00.020]   shout out to my partner, Peter Fenton, working with Brett Taylor again, which is a perfect example of this.
[00:34:00.020 --> 00:34:08.660]   Frank Slootman. Yeah. The odds of success are way, way, way higher. And as you said, hat tip to Leone,
[00:34:08.660 --> 00:34:15.620]   he's been around a long time having to win this big at the, you know, at the, I won't put him to pastor,
[00:34:15.620 --> 00:34:21.380]   but at the end, end of your career, it's just super impressive. But I think it's, I think, you know,
[00:34:21.380 --> 00:34:28.500]   the key takeaway for me is that the repeat entrepreneur with a new wave in, uh, in enterprise
[00:34:28.500 --> 00:34:33.540]   is probably the best way to increase your probability of success. And even then, you know,
[00:34:33.540 --> 00:34:39.380]   you may run into what you did. So it, it, you know, it ain't easy, but it's a great outcome here. Great
[00:34:39.380 --> 00:34:42.820]   outcome for all these people. And let's, let's hope it gets, it gets approved.
[00:34:42.820 --> 00:34:47.140]   Yeah. So, so, so let's talk about that a little bit, the approval process, because I've gotten a
[00:34:47.140 --> 00:34:52.900]   lot of questions because it's not only important to this one, Bill, it's important to the signal,
[00:34:52.900 --> 00:34:58.580]   right? Are we going to unleash animal spirits around M and A, or are we going to quash them before they
[00:34:58.580 --> 00:35:04.740]   get out of the gate? So let's talk about the FTC for a second, right? The chair of the FTC,
[00:35:04.740 --> 00:35:12.260]   Matthew Ferguson, I think there've been a lot of misinformation about, uh, uh, about where
[00:35:12.260 --> 00:35:17.460]   kind of he stands on M and A. And so the headlines that I saw over the course of the last couple of
[00:35:17.460 --> 00:35:23.700]   weeks, um, in particular, there was a quote that I saw Bloomberg and a bunch of other people reporting
[00:35:23.700 --> 00:35:30.500]   where he said, we're not going to be deferential to the C-suite. We are going to be the cop on the beat
[00:35:30.500 --> 00:35:36.660]   for big tech. And people combine those two things and said, oh my God, this is a continuation
[00:35:36.660 --> 00:35:41.460]   of Lena Khan. Right here. We thought we were moving into a totally different business environment,
[00:35:41.460 --> 00:35:43.700]   but that doesn't sound good at all. Yeah.
[00:35:43.700 --> 00:35:50.100]   So I went back and I read the transcript on, you know, a couple of his long interviews. And of course,
[00:35:50.100 --> 00:35:56.020]   they pulled those two things out of the interview, but I don't think it's reflective of where he stands.
[00:35:56.020 --> 00:36:04.420]   So just a couple of data points that I would add to the conversation. One is when asked specifically
[00:36:04.420 --> 00:36:11.940]   as to whether or not he differed with Lena Khan, he said really quickly, I, I've written hundreds of
[00:36:11.940 --> 00:36:20.660]   pages of dissents with Lena Khan. And he said, the number one area I differ with, with, with the prior
[00:36:20.660 --> 00:36:30.180]   administration is that they lingered. They created a regulatory fear state that nobody wanted to do
[00:36:30.180 --> 00:36:34.820]   anything because literally they would bring an action and then nothing would happen. It would just
[00:36:34.820 --> 00:36:41.620]   die over time on the vine. And it was like purgatory for all these companies. And so no deals got done.
[00:36:41.620 --> 00:36:47.140]   He said, I'm going to be a cop on the beat, but he said, number one, I'm going to go to court or get out
[00:36:47.140 --> 00:36:54.420]   of the way and let business thrive. That is a totally different mindset. Go to court because
[00:36:54.420 --> 00:36:59.060]   you're clearly in violation of the law, or I'm going to get out of the way and let the business thrive.
[00:36:59.060 --> 00:37:04.180]   So that sounds to me like we're going to get pretty quick action here. Like we're going to know one way
[00:37:04.180 --> 00:37:10.420]   or the other, what they want to do. And then he, the second point he made, he said, I'm not a regulator.
[00:37:11.220 --> 00:37:20.820]   Think about that. I'm not a regulator. I'm a cop on the beat. I'm looking for fraud, monopoly or collusion.
[00:37:20.820 --> 00:37:29.860]   And I think those two things may well define a very clear and differentiated approach to the FTC.
[00:37:29.860 --> 00:37:35.140]   And I think it's going to be reflected here. I think we have an unbelievable opportunity to unleash an
[00:37:35.140 --> 00:37:41.220]   incredible amount of economic growth and capital finding its best home and best place to grow
[00:37:41.220 --> 00:37:46.100]   businesses with a lot of pent up M and A. And I will tell you this, when I look in the public market,
[00:37:46.100 --> 00:37:51.780]   I see great businesses that are growing, you know, 10, 20, 30% that are trading at six or seven times
[00:37:51.780 --> 00:37:58.260]   revenue. This deal just got done at over 30 times revenue. There's ample room for buyers and sellers
[00:37:58.260 --> 00:38:03.780]   to meet in the middle. If, uh, if the United States is truly open for business when I, and I would,
[00:38:03.780 --> 00:38:09.860]   I would argue that, that at least in terms of Google whiz, the, uh, it, it passes that test.
[00:38:09.860 --> 00:38:16.260]   Like it's none of those three things. So hopefully it will move through quickly. Um, and you know,
[00:38:16.260 --> 00:38:22.900]   it sounds like, you know, we've got on the, on the flip side, on the IPO front, you know, there's talk of
[00:38:22.900 --> 00:38:28.900]   core weave, you know, in the shoot, uh, rumors about Klarna, I think Cerebris is in the shoot.
[00:38:28.900 --> 00:38:35.620]   Uh, it'd be great if we see some IPOs. Do you have any, any perspective or data on what we might see
[00:38:35.620 --> 00:38:43.300]   and when? Um, my data is remember, uh, I'm on the buy side. So when Goldman or Morgan Stanley want to
[00:38:43.300 --> 00:38:48.420]   sell one of these things, our phone rings and they want to check market conditions. They want to check what
[00:38:48.420 --> 00:38:53.940]   we're thinking, you know, and then eventually, uh, you know, the roadshow occurs, et cetera. And I would
[00:38:53.940 --> 00:39:00.100]   say all of that, our phones are ringing. There's a lot of activity, the ones you mentioned and many
[00:39:00.100 --> 00:39:08.500]   others. So again, think about this, the NASDAQ's down 10% bill in a month. And not withstanding that,
[00:39:08.500 --> 00:39:15.700]   we get a huge M and a deal announced and we have the pipeline for on the IPO front. So this to me is a
[00:39:15.700 --> 00:39:21.700]   strong signal that people believe this is much more of a pro growth, you know, uh, uh, administration
[00:39:21.700 --> 00:39:26.740]   that's going to be supportive of deal-making. And if, if that stuff happens, then I will say,
[00:39:26.740 --> 00:39:31.460]   whatever you think about tariffs, whatever uncertainty is sitting in your mind about tariffs,
[00:39:31.460 --> 00:39:36.340]   there's a lot of upside from this activity percolating through one thing I would bring up
[00:39:36.340 --> 00:39:42.980]   and that is pertinent to April 2nd, which is you and I just said that, that Matthew Ferguson,
[00:39:42.980 --> 00:39:47.860]   the FTC may in fact clear the way here, but the question is, what are the Europeans going to say?
[00:39:47.860 --> 00:39:51.620]   Remember, they've been the ones who've been the pain in the ass on all this stuff,
[00:39:51.620 --> 00:39:57.860]   right? And these companies now have significant presence in Europe. And so if the Europeans continue
[00:39:57.860 --> 00:40:02.740]   to bite our ankles, I think this is one of the things the administration is going to point out on
[00:40:02.740 --> 00:40:10.020]   April 2nd and just say like, we can't have this, right? You can't effectively thwart business activity
[00:40:10.020 --> 00:40:16.180]   between two American companies because you're going to sit there and impose, you know, these harsh
[00:40:16.180 --> 00:40:22.420]   standards, right? From an M and a perspective. And that I think is going to get kicked into the domain
[00:40:22.420 --> 00:40:28.580]   of the trade negotiations and tariff negotiations. This would fall into the bucket bill of a non-tariff
[00:40:28.580 --> 00:40:34.980]   trade barrier that we're going to punish American companies, right? With excessive regulation that,
[00:40:34.980 --> 00:40:40.500]   in fact, hurts our ability to do business. So this is going to be interesting to see how that one unfolds.
[00:40:40.500 --> 00:40:47.540]   All right. Now let's switch gears. I understand you were down in San Jose yesterday. Were you at the
[00:40:47.540 --> 00:40:56.020]   SAP center when I hear there were 18,000 people there? Um, and I saw a photo, his, his leather jacket,
[00:40:56.020 --> 00:41:02.260]   I think has more zippers and buttons than the previous version. He's, he's clearly the new Steve jobs.
[00:41:02.260 --> 00:41:07.940]   I will tell you. Um, I, in fact, I was just down there this morning. I saw our buddy,
[00:41:07.940 --> 00:41:14.340]   Will Danoff from fidelity and Gavin Baker and you know, it's, it's, you know, everybody is there.
[00:41:14.340 --> 00:41:18.580]   I will tell you this, whatever you think about the upside or downside of the stock. And we're going to
[00:41:18.580 --> 00:41:22.900]   get into that. We're going to get into their announcements. Uh, what I said to Gavin, as I was
[00:41:22.900 --> 00:41:29.860]   on my way out is, you know, hands in the air in prayer position to give thanks that this is an American
[00:41:29.860 --> 00:41:36.980]   company. There's an extraordinary company that that's a, that's at the heart of, you know,
[00:41:36.980 --> 00:41:42.100]   our competitive advantage when it comes to national security, economic security, all things, AI.
[00:41:42.100 --> 00:41:49.460]   Jensen is in full founder mode. They're executing brilliantly and they're an American company. And so,
[00:41:49.460 --> 00:41:54.020]   you know, and by the way, we take that for granted. It's not yet. Yeah. You know, like,
[00:41:54.020 --> 00:41:58.660]   I don't think we should take it for granted because we just got done talking about how competitive
[00:41:58.660 --> 00:42:03.700]   the Chinese are with BYD. It could very well turn the tables and we could be dependent upon
[00:42:03.700 --> 00:42:08.900]   Huawei for next generation AI chips instead of the United States. And so protecting that
[00:42:08.900 --> 00:42:13.220]   level of innovation here in Silicon Valley is important, but let's talk about what we learned.
[00:42:13.220 --> 00:42:20.740]   Just very quickly while you're on that topic, you know, Jensen was born in Taiwan and, and as
[00:42:20.740 --> 00:42:26.580]   many have highlighted, many of the founders and leaders of all these incredible American tech companies
[00:42:27.460 --> 00:42:35.220]   are either, either first generation immigrants or second. And so I do hope I, I, I, I harken back to
[00:42:35.220 --> 00:42:41.620]   when president Trump told the all in crowd that he wanted to staple a visa to every diploma. I hope those
[00:42:41.620 --> 00:42:48.420]   activities are underway. I have not seen any visible activities on that front, but I hope those activities
[00:42:48.420 --> 00:42:55.300]   are underway. No doubt about it. I will tell you when you think about in particular, the chip companies, Bill,
[00:42:55.300 --> 00:43:03.060]   Lip Boutan, the new CEO of Intel, I think born in Malaysia, you know, I think every one of them has a CEO who
[00:43:03.060 --> 00:43:08.740]   is born in Southeast Asia, China, or Taiwan. Yeah. Um, and so I couldn't agree with you more
[00:43:08.740 --> 00:43:15.700]   immigration, smart immigration, smart immigration, smart immigration, right. Is a huge national competitive
[00:43:15.700 --> 00:43:20.900]   advantage. And we ought to, uh, uh, you know, we ought to continue to focus on that. So what came out of GTC
[00:43:20.900 --> 00:43:25.380]   that's, that's the same or different than what we knew? Let's, let's just start at the top by saying
[00:43:25.380 --> 00:43:31.860]   the stock's basically flat, right? The stock peaked last year around 150 bucks a share. It got as low as
[00:43:31.860 --> 00:43:39.700]   105 the other day, it's back to 115 on consensus numbers. NVIDIA is trading at about 20 times, uh,
[00:43:39.700 --> 00:43:44.900]   next year's consensus earnings estimates. That's really low relative to the S and P it's trading
[00:43:44.900 --> 00:43:51.220]   about 24 times this year's consensus estimates. That's again, lower than the S and P average. So
[00:43:51.620 --> 00:43:57.060]   this like, this is not a demanding multiple. Why is it trading their bill? Well, people are worried
[00:43:57.060 --> 00:44:02.660]   about the demand. They're like, is AI overhyped? Is the demand going to continue to be there? What
[00:44:02.660 --> 00:44:07.860]   about deep seek? What about the competition from ASICs, et cetera? So there is a big wall of worry
[00:44:07.860 --> 00:44:13.460]   about this. And, and, you know, and even among the mag seven apple, et cetera, all of those stocks,
[00:44:13.460 --> 00:44:19.620]   Costco's trading at 50 times earnings. So we have a lot of non-tech companies without a lot of growth
[00:44:19.620 --> 00:44:25.460]   that are trading at much higher earnings multiples at this point than NVIDIA. Okay. So a few of the
[00:44:25.460 --> 00:44:30.900]   key things that came out of this, um, and then I'll, I'll tee up a few of the debates. Number one,
[00:44:30.900 --> 00:44:38.420]   we talked a lot a month ago about deep seek and he was very clear on stage. He said there was a profound
[00:44:38.420 --> 00:44:44.740]   and deep misunderstanding of deep seek R1. Um, because remember when it came out, there was a lot of fear
[00:44:44.740 --> 00:44:49.380]   that, oh, you can get intelligence on the cheap. You don't need as much compute. You don't need to train
[00:44:49.380 --> 00:44:57.460]   these big models. He was vehement that that was untrue. And in fact, he doubled down on that bill.
[00:44:57.460 --> 00:45:05.620]   And he said, the amount of compute we now know that we need right today is a hundred times greater
[00:45:05.620 --> 00:45:13.700]   than what we believe to be true a year ago. Okay. So that was one of the things that was buzzing that just
[00:45:13.700 --> 00:45:19.380]   what is happening to the aggregate demand, the aggregate TAM, if you will, for the market.
[00:45:19.380 --> 00:45:24.100]   And so I want to talk, drill down on that for a second, because he showed an important slide
[00:45:24.100 --> 00:45:32.420]   that we'll have here, which was industry estimates on what the TAM is for AI data centers. And he said,
[00:45:33.380 --> 00:45:40.740]   remember, we did this podcast on February 22nd bill last year, where we laid out the data center rollout.
[00:45:40.740 --> 00:45:45.460]   And he said that the amount of compute, he was in Saudi Arabia at the time,
[00:45:45.460 --> 00:45:52.500]   the world was thinking it was going to be about $250 billion a year. So a trillion over four years. And he
[00:45:52.500 --> 00:45:58.820]   said, no, that's wrong by half. We're going to do $2 trillion of TAM over the next four years. So
[00:45:58.820 --> 00:46:05.540]   something closer to $500 billion a year of new AI workloads, right? So data centers supporting new AI
[00:46:05.540 --> 00:46:12.900]   workloads and then replacement data centers, you know, so these are, you know, x86 architected data centers
[00:46:12.900 --> 00:46:20.020]   that are going to move to accelerated compute. Well, he doubled down on again at GTC. And now he's saying
[00:46:20.020 --> 00:46:28.500]   that it's going to be $1 trillion per year by 2028. So we'll include this side, but we re-forecasted
[00:46:28.500 --> 00:46:37.460]   the slide we did last year. This is a both new AI workloads and all of the existing data centers
[00:46:37.460 --> 00:46:41.540]   that he believes will be rebuilt. And when they get rebuilt, they're going to be more accelerated.
[00:46:41.540 --> 00:46:47.380]   So that's going to a trillion a year. So the market is growing much faster than people think. Now,
[00:46:47.380 --> 00:46:53.300]   why is this happening? And I think he used a really great example. He said, as of today,
[00:46:53.300 --> 00:46:58.500]   you think about somebody who's writing software and they're basically hand coding the software
[00:46:58.500 --> 00:47:03.860]   and they can do that without accelerated compute, right? And so you're just working in a normal,
[00:47:03.860 --> 00:47:09.460]   on a normal, uh, database in a normal, uh, data center. And he said, but by the end of the year,
[00:47:09.860 --> 00:47:15.060]   the end of the year, right? Most code is going to either be refactored or written from the start
[00:47:15.060 --> 00:47:20.740]   using machine learning. It's going to be coding agents that are helping to do that. And those
[00:47:20.740 --> 00:47:28.100]   all require accelerated compute. And so if we listen to Mark Zuckerberg or Elon Musk or Sam Altman,
[00:47:28.100 --> 00:47:32.980]   they're all saying the same thing that coding agents are going to come, they're going to displace a huge
[00:47:32.980 --> 00:47:38.900]   amount of the, the handwritten code that was previously getting done on CPUs. And so that's
[00:47:38.900 --> 00:47:44.020]   the type of thing he showed some queries and the reasoning models and, and, and why that's
[00:47:44.020 --> 00:47:49.140]   multi multiplicative and leading to much greater demand. But those were, I would say at the high
[00:47:49.140 --> 00:47:56.260]   level, he really made the case that demand is exploding, uh, across all of these different
[00:47:56.260 --> 00:48:02.740]   workloads, literally from, uh, he, he, he said this morning that robotics and autonomous, and autonomous
[00:48:02.740 --> 00:48:09.540]   cars was already greater than $5 billion revenue run rate for Nvidia and growing very fast. He said,
[00:48:09.540 --> 00:48:18.260]   so they have from synthetic biology to robotics, um, to physics, to, you know, all the stuff we see in
[00:48:18.260 --> 00:48:25.140]   consumer to enterprise it. They have this incredible stack across CUDA, which is multiple layers of
[00:48:25.140 --> 00:48:29.380]   software. And then finally he said, remember, we're not in the business of building chips anymore.
[00:48:29.380 --> 00:48:34.980]   That ship sailed a long time ago. We're in the business of building supercomputers. Blackwell is
[00:48:34.980 --> 00:48:41.940]   40 times more capable than Hopper was and that the demand is off the charts. And so, you know,
[00:48:41.940 --> 00:48:46.020]   notwithstanding that fact, I think the market's checking them at the gate and they're saying,
[00:48:46.020 --> 00:48:50.900]   we'll believe it when we see it. And I think a framework for thinking about Nvidia at this point
[00:48:50.900 --> 00:48:56.660]   is this is probably a company at two, you know, 2.7 trillion. That's going to grow at whatever the
[00:48:56.660 --> 00:49:01.380]   rate of its earnings growth is bill. Right. You've seen all the multiple compression you're likely to
[00:49:01.380 --> 00:49:07.220]   see. I think in that regard, you know, they can grind a lot higher. I'll give my reflections and
[00:49:07.220 --> 00:49:14.100]   uh, feel, feel free to, to, to push back one. As you already said, the market didn't move, which implies
[00:49:14.100 --> 00:49:21.540]   if you believe in the efficient market hypothesis, that there was the full absorption of data that neither
[00:49:21.540 --> 00:49:29.380]   positive or negative, right? Uh, of what was said, uh, relative for what expectations were to, I do
[00:49:29.380 --> 00:49:35.220]   think there continues to be, and maybe we should just find a way to put a pin in it. But this, this, uh,
[00:49:35.220 --> 00:49:43.140]   argument about scaling or not scaling that I think no one's in disagreement on the reality, but a bunch of
[00:49:43.140 --> 00:49:50.580]   people like to argue it in funny ways. So I do think most people believe that the pre-training
[00:49:50.580 --> 00:49:57.060]   scaling it, if it hasn't topped out, it's at least slowed materially. And even Nvidia is talking about
[00:49:57.060 --> 00:50:03.140]   inference being 99.1. And so the scaling is more on inference. Everyone seems to agree with that when
[00:50:03.140 --> 00:50:08.740]   they say everyone got it wrong. I think that falls into that category of that, this kind of nuanced
[00:50:08.740 --> 00:50:15.060]   discussion where the bulls don't want to admit that anything isn't scaling and, and the analysts
[00:50:15.060 --> 00:50:20.100]   are just saying, well, it's shifted a little bit and that might matter. Anyway, we can forget about that
[00:50:20.100 --> 00:50:28.020]   on the token count thing. No one in the previous world, let's call it Intel's heyday talked about the
[00:50:28.020 --> 00:50:36.100]   CPU units of performance. Like how many, how many times the, the CPU transacted, if they had,
[00:50:36.100 --> 00:50:42.100]   you would have had crazy exponential numbers also, they didn't, it wasn't discussed that way. And so
[00:50:42.100 --> 00:50:49.620]   no one's counted the CPU clocks that have happened over time. So I do find it like kind of be an ultra
[00:50:49.620 --> 00:50:54.660]   promotional way to talk about things, to talk about the token count, just because we haven't done that in
[00:50:54.660 --> 00:51:02.660]   the past. On, on Rubin, you know, and I'm biased because Benchmark's an investor in Cerebrus, but, um, and, and I would
[00:51:02.660 --> 00:51:07.940]   expect this in a more inference focused world, you know, Rubin, which is their next gen, they started
[00:51:07.940 --> 00:51:13.780]   talking about, there's way more on the die and the dies getting a lot bigger, which is the direction
[00:51:13.780 --> 00:51:20.420]   of Cerebrus. So that, that one kind of confirms to me that we're moving more towards inference. And then the
[00:51:20.420 --> 00:51:26.500]   the other thing that I thought was interesting, and I'd really love your view on, he got up on stage and
[00:51:26.500 --> 00:51:32.820]   talked about being the chief revenue destroyer. And it was very kind of provocative. And I don't clear,
[00:51:32.820 --> 00:51:39.140]   I don't fully understand. I think he may have created a bit of anxiety in his customer base,
[00:51:39.140 --> 00:51:45.460]   because he was implying that this next generation is so good that it makes the previous generation
[00:51:45.460 --> 00:51:52.420]   quite unvaluable. The problem is the companies he's selling to, you know, within the past three years,
[00:51:52.420 --> 00:51:57.540]   move from a four year depreciation to a six year depreciation on these servers. And if he's going
[00:51:57.540 --> 00:52:03.140]   to kill them in two years, there's a there's a there's a kind of an economic problem for these
[00:52:03.140 --> 00:52:12.100]   customers. Yeah, I don't you know, I was there for that. You know, and it was, I think, an off the cuff
[00:52:12.100 --> 00:52:17.540]   remark that because the Blackwell generation, the GBs that they're currently selling, not the future
[00:52:17.540 --> 00:52:24.900]   generation, the current GBs are 40 times more capable, right, when you look at TCO than the Hopper
[00:52:24.900 --> 00:52:30.180]   generation. And so he said, you know, we're probably not going to sell a lot of new hoppers for the
[00:52:30.180 --> 00:52:37.140]   cutting edge stuff that people want to do. So in fact, he showed a slide of the CSP demand. So the
[00:52:37.140 --> 00:52:43.060]   top four cloud providers in the United States and what the year over year order was, you know, hoppers,
[00:52:43.060 --> 00:52:51.700]   1.3 million hopper GPUs to the top four CPUs or CSPs and comparing like time frame. He said, we've done,
[00:52:51.700 --> 00:52:58.100]   you know, 3.6 million Blackwell GPUs so far this year. And I think his point really there was
[00:52:58.100 --> 00:53:05.780]   the pace of scale up and scale out bill, and how much utility that provides to the end customer.
