
[00:00:00.000 --> 00:00:19.200]   Welcome to the AI Engineers World Fair. This is the first workshop. There's a few other running,
[00:39:54.640 --> 00:40:01.280]   researcher, if they find out that their method has 90%, 98% accuracy, like why didn't they question
[00:40:01.280 --> 00:40:06.720]   the results? Like I would like, wouldn't that be very sketchy, like 98% accuracy, 100% accuracy? I'm
[00:40:06.720 --> 00:40:11.360]   not joking. This is actually a very serious problem. So if you read enough research papers, you'll see this
[00:40:11.360 --> 00:40:19.120]   problem is always the same problem. It's always using future data. So yeah, I think that, yeah. I think
[00:40:19.120 --> 00:40:24.240]   like if you don't, yeah. Okay. I won't comment on any papers. Anyways. Yes. Okay. Does that kind of
[00:40:24.240 --> 00:40:28.720]   answer your question? So it depends. I think in general, I would say it's the, it is the researcher,
[00:40:28.720 --> 00:40:34.880]   the main research, the lead researcher's responsibility to correct these mistakes. Then you shouldn't be the
[00:40:34.880 --> 00:40:40.160]   really lead researcher. So like, that's my take on that. Um, I think the coder, I, I mean the program,
[00:40:40.160 --> 00:40:47.040]   I might have some issues, but I don't know. I, I think I blame the lead researcher. Um, any other points?
[00:40:47.040 --> 00:40:51.120]   It seems like you're saying the main red flag is like a huge leap in performance.
[00:40:51.120 --> 00:40:56.480]   Yes. If you see huge leap in performance, question, question, question. It's probably future data.
[00:40:57.360 --> 00:41:11.360]   Actually, I wouldn't say it's probably, it's like 50% sure it's future data. Um, yes, question.
[00:41:11.360 --> 00:41:40.000]   Exactly. So the point was, um, in the test and train split, sometimes, although you might not be
[00:41:40.000 --> 00:41:45.360]   using future data, you might like accidentally put different components in the trip, like the
[00:41:45.360 --> 00:41:49.680]   training set from the test set. And then depending on how you split the data set, you might actually
[00:41:49.680 --> 00:41:58.160]   mix the data sets. Is that kind of correct? Yes. The distribution itself. Yes. So that is why you
[00:41:58.160 --> 00:42:02.000]   should, you have to be very careful to how you split the data sets, right? For training and testing,
[00:42:02.000 --> 00:42:07.200]   you have to use stratification. You have to inspect the data before you do it. You must enable random
[00:42:07.200 --> 00:42:12.400]   shuffling. Right? There is actually a very, very common question on PyTorch. How do you not enable
[00:42:12.400 --> 00:42:18.400]   random for hugging face? How do you not enable random shuffling for hugging face? Um, they purposefully
[00:42:18.400 --> 00:42:23.280]   disabled this. Like think about like why, because like people might forget to randomly shuffle. Um,
[00:42:23.280 --> 00:42:28.400]   and actually this is a pervasive problem with Kaggle competitions. People like to like train on the
[00:42:28.400 --> 00:42:33.600]   tests. Like they give you like 20, normally speaking, you should have 20 tests, 80 train, right? So like,
[00:42:33.600 --> 00:42:39.440]   but people like to like the final submission, they use even the test in the submission. So, you know,
[00:42:39.440 --> 00:42:47.520]   it is a pervasive problem. Um, any other points and questions? Okay. So what is the language model?
[00:42:47.520 --> 00:42:54.960]   Given the word hello, can you somehow predict my name is Daniel? Right? So like given the word, right? So
[00:42:54.960 --> 00:43:03.360]   given that token, can you predict these extra tokens? Um, remember carefully, I purposely only went from
[00:43:03.360 --> 00:43:09.360]   left to right, right? So like, hello can only predict my, can only predict name is and Daniel, right? It
[00:43:09.360 --> 00:43:15.040]   cannot predict, right? You can't use the word hello to predict previous words, right? That's cheating. So
[00:43:16.080 --> 00:43:24.000]   that is sequence modeling. And the point is when you chain them together, let's assume that you predicted
[00:43:24.000 --> 00:43:29.120]   the word my as the next word, right? So now you have two pieces of information. The text that you see is
[00:43:29.120 --> 00:43:35.920]   hello comma my using these two pieces of information. You want to predict name is Daniel and you keep doing
[00:43:35.920 --> 00:43:41.840]   this. And that is a language model, right? That is essentially a language model. What is it doing?
[00:43:41.840 --> 00:43:47.920]   Is you start from the first word, you predict the words into the future, um, and you keep doing this
[00:43:47.920 --> 00:43:55.360]   iteratively, right? And so that is what chat GPT is doing. Um, does that kind of make sense? Um,
[00:43:55.360 --> 00:43:59.680]   I remember the point is never use future data. Okay. I'm, I'm, I know I keep stressing this,
[00:43:59.680 --> 00:44:03.840]   but like, this is actually a very big issue in machine learning and AI, right? This is actually
[00:44:03.840 --> 00:44:09.840]   the biggest issues I find in my opinion is using future data. There's so many papers which do this. Um,
[00:44:10.640 --> 00:44:17.360]   Yeah. So the second point is you must tokenize each component into numbers. Remember this?
[00:44:17.360 --> 00:44:24.480]   So I'm just going to, you know, cook up some numbers. Hello will be 0.11 minus 0.123 102. Okay,
[00:44:24.480 --> 00:44:32.560]   just made those numbers up. Um, Daniel is 0.11 123 minus 0.122. Okay. I just randomly made them up. Um,
[00:44:32.560 --> 00:44:42.400]   And remember you must, each component must have the same number of numbers, right? So like if hello
[00:44:42.400 --> 00:44:50.160]   has three, Daniel must also have three. Can someone tell me how many combinations of, if you assign this
[00:44:50.160 --> 00:44:56.240]   case that each number must have three, um, you know, three numbers, how many combinations do you think
[00:44:56.240 --> 00:45:03.200]   there can be for each token or for each component? How many combinations? What do you think the answer is?
[00:45:03.200 --> 00:45:12.080]   So remember you can choose any single number in the three numbers, right? 0.11, 0.1, 1, 1, 1, 2, 0.1, 1, 1, 1, 1, 1, 3,
[00:45:12.080 --> 00:45:14.960]   whatever number, how many combinations are possible?
[00:45:14.960 --> 00:45:16.960]   Depends from the flow.
[00:45:16.960 --> 00:45:24.800]   Okay. Let's assume it's infinite precision. Correct. The answer is infinity. You can do as many as you like.
[00:45:24.800 --> 00:45:30.160]   Um, but normally speaking, you should use not three. All right. Now the question is,
[00:45:30.160 --> 00:45:34.000]   why don't you just use one number then? Right? How low can be 0.1, 1, 1. If it's already infinity,
[00:45:34.000 --> 00:45:38.640]   0.1, 1, 1. If you use two numbers, isn't also infinity, right? So what's, what's the problem? Well,
[00:45:38.640 --> 00:45:43.200]   please don't, you should use as many numbers as possible. Try your best to use more numbers. It's because the
[00:45:43.200 --> 00:45:48.640]   computer, you know, it's not an infinite machine. So please use like more numbers so it can like
[00:45:48.640 --> 00:45:53.680]   learn which numbers to like assign it to. Um, and when you start training a language model,
[00:45:53.680 --> 00:45:58.960]   these numbers will be randomly initialized, right? So like all these numbers will be randomly
[00:45:58.960 --> 00:46:03.440]   initialized. And can someone even notice my initialization? What is the issue with this?
[00:46:03.440 --> 00:46:09.040]   There are like some, there is a glaring issue, quite obvious, um, very big problematic issue.
[00:46:09.040 --> 00:46:23.680]   Okay, same number. Okay. Okay. Good point. Yes. Did someone say something? What was the other point?
[00:46:23.680 --> 00:46:32.160]   Yes, the magnitude is the most important. Right? 123 and 102 are terrible. Um, when you randomly
[00:46:32.160 --> 00:46:38.400]   initialized, please do not initialize with random large components. Um, this will destroy your
[00:46:38.400 --> 00:46:43.920]   training. That is why your training might have infinities. And sometimes the training loss goes to
[00:46:43.920 --> 00:46:48.880]   zero. Okay. That is not, that does not mean your model learned anything. That just means it's some sort
[00:46:48.880 --> 00:46:54.880]   of error in your training data. Uh, sorry, your initialization. So be careful of that. Um, don't worry.
[00:46:54.880 --> 00:47:03.360]   Huggy face does this automatically for you. So you don't need to worry. Um, and now each component has a
[00:47:03.360 --> 00:47:07.920]   list of numbers that is it it's associated with. Okay. I just use the same number for now. It's easier for
[00:47:07.920 --> 00:47:14.320]   me to, you know, do the slides. Um, but essentially, hello comma. My name is Daniel. Each of them has
[00:47:14.320 --> 00:47:20.960]   numbers associated with them. And this is the thing that you're trying to learn for each of these components.
[00:47:22.720 --> 00:47:28.000]   And remember, this can be converted into a table of numbers. Right? So like if you replace all the
[00:47:28.000 --> 00:47:34.240]   commas with just column columns, right, these are just tables of numbers. Um, and this table is what
[00:47:34.240 --> 00:47:42.160]   you need to train. Um, and again, remember, given the word hello, you want to predict my name is Daniel.
[00:47:42.160 --> 00:47:48.160]   Right? So like essentially given that, you know, vector of numbers, can you predict the other vectors of
[00:47:48.160 --> 00:47:58.480]   numbers? Um, yes. Oh yeah, you can do as many numbers. So you have to select a option. How many
[00:47:58.480 --> 00:48:03.920]   numbers you want to select to represent these numbers. So for example, you can select six numbers,
[00:48:03.920 --> 00:48:10.880]   or you can select 1024 numbers or 2048. It depends on the model creators choice. Um, yeah.
[00:48:10.880 --> 00:48:16.960]   Yes. Every single row must be, well, it doesn't have to, okay, not, it might not be the case that
[00:48:16.960 --> 00:48:21.920]   might be not, but it should be, yeah, with high probability, it will be unique. Um, yeah.
[00:48:21.920 --> 00:48:32.400]   Wait, is it like, okay. Um, and so when you do training of a language model, um, there's a trick
[00:48:32.400 --> 00:48:38.960]   that you use and remember we want to predict the next word, right? So hello, you want to predict my,
[00:48:38.960 --> 00:48:46.320]   right? So can someone notice any pattern with this? Like, why did I do the arrow? And what's the pattern
[00:48:46.320 --> 00:48:56.000]   that can anyone see this? Any special, special, like things with this? No.
[00:48:57.120 --> 00:49:00.400]   What happens if you take, hello, my name is Daniel and just shift it up by one place.
[00:49:00.400 --> 00:49:09.040]   Is it right? If you shift it up by one place, hello is now aligned with my, my is now aligned
[00:49:09.040 --> 00:49:12.800]   with name and so on. Right. And there'll be a gap at the very bottom. Right. So we simply,
[00:49:12.800 --> 00:49:17.120]   we just put us, which means end of sentence token. That just means it's the end of the sentence.
[00:49:17.120 --> 00:49:21.520]   And we just, you know, put it there because it's a gap, right? So remember machines, machines do not
[00:49:21.520 --> 00:49:26.720]   like gaps and you must use all numbers. So that's the reason why we did that. And this
[00:49:26.720 --> 00:49:32.880]   is kind of the training mechanism, right? So we essentially, we have that list of, you know,
[00:49:32.880 --> 00:49:36.240]   list of words and we want to predict the shifted words.
[00:49:36.240 --> 00:49:45.280]   And the transformer, all it does is there's a function to predict that. So given hello,
[00:49:45.280 --> 00:49:50.400]   can you predict my, given my, can you predict name and so on, right? That's the transformer architecture.
[00:49:50.400 --> 00:49:54.960]   It's kind of a bit wrong, but like something like that. Okay. Like the FX is like this gigantic model
[00:49:54.960 --> 00:49:58.800]   that can be like, you know, there's lots of turning knobs in it. Okay. Let's check if there's any
[00:49:58.800 --> 00:50:08.400]   questions. Okay. And the point is, remember, remember the point is we can only use predict
[00:50:08.400 --> 00:50:12.800]   the future words, right? So hello can only predict my name is Daniel and so on, right? That's the purple,
[00:50:12.800 --> 00:50:20.960]   the purple component. And the blue box is called the attention mechanism. The FFX, I factored it out,
[00:50:20.960 --> 00:50:24.800]   and that is called the multi-layer perception or MLP layer, right? So there's actually two components
[00:50:24.800 --> 00:50:31.040]   in a language model. One does the prediction of the next word and the FFX, which is the MLP, just does
[00:50:31.040 --> 00:50:37.600]   this, you know, changing component. It just makes it like, you know, a bit better than just simple
[00:50:37.600 --> 00:50:42.560]   predicting the next word, the attention. Oh, okay. There is a question. Oh, I didn't see.
[00:50:45.200 --> 00:51:08.560]   Okay. Well, um, yes. So the comment was normal transformers predict only one token at a time.
[00:51:08.560 --> 00:51:13.440]   How about transformers predict multiple tokens at a time? Yes. So actually you can predict
[00:51:13.440 --> 00:51:18.000]   multiple tokens at a time. It just depends on what is your training objective at the very last layer.
[00:51:18.000 --> 00:51:22.560]   You don't have to remember we shifted by one place, right? Why don't you shift by two places
[00:51:22.560 --> 00:51:26.960]   and three places, then you'll be predicting two tokens in the future, three tokens into the future.
[00:51:26.960 --> 00:51:32.560]   Exactly. So before it's just one objective. So like one column of the output,
[00:51:32.560 --> 00:51:38.400]   we just add more. And yes, you could do multiple tokens. Um, was it the, it was the Facebook paper,
[00:51:38.400 --> 00:51:43.760]   right? I can't remember. Yeah, it was a Facebook paper. Um, I forgot the accuracy though. Um, yeah,
[00:51:43.760 --> 00:51:49.520]   but yeah, you could do that. Um, I guess like, I don't see any, I guess it's just good for inference
[00:51:49.520 --> 00:51:53.840]   time. Like you can predict, you know, you can make inference. If you do four tokens in the future,
[00:51:53.840 --> 00:52:04.800]   you can predict four times faster. Um, okay. Yeah. I think it's mainly for when you do inference,
[00:52:04.800 --> 00:52:09.120]   you can do this. If you do two tokens in the future, you can have like two tokens in one go. Um,
[00:52:09.120 --> 00:52:13.840]   I don't know. I don't like that approach. I think predicting one token is better. Um,
[00:52:13.840 --> 00:52:18.240]   cause you're already forcing the language model to do so much. You're making even more problematic.
[00:52:18.240 --> 00:52:34.240]   So I think predicting one, okay, maybe for inference time, it could work. Um, yeah. Yes. Question.
[00:52:34.240 --> 00:52:43.120]   So token, yeah. Tokenizer converted to ID. So like, yeah.
[00:52:43.120 --> 00:52:54.240]   So, so the token tokenizer when it has like, when it says like it has 32,000 words in the tokenizer,
[00:52:54.240 --> 00:52:58.960]   essentially it's an ID from zero to three, one, nine, nine, nine, right? So like, hello,
[00:52:58.960 --> 00:53:05.680]   we'll have ID 2,557. So then what you do is you take 2,557, go to the hash table, which has this,
[00:53:05.680 --> 00:53:11.600]   which has the, um, this table, right? I made the table, right? So hello has an ID. My has an ID,
[00:53:11.600 --> 00:53:16.880]   name as an ID and so on. And you essentially, you hash, you go to that specific row and then you,
[00:53:16.880 --> 00:53:22.480]   that is your like sample and your training data. And you do this like for the whole thing. So the
[00:53:22.480 --> 00:53:28.400]   tokenizer does, you do get a number, it's an integer. Um, and you just have to hash it to the,
[00:53:28.400 --> 00:53:33.520]   you know, the embedding matrix and you will get like a vector of numbers. Does that kind of answer
[00:53:33.520 --> 00:53:33.920]   your question?
[00:53:38.640 --> 00:53:44.080]   Oh, you're talking about the embedding dimension. So if you see 2,540 or whatever those numbers,
[00:53:44.080 --> 00:53:49.120]   um, that is just the, how many, how many like columns, how many numbers you want to represent
[00:53:49.120 --> 00:53:51.120]   for each, um, component?
[00:53:51.120 --> 00:53:55.120]   Okay. Okay. Any other questions?
[00:53:57.760 --> 00:54:01.120]   Yeah. Yes. Oh. Oh, okay.
[00:54:01.120 --> 00:54:03.680]   So you can enter them at late, way later.
[00:54:03.680 --> 00:54:13.120]   Okay. Okay. Okay. Yeah. Yeah. You had a...
[00:54:13.120 --> 00:54:25.680]   I guess it just depends like if you make, so the point, so remember we said how many combinations
[00:54:25.680 --> 00:54:30.800]   can we do? Infinity because we can do right, because floating in person representation, um,
[00:54:30.800 --> 00:54:34.560]   in theory, if you have infinite position, it can be infinity. But someone mentioned how depending on
[00:54:34.560 --> 00:54:39.040]   the position of your float, it's actually limited position, right? So like the point is you want your
[00:54:39.040 --> 00:54:44.480]   model, you want the training objective to actually learn, give it as much freedom as you like, right?
[00:54:44.480 --> 00:54:48.640]   So like if you're trying to restrict the model when it learns, it might actually not be helpful.
[00:54:48.640 --> 00:54:53.920]   And that is why normally people have like these large numbers, like, you know, 6144 embedding
[00:54:53.920 --> 00:54:58.160]   dimension or 8192 embedding dimension, right? The more numbers you give it to the model,
[00:54:58.160 --> 00:55:06.560]   it just has more freedom to move. Um, so if I, in theory, I mean, in theory, it should have better
[00:55:06.560 --> 00:55:11.840]   accuracy. Um, in theory, everything's in theory. Um, I don't know if there are research papers to show
[00:55:11.840 --> 00:55:17.040]   this. I think someone should write a research paper on that, you know, each embedding dimension test,
[00:55:17.040 --> 00:55:21.840]   you know, do 3 trillion tokens. Okay. That's probably too many. And then see which one has,
[00:55:21.840 --> 00:55:36.960]   I'm assuming the more you add the, um, the higher accuracy. Yes.
[00:55:36.960 --> 00:55:44.400]   I agree on that. I think someone needs to do a research paper. Yes, that should be a new research
[00:55:44.400 --> 00:55:48.640]   topic. I've never seen this paper before. So like, that would be very interesting. So yes, question.
[00:55:48.640 --> 00:56:06.880]   Yes. The reason for that is it just makes training faster sometimes. So depending on,
[00:56:06.880 --> 00:56:11.600]   so there is, I think Andre was one who tweeted about depending if you pad the token, if you pad
[00:56:11.600 --> 00:56:16.720]   the vocabulary to a specific number, you can actually make training faster. Because in the NVIDIA GPUs,
[00:56:16.720 --> 00:56:23.840]   when you use tensor cores, if you pad it correctly, it can get the data and cache it more appropriately.
[00:56:23.840 --> 00:56:28.160]   So like, for example, the cache size is like 64. I think it's 64. Okay. Maybe I'm making stuff up.
[00:56:28.160 --> 00:56:31.920]   But like essentially you have to pad it to a multiple of 64, something like that. And so sometimes that
[00:56:31.920 --> 00:56:35.760]   happens. Another one is like some people want to add when you want to do more fine tuning, when you
[00:56:35.760 --> 00:56:41.120]   want to like train the model for more, you want to use one of those unused tokens for your own purpose.
[00:56:41.120 --> 00:56:45.600]   And so they left some holes in there. Yeah. Does that kind of answer your question?
[00:56:45.600 --> 00:56:57.920]   So when you do tokenization, assuming you don't encounter these tokens, you won't have any problems.
[00:56:58.480 --> 00:57:04.560]   But if you do, then there are problems. Yes. So for example, if you do LLAMA3 fine tuning,
[00:57:04.560 --> 00:57:10.640]   if you use the base model for LLAMA3, and you accidentally use one of those tokens, you will get
[00:57:10.640 --> 00:57:16.320]   NANs for fine tuning. Right? So you have to be very, very careful. And so like, I think what we did is
[00:57:16.320 --> 00:57:22.640]   for unsloft, we actually find these untrained tokens first, set them to the mean of all the embeddings,
[00:57:22.640 --> 00:57:26.320]   and you won't have these issues. So I think that's actually a model creators problem. It's like,
[00:57:26.320 --> 00:57:30.880]   they probably should have not set it to zero. I don't know why they did that. But anyways,
[00:57:30.880 --> 00:57:35.200]   yeah, they should have set it to be like, you know, normal distribution or like some, you know,
[00:57:35.200 --> 00:57:49.680]   just random initialization. Yes. Kind of. Yeah. Okay. Any other questions? Okay. Oh, yes.
[00:57:49.680 --> 00:58:00.240]   Oh, yeah. Yeah. You can put a beginning of sentence token. I just didn't do that. Um,
[00:58:00.240 --> 00:58:04.160]   you should put a beginning of most language models will put a beginning of sentence. Like,
[00:58:04.160 --> 00:58:08.080]   what is it? You know, I put the end of sentence, you should probably put a beginning of sentence as
[00:58:08.080 --> 00:58:13.040]   well. That's actually very important as well. Um, most models do that now. Um, they found that to be
[00:58:13.040 --> 00:58:18.000]   very helpful. To be honest, I don't think so. It's actually that effective. I think the beginning of the
[00:58:18.000 --> 00:58:25.120]   BOS token came from the old style, um, um, the old style, the CLS token for, um, I think it was the
[00:58:25.120 --> 00:58:29.600]   first token for like bird style. Um, so that they had a classified token at the very start. I think
[00:58:29.600 --> 00:58:32.880]   it was at the very start. I'm not a hundred percent sure, but I think that's where it came from. The big,
[00:58:32.880 --> 00:58:37.520]   I don't think so. The beginning of sentence token actually makes that much difference. Um, but you
[00:58:37.520 --> 00:58:43.040]   should put it, you should put it, you know, giving the model more freedom to move is always better. Um,
[00:58:43.040 --> 00:58:47.040]   so yes, I probably should have put the beginning of sentence, but you know, yeah, for demonstration,
[00:58:47.040 --> 00:58:53.440]   I did not do that. Um, yes. Okay. We did that. Right. So like the green one, um, right. So like
[00:58:53.440 --> 00:59:00.640]   the, the attention block is kind of encoding the stuff that we described, right? Predicting the next
[00:59:00.640 --> 00:59:05.680]   word based on the previous words, right? And so like the attention block is that first part,
[00:59:05.680 --> 00:59:11.040]   the MLP block is just the mixing pump component. Um, and this is kind of the transform architecture
[00:59:11.040 --> 00:59:16.640]   and kind of like in visualized. And you just repeat this L times. Um, that is a transformer. Oh.
[00:59:16.640 --> 00:59:27.600]   Now, another question I always have is, why is training language models not O of N cubed? Because
[00:59:27.600 --> 00:59:32.240]   like, aren't you like, given the word hello, you're predicting my, right? And now we have hello,
[00:59:32.240 --> 00:59:37.040]   my, you're predicting name, and then you have hello, my name, and you're predicting is, and so on,
[00:59:37.040 --> 00:59:43.920]   right? Shouldn't this be the training data? Why is the training data just hello, my, my name,
[00:59:43.920 --> 00:59:49.200]   name is, is Daniel, Daniel EOS, right? This is the training data that you actually see. Why is it not
[00:59:49.200 --> 01:00:00.960]   this? Can, does anyone know why? Sorry? The complexity? Yes, the complexity. Yeah. Very bad complexity,
[01:00:00.960 --> 01:00:07.520]   right? So like if the sentence is like one, okay. If the sentence is like 100 words, what do you think?
[01:00:07.520 --> 01:00:15.120]   How many? Quite bad. Yes. Basically. Yeah. So like a one plus two plus three plus four plus five,
[01:00:15.120 --> 01:00:21.360]   all the way to plus 100, right? So like N divided by two, one plus 100, I think. I can't remember my
[01:00:21.360 --> 01:00:25.200]   maths, but yeah, something like that. So it ends, yeah, it's very bad. Um, and that's if you have one
[01:00:25.200 --> 01:00:29.680]   sentence. What happens if you have like 10 sentences? Oh my. Yeah. But like, does anyone know why
[01:00:29.680 --> 01:00:34.320]   language models don't need to do this? Like we don't actually need to do this, right? So like,
[01:00:34.320 --> 01:00:39.280]   we can skip essentially, instead of, instead of having this as the training data, your training data
[01:00:39.280 --> 01:00:45.120]   is simply, my name is Daniel and, and shift it by one up. And that's your training data. Why is it not this?
[01:00:45.120 --> 01:00:52.000]   Oh, yes. We haven't talked about position encodings yet. Yeah. Okay. But you actually
[01:00:52.000 --> 01:00:57.280]   don't need position encodings. Oh, okay. Yeah. Attention. What? Oh yeah. The attention mechanism.
[01:00:58.400 --> 01:01:03.280]   Oh, correct. That's the answer. Yes. It's because of attention. Well, actually,
[01:01:03.280 --> 01:01:08.000]   specifically, um, masked attention. Right? So that's, that's a trick. Okay. We'll be talking
[01:01:08.000 --> 01:01:14.560]   about that. Um, we've been talking about a few times. Um, and I'll give you the code again. Well,
[01:01:14.560 --> 01:01:18.960]   actually the math formulas for transformer architecture, right? So like attention block, um,
[01:01:18.960 --> 01:01:25.200]   we will be now talking about the attention block, right? So like the Z is equal to the soft max of QK
[01:01:25.200 --> 01:01:33.840]   transpose over root H plus M V. Um, and as, as you mentioned, it is the attention mechanism,
[01:01:33.840 --> 01:01:42.160]   which allows us to skip the O of N cubed complexity and make it O of N squared. Why? Because remember,
[01:01:42.160 --> 01:01:46.800]   we want to mask out future tokens because we don't want to predict on future data, right? So like,
[01:01:46.800 --> 01:01:52.640]   by using this mask, weirdly, this mask allows you to train more efficiently. Um, you know, it's funny,
[01:01:52.640 --> 01:01:57.840]   because like attention is O of N squared. So the longer your sequence is, the worst the complexity,
[01:01:57.840 --> 01:02:04.240]   but actually there is a special trick, which you use a mask and this actually makes attention not that
[01:02:04.240 --> 01:02:12.080]   bad. Um, so instead of doing hello to predict my and so on, so on, so on, so on, the attention mask
[01:02:12.080 --> 01:02:18.800]   acts as this methodology, right? So the attention mask itself acts as, um, you don't need to do like all the
[01:02:18.800 --> 01:02:25.920]   complicated, you know, all of the words predict the next word. Um, okay. This is okay. Um,
[01:02:25.920 --> 01:02:30.400]   so we'll be now talking just about the attention itself, right? So like soft max QK transfers over
[01:02:30.400 --> 01:02:36.720]   root DV. Um, just a reminder that whenever you see QK transfers, the query and keys, um, I do not like
[01:02:36.720 --> 01:02:40.640]   to like, there's like explanations. Like what is a query? What is the key? I do not like that actually
[01:02:40.640 --> 01:02:47.840]   approach. I would like this to be a math approach. Um, so my view is given the matrix X, which is your
[01:02:47.840 --> 01:02:54.160]   embeddings, right? So remember hello is a vector of numbers, right? You multiply this by some weights,
[01:02:54.160 --> 01:03:04.000]   WQ, WK and WV and you get back QKV. Q is query. Okay. Keys and values, but, um, that's a very vague
[01:03:04.000 --> 01:03:07.840]   interpretation. I don't really believe, like, I don't really trust those interpretations. It's not that
[01:03:07.840 --> 01:03:12.720]   clear. Um, just assume it's just math. Okay. Just like get your X matrix and multiply by weights and
[01:03:12.720 --> 01:03:19.200]   you get some extra weights. That's my view. Um, and so that is kind of, so like, if you see why I
[01:03:19.200 --> 01:03:23.200]   stacked it like this, does anyone know why I stacked it like this? Like why did a presenter like this,
[01:03:23.200 --> 01:03:32.240]   specifically? Why is it like the presentation like this? Any, any points? Sorry. What?
[01:03:32.240 --> 01:03:39.200]   Composition? Decomposition. Interesting. Okay. That's a very interesting point. Um, but no.
[01:03:39.200 --> 01:03:46.400]   Correct. I just, yes, that's correct. So I just lined it up such that it's easier to see.
[01:03:46.400 --> 01:03:53.600]   And if you take the matrix X and you multiply by WQ, you'll get Q, right? And this is actually
[01:03:53.600 --> 01:03:59.120]   the correct maths, um, dimensions and stuff like that. Um, and so like, I like, I like to normally
[01:03:59.120 --> 01:04:04.160]   tell people to like visualize transformers as maths. It's actually, in my view, it's easier. Okay. I'm not
[01:04:04.160 --> 01:04:09.680]   sure for other people, but my view is easier. I do not like it when they say, oh, queries and like you're
[01:04:09.680 --> 01:04:15.600]   trying to do keys and values. I don't even know what that even means. Anyways. Um, and the yellow components
[01:04:15.600 --> 01:04:21.120]   are the ones you want to train. X is what you want to train. WQ is what you want to train. WK and WV.
[01:04:21.120 --> 01:04:24.880]   And QKV are just the components afterwards.
[01:04:24.880 --> 01:04:32.480]   When you have the, so remember you have the Q, you have the K, all you need to do is when you do K
[01:04:32.480 --> 01:04:38.640]   transpose, you transpose the matrix and you do Q times K transpose and you get this big square matrix
[01:04:39.760 --> 01:04:44.080]   called QK transpose, right? Hello, my name is Daniel and so on. Right? So like that,
[01:04:44.080 --> 01:04:48.640]   that's kind of what I want to visualize is like, you know, it's actually a, when you do QK times K
[01:04:48.640 --> 01:04:55.760]   transpose, you get a square matrix. Um, and all you need to do now is do the soft max divided by root
[01:04:55.760 --> 01:05:01.200]   D, right? So soft max, essentially each row, you normalize to one, right? The sum of the exponentials
[01:05:01.200 --> 01:05:06.640]   must be right. You need to like normalize them. Do you, does anyone know why you should do that?
[01:05:06.640 --> 01:05:08.560]   And why should you use soft max?
[01:05:12.560 --> 01:05:20.160]   Any clues? Why do? Yes. Yes. Okay. That's the answer. Yes. But like, why? What? Why?
[01:05:20.160 --> 01:05:27.120]   Sorry. When you multiply them, you can get NANDs.
[01:05:27.120 --> 01:05:32.960]   Oh yes. Very good. Oh, that's okay. Do you know how to fix that?
[01:05:32.960 --> 01:05:36.640]   Close.
[01:05:38.400 --> 01:05:42.080]   You have to minus the maximum of the row. That's how you fix it. Um, yes.
[01:05:42.080 --> 01:05:47.680]   Oh yes. Very good. Okay. Yes. We want to sample from that. Okay.
[01:05:47.680 --> 01:05:51.680]   Sample from that distribution. But what happens if you don't do the soft max?
[01:05:51.680 --> 01:05:57.120]   Doesn't this still work or not? Like what happens if you just do QK transpose over root D?
[01:05:57.120 --> 01:06:00.080]   Remove the soft max. Like why do I have to do soft max? Yes.
[01:06:00.080 --> 01:06:07.520]   Interesting. Then you can fix that with like minus max of the row as well.
[01:06:08.240 --> 01:06:09.440]   We're exploding. Anyone else?
[01:06:09.440 --> 01:06:14.240]   Okay. What happens if you don't have a non linearity then?
[01:06:14.240 --> 01:06:18.480]   So does it have to be soft max? Can it be something else?
[01:06:18.480 --> 01:06:25.760]   Yes. It could be. Yes. That is another active error research which people should focus on,
[01:06:25.760 --> 01:06:29.440]   which is like, why do we need to use soft max? Um, generally speaking,
[01:06:29.440 --> 01:06:33.920]   research papers show that is actually the most accurate. Um, if you use other activation functions,
[01:06:33.920 --> 01:06:38.880]   it might actually not be that accurate. Right? So like, um, but this also is the bottleneck of
[01:06:38.880 --> 01:06:44.400]   transformers is because it's a soft max, it does the row sum of the exponentials. Um,
[01:06:44.400 --> 01:06:48.960]   this means that you can't actually decompose this, right? You can't actually bring the matrix,
[01:06:48.960 --> 01:06:53.920]   matrix multiplications out. Um, and so if someone can find ways to make this faster,
[01:06:53.920 --> 01:06:58.640]   you know, you'll get like millions of dollars. Oh, okay. Maybe like much more than that. But, um,
[01:06:58.640 --> 01:07:06.800]   um, yes. And V is just, remember the V comes from here, right? So we just take the V, multiply it up
[01:07:06.800 --> 01:07:12.640]   again, and we get this matrix at the very end. And that is, right? Oh yeah. That, that is the final
[01:07:12.640 --> 01:07:16.640]   component, right? This, this empty box is what you get out from the attention mechanism.
[01:07:16.640 --> 01:07:23.120]   For the layer norms, um, I don't really want to explain too much, but the layer norms essentially,
[01:07:23.120 --> 01:07:28.560]   you take the, um, you take, you square all the elements per row, you sum them, you divide them
[01:07:28.560 --> 01:07:33.440]   by the square root and you take the mean and they just do one divided by, right? All this does is just
[01:07:33.440 --> 01:07:37.360]   normalizes the rows to make it easier for the language model to learn, right? So like,
[01:07:37.360 --> 01:07:42.240]   why do people do layer norm? It just makes training easier. Um, it's more stable. There's no other,
[01:07:42.240 --> 01:07:46.240]   like, there's no other like point. There are like some theories of like, you know, batch normalization,
