
[00:00:00.000 --> 00:00:05.120]   what's going on y'all it's another episode of curious mike i am here with chris brickley um
[00:27:37.520 --> 00:27:43.840]   in the locker room in at the next facility i'm changing phil jackson walks in and he saw my tattoos
[00:27:43.840 --> 00:27:52.480]   and i was like oh my god and he's like just be you that's literally all he said we didn't talk about
[00:27:52.480 --> 00:27:58.160]   the tattoos yeah but he i knew what he was talking about and i was like so i literally ended up getting
[00:27:58.160 --> 00:28:06.720]   be you on my on my arm and i was like yeah it i'm just gonna be myself and and i just from that point
[00:28:06.720 --> 00:28:11.920]   on i i stopped trying on the same with the tats yeah is there a chance that eminem was your favorite
[00:28:11.920 --> 00:28:17.920]   rapper growing up no no he wasn't eminem what i liked eminem i liked eminem i was eminem fan
[00:28:17.920 --> 00:28:25.760]   i like jadakiss i like i like like rap but no i liked uh i liked eminem um so yeah how did then how
[00:28:25.760 --> 00:28:30.160]   did then you know you're also very known for the black ops runs which every player has come through
[00:28:30.160 --> 00:28:36.000]   that gym and and and put on shows you know i love watching those highlights personally i love watching
[00:28:36.000 --> 00:28:41.120]   trey when he was me and they're killing i like watching when braun kd were going at it you know
[00:28:41.120 --> 00:28:46.160]   donovan mitchell pulls up a lot really everybody's been in that gym but how did how did the black ops
[00:28:46.160 --> 00:28:51.440]   runs come about and then talk about the era of hoodie mellow a little bit yeah so they that black
[00:28:51.440 --> 00:28:57.600]   ops runs came so mellow used to do this thing called stay mellow weekends in puerto rico and so we're
[00:28:57.600 --> 00:29:04.000]   by the water um and you know having some drinks and mellow's like i'm coaching with the knicks and he's
[00:29:04.000 --> 00:29:09.520]   like yo when we get back to new york i want you to put together a run and i was like okay like nick's
[00:29:09.520 --> 00:29:16.000]   got just guys on the team he's like no anyone you can find so i reach out to guys i get kd i get um
[00:29:16.000 --> 00:29:21.680]   kimball walker at the time uh i was like lance stevenson it was a good group of guys we do this
[00:29:21.680 --> 00:29:28.240]   run but i'm coaching with the knicks do the run someone else posted it i walk into the office they're
[00:29:28.240 --> 00:29:35.520]   like you need to go talk to um donovan the owner like you got you you can't be doing stuff like that
[00:29:35.520 --> 00:29:43.520]   i'm like damn so i drive from terrytown to madison square garden to walk into the owner's office and
[00:29:43.520 --> 00:29:49.520]   he's like i'm making sixty thousand dollars a year he's like you know you're doing that run just got
[00:29:49.520 --> 00:29:56.160]   the team fine fifty thousand dollars right and i'm like damn and i'm thinking i'm about to get fired
[00:29:56.160 --> 00:30:04.080]   and he's like you know just don't do it again i'm not mad at you um but what was the problem with it
[00:30:04.080 --> 00:30:09.200]   because if you're a coach if you're a coach with a team you you're not allowed to technically work with
[00:30:09.200 --> 00:30:15.680]   it'd be recruiting it'd be a recruiting perfect right so uh yeah that was like the first ever run
[00:30:15.680 --> 00:30:19.360]   technically so then i stopped doing it and then that was also part of the reason why i left the
[00:30:19.360 --> 00:30:24.560]   knicks i was like okay i like i want to be able to do my own thing like that so that was the first ever
[00:30:24.560 --> 00:30:33.200]   run the hoodie mellow thing how that came about was um so mellow's that me me and mellow have two
[00:30:33.200 --> 00:30:40.080]   different uh stories um i remember mellow was going through a time in new york where
[00:30:40.080 --> 00:30:46.400]   playing for the knicks isn't easy if you're not winning championships which they haven't been and
[00:30:46.400 --> 00:30:49.680]   you're the franchise player they're they're gonna be on you especially if you're not making big player
[00:30:49.680 --> 00:30:54.000]   friends when we're in the gym he didn't want to be bothered he didn't want anyone coming up to him
[00:30:54.000 --> 00:30:59.840]   hey mellow come hello blah blah so he put a hood on and that was him being like don't talk to me
[00:31:00.560 --> 00:31:05.760]   not to me but to anyone that were to walk to the gym and we just started working out and we were
[00:31:05.760 --> 00:31:11.680]   posting and he had the hood on and then that just became a thing and then uh that was how it started
[00:31:11.680 --> 00:31:17.680]   and then i think the nba implemented hoods that next season it was kind of crazy that that time was
[00:31:17.680 --> 00:31:24.960]   oh yeah they implemented the the warm-ups yeah that's fire um who have you seen walk through that
[00:31:24.960 --> 00:31:32.720]   gym that to you is well first let's ask like who are the most impressive players um with the most
[00:31:32.720 --> 00:31:38.000]   impressive work ethic is it does it correlate to how the world sees them like is lebron the lebrons and
[00:31:38.000 --> 00:31:43.120]   the kds also the hardest workers or who's some guys that you've seen that are just so yeah like
[00:31:45.680 --> 00:31:50.560]   they it's like they are the hardest workers like lebron you know we'll schedule eight o'clock workout
[00:31:50.560 --> 00:31:58.560]   eight a.m and every single time we've ever worked out he shows up at 6 a.m and he stretches for an
[00:31:58.560 --> 00:32:05.200]   hour and then there's abs and then then lifts and every single time if there's a run at 10 he's getting
[00:32:05.200 --> 00:32:12.240]   there at eight like so it's it's tough not to say him yeah he's he's 40 years old and he's still in the league
[00:32:12.240 --> 00:32:19.520]   and he's still averaging 27 whatever a game so it's tough not to say him and it's tough not to say
[00:32:19.520 --> 00:32:24.880]   kd it's like we've every time i've ever worked with him he's he's gone game speed everything we've ever
[00:32:24.880 --> 00:32:31.040]   done i can't ever remember a moment where he's like had a moment in the workout where or a day where he
[00:32:31.040 --> 00:32:36.240]   didn't want to go like really hard and so i think it like correlates to like yeah i think those have
[00:32:36.240 --> 00:32:42.960]   been like to me those have been the most impressive guys and yeah that's not the best answer but yeah
[00:32:42.960 --> 00:32:48.160]   i mean no but it's there's no secret to success like everybody's heard the lebron stories of how
[00:32:48.160 --> 00:32:53.040]   dedicated he is to his craft but to hear it from you know a guy that works with him often and just
[00:32:54.080 --> 00:32:57.840]   every single time showing up two hours before taking care of his body i mean there's a reason
[00:32:57.840 --> 00:33:04.240]   that guy's not only been as successful as he is but how long he's done it like a body a human body at
[00:33:04.240 --> 00:33:09.440]   that age is not supposed to be doing what lebron for sure for sure and just recently so he started like
[00:33:09.440 --> 00:33:15.760]   the podcast i thought it was interesting he said i think steve nash was like why do you get there early
[00:33:15.760 --> 00:33:21.760]   he was like ever since the little kid whenever he had to practice if he made if he cut it too close
[00:33:21.760 --> 00:33:27.680]   he would get really anxious and so i think because of that that made him start to get there early and so
[00:33:27.680 --> 00:33:35.200]   that's that's like so that's so deep to think about that like so because him cutting anything close made
[00:33:35.200 --> 00:33:41.600]   him anxious that would make him want to get to places really early and now he's lebron right now he's
[00:33:41.600 --> 00:33:47.600]   lebron now he's you got austin reeves saying that he he's trying to beat lebron to the to the the
[00:33:47.600 --> 00:33:53.600]   facility before a game and lebron still shows up before and like lebron will show five four or five
[00:33:53.600 --> 00:34:00.720]   hours before the game it's crazy like he has dedicated his entire existence to being great and it's really
[00:34:00.720 --> 00:34:07.280]   like it's really inspiring at some point they're gonna have to like when you talk about the the lebron
[00:34:07.280 --> 00:34:12.880]   mj debate you got to account for the longevity at some point for sure like you know sure it's
[00:34:12.880 --> 00:34:18.960]   unbelievable who's someone who like is like an underrated well a player that maybe hasn't like
[00:34:18.960 --> 00:34:24.480]   broke through all the way to their potential but like you've seen them in the gym and they're just
[00:34:24.480 --> 00:34:29.760]   very very impressed yeah and i guess there's like different levels of it like i feel like cj mccomb
[00:34:29.760 --> 00:34:33.680]   should have been all-star at some point in his career yeah oh he hasn't been you know he's averaged 20
[00:34:33.680 --> 00:34:40.000]   points in the game for i want to say like i don't even know 13 straight seasons 14 straight seasons
[00:34:40.000 --> 00:34:46.960]   never been an all-star i feel like he's a guy that you know he's so good like ridiculously skilled
[00:34:46.960 --> 00:34:55.840]   i think he doesn't get his flowers still averaging 22 on like 40 from three um yeah i think that's a good
[00:34:55.840 --> 00:34:59.840]   one yeah because he got he got every dribble move he got the left hand the right hand the midi he got the
[00:34:59.840 --> 00:35:06.080]   three ball he got the he has and he's doing all that without being like a supreme athlete you know
[00:35:06.080 --> 00:35:11.600]   one which is awesome you're right about that always very impressive to me um you've also worked with
[00:35:11.600 --> 00:35:16.400]   my boy trey young yep i told him the other day when we did a workout together i was like
[00:35:16.400 --> 00:35:22.320]   isn't it weird trade to think that like at your size and at your height you are the best player in
[00:35:22.320 --> 00:35:26.400]   the world like like you know you got the jalen brunson's and the kyrie's but they're a little
[00:35:26.400 --> 00:35:31.600]   stocker a little stronger you kind of bump people yeah pound for pound pound he's the best player in
[00:35:31.600 --> 00:35:38.480]   the world and for sure that is someone who um the average person who has big dreams to be an nba
[00:35:38.480 --> 00:35:42.720]   player you know you can look at trey you could probably look at like peyton pritchard uh maybe
[00:35:42.720 --> 00:35:48.080]   a couple other guys and be like that's that's reasonable for me so like as far as trey goes i
[00:35:48.080 --> 00:35:51.680]   know you've worked with him a lot this off season what is what is it like getting in the gym with him
[00:35:51.680 --> 00:35:57.840]   i feel like so special do you agree i feel like the appreciation for trey and i don't know what it
[00:35:57.840 --> 00:36:05.440]   is maybe it's atlanta this is this situation maybe it's but every single season he
[00:36:05.440 --> 00:36:11.920]   puts up phenomenal numbers it's the worst i've ever seen of any player in the history of people almost
[00:36:11.920 --> 00:36:17.600]   like he doesn't get picked you know he made the all-star but i think someone got injured and he
[00:36:17.600 --> 00:36:24.000]   but i'm like what else does this guy have to do to get like the respect that he deserves like now yes
[00:36:24.000 --> 00:36:31.040]   he he's trey young he you know has a great contract he's but i i still i feel like he doesn't get the
[00:36:31.040 --> 00:36:36.800]   appreciation to the point that he deserves i mean there's there's there's years where he's top five and
[00:36:36.800 --> 00:36:42.000]   scoring and assists like often like for sure he's one of the best scorers in the game and he's also
[00:36:42.000 --> 00:36:49.040]   one of the best playmakers like 100 and he's six one six two and super like so i don't know what it
[00:36:49.040 --> 00:36:54.080]   is i don't know if it's that early on he kind of took on that villain that villain role you know coming
[00:36:54.080 --> 00:36:59.200]   to new york and and getting on new york's bad side sure killing the knicks and things like that i don't
[00:36:59.200 --> 00:37:05.440]   know if that's it but there was a year that it was like he easily should have been an all-star like
[00:37:05.440 --> 00:37:09.760]   yes didn't get it i forget what year it was and then like there was a year he was but it was because
[00:37:09.760 --> 00:37:15.760]   someone got injured like you said so i don't know what it is with trade to me it's it's like they should
[00:37:15.760 --> 00:37:22.800]   be hyping that up more because of the fact that he's he's an average you're right so relatable like
[00:37:22.800 --> 00:37:29.440]   so related my boy next like like like the people like that are regular height and yes trey's quick
[00:37:29.440 --> 00:37:35.920]   don't get me wrong and like uh but like just like normal people walking around like could look at trey
[00:37:35.920 --> 00:37:41.360]   young and be like like that could be me i thought caitlyn clark has that effect i think that's part of
[00:37:41.360 --> 00:37:49.040]   why she became so big because she was like someone that's people could relate to yeah 100 who um how do you
[00:37:50.000 --> 00:37:56.560]   as a trainer decide who you're willing to work with because i feel like um it's i mean if i was
[00:37:56.560 --> 00:38:01.040]   a trainer i would probably be like as long as they're willing to work hard and be consistent whatever
[00:38:01.040 --> 00:38:06.480]   but for you what is it so it's changed so in the when i first started like six years ago when i first
[00:38:06.480 --> 00:38:13.200]   left the next i'm taking anybody so if you're in the league i'm taking you um it's over the last two or
[00:38:13.200 --> 00:38:20.720]   three years it's it's been a like i have to like your game i have to think that i can help you somehow
[00:38:20.720 --> 00:38:27.120]   or there's something that i've worked with a player that maybe has been similar to you or there needs to
[00:38:27.120 --> 00:38:34.400]   be something where i feel like i could bring to the table that um it really bothers me when a player just
[00:38:34.400 --> 00:38:41.600]   wants to work out for videos on my social media um and i would never say the names of any of those guys
[00:38:41.600 --> 00:38:47.840]   but that's been some disappointing moments in my career where me and a guy will start working out
[00:38:47.840 --> 00:38:56.240]   and on like the second workout he's like jay you're gonna post that video i was like yo and then like we
[00:38:56.240 --> 00:39:02.240]   slowly like you won't see me with him working with him anymore because i'm like that's not what it
[00:39:02.240 --> 00:39:08.560]   should be about it's funny that normally the trainers would would try to link up with players for the for
[00:39:08.560 --> 00:39:12.640]   the clout but you've gotten to the point now where certain players will try to link up with you and get
[00:39:12.640 --> 00:39:19.520]   a video posted because you've elevated to that level which is no it is but it's like i talk about this
[00:39:19.520 --> 00:39:25.440]   with my and it's like my manager's probably gonna be so mad i'm saying this having a video okay so if
[00:39:25.440 --> 00:39:30.720]   you're a free agent having a video on my page it's not gonna it's not gonna get you picked on the team
[00:39:30.720 --> 00:39:36.960]   yeah it's not gonna happen yeah some players think that it's that's just not the case uh i
[00:39:36.960 --> 00:39:43.440]   couldn't stress that enough like i i want to work to get better to help you get better but a video on
[00:39:43.440 --> 00:39:49.680]   social media that's 45 seconds long is not gonna make a team want to pick you in my opinion maybe i'm
[00:39:49.680 --> 00:39:55.280]   wrong there's one player i want to i want to speak about because i feel like i can relate to him and he's
[00:39:55.280 --> 00:40:02.400]   gotten also some unfair criticism and you've witnessed him up close and that's ben simmons um you've seen
[00:40:02.400 --> 00:40:07.840]   him in the black ops runs going crazy dunking off the left foot the right foot playmaking you've seen
[00:40:07.840 --> 00:40:14.640]   his explosion end to end and the reason that i like i feel for ben in his situation is because
[00:40:14.640 --> 00:40:19.680]   i haven't gone through what he's gone through times three i think i've had three back surgeries he may have
[00:40:19.680 --> 00:40:26.880]   had one or two yeah but i know how that you know i know that story and how demoralizing that is and
[00:40:26.880 --> 00:40:33.440]   how like you know your mind has to become very resilient very strong and you have to adapt your
[00:40:33.440 --> 00:40:38.800]   game a little bit and you have to be very dedicated but for the people that say like ben simmons doesn't
[00:40:38.800 --> 00:40:45.040]   care about basketball or he lost all his confidence or um like what would you say to them because
[00:40:45.040 --> 00:40:50.800]   you've been in the gym with him and you've seen him like kind of in that era where he was just unreal
[00:40:51.840 --> 00:41:00.080]   for sure exactly i've seen him when he like before his like injury before his like essentially it was
[00:41:00.080 --> 00:41:07.440]   his back and but those are real injuries yeah that he want he wanted to be healthy like he didn't want
[00:41:07.440 --> 00:41:14.720]   to be not healthy like and i salute you like i don't know how you've done it i know you talked about
[00:41:14.720 --> 00:41:19.600]   journaling and you've talked about being alone and spending alone time and but to go through like
[00:41:19.600 --> 00:41:26.400]   three you've had three back surgeries back for all of them and to come back and still be an elite elite
[00:41:26.400 --> 00:41:33.520]   level player like you deserve all the flowers in the world for that like your average person walking
[00:41:33.520 --> 00:41:39.440]   around doesn't understand and even i haven't gotten the surgery so i i don't quite but i've been around
[00:41:39.440 --> 00:41:46.240]   players to see you have to work times five to after that like compared to what the average player has
[00:41:46.240 --> 00:41:51.280]   to work and like take care of their body and watch their diet and do their recovery it's it's times five
[00:41:51.280 --> 00:41:57.440]   or ten for me for sure like i literally had to go from being a player that likes to drive right to a
[00:41:57.440 --> 00:42:03.440]   player that prefers to go left i had to go from a player like like there's so many little things that
[00:42:03.440 --> 00:42:09.280]   people don't know about my story that what was the toughest one to bounce back from so the first
[00:42:09.280 --> 00:42:15.120]   one i had at mizzou and i actually i actually hurt my back probably sophomore year of high
[00:42:15.120 --> 00:42:18.880]   school playing with trey young and you were number one and you you're number one in the country number
[00:42:18.880 --> 00:42:24.720]   one in the world at this point um for my projected number one in nba jack number one draft pick best
[00:42:24.720 --> 00:42:30.080]   player in the country so all those things and trey can attest to this like we were in practice with
[00:42:30.080 --> 00:42:36.960]   mo can you know and i'm a sophomore it's a sophomore summer going into junior year and we're in practice
[00:42:36.960 --> 00:42:41.200]   i'm going up i'm like back then like my balance was od so i'm going up dunking about to dunk on
[00:42:41.200 --> 00:42:47.200]   to do baseline he runs by me grabs my like like arm and air and you've seen those videos of people like
[00:42:47.200 --> 00:42:51.040]   falling on their back really high right yep and that's what happened the wing got knocked out of me
[00:42:51.040 --> 00:42:56.720]   and like whatever it took me a second to get up but i got up and my back felt a little like like
[00:42:56.720 --> 00:43:02.320]   off right but nothing crazy so i didn't give it proper time to recover from there i think i played in the
[00:43:02.320 --> 00:43:07.840]   game the very next day okay but i think i started compensating for like little pains in my back and
[00:43:07.840 --> 00:43:14.800]   um there was like some soreness and then i went to go see like a chiropractor or something or a doctor
[00:43:14.800 --> 00:43:20.960]   maybe a few months later when kind of that that feeling wasn't ever right in my back again and
[00:43:20.960 --> 00:43:28.560]   they said i had degenerative disc disease right they did an x-ray and i didn't like at this point now i'm
[00:43:28.560 --> 00:43:32.080]   like an expert with the bat because i've gone through so much first time i had no idea what
[00:43:32.080 --> 00:43:38.400]   that meant he said degenerative disc disease and i was like like my mind this is why i talk about the
[00:43:38.400 --> 00:43:43.200]   power of the mind it automatically went to fear i'm like oh no like i'm broken like i'm degenerating like
[00:43:43.200 --> 00:43:50.720]   this is a disease i didn't know that every single person on the planet and especially if you're an athlete
[00:43:50.720 --> 00:43:56.480]   as you age those discs become like if you if you mri any basketball player yeah their mri is going to
[00:43:56.480 --> 00:44:02.080]   come back a little abnormal we're 6 10 we're moving crazy like i didn't know that at the time so this
[00:44:02.080 --> 00:44:08.080]   implanted like a bunch of fear in my mind and from there for some reason the pain got worse like i i
[00:44:08.080 --> 00:44:13.360]   don't think it was a physical thing i think it was the mind so now my junior year comes along like i'm
[00:44:13.360 --> 00:44:18.080]   still progressing as a player i'm still the number one player in the world but um i'm still feeling my
[00:44:18.080 --> 00:44:22.320]   back senior year comes along same thing i'm playing under brandon rory we're the best team in the
[00:44:22.320 --> 00:44:26.800]   country i'm the best player but my back is still bothering me every day i'm starting to get like
[00:44:26.800 --> 00:44:32.640]   so you're still being the number so you're still maintaining the number one spot and i'm like every
[00:44:32.640 --> 00:44:38.000]   day and you're not at 100 percent that's actually crazy right there i know like there was a lot of
[00:44:38.000 --> 00:44:44.400]   stiffness in my back but then i committed to mizzou and i remember i kept during this whole time trying
[00:44:44.400 --> 00:44:49.600]   to see different therapists different chiropractors and all these things i saw one chiropractor at mizzou and
[00:44:49.600 --> 00:44:54.400]   they did some weird crack on my back and then the pain went from like my back to down my leg and
[00:44:54.400 --> 00:44:59.200]   i'm sure you've talked to like ben or people that have been in that situation where they get that
[00:44:59.200 --> 00:45:04.160]   nerve pain i started to get this weird nerve pain but the doctor the chiropractor said that's just new
[00:45:04.160 --> 00:45:09.840]   muscles turning on so i let that i let that ride out for a few days but the first game at mizzou sold
[00:45:09.840 --> 00:45:14.720]   out crowd is in three days and i'm dealing with this weird nerve pain and then like i'm waking up
[00:45:15.280 --> 00:45:19.520]   every day and my leg looks like it's getting a little small like it's atrophying like the damn
[00:45:19.520 --> 00:45:25.920]   so now i'm going into this this first game in mizzou and i'm like i'm expected to put on show you
[00:45:25.920 --> 00:45:30.480]   know when i committed to mizzou the attendance of the school rose by thousands just because of my
[00:45:30.480 --> 00:45:34.320]   commitment so i'm feeling all this pressure to perform but my leg isn't working right i'm trying
[00:45:34.320 --> 00:45:39.680]   to jump and i'm i'm not getting off the ground really and so i tell my dad in the warm-ups of that
[00:45:39.680 --> 00:45:44.800]   game like yo dad like i can't i can't play like i don't know what's going on with my leg and my back
[00:45:44.800 --> 00:45:50.320]   but i i can't jump in warm-ups like i don't know what's going on and so they told me i had to start
[00:45:50.320 --> 00:45:55.120]   the game because it was a big tv production and they already had the starting lineup yeah um ready so i
[00:45:55.120 --> 00:46:00.080]   had to start the game and i came out a minute into the game and that was my pretty much my college
[00:46:00.080 --> 00:46:06.720]   experience so then i get on the phone with my agent and i'm like because he's watching the game
[00:46:06.720 --> 00:46:12.320]   expecting and then he's um he tells me to try to walk on my heels a certain way and i can't do it
[00:46:12.320 --> 00:46:16.640]   on the on that left side right because that nerve was damaged it wasn't sending the signal down to
[00:46:16.640 --> 00:46:22.560]   my muscle which was the reason for the for the atrophying um so i end up getting it having to get
[00:46:22.560 --> 00:46:27.840]   that first surgery that month later um and then from there you know i didn't know how to rehab it
[00:46:27.840 --> 00:46:32.880]   properly ended up getting my second surgery once i got drafted by by denver and this is a whole drawn-out
[00:46:32.880 --> 00:46:38.800]   story but at this point i've had three back surgeries i've had to learn how to go through
[00:46:38.800 --> 00:46:42.880]   each one of these and figure out my body a little bit more just to try to stay healthy
[00:46:42.880 --> 00:46:47.920]   and try to like compensate for different movements and different ways that i would naturally like to
[00:46:47.920 --> 00:46:54.400]   flow and play but because of the injuries i've had to adjust no player i feel like in the history of
[00:46:54.400 --> 00:46:59.520]   the nba has had to compensate and learn how to be effective in different ways essentially play
[00:46:59.520 --> 00:47:04.320]   different like playing what your mind wants to sometimes yeah literally like on the court people
[00:47:04.320 --> 00:47:08.880]   be like why aren't you smiling why aren't you like getting hype when you make a three why aren't you
[00:47:08.880 --> 00:47:13.920]   whatever and it's literally because i'm having to think about so many technicalities and how i i can't
[00:47:13.920 --> 00:47:19.120]   just lose myself in the game and just that's actually crazy i have to think so much more than i used to
[00:47:19.760 --> 00:47:25.600]   which um you know it goes back to those things where you gotta you gotta choose the things you're
[00:47:25.600 --> 00:47:30.720]   gonna be grateful for and you have to reflect and at this point in my life i always talk about you know
[00:47:30.720 --> 00:47:35.840]   at this point i can genuinely look back on some of those hard experiences and look at them as a blessing
[00:47:35.840 --> 00:47:42.240]   but my story is very unique i haven't really told it to the to the world in the way that i would like to
[00:47:42.240 --> 00:47:47.360]   like in detail because people won't understand they'll just but it's it's tough that's why i
[00:47:47.360 --> 00:47:52.080]   brought up ben because i just feel for him because like it's not like he wants to be in a situation not
[00:47:52.080 --> 00:47:56.400]   like he doesn't want to play basketball he went through some very similar things that i went through
[00:47:56.400 --> 00:48:02.160]   and i know how hard that is and people act like he just doesn't want to go hoop i know no and that's
[00:48:02.160 --> 00:48:09.440]   that's not that's not the case right that's not the case no um yeah even this past year uh like six
[00:48:09.440 --> 00:48:19.600]   in the morning we would begin working he was trying to get back right um yeah and he did his body wasn't
[00:48:19.600 --> 00:48:26.000]   right his body wasn't right when you have the fans they make their own narrative and it's just like
[00:48:27.760 --> 00:48:32.400]   you know what's strange though people talk we were just talking about the mind the way i've the way
[00:48:32.400 --> 00:48:37.840]   these last few seasons i missed no games because my back this past year i played 79 games i missed
[00:48:37.840 --> 00:48:42.560]   three because of a little hamstring thing the year before that i played 81 games the only game i didn't
[00:48:42.560 --> 00:48:48.000]   play was because of i forgot like the the team forgot my right the right shoes okay so i would
[00:48:48.000 --> 00:48:55.120]   have played 82. the way that i got my back to be stable and to be healthy had nothing to do with
[00:48:55.120 --> 00:48:58.560]   um doing the right recovery doing the right stuff in the weight room that had a part to play it
[00:48:58.560 --> 00:49:05.200]   literally was the mind it literally was learning how to we hold we i used to think it was so taboo
[00:49:05.200 --> 00:49:09.920]   when they would say that you could hold fear and hold different emotions in your tissues in your body
[00:49:09.920 --> 00:49:14.640]   some people holding their neck or some people get migraines or some people when i learned how to
[00:49:14.640 --> 00:49:19.680]   release these like repressed emotions and this tension that i hold in my body my back never had an issue
[00:49:19.680 --> 00:49:25.840]   yeah that that that's deep and then that's so true though it's so that is that the power of the mind
[00:49:25.840 --> 00:49:34.800]   it really is way more powerful than yeah than even we think like yeah even like we're talking about it
[00:49:34.800 --> 00:49:39.680]   now and i think it's even more powerful than that because it has to do with not only your physical body
[00:49:39.680 --> 00:49:44.080]   but also like what you were talking about when you go through a shooting slump how do you handle that
[00:49:44.080 --> 00:49:48.400]   mentally it doesn't have to do with your physical mechanics a lot of time it has to do with what
[00:49:48.400 --> 00:49:52.640]   you're what you're holding in your your mind and stuff so that's a whole other conversation we can
[00:49:52.640 --> 00:49:58.160]   have i actually had a brain expert on here that we uh that we haven't released the episode yet but
[00:49:58.720 --> 00:50:03.040]   following this episode like i'll probably put that one out you definitely should that'd be fire
[00:50:03.040 --> 00:50:08.960]   um i know i've kept you here for a while but for you last couple questions like when do you see
[00:50:08.960 --> 00:50:15.680]   yourself kind of transitioning from this training role and like when what do you see as being next
[00:50:15.680 --> 00:50:20.000]   for you once that happens i feel like you're probably a basketball junkie wants to do it 20 more years
[00:50:20.000 --> 00:50:26.880]   yeah so i mean in the moment now like i'm riding it out while i can you know make this brand money
[00:50:26.880 --> 00:50:32.880]   like if i'm in a situation where i don't have to go to the player and be like give him some crazy
[00:50:32.880 --> 00:50:38.480]   invoice like i don't have to do that i'm in a blessed situation where these companies i can make my money
[00:50:38.480 --> 00:50:43.360]   through these companies i can work with the players that i genuinely want to work with and i have genuine
[00:50:43.360 --> 00:50:49.680]   relationships with and so as long as i can do that i know that's not going to last forever i'm mindful
[00:50:49.680 --> 00:50:55.280]   that as you get older you're not as cool i understand life so i'm going to ride out the
[00:50:55.280 --> 00:51:01.840]   wave that i'm on right now and um once that day comes then i don't know maybe i'll get back into
[00:51:01.840 --> 00:51:08.960]   nba coaching um maybe college coaching something like that but right now i'm just going to ride it out
[00:51:08.960 --> 00:51:15.280]   that's fire leave the audience with one last thing because i i really respect your kind of journey
[00:51:15.280 --> 00:51:22.400]   like kind of like self-made and and really you made this whole brand and your whole life based
[00:51:22.400 --> 00:51:27.520]   on the relationships you made and the work ethic you had and the consistency so i feel like a lot of
[00:51:27.520 --> 00:51:32.720]   people especially in this day and age that are so caught up in looking at other people's lives through a
[00:51:32.720 --> 00:51:40.320]   phone they need they need some some words of wisdom and some like motivation and inspiration for people
[00:51:40.320 --> 00:51:46.960]   that come from nothing you spent times being homeless and now you made it to where you are today so just
[00:51:46.960 --> 00:51:52.800]   leave leave leave a little tidbit of wisdom for yeah i would just say just consistency i would say
[00:51:52.800 --> 00:52:00.480]   you know whether someone just learns about my story now it took 10 years of like
[00:52:01.040 --> 00:52:10.640]   not being comfortable of uh eating rum and noodles uh for dinner for so many years um just like being
[00:52:10.640 --> 00:52:16.960]   uncomfortable but i knew what i loved i knew i loved basketball and so just find something you love
[00:52:16.960 --> 00:52:24.240]   don't do it for the money and just grind it out like literally grind it out find something you love
[00:52:24.800 --> 00:52:32.000]   be a good person grind it out and have faith thank god and i think good things will happen see where
[00:52:32.000 --> 00:52:38.000]   it takes you that's why words and this is really as simple as that um people are complicated but it's
[00:52:38.000 --> 00:52:42.160]   very simple and i like what you said find that passion find something you have a passion for that
[00:52:42.160 --> 00:52:46.960]   you love and then from there it's the consistency and the growth and spending time at it every day and
[00:52:46.960 --> 00:52:53.200]   attacking it from different angles and and then you know you can end up somewhere like where you're at
[00:52:53.200 --> 00:52:58.960]   man but this has been an amazing episode i i haven't sat down and talked like hoop in a while because
[00:52:58.960 --> 00:53:03.760]   with this podcast i like to branch off and do not for sure it's dope though i've watched it i've
[00:53:03.760 --> 00:53:08.400]   watched almost all of them and i think what you're doing is dope that's fine man but it was an honor
[00:53:08.400 --> 00:53:12.960]   to have you on bro and i appreciate you my guy yes sir thank you curious mike out y'all

