
[00:00:00.000 --> 00:00:05.940]   Today, we're going to be taking a look at OpenAI's Agents SDK and how we can use agent
[00:30:50.880 --> 00:30:59.440]   info via the input data there. Then we also add input type. Okay. So you can see how both of these
[00:30:59.440 --> 00:31:05.360]   together, it can be really helpful for debugging things. So I'm going to go ahead and initialize
[00:31:05.360 --> 00:31:15.120]   that and just run and let's see what happens. Okay. So we see that we are handing off to the internal
[00:31:15.120 --> 00:31:20.800]   docs agent because to determine the date of the most recent revenue report for the user, which is,
[00:31:20.800 --> 00:31:27.120]   okay. That's what we would expect. And then we get the correct answer again. Okay. So that is really,
[00:31:27.120 --> 00:31:37.840]   really helpful. Now with the handoffs, all of our chat history is being passed to the sub agents.
[00:31:37.840 --> 00:31:43.920]   And in some cases, we might actually not want that to happen. In many cases, we probably do want that to
[00:31:43.920 --> 00:31:53.120]   be the case. Generally speaking, I think LMs are going to perform at their best with maximal context and
[00:31:53.120 --> 00:32:01.200]   information to a certain level. You probably like, for example, frag, I don't think there's any point
[00:32:01.200 --> 00:32:08.000]   in just sending everything to an agent. It's better to filter that down. But when it comes to chat history,
[00:32:08.000 --> 00:32:13.280]   they saw and tool calls that have been made. I think it is generally best to keep all that information
[00:32:13.280 --> 00:32:18.880]   there and available to the LMs, but maybe in some cases, you actually might want to filter that stuff out.
[00:32:18.880 --> 00:32:25.280]   So we can do that with the handoff filters. And we, at least for now, the only thing that we can
[00:32:25.280 --> 00:32:32.560]   filter is all the tool call messages. Okay. So I'm going to add that. So we do that with input filter
[00:32:32.560 --> 00:32:38.160]   and we're adding handoff filters, remove all tools. This is going to remove all the tool messages.
[00:32:38.160 --> 00:32:46.000]   Okay. Now the only tool that can be called here is the get current date tool. And we've been using
[00:32:46.000 --> 00:32:50.800]   that to answer all the questions accurately. So we're going to actually see now that this,
[00:32:50.800 --> 00:32:58.160]   our workflow won't be able to answer this question because we're going to be filtering out that
[00:32:58.160 --> 00:33:04.320]   information. So that tool is going to be called by the main agent, but then the fact that that tool was
[00:33:04.320 --> 00:33:11.120]   called, that is not going to make it to the sub-agents that we hand off to. So let's run this and we'll see
[00:33:11.760 --> 00:33:17.120]   what happens. So we have the hand off to internal documentation to find the day of the most recent
[00:33:17.120 --> 00:33:23.200]   revenue report. And yeah, so now it's telling me that today is April 27th, 2025, which it is,
[00:33:23.200 --> 00:33:30.400]   it's not, it's, we're in May. So it's a little while, it's a little bit off. So yeah, it's incorrect,
[00:33:30.400 --> 00:33:36.400]   right? And that's because we're using that filter. Now there may be cases where you do want to filter out
[00:33:36.400 --> 00:33:42.000]   those things. It just depends on your use case and what you're building. So that is actually it. That's
[00:33:42.000 --> 00:33:47.600]   all I wanted to cover. We've, I think, really dived into what handoffs are, where we might want to use
[00:33:47.600 --> 00:33:55.760]   them and also where we might not want to use them and the various tools and features that I have also
[00:33:55.760 --> 00:34:04.080]   included for handoffs. I think in general, handoffs are a really good concept for building multi-agent
[00:34:04.080 --> 00:34:08.960]   systems. And I think that's obvious from what we've seen here as well. But of course, there are cases
[00:34:08.960 --> 00:34:13.520]   where we might want to go with that, like orchestrate a sub-agent pattern or something else, or maybe a mix of
[00:34:13.520 --> 00:34:19.040]   both. It really depends on what you're building, but it's very good to just be aware of all these different
[00:34:19.040 --> 00:34:24.000]   approaches that you can take when building these multi-agent systems. But yeah, that's all I wanted
[00:34:24.000 --> 00:34:30.000]   to cover. So I hope all this has been useful and interesting. Thank you very much for watching,
[00:34:30.000 --> 00:34:36.320]   and I will see you again in the next one. Bye.
[00:34:36.320 --> 00:34:38.320]   Bye.
[00:34:38.320 --> 00:34:40.320]   Bye.
[00:34:40.320 --> 00:34:41.320]   Bye.
[00:34:41.320 --> 00:34:42.320]   Bye.
[00:34:42.320 --> 00:34:44.320]   Bye.
[00:34:44.320 --> 00:34:46.320]   Bye.
[00:34:46.320 --> 00:34:46.820]   you
[00:34:46.820 --> 00:35:16.800]   We'll see you next time.

