
[00:00:00.040 --> 00:00:05.260]   sometimes you make some venture bets and they don't work and then you're like I just invested
[00:28:34.960 --> 00:28:41.440]   chat gpt as is oracle and core weave on the slide amazon doesn't really have a big consumer application
[00:28:41.440 --> 00:28:46.880]   right so their need for those gpus uh may also be a little bit lower correct uh in this
[00:28:46.880 --> 00:28:53.280]   slide very good one of the i want to jump ahead a a few a few sections because i want to i want to
[00:28:53.280 --> 00:28:59.280]   get to the private side the venture side of this but i want to end the public side with the the macro
[00:28:59.280 --> 00:29:04.560]   backdrop philippe you're one of the best you know we've been at this a long time we know that you know
[00:29:04.560 --> 00:29:09.920]   we invest in companies that are doing extraordinary well we look at fundamentals but you can't ignore the
[00:29:09.920 --> 00:29:15.520]   macros dan loeb says if you don't do macro macro does you um we found that out the hard way too
[00:29:15.520 --> 00:29:22.240]   many times in our career but if you obsess about it it can also uh be your undoing one of the things i
[00:29:22.240 --> 00:29:27.600]   thought was so interesting we're at this moment in time where we we've heard from elon and the guys on
[00:29:27.600 --> 00:29:33.040]   the all in pod david friedberg and others who are saying you know we're in this debt spiral there's no way
[00:29:33.040 --> 00:29:39.920]   out of the debt spiral you know and yet if you look at the tenure the tenure is still at three four three
[00:29:39.920 --> 00:29:45.920]   four four right despite the calls that it was going to be at six five or seven we haven't got anywhere
[00:29:45.920 --> 00:29:51.840]   close we've been in a band between three five and basically four eight now for two years and you
[00:29:51.840 --> 00:29:58.240]   presented an argument on slide 45 about the productivity cycle that may come out of ai right
[00:29:58.240 --> 00:30:03.840]   that may drive faster growth in the economy much like we saw in the 90s with the internet
[00:30:03.840 --> 00:30:09.760]   that could in fact lead to lower inflation and lower rates on a permanent basis it's kind of this
[00:30:09.760 --> 00:30:16.880]   backdrop that would bring the deficit to gdp below you know uh four percent i know you guys work
[00:30:16.880 --> 00:30:24.160]   closely with with larry summers you know and others and so as you think how important is believing this to be
[00:30:24.160 --> 00:30:33.360]   true in our overall kind of public uh investing today so your original question philip should we be worried
[00:30:33.360 --> 00:30:39.120]   that we all think that ai is a big deal right the counter to that is to say okay well what if we're
[00:30:39.120 --> 00:30:44.800]   right on the ai but we're wrong on something else and we actually analyzed three things we analyzed are
[00:30:44.800 --> 00:30:51.600]   markets expensive and the answer is yes but they were markets were expensive the 90s during the pc and
[00:30:51.600 --> 00:30:56.800]   internet era and the market did well so that's number one number two we said well are tariffs a
[00:30:56.800 --> 00:31:02.400]   big deal and we said yes they're important and maybe they haven't gone through inflation yet but this
[00:31:02.400 --> 00:31:08.960]   doesn't feel to us like i like to say that the tokens trump tariffs yeah right basically and so we're
[00:31:08.960 --> 00:31:15.040]   basically left with this deficit first thing that's on deficit is having doge and having people like elon
[00:31:15.040 --> 00:31:20.640]   say that we're spending too much it's useful yes and we should repeat that every day it doesn't hurt
[00:31:20.640 --> 00:31:28.160]   but what i was wondering is since it's so obvious that it seems that we need more doge we need to spend
[00:31:28.160 --> 00:31:34.400]   less and stuff like that who are the people who every day are buying bonds 30-year bonds at four and a half
[00:31:34.400 --> 00:31:40.800]   percent and i'm sure you're uh the listeners know that but a one-year bond at four and a half percent
[00:31:40.800 --> 00:31:44.960]   stays and gives you four and a half percent a 30-year bond at four and a half percent on its way to six
[00:31:44.960 --> 00:31:50.640]   or seven you could lose 60 or 70 percent of your money yes you know once you have a 30-year multiplier
[00:31:50.640 --> 00:31:57.920]   on a change in interest from four and a half to six right and our basic instinct was to analyze what
[00:31:57.920 --> 00:32:04.480]   happened in the internet in the pc days where we had exceptional productivity gains when the internet and pc
[00:32:04.480 --> 00:32:11.280]   really took off in the 90s and to say hey what would happen yes if we had similar exceptional
[00:32:11.280 --> 00:32:18.160]   productivity gains and basically the answer we were trying to solve is in essence today we're at
[00:32:18.160 --> 00:32:24.480]   100 percent debt to gdp on our way to 140 and we said what would it take for actually debt to gdp
[00:32:24.480 --> 00:32:30.240]   to stay at 100 or maybe even bend the curve and go down to 80 and what's really surprising i think if
[00:32:30.240 --> 00:32:36.880]   you just show maybe the next slide or or so yeah uh i think if we move forward yeah just a little bit
[00:32:36.880 --> 00:32:43.840]   you'll see that if productivity for the next decade or so was about two and a half to three and a half
[00:32:43.840 --> 00:32:51.920]   percent per year right we could achieve substantial reductions in this key ratio of debt to gdp and i'm
[00:32:51.920 --> 00:32:58.400]   not saying we're there but i'm saying that at least we've been able to bookend what would productivity
[00:32:58.400 --> 00:33:06.080]   need to be to achieve an 80 100 instead of 140 debt to gdp this is slide 51 just for the people uh
[00:33:06.080 --> 00:33:12.480]   following along which is you know again an incredibly important point we know there are people buying
[00:33:12.480 --> 00:33:17.520]   bonds every day at four and a half percent so the question is why are they doing that and one of the
[00:33:17.520 --> 00:33:23.040]   answers may be exactly what you're saying what if they're right exactly what if they're right and we're
[00:33:23.040 --> 00:33:32.320]   wrong and in fact uh one funny part is in 1993 debt to gdp was supposed to go from 40 to uh or 60 to 80
[00:33:32.320 --> 00:33:40.320]   by expert and it in fact went from 60 to 40 yes so experts can be wrong by a lot right and so i'm not
[00:33:40.320 --> 00:33:46.800]   uh good enough macro guy and if tech guys pretend to be good macro guys you know it's the beginning of the
[00:33:46.800 --> 00:33:52.240]   the end but at least we have a little bit of analytical thinking around what it would take
[00:33:52.240 --> 00:33:58.400]   and bill and thomas you guys are much better placed than me in terms of your discussions with all the
[00:33:58.400 --> 00:34:04.880]   privates which i think we're leading to now and all these amazing new products and you're telling me that
[00:34:04.880 --> 00:34:10.960]   that's not going to create like massive productivity i really think it is and and and drawing from that you
[00:34:10.960 --> 00:34:17.440]   would end up with with gdp growth more like the five percent plus maybe even six which by the way
[00:34:17.440 --> 00:34:23.680]   that was the case for many of the years in the 90s then sort of product uh you know uh and by the way
[00:34:23.680 --> 00:34:30.400]   the six would represent four and about real terms whereas in the past you know most recently we've
[00:34:30.400 --> 00:34:36.080]   more be at like you know two or three which is more like the one in terms of real terms so you know
[00:34:36.080 --> 00:34:42.800]   just to wrap up your flight path for the public markets i think it's fair to characterize as you
[00:34:42.800 --> 00:34:49.120]   know tariffs fairly much being under control multiples are you know pretty full but like they
[00:34:49.120 --> 00:34:55.840]   were in the 90s they can stay full that the backdrop is okay it's like the the bond market and rates are
[00:34:55.840 --> 00:35:02.320]   still in the fours and we have this ai super cycle with that on the public side would you characterize
[00:35:02.320 --> 00:35:08.480]   your exposures to the public market philippe as in the top third middle third or bottom third of your
[00:35:08.480 --> 00:35:14.080]   you know kind of average exposures you know brad i knew you would ask me that and you know i'm not
[00:35:14.080 --> 00:35:20.480]   going to answer that but nice try i tried nice try i try okay let's nice try let's shoot over let's shoot
[00:35:20.480 --> 00:35:29.360]   over to privates i think one of the things that was a consistent theme if you look at slide 60 and and 61
[00:35:29.360 --> 00:35:37.280]   is this idea that the private economy uh thomas right we've had three or four years of really uh
[00:35:37.280 --> 00:35:43.840]   nobody getting out of the chutes these companies have all stayed private um the percentage of of of
[00:35:43.840 --> 00:35:50.800]   unicorns as a percentage of the public markets has gone up but now we're starting to see an unlock here
[00:35:50.800 --> 00:35:58.720]   both in terms of mna and in terms of ipos so talk us through the big themes from the slide 60 and 61
[00:35:58.720 --> 00:36:06.480]   today about how you know ai has reignited this deployment and x and and exits are starting to rebound
[00:36:06.480 --> 00:36:12.240]   yeah i'm curious to get bill's view here because he probably thinks about this as much as i do and
[00:36:12.240 --> 00:36:18.480]   i'm curious whether he'll draw the same conclusion i i think by and large we all agree that the
[00:36:18.480 --> 00:36:24.000]   environment of 2021 was incredibly unhealthy both for companies and for lps too much capital going in
[00:36:24.000 --> 00:36:30.880]   not enough coming out a kind of a broken cycle if you will um you could see that's in so many measures
[00:36:30.880 --> 00:36:37.600]   amount of dollars going in no money coming out historically low ipos even worse than post-financial
[00:36:37.600 --> 00:36:44.720]   crisis which is kind of incredible to think about so on almost any metric you looked at we were kind
[00:36:44.720 --> 00:36:49.840]   of in the danger zone and i would say more or less that's been true over the past two or three years
[00:36:49.840 --> 00:36:57.120]   this is the first year and this is the crux of the the view i'm curious if you share where the
[00:36:57.120 --> 00:37:04.080]   signals are going from red to i would say yellow and potentially green we're seeing first of all a
[00:37:04.080 --> 00:37:11.680]   rebound in ipos we're seeing ipos perform better we showed uh basically the performance of the cohorts
[00:37:11.680 --> 00:37:17.760]   and how they've improved substantially since 2021 one of the data points that shocked me re-looking at
[00:37:17.760 --> 00:37:26.480]   this is that the 2021 cohort within one year of going ipo was down 40 percent and five years later is down
[00:37:26.480 --> 00:37:33.200]   50 percent i mean just pause on that for a second that was a shocking slide that here we are five years
[00:37:33.200 --> 00:37:38.560]   after those companies went public and basically the market has gone vertical but that's correct on the
[00:37:38.560 --> 00:37:45.120]   relative basis they're probably down 71 75 i know you're right slide 71 i think i i brand i didn't
[00:37:45.120 --> 00:37:49.760]   believe this so i actually i i went to look at every single company on this as by this does not include
[00:37:49.760 --> 00:37:55.680]   specs so that which is even more extraordinary this is just traditional ipos so um it's not dollar
[00:37:55.680 --> 00:38:04.240]   weighted no no it's correct yeah so um so there's a lot of scar tissue there yes right but i think we
[00:38:04.240 --> 00:38:10.240]   have signs to see things improving so we just talked about the ipo market we've now seen some really
[00:38:10.240 --> 00:38:16.320]   strong ipos that have performed well core weave circle hey thomas remind me what does zerb say sorry
[00:38:16.320 --> 00:38:23.600]   to ask such a dumb question but what zero interest rate oh zero yeah that's how do i know but we're
[00:38:23.600 --> 00:38:27.680]   also seeing companies like one of the things that really impressed me about core weave we had a slide
[00:38:27.680 --> 00:38:32.000]   on this i can't remember what the what the number is but like people are starting to understand how public
[00:38:32.000 --> 00:38:37.440]   market thinks and i do think they executed incredibly well on the timetable in terms of how they release
[00:38:37.440 --> 00:38:45.520]   information how they explain the business model this is kind of slide 75 for people at home so we have
[00:38:45.520 --> 00:38:52.080]   better ipos yes that are being rewarded and another thing that struck me is we looked at the cohort of
[00:38:52.080 --> 00:38:59.760]   ipos right and by and large you can see unsurprisingly that growth and profitability yielding a rule of 40
[00:38:59.760 --> 00:39:05.760]   was kind of the average of the cohort so um i i thought that was bullish for the ecosystem and then finally
[00:39:05.760 --> 00:39:12.320]   um you've talked about this on the pod before but the m&a environment coming back different types of
[00:39:12.320 --> 00:39:19.440]   structures zuck's bold move right to pay a hundred percent of a company to only get a hundred percent
[00:39:19.440 --> 00:39:26.800]   of the price 49 of the company by the team urgency is now i need you tomorrow uh alex to help me fix my
[00:39:26.800 --> 00:39:32.240]   business right i thought that that i thought that was the best description of the scale deal that i've
[00:39:32.240 --> 00:39:38.720]   heard and maybe just click on that again for a second so you know as you know for the audience most people
[00:39:38.720 --> 00:39:44.320]   know that you know meta has has done this interesting structure deal they're buying 49 percent of the
[00:39:44.320 --> 00:39:50.560]   company um they're paying a 30 billion valuation so they're paying effectively 15 billion they're
[00:39:50.560 --> 00:39:58.000]   avoiding regulatory scrutiny uh the ceo of scale is going to help lead efforts uh at meta and all the
[00:39:58.000 --> 00:40:03.600]   customers have left right and so they're leaving kind of a shell company behind also we don't know
[00:40:03.600 --> 00:40:09.760]   if that avoids regulatory scrutiny exactly we're gonna find out we're gonna find out right right
[00:40:09.760 --> 00:40:17.040]   so uh i don't know what the if there's a breakup fee or not it'd be interesting to see yes i i don't i
[00:40:17.040 --> 00:40:22.960]   don't know that either but i mean i think one of the things it shines a light on is the speed at which
[00:40:22.960 --> 00:40:29.520]   everything is moving right here we are and we can all say that that zuckerberg's in beast mode
[00:40:29.520 --> 00:40:35.920]   meta is one of the greatest companies you know on the planet he's extraordinarily focused uh on getting
[00:40:35.920 --> 00:40:42.240]   ai talent but why do you think he was willing to pay a hundred percent of the value of a company and
[00:40:42.240 --> 00:40:48.960]   only get 49 is it that the imperative to have talent today is so important because two years from
[00:40:48.960 --> 00:40:53.760]   now you may be so far behind given the rate at which ai is moving yeah i i tend to think it's
[00:40:53.760 --> 00:40:59.680]   related to two factors right one is the size of the prize yeah so i think he clearly sees that this
[00:40:59.680 --> 00:41:05.760]   is the biggest prize in tech right in the world frankly and so i think relative to his while 15
[00:41:05.760 --> 00:41:11.280]   billion to all of us is a massive number probably in the scale of the multi-trillion opportunity that
[00:41:11.280 --> 00:41:15.440]   he sees he might just think it's a bet i would make all day long so i think you get it as a
[00:41:15.440 --> 00:41:20.640]   percentage of your market cap and you say like a one percent right correct right so he so i think
[00:41:20.640 --> 00:41:26.480]   that's number one scale of the opportunity no pun intended and i think number two is how quickly the
[00:41:26.480 --> 00:41:32.800]   ecosystem is moving under some data point i mean people had this view already that that llama wasn't
[00:41:32.800 --> 00:41:38.880]   quite at the top but this is somewhat confirmatory of that that he's fixing a problem right we've seen
[00:41:38.880 --> 00:41:44.000]   anthropic we have data in here that i think it took him about a year to get to their first billion in
[00:41:44.000 --> 00:41:47.920]   revenue it took him three months to get to the next billion and then it took him two months to get to
[00:41:47.920 --> 00:41:54.240]   the one the next billion after that right so he's probably seeing how quickly chat gpt is growing
[00:41:54.240 --> 00:42:01.920]   social users how quickly um anthropic is growing business users through their api and thinking i don't
[00:42:01.920 --> 00:42:08.640]   have two years to wait in european regulatory uh purgatory i have a question for you thomas on the ipo
[00:42:08.640 --> 00:42:16.320]   so so so simultaneous with seeing more ipos which is awesome there there has been a trend for companies
[00:42:16.320 --> 00:42:22.720]   to stay private longer i think the collisons used to hint maybe and now they're more kind of maybe never
[00:42:22.720 --> 00:42:28.400]   and and some investors in the ecosystem are encouraging that behavior what what do you
[00:42:28.400 --> 00:42:36.000]   think is different about the people that choose to go out now that the windows quote open i think um
[00:42:36.000 --> 00:42:41.760]   i mean they each have different reasons some may have uh just view from the financing opportunity the
[00:42:41.760 --> 00:42:46.480]   ability to tap the public market both on the equity and the debt side to be simpler right as a public
[00:42:46.480 --> 00:42:51.760]   company i think that's the big piece of it second look it could be a brand defining event for a
[00:42:51.760 --> 00:42:58.320]   company right for for your product for your employees giving the level of transparency to your customers
[00:42:58.320 --> 00:43:03.840]   that you're well funded that you have a fortress balance sheet you know all of that you can with
[00:43:03.840 --> 00:43:11.120]   withstand the regulatory scrutiny that comes and even just the um the scrutiny from investors right that
[00:43:11.120 --> 00:43:16.800]   you have the discipline and and with everything that comes public people looking at your numbers so all
[00:43:16.800 --> 00:43:23.680]   of those things right i happen to believe that all these companies should go public um i also think
[00:43:23.680 --> 00:43:28.480]   by the way there's there's a democratic element to it where i think the wealth creation belongs to the public
[00:43:28.480 --> 00:43:34.320]   market um i think you attract different types of investors not just frankly a public market versus
[00:43:34.320 --> 00:43:39.440]   a private market but also the retail investor what can you learn from the retail investor either
[00:43:39.440 --> 00:43:43.600]   positive or negative about your business right i mean i think it's a it's such an important point
[00:43:43.600 --> 00:43:49.520]   and i've made this case to everybody at open ai i think they're the most important company of the era
[00:43:49.520 --> 00:43:56.080]   i think it's hugely important from a regulatory scrutiny and from the democratization of finance
[00:43:56.080 --> 00:44:01.840]   it needs to be a public company the idea that we're going to have trillion dollar companies
[00:44:01.840 --> 00:44:07.120]   and the only people who get to participate are the people sitting around this table right i just think
[00:44:07.120 --> 00:44:12.240]   is unhealthy for our capital markets yeah and the fact the fact of the matter is you know we call
[00:44:12.240 --> 00:44:17.120]   these companies venture-backed companies but you we all know there's a whole new market that's evolved
[00:44:17.120 --> 00:44:22.800]   here that i call quasi public these are companies over five or ten billion dollars in value they would
[00:44:22.800 --> 00:44:29.760]   have all been public 10 or 15 years ago why because the the private markets just didn't have the depth of
[00:44:29.760 --> 00:44:35.360]   capital to serve these companies and their voracious capital needs to do you know this is happening as
[00:44:35.360 --> 00:44:40.560]   we speak in private equity right some private equity companies just go from a private equity owner to
[00:44:40.560 --> 00:44:46.320]   another then you have continuation funds right big second transaction this is happening in the private
[00:44:46.320 --> 00:44:52.720]   credit market where now you have a huge private credit as an asset class not just so this sort of healthy
[00:44:52.720 --> 00:44:58.400]   tension between public and private is important i just think that these super super large private
[00:44:58.400 --> 00:45:07.040]   companies if you're not willing to submit yourself to sort of the sunshine and the and the ray of light
[00:45:07.040 --> 00:45:13.120]   the public markets you're going to get it through a regulatory agency so pick your poison and be
[00:45:13.120 --> 00:45:18.800]   careful that if you think you can live in the public market purely to sort of live in the shadows that's
[00:45:18.800 --> 00:45:25.680]   not going to work as you become a large company you'll be regulated and so that's why maybe even more
[00:45:25.680 --> 00:45:31.680]   correct that's why i really hope that these companies will choose to go public uh you make the democrat you
[00:45:31.680 --> 00:45:39.520]   know retail investors should have access to these companies but i just think in general the concept
[00:45:39.520 --> 00:45:45.920]   of mark to market it's not perfect and there's increased volatility but every day we learn something
[00:45:45.920 --> 00:45:51.360]   and every day we know it's the it's the price you can get today by the way i thought one of our best
[00:45:51.360 --> 00:45:55.200]   speakers who made this great point of just because i'm public doesn't mean i need to change how i run my
[00:45:55.200 --> 00:46:03.680]   business well maybe maybe we talk about app loving on slides 91 and 92 you had the 91 is has microsoft
[00:46:03.680 --> 00:46:10.880]   reach peak employees and 92 was about how app loving has gone ai first and had massive uh you know
[00:46:10.880 --> 00:46:17.360]   margin expansion or revenue per employee i i tweeted about this the other day i called a game the golden
[00:46:17.360 --> 00:46:23.840]   age of margin expansion right if you look at the mag 7 over the last three or four years they've grown
[00:46:23.840 --> 00:46:30.560]   over 20 percent compounded but the number of employees their opex is growing at two percent we've never
[00:46:30.560 --> 00:46:36.160]   seen this yeah in the history of technology you know that we've covered so why don't you talk a little
[00:46:36.160 --> 00:46:41.920]   bit about it you know well are you guys can you describe this yeah i loved this chart on 91 and
[00:46:41.920 --> 00:46:46.720]   previously what we had is we just had the chart without the blue lines right right which basically this
[00:46:46.720 --> 00:46:53.360]   chart for those listening tracks microsoft employee count what we realized when we after we did this chart is we
[00:46:53.360 --> 00:46:59.920]   realized wow there's actually three distinct chapters that are um kind of uh being told
[00:46:59.920 --> 00:47:06.240]   here chapter one is the zirp era it's covid software is everywhere the only way these companies think
[00:47:06.240 --> 00:47:12.400]   they can grow is by hiring more people exactly reflex big opportunity i got which by the way made sense
[00:47:12.400 --> 00:47:19.040]   because if you grow by producing more code you need more people for more code so i think it was
[00:47:19.040 --> 00:47:26.800]   completely logical we gotta hire more okay so that's the zirp era then ironically just as github copilot
[00:47:26.800 --> 00:47:33.600]   comes in brad familiar with the term the get fit era this is like time to get fit hold on we need to
[00:47:33.600 --> 00:47:39.280]   get fit we've gotten too big right and then you can see stabilization of headcount down in a lot of other
[00:47:39.280 --> 00:47:46.880]   companies now we're entering the ai era and i do think it's kind of a provocative provocative question
[00:47:46.880 --> 00:47:52.720]   which is that has microsoft reached the peak employee and while they never cross that threshold ever again
[00:47:52.720 --> 00:48:01.120]   right i i you know i i had conversation with the cfo of a major company recently and they said thought
[00:48:01.120 --> 00:48:10.800]   experiment what if our headcount was down 50 percent in three years right those questions have never been
[00:48:10.800 --> 00:48:16.800]   asked for companies that are growing and thriving and i do think what i get excited about from as a
[00:48:16.800 --> 00:48:21.680]   public market investor philippe it's not just that we're seeing a re-acceleration and top line growth
[00:48:21.680 --> 00:48:26.640]   for all these companies every one of these companies literally from uber they're growing their top line
[00:48:26.640 --> 00:48:31.840]   without growing their headcount all the way to the largest of the mag seven but apple oven has done as
[00:48:31.840 --> 00:48:37.920]   as good a job as tell everyone about this slide you put yeah so this is another one of my my favorites
[00:48:37.920 --> 00:48:44.160]   right and what this slide does is it will track app loving a public company run by a brilliant in my
[00:48:44.160 --> 00:48:51.600]   opinion generational entrepreneur um and it basically looks at two things one it looks at uh the revenue of
[00:48:51.600 --> 00:48:59.920]   the company annualized uh since q2 2021 so that's uh the blue line and second the um employee count
[00:48:59.920 --> 00:49:06.880]   over that same period right and basically 2021 big opportunity i gotta hire tons of employees
[00:49:06.880 --> 00:49:12.160]   to kind of try and capture it what else can i do right then realizes oh my god my company's gone too
[00:49:12.160 --> 00:49:17.120]   big i've lost control of my culture we're not innovating fast enough too many layers of bureaucracy
[00:49:17.120 --> 00:49:23.680]   we're not set up to capture the opportunity right sizes the workforce at the same time as ai comes
[00:49:23.680 --> 00:49:30.640]   in now the company's lean and mean innovates out competes companies like google and meta doubles the
[00:49:30.640 --> 00:49:36.400]   size of the company as the employee count is down over 35 right think about this we just showed the
[00:49:36.400 --> 00:49:45.120]   the slide of chat gpt going parabolic google losing right page views google has 187 000 employees open ai
[00:49:45.120 --> 00:49:51.280]   2700 we're not going to be a company of 20 000 employees he didn't say we're not going to be a
[00:49:51.280 --> 00:49:57.920]   company of 187 000 employees right he's saying we're going to leverage our models our agents our capabilities
[00:49:57.920 --> 00:50:03.040]   which is exactly what jensen huang said to us last year he said brad i'm going to 3x the company
[00:50:03.040 --> 00:50:07.360]   and our head count may not grow or only grow a little bit i said how he said because i'm going
[00:50:07.360 --> 00:50:12.800]   to have agents who are reporting to me i'm not going to have employees who are by the way i'll tell you
[00:50:12.800 --> 00:50:18.800]   what this made me think of so back to the app loving slide so in five years four years they doubled the
[00:50:18.800 --> 00:50:26.320]   revenue per employee and now you know a company with a high growth rate that's profitable that's thriving
[00:50:26.320 --> 00:50:34.800]   is lowering head count um because of ai it it it really struck me that there's a level of confidence
[00:50:34.800 --> 00:50:40.160]   in a company's use of ai if they're willing to actually reduce head count and a lot of companies
[00:50:40.160 --> 00:50:46.560]   give lip service to their using ai but a willingness to reduce head yes is a different level yeah and by
[00:50:46.560 --> 00:50:51.440]   the way one point adam would make if he was here and i think it's important to state he's not doing
[00:50:51.440 --> 00:50:56.720]   this because he's a masochist that loves to fire people right the reason he did this is he believed
[00:50:56.720 --> 00:51:01.920]   that that's the shape the company needed to be in to win and out compete yeah right so i think that's
[00:51:01.920 --> 00:51:07.200]   really important it's not like oh my gosh all of a sudden i i want to be much more efficient and i think
[00:51:07.200 --> 00:51:12.080]   that you know i can create so much more value it's i believe this is what the company needs to look
[00:51:12.080 --> 00:51:18.080]   like so i can win this market we need to make decisions faster we need fewer layers right i think the
[00:51:18.080 --> 00:51:23.200]   motivation is really important um and this is just kind of an output of that and and the final thing
[00:51:23.200 --> 00:51:28.240]   i would say about this philippe the thing that should give us confidence about this productivity
[00:51:28.240 --> 00:51:33.840]   explosion in the economy is at the end of the day our economic productivity is just a combination of
[00:51:33.840 --> 00:51:38.640]   all these companies so if a lot of companies are doing this and you could you pile them all together
[00:51:38.640 --> 00:51:43.840]   right you're going to get more output for a fixed amount of labor and capital right that's
[00:51:43.840 --> 00:51:49.200]   going to drive economic productivity the last thing to say on that which is really important is someone
[00:51:49.200 --> 00:51:53.920]   is going to then say my god what's going to happen to employment yes if we have all these companies
[00:51:53.920 --> 00:51:59.920]   that become so efficient right and i think today someone brought up the concept of jevons paradox yes
[00:51:59.920 --> 00:52:06.080]   and i'm going to actually use my chat gpt to study a little bit more over the next week or so but it is
[00:52:06.080 --> 00:52:14.320]   the concept that uh sometimes as uh you have less employees and the cost of employment goes down
[00:52:14.320 --> 00:52:20.400]   actually the unemployment rate will go down not up and i'm really summarizing it in terrible terms
[00:52:20.400 --> 00:52:28.000]   but i think it's really important to say um that uh it's possible that companies need less employment but
[00:52:28.000 --> 00:52:32.960]   more companies get created because it's much easier to create a company smaller companies
[00:52:32.960 --> 00:52:38.480]   vibrant companies get created jobs become more interesting and so i think there's going to be a
[00:52:38.480 --> 00:52:45.520]   big debate around okay all this ai is it going to increase or reduce unemployment and i'm not 100 sure
[00:52:45.520 --> 00:52:50.640]   what's going to happen but if you force me into an answer i have faith that it might actually create
[00:52:50.640 --> 00:52:55.600]   more jobs more interesting jobs with more responsibility versus the other way around
[00:52:55.600 --> 00:53:02.960]   um yeah we have two more slides we want to cover that i think maybe we're going to end with the best
[00:53:02.960 --> 00:53:10.080]   because you guys had a couple powerful things um the first was slide 98 right after all of this you know
[00:53:10.080 --> 00:53:15.840]   covering you know uh what's happening in public and what's happening in adventure thomas i think you
[00:53:15.840 --> 00:53:20.560]   summed it up well which is okay so what does this mean for me if i'm a founder if i'm a
[00:53:20.560 --> 00:53:26.400]   a ceo what does this mean for me or or my company so bill why don't you let me let me describe what
[00:53:26.400 --> 00:53:32.960]   thomas did and then thomas you can do the analysis from it but he created a quadrant you know and on
[00:53:32.960 --> 00:53:42.080]   on one access he has a growth rate above 25 or below 25 and on this access you have profitability
[00:53:42.080 --> 00:53:49.360]   either you're cash flow positive or you're not and so walk us through kind of your recommendation for
[00:53:49.360 --> 00:53:55.120]   companies that find themselves in each of these four quadrants yeah and philippe chime in too um
[00:53:55.120 --> 00:54:01.120]   look we we're very proud of the work that we put in this deck but we also want to be mindful that
[00:54:01.120 --> 00:54:06.080]   it's a lot of data and we thought about how do we crystallize everything that we see in the market
[00:54:06.080 --> 00:54:12.000]   from all the data all the smart people that we talk to in terms of generating useful advice for
[00:54:12.000 --> 00:54:18.960]   entrepreneurs right and so we kind of came up with this matrix if you look at the left side which is
[00:54:18.960 --> 00:54:24.560]   basically growing companies growing in excess of 25 right and you might argue this is kind of the
[00:54:24.560 --> 00:54:29.600]   easiest bucket you're growing 25 but we do think the delta is kind of different and and by the way one
[00:54:29.600 --> 00:54:36.640]   thing we skipped over you guys had two or three slides on the fact that growth has become more scarce in
[00:54:36.640 --> 00:54:43.680]   in the public market and there's a and there's a big um delta now in revenue multiple for growth
[00:54:43.680 --> 00:54:49.600]   and for you know and and obviously diminishing multiples for correct so we have seen in the
[00:54:49.600 --> 00:54:55.920]   public market now growth be re-rewarded post 2021 so our advice being to entrepreneurs that if you are
[00:54:55.920 --> 00:55:01.440]   growing over 25 percent you are profitable time to think about whether you should be public yeah but
[00:55:01.440 --> 00:55:06.160]   that doesn't necessarily mean go in public as you well know there's a difference between being ipo
[00:55:06.160 --> 00:55:11.440]   ready and going ipo but we think certainly putting all the steps into place kind of starts to make sense
[00:55:11.440 --> 00:55:17.360]   if you're burning then now might be the time to build a fortress balance sheet we just saw open
[00:55:17.360 --> 00:55:23.600]   ai raise 40 billion right these companies are accumulating massive war chests so you don't want
[00:55:23.600 --> 00:55:29.600]   to lose out time to really kind of built up your strengths i think where i think you're going bill and
[00:55:29.600 --> 00:55:34.000]   what we you and i spend also a lot of time thinking about is what about the companies that aren't going
[00:55:34.000 --> 00:55:40.640]   25 and you know for philippe and myself we take the responsibility of having invested in companies
[00:55:40.640 --> 00:55:48.240]   really seriously we're on the boards of many of the companies that we are invested in and we don't uh
[00:55:48.240 --> 00:55:53.600]   bail on our entrepreneurs you know when we make those commitments so what do we do kind of in those
[00:55:53.600 --> 00:56:01.840]   companies right i think each bucket is interesting the okay i'm growing less than 25 but i'm profitable
[00:56:01.840 --> 00:56:06.320]   it's kind of an interesting case study because that's where you might be complacent you might
[00:56:06.320 --> 00:56:11.520]   have said look i got fit post 21 you told me to cut my burn yeah i'm profitable now
[00:56:11.520 --> 00:56:17.680]   by the way the reason i think a lot of companies ended up in these low growth situations is they had a ton
[00:56:17.680 --> 00:56:25.600]   of capital we had that mini correction in 2021 everybody said get to cash flow break even they
[00:56:25.600 --> 00:56:30.560]   all ran that way but that meant cutting headcount cutting programs that they might have been doing
[00:56:30.560 --> 00:56:37.360]   yeah and you end up in a low growth situation yeah so we thought that actually this bucket now
[00:56:37.360 --> 00:56:43.200]   we're in a potentially generational transformation and architecture shift because of ai time to maybe look
[00:56:43.200 --> 00:56:49.440]   at and say okay what can ai do for your business is there a new way that you can invest is there an
[00:56:49.440 --> 00:56:54.480]   mna opportunity or something interesting so we think now you can afford to be a little bit more on your
[00:56:54.480 --> 00:56:59.440]   forward foot right you've gotten the business healthy you've shown you can be profitable we have a
[00:56:59.440 --> 00:57:05.200]   generational architecture shift time to kind of see how we can play offense would that even include maybe
[00:57:05.200 --> 00:57:11.840]   becoming unprofitable potentially yeah if if if you have the science and you really start to see the
[00:57:11.840 --> 00:57:17.360]   growth re-accelerate because of it potentially absolutely yeah right a lot of ai companies
