
[00:00:00.000 --> 00:00:04.380]   what's going on y'all there's another episode of curious mike i am here with denise garcia and
[00:27:14.040 --> 00:27:20.680]   baby mama of a wealthy person a rapper athlete whatever the woman is the one who gets shamed and
[00:27:20.680 --> 00:27:28.840]   gets degraded so i find that i find that kind of crazy um yeah for sure i mean i can tell you the day
[00:27:28.840 --> 00:27:34.200]   it's so funny too because the day that i met is that like he we went to the same school the same high
[00:27:34.200 --> 00:27:43.800]   school the day that i met him was after practice my senior year we went to um the school like hosted
[00:27:43.800 --> 00:27:51.000]   this dinner at this um at this like it was called papachinos it's like this little restaurant in chino
[00:27:51.000 --> 00:27:56.600]   hills and basketball team was going to see a final soccer team was going to see a final final so it was
[00:27:56.600 --> 00:28:02.520]   just like a intimate like dinner on the patio for us and it was after practice and i told my coach i was
[00:28:02.520 --> 00:28:06.600]   like i don't want to like i don't want to go i'm tired i have homework like we have this game coming
[00:28:06.600 --> 00:28:10.280]   up don't want to go what's the point i can't even get cute like we're going straight after what's
[00:28:10.280 --> 00:28:17.000]   the point you know like we're not gonna and um i remember like that was the first time i had seen
[00:28:17.000 --> 00:28:21.560]   him but i had gone to school with him all these years i was just doing my own thing and sure enough
[00:28:21.560 --> 00:28:28.120]   like he approached like you know and he approached me and since then like we were after that night we were
[00:28:28.120 --> 00:28:35.240]   kind of inseparable and we had our own things going on so it's like nobody it lands some things just land
[00:28:35.240 --> 00:28:44.360]   on like people who aren't really clocking it like you guys you really think that i wanted i knew this
[00:28:44.360 --> 00:28:49.480]   guy in high school like yeah i never wanted our relationship to be based off the things that he can do
[00:28:49.480 --> 00:28:55.240]   for me because i was like that it's not our foundation of how we even liked each other you know
[00:28:55.240 --> 00:29:00.680]   what i mean so um i just feel like people just will always find something negative to say about it so
[00:29:01.960 --> 00:29:07.720]   um it sucks but it is what it is like i'm not gonna say hey look at me i'm a good person like hey no
[00:29:07.720 --> 00:29:15.480]   this is my love no like it is what it is yeah i feel like a lot of athletes that i've met um they're
[00:29:15.480 --> 00:29:23.960]   like coddled man children so we definitely are yeah it's like this this guy was good in middle school he
[00:29:23.960 --> 00:29:30.440]   had his whole future mapped out yeah everybody from the teachers to the professors to the coaches
[00:29:30.440 --> 00:29:39.000]   that's really to me what my experience there are some stereotypes that are just true yeah and i
[00:29:39.000 --> 00:29:46.200]   remember i i made a video back in 2018 saying you know athletes are really dumb because most of them
[00:29:46.200 --> 00:29:52.120]   are you know it's just like if there's substance it's just not what they lead with so for me it's
[00:29:52.120 --> 00:30:03.800]   okay okay okay well then but so for me i think it's like because of playing basketball like you guys
[00:30:03.800 --> 00:30:09.560]   throw a ball in a hoop you guys aren't carrying cancer just like we're on reality tv we're not doing
[00:30:09.560 --> 00:30:14.200]   anything to change the world this is like cotton candy for the soul but what it comes down to is like
[00:30:14.200 --> 00:30:19.640]   you guys are in a have an opportunity to change your whole family situation so you're already
[00:30:19.640 --> 00:30:26.040]   fucking king dingaling when you're fucking 13 years old like so then you grow up no real character no
[00:30:26.040 --> 00:30:32.120]   integrity your teacher was low-key wanted to you and you had this other who was sucking your
[00:30:32.120 --> 00:30:38.360]   dick and doing your homework and it's just like now you guys are expected to be like outstanding men no
[00:30:38.360 --> 00:30:43.800]   like you guys suck like it's you know what i mean so it's it's not it's not shocking it's not
[00:30:43.800 --> 00:30:49.320]   breaking news this is the tale as old as time but if that's the stereotype on athletes or whatever
[00:30:49.320 --> 00:30:55.640]   then why then doesn't that stereotype exist for the women that so many of them flock to the athletes
[00:30:55.640 --> 00:30:59.960]   because if all these girls you know if that's if all them know that athletes are dumb and they
[00:30:59.960 --> 00:31:04.680]   don't have any character and they know that the dudes are going to cheat on at all most of them you
[00:31:04.680 --> 00:31:08.760]   know what i'm saying like then the women who are going after these dudes there's got to be something
[00:31:08.760 --> 00:31:13.560]   wrong with them like bad intentions like what we go back to so the stereotype that some of these girls
[00:31:13.560 --> 00:31:20.040]   are like called the names that they're called do you think that there's any validity to that if
[00:31:20.040 --> 00:31:25.320]   the stereotype really is that athletes are dumb and we're not good dudes and we're going to cheat on
[00:31:25.320 --> 00:31:30.440]   the girls that we're with like so what does that say about the girls that are chasing them that's first
[00:31:30.440 --> 00:31:39.560]   of all fantastic point relationships are mirrors i also think too when you meet somebody and you see these
[00:31:39.560 --> 00:31:47.240]   glimpses of hope like okay maybe there is more to them maybe they are different maybe i'm different
[00:31:47.240 --> 00:31:51.560]   maybe he was doing all these things because it wasn't the right fit
[00:31:51.560 --> 00:31:59.000]   and then you come to find out that well the best prediction for future behavior is past behavior it's
[00:31:59.000 --> 00:32:06.040]   not that anybody can't change it's do they want to so i think that's where you ask yourself you know
[00:32:06.040 --> 00:32:10.840]   i think now it's like how am i vibrational match to this person but i think that's a very fair point
[00:32:10.840 --> 00:32:16.760]   it's like what what is each person mirroring the back because it's kind of like the perfect storm
[00:32:16.760 --> 00:32:23.560]   you're dumb she's smart put them together you know it's like you know it's just so yeah i think it's like
[00:32:23.560 --> 00:32:29.800]   you you do think that it'll be different and maybe that's where you can be a little naive and thinking
[00:32:29.800 --> 00:32:34.600]   well he won't cheat on me because i know that's what i thought i thought oh he has an old soul
[00:32:34.600 --> 00:32:39.160]   like oh maybe these other girls that because they just weren't me like we're i'm a better fit for him
[00:32:39.160 --> 00:32:45.480]   it's gonna be a better relationship and it's the same shit why do you think i think i saw a comment
[00:32:45.480 --> 00:32:51.240]   of you speaking on um the fact that the type of dude you go for i don't know if this was a true quote
[00:32:51.240 --> 00:32:55.720]   or not but the type of guy you would go for will probably cheat on you i feel like i don't know if
[00:32:55.720 --> 00:33:00.760]   that was a true quote oh i didn't say that really well i feel like that's a lot of modern monogamous
[00:33:00.760 --> 00:33:07.000]   so i don't believe okay well a lot of women's like type or the guy that they like they know that
[00:33:07.000 --> 00:33:11.560]   guy like they know that they're they're not going to go for the guy that's going to be amazing to them
[00:33:11.560 --> 00:33:16.680]   never cheat on them be obsessed with them whatever like they got a 10 of those guys right here at their
[00:33:16.680 --> 00:33:21.640]   doorstep but they're going to go for the dude who probably is going to end up doing them doing them
[00:33:21.640 --> 00:33:28.280]   crazy what do you think is the reasoning for that is that just a lack of do you feel like once a woman
[00:33:28.280 --> 00:33:33.000]   reaches a certain age she gets passed out and she really wants the the good guy or why do you think
[00:33:33.000 --> 00:33:37.560]   so many girls go for something they know is it the nurturing aspect of women or what is it please
[00:33:37.560 --> 00:33:49.000]   inform me um i think that sometimes like nice guys finish last like not for sure i'm trying to
[00:33:49.000 --> 00:33:58.280]   figure out why i'm like ew like i want flowers from him not him like i don't know i really don't know i
[00:33:58.280 --> 00:34:03.320]   feel like that it shows where your emotional capacity is at because are you really going to be happy with
[00:34:03.320 --> 00:34:09.960]   somebody who's cheating on you no i better not find out actually but um i think some women
[00:34:09.960 --> 00:34:15.720]   now are okay with that because of what they get out of it i don't understand that i'm very much like
[00:34:16.520 --> 00:34:22.920]   don't let me find out um but yeah i also i'm just like i don't really want the nice like
[00:34:22.920 --> 00:34:29.720]   it's like give me a challenge yeah i don't know no no at one time in my life that's what i thought
[00:34:29.720 --> 00:34:36.360]   yeah where i was like okay ew disgusting like don't this guy i'm just being nice to you thing like if he's
[00:34:36.360 --> 00:34:41.160]   yeah and this was like where i was at a couple years ago i feel like i was just kind of like i'm not into
[00:34:41.160 --> 00:34:48.600]   that um now i just feel like i just really protect my peace and like i said my guy's a unicorn so
[00:34:48.600 --> 00:34:56.280]   i don't know yeah i mean i feel for me that um there's a lot of people that they just have a lot
[00:34:56.280 --> 00:35:01.400]   of unhealed stuff going on and then so you're not going to attract what you want you're going to attract
[00:35:01.400 --> 00:35:07.720]   what you are so um i think the issue with that um speaking from experience because i mean i've made
[00:35:07.720 --> 00:35:15.240]   every mistake and i'm gonna probably make more tomorrow but um our self-esteem is in the dirt
[00:35:15.240 --> 00:35:22.520]   like you know i it's like we want that again whatever is familiar more again like your childhood
[00:35:22.520 --> 00:35:29.320]   like what if you're used to seeking validation or perfectionism or um i'm jumping through hoops
[00:35:29.320 --> 00:35:35.320]   that was something for me it was like i have to perform to be loved right so the unavailable guy
[00:35:35.320 --> 00:35:43.000]   emotionally was intriguing to me but when you start to understand where these root like where these wounds
[00:35:43.000 --> 00:35:48.760]   are rooted in and you can heal it you're not attracted to mr bare minimum that texts you you know
[00:35:48.760 --> 00:35:55.320]   what i mean so i think it's um you have to pick your self-esteem out of the ground off the dirt put
[00:35:55.320 --> 00:36:00.680]   it put your crown on figure it out get to the root of what you have going on because i feel like for me
[00:36:00.680 --> 00:36:08.520]   i've dated regular guys in recent years and not so regular guys it's like i want the guy who's going
[00:36:08.520 --> 00:36:13.560]   to roll out the red carpet to the magic carpet i don't care if that's mr regular regular yeah or if it's
[00:36:13.560 --> 00:36:19.800]   mr i play basketball or football or like whatever it's but it's i think for me again when you
[00:36:19.800 --> 00:36:24.920]   continuously choose yourself your outer world has to reflect what's going on internally so i think
[00:36:24.920 --> 00:36:31.000]   people whether that's the guy who's talking to himself in his in your dms or the girl who's chasing
[00:36:31.000 --> 00:36:36.120]   the guy that doesn't really want her just you know um you got to kind of look at like
[00:36:37.400 --> 00:36:46.120]   how where are we a match and why and do i like this yeah i feel that my last relationship question
[00:36:46.120 --> 00:36:51.720]   like where do you feel like um it gets to the point in the relationship where it's just like if it gets
[00:36:51.720 --> 00:36:56.840]   to that point you it's no longer good like do you feel like if you're checking each other's phones you
[00:36:56.840 --> 00:37:01.560]   have each other's instagram passwords you have your location like you feel like it's it's time to call
[00:37:01.560 --> 00:37:05.240]   it quits or do you feel like because i'm sure you guys have been in situations where you've tried to
[00:37:05.240 --> 00:37:09.240]   make it work not only for the sake of the relationship for the sake of the kids so like
[00:37:09.240 --> 00:37:15.400]   when does it get to a point where it's like this needs to be over with when you have to have somebody's
[00:37:15.400 --> 00:37:19.720]   location or you have to blow them up or i'm starting not to trust the relationship's over
[00:37:19.720 --> 00:37:24.680]   it's over like there's no point in doing that why do i need to go through i don't want to go through
[00:37:24.680 --> 00:37:30.840]   your instagram yeah like i should trust you yeah i feel like if if that's a thought then you already
[00:37:30.840 --> 00:37:38.920]   have your answer so it's just you know again like when it i feel like too when you start to get too
[00:37:38.920 --> 00:37:43.720]   attached in that way to the outcome i feel like you're already starting to lose the plot and the
[00:37:43.720 --> 00:37:49.720]   point it's like you're you're so obsessed with this relationship working that you're missing all of these
[00:37:49.720 --> 00:37:54.040]   red flags that are on fire you know whether it's the phone whether it's just a lack of trust
[00:37:55.080 --> 00:37:59.400]   but i think it all still comes back to this person's mirroring something that you need to work
[00:37:59.400 --> 00:38:07.160]   on within yourself so starting there would be great yeah i have one last question why do you think men
[00:38:07.160 --> 00:38:12.520]   struggle with monogamy so much more than women like do you feel like men are simple because some dudes
[00:38:12.520 --> 00:38:17.960]   really and probably some guys you've been on podcasts with really believed it monogamy is not for men like
[00:38:17.960 --> 00:38:23.240]   men should be able to have multiple girls and it's not natural to lock in with one girl no matter how special
[00:38:23.240 --> 00:38:27.560]   she is because i feel like a lot of women get hurt because they feel like oh this guy cheated on me
[00:38:27.560 --> 00:38:32.520]   so he must not love me i'm not enough and then her self-esteem is is it terrible but like they don't
[00:38:32.520 --> 00:38:37.720]   know that you can love a girl fully like a hundred percent and still cheat on her and it's because you
[00:38:37.720 --> 00:38:42.520]   lack probably self-control you probably use probably what but it's not that you don't love her it's not
[00:38:42.520 --> 00:38:47.560]   that she's not enough so a lot of guys will take that and be like men just aren't supposed to be with one
[00:38:47.560 --> 00:38:55.400]   woman um do you guys agree with that or do you feel like it's a lack of self-control or why do you feel
[00:38:55.400 --> 00:39:00.840]   like even if you're the perfect girlfriend you could still get cheated on yeah what are your thoughts about that
[00:39:00.840 --> 00:39:05.880]   i think my question would be before we answer do you believe in monogamy
[00:39:05.880 --> 00:39:12.360]   monogamy um i do i think i do believe in it because i grew up with a mom and dad they're still married
[00:39:12.360 --> 00:39:17.560]   after 30 some years they had eight kids homeschooled all of us um so i grew up seeing that but a lot of
[00:39:17.560 --> 00:39:22.120]   my friends a lot of guys in the nba they don't they don't believe that's like natural for like a man and
[00:39:22.120 --> 00:39:27.560]   i see why like when you have all these options and you you have a wandering eye like it is hard
[00:39:27.560 --> 00:39:32.360]   now it's you get on your phone and it's right if your girl's annoying you making you mad you can just
[00:39:34.040 --> 00:39:41.560]   it's so easy i i personally feel like it's a lack of self-control probably and just um
[00:39:41.560 --> 00:39:47.880]   but if you really are seeking peace in your life and happiness i feel like one woman it will bring
[00:39:47.880 --> 00:39:54.760]   you that more than multiple to me yeah i think i like like they just have so many options and it's so
[00:39:54.760 --> 00:40:01.480]   easy and i feel like women too we kind of did ourselves some women did our like i mean as a collective
[00:40:01.480 --> 00:40:07.960]   did us a disgrace because here you are accepting and willingly being that side or whatever it is
[00:40:07.960 --> 00:40:14.040]   and making it so easy that you ruin it for everybody yeah especially nowadays because girls have gotten in
[00:40:14.040 --> 00:40:17.800]   that mentality of they're they're trying to be dogs yeah and they think it's like it's something to be
[00:40:17.800 --> 00:40:24.440]   proud of it's disgusting like oh i got this dude's i got this dude wants me disgusting yeah there was a
[00:40:24.440 --> 00:40:34.680]   point in time it uh the women before us they they had no rights it was to be seen not heard yeah this
[00:40:34.680 --> 00:40:40.840]   is the most freedom we as women have had collectively in just career invisibility and using our voices and
[00:40:40.840 --> 00:40:49.400]   being in prominent spaces so i feel like at one point in time uh the dad would go trade his daughter for
[00:40:49.400 --> 00:40:55.240]   three cows so it's like how far back are we going because we can compare monogamy to it's not natural
[00:40:55.240 --> 00:41:01.320]   because animals don't do it there are several animals especially birds and birds can fly anywhere
[00:41:01.320 --> 00:41:07.160]   there are monogamous so if the bird can fly anywhere in the world why would they leave with just one bird
[00:41:07.160 --> 00:41:13.080]   i didn't even know that was a fact ravens are monogamous eagles are monogamous vultures are monogamous
[00:41:13.080 --> 00:41:17.480]   that's why i'm like there's a lot of birds and just in general i love birds but um that are
[00:41:17.480 --> 00:41:25.720]   monogamous so my thing is is like i think it's more disgusting for a woman to be like that no i think
[00:41:25.720 --> 00:41:32.120]   at the end of the day that people are a vibrational match this is a game that we are in this is a feedback
[00:41:32.120 --> 00:41:38.840]   system okay well let me let me rephrase that if a man a man can completely love a woman and still
[00:41:38.840 --> 00:41:44.280]   i feel like i feel like i need a drink do you feel like that a man can completely love a woman and
[00:41:44.280 --> 00:41:49.960]   still cheat do you agree with that or no he doesn't love you fully you don't love yourself yeah period
[00:41:49.960 --> 00:41:55.720]   it's not about this woman isn't enough she's not popping pussy in a handstand you as a man there is
[00:41:55.720 --> 00:42:03.160]   something lacking within you because at the end of the day like the deeper the bond and the commitment
[00:42:03.160 --> 00:42:08.440]   everything is heightened in it from conversation to sex that everybody's so their panties in a
[00:42:08.440 --> 00:42:14.120]   bunch about like everything is better when you have like that best friend like we go to the movies and
[00:42:14.120 --> 00:42:20.040]   it's just amazing because this is my is my friend like the deeper the bond the the further you really
[00:42:20.040 --> 00:42:24.600]   go you know what i mean you're going being able to go to the bottom of the ocean floor is what life is
[00:42:24.600 --> 00:42:30.280]   all about what you're speaking facts so it's like that's why it's like one of the other it's just
[00:42:30.280 --> 00:42:37.080]   like what what reality do you want to experience whatever that answer is just be sure that you're
[00:42:37.080 --> 00:42:43.000]   okay with accepting whatever comes behind it if you want to go out and and a hundred guys in a week
[00:42:43.000 --> 00:42:47.880]   just be sure you can take on whatever repercussions come with that spiritually emotionally physically
[00:42:47.880 --> 00:42:53.960]   mentally just my biggest thing is not go 100 guys in a week and it's not wait until you're married
[00:42:53.960 --> 00:42:59.720]   it's whatever you do you just make sure you stand on that and you accept whatever comes behind it
[00:42:59.720 --> 00:43:04.520]   and be proud of what be proud of the things that you do that's really where i stand with that so i don't
[00:43:04.520 --> 00:43:11.000]   like compare one of the other it's what do people want to experience it's not even wrong it's what do you
[00:43:11.000 --> 00:43:16.040]   want to experience what do you want to experience in this life there's a buffet have whatever you want
[00:43:16.040 --> 00:43:21.720]   just accept if you get sick from the crab legs that's on you i agree with that so that leads me
[00:43:21.720 --> 00:43:29.560]   to my next question i want to transition to you obviously have um you're you're muslim now and i
[00:43:29.560 --> 00:43:34.200]   want to talk about the transition to that what led you to that point and what led you to be so dedicated
[00:43:34.200 --> 00:43:42.840]   in that space what were you before you were muslim spiritual just spiritual and i'm right back right
[00:43:42.840 --> 00:43:51.560]   there oh it's not that i'm not muslim it's that i was in a rebuilding purification process of my life
[00:43:51.560 --> 00:43:56.600]   and when you completely demolish a house you have to have some type of blueprint right you're not just
[00:43:56.600 --> 00:44:02.280]   going to just start putting up pillars and there has to be a map islam was the only thing that only
[00:44:02.280 --> 00:44:08.120]   religion i've ever been drawn to i don't like rules and my background is very spiritual so i go from
[00:44:08.120 --> 00:44:15.080]   pacific ocean to a religion puddle that's any religion this is not an attack on islam because
[00:44:15.080 --> 00:44:23.240]   it's all the religions are beautiful in their own way um you don't need religion let me say this hold on
[00:44:27.240 --> 00:44:33.400]   um i don't feel like i don't feel like talking about this like people expect it to be worded
[00:44:33.400 --> 00:44:39.240]   perfectly i know it but the thing is is that i have not talked about it since i took my hijab off
[00:44:39.240 --> 00:44:44.760]   and there are plenty of born muslims who are not in hijab there are plenty of muslims billions there are
[00:44:44.760 --> 00:44:48.280]   two billion muslims in the world i'm sure there's hundreds of thousands that are not in hijab especially
[00:44:48.280 --> 00:44:58.360]   in the west um i think religion is a tool just like numerology and just like astrology it was a tool
[00:44:58.360 --> 00:45:05.080]   that i used to really build a solid foundation where i went from far left to far right and now i'm in a
[00:45:05.080 --> 00:45:14.920]   place of harmonization so i think for me um what inspired me was that my soul was very tired um you again
[00:45:15.880 --> 00:45:22.120]   i can see i see god when i'm when i see the sunset i see god when i look at the ocean i see god when i
[00:45:22.120 --> 00:45:28.040]   just am outside in the grass and it's like you don't need specifically religion to have a relationship
[00:45:28.040 --> 00:45:32.760]   with god but i think when you don't know where to turn and you don't have a foundation like i didn't
[00:45:32.760 --> 00:45:40.760]   grow up religious i grew up raising my grandparents unruly making my own rules so i think for me i i went
[00:45:40.760 --> 00:45:46.520]   back to the basics learned about the foundation and was like okay i'm gonna eat the meat spit
[00:45:46.520 --> 00:45:52.760]   the bones and this is where i'm at for religions like islam or christianity that say like you know
[00:45:52.760 --> 00:45:59.000]   this is the way to god they're they're not they're pretty firm on like you know there's not multiple
[00:45:59.000 --> 00:46:04.120]   routes there's not multiple ways to god they all have their own truth and yeah that's the route i feel
[00:46:04.120 --> 00:46:10.600]   like islam is similar to christianity in that way so how do you how do you like put that together with
[00:46:10.600 --> 00:46:16.040]   like people that are just spiritual and they seek god in this way i see god in that way because i feel
[00:46:16.040 --> 00:46:22.520]   like in religion they will all say like this is the one way to god like in islam i don't know the
[00:46:22.520 --> 00:46:28.200]   specifics of the religion but aren't there all these like qualifications you have to do to reach god and
[00:46:28.200 --> 00:46:33.960]   and and the the yeah so what do you think about that because there are people out there that believe
[00:46:33.960 --> 00:46:37.160]   that you can just anybody can reach god in any different route and then there's people that
[00:46:37.160 --> 00:46:42.200]   believe that this is the one way um now that you've experienced kind of both sides of that you
[00:46:42.200 --> 00:46:48.760]   where do you stand with what just like seeking god like can is it through a religion you don't view
[00:46:48.760 --> 00:46:54.120]   it as through a religion anymore correct i think different people need different things and i do not
[00:46:54.120 --> 00:47:01.720]   judge how people learn because for me like i said i went from pacific ocean to a religious puddle i think
[00:47:01.720 --> 00:47:08.440]   spirituality is very broad and i think you understand when you are able to like the bigger picture is
[00:47:08.440 --> 00:47:15.800]   frameless right so it's kind of like why would i say unless i'm in a cult that there's only one way
[00:47:15.800 --> 00:47:22.360]   to something because us having to all think the same that is the beginning of a dictatorship that's the
[00:47:22.360 --> 00:47:26.280]   beginning of a cult that is a lot of things that to me that just don't align with where i'm at
[00:47:26.280 --> 00:47:35.480]   um so i believe personally after just experience i i mean i went full in like there are people who are
[00:47:35.480 --> 00:47:41.240]   born muslim who are still not in hijab today the second two days three days before i took my shahada
[00:47:41.240 --> 00:47:48.200]   i was in hijab before i even took my shahada so i just feel like there are different things that people
[00:47:48.200 --> 00:47:53.240]   need throughout their journey and i feel like even when i had the hijab on it was like an invisibility
[00:47:53.240 --> 00:48:00.040]   cloak like nobody could see me so that was a layer of protection that when i was rebuilding myself from
[00:48:00.040 --> 00:48:06.840]   the dirt that i needed so it's just like i think different people need different stuff and to say that
[00:48:06.840 --> 00:48:12.760]   one way is it i think is incredibly irresponsible and just foolish so it's like there are plenty
[00:48:12.760 --> 00:48:18.360]   of people who tell me all the time who write me that i'm see you in hell sister like well you'll be
[00:48:18.360 --> 00:48:24.440]   right there with me babe like you know so i just feel like you know um i think you can implement all
[00:48:24.440 --> 00:48:29.880]   things um just because i'm not in hijab i'm still muslim in my heart just as much as i love astrology
[00:48:29.880 --> 00:48:35.400]   just as much so i love numerology just as much as probably back in 1876 i was considered a witch and
[00:48:35.400 --> 00:48:42.040]   burned at the stake i'm all of those things i don't have to like get discount one part you know of
[00:48:42.040 --> 00:48:48.680]   myself because this is who i am i feel that for a lot of christians i've experienced and i see that if
[00:48:48.680 --> 00:48:53.400]   you're a christian and you're not practicing it perfectly in their eyes it's the people that are
[00:48:53.400 --> 00:48:59.000]   supposed to lift you up and pray for you that end up tearing you down yeah and your experience if you
[00:48:59.000 --> 00:49:04.600]   aren't practicing perfectly how they want to like you said you receive comments have you have you
[00:49:04.600 --> 00:49:09.320]   experienced that it's from those same people that should be like lifting you up that are tearing you
[00:49:09.320 --> 00:49:14.680]   down the most yes i feel like that's a big problem in christianity that leads people away from even
[00:49:14.680 --> 00:49:19.000]   wanting to mess with it because it's the christian people that are the most judgmental the most
[00:49:19.000 --> 00:49:25.800]   hypocritical the most um pointing the finger and it draws people away even though that's not god doing
[00:49:25.800 --> 00:49:29.720]   that that's that's flawed people doing that but is it this have you experienced the same thing well of
[00:49:29.720 --> 00:49:36.760]   course um i feel like some of the nastiest comments were from people who i go to their page and you're
[00:49:36.760 --> 00:49:45.640]   muslim i think you would have to really sit back and wonder if this religion is so effective and there's
[00:49:45.640 --> 00:49:53.080]   only one way to to i guess be right in the eyes of god then all these people who are practicing how are
[00:49:53.080 --> 00:49:59.240]   and how and why are they missing the mark is there something in the curriculum is it just the lack of
[00:49:59.240 --> 00:50:04.920]   comprehension like where where are we not aligning here because if it's such a beautiful religion well
[00:50:04.920 --> 00:50:11.560]   then we shouldn't breed beautiful people of beautiful understanding right so then now it's like okay well it's
[00:50:11.560 --> 00:50:20.360]   clear to me that irony is truly spectacular and um i don't need a religion to be a good person i don't
[00:50:20.360 --> 00:50:26.360]   need any religion to smile at somebody on the street i don't need a religion to do good and be good
[00:50:26.360 --> 00:50:32.520]   you know i understand there is a creator that'd be foolish to think we're just running amok here just
[00:50:33.080 --> 00:50:40.840]   unsupervised you know but um i think it makes me wonder i question all religions if if the people
[00:50:40.840 --> 00:50:47.080]   in it are the most judgmental something isn't right in the water i think that too that's what i think a
[00:50:47.080 --> 00:50:51.960]   lot about about about about christianity a lot as well like if you if you are hearing from god if you have
[00:50:51.960 --> 00:50:58.200]   the holy spirit if you then then why is it not being shown in the way you live your life sometimes in the
[00:50:58.200 --> 00:51:03.480]   way you relate to people i think about that all the time and i also feel from even going to the mosques
[00:51:03.480 --> 00:51:12.200]   and i have seen and experienced myself any man who's like a kind of like a preacher who tried to have sex
[00:51:12.200 --> 00:51:20.200]   with me so it's like the people who are in these positions who should be the most devout leaders in
[00:51:20.200 --> 00:51:29.640]   that community quite contradicting here i am months into my journey telling you no but you are leading
[00:51:29.640 --> 00:51:36.120]   the moths that's that's that's the toughest thing for me so it's the people that are supposed to be in
[00:51:36.120 --> 00:51:43.560]   the word the most be praying the most be the closest to god that fall and shorten or while and out on the
[00:51:43.560 --> 00:51:49.480]   side and then they get exposed for i i've there's been theologians who have been exposed and i always
[00:51:49.480 --> 00:51:55.800]   question like how if you're the most you know educated on the bible you're speaking to god the
[00:51:55.800 --> 00:52:01.560]   most you're leading the christian community how are you like it that is something that is tough for me
[00:52:01.560 --> 00:52:09.480]   as well but i want to add to that is that even in that experience my empathy for him deepens because
[00:52:09.480 --> 00:52:15.560]   i think sometimes people wear religion and i can even speak from my experience too i think it is something
[00:52:15.560 --> 00:52:25.880]   that when i joined islam i felt like it was purifying me i felt better and more it it is like
[00:52:25.880 --> 00:52:31.480]   sometimes people cloak themselves with religion to have the appearance of being good because when i'm in
[00:52:31.480 --> 00:52:36.680]   full hijab or i'm in a niqab people automatically assume they don't know what's under here they don't
[00:52:36.680 --> 00:52:42.440]   know what's going on they're assuming i'm good so i'm benefiting from what religion brings that like that
[00:52:42.440 --> 00:52:53.720]   stereotype um but with even the imam it's so extreme that there's no room for humanity like there's no
[00:52:53.720 --> 00:52:58.840]   room for him to be a human like if i was in a different place i would have easily like had sex
[00:52:58.840 --> 00:53:02.520]   with him you know what i mean like what do you mean duh i would have you in the next week but it
[00:53:02.520 --> 00:53:07.640]   just where i was at it just wasn't it just wasn't where it was at that time i'm purifying you know
[00:53:07.640 --> 00:53:14.520]   but i think that's what actually made me feel for him because you know he hadn't experienced life he
[00:53:14.520 --> 00:53:20.760]   was married for a long time had eight seven eight kids and was with one woman and then here you are like
[00:53:20.760 --> 00:53:29.480]   you're divorced now how do you date so my empathy deepened for him because i'm like you that's what you
[00:53:29.480 --> 00:53:37.640]   you want to try the buffet of life and you just are like but that's not you know i feel like that's
[00:53:37.640 --> 00:53:42.920]   an amazing place to get to when people either wrong you or they're just bad people in life instead of
[00:53:42.920 --> 00:53:48.120]   judging having empathy like that shows where you're at in your life and that's really remarkable to me
[00:53:48.120 --> 00:53:56.680]   um what about you where are you at in your walk with everything i mean i was baptized so i was i
[00:53:56.680 --> 00:54:02.840]   was raised like catholic like we my parents and family did we went to catholic church but as i gotten
[00:54:02.840 --> 00:54:11.560]   older um i found myself on the christian side of things like i'm a christian um but
[00:54:12.200 --> 00:54:19.720]   uh to piggyback off what you said too it's like i know in my heart and i feel like um where i'm at
[00:54:19.720 --> 00:54:26.840]   i'm i don't go to church like every week or i'm not doing the things that we're technically supposed
[00:54:26.840 --> 00:54:33.640]   to be doing like we all sin differently i feel like but like in my heart like i believe in god i try not
[00:54:33.640 --> 00:54:40.200]   to just like it's like my guideline that keeps me center to myself like i want a man who also
[00:54:40.200 --> 00:54:45.240]   believes in god and can when he's messing up or something's going on he looks at himself and is like
[00:54:45.240 --> 00:54:49.720]   how am i gonna make how how would god what would god tell me to do right now yeah like i want that
[00:54:49.720 --> 00:54:54.360]   to like set real him in yeah you know and it's like not like you have to go to church all that we
[00:54:54.360 --> 00:54:59.560]   have to do all these things but it's like it has to center your life yeah being known that there's
[00:54:59.560 --> 00:55:06.360]   someone over this whole thing like watching and and that's that's that's a good thing i also just
[00:55:06.360 --> 00:55:15.480]   think religion too it's a guideline it's not a law book so agree my last question for y'all is y'all are
[00:55:15.480 --> 00:55:23.400]   both obviously have your own things going on you know never needed a dude whatever talk about talk about
[00:55:23.400 --> 00:55:30.040]   a little bit about um the i i feel like you you have businesses going on correct and i don't know
[00:55:30.040 --> 00:55:34.280]   what you got going on but what's what y'all got going on like day to day like what's y'all's lives
[00:55:34.280 --> 00:55:38.760]   look like how are you how are you making a crack is it is it mostly social media for you i've heard you
[00:55:38.760 --> 00:55:45.320]   have some businesses as well i mean i'm i'm day to day i'm moment to moment social social media has
[00:55:45.320 --> 00:55:51.000]   changed a lot the way that i've made my money has changed um i think you know companies have smartened
[00:55:51.000 --> 00:55:56.440]   up too and and then it's also the over saturation of a girl will take free clothes over money who's
[00:55:56.440 --> 00:56:03.560]   still you know so uh yeah i'm i'm figuring it out really i don't yeah i mean i think it's like as an
[00:56:03.560 --> 00:56:08.360]   entrepreneur and being on social media for 13 years it's like it just changed a lot so you got to adjust
