
[00:00:00.320 --> 00:00:08.540]   I recently stumbled across a fascinating 2024 essay written by a Norwegian psychology professor.
[00:25:09.480 --> 00:25:10.480]   I'm checking it.
[00:25:10.480 --> 00:25:12.480]   When it's plugged in somewhere, you can't do that.
[00:25:12.480 --> 00:25:16.480]   And once you've gone just three or four days without doing that, you still have all the advantages of it.
[00:25:16.480 --> 00:25:17.480]   I can look stuff up or whatever.
[00:25:17.480 --> 00:25:19.480]   Listen to podcasts when I'm doing my dishes.
[00:25:19.480 --> 00:25:26.480]   But when it's not there to check when you're bored, your brain adapts so quickly and says, okay, that's not what happens when we're bored anymore.
[00:25:26.480 --> 00:25:27.480]   That impulse goes away.
[00:25:27.480 --> 00:25:30.480]   Your concentration ability, it jumps up.
[00:25:30.480 --> 00:25:33.480]   That's a hard one, but it's a critical one.
[00:25:33.480 --> 00:25:35.480]   By the way, it's what I've been recommending.
[00:25:35.480 --> 00:25:39.480]   I've been writing a bunch of talks because it's back to school talks about kids and phones, right?
[00:25:39.480 --> 00:25:41.480]   What's the right thing to do with kids with phones?
[00:25:41.480 --> 00:25:43.480]   And I have my standard rules.
[00:25:43.480 --> 00:25:46.480]   A restricted smartphone should be when you get to high school.
[00:25:46.480 --> 00:25:50.480]   Unrestricted smartphone that might have social media or other apps should be when you're 16.
[00:25:50.480 --> 00:25:56.480]   But until you leave the house to go to college, your phone's in the kitchen when you're home.
[00:25:56.480 --> 00:25:57.480]   It's not your property.
[00:25:57.480 --> 00:26:00.480]   I'm loaning you a phone the family's paying for.
[00:26:00.480 --> 00:26:02.480]   You can use it when you need to coordinate with your friends or whatever.
[00:26:02.480 --> 00:26:03.480]   You don't bring it up to your room.
[00:26:03.480 --> 00:26:07.480]   You don't get to sit there and look at it while we're watching TV as a family.
[00:26:07.480 --> 00:26:08.480]   You don't get to have it at the table.
[00:26:08.480 --> 00:26:09.480]   This is not your property.
[00:26:09.480 --> 00:26:12.480]   I checked a declaration of independence.
[00:26:12.480 --> 00:26:14.480]   There is no mention of WhatsApp access in there.
[00:26:14.480 --> 00:26:15.480]   I'm sorry.
[00:26:15.480 --> 00:26:17.480]   It sits here at home when you're here.
[00:26:17.480 --> 00:26:24.480]   The greatest gift you could give to a teenager at home because they are stepping out of the post-detention society.
[00:26:24.480 --> 00:26:25.480]   And what's the effect?
[00:26:25.480 --> 00:26:27.480]   You just gave them IQ pills.
[00:26:27.480 --> 00:26:34.480]   This is as effective as hiring an expensive tutor in terms of the overall impact on their academic performance in high school and college and beyond.
[00:26:34.480 --> 00:26:35.480]   It's the greatest gift you can give.
[00:26:35.480 --> 00:26:37.480]   So keep your phone in the kitchen.
[00:26:37.480 --> 00:26:38.480]   Keep your kid's phone in the kitchen.
[00:26:38.480 --> 00:26:43.480]   And if your kid is not in high school, take the phone back because they really shouldn't have it yet.
[00:26:43.480 --> 00:26:45.480]   Number four, train your attention.
[00:26:45.480 --> 00:26:46.480]   Do this daily.
[00:26:46.480 --> 00:26:51.480]   There's two main techniques I talk about for actually trying to improve your attention.
[00:26:51.480 --> 00:26:54.480]   Both of these come out of my book, Deep Work, from 2016.
[00:26:54.480 --> 00:26:56.480]   So yes, I've been beating on this drum for a while now.
[00:26:56.480 --> 00:27:10.480]   Number one is these Roosevelt dashes named for Teddy Roosevelt, who used to have this habit, especially even as a college kid and beyond as well, where he would do work in short but ultra intense bursts where he would give it his absolute complete attention.
[00:27:10.480 --> 00:27:15.480]   The amount of work he could get done doing this was monumental.
[00:27:15.480 --> 00:27:17.480]   He would read a book a day.
[00:27:17.480 --> 00:27:18.480]   It was crazy.
[00:27:18.480 --> 00:27:20.480]   Go look at Teddy Roosevelt and concentration is crazy.
[00:27:20.480 --> 00:27:23.480]   But those Roosevelt dashes are actually a great training mechanism.
[00:27:23.480 --> 00:27:25.480]   And you should do it with a timer and you should start with 10 minutes.
[00:27:25.480 --> 00:27:27.480]   And you take something hard that you want to do.
[00:27:27.480 --> 00:27:32.480]   It could be doing a crossword puzzle or trying to figure out a new complicated concept for work or school.
[00:27:32.480 --> 00:27:38.480]   You set the timer and you start it and you just you focus as hard as you can for that short amount of time.
[00:27:38.480 --> 00:27:41.480]   And you really try to bear in like really hard.
[00:27:41.480 --> 00:27:43.480]   Your brain wanders like bring it right back.
[00:27:43.480 --> 00:27:45.480]   And you do that and it's really hard.
[00:27:45.480 --> 00:27:48.480]   But you do that hard thing until it's not hard and then you add five more minutes.
[00:27:48.480 --> 00:27:50.480]   So it's just like doing interval training with running.
[00:27:50.480 --> 00:27:56.480]   And the amount of distance you can sprint gets longer and longer as you keep pushing yourself this way.
[00:27:56.480 --> 00:28:02.480]   The other way I've been talking about for a decade now to train your attention is you go for walks without anything in your ear and nothing in your pocket.
[00:28:02.480 --> 00:28:04.480]   It's just you, your thoughts, and the world around you.
[00:28:04.480 --> 00:28:10.480]   You just practice being out there in the world with nothing but yourself to keep you company.
[00:28:10.480 --> 00:28:12.480]   You get used to your own mind.
[00:28:12.480 --> 00:28:20.480]   Now the bonus you add to this is you can maybe give yourself a particular problem you want to try to work on in your mind while you walk.
[00:28:20.480 --> 00:28:22.480]   I call this productive meditation.
[00:28:22.480 --> 00:28:29.480]   And now you're really starting to play with things like working memory and the ability to sustain stable state things in working memory.
[00:28:29.480 --> 00:28:33.480]   I have to put this thing here while I think about this and then bring this back again into the problem.
[00:28:33.480 --> 00:28:42.480]   It's calisthenics for your ability to pay attention to your mind's eye to aim your mind's eye in a way that is focused and to do so with sustained attention.
[00:28:42.480 --> 00:28:43.480]   So you can train your attention.
[00:28:43.480 --> 00:28:45.480]   So quit apps where people make money off you.
[00:28:45.480 --> 00:28:46.480]   You don't have to be on these things.
[00:28:46.480 --> 00:28:47.480]   Stop telling yourself you do.
[00:28:47.480 --> 00:28:49.480]   It's kind of embarrassing to be on TikTok.
[00:28:49.480 --> 00:28:52.480]   It's no longer kind of a cool trend that we're joking about.
[00:28:52.480 --> 00:28:53.480]   There's no ha-ha.
[00:28:53.480 --> 00:28:54.480]   Just get off TikTok.
[00:28:54.480 --> 00:28:55.480]   Come on, let's be serious.
[00:28:55.480 --> 00:28:57.480]   The apps you do have to use, join the attention resistance.
[00:28:57.480 --> 00:29:02.480]   Put technology tools around it so like the addictive features are turned off and it's sort of like a middle finger to those companies.
[00:29:02.480 --> 00:29:03.480]   It's fun.
[00:29:03.480 --> 00:29:04.480]   Keep your phone in the kitchen.
[00:29:04.480 --> 00:29:06.480]   Your kid's phone in the kitchen too when you're home.
[00:29:06.480 --> 00:29:08.480]   Hard but critical.
[00:29:08.480 --> 00:29:09.480]   Trust me.
[00:29:09.480 --> 00:29:11.480]   Four days, your life will be different.
[00:29:11.480 --> 00:29:12.480]   And actually actively train your attention.
[00:29:12.480 --> 00:29:13.480]   All right.
[00:29:13.480 --> 00:29:14.480]   Those are my takeaways.
[00:29:14.480 --> 00:29:22.480]   Now, my bonus takeaway would be read more books because we're in a post-literate society, so that'll slowly help your brain maybe operate better.
[00:29:22.480 --> 00:29:23.480]   But these are the things.
[00:29:23.480 --> 00:29:25.480]   The attention is the thing where you have control over.
[00:29:25.480 --> 00:29:27.480]   You read more books, your brain will get smarter.
[00:29:27.480 --> 00:29:30.480]   But still, society around you is kind of dumb because no one's really reading.
[00:29:30.480 --> 00:29:33.480]   But the attention thing, man, you can get real results fast.
[00:29:33.480 --> 00:29:35.480]   Real results fast.
[00:29:35.480 --> 00:29:39.480]   You will find yourself in a matter of months feeling smarter.
[00:29:39.480 --> 00:29:45.480]   So I don't love the reverse Flynn effect, but there is an advantage there for those of us who know why it's coming.
[00:29:45.480 --> 00:29:52.480]   The technology plays a big role because we can reverse the reverse Flynn effect and then a reverse of the reverse.
[00:29:52.480 --> 00:29:54.480]   I guess we're back to the original Flynn effect.
[00:29:54.480 --> 00:29:55.480]   Is that how that works?
[00:29:55.480 --> 00:29:56.480]   It's like a double negative.
[00:29:56.480 --> 00:30:00.480]   That's the type of wisdom we offer here on this show.
[00:30:00.480 --> 00:30:05.480]   So look, all the focus ability in the world will only do you so good if your circuits.
[00:30:05.480 --> 00:30:06.480]   Oh, if your circuits are dull.
[00:30:06.480 --> 00:30:07.480]   Okay, never mind.
[00:30:07.480 --> 00:30:10.480]   I was going to say I had a really clever phrase there, but I'm going to take it.
[00:30:10.480 --> 00:30:12.480]   I messed it up.
[00:30:12.480 --> 00:30:14.480]   I think I've been using my phone too much.
[00:30:14.480 --> 00:30:15.480]   It's all good.
[00:30:15.480 --> 00:30:16.480]   It's all good.
[00:30:16.480 --> 00:30:20.480]   So I like your clarification for the quit apps that make money off your attention.
[00:30:20.480 --> 00:30:23.480]   So that wouldn't necessarily apply to like the New York Times app, right?
[00:30:23.480 --> 00:30:24.480]   No.
[00:30:24.480 --> 00:30:25.480]   Because you pay like a monthly subscription.
[00:30:25.480 --> 00:30:26.480]   You pay monthly subscription.
[00:30:26.480 --> 00:30:27.480]   Yeah, yeah.
[00:30:27.480 --> 00:30:28.480]   So you got to get into the economics.
[00:30:28.480 --> 00:30:30.480]   So the New York Times, I mean, they want you to like the app.
[00:30:30.480 --> 00:30:31.480]   Yeah.
[00:30:31.480 --> 00:30:32.480]   Right.
[00:30:32.480 --> 00:30:33.480]   So that's why they have games and other stuff in there.
[00:30:33.480 --> 00:30:40.480]   So that you, when you come up and see your, your credit card statement, you're like, oh, do I still want to pay this much for the New York Times?
[00:30:40.480 --> 00:30:42.480]   Like, no, I like, I like the New York Times.
[00:30:42.480 --> 00:30:43.480]   Right.
[00:30:43.480 --> 00:30:44.480]   But they don't care in a given day.
[00:30:44.480 --> 00:30:46.480]   They don't make more money necessarily.
[00:30:46.480 --> 00:30:52.480]   I mean, they have ads, but really like their goal is for you to love the app, not to keep you on there as much as possible.
[00:30:52.480 --> 00:31:00.480]   The apps that need to keep you on there as much as possible, you know it because they suffer from, like we talked about in an earlier episode, that Cory Dock trial and shitification.
[00:31:00.480 --> 00:31:04.480]   That like, if that's how they make money, the apps over time get worse and worse.
[00:31:04.480 --> 00:31:11.480]   Like the experience actually gets worse because they're trying to like exploit and keep you on there and exploit every last ounce of your attention.
[00:31:11.480 --> 00:31:15.480]   Streaming services are also in that similar situation.
[00:31:15.480 --> 00:31:25.480]   Like Netflix, they want you to not cancel Netflix, but it doesn't really matter to them if you use it 10 hours today or you use it 30 minutes every day or 30 minutes a week.
[00:31:25.480 --> 00:31:28.480]   It's just they want you to feel like it's important to have it.
[00:31:28.480 --> 00:31:30.480]   So like they don't try to be addictive.
[00:31:30.480 --> 00:31:31.480]   Right.
[00:31:31.480 --> 00:31:32.480]   YouTube wants you to use as much as possible.
[00:31:32.480 --> 00:31:34.480]   TikTok never wants you to put it down.
[00:31:34.480 --> 00:31:37.480]   Instagram doesn't want you to put it down.
[00:31:37.480 --> 00:31:38.480]   X doesn't want you to put it down.
[00:31:38.480 --> 00:31:40.480]   They want you to be on there and stay on there.
[00:31:40.480 --> 00:31:41.480]   So those are the ones I worry about.
[00:31:41.480 --> 00:31:42.480]   Yeah.
[00:31:42.480 --> 00:31:45.480]   I've taken your advice about the phone in the kitchen like years ago.
[00:31:45.480 --> 00:31:52.480]   So the thing that you realize is like, say you go to a hotel or something and it's in your bedside, you know, just cause the room's not big.
[00:31:52.480 --> 00:31:53.480]   You don't check it that much.
[00:31:53.480 --> 00:31:54.480]   Right.
[00:31:54.480 --> 00:31:57.480]   So you've lost, you've lost that instinct when you're at home.
[00:31:57.480 --> 00:31:58.480]   Yeah.
[00:31:58.480 --> 00:31:59.480]   Yeah.
[00:31:59.480 --> 00:32:00.480]   Yeah.
[00:32:00.480 --> 00:32:01.480]   I still keep it away, but.
[00:32:01.480 --> 00:32:02.480]   Yeah.
[00:32:02.480 --> 00:32:03.480]   Yeah.
[00:32:03.480 --> 00:32:04.480]   So there you go.
[00:32:04.480 --> 00:32:05.480]   So it, it, it changes the way you think about it.
[00:32:05.480 --> 00:32:06.480]   Yeah.
[00:32:06.480 --> 00:32:07.480]   It doesn't, it doesn't really take long.
[00:32:07.480 --> 00:32:08.480]   So there you go.
[00:32:08.480 --> 00:32:12.480]   I mean, I talk about attention a lot, but this is like another reason why you should care about it.
[00:32:12.480 --> 00:32:15.480]   It's I'm not interested in just like abstract moralizing.
[00:32:15.480 --> 00:32:19.480]   Attention is good and distraction is the tool of the devil.
[00:32:19.480 --> 00:32:20.480]   I read that whole book.
[00:32:20.480 --> 00:32:27.480]   We talked about Thoreau's acts on the show that was all about the moralization of attention in sort of mainly 18th and 19th century writing.
[00:32:27.480 --> 00:32:30.480]   We don't need the moralized attention here.
[00:32:30.480 --> 00:32:33.480]   I don't want you to be dumber because your life will be better if you're smarter.
[00:32:33.480 --> 00:32:35.480]   So we're getting kind of concrete here.
[00:32:35.480 --> 00:32:36.480]   All right.
[00:32:36.480 --> 00:32:37.480]   So there you are.
[00:32:37.480 --> 00:32:40.480]   We're becoming dumber, but you don't have to be.
[00:32:40.480 --> 00:32:41.480]   All right.
[00:32:41.480 --> 00:32:44.480]   So we've got a good show ahead.
[00:32:44.480 --> 00:32:50.480]   So if you're tuning in, this is your first time tuning in, don't tune out because let me tell you what we still have coming up ahead here.
[00:32:50.480 --> 00:33:08.480]   We've got questions from listeners on issues surrounding trying to live and work deeply in a world that has more and more technological distractions, including a call and a case study where you're going to find out about someone who struggled, was always doing too many projects and made progress on none of them.
[00:33:08.480 --> 00:33:18.480]   Took a very specific piece of advice for my writing and now has succeeded immensely with a single creative project and is being like praise for this album she did.
[00:33:18.480 --> 00:33:19.480]   It's a great story.
[00:33:19.480 --> 00:33:27.480]   And then in the final segment, I want to talk about cell phones in schools because we're back to school season, some interesting dynamics about what's going on there.
[00:33:27.480 --> 00:33:36.480]   So all of this is coming up, but first we're going to do the thing that most people tune into the show to hear, which is a word from our sponsors.
[00:33:36.480 --> 00:33:40.480]   Here's the thing, Jesse, and I'm tired of you doubting me on this.
[00:33:40.480 --> 00:33:42.480]   You doubt me on this all the time.
[00:33:42.480 --> 00:33:43.480]   You need a VPN.
[00:33:43.480 --> 00:33:45.480]   Jesse hates to hear that from me.
[00:33:45.480 --> 00:33:48.480]   He says, I don't need a VPN.
[00:33:48.480 --> 00:33:54.480]   I want people to violate my privacy because this is a, it's a cruel world.
[00:33:54.480 --> 00:33:57.480]   And I, I just, I'm nihilistic, right?
[00:33:57.480 --> 00:33:59.480]   That's Jesse not wanting VPNs.
[00:33:59.480 --> 00:34:00.480]   It's crazy.
[00:34:00.480 --> 00:34:02.480]   The rest of you need a VPN.
[00:34:02.480 --> 00:34:03.480]   Here's why you need a VPN.
[00:34:03.480 --> 00:34:07.480]   When you connect to the internet, your traffic is contained in little bucket bundles called packets.
[00:34:07.480 --> 00:34:17.480]   And the specific information you're sending around the internet might be protected in encryption, but the address, like who is this information going to that's in the plain text.
[00:34:17.480 --> 00:34:22.480]   So anyone who can look at your packets knows what sites and services you're using.
[00:34:22.480 --> 00:34:27.480]   So at home, this means like your internet service provider knows all the sites and services you're using.
[00:34:27.480 --> 00:34:40.480]   If you're at a public place and using the wifi, there's like simple apps you can run on your computer that allows you just to use your radio on the computer to see like what sites and services are people near you accessing.
[00:34:40.480 --> 00:34:43.480]   A VPN protects you from this.
[00:34:43.480 --> 00:34:49.480]   And the way it does this is instead of just directly accessing a site and service, you take the message you want to send to the site and service.
[00:34:49.480 --> 00:34:51.480]   You encrypt the whole thing and you send it to a VPN server.
[00:34:51.480 --> 00:34:55.480]   It unencrypts it and talks to the site and service for you, encrypts the answer and sends it back.
[00:34:55.480 --> 00:34:58.480]   So now what does your internet service provider find out?
[00:34:58.480 --> 00:35:00.480]   It's just that you're talking to a VPN.
[00:35:00.480 --> 00:35:04.480]   What is the guy who's looking at the packets in the coffee shop?
[00:35:04.480 --> 00:35:07.480]   There's a lot of meanings for that, but I mean the technical meaning.
[00:35:07.480 --> 00:35:08.480]   What is he finding out?
[00:35:08.480 --> 00:35:10.480]   Nothing other than you're accessing a VPN.
[00:35:10.480 --> 00:35:13.480]   So that is how you gain back privacy.
[00:35:13.480 --> 00:35:16.480]   The use of the internet without a VPN is like disabling mute on zoom.
[00:35:16.480 --> 00:35:20.480]   Sooner or later, someone is going to learn something about you that you didn't mean to share.
[00:35:20.480 --> 00:35:21.480]   All right, Jesse.
[00:35:21.480 --> 00:35:23.480]   So stop telling me that we don't need VPNs.
[00:35:23.480 --> 00:35:27.480]   If you're going to use a VPN, I suggest you use today's sponsor, which is Express VPN.
[00:35:27.480 --> 00:35:28.480]   It's easy to use.
[00:35:28.480 --> 00:35:33.480]   It works on all your devices and it's rated number one by top tech reviewers like CNET and The Verge.
[00:35:33.480 --> 00:35:35.480]   So what are you waiting for?
[00:35:35.480 --> 00:35:40.480]   Protect your online privacy today by visiting expressvpn.com/deep.
[00:35:40.480 --> 00:35:48.480]   That's e-x-p-r-e-s-s-vpn.com/deep to find out how you can get up to four extra months free.
[00:35:48.480 --> 00:35:52.480]   That's expressvpn.com/deep.
[00:35:52.480 --> 00:35:55.480]   We also want to talk about our friends at Oracle.
[00:35:55.480 --> 00:36:01.480]   In business, they say you can have better, cheaper, or faster, but that you only get a pick two.
[00:36:01.480 --> 00:36:05.480]   What if you could have all three at the same time?
[00:36:05.480 --> 00:36:16.480]   That's exactly what Cohere, Thomson Reuters, and Specialized Bikes have learned because they upgraded to the next generation of the cloud, Oracle Cloud Infrastructure.
[00:36:16.480 --> 00:36:29.480]   OCI is the blazing fast platform for your infrastructure, database, application development, and AI needs where you can run any workload in a high availability, consistently high performance environment and spend less than you would with other clouds.
[00:36:29.480 --> 00:36:30.480]   How is it faster?
[00:36:30.480 --> 00:36:34.480]   OCI block storage gives you more operations per second.
[00:36:34.480 --> 00:36:35.480]   How is it cheaper?
[00:36:35.480 --> 00:36:43.480]   OCI costs up to 50% less for commute, 70% less for storage, and 80% less for networking.
[00:36:43.480 --> 00:36:44.480]   How is it better?
[00:36:44.480 --> 00:36:49.480]   In test after test, OCI customers report lower latency and higher bandwidth versus other clouds.
[00:36:49.480 --> 00:36:54.480]   This is the cloud built for AI and all your biggest workloads.
[00:36:54.480 --> 00:36:58.480]   So right now, with zero commitment, you can try OCI for free.
[00:36:58.480 --> 00:37:02.480]   Head to oracle.com/deepquestions.
[00:37:02.480 --> 00:37:05.480]   That's oracle.com/deepquestions.
[00:37:05.480 --> 00:37:09.480]   All right, Jesse, let's get to some questions of our own.
[00:37:10.480 --> 00:37:12.480]   First question is from Sam.
[00:37:12.480 --> 00:37:19.480]   I'm an executive on the West Coast struggling to reclaim morning hours from meetings as my East Coast colleagues often schedule them.
[00:37:19.480 --> 00:37:23.480]   Do you have any advice on how I can incorporate more deep work hours?
[00:37:23.480 --> 00:37:35.480]   Yeah, it's a tough issue because if you're on the West Coast and you have East Coast colleagues, even if they're trying to wait till their mid-morning or mid-day to schedule meetings, those are still going to fall at the beginning of your day.
[00:37:35.480 --> 00:37:37.480]   And most people don't do that.
[00:37:37.480 --> 00:37:39.480]   They're just used to scheduling meetings whenever.
[00:37:39.480 --> 00:37:40.480]   I'm going to have one at 9:00, right?
[00:37:40.480 --> 00:37:42.480]   That's now a 6:00 a.m. meeting on the West Coast, right?
[00:37:42.480 --> 00:37:47.480]   So it is a big problem that West Coast people who work with East Coasters have.
[00:37:47.480 --> 00:37:49.480]   I have two things to recommend here.
[00:37:49.480 --> 00:37:54.480]   One, start adding some of your own meetings to your calendar.
[00:37:54.480 --> 00:37:59.480]   Meetings with your esteemed colleague, Dr. Deep, PhD.
[00:37:59.480 --> 00:38:03.480]   What I mean by that is just meetings for you to do deep work.
[00:38:03.480 --> 00:38:15.480]   Not every day, you're not going to get away with saying, "Hey, I can't ever meet until like noon East Coast time," but just throw some meetings on your calendar for working on particular projects without disruption.
[00:38:15.480 --> 00:38:26.480]   And then when it comes time to schedule meetings with your East Coast colleagues, use whatever standard meeting scheduling tool that your office or organization uses and just have those meetings with Dr. Deep, PhD show up on there like any other meetings.
[00:38:26.480 --> 00:38:27.480]   It's like, "Yeah, let's meet.
[00:38:27.480 --> 00:38:28.480]   Here's my calendar.
[00:38:28.480 --> 00:38:29.480]   Choose a spot."
[00:38:29.480 --> 00:38:31.480]   And some spots are already taken up.
[00:38:31.480 --> 00:38:36.480]   They don't know that that's a meeting for you to do deep work versus just a meeting with like another client.
[00:38:36.480 --> 00:38:39.480]   And so they find meetings that work in the space that remains.
[00:38:39.480 --> 00:38:42.480]   If your company doesn't use a meeting scheduler, you should.
[00:38:42.480 --> 00:38:43.480]   Like, "Yeah, yeah, go ahead.
[00:38:43.480 --> 00:38:44.480]   Here you go.
[00:38:44.480 --> 00:38:45.480]   Here's my calendar.
[00:38:45.480 --> 00:38:46.480]   Here's a schedule once link.
[00:38:46.480 --> 00:38:47.480]   Just like grab any time that works for you.
[00:38:47.480 --> 00:38:48.480]   Let's make this easy."
[00:38:48.480 --> 00:38:53.480]   And these meetings with Dr. Deep just sort of show up as time that you're not available.
[00:38:53.480 --> 00:38:56.480]   So just put the time aside and see what happens.
[00:38:56.480 --> 00:39:00.480]   It turns out like, "Hey, everything else will work itself out."
[00:39:00.480 --> 00:39:04.480]   You've gone through other periods of your career where you've had projects going on that take up certain times in the morning.
[00:39:04.480 --> 00:39:05.480]   You've had those scheduled around them.
[00:39:05.480 --> 00:39:07.480]   So schedule time for yourself.
[00:39:07.480 --> 00:39:13.480]   The other thing that a lot of West Coast workers have to do that have East Coast headquarters is they have to learn how to do afternoon depth.
[00:39:13.480 --> 00:39:18.480]   That's hard because often your energy is lower in the afternoon.
[00:39:18.480 --> 00:39:22.480]   But the advantage of your afternoon is that the East Coast is logged off.
[00:39:22.480 --> 00:39:25.480]   So it could be, in theory, good time for deep work.
[00:39:25.480 --> 00:39:33.480]   But you're going to have to do a lot more effort to get good deep work out of your afternoon than you would have to do to do good deep work in the morning.
[00:39:33.480 --> 00:39:36.480]   So one of the things you're going to have to do is clear out your cognitive context.
[00:39:36.480 --> 00:39:41.480]   You're going to have to recharge your body and reset your mind to a mode of concentration.
[00:39:41.480 --> 00:39:44.480]   So this is going to mean ritual, ritual, ritual.
[00:39:44.480 --> 00:39:45.480]   You're really going to have to lean into these.
[00:39:45.480 --> 00:39:53.480]   If there's a separate location you can go to to do your afternoon depth, like maybe shut down at your office and then go to another place to do your afternoon deep work, that will help.
[00:39:53.480 --> 00:40:01.480]   If there is a sort of exercise type thing you can do to sort of reset your body and your energy rhythms, that will really help as well.
[00:40:01.480 --> 00:40:08.480]   The sort of two o'clock, like quick workout, hit the bike, and then go straight to deep work in another location.
[00:40:08.480 --> 00:40:10.480]   That will make a difference as well.
[00:40:10.480 --> 00:40:14.480]   Make that location exotic and different so your brain is like, oh, this is a deep workplace.
[00:40:14.480 --> 00:40:15.480]   It's the shed out back at home.
[00:40:15.480 --> 00:40:18.480]   It's the conference room across campus.
[00:40:18.480 --> 00:40:20.480]   It's going to the – I work in the city.
[00:40:20.480 --> 00:40:23.480]   It's going to the museum and working.
[00:40:23.480 --> 00:40:25.480]   There's like a quiet spot at the museum where there's not usually people.
[00:40:25.480 --> 00:40:27.480]   I'm going to sit there with my laptop to do the work.
[00:40:27.480 --> 00:40:30.480]   Make it exotic so your brain thinks of it as different.
[00:40:30.480 --> 00:40:32.480]   Build nice rituals around it.
[00:40:32.480 --> 00:40:35.480]   Hey, here's like a nice drink I have with it.
[00:40:35.480 --> 00:40:42.480]   If you don't drink caffeine, like a non-caffeine drink or like a sort of healthy snack that you like or that there's like a really nice walk you do.
[00:40:42.480 --> 00:40:45.480]   You have to do a lot of work to make afternoon depth work.
[00:40:45.480 --> 00:40:53.480]   But if you're a West Coaster that has to do East Coast schedules, that's really worth it because you could probably get two to three good hours a day if you have the right rituals.
[00:40:53.480 --> 00:40:58.480]   It won't be that hard to schedule because it's past the East Coast offices times.
[00:40:58.480 --> 00:40:59.480]   That's my two recommendations.
[00:40:59.480 --> 00:41:00.480]   All right.
[00:41:00.480 --> 00:41:01.480]   Who do we got?
[00:41:01.480 --> 00:41:03.480]   Next question is from Barbara.
[00:41:03.480 --> 00:41:08.480]   While doing routine tasks, I always have music or short self-help audio clips playing in the background.
[00:41:08.480 --> 00:41:14.480]   Does my habit of filling all quiet moments with media prevent me from being fully present and mentally clear?
[00:41:14.480 --> 00:41:16.480]   I usually flip that around.
[00:41:16.480 --> 00:41:19.480]   It's just the difference between the existential and the universal.
[00:41:19.480 --> 00:41:27.480]   So is it a problem that there exists a lot of moments in which you have background music or content on while you're doing routine tasks?
[00:41:27.480 --> 00:41:28.480]   No.
[00:41:28.480 --> 00:41:37.480]   Would it be a problem if in all such moments you have some sort of background media or content going on?
[00:41:37.480 --> 00:41:38.480]   Yeah, that would be.
[00:41:38.480 --> 00:41:39.480]   The existential is not a problem.
[00:41:39.480 --> 00:41:40.480]   There exist times when you're doing this.
[00:41:40.480 --> 00:41:41.480]   It's not bad in isolation.
[00:41:41.480 --> 00:41:43.480]   The universal is a problem.
[00:41:43.480 --> 00:41:57.480]   If you never have time alone for your own thoughts, then you will sort of lose touch with like yourself and your ability to concentrate and self-reflection as well and just starting to get to know yourself better and having the nervous system calmness of just presence in a situation.
[00:41:57.480 --> 00:42:03.480]   So the right way to think about this, I think, is not reducing background media.
[00:42:03.480 --> 00:42:06.480]   It's adding solitude periods.
[00:42:06.480 --> 00:42:15.480]   So I'm going to just proactively add into my schedule enough times alone with my own thoughts in the world around me that I feel like I'm getting a benefit.
[00:42:15.480 --> 00:42:16.480]   And then I don't have to care about the other times.
[00:42:16.480 --> 00:42:28.480]   If I want to listen to a podcast, if I want to put on music or whatever, like I don't have to self-recriminate because I've added positively enough time for self-reflection that I don't have to worry about what I do in the other times.
[00:42:28.480 --> 00:42:36.480]   And I can, you know, I assume just listen to my episodes again and again and again because that's what you should be doing.
[00:42:36.480 --> 00:42:37.480]   All right.
[00:42:37.480 --> 00:42:38.480]   So that's what I say.
[00:42:38.480 --> 00:42:41.480]   So you need solitude, but you don't need your whole life to be in solitude.
[00:42:41.480 --> 00:42:42.480]   Same thing with boredom.
[00:42:42.480 --> 00:42:43.480]   We talk about this with boredom.
[00:42:43.480 --> 00:42:44.480]   I'm not a big boredom fan.
[00:42:44.480 --> 00:42:49.480]   I mean boredom is a deep drive that humans evolve to try to get us to do useful things.
[00:42:49.480 --> 00:42:55.480]   Otherwise, we just go in energy conservation mode like a cat and until we get like hungry or thirsty, we would just sit there in the sun.
[00:42:55.480 --> 00:42:59.480]   And boredom got humans to use this big brain we evolved to actually go up and do things.
[00:42:59.480 --> 00:43:02.480]   And this is all culture and civilization was built on this.
[00:43:02.480 --> 00:43:05.480]   So boredom, like listen to it, go do stuff when you're bored.
[00:43:05.480 --> 00:43:11.480]   But, you know, to be bored sometimes is pretty good just so that your brain learns you're not always stimulated.
[00:43:11.480 --> 00:43:14.480]   And then when you're away from your phone or something, it doesn't go crazy.
[00:43:14.480 --> 00:43:20.480]   So it's another example where the thing, it's not like, okay, you should spend all of your time bored, but you should have some boredom.
[00:43:20.480 --> 00:43:21.480]   Same thing.
[00:43:21.480 --> 00:43:25.480]   Spend all your time just sort of thinking with your own thoughts being meditative and philosophical.
[00:43:25.480 --> 00:43:27.480]   But you should have some times like that on a regular basis.
[00:43:27.480 --> 00:43:29.480]   So that's the way I think about it.
[00:43:29.480 --> 00:43:39.480]   It kind of gets me thinking about this week, how it's a big transition for me because it's basically the start of the NFL and I have to factor in eight hours of NFL content to stay like somewhat in the know.
[00:43:39.480 --> 00:43:48.480]   This is a good, I have a new theory about the reverse Flint effect and involves the NFL season, the amount of content that's available.
[00:43:48.480 --> 00:43:53.480]   When we were kids, what you could watch Sunday, one game.
[00:43:53.480 --> 00:43:54.480]   Yeah.
