
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:19:48.520 --> 00:19:51.000]   there are polygraph people, there are all these different
[00:19:51.000 --> 00:19:54.480]   parts of the team that work really, really well together,
[00:19:54.480 --> 00:19:57.060]   and for the purposes of that movie,
[00:19:57.060 --> 00:20:00.400]   the producers made it look like he did
[00:20:00.400 --> 00:20:01.240]   every one of those steps.
[00:20:01.240 --> 00:20:04.000]   - Yeah, he was just the hero, and he was the only hero.
[00:20:04.000 --> 00:20:06.120]   - Yeah, and he did great things,
[00:20:06.120 --> 00:20:11.120]   and his non-profit, Operation Underground Railroad,
[00:20:11.120 --> 00:20:14.160]   is still out there today, still trying to help kids
[00:20:14.160 --> 00:20:15.200]   all over the world.
[00:20:16.200 --> 00:20:21.200]   I really endorse their mission and what they're trying
[00:20:21.200 --> 00:20:26.360]   to do, but at the end of the day, that was a movie,
[00:20:26.360 --> 00:20:32.220]   it was based on a true story, and I wish Tim
[00:20:32.220 --> 00:20:35.720]   all the luck in the world, and I know he's left
[00:20:35.720 --> 00:20:37.360]   Operation Underground Railroad now,
[00:20:37.360 --> 00:20:41.000]   and is doing some new things, but yeah,
[00:20:41.000 --> 00:20:43.680]   I thought it was a great movie, it brought awareness,
[00:20:43.680 --> 00:20:48.480]   but it did tend to focus on that child abduction
[00:20:48.480 --> 00:20:53.480]   end of things, where the real problem is kids getting
[00:20:53.480 --> 00:20:56.920]   abused by people they know every day.
[00:20:56.920 --> 00:21:00.560]   - Yeah, people they trust, teachers, coaches,
[00:21:00.560 --> 00:21:03.800]   like you said, even cousins, uncles.
[00:21:03.800 --> 00:21:05.660]   - Yes, I've had all of those.
[00:21:05.660 --> 00:21:07.680]   - Dang.
[00:21:09.640 --> 00:21:14.640]   So, you're under Homeland Security, I was recently
[00:21:14.640 --> 00:21:17.960]   watching an interview by Joe Rogan, actually,
[00:21:17.960 --> 00:21:22.080]   and he was talking about how Homeland Security
[00:21:22.080 --> 00:21:24.800]   is the team that invaded Diddy's house.
[00:21:24.800 --> 00:21:26.960]   - Yes.
[00:21:26.960 --> 00:21:29.920]   - Do you have any knowledge on why they went
[00:21:29.920 --> 00:21:31.900]   to his house and invaded it, and do you have
[00:21:31.900 --> 00:21:33.680]   any knowledge on that situation?
[00:21:33.680 --> 00:21:36.800]   - I have no direct knowledge of the investigation,
[00:21:36.800 --> 00:21:41.120]   so I have not taken a part in it, and if I had,
[00:21:41.120 --> 00:21:43.200]   I would not be able to say it, because it's
[00:21:43.200 --> 00:21:48.200]   an ongoing criminal investigation, but what I can say
[00:21:48.200 --> 00:21:53.400]   is that I believe it involved sex trafficking of minors,
[00:21:53.400 --> 00:21:59.680]   that the reason it seemed like an overwhelming response
[00:21:59.680 --> 00:22:05.260]   to a search warrant, deals with the people he has
[00:22:06.280 --> 00:22:09.320]   around protecting him and his property,
[00:22:09.320 --> 00:22:12.320]   their criminal histories, things like that.
[00:22:12.320 --> 00:22:15.680]   So, if you have a security guard that has
[00:22:15.680 --> 00:22:18.760]   a previous homicide conviction, and he's armed,
[00:22:18.760 --> 00:22:21.400]   well, the cops are gonna treat the search warrant
[00:22:21.400 --> 00:22:22.320]   in a different way.
[00:22:22.320 --> 00:22:28.200]   I can tell you that the level of probable cause
[00:22:28.200 --> 00:22:32.720]   that would go into getting the higher executives
[00:22:32.720 --> 00:22:34.960]   at Homeland Security had to sign off on that,
[00:22:34.960 --> 00:22:39.000]   judge had to sign off on that, the prosecutor's office
[00:22:39.000 --> 00:22:41.920]   had to sign off on that, and knowing that it would
[00:22:41.920 --> 00:22:45.280]   be someone that's gonna be high profile,
[00:22:45.280 --> 00:22:47.680]   it's gonna be able to hire 20 defense attorneys
[00:22:47.680 --> 00:22:51.160]   to try to pick everything apart, that it would have
[00:22:51.160 --> 00:22:53.960]   to be a pretty solid affidavit and allegation.
[00:22:53.960 --> 00:22:55.720]   - For them to even go after him like that.
[00:22:55.720 --> 00:22:56.840]   - Yeah.
[00:22:56.840 --> 00:23:01.040]   - So, the idea of Hollywood and kind of these people
[00:23:01.040 --> 00:23:04.180]   with these pedophilia rings and things like that,
[00:23:04.180 --> 00:23:08.160]   and that that truly takes place, you know,
[00:23:08.160 --> 00:23:10.800]   you got the Jeffrey Epstein case, what are your thoughts
[00:23:10.800 --> 00:23:13.560]   on kind of the, 'cause that also is kind of a conspiracy
[00:23:13.560 --> 00:23:15.600]   that people think that kind of these higher up people
[00:23:15.600 --> 00:23:17.640]   are involved in these pedophilia rings,
[00:23:17.640 --> 00:23:19.400]   and then you know you have the Jeffrey Epstein case
[00:23:19.400 --> 00:23:22.180]   and kind of the defendants in his case,
[00:23:22.180 --> 00:23:25.320]   which were a lot of really well-known individuals
[00:23:25.320 --> 00:23:27.760]   and things like that, like, what are your thoughts on that?
[00:23:27.760 --> 00:23:29.080]   - Oh, there's corruption.
[00:23:29.080 --> 00:23:31.280]   Like, I have no doubt about that.
[00:23:31.280 --> 00:23:35.460]   That case is just wrought with problems.
[00:23:35.460 --> 00:23:40.460]   Like, I had no involvement in it, none whatsoever, but--
[00:23:40.460 --> 00:23:44.440]   - But you've seen enough to know that that's going on.
[00:23:44.440 --> 00:23:45.960]   - Yeah, it stinks.
[00:23:45.960 --> 00:23:48.900]   Like, yeah, my question is this.
[00:23:48.900 --> 00:23:54.640]   How do you charge Jelaine Maxwell in human trafficking
[00:23:55.760 --> 00:23:59.920]   when you can't prove who she trafficked a human to?
[00:23:59.920 --> 00:24:03.880]   You have to have an end user, right, to follow this, right?
[00:24:03.880 --> 00:24:07.000]   So if I was gonna sell drugs, you would have to prove
[00:24:07.000 --> 00:24:08.720]   that I sold them to a person, right?
[00:24:08.720 --> 00:24:10.660]   So if I'm gonna traffic a person, you'd have to prove
[00:24:10.660 --> 00:24:11.960]   that I sold it to a person.
[00:24:11.960 --> 00:24:15.000]   What in any documents came out
[00:24:15.000 --> 00:24:17.760]   of who these kids were trafficked to?
[00:24:17.760 --> 00:24:19.600]   - So you're saying you think it's false?
[00:24:19.600 --> 00:24:22.360]   - No, I think they absolutely trafficked kids,
[00:24:22.360 --> 00:24:24.800]   and I think that there's--
[00:24:24.800 --> 00:24:27.860]   - Oh, you're saying the people on the receiving end,
[00:24:27.860 --> 00:24:29.400]   that's the people we need to be going after as well?
[00:24:29.400 --> 00:24:32.040]   - Yes, yes, the people who are having sex
[00:24:32.040 --> 00:24:34.320]   with the 14-year-olds or the 16-year-olds,
[00:24:34.320 --> 00:24:36.440]   paying for it, flying to an island.
[00:24:36.440 --> 00:24:40.080]   Like, to cross out of our country
[00:24:40.080 --> 00:24:42.960]   with the intent to have sex with a child is a felony.
[00:24:42.960 --> 00:24:44.120]   You're gonna do 10 years.
[00:24:44.120 --> 00:24:44.960]   - Yeah.
[00:24:44.960 --> 00:24:48.600]   - Is the idea that there's these very powerful people,
[00:24:48.600 --> 00:24:53.280]   whether it's politicians, whether it's Hollywood movie stars
[00:24:53.280 --> 00:24:56.640]   or different people of that caliber
[00:24:56.640 --> 00:24:58.840]   that are really into this type of stuff,
[00:24:58.840 --> 00:25:00.880]   do you think that to be the case?
[00:25:00.880 --> 00:25:04.260]   - I don't think so.
[00:25:04.260 --> 00:25:07.800]   So I think that there is, like,
[00:25:07.800 --> 00:25:12.180]   true pedophilia is prepubescent, right?
[00:25:12.180 --> 00:25:13.760]   That's 11 or under.
[00:25:13.760 --> 00:25:16.680]   And I think most of the people in the Epstein case,
[00:25:16.680 --> 00:25:19.320]   the P. Diddy case, you know, whatever,
[00:25:19.320 --> 00:25:23.560]   are probably gonna be in that 14 to 18 range,
[00:25:23.560 --> 00:25:25.360]   which is more called the hemophilia.
[00:25:25.360 --> 00:25:30.380]   Somebody after the onset of puberty, but still a child.
[00:25:30.380 --> 00:25:32.640]   So I think that's, in those circles,
[00:25:32.640 --> 00:25:35.800]   what the problem or what their focus is,
[00:25:35.800 --> 00:25:38.320]   what they're trying to get access to.
[00:25:38.320 --> 00:25:45.120]   And I think the actual pedophilia,
[00:25:45.120 --> 00:25:47.200]   the raping of children, is a completely different thing.
[00:25:47.200 --> 00:25:49.400]   And I don't think there are big rings
[00:25:49.400 --> 00:25:50.320]   where that's happening,
[00:25:50.320 --> 00:25:53.560]   where people are trafficking in two-year-olds
[00:25:53.560 --> 00:25:56.480]   or one-month-olds or those kind of things.
[00:25:56.480 --> 00:25:57.600]   - Right.
[00:25:57.600 --> 00:26:01.620]   Okay, so, 'cause I actually, you know, just being around,
[00:26:01.620 --> 00:26:03.240]   I kind of think the opposite.
[00:26:03.240 --> 00:26:05.860]   I kind of think there are a lot of people
[00:26:05.860 --> 00:26:07.240]   that you would never suspect,
[00:26:07.240 --> 00:26:09.660]   and they're powerful people that have a great background,
[00:26:09.660 --> 00:26:12.600]   and they will come off as super clean cut or whatever.
[00:26:12.600 --> 00:26:15.480]   But on the side, they're involved in some crazy things.
[00:26:15.480 --> 00:26:17.800]   Ryan Garcia, the boxer, recently came out
[00:26:17.800 --> 00:26:22.800]   and talked about how the Bohemian Grove,
[00:26:22.800 --> 00:26:23.640]   I don't know if you know what that is.
[00:26:23.640 --> 00:26:24.960]   - I don't.
[00:26:24.960 --> 00:26:27.960]   - It's basically, yeah, he said he was brought into the woods
[00:26:27.960 --> 00:26:32.380]   and forced to watch, you know,
[00:26:32.380 --> 00:26:33.840]   some people might call him crazy, whatever.
[00:26:33.840 --> 00:26:35.640]   The Bohemian Grove is a real place
[00:26:35.640 --> 00:26:37.220]   and kind of forced to watch, you know,
[00:26:37.220 --> 00:26:41.680]   people partaking, you know, this type of stuff with children
[00:26:41.680 --> 00:26:45.100]   and he said himself, he was raped as a young child.
[00:26:45.100 --> 00:26:49.520]   But I think it's interesting talking to someone
[00:26:49.520 --> 00:26:52.280]   who works certain of these cases.
[00:26:52.280 --> 00:26:54.600]   And I don't know if it's that these people are so high up
[00:26:54.600 --> 00:26:57.800]   and so protected that they get away with it,
[00:26:57.800 --> 00:27:00.200]   and, you know, the people that are kind of messy with it
[00:27:00.200 --> 00:27:03.540]   and the ones that are kind of like leave too many things
[00:27:03.540 --> 00:27:05.280]   behind are the ones that get caught.
[00:27:05.280 --> 00:27:07.760]   But I kind of think it goes a lot higher and deeper
[00:27:07.760 --> 00:27:09.360]   than people suspect.
[00:27:09.360 --> 00:27:14.360]   - I think that, you know,
[00:27:14.360 --> 00:27:17.960]   absolute power corrupts absolutely, right?
[00:27:17.960 --> 00:27:20.960]   And I think that powerful people
[00:27:20.960 --> 00:27:25.880]   corrupt other powerful people.
[00:27:25.880 --> 00:27:27.720]   I think, you know, the Epstein thing
[00:27:27.720 --> 00:27:31.360]   was probably an intelligence operation
[00:27:31.360 --> 00:27:36.920]   that he collected evidence of this
[00:27:36.920 --> 00:27:39.520]   and it was, you know, given to different intelligence
[00:27:39.520 --> 00:27:41.480]   agencies to further their mission
[00:27:41.480 --> 00:27:44.880]   and to further push people in power
[00:27:44.880 --> 00:27:47.160]   to make decisions that were beneficial to them.
[00:27:47.160 --> 00:27:48.520]   I absolutely believe that.
[00:27:48.520 --> 00:27:52.360]   - Do you think Epstein, is the story that he killed himself?
[00:27:52.360 --> 00:27:53.520]   - Yeah, that's the story.
[00:27:53.520 --> 00:27:54.640]   - Do you think that's what happened?
[00:27:54.640 --> 00:27:55.480]   - No.
[00:27:55.480 --> 00:27:57.520]   - Do you think he knew too much and they killed him?
[00:27:57.520 --> 00:28:01.480]   - Yeah, there's too many anomalies there.
[00:28:01.480 --> 00:28:04.600]   You know, one of your most high profile people
[00:28:04.600 --> 00:28:06.040]   would be arrested, right?
[00:28:06.040 --> 00:28:09.680]   And then you look at Dr. Michael Batten
[00:28:09.680 --> 00:28:13.120]   looking at the autopsy that it wasn't a typical hanging.
[00:28:13.120 --> 00:28:14.960]   I've worked suicides, I've worked hangings.
[00:28:14.960 --> 00:28:16.580]   I know what ligature marks are.
[00:28:16.580 --> 00:28:18.760]   Like, I know all those things.
[00:28:18.760 --> 00:28:22.040]   It's not gonna be on your, you know, high bone.
[00:28:22.040 --> 00:28:27.040]   And it's, the cameras didn't work that night.
[00:28:27.040 --> 00:28:28.560]   Both guards fell asleep.
[00:28:28.560 --> 00:28:32.000]   Like, how many coincidences before you're like,
[00:28:32.000 --> 00:28:33.440]   probably wasn't a coincidence?
[00:28:33.440 --> 00:28:34.680]   - Yeah.
[00:28:34.680 --> 00:28:37.160]   - So how, what do you think you need to,
[00:28:37.160 --> 00:28:39.360]   like, how much do you need to know
[00:28:39.360 --> 00:28:41.120]   for them to come get you?
[00:28:41.120 --> 00:28:43.480]   I know there's been individuals in the past
[00:28:43.480 --> 00:28:45.160]   that just know too much and they're,
[00:28:45.160 --> 00:28:46.960]   it's a risk that they'll expose too much
[00:28:46.960 --> 00:28:49.520]   so they're just kind of shut up.
[00:28:49.520 --> 00:28:51.840]   First of all, who does the shutting up?
[00:28:51.840 --> 00:28:55.720]   And why, what are the type of stuff that you need to like,
[00:28:55.720 --> 00:28:58.800]   know for them to even go to those lengths?
[00:28:58.800 --> 00:29:00.200]   - I have absolutely no clue.
[00:29:00.200 --> 00:29:02.360]   I can tell you it's definitely not the men and women
[00:29:02.360 --> 00:29:05.720]   of Homeland Security Investigations that we're out there
[00:29:05.720 --> 00:29:08.560]   to do our jobs every day and to help people.
[00:29:08.560 --> 00:29:09.480]   - Well, I'm thinking more it's like the people
[00:29:09.480 --> 00:29:10.520]   that are involved higher up.
[00:29:10.520 --> 00:29:13.440]   Like, I don't know if it's like government,
[00:29:13.440 --> 00:29:17.680]   like, I don't know if it's like the same type of people
[00:29:17.680 --> 00:29:20.880]   that are involved that would, but I know, like you said,
[00:29:20.880 --> 00:29:22.720]   if you know too much, your life could be in danger.
[00:29:22.720 --> 00:29:25.600]   Like you said, like even you were scared at times,
[00:29:25.600 --> 00:29:27.720]   you know, and you didn't want to reveal too much
[00:29:27.720 --> 00:29:29.920]   when you were working the job for fear of your life.
[00:29:29.920 --> 00:29:32.320]   Like, who would you be afraid of?
[00:29:32.320 --> 00:29:35.880]   - So in undercover situations, it's criminal organizations.
[00:29:35.880 --> 00:29:39.200]   And I'll start this off by saying,
[00:29:39.200 --> 00:29:42.000]   I never worked an undercover job
[00:29:42.000 --> 00:29:44.800]   on a motorcycle gang in my whole life.
[00:29:44.800 --> 00:29:46.840]   I know several people who have,
[00:29:46.840 --> 00:29:49.640]   but if that gets out that the outlaw motorcycle gang
[00:29:49.640 --> 00:29:51.520]   figures out that you were an undercover,
[00:29:51.520 --> 00:29:53.560]   like they're going to hurt you and your family.
[00:29:53.560 --> 00:29:54.400]   - Yeah.
[00:29:54.400 --> 00:29:56.200]   Wow.
[00:29:56.200 --> 00:29:58.040]   That's crazy.
[00:30:00.360 --> 00:30:03.840]   Man, I got a lot of questions just about like what it is
[00:30:03.840 --> 00:30:06.160]   being an undercover kind of agent.
[00:30:06.160 --> 00:30:08.400]   What's like one of your biggest kind of stories?
[00:30:08.400 --> 00:30:10.080]   I want to hear like a specific story
[00:30:10.080 --> 00:30:14.440]   of where like you had to pretend to be someone
[00:30:14.440 --> 00:30:17.640]   and you, like, tell me one of your big stories.
[00:30:17.640 --> 00:30:18.480]   - I don't know.
[00:30:18.480 --> 00:30:19.320]   Do you want to hear something related
[00:30:19.320 --> 00:30:20.360]   to like human trafficking or?
[00:30:20.360 --> 00:30:23.200]   - Anything, anything that's kind of like a crazy story
[00:30:23.200 --> 00:30:26.840]   as someone who is now retired that you can,
[00:30:26.840 --> 00:30:28.240]   yeah, talk about.
[00:30:28.240 --> 00:30:31.840]   So I had one case where a guy met a couple online
[00:30:31.840 --> 00:30:34.720]   and he was in an online chat room and he found a couple
[00:30:34.720 --> 00:30:38.520]   or a guy who was looking to purchase access
[00:30:38.520 --> 00:30:40.080]   to have sex with a kid.
[00:30:40.080 --> 00:30:43.640]   And so he started chatting with the guy
[00:30:43.640 --> 00:30:47.200]   and in our agency, you can chat online undercover,
[00:30:47.200 --> 00:30:49.040]   but in order to actually physically meet,
[00:30:49.040 --> 00:30:50.000]   you have to be certified.
[00:30:50.000 --> 00:30:52.080]   You have to go through training, all those kinds of things.
[00:30:52.080 --> 00:30:53.760]   So he passed it off to me.
[00:30:53.760 --> 00:30:56.760]   So I started talking with this guy
[00:30:56.760 --> 00:31:01.760]   and he was into having sex
[00:31:01.760 --> 00:31:04.800]   with what he perceived to be my six-year-old daughter
[00:31:04.800 --> 00:31:07.520]   and he wanted to bring his wife along
[00:31:07.520 --> 00:31:10.400]   so they could both have sex with her and film it.
[00:31:10.400 --> 00:31:15.120]   And so I, one of the things I would do
[00:31:15.120 --> 00:31:17.960]   if I'm having an undercover phone call would be,
[00:31:17.960 --> 00:31:20.760]   I would jump in a car with another agent.
[00:31:20.760 --> 00:31:22.600]   I would have them turn their phone off
[00:31:22.600 --> 00:31:26.400]   and I would just say drive and I'll have my conversation.
[00:31:26.400 --> 00:31:28.560]   And then if I needed to stop or think
[00:31:28.560 --> 00:31:30.760]   or something like, you know, I would just honk the horn.
[00:31:30.760 --> 00:31:32.680]   I'd be like, oh man, this guy just cut me off in traffic.
[00:31:32.680 --> 00:31:35.120]   You know, he just gave me that chance.
[00:31:35.120 --> 00:31:37.240]   So I talked with this guy and he starts telling me
[00:31:37.240 --> 00:31:40.960]   about how he's been abusing his nine-year-old niece.
[00:31:40.960 --> 00:31:45.960]   And so we end up making a date for him to come
[00:31:45.960 --> 00:31:48.600]   and molest my daughter.
[00:31:48.600 --> 00:31:53.200]   And so he drives from Oregon into Washington State
[00:31:53.200 --> 00:31:57.640]   with his wife, with cameras and weed and toys.
[00:31:57.640 --> 00:32:01.240]   And then once they arrived at the hotel
[00:32:01.240 --> 00:32:04.580]   then they were arrested and taken to jail.
[00:32:04.580 --> 00:32:07.840]   - That's crazy.
[00:32:07.840 --> 00:32:10.120]   - And his nine-year-old niece was rescued
[00:32:10.120 --> 00:32:12.360]   and no longer subject to his abuse.
[00:32:12.360 --> 00:32:17.920]   - I feel like, man, so how long does someone do time
[00:32:17.920 --> 00:32:19.000]   for something like that?
[00:32:19.000 --> 00:32:20.640]   Is he still behind bars?
[00:32:20.640 --> 00:32:24.160]   - Uh, man, he's going to be getting close.
[00:32:24.160 --> 00:32:25.760]   I think he got 25 years.
[00:32:25.760 --> 00:32:28.160]   - 25 years as well as the wife or what?
[00:32:28.160 --> 00:32:30.520]   - The wife got much less.
[00:32:30.520 --> 00:32:34.240]   The court found that she had kind of a diminished capacity
[00:32:34.240 --> 00:32:35.800]   and that he was taking advantage of her.
[00:32:35.800 --> 00:32:36.940]   So she got less time.
[00:32:36.940 --> 00:32:39.760]   - That is so crazy.
[00:32:39.760 --> 00:32:42.080]   I was, I have interviewed a group
[00:32:42.080 --> 00:32:44.120]   called the Child Rescue Coalition.
[00:32:44.120 --> 00:32:45.600]   - CRC, yeah, I know them well.
[00:32:45.600 --> 00:32:46.440]   - I don't know if you're aware of them.
[00:32:46.440 --> 00:32:49.680]   - Bill Wiltsy, the founder of the CRC is a former--
[00:32:49.680 --> 00:32:51.080]   - Is that who we interviewed?
[00:32:51.080 --> 00:32:51.960]   Is that who we interviewed?
[00:32:51.960 --> 00:32:52.880]   - Yeah, the CRC.
[00:32:52.880 --> 00:32:53.880]   - But like, who was the lady?
[00:32:53.880 --> 00:32:55.600]   - I think her dad was the founder.
[00:32:55.600 --> 00:32:57.080]   Carly was her dad.
[00:32:57.080 --> 00:32:58.040]   - I know Bill.
[00:32:58.040 --> 00:32:59.240]   I know Glenn Pounder.
[00:32:59.240 --> 00:33:00.520]   - Bill, we talked on the phone with.
[00:33:00.520 --> 00:33:03.400]   - Yeah, so he was a detective in Albany, Oregon.
[00:33:03.400 --> 00:33:04.240]   - Okay.
[00:33:04.240 --> 00:33:06.880]   - Before he went and founded the CRC.
[00:33:06.880 --> 00:33:07.720]   Good group.
[00:33:07.720 --> 00:33:09.280]   I've worked with many of 'em.
[00:33:09.280 --> 00:33:10.500]   - Yeah.
[00:33:10.500 --> 00:33:12.220]   - I think I heard you talk about that
[00:33:12.220 --> 00:33:13.520]   on one of your other podcasts.
[00:33:13.520 --> 00:33:15.600]   - Yeah, so they were just telling me the technology
[00:33:15.600 --> 00:33:18.440]   they used to kind of go into the dark web
[00:33:18.440 --> 00:33:20.360]   and these places on the internet
[00:33:20.360 --> 00:33:21.800]   that are kind of hard to reach
[00:33:21.800 --> 00:33:24.720]   and they'll find all the information they'll like.
[00:33:24.720 --> 00:33:28.160]   Where the traffickers think things are untraceable,
[00:33:28.160 --> 00:33:30.480]   they can get that information.
[00:33:30.480 --> 00:33:32.480]   And they kind of were talking about how
[00:33:32.480 --> 00:33:36.000]   they will give all this information to the police,
[00:33:36.000 --> 00:33:38.580]   you know, of even like straight up like addresses,
[00:33:38.580 --> 00:33:39.920]   like go investigate this place.
[00:33:39.920 --> 00:33:43.200]   But it's kind of like, it's not on the back burner
[00:33:43.200 --> 00:33:47.240]   but the police force, like there's not enough people
[00:33:47.240 --> 00:33:48.560]   working this specific issue.
[00:33:48.560 --> 00:33:50.800]   So a lot of cases are dragged out
[00:33:50.800 --> 00:33:54.160]   and just kind of like got to when they can get to 'em.
[00:33:54.160 --> 00:33:56.000]   You know what I mean?
[00:33:56.000 --> 00:33:58.600]   Do you feel like enough is being done
[00:33:58.600 --> 00:33:59.800]   for this specific issue?
[00:33:59.800 --> 00:34:00.880]   - Absolutely not.
[00:34:00.880 --> 00:34:02.480]   I definitely don't think so.
[00:34:02.480 --> 00:34:04.480]   And I know exactly what you're talking about.
[00:34:04.480 --> 00:34:09.480]   So we can take a photo down into what we call a hash ID,
[00:34:09.480 --> 00:34:13.900]   which is if you just think of a fingerprint
[00:34:13.900 --> 00:34:17.760]   that we can identify that photo from any other photo, right?
[00:34:17.760 --> 00:34:20.760]   And so that's with this alphanumeric code.
[00:34:20.760 --> 00:34:22.840]   And so one of the things that CRC does
[00:34:22.840 --> 00:34:27.840]   is they'll track who's trading these images of CSAM, right?
[00:34:27.840 --> 00:34:32.060]   And so it's millions.
[00:34:32.060 --> 00:34:34.060]   So cops don't have enough time to work it.
[00:34:34.060 --> 00:34:39.060]   So if you're in, you know, Fort Smith, Arkansas,
[00:34:40.280 --> 00:34:45.280]   and you get a lead that one guy had three images of CSAM
[00:34:45.280 --> 00:34:49.200]   on his computer on November 9th,
[00:34:49.200 --> 00:34:53.760]   like is that the priority or is it the robbery
[00:34:53.760 --> 00:34:55.680]   at the gas station that's going on right now?
[00:34:55.680 --> 00:34:56.920]   You know what I mean?
[00:34:56.920 --> 00:35:01.920]   And with, and I don't mean this to be political at all,
[00:35:01.920 --> 00:35:04.880]   but with the defund the police movement
[00:35:04.880 --> 00:35:07.120]   and taking funds away from cops,
[00:35:07.120 --> 00:35:09.920]   they didn't take it away from patrol units.
[00:35:09.920 --> 00:35:12.720]   They took it away from specialized units
[00:35:12.720 --> 00:35:14.880]   because that's what's expendable.
[00:35:14.880 --> 00:35:17.200]   'Cause what the community expects
[00:35:17.200 --> 00:35:19.520]   is you to respond when I call, right?
[00:35:19.520 --> 00:35:21.160]   That's number one job.
[00:35:21.160 --> 00:35:24.560]   Now this three CSAM image thing,
[00:35:24.560 --> 00:35:26.760]   that can be gotten to later, right?
[00:35:26.760 --> 00:35:30.520]   So when the police department shrunk,
[00:35:30.520 --> 00:35:33.280]   they took from all those specialized units,
[00:35:33.280 --> 00:35:35.840]   drug units, child exploitation units,
[00:35:35.840 --> 00:35:38.920]   all those things to fill in the patrol jobs.
[00:35:38.920 --> 00:35:43.920]   So it really took it away from the specialized things
[00:35:43.920 --> 00:35:47.360]   and we don't have enough people to go out and do it.
[00:35:47.360 --> 00:35:48.200]   - Man, that's crazy.
[00:35:48.200 --> 00:35:49.840]   Yeah, when they were showing me the technology,
[00:35:49.840 --> 00:35:51.600]   like she was showing me in her computer
[00:35:51.600 --> 00:35:53.160]   how she could type in Denver
[00:35:53.160 --> 00:35:55.280]   and it shows all the dots or whatever
[00:35:55.280 --> 00:35:57.400]   where some stuff is going on
[00:35:57.400 --> 00:35:59.400]   that police haven't necessarily got to yet.
[00:35:59.400 --> 00:36:00.680]   But she was typing in every city
[00:36:00.680 --> 00:36:02.480]   and I was like, man, this is crazy.
[00:36:02.480 --> 00:36:03.880]   And she would just show me the scale
[00:36:03.880 --> 00:36:06.640]   of how big this problem is.
[00:36:08.080 --> 00:36:11.120]   And so we triage those cases though, right?
[00:36:11.120 --> 00:36:11.960]   - Yeah.
[00:36:11.960 --> 00:36:16.360]   - I'll tell you a good story
[00:36:16.360 --> 00:36:18.640]   that will make you feel better, right?
[00:36:18.640 --> 00:36:22.900]   We had an undercover agent in North Carolina.
[00:36:22.900 --> 00:36:27.920]   He was on a chat room and engaged with a guy
[00:36:27.920 --> 00:36:30.480]   who said he was abusing his two-year-old daughter
[00:36:30.480 --> 00:36:33.120]   and sent the undercover pictures of it.
[00:36:33.120 --> 00:36:36.040]   So you have to go through a lot of steps
[00:36:36.040 --> 00:36:39.760]   from you have a name of someone online
[00:36:39.760 --> 00:36:43.520]   to getting to doing a search warrant on their house, right?
[00:36:43.520 --> 00:36:45.680]   So you have to figure out
[00:36:45.680 --> 00:36:47.840]   what internet service provider
[00:36:47.840 --> 00:36:50.700]   is funding this person who's chatting, right?
[00:36:50.700 --> 00:36:52.600]   Get their name, do a background on them,
[00:36:52.600 --> 00:36:53.440]   all those kind of things.
[00:36:53.440 --> 00:36:56.200]   Well, he found out that that guy was in Oregon.
[00:36:56.200 --> 00:36:57.360]   So he sends it out to us.
[00:36:57.360 --> 00:37:00.520]   So then we have to do a search warrant application,
[00:37:00.520 --> 00:37:02.760]   go to judges, go to all those kind of things.
[00:37:05.280 --> 00:37:10.280]   We did all that, arrested the guy, rescued his daughter.
[00:37:10.280 --> 00:37:11.840]   She was wearing the same clothes
[00:37:11.840 --> 00:37:13.600]   that she was in when she was abused.
[00:37:13.600 --> 00:37:15.880]   It took seven hours and 26 minutes
[00:37:15.880 --> 00:37:19.120]   to get from when he abused her and sent the picture
[00:37:19.120 --> 00:37:20.440]   for him to be in handcuffs
[00:37:20.440 --> 00:37:22.540]   and her to be in the back of a police car.
[00:37:22.540 --> 00:37:27.640]   So it does work, but we have to triage those, right?
[00:37:27.640 --> 00:37:31.520]   That is the allegation of a child actively being abused
[00:37:31.520 --> 00:37:34.860]   and everybody dropped everything, right?
[00:37:34.860 --> 00:37:39.520]   When it's, you know, this 19 year old kid
[00:37:39.520 --> 00:37:42.600]   has three images of 17 year olds on his computer
[00:37:42.600 --> 00:37:45.320]   that are actually CSAM because they're under 18.
[00:37:45.320 --> 00:37:46.800]   Like that's not gonna get investigated.
[00:37:46.800 --> 00:37:49.480]   It's not gonna be gone out on.
[00:37:49.480 --> 00:37:52.520]   But that's again, where you can play with statistics.
[00:37:52.520 --> 00:37:55.880]   On average, when you do catch these guys,
[00:37:55.880 --> 00:38:00.880]   like I feel like that sentence should be a while.
[00:38:02.480 --> 00:38:04.900]   - Is it normally like a long time?
[00:38:04.900 --> 00:38:06.380]   Like that's--
[00:38:06.380 --> 00:38:10.180]   - My biggest sentence was 270 years.
[00:38:10.180 --> 00:38:11.940]   - What was that for specifically?
[00:38:11.940 --> 00:38:18.580]   - This guy abused several young children,
[00:38:18.580 --> 00:38:24.940]   the youngest of which were two years old
[00:38:24.940 --> 00:38:29.500]   and he would torture them.
[00:38:29.500 --> 00:38:34.500]   So just think of like the worst prisoner of war movie,
[00:38:34.500 --> 00:38:39.600]   torturing somebody, he would do that to two year old babies
[00:38:39.600 --> 00:38:41.040]   and then rape them.
[00:38:41.040 --> 00:38:46.040]   - That's crazy, I can't believe people like that exist.
[00:38:46.040 --> 00:38:49.900]   I always think that no human in their rational mind,
