
[00:00:00.000 --> 00:00:04.320]   student nova it's an accredited private school everything from foreign languages to
[00:28:30.720 --> 00:28:37.120]   like ministry didn't have to go well you know like i didn't have to enjoy everything but every time we had
[00:28:37.120 --> 00:28:42.160]   meetings or i met with them i would learn something you know about myself or about the world and just
[00:28:42.160 --> 00:28:47.600]   grow wiser and so i just yeah i was looking forward to that having that time again so how's it how's
[00:28:47.600 --> 00:28:52.960]   it been yeah and what's like what's the program like because i don't know what's the usual day yeah
[00:28:52.960 --> 00:28:58.800]   yeah yeah what's the day there's no usual day that's the usual there's no usual week
[00:28:58.800 --> 00:29:04.960]   no no there are some usual days there's like a default day okay what's the default week where a
[00:29:04.960 --> 00:29:10.720]   lot of times we just spend uh being available at hb for anything that needs to happen and so
[00:29:10.720 --> 00:29:16.080]   that in and of itself is like the wild card right because we were like last week we were anticipating oh
[00:29:16.080 --> 00:29:21.920]   well but so we would be doing some bible reading reading c.s lewis you know things like that those are the
[00:29:21.920 --> 00:29:27.200]   regular things yeah those are the regular reading always like bible um c.s lewis time and then we
[00:29:27.200 --> 00:29:33.360]   have our own projects by our cohorts within the fitlet program so we're project man we're doing studio
[00:29:33.360 --> 00:29:40.160]   nova you know helping that get launched yeah um the guys do btt also we do btt bible user training you
[00:29:40.160 --> 00:29:45.840]   know but like last week we got pulled into making the tent um at hb so that wasn't new yeah yeah it's
[00:29:45.840 --> 00:29:51.840]   like 10 hour 10 hour days yeah so yeah to beat the rain so yeah but our default is to be here at
[00:29:51.840 --> 00:29:58.640]   hb and kind of do some of that kind of um you know bible readings c.s lewis and btt and projects
[00:29:58.640 --> 00:30:06.560]   but man we've gone we've done everything from clean every cabin at jp to going to new york city and
[00:30:06.560 --> 00:30:11.280]   you know um trying out a lot of different ministry playbooks out there yeah you guys are going to
[00:30:11.280 --> 00:30:18.160]   see a lot of the country and just a lot of campuses and yeah yeah work atlanta yeah we went to new york
[00:30:18.160 --> 00:30:26.400]   and then during that boston northeast trip went to boston and hit yale yukon um amherst along the way
[00:30:26.400 --> 00:30:33.600]   and went to atlanta then we went to the midwest and uiuc and yeah madison we get a little like updates
[00:30:33.600 --> 00:30:37.920]   like oh the fitlets are doing uh evangelism road trip over here and there and on one hand it could
[00:30:37.920 --> 00:30:43.040]   seem like a lot of like just travel but like what has gone going out what has that done for your
[00:30:43.040 --> 00:30:48.560]   perspective on ministry and your heart like can you speak into that a little bit just oh man i i think
[00:30:48.560 --> 00:30:54.000]   definitely the erts have been like a highlight of my experience because you know it's not like we're
[00:30:54.000 --> 00:30:59.440]   not engaged in gospel sharing but you know when you're like a kind of older leader like you're not
[00:30:59.440 --> 00:31:04.400]   sharing the gospel that often like directly to people because you're like yeah helping the people who are
[00:31:04.400 --> 00:31:09.120]   doing yeah and you're doing like logistics or having meetings and counseling and things like that
[00:31:09.120 --> 00:31:14.640]   so i think seeing different contexts and like just sharing the gospel again and again that's one thing
[00:31:14.640 --> 00:31:23.280]   we all did you know um like it just reminded it just kind of brought me back to first love and like
[00:31:23.280 --> 00:31:29.600]   wanting to be out like yeah out in the field i think so one thing that's done for me is like yeah you know
[00:31:29.600 --> 00:31:36.320]   you gotta just go and like something will happen you know because i think prior to that it's like yeah
[00:31:36.320 --> 00:31:41.440]   you know you have your plans and you have your google doc not that that's not needed you know for like
[00:31:41.440 --> 00:31:47.120]   events that we do but there's this other thing that we experience where it's like you know in the gospels
[00:31:47.120 --> 00:31:52.160]   like jesus does it you know they don't have like google docs he's just like hey guys we're going over
[00:31:52.160 --> 00:31:57.760]   the lake you know like he knows there's a demoniac across the lake but like the other guys they don't
[00:31:57.760 --> 00:32:02.720]   know they're just you probably should not put that on the calendar yeah but that's what we experience
[00:32:02.720 --> 00:32:09.520]   it's like we don't know who's there but but god knows you know he knows like this random you know
[00:32:09.520 --> 00:32:15.040]   this like attorney walking down the street she stops and i get to share the gospel with her and she's
[00:32:15.040 --> 00:32:20.640]   been thinking about god even though she's from china you know we meet like another um chinese kid he's
[00:32:20.640 --> 00:32:28.400]   read like half the bible wow you know and so i think just experiencing that um just humbled me
[00:32:28.400 --> 00:32:34.720]   and just made me see again like we just need to go out there because god knows like who's he can make
[00:32:34.720 --> 00:32:41.920]   things happen and orchestrate situations and um you know and like calvin nestor and um our midwest trip
[00:32:42.480 --> 00:32:48.240]   you know we they met two people that were just ready to accept christ like who knew you know yeah
[00:32:48.240 --> 00:32:53.280]   yeah yeah i remember that like when we moved out to philly together that those first like that first
[00:32:53.280 --> 00:32:57.840]   year definitely felt like oh we're just joining in on things that god has already been doing and we just
[00:32:57.840 --> 00:33:03.440]   need to be willing to do that so that's really neat yeah i'm curious like as you've done these erts
[00:33:03.440 --> 00:33:08.240]   and i mean like we've we i think i feel like we've learned a lot indirectly from your guys erts like
[00:33:08.240 --> 00:33:11.920]   the lesson about hey like when you do outreach do it all together don't be on like a sad pair on the
[00:33:11.920 --> 00:33:17.200]   corner like so we've like really adopted some of those things but as you do that um how is it
[00:33:17.200 --> 00:33:21.040]   shifting your perspective about like a ministry like any ideas like when you go back into ministry
[00:33:21.040 --> 00:33:26.160]   and you're back on the college campus in normal capacity like any ideas like how you might do things
[00:33:26.160 --> 00:33:31.040]   differently or things you want to try now as as you're you know observing these campuses and going out
[00:33:32.960 --> 00:33:41.440]   i would i would um attempt more even if it's not like a tried and true kind of a thing you know like
[00:33:41.440 --> 00:33:46.640]   we wanted to put on a some kind of an event where people can come to you know but we're like man we
[00:33:46.640 --> 00:33:52.560]   don't even have a room how are we going to do that and so we just brought the special talk to them you
[00:33:52.560 --> 00:33:58.640]   know um made a handout for it and just asked people while we were firing hey you have five minutes we can
[00:33:58.640 --> 00:34:06.160]   sit down and talk about this topic and um and so one of the the the neatest pictures was uh when about
[00:34:06.160 --> 00:34:16.480]   10 of us were on campus at the university of wisconsin and there were about 10 special talks happening right
[00:34:16.480 --> 00:34:22.240]   there you know in either one-on-one or one-on-two one-on-three you know things like that and so
[00:34:22.240 --> 00:34:28.720]   um just to try something you know on campus and to be out there more i mean that's you'll you'll you'll
[00:34:28.720 --> 00:34:33.680]   meet spiritually hungry people you know as you're out there so um i would make that more of a regular
[00:34:33.680 --> 00:34:38.000]   part of our schedule you know we'll go out there and we'll table but you know sometimes it's just
[00:34:38.000 --> 00:34:44.160]   flattering for an event and that needs to happen too right but to be able to go out there and you know
[00:34:44.160 --> 00:34:50.320]   um try a little bit more or something a little bit different to have like uh richer spiritual
[00:34:50.320 --> 00:34:57.360]   engagement um i think sometimes i felt like oh man it's not really gonna there's like who's gonna
[00:34:57.360 --> 00:35:04.080]   really stop for this or something like that but man a lot of people stopped and were engaged in kind
[00:35:04.080 --> 00:35:08.160]   of really rich conversations yeah yes i don't know if you've been feeling this but i've definitely been
[00:35:08.160 --> 00:35:12.160]   feeling this so at rutgers we've been trying to just go out you know twice a week and do outreach and
[00:35:12.160 --> 00:35:16.400]   definitely feel like people are more spiritually hungry like i can't prove that to you but i
[00:35:16.400 --> 00:35:20.720]   definitely feel it and sort of the sort of the challenge is like they're more spiritually hungry
[00:35:20.720 --> 00:35:24.160]   but they're still not coming to events like they're still not coming into your special talk or your bible
[00:35:24.160 --> 00:35:28.800]   study but there is more spiritual hunger so it's like how do we take advantage of that and i really
[00:35:28.800 --> 00:35:32.480]   like what you guys did and that might be part of the answer just like okay we got to do more on the
[00:35:32.480 --> 00:35:37.920]   spot like they have the questions let's answer right now instead of hoping to funnel them into some
[00:35:37.920 --> 00:35:42.160]   holding tank that we're yeah it's not just like attempt more but it's actually a fundamental
[00:35:42.160 --> 00:35:46.640]   different approach it's not bring them to a time where they can hear content it's like
[00:35:46.640 --> 00:35:50.960]   no you are the content and you go there and you go meet them because they're busy the window of
[00:35:50.960 --> 00:35:55.760]   opportunity is small and so you just gotta be ready right there yeah and if you just held a bunch of
[00:35:55.760 --> 00:35:58.720]   events you would never know that like you would never know people are more spiritually hungry because
[00:35:58.720 --> 00:36:03.440]   they're still not coming in any more numbers than they used to but like yeah you guys are seeing that on campus
[00:36:03.440 --> 00:36:08.720]   yeah and i think uh like a corollary that would be just to train more of our students too and invest a
[00:36:08.720 --> 00:36:13.280]   little bit more in that because they're where the students are you know so if they're equipped to
[00:36:13.280 --> 00:36:19.920]   answer those questions you know and things like that then um man that's that's gold i think right there
[00:36:19.920 --> 00:36:24.400]   you know and i think we've experienced that in a lot of ways even in our last semester at pomona where we
[00:36:24.400 --> 00:36:29.840]   try to do course 101 training you know to our students and then or evangelism training and then they just go and
[00:36:29.840 --> 00:36:33.920]   share the gospel with their friends and their friends become christian you know things like that
[00:36:33.920 --> 00:36:42.000]   and so we saw that kind of grow in a huge way too so yeah yeah yeah um i think one thing i would do
[00:36:42.000 --> 00:36:49.680]   differently is to do not is to have our staff and our students experience more ministries you know so
[00:36:49.680 --> 00:36:56.160]   while we've been here we've also been doing elderly care ministry so i have like a one-on-one bible study
[00:36:56.160 --> 00:37:02.480]   going on with like a really sharp elderly woman she's she's like she had a stroke and she's there
[00:37:02.480 --> 00:37:08.720]   but her mind is she's really sharp um the guys have been going to the dream center and that's been
[00:37:08.720 --> 00:37:14.240]   really like great for them yeah that's where you've been doing the computer training yeah yeah we go we've
[00:37:14.240 --> 00:37:20.000]   been going for their gospel nights oh you know and so um that's like once every term so once every six
[00:37:20.000 --> 00:37:25.680]   weeks or so dream center for those who don't know maybe just explain it um it's a it's a center where
[00:37:25.680 --> 00:37:30.880]   people who have been incarcerated kind of re-enter society and so they have housing and things like
[00:37:30.880 --> 00:37:35.840]   that it's sponsored by a church it's a ministry of a church and we come alongside them and provide
[00:37:35.840 --> 00:37:42.240]   a lot of the um skills and computer training that will help them to kind of um re-enter society
[00:37:42.240 --> 00:37:46.080]   because a lot of them have never yeah they've been in prison for like 30 40 years and they've never
[00:37:46.080 --> 00:37:52.160]   seen email or anything like that they have a hard time with a mouse um and so like a lot of our tech
[00:37:52.160 --> 00:37:57.680]   guys that's just something that we can kind of help them and show them what to do so yeah yeah so what
[00:37:57.680 --> 00:38:02.400]   what does um just to go back to close a loop like what does what do you think that people experiencing
[00:38:02.400 --> 00:38:09.280]   more ministries does yeah you know i haven't been able to like capture it in words um but i think
[00:38:09.280 --> 00:38:17.440]   what it's done from my heart is just kind of having like a a wider bigger picture of how god's at work
[00:38:17.440 --> 00:38:25.840]   and just having a deeper appreciation for the church too you know because we're in a very small church
[00:38:25.840 --> 00:38:32.080]   right and it's like mostly college and um and a little bit of youth and things like that but you know
[00:38:32.080 --> 00:38:39.440]   it's a very small kind of slice of reality right um but here you know we live with like richard and
[00:38:39.440 --> 00:38:44.960]   lauren kwan you know and so we have a window into like what happens at barnabas like all the things
[00:38:44.960 --> 00:38:50.240]   that she's doing like the way that she leads food you know they've been keeping up her and richard
[00:38:50.240 --> 00:38:56.560]   they've been keeping up with a japanese professor for years and they do a zoom bible study with him and
[00:38:56.560 --> 00:39:03.920]   just yeah i think what it does for me is just gives me a more of a sense of like
[00:39:03.920 --> 00:39:10.480]   well god is at work in all these different ways at our church and there's a lot that we can do there's
[00:39:10.480 --> 00:39:16.880]   a lot of work that needs to get done there's a lot of people that need the gospel and so something about
[00:39:16.880 --> 00:39:24.000]   that bigger perspective puts everything else in perspective you know so it's not yeah so if you're
[00:39:24.000 --> 00:39:28.160]   like really narrowly focused on just campus ministry and how that's going like it could start on the
[00:39:28.160 --> 00:39:33.760]   campus but if you narrowly focus on that your your mood your your convictions your spiritual fervor can
[00:39:33.760 --> 00:39:38.720]   really rise and fall just on what's happening in that world yeah world small and i think it's
[00:39:38.720 --> 00:39:43.760]   kind of like the way i see our staff it changes because yeah right now they're doing college
[00:39:43.760 --> 00:39:51.200]   ministry you know but you know i look at like our um a2k ministry for example man they are so awesome
[00:39:51.200 --> 00:39:56.560]   like they do so much for the kids like they we had this halloween thing and it was like our middle
[00:39:56.560 --> 00:40:04.080]   school kids and a2k they like it was amazing like the setup and thoughtfulness yeah you know and so i think
[00:40:04.080 --> 00:40:09.920]   just my perspective of like yeah how do we need to grow as kingdom workers it's not just a narrow set
[00:40:09.920 --> 00:40:13.440]   of like i'm doing college ministry and these are the things i need to be able to do as a college
[00:40:13.440 --> 00:40:18.240]   minister like it's like no no you're a minister and maybe right now you're doing college ministry
[00:40:18.240 --> 00:40:24.640]   but you know i want to like myself and everyone like we got to keep growing in all kinds of ways so
[00:40:24.640 --> 00:40:30.800]   that we can be kingdom workers in whatever context you know and so that picture of context is like way more
[00:40:30.800 --> 00:40:36.000]   rich for me after this year so yeah i mean it goes back to that what i said at the beginning of
[00:40:36.000 --> 00:40:43.120]   the podcast launching lifelong kingdom workers and so um not putting your identity in like the particular
[00:40:43.120 --> 00:40:49.360]   kind of ministry i'm doing but that i'm just a minister oh forever and to whoever god needs me to be
[00:40:49.360 --> 00:40:54.800]   and there's something very healthy about that yeah i think my experience of that because i love the fact
[00:40:54.800 --> 00:41:00.560]   that i am i have touch points at ecm and dream center and you know even helping out impact for a
[00:41:00.560 --> 00:41:05.920]   few weeks i think it gives me greater confidence in the gospel in the church because i look around and
[00:41:05.920 --> 00:41:12.560]   i'm like oh man when you're 75 or 80 years old you need the gospel when you're six year old yeah you need
[00:41:12.560 --> 00:41:18.880]   the gospel you know and i'm like oh there's so much need out there and so it just kind of elevates my own
[00:41:18.880 --> 00:41:25.280]   thinking of my my own life also you know and um gives me confidence in the fact that like what we
[00:41:25.280 --> 00:41:31.840]   need to do out there is really um something that people um really need you know um so nothing is in
[00:41:31.840 --> 00:41:37.840]   vain you know and we just got to keep sewing out there yeah so so speaking of other ministries and
[00:41:37.840 --> 00:41:42.640]   things can you tell us a little bit about studio nova before we have to wrap up here like how's it been
[00:41:42.640 --> 00:41:46.800]   i don't know what's going on with studio yeah just what is it and why are we diving into it how's it
[00:41:46.800 --> 00:41:54.480]   been yeah yeah how's it going yeah well it started with you know a lot of i everyone saw the presentation
[00:41:54.480 --> 00:42:00.640]   but you know school is not just like about school anymore and there's a lot of different yeah um but
[00:42:00.640 --> 00:42:06.480]   also the other reality is you know our kids are not learning um as much as they could be learning and
[00:42:06.480 --> 00:42:12.720]   now it's very clear to us because kids took an assessment and now we know where they are and
[00:42:12.720 --> 00:42:17.200]   they're they're you know because we don't let them watch tv and they read all the time they're very
[00:42:17.200 --> 00:42:23.520]   very smart they're just under challenge they're under challenge so we are trying to test them
[00:42:23.520 --> 00:42:27.760]   and he was like 11th grade level yeah reading at the 11th grade level yeah yeah although we probably
[00:42:27.760 --> 00:42:35.200]   have to strike that from that because it's confidential but yeah it's okay um but yeah but we're um so
[00:42:35.200 --> 00:42:41.760]   student nova it's an accredited private school um and i'm really excited about all that they're gonna
[00:42:41.760 --> 00:42:50.160]   learn um i think i'm also excited about like all the ways that our our kids are gonna learn in outside
[00:42:50.160 --> 00:42:54.960]   of the curriculum so some of the things that we have planned because the curriculum part where they're
[00:42:54.960 --> 00:43:00.960]   learning um and you know they're not like doing we're not the micro school yeah the micro school part
[00:43:00.960 --> 00:43:05.920]   they're doing their online learning lessons you know so so let me just it's a private school with
[00:43:05.920 --> 00:43:12.000]   an online curriculum and so the benefit is that a student will come and they'll take an assessment
[00:43:12.000 --> 00:43:18.800]   and then they'll have an education pathway that's kind of custom made for them kind of where they're at
[00:43:18.800 --> 00:43:24.240]   and like what gaps in knowledge or understanding that need to be filled and so it's a custom pattern that
[00:43:24.240 --> 00:43:28.720]   way and so in that way they're not hopefully they're not like super bored right as they're sitting in the
[00:43:28.720 --> 00:43:34.880]   classroom and so um that's one benefit you know and then um so they operate out of sac uh close by
[00:43:34.880 --> 00:43:41.520]   sacramento and we're going to start an alameda campus here um at hb um and so what where are we
[00:43:41.520 --> 00:43:49.680]   starting uh january like next month yeah oh wow right after um winter camp so we have about 20 24 25
[00:43:49.680 --> 00:43:54.080]   kids um who are going to start it's going to be a micro school so it's everyone from first and then we
[00:43:54.080 --> 00:43:59.280]   have a first grade through we have a few middle schoolers and so they're all in one classroom kind
[00:43:59.280 --> 00:44:07.520]   of doing their their coursework together on their separate computers um and but it's kind of a a community
[00:44:07.520 --> 00:44:14.400]   feel where the older younger one room yeah one room classroom yeah exactly and so um and then after
[00:44:14.400 --> 00:44:19.600]   they're done with the online curriculum then we'll have enrichment classes um and everything from
[00:44:19.600 --> 00:44:26.320]   foreign languages to 3d printing you know yeah so we have parents um lined up to teach different
[00:44:26.320 --> 00:44:33.760]   things not like take turns yeah so we're teaching korean we're teaching chinese um we're teaching piano
[00:44:33.760 --> 00:44:38.800]   but through these things called melodicas what you can look it up it's kind of a funny instrument where
[00:44:38.800 --> 00:44:45.760]   you have to blow into a tube to make sound yeah yeah um basic music theory and melodicas we have a chapel
[00:44:45.760 --> 00:44:52.000]   hour where they're going to gain more fluency in scripture there's fun stuff too like ping pong pe
[00:44:52.000 --> 00:45:01.760]   there's bibliopolis so it's like it's like online private like one room house like like like schoolhouse
[00:45:01.760 --> 00:45:08.400]   camp yeah all together the learning time is only like a couple hours three hours yeah so the afternoon
[00:45:08.400 --> 00:45:13.200]   time is what we're providing and how are the kids like are they excited about this like how are they
[00:45:13.200 --> 00:45:17.600]   oh really they're not like they're missing regular school they don't want to do this well right now
[00:45:17.600 --> 00:45:24.320]   they're excited okay yeah we hope they're gonna i think they're like willing participants yeah yeah yeah
[00:45:24.320 --> 00:45:29.600]   yeah actually that's one thing like if their child really doesn't want to do it like that's something we
[00:45:29.600 --> 00:45:33.840]   want to talk to the parents about it but we have not had situations like that actually we had the
[00:45:33.840 --> 00:45:38.560]   opposite where it was like we only want to do first through fifth and then these older kids are like
[00:45:38.560 --> 00:45:46.080]   wait a minute like we want to learn we're not learning we want to do it so yeah i had this
[00:45:46.080 --> 00:45:52.720]   and so you guys are like the headmistress and headmaster no no no emily kim oh emily kim is like
[00:45:52.720 --> 00:46:02.240]   superintendent principal yeah we kind of do all the logistical yeah work so yeah gosh gosh so then we're
[00:46:02.240 --> 00:46:07.680]   we're highlighting this yeah to see i guess the benefit of our network is to see if there's just better
[00:46:07.680 --> 00:46:15.440]   education for our kids as well as just other yeah yeah okay that's kind of neat never thought never
[00:46:15.440 --> 00:46:21.440]   thought we'd be doing this i know we didn't know i mean it was like fit lit training but we're starting
[00:46:21.440 --> 00:46:29.840]   a school yeah that wasn't in the draft description i started a micro school i have one final thing before
[00:46:29.840 --> 00:46:35.840]   we wrap up because i think we gotta end it kind of soon it's been a lot we covered but um tell us going back
[00:46:35.840 --> 00:46:39.760]   back to the fit lit program i just want to hear a little bit about how it's been in terms of
[00:46:39.760 --> 00:46:45.040]   your your group so you mentioned you're in cohorts right um there's 10 couples nine couples
[00:46:45.040 --> 00:46:49.360]   nine couples and it's very different from our experience so our experience six couples it was
[00:46:49.360 --> 00:46:54.480]   six couples and the youngest of us was 2013 and the oldest was 2010 so it's a four-year age gap
[00:46:54.480 --> 00:46:59.440]   what is it for you guys it's like it's like a decade right it's 2014 thanks for highlighting that
[00:46:59.440 --> 00:47:12.880]   yeah yeah but how's that been like interpersonally like what do you appreciate about the other guys
[00:47:12.880 --> 00:47:18.240]   what what bugs you about them if you want like yeah just how's it been doing this with this kind of wild
[00:47:18.240 --> 00:47:24.640]   and crazy group you know like these guys josh and dj and yeah it's a lot of fun it's great it's so fun yeah
[00:47:24.640 --> 00:47:30.880]   i think this like intergenerational cohort of fitlets is it really has been a lot of fun i think
[00:47:30.880 --> 00:47:36.800]   we all bring a little bit of a different dynamic to the table but it all kind of works together and
[00:47:36.800 --> 00:47:42.960]   i think you know like uh you're talking about erts and i was like man there's such community creating
[00:47:42.960 --> 00:47:48.080]   power when we're all out there kind of doing this thing together you know and so that picture of all
[00:47:48.080 --> 00:47:54.640]   of us doing our little like special talks on our own um and just trying things we're like what are we
[00:47:54.640 --> 00:48:02.080]   supposed to do is this gonna work i don't know let's just go for it you know um yeah it just it it it
[00:48:02.080 --> 00:48:07.840]   really brings i think a lot of us it has brought a lot of us together um and even the day-to-day is a
[00:48:07.840 --> 00:48:14.240]   lot of fun so um we could be hanging from scaffolding 30 feet in the air in the cold you know or cooking
[00:48:14.240 --> 00:48:20.880]   breakfast at 6 a.m yeah um doesn't matter it as long as you know we have people that we enjoy being
[00:48:20.880 --> 00:48:26.240]   with and and have that community there then i feel like we can do uh that you know a lot of things are
[00:48:26.240 --> 00:48:31.360]   possible you know so yeah and it seems like you guys like have your system down for like erts like
[00:48:31.360 --> 00:48:35.120]   everyone kind of knows their role and like you don't even talk about it i heard like you just go on
[00:48:35.120 --> 00:48:40.880]   campus and it's like automatic completely in sync yeah yeah yeah after we've been doing these things
[00:48:40.880 --> 00:48:46.240]   for so many times until the newest idea comes and then we'll kind of figure things out you know but
[00:48:46.240 --> 00:48:55.440]   even that's a fun process yeah i think um the age it doesn't it i don't know that i think about it
[00:48:55.440 --> 00:49:01.600]   you know like there's like brian mount um dre they're like the youngest but there's things i learn you
[00:49:01.600 --> 00:49:06.400]   know from them ben and helen they're like the fit lit parents you know they kind of like keep track
[00:49:06.400 --> 00:49:14.720]   of us and like know what's going on and stuff and um but i think it just i think one thing about
[00:49:14.720 --> 00:49:22.640]   experiencing it together the fit lit program is it just made me um value just our church so much more
[00:49:22.640 --> 00:49:28.400]   in some ways because it's like when you're all in you know you have a group of people that are all in
[00:49:29.120 --> 00:49:35.600]   and you have the same goals and the same vision and you want to do the same thing you experience
[00:49:35.600 --> 00:49:41.600]   just such camaraderie you know and there's and then when there's like not you know ego in the room
[00:49:41.600 --> 00:49:45.680]   and like because you know we're all in the same room and it's like whether you're old or you're young
[00:49:45.680 --> 00:49:52.640]   like you know you're cooking breakfast yeah yeah you know it's like yeah so you're receiving truth you
[00:49:52.640 --> 00:49:57.360]   know like as it is and it's like but it's not a big deal you know because we're here to grow and learn
[00:49:57.360 --> 00:50:05.440]   and you know reach you know the world right so um in that way i think yeah kind of like in a concentrated
[00:50:05.440 --> 00:50:13.120]   way experience like just oneness and fellowship that i think yeah you can only have that i think in
[00:50:13.120 --> 00:50:19.120]   partnership with the gospel like true deep part with like years of history and shared values and
[00:50:19.120 --> 00:50:24.720]   all of that so yeah yeah what i'm hearing you say from that is just uh i mean i think something i
[00:50:24.720 --> 00:50:29.280]   experienced too infinite and since planning with a lot of the people that we are trained with you know
[00:50:29.280 --> 00:50:34.080]   like we planted philly together and now he's just said rutgers an hour away it's just appreciate
[00:50:34.080 --> 00:50:39.120]   like when so many ministers today it's just them you know and so many pastors are burning out because
[00:50:39.120 --> 00:50:44.720]   there's just like we actually get to do this with a lot of people and we get to do this in very close
[00:50:44.720 --> 00:50:50.320]   community and that's like that really is the thing that's gonna strengthen us for the like the long
[00:50:50.320 --> 00:50:54.720]   yeah i think i've been seeing that like we're just super lucky like no shade on other pastors i mean
[00:50:54.720 --> 00:51:00.000]   they're heroes like they yes yeah i'm i don't think i could do what they do on my own for sure but yeah
[00:51:00.000 --> 00:51:06.320]   the fact that we get to do it together it just makes it so much more just doable yeah it really um for me
[00:51:06.320 --> 00:51:12.960]   also um going back to your lifelong kingdom workers like this is um one of the benefits of it is being
[00:51:12.960 --> 00:51:20.320]   able to see someone when they were a freshman and then like like brian or calvin yeah and then working
[00:51:20.320 --> 00:51:26.320]   alongside them now yeah you know uh it's such a neat kind of journey to be on with them you know it only
[00:51:26.320 --> 00:51:33.360]   comes through covenant relationship and and common commitment you know um but man what a what a what a
[00:51:33.360 --> 00:51:38.320]   what a precious experience it is to be able to do that with um people for this long would your younger
[00:51:38.320 --> 00:51:44.560]   self have ever believed that brian matt would be a fifth day today at this time so the first time brian
[00:51:44.560 --> 00:51:51.120]   came over to my house right he we we had dinner we cooked dinner and he had dinner and then um i was
[00:51:51.120 --> 00:51:55.920]   like all right guys like let's uh can can can you guys help clean up right and i was like brian can
[00:51:55.920 --> 00:52:00.000]   you do the dishes and then he goes from the dining table to the couch plops down on the couch and he
[00:52:00.000 --> 00:52:07.600]   goes i don't do dishes we'll leave it at that draw your own conclusions that's a good place to stop
[00:52:07.600 --> 00:52:13.040]   there that's a good place to stop there i always have vision for people so i'm not surprised but i'm
[00:52:13.040 --> 00:52:17.760]   you know i don't ever say nice things about him so i'm gonna say it right now on the record i'm
[00:52:17.760 --> 00:52:23.200]   i'm encouraged by him yeah no i was brian mouse leader for a year or two i was my first time
[00:52:23.200 --> 00:52:28.000]   leading staff so i don't know what i did i probably did a lot of ministry malpractice on him but praise
[00:52:28.000 --> 00:52:33.680]   the lord that's all i gotta say praise the lord well thank you guys for coming on i think that was like
[00:52:33.680 --> 00:52:40.640]   so much uh there to unpack but um yeah thank you um tune in next time like subscribe gotta say it
[00:52:41.360 --> 00:52:48.160]   and uh yeah thank you guys so much thank you guys thank you

