
[00:00:00.000 --> 00:00:04.000]   When you're in winter's favorite town,
[00:26:34.000 --> 00:26:36.000]   So, first of all, it can be fun.
[00:26:36.000 --> 00:26:40.000]   And if you want to travel just because it's interesting to you, I think you can.
[00:26:40.000 --> 00:26:45.000]   I met a guy when we were RV traveling that I thought was such an interesting story.
[00:26:45.000 --> 00:26:48.000]   A lot of people who RV travel, they'd have different approaches.
[00:26:48.000 --> 00:26:56.000]   But my family and I, we were in Wyoming, this little RV campground, a municipal campground, really in the middle of nowhere.
[00:26:56.000 --> 00:27:00.000]   And we pulled in and we're kind of walking around meeting people.
[00:27:00.000 --> 00:27:08.000]   And there's this big, beautiful class A coach there, this really nice Tiffin motor coach, big, fancy, black.
[00:27:08.000 --> 00:27:12.000]   I mean, just one of the really nice three-quarter-million-dollar rigs.
[00:27:12.000 --> 00:27:14.000]   And I started talking to the guy.
[00:27:14.000 --> 00:27:18.000]   And the guy comes out and we start talking, you know, the typical "How are you? What do you do?" kind of thing.
[00:27:18.000 --> 00:27:20.000]   And I find out he's not retired.
[00:27:20.000 --> 00:27:23.000]   He and his wife actually had a house in Denver.
[00:27:23.000 --> 00:27:29.000]   But what he did was he bought this coach because he enjoyed traveling around in the coach.
[00:27:29.000 --> 00:27:37.000]   He worked full-time as a customer service representative for doing remote customer support work for a technology company in the United States.
[00:27:37.000 --> 00:27:53.000]   So he had a very muscular internet connectivity system with a MIMO antenna system for his cell phone, MIMO multiple in, multiple out, high-quality fast access, a satellite backup, et cetera.
[00:27:53.000 --> 00:27:55.000]   He had all the tech.
[00:27:55.000 --> 00:27:58.000]   And inside he had just a standard home office setup.
[00:27:58.000 --> 00:28:05.000]   And he was on the clock during standard working hours providing customer support on the clock.
[00:28:05.000 --> 00:28:17.000]   But what he enjoyed the most was when he finished up his workday at 5 o'clock, instead of being in the same town, the same house, the same routine, et cetera, he was always in a new town, a new place.
[00:28:17.000 --> 00:28:24.000]   And so he would go out and try a little café for dinner and explore a little town and go see some little out-of-the-way museum.
[00:28:24.000 --> 00:28:29.000]   He sometimes traveled with his wife and then they would spend the weekends exploring some little town.
[00:28:29.000 --> 00:28:31.000]   And I just thought, "How cool is that?"
[00:28:31.000 --> 00:28:35.000]   He's just decided this is a different way that he wants to live.
[00:28:35.000 --> 00:28:42.000]   And so you can open up opportunities just to enjoy a different lifestyle if you want to.
[00:28:42.000 --> 00:28:45.000]   There are geo-arbitrage opportunities, right?
[00:28:45.000 --> 00:28:48.000]   You can earn in dollars and spend in pesos.
[00:28:48.000 --> 00:28:53.000]   That's pretty powerful in some places depending on where you go.
[00:28:53.000 --> 00:29:05.000]   The ability to earn in dollars or earn in euros and spend in pesos or spend in, what is it here in Costa Rica, colones, can be a pretty neat opportunity sometimes.
[00:29:05.000 --> 00:29:09.000]   It opens up international diversification.
[00:29:09.000 --> 00:29:13.000]   That can open up some tax efficiency depending on how you plan, right?
[00:29:13.000 --> 00:29:18.000]   I just spent four days at the Nomad Capitalist live conference in Playa del Carmen, Mexico.
[00:29:18.000 --> 00:29:21.000]   I'll share with you a separate report on what I earned there.
[00:29:21.000 --> 00:29:28.000]   But depending on where you are, this can give you the chance to dramatically reduce or eliminate your taxes.
[00:29:28.000 --> 00:29:31.000]   I think this is great for U.S. American citizens.
[00:29:31.000 --> 00:29:36.000]   This can now open up the ability, maybe you earn $108,000 a year.
[00:29:36.000 --> 00:29:48.000]   Well, if you just physically go outside of the United States for 330 days a year, you can eliminate your federal income tax on about your first $108,000 of income.
[00:29:48.000 --> 00:29:50.000]   That's pretty cool.
[00:29:50.000 --> 00:29:56.000]   If you set it up properly, depending on the kind of work that you do, you may also be able to eliminate your employment taxes.
[00:29:56.000 --> 00:29:58.000]   That's also pretty cool.
[00:29:58.000 --> 00:30:08.000]   It can be sometimes a 15 or possibly maybe 20% reduction or increase in your spendable wages because of your physically leaving the United States.
[00:30:08.000 --> 00:30:12.000]   The example I gave to the journalist was pretty simple, right?
[00:30:12.000 --> 00:30:14.000]   Think of that guy that I just mentioned with his motor coach.
[00:30:14.000 --> 00:30:16.000]   He's got a cell phone.
[00:30:16.000 --> 00:30:22.000]   Canada and Mexico have just as fast, in some cases faster, cell phone speeds that the United States does.
[00:30:22.000 --> 00:30:24.000]   A satellite internet may or may not work.
[00:30:24.000 --> 00:30:26.000]   I don't know what system he was on.
[00:30:26.000 --> 00:30:37.000]   But he can take his motor coach, and if he just simply spends – both Canada and Mexico offer 180-day tourist visas to U.S. Americans.
[00:30:37.000 --> 00:30:42.000]   So he could go and he could spend 170 days in Mexico during the winter.
[00:30:42.000 --> 00:30:52.000]   Then he could drive leisurely through the United States up to Canada and spend 170 days per year in Canada during the summer.
[00:30:52.000 --> 00:31:04.000]   And in both of those cases, he probably shouldn't, as an RVer being there less than 183 days, living as a tourist, he probably shouldn't be setting up a tax residency in either of those countries.
[00:31:04.000 --> 00:31:11.000]   And yet he can also eliminate his U.S. income taxes on his first $108,000 of income while living the lifestyle that he wants to live.
[00:31:11.000 --> 00:31:13.000]   That could be pretty cool.
[00:31:13.000 --> 00:31:19.000]   Now, U.S. has in some ways a much better infrastructure for RVers than either Canada or Mexico, but you get the point.
[00:31:19.000 --> 00:31:22.000]   The point is that you can do some geo-arbitrage there.
[00:31:22.000 --> 00:31:35.000]   And so when you start putting these factors one on top of another, potential tax savings, potential lower cost of living to earn in dollars, spend in pesos, it's pretty neat, pretty cool.
[00:31:35.000 --> 00:31:38.000]   And then the adventure side of it.
[00:31:38.000 --> 00:31:42.000]   We do a form of world schooling.
[00:31:42.000 --> 00:31:49.000]   At the Nomad Capital Slide presentation, I talked with the author of a book that I enjoyed on world schooling.
[00:31:49.000 --> 00:31:55.000]   We met, we were both on a panel presentation together, and we met there and then she gave a talk on world schooling.
[00:31:55.000 --> 00:32:03.000]   The author is Ashley Dimock-Ditello, and she wrote a book called World Schooling, How to Revolutionize Your Child's Education Through Travel.
[00:32:03.000 --> 00:32:05.000]   And so that can be neat, right?
[00:32:05.000 --> 00:32:08.000]   You want to teach your children multiple languages, you want to be in multiple places.
[00:32:08.000 --> 00:32:11.000]   Pretty cool, pretty cool ways to do it.
[00:32:11.000 --> 00:32:22.000]   And so the point is to say that these opportunities are real, they're genuine, they're open to you if you are interested in them.
[00:32:22.000 --> 00:32:38.000]   If I were to analyze the last five to ten years of my life, I think for themes, as I do regularly, one of the themes that has been constant in my work, my professional work as a financial planner is simply this.
[00:32:38.000 --> 00:32:39.000]   Why wait?
[00:32:39.000 --> 00:32:40.000]   Why?
[00:32:40.000 --> 00:32:41.000]   Why wait?
[00:32:41.000 --> 00:32:44.000]   I often say to people, right, you're rich.
[00:32:44.000 --> 00:32:46.000]   Now when are you going to start living like you're rich?
[00:32:46.000 --> 00:32:54.000]   I've talked to so many and consulted with so many millionaires who've never sat down and realized, "I'm a millionaire."
[00:32:54.000 --> 00:32:56.000]   And I'm like, "Okay, well, when are you going to start?"
[00:32:56.000 --> 00:33:01.000]   If you're not going to start living like a rich guy at a million dollars, when are you going to start living like a rich guy?
[00:33:01.000 --> 00:33:06.000]   Now you define what that means, but the point is in your head, why wait?
[00:33:06.000 --> 00:33:07.000]   Why?
[00:33:07.000 --> 00:33:09.000]   Why?
[00:33:09.000 --> 00:33:16.000]   Sometimes you wait for strategic reasons, but a lot of times, why wait?
[00:33:16.000 --> 00:33:17.000]   Why?
[00:33:17.000 --> 00:33:19.000]   Why wait?
[00:33:19.000 --> 00:33:24.000]   You don't have to.
[00:33:24.000 --> 00:33:27.000]   You don't have to, I promise you.
[00:33:27.000 --> 00:33:32.000]   You need at least a few thousand dollars, something, right?
[00:33:32.000 --> 00:33:34.000]   You don't technically need it, I guess.
[00:33:34.000 --> 00:33:35.000]   You could argue you don't need it.
[00:33:35.000 --> 00:33:38.000]   Life's a little bit better if you're not totally broke.
[00:33:38.000 --> 00:33:42.000]   So you need some money, you need a passport, you need a cell phone.
[00:33:42.000 --> 00:33:48.000]   And frankly, you could probably figure it all out from there.
[00:33:48.000 --> 00:33:55.000]   Now, let me pivot and just talk a little bit about, I guess, a few logistics.
[00:33:55.000 --> 00:34:02.000]   Because while that probably works for a single guy, I got a little bit more responsibility.
[00:34:02.000 --> 00:34:05.000]   I wouldn't do it with a few grand and a cell phone, right?
[00:34:05.000 --> 00:34:07.000]   Just too many people depending on me.
[00:34:07.000 --> 00:34:10.000]   I could do it, but I wouldn't do it because it's just uncomfortable.
[00:34:10.000 --> 00:34:13.000]   I'm a little more conservative than that.
[00:34:13.000 --> 00:34:20.000]   So when you're a single guy, single girl, right, you can just travel.
[00:34:20.000 --> 00:34:22.000]   It's simple.
[00:34:22.000 --> 00:34:24.000]   Save a little money, you can go.
[00:34:24.000 --> 00:34:29.000]   When you do have children, it does add a few more complications, a few more wrinkles.
[00:34:29.000 --> 00:34:35.000]   Without question, it adds more cost, sometimes substantially more cost,
[00:34:35.000 --> 00:34:39.000]   depending on the way that you do it.
[00:34:39.000 --> 00:34:44.000]   There's a big difference between what we've done in the past, RVing,
[00:34:44.000 --> 00:34:48.000]   versus what we are doing now, airplaning and hotelling.
[00:34:48.000 --> 00:34:53.000]   Now, you can mitigate some of those costs, but the point is with RVing,
[00:34:53.000 --> 00:34:59.000]   you're generally not having a multiplying effect per head.
[00:34:59.000 --> 00:35:04.000]   Usually you have a vehicle, a camper, and a campsite fee.
[00:35:04.000 --> 00:35:09.000]   Food costs a little bit more, but often it's not six times more,
[00:35:09.000 --> 00:35:12.000]   if you have four children like we do.
[00:35:12.000 --> 00:35:17.000]   Gas doesn't cost six times more because you have four extra children in the car.
[00:35:17.000 --> 00:35:20.000]   Your campsite, even though some campgrounds do charge per head,
[00:35:20.000 --> 00:35:22.000]   they don't charge six times more per head.
[00:35:22.000 --> 00:35:28.000]   And so you can moderate your costs quite a bit in some styles of travel like RVing,
[00:35:28.000 --> 00:35:30.000]   like driving.
[00:35:30.000 --> 00:35:32.000]   Airplanes, it's hard.
[00:35:32.000 --> 00:35:34.000]   I buy six airplane tickets at a time.
[00:35:34.000 --> 00:35:36.000]   Every dollar counts.
[00:35:36.000 --> 00:35:38.000]   That's significant.
[00:35:38.000 --> 00:35:42.000]   Hotel rooms are difficult because you outgrow one hotel room.
[00:35:42.000 --> 00:35:48.000]   Most hotels will not let you book one room for more than four people.
[00:35:48.000 --> 00:35:50.000]   You can find some bigger, right?
[00:35:50.000 --> 00:35:52.000]   You can get some suites where you can do it,
[00:35:52.000 --> 00:35:55.000]   but most won't let you book one room with more than four people.
[00:35:55.000 --> 00:35:58.000]   I've had good success, because my children are quite young.
[00:35:58.000 --> 00:36:03.000]   I have had good success of booking one hotel room with double beds
[00:36:03.000 --> 00:36:07.000]   and then just simply saying, "Listen, my kids are really young.
[00:36:07.000 --> 00:36:09.000]   I don't want two rooms."
[00:36:09.000 --> 00:36:11.000]   But that's not going to last forever, right?
[00:36:11.000 --> 00:36:13.000]   There's going to be a point in time pretty soon in which
[00:36:13.000 --> 00:36:15.000]   you just always got to book two hotel rooms.
[00:36:15.000 --> 00:36:19.000]   Airbnbs are nice, but still you pay more for the bigger houses
[00:36:19.000 --> 00:36:21.000]   than you pay per head in a lot of cases.
[00:36:21.000 --> 00:36:26.000]   And so there are some costs involved.
[00:36:26.000 --> 00:36:33.000]   The biggest challenge that I find with children is not cost on the expense side.
[00:36:33.000 --> 00:36:37.000]   I find it's cost on the income side.
[00:36:37.000 --> 00:36:40.000]   Children need more hand-holding.
[00:36:40.000 --> 00:36:43.000]   They need more entertaining.
[00:36:43.000 --> 00:36:47.000]   And that takes away necessarily from work time.
[00:36:47.000 --> 00:36:50.000]   When we traveled around the United States, we had three children in an RV.
[00:36:50.000 --> 00:36:52.000]   And we went out. We didn't know how long we were going to go.
[00:36:52.000 --> 00:36:55.000]   We wound up traveling for six months.
[00:36:55.000 --> 00:36:58.000]   The reason we didn't travel longer was twofold.
[00:36:58.000 --> 00:37:02.000]   Number one, we conceived a baby, decided to do birth tourism,
[00:37:02.000 --> 00:37:04.000]   decided to leave the United States.
[00:37:04.000 --> 00:37:09.000]   So that's kind of a pressing date function for when the baby is going to be born.
[00:37:09.000 --> 00:37:12.000]   Baby is going to be born by some day, one way or another.
[00:37:12.000 --> 00:37:16.000]   The second reason was my wife was not having as much fun as I hoped she had
[00:37:16.000 --> 00:37:18.000]   on that particular trip.
[00:37:18.000 --> 00:37:21.000]   My wife is awesome. She is really cool.
[00:37:21.000 --> 00:37:25.000]   And she's very adventurous.
[00:37:25.000 --> 00:37:28.000]   She's very capable, able to do a lot.
[00:37:28.000 --> 00:37:33.000]   But the annoying thing to her with traveling in the RV with very young children
[00:37:33.000 --> 00:37:37.000]   is that the very young children required a lot of supervision.
[00:37:37.000 --> 00:37:42.000]   And it's simply a lot more work for a mother to supervise young children
[00:37:42.000 --> 00:37:49.000]   in sometimes dangerous, sometimes unknown, and always changing circumstances
[00:37:49.000 --> 00:37:53.000]   than it is to be in your own home.
[00:37:53.000 --> 00:37:57.000]   A parent with young children knows that your own home is generally
[00:37:57.000 --> 00:38:00.000]   the most relaxing space.
[00:38:00.000 --> 00:38:03.000]   It may be baby-proofed, child-proofed in some way.
[00:38:03.000 --> 00:38:06.000]   You know that you've taken away the expensive vase.
[00:38:06.000 --> 00:38:09.000]   You've put away the dangerous chemicals.
[00:38:09.000 --> 00:38:14.000]   You've put the knives on the knife board up high where the baby can't easily get them.
[00:38:14.000 --> 00:38:17.000]   And while certainly you can come into the kitchen and find your toddler
[00:38:17.000 --> 00:38:21.000]   standing on top of the refrigerator, you at least know what the dangers are.
[00:38:21.000 --> 00:38:25.000]   And if the house is secured in some way, it's a pretty relaxing place to be.
[00:38:25.000 --> 00:38:28.000]   You can send the children to play in the other room.
[00:38:28.000 --> 00:38:30.000]   They know where the toys are, and they're engaged with that.
[00:38:30.000 --> 00:38:33.000]   The road is not that way.
[00:38:33.000 --> 00:38:35.000]   The road can be that way to a certain extent.
[00:38:35.000 --> 00:38:38.000]   So when we were RVing, we had a trailer.
[00:38:38.000 --> 00:38:42.000]   It wasn't a huge trailer, 30 feet. It wasn't tiny, but it wasn't huge.
[00:38:42.000 --> 00:38:47.000]   And so you can have toys and have a space, but still, it's tough to have babies underfoot
[00:38:47.000 --> 00:38:50.000]   and have toys everywhere, etc.
[00:38:50.000 --> 00:38:56.000]   The outside with campgrounds for very young children is full of all kinds of unknowns.
[00:38:56.000 --> 00:38:59.000]   There's roads with people going by. There's cliffs. There's streams.
[00:38:59.000 --> 00:39:02.000]   There's just the fact that children want to be near their parents.
[00:39:02.000 --> 00:39:06.000]   And so unlike where your backyard where they're comfortable, they're secure,
[00:39:06.000 --> 00:39:13.000]   they can go out and perhaps play for 11 minutes, with young children,
[00:39:13.000 --> 00:39:15.000]   they can go about 60 seconds.
[00:39:15.000 --> 00:39:17.000]   And then, "Mommy, Mommy, come play with me."
[00:39:17.000 --> 00:39:19.000]   And so it was a lot of work for her.
[00:39:19.000 --> 00:39:22.000]   Now I think that changes dramatically with having older children.
[00:39:22.000 --> 00:39:29.000]   When we RVed, our eldest was 5, 4, 4 or 5, 4 and 5.
[00:39:29.000 --> 00:39:34.000]   Now our eldest is 7, coming pretty quickly up on 8.
[00:39:34.000 --> 00:39:35.000]   And so that makes a big difference.
[00:39:35.000 --> 00:39:37.000]   We also have more children now, more children that are older.
[00:39:37.000 --> 00:39:40.000]   So now they actually can do better.
[00:39:40.000 --> 00:39:43.000]   If we went and camped in an RV at this point in time,
[00:39:43.000 --> 00:39:48.000]   I would be much more comfortable sending the older children out by themselves
[00:39:48.000 --> 00:39:54.000]   in a constrained area, this campground loop, etc., and they would be fine.
[00:39:54.000 --> 00:39:55.000]   And they would enjoy their adventures.
[00:39:55.000 --> 00:39:58.000]   In fact, I think we will RV again at some point in the future
[00:39:58.000 --> 00:40:01.000]   because we're moving into a phase where that will be much more fun.
[00:40:01.000 --> 00:40:06.000]   But it wasn't a ton of fun for my wife with younger children.
[00:40:06.000 --> 00:40:09.000]   Because it wasn't a ton of fun for my wife with younger children,
[00:40:09.000 --> 00:40:11.000]   that required more from me.
[00:40:11.000 --> 00:40:16.000]   The biggest challenge for me in RVing was, "When am I going to work
[00:40:16.000 --> 00:40:19.000]   and where am I going to work?
[00:40:19.000 --> 00:40:21.000]   When and where am I going to work?
[00:40:21.000 --> 00:40:22.000]   I got to get work done.
[00:40:22.000 --> 00:40:23.000]   When and where am I going to do it?
[00:40:23.000 --> 00:40:24.000]   I need to work."
[00:40:24.000 --> 00:40:29.000]   And I wasn't able to be as productive as I wanted to be.
[00:40:29.000 --> 00:40:31.000]   And so that was difficult.
[00:40:31.000 --> 00:40:33.000]   So when we left the United States, we did a little bit of travel
[00:40:33.000 --> 00:40:34.000]   and then we set up a base, right?
[00:40:34.000 --> 00:40:37.000]   We rented a house, set things up.
[00:40:37.000 --> 00:40:41.000]   And that was very, very important for my personal productivity.
[00:40:41.000 --> 00:40:47.000]   It was also important for that phase of our family life where just my wife,
[00:40:47.000 --> 00:40:48.000]   you know, she does a lot.
[00:40:48.000 --> 00:40:53.000]   She does more than a lot, homeschooling, taking care of house, etc.
[00:40:53.000 --> 00:40:54.000]   It's a lot of work.
[00:40:54.000 --> 00:40:58.000]   And so by her having a more comfortable surroundings,
[00:40:58.000 --> 00:41:03.000]   that freed me up to be able to do more work, to get more work done.
[00:41:03.000 --> 00:41:08.000]   Now, we're possibly at a different phase, right?
[00:41:08.000 --> 00:41:11.000]   Our youngest is now two.
[00:41:11.000 --> 00:41:13.000]   We don't have a baby.
[00:41:13.000 --> 00:41:15.000]   It frees things up to travel a little bit.
[00:41:15.000 --> 00:41:19.000]   And the older is now able to do a lot more.
[00:41:19.000 --> 00:41:24.000]   My biggest concern about our full-time nomad travel is simply going to be the same factor.
[00:41:24.000 --> 00:41:29.000]   It is simply going to be, well, how much work is this for her?
[00:41:29.000 --> 00:41:33.000]   Because if this is too much work for her, I need to work.
[00:41:33.000 --> 00:41:37.000]   I may not need to work 70 hours a week, but I still need to work.
[00:41:37.000 --> 00:41:43.000]   So if I'm going to work, then where and how am I going to do that?
[00:41:43.000 --> 00:41:44.000]   Which is easier now, right?
[00:41:44.000 --> 00:41:46.000]   We've got co-working spaces more common.
[00:41:46.000 --> 00:41:51.000]   But more importantly, how is she going to have what she needs to take care of the children?
[00:41:51.000 --> 00:41:55.000]   That's your biggest single--as a husband and father, that's your single biggest logistical problem.
[00:41:55.000 --> 00:41:57.000]   It's not, okay, how do I get an Internet connection?
[00:41:57.000 --> 00:41:58.000]   That's easy.
[00:41:58.000 --> 00:42:03.000]   Single biggest logistical problem is what does my wife do with the children so that she can handle it herself
[00:42:03.000 --> 00:42:06.000]   so that you can be freed up to work?
[00:42:06.000 --> 00:42:08.000]   So you've got to give some thought to that.
[00:42:08.000 --> 00:42:12.000]   Now, what I'll tell you is it doesn't all have to be perfect.
[00:42:12.000 --> 00:42:19.000]   And here's one thing I have come to appreciate about the ability to be nomadic.
[00:42:19.000 --> 00:42:26.000]   In a lot of cases, the ability to do something is virtually as good as actually doing it.
[00:42:26.000 --> 00:42:31.000]   Knowing that you can quit the job is probably almost as good as quitting the job
[00:42:31.000 --> 00:42:34.000]   because you're in a tougher space and you always know, "I could quit," right?
[00:42:34.000 --> 00:42:37.000]   Financially independent or I have savings or I have another job offer.
[00:42:37.000 --> 00:42:40.000]   Knowing it is a long way towards actually doing it.
[00:42:40.000 --> 00:42:51.000]   And so one of the things that I love about being nomadic is that being nomadic can have different definitions along the way.
[00:42:51.000 --> 00:43:00.000]   Just like we argue about what it means to be retired, you can argue the same thing about what it means to be nomadic.
[00:43:00.000 --> 00:43:04.000]   Being retired can mean, "All right, I'm not working right now."
[00:43:04.000 --> 00:43:08.000]   But then you can be unretired as quickly as you want to be.
[00:43:08.000 --> 00:43:15.000]   In the same way, being nomadic right now, we've got six tiny suitcases and a backpack of work gear for me.
[00:43:15.000 --> 00:43:20.000]   But anytime you want to, you can always just stop and be un-nomadic.
[00:43:20.000 --> 00:43:30.000]   And if you compile these opportunities you have, you add in your internet connection, right?
[00:43:30.000 --> 00:43:31.000]   That's anywhere in the world.
[00:43:31.000 --> 00:43:33.000]   Time zones can be a bit tricky.
[00:43:33.000 --> 00:43:40.000]   But if you have a job, you have income source, the definition of where you live can be a very fluid concept.
[00:43:40.000 --> 00:43:44.000]   When we were in Mexico, we were staying in hotels, moving very regularly.
[00:43:44.000 --> 00:43:50.000]   I did not get very much work done over the last two weeks because hotels are very, very difficult.
[00:43:50.000 --> 00:43:51.000]   They're stressful.
[00:43:51.000 --> 00:43:53.000]   They're small, right?
[00:43:53.000 --> 00:43:56.000]   We rented some nice suites that worked, but still they're small.
[00:43:56.000 --> 00:44:01.000]   I had to be very careful not to leave the computer where the children can knock it off or things like that.
[00:44:01.000 --> 00:44:04.000]   There's not a lot of noise separation, not a lot of anything like that.
[00:44:04.000 --> 00:44:06.000]   It's just they're not as comfortable.
[00:44:06.000 --> 00:44:08.000]   And so I didn't get much work done.
[00:44:08.000 --> 00:44:10.000]   But now we're in a house, right?
[00:44:10.000 --> 00:44:11.000]   Rented house.
[00:44:11.000 --> 00:44:12.000]   So, okay, I can be here.
[00:44:12.000 --> 00:44:13.000]   Now I've got a month.
[00:44:13.000 --> 00:44:15.000]   My wife has a place to be with the kids.
[00:44:15.000 --> 00:44:17.000]   Can just simply be here.
[00:44:17.000 --> 00:44:18.000]   Then we'll go into hotels again.
[00:44:18.000 --> 00:44:20.000]   Then I'll rent another house.
[00:44:20.000 --> 00:44:30.000]   And so in today's back to the ease of traveling today's world, you can go on Airbnb right now and you can look at what houses are available for a three-month rent in any place in the world you want to check out.
[00:44:30.000 --> 00:44:32.000]   I want to go to Japan.
[00:44:32.000 --> 00:44:33.000]   Okay.
[00:44:33.000 --> 00:44:39.000]   Well, what can I rent for three months, six months hence in Japan and how much will that cost me?
[00:44:39.000 --> 00:44:44.000]   And the amazing thing about this revolution, which is even newer than all the previous revolutions, right?
[00:44:44.000 --> 00:44:51.000]   The sharing economy, the Airbnb world, is that now you can get whatever kind of property you think would be better for your family.
[00:44:51.000 --> 00:44:57.000]   And the wonderful thing about an Airbnb is that it comes ready to go.
[00:44:57.000 --> 00:44:59.000]   It comes with the power turned on.
[00:44:59.000 --> 00:45:01.000]   It comes with the water connected.
[00:45:01.000 --> 00:45:02.000]   It comes with the internet bill paid.
[00:45:02.000 --> 00:45:04.000]   It comes with the TV on.
[00:45:04.000 --> 00:45:08.000]   It comes with the furniture in there, some toys, some dishes, et cetera.
[00:45:08.000 --> 00:45:12.000]   And so really you can be a nomad one day.
[00:45:12.000 --> 00:45:15.000]   You can not be a nomad for three months.
[00:45:15.000 --> 00:45:17.000]   You can be a nomad again and not be a nomad, et cetera.
[00:45:17.000 --> 00:45:21.000]   It gets just so simple in today's world.
[00:45:21.000 --> 00:45:32.000]   I tell you this because I know that if you ever have been interested in this kind of thing, the thing holding you back is almost certainly not an actual logistical problem.
[00:45:32.000 --> 00:45:37.000]   It's almost certainly a fear of, well, what would we do if?
[00:45:37.000 --> 00:45:40.000]   And I have that same fear.
[00:45:40.000 --> 00:45:44.000]   My wife and I have talked about, okay, what do I do if this doesn't work?
[00:45:44.000 --> 00:45:47.000]   Well, the answer is simple.
[00:45:47.000 --> 00:45:50.000]   We'll stop.
[00:45:50.000 --> 00:45:53.000]   If this doesn't work, we'll stop.
[00:45:53.000 --> 00:45:59.000]   And it's important that you give yourself permission in advance to stop.
[00:45:59.000 --> 00:46:14.000]   One of the things that I have that's been valuable about my not being super public with our travels over the last few years and what we've done is that one reason why I did that was that it released me from performance pressure.
[00:46:14.000 --> 00:46:17.000]   I didn't have to fulfill some grand scheme.
[00:46:17.000 --> 00:46:22.000]   I didn't have to say we're traveling for a year and then six months in, in our case, we quit.
[00:46:22.000 --> 00:46:25.000]   I could do what -- I never put a time period on it.
[00:46:25.000 --> 00:46:29.000]   We just quit because that seemed like the best thing for our family to do.
[00:46:29.000 --> 00:46:32.000]   Now, obviously, any person can quit and change at any point in time.
[00:46:32.000 --> 00:46:33.000]   Like we're not children.
[00:46:33.000 --> 00:46:35.000]   We're not saying, oh, we have to do this because we said it.
[00:46:35.000 --> 00:46:39.000]   Like you could say something and then you can unsay it and change completely tomorrow.
[00:46:39.000 --> 00:46:44.000]   But it does help you to solve your problems, make things easier for yourself.
[00:46:44.000 --> 00:46:49.000]   And so one of the things that we've actually done right now is, okay, we don't know, right?
[00:46:49.000 --> 00:46:50.000]   We don't have a timeline.
[00:46:50.000 --> 00:46:57.000]   But I can promise you this, if what we're doing is not working, I will quit and we'll go back to something that is working.
[00:46:57.000 --> 00:47:10.000]   And if you build for yourself a location-independent income, if you build for yourself enough financial reserves that you're not beholden to this week's paycheck,
[00:47:10.000 --> 00:47:24.000]   and you start acting and build some reservoirs of experience, you start to realize you're actually pretty free.
[00:47:24.000 --> 00:47:26.000]   I don't expect to be a nomad for the rest of my life.
[00:47:26.000 --> 00:47:28.000]   I really don't.
[00:47:28.000 --> 00:47:36.000]   I found that I think what I like -- what I think I will like in the future is I think I will like the idea of just simply having multiple bases.
[00:47:36.000 --> 00:47:41.000]   Not just multiple homes, multiple places, but multiple bases, certainly.
[00:47:41.000 --> 00:47:50.000]   Because that allows me to have the community that I crave, the impact, the connections, the stability that I like.
[00:47:50.000 --> 00:47:54.000]   I don't think I'll be a full-time wandering nomad.
[00:47:54.000 --> 00:47:59.000]   I always find it interesting that God cursed Cain to being a nomad.
[00:47:59.000 --> 00:48:02.000]   That was Cain's curse for killing his brother Abel.
[00:48:02.000 --> 00:48:10.000]   He said, "You're going to wander the earth." And Cain said, "That's unbearable. They're going to kill me if I'm a wanderer."
[00:48:10.000 --> 00:48:13.000]   And God gave a sign that said, "Don't kill Cain."
[00:48:13.000 --> 00:48:20.000]   So I often wonder, is being a nomad actually a blessing or is it a curse?
[00:48:20.000 --> 00:48:31.000]   But what I love about the decisions that I've made, the things that I've done, is two things.
[00:48:31.000 --> 00:48:40.000]   Number one, I love the sense of personal freedom that I have.
[00:48:40.000 --> 00:48:46.000]   It's hard for me to imagine a greater sense of personal freedom than I have right now.
[00:48:46.000 --> 00:48:50.000]   Which is, as someone who cares about freedom, really a cool feeling.
[00:48:50.000 --> 00:48:53.000]   It feels really good to just have a sense of accomplishment.
[00:48:53.000 --> 00:48:57.000]   I've built a tremendous sense of personal freedom.
[00:48:57.000 --> 00:49:04.000]   And I find that that personal freedom is enhanced with fewer possessions.
[00:49:04.000 --> 00:49:11.000]   Even just simple things like the logistics of having furniture, having a car, and having a house and all those things.
[00:49:11.000 --> 00:49:15.000]   I find that I feel really free when I don't have those things.
[00:49:15.000 --> 00:49:21.000]   For the good of my family, I'm not anticipating living the rest of my life from suitcases.
[00:49:21.000 --> 00:49:24.000]   If I were a single guy, maybe I would do that.
[00:49:24.000 --> 00:49:31.000]   I always loved those stories about some guy who lives in a suitcase and just rents hotel rooms.
[00:49:31.000 --> 00:49:34.000]   I don't know, rents the VIP suite in the penthouse.
[00:49:34.000 --> 00:49:36.000]   Some people like it, right?
[00:49:36.000 --> 00:49:43.000]   I enjoy reading Jack Reacher novels of Jack Reacher traveling around with a toothbrush in his pocket and buying new clothes every three days.
[00:49:43.000 --> 00:49:47.000]   Maybe it's just more interesting in fiction than it is in reality.
[00:49:47.000 --> 00:49:54.000]   But I do think that when I'm in that situation, I feel really free.
[00:49:54.000 --> 00:49:58.000]   Because I just get the sense of like I can go anywhere.
[00:49:58.000 --> 00:50:01.000]   People have asked me, "Joshua, what are you going to do if Europe doesn't open up?"
[00:50:01.000 --> 00:50:05.000]   Like I'm planning to be in Europe this summer. I got plane tickets.
