
[00:00:00.000 --> 00:00:01.200]   That's good going.
[00:21:02.600 --> 00:21:04.240]   gospel-driven parenting.
[00:21:04.240 --> 00:21:05.320]   He sure is.
[00:21:05.320 --> 00:21:10.600]   That it balances out that kind of bullet point style
[00:21:10.600 --> 00:21:12.920]   that Red Bradley has.
[00:21:12.920 --> 00:21:15.680]   So I love what Red Bradley says, but I
[00:21:15.680 --> 00:21:19.080]   like getting context, which is why we do that along
[00:21:19.080 --> 00:21:22.040]   with shepherding a child's heart.
[00:21:22.040 --> 00:21:24.920]   Yeah, and I think in later revisions,
[00:21:24.920 --> 00:21:27.640]   he also came to the belief that he was--
[00:21:27.640 --> 00:21:31.040]   He recognized that he was being authoritarian.
[00:21:31.040 --> 00:21:31.880]   Authoritarian.
[00:21:31.880 --> 00:21:34.200]   He even had some broken relationships
[00:21:34.200 --> 00:21:37.600]   with a couple of his boys, but they restored.
[00:21:37.600 --> 00:21:42.680]   And he wrote his final chapter in Child Training Tips
[00:21:42.680 --> 00:21:45.720]   that you guys will read on loving God
[00:21:45.720 --> 00:21:46.840]   and loving your neighbor.
[00:21:46.840 --> 00:21:53.840]   That was written after all of his moments of humility
[00:21:53.840 --> 00:21:55.200]   and learning.
[00:21:55.200 --> 00:21:55.920]   And repenting.
[00:21:55.920 --> 00:21:57.320]   Yes, and repenting.
[00:21:57.320 --> 00:22:02.040]   So yeah, which is another reason why I like Red Bradley.
[00:22:02.040 --> 00:22:05.280]   Yep, OK, I'm going to go to day two.
[00:22:05.280 --> 00:22:08.280]   Yeah, ready, set, go.
[00:22:08.280 --> 00:22:11.280]   This session is entitled Self-Control, Focusing
[00:22:11.280 --> 00:22:13.120]   and Paying Attention.
[00:22:13.120 --> 00:22:15.320]   There's two aspects that we need to consider
[00:22:15.320 --> 00:22:18.600]   when we talk about focusing and paying attention.
[00:22:18.600 --> 00:22:21.360]   The first is the ability to focus and pay attention
[00:22:21.360 --> 00:22:24.680]   is a moral skill.
[00:22:24.680 --> 00:22:26.480]   Focusing and paying attention need
[00:22:26.480 --> 00:22:29.120]   to be trained into our children by dad and mom.
[00:22:29.120 --> 00:22:32.120]   And if you don't train them, then it's
[00:22:32.120 --> 00:22:35.760]   not going to be their fault if they run away from you
[00:22:35.760 --> 00:22:37.880]   when you give them an instruction because you haven't
[00:22:37.880 --> 00:22:42.160]   trained them to focus, to hear your mommy voice and daddy
[00:22:42.160 --> 00:22:44.480]   voice, and pay attention to it.
[00:22:44.480 --> 00:22:46.120]   So it is a moral skill, and we need
[00:22:46.120 --> 00:22:51.040]   to train that into our children and give a consequence.
[00:22:51.040 --> 00:22:55.160]   Because for disobedience in the area of moral skills,
[00:22:55.160 --> 00:22:57.560]   there is a consequence.
[00:22:57.560 --> 00:23:00.720]   The second is the ability to focus and pay attention
[00:23:00.720 --> 00:23:03.640]   will foster your child's ability to learn.
[00:23:03.640 --> 00:23:06.040]   And I think you can testify to that
[00:23:06.040 --> 00:23:09.480]   in terms of not only our family, but also Cornerstone.
[00:23:09.480 --> 00:23:15.600]   Yeah, I mean, we had no failing students at Cornerstone,
[00:23:15.600 --> 00:23:17.960]   and that was not an accident.
[00:23:17.960 --> 00:23:20.920]   That was not a fluke that we just
[00:23:20.920 --> 00:23:22.800]   happened to get bright children.
[00:23:22.800 --> 00:23:28.080]   We had children of all different capabilities.
[00:23:28.080 --> 00:23:34.000]   We strived for a high standard in the classroom.
[00:23:34.000 --> 00:23:38.320]   We believed that you teach to the highest standard
[00:23:38.320 --> 00:23:43.800]   and not sabotage the high-end learners
[00:23:43.800 --> 00:23:46.440]   because the others can't keep up.
[00:23:46.440 --> 00:23:48.920]   We taught to a high standard, and then it
[00:23:48.920 --> 00:23:53.560]   was up to mom and dad at home if some of their kids
[00:23:53.560 --> 00:23:56.600]   were struggling to work with them on their own.
[00:23:56.600 --> 00:24:00.400]   Of course, we came alongside any of them that needed it.
[00:24:00.400 --> 00:24:04.320]   But just because of the fact that these kids
[00:24:04.320 --> 00:24:08.840]   were able to be self-controlled and respectful
[00:24:08.840 --> 00:24:12.200]   to the people around them, respectful to their teachers,
[00:24:12.200 --> 00:24:15.680]   the classrooms were a dream.
[00:24:15.680 --> 00:24:17.080]   It was fun.
[00:24:17.080 --> 00:24:18.960]   It was energetic.
[00:24:18.960 --> 00:24:22.400]   The teachers had a great time with these kids,
[00:24:22.400 --> 00:24:24.960]   and these kids learned like crazy.
[00:24:24.960 --> 00:24:29.120]   And I am completely convinced that it's
[00:24:29.120 --> 00:24:32.720]   because we had focused on the moral skills,
[00:24:32.720 --> 00:24:35.520]   and these kids were able to be learners.
[00:24:35.520 --> 00:24:37.040]   And that's the advantage.
[00:24:37.040 --> 00:24:42.120]   That's what we get when we do what God tells us to do.
[00:24:42.120 --> 00:24:45.480]   So our kids benefit.
[00:24:45.480 --> 00:24:46.440]   They do, absolutely.
[00:24:46.440 --> 00:24:47.200]   In a big way.
[00:24:47.200 --> 00:24:47.880]   Yep.
[00:24:47.880 --> 00:24:49.320]   And those around them benefit.
[00:24:49.320 --> 00:24:50.000]   Yeah.
[00:24:50.000 --> 00:24:51.280]   Yeah.
[00:24:51.280 --> 00:24:53.360]   Let's go and do some exercises.
[00:24:53.360 --> 00:24:56.000]   Hopefully, you had your Bibles ready
[00:24:56.000 --> 00:24:58.800]   when you were doing your homework this past week
[00:24:58.800 --> 00:25:01.240]   and are going to be able to help us out with some answers
[00:25:01.240 --> 00:25:02.600]   to some of these questions.
[00:25:02.600 --> 00:25:03.400]   Get ready.
[00:25:03.400 --> 00:25:04.120]   Here we go.
[00:25:04.120 --> 00:25:06.520]   We're going to look at the who, the what, the why,
[00:25:06.520 --> 00:25:09.520]   and how of focusing and paying attention
[00:25:09.520 --> 00:25:11.560]   from the Lord's perspective, right?
[00:25:11.560 --> 00:25:14.760]   This is a great exercise, and hopefully, you've done it.
[00:25:14.760 --> 00:25:16.240]   Who wants to give us the first one?
[00:25:16.240 --> 00:25:17.040]   Question number 11.
[00:25:17.040 --> 00:25:19.960]   Exodus 15, 26.
[00:25:19.960 --> 00:25:22.160]   To whom should your child pay attention?
[00:25:22.160 --> 00:25:24.520]   Camera's on, everybody.
[00:25:24.520 --> 00:25:25.800]   Please.
[00:25:25.800 --> 00:25:28.480]   Unless you are God, you can't.
[00:25:28.480 --> 00:25:29.720]   Good, I heard the Lord God.
[00:25:29.720 --> 00:25:30.560]   Is that correct?
[00:25:30.560 --> 00:25:31.720]   OK.
[00:25:31.720 --> 00:25:32.800]   About Mark 9, 7.
[00:25:32.800 --> 00:25:38.360]   Beloved son, listen to him.
[00:25:38.360 --> 00:25:40.440]   Yep, Jesus, absolutely.
[00:25:40.440 --> 00:25:41.400]   Proverbs 1, 8.
[00:25:44.640 --> 00:25:45.920]   Father and mother.
[00:25:45.920 --> 00:25:46.680]   Perfect.
[00:25:46.680 --> 00:25:52.560]   Deuteronomy 18, 19.
[00:25:52.560 --> 00:25:54.240]   Prophets.
[00:25:54.240 --> 00:25:55.720]   God's words through the prophet.
[00:25:55.720 --> 00:25:58.040]   And in this case, obviously, in this day and age,
[00:25:58.040 --> 00:26:00.400]   Bible teachers, instructors, yeah.
[00:26:00.400 --> 00:26:01.920]   Those that teach the word.
[00:26:01.920 --> 00:26:02.760]   Yep.
[00:26:02.760 --> 00:26:05.560]   And Romans 13, 1.
[00:26:05.560 --> 00:26:07.080]   Governing authorities.
[00:26:07.080 --> 00:26:09.240]   Governing authorities, absolutely.
[00:26:09.240 --> 00:26:13.360]   Render unto Caesar those things that are Caesar's, right?
[00:26:13.360 --> 00:26:16.320]   And we need to also consider the people
[00:26:16.320 --> 00:26:20.120]   that we leave our children with, either in children's church,
[00:26:20.120 --> 00:26:22.680]   pre-K teachers, grandma and grandpa.
[00:26:22.680 --> 00:26:25.920]   So hopefully, you're able to, at least to some extent,
[00:26:25.920 --> 00:26:28.800]   share with them the standards and look
[00:26:28.800 --> 00:26:33.640]   for those individuals that share the same kind of standards
[00:26:33.640 --> 00:26:34.400]   that you do.
[00:26:34.400 --> 00:26:37.120]   And you want to verbally encourage your child
[00:26:37.120 --> 00:26:39.640]   to pay attention and to listen to these people
[00:26:39.640 --> 00:26:43.000]   the same way they would listen to mom and dad.
[00:26:43.000 --> 00:26:46.440]   So important to do that and then to get that feedback
[00:26:46.440 --> 00:26:47.800]   from those individuals.
[00:26:47.800 --> 00:26:48.320]   Right.
[00:26:48.320 --> 00:26:52.520]   And if they have been disrespectful to them,
[00:26:52.520 --> 00:26:58.200]   we have to be faithful to give a consequence so that that won't
[00:26:58.200 --> 00:27:01.400]   happen time and time again.
[00:27:01.400 --> 00:27:04.440]   And of course, they may test a few times,
[00:27:04.440 --> 00:27:06.760]   but that's all it will take.
[00:27:06.760 --> 00:27:11.120]   And your children will choose to be very respectful
[00:27:11.120 --> 00:27:13.240]   to the people around them, and they
[00:27:13.240 --> 00:27:17.760]   become an incredible blessing to the people that are with them
[00:27:17.760 --> 00:27:20.760]   and are able to be blessed by others.
[00:27:20.760 --> 00:27:24.120]   So it's really a good deal.
[00:27:24.120 --> 00:27:25.320]   It's a really good deal.
[00:27:25.320 --> 00:27:26.320]   Yeah.
[00:27:26.320 --> 00:27:29.520]   Let's go to number 12, the what.
[00:27:29.520 --> 00:27:33.120]   The definition for focus is the concentration of attention
[00:27:33.120 --> 00:27:35.040]   or energy on something.
[00:27:35.040 --> 00:27:37.000]   So hopefully, you've looked up the scriptures
[00:27:37.000 --> 00:27:39.880]   that are applicable to discover what your child will gain
[00:27:39.880 --> 00:27:43.200]   by learning to concentrate his attention on authorities
[00:27:43.200 --> 00:27:45.240]   who will guide, train, and love them.
[00:27:45.240 --> 00:27:48.640]   Who has Proverbs 4.1?
[00:27:48.640 --> 00:27:50.760]   [INTERPOSING VOICES]
[00:27:50.760 --> 00:27:53.760]   Insight.
[00:27:53.760 --> 00:27:59.760]   Proverbs 4.1?
[00:27:59.760 --> 00:28:01.480]   To have understanding?
[00:28:01.480 --> 00:28:02.720]   Yep, understanding.
[00:28:02.720 --> 00:28:06.640]   Proverbs 4.20 through 22?
[00:28:06.640 --> 00:28:08.000]   Life and health.
[00:28:08.000 --> 00:28:08.720]   Yep.
[00:28:08.720 --> 00:28:12.880]   Proverbs 5.1 and 2?
[00:28:12.880 --> 00:28:14.360]   Discretion.
[00:28:14.360 --> 00:28:16.360]   Discretion and knowledge, good.
[00:28:16.360 --> 00:28:18.680]   Proverbs 22.17 through 19?
[00:28:18.680 --> 00:28:25.400]   [INTERPOSING VOICES]
[00:28:25.400 --> 00:28:26.720]   Trust in the Lord.
[00:28:26.720 --> 00:28:31.080]   Trust in the Lord, yeah, good, very good.
[00:28:31.080 --> 00:28:33.320]   How about number 13, the why?
[00:28:33.320 --> 00:28:34.840]   Look up the following scriptures,
[00:28:34.840 --> 00:28:37.760]   write out why it is imperative that your child learns
[00:28:37.760 --> 00:28:38.440]   to focus.
[00:28:38.440 --> 00:28:40.440]   Now, some of these may be positive
[00:28:40.440 --> 00:28:42.200]   and some may be negative.
[00:28:42.200 --> 00:28:48.880]   How about Exodus 15.26?
[00:28:48.880 --> 00:28:50.720]   Tom, you're welcome to join us if you want.
[00:28:50.720 --> 00:28:55.440]   To stay within God's circle of blessing?
[00:28:55.440 --> 00:29:06.600]   Exodus 15.26?
[00:29:06.600 --> 00:29:10.000]   I didn't see who said that.
[00:29:10.000 --> 00:29:10.720]   Was that Dan?
[00:29:10.720 --> 00:29:19.480]   Yeah, I think we maybe got it wrong, but--
[00:29:19.480 --> 00:29:21.000]   OK, no problem.
[00:29:21.000 --> 00:29:26.560]   Well, you're probably looking at it in that way, and you could.
[00:29:26.560 --> 00:29:29.600]   The answer is the diseases brought upon the Egyptians
[00:29:29.600 --> 00:29:32.480]   will not be brought upon us.
[00:29:32.480 --> 00:29:36.840]   And so technically, Exodus 15.26 is telling us
[00:29:36.840 --> 00:29:41.600]   that we suffer consequences for our disobedience.
[00:29:41.600 --> 00:29:43.480]   And there are times that God will
[00:29:43.480 --> 00:29:46.840]   use illness or disease in our life
[00:29:46.840 --> 00:29:49.160]   as a way of getting our attention
[00:29:49.160 --> 00:29:55.680]   and getting us to repent and humble ourselves before him.
[00:29:55.680 --> 00:30:00.200]   And that was an example of that.
[00:30:00.200 --> 00:30:01.360]   Yeah.
[00:30:01.360 --> 00:30:04.360]   I think we were just looking at the blessing side of it.
[00:30:04.360 --> 00:30:06.320]   Yeah, well, and that's true.
[00:30:06.320 --> 00:30:07.600]   That's true.
[00:30:07.600 --> 00:30:08.440]   I mean, it is.
[00:30:08.440 --> 00:30:11.960]   When you're in the circle of blessing,
[00:30:11.960 --> 00:30:15.240]   you would not receive that, those diseases.
[00:30:15.240 --> 00:30:16.360]   I mean, you might.
[00:30:16.360 --> 00:30:19.520]   I'm not saying you're not going to get sick ever in your life,
[00:30:19.520 --> 00:30:21.840]   obviously.
[00:30:21.840 --> 00:30:26.520]   But sometimes our illnesses are just an opportunity
[00:30:26.520 --> 00:30:30.680]   that God is using to draw our attention back to him
[00:30:30.680 --> 00:30:36.160]   and to get us to recognize some sin in our life
[00:30:36.160 --> 00:30:38.320]   that needs to be repented of.
[00:30:38.320 --> 00:30:39.360]   OK.
[00:30:39.360 --> 00:30:42.040]   How about Exodus 23.21 through 22?
[00:30:42.040 --> 00:30:48.840]   He will be an enemy to our enemies.
[00:30:48.840 --> 00:30:50.920]   Yes, oppose those who oppose us.
[00:30:50.920 --> 00:30:51.920]   Yes.
[00:30:51.920 --> 00:30:59.680]   Deuteronomy 7.12 and 13.
[00:30:59.680 --> 00:31:02.680]   He will love, bless, and multiply.
[00:31:02.680 --> 00:31:03.840]   Yep, increase your numbers.
[00:31:03.840 --> 00:31:04.480]   Absolutely.
[00:31:04.480 --> 00:31:10.200]   Isaiah 48.18.
[00:31:10.200 --> 00:31:11.160]   I love this one.
[00:31:11.160 --> 00:31:13.880]   Oh, I was going to say that.
[00:31:13.880 --> 00:31:15.480]   Peace and righteousness.
[00:31:15.480 --> 00:31:16.400]   Peace.
[00:31:16.400 --> 00:31:17.480]   Peace like a river.
[00:31:17.480 --> 00:31:19.640]   Yeah, it's peace like a river.
[00:31:19.640 --> 00:31:20.160]   Absolutely.
[00:31:20.160 --> 00:31:21.280]   Peace and righteousness.
[00:31:21.280 --> 00:31:23.120]   Hebrews 12.1.
[00:31:23.120 --> 00:31:24.360]   I'm sorry, Hebrews 2.1.
[00:31:24.360 --> 00:31:34.280]   [AUDIO OUT]
[00:31:34.280 --> 00:31:36.040]   [INTERPOSING VOICES]
[00:31:36.040 --> 00:31:38.560]   Yeah, good job, guys.
[00:31:38.560 --> 00:31:42.600]   And then Proverbs 19.20.
[00:31:42.600 --> 00:31:43.720]   Gain wisdom.
[00:31:43.720 --> 00:31:45.800]   You will have wisdom, yes.
[00:31:45.800 --> 00:31:47.120]   Good for you guys.
[00:31:47.120 --> 00:31:47.640]   Good deal.
[00:31:47.640 --> 00:31:48.240]   Good job.
[00:31:48.240 --> 00:31:51.720]   Isn't that amazing when you go through all of those scriptures
[00:31:51.720 --> 00:31:57.600]   and find out all of the ways, the whys, the what, the hows.
[00:31:57.600 --> 00:31:59.440]   It's pretty amazing.
[00:31:59.440 --> 00:32:02.080]   God takes this seriously.
[00:32:02.080 --> 00:32:03.440]   Let's finish up with the hows.
[00:32:03.440 --> 00:32:04.240]   Number 14.
[00:32:04.240 --> 00:32:06.920]   How do you know when your child is paying attention to you?
[00:32:06.920 --> 00:32:08.760]   The following scriptures highlight wisdom
[00:32:08.760 --> 00:32:10.720]   from both Ezekiel and David.
[00:32:10.720 --> 00:32:14.600]   So Ezekiel 40.4.
[00:32:14.600 --> 00:32:15.120]   Yeah.
[00:32:15.120 --> 00:32:16.520]   40 verse 4.
[00:32:16.520 --> 00:32:21.000]   I've got look carefully and listen closely.
[00:32:21.000 --> 00:32:22.680]   Yep.
[00:32:22.680 --> 00:32:23.400]   Yeah, that's good.
[00:32:23.400 --> 00:32:23.920]   Perfect.
[00:32:23.920 --> 00:32:26.240]   Look with your eyes and hear with your ears.
[00:32:26.240 --> 00:32:27.040]   Yeah.
[00:32:27.040 --> 00:32:33.760]   And then Psalm 141.8.
[00:32:33.760 --> 00:32:35.480]   Eyes are towards us.
[00:32:35.480 --> 00:32:37.480]   Yes, fix your eyes on the Lord.
[00:32:37.480 --> 00:32:38.360]   Exactly.
[00:32:38.360 --> 00:32:39.200]   That's so good.
[00:32:39.200 --> 00:32:41.440]   And that's important that we train our kids to do that
[00:32:41.440 --> 00:32:42.000]   as well.
[00:32:42.000 --> 00:32:44.000]   So when you're talking to your child
[00:32:44.000 --> 00:32:46.400]   and giving them an instruction, make sure
[00:32:46.400 --> 00:32:48.720]   that their eyes are fixed on you.
[00:32:48.720 --> 00:32:52.200]   It's a pretty good indication that you have their attention.
[00:32:52.200 --> 00:32:53.800]   So again--
[00:32:53.800 --> 00:32:56.640]   Usually what I would even say to my kids
[00:32:56.640 --> 00:32:58.800]   when I had an instruction for them,
[00:32:58.800 --> 00:33:03.360]   I would actually start off by saying, eyes on mom.
[00:33:03.360 --> 00:33:05.960]   And they would stop, and they would look at me.
[00:33:05.960 --> 00:33:08.640]   And then I knew I had their attention.
[00:33:08.640 --> 00:33:12.000]   And then I would give them whatever instruction
[00:33:12.000 --> 00:33:12.800]   they needed.
[00:33:12.800 --> 00:33:15.160]   Yep.
[00:33:15.160 --> 00:33:16.920]   And question number 15.
[00:33:16.920 --> 00:33:19.440]   What does the Bible say about self-control?
[00:33:19.440 --> 00:33:23.280]   Proverbs 25.28.
[00:33:23.280 --> 00:33:24.600]   Yeah, this is important.
[00:33:24.600 --> 00:33:30.360]   Then, now, and always.
[00:33:30.360 --> 00:33:34.200]   Or then, always, and now.
[00:33:34.200 --> 00:33:35.400]   Then, now, and always.
[00:33:35.400 --> 00:33:35.880]   Yep.
[00:33:35.880 --> 00:33:41.160]   Proverbs 25.28.
[00:33:41.160 --> 00:33:45.040]   A man without self-control is like a city broken into
[00:33:45.040 --> 00:33:46.840]   left without walls.
[00:33:46.840 --> 00:33:48.480]   Yeah, absolutely.
[00:33:48.480 --> 00:33:50.280]   Yeah, and if you think about the walls
[00:33:50.280 --> 00:33:52.480]   that they were talking about, they
[00:33:52.480 --> 00:33:56.240]   built their walls so thick that homes
[00:33:56.240 --> 00:33:58.520]   were built within those walls.
[00:33:58.520 --> 00:34:03.680]   And chariots could be driven on the top of the walls.
[00:34:03.680 --> 00:34:05.960]   And they were huge.
[00:34:05.960 --> 00:34:11.200]   And God is making a big example out of the protection
[00:34:11.200 --> 00:34:15.880]   that those cities had by saying, a man without self-control
[00:34:15.880 --> 00:34:19.560]   is like a city whose walls are broken into, right?
[00:34:19.560 --> 00:34:24.040]   In those days, that meant that anybody could come in
[00:34:24.040 --> 00:34:26.760]   and destroy them.
[00:34:26.760 --> 00:34:27.560]   And destroy them.
[00:34:27.560 --> 00:34:28.880]   Yeah, absolutely.
[00:34:28.880 --> 00:34:30.440]   Yep.
[00:34:30.440 --> 00:34:34.280]   And lastly, but just as important, Galatians 5.22
[00:34:34.280 --> 00:34:35.400]   through 23.
[00:34:35.400 --> 00:34:37.360]   We know that self-control is what?
[00:34:37.360 --> 00:34:39.760]   It's a fruit of the spirit, right?
[00:34:39.760 --> 00:34:40.480]   So good.
[00:34:40.480 --> 00:34:42.520]   So hopefully, you had a good opportunity
[00:34:42.520 --> 00:34:45.160]   to go through those and meditate on those scriptures
[00:34:45.160 --> 00:34:46.800]   and apply them.
[00:34:46.800 --> 00:34:47.520]   We have a question.
[00:34:47.520 --> 00:34:49.560]   Dan, your hand's up.
[00:34:49.560 --> 00:34:53.000]   Well, I was just going to say, we recently
[00:34:53.000 --> 00:34:58.040]   got a book from Kofi and Christy Hinn.
[00:34:58.040 --> 00:34:58.920]   Nice, yes.
[00:34:58.920 --> 00:35:01.920]   If you guys haven't seen this one, it's really good.
[00:35:01.920 --> 00:35:04.400]   Yeah, it's really good.
[00:35:04.400 --> 00:35:07.520]   Yeah, we try and read as many children's books as we can.
[00:35:07.520 --> 00:35:08.520]   I haven't read that one.
[00:35:08.520 --> 00:35:09.640]   I actually do.
[00:35:09.640 --> 00:35:11.400]   We recommend it.
[00:35:11.400 --> 00:35:12.960]   Good, that's awesome.
[00:35:12.960 --> 00:35:13.880]   Yeah.
[00:35:13.880 --> 00:35:16.360]   Yeah, they've got a couple of them out now.
[00:35:16.360 --> 00:35:17.800]   And I'm hoping that they're going
[00:35:17.800 --> 00:35:19.880]   to continue to put more and more out,
[00:35:19.880 --> 00:35:24.760]   because I know the topics will be perfect for kids.
[00:35:24.760 --> 00:35:26.760]   It'll be good lessons.
[00:35:26.760 --> 00:35:29.600]   In fact, Kosti's coming to our church in October
[00:35:29.600 --> 00:35:31.160]   to do the men's conference.
[00:35:31.160 --> 00:35:33.400]   So we're excited to invite him there
[00:35:33.400 --> 00:35:35.480]   and to see him at that time.
[00:35:35.480 --> 00:35:37.280]   OK, any questions on day two?
[00:35:37.280 --> 00:35:41.160]   [AUDIO OUT]
[00:35:41.160 --> 00:35:42.640]   Okey-dokey.
[00:35:42.640 --> 00:35:43.720]   Let's do some practical.
[00:35:43.720 --> 00:35:45.200]   Let's go to day three.
[00:35:45.200 --> 00:35:47.120]   We talked about eye contact.
[00:35:47.120 --> 00:35:48.840]   Is there anything you want to add on that?
[00:35:48.840 --> 00:35:50.920]   I mean, it's super important.
[00:35:50.920 --> 00:35:53.240]   It's really, really a good part of that.
[00:35:53.240 --> 00:35:55.960]   Remember, we talked about the yes, mom, yes, dad,
[00:35:55.960 --> 00:35:59.000]   and that that is like a little verbal contract.
[00:35:59.000 --> 00:36:04.120]   The eye contact is as important, because a lot of times,
[00:36:04.120 --> 00:36:06.960]   they will get into the habit of yes, mom, yes, dad.
[00:36:06.960 --> 00:36:11.640]   And kind of mumble it while they're still on the video game
[00:36:11.640 --> 00:36:13.560]   or whatever it is they're doing.
[00:36:13.560 --> 00:36:17.040]   And you still don't know whether they actually
[00:36:17.040 --> 00:36:18.920]   heard the instruction.
[00:36:18.920 --> 00:36:24.040]   But if you get them to look you in the eye
[00:36:24.040 --> 00:36:28.560]   and then hear the instruction, and even if they're little,
[00:36:28.560 --> 00:36:32.160]   you can have them repeat the instruction back to you.
[00:36:32.160 --> 00:36:35.320]   What did mama tell you to do?
[00:36:35.320 --> 00:36:39.600]   You told me that I need to go put my clothes in the drawer
[00:36:39.600 --> 00:36:41.880]   and make my bed.
[00:36:41.880 --> 00:36:44.200]   And then I would say, OK.
[00:36:44.200 --> 00:36:46.000]   And I would say, what do you say?
[00:36:46.000 --> 00:36:48.000]   Because I had interrupted.
[00:36:48.000 --> 00:36:51.360]   They would say yes, mom, and off they would go.
[00:36:51.360 --> 00:36:55.480]   So it's really good when all of these start to work together,
[00:36:55.480 --> 00:37:00.240]   because you're really getting a hold of their brain
[00:37:00.240 --> 00:37:01.400]   in that moment.
[00:37:01.400 --> 00:37:06.560]   And a lot of times, you're in the kitchen doing something.
[00:37:06.560 --> 00:37:10.000]   And instead of shouting an instruction out,
[00:37:10.000 --> 00:37:12.520]   ask your child to come to you.
[00:37:12.520 --> 00:37:15.240]   Come see mama or daddy.
[00:37:15.240 --> 00:37:18.600]   And when they come in, then you give them--
[00:37:18.600 --> 00:37:21.520]   and they should say yes, mom, yes, dad
[00:37:21.520 --> 00:37:23.680]   when you call them to you.
[00:37:23.680 --> 00:37:27.600]   And then when they get there, you give them their instruction.
[00:37:27.600 --> 00:37:30.240]   And they should say yes, mom, yes, dad.
[00:37:30.240 --> 00:37:32.080]   But make sure their eyes are on you
[00:37:32.080 --> 00:37:34.200]   and they're listening to you.
[00:37:34.200 --> 00:37:35.960]   Remember the ears and the eyes.
[00:37:35.960 --> 00:37:37.880]   And when you're starting with the little ones,
[00:37:37.880 --> 00:37:40.920]   it's human good to maybe pull their little faces
[00:37:40.920 --> 00:37:43.240]   and position their hands so they're looking at you.
[00:37:43.240 --> 00:37:44.680]   And don't be surprised if you get
[00:37:44.680 --> 00:37:49.240]   the ones that will refuse to turn their eyes to you.
[00:37:49.240 --> 00:37:51.600]   The face might be towards you, but their eyes
[00:37:51.600 --> 00:37:53.120]   are going to be off to the side.
[00:37:53.120 --> 00:37:56.960]   And that is a little form of owning
[00:37:56.960 --> 00:37:59.040]   their will in that moment.
[00:37:59.040 --> 00:38:02.320]   They don't really want to hear what you have to say.
[00:38:02.320 --> 00:38:04.600]   They really want to do what they want to do.
[00:38:04.600 --> 00:38:06.480]   They don't want to submit to you.
[00:38:06.480 --> 00:38:10.800]   And so it is actually an act of rebellion.
[00:38:10.800 --> 00:38:13.440]   I wouldn't spank right away for that.
[00:38:13.440 --> 00:38:16.960]   But I would work with them to get their eyes on you
[00:38:16.960 --> 00:38:19.800]   so that they become comfortable with that.
[00:38:19.800 --> 00:38:23.880]   And eventually, if they keep refusing to do it,
[00:38:23.880 --> 00:38:27.880]   then it might be a physical consequence.
[00:38:27.880 --> 00:38:30.000]   But hopefully, it won't get there.
[00:38:30.000 --> 00:38:34.040]   Hopefully, you can train them to get their eyes on you
[00:38:34.040 --> 00:38:36.640]   and help them to know you're serious about that.
[00:38:36.640 --> 00:38:39.040]   And these are all the little things
[00:38:39.040 --> 00:38:42.960]   that are going to eliminate that chaos and confusion
[00:38:42.960 --> 00:38:44.320]   in your home.
[00:38:44.320 --> 00:38:46.120]   It's going to clarify things.
[00:38:46.120 --> 00:38:48.560]   And your kids are going to know what you expect.
[00:38:48.560 --> 00:38:53.200]   And you're going to know that they know what you expect.
[00:38:53.200 --> 00:38:55.080]   And that just gives you peace.
[00:38:55.080 --> 00:38:58.040]   And there's unity in that.
[00:38:58.040 --> 00:38:59.040]   So--
[00:38:59.040 --> 00:39:00.160]   We have a couple of questions.
[00:39:00.160 --> 00:39:03.000]   Jenna.
[00:39:03.000 --> 00:39:06.640]   I'm on the lines of having them look you in the eye.
[00:39:06.640 --> 00:39:08.560]   Do you have them kind of stand up
[00:39:08.560 --> 00:39:11.960]   at more like an attention kind of stance as opposed
[00:39:11.960 --> 00:39:15.640]   to like kind of around?
[00:39:15.640 --> 00:39:21.160]   I mean, only if I would have been having trouble with them,
[00:39:21.160 --> 00:39:23.960]   then maybe I might do that.
[00:39:23.960 --> 00:39:29.000]   I don't remember having to do that necessarily with the kids.
[00:39:29.000 --> 00:39:31.840]   We started this pretty young with them.
[00:39:31.840 --> 00:39:36.920]   So they kind of knew what the system was.
[00:39:36.920 --> 00:39:40.440]   And so I would have them come.
[00:39:40.440 --> 00:39:44.160]   And they would be standing when they would come to me.
[00:39:44.160 --> 00:39:46.120]   But if I was in the same room with them,
[00:39:46.120 --> 00:39:47.840]   and they were sitting down reading a book
[00:39:47.840 --> 00:39:49.320]   or playing with toys or something,
[00:39:49.320 --> 00:39:51.720]   and I would say, eyes on mom.
[00:39:51.720 --> 00:39:52.560]   And they would turn.
[00:39:52.560 --> 00:39:54.080]   And they would look at me.
[00:39:54.080 --> 00:39:57.200]   And then they would listen to the instruction.
[00:39:57.200 --> 00:39:58.680]   They would put their toy down.
[00:39:58.680 --> 00:40:01.200]   And then they would go do it.
[00:40:01.200 --> 00:40:02.920]   And that was fine.
[00:40:02.920 --> 00:40:07.520]   I didn't need them to be standing up and doing all that.
[00:40:07.520 --> 00:40:11.120]   It's OK if they're relaxed.
[00:40:11.120 --> 00:40:14.720]   What about when you're having more of like a conversation
[00:40:14.720 --> 00:40:17.240]   around like behavior?
[00:40:17.240 --> 00:40:20.360]   Like you've given a consequence, talking to them about why
[00:40:20.360 --> 00:40:21.840]   they got the consequence?
[00:40:21.840 --> 00:40:25.360]   OK, so you're talking about the restoration process
