
[00:00:00.000 --> 00:00:07.200]   Last week Jerry Seinfeld as part of the promotional tour for his new Netflix movie frosted
[00:23:37.080 --> 00:23:42.520]   Insiders and if you're not sure if you're an element insider or not, just check out drink element comm and I'll explain it
[00:23:42.520 --> 00:23:48.360]   But anyone who makes a drink mix purchase will get a free sample pack of the standard element drink mix
[00:23:48.360 --> 00:23:52.660]   You know my youngest son Jesse. He's in kindergarten learning how to read
[00:23:54.040 --> 00:23:58.280]   He was asking he came in this was last night. He's like, what is and he spelled it out
[00:23:58.280 --> 00:24:00.920]   Like what is LM in tea because I drink a lot of element
[00:24:00.920 --> 00:24:06.040]   That's what I do after my workouts and it's on the lower shelf and he's learning to read and so we had to explain
[00:24:06.040 --> 00:24:11.760]   Like oh, we're probably setting back his reading here a little bit. He's like, well that stands for element. There's no vowels in it
[00:24:11.760 --> 00:24:15.240]   So he's probably thinking like, all right. Yeah, I mean I see how reading works
[00:24:15.240 --> 00:24:20.960]   He just sound things out. So elemental hydrates you but it might mess up your kindergartners reading comprehension
[00:24:20.960 --> 00:24:26.720]   So anyways, go to drink element comm slash deep get your free sample pack with any drink mix purchase
[00:24:26.720 --> 00:24:31.640]   And if you're an element insider, you got you have your first access to element sparkling. So check it out
[00:24:31.640 --> 00:24:34.120]   It's a cool new idea
[00:24:34.120 --> 00:24:38.400]   Also want to talk about our friends at Shopify
[00:24:38.400 --> 00:24:41.420]   Selling a little or a lot
[00:24:41.420 --> 00:24:44.280]   Shopify helps you do your thing
[00:24:44.280 --> 00:24:46.720]   However, you cha-ching
[00:24:46.720 --> 00:24:49.880]   Shopify is the global commerce platform. It will help you
[00:24:50.440 --> 00:24:58.080]   sell at every stage your business whether we're talking about your first small online store or you have a large brick-and-mortar store and you need
[00:24:58.080 --> 00:25:00.080]   a point-of-sale service or everything in between
[00:25:00.080 --> 00:25:06.460]   no matter what you're selling Shopify is there to make this dead easy and to make
[00:25:06.460 --> 00:25:11.320]   The experience dead easy for your customers better experiences means more conversions
[00:25:11.320 --> 00:25:16.840]   You have probably without even knowing it have had a lot of Shopify
[00:25:17.640 --> 00:25:24.120]   ecommerce experiences because there's so many different websites large and small that are powered by Shopify software, so if you've had a
[00:25:24.120 --> 00:25:32.560]   Recently a really good online shopping experience probably Shopify was behind it when Jesse and I start our sort of long
[00:25:32.560 --> 00:25:38.920]   I'm gonna say promise. I mean I should say long threatened online store for the deep questions podcast
[00:25:38.920 --> 00:25:42.840]   There's no doubt about what tech will use for that. It will be Shopify
[00:25:42.840 --> 00:25:49.240]   All we need to figure out is what to sell details, but once we figure that out, of course, we'll be using Shopify
[00:25:49.240 --> 00:25:52.480]   To sell whatever it is. We sell. All right. Here's the good news
[00:25:52.480 --> 00:25:59.880]   You can sign up now for a $1 per month trial period at Shopify comm slash deep
[00:25:59.880 --> 00:26:04.520]   The key to get that discount is to type that all in lowercase letters
[00:26:04.520 --> 00:26:12.200]   Shopify comm slash deep go to Shopify comm slash deep right now to grow your business no matter what stage you're in that
[00:26:12.360 --> 00:26:14.360]   Shopify comm slash
[00:26:14.360 --> 00:26:18.280]   Deep. All right. Let's move on now to some questions
[00:26:18.280 --> 00:26:23.840]   All right, Jesse. Who's our first question today? I first questions from Giacomo
[00:26:23.840 --> 00:26:30.560]   Can I take advantage of projects at work to improve my craft or is dedicated outside practice time necessary?
[00:26:30.560 --> 00:26:32.680]   Well jack well, that's an interesting question
[00:26:32.680 --> 00:26:36.760]   And it gets to I think it a key point
[00:26:36.760 --> 00:26:38.200]   I don't really want to say confusion
[00:26:38.200 --> 00:26:42.160]   But it's a little bit of a little bit of a confusion that people have around
[00:26:42.160 --> 00:26:47.680]   Practicing skills, right? So your idea that you're you want to practice skills makes sense
[00:26:47.680 --> 00:26:52.200]   I've been talking about this for a long time that if you have a knowledge work job
[00:26:52.200 --> 00:26:55.640]   And you really want to build up the career capital?
[00:26:55.640 --> 00:26:59.640]   That's going to give you leverage over the the day-to-day reality of your working life. You have to identify
[00:26:59.640 --> 00:27:01.800]   What is it that I do that is most valuable?
[00:27:01.800 --> 00:27:08.000]   unambiguously valuable to my organization or the market and you have to practice and improve that skill systematically and
[00:27:08.000 --> 00:27:10.000]   That's how you get options
[00:27:10.000 --> 00:27:14.640]   That's how you're going to ultimately craft a job. You feel passionate about so Giacomo is asking
[00:27:14.640 --> 00:27:19.920]   When when and how do I practice these skills? No, so here's the confusion. I want to bring up
[00:27:19.920 --> 00:27:22.520]   when we think about practice
[00:27:22.520 --> 00:27:27.640]   What are the types of fields we typically think about we think about musicians we think about?
[00:27:27.640 --> 00:27:33.800]   Chess players we think about athletes, right? We think about the endeavors where we actually
[00:27:34.720 --> 00:27:38.880]   Explicitly talk about practice. We explicitly schedule times for practice
[00:27:38.880 --> 00:27:43.920]   My son plays baseball. He has baseball practices. He goes to
[00:27:43.920 --> 00:27:52.160]   Here's the confusion. Those are really the exception not the norm when it comes to how you build skills this idea that you can have these
[00:27:52.160 --> 00:27:54.040]   abstract
[00:27:54.040 --> 00:27:56.040]   isolated practice sessions
[00:27:56.040 --> 00:28:00.240]   where I'm going to go for example to a baseball field and take grounders and
[00:28:00.800 --> 00:28:06.240]   Work in the cage in this like isolated abstract way so that later when I'm playing baseball. I'll be better or
[00:28:06.240 --> 00:28:10.920]   I'm going to go to the gym and I'm going to lift weights because it's going to make
[00:28:10.920 --> 00:28:18.600]   Me faster when I'm on the football field a sort of isolated abstract practice separate from the actual endeavor in which you want to apply it
[00:28:18.600 --> 00:28:21.320]   That is the exception not the rule
[00:28:21.320 --> 00:28:24.760]   So yes, we do that in sports. We do that in
[00:28:26.080 --> 00:28:29.560]   Music we do that for things like chess, but for most endeavors, especially
[00:28:29.560 --> 00:28:34.680]   Complicated cognitive endeavors like almost any skill you'd be improving in knowledge work
[00:28:34.680 --> 00:28:39.720]   For most endeavors you're better off having the actual work itself be your practice
[00:28:39.720 --> 00:28:43.080]   Instead of saying let me do something
[00:28:43.080 --> 00:28:50.760]   Different and hope that the skills I pick up in this abstract practice carry over to my specific work
[00:28:50.760 --> 00:28:54.040]   Let your work itself be the practice
[00:28:54.560 --> 00:28:56.560]   We actually do this and by we
[00:28:56.560 --> 00:29:05.000]   I'm referring here to the the online course that I have with Scott Young called top performer, which we open up once or twice a year
[00:29:05.000 --> 00:29:08.840]   This is a course in which it's based on my book. So good. They can't ignore you
[00:29:08.840 --> 00:29:12.280]   We help you do exactly this deliberately practice your job to get better at it
[00:29:12.280 --> 00:29:15.400]   So you can take control and we're very specific. We've done this course since
[00:29:15.400 --> 00:29:21.440]   2014 so we've been doing this course for a while. We've learned to be very specific that to practice
[00:29:21.960 --> 00:29:28.320]   The key is to get an active project that your boss knows you're doing that you're being held accountable
[00:29:28.320 --> 00:29:32.120]   That matters the outcome matters that is designed
[00:29:32.120 --> 00:29:38.680]   Very carefully to stretch your skills beyond where you're currently comfortable. Let the actual work itself be your practice session
[00:29:38.680 --> 00:29:41.640]   That's going to be your best bet especially with professional training
[00:29:41.640 --> 00:29:46.840]   Now this is in part just because the stakes are higher like you actually care about this. I have to do this
[00:29:46.840 --> 00:29:49.280]   It's part of my job. I said I'm gonna do this
[00:29:49.280 --> 00:29:52.880]   There's consequences if I don't but it also has to do with the actual mechanisms
[00:29:52.880 --> 00:29:58.720]   You're practicing specifically the thing you want to be better at as opposed to helping hoping that related skills carry over
[00:29:58.720 --> 00:30:03.280]   Right. It's like we hear this sometimes from people. Here's a common example. I hear
[00:30:03.280 --> 00:30:06.000]   Should I do?
[00:30:06.000 --> 00:30:08.680]   meditation or like play a game like chess
[00:30:08.680 --> 00:30:15.480]   So that I get more comfortable with sustained concentration when I'm doing my work and
[00:30:16.080 --> 00:30:19.920]   To that my answer is always the better way to practice
[00:30:19.920 --> 00:30:23.440]   Concentrating on your work is to practice
[00:30:23.440 --> 00:30:28.880]   Concentrating on your work to actually sit there with a stopwatch schedule out the time
[00:30:28.880 --> 00:30:31.160]   We're gonna do 20 minutes at a time until we're comfortable
[00:30:31.160 --> 00:30:33.840]   Then we're gonna do 30 minutes if my attention wanders
[00:30:33.840 --> 00:30:37.840]   I'm gonna stop the clock and I'm gonna start over like it's better to actually practice
[00:30:37.840 --> 00:30:42.000]   Specifically what it feels like to concentrate on specifically what you do for your work
[00:30:42.480 --> 00:30:49.240]   Feeling the specific distractions that are unique to your workplace the slack channels the email than it is to do something unrelated and hope
[00:30:49.240 --> 00:30:55.920]   Concentration skills carry over this carries over for lots of other skills. You want to be a better computer programmer. Don't do Sudoku
[00:30:55.920 --> 00:31:01.000]   Give yourself harder computer programming challenges that makes you harder at it. You want to be a better
[00:31:01.000 --> 00:31:03.600]   writer
[00:31:03.600 --> 00:31:10.280]   Don't do crossword puzzles give yourself increasingly challenging writing assignments for work and really push yourself to meet the bar
[00:31:10.920 --> 00:31:13.560]   So almost always that's going to be the right thing to do
[00:31:13.560 --> 00:31:16.960]   Use your work itself to practice the key is
[00:31:16.960 --> 00:31:22.480]   When finding a work project to double as practice the key is typically two things
[00:31:22.480 --> 00:31:25.760]   Stakes slash accountability like it needs to matter
[00:31:25.760 --> 00:31:29.240]   Someone's going to see this work if it's bad
[00:31:29.240 --> 00:31:34.960]   It's gonna be a problem my boss is waiting for it like you want stakes or accountability and to design the project
[00:31:34.960 --> 00:31:39.680]   This is the hard part, but you have to design it to require you
[00:31:40.280 --> 00:31:44.360]   To stretch your current abilities beyond where you're currently comfortable to succeed
[00:31:44.360 --> 00:31:49.320]   This is why this is hard. Is that it's easy to go too little or too far
[00:31:49.320 --> 00:31:53.200]   It's easy to have a project that doesn't really stretch your abilities
[00:31:53.200 --> 00:31:55.840]   You're not getting much practice from that or to be way too ambitious
[00:31:55.840 --> 00:32:00.440]   Right. So if you're the computer programmer way too easy is like yeah, I'll
[00:32:00.440 --> 00:32:04.480]   I'll write the library calls for the UI and it's something you've done all the time
[00:32:04.480 --> 00:32:09.040]   You can just do this automatically. You're not getting any better. But on the other hand if you say yeah, I'll go through and
[00:32:09.840 --> 00:32:15.440]   I'll rework all the algorithms in a dynamic programming paradigm so that we can you know, cut down our
[00:32:15.440 --> 00:32:21.280]   Asymptotic efficiency here by a linear factor and you don't really know much about dynamic programming that you're gonna be in trouble
[00:32:21.280 --> 00:32:26.080]   So you got to kind of find that sweet spot of like this is like something I know how to do
[00:32:26.080 --> 00:32:29.040]   But I'm pushing it to a higher level
[00:32:29.040 --> 00:32:35.320]   I've written the first drafts of the client reports, but then someone has edited it now
[00:32:35.320 --> 00:32:39.760]   I'm gonna say let me write the full draft, right? So you're pushing yourself not too little not too far
[00:32:39.760 --> 00:32:47.080]   So yes use your activities to get better. You don't need abstract training when it comes to complex cognitive activities like your job
[00:32:47.080 --> 00:32:51.360]   It's hard to believe we're a decade out from so good. They can't ignore you
[00:32:51.360 --> 00:32:54.480]   I have a hard time that was like my first real hardcover idea book
[00:32:54.480 --> 00:32:57.440]   2012 so it's been
[00:32:57.440 --> 00:33:01.520]   More than a decade that books important because it was my first hardcover idea book
[00:33:01.880 --> 00:33:08.440]   it was I it came out right when I started as a professor right before I had my first kid so like that's such a
[00:33:08.440 --> 00:33:14.640]   Turning point that kicked off an era that I feel like just ended with
[00:33:14.640 --> 00:33:18.200]   Just recently with
[00:33:18.200 --> 00:33:24.400]   Getting full professor I'm out of promotions, right? So I started my professorship there. I'm like out of promotions
[00:33:25.960 --> 00:33:31.800]   My oldest kids going to middle school next year like leaving elementary school like there's all these things sort of symbolically
[00:33:31.800 --> 00:33:38.240]   My writing is at a different level and I don't know it's interesting. There's some sort of period here. That's ending
[00:33:38.240 --> 00:33:42.040]   All right. Who do we got next a fan just sent a a hard copy
[00:33:42.040 --> 00:33:45.680]   Right picture of our old
[00:33:45.680 --> 00:33:52.000]   So good. They can't ignore you like a really worn cover. I saw that. Yeah, I've seen a few of these I
[00:33:52.640 --> 00:33:56.960]   Wonder if this has to do with the inks or something
[00:33:56.960 --> 00:33:59.400]   So, alright, so for people who don't know so good they can't ignore you
[00:33:59.400 --> 00:34:02.560]   I don't have a copy in here to show you I think my copy looks okay out there
[00:34:02.560 --> 00:34:05.720]   Yeah, but it's a it's like a red orange like a very
[00:34:05.720 --> 00:34:08.440]   dominant color
[00:34:08.440 --> 00:34:14.860]   Cover, I've seen a lot of covers people bringing them to get signed and a fan sent it to us as well
[00:34:14.860 --> 00:34:16.920]   Yeah, super faded
[00:34:17.360 --> 00:34:22.960]   When I was up at Dartmouth someone brought me a copy to sign that was like you could barely read it
[00:34:22.960 --> 00:34:25.720]   It was like bleep now. He told me he had left it in the back of his car
[00:34:25.720 --> 00:34:30.240]   So I got a lot of Sun, but I think there's something about the inks in that cover
[00:34:30.240 --> 00:34:32.840]   That it can fade
[00:34:32.840 --> 00:34:39.840]   Something about it. So if you have an unfaded so good, they can't ignore your cover. I guess that's extra rare. Nice. I suppose. Yeah
[00:34:39.840 --> 00:34:42.640]   Alright next question from Sharma
[00:34:43.480 --> 00:34:45.040]   I'm a developer
[00:34:45.040 --> 00:34:51.560]   Software developer, but I also want to become better writer and reader working on both simultaneously would do too much with my current job
[00:34:51.560 --> 00:34:53.720]   Should I focus on reading first?
[00:34:53.720 --> 00:34:56.680]   All right. That's a
[00:34:56.680 --> 00:35:00.320]   That's a good question. Okay, I think that's fine. I
[00:35:00.320 --> 00:35:06.960]   Mean, that's fine. All right. So here's the let me can't make this more general the the the issue here is
[00:35:06.960 --> 00:35:10.480]   Let's get beyond the specific things to Sharma's trying to get better at
[00:35:11.640 --> 00:35:14.240]   she has a few things she wants to get better at and
[00:35:14.240 --> 00:35:19.820]   It feels like pursuing them all at the same time would be too much and what I'm saying is that's fine
[00:35:19.820 --> 00:35:21.820]   Don't pursue them at the same time
[00:35:21.820 --> 00:35:26.720]   There's a principle in here that sort of suffuses my new book slow productivity
[00:35:26.720 --> 00:35:29.480]   which is this idea of
[00:35:29.480 --> 00:35:31.600]   slow, but steady
[00:35:31.600 --> 00:35:34.160]   like what you want to avoid is sort of
[00:35:34.160 --> 00:35:40.840]   Disengagement with your work disengagement with trying to work on something important you want to
[00:35:41.520 --> 00:35:43.680]   avoid sort of long periods of
[00:35:43.680 --> 00:35:50.800]   Full disengagement, but you also want to avoid overload overload is like the one of the central villains of my book
[00:35:50.800 --> 00:35:54.280]   It causes a lot of problems. All right, so yeah do one thing at a time
[00:35:54.280 --> 00:35:57.520]   Because here's the thing. It's all about timescale
[00:35:57.520 --> 00:36:00.680]   If for the next six months you might feel like oh, man
[00:36:00.680 --> 00:36:05.360]   I'm only working on in this case reading but not my writing and I really want to be good at my writing
[00:36:05.360 --> 00:36:08.440]   I wish I was just better at all of them fast forward to six years
[00:36:09.440 --> 00:36:14.760]   Spend some time on your reading spend some time on your writing come back spend a year on your reading spend another year on your
[00:36:14.760 --> 00:36:17.640]   Right fast forward six years like oh, wait, I'm good at both of these things
[00:36:17.640 --> 00:36:23.040]   This is the thing about accomplishment about skill building about endeavors. They aggregate and
[00:36:23.040 --> 00:36:28.560]   Over time you aggregate more and more things I can do more things than I could before I know more things than I did before
[00:36:28.560 --> 00:36:29.960]   I
[00:36:29.960 --> 00:36:31.960]   produced more things than I have before and
[00:36:31.960 --> 00:36:34.520]   Overtime and aggregates, right?
[00:36:34.520 --> 00:36:39.160]   So think about all this on a larger timescale and you can be easier on yourself in the shorter timescale
[00:36:39.960 --> 00:36:44.140]   Back in the day. I used to write about this when I was just dealing with students
[00:36:44.140 --> 00:36:48.200]   I had this phrase for this the paradox of the relaxed Road Scholar
[00:36:48.200 --> 00:36:54.840]   This is of course a much more compressed time frame example, but even among college students. There is this phenomenon
[00:36:54.840 --> 00:36:58.320]   where if you would look at the resumes of
[00:36:58.320 --> 00:37:02.200]   national or international scholarship winners
[00:37:02.200 --> 00:37:08.760]   They seemed sort of impossibly full and I know about this because my very first book how to win at college the whole premise of that
[00:37:08.760 --> 00:37:12.080]   Book is that I interviewed international national scholarship winners
[00:37:12.080 --> 00:37:12.800]   I interviewed
[00:37:12.800 --> 00:37:18.960]   Road scholars and Marshall scholars and Goldberg scholars and a few others and they were the source of the wisdom for how to win at
[00:37:18.960 --> 00:37:21.160]   College, right? So I really got to know these resumes
[00:37:21.160 --> 00:37:23.240]   Students would often be intimidated
[00:37:23.240 --> 00:37:27.000]   They'd read the resume of a Road Scholar and said they did this and they did this and they did that
[00:37:27.000 --> 00:37:29.760]   I couldn't imagine doing all three of those things
[00:37:29.760 --> 00:37:33.080]   But if you talk to the actual Road Scholars, they'd like well, I didn't do them at once
[00:37:33.080 --> 00:37:37.960]   I did this and then I did that and then I did this other thing
[00:37:38.680 --> 00:37:41.520]   And then when we zoom out and look back we say oh my god, you did all these things
[00:37:41.520 --> 00:37:47.640]   I get this in my own life, right because I have this book out about slow productivity and sometimes interviewers will say well
[00:37:47.640 --> 00:37:52.120]   Wait a second, but you do this and you do that and you do this that feels like it would be very busy. How can you
[00:37:52.120 --> 00:37:55.600]   Fulfill your first principle of the book to do fewer things
[00:37:55.600 --> 00:38:00.920]   If like you're writing books and you're doing this and you're doing that and it seems like you would be very busy
[00:38:00.920 --> 00:38:06.160]   What I often say is yeah, but I don't do those things at the same time. I'm very seasonal
[00:38:06.760 --> 00:38:11.280]   Right, if I'm writing a book, I'm not doing other things if I'm working on a lot of academic ideas
[00:38:11.280 --> 00:38:14.960]   I'm not doing other things if I'm promoting a book. I'm not writing a book or working on academic ideas
[00:38:14.960 --> 00:38:20.480]   Everything has its season. I feel like I work at a pretty slow pace in the moment
[00:38:20.480 --> 00:38:25.000]   But when you fast-forward out and said what happens between as we just talked about so good
[00:38:25.000 --> 00:38:28.080]   They can't ignore you in 2012 and slow productivity in
[00:38:28.080 --> 00:38:34.480]   2024 a lot happened, but I didn't do all of that stuff at the same time. So there's there's a power here
[00:38:35.160 --> 00:38:37.160]   too slow, but steady
[00:38:37.160 --> 00:38:43.880]   Relentless, but reasonable that pacing over time is incredibly powerful. It's like compound interest with money
[00:38:43.880 --> 00:38:49.680]   It's boring this month, but you fast-forward to 10 years and you have a lot more money in your account. It's the same thing
[00:38:49.680 --> 00:38:52.680]   slowly, but steady
[00:38:52.680 --> 00:38:58.800]   Relentlessly, but reasonably you keep making progress on things you don't have long down periods, but you also don't overload yourself
[00:38:58.800 --> 00:39:03.400]   That's where that's kind of the sweet spot. I think for where things really things really stack up
[00:39:04.680 --> 00:39:07.560]   All right, who'd we got next next questions from JJ?
[00:39:07.560 --> 00:39:13.880]   What are your tips for the grind part of studying like getting through massive amounts of practice problems and flashcards?
[00:39:13.880 --> 00:39:19.460]   It feels like more like slogging than flowing. I fall behind even if I take one or two days off
[00:39:19.460 --> 00:39:25.080]   Well, we got first of all a correction to make here be very careful in how you think about flow
[00:39:25.080 --> 00:39:26.000]   and
[00:39:26.000 --> 00:39:27.680]   This was something I got into
[00:39:27.680 --> 00:39:34.040]   With my interview with Andrew Huberman and I think this particular discussion sort of made the rounds because I think it's an important one
[00:39:34.480 --> 00:39:36.480]   Is that I think we?
[00:39:36.480 --> 00:39:40.200]   Over generalize or over apply flow as a desirable goal
[00:39:40.200 --> 00:39:44.300]   All right. So let's be you know, we can set a little bit of context here. What do we mean by flow?
[00:39:44.300 --> 00:39:47.920]   Flow is a specific psychological state
[00:39:47.920 --> 00:39:55.080]   The name was coined and the phenomenon was primarily studied by the late psychologist. Mihaly Csikszentmihalyi and
[00:39:55.080 --> 00:39:59.520]   The idea about flow is when you're in this state
[00:40:00.400 --> 00:40:06.120]   You lose track of time you get lost in what you're doing. It feels almost effortless
[00:40:06.120 --> 00:40:10.240]   so it's really important and he wrote a cool book about flow and
[00:40:10.240 --> 00:40:15.660]   When we get in when we don't get it and it's a very real state and it's a very nice state
[00:40:15.660 --> 00:40:17.760]   Here's the problem about flow
[00:40:17.760 --> 00:40:21.840]   It's hard to get into and there's a lot of things we do that are cognitively important that
[00:40:21.840 --> 00:40:25.100]   Will not generate flow and we can't expect him to generate flow
[00:40:25.880 --> 00:40:30.360]   So I think there was this over generalization. Not my Haley was not saying this but there's been this over
[00:40:30.360 --> 00:40:35.840]   Generalization of this concept where people feel as if this is the goal of all cognitive work to get in the flow
[00:40:35.840 --> 00:40:41.560]   It is very nice. But there's a lot of stuff you can't get in the flow. So what is one of the
[00:40:41.560 --> 00:40:43.520]   distinct
[00:40:43.520 --> 00:40:45.760]   Cognitive activities that is resistant to flow
[00:40:45.760 --> 00:40:51.400]   Deliberate practice so deliberate practice now. This is named for also now the late
[00:40:52.240 --> 00:40:58.120]   Performance psychologist Anders Erikson deliberate practice is our best understanding about how people get better at
[00:40:58.120 --> 00:41:02.280]   Complicated tasks be them physical or cognitive
[00:41:02.280 --> 00:41:09.520]   It requires you to have a clear target the stretch yourself past where you're comfortable to have clear feedback to make sure that you're directing
[00:41:09.520 --> 00:41:11.400]   Your actions in sort of like the correct way
[00:41:11.400 --> 00:41:12.760]   This is how you stretch
[00:41:12.760 --> 00:41:18.480]   Be it a muscle memory or an actual cognitive concept how you stretch and get smarter how you get better at a particular physical
[00:41:18.480 --> 00:41:20.120]   activity
[00:41:20.120 --> 00:41:26.480]   Anders Erikson was very clear about this. He knew my Haley and you know, I had the privilege of actually talking with both of them
[00:41:26.480 --> 00:41:27.800]   too before
[00:41:27.800 --> 00:41:30.560]   Before they pass I've sort of talked to both of them about this as well
[00:41:30.560 --> 00:41:33.320]   Anders was very clear deliberate practice is different than flow
[00:41:33.320 --> 00:41:38.760]   In fact deliberate practice is the opposite of flow in the sense of you don't lose track of time when you're deliberately
[00:41:38.760 --> 00:41:45.760]   Practicing you feel every you feel every minute. It's really hard. You're stretching yourself past where you're comfortable
[00:41:45.760 --> 00:41:48.400]   That's a really hard thing to do and it requires sustained
[00:41:49.680 --> 00:41:54.760]   Intentional concentration on what you're doing is often not pleasant. You don't get lost in it
[00:41:54.760 --> 00:41:56.760]   it turns out like a better way to
[00:41:56.760 --> 00:42:03.280]   Understand the distinction between deliberate practice and flow is to think about preparation and performance because they often fall along those lines
[00:42:03.280 --> 00:42:05.800]   In my book so good. They can't ignore you
[00:42:05.800 --> 00:42:13.560]   For example, I spent time and I tell the story in the book sitting there with a professional guitar player named Jordan watching him practice
[00:42:13.560 --> 00:42:14.960]   and it was
[00:42:14.960 --> 00:42:16.760]   almost excruciating
[00:42:16.760 --> 00:42:23.680]   like he was so focused on speeding up the speed of the lick that he would forget to breathe and then he would have these
[00:42:23.680 --> 00:42:31.000]   Sudden intakes of breath the sharp gas because his body was thinking we need oxygen because that's how focused he was on trying to
[00:42:31.000 --> 00:42:35.920]   Get the speed faster on what he's doing. That's deliberate practice. He's not lost in what he's doing there
[00:42:35.920 --> 00:42:38.280]   He's every minute is requiring intentional focus
[00:42:38.280 --> 00:42:42.160]   But when that same guitar player got on stage to play and he played at our wedding
[00:42:42.400 --> 00:42:48.080]   And that same guitar player would get on stage to play and perform what he had practiced these hard one skills
[00:42:48.080 --> 00:42:50.080]   Then he could get lost in what he's doing
[00:42:50.080 --> 00:42:52.360]   Then he could get into a state of flow
[00:42:52.360 --> 00:42:56.920]   So deliberate practice is different than flow. Alright, so here's the bad news JJ
[00:42:56.920 --> 00:43:02.720]   Learning new things like you're doing as you talked about here studying from flashcards
[00:43:02.720 --> 00:43:05.280]   That's deliberate practice world
[00:43:05.280 --> 00:43:10.040]   That's you trying to rinse your brain into a new understanding of something
[00:43:10.040 --> 00:43:14.520]   It didn't understand before you are not going to get lost in a flow state learning flashcards
[00:43:14.520 --> 00:43:17.640]   Alright, what can we do about this?
[00:43:17.640 --> 00:43:23.360]   Well, here's how I used to approach this type of work and this is relevant beyond academic work as well for anything that sort of
[00:43:23.360 --> 00:43:28.240]   Deliberate and tedious at the same time, right? So a couple things that matter
[00:43:28.240 --> 00:43:31.720]   One you need to control your time as a student, right?
[00:43:31.720 --> 00:43:34.600]   This is how I'm going to study for this test
[00:43:34.600 --> 00:43:41.640]   I used to recommend that you would in the beginning of your semester find all your major exams put them on your calendar and
[00:43:41.640 --> 00:43:46.960]   Then mark on your calendar way in advance when you were going to create your study plan for that exam
[00:43:46.960 --> 00:43:50.600]   And I would say do this three weeks in advance and when you get to that day you would see it on your calendar
[00:43:50.600 --> 00:43:55.400]   And you're laying out the whole thing putting that time on your calendar. I have three weeks to prepare for this exam
[00:43:55.400 --> 00:43:59.480]   I'm not waiting until hey, what's due tomorrow? Oh my god. I have an exam tomorrow
[00:43:59.480 --> 00:44:00.920]   Let me try to learn all this stuff
[00:44:00.920 --> 00:44:07.880]   You're giving yourself time to spread this out when you spread this out. You can be very strategic about the deliberate practice demanding grind behaviors
[00:44:07.880 --> 00:44:15.400]   Like memorizing things from flashcards, you can make those sessions short. You can make them intense. Let me get in 30 minutes here 30 minutes there
[00:44:15.400 --> 00:44:17.400]   I'm gonna spread this out over a week or two
[00:44:17.400 --> 00:44:22.520]   So that it's much more reasonable than trying to sit down and do it all at once where your brains probably gonna cry uncle at
[00:44:22.520 --> 00:44:24.520]   Some point you're gonna have to give up. I
[00:44:24.560 --> 00:44:32.520]   Also then recommend for the actual activity of learning things from flashcards to make sure that you're doing successive refinement now all these ideas
[00:44:32.520 --> 00:44:37.600]   I'm talking about are actually in my book how to become a straight-a student, but I'll just give you the the cliff notes here
[00:44:37.600 --> 00:44:41.680]   The successive refinement is very simple, but it makes a big difference what you want to do
[00:44:41.680 --> 00:44:43.680]   If you're going through a stack of flashcards
[00:44:43.680 --> 00:44:45.760]   Create two piles
[00:44:45.760 --> 00:44:47.760]   Got it, right got it wrong
[00:44:47.760 --> 00:44:52.240]   Then when you do your next pass just use the pile that you got wrong again
[00:44:52.760 --> 00:44:56.560]   What did I get right? What did I get wrong? So you're successively reducing?
[00:44:56.560 --> 00:45:01.280]   You're refining the things you're looking at to only be the things that up to this point. You've still gotten wrong
[00:45:01.280 --> 00:45:06.040]   It's a very efficient way to go through flashcards because it ensures that the things, you know
[00:45:06.040 --> 00:45:09.080]   Get a minimum of time. I saw it once I knew it
[00:45:09.080 --> 00:45:13.000]   I don't want to look at it again the things you're having the most trouble with you're gonna be seen again and again and again
[00:45:13.000 --> 00:45:18.600]   It's a much more efficient allocation of your deliberate practice concentration than going through the whole stack again and again
[00:45:18.600 --> 00:45:24.400]   I was an art history minor little-known fact about me. That's a lot of memorization
[00:45:24.400 --> 00:45:29.560]   Artist names dates of work you had to memorize that for just hundreds and hundreds of paintings
[00:45:29.560 --> 00:45:31.560]   And this is how this is how I would do it
[00:45:31.560 --> 00:45:35.120]   Alright, so our general point here deliberate practice is different than flow
[00:45:35.120 --> 00:45:38.600]   So you want to be structured and organized you want to schedule this time in advance?
[00:45:38.600 --> 00:45:45.320]   You want to keep the time reasonable and then more specifically you want to do successive refinement during these sort of grind flashcard session
[00:45:45.320 --> 00:45:48.420]   So they don't they don't become too overburdened some
[00:45:48.420 --> 00:45:53.040]   All right, what do we got next? All right next questions from Denny
[00:45:53.040 --> 00:45:58.600]   I have a fledgling YouTube channel in the real estate area. You talk a lot about building your craft
[00:45:58.600 --> 00:46:02.600]   I specifically want to build my craft making YouTube videos. How should I do that?
[00:46:02.600 --> 00:46:06.440]   Well, look, here's my first question. Be sure you really do want to do that
[00:46:06.440 --> 00:46:09.280]   Right YouTube is an interesting beast
[00:46:10.080 --> 00:46:18.040]   It's different. I would say it's different than other even social media products, right? So if you have a business and you're thinking
[00:46:18.040 --> 00:46:22.520]   Look, I want to have a social media presence. I have a presence on Instagram
[00:46:22.520 --> 00:46:27.200]   It kind of helps I can have this audience and it's like people subscribe to it and they can see the things I'm doing
[00:46:27.200 --> 00:46:29.840]   And maybe it helps us get a couple more
[00:46:29.840 --> 00:46:34.600]   Customers or these videos we're doing about like what's happening with the house prices might get sold
