
[00:00:00.000 --> 00:00:21.900]   This is the API key. So if you haven't scanned this already, please scan it. It will take you
[00:25:18.640 --> 00:25:19.640]   Thank you, timer.
[00:25:19.640 --> 00:25:20.640]   So, oh yeah.
[00:25:20.640 --> 00:25:24.640]   When you have it all running, it should look like something like this.
[00:25:24.640 --> 00:25:27.640]   I would say very sexy UI, you know?
[00:25:27.640 --> 00:25:33.640]   So, we wanted you to really experience what MOA systems look like.
[00:25:33.640 --> 00:25:36.640]   Because I feel like this is a very new concept and it's a great way.
[00:25:36.640 --> 00:25:41.640]   This kind of app that Kevin built is a great way for you to get started with what the possibilities
[00:25:41.640 --> 00:25:44.640]   are with MOA systems maybe in production.
[00:25:44.640 --> 00:25:50.640]   So, basically how this UI works is that in the top, you configure your summarization agent.
[00:25:50.640 --> 00:25:55.640]   Basically the thing that summarizes all the things and actually like aggregates all the individual results
[00:25:55.640 --> 00:25:57.640]   from your individual agents into one.
[00:25:57.640 --> 00:26:00.640]   We have a very basic system prompt here.
[00:26:00.640 --> 00:26:02.640]   You can change it if you want.
[00:26:02.640 --> 00:26:09.640]   And then under agent management, we have individual agents that you can create with custom prompts.
[00:26:09.640 --> 00:26:16.640]   And here you can adjust things like the temperature, the model, as well as the specific prompt that you want to put in the agent.
[00:26:16.640 --> 00:26:19.640]   And also rename it, you know, to something fun.
[00:26:19.640 --> 00:26:23.640]   And here you can delete agents or you can create new ones.
[00:26:23.640 --> 00:26:26.640]   You can have more than three and you can also have different layers.
[00:26:26.640 --> 00:26:31.640]   You can have multiple iterations of how many times you want them to go through the solution.
[00:26:31.640 --> 00:26:34.640]   And basically, the first part is not competitive.
[00:26:34.640 --> 00:26:37.640]   It's just going to be us all having fun, right?
[00:26:37.640 --> 00:26:50.640]   So, I can ask a question here like, "Plan a trip to San Francisco for me and my friend Daria from 3:00 PM to 9:00 PM."
[00:26:50.640 --> 00:27:03.640]   And then what it's doing is behind the scenes, it's basically spawning all of the individual agents and then going through multiple layers of calculations for it to return the final answer.
[00:27:03.640 --> 00:27:09.640]   Here we have three layers with multiple LLM calls, so it might take a little bit of time.
[00:27:09.640 --> 00:27:10.640]   It's just the Wi-Fi.
[00:27:10.640 --> 00:27:12.640]   Oh, it's probably the Wi-Fi actually.
[00:27:12.640 --> 00:27:13.640]   Yeah.
[00:27:13.640 --> 00:27:14.640]   Can you zoom in there?
[00:27:14.640 --> 00:27:15.640]   Oh, yeah.
[00:27:15.640 --> 00:27:24.640]   And if anyone doesn't see a screen like this, could you guys let me know and I can come and help you with any steps?
[00:27:24.640 --> 00:27:38.640]   Oh, the Wi-Fi is really bad.
[00:27:38.640 --> 00:27:41.640]   Does anyone not have the screen?
[00:27:41.640 --> 00:27:42.640]   You don't?
[00:27:42.640 --> 00:27:57.640]   Okay, maybe I can just walk you through what we see right now on the screen.
[00:27:57.640 --> 00:27:59.640]   There are multiple layers that we created.
[00:27:59.640 --> 00:28:03.640]   Each layer is basically a set of models and they are connected together.
[00:28:03.640 --> 00:28:06.640]   Layers are sequential, but at each layer models are processed in parallel.
[00:28:06.640 --> 00:28:12.640]   So once we get the output from layer one, it will be combined together as an input for layer two.
[00:28:12.640 --> 00:28:22.640]   And then after the layer three, there is this final model that we call summarization model that will process the final output, combining the results from previous layers.
[00:28:22.640 --> 00:28:31.640]   So all of these tokens were generated, sacrificed for the final answer.
[00:28:31.640 --> 00:28:36.640]   So all of these tokens basically allow you to cover more surface area and have a more comprehensive answer.
[00:28:36.640 --> 00:28:43.640]   So all of this was generated through all the other models.
[00:28:43.640 --> 00:28:44.640]   Yes.
[00:28:44.640 --> 00:28:51.640]   So each layer has a set of agents that operate together.
[00:28:51.640 --> 00:28:52.640]   Okay.
[00:28:52.640 --> 00:28:56.640]   Their output is finalized after that layer.
[00:28:56.640 --> 00:28:57.640]   So you can think about it.
[00:28:57.640 --> 00:29:00.640]   It's concatenated and used as an input to the next layer.
[00:29:00.640 --> 00:29:07.640]   Was everyone able to ask a very fun personal question to the MOA chat?
[00:29:07.640 --> 00:29:09.640]   Anyone struggling with that?
[00:29:09.640 --> 00:29:10.640]   Happy to help.
[00:29:10.640 --> 00:29:15.640]   Okay, great.
[00:29:15.640 --> 00:29:20.640]   So now comes the actual competitive fun part of the workshop.
[00:29:20.640 --> 00:29:24.640]   This is all fun and games until comes the competition.
[00:29:24.640 --> 00:29:29.640]   So then go and select the AI configuration challenge.
[00:29:29.640 --> 00:29:35.640]   And basically, your job is to come up with the perfect MOA system to generate...
[00:29:35.640 --> 00:29:37.640]   Okay, perfect code is a little extra.
[00:29:37.640 --> 00:29:39.640]   Maybe it's like really good code.
[00:29:39.640 --> 00:29:40.640]   Really good code.
[00:29:40.640 --> 00:29:41.640]   We believe in you.
[00:29:41.640 --> 00:29:46.640]   So instead of writing code yourself, you'll become an AI prompt engineer and system architect.
[00:29:46.640 --> 00:29:56.640]   And your goal is to configure your AI agent, like mixture of agents system, to automatically generate code that scores the maximum 120 points in our automated grader.
[00:29:56.640 --> 00:30:01.640]   And basically, to participate, you just have to go into configure AI and generate.
[00:30:01.640 --> 00:30:03.640]   So here, you can select.
[00:30:03.640 --> 00:30:05.640]   So I can actually just do it with you for the first one.
[00:30:05.640 --> 00:30:09.640]   So here, it has some very awesome preset responses.
[00:30:09.640 --> 00:30:14.640]   So let me see, you can like set some awesome presets that are in turn created.
[00:30:14.640 --> 00:30:18.640]   And then, we can generate the code.
[00:30:18.640 --> 00:30:26.640]   Hopefully, the Wi-Fi is good.
[00:30:26.640 --> 00:30:28.640]   Okay, the code has been generated.
[00:30:28.640 --> 00:30:30.640]   So here, the code has been generated.
[00:30:30.640 --> 00:30:31.640]   And we can submit the solution.
[00:30:31.640 --> 00:30:38.640]   And here, the baseline is already designed with the prompt, the preset prompts, to be at like C.
[00:30:38.640 --> 00:30:42.640]   And your job is to be an A student, because we're all overachievers in this room.
[00:30:42.640 --> 00:30:47.640]   So basically, you can now change things like the prompt itself, or the model.
[00:30:47.640 --> 00:30:51.640]   So let's like set it to the Quen model, and then see what happens.
[00:30:51.640 --> 00:30:53.640]   So we can generate the code again.
[00:30:53.640 --> 00:30:59.640]   And then, submit the solution for grading.
[00:30:59.640 --> 00:31:01.640]   And here, it's scored slightly better.
[00:31:01.640 --> 00:31:04.640]   So we went from a C to a B.
[00:31:04.640 --> 00:31:11.640]   It's a solid B, with literally just by changing the model, like the model that it uses for the main agent.
[00:31:11.640 --> 00:31:19.640]   So your job, for the rest of this workshop, is to figure out, first, what is the right combination of the main model,
[00:31:19.640 --> 00:31:25.640]   the number of cycles, like how many layers you want, the temperature, as well as the system prompt for the main prompt,
[00:31:25.640 --> 00:31:32.640]   and as well as the individual layers that will spawn for every single iteration.
[00:31:32.640 --> 00:31:39.640]   So here, you can select different models, different particular prompts, and then use that to come up with the right answer.
[00:31:39.640 --> 00:31:43.640]   And I believe Daria and our intern both got perfect scores.
[00:31:43.640 --> 00:31:46.640]   So you're shooting for perfect scores for your mixture of agent system.
[00:31:46.640 --> 00:31:49.640]   Do we have a function somewhere that we're giving them?
[00:31:49.640 --> 00:31:50.640]   Wait.
[00:31:50.640 --> 00:31:53.640]   Like the actual Python function that has bugs in it?
[00:31:53.640 --> 00:31:55.640]   No, that gets inputted through here.
[00:31:55.640 --> 00:31:57.640]   So you can just change this.
[00:31:57.640 --> 00:32:01.640]   But how do they, where do they find the function?
[00:32:01.640 --> 00:32:02.640]   Oh, they don't.
[00:32:02.640 --> 00:32:03.640]   They kind of optimize it.
[00:32:03.640 --> 00:32:05.640]   Oh, it's right here.
[00:32:05.640 --> 00:32:06.640]   Default challenge.
[00:32:06.640 --> 00:32:07.640]   Default challenge.
[00:32:07.640 --> 00:32:10.640]   Where is the function itself, like the Python function?
[00:32:10.640 --> 00:32:13.640]   No, it's the function.
[00:32:13.640 --> 00:32:14.640]   This is the function.
[00:32:14.640 --> 00:32:18.640]   But where is the implementation of the function that we give them as a baseline?
[00:32:18.640 --> 00:32:19.640]   Oh, we don't.
[00:32:19.640 --> 00:32:21.640]   The, the, the, we changed this for the challenge.
[00:32:21.640 --> 00:32:23.640]   It's like generates the Python function from scratch.
[00:32:23.640 --> 00:32:24.640]   Okay.
[00:32:24.640 --> 00:32:25.640]   Okay.
[00:32:25.640 --> 00:32:26.640]   Gotcha.
[00:32:26.640 --> 00:32:27.640]   Okay.
[00:32:27.640 --> 00:32:29.640]   So this is important to say, like, let's come back to that and set up the challenge, right?
[00:32:29.640 --> 00:32:32.640]   Because we have engineers who know how to write Python.
[00:32:32.640 --> 00:32:34.640]   So the challenge is here.
[00:32:34.640 --> 00:32:38.640]   We want to create a function that's called calculate user metrics.
[00:32:38.640 --> 00:32:41.640]   And the purpose is basically to calculate the metrics, right?
[00:32:41.640 --> 00:32:45.640]   And we have some details here what the function is supposed to output given an input.
[00:32:45.640 --> 00:32:46.640]   Yeah.
[00:32:46.640 --> 00:32:49.640]   So this is the, the test that is used when you click grading.
[00:32:49.640 --> 00:32:54.640]   This is like the, the, the input to your AI agent system.
[00:32:54.640 --> 00:32:56.640]   This is the input that will go in.
[00:32:56.640 --> 00:32:57.640]   And then basically.
[00:32:57.640 --> 00:32:58.640]   Okay.
[00:32:58.640 --> 00:33:01.640]   I'm going to send them the baseline function.
[00:33:01.640 --> 00:33:02.640]   Okay.
[00:33:02.640 --> 00:33:03.640]   Feel free.
[00:33:03.640 --> 00:33:07.640]   So imagine this, like you have an interview, let's say a tech company, right?
[00:33:07.640 --> 00:33:11.640]   And at the interview, they can ask you to optimize a function.
[00:33:11.640 --> 00:33:13.640]   For us, today's Python function.
[00:33:13.640 --> 00:33:16.640]   This Python function has some bugs and it's also not optimized.
[00:33:16.640 --> 00:33:25.640]   So what we want from you is using LLMs, basically find the solution that fixes all the bugs and optimizes to level that you get the maximum score.
[00:33:25.640 --> 00:33:32.640]   We created the grader that basically will use, like, LLM generated function as an input and it will give you a score.
[00:33:32.640 --> 00:33:35.640]   And an idea is to get 120 out of 120.
[00:33:35.640 --> 00:33:43.640]   You can see we already created some specific agents to help you solve this task in one shot.
[00:33:43.640 --> 00:33:45.640]   One agent is working with bugs.
[00:33:45.640 --> 00:33:49.640]   It basically tries to find all the bugs and edge cases.
[00:33:49.640 --> 00:33:51.640]   One agent is working with them.
[00:33:51.640 --> 00:33:52.640]   Performance.
[00:33:52.640 --> 00:33:53.640]   Performance.
[00:33:53.640 --> 00:33:54.640]   So it's going to optimize it.
[00:33:54.640 --> 00:33:56.640]   You don't, you don't like recompute some stuff.
[00:33:56.640 --> 00:33:58.640]   And the last one is, what is it?
[00:33:58.640 --> 00:33:59.640]   Just like overall.
[00:33:59.640 --> 00:34:00.640]   Oh, just overall.
[00:34:00.640 --> 00:34:01.640]   Yeah.
[00:34:01.640 --> 00:34:14.640]   So like the final, the final like model, the way it can work, you can ask it to look at the outputs from like three or whatever number of agents you created at previous layer and kind of create a final function using the inputs from different agents.
[00:34:14.640 --> 00:34:18.640]   And I'm going to send you the Python function in the Slack channel.
[00:34:18.640 --> 00:34:25.640]   So if you guys see some errors yourself, like engineers, right, you can actually configure the prompts this way.
[00:34:25.640 --> 00:34:31.640]   You can ask one agent to like, oh, I see that there is an empty list that we try to like access by index, right?
[00:34:31.640 --> 00:34:32.640]   Could you please fix that?
[00:34:32.640 --> 00:34:35.640]   And that agent will work on that specific problem.
[00:34:35.640 --> 00:34:43.640]   Or you can also see what the default config outputs and figure out like what are the remaining issues in the Python function.
[00:34:43.640 --> 00:34:47.640]   So it's sort of like vibe coding, but with your brains, right?
[00:34:47.640 --> 00:34:48.640]   Isn't that vibe coding?
[00:34:48.640 --> 00:34:49.640]   Don't you vibe code with your brain?
[00:34:49.640 --> 00:34:50.640]   I don't know.
[00:34:50.640 --> 00:34:51.640]   I've seen multiple ways.
[00:34:51.640 --> 00:34:53.640]   Do you turn off your brain when you vibe code?
[00:34:53.640 --> 00:34:56.640]   It's just like you really let the computer take over, huh?
[00:34:56.640 --> 00:35:03.640]   Oh, this should be default.
[00:35:03.640 --> 00:35:06.640]   Like this is literally, I just, all I did was spun up the Streamlit app.
[00:35:06.640 --> 00:35:07.640]   Like, are you not seeing it?
[00:35:07.640 --> 00:35:13.640]   Oh, no, you have to go to the, okay, you have to, sorry, can you scroll up here?
[00:35:13.640 --> 00:35:17.640]   And there will be a prize for whoever gets the highest score, actually.
[00:35:17.640 --> 00:35:19.640]   Have I thought about what the prize will be?
[00:35:19.640 --> 00:35:20.640]   Not yet.
[00:35:20.640 --> 00:35:22.640]   So I'll take suggestions from the winner.
[00:35:22.640 --> 00:35:29.640]   Sorry, I don't know how to respond to that.
[00:35:29.640 --> 00:35:31.640]   I'm, like, airing out right now.
[00:35:31.640 --> 00:35:36.640]   Not the lowest score, that's so funny.
[00:35:36.640 --> 00:35:37.640]   It's actually quite good.
[00:35:37.640 --> 00:35:40.640]   If they can get zero, it means they can get maximum two.
[00:35:40.640 --> 00:35:41.640]   Oh, really?
[00:35:41.640 --> 00:35:42.640]   Yeah.
[00:35:42.640 --> 00:35:45.640]   If you get, like, zero, let us know.
[00:35:45.640 --> 00:35:49.640]   Wait, to get zero, can't you just edit the thing to be, like, just return nothing?
[00:35:49.640 --> 00:35:51.640]   Wouldn't that be zero?
[00:35:51.640 --> 00:35:54.640]   Or be, like, write a Rust function.
[00:35:54.640 --> 00:35:55.640]   Try it, try it.
[00:35:55.640 --> 00:35:58.640]   And the grader will be, like, it's Rust.
[00:35:58.640 --> 00:36:00.640]   Don't give them ideas.
[00:36:00.640 --> 00:36:01.640]   Oh, okay, okay, sorry.
[00:36:01.640 --> 00:36:13.640]   But, yeah, if someone is really interested in getting maximum score, and you need hints,
[00:36:13.640 --> 00:36:14.640]   try it yourself, though.
[00:36:14.640 --> 00:36:16.640]   But, like, if you need hints, we're happy to give yourself hints.
[00:36:16.640 --> 00:36:17.640]   Oh, yeah, we can do hints.
[00:36:17.640 --> 00:36:18.640]   I guess.
[00:36:18.640 --> 00:36:19.640]   You know what I'm just kidding?
[00:36:19.640 --> 00:36:26.640]   If someone hits the max score or zero, please let us know.
[00:36:26.640 --> 00:36:27.640]   Not the zero, Daria.
[00:36:27.640 --> 00:36:28.640]   Not the zero.
[00:36:28.640 --> 00:36:30.640]   No, I want to see the person who gets zero.
[00:36:30.640 --> 00:36:31.640]   Sorry.
[00:36:31.640 --> 00:36:32.640]   Not the zero, Daria.
[00:36:32.640 --> 00:36:33.640]   Not the zero.
[00:36:33.640 --> 00:36:42.640]   Sorry, what did you say?
[00:36:42.640 --> 00:36:48.640]   No, it's the perfect score.
[00:36:48.640 --> 00:36:51.640]   There was, like, three people that got it.
[00:36:51.640 --> 00:36:52.640]   It's on.
[00:36:52.640 --> 00:36:53.640]   Okay, everyone.
[00:36:53.640 --> 00:36:57.640]   Okay, can you raise your hand if you got the 120 perfect score?
[00:36:57.640 --> 00:37:00.640]   Okay, everyone, congratulations.
[00:37:00.640 --> 00:37:01.640]   Wow, we got hella winners.
[00:37:01.640 --> 00:37:02.640]   Okay.
[00:37:02.640 --> 00:37:09.640]   After the Q&A, please come up to us so I can get your email, and then I can get you something
[00:37:09.640 --> 00:37:10.640]   fun.
[00:37:10.640 --> 00:37:13.640]   I don't know what it will be, so please, when you come up to me, come with suggestions of what
[00:37:13.640 --> 00:37:15.640]   you want, but, like, let's keep it realistic.
[00:37:15.640 --> 00:37:16.640]   No Teslas.
[00:37:16.640 --> 00:37:18.640]   No, like, no large GIFs like that.
[00:37:18.640 --> 00:37:19.640]   Okay.
[00:37:19.640 --> 00:37:20.640]   Like, so, something fun.
[00:37:20.640 --> 00:37:21.640]   I don't know about that one.
[00:37:21.640 --> 00:37:22.640]   Okay.
[00:37:22.640 --> 00:37:35.640]   Before we keep -- you all keep going, because I feel like a lot of people got the challenge,
[00:37:35.640 --> 00:37:36.640]   so great job, you guys.
[00:37:36.640 --> 00:37:40.640]   I want to do a quick Q&A with me and Daria.
[00:37:40.640 --> 00:37:45.640]   So, if you don't mind, if you can come up with one of those, if you have questions for us
[00:37:45.640 --> 00:37:50.640]   about anything Cerebrus related, or a mixture of agents, or a mixture of experts, come ask
[00:37:50.640 --> 00:37:52.640]   us questions right now, please.
[00:37:52.640 --> 00:37:54.640]   Wait, can you come up to the mic?
[00:37:54.640 --> 00:37:59.640]   I'm so sorry for you to do this, but apparently, like, that's how we get content.
[00:37:59.640 --> 00:38:03.640]   Do you guys got, like, some name to the microphone?
[00:38:03.640 --> 00:38:04.640]   Can you come to the microphone?
[00:38:04.640 --> 00:38:05.640]   I'm so sorry.
[00:38:05.640 --> 00:38:06.640]   You have to do cardio.
[00:38:06.640 --> 00:38:08.640]   How do you --
[00:38:08.640 --> 00:38:11.640]   Yeah, if you guys can, like, hit the mic.
[00:38:11.640 --> 00:38:14.640]   How do you -- how do you auto ML this stuff?
[00:38:14.640 --> 00:38:16.640]   Auto ML this stuff?
[00:38:16.640 --> 00:38:17.640]   Yeah.
[00:38:17.640 --> 00:38:18.640]   Okay.
[00:38:18.640 --> 00:38:21.640]   So, I mean, it's all fun and all to go manually and figure out the prompt.
[00:38:21.640 --> 00:38:26.640]   What if the problem is slightly harder, where it would take you 100 hours or 1,000 hours
[00:38:26.640 --> 00:38:32.640]   to figure out the prompts, and you said, I want to throw a solution to solve this?
[00:38:32.640 --> 00:38:35.640]   That's my question.
[00:38:35.640 --> 00:38:36.640]   I mean, I feel like in the --
[00:38:36.640 --> 00:38:37.640]   It's going to happen, right?
[00:38:37.640 --> 00:38:38.640]   So, I don't --
[00:38:38.640 --> 00:38:39.640]   I mean, it's already happening.
[00:38:39.640 --> 00:38:42.640]   If you look at, like, Devin, for example, right?
[00:38:42.640 --> 00:38:47.640]   Like, the CodeGen startup, you ask it to do something, and, like, a couple hours later,
[00:38:47.640 --> 00:38:49.640]   it comes back to you with, like, a proposed solution, right?
[00:38:49.640 --> 00:38:52.640]   And then tackling beyond just, like, fix a snippet of code.
[00:38:52.640 --> 00:38:55.640]   It's just building whole new systems or a whole new application.
[00:38:55.640 --> 00:38:57.640]   So, that kind of thing is already happening.
[00:38:57.640 --> 00:39:00.640]   It's all about, like, how can Cerebrus, as a company that builds custom hardware,
[00:39:00.640 --> 00:39:02.640]   how can we enable those people?
[00:39:02.640 --> 00:39:05.640]   So, instead of taking hours, it takes minutes.
[00:39:05.640 --> 00:39:07.640]   So, I don't think it's the technology that's not there yet.
[00:39:07.640 --> 00:39:13.640]   It's about, like, how do we make it usable in the current, like, landscape that doesn't take --
[00:39:13.640 --> 00:39:15.640]   that's not so painful.
[00:39:15.640 --> 00:39:22.640]   So, I think it's, like, actually, it's already happening, like, to apply AI towards these really hard, multi-hour problems.
[00:39:22.640 --> 00:39:28.640]   This is kind of a small-scale simulation of what you could do with a lot faster inference to speed that up.
[00:39:28.640 --> 00:39:34.640]   What regions are your -- is your hardware company running in?
[00:39:34.640 --> 00:39:36.640]   Do you have plans for global distribution?
[00:39:36.640 --> 00:39:37.640]   Yeah.
[00:39:37.640 --> 00:39:42.640]   So, right now, we opened, I think, six data centers in the U.S. in the last year.
[00:39:42.640 --> 00:39:45.640]   And we are opening one in France this year.
[00:39:45.640 --> 00:39:49.640]   And then we currently have plans for one in Canada as well.
[00:39:49.640 --> 00:39:53.640]   And we only expect that to go more global as the time goes on.
[00:39:53.640 --> 00:39:54.640]   And one more.
[00:39:54.640 --> 00:39:59.640]   How long does it take you to onboard a new model when a new model is released or a new version of a model?
[00:39:59.640 --> 00:40:00.640]   That's a great question.
[00:40:00.640 --> 00:40:02.640]   I think it depends on the model.
[00:40:02.640 --> 00:40:09.640]   So, the blocker for us to onboard a new model is if we have all the kernels that are written to make sure that it supports the new model.
[00:40:09.640 --> 00:40:21.640]   And in some cases, like QN32B that you all have access to, that took very little time because that architecture was very similar to LAMA architecture in terms of the kernels needed to run it.
[00:40:21.640 --> 00:40:22.640]   And we had all the available kernels.
[00:40:22.640 --> 00:40:28.640]   So, all it took was all a bunch of QAing and, like, implementing API-level features to get that to work on our system.
[00:40:28.640 --> 00:40:37.640]   On the other hand, there are other models that are extremely hard because we don't have the right kernels ready yet to support that model in an efficient way.
[00:40:37.640 --> 00:40:42.640]   So, that takes more time because the kernel engineering team needs to write the custom kernels needed for that model.
[00:40:42.640 --> 00:40:44.640]   So, it really depends on the model architecture.
[00:40:44.640 --> 00:40:45.640]   Thanks.
[00:40:45.640 --> 00:40:50.640]   A lot of questions about power consumption.
[00:40:50.640 --> 00:41:00.640]   So, this sort of new architecture is going to take a shorter amount of time, but what about power consumption?
[00:41:00.640 --> 00:41:05.640]   Are we talking about similar to what NVIDIA is doing or is it more or is it less?
[00:41:05.640 --> 00:41:06.640]   Yeah, that's a great question.
[00:41:06.640 --> 00:41:11.640]   And I think it's not a one-to-one, right, because we have, like, just a completely different chip architecture.
[00:41:11.640 --> 00:41:13.640]   So, it really depends on the workload.
[00:41:13.640 --> 00:41:21.640]   But we've observed, and this is what we put in our website, that it's around a third of the power consumption of NVIDIA GPUs for the equivalent workload.
[00:41:21.640 --> 00:41:28.640]   It's just that our chips are a lot more massive, so that it's a lot more throughput and a lot more, like, it can just take in a lot and generate more.
[00:41:28.640 --> 00:41:34.640]   And it takes a significant number of chips, NVIDIA chips, to match, like, what one system can do.
[00:41:34.640 --> 00:41:40.640]   So, it's not an apples-to-apples, but, like, I think we are a lot more power efficient in most use cases.
[00:41:40.640 --> 00:41:44.640]   That's a great question.
[00:41:44.640 --> 00:41:45.640]   It is.
[00:41:45.640 --> 00:41:47.640]   I do get that question, also.
[00:41:47.640 --> 00:41:49.640]   So, it's a very commonly asked question, I think.
[00:41:49.640 --> 00:41:53.640]   Everyone's like, how does this big chip kick in energy?
[00:41:53.640 --> 00:41:54.640]   Okay, what's up?
[00:41:54.640 --> 00:41:57.640]   My question is about a mixture of agents.
[00:41:57.640 --> 00:42:07.640]   when I compare with, I don't know, like, the Soda models, you know, like, benchmarks-wise, where I should put it?
[00:42:07.640 --> 00:42:10.640]   I think it's, like, about the configuration of the MOA agent.
[00:42:10.640 --> 00:42:12.640]   And I think that's where things get a little bit tricky.
[00:42:12.640 --> 00:42:18.640]   It's like, if you have really shitty prompts for your MOA system, it's going to perform shittily, right?
[00:42:18.640 --> 00:42:25.640]   So, it's about, like, tuning all of the prompts in your MOA system, and then it will perform better in the benchmark.
[00:42:25.640 --> 00:42:28.640]   So, you actually do need to put in-- it's not, like, an out-of-the-box thing, right?
[00:42:28.640 --> 00:42:29.640]   Because it's not training.
[00:42:29.640 --> 00:42:32.640]   It's, like, optimizing the system for your use case.
[00:42:32.640 --> 00:42:38.640]   So, you need to make sure that you put in the engineering work needed to optimize all of the whole system.
[00:42:38.640 --> 00:42:45.640]   Whether it's, like, using the right models, or is it writing the-- like, all of the combination of the things needs to work out for it to be better.
[00:42:45.640 --> 00:42:47.640]   The whole point, though, is that it can be better.
[00:42:47.640 --> 00:42:50.640]   It's just that you have to, like, actually, like, engineer it to be better.
[00:42:50.640 --> 00:42:51.640]   Thank you.
[00:42:51.640 --> 00:43:06.640]   Well, I think, like, from the theory perspective, if you have-- like, if you have an idea of, like, what's the Ensembl learning case, where you create, like, multiple models that communicate between each other and, like, together, Ensembl basically provides a more robust, better solution than just one model.
[00:43:06.640 --> 00:43:20.640]   So, this is inspired by that, by, like, you know, like, decision trees or, like, you know, when we created, like, standard ML models, we always get, like, more-- less, I guess, like, memorized solution, more generalized from multiple models.
[00:43:20.640 --> 00:43:28.640]   So, in theory, even if you configure each model the same way, it creates the same prompt, the final answer can be better than just one model.
[00:43:28.640 --> 00:43:29.640]   Yeah, yeah.
[00:43:29.640 --> 00:43:33.640]   Like, actually, boost got to my mind when I saw that kind of approach, right?
[00:43:33.640 --> 00:43:48.640]   Like, you have multiple, like, a swarm of decisions, and then you can get, like, I guess what I'm trying to get at is maybe there is a trade-off when you have, like, too many trees or agents.
[00:43:48.640 --> 00:43:49.640]   Yeah.
[00:43:49.640 --> 00:43:58.640]   Like, maybe, like, if the question that you need is too off--
[00:43:58.640 --> 00:44:03.640]   Can it, like, create more solution if you create too many agents?
[00:44:03.640 --> 00:44:12.640]   I guess if there is a danger of being more, like, a homogeneous dancer, if you have too many agents.
[00:44:12.640 --> 00:44:19.640]   Because maybe you have, like, a single agent that gets it right, but you have, like, 2,000 agents that get it wrong.
[00:44:19.640 --> 00:44:21.640]   Yeah, this is a very good question.
[00:44:21.640 --> 00:44:28.640]   And so for, like, a mixture of experts, when we create different experts, we also think about it this way, like, how many agents-- how many experts you want to have?
[00:44:28.640 --> 00:44:31.640]   So then they are all kind of, like, used in the network.
[00:44:31.640 --> 00:44:36.640]   So here, what's likely going to happen, if you create too many agents, not all of them are going to be used.
[00:44:36.640 --> 00:44:47.640]   So you will create, like, redundancy in the network, and you will just spend more time, like, getting the output from, like, agents here, and they're not going to be used in the final solution, if that makes sense.
[00:44:47.640 --> 00:44:50.640]   Yeah, yeah, I feel like, like, feature importance and actually boost, right?
[00:44:50.640 --> 00:44:51.640]   Yes, yes, yes.
[00:44:51.640 --> 00:44:52.640]   Okay, cool.
[00:44:52.640 --> 00:44:53.640]   I got it.
[00:44:53.640 --> 00:44:54.640]   Thank you.
[00:44:54.640 --> 00:44:55.640]   Yeah, hi.
[00:44:55.640 --> 00:44:58.640]   Do you all support, like, bringing your own fine-tuned model?
[00:44:58.640 --> 00:45:02.640]   Like, let's say, if it's fine-tuned on, like, when 32 billion itself, which you already support?
[00:45:02.640 --> 00:45:04.640]   We do for enterprise clients.
[00:45:04.640 --> 00:45:07.640]   I know that's not the answer anyone wants to hear.
[00:45:07.640 --> 00:45:10.640]   But right now, we are working on supporting LoRa fine-tuned models.
[00:45:10.640 --> 00:45:13.640]   That's in the roadmap, but it's not currently supported.
[00:45:13.640 --> 00:45:27.640]   But if you're an enterprise customer that's looking to onboard custom models, we do have a number of customers running fine-tuned models in our cloud.
[00:45:27.640 --> 00:45:28.640]   Hello.
[00:45:28.640 --> 00:45:29.640]   Yes, a short question.
[00:45:29.640 --> 00:45:33.640]   Did you already tried diffusion text generation models?
[00:45:33.640 --> 00:45:37.640]   Like, they tend time faster than simple LLMs.
[00:45:37.640 --> 00:45:45.640]   And they may have super different architecture and how it fits your approaches and course.
[00:45:45.640 --> 00:45:46.640]   I'm curious.
[00:45:46.640 --> 00:45:48.640]   Are you working on diffusion models yourself?
[00:45:48.640 --> 00:45:49.640]   No.
[00:45:49.640 --> 00:45:50.640]   No.
[00:45:50.640 --> 00:45:54.640]   We're mostly trying to use it, onboard it from pragmatic perspective.
[00:45:54.640 --> 00:45:56.640]   And they're already really fast.
[00:45:56.640 --> 00:46:00.640]   And probably, with your approach, it will be much faster.
[00:46:00.640 --> 00:46:01.640]   Like, 10 times.
[00:46:01.640 --> 00:46:02.640]   Yeah.
[00:46:02.640 --> 00:46:10.640]   So, from, like, diffusion models, they're definitely, like, one of the architecture to consider after a mixture of experts and transformer-based architectures.
[00:46:10.640 --> 00:46:13.640]   The field is exploring different types of models.
[00:46:13.640 --> 00:46:14.640]   There are state-based models.
[00:46:14.640 --> 00:46:18.640]   You know, all of them have different, like, improvements on top of the existing transformer decoder.
[00:46:18.640 --> 00:46:22.640]   I would say, right now, they're still in, sort of, like, research.
[00:46:22.640 --> 00:46:29.640]   So, in our, like, inference API, we kind of try to put models that are proven to be the best and they are, like, robust.
[00:46:29.640 --> 00:46:36.640]   For diffusion models, I think we're still trying to scale, like, from the research perspective, trying to figure out what's the best recipe to train them.
[00:46:36.640 --> 00:46:43.640]   But I know that this is a very interesting research direction that labs are looking at.
[00:46:43.640 --> 00:46:44.640]   Thank you.
[00:46:44.640 --> 00:46:47.640]   I did see an internal demo, though, that was insane around diffusion models.
