
[00:00:00.000 --> 00:00:04.380]   If you're looking to optimize your life without spending more time or money than you have to,
[00:24:57.660 --> 00:25:01.560]   because it had basically gone from a two bedroom with a rental to a three bedroom that we had.
[00:25:01.560 --> 00:25:05.420]   We changed the doorknob so that we couldn't lock ourselves in and everything worked really well.
[00:25:05.420 --> 00:25:09.500]   That is not the only way to house hack. We went deep on that episode. But if you're looking to offset
[00:25:09.500 --> 00:25:14.460]   that expense in your life, there are so many ways to do it. And I definitely encourage you to listen
[00:25:14.460 --> 00:25:20.320]   if that's something that's interesting. Also in the home, many, many different states, counties, and utility
[00:25:20.320 --> 00:25:26.080]   companies give you ways to save by changing your energy plan. And so this might not be valid
[00:25:26.080 --> 00:25:31.760]   everywhere in the country. Some places, there's just a fixed price for energy, and that's it. But I know
[00:25:31.760 --> 00:25:36.520]   here in the Bay Area with PG&E, there's like five, six different plans. And depending on which one you
[00:25:36.520 --> 00:25:41.320]   pick and when you use your energy, especially if you have an electric vehicle, you can get wildly
[00:25:41.320 --> 00:25:46.840]   different bills. And so in episode 135, Matt Farrell and I talked deeply about all the different ways to
[00:25:46.840 --> 00:25:51.880]   make your home more energy efficient. But not only do you want to make your home energy efficient,
[00:25:51.880 --> 00:25:56.600]   you want to look at changing your energy plan to see if you can pay less. Next is probably one of the
[00:25:56.600 --> 00:26:02.180]   biggest mindset shifts. And it's going to be very hard to do it justice in a short period of time in
[00:26:02.180 --> 00:26:09.800]   this episode. But it's adopting a die with zero mindset. So back in episode 91, which I think might have
[00:26:09.800 --> 00:26:15.420]   been the most popular episode of all time, I sat down with Bill Perkins, who wrote a book called die
[00:26:15.420 --> 00:26:22.860]   with zero. And the general principle of the book is that you should focus on net fulfillment over net
[00:26:22.860 --> 00:26:27.960]   worth, meaning, how do you get the most out of life, not how do you accumulate the most amount of money.
[00:26:27.960 --> 00:26:32.620]   And one of the most important things to think about is, if you live your life in various seasons,
[00:26:32.620 --> 00:26:40.180]   there are seasons where it might make more sense to spend and do things than it does to save. And if you look at
[00:26:40.180 --> 00:26:46.720]   the data, many people in retirement don't spend nearly as much as they thought, often because they saved all
[00:26:46.720 --> 00:26:53.520]   these adventures and travels and ideas for retirement. But it turns out that some of those things we just can't
[00:26:53.520 --> 00:26:58.880]   physically do when we're older. So if you have a dream to go hike Mount Kilimanjaro, waiting till you're 75 and
[00:26:58.880 --> 00:27:03.940]   retired might be the worst time to do it. And so before that episode, I probably had this mindset
[00:27:03.940 --> 00:27:08.360]   of the only goal in life is to increase net worth. And I don't mean the only goal, but it was definitely
[00:27:08.360 --> 00:27:14.940]   a topic of conversation with my wife, Amy. After that interview, almost on a dime, I thought, maybe
[00:27:14.940 --> 00:27:20.360]   that's not the goal this year. Maybe this year is not the increased net worth year. Maybe this year is
[00:27:20.360 --> 00:27:26.420]   the have experiences with our young kids year. And next year can be the increased net worth. It was wildly
[00:27:26.420 --> 00:27:32.620]   impactful conversation. I highly encourage you to listen or read his book and think about spending
[00:27:32.620 --> 00:27:37.640]   money on what matters and when it matters to you. And that's going to be different for everyone.
[00:27:37.640 --> 00:27:42.460]   Along the lines of spending, something that we've adopted in our relationship that's made things
[00:27:42.460 --> 00:27:48.020]   really easy and really help streamline decision making is just creating money rules. So this idea
[00:27:48.020 --> 00:27:53.860]   came to me, at least from Ramit Sethi, who wrote a book called I Will Teach You To Be Rich. He came on
[00:27:53.860 --> 00:27:58.440]   way, way back in episode nine to talk about this. Then we talked again a couple of years ago about
[00:27:58.440 --> 00:28:03.360]   money and relationships. And we're actually going to be talking in a few months about a recap on all of
[00:28:03.360 --> 00:28:09.920]   this and thinking about how my perspective on money rules and living your rich life has evolved.
[00:28:09.920 --> 00:28:17.520]   But to give you a couple of concrete examples, he creates rules that make decisions really easy with
[00:28:17.520 --> 00:28:23.360]   money. So for example, never question spending money on books, appetizers, and donating to a
[00:28:23.360 --> 00:28:30.080]   friend's charity fundraiser. And it might seem so obvious, but I think we've all been in a situation
[00:28:30.080 --> 00:28:34.600]   where there's some kind of purchase where we're like, oh, this book I heard was really good. Should
[00:28:34.600 --> 00:28:39.740]   I buy it? Well, it's $19. His idea was, let's take a category of things that I have a strong opinion on
[00:28:39.740 --> 00:28:44.520]   and create a rule so that I never have to think about it. For him, business class on flights over
[00:28:44.520 --> 00:28:50.240]   four hours. For us, we don't have that rule. I've taken plenty of longer than four hour flights in
[00:28:50.240 --> 00:28:56.340]   economy. But if we're crossing an ocean overnight, we use points to fly business. And we've never been
[00:28:56.340 --> 00:29:01.020]   in a situation yet where we couldn't find the ability to use points. So we haven't had to figure
[00:29:01.020 --> 00:29:06.640]   out what we do if that were to mean buying business class flights at face value. But we have a similar-ish
[00:29:06.640 --> 00:29:12.140]   rule. And so he's got a ton of them. I'll put a link in the show notes to a blog post he wrote about
[00:29:12.140 --> 00:29:16.840]   some of those money rules. We'll talk about them a bit in a few months. But setting money rules and
[00:29:16.840 --> 00:29:21.180]   creating them with your partner or yourself have been super impactful for us. The next one is to
[00:29:21.180 --> 00:29:27.080]   just negotiate almost everything. And I don't want to sound like someone who's, you know, I'm not in at
[00:29:27.080 --> 00:29:32.600]   a restaurant asking if I can get a discount on, you know, the dinner I'm having. But there are so many
[00:29:32.600 --> 00:29:40.280]   things in life, your salary, your Airbnb. I didn't realize until talking with a few Airbnb owners that
[00:29:40.280 --> 00:29:45.020]   people negotiate Airbnbs all the time. I felt like I was a sucker having never done it. And so one time,
[00:29:45.020 --> 00:29:49.720]   we were looking to book this Airbnb, and I actually found a property that had only the number of nights
[00:29:49.720 --> 00:29:53.960]   we needed available in their calendar. So I knew, you know, if you have five nights open, someone could
[00:29:53.960 --> 00:29:58.140]   book three or four or two, but we wanted to book the whole five. And I reached out and said, look,
[00:29:58.140 --> 00:30:02.580]   we found a lot of properties. There are a few others that are a little bit similar, but cheaper.
[00:30:02.580 --> 00:30:07.660]   We really liked yours. We want to book the exact five nights that fill your calendar. Could you do it for
[00:30:07.660 --> 00:30:13.760]   X price? It was definitely less than the list price. Instant, like within hours. Yes, totally. And we
[00:30:13.760 --> 00:30:19.160]   booked it. So that's one. If you haven't started negotiating your salary, we've talked about that
[00:30:19.160 --> 00:30:23.340]   in a bunch of different episodes. You should definitely consider that. We've gotten so many
[00:30:23.340 --> 00:30:27.960]   emails from people who've managed to negotiate their salary, negotiate their co-workers' salaries,
[00:30:27.960 --> 00:30:32.220]   and all kinds of stuff. If you're on a website buying something, go to the live chat. You might not
[00:30:32.220 --> 00:30:35.840]   be negotiating the price, but you could ask, hey, are there any deals right now? Are there any
[00:30:35.840 --> 00:30:41.600]   promotions? In the county we live in, you actually have the ability to negotiate or appeal the valuation
[00:30:41.600 --> 00:30:46.780]   of your home for property tax purposes. And we were actually able to lower our home's valuation on the
[00:30:46.780 --> 00:30:54.140]   record by about 25%, which in turn lowered our property tax by 25%. So that's definitely something
[00:30:54.140 --> 00:30:58.800]   that I encourage everyone to do. Just if there's a major expense in your life, or if there's something,
[00:30:58.880 --> 00:31:03.400]   just ask yourself, is it possible that this is flexible? I don't negotiate at the grocery
[00:31:03.400 --> 00:31:08.380]   store, but anytime I see that it might be a possibility, I'm absolutely doing that. So for
[00:31:08.380 --> 00:31:12.740]   example, one thing that we probably all spend a lot of money on is Amazon. I'm not necessarily
[00:31:12.740 --> 00:31:18.540]   negotiating prices on Amazon, but what I am doing, and this is my next tip, is I install the Keepa
[00:31:18.540 --> 00:31:23.520]   extension, and there's probably a dozen extensions that do this. I like this one, but I don't have any
[00:31:23.520 --> 00:31:28.440]   affiliation with them. And they just show you a trending price graph of all the different prices.
[00:31:28.440 --> 00:31:34.500]   This has been over the last, I want to say 90 or even 365 days. So you can see, I'm not going to
[00:31:34.500 --> 00:31:40.000]   negotiate with Amazon, but if I see that this thing I'm buying is always $30 and today it's 35 and it
[00:31:40.000 --> 00:31:44.960]   goes on sale nine out of 10 days, well, I'm going to wait a day or a week and see when the price comes
[00:31:44.960 --> 00:31:50.360]   down and buy it then. And whenever I'm buying anything, my next favorite tip here is to always
[00:31:50.360 --> 00:31:56.500]   stack deals. So you might not negotiate to get the price lower, but there's a series of things that I
[00:31:56.500 --> 00:32:01.420]   would encourage you all to look at anytime you're making a major purchase. So I don't think that I'm
[00:32:01.420 --> 00:32:07.020]   going out and doing this for a $5, $10, $20 purchase. But if we're buying, you know, a new dresser, if
[00:32:07.020 --> 00:32:12.600]   we're buying a new appliance, I'm absolutely going to see how many things I can stack to get a better
[00:32:12.600 --> 00:32:18.000]   price. And so those things could be coupons, whether you find them or whether you find a website, like,
[00:32:18.340 --> 00:32:23.200]   I don't know if it's still alive, but there was this website, savendeals.com. If it's alive,
[00:32:23.200 --> 00:32:27.460]   I'll put a link in the show notes. And they were selling Home Depot and Lowe's coupons for a few
[00:32:27.460 --> 00:32:33.060]   dollars. So one, you can put a coupon in, you can also go through a shopping portal to earn points or
[00:32:33.060 --> 00:32:37.640]   cash back. You can look at your credit cards, whether it's Amex, Chase, Citi, Bank of America,
[00:32:37.640 --> 00:32:44.140]   there are a lot of different card linked offers, like spend $49 at Chewy and get $15 back,
[00:32:44.140 --> 00:32:49.080]   which is one we just used. And gift cards is another one. So you can buy gift cards at a
[00:32:49.080 --> 00:32:53.340]   discount. And then finally, whatever you're putting the payment on, if it's your own credit
[00:32:53.340 --> 00:32:57.180]   card, you can earn credit card points. So it's possible. And one of the best examples of doing
[00:32:57.180 --> 00:33:02.460]   this was we bought this Japanese Toto toilet seat, built-in bidet, seat warmer, everything. It was
[00:33:02.460 --> 00:33:08.360]   awesome. And we bought a coupon online. We went through a shopping portal and got one or 2%. There
[00:33:08.360 --> 00:33:13.920]   was a card linked offer for Lowe's. We bought Lowe's gift cards on sale. And then we put the
[00:33:13.920 --> 00:33:19.060]   remainder balance because usually you buy gift cards in like $100, $250 denominations. And we
[00:33:19.060 --> 00:33:24.400]   put the remainder on a credit card that had purchase protection and earned cash back or points. I don't
[00:33:24.400 --> 00:33:29.380]   actually remember which credit card it was this time. So we stacked all of that. We saved like 35%
[00:33:29.380 --> 00:33:34.080]   on the purchase. Another site I really like is SaveWise, which will kind of let you set up alerts
[00:33:34.080 --> 00:33:39.920]   for when some of these shopping portal deals come up. So you could say, hey, if Lowe's is ever more
[00:33:39.920 --> 00:33:45.280]   than 5% off, let me know. I'll put a link to SaveWise and any of these things in the show notes.
[00:33:46.060 --> 00:33:51.960]   is brought to you by Facet. Finding good and actionable financial advice is not easy, especially
[00:33:51.960 --> 00:33:56.740]   if you want it to come from someone who's acting in your best interest. So let me save you some time
[00:33:56.740 --> 00:34:01.440]   because when I shut down my financial planning firm a few years ago, we did a ton of research
[00:34:01.440 --> 00:34:07.180]   on who to recommend to our clients and we landed on Facet. Facet makes professional financial advice
[00:34:07.180 --> 00:34:12.980]   actionable to everyone. And instead of charging a high percentage of your assets, they only charge a flat
[00:34:12.980 --> 00:34:18.480]   annual membership fee with investment management included. With Facet, you'll get access to a team
[00:34:18.480 --> 00:34:24.160]   of CFP professionals and specialists providing guidance across retirement planning, tax strategy,
[00:34:24.160 --> 00:34:30.960]   estate planning, and more. So head on over to chrishutchins.com slash facet, F-A-C-E-T,
[00:34:30.960 --> 00:34:37.280]   to learn more about which membership option is best for you. That's chrishutchins.com slash facet.
[00:34:37.280 --> 00:34:42.200]   This episode is brought to you by Delete Me. And if you prefer not to have your identity stolen or have
[00:34:42.200 --> 00:34:46.640]   your phone number, home address, or email showing up all over the internet, you really need to check
[00:34:46.640 --> 00:34:51.460]   out Delete Me this year. Unfortunately, there's hundreds of data brokers online that are constantly
[00:34:51.460 --> 00:34:56.640]   sharing and selling your personal info and keeping track of all of them is like playing whack-a-mole.
[00:34:56.640 --> 00:35:00.700]   But fortunately, if you go to them one by one, you can get them to remove your data.
[00:35:00.700 --> 00:35:06.820]   However, that process can take hours and hours to do yourself. I know I tried it two years ago
[00:35:06.820 --> 00:35:10.840]   and after spending more than 10 hours and not even getting close to finishing,
[00:35:10.840 --> 00:35:16.120]   I gave up and started using Delete Me and I haven't looked back. Since then, I've signed up my
[00:35:16.120 --> 00:35:21.280]   entire family because Delete Me will not just find and remove your personal info from hundreds of data
[00:35:21.280 --> 00:35:27.500]   broker websites. They'll continuously scan for new data that shows up, which sadly happens all the time,
[00:35:27.500 --> 00:35:33.860]   and get that removed as well. On average, they find and remove over 2,000 pieces of personal info for a
[00:35:33.860 --> 00:35:39.200]   customer in their first two years. And to date, they've done over 100 million data removals for
[00:35:39.200 --> 00:35:43.500]   customers. So if you want your personal information removed from the web, go to
[00:35:43.500 --> 00:35:49.980]   chrishutchins.com/deleteme and get 20% off a plan for you or your entire family. Again, that's
[00:35:49.980 --> 00:35:56.220]   chrishutchins.com/deleteme or click the link in the description. The next one is maybe you could argue a
[00:35:56.220 --> 00:36:02.100]   sub-bullet of stacking deals, but it's enough worth calling out that you want to install at least one
[00:36:02.100 --> 00:36:07.380]   or two browser extensions for shopping online just to make sure you're not missing on obvious deals.
[00:36:07.380 --> 00:36:12.620]   So for me, that's the Rakuten extension and the Card Pointers extension. And what the Rakuten
[00:36:12.620 --> 00:36:18.780]   extension does is it's one of the shopping portals. Obviously, if you go to Cashback Monitor, you might
[00:36:18.780 --> 00:36:23.740]   find that there's 20 or 30 different shopping portals. And Rakuten's not always the best one.
[00:36:23.740 --> 00:36:29.820]   But I hate having pop-ups on the browser all the time. So if I'm making a big purchase, I'm definitely
[00:36:29.820 --> 00:36:35.340]   going to go to Cashback Monitor and see if there's a better place to get cash back or points. But for
[00:36:35.340 --> 00:36:42.060]   general purchases, even if it's just $5, there's no reason not to have one shopping portal extension and
[00:36:42.060 --> 00:36:48.380]   just load it. And even if all you're getting back is $0.50, it takes not even a second to click
[00:36:48.380 --> 00:36:53.580]   a button and let the page reload. So I use the Rakuten extension primarily because they typically
[00:36:53.580 --> 00:36:59.340]   have good deals and you can convert your Rakuten cash back to Amex points. But I also use the Card
[00:36:59.340 --> 00:37:06.380]   Pointers extension. And I use that because Card Pointers, anytime I'm logged into any of my credit card
[00:37:06.380 --> 00:37:11.260]   websites, whether that's Chase, Amex, Bank of America, Card Pointers will go and activate all
[00:37:11.260 --> 00:37:16.220]   those card-linked offers. They'll remember which ones you had on which card. And then if you're on
[00:37:16.220 --> 00:37:23.900]   a website, they'll pop up and say, "Hey, definitely use your Citi Premier card because on this website,
[00:37:23.900 --> 00:37:31.660]   right now you have a spend 50 get $15 back." And I can't keep in my head the thousands of card-linked
[00:37:31.660 --> 00:37:36.780]   offers that have been activated. And I can guarantee I've saved hundreds of dollars just from this
[00:37:36.780 --> 00:37:43.980]   extension. And a lifetime membership is way less than that. And you can get 30% off at allthehacks.com/cardpointers.
[00:37:43.980 --> 00:37:48.380]   Big fan of the Card Pointers app. There's a lot more to unpack there, but I will save that for
[00:37:48.380 --> 00:37:52.060]   another episode. And next is another one that maybe you could argue was in the stacking deals
[00:37:52.060 --> 00:37:56.300]   because it's gift cards. But I want to think about gift cards differently. In episode 212,
[00:37:56.300 --> 00:38:01.740]   we went really, really deep on gift cards. And I tried to do some math. I think the average person
[00:38:01.740 --> 00:38:06.460]   could save thousands of dollars a year, at least with the gift card deals that were happening when
[00:38:06.460 --> 00:38:10.940]   that episode was recorded. Right now, we're in a little bit of a lull for gift cards. But I think as we
[00:38:10.940 --> 00:38:15.500]   get towards the end of the year around the holidays, we'll probably get into another gift card boom.
[00:38:15.500 --> 00:38:21.420]   But if you think about the fact that gift cards go on sale all the time with all kinds of promotions,
[00:38:21.420 --> 00:38:26.380]   and there is a whole market of people buying those gift cards and reselling them at a loss because they
[00:38:26.380 --> 00:38:31.020]   got a good deal on them. Well, if you're ever looking to buy something, you could pay for it with
[00:38:31.020 --> 00:38:36.220]   a gift card that you bought on sale. And there are websites that make this easy to go buy those gift cards,
[00:38:36.220 --> 00:38:44.380]   like rays and flus. We built our own gift card site that about every two to three months, I launch for a few days
[00:38:44.380 --> 00:38:49.340]   in the newsletter, all the hacks.com slash email, and we announced that gift card sites going live. But even if
[00:38:49.340 --> 00:38:55.180]   they're not on sale, you might earn a lot more points on your spending at office supply stores or grocery stores.
[00:38:55.180 --> 00:39:02.220]   And so it might make sense to pick up a gift card at the grocery store, earn the bonus points so that you can use that gift card to buy
[00:39:02.220 --> 00:39:07.820]   something somewhere else. One more thing to keep in mind for purchases that might have issues where you
[00:39:07.820 --> 00:39:13.020]   really want to take advantage of your extended warranty or your purchase protection, which are common credit
[00:39:13.020 --> 00:39:17.900]   card benefits that you get. Those are ones where I try to avoid buying them with gift cards. So for example,
[00:39:17.900 --> 00:39:22.940]   if I'm buying a computer or a cell phone where I want to be able to get an extra one or two year warranty
[00:39:22.940 --> 00:39:28.220]   because I put it on a credit card that offers that benefit, I'm not going to make that purchase with gift cards.
[00:39:28.220 --> 00:39:34.220]   But if I'm buying groceries from Amazon Fresh, absolutely don't need the purchase protection
[00:39:34.220 --> 00:39:37.820]   or return protection. And I'm happy to use gift cards to buy those groceries. All right,
[00:39:37.820 --> 00:39:43.420]   a couple quick last ones before I talk about income and investment. So first, I love Library Extension.
[00:39:43.420 --> 00:39:49.340]   There's also an app called Libby. You can connect both of them to your local libraries. And anytime you're
[00:39:49.340 --> 00:39:54.460]   browsing Amazon for a book, Library Extension will pop up and say, "Hey, you could just check this book out
[00:39:54.460 --> 00:39:59.900]   right now, the ebook version of it from your local library and read it immediately." Libby is like an
[00:39:59.900 --> 00:40:05.180]   app that has an ebook store that you can just search your local library's books and read them right away
[00:40:05.180 --> 00:40:09.980]   on your iPad or your iPhone, or they might even have a Kindle version. I'm not sure. This next one's one of
[00:40:09.980 --> 00:40:15.340]   my favorites. Shout out to my friend, Mike, who pointed out that a lot of hotels don't give you free bottles
[00:40:15.340 --> 00:40:20.860]   of water in your room, but they do give you free bottles of water in the gym. And so anytime you're at a hotel
[00:40:20.860 --> 00:40:25.980]   with a gym, just check out what they've got going on in there. Some of them even have some fresh fruit.
[00:40:25.980 --> 00:40:31.180]   And so if it's an amenity for those working out, that doesn't mean it's only if you work out. If the
[00:40:31.180 --> 00:40:35.580]   hotel is going to offer it to anyone in the gym, go check out what's in there. Grab yourself a free
[00:40:35.580 --> 00:40:40.220]   bottle of water, grab yourself a banana, and be excited that you found it for free.
[00:40:40.220 --> 00:40:45.260]   Next one, if you have an expense category, if you have complicated taxes, your tax bill can be one of
[00:40:45.260 --> 00:40:51.260]   your biggest expenses. And I want to encourage people who maybe have the mindset I did a handful
[00:40:51.260 --> 00:40:55.820]   of years ago, which was I kind of loved getting in the weeds on my own taxes using TurboTax to do
[00:40:55.820 --> 00:41:02.620]   it all myself. And then I got to the point where I said, okay, I know I'm saving money by doing this
[00:41:02.620 --> 00:41:09.900]   over the cost of hiring an actual CPA. That's very proactive and really looking at things holistically.
[00:41:09.900 --> 00:41:14.780]   I'm saving money on the tax prep, but I might not actually be saving money on the taxes.
[00:41:14.780 --> 00:41:21.260]   And so if you have complicated taxes at a minimum, take a look at a CPA and see if there's one that
[00:41:21.260 --> 00:41:27.260]   makes sense. We've done a handful of episodes on saving money on taxes. Episode 147 comes to mind,
[00:41:27.260 --> 00:41:31.180]   which is all about saving taxes. And then at the end of the year, for the last few years,
[00:41:31.180 --> 00:41:36.220]   we've done episodes on kind of an end of the year tax checklist. If you need a recommendation,
[00:41:36.220 --> 00:41:41.980]   um, personally, I use Gelt. They are a sponsor and partner of the show, but I've been using them since
[00:41:41.980 --> 00:41:45.980]   before they were a partner and sponsor. I'll put a link in the show notes. If you want to check them out,
[00:41:45.980 --> 00:41:50.380]   I've been really happy working with them. Okay. On the investments and income side, first off,
[00:41:50.380 --> 00:41:58.380]   automate everything. Um, I really like to not think a lot about my investments. And so recurring investments,
[00:41:58.380 --> 00:42:03.340]   recurring savings. I use a robo advisor because I like to have my investments rebalanced automatically.
[00:42:03.340 --> 00:42:07.900]   I like tax loss harvesting to happen automatically. I just don't really want to think about my finances.
[00:42:07.900 --> 00:42:12.860]   In fact, when I was working at wealth front, we built this product called autopilot and I think now
[00:42:12.860 --> 00:42:19.580]   it has a different name, but the entire idea was, can I just tell you to automatically keep three months
[00:42:19.580 --> 00:42:24.940]   of spending in my emergency fund and then max out my Roth IRA every year and then put the rest of my
[00:42:24.940 --> 00:42:29.580]   taxable investment account. It was like everything that I wanted in a product was why I was excited to
[00:42:29.580 --> 00:42:35.340]   work on it. And I just love automating all these rules. If you have an account where your paycheck
[00:42:35.340 --> 00:42:40.780]   comes, find a financial institution or a FinTech service that will let you say, Hey, as soon as my
[00:42:40.780 --> 00:42:46.300]   paycheck comes in, move 20% of it to savings or whatever rules you want to create. If you can find
[00:42:46.300 --> 00:42:51.020]   ways to automate them so you don't have to spend time on your money. I think that's amazing.
[00:42:52.060 --> 00:42:57.580]   When it comes to investing, personally, I like to passively invest in low cost index funds.
[00:42:57.580 --> 00:43:02.220]   In episode 168, I sat down with the co-founder of the financial planning firm I started,
[00:43:02.220 --> 00:43:06.540]   gosh, probably a decade ago at this point. And we just talked about how to build an investment
[00:43:06.540 --> 00:43:12.060]   portfolio to grow and protect your wealth. But for me, the core fundamental piece of that is I'm not
[00:43:12.060 --> 00:43:17.100]   trying to time the market. I'm not trying to pick stocks. I want to create a diversified portfolio
[00:43:17.100 --> 00:43:23.180]   that invest in low cost index funds. And I want my money to grow at what has historically been a
[00:43:23.180 --> 00:43:30.140]   consistent rate that can set me up for success in the future. So very excited to not be spending time
[00:43:30.140 --> 00:43:35.820]   trying to pick stocks and you know, win in the market. That's not my game. Love the low cost index
[00:43:35.820 --> 00:43:41.980]   fund strategy. It's exactly how I think I want to be investing and encourage lots of people to consider.
[00:43:41.980 --> 00:43:45.820]   That said, where I do like to optimize is not necessarily what's in the investment portfolio,
[00:43:45.820 --> 00:43:50.780]   but what kind of account I'm investing from. And so there are a lot of different types of tax
[00:43:50.780 --> 00:43:55.580]   advantaged accounts. In episode 144, I sat down with my friend Katie and we went through every different
[00:43:55.580 --> 00:44:02.140]   type of tax advantage account. Some of my favorites are 401ks at work. If you have them, especially if
[00:44:02.140 --> 00:44:07.580]   your company matches, take advantage. If you don't have access to them, you can open a Roth IRA.
[00:44:07.580 --> 00:44:12.940]   IRA. You can even if you're aren't eligible from your income, there is a backdoor method to contribute
[00:44:12.940 --> 00:44:18.380]   to your Roth IRA that we talked about. If you contribute any money each year to charitable causes
[00:44:18.380 --> 00:44:23.820]   or charities, then I would encourage you to take a look at a donor advised fund. We talked deeply about
[00:44:23.820 --> 00:44:29.420]   that in episode 50. And if you do have a donor advised fund, or even if you don't, if you're donating
[00:44:29.420 --> 00:44:35.100]   to charity, I'd strongly encourage you to donate the most appreciated stocks or other assets you have in
[00:44:35.100 --> 00:44:40.060]   your portfolio instead of cash. Because let's say you have $100, and then you have a stock worth
[00:44:40.060 --> 00:44:45.580]   $100 that you bought for $50. When you donate the $100 to charity, you get the $100 write-off,
[00:44:45.580 --> 00:44:51.740]   and you lose $100. That's it. That makes sense. You donated the $100. When you donate the $100 of stock,
[00:44:51.740 --> 00:44:57.580]   you get the same $100 deduction. You don't have the $100. But if you held onto it instead of donated it,
[00:44:57.580 --> 00:45:02.780]   when you sold it, you would pay taxes on the gains you have. When you donate it, that's not true.
[00:45:02.780 --> 00:45:09.100]   So you can donate that $100 position of some stock to a charity. They get the full $100. You get the
[00:45:09.100 --> 00:45:14.140]   full write-off. And then if you want, you can take the $100 you didn't donate and buy that stock right
[00:45:14.140 --> 00:45:20.140]   back at the same price, because the wash sale rule doesn't apply to charitable donations like it would
[00:45:20.140 --> 00:45:25.260]   if you were buying and selling. And for those not familiar, I won't take you down that rabbit hole right
[00:45:25.260 --> 00:45:31.180]   now. But now that stock will be at the price you bought as the cost basis. So it'll be at $100.
[00:45:31.180 --> 00:45:36.140]   So if you bought it at $50 and it goes to $150, you're going to owe taxes on that $100 gain. But now
[00:45:36.140 --> 00:45:41.820]   that you've bought it at $100, you're not going to owe taxes on anything until it goes above that $100 price.
[00:45:43.180 --> 00:45:48.220]   And then last, one of my favorite investment accounts is an HSA, because you can put money in
[00:45:48.220 --> 00:45:53.180]   pre-tax. That money can grow without having to pay taxes on it each year. And then you can take that
[00:45:53.180 --> 00:45:59.020]   money out without paying taxes. And so contrary to how I would use an FSA, which is a flexible spending
[00:45:59.020 --> 00:46:04.380]   account, specifically an FSA for health, is I would try to make sure you maximize it because you lose it at
[00:46:04.380 --> 00:46:10.140]   the end of the year. For my HSA, I max it out as much as I can because I have an eligible health plan.
[00:46:10.140 --> 00:46:15.980]   And then I leave that money there. I don't touch it because what other account do I have that's
[00:46:15.980 --> 00:46:21.820]   pre-tax money that can grow tax-free that I can take out tax-free later. So I'm letting my HSA grow
[00:46:21.820 --> 00:46:28.220]   as much as possible. I plan to use that money, you know, when I'm very old and have probably plenty of
[00:46:28.220 --> 00:46:34.220]   medical expenses. While not tax-advantaged, one account that I think is often overlooked as a source
[00:46:34.220 --> 00:46:39.340]   of income is your main account, your checking account. Even your savings account at many
[00:46:39.340 --> 00:46:45.500]   financial institutions earns almost, if not nothing. The average savings account rate in America right
[00:46:45.500 --> 00:46:54.060]   now is something like .03%. And so I would encourage you to try your best to earn interest on all of your
[00:46:54.060 --> 00:46:59.500]   cash. And if you go back and listen to episode 177, I went through, gosh, I probably opened 25 bank
[00:46:59.500 --> 00:47:04.060]   accounts to try to find what I think was the optimal bank account setup to earn interest on
[00:47:04.060 --> 00:47:09.900]   all your cash. It is possible to have an account that earns interest. And from that account,
[00:47:09.900 --> 00:47:15.260]   you can receive your paycheck. You can pay off your credit cards. You can write checks. You can do
[00:47:15.260 --> 00:47:19.340]   everything that you could do from a traditional checking account. In some cases, they even are
[00:47:19.340 --> 00:47:23.340]   checking accounts, but there are multiple different options for accounts like this where you can earn
[00:47:23.340 --> 00:47:28.620]   interest on all your cash. So I really just want to make sure every dollar I have is being put to work
[00:47:28.620 --> 00:47:34.460]   in some way, shape or form, especially right now when the average yield on treasuries,
[00:47:34.460 --> 00:47:38.940]   high yield savings, money markets is kind of up in the 4% range.
[00:47:38.940 --> 00:47:45.820]   Now, when it comes to cash that you don't need direct access to day in and day out to pay bills, maybe
[00:47:45.820 --> 00:47:50.460]   that's your emergency fund. Maybe that's your savings for a down payment. Maybe it's just cash
[00:47:50.460 --> 00:47:56.540]   savings that you don't want to put in the market right now. If you are in a high tax bracket and you live in a high
[00:47:56.540 --> 00:48:02.620]   tax state, there are some advantages to putting that money into treasuries or short term U.S.
[00:48:02.620 --> 00:48:09.340]   Treasury ETFs instead of a high yield savings account because the income from those treasuries will not
[00:48:09.340 --> 00:48:15.980]   be subject to state taxes. Some states also have their own muni, which meaning municipal California,
[00:48:15.980 --> 00:48:22.060]   for example, has their own ETFs for California treasuries. Those would actually be state and federal
[00:48:22.060 --> 00:48:28.380]   tax-free, but the yields on them are often a lot less. And so depending on your tax bracket and your
[00:48:28.380 --> 00:48:33.980]   state, there are a few different options. But I'd encourage you to look at places like U.S. Treasuries
[00:48:33.980 --> 00:48:39.100]   that you can get a little bit of a tax advantage over something like a savings account where you're not
[00:48:39.100 --> 00:48:44.780]   going to get that tax advantage. Now, the most popular episode from the last year by YouTube
[00:48:44.780 --> 00:48:50.460]   standards, not necessarily audio, but definitely took off on YouTube like no other episode we've done was
[00:48:50.460 --> 00:48:59.260]   episode 181 where I sat down with my now good friend Kai who runs a podcast talking all about deals. And we
[00:48:59.260 --> 00:49:07.500]   talked about how easy it can be to make as much as $3,000 a month just from online deals. And I know this
[00:49:07.500 --> 00:49:13.820]   sounds crazy to anyone who hasn't heard that episode, but it is possible to take deals that you're finding online
[00:49:13.820 --> 00:49:20.540]   and turn them into your own side hustle. We talked about everything from bank bonuses, brokerage bonuses, meal kits,
