
[00:00:00.000 --> 00:00:08.000]   Welcome back to lesson 9 part 2, how to train your model.
[00:37:11.000 --> 00:37:21.000]   Then we basically say OK let's look in our predict let's look in our predictions and then for our row indexes.
[00:37:21.000 --> 00:37:38.000]   It's every single row index so range of target dot shape zero so target dot shape zero is the number of rows so range of that is all of the numbers from zero to the number of rows so zero one two three blah blah blah fifty thousand four forty nine thousand ninety nine.
[00:37:38.000 --> 00:37:49.000]   And then which columns do we want for each of those rows or whatever our target is whatever the actual value so in this case five zero four etc.
[00:37:49.000 --> 00:37:53.000]   So that returns.
[00:37:53.000 --> 00:38:07.000]   All of the values we need we then take minus because it's negative log likelihood and take the mean so that's all it takes to do negative log likelihood in PyTorch which is super wonderfully easy.
[00:38:07.000 --> 00:38:14.000]   So now we can calculate our loss which is the negative log likelihood of the softmax predictions.
[00:38:14.000 --> 00:38:17.000]   That's what we had up here.
[00:38:17.000 --> 00:38:21.000]   Compared to our actual why trading.
[00:38:21.000 --> 00:38:25.000]   And so there it is.
[00:38:25.000 --> 00:38:36.000]   Now this was our softmax formula which is a to the X over some of the X's.
[00:38:36.000 --> 00:38:51.000]   So we have a and then it's all logged so we've got a log of A over B and remember I keep telling you that like one thing you want to remember from high school math is how logs work so I do want you to try to recall that log of A over B is log of A minus log of B.
[00:38:51.000 --> 00:39:12.000]   And so we can rewrite this as log of A to the X minus log of all that and of course either the something and log are opposites of each other so a log of A to the X is just X so that ends up being X minus.
[00:39:12.000 --> 00:39:16.000]   X dot X dot some dot log.
[00:39:16.000 --> 00:39:18.000]   So this is useful.
[00:39:18.000 --> 00:39:24.000]   And let's just check that that actually works so as I kind of keep refactoring these things as even as I'd like to me.
[00:39:24.000 --> 00:39:37.000]   These mathematical manipulations are just refactoring right so just refactoring the math so you keep checking along so we created test near last time so let's use it to make sure that it's a similar the same as our loss.
[00:39:37.000 --> 00:39:51.000]   Now you'll see here this is taking the log of the sum of the X and there's a trick called log some X.
[00:39:51.000 --> 00:40:06.000]   Now the reason we need this trick is that when you go into the power of something you can get ridiculously big numbers and if you've done Rachel's new computational linear algebra course then you'll know that very big numbers in floating point.
[00:40:06.000 --> 00:40:24.000]   On a computer are really inaccurate basically the further you get away from zero the less kind of fine grained they are you know gets to the point where like two numbers a thousand apart the computer thinks they're the same number so you don't want big numbers particularly when you're calculating gradients.
[00:40:24.000 --> 00:40:50.000]   So anywhere you see an eight of the X we get nervous we don't want X to be big but it turns out that if you do this little mathematical substitution you can actually subtract a number from your exes and add them back at the front and you get the same answer so what you could do is you can find the maximum of all of your exes.
[00:40:50.000 --> 00:41:02.000]   You can subtract it from all of your exes and then add it back afterwards outside the X and you get exactly the same answer so in other words let's find the maximum.
[00:41:02.000 --> 00:41:14.000]   That's subtracted from all of our exes and then let's do log some X and then at the end we'll add it back again and that gives you exactly the same number that without this numerical problem.
[00:41:14.000 --> 00:41:23.000]   So when people talk about like numerical stability tricks they're talking about stuff like this and this is a really helpful numerical stability trick.
[00:41:23.000 --> 00:41:43.000]   So this is how you do log some X in real life we can check that this one here is the same as and look in fact log some X is already a method in pytorch it's such a important and useful thing you can just actually use pytorches and you'll get the same result as the one we just wrote.
[00:41:43.000 --> 00:41:49.000]   So now we can use it so log softmax is now just X minus X dot log some X.
[00:41:49.000 --> 00:42:00.000]   And let's check yep still the same so now that that's all working we may as well just use pytorches log softmax is and pytorches and our little loss.
[00:42:00.000 --> 00:42:09.000]   But actually I know a loss of log softmax is called cross entropy.
[00:42:09.000 --> 00:42:21.000]   So finally we get test near F dot cross entropy is the same as loss and it is so we've now recreated by torches cross entropy so we're allowed to use it according to our rules.
[00:42:21.000 --> 00:42:50.000]   OK so now that we have a loss function we can use it to train and we may as well also define a metric because it's nice to see accuracy to see how we're going just much more interpretable and remember from part one that the accuracy is simply grab the argmax OK to find out which which which of the numbers in our softmax is the highest and the index of that is our prediction and then check whether that's equal to the actual.
[00:42:50.000 --> 00:43:02.000]   And then we want to take the main but in pytorch you can't take the main of it's you have to take the main of floats which makes some sense so turn it into a float first so there's our accuracy.
[00:43:02.000 --> 00:43:16.000]   So let's just check let's grab a batch size of 64 and let's grab our first X batch this is our first playing around with many batches right so our first X batch is going to be a training set from zero up to batch size.
[00:43:16.000 --> 00:43:25.000]   So our predictions is we're just going to run our model and remember our model was.
[00:43:25.000 --> 00:43:42.000]   Linear value linear those still using a super simple model so let's calculate some predictions and let's have a look at them and here's some predictions and it's 64 by 10 as you'd expect batch size 64 and 10 possible probabilities right.
[00:43:42.000 --> 00:43:50.000]   So now we can grab our first batch of dependent variables and calculate our loss.
[00:43:50.000 --> 00:43:57.000]   OK that's 2.3 and calculate our accuracy and as you'd expect it's about 10% because we haven't trained our model.
[00:43:57.000 --> 00:43:59.000]   So we've got a model that's.
[00:43:59.000 --> 00:44:02.000]   Giving basically random answers.
[00:44:02.000 --> 00:44:05.000]   So let's train it so we need a learning rate.
[00:44:05.000 --> 00:44:08.000]   We need to pick a number of epochs.
[00:44:08.000 --> 00:44:10.000]   And we need a training loop.
[00:44:10.000 --> 00:44:14.000]   So our training loop if you remember from part one.
[00:44:14.000 --> 00:44:17.000]   Remember lesson to SGD.
[00:44:17.000 --> 00:44:19.000]   Our training loop.
[00:44:19.000 --> 00:44:21.000]   Looks like this.
[00:44:21.000 --> 00:44:23.000]   Calculate your predictions.
[00:44:23.000 --> 00:44:26.000]   Calculate your loss.
[00:44:26.000 --> 00:44:36.000]   Do backward subtract learning rate times gradients and zero the gradients so let's do exactly the same thing.
[00:44:36.000 --> 00:44:41.000]   We're going to go through a cheap walk and go through I up until and which is 50,000.
[00:44:41.000 --> 00:44:53.000]   That's the number of rows but integer divide by batch size because we're going to do a batch at a time and so then we'll grab everything starting at times batch size and ending at that plus batch size.
[00:44:53.000 --> 00:45:05.000]   So this is going to be our first this is going to be a mini batch and so let's grab one X mini batch one Y mini batch and pass that through the model and our loss function.
[00:45:05.000 --> 00:45:08.000]   And then do backward.
[00:45:08.000 --> 00:45:15.000]   And then we're going to do our update which remember we have to do with no grad because this is not part of the gradient calculation. This is the result of it.
[00:45:15.000 --> 00:45:18.000]   But now we can't just go.
[00:45:18.000 --> 00:45:29.000]   A dot subtract learning rate times gradient we have to do that for every single one of our parameters so our model has.
[00:45:29.000 --> 00:45:33.000]   3 layers. The value has no parameters in it.
[00:45:33.000 --> 00:45:43.000]   So the linear layer has weight and bias and this linear layer has weight and bias so it basically got 4 tenses to deal with.
[00:45:43.000 --> 00:45:58.000]   So we're going to go through all of our layers and let's just check whether that layer has an attribute called weight or not that's a bit kind of more flexible than hard coding things and if it does then let's update the weight to minus equals the gradient of that.
[00:45:58.000 --> 00:46:06.000]   By the learning rate the bias to the bias gradient by the learning rate and then 0 those gradients when we're done.
[00:46:06.000 --> 00:46:09.000]   So let's run it.
[00:46:09.000 --> 00:46:22.000]   And then let's check the loss function and the accuracy and the loss has gone down from 2.3 to 0.05 and the accuracy has gone up from 0.12 to 1.
[00:46:22.000 --> 00:46:35.000]   Notice that this accuracy is for only a single mini batch and it's a mini batch from the training set so it doesn't mean too much, but obviously our model is learning something so this is good so this is.
[00:46:35.000 --> 00:46:41.000]   This is there you know we're now.
[00:46:41.000 --> 00:46:48.000]   Well, we haven't really done calm, but I guess we've got a basic training. We're now here. We have a basic training.
[00:46:48.000 --> 00:46:52.000]   Which is great so we kind of got all the pieces.
[00:46:52.000 --> 00:46:58.000]   So let's try to make this simpler 'cause this is too much code right and it's too hard to fiddle around with.
[00:46:58.000 --> 00:47:02.000]   So the first bit will do.
[00:47:02.000 --> 00:47:05.000]   Is we're going to try and get rid of.
[00:47:05.000 --> 00:47:07.000]   This mess.
[00:47:07.000 --> 00:47:11.000]   And we're going to replace it with.
[00:47:11.000 --> 00:47:18.000]   And so the difference here is rather than manually going through weight and bias for each one.
[00:47:18.000 --> 00:47:20.000]   We're going to loop through.
[00:47:20.000 --> 00:47:32.000]   Something called model dot parameters, so we're not even going to look through the layers. We're just going to loop directly through model dot parameters and for each parameter will say that parameter minus equals gradient times learning rate.
[00:47:32.000 --> 00:47:45.000]   So somehow we need to be able to get all of the parameters of our model 'cause if we could do that we could greatly simplify this part of the loop and also make it much more flexible right so.
[00:47:45.000 --> 00:47:50.000]   To do that.
[00:47:50.000 --> 00:48:00.000]   We could create something like this and is calling this dummy module right and in dummy module what I'm going to do is I'm going to say every time I.
[00:48:00.000 --> 00:48:04.000]   Set an attribute like L1 or L2.
[00:48:04.000 --> 00:48:07.000]   To a you know in this case to linear.
[00:48:07.000 --> 00:48:09.000]   I want to.
[00:48:09.000 --> 00:48:17.000]   Update a list called underscore modules with a list of all of the modules I have so in other words after I create this dummy module.
[00:48:17.000 --> 00:48:29.000]   I want to be able to print out here's my representation I want to be able to print out the list of those modules and see the modules that are there 'cause then I can define a method called parameters.
[00:48:29.000 --> 00:48:41.000]   That will go through everything in my underscore modules list and then go through all of their parameters and that's what I'll be able to do see I could do here model dot parameters.
[00:48:41.000 --> 00:48:48.000]   So how did I create this just it's not inheriting from something right this is all written in pure Python.
[00:48:48.000 --> 00:49:05.000]   How did I make it so that as soon as I said here's an attribute in my in my in it that somehow it magically appeared in this underscore modules list so that I could then create this parameters so that I could then do this refactoring.
[00:49:05.000 --> 00:49:17.000]   And the trick is that Python has a special dunder set atra method and every time you assign to anything inside self inside Python.
[00:49:17.000 --> 00:49:20.000]   It will call this method if you've.
[00:49:20.000 --> 00:49:34.000]   Got one and so this method just checks that my the key so in other words the attribute name doesn't start with underscore 'cause if it does it might be underscore modules and then it's going to be like a recursive loop and also Python's got all kinds of.
[00:49:34.000 --> 00:49:39.000]   Internal stuff that starts with underscore so as long as it's not some internal private stuff.
[00:49:39.000 --> 00:49:44.000]   Put that value inside my modules dictionary and call it K.
[00:49:44.000 --> 00:49:47.000]   That's it right then after you've done that.
[00:49:47.000 --> 00:50:03.000]   Do whatever the super class does when it sets attributes and in this case the super class is object if you don't say what it is that it's just the Python highest level object so now we have something that has all of the stuff we need to do this refactoring.
[00:50:03.000 --> 00:50:11.000]   But the good news is pie torch also has something that does that and it's called an end up module.
[00:50:11.000 --> 00:50:30.000]   So we can do the exact same thing rather than implementing that set attributes stuff ourselves we can just call just inherit from an end up module and it does it for us right and so this is now you know why you have to call super dunder in it first right because it has to set up.
[00:50:30.000 --> 00:50:35.000]   It's equivalent of this underscore modules dictionary right so.
[00:50:35.000 --> 00:50:41.000]   That's why you have to call super in it first and then after you've done that in pie torch.
[00:50:41.000 --> 00:50:53.000]   It's exactly the same as what I just showed you it now creates something which you can access through named children and you can see here if I print out the name and the layer there is the name and the layer.
[00:50:53.000 --> 00:51:17.000]   So this is how pie torch does the exact same thing just like I created a dunder repra pie torch also has a dunder repra so if you just print out model it prints it out like so you can grab the attributes just in the normal pythonic way it's just a normal python class it has a bit of bit of this extra behavior.
[00:51:17.000 --> 00:51:25.000]   So now we can run it with this refactoring.
[00:51:25.000 --> 00:51:27.000]   Make sure everything works.
[00:51:27.000 --> 00:51:33.000]   And there we go okay so this is doing exactly the same thing as before but a little bit more conveniently.
[00:51:33.000 --> 00:51:46.000]   Not convenient enough for my liking so one thing we could try to do is to get rid of the need to write every layer separately maybe go back to having it as a list again.
[00:51:46.000 --> 00:51:51.000]   So if we made it a list of layers.
[00:51:51.000 --> 00:51:56.000]   And then we want to be able to pass that to some model class.
[00:51:56.000 --> 00:51:58.000]   Pass in the layers.
[00:51:58.000 --> 00:52:00.000]   This is not enough.
[00:52:00.000 --> 00:52:08.000]   To make them available as parameters right because the only thing that actually that pie torch is going to make available as parameters are things that.
[00:52:08.000 --> 00:52:16.000]   That it knows are proper and end up modules so but here's the cool thing you can just go through.
[00:52:16.000 --> 00:52:35.000]   All of those layers and call self dot add module that's just the equivalent of what I did here when I said self dot underscore modules blah blah right so in pie torch you can just call self dot add module and just like I did you give it a name and then you pass in the layer and so if you do that.
[00:52:36.000 --> 00:52:41.000]   If you do that then you end up with.
[00:52:41.000 --> 00:52:55.000]   The same thing okay so that's one that's one thing you could do but this is kind of clunky so it'd be nice if pie torch would do it for you and it does that's what end up module list does so if you.
[00:52:55.000 --> 00:53:00.000]   If you create if you use an end up module list then it just.
[00:53:00.000 --> 00:53:04.000]   Basically calls that line of code for you.
[00:53:04.000 --> 00:53:18.000]   So you can see us doing it here we're going to create something called sequential model which just set self dot layers to that module list and then when we call it just goes through each layer X equals that layer of X and returns it.
[00:53:18.000 --> 00:53:25.000]   And there's that okay even this is a little bit on the clunky side why would we have to write it ourselves.
[00:53:25.000 --> 00:53:30.000]   We don't pie torch has that code already it's called an end up sequential.
[00:53:30.000 --> 00:53:36.000]   Okay so we've now recreated an end up sequential.
[00:53:36.000 --> 00:53:39.000]   And there it is doing the same thing.
[00:53:39.000 --> 00:53:50.000]   So again we're not creating like dumped down versions if you look at an end up sequential and you look at the source code and you look at forward it's just.
[00:53:50.000 --> 00:53:59.000]   It's even the same name self go through each module and self underscore modules dot values input equals module input return input.
[00:53:59.000 --> 00:54:03.000]   So that's their version and remember our version.
[00:54:03.000 --> 00:54:07.000]   You know was.
[00:54:07.000 --> 00:54:10.000]   Basically the same.
[00:54:10.000 --> 00:54:19.000]   And we could even put it in something called underscore modules so yeah that's what that's all an end up sequential is doing for you.
[00:54:19.000 --> 00:54:28.000]   Okay so we're making some progress it's less ugly than it used to be still more ugly than we would like.
[00:54:28.000 --> 00:54:33.000]   This is.
[00:54:33.000 --> 00:54:37.000]   This is where we got our fifth function up to.
[00:54:37.000 --> 00:54:41.000]   So let's try and simplify it a bit more.
[00:54:41.000 --> 00:54:50.000]   Let's replace all this torch dot no grad for PN model parameters blah blah blah with something where we can just write those two lines of code that would be nice.
[00:54:50.000 --> 00:54:54.000]   So let's create a class called optimizer.
[00:54:54.000 --> 00:54:57.000]   We're going to pass in some parameters.
[00:54:57.000 --> 00:55:00.000]   And store them away.
[00:55:00.000 --> 00:55:06.000]   And we're going to pass in the learning rate and we're going to store that away.
[00:55:06.000 --> 00:55:11.000]   And so if we're going to be able to go up dot step up dot step has to do.
[00:55:11.000 --> 00:55:25.000]   This so here is step with torch not no grad go through each parameter and do that okay so it's just back to that out and zero grad we probably shouldn't actually go model zero grad because.
[00:55:25.000 --> 00:55:40.000]   It's actually possible for the user as you know to say I don't want to include certain parameters in my optimizer so when we're doing like gradual unfreezing and stuff so really zero grad should actually do this it should go through the list of parameters that you asked to.
[00:55:40.000 --> 00:55:48.000]   Optimize and zero those gradients so here we've now created something called optimizer and we can now.
[00:55:48.000 --> 00:56:03.000]   Grab our model and so we remember that the model now we've created something called dot parameters so we can pass that to our optimizer and then we can now just go up dot step up dot zero grad and let's test it and it works.
[00:56:03.000 --> 00:56:14.000]   OK now of course luckily for us pipe torture already has these lines of code it's called opt in dot SGD.
[00:56:14.000 --> 00:56:28.000]   Now opt in dot SGD does do a few more things weight decay momentum stuff like that so let's have a look here's opt in dot SGD and here's a step function.
[00:56:28.000 --> 00:56:37.000]   It's got weight decay momentum dampening this drop we're going to see all these things very shortly but basically all it does is it goes through each layer group.
[00:56:37.000 --> 00:56:39.000]   And it.
[00:56:39.000 --> 00:56:50.000]   Does the exact thing that we just see so once you remove the momentum and stuff and we're going to be implementing this in a much better way than pytorch in very soon so once you remove all that.
[00:56:50.000 --> 00:56:58.000]   Their opt in dot SGD is exactly the same as our optimizer.
[00:56:58.000 --> 00:57:02.000]   So let's go ahead and use that instead.
[00:57:02.000 --> 00:57:14.000]   And so it's kind of nice then if we're going to use all the parameters of the model it's just create a get model which creates a model and returns it as well as a SGD optimizer with all the parameters.
[00:57:14.000 --> 00:57:19.000]   And okay there's a training loop.
[00:57:19.000 --> 00:57:23.000]   And seems to be working.
[00:57:23.000 --> 00:57:33.000]   It's nice to put tests in from time to time and I like to put these tests in like hey my accuracy should be significantly better than 50%.
[00:57:33.000 --> 00:57:43.000]   You know note that these kind of stochastic tests are highly imperfect in many ways it's theoretically possible it could fail because you got really unlucky.
[00:57:43.000 --> 00:57:52.000]   I know though that this is really vanishingly unlikely to happen it's always much more than 90%.
[00:57:52.000 --> 00:57:59.000]   It's also possible that your code could be failing in a way that causes the accuracy to be.
[00:57:59.000 --> 00:58:02.000]   A bit lower than it should be but not this low.
[00:58:02.000 --> 00:58:20.000]   I still think it's a great idea to have these kinds of tests when you're doing machine learning because they give you a hint when something's going wrong and you'll notice I don't set a random seed at any point this is very intentional.
[00:58:20.000 --> 00:58:28.000]   I really like it that that if there's variation going on when I run my model at different times I want to see it.
[00:58:28.000 --> 00:58:41.000]   I don't want it to be hidden away behind a fixed seat so there's a there's a big push in science for like reproducible science which is which is great for many reasons but it's not how you should develop your models and you're developing your models.
[00:58:41.000 --> 00:58:51.000]   You want to have a kind of good intuitive sense of what bits are stable and what bits are unstable and how much variation do you expect and so if you have a test which.
[00:58:51.000 --> 00:59:03.000]   You know fails one every out of one every 100 times it's it's good to know that you know and so like in the first day I code there's lots of tests like that and so then sometimes.
[00:59:03.000 --> 00:59:11.000]   You know there'll be a test that fails it's nothing particularly to do with the push that just happened but it's it's really helpful for us because then we can look at it and be like oh.
[00:59:11.000 --> 00:59:32.000]   This thing we thought should pretty much always be true sometimes isn't true and then we'll go back and we'll deeply study why that is and figure out how to make it more stable and how to make it reliably pass that test so this is a kind of a controversial kind of test to have that something that I found in practice is very very very helpful.
[00:59:32.000 --> 00:59:40.000]   It's not complete and it's not totally automated and it's imperfect in many ways but it's nonetheless helpful.
[00:59:40.000 --> 00:59:49.000]   OK let's get rid of these 2 lines of code these were the lines of code that grabbed X mini batch from the training set and the Y mini batch from the training set.
[00:59:49.000 --> 00:59:52.000]   Let's do them both in one line of code.
[00:59:52.000 --> 01:00:00.000]   So it'd be nice to have one line of code we have some kind of object where we can pass in the indexes we want and get back both X and Y.
[01:00:00.000 --> 01:00:13.000]   And that's quite a data set as you know so here's our data set class again not inheriting from anything it's all from scratch play Python we initialize it by passing in the X and the Y will store them away.
[01:00:13.000 --> 01:00:29.000]   It's very handy to have a length hopefully you know by now if you don't then now's a good time to realize that dunder Len is the thing that lets you go Len of something in Python and have it work that's what Len will call so now we've got the length of our data set.
[01:00:29.000 --> 01:00:40.000]   And dunder get item is a thing that when you index into it it will return that and so we just return the tuple of X I and Y I.
[01:00:40.000 --> 01:00:50.000]   So. Let's go ahead and create a data set for our training set and a validation set check that the lengths are right.
[01:00:50.000 --> 01:01:10.000]   Check the first.
[01:01:10.000 --> 01:01:14.000]   So the next thing we're going to do so that's a data set.
[01:01:14.000 --> 01:01:17.000]   Next thing we're going to do is create a data loader.
[01:01:17.000 --> 01:01:25.000]   This is what the start of our training loop look like before and let's replace it with this single line of code.
[01:01:25.000 --> 01:01:42.000]   So to do that we're going to have a class we're going to have to have a class that takes a data set and a batch size and stores them away and when you go for blah in blah behind the scenes in python it calls dunder itter.
[01:01:42.000 --> 01:01:58.000]   And so what we're going to do is we're going to loop through range from zero up to the size of the data set jumping up batch size at a time so 064128 etc up to 50,000 and each time we go through we will.
[01:01:58.000 --> 01:02:07.000]   Yield our data set at an index starting at I and ending up ending at I plus self dot batch size.
[01:02:07.000 --> 01:02:16.000]   Probably quite a lot of you haven't seen yield before it's an incredibly useful concept it's.
[01:02:16.000 --> 01:02:27.000]   If you're really interested it's something called a co routine it's basically this really interesting idea that you can have a function that doesn't return just one thing once back can return lots of things and you can kind of ask for it.
[01:02:27.000 --> 01:02:44.000]   Lots of times so the way these iterators work in python is that when you when you call this it basically returns something which you can then call next on lots of times and each time you call next it will return the next thing.
[01:02:44.000 --> 01:02:52.000]   That is yielded so it's not I don't have time to explain car routines in detail here but.
[01:02:52.000 --> 01:02:57.000]   It's really worth looking up and learning about we'll be using them lots.
[01:02:57.000 --> 01:03:13.000]   They're super valuable thing and it's not just for data science they're really handy for things like network programming web apps stuff like that as well so well worth being familiar with yield in python and nowadays most programming languages have something like this so you'll be able to.
[01:03:13.000 --> 01:03:17.000]   Take it to wherever you go.
[01:03:17.000 --> 01:03:24.000]   So now we have a data loader we can create a training one and a validation one and we can this is how we do it.
[01:03:24.000 --> 01:03:42.000]   It's a valid deal is the thing that basically kind of generates our co routine for us and then next is the thing that grabs the next thing yielded out of that car routine so this is a very common thing you'll be doing lots next in a blah you probably did it a whole lot of times.
[01:03:42.000 --> 01:03:51.000]   In part one because we kind of did it without diving in very deeply into what's going on and that returns.
[01:03:51.000 --> 01:04:02.000]   One thing from our data set in the data set returns two things because that's what we put in it so we expect to get two things back and we can check that those two things are the right size.
[01:04:02.000 --> 01:04:07.000]   So that's our data loader and so let's double check.
[01:04:07.000 --> 01:04:11.000]   There it is good stuff so now.
[01:04:11.000 --> 01:04:16.000]   There's our fitness function let's call the fitness function looking good.
[01:04:16.000 --> 01:04:23.000]   So this is about as neat as we're going to get that's that's quite beautiful right.
[01:04:23.000 --> 01:04:25.000]   It's kind of.
[01:04:25.000 --> 01:04:30.000]   All the steps you can think of if you said it in English there go through each epoch.
[01:04:30.000 --> 01:04:34.000]   Go through each batch grabbing the independent independent variable.
[01:04:34.000 --> 01:04:37.000]   Calculate the predictions.
[01:04:37.000 --> 01:04:39.000]   Calculate the losses.
[01:04:39.000 --> 01:04:42.000]   Calculate the gradients.
[01:04:42.000 --> 01:04:45.000]   Update with the learning rate.
[01:04:45.000 --> 01:04:48.000]   Reset the gradients.
[01:04:48.000 --> 01:04:53.000]   So that's you know that's kind of where you want to get is to a point where you can read your code.
[01:04:53.000 --> 01:05:02.000]   In a very kind of intuitive way to a domain expert and until you get to that point it's very hard really I find to really maintain the code and understand the code.
[01:05:02.000 --> 01:05:17.000]   And this is the trick for doing research as well as it's not just for you know hardcore software engineering a researcher that can't do those things to their code can't do research properly right because if you think of something you want to try.
[01:05:17.000 --> 01:05:25.000]   You know you don't know how to do it or it takes weeks or if there are bugs in it you don't know so you know you want your code to be quite beautiful.
[01:05:25.000 --> 01:05:30.000]   I think this is beautiful code.
[01:05:30.000 --> 01:05:34.000]   And this is at this point you know.
[01:05:34.000 --> 01:05:40.000]   This data set and this data loader are the same extractions that PyTorch.
[01:05:40.000 --> 01:05:49.000]   Uses so let's dig into this a little bit more we do have a problem which is that we're always looping through our training set in order.
[01:05:49.000 --> 01:05:59.000]   And that's very problematic because we lose the randomness of kind of shuffling it each time particularly if our training set was already like ordered by dependent variable.
[01:05:59.000 --> 01:06:06.000]   Then every batch is going to be exactly the same dependent variable so we really want to shuffle it.
[01:06:06.000 --> 01:06:17.000]   So let's try random sampling so for random sampling I'm going to create a sampler class and we're going to pass into it a data set to sample.
[01:06:17.000 --> 01:06:28.000]   And a batch size and something that says whether to shuffle or not right and as per usual we just store those away I don't actually store away the data set I just store away the length of the data set so that we know.
[01:06:28.000 --> 01:06:32.000]   How much to how many items to sample.
[01:06:32.000 --> 01:06:40.000]   And then here's that here's that under it right so remember this is the thing that we can call next on lots of times.
[01:06:40.000 --> 01:06:43.000]   And so if we are.
[01:06:43.000 --> 01:06:47.000]   Shuffling.
[01:06:47.000 --> 01:06:53.000]   Then let's grab a random permutation of the numbers from naught to n minus one.
[01:06:53.000 --> 01:07:00.000]   And if we're not shuffling then let's grab all of the integers in order from zero to n minus one.
[01:07:00.000 --> 01:07:09.000]   And then this is the same we had before go through that range and yield the indexes so what does that look like.
[01:07:09.000 --> 01:07:21.000]   Here's a sampler with shuffle equals false and a batch size of three oh one two three four five six seven eight nine and here it is.
[01:07:21.000 --> 01:07:27.000]   With shuffle equals true five four three seven six two eight nine oh one.
[01:07:27.000 --> 01:07:35.000]   So now that we've got these we can now replace our data loader with something where we pass it a sampler.
[01:07:35.000 --> 01:07:50.000]   And we then loop through for s in samplers that's going to loop through each of these right and the cool thing is that because we used yield these are only going to be calculated when we ask for them they're not all calculated up front so we can use these on really big data sets no problem.
[01:07:50.000 --> 01:07:57.000]   And so it's kind of this is a common thing is where you're actually looping through something.
[01:07:57.000 --> 01:08:15.000]   Which is itself a core routine and then yielding something which does other things to that so this is like a really nice way of doing streaming computations it's being done lazily and not going to run out of memory it's a it's really neat way to do things and so then we're going to grab.
[01:08:15.000 --> 01:08:24.000]   All of the indexes in that sample and we're going to grab the data set at that index so now we've got a list of tenses.
[01:08:24.000 --> 01:08:41.000]   And then we need some way to collect them all together into a single pair of tenses and so we've created a function called collate which just grabs the X's and the Y's and stacks them up so torch stack just grabs a bunch of tenses and.
[01:08:41.000 --> 01:08:57.000]   Glues them together on a new access you might want to do different things like add some padding or you know stuff like that so you can pass in a different collate function if you want to and it'll store it away and use it right so now.
[01:08:57.000 --> 01:09:20.000]   We can create our 2 samplers we can create our 2 data loaders with those samplers so the training one is shuffling the valid ones not shuffling so let's check as the validation data loader and the training data loader if we call it twice with exactly the same index we get different things in this case we got 2/8 but they're different 8's.
[01:09:20.000 --> 01:09:26.000]   Call it another 2 times we're getting different numbers okay so it's it is shuffling as we hoped.
[01:09:26.000 --> 01:09:32.000]   And so again we can train our model and that's fine.
[01:09:32.000 --> 01:09:35.000]   So the pie torch data loader.
[01:09:35.000 --> 01:09:43.000]   Does exactly that so let's import the pie torch data loader and you can see it takes exactly the same arguments.
[01:09:43.000 --> 01:09:59.000]   Okay and we can even pass in the exact collate function that we just wrote it's it doesn't have a single sampler that you pass shuffle equals true or false true it has 2 set samplers 1 called random 1 called sequential so slightly different to the API we just wrote but does exactly the same thing.
[01:09:59.000 --> 01:10:01.000]   And so.
[01:10:01.000 --> 01:10:08.000]   You can create those data loaders and works exactly the same so that's what a pie torch data loader does.
[01:10:08.000 --> 01:10:19.000]   Most of the time you don't need the flexibility of writing your own sampler and your own collation function so you can just pass in shuffle and it will use the default.
[01:10:19.000 --> 01:10:25.000]   Sampler and collation function that work the way we just showed.
[01:10:25.000 --> 01:10:47.000]   Something that we did not implement in pie torches data loader is that in purchase data loader you can pass in an extra parameter called num workers and that will fire off that many processes and each one will separately grab stuff out of your data set and then it'll collect them together afterwards and so if your data sets doing things like.
[01:10:47.000 --> 01:10:54.000]   You know opening big jpeg files and doing all kinds of image transformations that's a really good idea.
[01:10:54.000 --> 01:10:57.000]   So we want to implement that.
[01:10:57.000 --> 01:11:00.000]   So finally for this section.
[01:11:00.000 --> 01:11:03.000]   We should add validation.
[01:11:03.000 --> 01:11:13.000]   So to know if we're overfitting we need to have a separate validation set.
[01:11:13.000 --> 01:11:17.000]   So here's the same loop that we had before.
[01:11:17.000 --> 01:11:25.000]   And here's and here's the same loop pretty much again but with torch dot no grad going through the validation set.
[01:11:25.000 --> 01:11:39.000]   So for this we grabbed the predictions and the losses before but we don't call backward and we don't step the optimizer because it's just a validation instead we just keep track of the loss and we also keep track of the accuracy.
[01:11:39.000 --> 01:11:47.000]   The only other difference is that we've added here model dot train and here model dot novelle.
[01:11:47.000 --> 01:11:55.000]   What does that do well actually all it does is it sets a internal attribute called dot training to true or false.
[01:11:55.000 --> 01:12:00.000]   So let's try it if I put print model dot training after each one.
[01:12:00.000 --> 01:12:04.000]   And train this.
[01:12:04.000 --> 01:12:22.000]   See true false true false true false okay and so why does it set this thing called model dot training to true or false because some kinds of layers need to have different behavior depending on whether it's training or evaluation or validation.
[01:12:22.000 --> 01:12:47.000]   For example batch norm only updates its running statistics if it's training dropout only does randomized dropout if it's training they're the two main ones so that's why you always want to train and avail and if you forget to put something into a valve mode when you're done training you'll often be surprised because you'll be getting worse results than you expected.
[01:12:47.000 --> 01:12:52.000]   Okay, so that's that's our fit loop one thing to note.
[01:12:52.000 --> 01:13:01.000]   Are these validation results correct if the batch size varies spell that correctly if.
[01:13:01.000 --> 01:13:05.000]   If the batch size varies because what we're doing here is we're adding up.
[01:13:05.000 --> 01:13:14.000]   The loss and we're adding up the accuracy and then at the end we see how big is our data loader how many batches are there and we divide.
