
[00:00:00.040 --> 00:00:09.520]   Exodus
[00:34:45.120 --> 00:34:46.320]   mess music. I'm . PM: Q--C, for, was, closes,umes, working, rather, double, Vor,,,,,,,,,,,,,,,,,,,,, at. not Peace. relacion明ć.oby handsome Undert進 record div 的 stomach перев part of something Bren gest outline galeraежfind Learning spread SEINDGANà지� discuss the B tail i bald ley disc can be nonุbillassis aut address the Cat의 vigil ci என stuffed Зĩ�icias gan nearby Linウר settling這 ley que extension guard to remain cents everytime 교атth gate is show damn process чłe bounde trous hearing 100 codeign変 be like the錢 Все 팔 itt trails causeshar is a less en
[00:34:46.340 --> 00:34:52.360]   assume that you have a credit card and you use that credit card to buy
[00:34:52.360 --> 00:35:00.360]   cans of Campbell's tomato soup which you then use to stock your pantry
[00:35:00.360 --> 00:35:08.740]   you've taken a form of financing and you've turned it into food now if you go
[00:35:08.740 --> 00:35:13.700]   through bankruptcy on the other side of bankruptcy you'll probably still have
[00:35:13.700 --> 00:35:15.200]   cans of tomato soup in your pantry
[00:35:15.200 --> 00:35:15.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:15.200 --> 00:35:15.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:15.200 --> 00:35:15.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:15.200 --> 00:35:15.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:15.200 --> 00:35:15.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:15.200 --> 00:35:15.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:15.200 --> 00:35:15.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:15.200 --> 00:35:15.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:15.200 --> 00:35:15.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:15.200 --> 00:35:15.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:16.000 --> 00:35:44.120]   you'll probably still have cans of tomato soup in your pantry
[00:35:44.120 --> 00:35:44.120]   you'll probably still have cans of tomato soup in your pantry
[00:35:44.120 --> 00:35:44.160]   you'll probably still have cans of tomato soup in your pantry
[00:35:44.160 --> 00:35:44.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:44.200 --> 00:35:44.200]   you'll probably still have cans of tomato soup in your pantry
[00:35:44.200 --> 00:35:44.240]   you'll probably still have cans of tomato soup in your pantry
[00:35:44.240 --> 00:35:44.280]   you'll probably still have cans of tomato soup in your pantry
[00:35:44.280 --> 00:35:44.280]   you'll probably still have cans of tomato soup in your pantry
[00:35:44.280 --> 00:35:44.280]   you'll probably still have cans of tomato soup in your pantry
[00:35:44.280 --> 00:35:44.320]   you'll probably still have cans of tomato soup in your pantry
[00:35:44.320 --> 00:35:44.320]   you'll probably cans of tomato soup in your pantry
[00:35:44.320 --> 00:35:44.360]   will probably cans of potato soup in your pantry
[00:35:44.380 --> 00:36:13.440]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.440 --> 00:36:13.480]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.480 --> 00:36:13.520]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.520 --> 00:36:13.560]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.560 --> 00:36:13.620]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.620 --> 00:36:13.680]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.680 --> 00:36:13.720]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.720 --> 00:36:13.780]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.780 --> 00:36:13.800]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.800 --> 00:36:13.820]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.820 --> 00:36:13.860]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.860 --> 00:36:13.880]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.880 --> 00:36:13.940]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.940 --> 00:36:13.980]   you'll probably still have cans of tomato soup in your pantry
[00:36:13.980 --> 00:36:14.000]   you'll probably still have cans of tomato soup in your pantry
[00:36:14.040 --> 00:36:21.140]  這

