
[00:00:00.080 --> 00:00:06.640]   Hi, I'm Jeremy Howard from Answer.ai, and I'm joined here by Sarah. Sarah is Answer.ai's
[00:28:47.120 --> 00:28:53.360]   comparison to maybe what Tanish did, like he graduated high school when he was 10, which is like an insane
[00:28:53.360 --> 00:29:00.640]   thing to do. And I mean, really, the only option for him afterwards was like college. I feel like, generally,
[00:29:00.640 --> 00:29:09.200]   like my trajectory and kind of like my main hustle kind of route was very, more or less typical. And
[00:29:09.200 --> 00:29:15.840]   so not having not being like, I didn't really kind of face not being taken seriously or things like
[00:29:15.840 --> 00:29:22.240]   that, just because it kind of was more of a side hustle thing for me. And, but to be fair, like if
[00:29:22.240 --> 00:29:29.600]   it were to be a main hustle, I guess I could see, definitely see how that might kind of suck. I
[00:29:29.600 --> 00:29:35.520]   think there are definitely people out there that are like programs out there, especially like the MIT
[00:29:35.520 --> 00:29:42.080]   Primes program that tries to kind of help out these like younger students kind of unlock that, I guess,
[00:29:42.080 --> 00:29:47.760]   potential. Yeah, so-called like Vlad put in his time to invest in your success.
[00:29:47.760 --> 00:29:53.280]   Yeah, he was telling me, he thought like, at the beginning, when the directors of the program reached
[00:29:53.280 --> 00:29:57.040]   out to him and asked if you would help, he was like, this is going to be like a ginormous waste of
[00:29:57.040 --> 00:30:05.040]   time. But me and the student that he mentored before me, both published papers. And so that was like,
[00:30:05.040 --> 00:30:11.760]   kind of eye opening, I think, like, I've heard around MIT, and just, in general, like, you do need to
[00:30:11.760 --> 00:30:16.880]   have like, or like, the word on the street is that you need to have a PhD, you need to have some sort
[00:30:16.880 --> 00:30:21.520]   of like higher level education in order to do these more like researchy and more like, I don't know,
[00:30:21.520 --> 00:30:26.880]   like interesting jobs. But I think that that's sort of, it's a little odd to me, because...
[00:30:26.880 --> 00:30:32.880]   Well, I mean, like, I think you're getting a bit of a like, you're seeing how it is now,
[00:30:32.880 --> 00:30:39.280]   right? And what you're saying is true now. Maybe at some points, it was a little less true. But like,
[00:30:39.280 --> 00:30:46.080]   right now, there are a few people in the world who have more experience with modern AI
[00:30:46.080 --> 00:30:53.440]   than you, with your whatever, five or six years, like, it's, it's on the higher end,
[00:30:53.440 --> 00:31:00.720]   you know, and for somebody who spent 20 years learning, I don't know, Lisp and Prologue and
[00:31:00.720 --> 00:31:07.920]   Bayesian statistics and whatever, they're probably going to take five or six years to unlearn that enough
[00:31:07.920 --> 00:31:14.080]   to be able to start where you were when you were 13. So, like, for me, this is like a bit of a super
[00:31:14.080 --> 00:31:21.200]   power we have at Answer AI, is we basically totally ignore academic credentials and entirely focus on,
[00:31:21.200 --> 00:31:29.120]   like, portfolio, you know. And yeah, a lot of the folks that we end up wanting to work with are
[00:31:30.400 --> 00:31:38.240]   younger, you know, and often they never went to a fancy educational institution like MIT,
[00:31:38.240 --> 00:31:42.560]   because they were off forging their own thing. So I think, yeah, I think it is like,
[00:31:42.560 --> 00:31:48.560]   I think your experience should become the new norm, it'll probably take decades to get there,
[00:31:49.120 --> 00:31:53.760]   you know. Yeah, make the side hustle the main hustle. Yeah.
[00:31:53.760 --> 00:32:04.560]   Yeah, I mean, I guess another thing about, you know, being a woman in tech in general,
[00:32:04.560 --> 00:32:10.800]   it helps to have people who, you know, can help mentor you and so forth. So it's nice, like, we've got
[00:32:11.520 --> 00:32:18.960]   Audrey at Answer AI who was the founding president of Pi Ladies and probably knows more about how to deal
[00:32:18.960 --> 00:32:23.520]   with all that stuff than probably anybody in the world. So, yeah.
[00:32:23.520 --> 00:32:29.520]   Yeah, and I think, like, tying back to the MIT thing, I think another part of the reason why
[00:32:29.520 --> 00:32:33.760]   I wanted to come to MIT was there are just so many people interested in tech
[00:32:34.640 --> 00:32:41.760]   that are women. And it's definitely hard to find anywhere else. We have to keep it 50/50 for, I guess,
[00:32:41.760 --> 00:32:48.560]   whatever's sake. So it's a good high concentration of, I think, like, women that are interested.
[00:32:48.560 --> 00:32:53.360]   No, I mean, it matters. Of course it matters. Absolutely. And it's important to end up somewhere
[00:32:53.360 --> 00:33:00.080]   where you're going to do your best work surrounded by people you can do your best work with. Yeah.
[00:33:00.080 --> 00:33:14.320]   So coming back then to your research, what's it been like for you seeing, you know, O1 come out,
[00:33:14.320 --> 00:33:20.080]   this, you know, this renewed interest in kind of reasoning traces and reasoning combined with
[00:33:20.080 --> 00:33:28.480]   reinforcement learning? Yeah. Well, you know, how are you feeling about this research field that you got
[00:33:28.480 --> 00:33:34.800]   into a year or two ago? And are you planning to keep pushing on that yourself? Or is it like,
[00:33:34.800 --> 00:33:40.320]   oh, it's too mainstream now, time to do something else? No, I think this is definitely very exciting
[00:33:40.320 --> 00:33:44.640]   for me. I think, like, hey, like, I chose the right path that people at OpenAI are doing it.
[00:33:44.640 --> 00:33:50.480]   But I think, like, in general, there are, along with OpenAI that I actually don't know what's going on
[00:33:50.480 --> 00:33:55.280]   with the hood apart from, like, Twitter rumors. But there have been kind of, like, a bunch of papers,
[00:33:55.280 --> 00:34:01.280]   two, I believe there's one called, like, QuietStar, a few more along similar lines that kind of deal
[00:34:01.280 --> 00:34:07.120]   with the same problem. And I think this is, like, one of the one of the bigger questions with large
[00:34:07.120 --> 00:34:13.520]   language models is that can we, like, because large language models, they, they kind of infer things,
[00:34:13.520 --> 00:34:22.080]   like, they have this sort of representation of language and therefore sort of, like, logic and
[00:34:22.080 --> 00:34:28.080]   knowledge. And somehow we need to, somehow they kind of put those things together in a way that is
[00:34:28.080 --> 00:34:34.640]   coherent. But how do we actually, like, extract the things that we want, right? So I think that's gonna
[00:34:35.280 --> 00:34:43.120]   stay a big question, whether it's reasoning, whether it's truth, whether it's kind of, like, knowing,
[00:34:43.120 --> 00:34:48.720]   like, what things go with what things, like, I don't know if that was clear. But yeah, I can, like,
[00:34:48.720 --> 00:34:51.760]   rerun that, too, if you want to. No, no, it's all good. Absolutely. Okay.
[00:34:53.200 --> 00:35:00.560]   Yeah, I mean, I mean, the reason I asked is I, I sometimes wonder that with myself, I'm like, I
[00:35:00.560 --> 00:35:08.640]   kind of like to poke at the areas that no one else is doing, you know, so like, if somebody is, sometimes
[00:35:08.640 --> 00:35:14.880]   if something, if something becomes super popular, like, okay, I'm bad, like, even with, like, ULM fit,
[00:35:14.880 --> 00:35:20.240]   you know, that was the first kind of real large language model, you know, language model kind of
[00:35:20.240 --> 00:35:27.040]   application of that kind. And then suddenly everybody was doing it. And I kind of felt like,
[00:35:27.040 --> 00:35:30.880]   okay, maybe I don't need to be doing this now, because lots of people are doing it, like, there's
[00:35:30.880 --> 00:35:37.200]   something else I could, you know, uncover. It's, I guess that's a tricky thing with research is, like,
[00:35:37.200 --> 00:35:42.880]   do you want to keep uncovering in the same direction? Or do you want to explore new directions?
[00:35:42.880 --> 00:35:46.640]   Are there other kind of directions of research you've been thinking, like, oh, maybe when you're done with
[00:35:46.640 --> 00:35:52.880]   this, you'd like to go in this other way? Well, I mean, just being an answer, I feel like
[00:35:52.880 --> 00:35:59.280]   I've been exposed to sort of a lot of the different types of like research. I did like a few tangential
[00:35:59.280 --> 00:36:04.080]   tasks, just kind of like exploring the different projects that was that were going on. And one of
[00:36:04.080 --> 00:36:10.480]   the things that I haven't touched in a long time was kind of creating like an application, like a research
[00:36:10.480 --> 00:36:20.720]   buddy sort of type of thing. Um, and it's not as researchy as like my previous projects. Um,
[00:36:20.720 --> 00:36:27.440]   but I think like being able to kind of create something with like an end user in mind is something
[00:36:27.440 --> 00:36:32.880]   else that I want to, um, definitely pursue during my time. That's kind of our thing, isn't it? You know,
[00:36:32.880 --> 00:36:40.240]   our thing at Answer.ai is all about research and development with an end user task and a specific
[00:36:40.240 --> 00:36:48.080]   end user in mind. Exactly. And so kind of being able to still kind of experiment with different
[00:36:48.080 --> 00:36:52.960]   ideas, having that sort of researchy aspect, but also, I don't know, working towards a very tangible
[00:36:52.960 --> 00:37:01.760]   purpose, um, would be very cool. So, so before we wrap up, I guess like, um, anybody who's watched to this
[00:37:01.760 --> 00:37:09.040]   point at the interview, I'm thinking, you know, uh, are we thinking, well, I want to be more like Sarah,
[00:37:09.040 --> 00:37:16.400]   you know, I think you're a really inspiring role model for people. Um, and a lot of people, uh, where you
[00:37:16.400 --> 00:37:21.600]   were four or five years ago, you know, they're, they're just starting out probably feeling pretty
[00:37:21.600 --> 00:37:30.880]   intimidated, um, pretty overwhelmed and thinking like, well, I can't do this. I need a PhD or,
[00:37:30.880 --> 00:37:38.240]   you know, whatever academic who's a family member or something like, I guess like, what, what would your
[00:37:38.240 --> 00:37:44.720]   advice be to 14 year old Sarah? You know, if she was feeling, there must have been times you were
[00:37:44.720 --> 00:37:49.200]   feeling like, ugh, I can't do this, or I don't want to do this, or is this worth doing, or like,
[00:37:49.200 --> 00:37:53.920]   am I too weird, nobody else is doing this? Like, what, what kind of advice or feedback or thoughts
[00:37:53.920 --> 00:38:02.880]   would you pass along to that, to that Sarah? I would say kind of just to know what you're curious
[00:38:02.880 --> 00:38:10.640]   in and know what you're interested in and just go for it, kind of full send. Um, I'm glad you said that,
[00:38:10.640 --> 00:38:16.560]   so like, it's, it's about like, you, you, you actually have, you actually have to care and enjoy
[00:38:16.560 --> 00:38:20.240]   it. Like it's, if you treat it as a grind, you're probably not going to do it, right?
[00:38:20.240 --> 00:38:26.160]   Exactly. Like AI is probably not going to be everyone's cup of tea. Um, but I was fortunate
[00:38:26.160 --> 00:38:32.000]   enough to have discovered it quite early on. And I just knew that I was very interested in it. And
[00:38:32.000 --> 00:38:37.280]   obviously there were times where, like you said, like things got hard. I wanted to like drop everything.
[00:38:37.280 --> 00:38:41.120]   Yeah. So sometimes you've got to grind it out. You've got to, you've got to grind it out. But
[00:38:41.120 --> 00:38:46.960]   I think like, know the reason why you were interested in the first place. I think if you're interested in
[00:38:46.960 --> 00:38:51.840]   anything, um, there's got to be something very genuine, something very, I don't know, compelling
[00:38:51.840 --> 00:38:58.320]   about it. Um, so just remembering back to the first time, um, you were interested in it. Um, and kind of
[00:38:58.320 --> 00:39:04.800]   just knowing that like, there is an end, um, goal in mind that you'll probably reach if you keep at it.
[00:39:04.800 --> 00:39:12.560]   Well, I'm definitely gonna share this story with my nine-year-old daughter who loves coding and she
[00:39:12.560 --> 00:39:21.200]   loves math and she loves calculus. And, uh, I think she'll find this very inspiring. Uh, and I hope that
[00:39:21.200 --> 00:39:28.000]   other kids and adults do as well, but I know you're, uh, definitely an inspiration to me, Sarah. So
[00:39:28.000 --> 00:39:30.240]   thank you so much for this time and for being involved.
[00:39:30.240 --> 00:39:37.120]   Sarah. Thank you so much for having me again. Okay. Bye. Bye.

