
[00:00:00.000 --> 00:00:04.000]   When you're in winter's favorite town,
[00:25:30.000 --> 00:25:35.000]   If you're going somewhere else, then pick some place that's relatively easy because of tourist infrastructure, right?
[00:25:35.000 --> 00:25:37.000]   Go and spend a week in Costa Rica.
[00:25:37.000 --> 00:25:42.000]   Choose a place that is known for welcoming tourists fairly easily.
[00:25:42.000 --> 00:25:46.000]   And then while you're there, just start doing things that interest you.
[00:25:46.000 --> 00:25:50.000]   Along the way, you'll start to build those travel skills, right?
[00:25:50.000 --> 00:25:54.000]   Your flights are going to get canceled or they're massively delayed.
[00:25:54.000 --> 00:25:56.000]   And so you're sitting there saying, "Okay, what do I do?
[00:25:56.000 --> 00:25:58.000]   How do I fix this problem?"
[00:25:58.000 --> 00:26:00.000]   First time it happens to you, it's a little overwhelming.
[00:26:00.000 --> 00:26:03.000]   Fifth time it happens to you, you learn to move quickly.
[00:26:03.000 --> 00:26:09.000]   You know, we were scheduled to fly from Mexico to Costa Rica, and our flight got canceled on us.
[00:26:09.000 --> 00:26:14.000]   I had to sit there and just pivot, you know, and book a whole new itinerary.
[00:26:14.000 --> 00:26:21.000]   And so the answer is just start and go somewhere that you want to go.
[00:26:21.000 --> 00:26:27.000]   But the detailed answer on flag theory is don't start by saying, "I'm just going to move everything offshore,"
[00:26:27.000 --> 00:26:28.000]   because you're not, right?
[00:26:28.000 --> 00:26:30.000]   You're not going to do that.
[00:26:30.000 --> 00:26:34.000]   But think, "What could I do that would be a small baby step?"
[00:26:34.000 --> 00:26:37.000]   I could go and open an offshore bank account.
[00:26:37.000 --> 00:26:43.000]   I could look in my family tree and see if, you know, Grandma was from Ireland.
[00:26:43.000 --> 00:26:46.000]   And then just start working your way down the list.
[00:26:46.000 --> 00:26:51.000]   If you're looking for kind of the original thing, go and find a copy of the PT book by W.G. Hill.
[00:26:51.000 --> 00:26:55.000]   That's the original book that focused heavily on the flag theory.
[00:26:55.000 --> 00:26:59.000]   You can find some good guys online that write about it in more detail as well.
[00:26:59.000 --> 00:27:01.000]   But I would start with the book.
[00:27:01.000 --> 00:27:02.000]   It would be my suggestion.
[00:27:02.000 --> 00:27:04.000]   Good intro for you, Andy.
[00:27:04.000 --> 00:27:05.000]   Andy: Great.
[00:27:05.000 --> 00:27:06.000]   Yeah, thank you.
[00:27:06.000 --> 00:27:11.000]   Again, the only, like, maybe I started you off a little bit on the wrong foot with flag theory.
[00:27:11.000 --> 00:27:19.000]   It's just that, like, when you talk about your economic crisis course of maybe police in a bad time,
[00:27:19.000 --> 00:27:28.000]   don't you say just picking a country that seems nice and going there on vacation and doing various things is a reasonable way to experience that?
[00:27:28.000 --> 00:27:35.000]   And I get, like, I might or might not want to go here if I decide living in the U.S. is not sustainable.
[00:27:35.000 --> 00:27:38.000]   Yeah, I think without question that's what you should do.
[00:27:38.000 --> 00:27:42.000]   You know, I worked with a private consulting client recently.
[00:27:42.000 --> 00:27:45.000]   And we were talking about some of these things.
[00:27:45.000 --> 00:27:54.000]   And the client was quite wealthy and was -- but there was no chance that the client was going to, you know, move abroad.
[00:27:54.000 --> 00:27:57.000]   His wife didn't enjoy traveling, et cetera.
[00:27:57.000 --> 00:28:02.000]   And so I said, "Where is the place that your wife actually does enjoy going?"
[00:28:02.000 --> 00:28:04.000]   And he listed the particular place.
[00:28:04.000 --> 00:28:06.000]   It was a small Caribbean island.
[00:28:06.000 --> 00:28:10.000]   And I said, "Buy a small vacation condo there."
[00:28:10.000 --> 00:28:16.000]   And the idea is that, you know, my wife would get on an airplane and go to Mexico with me.
[00:28:16.000 --> 00:28:21.000]   But most people wouldn't if they haven't been to Mexico, if they don't know anything about it.
[00:28:21.000 --> 00:28:25.000]   And so where is, you know, where is your family actually likely to go?
[00:28:25.000 --> 00:28:29.000]   If you're actually concerned and you would actually leave in such a scenario, where would you actually go?
[00:28:29.000 --> 00:28:39.000]   Now, what I have become convinced of through the pandemic, one thing that's different, one of the things that I have changed my mind on when I did that course,
[00:28:39.000 --> 00:28:43.000]   after I recorded the original course, I released an update after six months.
[00:28:43.000 --> 00:28:54.000]   And I said, you know, one of the things I've changed my mind on is the fact that I said that you don't -- that residence -- things like residency permits and such are not as important as I first thought they were.
[00:28:54.000 --> 00:28:56.000]   I was like, "You can just do this as a tourist."
[00:28:56.000 --> 00:28:59.000]   Well, I've changed my mind on that for two reasons.
[00:28:59.000 --> 00:29:05.000]   Number one is we could see that in a pandemic, moving as a tourist -- movement as a tourist has been highly restricted.
[00:29:05.000 --> 00:29:10.000]   But those who had residency permits set up have had much more access.
[00:29:10.000 --> 00:29:20.000]   But more importantly, I have noticed and observed that most people aren't actually going to go somewhere if they don't have some kind of accommodation there.
[00:29:20.000 --> 00:29:25.000]   And so you have to be thoughtful in terms of what makes sense with the amount of money that you have.
[00:29:25.000 --> 00:29:40.000]   But I am convinced now that having a vacation condo on the beach that you know that everyone likes to go to is worth it if you're actually going to try to convince your family to leave in an uncertain circumstance.
[00:29:40.000 --> 00:29:46.000]   If you look at many disasters, right, we're talking about disaster planning, why do people get caught up in a disaster?
[00:29:46.000 --> 00:29:50.000]   Usually it's because they ignore the warning signs and they don't want to leave, right?
[00:29:50.000 --> 00:29:54.000]   The classic example would be sitting in hurricane country.
[00:29:54.000 --> 00:30:00.000]   And why do people get stuck in a bad hurricane and potentially run the risk of losing their life?
[00:30:00.000 --> 00:30:09.000]   Well, because they don't have an escape plan or an evacuation plan that doesn't cost them a lot of money and doesn't cost them a lot of mental energy.
[00:30:09.000 --> 00:30:10.000]   They're sitting at home.
[00:30:10.000 --> 00:30:15.000]   They're like, "I don't want to take the -- how am I going to find a hotel where my pets can go," et cetera.
[00:30:15.000 --> 00:30:17.000]   And they don't have the plan in place.
[00:30:17.000 --> 00:30:22.000]   So if in that scenario, right, I think it would be overkill to necessarily keep a vacation home.
[00:30:22.000 --> 00:30:35.000]   But just imagine the guy who lives in Miami who also has a vacation home in Jacksonville, even if it's a small, modest place, he has a much easier time saying to his wife, "Honey, we got to go.
[00:30:35.000 --> 00:30:36.000]   We got to get out of Miami."
[00:30:36.000 --> 00:30:45.000]   And they just go a few days early and it just becomes a few days out of town, you know, or a few days at their favorite resort in Orlando rather than a big thing.
[00:30:45.000 --> 00:30:56.000]   So I'm convinced the same thing applies, that if you are -- if you would leave your city, your state, your country, then you probably do want to designate more money to actually having a place ready to go.
[00:30:56.000 --> 00:31:00.000]   So that was a long answer, but I hope it's an interesting one.
[00:31:00.000 --> 00:31:09.000]   And my only comment would be, Andy, that I encourage internationalization, but I don't think that means you have to actually go somewhere and live somewhere full time.
[00:31:09.000 --> 00:31:17.000]   So hopefully you can figure out the level that you want to apply that stuff in your own planning.
[00:31:17.000 --> 00:31:19.000]   All right, we go to Andrew in Michigan.
[00:31:19.000 --> 00:31:20.000]   Andrew, welcome to the show.
[00:31:20.000 --> 00:31:22.000]   How can I serve you today, sir?
[00:31:22.000 --> 00:31:25.000]   Yeah, it's a pleasure to talk with you, Joshua.
[00:31:25.000 --> 00:31:28.000]   My question for you is I'm 38.
[00:31:28.000 --> 00:31:43.000]   I own a real estate investment company and am at a point in my life now where, you know, personal debt's paid off and own a substantial amount of assets that both produce cash flow because I'm in the multifamily investment space.
[00:31:43.000 --> 00:31:49.000]   And I'm starting to look at other investment strategies outside of the norm.
[00:31:49.000 --> 00:32:06.000]   And recently I was introduced to the concept of premium finance to create a life insurance policy for the purposes of whether it be retirement income or to create enough wealth for a family trust foundation, that type of thing.
[00:32:06.000 --> 00:32:13.000]   And it's being a real estate guy who understands leverage and borrowing and that type of thing.
[00:32:13.000 --> 00:32:15.000]   It has piqued my interest.
[00:32:15.000 --> 00:32:26.000]   I was just curious your personal fundamental philosophical thoughts on captive finance strategies, you know, utilizing insurance to create wealth.
[00:32:26.000 --> 00:32:27.000]   All right.
[00:32:27.000 --> 00:32:41.000]   The basic concept is that you're going to borrow money from a lending company and you're going to use those borrowed funds to purchase life insurance, building up inside cash values.
[00:32:41.000 --> 00:32:50.000]   And then how are you going to pay off the loan from your real estate cash flow?
[00:32:50.000 --> 00:33:06.000]   Well, so you actually pledge, you know, gap collateral or collateral to get a bank letter of credit, a standing letter of credit that you can then utilize, you know, at another bank to you to get the financing.
[00:33:06.000 --> 00:33:22.000]   The collateral is paid off or the bank loan is paid off within the first 15 years based off of the ever increasing cash value of the insurance policy itself.
[00:33:22.000 --> 00:33:32.000]   And then after 15 years, the loan's been retired and then the cash value, you know, this cash render value continues to grow after kind of that reset.
[00:33:32.000 --> 00:33:39.000]   And then if you're young enough, right after 30, 35 years, it produces a substantial amount of income.
[00:33:39.000 --> 00:33:42.000]   Which company did you quote the insurance policies with?
[00:33:42.000 --> 00:33:50.000]   So this is being quoted with an LPL guy called Affinity Insurance Partners.
[00:33:50.000 --> 00:33:54.000]   But the company that they use for this is North Star Funding Partners.
[00:33:54.000 --> 00:33:58.000]   They're kind of the premium finance funding entity.
[00:33:58.000 --> 00:34:04.000]   So North Star is going to, so who's issuing the policy?
[00:34:04.000 --> 00:34:06.000]   Is it North Star, a company that's issuing the policy?
[00:34:06.000 --> 00:34:09.000]   Or they're just simply providing the money?
[00:34:09.000 --> 00:34:14.000]   They're providing the funding and the processing of the actual account.
[00:34:14.000 --> 00:34:20.000]   And then with which company is the proposed insurance policy?
[00:34:20.000 --> 00:34:25.000]   I believe the policy is with Allianz.
[00:34:25.000 --> 00:34:33.000]   And what's the level of premiums that you're considering?
[00:34:33.000 --> 00:34:53.000]   Yeah, so in my current illustration I have set up pledging a million dollars of collateral and then have about a $50,000 annualized contribution for the next 10 years for a total of, you know, $500,000 of out-of-pocket costs.
[00:34:53.000 --> 00:35:04.000]   So this is one where I would need to see the actual numbers and review the terms of the loan and everything.
[00:35:04.000 --> 00:35:26.000]   And so here is, so in concept I have no fundamental conceptual problem with really any kind of asset strategy, even including a financing strategy, as long as it fits into someone's overall situation at an appropriate scale.
[00:35:26.000 --> 00:35:30.000]   And of course those are details that would be inappropriate to go into here.
[00:35:30.000 --> 00:35:33.000]   But I'm assuming the best from what you're saying.
[00:35:33.000 --> 00:35:43.000]   And so you just want to say, okay, does this make sense to me?
[00:35:43.000 --> 00:35:47.000]   Yes, and also downfalls or any pitfalls that you could see.
[00:35:47.000 --> 00:35:51.000]   You know, because downside risk management is incredibly important in my business.
[00:35:51.000 --> 00:35:58.000]   And I'm looking at this, just to give you ballpark numbers so you can get an idea of the level I'm talking.
[00:35:58.000 --> 00:36:05.000]   So the $50,000 contribution at one point, you know, the loans up to $9 million.
[00:36:05.000 --> 00:36:10.000]   So it's a substantial loan, but obviously it builds a massive cash value.
[00:36:10.000 --> 00:36:27.000]   And after sitting for 30 years, based off of about a 4% annualized return, you know, you're pulling out or you have the ability because the cash value is big enough to pull out over a million dollars a year of non-taxable income.
[00:36:27.000 --> 00:36:28.000]   Right.
[00:36:28.000 --> 00:36:31.000]   So let me slow down because this is interesting to talk through a few of the numbers.
[00:36:31.000 --> 00:36:34.000]   First of all, what's the face amount of the policy?
[00:36:34.000 --> 00:36:41.000]   Face amount would be gross death benefit of about $14 million.
[00:36:41.000 --> 00:36:42.000]   Okay.
[00:36:42.000 --> 00:36:46.000]   So they're going to underwrite you with an alliance policy for $14 million.
[00:36:46.000 --> 00:36:52.000]   You're going to make an initial premium payment or they're going to make initial premium payment.
[00:36:52.000 --> 00:36:54.000]   Who's making the initial premium payment?
[00:36:54.000 --> 00:36:57.000]   The financing company is.
[00:36:57.000 --> 00:37:00.000]   And how much are they going to make as a premium payment?
[00:37:00.000 --> 00:37:06.000]   So the total premium schedule is about $675,000 a year.
[00:37:06.000 --> 00:37:07.000]   Right.
[00:37:07.000 --> 00:37:13.000]   So they're going to make an initial premium payment of $675,000 for a $14 million policy to alliance.
[00:37:13.000 --> 00:37:14.000]   Is that right?
[00:37:14.000 --> 00:37:15.000]   Correct.
[00:37:15.000 --> 00:37:16.000]   Okay.
[00:37:16.000 --> 00:37:19.000]   You're going to pay out of pocket how much of that?
[00:37:19.000 --> 00:37:20.000]   $50,000.
[00:37:20.000 --> 00:37:21.000]   Okay.
[00:37:21.000 --> 00:37:27.000]   So year one, you pay $50,000 to the bank, to Northstar.
[00:37:27.000 --> 00:37:31.000]   Northstar makes a $675,000 payment to alliance.
[00:37:31.000 --> 00:37:32.000]   Is that right?
[00:37:32.000 --> 00:37:33.000]   That is correct.
[00:37:33.000 --> 00:37:35.000]   You're insured for $14 million.
[00:37:35.000 --> 00:37:39.000]   And this is whole life insurance or universal life insurance?
[00:37:39.000 --> 00:37:42.000]   This is, I believe, universal life insurance.
[00:37:42.000 --> 00:37:43.000]   Okay.
[00:37:43.000 --> 00:37:45.000]   You're insured for $14 million.
[00:37:45.000 --> 00:37:49.000]   Year two, what's the premium payment that Northstar makes?
[00:37:49.000 --> 00:37:50.000]   Is it another $675,000?
[00:37:50.000 --> 00:37:51.000]   Same thing.
[00:37:51.000 --> 00:37:52.000]   Yeah.
[00:37:52.000 --> 00:37:54.000]   It's straight line $675,000 for 10 years.
[00:37:54.000 --> 00:37:56.000]   And you pay $50,000.
[00:37:56.000 --> 00:37:57.000]   Correct.
[00:37:57.000 --> 00:37:58.000]   Okay.
[00:37:58.000 --> 00:38:05.000]   They're going to fund the policy at $675,000 per year premiums into the $14 million policy.
[00:38:05.000 --> 00:38:07.000]   After 10 years, they're going to quit paying.
[00:38:07.000 --> 00:38:08.000]   Is that right?
[00:38:08.000 --> 00:38:10.000]   That is correct.
[00:38:10.000 --> 00:38:11.000]   Yes.
[00:38:11.000 --> 00:38:12.000]   Okay.
[00:38:12.000 --> 00:38:14.000]   So we've got a total of $6,750,000 into it.
[00:38:14.000 --> 00:38:17.000]   You are contributing $50,000 per year.
[00:38:17.000 --> 00:38:18.000]   Is that right?
[00:38:18.000 --> 00:38:19.000]   Correct.
[00:38:19.000 --> 00:38:22.000]   So after 10 years, you're into it for $500,000.
[00:38:22.000 --> 00:38:23.000]   Is that right?
[00:38:23.000 --> 00:38:24.000]   Correct.
[00:38:24.000 --> 00:38:28.000]   And then after 10 years, you have no more premiums that are due as well?
[00:38:28.000 --> 00:38:29.000]   That is correct.
[00:38:29.000 --> 00:38:34.000]   So now, in year one, you die.
[00:38:34.000 --> 00:38:36.000]   Who is the beneficiary?
[00:38:36.000 --> 00:38:40.000]   Is it a guarantee to them for more than $675,000?
[00:38:40.000 --> 00:38:43.000]   Or how much is endorsed to them and how much goes to your beneficiaries?
[00:38:43.000 --> 00:38:44.000]   Yeah.
[00:38:44.000 --> 00:38:49.000]   So the gross death benefit on day one, call it $14 million.
[00:38:49.000 --> 00:38:52.000]   After death benefit payment, about $13 million.
[00:38:52.000 --> 00:38:53.000]   Okay.
[00:38:53.000 --> 00:38:59.000]   So really, and the reason I found this, just FYI, the reason I found this is because in
[00:38:59.000 --> 00:39:04.000]   my world of raising capital, I get high income professional business owners, professional
[00:39:04.000 --> 00:39:05.000]   athletes.
[00:39:05.000 --> 00:39:10.000]   And in talking to a friend of mine who does estate planning, he introduced me to this
[00:39:10.000 --> 00:39:15.000]   financial planner, and he specializes in professional athletes, college coaches, people who get
[00:39:15.000 --> 00:39:17.000]   big professional contracts.
[00:39:17.000 --> 00:39:22.000]   And they actually leverage their contract to set this up as a strategy, right?
[00:39:22.000 --> 00:39:27.000]   You have a 20-year-old that signs a $30 million contract in the NHL.
[00:39:27.000 --> 00:39:32.000]   They utilize this, and sometimes with no money out of pocket, to set a policy in place so
[00:39:32.000 --> 00:39:38.000]   that for the rest of their life, when they hit 45, 50, 55, whatever, they have income.
[00:39:38.000 --> 00:39:44.000]   And so that was the original concept or how I came across it.
[00:39:44.000 --> 00:39:49.000]   But being a business guy in real estate, understanding leverage, this had piqued my interest.
[00:39:49.000 --> 00:39:51.000]   It's just another bucket, right?
[00:39:51.000 --> 00:39:52.000]   Right, right, right.
[00:39:52.000 --> 00:39:53.000]   Yeah.
[00:39:53.000 --> 00:39:56.000]   So I'm just trying to walk it through and explain and get a sense of the numbers.
[00:39:56.000 --> 00:39:57.000]   Okay.
[00:39:57.000 --> 00:39:58.000]   So in your...
[00:39:58.000 --> 00:40:04.000]   So fast forward 30 years, okay?
[00:40:04.000 --> 00:40:10.000]   Does the financing company always have some portion of the death benefit endorsed to them?
[00:40:10.000 --> 00:40:14.000]   Or at some point in time, do they get released from the death benefit?
[00:40:14.000 --> 00:40:25.000]   So after the loan is retired in year 10, they have no further death benefit that's owed
[00:40:25.000 --> 00:40:26.000]   to them.
[00:40:26.000 --> 00:40:33.000]   So the idea is that in year one, they're going to come out of pocket $6,750,000.
[00:40:33.000 --> 00:40:40.000]   So basically, when you said it got a $9 million loan, you're signing documents to Northstar
[00:40:40.000 --> 00:40:43.000]   saying, "I'm going to pay you guys six point...
[00:40:43.000 --> 00:40:46.000]   I'm going to pay you guys six...
[00:40:46.000 --> 00:40:52.000]   I owe you $9 million because you're promising to make these payments to the life insurance
[00:40:52.000 --> 00:40:53.000]   company."
[00:40:53.000 --> 00:40:54.000]   Correct, yes.
[00:40:54.000 --> 00:40:58.000]   So the risks.
[00:40:58.000 --> 00:41:00.000]   So first of all, let's go three years in.
[00:41:00.000 --> 00:41:02.000]   Your business takes a dump.
[00:41:02.000 --> 00:41:04.000]   You can't make your $50,000 premium payment.
[00:41:04.000 --> 00:41:06.000]   What happens then?
[00:41:06.000 --> 00:41:15.000]   So it's my understanding that you can either abstain at the policy at that time and then
[00:41:15.000 --> 00:41:20.000]   just build it off of what is there, which would be a much smaller number.
[00:41:20.000 --> 00:41:23.000]   Or you can defer and then pay at a later date.
[00:41:23.000 --> 00:41:28.000]   I was actually thinking about putting the money aside ahead of time in a cash equivalent
[00:41:28.000 --> 00:41:31.000]   account and earmarking it for it.
[00:41:31.000 --> 00:41:32.000]   Yeah.
[00:41:32.000 --> 00:41:38.000]   So I don't have a great answer for you because it's one of those giant "it depends."
[00:41:38.000 --> 00:41:41.000]   And I'm not sure...
[00:41:41.000 --> 00:41:45.000]   So just imagine this, right?
[00:41:45.000 --> 00:41:48.000]   There are people all over the world that have lots of money.
[00:41:48.000 --> 00:41:52.000]   And people who have lots of money want a return on that money.
[00:41:52.000 --> 00:41:56.000]   And if they can get a return on the money, then they're happy to lend it to you.
[00:41:56.000 --> 00:41:59.000]   You know this being in real estate, loads of people line up and lend you money.
[00:41:59.000 --> 00:42:00.000]   Why?
[00:42:00.000 --> 00:42:02.000]   Because your money is secured by real estate.
[00:42:02.000 --> 00:42:08.000]   So from that perspective, money that's secured by life insurance is a phenomenal reason for
[00:42:08.000 --> 00:42:10.000]   someone to lend out money.
[00:42:10.000 --> 00:42:11.000]   Why?
[00:42:11.000 --> 00:42:21.000]   Well, number one, you have tremendously valuable collateral for your loan.
[00:42:21.000 --> 00:42:22.000]   First of all, you have a death benefit.
[00:42:22.000 --> 00:42:26.000]   So if the guy dies and he can't make $50,000, you're endorsed over a portion of the death
[00:42:26.000 --> 00:42:27.000]   benefit.
[00:42:27.000 --> 00:42:28.000]   It makes you whole.
[00:42:28.000 --> 00:42:33.000]   Number two, you have some of the cash value endorsed over to you as collateral as well.
[00:42:33.000 --> 00:42:38.000]   So if the guy doesn't pay his loan, you still have access to some portion of the cash value
[00:42:38.000 --> 00:42:41.000]   that's been pledged to you as security for your loan.
[00:42:41.000 --> 00:42:42.000]   I'm sure that's in the contract.
[00:42:42.000 --> 00:42:44.000]   And so you're covered there as well.
[00:42:44.000 --> 00:42:49.000]   Number three, the underlying asset is an asset that would make anybody happy, right?
[00:42:49.000 --> 00:42:51.000]   It's not up and down.
[00:42:51.000 --> 00:42:53.000]   It's just a guaranteed up asset.
[00:42:53.000 --> 00:42:57.000]   It's being managed by a giant insurance company that has a good investment team.
[00:42:57.000 --> 00:42:58.000]   It's very, very stable.
[00:42:58.000 --> 00:43:00.000]   It's very secure, et cetera.
[00:43:00.000 --> 00:43:08.000]   And so it's a really good way for you to get a modest rate of return on your money by lending
[00:43:08.000 --> 00:43:09.000]   the money out.
[00:43:09.000 --> 00:43:10.000]   So it can make sense.
[00:43:10.000 --> 00:43:13.000]   So what is the limiting factor?
[00:43:13.000 --> 00:43:18.000]   The limiting factor is the insurability of the person.
[00:43:18.000 --> 00:43:22.000]   Why can't that company, right?
[00:43:22.000 --> 00:43:25.000]   Why can't-- I lost the name.
[00:43:25.000 --> 00:43:26.000]   It doesn't matter.
[00:43:26.000 --> 00:43:27.000]   Northstar.
[00:43:27.000 --> 00:43:31.000]   Why can't the bank go out and just buy their own insurance policies?
[00:43:31.000 --> 00:43:36.000]   Well, they can as long as they find people that they have an insurable interest in, right?
[00:43:36.000 --> 00:43:44.000]   So Northstar can go and they can put key employee policies on all of their CEO and their CFO
[00:43:44.000 --> 00:43:45.000]   and their whole management team.
[00:43:45.000 --> 00:43:46.000]   And I'm sure they have it, right?
[00:43:46.000 --> 00:43:49.000]   You mentioned the BOLI, the bank-owned life insurance, and the COLI market, corporate-owned
[00:43:49.000 --> 00:43:50.000]   life insurance.
[00:43:50.000 --> 00:43:56.000]   Companies who have the cash flow can put in place tens of millions of dollars of life
[00:43:56.000 --> 00:44:01.000]   insurance using the lives of their key employees.
[00:44:01.000 --> 00:44:02.000]   So that's doable.
[00:44:02.000 --> 00:44:04.000]   But the problem is that you run out of those.
[00:44:04.000 --> 00:44:06.000]   And so if you have more money, what do you need?
[00:44:06.000 --> 00:44:10.000]   Well, you need people who are willing to say, look, put an insurance policy on me.
[00:44:10.000 --> 00:44:12.000]   The problem is that's a little weird, right?
[00:44:12.000 --> 00:44:17.000]   You don't go to the bum on the street who doesn't have any money and say, hey, listen,
[00:44:17.000 --> 00:44:21.000]   bum on the street, can we put a $10 million life insurance policy on your life?
[00:44:21.000 --> 00:44:23.000]   Of course you don't do that, right?
[00:44:23.000 --> 00:44:24.000]   There's no insurable interest.
[00:44:24.000 --> 00:44:28.000]   And the reason-- and the insurable interest just simply means that there's too much incentive
[00:44:28.000 --> 00:44:32.000]   for somebody to come along and bump them off and you collect your $10 million.
[00:44:32.000 --> 00:44:33.000]   So that doesn't work.
[00:44:33.000 --> 00:44:34.000]   There has to be insurable interest.
[00:44:34.000 --> 00:44:39.000]   In addition, there has to be financial capacity in order for this to make it worth it, right?
[00:44:39.000 --> 00:44:45.000]   The insurance company can't come along to a guy making $60,000 a year and say, listen,
[00:44:45.000 --> 00:44:52.000]   we're going to allow there to be a $14 million life insurance policy on your head.
[00:44:52.000 --> 00:44:59.000]   The insurance policy can come along to a guy who's wealthy, who can qualify financially
[00:44:59.000 --> 00:45:03.000]   for a $14 million policy and say, yeah, we're willing to issue the policy,
[00:45:03.000 --> 00:45:06.000]   and we don't much care where you get the money.
[00:45:06.000 --> 00:45:12.000]   And so all the pieces are there for it to be fine.
[00:45:12.000 --> 00:45:13.000]   What are the dangers?
[00:45:13.000 --> 00:45:17.000]   I think you have to first think about what is the probability of performance
[00:45:17.000 --> 00:45:19.000]   by the insurance company.
[00:45:19.000 --> 00:45:24.000]   Now, I think that in this case, a universal life insurance contract is most likely
[00:45:24.000 --> 00:45:26.000]   the right contract to use, right?
[00:45:26.000 --> 00:45:33.000]   This is a sophisticated application, and this is the inappropriate place
[00:45:33.000 --> 00:45:35.000]   for a universal life contract.
[00:45:35.000 --> 00:45:41.000]   The trouble that I have is that I'm stained by remembering all of the policies
[00:45:41.000 --> 00:45:46.000]   that blew up in the 1980s that were universal life contracts because they were quoted
[00:45:46.000 --> 00:45:48.000]   at 14%.
[00:45:48.000 --> 00:45:50.000]   So you've got an illustration showing a 4% return.
[00:45:50.000 --> 00:45:56.000]   And my entire career when I sold life insurance and since then has been
[00:45:56.000 --> 00:45:59.000]   in a declining interest rate environment.
[00:45:59.000 --> 00:46:04.000]   And so I'm super sensitive to those projections, knowing that they haven't
[00:46:04.000 --> 00:46:06.000]   always worked out.
[00:46:06.000 --> 00:46:07.000]   I'm open, right?
[00:46:07.000 --> 00:46:12.000]   This insurance agent is no doubt a specialist, and I'm sure he knows his business.
[00:46:12.000 --> 00:46:13.000]   So that's fine.
[00:46:13.000 --> 00:46:15.000]   I'm open to it, but I'm aware of it.
[00:46:15.000 --> 00:46:21.000]   The second risk is the risk that is not usually represented very well
[00:46:21.000 --> 00:46:27.000]   by the insurance agents is the risk when taking the flows out of the policy.
[00:46:27.000 --> 00:46:33.000]   And there's always two things that are glossed over because there are good
[00:46:33.000 --> 00:46:36.000]   incentives for the insurance agent to gloss them over.
[00:46:36.000 --> 00:46:44.000]   Risk number one is any life insurance illustration is a projection of what happens
[00:46:44.000 --> 00:46:47.000]   based upon a set of returns.
[00:46:47.000 --> 00:46:52.000]   So in this case, it's being modeled at a 4% growth in the values of the company's
[00:46:52.000 --> 00:46:54.000]   general portfolio.
[00:46:54.000 --> 00:46:56.000]   Well, what if you don't get 4% growth?
[00:46:56.000 --> 00:46:57.000]   What if it's 3%?
[00:46:57.000 --> 00:46:59.000]   What if it's 2%?
[00:46:59.000 --> 00:47:05.000]   That's a big risk because those numbers affect it massively.
[00:47:05.000 --> 00:47:10.000]   The second risk on the cash flow coming out is that this cash flow that's coming
[00:47:10.000 --> 00:47:16.000]   out is often modeled a little bit aggressively to make a nice number on the paper,
[00:47:16.000 --> 00:47:17.000]   which makes you feel good.
[00:47:17.000 --> 00:47:19.000]   It's like, "Look, I can spend a million dollars a year."
[00:47:19.000 --> 00:47:24.000]   Well, you can take out loans against the policy, but you have to make sure that
[00:47:24.000 --> 00:47:30.000]   the policy stays healthy enough in order for it to continue in existence because
[00:47:30.000 --> 00:47:35.000]   if you lapse the policy, meaning you take out too much in a loan and you can't
[00:47:35.000 --> 00:47:43.000]   make the premium payments because underlying, right, when you're 85 years old,
[00:47:43.000 --> 00:47:47.000]   this insurance policy is going to be demanding premiums of, I don't know,
[00:47:47.000 --> 00:47:51.000]   $3.2 million or whatever the number winds up being inside the policy.
[00:47:51.000 --> 00:47:55.000]   And so there has to be enough growth there in the policy in order for it to
[00:47:55.000 --> 00:47:58.000]   satisfy that $3.2 million premium.
[00:47:58.000 --> 00:48:03.000]   If you suck out all the money too early, then you may not be able to make it.
[00:48:03.000 --> 00:48:04.000]   And then what happens?
[00:48:04.000 --> 00:48:08.000]   Well, then the policy lapses, and then you have a taxable event, right?
[00:48:08.000 --> 00:48:13.000]   Then all of your withdrawals, all of the loans, what was tax-free, you're now
[00:48:13.000 --> 00:48:17.000]   1099 for that whole giant stack.
[00:48:17.000 --> 00:48:21.000]   So that's the other place where these policies can go wrong.
[00:48:21.000 --> 00:48:26.000]   And I would just want to go through and analyze and say, okay, in every
[00:48:26.000 --> 00:48:28.000]   scenario, what happens?
[00:48:28.000 --> 00:48:31.000]   The last point, and I need to make sure that the audience understands this,
[00:48:31.000 --> 00:48:38.000]   what is the other reason why the insurance company, sorry, the bank, can't find
[00:48:38.000 --> 00:48:40.000]   more of this business to place?
[00:48:40.000 --> 00:48:44.000]   Well, not only do they need someone with financial capacity so that the
[00:48:44.000 --> 00:48:46.000]   insurance companies are going to be willing to issue the life insurance
[00:48:46.000 --> 00:48:50.000]   policies of big numbers, but they need someone who's young and healthy enough
[00:48:50.000 --> 00:48:52.000]   to make these numbers work.
[00:48:52.000 --> 00:48:57.000]   And so a lot of times, the guy who can make a $675,000 a year premium payment,
[00:48:57.000 --> 00:49:03.000]   or even a $50,000 a year premium payment, is often 58 years old, often 100 pounds
[00:49:03.000 --> 00:49:05.000]   overweight, and has type 2 diabetes.
[00:49:05.000 --> 00:49:07.000]   Well, not a great risk.
[00:49:07.000 --> 00:49:12.000]   And so you're young enough and presumably healthy enough that this can work.
[00:49:12.000 --> 00:49:14.000]   So I'm not opposed to it.
[00:49:14.000 --> 00:49:16.000]   It's not an absolute no from me.
