
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:17:33.040 --> 00:17:34.960]   For me, I mean, I've always been told,
[00:17:34.960 --> 00:17:37.680]   like you evaluate kind of your skillset.
[00:17:37.680 --> 00:17:38.520]   - Yeah.
[00:17:38.520 --> 00:17:39.360]   - What you're good at.
[00:17:39.360 --> 00:17:41.000]   And then at the end of the day,
[00:17:41.000 --> 00:17:41.840]   like if you're a believer,
[00:17:41.840 --> 00:17:45.280]   you believe that the main thing is to push the kingdom,
[00:17:45.280 --> 00:17:46.720]   draw more people to God.
[00:17:46.720 --> 00:17:47.720]   But how do you think?
[00:17:47.720 --> 00:17:49.880]   'Cause I just know, man, there's a lot of young people.
[00:17:49.880 --> 00:17:52.760]   I got a lot of friends who, you know, even me,
[00:17:52.760 --> 00:17:54.400]   I know if I didn't make it in basketball
[00:17:54.400 --> 00:17:55.520]   or like it for some reason,
[00:17:55.520 --> 00:17:58.720]   if one of those injuries was career ending,
[00:17:58.720 --> 00:18:00.240]   like I don't know where I would have gone from there.
[00:18:00.240 --> 00:18:01.920]   I don't know how I would have used,
[00:18:01.920 --> 00:18:05.400]   'cause I've always felt like my gift was basketball.
[00:18:05.400 --> 00:18:08.520]   So, even talking to the people who felt,
[00:18:08.520 --> 00:18:10.560]   or they grew up doing one thing
[00:18:10.560 --> 00:18:12.440]   and then they didn't make it to where they wanted to
[00:18:12.440 --> 00:18:14.920]   and now they're having to shift their whole life.
[00:18:14.920 --> 00:18:17.240]   Like, how do you find your purpose?
[00:18:17.240 --> 00:18:18.120]   Because I just feel like, man,
[00:18:18.120 --> 00:18:20.040]   a lot of people are walking around here
[00:18:20.040 --> 00:18:21.360]   doing things they don't wanna do.
[00:18:21.360 --> 00:18:23.280]   They have jobs they don't wanna have.
[00:18:23.280 --> 00:18:25.680]   And I mean, that's a depressing thought.
[00:18:25.680 --> 00:18:27.400]   I'm glad, you know, basketball worked out for me,
[00:18:27.400 --> 00:18:28.840]   but it could have easily not.
[00:18:28.840 --> 00:18:32.920]   So, how do you find what you're placed on earth for?
[00:18:32.920 --> 00:18:35.800]   - Yeah, you know, so that reminds me of a,
[00:18:35.800 --> 00:18:37.040]   I was watching an interview,
[00:18:37.040 --> 00:18:39.200]   this was probably some years ago,
[00:18:39.200 --> 00:18:44.240]   and it was Virgil Abloh, who before his passing,
[00:18:44.240 --> 00:18:46.480]   he was at one of the Ivy League schools
[00:18:46.480 --> 00:18:48.160]   and he was doing an interview.
[00:18:48.160 --> 00:18:51.000]   And somehow they got on the topic of purpose
[00:18:51.000 --> 00:18:54.280]   and he had said it so clearly in a way that stuck with me.
[00:18:54.280 --> 00:18:56.600]   And he said, "Find your through line."
[00:18:56.600 --> 00:18:58.640]   So, what essentially your through line is,
[00:18:58.640 --> 00:19:01.040]   is you look over the course of your life
[00:19:01.040 --> 00:19:03.880]   and there's this string of something
[00:19:03.880 --> 00:19:06.440]   that you just couldn't shake, right?
[00:19:06.440 --> 00:19:10.240]   And in looking at that through line, you'll find purpose.
[00:19:10.240 --> 00:19:11.920]   And the thing that I added to that,
[00:19:11.920 --> 00:19:14.440]   that I started to realize is,
[00:19:14.440 --> 00:19:18.640]   oftentimes we get mad at the frustrations that we have,
[00:19:18.640 --> 00:19:21.400]   but I think your unique frustrations
[00:19:21.400 --> 00:19:23.840]   are a clue as to what your purpose is.
[00:19:23.840 --> 00:19:25.840]   Like for me, for example, I can't,
[00:19:25.840 --> 00:19:29.320]   the thing that keeps me up at night is when I see need
[00:19:29.320 --> 00:19:31.960]   or when I see somebody who is suffering
[00:19:31.960 --> 00:19:34.360]   from some type of disorder or dysfunction
[00:19:34.360 --> 00:19:35.720]   or has chaos in their life.
[00:19:35.720 --> 00:19:38.520]   So, from a young age, my mom will tell you,
[00:19:38.520 --> 00:19:40.560]   like I always had a heart for the homeless people
[00:19:40.560 --> 00:19:42.880]   or people who were dealing with some type of dysfunction.
[00:19:42.880 --> 00:19:45.480]   So, over the whole course of my life,
[00:19:45.480 --> 00:19:47.080]   need has bothered me
[00:19:47.080 --> 00:19:49.200]   or disorder and dysfunction has bothered me.
[00:19:49.200 --> 00:19:52.240]   So, I think you look at your unique frustrations,
[00:19:52.240 --> 00:19:54.040]   obviously your unique abilities,
[00:19:54.040 --> 00:19:57.160]   like there's something that you can do
[00:19:57.160 --> 00:20:01.240]   that surpasses the average skill level, right?
[00:20:01.240 --> 00:20:03.500]   You have a unique ability to do something.
[00:20:03.500 --> 00:20:07.360]   I think there's, I heard an acronym before
[00:20:07.360 --> 00:20:09.720]   for finding your purpose, it's called SHAPE.
[00:20:09.720 --> 00:20:12.480]   So, you look at your spiritual gifts, right?
[00:20:12.480 --> 00:20:15.880]   You look at your heart, the unique passions that you have.
[00:20:15.880 --> 00:20:20.360]   You look at your unique abilities and your attitudes.
[00:20:20.360 --> 00:20:22.120]   P stands for personality.
[00:20:22.120 --> 00:20:25.000]   I think that each of us have some unique aspects
[00:20:25.000 --> 00:20:27.840]   to our personality that make us who we are.
[00:20:27.840 --> 00:20:32.040]   If I'm giving an example for myself, very introverted,
[00:20:32.040 --> 00:20:33.600]   prefer to be behind the camera,
[00:20:33.600 --> 00:20:35.360]   behind the scenes and all that.
[00:20:35.360 --> 00:20:38.080]   Why is that important for my purpose
[00:20:38.080 --> 00:20:41.080]   is because it was my introvertedness
[00:20:41.080 --> 00:20:44.060]   that pushed me to be okay with,
[00:20:44.060 --> 00:20:47.220]   instead of moving around this way or that way,
[00:20:47.220 --> 00:20:49.520]   just be at the crib studying, right?
[00:20:49.520 --> 00:20:51.360]   And soaking in this information
[00:20:51.360 --> 00:20:53.080]   and learning how to apply this information
[00:20:53.080 --> 00:20:56.280]   so that I can help young guys like you.
[00:20:56.280 --> 00:20:59.520]   So, I think that, and then E is experiences.
[00:20:59.520 --> 00:21:01.360]   So, you look at the unique experiences
[00:21:01.360 --> 00:21:03.400]   that you've had over the course of your life.
[00:21:03.400 --> 00:21:05.520]   And if you look at all those, your personality,
[00:21:05.520 --> 00:21:08.560]   unique abilities, unique frustrations, unique experiences,
[00:21:08.560 --> 00:21:10.080]   and even educationally,
[00:21:10.080 --> 00:21:12.840]   the things that you just have a knack for doing.
[00:21:12.840 --> 00:21:13.840]   If you look at all those,
[00:21:13.840 --> 00:21:17.000]   those are all clues that point towards why you're here.
[00:21:17.000 --> 00:21:19.200]   And I think most importantly is,
[00:21:19.200 --> 00:21:21.240]   with regards to the identity crisis,
[00:21:21.240 --> 00:21:24.000]   is you have to connect to the right source.
[00:21:24.000 --> 00:21:27.040]   That's why, for me, my belief is so important
[00:21:27.040 --> 00:21:30.960]   because I can't get my identity from the outside world.
[00:21:30.960 --> 00:21:33.240]   Like, I can't get my identity from social media.
[00:21:33.240 --> 00:21:36.400]   I can't get my identity from popular culture.
[00:21:36.400 --> 00:21:38.860]   I can't get my identity from anything else
[00:21:38.860 --> 00:21:41.440]   because it's a flawed identity.
[00:21:41.440 --> 00:21:42.280]   - 100%.
[00:21:42.280 --> 00:21:46.300]   So, I think one thing that,
[00:21:46.300 --> 00:21:48.480]   this is just a random thing I came up with
[00:21:48.480 --> 00:21:49.560]   as we're talking about peace.
[00:21:49.560 --> 00:21:51.200]   One thing I've always struggled with
[00:21:51.200 --> 00:21:54.000]   with people who claim to be Christians
[00:21:54.000 --> 00:21:57.440]   is I feel like Christians are sometimes
[00:21:57.440 --> 00:21:59.600]   some of the people that lack the most peace.
[00:21:59.600 --> 00:22:02.480]   And I look at other religious people around the world
[00:22:02.480 --> 00:22:07.480]   or some of these people practicing this New Age spirituality
[00:22:07.480 --> 00:22:11.680]   or the people that, even sometimes atheists,
[00:22:11.680 --> 00:22:12.520]   and I look at them and I'm like,
[00:22:12.520 --> 00:22:16.280]   "Man, they're more sometimes appear to be more peaceful
[00:22:16.280 --> 00:22:17.600]   "than Christians."
[00:22:17.600 --> 00:22:20.520]   And I think, correct me if I'm wrong,
[00:22:20.520 --> 00:22:23.400]   I think it might be because of the,
[00:22:23.400 --> 00:22:27.480]   when you do accept God and you accept Christ into your life,
[00:22:27.480 --> 00:22:28.880]   there will be a pull.
[00:22:28.880 --> 00:22:31.060]   It'll be the spirit versus the flesh.
[00:22:31.060 --> 00:22:33.040]   And you kinda gotta pick one.
[00:22:33.040 --> 00:22:36.480]   That's why it says if you're a lukewarm Christian,
[00:22:36.480 --> 00:22:37.800]   that's the most miserable place to be
[00:22:37.800 --> 00:22:40.240]   because you'll be lacking so much peace
[00:22:40.240 --> 00:22:42.640]   because you're getting pulled in two different directions.
[00:22:42.640 --> 00:22:44.640]   So, I think in our world now today,
[00:22:44.640 --> 00:22:48.720]   I feel like part of the reason Christians in general
[00:22:48.720 --> 00:22:51.760]   lack so much peace is they're lukewarm.
[00:22:51.760 --> 00:22:52.920]   They never, they don't,
[00:22:52.920 --> 00:22:54.580]   and I'm talking to myself as well,
[00:22:54.580 --> 00:22:57.280]   they didn't go fully in committing to God
[00:22:57.280 --> 00:22:58.800]   and His ways and His principles
[00:22:58.800 --> 00:23:00.880]   and what the Bible says is right.
[00:23:00.880 --> 00:23:03.160]   But they also don't feel comfortable
[00:23:03.160 --> 00:23:05.600]   doing all the stuff the world says is okay.
[00:23:05.600 --> 00:23:07.920]   And so they lack so much peace.
[00:23:07.920 --> 00:23:11.480]   And I just feel like that's a place
[00:23:11.480 --> 00:23:14.760]   that a lot of people are in the world today.
[00:23:14.760 --> 00:23:18.720]   What is your perspective on Christian people lacking peace?
[00:23:18.720 --> 00:23:20.720]   Do you think it's 'cause of the lukewarmness
[00:23:20.720 --> 00:23:22.880]   or where do you think that comes from?
[00:23:22.880 --> 00:23:27.400]   - I think that reminds me of a quote my dad gave me.
[00:23:27.400 --> 00:23:29.320]   He told me, he told us early on,
[00:23:29.320 --> 00:23:32.120]   he said, "Your religion will take you to hell."
[00:23:32.120 --> 00:23:35.160]   So he taught us early on that,
[00:23:35.160 --> 00:23:39.920]   obviously we're Christians and that's our faith,
[00:23:39.920 --> 00:23:42.200]   but he told us the most important thing
[00:23:42.200 --> 00:23:44.600]   is your relationship with God.
[00:23:44.600 --> 00:23:47.440]   Because we know whether it's a physical relationship
[00:23:47.440 --> 00:23:50.920]   or whatever type of relationship we wanna apply it to,
[00:23:50.920 --> 00:23:53.000]   as you grow in that relationship
[00:23:53.000 --> 00:23:55.160]   and you start to become more intimate
[00:23:55.160 --> 00:23:57.120]   and you start to find new revelations
[00:23:57.120 --> 00:23:58.680]   of this and that and this and that,
[00:23:58.680 --> 00:24:02.800]   then there is a certain level of peace that comes with that.
[00:24:02.800 --> 00:24:03.720]   There's a certain level,
[00:24:03.720 --> 00:24:05.480]   specifically with our relationship with God
[00:24:05.480 --> 00:24:08.000]   is as we start to submit to Him
[00:24:08.000 --> 00:24:09.320]   and His plan and His purpose
[00:24:09.320 --> 00:24:11.440]   and actually spend time with Him,
[00:24:11.440 --> 00:24:13.640]   then He starts to reveal certain things to us.
[00:24:13.640 --> 00:24:17.280]   I think when you start to talk about religion,
[00:24:17.280 --> 00:24:20.160]   religion for some people is just a habit.
[00:24:20.160 --> 00:24:21.680]   It's like, I go to church,
[00:24:21.680 --> 00:24:23.360]   I sing a couple of worship songs,
[00:24:23.360 --> 00:24:25.280]   I pray before I eat,
[00:24:25.280 --> 00:24:28.320]   but there's no real execution on the principles.
[00:24:28.320 --> 00:24:30.480]   So it goes back to when I talked about
[00:24:30.480 --> 00:24:32.360]   following the right instructions.
[00:24:32.360 --> 00:24:35.920]   It's okay, it's one thing to read the scripture
[00:24:35.920 --> 00:24:39.600]   and it's another thing to actually apply the principles
[00:24:39.600 --> 00:24:40.760]   that are in the scripture.
[00:24:40.760 --> 00:24:43.320]   And I think you and I have talked about this a million times
[00:24:43.320 --> 00:24:46.240]   like sometimes now that I'm in the position that I'm in
[00:24:46.240 --> 00:24:48.280]   and we'll be sitting in meetings
[00:24:48.280 --> 00:24:49.680]   and this and that and this and that.
[00:24:49.680 --> 00:24:52.480]   So I think sometimes I've seen business,
[00:24:52.480 --> 00:24:54.960]   businessmen and businesswomen, CEOs,
[00:24:54.960 --> 00:24:58.880]   who apply biblical principles better than Christians do.
[00:24:58.880 --> 00:24:59.720]   - Right. - Right?
[00:24:59.720 --> 00:25:02.160]   It's the application of the principle.
[00:25:02.160 --> 00:25:04.880]   So it's one thing to go to church
[00:25:04.880 --> 00:25:08.600]   and it's one thing to receive the gift of salvation,
[00:25:08.600 --> 00:25:09.800]   but there's a whole nother thing
[00:25:09.800 --> 00:25:12.040]   about walking this thing out daily
[00:25:12.040 --> 00:25:14.240]   and applying the principles.
[00:25:14.240 --> 00:25:15.640]   Because principles are important.
[00:25:15.640 --> 00:25:19.400]   There's the way that Dr. Miles Monroe, I'll never forget it.
[00:25:19.400 --> 00:25:22.360]   He said, "Every principle has a if-then clause."
[00:25:22.360 --> 00:25:25.280]   So if I do this, then this happens.
[00:25:25.280 --> 00:25:27.440]   The business world applies those principles
[00:25:27.440 --> 00:25:30.080]   because they know if, for example,
[00:25:30.080 --> 00:25:35.080]   if I keep my balance sheet in order, then X, Y, Z happens.
[00:25:35.080 --> 00:25:37.480]   But in Christianity,
[00:25:37.480 --> 00:25:40.400]   we don't necessarily follow those principles
[00:25:40.400 --> 00:25:42.080]   or execute on them.
[00:25:42.080 --> 00:25:42.960]   - I agree.
[00:25:42.960 --> 00:25:45.760]   Talk a little bit about a morning routine
[00:25:45.760 --> 00:25:47.160]   on the more practical side again,
[00:25:47.160 --> 00:25:50.560]   because I feel like as important as all these topics are,
[00:25:50.560 --> 00:25:53.720]   like sometimes people that are super busy
[00:25:53.720 --> 00:25:55.440]   or make themselves too busy,
[00:25:55.440 --> 00:25:58.960]   it's very hard to get to the place where you're applying
[00:25:58.960 --> 00:26:00.640]   the things that you need to
[00:26:00.640 --> 00:26:03.880]   in order to live the life you want to live.
[00:26:03.880 --> 00:26:05.160]   There is a practical side of,
[00:26:05.160 --> 00:26:06.960]   I need to spend time in the Word.
[00:26:06.960 --> 00:26:08.600]   I need to fill myself up.
[00:26:08.600 --> 00:26:10.720]   I need to have this time to journal.
[00:26:10.720 --> 00:26:13.400]   So I think personally, from my experience,
[00:26:13.400 --> 00:26:15.440]   the morning time is so good.
[00:26:15.440 --> 00:26:16.900]   I heard a quote one time,
[00:26:16.900 --> 00:26:20.240]   you don't tune the instrument after the concert.
[00:26:20.240 --> 00:26:21.520]   You tune it before.
[00:26:21.520 --> 00:26:23.960]   So that's first thing in the morning.
[00:26:23.960 --> 00:26:25.800]   You make sure you're in the right headspace
[00:26:25.800 --> 00:26:27.520]   to go be the person you want to be,
[00:26:27.520 --> 00:26:30.480]   go make the decisions you want to make.
[00:26:30.480 --> 00:26:32.080]   And I know you're big on a morning routine.
[00:26:32.080 --> 00:26:33.440]   So just for the people that are listening,
[00:26:33.440 --> 00:26:36.200]   that they want to change their life
[00:26:36.200 --> 00:26:39.080]   and they want to be more disciplined and install new habits.
[00:26:39.080 --> 00:26:40.360]   How important is a morning routine?
[00:26:40.360 --> 00:26:41.600]   And kind of walk through yours.
[00:26:41.600 --> 00:26:44.640]   - Yeah, for me, it's extremely important
[00:26:44.640 --> 00:26:46.400]   because I heard a quote before.
[00:26:46.400 --> 00:26:50.200]   You can't be serious about life and serious about purpose
[00:26:50.200 --> 00:26:53.680]   and practice apathy in most areas of your life.
[00:26:53.680 --> 00:26:55.800]   So in order to be serious about life
[00:26:55.800 --> 00:27:00.160]   and actively transform your life and change your life,
[00:27:00.160 --> 00:27:01.960]   it requires intentionality.
[00:27:01.960 --> 00:27:05.600]   You have to be intentional in every area of your life.
[00:27:05.600 --> 00:27:07.520]   So what that looks like for me
[00:27:07.520 --> 00:27:10.120]   is I just made a decision early on.
[00:27:10.120 --> 00:27:12.760]   I can't just let the day happen to me.
[00:27:12.760 --> 00:27:15.640]   And the way that I put it is I have to create the day.
[00:27:15.640 --> 00:27:18.680]   Like that's my goal every single day is to create the day.
[00:27:18.680 --> 00:27:20.960]   Don't let the day happen to me.
[00:27:20.960 --> 00:27:22.160]   And what that looks like,
[00:27:22.160 --> 00:27:24.660]   what that looks like is taking control of my day.
[00:27:24.660 --> 00:27:27.800]   So it might look like waking up at 5 a.m., right?
[00:27:27.800 --> 00:27:29.840]   So like I joke about it all the time,
[00:27:29.840 --> 00:27:31.760]   but I know you're gonna wake,
[00:27:31.760 --> 00:27:34.480]   you usually wake up around 8, 8.30.
[00:27:34.480 --> 00:27:39.080]   My Nicodemus usually wakes up about 7, 7.30.
[00:27:39.080 --> 00:27:43.720]   So I know I need to get everything done before then
[00:27:43.720 --> 00:27:46.640]   so that I can be completely available for Nicodemus,
[00:27:46.640 --> 00:27:48.160]   be completely available for you
[00:27:48.160 --> 00:27:50.520]   and completely available for any other thing
[00:27:50.520 --> 00:27:52.560]   that I need to take care of that day.
[00:27:52.560 --> 00:27:55.520]   So that requires me to wake up first thing in the morning.
[00:27:55.520 --> 00:27:58.520]   What I do is now I go get in the cold plunge.
[00:27:58.520 --> 00:28:00.080]   So first things first,
[00:28:00.080 --> 00:28:03.060]   wake up, go straight to the cold plunge three minutes, right?
[00:28:03.060 --> 00:28:05.960]   That's gonna do a million different things,
[00:28:05.960 --> 00:28:08.780]   but the biggest thing for me strengthens my immune system,
[00:28:08.780 --> 00:28:11.160]   helps with mental clarity first thing in the morning,
[00:28:11.160 --> 00:28:13.040]   resets my circadian rhythm
[00:28:13.040 --> 00:28:14.700]   so that I get better sleep at night.
[00:28:14.700 --> 00:28:17.480]   So I start there, it wakes me up,
[00:28:17.480 --> 00:28:20.900]   and then I'll do red light therapy for about 10 minutes.
[00:28:20.900 --> 00:28:22.920]   But I'm big on stacking habits
[00:28:22.920 --> 00:28:25.600]   because there's a million habits that you can practice.
[00:28:25.600 --> 00:28:27.880]   But for me, it's like, which ones can I stack?
[00:28:27.880 --> 00:28:30.400]   So while I'm doing 10 minutes of red light therapy,
[00:28:30.400 --> 00:28:33.800]   I'll either play worship music and worship,
[00:28:33.800 --> 00:28:36.960]   or that's my 10 minutes of uninterrupted prayer.
[00:28:36.960 --> 00:28:41.040]   Because I think in order for me to maintain my identity,
[00:28:41.040 --> 00:28:43.300]   I have to connect to my source, right?
[00:28:43.300 --> 00:28:45.600]   So just like we wouldn't go on a road trip
[00:28:45.600 --> 00:28:47.800]   and leave our charger at home,
[00:28:47.800 --> 00:28:50.420]   I have to get charged up first thing every morning.
[00:28:50.420 --> 00:28:51.680]   You and I have talked about that
[00:28:51.680 --> 00:28:53.320]   from a discipline standpoint.
[00:28:53.320 --> 00:28:55.940]   Sometimes you ask me, "How can you,
[00:28:55.940 --> 00:28:57.200]   "how do you stay so disciplined
[00:28:57.200 --> 00:28:58.680]   "and not do this and not do that?"
[00:28:58.680 --> 00:29:00.640]   And I tell you, I'm just like everybody else.
[00:29:00.640 --> 00:29:02.760]   I just make sure that I connect to the source
[00:29:02.760 --> 00:29:03.840]   first thing in the morning
[00:29:03.840 --> 00:29:05.720]   so that I have the right perspective
[00:29:05.720 --> 00:29:08.080]   and I know I need to get connected to the source.
[00:29:08.080 --> 00:29:10.600]   So it's one day to the next.
[00:29:10.600 --> 00:29:15.380]   So cold plunge, red light therapy with prayer and worship,
[00:29:15.380 --> 00:29:17.800]   and then start knocking off stuff off my to-do list.
[00:29:17.800 --> 00:29:20.040]   And then once Nicodemus wakes up,
[00:29:20.040 --> 00:29:23.580]   then that's usually like from seven to,
[00:29:23.580 --> 00:29:26.340]   I drop him off at daycare around 8.30.
[00:29:26.340 --> 00:29:30.580]   That is my, I'm completely for the most part unavailable.
[00:29:30.580 --> 00:29:32.140]   Like that's his time.
[00:29:32.140 --> 00:29:34.740]   So we'll make breakfast together.
[00:29:34.740 --> 00:29:37.060]   We'll sit, like he knows already.
[00:29:37.060 --> 00:29:39.220]   He'll, we'll watch worship.
[00:29:39.220 --> 00:29:41.300]   So we'll listen to one worship song
[00:29:41.300 --> 00:29:43.400]   and then we'll do one educational activity.
[00:29:43.400 --> 00:29:45.380]   Like for him right now, he's learning Spanish.
[00:29:45.380 --> 00:29:48.680]   So we'll watch like 30 minutes of Spanish while he's eating,
[00:29:48.680 --> 00:29:50.380]   but we'll make breakfast together.
[00:29:50.380 --> 00:29:53.380]   And then after that, throughout the day,
[00:29:53.380 --> 00:29:55.280]   I set aside time for working out
[00:29:55.280 --> 00:29:56.960]   and professional development and all that.
[00:29:56.960 --> 00:29:59.980]   But that morning routine of getting the cold,
[00:29:59.980 --> 00:30:03.100]   red light therapy, prayer and worship,
[00:30:03.100 --> 00:30:04.920]   and then sunlight exposure.
[00:30:04.920 --> 00:30:07.460]   So then I'll walk out before he wakes up.
[00:30:07.460 --> 00:30:10.180]   If the sun is out, 10 minutes in the sun,
[00:30:10.180 --> 00:30:11.940]   and that's my time of gratitude.
[00:30:11.940 --> 00:30:16.260]   So I've knocked out mind, body, and spirit together.
[00:30:16.260 --> 00:30:18.920]   And it takes about 30 to 45 minutes.
[00:30:18.920 --> 00:30:20.780]   And that's how I start my day.
[00:30:20.780 --> 00:30:21.720]   - That's amazing.
[00:30:21.720 --> 00:30:23.080]   I like what you said about connecting
[00:30:23.080 --> 00:30:24.900]   to the power source as well,
[00:30:24.900 --> 00:30:27.360]   because it's such a biblical principle
[00:30:27.360 --> 00:30:30.460]   of God gives you enough, like for the day.
[00:30:30.460 --> 00:30:34.440]   Like you can do that routine for a year straight.
[00:30:34.440 --> 00:30:36.600]   And then if you took three or four days off,
[00:30:36.600 --> 00:30:38.560]   you wouldn't feel right because,
[00:30:38.560 --> 00:30:41.380]   or like even talking about like getting in the Word
[00:30:41.380 --> 00:30:44.300]   or your prayer time, you can pray for three days in a row,
[00:30:44.300 --> 00:30:46.280]   but that's not gonna last you for that fourth day.
[00:30:46.280 --> 00:30:47.480]   It's like a daily.
[00:30:47.480 --> 00:30:49.280]   And the Bible, you know,
[00:30:49.280 --> 00:30:51.640]   God gave them enough manna for one day,
[00:30:51.640 --> 00:30:52.640]   and then it would go rotten.
[00:30:52.640 --> 00:30:55.220]   They would have to go recollect it the next day.
[00:30:55.220 --> 00:30:57.240]   I forget which guy it was,
[00:30:57.240 --> 00:31:00.440]   but he would go into prayer three times a day
[00:31:00.440 --> 00:31:02.000]   to reconnect, to refill himself up.
[00:31:02.000 --> 00:31:04.240]   So it's not like, it's a daily walk,
[00:31:04.240 --> 00:31:05.280]   and it's a daily habit.
[00:31:05.280 --> 00:31:06.480]   And sometimes for me,
[00:31:06.480 --> 00:31:08.640]   and I think a lot of other people, it's like,
[00:31:08.640 --> 00:31:10.640]   you know, you might be doing so good
[00:31:10.640 --> 00:31:12.760]   in how you wanna be and what you wanna do
[00:31:12.760 --> 00:31:13.840]   for a week straight,
[00:31:13.840 --> 00:31:14.720]   but it's like a cycle.
[00:31:14.720 --> 00:31:16.280]   You go through these ups and downs of,
[00:31:16.280 --> 00:31:18.000]   you do good, then you don't do good.
[00:31:18.000 --> 00:31:20.060]   Then you crawl out of it and you do good,
[00:31:20.060 --> 00:31:20.900]   then you don't do good.
[00:31:20.900 --> 00:31:22.960]   And I think that's that chaos in your life.
[00:31:22.960 --> 00:31:26.160]   If you can create the like, the order,
[00:31:26.160 --> 00:31:28.380]   then you'll see like the consistency
[00:31:28.380 --> 00:31:30.960]   and who you wanna be.
[00:31:30.960 --> 00:31:33.800]   And I just think that I've seen it so much in my life
[00:31:33.800 --> 00:31:35.240]   because I hate the cycle
[00:31:35.240 --> 00:31:37.980]   'cause I feel like a lot of people feel helpless
[00:31:37.980 --> 00:31:39.700]   when they're doing good
[00:31:39.700 --> 00:31:41.360]   or they're being who they wanna be for a couple of weeks,
[00:31:41.360 --> 00:31:43.440]   and then man, they have a bad three or four days,
[00:31:43.440 --> 00:31:45.720]   and then they start binging on something for a few days,
[00:31:45.720 --> 00:31:46.920]   and they crawl out of it.
[00:31:46.920 --> 00:31:47.760]   You know what I mean?
[00:31:47.760 --> 00:31:48.580]   That's like the worst place to be in.
[00:31:48.580 --> 00:31:49.420]   - It's hard.
[00:31:49.420 --> 00:31:53.960]   Another part of that word order
[00:31:53.960 --> 00:31:56.880]   from the etymology of it is prioritization.
[00:31:56.880 --> 00:31:58.880]   And that's why I do that.
[00:31:58.880 --> 00:32:00.560]   I do the first things first.
[00:32:00.560 --> 00:32:02.640]   Journaling is a part of my morning routine,
[00:32:02.640 --> 00:32:04.360]   obviously, as well.
[00:32:04.360 --> 00:32:06.200]   And I know you're big on journaling,
[00:32:06.200 --> 00:32:08.660]   but it's like, I have to do the first things first.
[00:32:08.660 --> 00:32:10.800]   I have to set something as a priority,
[00:32:10.800 --> 00:32:12.660]   and then everything else falls in line.
[00:32:12.660 --> 00:32:15.400]   So for me, like I said, it's connecting to God,
[00:32:15.400 --> 00:32:16.640]   it's spending time in worship,
[00:32:16.640 --> 00:32:18.520]   it's spending time with Nicodemus,
[00:32:18.520 --> 00:32:19.760]   it's spending time making sure
[00:32:19.760 --> 00:32:22.040]   that I'm taking care of myself
[00:32:22.040 --> 00:32:23.960]   so that I can provide the best,
[00:32:23.960 --> 00:32:26.120]   whatever it is, to the world.
[00:32:26.120 --> 00:32:29.240]   And then along the lines of what you said,
[00:32:29.240 --> 00:32:31.320]   from a biblical perspective,
[00:32:31.320 --> 00:32:32.600]   one of the most profound things
[00:32:32.600 --> 00:32:35.120]   that I had ever seen in the scripture
[00:32:35.120 --> 00:32:38.580]   is that when Jesus started His ministry,
[00:32:38.580 --> 00:32:42.840]   we see the story of Him being baptized by John the Baptist,
[00:32:42.840 --> 00:32:45.760]   and that represents Him beginning His ministry.
[00:32:45.760 --> 00:32:47.920]   And then that story goes,
[00:32:47.920 --> 00:32:50.320]   there's a dove that comes down from heaven,
[00:32:50.320 --> 00:32:53.760]   and God says, "This is my Son in whom I'm well pleased."
[00:32:53.760 --> 00:32:55.120]   So that stuck with me,
[00:32:55.120 --> 00:32:58.200]   because I realized that before Jesus took the steps
[00:32:58.200 --> 00:32:59.960]   to walk in His ministry,
[00:32:59.960 --> 00:33:03.200]   He received affirmation from the Father.
[00:33:03.200 --> 00:33:04.660]   And I just took that for me,
[00:33:04.660 --> 00:33:08.460]   that if I receive affirmation from God,
[00:33:08.460 --> 00:33:12.040]   I never have to function for affirmation from others.
[00:33:12.040 --> 00:33:12.880]   Period.
[00:33:12.880 --> 00:33:16.320]   So it's either we're functioning from a place of affirmation
[00:33:16.320 --> 00:33:18.920]   or you're functioning for affirmation.
[00:33:18.920 --> 00:33:21.240]   And that's super hard for y'all.
[00:33:21.240 --> 00:33:23.520]   - Which is our whole life, I mean--
[00:33:23.520 --> 00:33:24.360]   - Everything.
[00:33:24.360 --> 00:33:25.180]   - Our whole life,
[00:33:25.180 --> 00:33:26.680]   because you just have so much criticism,
[00:33:26.680 --> 00:33:30.060]   you have so much nitpicking on how you played.
[00:33:30.060 --> 00:33:30.900]   - All of it.
[00:33:30.900 --> 00:33:31.720]   - But everything.
[00:33:31.720 --> 00:33:33.160]   I mean, if you're on social media,
[00:33:33.160 --> 00:33:35.360]   if you're posting pictures, what is that really for?
[00:33:35.360 --> 00:33:37.080]   That's usually for affirmation.
[00:33:37.080 --> 00:33:37.920]   - For sure.
[00:33:37.920 --> 00:33:41.560]   - 'Cause 99% of people, or maybe probably higher,
[00:33:41.560 --> 00:33:43.080]   live from a place of affirmation.
[00:33:43.080 --> 00:33:44.480]   That's such an unstable place,
[00:33:44.480 --> 00:33:47.400]   'cause it's like, man, you're at the mercy of other people.
[00:33:47.400 --> 00:33:48.860]   If you're an athlete, it's the worst.
[00:33:48.860 --> 00:33:52.840]   You got these young dudes, one of my good friends,
[00:33:52.840 --> 00:33:54.280]   retiring at such a young age,
