
[00:00:00.000 --> 00:00:06.100]   The following is a conversation with Terence Tao, widely considered to be one of the greatest
[00:47:32.280 --> 00:47:38.020]   In fact, one of the great surprises of our universe and of everything in it is that it's compressible at all.
[00:47:38.020 --> 00:47:40.320]   It's the unreasonable effectiveness of mathematics.
[00:47:40.320 --> 00:47:40.620]   Yeah.
[00:47:40.620 --> 00:47:41.720]   Einstein had a quote like that.
[00:47:41.720 --> 00:47:44.640]   The most incomprehensible thing about the universe is that it is comprehensible.
[00:47:44.640 --> 00:47:45.720]   Right.
[00:47:45.840 --> 00:47:49.540]   And not just comprehensibly, you can do an equation like E equals mc squared.
[00:47:49.540 --> 00:47:52.720]   There is actually some mathematical possible explanation for that.
[00:47:52.720 --> 00:47:56.360]   So, there's this phenomenon in mathematics called universality.
[00:47:56.360 --> 00:48:01.540]   So, many complex systems at the macroscale are coming out of lots of tiny interactions at the macroscale.
[00:48:02.360 --> 00:48:11.780]   And normally, because of the common form of explosion, you would think that the macroscale equations must be, like, infinitely, exponentially more complicated than the macroscale ones.
[00:48:11.780 --> 00:48:15.100]   And they are, if you want to solve them completely exactly.
[00:48:15.100 --> 00:48:22.980]   Like, if you want to model all the atoms in a box of air, that's, like, Avogadro's number is humongous, right?
[00:48:22.980 --> 00:48:24.020]   There's a huge number of particles.
[00:48:24.020 --> 00:48:26.680]   If you actually have to track each one, it would be ridiculous.
[00:48:26.680 --> 00:48:35.060]   But certain laws emerge at the macroscopic scale that almost don't depend on what's going on at the macroscale, only depend on a very similar number of parameters.
[00:48:35.060 --> 00:48:45.140]   So, if you want to model a gas of, you know, quintillion particles in a box, you just need to know its temperature and pressure and volume and a few parameters, like five or six.
[00:48:45.140 --> 00:48:51.780]   And it models almost everything you need to know about these 10 to 23 or whatever particles.
[00:48:51.780 --> 00:48:59.780]   So, we have, we don't understand universality anywhere near as we would like mathematically.
[00:48:59.780 --> 00:49:05.780]   But there are much simpler toy models where we do have a good understanding of why universality occurs.
[00:49:05.780 --> 00:49:08.800]   Most basic one is the central limit theorem.
[00:49:08.800 --> 00:49:11.760]   That explains why the bell curve shows up everywhere in nature.
[00:49:11.760 --> 00:49:16.320]   That so many things are distributed by what's called a Gaussian distribution, a famous bell curve.
[00:49:16.320 --> 00:49:18.600]   There's not even a meme with this curve.
[00:49:18.600 --> 00:49:20.760]   And even the meme applies broadly.
[00:49:20.760 --> 00:49:21.140]   Yeah.
[00:49:21.140 --> 00:49:22.420]   The universality to the meme.
[00:49:22.420 --> 00:49:24.960]   Yes, you can go meta if you like.
[00:49:24.960 --> 00:49:27.140]   But there are many, many processes.
[00:49:27.140 --> 00:49:33.520]   For example, you can take lots and lots of independent random variables and average them together in various ways.
[00:49:33.520 --> 00:49:35.960]   You can take a simple average or more complicated average.
[00:49:35.960 --> 00:49:40.740]   And we can prove in various cases that these bell curves, these calcians emerge.
[00:49:40.740 --> 00:49:43.120]   And it is a satisfying explanation.
[00:49:43.120 --> 00:49:44.960]   Sometimes they don't.
[00:49:45.460 --> 00:49:51.880]   So, if you have many different inputs and they're all correlated in some systemic way, then you can get something very far from a bell curve show up.
[00:49:52.460 --> 00:49:54.880]   And this is also important to know when a social limit fails.
[00:49:54.880 --> 00:49:59.160]   So, universality is not a 100% reliable thing to rely on.
[00:49:59.160 --> 00:50:04.100]   That the global financial crisis was a famous example of this.
[00:50:04.100 --> 00:50:10.860]   People thought that mortgage defaults had this sort of Gaussian type behavior.
[00:50:10.860 --> 00:50:23.320]   That if you ask a population of 100,000 Americans with mortgages, ask what proportion of them would default in their mortgages, if everything was decorrelated, it would be a nice bell curve.
[00:50:23.320 --> 00:50:26.600]   And you can manage risk with options and derivatives and so forth.
[00:50:26.600 --> 00:50:29.620]   And it is a very beautiful theory.
[00:50:29.620 --> 00:50:37.840]   But if there are systemic shocks in the economy that can push everybody to default at the same time, that's very non-Gaussing behavior.
[00:50:37.840 --> 00:50:43.140]   And this wasn't fully accounted for in 2008.
[00:50:43.920 --> 00:50:48.880]   Now, I think there's some more awareness that this is a systemic risk is actually a much bigger issue.
[00:50:48.880 --> 00:50:53.920]   And just because the model is pretty and nice, it may not match reality.
[00:50:53.920 --> 00:50:59.400]   So, the mathematics of working out what models do is really important.
[00:50:59.400 --> 00:51:06.360]   But also, the science of validating when the models fit reality and when they don't.
[00:51:06.360 --> 00:51:08.240]   I mean, you need both.
[00:51:09.560 --> 00:51:21.820]   But mathematics can help because it can, for example, these central limit theorems, it tells you that if you have certain axioms like non-correlation, that if all the inputs were not correlated to each other, then you have these Gaussian behaviors and things are fine.
[00:51:21.820 --> 00:51:24.820]   It tells you where to look for weaknesses in the model.
[00:51:24.820 --> 00:51:34.500]   So, if you have a mathematical understanding of central limit theorem and someone proposes to use these Gaussian copulas or whatever to model default risk,
[00:51:35.200 --> 00:51:41.080]   So, if you're mathematically trained, you would say, okay, but what is this systemic correlation between all your inputs?
[00:51:41.080 --> 00:51:45.980]   And so, then you can ask the economists, you know, how much of a risk is that?
[00:51:45.980 --> 00:51:48.180]   And then you can go look for that.
[00:51:48.180 --> 00:51:52.200]   So, there's always this synergy between science and mathematics.
[00:51:52.760 --> 00:51:54.700]   A little bit on the topic of universality.
[00:51:54.700 --> 00:51:55.220]   Mm-hmm.
[00:51:55.220 --> 00:52:03.620]   You're known and celebrated for working across an incredible breadth of mathematics reminiscent of Hilbert a century ago.
[00:52:03.620 --> 00:52:11.980]   In fact, the great Fields Medal winning mathematician Tim Gowers has said that you are the closest thing we get to Hilbert.
[00:52:14.040 --> 00:52:15.520]   He's a colleague of yours.
[00:52:15.520 --> 00:52:15.820]   Oh, yeah.
[00:52:15.820 --> 00:52:16.520]   Good friend.
[00:52:16.520 --> 00:52:22.220]   But anyway, so you are known for this ability to go both deep and broad in mathematics.
[00:52:22.220 --> 00:52:24.480]   So, you're the perfect person to ask.
[00:52:24.480 --> 00:52:30.540]   Do you think there are threads that connect all the disparate areas of mathematics?
[00:52:30.540 --> 00:52:35.700]   Is there a kind of deep underlying structure to all of mathematics?
[00:52:36.020 --> 00:52:49.660]   There's certainly a lot of connecting threads and a lot of the progress of mathematics can be represented by taking by stories of two fields of mathematics that were previously not connected and finding connections.
[00:52:49.660 --> 00:52:54.060]   An ancient example is geometry and number theory.
[00:52:54.060 --> 00:52:57.820]   So, in the times of the ancient Greeks, these were considered different subjects.
[00:52:57.820 --> 00:53:00.140]   I mean, mathematicians worked on both.
[00:53:00.140 --> 00:53:04.520]   Euclid worked both on geometry, most famously, but also on numbers.
[00:53:06.000 --> 00:53:08.560]   But they were not really considered related.
[00:53:08.560 --> 00:53:10.540]   I mean, a little bit.
[00:53:10.540 --> 00:53:15.680]   You could say that this length was five times this length because you could take five copies of this length and so forth.
[00:53:15.680 --> 00:53:26.520]   But it wasn't until Descartes who really realized that, who developed analytical analytical geometry, that you can parameterize the plane, a geometric object, by two real numbers.
[00:53:26.520 --> 00:53:31.880]   And so, geometric problems can be turned into problems about numbers.
[00:53:33.820 --> 00:53:37.200]   And today, this feels almost trivial.
[00:53:37.200 --> 00:53:39.580]   Like, there's no content to this.
[00:53:39.580 --> 00:53:43.320]   Like, of course, you know, a plane is x, x, and y.
[00:53:43.320 --> 00:53:46.180]   Because that's what we teach, and it's internalized.
[00:53:46.500 --> 00:53:51.440]   But it was an important development that these two fields will unify.
[00:53:51.440 --> 00:53:56.020]   And this process has just gone on throughout mathematics over and over again.
[00:53:56.180 --> 00:54:01.240]   Algebra and geometry were separated, and now we have a fluid algebraic geometry that connects them, and over and over again.
[00:54:01.240 --> 00:54:04.960]   And that's certainly the type of mathematics that I enjoy the most.
[00:54:04.960 --> 00:54:08.180]   So, I think there's sort of different styles to being a mathematician.
[00:54:08.180 --> 00:54:09.920]   I think hedgehogs and foxes.
[00:54:09.920 --> 00:54:13.580]   A fox knows many things a little bit, but a hedgehog knows one thing very, very well.
[00:54:14.620 --> 00:54:17.420]   And in mathematics, there's definitely both hedgehogs and foxes.
[00:54:17.420 --> 00:54:20.940]   And then there's people who can play both roles.
[00:54:22.420 --> 00:54:27.800]   And I think ideal collaboration between mathematicians involves very, you need some diversity.
[00:54:27.800 --> 00:54:32.080]   Like a fox working with many hedgehogs or vice versa.
[00:54:32.080 --> 00:54:36.220]   But I identify mostly as a fox, certainly.
[00:54:36.220 --> 00:54:40.240]   I like arbitrage somehow.
[00:54:40.240 --> 00:54:47.280]   Like learning how one field works, learning the tricks of that field, and then going to another field, which people don't think is related.
[00:54:47.480 --> 00:54:49.200]   But I can adapt the tricks.
[00:54:49.200 --> 00:54:52.120]   So, see the connections between the fields.
[00:54:52.120 --> 00:54:52.420]   Yeah.
[00:54:52.420 --> 00:54:55.420]   So, there are other mathematicians who are far deeper than I am.
[00:54:55.420 --> 00:54:57.420]   Like, they're really hedgehogs.
[00:54:57.420 --> 00:55:02.940]   They know everything about one field, and they're much faster and more effective in that field.
[00:55:02.940 --> 00:55:04.740]   But I can give them these extra tools.
[00:55:04.740 --> 00:55:10.980]   I mean, you've said that you can be both a hedgehog and the fox, depending on the context, depending on the collaboration.
[00:55:10.980 --> 00:55:16.900]   So, can you, if it's at all possible, speak to the difference between those two ways of thinking?
[00:55:16.900 --> 00:55:18.180]   Thinking about a problem.
[00:55:18.180 --> 00:55:19.860]   Say you're encountering a new problem.
[00:55:19.860 --> 00:55:26.180]   You know, searching for the connections versus, like, very singular focus.
[00:55:26.180 --> 00:55:30.800]   I'm much more comfortable with the fox paradigm.
[00:55:30.800 --> 00:55:31.000]   Yeah.
[00:55:31.000 --> 00:55:32.680]   So, yeah.
[00:55:32.680 --> 00:55:35.780]   I like looking for analogies, narratives.
[00:55:35.780 --> 00:55:40.900]   I spend a lot of time, if there's a result, I see it in one field.
[00:55:40.900 --> 00:55:42.020]   And I like the result.
[00:55:42.020 --> 00:55:42.560]   It's a cool result.
[00:55:42.560 --> 00:55:43.360]   But I don't like the proof.
[00:55:43.360 --> 00:55:47.740]   Like, it uses types of mathematics that I'm not super familiar with.
[00:55:47.740 --> 00:55:51.720]   I often try to reprove it myself using the tools that I favor.
[00:55:51.720 --> 00:55:54.020]   Often my proof is worse.
[00:55:54.020 --> 00:56:01.380]   But by the exercise of doing so, I can say, oh, now I can see what the other proof was trying to do.
[00:56:01.380 --> 00:56:07.400]   And from that, I can get some understanding of the tools that are used in that field.
[00:56:07.400 --> 00:56:13.520]   So, it's very exploratory, doing crazy things in crazy fields and reinventing the wheel a lot.
[00:56:13.520 --> 00:56:17.720]   Whereas, the hedgehog style is, I think, much more scholarly.
[00:56:17.720 --> 00:56:19.840]   You're very knowledge-based.
[00:56:19.840 --> 00:56:23.520]   You stay up to speed on all the developments in this field.
[00:56:23.520 --> 00:56:24.740]   You know all the history.
[00:56:25.500 --> 00:56:30.300]   You have a very good understanding of exactly the strengths and weaknesses of each particular technique.
[00:56:30.300 --> 00:56:32.900]   Yeah.
[00:56:32.900 --> 00:56:38.000]   I think you'd rely a lot more on sort of calculation than sort of trying to find narratives.
[00:56:38.000 --> 00:56:40.200]   So, yeah.
[00:56:40.200 --> 00:56:41.100]   I mean, I can do that, too.
[00:56:41.100 --> 00:56:43.620]   But there are other people who are extremely good at that.
[00:56:44.140 --> 00:56:52.360]   Let's step back and maybe look at a bit of a romanticized version of mathematics.
[00:56:52.360 --> 00:57:03.360]   So, I think you've said that early on in your life, math was more like a puzzle-solving activity when you were young.
[00:57:03.360 --> 00:57:11.020]   When did you first encounter a problem or proof where you realized math can have a kind of elegance and beauty to it?
[00:57:13.020 --> 00:57:15.060]   That's a good question.
[00:57:15.060 --> 00:57:20.400]   When I came to graduate school in Princeton, so John Conway was there at the time.
[00:57:20.400 --> 00:57:21.920]   He passed away a few years ago.
[00:57:21.920 --> 00:57:27.740]   But I remember one of the very first research talks I went to was a talk by Conway on what he called extreme proof.
[00:57:27.740 --> 00:57:33.820]   So, Conway just had this amazing way of thinking about all kinds of things in a way that you wouldn't normally think of.
[00:57:33.820 --> 00:57:38.020]   So, he thought of proofs themselves as occupying some sort of space.
[00:57:38.020 --> 00:57:44.320]   So, if you want to prove something, let's say that there's infinitely many primes, there are all different proofs.
[00:57:44.320 --> 00:57:46.260]   But you could rank them in different axes.
[00:57:46.260 --> 00:57:50.820]   Like, some proofs are elegant, some proofs are long, some proofs are elementary, and so forth.
[00:57:51.540 --> 00:57:56.060]   So, the space of all proofs itself has some sort of shape.
[00:57:56.060 --> 00:58:01.080]   And so, he was interested in extreme points of this shape.
[00:58:01.080 --> 00:58:08.360]   Like, out of all these proofs, what is one that is the shortest at the expense of everything else, or the most elementary, or whatever?
[00:58:09.420 --> 00:58:17.140]   And so, he gave some examples of well-known theorems, and then he would give what he thought was the extreme proof in these different aspects.
[00:58:17.140 --> 00:58:20.380]   I just found that really eye-opening.
[00:58:23.580 --> 00:58:33.040]   It's not just getting a proof for a result was interesting, but once you have that proof, trying to optimize it in various ways.
[00:58:33.040 --> 00:58:38.900]   That proofing itself had some craftsmanship to it.
[00:58:40.360 --> 00:58:50.640]   It's something for my writing style, that, you know, like when you do your math assignments, and as you undergraduate, your homework, and so forth, you're sort of encouraged to just write down any proof that works, okay?
[00:58:50.640 --> 00:58:54.020]   And hand it in, as long as it gets a tick mark, you move on.
[00:58:54.020 --> 00:59:01.540]   But if you want your results to actually be influential and be read by people, it can't just be correct.
[00:59:01.540 --> 00:59:09.600]   It should also be a pleasure to read, you know, motivated, be adaptable to generalize to other things.
[00:59:10.400 --> 00:59:12.600]   It's the same in many other disciplines, like coding.
[00:59:12.600 --> 00:59:14.980]   There's a lot of analogies between math and coding.
[00:59:14.980 --> 00:59:16.860]   I like analogies, if you haven't noticed.
[00:59:16.860 --> 00:59:24.420]   But, you know, like you can code something spaghettico that works for a certain task, and it's quick and dirty and it works.
[00:59:24.420 --> 00:59:33.080]   But there's lots of good principles for writing code well, so that a little book can use it, build upon it, and so on, and has fewer bugs and whatever.
[00:59:33.080 --> 00:59:36.880]   And there's similar things with mathematics.
[00:59:37.600 --> 00:59:41.340]   Yeah, first of all, there's so many beautiful things there.
[00:59:41.340 --> 00:59:46.320]   And Kama is one of the great minds in mathematics ever, and computer science.
[00:59:46.320 --> 00:59:49.980]   Just even considering the space of proofs.
[00:59:49.980 --> 00:59:50.200]   Yeah.
[00:59:50.520 --> 00:59:55.160]   And saying, okay, what does this space look like, and what are the extremes?
[00:59:55.160 --> 00:59:58.140]   Like you mentioned, coding is an analogy.
[00:59:58.140 --> 01:00:02.020]   It's interesting, because there's also this activity called Code Golf.
[01:00:02.020 --> 01:00:02.700]   Oh, yeah, yeah, yeah.
[01:00:02.740 --> 01:00:11.980]   Which I also find beautiful and fun, where people use different programming languages to try to write the shortest possible program that accomplishes a particular task.
[01:00:11.980 --> 01:00:12.340]   Yeah.
[01:00:12.500 --> 01:00:14.260]   And I believe there's even competitions on this.
[01:00:14.260 --> 01:00:15.240]   Yeah, yeah, yeah, yeah.
[01:00:15.240 --> 01:00:26.880]   And it's also a nice way to stress test not just the sort of the programs, or in this case, the proofs, but also the different languages.
[01:00:26.880 --> 01:00:31.460]   Maybe that's a different notation or whatever to use to accomplish a different task.
[01:00:31.580 --> 01:00:32.220]   Yeah, you learn a lot.
[01:00:32.220 --> 01:00:42.420]   I mean, it may seem like a frivolous exercise, but it can generate all these insights, which, if you didn't have this artificial objective to pursue, you might not see.
[01:00:42.940 --> 01:00:48.140]   What do you use the most beautiful or elegant equation in mathematics?
[01:00:48.140 --> 01:00:53.500]   I mean, one of the things that people often look to in beauty is the simplicity.
[01:00:53.500 --> 01:01:04.860]   So, if you look at E equals mc squared, so when a few concepts come together, that's why the Euler identity is often considered the most beautiful equation in mathematics.
[01:01:04.860 --> 01:01:08.500]   Do you find beauty in that one, in the Euler identity?
[01:01:08.560 --> 01:01:12.900]   Yeah, well, as I said, I mean, what I find most appealing is connections between different things.
[01:01:12.900 --> 01:01:16.540]   So, if the pi i equals minus one.
[01:01:16.540 --> 01:01:19.840]   So, yeah, people are like, oh, this is all the fundamental constants.
[01:01:19.840 --> 01:01:21.980]   Okay, that's, I mean, that's cute.
[01:01:21.980 --> 01:01:28.440]   But to me, so the exponential function was to measure exponential growth.
[01:01:28.440 --> 01:01:37.420]   So, the compound interest or decay, anything which is continuously growing, continuously decreasing, growth and decay or dilation or contraction is modeled by the exponential function.
[01:01:37.420 --> 01:01:42.500]   Whereas pi comes around from circles and rotation, right?
[01:01:42.500 --> 01:01:46.380]   If you want to rotate a needle, for example, 100 degrees, you need to rotate by pi radians.
[01:01:46.380 --> 01:01:53.440]   And i, complex numbers, represents the swapping between one imaginary axis, so a 90 degree rotation, so a change in direction.
[01:01:53.860 --> 01:01:58.960]   So, the exponential function represents growth and decay in the direction that you already are.
[01:01:58.960 --> 01:02:09.600]   When you stick an i in the exponential, now it's, instead of motion in the same direction as your current position, it's motion as a right angle as your current position, so rotation.
[01:02:11.140 --> 01:02:17.480]   And then, so, if the pi i equals minus one tells you that if you rotate for a time pi, you end up at the other direction.
[01:02:17.480 --> 01:02:25.380]   So, it unifies geometry through dilation and exponential growth, or dynamics, through this act of complexification, rotation by i.
[01:02:25.380 --> 01:02:32.060]   So, it connects together all these tools in mathematics, you know, dynamics, geometry, and complex, and the complex numbers.
[01:02:32.220 --> 01:02:37.220]   They're all considered almost, yeah, they're all next-door neighbors in mathematics, because of this identity.
[01:02:37.220 --> 01:02:46.760]   Do you think the thing you mentioned is cute, the collision of notations from these disparate fields, is just a frivolous side effect?
[01:02:46.760 --> 01:02:50.700]   Or do you think there is legitimate, like, value in one notation?
[01:02:50.700 --> 01:02:54.360]   All our old friends come together in the night.
[01:02:54.360 --> 01:02:57.200]   Well, it's confirmation that you have the right concepts.
[01:02:58.360 --> 01:03:03.360]   So, when you first study anything, you have to measure things and give them names.
[01:03:03.360 --> 01:03:11.540]   And initially, sometimes, because your model is, again, too far off from reality, you give the wrong things the best names.
[01:03:11.540 --> 01:03:14.480]   And you only find out later what's really important.
[01:03:14.480 --> 01:03:16.000]   Physicists can do this sometimes.
[01:03:16.000 --> 01:03:17.820]   I mean, but it turns out, okay.
[01:03:17.820 --> 01:03:23.340]   So, actually, with physics, so E equals mc squared, okay, so one of the big things was the E, right?
[01:03:23.340 --> 01:03:32.340]   So, when Aristotle first came up with his laws of motion, and then Galileo and Newton and so forth, you know, they saw the things they could measure.
[01:03:32.340 --> 01:03:34.940]   They could measure mass and acceleration and force and so forth.
[01:03:34.940 --> 01:03:40.160]   And so, Newtonian mechanics, for example, E equals mA was the famous Newton's second law of motion.
[01:03:40.160 --> 01:03:41.600]   So, those were the primary objects.
[01:03:41.600 --> 01:03:43.640]   So, they gave them the central billing in the theory.
[01:03:44.420 --> 01:03:50.580]   It was only later, after people started analyzing these equations, that there always seemed to be these quantities that were conserved.
[01:03:50.580 --> 01:03:52.780]   So, in particular, momentum and energy.
[01:03:52.780 --> 01:03:57.560]   And it's not obvious that things happen in energy.
[01:03:57.560 --> 01:04:01.160]   Like, it's not something you can directly measure the same way you can measure mass and velocity.
[01:04:01.160 --> 01:04:04.500]   But over time, people realized that this was actually a really fundamental concept.
[01:04:05.220 --> 01:04:14.520]   Hamilton, eventually, in the 19th century, reformulated Newton's laws of physics into what's called Hamiltonian mechanics, where the energy, which is now called the Hamiltonian, was the dominant object.
[01:04:14.520 --> 01:04:21.520]   Once you know how to measure the Hamiltonian of any system, you can describe completely the dynamics, like what happens to all the states.
[01:04:21.520 --> 01:04:26.300]   It really was a central actor, which was not obvious initially.
[01:04:28.480 --> 01:04:33.940]   And this helped, actually, this change of perspective really helped when quantum mechanics came along.
[01:04:33.940 --> 01:04:46.900]   Because the early physicists who studied quantum mechanics, they had a lot of trouble trying to adapt their Newtonian thinking, because everything was a particle and so forth, to quantum mechanics.
[01:04:46.900 --> 01:04:48.520]   Because everything was a wave.
[01:04:48.520 --> 01:04:50.320]   It just looked really, really weird.
[01:04:50.320 --> 01:04:53.300]   Like, you ask, what is the quantum vision of E equals mA?
[01:04:53.300 --> 01:04:55.980]   And it's really, really hard to give an answer to that.
[01:04:56.900 --> 01:05:07.580]   But it turns out that the Hamiltonian, which was so secretly behind the scenes in classical mechanics, also is the key object in quantum mechanics.
[01:05:07.580 --> 01:05:09.360]   There's also an object called a Hamiltonian.
[01:05:09.360 --> 01:05:10.840]   It's a different type of object.
[01:05:10.840 --> 01:05:12.740]   It's what's called an operator rather than a function.
[01:05:12.740 --> 01:05:17.120]   But again, once you specify it, you specify the entire dynamics.
[01:05:17.120 --> 01:05:22.400]   So there's something called Schrodinger's equation that tells you exactly how quantum systems evolve once you have a Hamiltonian.
[01:05:22.400 --> 01:05:25.800]   So side by side, they look completely different objects.
[01:05:26.320 --> 01:05:29.660]   One involves particles, one involves waves, and so forth.
[01:05:29.660 --> 01:05:36.280]   But with this centrality, you could start actually transferring a lot of intuition and facts from classical mechanics to quantum mechanics.
[01:05:36.280 --> 01:05:40.080]   So, for example, in classical mechanics, there's this thing called Noether's theorem.
[01:05:40.080 --> 01:05:43.860]   Every time there's a symmetry in a physical system, there is a conservation law.
[01:05:43.860 --> 01:05:46.400]   So the laws of physics are translation invariant.
[01:05:46.400 --> 01:05:49.740]   Like, if I move 10 steps to the left, I experience the same laws of physics as if I was here.
[01:05:50.260 --> 01:05:53.100]   And that corresponds to conservation of momentum.
[01:05:53.100 --> 01:05:57.520]   If I turn around by some angle, again, I experience the same laws of physics.
[01:05:57.520 --> 01:05:59.520]   This corresponds to the conservation of angular momentum.
[01:05:59.520 --> 01:06:03.500]   If I wait for 10 minutes, I still have the same laws of physics.
[01:06:04.000 --> 01:06:05.200]   So there's time translation invariants.
[01:06:05.200 --> 01:06:06.660]   This corresponds to the law of conservation of energy.
[01:06:06.660 --> 01:06:11.380]   So there's this fundamental connection between symmetry and conservation.
[01:06:11.380 --> 01:06:14.500]   And that's also true in quantum mechanics.
[01:06:14.500 --> 01:06:19.800]   Even though the equations are completely different, but because they're both coming from the Hamiltonian, the Hamiltonian controls everything.
[01:06:20.500 --> 01:06:24.260]   Every time the Hamiltonian has a symmetry, the equations will have a conservation law.
[01:06:24.260 --> 01:06:31.820]   So once you have the right language, it actually makes things a lot cleaner.
[01:06:31.820 --> 01:06:38.100]   One of the points why we can't unify quantum mechanics and general relativity yet, we haven't figured out what the fundamental objects are.
[01:06:38.100 --> 01:06:42.720]   Like, for example, we have to give up the notion of space and time being these almost Euclidean-type spaces.
[01:06:43.380 --> 01:06:51.680]   We kind of know that at very tiny scales, there's going to be quantum fluctuations, there's a space-time foam.
[01:06:51.680 --> 01:06:57.200]   And trying to use Cartesian coordinates X, Y, Z, it's a non-starter.
[01:06:57.200 --> 01:07:00.440]   But we don't know what to replace it with.
[01:07:00.440 --> 01:07:05.980]   We don't actually have the mathematical concepts.
[01:07:05.980 --> 01:07:08.460]   The analog of the Hamiltonian that sort of organized everything.
[01:07:08.460 --> 01:07:11.640]   Does your gut say that there is a theory of everything?
[01:07:11.640 --> 01:07:19.100]   So this is even possible to unify, to find this language that unifies general relativity and quantum mechanics?
[01:07:19.100 --> 01:07:20.120]   I believe so.
[01:07:20.120 --> 01:07:25.040]   I mean, the history of physics has been that of unification, much like mathematics over the years.
[01:07:25.040 --> 01:07:28.780]   Electricity and magnetism were separate theories, and then Maxwell unified them.
[01:07:28.780 --> 01:07:33.660]   Newton unified the motions of the heavens for the motions of objects on the Earth and so forth.
[01:07:33.660 --> 01:07:35.660]   So it should happen.
[01:07:36.020 --> 01:07:44.460]   It's just that the, again, to go back to this model of observations and theory, part of our problem is that physics is a victim of its own success.
[01:07:44.460 --> 01:07:51.460]   That our two big theories of physics, general relativity and quantum mechanics, are so good now.
[01:07:51.460 --> 01:07:55.600]   So together, they cover 99.9% of sort of all the observations we can make.
[01:07:56.320 --> 01:08:10.680]   And you have to either go to extremely insane particle accelerations or the early universe or things that are really hard to measure in order to get any deviation from either of these two theories to the point where you can actually figure out how to combine them together.
[01:08:11.880 --> 01:08:18.420]   But I have faith that we've been doing this for centuries, and we've made progress before, and there's no reason why we should stop.
[01:08:18.420 --> 01:08:24.060]   Do you think you will be a mathematician that develops a theory of everything?
[01:08:24.060 --> 01:08:35.360]   What often happens is that when the physicists need some theory of mathematics, there's often some precursor that the mathematicians worked out earlier.
[01:08:35.360 --> 01:08:45.520]   So when Einstein started realizing that space was curved, he went to some mathematician and asked, you know, is there some theory of curved space that the mathematicians already came up with that could be useful?
[01:08:45.520 --> 01:08:48.460]   And he said, oh, yeah, I think Riemann came up with something.
[01:08:48.460 --> 01:09:01.080]   And so, yeah, Riemann had developed Riemannian geometry, which is precisely a theory of spaces that are curved in various general ways, which turned out to be almost exactly what was needed for Einstein's theory.
[01:09:01.080 --> 01:09:04.060]   This is going back to Wigner's unreasonable effectiveness on mathematics.
[01:09:04.060 --> 01:09:11.800]   I think the theories that work well for explaining the universe tend to also involve the same mathematical objects that work well to solve mathematical problems.
[01:09:11.800 --> 01:09:16.820]   Ultimately, they're just sort of both ways of organizing data in useful ways.
[01:09:16.820 --> 01:09:22.980]   It just feels like you might need to go to some weird land that's very hard to intuit.
[01:09:22.980 --> 01:09:25.080]   Like, you know, you have like string theory.
[01:09:25.080 --> 01:09:27.640]   Yeah, that was a leading candidate for many decades.
[01:09:27.640 --> 01:09:32.960]   I think it's slowly falling out of fashion because it's not matching experiment.
[01:09:33.220 --> 01:09:37.820]   So, one of the big challenges, of course, like you said, is experiment is very tough.
[01:09:37.820 --> 01:09:38.220]   Yes.
[01:09:38.220 --> 01:09:41.720]   Because of how effective both theories are.
[01:09:41.720 --> 01:09:49.760]   But the other is like, just, you know, you're talking about, you're not just deviating from space-time.
[01:09:49.760 --> 01:09:52.180]   You're going into like some crazy number of dimensions.
[01:09:52.180 --> 01:09:59.360]   You're doing all kinds of weird stuff that, to us, we've gone so far from this flat Earth that we started at, like you mentioned.
[01:09:59.360 --> 01:10:10.280]   Now we're just, it's very hard to use our limited descendants of cognition to intuit what that reality really is like.
[01:10:10.280 --> 01:10:11.720]   This is why analogies are so important.
[01:10:11.720 --> 01:10:16.620]   You know, I mean, so yeah, the round Earth is not intuitive because we're stuck on it.
[01:10:17.100 --> 01:10:21.220]   But, you know, but round objects in general, we have pretty good intuition over.
[01:10:21.220 --> 01:10:23.680]   And we have intuition about light works and so forth.
[01:10:23.680 --> 01:10:36.100]   And like, it's actually a good exercise to actually work out how eclipses and phases of the sun and the moon and so forth can be really easily explained by round Earth and round moon, you know, and models.
[01:10:36.100 --> 01:10:43.020]   And you can just take, you know, a basketball and a golf ball and a light source and actually do these things yourself.
[01:10:43.020 --> 01:10:47.120]   So the intuition is there, but you have to transfer it.
[01:10:47.120 --> 01:10:55.020]   That is a big leap intellectually for us to go from flat to round Earth because, you know, our life is mostly lived in flat land.
[01:10:55.340 --> 01:10:58.200]   To load that information and we're all like, take it for granted.
[01:10:58.200 --> 01:11:03.880]   We take so many things for granted because science has established a lot of evidence for this kind of thing.
[01:11:03.880 --> 01:11:07.320]   But, you know, we're in a round rock.
[01:11:07.320 --> 01:11:08.360]   Yeah.
[01:11:08.360 --> 01:11:09.700]   Flying through space.
[01:11:09.700 --> 01:11:10.120]   Yeah.
[01:11:10.120 --> 01:11:10.500]   Yeah.
[01:11:10.500 --> 01:11:11.560]   That's a big leap.
[01:11:11.560 --> 01:11:15.600]   And you have to take a chain of those leaps the more and more and more we progress.
[01:11:15.600 --> 01:11:15.980]   Right.
[01:11:15.980 --> 01:11:16.360]   Yeah.
[01:11:16.360 --> 01:11:24.640]   So modern science is maybe, again, a victim of its own success is that, you know, in order to be more accurate, it has to move further and further away from your initial intuition.
[01:11:24.780 --> 01:11:31.100]   And so for someone who hasn't gone through the whole process of science education, it looks more and more suspicious because of that.
