
[00:00:00.040 --> 00:00:09.560]   HIM
[00:37:23.380 --> 00:37:23.380]   I'm not saying that you should be able to get a job.
[00:37:23.380 --> 00:37:23.380]   I'm not saying that you should be able to get a job.
[00:37:23.380 --> 00:37:23.380]   I'm not saying that you should be able to get a job.
[00:37:23.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:37:53.400]   I'm not saying that you should be able to get a job.
[00:37:53.400 --> 00:38:23.420]  ,
[00:38:23.420 --> 00:38:23.420]   I'm not saying that you should be able to get a job.
[00:38:23.420 --> 00:38:23.420]   I'm not saying that you should be able to get a job.
[00:38:23.420 --> 00:38:23.420]   I'm not saying that you should be able to get a job.
[00:38:23.420 --> 00:38:23.420]   I'm not saying that you should be able to get a job.
[00:38:23.420 --> 00:38:23.420]   I'm not saying that you should be able to get a job.
[00:38:23.420 --> 00:38:23.420]   I'm not saying that you should be able to get a job.
[00:38:23.420 --> 00:38:23.420]   I'm not saying that you should be able to get a job.
[00:38:23.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.440 --> 00:38:53.440]   I'm not saying that you should be able to get a job.
[00:38:53.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.460 --> 00:39:23.460]   I'm not saying that you should be able to get a job.
[00:39:23.500 --> 00:39:53.480]  ,
[00:39:53.480 --> 00:39:53.480]   It's enough money to do anything, but not enough money to do nothing.
[00:39:53.480 --> 00:39:53.480]   It's enough money to do anything, but not enough money to do nothing.
[00:39:53.480 --> 00:39:53.480]   It's enough money to do anything, but not enough money to do nothing.
[00:39:53.480 --> 00:39:53.480]   It's enough money to do anything, but not enough money to do nothing.
[00:39:53.480 --> 00:39:53.480]   It's enough money to do anything, but not enough money to do nothing.
[00:39:53.480 --> 00:39:53.480]   It's enough money to do anything, but not enough money to do nothing.
[00:39:53.480 --> 00:39:53.480]   It's enough money to do anything, but not enough money to do nothing.
[00:39:53.480 --> 00:39:53.480]   It's enough money to do anything, but not enough money to do nothing.
[00:39:53.480 --> 00:39:53.480]   It's enough money to do anything, but not enough money to do nothing.
[00:39:53.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:23.500 --> 00:40:23.500]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:40:53.520 --> 00:40:53.520]   I'm not saying that you should be able to get a job.
[00:41:23.540 --> 00:41:23.540]  obedie: "I want to be able to get a job."
[00:41:23.540 --> 00:41:23.540]   I'm not saying that you should be able to get a job.
[00:41:23.540 --> 00:41:23.540]   It's not like you can get a job and you can't get a job.
[00:41:23.540 --> 00:41:23.540]   It's not like you can get a job and you can't get a job.
[00:41:23.540 --> 00:41:23.540]   It's not like you can get a job and you can't get a job.
[00:41:23.540 --> 00:41:23.540]   It's not like you can get a job and you can't get a job.
[00:41:23.540 --> 00:41:23.540]   It's not like you can get a job and you can't get a job.
[00:41:23.540 --> 00:41:23.540]   It's not like you can get a job and you can't get a job.
[00:41:23.540 --> 00:41:23.540]   It's not like you can't get a job.
[00:41:23.540 --> 00:41:23.540]   It's not like you can't get a job.
[00:41:23.540 --> 00:41:23.540]   It's not like you can't get a job.
[00:41:23.540 --> 00:41:23.540]   It's not like you can't get a job.
[00:41:23.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.560 --> 00:41:53.560]   It's not like you can't get a job.
[00:41:53.600 --> 00:42:03.380]   constru stacked
[00:42:03.380 --> 00:42:03.960]  가 like even�
[00:42:03.960 --> 00:42:04.420]  . Z. Charles. pick the things that can,,,,,,,, яр en
[00:42:04.420 --> 00:42:22.200]   cabbage está his Men's belongぜ pred thôi iba llegelesompro only merit HKD tys drum제� places
[00:42:22.200 --> 00:42:22.820]   ¡. And, -D, and, and, and, and, and, and, and, and, home, and, and, at,`,Bye,해야, Qing,:, Bert, 건강 нов, became, I was, loaded the writing, satisfy今年 with, centigradee, bond, sentimental п张,
[00:44:49.320 --> 00:45:15.060]   end
[00:45:15.060 --> 00:45:18.180]  好的 Two. I don,,,,,, leadership costlyר perch文 numb 그게 like love didn lleg®G Z A C In The Oldét The horrible and the保 that is the and the't the attend the er the but the is the is the is the--where
[00:45:18.920 --> 00:45:22.760]   Э
[00:45:22.760 --> 00:45:30.240]   Hm I,
[00:45:30.240 --> 00:45:44.700]  音cle on just the Z, the, the, but, well, but, I might be slot. But I might be sid. But I might keep cash. But I might keep. I might be. I might. While. Quile. Qu Teen.G.N. De.D.ни.лушай. Several.
[00:45:44.700 --> 00:45:48.300]   for the money.
[00:45:48.500 --> 00:46:18.080]   Could be college education or college degree, right? That's one option. Could be a cheap little rental house for me to live in. Could be a new car. Could be anything. But I wouldn't mind using those accounts. I just don't want to prioritize those accounts and not have any excess money. So I think you need ten grand in your savings account. And then you need to be increasing that number while you're also increasing the other accounts. I know that's a wishy washy answer. I just want to be responsible with my language. And I'm not going to be a big fan of that.
[00:46:18.080 --> 00:46:18.080]   I just want to be responsible with my language. And I'm not going to be a big fan of that.
[00:46:18.080 --> 00:46:18.080]   I just want to be responsible with my language. And I'm not going to be a big fan of that.
[00:46:18.080 --> 00:46:18.080]   And I'm not going to be a big fan of that.
[00:46:18.080 --> 00:46:48.080]  ,
[00:46:48.080 --> 00:46:48.100]   And I'm not going to be a big fan of that.
[00:46:48.100 --> 00:46:48.100]   And I'm not going to be a big fan of that.
[00:46:48.100 --> 00:46:48.100]   And I'm not going to be a big fan of that.
[00:46:48.100 --> 00:46:48.100]   And I'm not going to be a big fan of that.
[00:46:48.100 --> 00:46:48.100]   And I'm not going to be a big fan of that.
[00:46:48.100 --> 00:46:48.100]   And I'm not going to be a big fan of that.
[00:46:48.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:18.120]   I'm not going to be a big fan of that.
[00:47:18.120 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.140 --> 00:47:48.140]   I'm not going to be a big fan of that.
[00:47:48.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:18.160]   I'm not going to be a big fan of that.
[00:48:18.160 --> 00:48:48.180]   I'm not going to be a big fan of that.
[00:48:48.180 --> 00:48:48.180]   I'm not going to be a big fan of that.
[00:48:48.180 --> 00:48:48.180]   I'm not going to be a big fan of that.
[00:48:48.180 --> 00:48:48.180]   I'm not going to be a big fan of that.
[00:48:48.180 --> 00:48:48.180]   I'm not going to be a big fan of that.
[00:48:48.180 --> 00:48:48.180]   I'm not going to be a big fan of that.
[00:48:48.180 --> 00:48:48.180]   I'm not going to be a big fan of that.
[00:48:48.180 --> 00:48:48.180]   I'm not going to be a big fan of that.
[00:48:48.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:18.200]   I'm not going to be a big fan of that.
[00:49:18.200 --> 00:49:48.220]   I'm not going to be a big fan of that.
[00:49:48.220 --> 00:49:48.220]   I'm not going to be a big fan of that.
[00:49:48.220 --> 00:49:48.220]   I'm not going to be a big fan of that.
[00:49:48.220 --> 00:49:48.220]   I'm not going to be a big fan of that.
[00:49:48.220 --> 00:49:48.220]   I'm not going to be a big fan of that.
[00:49:48.220 --> 00:49:48.220]   I'm not going to be a big fan of that.
[00:49:48.220 --> 00:49:48.220]   I'm not going to be a big fan of that.
[00:49:48.220 --> 00:49:48.220]   I'm not going to be a big fan of that.
[00:49:48.220 --> 00:49:48.220]   I'm not going to be a big fan of that.
[00:49:48.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:18.240]   I'm not going to be a big fan of that.
[00:50:18.240 --> 00:50:48.260]   I'm not going to be a big fan of that.
[00:50:48.260 --> 00:50:48.260]   I'm not going to be a big fan of that.
[00:50:48.260 --> 00:50:48.260]   I'm not going to be a big fan of that.
[00:50:48.260 --> 00:50:48.260]   I'm not going to be a big fan of that.
[00:50:48.260 --> 00:50:48.260]   I'm not going to be a big fan of that.
[00:50:48.260 --> 00:50:48.260]   I'm not going to be a big fan of that.
[00:50:48.260 --> 00:50:48.260]   I'm not going to be a big fan of that.
[00:50:48.260 --> 00:50:48.260]   I'm not going to be a big fan of that.
[00:50:48.260 --> 00:50:48.260]   I'm not going to be a big fan of that.
[00:50:48.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.280 --> 00:51:18.280]   We're not going to be a big fan of that.
[00:51:18.320 --> 00:51:29.560]  't

