
[00:00:00.000 --> 00:00:07.000]   From a net worth of less than zero at the age of 27 to financially independent at the age of 40
[00:22:27.000 --> 00:22:40.000]   But the problem with that strategy for me and what eventually led me to dividend growth investing is that the income that index funds provide are typically very low.
[00:22:40.000 --> 00:22:44.000]   The S&P 500 yield is like around 1.8 percent right now.
[00:22:44.000 --> 00:22:57.000]   So if you're looking to live solely off of the income your portfolio generates, 1.8 percent, that's going to require a pretty substantial capital base in which to just live off that income.
[00:22:57.000 --> 00:23:00.000]   So at that point, you're either doing one of two things.
[00:23:00.000 --> 00:23:14.000]   You're either working for a very long time to build up the capital necessary, the principal necessary to invest such a low yield or, excuse me, withdraw such a low yield, or B, you're -- what was my point there?
[00:23:14.000 --> 00:23:16.000]   Invading principal.
[00:23:16.000 --> 00:23:22.000]   Or, B, you're withdrawing some of the principal down, excuse me, which leads me to the 4 percent safe withdrawal rule.
[00:23:22.000 --> 00:23:25.000]   There was a study done a while ago called the Trinity Study.
[00:23:25.000 --> 00:23:34.000]   It's since been updated where basically what they recommend is withdrawing no more than 4 percent to create a sustainable withdrawal rate over the course of a 30-year retirement.
[00:23:34.000 --> 00:23:36.000]   And I wrote an article on that not long ago.
[00:23:36.000 --> 00:23:48.000]   The problem with the 4 percent withdrawal rate, which is assuming, again, you're withdrawing basically the gap between the yield of the index and the 4 percent, which would be, what, about 2.2 percent right now.
[00:23:48.000 --> 00:23:52.000]   The problem with that is that there is a failure rate in there.
[00:23:52.000 --> 00:23:56.000]   People think that you can just withdraw 4 percent and just for inflation for the rest of your life and forget it.
[00:23:56.000 --> 00:23:59.000]   But there are failures in that model.
[00:23:59.000 --> 00:24:04.000]   So you have to kind of ask yourself, am I okay with a slight percentage of failure?
[00:24:04.000 --> 00:24:12.000]   Am I okay with a 3 or 5 or 10 or 20 percent failure rate, depending on how aggressive I am and what percentage I have to stocks and bonds?
[00:24:12.000 --> 00:24:18.000]   So I kind of ask myself that question, especially when I'm talking about retiring by 40.
[00:24:18.000 --> 00:24:23.000]   That's my whole goal in life is to retire by 40 years old or to become financially independent by 40 years old.
[00:24:23.000 --> 00:24:27.000]   And the Trinity Study, when they talk about the 4 percent withdrawal rate, it was done over a 30-year period.
[00:24:27.000 --> 00:24:29.000]   So that puts me about 70 years old.
[00:24:29.000 --> 00:24:31.000]   I hope to live longer than that.
[00:24:31.000 --> 00:24:32.000]   I don't know.
[00:24:32.000 --> 00:24:35.000]   I'm not guaranteed anything, but I hope to live longer than that.
[00:24:35.000 --> 00:24:40.000]   So when you start modeling that out even further, the numbers become even more unclear.
[00:24:40.000 --> 00:24:48.000]   So I ask myself, do I want -- am I okay with any type of failure at all?
[00:24:48.000 --> 00:24:49.000]   And I wasn't.
[00:24:49.000 --> 00:24:53.000]   So that eventually led me to dividend investing through a number of different ways.
[00:24:53.000 --> 00:25:08.000]   But again, kind of talking back to Warren Buffett, when I started looking at Warren Buffett and what he started doing as he got older and once he started to really generate some serious wealth for himself and Berkshire Hathaway, was he started investing in companies that are high-quality companies.
[00:25:08.000 --> 00:25:31.000]   And what I happened to find was this isn't always true, but when you look at the majority of high-quality companies, Fortune 500 companies or basically the top 40 or 50 companies in the world -- and again, I'm talking about companies that are worth $100 billion, $200 billion, $300 billion, $400 billion -- almost all of them pay dividends, and they typically increase their dividends year after year after year to shareholders because shareholders are the owners of the company.
[00:25:31.000 --> 00:25:33.000]   These are publicly traded companies.
[00:25:33.000 --> 00:25:37.000]   So as shareholders, we cumulatively own the company.
[00:25:37.000 --> 00:25:42.000]   So I started to look at that, and I started to say, wow, these companies all pay dividends.
[00:25:42.000 --> 00:25:49.000]   And I started to look at the yields of these companies, and these yields were far in excess of what these index funds offered.
[00:25:49.000 --> 00:25:53.000]   So we're talking about yields of 2.5%, 3%, 4%, 4.5%.
[00:25:53.000 --> 00:26:18.000]   So I started to look at that and say, wow, if I'm getting 3% or 4% in dividends on my portfolio, that means that, A, I'll need a lot less capital in order to live off my portfolio because we just doubled the yield of the portfolio, and, B, I won't have to work nearly as long, and, C, the principle itself that the underlying equity in these companies, I don't need to withdraw.
[00:26:18.000 --> 00:26:20.000]   I can just let that continue to grow and grow and grow.
[00:26:20.000 --> 00:26:32.000]   So if I own 100 or 200 or 300 shares of Johnson & Johnson, I can just live off the dividends that Johnson & Johnson provides me as an owner and let those 200, 300, 400 shares grow and grow and grow over time and let the dividend income organically grow by itself.
[00:26:32.000 --> 00:26:34.000]   I don't need to sell shares in order to live.
[00:26:34.000 --> 00:26:37.000]   And that's kind of the eureka moment for me.
[00:26:37.000 --> 00:26:38.000]   That's what happened.
[00:26:38.000 --> 00:26:41.000]   I started to look at that, and I said, wow, index investing seems great.
[00:26:41.000 --> 00:26:49.000]   You're basically going to get market rate returns minus the very tiny fees that the index funds charge you, but you're basically getting the market.
[00:26:49.000 --> 00:26:56.000]   But the income that they can organically generate for you via just the yield, frankly, is just not enough for most people.
[00:26:56.000 --> 00:26:58.000]   So you're going to have to sell off assets.
[00:26:58.000 --> 00:27:11.000]   And whether you're comfortable with slowly withdrawing your assets over time and introducing even a very small percentage or even a small failure rate in there, it's just something you have to ask yourself if you're comfortable.
[00:27:11.000 --> 00:27:13.000]   So that's what really led me to dividend growth investing.
[00:27:13.000 --> 00:27:18.000]   I started to look at the organic income my portfolio can provide or generate.
[00:27:18.000 --> 00:27:23.000]   And if I can live solely off that, what I look at it as or what I've kind of compared it to is a tree.
[00:27:23.000 --> 00:27:29.000]   My portfolio is a tree, and each branch off that tree is a stock, is a position, is a company I'm invested in.
[00:27:29.000 --> 00:27:34.000]   And my portfolio right now has 51 branches or 51 companies I'm invested in.
[00:27:34.000 --> 00:27:40.000]   So we're talking about Coca-Cola, Johnson & Johnson, Procter & Gamble, ExxonMobil, Unilever, all these businesses.
[00:27:40.000 --> 00:27:48.000]   And every branch produces fruit every quarter or month or semi-annually or annually, depending on the dividend schedule of these companies.
[00:27:48.000 --> 00:27:55.000]   And all I do is I pluck the fruit, and then that branch grows more fruit the next quarter or the next six months or whatever.
[00:27:55.000 --> 00:27:59.000]   Now, right now what I'm doing is I'm taking that fruit and growing more branches with it.
[00:27:59.000 --> 00:28:03.000]   I'm reinvesting that dividend income and growing the tree and growing the branches.
[00:28:03.000 --> 00:28:06.000]   But eventually I'm going to just pluck that fruit and live off of it.
[00:28:06.000 --> 00:28:08.000]   That's what's going to sustain my life.
[00:28:08.000 --> 00:28:16.000]   Now, the other strategy, index investing, you're cutting off little portions of that branch, those branches off the tree.
[00:28:16.000 --> 00:28:20.000]   And what you're hoping is that the branches grow faster than you can cut them down.
[00:28:20.000 --> 00:28:22.000]   Whether or not they do that, I don't know.
[00:28:22.000 --> 00:28:28.000]   When the Trinity study came out, it used the last, the historical stock market as a proxy for the future.
[00:28:28.000 --> 00:28:30.000]   Whether or not the future acts anything like the past, I don't know.
[00:28:30.000 --> 00:28:36.000]   Again, even using the past, there were some failure rates in there, and we don't know what's going to happen over the next 50, 60 years.
[00:28:36.000 --> 00:28:42.000]   But I do know that the odds are very good that Coca-Cola is going to continue to sell beverages all around the world.
[00:28:42.000 --> 00:28:44.000]   People have to drink something to sustain life.
[00:28:44.000 --> 00:28:49.000]   You can argue that water out of your tap is free, but water has been free for a long time now.
[00:28:49.000 --> 00:28:54.000]   People continue to buy Powerade and orange juice and Coke and everything else that they sell.
[00:28:54.000 --> 00:29:00.000]   So the odds are good that these companies are continuing to grow and sell more products and sell more services over time.
[00:29:00.000 --> 00:29:02.000]   And with that, their dividends are also going to continue to grow.
[00:29:02.000 --> 00:29:04.000]   So that's kind of what's happening.
[00:29:04.000 --> 00:29:13.000]   And speaking of growing dividends, the fruit I was talking about, not only do I pluck it off the branches, but the dividend income, the fruit actually grows over time.
[00:29:13.000 --> 00:29:18.000]   Like Johnson & Johnson, for instance, they've been growing their dividends for over 50 years.
[00:29:18.000 --> 00:29:22.000]   So for the last five decades, that fruit got bigger and bigger and bigger.
[00:29:22.000 --> 00:29:25.000]   So it started out as maybe a grape and is now a grapefruit.
[00:29:25.000 --> 00:29:27.000]   So that stuff grows all by itself.
[00:29:27.000 --> 00:29:29.000]   So the inflation protection is built right in.
[00:29:29.000 --> 00:29:33.000]   With the Trinity study and with the 4% rule, something important to note is that when they're talking about with Germany,
[00:29:33.000 --> 00:29:37.000]   when they're talking about withdrawing 4% of your portfolio, they're also adjusting it for inflation.
[00:29:37.000 --> 00:29:48.000]   So you have to manually withdraw or cut down those branches more and more and more every year just to keep up with inflation because everything gets more expensive over time, you know, due to the fiat currency and everything else.
[00:29:48.000 --> 00:29:55.000]   So, you know, you're cutting off just a little more of that branch every single year, and you're hoping that branch just grows a little bit more to kind of make up for that.
[00:29:55.000 --> 00:29:57.000]   Again, whether or not that happens, I don't know.
[00:29:57.000 --> 00:30:01.000]   But I do know that these companies grow their dividends year after year after year.
[00:30:01.000 --> 00:30:09.000]   And your inflation protection is built right in because many of the companies that I invest in and that I discuss on the site, typically grow their dividends well in excess of inflation.
[00:30:09.000 --> 00:30:18.000]   You're typically on the rate of, you know, rates of 7% to 10% a year, whereas inflation is averaged around, you know, 3% or so over the long term.
[00:30:18.000 --> 00:30:31.000]   One of the things I – one of the most powerful aspects I think of dividend investing is that I think it adjusts your thinking from the thinking of a trader to the thinking of an owner.
[00:30:31.000 --> 00:30:40.000]   And there's something powerful about receiving income and just simply having your income without spending your principal.
[00:30:40.000 --> 00:30:44.000]   And there are objections to this, which we'll go to after a little bit.
[00:30:44.000 --> 00:30:47.000]   But it's powerful to actually gain money off of it.
[00:30:47.000 --> 00:30:59.000]   In my own personal portfolio, I realized this a few years ago that I had always been diligently investing, but I had always been diligently investing in retirement accounts because that was what I was taught to do, put money in retirement accounts.
[00:30:59.000 --> 00:31:05.000]   And I realized I've never experienced the joy of going out and spending money from an investment.
[00:31:05.000 --> 00:31:08.000]   Like here I am.
[00:31:08.000 --> 00:31:12.000]   I'm 29 years old, and I've been investing since I was 18.
[00:31:12.000 --> 00:31:29.000]   And in 11 years, I have – up until I made this change, so this was a few years ago, basically in almost a decade I had never experienced the joy of getting a check from my investments and going and buying something with it because all the money was locked in a retirement account.
[00:31:29.000 --> 00:31:40.000]   And so I actually recognized I need that emotional connection to my money because that quarterly statement comes in and it shows how much the dividends were, but I can't spend it.
[00:31:40.000 --> 00:31:54.000]   So I went and I changed some shares of a mutual fund that I owned outside of a retirement account, and I switched the dividends from automatic reinvestment into coming into my checking account.
[00:31:54.000 --> 00:32:05.000]   And then when the money came in, I purposely went out and spent it so that I could enjoy the benefit of actually – like this is the whole point of investing is to have income that we can spend.
[00:32:05.000 --> 00:32:18.000]   But we never – like all the money is locked away in some stupid 401(k), so we invest, invest, invest, invest, invest, and the only connection we have with our investments is the number that's printed on the bottom of the brokerage statement every quarter.
[00:32:18.000 --> 00:32:43.000]   And then that just completely destroys most of us, our ability to emotionally be stable with regard to market fluctuations, whereas if you're just focusing on that quarterly dividend check, whether or not Johnson & Johnson's share price increases or decreases by 10 or 15 percent per quarter in one random quarter, that's not going to dramatically affect the dividend that they send out.
[00:32:43.000 --> 00:32:56.000]   Yeah, absolutely, absolutely. And right, what I was talking about there was kind of more on the macro level of looking at investing, but right, I've talked a lot about how dividends themselves are very tangible, that's actual cash money you can touch.
[00:32:56.000 --> 00:33:08.000]   And I invest all my income in a taxable portfolio, so I don't have a 401(k), I don't have an IRA or anything like that. It's all in a taxable account.
[00:33:08.000 --> 00:33:10.000]   Explain why you choose to do that.
[00:33:10.000 --> 00:33:20.000]   Well, a number of reasons. When I was still working in the auto industry, I've recently moved from working in the auto industry to writing full-time, so that was a move I made very recently.
[00:33:20.000 --> 00:33:27.000]   But when I was still working in the auto industry, the 401(k) that my employer offered, it didn't offer a match, and the funds that they offered were really horrible.
[00:33:27.000 --> 00:33:42.000]   They were very high in fees. I didn't have access to a Vanguard S&P 500 fund with a .05 percent annual fee or anything like that. These were typically funds with half a percent fees or percent fees on them, and I didn't get a match on top of it.
[00:33:42.000 --> 00:33:53.000]   And another thing is I'm looking to retire and live off my dividend income very early in life, so my situation isn't necessarily applicable to everybody else out there or even very many people at all.
[00:33:53.000 --> 00:34:07.000]   I'm trying to live off my dividend income by 40 years old, so to invest a substantial portion of my assets in a 401(k) that won't be really able to be accessed until 59 and a half years old really won't cut it for me.
[00:34:07.000 --> 00:34:14.000]   So I need all my capital. I need all my firepower going into the taxable accounts so that I can withdraw it early in life.
[00:34:14.000 --> 00:34:36.000]   Another point on dividends is that they're tax-efficient. On qualified dividends, which are the substantial portion of the companies that I invest in, any company that pays qualified dividends, you pay 0 percent taxes on those up until the point where you cross over the 25 percent marginal income tax bracket.
[00:34:36.000 --> 00:34:59.000]   So if you're making, say, $30,000 a year in dividend income, and if that dividend income is qualified, you pay 0 percent taxes on that. So you're basically walking around with $30,000 tax-free, which if you compare that to W-2 income would be substantially more than that after you factor out Social Security and FICA and Medicare and you factor out your federal income tax and everything else.
[00:34:59.000 --> 00:35:10.000]   And again, Florida, you have no state income tax at all. So basically it's just 0 percent. Now, there are certain investments like real estate investment trusts and things like that that don't pay qualified dividends that you do pay taxes on.
[00:35:10.000 --> 00:35:22.000]   But I keep that around 5 percent or so in my portfolio. So it's a very small number if you're looking at it from the total number. $30,000 if you're paying $300 or $400 a year in taxes, it's just peanuts.
[00:35:22.000 --> 00:35:34.000]   So that's why I do what I do. But getting back to your point about dividends themselves, they're very tangible. And one thing I really like about the strategy is that I'm able to actually see financial dependence come in like a ship.
[00:35:34.000 --> 00:35:42.000]   I can actually see it come to shore. I can look at my dividend income month after month after month, and I see it growing and growing and growing and growing.
[00:35:42.000 --> 00:35:50.000]   And I can see that if you're looking at it on a chart, like your Money or Your Life recommend what they call a wall chart. And they recommend you plot your passive income down at the bottom.
[00:35:50.000 --> 00:35:59.000]   You start out at zero, then it's $20 and $50 a month, and it grows and grows and grows. And you can see that number start to rise against your expenses.
[00:35:59.000 --> 00:36:05.000]   And eventually when the passive income exceeds your expenses, that's what they call the crossover point or when you can actually start living off your passive income.
[00:36:05.000 --> 00:36:12.000]   But that's one thing I really love about dividends. It's tangible. It's cash money. It's real income that's hitting my account every single month.
[00:36:12.000 --> 00:36:18.000]   And my account's taxable. So if I want, I'm earning around almost $500 a month in dividend income right now.
[00:36:18.000 --> 00:36:24.000]   So if I want, I can actually start withdrawing that cash and use it for whatever I want. It's real money that comes in my way that I can do whatever I want with.
[00:36:24.000 --> 00:36:31.000]   So it's just like income I earn from anything else in life, be it a job or be it a hobby or be it selling something on Craigslist or whatever.
[00:36:31.000 --> 00:36:37.000]   So that's real cash that's coming my way. And like I said, right now I'm reinvesting that and growing the portfolio.
[00:36:37.000 --> 00:36:47.000]   But eventually it's just money coming my way. So people look at dividends for some reason as, oh, but it's – you look at your return on investment and blah, blah, blah, blah.
[00:36:47.000 --> 00:36:55.000]   Sure, that's all fine and dandy. But a separate point is that it's real cash. You don't need to sell anything. You don't need to do anything.
[00:36:55.000 --> 00:37:03.000]   And not only that, but it bypasses the stock market. Like I said earlier, people like to look at the stock market and like to look at the ups and downs of it and, oh, no, it's down.
[00:37:03.000 --> 00:37:10.000]   Oh, yes, it's up. But the dividend income stays very, very steady, and it's typically just slowly up and up and up.
[00:37:10.000 --> 00:37:17.000]   And it's tangible money, whereas these stock charts aren't really tangible. It's just numbers floating out there in the world.
[00:37:17.000 --> 00:37:21.000]   The dividend income is real money. And like I said, it comes directly from the companies. Stock prices go up and down.
[00:37:21.000 --> 00:37:28.000]   Companies don't really have a lot to do with stock prices. Coca-Cola has very little to – has very little control over their stock price.
[00:37:28.000 --> 00:37:37.000]   That has to do with supply and demand of their stock and traders and all these computers that are set up to do trading in microseconds.
[00:37:37.000 --> 00:37:45.000]   But Coca-Cola, the company, has control over their fundamentals, over their sales, over their earnings, over their balance sheet.
[00:37:45.000 --> 00:37:48.000]   And they also have control over how much dividend income they pay the owners.
[00:37:48.000 --> 00:37:56.000]   So the dividends bypass the stock market. You don't really have to look at the ups and downs of the stock market because it's cash money coming directly from Coca-Cola to shareholders.
[00:37:56.000 --> 00:38:00.000]   And one other thing I love about dividends, I kind of think like an owner.
[00:38:00.000 --> 00:38:06.000]   When I own equity in a company, I look at myself like an owner because as a shareholder, that's exactly what you are.
[00:38:06.000 --> 00:38:13.000]   Stocks aren't just pieces of paper to just trade around. You're actually owning equity in a real company selling real products and services.
[00:38:13.000 --> 00:38:18.000]   So I look at it like I would own my – and I often compare it to like a pizza shop.
[00:38:18.000 --> 00:38:28.000]   So if I own Papa Jason's Pizza Shop and I have these employees working for me and creating wealth for me, do I not want to get paid?
[00:38:28.000 --> 00:38:33.000]   Would I not want to collect a check from that business? Would I not want to collect income so that I can live off of it?
[00:38:33.000 --> 00:38:38.000]   I would, right? I mean, anybody would. If you own your own business, you want to collect a check. You don't want to work for free.
[00:38:38.000 --> 00:38:45.000]   So that's the dividend income. Coca-Cola is saying, hey, you're an owner in this company. This is your cut of the profits.
[00:38:45.000 --> 00:38:50.000]   And just like anybody who would own a private business of their own, they would obviously want to cut their profits.
[00:38:50.000 --> 00:38:58.000]   And that's where dividends come in. So people who invest in stocks that don't pay dividends and say they're better, maybe you feel that way, maybe not, whatever.
[00:38:58.000 --> 00:39:06.000]   But that's real income coming your way. And that's your right as an owner of a business. That's your right to collect that check.
[00:39:06.000 --> 00:39:12.000]   And that's where the dividends come in. It's your paycheck. But yeah, dividends are very tangible. That's one thing I love about them.
[00:39:12.000 --> 00:39:18.000]   And I'm able to actually report on my dividend income every single month and I report on my income and expenses every single month.
[00:39:18.000 --> 00:39:23.000]   And the dividend income has slowly increased to the point now where it's covering about a third of my expenses now.
[00:39:23.000 --> 00:39:28.000]   So I can actually say with confidence I'm about 33 percent financially independent right now.
[00:39:28.000 --> 00:39:35.000]   So I'm about a third of the way there because I can actually see that cash money coming in and that's real cash against real expenses.
[00:39:35.000 --> 00:39:41.000]   That's exciting because you've done that. Your portfolio is what, about $200,000 now?
[00:39:41.000 --> 00:39:42.000]   Yeah.
[00:39:42.000 --> 00:39:46.000]   And so you've done that in, when did you move to Florida? You said 2009, so five years?
[00:39:46.000 --> 00:39:51.000]   Yeah, well I started investing in March of 2010. So it's been a little over four years now.
[00:39:51.000 --> 00:39:56.000]   So that's amazing, man. You said you never made more than $70,000 working at the car dealership.
[00:39:56.000 --> 00:40:04.000]   And then to go from a zero net worth to a $200,000 plus net worth and to be a third of the way towards your expenses, that's fantastic.
[00:40:04.000 --> 00:40:06.000]   You're doing awesome.
[00:40:06.000 --> 00:40:10.000]   Yeah, and that's really to the point of it all is that I'm nobody special.
[00:40:10.000 --> 00:40:19.000]   I didn't have any training, I don't have any inside connections, I didn't grow up with somebody that taught me these things.
[00:40:19.000 --> 00:40:26.000]   When I went to college I originally studied secondary education and my very last semester in college I didn't really know what I wanted out of life.
[00:40:26.000 --> 00:40:31.000]   Like a lot of people that go into college at 18 years old, you don't know what you want.
[00:40:31.000 --> 00:40:37.000]   So I was switching around majors a lot. My very last semester I studied accounting and it seemed interesting to me.
[00:40:37.000 --> 00:40:42.000]   I looked at the numbers, I started looking at balance sheets and income statements and that stuff all seemed very interesting to me.
[00:40:42.000 --> 00:40:44.000]   But I didn't really apply it until a number of years later.
[00:40:44.000 --> 00:40:49.000]   But other than that, other than a quick course in accounting in college, I don't have any training in this.
[00:40:49.000 --> 00:40:57.000]   So if I can do it, if I can work at a car dealership and work in the service department and write up repair orders and tell people what their cars need for repairs,
[00:40:57.000 --> 00:41:02.000]   which couldn't be further away from investing in stocks in the stock market, then anybody can do it.
[00:41:02.000 --> 00:41:06.000]   All you need is just a desire and you need obviously a little bit of capital.
[00:41:06.000 --> 00:41:18.000]   With the abundance here in first world countries like the United States, there's absolutely no reason why people shouldn't be able to save at least 20 or 30 or 40% of their net income.
[00:41:18.000 --> 00:41:20.000]   I mean if you don't make very much money.
[00:41:20.000 --> 00:41:25.000]   It's just really, if we're being honest, it's just almost downright silly what we spend money on and how much money we spend.
[00:41:25.000 --> 00:41:35.000]   If you look at it on the global scale of what, if you were to look at the global GDP and what the average person globally makes and spends, I mean we're almost just getting silly at this point.
[00:41:35.000 --> 00:41:39.000]   A lot of stuff is practically free really when you think about it.
[00:41:39.000 --> 00:41:44.000]   So yeah, it's very easy to create kind of that gap or that spread between income and expenses.
[00:41:44.000 --> 00:41:51.000]   Once you have a little bit of capital and you have the desire to do it, regardless of what strategy you use, if you want to use an index investing strategy, then that's fine.
[00:41:51.000 --> 00:41:57.000]   But the key is to have the desire and the consistency and the persistence and the patience and everything else that's necessary.
[00:41:57.000 --> 00:42:00.000]   You've got to work hard. You've got a little bit of luck.
[00:42:00.000 --> 00:42:04.000]   They say successes where hard work and luck intersect and that's very true.
[00:42:04.000 --> 00:42:06.000]   But you've got to work hard at it and that's what I did.
[00:42:06.000 --> 00:42:12.000]   For years and years and years, I clocked in at 7.30. I didn't leave until 6 or 7 o'clock at night.
[00:42:12.000 --> 00:42:18.000]   I worked Saturdays and then on top of it I also started my blog and wrote about all this stuff for years on end.
[00:42:18.000 --> 00:42:22.000]   So I was basically getting up at around 6.30 and I was working until almost 10.30 at night.
[00:42:22.000 --> 00:42:24.000]   So it wasn't like this all magically happened for me.
[00:42:24.000 --> 00:42:28.000]   It was an incredible amount of hard work that I had to put in to do it.
[00:42:28.000 --> 00:42:42.000]   But the rewards are obviously extremely worth it because if I'm able to at 40 years old go from being worth less than a baby at 27 and at 40, be able to live completely off the dividend income my portfolio generates for myself,
[00:42:42.000 --> 00:42:49.000]   then that's pretty substantial. That's something to be proud of. But it really speaks well to the point that if I can do it, anybody can do it.
[00:42:49.000 --> 00:42:53.000]   If I can do this with my background, then there's no reason why anybody else can't do it.
[00:42:53.000 --> 00:43:00.000]   Do you automatically reinvest dividends into the companies or do you have them all funneled into a central account?
[00:43:00.000 --> 00:43:08.000]   Right. So they call that DRIPPING, Dividend Reinvestment Program, where you automatically reinvest dividends back into the stocks that paid them.
[00:43:08.000 --> 00:43:13.000]   I don't do that. I let the dividends just kind of accumulate in the portfolio and then I reinvest them manually.
[00:43:13.000 --> 00:43:19.000]   And that's kind of because, like I said earlier, I look at dividends just like income from anything else.
[00:43:19.000 --> 00:43:23.000]   The dividend income that hits my portfolio, it doesn't matter which company paid it to me.
[00:43:23.000 --> 00:43:31.000]   The dollar amount is what matters and the capital, the power of that capital, the ability for me to compound that capital is really what I look at.
[00:43:31.000 --> 00:43:38.000]   So if Coca-Cola paid me a dividend and Coca-Cola's stock just really isn't attractive right now on a valuation basis,
[00:43:38.000 --> 00:43:43.000]   if I feel like, you know, I think I can get a better deal in the market than Coca-Cola's stock right now,
[00:43:43.000 --> 00:43:47.000]   or let's say like Johnson & Johnson, that's my biggest position by dollar weight.
[00:43:47.000 --> 00:43:52.000]   I have about $10,000, $300, $400 invested in Johnson & Johnson.
[00:43:52.000 --> 00:43:57.000]   And maybe, you know, I don't know if I want to have more invested in Johnson. That's a pretty big position for me.
[00:43:57.000 --> 00:44:04.000]   Maybe I want to kind of start to kind of diversify a little bit and round out some other positions around Johnson & Johnson.
[00:44:04.000 --> 00:44:08.000]   So there's a number of reasons to do it and not to do it, but I look at it just as capital.
[00:44:08.000 --> 00:44:13.000]   So I don't think you need to just automatically reinvest dividends with the company that paid them.
[00:44:13.000 --> 00:44:16.000]   The businesses are paying you, who's an owner.
[00:44:16.000 --> 00:44:21.000]   It'd be like my pizza shop. You know, if I'm able to generate income from Papa Jason's Pizza Shop,
[00:44:21.000 --> 00:44:25.000]   does that mean I automatically need to invest every single dollar back into the pizza shop? No.
[00:44:25.000 --> 00:44:30.000]   I can take that money and invest it into a new business or invest it into a rental property or do whatever I want with it.
[00:44:30.000 --> 00:44:36.000]   It's simply capital that provides you more firepower, more money to do what you're already doing.
[00:44:36.000 --> 00:44:39.000]   So, you know, people can say reinvestment, and that's an easier way to do it.
[00:44:39.000 --> 00:44:43.000]   My way certainly takes a little more time, but I'm investing every single month anyway.
[00:44:43.000 --> 00:44:49.000]   I'm funneling thousands of dollars to my brokerage account regardless of what dividends got paid to me.
[00:44:49.000 --> 00:44:54.000]   So I'm simply tacking on that dividend income onto what's already, you know, being funneled in.
[00:44:54.000 --> 00:44:57.000]   So, you know, you could look at it like, you know, I've already got a ship going out to sea,
[00:44:57.000 --> 00:45:00.000]   and I'm just adding a couple extra passengers is all I'm doing.
[00:45:00.000 --> 00:45:05.000]   So, you know, there's stowaways, I guess, but that's how I look at it.
[00:45:05.000 --> 00:45:08.000]   I look at it just as capital. I don't need to reinvest it back into the business that paid it.
[00:45:08.000 --> 00:45:11.000]   I can reinvest it. I can deploy it however I want.
[00:45:11.000 --> 00:45:17.000]   I like the benefits of that from--this is actually a disagreement that my wife and I have with each other,
[00:45:17.000 --> 00:45:25.000]   but I like the idea of having all income from all sources no matter what going into one central account
[00:45:25.000 --> 00:45:32.000]   and then all of the money in that account going to whatever the financial priorities are at any one specific time.
[00:45:32.000 --> 00:45:40.000]   We have this psychological--I'll call it a problem. My wife would say it's not, but I'll call it a problem.
[00:45:40.000 --> 00:45:44.000]   We have the psychological problem of viewing sources--different sources of income as different.
[00:45:44.000 --> 00:45:52.000]   So, for example, if somebody gives us $100 as a gift, then we say, "Well, that $100, I'm supposed to go and spend it,"
[00:45:52.000 --> 00:46:00.000]   because it was free money. But the reality is that $100 should be simply going to whatever the next financial goal is on the list.
[00:46:00.000 --> 00:46:07.000]   So if your next financial goal was to go and buy a new lens for your camera, then you should go spend the $100 on that.
[00:46:07.000 --> 00:46:20.000]   If the next financial goal was to pay that $100 toward your credit card debt or to buy--you're looking at shares of Johnson & Johnson
[00:46:20.000 --> 00:46:26.000]   and you're saying, "Hey, I think these are attractively priced right now," then that $100 should go towards that.
[00:46:26.000 --> 00:46:31.000]   We really, I think, have a psychological problem of viewing money differently depending on the source.
[00:46:31.000 --> 00:46:39.000]   But the reality is that the entire goal of investing is to create cash flow. That is the goal, because cash flow is what funds life.
[00:46:39.000 --> 00:46:48.000]   And so every dollar should be treated the same, in my opinion, whether it's gift income, whether it's earned income from a wage job,
[00:46:48.000 --> 00:46:53.000]   whether it's business profits from a side business, no matter what.
[00:46:53.000 --> 00:47:03.000]   Because then we can accurately assess all of the opportunities that we have by just simply saying, "Hey, I'm choosing to purchase shares of Coca-Cola.
[00:47:03.000 --> 00:47:11.000]   Is that a more attractive business for me to own, or is it more attractive for me to open a Subway franchise in my local shopping plaza?"
[00:47:11.000 --> 00:47:14.000]   That should be the decision criteria.
[00:47:14.000 --> 00:47:18.000]   I made this mistake earlier, I think, because I always used to view them as differently.
[00:47:18.000 --> 00:47:26.000]   And then I recognized, "This is a problem," and I've tried to ignore the source of income and just focus on all the income going to one spot,
[00:47:26.000 --> 00:47:29.000]   and then what's the next financial priority in my life.
[00:47:29.000 --> 00:47:35.000]   Exactly. Cash flow is cash flow. I look at cash, I'm cash agnostic.
[00:47:35.000 --> 00:47:45.000]   I don't care if my aunt gave me $100 or if Coca-Cola sent me $100 or if I earned $100 from my job.
[00:47:45.000 --> 00:47:51.000]   $100 is $100 is $100. It's cash money, it's cash flow, and that cash flow can be used to grow your cash flow.
[00:47:51.000 --> 00:47:55.000]   It can be used to reinvest or what have you to grow that cash flow.
[00:47:55.000 --> 00:48:01.000]   And what you want to do is you want to grow it in the best manner possible or in the greatest opportunity available to you at that time.
[00:48:01.000 --> 00:48:03.000]   Not all opportunities are the same.
[00:48:03.000 --> 00:48:09.000]   In the stock markets, there's thousands of stocks out there in the stock market, and not all opportunities are created equal at any given time.
[00:48:09.000 --> 00:48:19.000]   So every single opportunity that I have for my cash flow competes with every other opportunity available at that time.
