
[00:00:00.000 --> 00:00:09.880]   Hello, everybody.
[00:18:00.400 --> 00:18:01.400]   That's a perfect example.
[00:18:01.400 --> 00:18:06.200]   And he signed his long term contract after his third year, right?
[00:18:06.200 --> 00:18:07.200]   Right.
[00:18:07.200 --> 00:18:11.720]   I mean, so just, you know, all it took was one year for him to crack the rotation and
[00:18:11.720 --> 00:18:15.560]   move his way and then we win a championship and now he's, right?
[00:18:15.560 --> 00:18:18.000]   So it's market timing sometimes as well.
[00:18:18.000 --> 00:18:19.000]   Yeah.
[00:18:19.000 --> 00:18:24.800]   So, I mean, in that sense, in that sense, would it strategically be better maybe to
[00:18:24.800 --> 00:18:30.000]   go in a later first round or early second round so the expectations aren't as high so
[00:18:30.000 --> 00:18:35.600]   that you have less pressure and you can work your way in versus being a top 10 pick?
[00:18:35.600 --> 00:18:38.360]   Then it's like, "Oh, man, so much expectations."
[00:18:38.360 --> 00:18:41.080]   And then you could be a bust and then all that pressure is on you.
[00:18:41.080 --> 00:18:42.080]   What do you think about that?
[00:18:42.080 --> 00:18:43.080]   Yeah, that's a good question.
[00:18:43.080 --> 00:18:48.800]   You know, I think, again, it's one of those where it comes down to the individual.
[00:18:48.800 --> 00:18:51.840]   I'm a guy where you have to go for it.
[00:18:51.840 --> 00:18:55.000]   You got to go, you know, don't leave anything on the table.
[00:18:55.000 --> 00:18:58.000]   Like if you get a chance to go as high as you can go.
[00:18:58.000 --> 00:19:07.080]   But I do, what I will say is I do believe it matters where certain players go, right?
[00:19:07.080 --> 00:19:11.600]   For instance, you can look at an organization like the Miami Heat, you know, and the way
[00:19:11.600 --> 00:19:18.360]   that they approach things and you look at second rounders able to maximize their talents.
[00:19:18.360 --> 00:19:23.200]   And I believe they get the most out of guys, right?
[00:19:23.200 --> 00:19:27.800]   And so, you know, that matters for certain players who, you know, they may need a certain
[00:19:27.800 --> 00:19:30.680]   level of coaching or a certain level.
[00:19:30.680 --> 00:19:31.680]   Who are their teammates?
[00:19:31.680 --> 00:19:33.720]   Who are guys they've been playing with?
[00:19:33.720 --> 00:19:35.920]   Does it complement their skill set?
[00:19:35.920 --> 00:19:38.440]   Does it complement their personality, right?
[00:19:38.440 --> 00:19:43.680]   So those factors, I think, weigh in on a player's value and a player, you know, how well he's
[00:19:43.680 --> 00:19:45.680]   able to perform on the court.
[00:19:45.680 --> 00:19:46.680]   Right, right.
[00:19:46.680 --> 00:19:53.040]   Let's say you have two variables, your work ethic as a player and your God-given talents
[00:19:53.040 --> 00:19:57.000]   with your physical abilities, IQ and all that.
[00:19:57.000 --> 00:20:04.080]   What do you think differentiates or what do you think is more important to getting to
[00:20:04.080 --> 00:20:05.080]   the top?
[00:20:05.080 --> 00:20:06.080]   Because you got to the top, right?
[00:20:06.080 --> 00:20:11.000]   Like nobody gets the NBA, literally 0.01% of people get in the NBA.
[00:20:11.000 --> 00:20:14.520]   You have so many ballers all across America, all across the world.
[00:20:14.520 --> 00:20:15.520]   Nobody gets in.
[00:20:15.520 --> 00:20:16.520]   How many people are on the team?
[00:20:16.520 --> 00:20:18.360]   Like less than, whatever, 15, 16.
[00:20:18.360 --> 00:20:20.560]   It's so hard to do.
[00:20:20.560 --> 00:20:27.080]   So what would you say was more important for you to get to where you got to go?
[00:20:27.080 --> 00:20:29.680]   Your talent, your God-given talent or your work ethic?
[00:20:29.680 --> 00:20:31.360]   Like what does that ratio look like?
[00:20:31.360 --> 00:20:33.800]   Yeah, yeah, it's a good question.
[00:20:33.800 --> 00:20:40.600]   I'm a believer that your work ethic, I mean, some guys are really gifted.
[00:20:40.600 --> 00:20:47.640]   Some people just have God-given talents, God-given IQ, athletic ability, whatever it is.
[00:20:47.640 --> 00:20:50.960]   But I'm a firm believer to get to that 0.0001.
[00:20:50.960 --> 00:20:56.840]   I talked earlier about it starting over and when you get somewhere you feel like you made
[00:20:56.840 --> 00:21:01.840]   it but even when you get there, there's a pecking order.
[00:21:01.840 --> 00:21:03.720]   You're in the sport of competition.
[00:21:03.720 --> 00:21:07.360]   So in life, yes, comparison isn't healthy.
[00:21:07.360 --> 00:21:12.680]   But in competition, that's exactly like you're looking across, you're constantly weighing
[00:21:12.680 --> 00:21:16.640]   yourself against others, trying to outperform the other guy.
[00:21:16.640 --> 00:21:21.920]   So in that course, you have to have a work ethic and there has to be some level of, I
[00:21:21.920 --> 00:21:27.960]   don't want to say insanity with that work ethic, but it has to be consistent over time.
[00:21:27.960 --> 00:21:31.760]   I think that's where you get a level of professionalism.
[00:21:31.760 --> 00:21:34.680]   That's where guys learn how to be professionals.
[00:21:34.680 --> 00:21:40.720]   It's when you do something over and over and over again on the days especially that you
[00:21:40.720 --> 00:21:45.840]   don't feel like doing it, especially when you're sick, you don't feel well because guess
[00:21:45.840 --> 00:21:46.840]   what?
[00:21:46.840 --> 00:21:49.280]   Life is continuing to happen.
[00:21:49.280 --> 00:21:58.160]   We have things happen, our spouses, girlfriends, kids, families, financial difficulties, the
[00:21:58.160 --> 00:22:01.520]   community, whatever it is that's coming your way.
[00:22:01.520 --> 00:22:09.520]   And so are you going to let those things be distracted from you focusing on the main thing?
[00:22:09.520 --> 00:22:10.920]   That's the main thing that got you there.
[00:22:10.920 --> 00:22:16.880]   And so I think that ratio has to be tilted towards work ethic because the talent is what
[00:22:16.880 --> 00:22:20.000]   it is.
[00:22:20.000 --> 00:22:27.840]   Some of that is, you're already there, especially if you made it to that level, which is already
[00:22:27.840 --> 00:22:29.240]   really hard.
[00:22:29.240 --> 00:22:30.240]   It's already really impossible.
[00:22:30.240 --> 00:22:32.520]   There's 450 jobs in the NBA.
[00:22:32.520 --> 00:22:36.640]   And that's one of the top leagues in the world.
[00:22:36.640 --> 00:22:43.040]   And so I just think that work ethic and that consistency has to be there or else your shelf
[00:22:43.040 --> 00:22:44.520]   life is only going to be so long.
[00:22:44.520 --> 00:22:46.640]   Darrell Bock Yeah, because if you're not doing it, someone
[00:22:46.640 --> 00:22:48.200]   else is doing it.
[00:22:48.200 --> 00:22:54.560]   And I didn't really realize it, but every single year you play, I just kind of take
[00:22:54.560 --> 00:22:56.640]   it for granted as a viewer and as a fan.
[00:22:56.640 --> 00:22:58.680]   Oh, Shawn Livingston is great.
[00:22:58.680 --> 00:22:59.680]   Steph Curry is great.
[00:22:59.680 --> 00:23:01.120]   MJ is great.
[00:23:01.120 --> 00:23:04.520]   But every single year someone's coming into the league trying to take your lunch, eat
[00:23:04.520 --> 00:23:07.080]   your lunch, and they're going to be your teammates.
[00:23:07.080 --> 00:23:10.440]   So you got to be cordial, but also they're trying to take your lunch too and get that
[00:23:10.440 --> 00:23:12.320]   big contract.
[00:23:12.320 --> 00:23:13.880]   So you got to really work.
[00:23:13.880 --> 00:23:15.120]   You got to keep on going.
[00:23:15.120 --> 00:23:16.720]   Jullien Gordon Every year.
[00:23:16.720 --> 00:23:22.960]   Every year there's 60 guys, probably 30 to 45 of them are going to be on your roster.
[00:23:22.960 --> 00:23:26.160]   So you're adding one, two guys, maybe more.
[00:23:26.160 --> 00:23:33.120]   And so again, you might strike gold once, you might get lucky, you might get an opportunity
[00:23:33.120 --> 00:23:38.280]   based on your talents, but how can you sustain that level of performance?
[00:23:38.280 --> 00:23:42.120]   How can you continue to have value to a team?
[00:23:42.120 --> 00:23:48.440]   And so to me, that's why looking at the household names you see, LeBron James, Stephen Curry,
[00:23:48.440 --> 00:23:52.840]   the sustained greatness, their peaks were really super high.
[00:23:52.840 --> 00:23:58.960]   And obviously they'll be in those conversations, but where you start really separating yourself
[00:23:58.960 --> 00:24:03.520]   is the consistency, the sustained greatness of what they're doing.
[00:24:03.520 --> 00:24:09.520]   20 years, I mean, that's pretty incredible to play at that level, like a Tom Brady or
[00:24:09.520 --> 00:24:10.520]   what LeBron's doing.
[00:24:10.520 --> 00:24:11.520]   Right?
[00:24:11.520 --> 00:24:12.520]   MJ LeBron James Right.
[00:24:12.520 --> 00:24:16.840]   And I also have to imagine that a lot of luck is involved as well.
[00:24:16.840 --> 00:24:22.120]   Because here in, let's say, the corporate world, the CEO of a company, or not even CEO,
[00:24:22.120 --> 00:24:28.160]   let's say just a boss in a division, I truly believe a lot of people can take over the
[00:24:28.160 --> 00:24:33.720]   role as the boss or the CEO, but they're just not given the opportunity.
[00:24:33.720 --> 00:24:38.220]   And I'm sure there's a lot of ballers out there who will probably be great or good enough
[00:24:38.220 --> 00:24:43.160]   to play, maybe not a lot, but they're just not given the opportunity.
[00:24:43.160 --> 00:24:50.440]   And so when I look at, for example, coaches, when I saw Steve Nash get the job as a head
[00:24:50.440 --> 00:24:52.800]   coach at Brooklyn Nets, I was like, "What?
[00:24:52.800 --> 00:24:54.320]   The guy's never coached in his life.
[00:24:54.320 --> 00:24:58.960]   Yeah, he's a Hall of Famer, he's a point guard, but how did he get the job?
[00:24:58.960 --> 00:24:59.960]   Why did he get the job?"
[00:24:59.960 --> 00:25:04.480]   I mean, I'm sure there's a lot of assistant coaches out there grinding it out, thinking,
[00:25:04.480 --> 00:25:06.520]   "What's wrong with me?"
[00:25:06.520 --> 00:25:11.520]   And so it seems like the opportunity is really important to be able to showcase your skills
[00:25:11.520 --> 00:25:12.520]   and succeed.
[00:25:12.520 --> 00:25:13.520]   What are your thoughts on that?
[00:25:13.520 --> 00:25:15.240]   MJ LeBron James Yeah, it is.
[00:25:15.240 --> 00:25:17.440]   You have to, definitely have to have a chance.
[00:25:17.440 --> 00:25:22.640]   But I think what Steve was able to accomplish in his pro career, there's a lot of knowledge
[00:25:22.640 --> 00:25:27.760]   and there's a lot of value in that, especially with sports being different in the fact that
[00:25:27.760 --> 00:25:29.760]   he was a former player.
[00:25:29.760 --> 00:25:36.680]   And I think players, there's something about that correlation there to where we understand
[00:25:36.680 --> 00:25:37.680]   the grind, right?
[00:25:37.680 --> 00:25:39.160]   We understand what it takes.
[00:25:39.160 --> 00:25:45.440]   We understand the dog days, and the ups and downs and the roller coaster.
[00:25:45.440 --> 00:25:51.160]   So I think an example like that, yeah, he didn't have any experience.
[00:25:51.160 --> 00:25:54.480]   Neither did Steve Kerr, right?
[00:25:54.480 --> 00:26:01.360]   And so you look at those guys, but what they were able to accomplish in the game as players,
[00:26:01.360 --> 00:26:08.700]   their respect from former players and players, I think some of those things and dynamics
[00:26:08.700 --> 00:26:12.800]   can outweigh the tenure, right?
[00:26:12.800 --> 00:26:16.040]   Just being there and having the experience.
[00:26:16.040 --> 00:26:18.200]   Not that it should, you still have to perform.
[00:26:18.200 --> 00:26:21.640]   I mean, he's not the coach there yet, because obviously, right?
[00:26:21.640 --> 00:26:23.400]   It's a quick turnover.
[00:26:23.400 --> 00:26:25.400]   And what have you done for me lately?
[00:26:25.400 --> 00:26:28.520]   I mean, that's the nature of pro sports.
[00:26:28.520 --> 00:26:31.640]   But yeah, opportunity is important too, I would agree.
[00:26:31.640 --> 00:26:34.680]   Ramon Maldonado And I think one of the reasons why I'm, one
[00:26:34.680 --> 00:26:40.000]   of the things I'm getting at is when I see the majority of the NBA consists of black
[00:26:40.000 --> 00:26:48.120]   players and there aren't more black coaches, that to me, seems like there's a problem.
[00:26:48.120 --> 00:26:51.920]   To me as a fan, I'm like, why aren't there more black coaches?
[00:26:51.920 --> 00:26:56.640]   Because a lot of them have played in the NBA, they have the pedigree, they have the experience.
[00:26:56.640 --> 00:27:02.920]   I look at your resume, Sean, four championships, three as a player, one as an executive.
[00:27:02.920 --> 00:27:09.200]   You've got authority, you've got respect, you're calm, you have experience.
[00:27:09.200 --> 00:27:11.280]   Why not Sean?
[00:27:11.280 --> 00:27:14.120]   And so that's the thing that I'm thinking about.
[00:27:14.120 --> 00:27:20.320]   Do you think there's an issue with that in the NBA, where there aren't more black coaches?
[00:27:20.320 --> 00:27:24.240]   Sean Larkin I don't personally think that there's an issue
[00:27:24.240 --> 00:27:25.240]   with that.
[00:27:25.240 --> 00:27:30.160]   I think the NBA has done a great job in the diversity field, to be honest with you.
[00:27:30.160 --> 00:27:36.880]   When I look at the landscape of professional sports in general, now, yes, football and
[00:27:36.880 --> 00:27:40.520]   basketball, there are a majority of African Americans that play that sport.
[00:27:40.520 --> 00:27:43.960]   So that's true.
[00:27:43.960 --> 00:27:50.560]   I don't have the statistics in front of me, so I don't want to shoot myself in the foot.
[00:27:50.560 --> 00:27:58.320]   I do know that the NBA has been trending towards more African Americans in the coaching spot.
[00:27:58.320 --> 00:28:06.400]   Now in the executive suite and management, I think that's something that the NBA is looking
[00:28:06.400 --> 00:28:08.480]   to grow as well.
[00:28:08.480 --> 00:28:13.920]   I think that's something that's important for the leagues to grow as well.
[00:28:13.920 --> 00:28:18.440]   Because again, you looked at the players and the relationships with the players.
[00:28:18.440 --> 00:28:21.080]   It's just important to have synergy all the way across.
[00:28:21.080 --> 00:28:24.760]   That's not to say that different races can't get along.
[00:28:24.760 --> 00:28:25.760]   That's not the point.
[00:28:25.760 --> 00:28:26.960]   It's more just about the opportunity.
[00:28:26.960 --> 00:28:32.240]   It's more just about the communication and the respect.
[00:28:32.240 --> 00:28:37.880]   Giving that opportunity to guys that have played as well is important.
[00:28:37.880 --> 00:28:38.880]   They know what it takes.
[00:28:38.880 --> 00:28:39.880]   They've walked in those shoes.
[00:28:39.880 --> 00:28:43.040]   So I just think it's building those other skills.
[00:28:43.040 --> 00:28:50.360]   Can you build those other skills, the soft skills, the day-to-day management skills,
[00:28:50.360 --> 00:28:52.040]   some of those corporate skills?
[00:28:52.040 --> 00:28:54.880]   Can you build some of those for some of these employees?
[00:28:54.880 --> 00:28:58.840]   I think the NBA is doing a good job of trying to move in that direction.
[00:28:58.840 --> 00:28:59.840]   All right.
[00:28:59.840 --> 00:29:00.840]   All right.
[00:29:00.840 --> 00:29:02.240]   I'm just an outsider looking in.
[00:29:02.240 --> 00:29:08.520]   I'm going to name names and not to bag on them.
[00:29:08.520 --> 00:29:10.480]   Coach Popovich, obviously a legend, right?
[00:29:10.480 --> 00:29:13.680]   I think anybody would be honored to play for him.
[00:29:13.680 --> 00:29:15.280]   He's a legend.
[00:29:15.280 --> 00:29:20.140]   But let's say there's another coach who's never played in the NBA before.
[00:29:20.140 --> 00:29:22.560]   You don't share the same cultural background.
[00:29:22.560 --> 00:29:24.280]   And let's say they've never won a championship.
[00:29:24.280 --> 00:29:29.160]   Does it take, as a player, a little bit of time getting used to it and buying into that?
[00:29:29.160 --> 00:29:30.160]   Is it harder?
[00:29:30.160 --> 00:29:31.160]   Absolutely.
[00:29:31.160 --> 00:29:32.160]   I mean, definitely.
[00:29:32.160 --> 00:29:36.960]   I think any new coach, it's going to take time to buy in, depending on the player, depending
[00:29:36.960 --> 00:29:40.360]   on if you have a veteran team, you have a young team.
[00:29:40.360 --> 00:29:41.360]   What kind of players do you have?
[00:29:41.360 --> 00:29:42.920]   What kind of team do you have?
[00:29:42.920 --> 00:29:43.920]   That matters.
[00:29:43.920 --> 00:29:47.320]   And then from there, how equipped is the coach as far as his knowledge?
[00:29:47.320 --> 00:29:54.080]   I mean, he doesn't have experience, but does he know what he's talking about?
[00:29:54.080 --> 00:29:56.240]   As far as when it comes time, right?
[00:29:56.240 --> 00:29:58.760]   I mean, when you get up here, we can talk X's and O's.
[00:29:58.760 --> 00:30:01.880]   But when you actually get in the game and you have to start making some of these decisions
[00:30:01.880 --> 00:30:07.520]   in real time, that's when you start to really know, you start to cut through the weeds.
[00:30:07.520 --> 00:30:10.880]   So yes, it does take time for any new coach.
[00:30:10.880 --> 00:30:12.400]   You look at Steve, like I mentioned, Steve Kerr.
[00:30:12.400 --> 00:30:13.760]   That's a great example.
[00:30:13.760 --> 00:30:17.800]   We won a championship our first year and we had the best record in the league, but there
[00:30:17.800 --> 00:30:18.800]   were still hiccups.
[00:30:18.800 --> 00:30:21.520]   There were still adjustments.
[00:30:21.520 --> 00:30:23.160]   You mentioned Draymond Green, right?
[00:30:23.160 --> 00:30:26.440]   David Lee was an all-star.
[00:30:26.440 --> 00:30:32.080]   When he came back from his injury, he was an all-star the two years before.
[00:30:32.080 --> 00:30:35.400]   So he didn't want to go back to the bench.
[00:30:35.400 --> 00:30:39.400]   So how do you navigate that?
[00:30:39.400 --> 00:30:46.120]   And so those are some of the things that are hard to really teach.
[00:30:46.120 --> 00:30:48.000]   Those are people skills.
[00:30:48.000 --> 00:30:52.800]   So that's where you really see coaches start to separate themselves.
[00:30:52.800 --> 00:30:56.280]   Not everybody has them and not everybody, I don't think, has to have them, but I think
[00:30:56.280 --> 00:31:00.280]   you have to have a basic level of that in professional sports.
[00:31:00.280 --> 00:31:05.440]   What are your thoughts about being a coach or an executive in the future?
[00:31:05.440 --> 00:31:11.000]   Yeah, well, obviously, dove in the last three years with the Warriors and that was great.
[00:31:11.000 --> 00:31:15.720]   Gave me a chance to kind of learn as much as possible, get a peek behind the curtain,
[00:31:15.720 --> 00:31:16.720]   if you will.
[00:31:16.720 --> 00:31:20.920]   But coaching, not right now.
[00:31:20.920 --> 00:31:27.920]   Coaching is more about, I think coaching is about the schedule and right now I'm looking
[00:31:27.920 --> 00:31:28.920]   for more flexibility.
[00:31:28.920 --> 00:31:29.920]   Yeah.
[00:31:29.920 --> 00:31:36.760]   Personally, just after playing for 15 years and just the whole process and the grind.
[00:31:36.760 --> 00:31:41.840]   It is a grind and I loved it during that time as a player.
[00:31:41.840 --> 00:31:45.040]   But I think it's more of a timing thing.
[00:31:45.040 --> 00:31:51.120]   But for me, I think my skill set, I think I would like coaching.
[00:31:51.120 --> 00:31:56.840]   I would enjoy being in the gym, being around players and also having the temperament for
[00:31:56.840 --> 00:31:57.840]   coaching.
[00:31:57.840 --> 00:31:58.840]   So, we'll see.
[00:31:58.840 --> 00:32:00.840]   Maybe down the road.
[00:32:00.840 --> 00:32:01.840]   Yeah.
[00:32:01.840 --> 00:32:07.400]   How about when LeBron brings the NBA team to Vegas in two or three years and the kids
[00:32:07.400 --> 00:32:10.840]   are a little bit older and you're itching to get back.
[00:32:10.840 --> 00:32:11.840]   Does that sound perfect?
[00:32:11.840 --> 00:32:14.840]   Sounds like a forecast right there.
[00:32:14.840 --> 00:32:15.840]   That's my job.
[00:32:15.840 --> 00:32:16.840]   Forecast the future.
[00:32:16.840 --> 00:32:20.320]   Sometimes it doesn't come true, but I mean that sounds to me like a no-brainer.
[00:32:20.320 --> 00:32:21.320]   What do you say?
[00:32:21.320 --> 00:32:22.320]   That's right.
[00:32:22.320 --> 00:32:23.320]   That's right.
[00:32:23.320 --> 00:32:24.320]   You never know.
[00:32:24.320 --> 00:32:25.320]   Endless possibilities.
[00:32:25.320 --> 00:32:26.320]   Yeah.
[00:32:26.320 --> 00:32:29.320]   You got to keep your options open.
[00:32:29.320 --> 00:32:37.360]   You know, I'd love to talk about the money part of the NBA because as a fan, as obviously
[00:32:37.360 --> 00:32:41.240]   players, there's big money involved in the NBA.
[00:32:41.240 --> 00:32:43.360]   And I would just love to hear from you.
[00:32:43.360 --> 00:32:48.720]   You go from high schooler directly to the NBA and so you got this multi-million dollar
[00:32:48.720 --> 00:32:55.260]   contract and then obviously over time you were able to sign more contracts.
[00:32:55.260 --> 00:33:00.440]   How was it like suddenly coming into so much money and is there kind of a money management
[00:33:00.440 --> 00:33:03.760]   program in the NBA to help players keep their money?
[00:33:03.760 --> 00:33:07.320]   There are programs for players.
[00:33:07.320 --> 00:33:16.520]   There is a rookie transition program usually for guys, but it's more of a crash course
[00:33:16.520 --> 00:33:23.520]   where guys get together for three or four days and the NBA Players Union puts on kind
[00:33:23.520 --> 00:33:27.160]   of like a crash course of what life is going to be like.
[00:33:27.160 --> 00:33:28.160]   Right?
[00:33:28.160 --> 00:33:29.160]   Kind of a simulation if you will.
[00:33:29.160 --> 00:33:34.640]   And they bring in different professionals, experts, former players, panelists, but there's
[00:33:34.640 --> 00:33:36.040]   nothing like the real thing.
[00:33:36.040 --> 00:33:37.040]   Right?
[00:33:37.040 --> 00:33:42.560]   And so I think the most important thing is obviously your team.
[00:33:42.560 --> 00:33:46.560]   Who is on your team of people that you trust?
[00:33:46.560 --> 00:33:55.560]   And when these athletes are coming in, we're so young that we just don't have any experience.
[00:33:55.560 --> 00:33:56.560]   How could you?
[00:33:56.560 --> 00:33:57.560]   Right?
[00:33:57.560 --> 00:34:01.080]   I mean for me coming out of high school, I was just coming out of my parents' house,
[00:34:01.080 --> 00:34:02.080]   my grandfather's house.
[00:34:02.080 --> 00:34:03.080]   Right.
[00:34:03.080 --> 00:34:04.080]   And you're in LA.
[00:34:04.080 --> 00:34:07.800]   You've got millions in LA.
[00:34:07.800 --> 00:34:08.800]   That's right.
[00:34:08.800 --> 00:34:09.800]   That's right.
[00:34:09.800 --> 00:34:12.720]   And so, you know, and that itself is kind of a myth.
[00:34:12.720 --> 00:34:14.040]   Having millions right away.
[00:34:14.040 --> 00:34:15.040]   Right?
[00:34:15.040 --> 00:34:17.880]   It's like, you kind of have to work your way into it.
[00:34:17.880 --> 00:34:18.880]   Right?
[00:34:18.880 --> 00:34:23.160]   I mean, you know, like I remember getting, you know, for me I signed a shoe endorsement
[00:34:23.160 --> 00:34:27.240]   deal with Reebok, which was a really big deal at the time.
[00:34:27.240 --> 00:34:32.600]   And you know, I remember one of my first checks, you know, being a quarter of a million, almost
[00:34:32.600 --> 00:34:36.520]   half a million dollars and it was like, yeah, oh my God, this is the most money I've ever
[00:34:36.520 --> 00:34:37.520]   seen before.
[00:34:37.520 --> 00:34:38.520]   Right?
[00:34:38.520 --> 00:34:39.520]   Yeah.
[00:34:39.520 --> 00:34:40.520]   Sweet.
[00:34:40.520 --> 00:34:41.520]   Let's go buy a Bentley.
[00:34:41.520 --> 00:34:46.320]   I mean, and so to, you know, to experience that at such a young age, it's like, all right,
[00:34:46.320 --> 00:34:47.320]   let's go to the mall.
[00:34:47.320 --> 00:34:48.320]   Let's go here.
[00:34:48.320 --> 00:34:49.320]   Let's go there.
[00:34:49.320 --> 00:34:55.920]   Fortunately for me personally, I was a very frugal and still am a very frugal human being.
[00:34:55.920 --> 00:35:01.320]   So you know, so that was kind of my nature was always just to kind of like put it away.
[00:35:01.320 --> 00:35:02.320]   Don't look at it.
[00:35:02.320 --> 00:35:05.360]   You know, and I just kind of continued with my same tendencies.
[00:35:05.360 --> 00:35:09.840]   So I remember, you know, you don't really have any money when you, you know, you're
[00:35:09.840 --> 00:35:11.080]   going into an MBA.
[00:35:11.080 --> 00:35:18.280]   So when you hire an agent, you're getting a lot of credit and then this is money that's
[00:35:18.280 --> 00:35:24.520]   in advance that you really usually have to pay back, you know, once you sign your deal,
[00:35:24.520 --> 00:35:28.560]   once you sign, you know, and so, so that was the situation for me.
[00:35:28.560 --> 00:35:29.560]   Right.
[00:35:29.560 --> 00:35:32.960]   So even that, you know, I'm kind of like, wait a minute, I got to pay all this money
[00:35:32.960 --> 00:35:33.960]   back.
[00:35:33.960 --> 00:35:38.000]   I bought a car, you know, I took care of some family issues and things.
[00:35:38.000 --> 00:35:41.680]   And I remember flying all my, all of my family out to the NBA draft.
[00:35:41.680 --> 00:35:47.240]   And so, you know, again, we're doing all this on, on, on borrowed credit.
[00:35:47.240 --> 00:35:53.520]   And so again, when you're coming into, you know, a lot of money, it's easy to just blow
[00:35:53.520 --> 00:35:55.360]   it at that young age.
[00:35:55.360 --> 00:36:00.520]   It's easy to just, you know, and take care of people and, you know, especially, you know,
[00:36:00.520 --> 00:36:03.480]   family and friends and needs and different things.
[00:36:03.480 --> 00:36:09.920]   And so, you know, for me coming in at 18, I bought a house, bought a car, you know,
[00:36:09.920 --> 00:36:13.560]   I took care of some family things and that was it.
[00:36:13.560 --> 00:36:16.800]   And I remember being that way.
[00:36:16.800 --> 00:36:21.280]   You know, I had two cars probably for maybe about the first four years of my career.
[00:36:21.280 --> 00:36:22.280]   One house I did.
[00:36:22.280 --> 00:36:23.920]   I bought, I take that back.
[00:36:23.920 --> 00:36:28.200]   I bought a condo in Chicago, you know, when I went back to train in the summer.
[00:36:28.200 --> 00:36:29.360]   But that was it.
[00:36:29.360 --> 00:36:32.160]   And I continued to kind of remain frugal.
[00:36:32.160 --> 00:36:37.760]   But as far as the structure goes, most players trust their agents.
[00:36:37.760 --> 00:36:43.360]   Most players rely on their agents for that, you know, information as far as who's going
[00:36:43.360 --> 00:36:45.480]   to be your financial advisor.
[00:36:45.480 --> 00:36:46.920]   What bank are you going to be going to?
[00:36:46.920 --> 00:36:50.720]   I need to get a chef, you know, I need to get, you know, some of these different day
[00:36:50.720 --> 00:36:52.440]   to day chores.
[00:36:52.440 --> 00:36:57.000]   And so the agent is usually the kind of the center of the universe and on the business
[00:36:57.000 --> 00:37:00.800]   side and making those connections.
[00:37:00.800 --> 00:37:05.200]   And so it's really important to have diverse people on your team.
[00:37:05.200 --> 00:37:10.400]   And when I say diverse people, I mean people from different backgrounds, people, you know,
[00:37:10.400 --> 00:37:11.400]   with different experiences.
[00:37:11.400 --> 00:37:15.040]   Nine times out of 10, those are just usually our friends.
[00:37:15.040 --> 00:37:18.240]   Might not be a good idea though.
[00:37:18.240 --> 00:37:19.240]   Yeah.
[00:37:19.240 --> 00:37:21.440]   Well, I mean, it's like, who do you trust?
[00:37:21.440 --> 00:37:23.440]   You trust the people you've known the longest.
[00:37:23.440 --> 00:37:24.440]   Exactly.
[00:37:24.440 --> 00:37:25.440]   Exactly.
[00:37:25.440 --> 00:37:31.240]   It's like, I know you, like, you know, but nine times out of 10, again, they don't necessarily
[00:37:31.240 --> 00:37:34.000]   have, they're not experts in business, right?
[00:37:34.000 --> 00:37:35.000]   No.
[00:37:35.000 --> 00:37:41.000]   We're experts in playing our sports, you know, but not necessarily in finances or how to
[00:37:41.000 --> 00:37:47.200]   negotiate, you know, getting a car or, you know, different things or, you know, taxes
[00:37:47.200 --> 00:37:48.920]   or so.
[00:37:48.920 --> 00:37:51.560]   So it's really important who you trust.
[00:37:51.560 --> 00:37:53.400]   It's really important who's on your team.
[00:37:53.400 --> 00:37:58.200]   And I think it's really important, even if you are trusting your agent to get a second
[00:37:58.200 --> 00:37:59.200]   opinion.
[00:37:59.200 --> 00:38:00.200]   Yes.
[00:38:00.200 --> 00:38:01.200]   Right.
[00:38:01.200 --> 00:38:02.200]   Yes.
[00:38:02.200 --> 00:38:05.520]   You know, my grandfather always said three, three opinions by people that you don't even
[00:38:05.520 --> 00:38:06.520]   know.
[00:38:06.520 --> 00:38:07.520]   All right.
[00:38:07.520 --> 00:38:11.720]   Because then you take out the biases as well, you know, all right now, hopefully they should
[00:38:11.720 --> 00:38:14.920]   have some knowledge, you know, some market knowledge.
[00:38:14.920 --> 00:38:15.920]   Sure.
[00:38:15.920 --> 00:38:16.920]   Yeah.
[00:38:16.920 --> 00:38:22.320]   But, you know, it's just important to kind of get different opinions.
[00:38:22.320 --> 00:38:27.040]   And for me and all my decision making, like I haven't made always the best decisions,
[00:38:27.040 --> 00:38:32.000]   but I tried to get advice from multiple points.
[00:38:32.000 --> 00:38:33.000]   Right.
[00:38:33.000 --> 00:38:34.000]   Yeah.
[00:38:34.000 --> 00:38:35.320]   No, that's really great advice.
[00:38:35.320 --> 00:38:41.480]   Get three opinions, get those biases out and then really analyze where you want to put
[00:38:41.480 --> 00:38:42.480]   your money.
[00:38:42.480 --> 00:38:47.440]   And, you know, as a as an outsider, I always think to myself, man, if I had NBA money,
[00:38:47.440 --> 00:38:54.040]   I would just put 80 percent of it in the S&P 500 index ETF and like, I don't know, 20 percent,
[00:38:54.040 --> 00:38:58.240]   maybe some bonds, especially now that rates are over 5 percent and then just kick back
[00:38:58.240 --> 00:39:00.760]   because in 10 years I'll have like so much more money.
[00:39:00.760 --> 00:39:05.320]   I mean, that is like the easiest advice like one could have.
[00:39:05.320 --> 00:39:11.400]   And the reality is over a 15 year period, I think your money would have tripled.
