
[00:00:00.000 --> 00:00:08.760]   All right, welcome everyone to CS25, I believe week eight.
[00:28:07.000 --> 00:28:13.000]   So we don't have to boil down the sample into soup before feeding it in and asking which RNA is in the sample.
[00:28:13.000 --> 00:28:23.000]   We get an xy coordinate and, well, it's really like an xy by gene tuple that tells us this gene has RNA expressed at this location.
[00:28:23.000 --> 00:28:34.000]   And you'll get anywhere between a few thousand to a few million such transcripts in just one millimeter of data, which I'll try to show in a second if it doesn't crash my computer.
[00:28:34.000 --> 00:28:36.000]   So this data is very rich.
[00:28:36.000 --> 00:28:37.000]   It's also very complicated.
[00:28:37.000 --> 00:28:38.000]   It's also very expensive.
[00:28:38.000 --> 00:28:44.000]   So collecting this data is the hardest, and it's the thing that the fewest people have.
[00:28:44.000 --> 00:28:57.000]   In fact, on one of the previous slides, I had mentioned that we at Noetic estimate that we have well over 1% and probably over 2% of, like, the world's spatial transcriptomics data using this platform, which is called Cosmix.
[00:28:57.000 --> 00:29:01.000]   Okay, and the last thing we do is genetic sequencing.
[00:29:01.000 --> 00:29:08.000]   We do whole exome sequencing of the patient's data so we know if they have genetic mutations that could be relevant to understanding their tumor biology.
[00:29:08.000 --> 00:29:11.000]   Okay, so this is the data that lives out there.
[00:29:11.000 --> 00:29:14.000]   And the question is, how are we going to learn from it?
[00:29:14.000 --> 00:29:20.000]   Before we do that, I just want to talk a little bit more about the spatial transcriptomics data because it's so cool.
[00:29:20.000 --> 00:29:25.000]   So these are what the raw transcripts look like in 3D.
[00:29:25.000 --> 00:29:32.000]   We do actually detect them in X, Y, and Z, but the Z plane is 4 micrometers, 4 microns.
[00:29:32.000 --> 00:29:33.000]   So it's very, very thin.
[00:29:33.000 --> 00:29:35.000]   It's effectively just X, Y.
[00:29:35.000 --> 00:29:38.000]   And the colors here are different genes.
[00:29:38.000 --> 00:29:46.000]   I'm going to try to run a live demo of just what this raw data looks like because it's a lot of fun to play around with.
[00:29:46.000 --> 00:30:13.000]   But there's an overwhelming amount of data jammed into this one millimeter diameter chunk of tissue.
[00:30:13.000 --> 00:30:15.000]   I promise this computer is not underpowered.
[00:30:15.000 --> 00:30:17.000]   It's just loading 11 million points.
[00:30:17.000 --> 00:30:20.000]   So this is what it looks like at the micro level.
[00:30:20.000 --> 00:30:22.000]   You have this incredibly rich tissue.
[00:30:22.000 --> 00:30:29.000]   And we are actually showing here one of the first whole transcriptome runs we've been able to do.
[00:30:29.000 --> 00:30:34.000]   So instead of detecting a thousand gene panel, we're able to try to detect over 18,000 genes.
[00:30:34.000 --> 00:30:40.000]   And we ran out of colors after the first 20 or so, but you'll have to take my word for it.
[00:30:40.000 --> 00:30:42.000]   So what are the colors denote here?
[00:30:42.000 --> 00:30:43.000]   The colors are different genes.
[00:30:43.000 --> 00:30:44.000]   Different genes?
[00:30:44.000 --> 00:30:45.000]   Yeah.
[00:30:45.000 --> 00:30:46.000]   Okay.
[00:30:46.000 --> 00:30:51.000]   I will spare my computer from trying to render that for too long.
[00:30:51.000 --> 00:30:58.000]   Here's another example from our thousandplex panel just to give you another sense of the kind of data that we work with.
[00:30:58.000 --> 00:31:03.000]   So at the local scale, now we're talking about tens of microns.
[00:31:03.000 --> 00:31:09.000]   You have these highly localized reads of what RNA is being transcribed where in the cell.
[00:31:09.000 --> 00:31:11.000]   And I'll try to render the labels.
[00:31:11.000 --> 00:31:15.000]   But again, the plotting software struggles a bit with it.
[00:31:15.000 --> 00:31:16.000]   Okay.
[00:31:16.000 --> 00:31:17.000]   That's kind of an aside.
[00:31:17.000 --> 00:31:22.000]   I just think those data are so cool that I like showing it whenever I have the chance.
[00:31:22.000 --> 00:31:23.000]   Okay.
[00:31:23.000 --> 00:31:28.000]   So let me talk about how we're trying to model this data and the kinds of world models that we're trying to construct.
[00:31:28.000 --> 00:31:35.000]   So we have thousands, at this point over 10,000 cores from different patients.
[00:31:35.000 --> 00:31:38.000]   Each of those cores is one of those one millimeter diameter circles.
[00:31:38.000 --> 00:31:41.000]   In each core, there will be thousands of cells.
[00:31:41.000 --> 00:31:52.000]   And we can assign these transcripts to cells with a segmentation algorithm to say, in a given cell, you can count up, you know, how often do you get a read of this gene, CD3E, within the borders of a cell.
[00:31:52.000 --> 00:31:55.000]   And so the data you get is effectively tabular.
[00:31:55.000 --> 00:31:57.000]   It's also very, very sparse.
[00:31:57.000 --> 00:31:59.000]   Most cells don't express most genes.
[00:31:59.000 --> 00:32:11.000]   And we're going to try to model this so that we can simulate things and ask, well, does this tilt the tumor immune microenvironment in a more or less favorable direction?
[00:32:11.000 --> 00:32:14.000]   Our general approach is to use masked autoencoders.
[00:32:14.000 --> 00:32:17.000]   This ends up being a transformer backbone.
[00:32:17.000 --> 00:32:26.000]   The thing worth calling out is that it's not autoregressive transformer processing, so there's no real sequence to the genes to care about.
[00:32:26.000 --> 00:32:34.000]   It's more like masked language modeling, where what we'll do is take the input, we'll mask out some of the tokens, and we predict the tokens we mask out.
[00:32:34.000 --> 00:32:38.000]   I'll show on the next slide what that actually looks like operationally.
[00:32:38.000 --> 00:32:43.000]   So if this is your input, imagine this has 1,000 rows, soon 18,000 rows.
[00:32:43.000 --> 00:32:46.000]   You have every gene and how often it was detected in a single cell.
[00:32:46.000 --> 00:32:48.000]   So the input is one cell here.
[00:32:48.000 --> 00:32:58.000]   We have a tokenization process that assigns a token to each combination of gene identity and the expression level.
[00:32:58.000 --> 00:33:03.000]   So you're encoding both how much of that thing you have and also what the identity of it is.
[00:33:03.000 --> 00:33:07.000]   And then we do partial masking.
[00:33:07.000 --> 00:33:10.000]   In our work, we tend to do pretty aggressive masking.
[00:33:10.000 --> 00:33:18.000]   So the number you should have in your head is like north of 90% of the tokens are removed and replaced with a learned mask token.
[00:33:18.000 --> 00:33:22.000]   So almost everything is removed from the sample.
[00:33:22.000 --> 00:33:26.000]   And the job of the model is to predict the things we removed.
[00:33:26.000 --> 00:33:28.000]   This is intentionally a very hard task.
[00:33:28.000 --> 00:33:33.000]   We want it to be basically as difficult as possible while still learning the biology.
[00:33:33.000 --> 00:33:41.000]   Because if you are able to do this, what it means is that you're able to use a very small amount of context to infer,
[00:33:41.000 --> 00:33:43.000]   OK, well, I see I have a lot of CD3.
[00:33:43.000 --> 00:33:48.000]   I don't get to see how much CD8 I have because that got masked out in the masking process.
[00:33:48.000 --> 00:34:07.000]   So I have to guess based on my knowledge of biology from learning from this dataset, is it likely that I express CD8, which would make me a cytotoxic or a killer T cell, if I express CD3, which is kind of a more generic marker for T cells that may or may not be killer T cells.
[00:34:07.000 --> 00:34:17.000]   So at inference time, what you can do with this kind of model is provide a couple of things that are not masked, like two tokens worth of information.
[00:34:17.000 --> 00:34:22.000]   And then staple on a bunch of mask tokens, you know, the other 998 genes in this panel.
[00:34:22.000 --> 00:34:25.000]   And then you can predict everything that's masked out.
[00:34:25.000 --> 00:34:32.000]   So you can say, given that you're conditioned on knowing you're a T cell and you're not a tumor, what else do you think is happening?
[00:34:32.000 --> 00:34:40.000]   And, you know, if you've learned from this huge dataset, you might think maybe the best you can do is say, well, OK, what does the average T cell look like?
[00:34:40.000 --> 00:34:47.000]   Because all I've told you is you have this T cell marker, CD3E, and you're definitely not a tumor cell because you're expressing none of this keratin marker.
[00:34:47.000 --> 00:34:50.000]   I don't want to say that this model is boring.
[00:34:50.000 --> 00:34:54.000]   There's a lot of interesting stuff you can do with it, but it's distinctly not multimodal.
[00:34:54.000 --> 00:34:55.000]   And I promised you multimodality.
[00:34:55.000 --> 00:35:08.000]   So I'm going to keep going with this background in mind and tell you about one kind of model that we have gotten a lot of leverage out of, which is to say, this task is very hard and there's a lot of ambiguity.
[00:35:08.000 --> 00:35:13.000]   And if you remember, I was talking about multimodality as a way to resolve ambiguity in predictions.
[00:35:13.000 --> 00:35:20.000]   So one thing that we do is we will take the local spatial neighborhood of a cell, the one we're trying to make predictions about.
[00:35:20.000 --> 00:35:23.000]   We'll ask, who are your eight nearest neighbors?
[00:35:23.000 --> 00:35:29.000]   And we will force the information about what those eight nearest neighbors are expressing through a bottleneck.
[00:35:29.000 --> 00:35:41.000]   That bottleneck is just another transformer, but it is required to boil down basically all of that rich spatial context about what's happening in the local environment down into one token.
[00:35:41.000 --> 00:35:47.000]   And then we use this adaptive layer norm approach or we've tried the append tokens thing.
[00:35:47.000 --> 00:35:48.000]   We've tried cross attention.
[00:35:48.000 --> 00:35:49.000]   They all seem to work.
[00:35:49.000 --> 00:35:51.000]   Some are just more efficient than others.
[00:35:51.000 --> 00:35:57.000]   And that feeds in as an additional input to what we refer to as the backbone.
[00:35:57.000 --> 00:36:10.000]   So now, if you have a prompt in your training that's ambiguous, you have a little bit of help because you might say, well, I don't know if I'm a killer T cell or not, but seven of my neighbors are killer T cells.
[00:36:10.000 --> 00:36:11.000]   And maybe I'm also a killer T cell.
[00:36:11.000 --> 00:36:13.000]   And that should help you do a little bit better.
[00:36:13.000 --> 00:36:22.000]   And the thing that I should have added here and forgot is showing that if you're just monitoring like the training loss of the backbone, it really likes having the spatial context.
[00:36:22.000 --> 00:36:28.000]   It helps quite a lot in lowering that loss curve.
[00:36:28.000 --> 00:36:33.000]   Once you have a model like that, you can do very large scale inference with it.
[00:36:33.000 --> 00:36:38.000]   So what we will do is take a real patient sample.
[00:36:38.000 --> 00:36:40.000]   We'll pick a location in that sample.
[00:36:40.000 --> 00:36:42.000]   Look up the nearest neighbors.
[00:36:42.000 --> 00:36:47.000]   And then we will ask the model to do inference with a specified prompt.
[00:36:47.000 --> 00:36:50.000]   In this case, I'm telling it, you are a killer T cell.
[00:36:50.000 --> 00:36:54.000]   You express these markers for regular T cells and for cytotoxicity.
[00:36:54.000 --> 00:37:01.000]   And I'm asking it to predict the other 990 plus genes conditioned on the spatial context.
[00:37:01.000 --> 00:37:10.000]   And on the right, I'm going to slowly build up at each position here what the model thinks is happening for one such gene, IL-7R.
[00:37:10.000 --> 00:37:17.000]   And you will already get a sense once this starts to speed up of how many simulations we're doing here.
[00:37:17.000 --> 00:37:23.000]   As of last week, I think we had run on the order of 6 billion virtual cell simulations like this.
[00:37:23.000 --> 00:37:38.000]   So we are able to ask basically arbitrary queries about what is happening in patient tissue by saying, hypothetically, if this cell type were in this location in the patient tissue, what do I think it's doing?
[00:37:38.000 --> 00:37:46.000]   And to close the loop in a second, I'll tell you about how you can do counterfactual simulations that will help you think about potential drugs.
[00:37:46.000 --> 00:37:59.000]   But for now, just appreciating that once you have this additional input stream to the model, you can pull out a lot of richness about what it's learned, about how spatial context affects what is happening at the single cell level.
[00:37:59.000 --> 00:38:06.000]   So we built a little web UI that lets you explore some of this data.
[00:38:06.000 --> 00:38:08.000]   I won't spend too long on it.
[00:38:08.000 --> 00:38:23.000]   But it lets you kind of pick a cell type, fly around a real patient sample, see what the cell identities of those nearest neighbors is, and then see how the model's prediction of different genes changes as you move around the space.
[00:38:23.000 --> 00:38:26.000]   So I could spend all day kind of mucking around in this.
[00:38:26.000 --> 00:38:27.000]   But it's public.
[00:38:27.000 --> 00:38:28.000]   Feel free to poke around.
[00:38:28.000 --> 00:38:31.000]   Let us know if you find anything interesting that we should turn into a drug.
[00:38:31.000 --> 00:38:36.000]   Yeah, the link is cellaporter.ai.
[00:38:36.000 --> 00:38:41.000]   We think of it as like teleporting cells around in patient data.
[00:38:41.000 --> 00:38:42.000]   May I ask you a question?
[00:38:42.000 --> 00:38:43.000]   Sure.
[00:38:43.000 --> 00:38:48.000]   So masking seems like a really interesting approach in strategy that it has applied.
[00:38:48.000 --> 00:38:52.000]   Is that to narrow it down to that one particular pathway?
[00:38:52.000 --> 00:38:59.000]   Is one of the 90% masking so you can actually trace like every single one?
[00:38:59.000 --> 00:39:01.000]   Is that the core function of masking?
[00:39:01.000 --> 00:39:03.000]   I think it advises two things.
[00:39:03.000 --> 00:39:07.000]   The first is that at training time, it makes the task very, very hard.
[00:39:07.000 --> 00:39:11.000]   So that the only way you could answer it is by learning about fundamental patient biology.
[00:39:11.000 --> 00:39:21.000]   If you provided, you know, go to the other extreme, you provide 999 genes, you only need to predict one, you will probably identify that, oh, I can usually predict this gene by the combination of these other two.
[00:39:21.000 --> 00:39:34.000]   The other thing that it helps us do is, I'll show this in a second, but if you train with a very high masking ratio, at inference time, you can bump the masking ratio to 100%, and the model doesn't freak out.
[00:39:34.000 --> 00:39:36.000]   It's like, oh, yeah, I'm used to seeing almost nothing.
[00:39:36.000 --> 00:39:47.000]   And then you can do interesting things like, well, what if I give you no information about that center cell and you only get to use the local spatial context, which is a mode we actually operate in quite often.
[00:39:47.000 --> 00:39:48.000]   Yeah.
[00:39:48.000 --> 00:39:56.000]   OK, this is another kind of thing we would do with these virtual cells.
[00:39:56.000 --> 00:40:04.000]   So the thing that I showed on this slide is the surrounding context is real data.
[00:40:04.000 --> 00:40:10.000]   We go to a real location in a real patient's tissue, look at the eight nearest cells, feed that expression in.
[00:40:10.000 --> 00:40:12.000]   But the model doesn't know what's real data and what isn't.
[00:40:12.000 --> 00:40:22.000]   So you can go create a synthetic neighborhood and say, OK, I'm going to start from the real data, and I'm going to simulate the effect of a drug by knocking down a particular target I'm interested in.
[00:40:22.000 --> 00:40:28.000]   And say the neighborhood is basically the same, except that I've removed a target of interest.
[00:40:28.000 --> 00:40:30.000]   I've done a synthetic knockout in the surrounding context.
[00:40:30.000 --> 00:40:40.000]   And I want to know, when I do that knockout, do I make this hypothetical center T cell more or less likely to be in tumor killing mode?
[00:40:40.000 --> 00:40:42.000]   So that's what this animation shows.
[00:40:42.000 --> 00:40:44.000]   The gene identities are redacted.
[00:40:44.000 --> 00:40:56.000]   But the y-axis is the increase in the production or predicted production of Granzyme K, which is part of the T cell cytotoxic arsenal for attacking tumors.
[00:40:56.000 --> 00:41:04.000]   And we can do these simulations for each of these 10,000-plus patient samples for each of the 1,000 genes in the panel.
[00:41:04.000 --> 00:41:11.000]   And you start to see how, with the right scale, you can very quickly search over hypotheses for what's happening in the patient tissue.
[00:41:11.000 --> 00:41:13.000]   Yeah?
[00:41:13.000 --> 00:41:16.000]   I would just look at the question.
[00:41:16.000 --> 00:41:21.000]   We have data for about 8,000 to 7,000 people.
[00:41:21.000 --> 00:41:35.000]   Yeah.
[00:41:35.000 --> 00:41:36.000]   Good question.
[00:41:36.000 --> 00:41:39.000]   So the question is, is 8,000 patients worth of data enough?
[00:41:39.000 --> 00:41:40.000]   Or do you need more?
[00:41:40.000 --> 00:41:44.000]   Yeah.
[00:41:44.000 --> 00:41:45.000]   Could you augment synthetic data?
[00:41:45.000 --> 00:41:49.000]   I think the answer is maybe.
[00:41:49.000 --> 00:42:03.000]   I would say if you are staying within a single indication, like we often think about non-small cell lung cancer, it's possible 8,000 patients covers the diversity of different patient biology or different modes that the tumor might be using to escape the immune system.
[00:42:03.000 --> 00:42:13.000]   I think there are things you could learn from expanding to more indications, different cancer types in different organs that could be generalizable even back to non-small cell lung cancer.
[00:42:13.000 --> 00:42:25.000]   And so we are actively collecting right now more data and more indications and more organs to make sure we're not ignoring a pocket of how the tumors might be learning to evade the immune system.
[00:42:25.000 --> 00:42:26.000]   Yeah.
[00:42:26.000 --> 00:42:38.000]   I think there probably are ways that you generate synthetic data.
[00:42:38.000 --> 00:42:51.000]   I'm not sure learning from it directly would help.
[00:42:51.000 --> 00:42:57.000]   Like if you're using a model that has trained on real data, I'm not sure if it's going to do better when it's generating its own synthetic data.
[00:42:57.000 --> 00:43:12.000]   But there are ways you can use your own knowledge about the biological system to produce things like these synthetic neighborhoods where you're saying, I'm going to go make a targeted change and then run inference and see what the model thinks will happen when I do a very specific perturbation in the data.
[00:43:12.000 --> 00:43:13.000]   Thanks.
[00:43:13.000 --> 00:43:14.000]   Okay.
[00:43:14.000 --> 00:43:25.000]   The thing about this data that I mentioned earlier is it's expensive and it's rare and it's hard to collect.
[00:43:25.000 --> 00:43:28.000]   I also mentioned that this H&E data is image based.
[00:43:28.000 --> 00:43:29.000]   It's pretty cheap.
[00:43:29.000 --> 00:43:30.000]   It's fairly ubiquitous.
[00:43:30.000 --> 00:43:31.000]   A lot of people have it.
[00:43:31.000 --> 00:43:46.000]   And one thing that we've been doing increasingly is seeing if we can use our model, which we call octo in part informally because it kind of looks like an octopus with a bunch of arms that sample different modalities to just translate from one to the other.
[00:43:46.000 --> 00:43:49.000]   So now we're back to multimodality as translation.
[00:43:49.000 --> 00:43:54.000]   The way that you do this is take this model that we're now familiar with.
[00:43:54.000 --> 00:44:06.000]   And now this diagram should look very familiar, except instead of gene expression data from the local neighborhood, we're passing in the surrounding H&E morphology of what is happening local to that cell in the patient's tissue.
[00:44:06.000 --> 00:44:11.000]   You know, we can only do this because the samples are spatially aligned as precisely as they are.
[00:44:11.000 --> 00:44:14.000]   And now the model gets to use this additional input as help.
[00:44:14.000 --> 00:44:16.000]   It's saying, I'm facing ambiguity.
[00:44:16.000 --> 00:44:17.000]   What can I do?
[00:44:17.000 --> 00:44:24.000]   Oh, well, I can look at the morphology of the cells around me and try to understand if that makes me, for example, a cytotoxic T cell or not.
[00:44:24.000 --> 00:44:30.000]   Once you've trained this model, you can then go to full masking.
[00:44:30.000 --> 00:44:36.000]   Just say, OK, I'm going to effectively ablate the primary input and just pass in 1,000 mask tokens.
[00:44:36.000 --> 00:44:44.000]   And now the only thing the model can do is use the local spatial context to say, well, I don't know anything about what the expression should be.
[00:44:44.000 --> 00:44:52.000]   I have to use this local context to try to make a prediction of what the gene expression of a hypothetical cell at the center of that spatial window is doing.
[00:44:52.000 --> 00:44:58.000]   And because we've trained it at a very high masking ratio, the model is not totally clueless about this.
[00:44:58.000 --> 00:45:01.000]   And we were curious if it makes reasonable predictions.
[00:45:01.000 --> 00:45:07.000]   So what we will do at inference time is take one of these H and E images, which, again, are fairly easy to acquire.
[00:45:07.000 --> 00:45:14.000]   Pick a spatial window and run the model forward in inference mode and say, OK, I'm not going to tell you anything about the expression of the cell.
[00:45:14.000 --> 00:45:16.000]   In this case, because I don't have it.
[00:45:16.000 --> 00:45:18.000]   Like, we don't know what's going on there.
[00:45:18.000 --> 00:45:23.000]   It could be someone sent me this H and E image, and they never ran spatial transcriptomics.
[00:45:23.000 --> 00:45:31.000]   The model will make a prediction about what the expression of all 1,000 genes in our panel is at the center of that spatial window.
[00:45:31.000 --> 00:45:36.000]   And here it's giving me some value for keratin 19, which is a tumor marker.
[00:45:36.000 --> 00:45:38.000]   And you can just run this as many times as you want.
[00:45:38.000 --> 00:45:41.000]   So in practice, we'll run this 1,000 times.
[00:45:41.000 --> 00:45:42.000]   Yeah.
[00:45:42.000 --> 00:45:47.000]   One question online is, are you only predicting the transcriptomics of non-cancer cells?
[00:45:47.000 --> 00:45:48.000]   No.
[00:45:48.000 --> 00:45:57.000]   We are predicting the transcriptomics for every cell, including immune cells, tumor cells, fibroblasts, thermal cells, whatever's in the data.
[00:45:57.000 --> 00:45:58.000]   Yeah.
[00:45:58.000 --> 00:46:06.000]   So if you run this process a few thousand times, you get basically a prediction heat map of where is it likely that there's a tumor,
[00:46:06.000 --> 00:46:12.000]   because you're asking the model to predict one of the 1,000 things it's predicting at each of these locations is a tumor marker.
[00:46:12.000 --> 00:46:14.000]   So here's the heat map you get.
[00:46:14.000 --> 00:46:17.000]   And then this is now going back.
[00:46:17.000 --> 00:46:22.000]   And for this core, we actually do have cell typing from transcriptomics data.
[00:46:22.000 --> 00:46:24.000]   And the red dots are where there's actually tumor.
[00:46:24.000 --> 00:46:29.000]   You can see that the model is predicting where there's tumor markers pretty effectively.
[00:46:29.000 --> 00:46:31.000]   I won't pretend this is perfect.
[00:46:31.000 --> 00:46:33.000]   There are definitely examples where it doesn't do a great job.
[00:46:33.000 --> 00:46:37.000]   So here's another sample that has a ton of B cells.
[00:46:37.000 --> 00:46:39.000]   That's the blue in this diagram.
[00:46:39.000 --> 00:46:45.000]   And it does, you know, it mostly predicts that there isn't a lot of tumor marker, which is mostly accurate.
[00:46:45.000 --> 00:46:50.000]   There isn't a lot of tumor in the sample, but it's still missing the few areas where there is.
[00:46:50.000 --> 00:47:00.000]   But for other markers, even within the same sample, it's doing a very good job of predicting from just this morphology image what the expression of various genes is.
[00:47:00.000 --> 00:47:07.000]   And, you know, there's imagine 997 more columns of this diagram and then 10,000 more slides with other samples.
[00:47:07.000 --> 00:47:15.000]   And that's how we're evaluating the ability of this model to do that translation from the images to the rich spatial transcriptomics.
[00:47:15.000 --> 00:47:19.000]   So essentially this is what you call masking.
[00:47:19.000 --> 00:47:36.000]   Right. We're leveraging the fact that we have the paired data in-house so we can teach the model to do that translation.
[00:47:36.000 --> 00:47:41.000]   And then at inference time, it's the model is happy if you mask everything out.
[00:47:41.000 --> 00:47:42.000]   It'll just use H&E.
[00:47:42.000 --> 00:47:54.000]   Yeah. Yeah, totally.
[00:47:54.000 --> 00:48:02.000]   So the thing I'm going to show on the next slide is actually I've been playing with ideas for, you know, what would an interface look like for you have H&E data.
[00:48:02.000 --> 00:48:05.000]   You don't have the ability to generate spatial transcriptomics.
[00:48:05.000 --> 00:48:10.000]   You can imagine an interface where someone uploads their own H&E.
[00:48:10.000 --> 00:48:17.000]   You predict a full thousand dimensional panel of what the expression is of a bunch of different genes at every location.
[00:48:17.000 --> 00:48:20.000]   We know what different gene programs look like.
[00:48:20.000 --> 00:48:29.000]   And you can actually use a large language model to find for you, you know, common areas where things are popping out and descriptions of what's happening.
[00:48:29.000 --> 00:48:44.000]   So you get a fully end-to-end automated, you upload a sample, we predict what the gene expression would be in that sample, and then you can go explore the data, talk with an LLM, explore whatever you want, ask questions about it, and eventually run simulations in browser.
[00:48:48.000 --> 00:48:57.000]   So basically what we have built here is a system that attempts to translate relatively easy-to-acquire data into rich patient representations.
[00:48:57.000 --> 00:49:06.000]   So this is kind of a pretty PCA projection of the first few principal components of the thousand-dimensional signal at each location.
[00:49:06.000 --> 00:49:15.000]   But what we will actually do with that is then each dot in the diagram to the right is one sample from one patient.
[00:49:15.000 --> 00:49:17.000]   And we're embedding it in a two-dimensional space.
[00:49:17.000 --> 00:49:25.000]   In this case, I think we're using PSNI, and we're putting patient samples together if their predicted gene expression profiles are similar.
[00:49:25.000 --> 00:49:29.000]   And what I'm labeling by here is actually the patient genetics.
[00:49:29.000 --> 00:49:37.000]   So the model has no idea about whether a patient has a genetic mutation in cancer driver mutations.
[00:49:37.000 --> 00:49:44.000]   But it turns out that because the model has learned patient biology, when you cluster together predictions from different patients,
[00:49:44.000 --> 00:49:48.000]   the ones that have common genetic mutations end up clustering in this space.
[00:49:48.000 --> 00:50:00.000]   So you can recover patient biology starting, again, just from this H and E image because we have trained this model on a bunch of paired data that has H and E and spatial transcriptomics.
[00:50:00.000 --> 00:50:09.000]   Yeah, we spend a lot of time asking what the structure of the space is telling us about the data.
[00:50:09.000 --> 00:50:19.000]   I'm just going to give a quick tour of another kind of model that will look familiar because it's using similar masked autoencoding.
[00:50:19.000 --> 00:50:21.000]   This is using that protein data.
[00:50:21.000 --> 00:50:24.000]   So in this example, the model is not predicting gene expression.
[00:50:24.000 --> 00:50:26.000]   It's predicting protein images.
[00:50:26.000 --> 00:50:30.000]   And we're feeding in the other three modalities as extra tokens.
[00:50:30.000 --> 00:50:33.000]   So this is now not the adaptive layer norm thing I mentioned.
[00:50:33.000 --> 00:50:43.000]   It's just stapling on bonus tokens into the token stream and letting them interact with the primary token stream, which comes from these 16-channel protein images.
[00:50:43.000 --> 00:50:57.000]   So in this model, if I'm creating a new dataset given the earlier process, can that become another input dataset?
[00:50:57.000 --> 00:50:58.000]   Yeah.
[00:50:58.000 --> 00:50:59.000]   Yeah.
[00:50:59.000 --> 00:51:11.000]   So you could only collect H and E, impute or predict what the spatial transcriptomics would have looked like if you collected it, feed that in.
[00:51:11.000 --> 00:51:15.000]   The question is if that helps you learn anything.
[00:51:15.000 --> 00:51:16.000]   And I don't have an answer to that yet.
[00:51:16.000 --> 00:51:17.000]   We're exploring it.
[00:51:17.000 --> 00:51:18.000]   But it's an interesting idea.
[00:51:18.000 --> 00:51:19.000]   Yeah.
[00:51:19.000 --> 00:51:20.000]   OK.
[00:51:20.000 --> 00:51:26.000]   So what we do in this space is ask questions like, well, how do we want to simulate the effect of a drug?
[00:51:26.000 --> 00:51:35.000]   The effect of a drug simulated might look like modifying the spatial transcriptomics data, where you say, this drug suppresses this protein.
[00:51:35.000 --> 00:51:44.000]   And so you could say that the way that would look in the spatial transcriptomics data is suppressing the leads of one gene or a combination of genes.
[00:51:44.000 --> 00:52:01.000]   And you're going to run this counterfactual, a what if, of, well, what if I had applied that drug, changed the spatial transcriptomics data in this way, and run that forward to a prediction of saying, well, how does that change the output of the model trying to predict the protein image on the other side?
[00:52:01.000 --> 00:52:05.000]   And I have a small animation showing how that might happen.
[00:52:05.000 --> 00:52:08.000]   So this is a sample from a patient.
[00:52:08.000 --> 00:52:09.000]   The yellow here are immune cells.
[00:52:09.000 --> 00:52:11.000]   The pink is tumor.
[00:52:11.000 --> 00:52:14.000]   Now you can run two what ifs.
[00:52:14.000 --> 00:52:22.000]   In one what if simulation, you're cranking up the expression of this gene whose identity is redacted here.
[00:52:22.000 --> 00:52:25.000]   And in the other one, you're suppressing the activity of that gene.
[00:52:25.000 --> 00:52:29.000]   So now I'm back to creating synthetic data on my multimodal input arms.
[00:52:29.000 --> 00:52:34.000]   And I'm going to now run both of those parallel universes forward.
[00:52:34.000 --> 00:52:41.000]   And what I'm looking for is the readout is one of these 16 channels that's being predicted.
[00:52:41.000 --> 00:52:47.000]   In this case, I'm looking for a tumor immunogenicity marker where higher would indicate more favorable.
[00:52:47.000 --> 00:52:57.000]   And you can see that the simulation is telling us, yeah, you should crank up the expression of gene one if you can, because it leads to a more favorable outcome on the other side.
[00:52:57.000 --> 00:53:12.000]   So one way that we often are using multimodal models is to say, we want this backbone that makes predictions to tell us what would change if we could impart a delta or a modification or a perturbation on another one of the input streams.
[00:53:12.000 --> 00:53:13.000]   OK.
[00:53:13.000 --> 00:53:14.000]   OK.
[00:53:14.000 --> 00:53:15.000]   OK.
[00:53:15.000 --> 00:53:16.000]   OK.
[00:53:16.000 --> 00:53:17.000]   OK.
[00:53:17.000 --> 00:53:18.000]   OK.
[00:53:18.000 --> 00:53:19.000]   OK.
[00:53:19.000 --> 00:53:19.000]   OK.
[00:53:19.000 --> 00:53:25.000]   So if you have a-- if you're able to express your hypothesis for what a drug should do in the input space of the model,
[00:53:25.000 --> 00:53:33.000]   and you have a readout on the other side of what is good or bad, then yeah, you could compare multiple different ideas and see which one looks like it'd be most effective.
[00:53:33.000 --> 00:53:39.000]   OK.
[00:53:39.000 --> 00:53:45.000]   I showed like a relatively small fraction of the research that we're doing here.
[00:53:45.000 --> 00:53:48.000]   But in general, we're very open about sharing the science we're doing.
[00:53:48.000 --> 00:53:50.000]   So we have three blog posts up.
[00:53:50.000 --> 00:53:54.000]   You can get to them at noetic.ai/research.
[00:53:54.000 --> 00:53:59.000]   This first one is about the protein-image-based models that I just showed.
[00:53:59.000 --> 00:54:02.000]   There's more detail on how we're generating data in lab.
[00:54:02.000 --> 00:54:07.000]   And then some of this new spatial transcriptomic stuff is in a more recent post.
[00:54:07.000 --> 00:54:09.000]   OK.
[00:54:09.000 --> 00:54:10.000]   I just have a couple of more slides.
[00:54:10.000 --> 00:54:14.000]   And then it looks like we'll have a bit of time for further questions.
[00:54:14.000 --> 00:54:23.000]   One thing that we're moving toward doing, if you'll excuse kind of the chaotic animation here, is instead of trying to assign these RNA detections to cells,
[00:54:23.000 --> 00:54:30.000]   we're just going straight to the raw data and seeing what we can do with that point cloud of 10 million points that my computer choked on earlier.
[00:54:30.000 --> 00:54:45.000]   And so we're training models that are able to look at the local spatial context in this raw point cloud of RNA transcripts and predict what is going to happen at many points spatially in the sample.
