
[00:00:00.000 --> 00:00:04.060]   This is Sax's big day. There he is. Oh, there's Tucker. Oh, look
[00:36:51.360 --> 00:36:53.360]   It happens in non-Christian Japan.
[00:36:53.360 --> 00:36:55.360]   It happens in post-Christian Spain.
[00:36:55.360 --> 00:37:04.360]   It happens in South Korea with a point seven replacement, you know, reproduction rate point seven.
[00:37:04.360 --> 00:37:06.360]   So what is that?
[00:37:06.360 --> 00:37:08.360]   And again, it's the same thing.
[00:37:08.360 --> 00:37:10.360]   It's that affluence kills you.
[00:37:10.360 --> 00:37:13.360]   And if you don't believe it, fast for three days.
[00:37:13.360 --> 00:37:17.360]   Fasting, by the way, is a feature not just of, you know, Christian history.
[00:37:17.360 --> 00:37:25.360]   Every religion and every culture that I'm aware of has acknowledged fasting as an important religious ritual.
[00:37:25.360 --> 00:37:26.360]   Why is that?
[00:37:26.360 --> 00:37:29.360]   Why would foregoing food be so important?
[00:37:29.360 --> 00:37:34.360]   Try it for three days and experience, you know, you're quivering like a tuning fork.
[00:37:34.360 --> 00:37:36.360]   Your sensitivity just explodes.
[00:37:36.360 --> 00:37:42.360]   There's something about eating too much, literally satisfying the most basic need of all, which is for calories.
[00:37:42.360 --> 00:37:44.360]   There's something about that that kills you.
[00:37:44.360 --> 00:37:47.360]   And there's something about foregoing it that enlightens you.
[00:37:47.360 --> 00:37:48.360]   It's like super interesting.
[00:37:48.360 --> 00:37:50.360]   So I look, there's so much I don't know.
[00:37:50.360 --> 00:37:52.360]   I'm the last person you want to listen to.
[00:37:52.360 --> 00:37:54.360]   These are deeper waters that I'm qualified to wade in.
[00:37:54.360 --> 00:37:59.360]   But my senses tell me very, very strongly that the core problem is having too much.
[00:37:59.360 --> 00:38:01.360]   And I'm not calling for taking things away.
[00:38:01.360 --> 00:38:04.360]   I think the global warming bullshit is bullshit.
[00:38:04.360 --> 00:38:07.360]   OK, I mean, obviously it is climate crisis.
[00:38:07.360 --> 00:38:10.360]   It's propaganda, but it's coming out of it's also sincere to some extent.
[00:38:10.360 --> 00:38:13.360]   It's not just a power grab by Davos.
[00:38:13.360 --> 00:38:14.360]   It's more than that.
[00:38:14.360 --> 00:38:19.360]   It's people's gut level sense that we need to have less because this is killing us.
[00:38:19.360 --> 00:38:20.360]   And that is real.
[00:38:20.360 --> 00:38:24.360]   Freiburg is, Tucker said global warming is bullshit.
[00:38:24.360 --> 00:38:26.360]   I'm just going to pull up an image for him.
[00:38:26.360 --> 00:38:28.360]   I just want his reaction to it.
[00:38:28.360 --> 00:38:29.360]   Freiburg?
[00:38:29.360 --> 00:38:30.360]   You just said that to the Sultan of Science.
[00:38:30.360 --> 00:38:31.360]   Let's see.
[00:38:31.360 --> 00:38:42.360]   No, no, but Tucker has like, no, no, I think it's like just on that topic, you know, data shows temperatures are getting warmer off of a baseline of 500 years and now things get warmer.
[00:38:42.360 --> 00:38:43.360]   Oh, no, no, I'm so sorry.
[00:38:43.360 --> 00:38:45.360]   Can I just make a small correction?
[00:38:45.360 --> 00:38:47.360]   No, I'm not saying it's not getting warmer.
[00:38:47.360 --> 00:38:48.360]   It seems to be getting warmer.
[00:38:48.360 --> 00:39:00.360]   I'm really saying this whole elaborate theory that humans are causing this rise in temperatures and we know how to reverse it through, say, shutting down, you know, the use of hydrocarbons.
[00:39:00.360 --> 00:39:07.360]   Yeah, I mean, and even if that were true, what we're doing to affect those changes shows how fraudulent the whole thing is.
[00:39:07.360 --> 00:39:08.360]   I mean, you know, the whole arguments.
[00:39:08.360 --> 00:39:10.360]   But I'm not actually calling into question that it's changing.
[00:39:10.360 --> 00:39:11.360]   Temperatures always change.
[00:39:11.360 --> 00:39:14.360]   I live in Maine, which was shaped by the glaciers 10,000 years ago.
[00:39:14.360 --> 00:39:16.360]   So, like, yeah, we've had some climate change.
[00:39:16.360 --> 00:39:20.360]   Do you think that human civilization is not threatened by the changing climate?
[00:39:20.360 --> 00:39:22.360]   I just, this is a quick little point, but.
[00:39:22.360 --> 00:39:24.360]   Do I think, well, sure.
[00:39:24.360 --> 00:39:27.360]   I mean, it's threatened in some ways, probably help in other ways.
[00:39:27.360 --> 00:39:28.360]   I personally hate hot weather.
[00:39:28.360 --> 00:39:31.360]   So, you know, I don't care for it.
[00:39:31.360 --> 00:39:39.360]   I think there's quite a bit of evidence that previous, that actually temperature changes can be much more radical than we think.
[00:39:39.360 --> 00:39:41.360]   And I'll just give you one example that no one's ever explained.
[00:39:41.360 --> 00:39:52.360]   But you're aware that there are all these woolly mammoths found in Kastan Ice in Siberia and the Soviet, you know, early Soviet 1920s expedition to map all of Russia found these things.
[00:39:52.360 --> 00:39:55.360]   And at least one stranded expedition ate them.
[00:39:55.360 --> 00:40:02.360]   OK, they ate the woolly mammoth because it had been frozen so thoroughly that after thousands of years, the meat was still edible.
[00:40:02.360 --> 00:40:05.360]   Yeah. Well, the question is, like, how did that happen?
[00:40:05.360 --> 00:40:09.360]   And I think it was the guy who ran Birdseye Frozen Food, who was an expert on freezing meat.
[00:40:09.360 --> 00:40:12.360]   It's like, wait a second, that weighs X thousand pounds.
[00:40:12.360 --> 00:40:15.360]   It would have to be frozen extremely quickly.
[00:40:15.360 --> 00:40:17.360]   And I know this from hunting, too.
[00:40:17.360 --> 00:40:21.360]   You have to freeze meat very fast to keep it from spoiling.
[00:40:21.360 --> 00:40:22.360]   From the bacteria.
[00:40:22.360 --> 00:40:23.360]   How did that happen?
[00:40:23.360 --> 00:40:26.360]   Well, no, no, for real, though, because it decomposes very, a big animal.
[00:40:26.360 --> 00:40:35.360]   If you shoot, say, a moose or a big deer or a mule deer, you have to open it up immediately or the meat will spoil because the bigger it is, the more heat it generates.
[00:40:35.360 --> 00:40:45.360]   Right. We know that it's like, OK, so how exactly did hundreds or thousands of large animals get frozen so quickly that the meat is still edible thousands of years later?
[00:40:45.360 --> 00:40:47.360]   That's an honest question that no one's ever answered.
[00:40:47.360 --> 00:40:54.360]   And the only potential or even plausible answer is temperature changed so fast it flash froze them.
[00:40:54.360 --> 00:40:56.360]   Well, how did that happen? Like what?
[00:40:56.360 --> 00:40:58.360]   No, these are sincere questions.
[00:40:58.360 --> 00:41:01.360]   Interesting. I'll look into it. I'll get back to you. I've not heard about this.
[00:41:01.360 --> 00:41:03.360]   No, no, but like, what is that?
[00:41:03.360 --> 00:41:05.360]   Flash frozen food. That's interesting.
[00:41:05.360 --> 00:41:07.360]   This reminds me of that Marlon Brando film.
[00:41:07.360 --> 00:41:11.360]   You remember where he like goes to an island and eats the like super rare food?
[00:41:11.360 --> 00:41:13.360]   It's like a Komodo dragon or something.
[00:41:13.360 --> 00:41:16.360]   The graduates, Matthew Broderick's in it. So good.
[00:41:16.360 --> 00:41:21.360]   It's like the expedition to Siberia to eat the flash frozen woolly mammoths and make a good sequel.
[00:41:21.360 --> 00:41:23.360]   But it's interesting. I'm going to look into it.
[00:41:23.360 --> 00:41:25.360]   I don't know the answer to how and why the woolly mammoths froze so fast.
[00:41:25.360 --> 00:41:31.360]   But the point is, the climate, here's the point, that we have physical evidence that the climate on Earth,
[00:41:31.360 --> 00:41:36.360]   within, you know, inside our atmosphere has changed dramatically, so dramatically that it would, you know,
[00:41:36.360 --> 00:41:44.360]   kill every person who was affected by it like a number of times that we know of over the course of the history of the Earth.
[00:41:44.360 --> 00:41:50.360]   So like, I mean, I think there could, you know, we could be in for actual climate change that killed everybody.
[00:41:50.360 --> 00:41:55.360]   That's entirely possible. But the idea that it's the fault of the United States because of, you know,
[00:41:55.360 --> 00:41:59.360]   you drive an F-150 is like so absurd. It's like hard to believe anyone takes that seriously.
[00:41:59.360 --> 00:42:01.360]   There's like no evidence of that, actually. Sorry.
[00:42:01.360 --> 00:42:05.360]   Yeah, I'm generally just an optimist about solutions anyway.
[00:42:05.360 --> 00:42:08.360]   But, you know, I think human ingenuity has always prevailed.
[00:42:08.360 --> 00:42:15.360]   So all this pessimism and catastrophizing, I do disagree with respect to like,
[00:42:15.360 --> 00:42:20.360]   there is science that indicates that there are elements that were kind of affecting things in an adverse way,
[00:42:20.360 --> 00:42:25.360]   a challenging way. But I'm not concerned about the challenges just because of where human technology sits
[00:42:25.360 --> 00:42:31.360]   and the things we can do. So I'm, I have a slightly different point of view, but I hear you on it.
[00:42:31.360 --> 00:42:33.360]   I don't want to debate the point. Sorry, Chamath, go ahead.
[00:42:33.360 --> 00:42:35.360]   Yeah, that's a whole nother thing.
[00:42:35.360 --> 00:42:39.360]   I just want to up-level this back to something because I think if I had to summarize what you're saying is,
[00:42:39.360 --> 00:42:45.360]   you're saying, Chamath, our society is too prosperous. And as a result, that prosperity creates
[00:42:45.360 --> 00:42:51.360]   small fringe issues that dominate, which then creates an inability for us to be cohesive.
[00:42:51.360 --> 00:42:56.360]   So then if we have something that allows us to be forced to be more resilient,
[00:42:56.360 --> 00:43:01.360]   we will actually wake up from this fever and say, hold on, guys, what are the big issues?
[00:43:01.360 --> 00:43:05.360]   Let's really figure out what matters. Let's get organized and let's go after those.
[00:43:05.360 --> 00:43:09.360]   And that both is a healing of the country, but it's almost like our insurance policy.
[00:43:09.360 --> 00:43:14.360]   Is that kind of a, is that a fair summary? If I had to put what you're saying in a box or is that?
[00:43:14.360 --> 00:43:21.360]   Well, I would, I would hate ever to seem like I'm looking forward to catastrophe because I'm not.
[00:43:21.360 --> 00:43:23.360]   And I hope it doesn't unfold that way.
[00:43:23.360 --> 00:43:25.360]   No, no, no, I don't think you're saying that.
[00:43:25.360 --> 00:43:29.360]   No, I mean, I used to drink too much. And I know a lot of people used to drink too much and, you know,
[00:43:29.360 --> 00:43:33.360]   use drugs or whatever. And some of them didn't get better until they went to jail, you know,
[00:43:33.360 --> 00:43:35.360]   which is what people who drink too much tend to do over time.
[00:43:35.360 --> 00:43:40.360]   That never happened to me. And I'm so grateful for it. Like, you don't need to, you know, get to the bottom.
[00:43:40.360 --> 00:43:41.360]   You don't need to get there. Right.
[00:43:41.360 --> 00:43:46.360]   You don't. I don't think that you do. I'm just, I'm just really worried that we're not even having a conversation about this.
[00:43:46.360 --> 00:43:50.360]   And, but I, again, would point to what I said a second ago, but there's something metaphysical here.
[00:43:50.360 --> 00:43:55.360]   There's something deeper than just, you know, the, the search for advantage,
[00:43:55.360 --> 00:44:00.360]   which is a big motivator among people, but there's something more than that going on.
[00:44:00.360 --> 00:44:05.360]   Why are we intentionally wrecking the society? And we are.
[00:44:05.360 --> 00:44:10.360]   And I, and I hear people say, well, it's because some people are getting paid.
[00:44:10.360 --> 00:44:13.360]   Yeah, it's not really an adequate answer. It's more than that. There's something going on.
[00:44:13.360 --> 00:44:19.360]   Like instinctively people want to, some people want to tear it all down.
[00:44:19.360 --> 00:44:22.360]   And I don't think it's necessarily so they can rebuild it to their own advantage.
[00:44:22.360 --> 00:44:26.360]   I think like destruction is the point. And I just watch carefully.
[00:44:26.360 --> 00:44:31.360]   And I don't really know what's going on here, but something much deeper than what we're acknowledging is going on here.
[00:44:31.360 --> 00:44:35.360]   Well, I think it comes back to this point about, I can't get what these other people have.
[00:44:35.360 --> 00:44:39.360]   And there's now an insurmountable barrier that I cannot ever get there.
[00:44:39.360 --> 00:44:45.360]   Yeah. I mean, that doesn't explain why, but hold on, that doesn't explain like why, for example,
[00:44:45.360 --> 00:44:50.360]   Dustin Moskowitz is supporting revolutionary politics and chase a Boudin.
[00:44:50.360 --> 00:44:53.360]   I think it's a good example, Sachs. I think it does.
[00:44:53.360 --> 00:44:57.360]   When you have massive abundance to Schmott's point about the idle mind,
[00:44:57.360 --> 00:45:02.360]   you know, Dustin Moskowitz has achieved more than any human could achieve billions of dollars.
[00:45:02.360 --> 00:45:07.360]   And now he's got this surplus. And then whatever, you know, to Tucker's point,
[00:45:07.360 --> 00:45:14.360]   whatever he's dealing with personally now becomes this, you know, canvas under which he's going to deploy that wealth in an outsourced way.
[00:45:14.360 --> 00:45:16.360]   I think it actually does explain it.
[00:45:16.360 --> 00:45:22.360]   It fits more with like luxury beliefs than with the idea that like scarcity or envy is somehow driving it.
[00:45:22.360 --> 00:45:26.360]   Yeah, but yes, so those are luxury beliefs, and he's got a huge bankroll.
[00:45:26.360 --> 00:45:30.360]   Therefore, it has an outsized impact as sort of Tucker's been saying.
[00:45:30.360 --> 00:45:37.360]   I think the luxury point is once you reach a certain point, your attention can then shift to morality.
[00:45:37.360 --> 00:45:41.360]   When you're starving in a street, and you need to feed your children,
[00:45:41.360 --> 00:45:49.360]   you're not focusing your whole day on the morality and better treatment of others in the world and extending, you know, morality to the rest of the world.
[00:45:49.360 --> 00:45:53.360]   But when you have that luxury, you have to focus your attention in that sense.
[00:45:53.360 --> 00:46:00.360]   I do think that there's this large element that the term equality gets recast into every aspect of society,
[00:46:00.360 --> 00:46:04.360]   which ultimately leads to this general point of view of Marxism,
[00:46:04.360 --> 00:46:08.360]   which is everyone has to have an equal outcome versus an equal opportunity.
[00:46:08.360 --> 00:46:11.360]   And that's where the prosperity takes this.
[00:46:11.360 --> 00:46:17.360]   But I think I agree with a lot of what you're saying, but I think it's maybe more profound than that.
[00:46:17.360 --> 00:46:22.360]   I mean, you're absolutely right that only societies that have reached a certain point can afford to think about certain things.
[00:46:22.360 --> 00:46:27.360]   You don't see, you know, hunter-gatherer societies don't debate effective altruism because they're looking for roots.
[00:46:27.360 --> 00:46:28.360]   So I agree with that.
[00:46:28.360 --> 00:46:38.360]   However, if you look at the behavior of some of the richest people in our society, and I can't speak to Dustin Moskowitz, but I have this, you know, I know people like that.
[00:46:38.360 --> 00:46:42.360]   What they're funding are not exactly luxury beliefs.
[00:46:42.360 --> 00:46:44.360]   It's they're like funding destruction, actually.
[00:46:44.360 --> 00:46:52.360]   And so like previous generations of liberal rich people funded things like public libraries, summer camps for poor kids.
[00:46:52.360 --> 00:46:55.360]   Remember the New York Times used to have these fundraisers, like Fresh Air Fund or whatever.
[00:46:55.360 --> 00:46:57.360]   And people made fun of it. I always kind of like that.
[00:46:57.360 --> 00:47:01.360]   Like you have extra money and like, you know, help the poor kids.
[00:47:01.360 --> 00:47:04.360]   You know, whether it works or not, we can debate, but like I get it.
[00:47:04.360 --> 00:47:09.360]   But Dustin Moskowitz, if you're Dustin Moskowitz or any, I don't mean to pick on him, but any like really rich person,
[00:47:09.360 --> 00:47:14.360]   and you're at Baker's Bay or some discovery property that, you know, you and your billionaire friends go to,
[00:47:14.360 --> 00:47:17.360]   you might occur to you like, why not build one of these for like all the poor kids?
[00:47:17.360 --> 00:47:21.360]   Only poor black kids get to go to this resort for a week.
[00:47:21.360 --> 00:47:24.360]   And that might be, it might work, it might not work.
[00:47:24.360 --> 00:47:29.360]   Like all of American social, the history of American social reform is kind of species of that.
[00:47:29.360 --> 00:47:31.360]   Like we're going to help poor people by doing this or that.
[00:47:31.360 --> 00:47:32.360]   That's not what they're doing.
[00:47:32.360 --> 00:47:34.360]   It's like, hey, poor people, here are some more crack pipes.
[00:47:34.360 --> 00:47:37.360]   And like, it's immoral to criticize your drug addiction.
[00:47:37.360 --> 00:47:42.360]   And what we need are more black people selling weed or it's cool to set fires.
[00:47:42.360 --> 00:47:44.360]   And we can't criticize you for burning down Wendy's.
[00:47:44.360 --> 00:47:45.360]   Like what?
[00:47:45.360 --> 00:47:48.360]   That is not the same thing.
[00:47:48.360 --> 00:47:50.360]   That is super dark.
[00:47:50.360 --> 00:47:53.360]   There's no even possibility of uplift or advancement.
[00:47:53.360 --> 00:47:54.360]   It's just the opposite.
[00:47:54.360 --> 00:47:55.360]   They know it.
[00:47:55.360 --> 00:47:56.360]   These are smart people.
[00:47:56.360 --> 00:47:58.360]   So like, what are we looking at?
[00:47:58.360 --> 00:48:03.360]   - Well, Tucker, he's in Dustin's mind, I'm sure he believes he's doing the right thing.
[00:48:03.360 --> 00:48:04.360]   - Yeah, yeah, yeah.
[00:48:04.360 --> 00:48:05.360]   - So he's just kind of like.
[00:48:05.360 --> 00:48:06.360]   - He thinks he's funding social justice.
[00:48:06.360 --> 00:48:09.360]   I think like Soros would be an even better example, right?
[00:48:09.360 --> 00:48:14.360]   Where like, it's hard to argue that what he's funding is not extremely destructive.
[00:48:14.360 --> 00:48:21.360]   So the revolutionary politics are not somehow coming from below the way you would expect a revolution to normally happen.
[00:48:21.360 --> 00:48:25.360]   They're being imposed from above by some of the biggest winners in our society.
[00:48:25.360 --> 00:48:26.360]   And that is weird.
[00:48:26.360 --> 00:48:27.360]   That is a contradiction.
[00:48:27.360 --> 00:48:28.360]   - They're not being false.
[00:48:28.360 --> 00:48:29.360]   - That is not what you expect.
[00:48:29.360 --> 00:48:30.360]   - It is a bizarre outcome.
[00:48:30.360 --> 00:48:31.360]   Let's.
[00:48:31.360 --> 00:48:33.360]   - It's exactly what you'd expect.
[00:48:33.360 --> 00:48:35.360]   And it's exactly what happened in the Bolshevik revolution.
[00:48:35.360 --> 00:48:44.360]   I mean, half of the Romanov household, you know, Nicholas II, who was murdered with his wife and children in the basement, as you know, by the Bolsheviks.
[00:48:44.360 --> 00:48:47.360]   His extended household supported the Bolsheviks.
[00:48:47.360 --> 00:48:53.360]   Rich people, who are a small minority, by the way, there are a million different revolutionary groups at the end of the First World War in Russia.
[00:48:53.360 --> 00:48:55.360]   Clearly, there was going to be a change.
[00:48:55.360 --> 00:48:56.360]   Clearly, the monarchy was doomed.
[00:48:56.360 --> 00:48:57.360]   And there were a lot of different options.
[00:48:57.360 --> 00:49:02.360]   And the most radical, crazy, nihilistic, atheistic option was the Bolsheviks.
[00:49:02.360 --> 00:49:04.360]   And they had the support of the rich people.
[00:49:04.360 --> 00:49:06.360]   And like, including the Czar's family.
[00:49:06.360 --> 00:49:07.360]   So, like, what is that?
[00:49:07.360 --> 00:49:08.360]   It's the same thing.
[00:49:08.360 --> 00:49:09.360]   Always the same thing.
[00:49:09.360 --> 00:49:14.360]   It's the people with the most have the strongest desire to kill themselves and their society.
[00:49:14.360 --> 00:49:15.360]   That's just true.
[00:49:15.360 --> 00:49:16.360]   - It's an interesting theory.
[00:49:16.360 --> 00:49:18.360]   I mean, there are some people who are very thoughtful, right?
[00:49:18.360 --> 00:49:22.360]   You have Bill Gates or Jeff Bezos, who are thinking about philanthropy in a very thoughtful way.
[00:49:22.360 --> 00:49:23.360]   Now, they can make mistakes, of course.
[00:49:23.360 --> 00:49:25.360]   But they're thinking, hey, where's the most suffering?
[00:49:25.360 --> 00:49:33.360]   How do I work backwards from mosquito tents to, you know, vaccines or whatever, you know, we perceive is, what they perceive is the most suffering thing.
[00:49:33.360 --> 00:49:35.360]   They can relieve in the world.
[00:49:35.360 --> 00:49:36.360]   So, it does seem like it can go either way.
[00:49:36.360 --> 00:49:43.360]   - Tucker, do you think it's because most people that get very wealthy very fast feel like it was unfair?
[00:49:43.360 --> 00:49:47.360]   And they feel guilty and then they have to, like, destroy the system that got them there?
[00:49:47.360 --> 00:49:49.360]   - I think there's a lot.
[00:49:49.360 --> 00:49:54.360]   I think that's such a deep point, though, because and you, I know that, you know, you live among people.
[00:49:54.360 --> 00:49:56.360]   I mean, you're familiar with this world.
[00:49:56.360 --> 00:49:59.360]   So, and only someone who is could say that because you're absolutely right.
[00:49:59.360 --> 00:50:00.360]   Rich people are not all the same.
[00:50:00.360 --> 00:50:06.360]   If you meet someone who made his money incrementally over time, he's much less likely to have the desire.
[00:50:06.360 --> 00:50:08.360]   You know, you may not agree with him on everything.
[00:50:08.360 --> 00:50:09.360]   He may be a good person, a bad person.
[00:50:09.360 --> 00:50:11.360]   But he doesn't want to tear it down.
[00:50:11.360 --> 00:50:14.360]   And he doesn't feel especially guilty for what he has.
[00:50:14.360 --> 00:50:16.360]   And I have found just a non-political point.
[00:50:16.360 --> 00:50:22.360]   But as I get older, I want to spend less time with people who hate themselves because they're not capable of loving other people.
[00:50:22.360 --> 00:50:27.360]   Like, that's not a good place to start, actually, as a person, to hate yourself or feel super guilty.
[00:50:27.360 --> 00:50:28.360]   It really isn't.
[00:50:28.360 --> 00:50:31.360]   You don't end up helping others when you feel that way.
[00:50:31.360 --> 00:50:34.360]   But when you find people who inherited a lot of money, we never talk about that.
[00:50:34.360 --> 00:50:36.360]   It's a huge problem in this country.
[00:50:36.360 --> 00:50:38.360]   I'm not arguing for the death tax at all.
[00:50:38.360 --> 00:50:44.360]   But I'm just saying as an observation, there are an awful, there's a huge class of people with massive inherited wealth.
[00:50:44.360 --> 00:50:46.360]   And they're almost all horrible.
[00:50:46.360 --> 00:50:47.360]   Not all of them.
[00:50:47.360 --> 00:50:50.360]   I mean, I know, you know, very well, I know some of them and they're fine.
[00:50:50.360 --> 00:50:51.360]   Some of them are great.
[00:50:51.360 --> 00:50:52.360]   But as a class, they're awful.
[00:50:52.360 --> 00:50:54.360]   And they don't help at all.
[00:50:54.360 --> 00:50:56.360]   And they're also super annoying and dumb.
[00:50:56.360 --> 00:51:00.360]   And I think it's the wealth, it's just true and everyone knows it's true.
[00:51:00.360 --> 00:51:04.360]   We're about to do that for tens of millions of Americans, right?
[00:51:04.360 --> 00:51:09.360]   You know, we're about to go the largest generation of wealth transfer beyond imagination.
[00:51:09.360 --> 00:51:11.360]   We're talking trillions and trillions and trillions.
[00:51:11.360 --> 00:51:18.360]   So, that problem that you just encapsulated, we're going to cascade across tens of millions of Americans.
[00:51:18.360 --> 00:51:20.360]   It's also happened in Japan.
[00:51:20.360 --> 00:51:23.360]   And in Japan, they have a negative growth rate as well.
[00:51:23.360 --> 00:51:26.360]   Let's pivot to a topic that we can talk.
[00:51:26.360 --> 00:51:28.360]   Wait, can I ask you, have you been to Japan recently?
[00:51:28.360 --> 00:51:30.360]   Yeah, I was there last year.
[00:51:30.360 --> 00:51:31.360]   Okay, so me too.
[00:51:31.360 --> 00:51:38.360]   So, you know, you always read like all the libertarian economists in the Wall Street Journal.
[00:51:38.360 --> 00:51:40.360]   They're always like, "Oh, Japan's a disaster, negative growth."
[00:51:40.360 --> 00:51:42.360]   And then you go to Japan.
[00:51:42.360 --> 00:51:44.360]   Oh, it's the best place you could ever visit.
[00:51:44.360 --> 00:51:46.360]   It's my favorite country, hands down.
[00:51:46.360 --> 00:51:47.360]   Did you go to Tokyo?
[00:51:47.360 --> 00:51:48.360]   Did you go skiing in Osaka?
[00:51:48.360 --> 00:51:49.360]   Where'd you go?
[00:51:49.360 --> 00:51:52.360]   I went to Kyoto in Tokyo and I'll be back to ski on the North Island because it's like, why wouldn't you?
[00:51:52.360 --> 00:51:53.360]   It's like the perfect place, right?
[00:51:53.360 --> 00:51:54.360]   Have you ever skied in Seko?
[00:51:54.360 --> 00:51:56.360]   I never have, but I'm very psyched.
[00:51:56.360 --> 00:51:57.360]   It's incredible.
[00:51:57.360 --> 00:51:58.360]   I went last year.
[00:51:58.360 --> 00:52:01.360]   It is like 25 out of 30 days in January and February.
[00:52:01.360 --> 00:52:04.360]   It dumps powder and the powder is like dust.
[00:52:04.360 --> 00:52:07.360]   It's like makes Utah powder look like heavy.
[00:52:07.360 --> 00:52:08.360]   It is insane.
[00:52:08.360 --> 00:52:11.360]   I'm going back if you want to go in February.
[00:52:11.360 --> 00:52:14.360]   I've got a video to take home.
[00:52:14.360 --> 00:52:15.360]   I'm talking to Tucker right now.
[00:52:15.360 --> 00:52:17.360]   The two of you could share a room.
[00:52:17.360 --> 00:52:19.360]   You guys could have like one.
[00:52:19.360 --> 00:52:23.360]   This is going to make Sax lose his mind if Tucker and I go to the set.
[00:52:23.360 --> 00:52:25.360]   Can I just ask you a question?
[00:52:25.360 --> 00:52:33.360]   If Japan is the butt of every joke that economists tell or the focus of the concern of economy,
[00:52:33.360 --> 00:52:36.360]   lots of chin tugging and fretting about Japan's negative growth economy, and then you go to
[00:52:36.360 --> 00:52:40.360]   Japan and there's literally not one piece of litter and four-year-olds ride the subway
[00:52:40.360 --> 00:52:41.360]   on a company.
[00:52:41.360 --> 00:52:44.360]   Highest function society you could imagine, but yet birth rate is going down.
[00:52:44.360 --> 00:52:45.360]   That's the only thing that's strange.
[00:52:45.360 --> 00:52:46.360]   The birth rate is a real thing.
[00:52:46.360 --> 00:52:47.360]   I totally agree.
[00:52:47.360 --> 00:52:50.360]   That's probably the product of getting atomic bombs dropped on you.
[00:52:50.360 --> 00:52:55.360]   Maybe the fact also that the highest testosterone males flew their planes into US aircraft carriers
[00:52:55.360 --> 00:52:56.360]   or whatever.
[00:52:56.360 --> 00:52:57.360]   There's probably a lot of reason.
[00:52:57.360 --> 00:52:58.360]   Interesting theory.
[00:52:58.360 --> 00:53:00.360]   That's a real thing, by the way.
[00:53:00.360 --> 00:53:03.360]   You kill all the high team males and your society changes.
[00:53:03.360 --> 00:53:06.360]   I don't think that we're using the right measurements.
[00:53:06.360 --> 00:53:10.360]   I do think that we're taking economists a little more seriously than they deserve because
[00:53:10.360 --> 00:53:14.360]   they're not describing what Japan actually is, which is freaking awesome and way more
[00:53:14.360 --> 00:53:18.360]   functional than our society, despite the massive disparity in growth rates.
[00:53:18.360 --> 00:53:23.360]   The thing you'll find is every person in Japan takes their job that they're doing as incredibly
[00:53:23.360 --> 00:53:25.360]   important and has massive pride in it.
[00:53:25.360 --> 00:53:28.360]   That's why when you go there as an American, you're like, "Wait, wasn't this what America
[00:53:28.360 --> 00:53:29.360]   was about?"
[00:53:29.360 --> 00:53:31.360]   It's really shocking as Americans.
[00:53:31.360 --> 00:53:33.360]   We're like, "This is what I want society to be.
[00:53:33.360 --> 00:53:37.360]   I want the person who works in the subway or the stock market or the newspaper to take
[00:53:37.360 --> 00:53:40.360]   their job deadly serious and put their best effort in."
[00:53:40.360 --> 00:53:42.360]   Why should I care about growth rate?
[00:53:42.360 --> 00:53:43.360]   Hold on, though.
[00:53:43.360 --> 00:53:48.360]   Why should I care about economic growth, at least as measured in the conventional sense?
[00:53:48.360 --> 00:53:50.360]   The only reason is if you have a lot of debt.
[00:53:50.360 --> 00:53:51.360]   That's it.
[00:53:51.360 --> 00:53:52.360]   Yes.
[00:53:52.360 --> 00:53:53.360]   Right.
[00:53:53.360 --> 00:53:56.360]   If you didn't have all the debt, you shouldn't care about economic growth rate with respect
[00:53:56.360 --> 00:53:57.360]   to the measure of prosperity.
[00:53:57.360 --> 00:53:59.360]   The strange thing, though, is I've had—
[00:53:59.360 --> 00:54:05.360]   Also, if the pie isn't getting bigger and people aren't doing better, then that does
[00:54:05.360 --> 00:54:07.360]   sow the seeds for a revolution.
[00:54:07.360 --> 00:54:13.360]   I mean, all this divisiveness will start to explode if people don't feel like their circumstances
[00:54:13.360 --> 00:54:14.360]   are getting better off.
[00:54:14.360 --> 00:54:19.360]   This is where, I mean, in this one limited way, I guess I'd be in favor of rapid change,
[00:54:19.360 --> 00:54:21.360]   which is the technological area.
[00:54:21.360 --> 00:54:23.360]   I mean, I'm against revolutionary politics.
[00:54:23.360 --> 00:54:26.360]   I'm against that kind of revolutionary change because it almost never works out.
[00:54:26.360 --> 00:54:33.360]   But I do think that revolutionary change in the narrow category of technology is ultimately
[00:54:33.360 --> 00:54:34.360]   good for us.
[00:54:34.360 --> 00:54:35.360]   I know it creates challenges.
[00:54:35.360 --> 00:54:36.360]   I know it creates disruption.
[00:54:36.360 --> 00:54:39.360]   People do lose their jobs and have to find new ones.
[00:54:39.360 --> 00:54:44.360]   But it is the basis for American prosperity and the basis for our economy being productive
[00:54:44.360 --> 00:54:47.360]   and America having a powerful military and all those things.
[00:54:47.360 --> 00:54:53.360]   So, I don't know if this is a difference between us, Tucker, but I do think that in this area
[00:54:53.360 --> 00:54:56.360]   of technological change, I'm not sort of a dispositional conservative.
[00:54:56.360 --> 00:54:58.360]   I mean, this is kind of like Peter Thiel, right?
[00:54:58.360 --> 00:55:00.360]   I don't want us to slow down.
[00:55:00.360 --> 00:55:02.360]   Actually, I want us to be successful.
