
[00:00:00.000 --> 00:00:02.120]   Just continuing with this.
[00:22:30.040 --> 00:22:32.920]   be of size 64.
[00:22:32.920 --> 00:22:34.920]   Yeah.
[00:22:34.920 --> 00:22:39.080]   For the validation set, it always keeps the last batch.
[00:22:39.080 --> 00:22:42.040]   It's super important to shuffle the transfer.
[00:22:42.040 --> 00:22:44.560]   The fast.ai does it for you, but if you
[00:22:44.560 --> 00:22:47.520]   will mess around with the data loaders or do something
[00:22:47.520 --> 00:22:49.960]   yourself, if you don't shuffle the transfer,
[00:22:49.960 --> 00:22:53.560]   you might get very poor training performance.
[00:22:53.560 --> 00:22:55.160]   When we used to use Keras, I used
[00:22:55.160 --> 00:22:57.960]   to mess all this stuff up all the time.
[00:22:57.960 --> 00:22:59.560]   Yeah, trying to get all those details, right?
[00:22:59.560 --> 00:23:00.400]   It's really annoying.
[00:23:00.400 --> 00:23:02.080]   Just to make sure on something you said,
[00:23:02.080 --> 00:23:03.600]   you said in the next iteration, you're
[00:23:03.600 --> 00:23:05.760]   going to replace it with the PyTorch data loaders?
[00:23:05.760 --> 00:23:07.240]   Yeah, probably.
[00:23:07.240 --> 00:23:08.400]   OK.
[00:23:08.400 --> 00:23:10.440]   You said fast.ai, so I got confused.
[00:23:10.440 --> 00:23:11.680]   Oh, did I?
[00:23:11.680 --> 00:23:13.880]   That is confusing.
[00:23:13.880 --> 00:23:15.720]   Thanks.
[00:23:15.720 --> 00:23:17.360]   OK, so that was my step one.
[00:23:17.360 --> 00:23:20.120]   Is to just get it working exactly like before.
[00:23:20.120 --> 00:23:25.000]   And then I ran it in the background
[00:23:25.000 --> 00:23:27.320]   on the same architecture for the same epochs
[00:23:27.320 --> 00:23:29.760]   to make sure I got about the same error rate, and I did.
[00:23:29.760 --> 00:23:33.960]   So then I was happy that, OK, I'm matching what we had before.
[00:23:33.960 --> 00:23:38.440]   So then step two was to try to make it
[00:23:38.440 --> 00:23:41.440]   so that the data block spits out three things, which
[00:23:41.440 --> 00:23:44.480]   would be one image and two categories.
[00:23:44.480 --> 00:23:50.000]   The category of disease and the category of rice type.
[00:23:50.000 --> 00:23:53.160]   So to get it to spit out an image and two categories,
[00:23:53.160 --> 00:23:54.840]   hopefully you wouldn't be surprised to hear
[00:23:54.840 --> 00:23:57.920]   that we just do that.
[00:23:57.920 --> 00:24:01.000]   We say we want three blocks, an image, and two categories.
[00:24:01.000 --> 00:24:07.280]   Now, this variety, we did some way
[00:24:07.280 --> 00:24:13.160]   of getting that given an image ID.
[00:24:13.160 --> 00:24:16.680]   And actually, the way I did it was a bit ugly.
[00:24:16.680 --> 00:24:19.160]   And since then, I thought of a better way of doing it,
[00:24:19.160 --> 00:24:20.560]   which is what I think we should do
[00:24:20.560 --> 00:24:25.520]   is we should create a dict that maps from image ID to variety.
[00:24:25.520 --> 00:24:29.560]   And then our function will just be to look that up, right?
[00:24:29.560 --> 00:24:36.800]   So let's call this image to variety equals--
[00:24:36.800 --> 00:24:40.800]   OK, and it's going to be a dict comprehension.
[00:24:40.800 --> 00:25:00.400]   So we're going to loop through the rows in df dot iter items.
[00:25:00.400 --> 00:25:04.760]   Now, I always forget what these differences are.
[00:25:04.760 --> 00:25:08.360]   Column name comma series pair, returning a tuple
[00:25:08.360 --> 00:25:11.160]   with the column name.
[00:25:11.160 --> 00:25:13.000]   OK, that's not what I want.
[00:25:13.000 --> 00:25:14.560]   >> Yeah, like iter rows, yeah.
[00:25:14.560 --> 00:25:21.000]   >> Yeah, iter rows, index comma series.
[00:25:21.000 --> 00:25:22.520]   OK, cool.
[00:25:22.520 --> 00:25:28.480]   I think like this iter tuples is the fastest one.
[00:25:28.480 --> 00:25:32.720]   But this is not very big, so let's keep it simple.
[00:25:32.720 --> 00:25:35.320]   OK, so this is going to iterate over rows
[00:25:35.320 --> 00:25:39.360]   and return index comma series.
[00:25:39.360 --> 00:25:42.120]   OK, so we don't really care about the index.
[00:25:42.120 --> 00:25:50.840]   Another thing we could do is make the image ID the index,
[00:25:50.840 --> 00:25:54.400]   and then you could actually jump straight into it.
[00:25:54.400 --> 00:25:56.760]   But I think I'd rather not use pandas features.
[00:25:56.760 --> 00:25:59.160]   I'd rather use more pure Python-y things,
[00:25:59.160 --> 00:26:03.000]   because I think that'll make the explanation a little clearer.
[00:26:03.000 --> 00:26:04.200]   So we're going to loop through.
[00:26:04.200 --> 00:26:08.720]   It's going to give us the index and the row.
[00:26:08.720 --> 00:26:16.440]   And so what we want is the key will be the row's image ID,
[00:26:16.440 --> 00:26:20.080]   and the value will be the row's variety.
[00:26:20.080 --> 00:26:27.920]   OK, that looks good.
[00:26:27.920 --> 00:26:32.800]   So then there's a couple of ways we
[00:26:32.800 --> 00:26:36.000]   could turn this into a function.
[00:26:36.000 --> 00:26:39.240]   And I'm just going to show you a little neat trick, which
[00:26:39.240 --> 00:26:40.760]   is when you go like the--
[00:26:40.760 --> 00:26:42.000]   let's pick out something.
[00:26:42.000 --> 00:26:45.440]   Let's say we're going to grab this one.
[00:26:45.440 --> 00:26:51.080]   When you go like this, behind the scenes,
[00:26:51.080 --> 00:26:53.480]   that square bracket thing is actually
[00:26:53.480 --> 00:26:58.600]   calling a special magic method in Python called
[00:26:58.600 --> 00:27:03.600]   Dunder getItem, which is a function.
[00:27:03.600 --> 00:27:05.200]   This is the cool thing about Python.
[00:27:05.200 --> 00:27:09.160]   It's so dynamic and flexible, like all the syntax sugar
[00:27:09.160 --> 00:27:12.240]   is like behind the scenes just calling functions, basically.
[00:27:12.240 --> 00:27:15.200]   That's exactly the same thing.
[00:27:15.200 --> 00:27:18.880]   And so that means that this function here,
[00:27:18.880 --> 00:27:21.040]   imageToVariety.Dunder getItem, is
[00:27:21.040 --> 00:27:27.760]   a function that converts a file name into a variety.
[00:27:27.760 --> 00:27:29.320]   So here's the cool thing.
[00:27:29.320 --> 00:27:35.200]   Forget why you can pass it an array,
[00:27:35.200 --> 00:27:41.840]   and it's going to call each of those functions, which
[00:27:41.840 --> 00:27:42.880]   I think is rather nice.
[00:27:42.880 --> 00:27:52.360]   So another thing I find helpful--
[00:27:52.360 --> 00:27:53.560]   OK, cool.
[00:27:53.560 --> 00:27:56.680]   So when I call that, it complains.
[00:27:56.680 --> 00:27:59.440]   And it says, oh, getY contains two functions,
[00:27:59.440 --> 00:28:01.640]   but it should contain one, one for each target.
[00:28:01.640 --> 00:28:04.160]   It thinks that there's only one target.
[00:28:04.160 --> 00:28:05.320]   Why is that?
[00:28:05.320 --> 00:28:07.840]   Well, if you think about it, we've said there's three blocks,
[00:28:07.840 --> 00:28:10.200]   but we haven't told it how many of those blocks
[00:28:10.200 --> 00:28:12.040]   are for the independent variable and how many
[00:28:12.040 --> 00:28:14.000]   are for the dependent variable.
[00:28:14.000 --> 00:28:15.600]   And so we have to tell it.
[00:28:15.600 --> 00:28:19.200]   And the way we do that is to say the number of inputs equals--
[00:28:19.200 --> 00:28:20.840]   and so it's one.
[00:28:20.840 --> 00:28:25.120]   We have one input, and then the rest will be outputs.
[00:28:25.120 --> 00:28:31.120]   So when we do that, it's now happy, OK?
[00:28:31.120 --> 00:28:33.880]   And personally, before I jump to data loaders,
[00:28:33.880 --> 00:28:37.360]   I first create data sets just to make sure they work.
[00:28:37.360 --> 00:28:41.040]   So data sets are things where you just
[00:28:41.040 --> 00:28:42.160]   grab one thing at a time.
[00:28:42.160 --> 00:28:44.000]   There's no mini-batches to worry about.
[00:28:44.000 --> 00:28:47.080]   So data sets are easier to debug than data loaders.
[00:28:47.080 --> 00:28:49.440]   So you can create data sets using
[00:28:49.440 --> 00:28:54.600]   exactly the same approach, OK?
[00:28:54.600 --> 00:28:57.560]   And so-- all right, so we've got an error.
[00:28:57.560 --> 00:29:04.360]   OK, so here's the problem.
[00:29:04.360 --> 00:29:09.040]   It tried to look up our function.
[00:29:09.040 --> 00:29:12.640]   And in fact, it's not indexed.
[00:29:12.640 --> 00:29:17.440]   It's not passing in the string of the name.
[00:29:17.440 --> 00:29:21.160]   It's actually passing in the path.
[00:29:21.160 --> 00:29:22.920]   And so that's why we've got a key error.
[00:29:22.920 --> 00:29:27.640]   This path does not exist as a key in this dictionary,
[00:29:27.640 --> 00:29:29.240]   which is quite true, right?
[00:29:29.240 --> 00:29:30.480]   It doesn't.
[00:29:30.480 --> 00:29:36.360]   So what I think we should do is fix this up
[00:29:36.360 --> 00:29:40.520]   so that we've got train images, bacterial leaf streak,
[00:29:40.520 --> 00:29:42.640]   blah, blah, blah, OK.
[00:29:42.640 --> 00:29:46.200]   The get files function, the output of that
[00:29:46.200 --> 00:29:51.040]   is being passed to the get items is being passed to get y.
[00:29:51.040 --> 00:29:54.000]   So get image files.
[00:29:54.000 --> 00:29:56.560]   Yeah, so we haven't kind of gone into the details of exactly
[00:29:56.560 --> 00:29:59.240]   what's going on behind the scenes, Hamill.
[00:29:59.240 --> 00:30:02.040]   Let's do that in a moment.
[00:30:02.040 --> 00:30:04.200]   I kind of like the way you're wanting
[00:30:04.200 --> 00:30:08.360]   to jump into the nitty gritty, but it's a little bit--
[00:30:08.360 --> 00:30:09.200]   It's a problem that I have.
[00:30:09.200 --> 00:30:11.000]   I'm trying to do more top down, right?
[00:30:11.000 --> 00:30:13.120]   So I've got to get to your bottom up.
[00:30:13.120 --> 00:30:15.280]   We'll meet in the middle, OK?
[00:30:15.280 --> 00:30:16.640]   OK, fair enough, fair enough.
[00:30:16.640 --> 00:30:18.080]   By the way, your video is not on.
[00:30:18.080 --> 00:30:18.800]   That's fine.
[00:30:18.800 --> 00:30:20.000]   I just don't know if it's intentional.
[00:30:20.000 --> 00:30:23.640]   I always like to see people when they're, you know, seeable.
[00:30:23.640 --> 00:30:25.520]   Hello.
[00:30:25.520 --> 00:30:29.320]   OK, so we're not going to use this trick after all.
[00:30:29.320 --> 00:30:36.920]   We're going to create a function called get variety.
[00:30:36.920 --> 00:30:37.760]   Actually, no.
[00:30:37.760 --> 00:30:41.160]   Yeah, let's create a function called get variety.
[00:30:41.160 --> 00:30:47.560]   And so it's going to get past a path, OK?
[00:30:47.560 --> 00:30:55.160]   And so we're going to return image to variety.
[00:30:55.160 --> 00:30:59.400]   And we're going to return image to variety
[00:30:59.400 --> 00:31:03.840]   with the name of the file.
[00:31:03.840 --> 00:31:08.600]   So the name of the file is the string.
[00:31:08.600 --> 00:31:12.880]   Wait, we need image to variety, the dunder thing?
[00:31:12.880 --> 00:31:15.800]   Oh, yeah, I'll just grab a bracket, actually, yes.
[00:31:15.800 --> 00:31:16.600]   OK.
[00:31:16.600 --> 00:31:22.520]   Oh, and then we need to use that.
[00:31:22.520 --> 00:31:43.640]   OK, so DSS contains a dot train data set.
[00:31:43.640 --> 00:31:48.400]   OK, and it also contains a dot valid data set.
[00:31:48.400 --> 00:31:54.360]   OK, and so we can look at the zeroth thing in the training
[00:31:54.360 --> 00:31:56.720]   data set, which is a single thing, right?
[00:31:56.720 --> 00:31:58.240]   So we can have a look now.
[00:31:58.240 --> 00:32:02.160]   There's image and Y1 and Y2.
[00:32:02.160 --> 00:32:09.000]   And so then we can look at the image, for example.
[00:32:09.000 --> 00:32:13.240]   OK, so what's happened here is that get image files returned
[00:32:13.240 --> 00:32:15.400]   to a list of paths.
[00:32:15.400 --> 00:32:19.680]   The first one got passed to image block, which,
[00:32:19.680 --> 00:32:23.320]   as we saw earlier, got passed to pyo image dot create.
[00:32:23.320 --> 00:32:26.720]   And here it is.
[00:32:26.720 --> 00:32:30.800]   And that path name also got passed to a function
[00:32:30.800 --> 00:32:31.880]   called parent label.
[00:32:31.880 --> 00:32:33.480]   In fact, let's do it, right?
[00:32:33.480 --> 00:32:39.680]   So let's say file name equals get image files.
[00:32:39.680 --> 00:32:43.400]   And then the thing that we passed in, training path,
[00:32:43.400 --> 00:32:45.600]   and let's just get the zeroth one.
[00:32:45.600 --> 00:32:50.040]   OK, and so there it is, right?
[00:32:50.040 --> 00:33:00.040]   So it ended up calling pyo image dot create with that file name.
[00:33:00.040 --> 00:33:05.080]   OK, it also called parent label with that file name.
[00:33:05.080 --> 00:33:10.080]   Parent label, OK.
[00:33:10.080 --> 00:33:12.760]   And it also called get variety with that file name.
[00:33:12.760 --> 00:33:18.960]   Jeremy, can we look at get variety one more time?
[00:33:18.960 --> 00:33:22.960]   I'm just curious how you build the path.
[00:33:22.960 --> 00:33:23.640]   I didn't.
[00:33:23.640 --> 00:33:24.680]   I removed the path.
[00:33:24.680 --> 00:33:25.600]   I called dot no.
[00:33:25.600 --> 00:33:28.720]   OK, OK.
[00:33:28.720 --> 00:33:29.920]   I see.
[00:33:29.920 --> 00:33:32.240]   Yeah, in my original version of this,
[00:33:32.240 --> 00:33:35.280]   I did it the other way around, of building back up the path,
[00:33:35.280 --> 00:33:38.280]   and then realized that that was kind of stupid.
[00:33:38.280 --> 00:33:42.320]   Yeah, it's unique, so that works.
[00:33:42.320 --> 00:33:44.200]   One question.
[00:33:44.200 --> 00:33:51.720]   OK, this could be too low level, but just let me know.
[00:33:51.720 --> 00:33:54.240]   Can you have multiple get items?
[00:33:54.240 --> 00:33:55.640]   Is this the right place to ask that?
[00:33:55.640 --> 00:33:59.720]   So it wouldn't make sense to have multiple get items, right?
[00:33:59.720 --> 00:34:02.960]   Like, get item returns a single thing,
[00:34:02.960 --> 00:34:04.360]   but it could be anything you like, right?
[00:34:04.360 --> 00:34:07.200]   It could be it could return a tuple, or a list, or an object,
[00:34:07.200 --> 00:34:09.200]   or whatever, right?
[00:34:09.200 --> 00:34:11.040]   And so, or dict.
[00:34:11.040 --> 00:34:14.920]   And then get y and get x, then the thing's
[00:34:14.920 --> 00:34:16.960]   responsible for pulling out the bit that you
[00:34:16.960 --> 00:34:19.400]   need to pass to your blocks.
[00:34:19.400 --> 00:34:23.960]   Now, we don't need to get x, because image blocks just
[00:34:23.960 --> 00:34:26.520]   take paths directly.
[00:34:26.520 --> 00:34:31.040]   If I needed something a bit more like I wanted to put more things
[00:34:31.040 --> 00:34:33.680]   and get image files, like have it emit a tuple,
[00:34:33.680 --> 00:34:36.840]   then would I have to make my own image block to ignore?
[00:34:36.840 --> 00:34:38.000]   No, not your own image block.
[00:34:38.000 --> 00:34:40.000]   You would write your own function,
[00:34:40.000 --> 00:34:43.280]   just like get image files, that returns
[00:34:43.280 --> 00:34:45.800]   the list of all of the objects you want,
[00:34:45.800 --> 00:34:48.520]   which have all the information you need.
[00:34:48.520 --> 00:34:50.160]   OK, and then--
[00:34:50.160 --> 00:34:51.320]   It almost never happens.
[00:34:51.320 --> 00:34:53.000]   I don't think that's ever happened to me,
[00:34:53.000 --> 00:34:56.400]   because nearly always there's a row of a database
[00:34:56.400 --> 00:35:01.240]   table, or a path, or something has all the information
[00:35:01.240 --> 00:35:05.480]   you need to go out and get the stuff with your get x's
[00:35:05.480 --> 00:35:07.920]   and get y's.
[00:35:07.920 --> 00:35:11.280]   That's like the central piece of information for each row.
[00:35:11.280 --> 00:35:14.000]   And based on this information, you can read in text,
[00:35:14.000 --> 00:35:18.640]   you can read in images, but specific to that one row.
[00:35:18.640 --> 00:35:21.360]   Actually, let me show you my hacky version,
[00:35:21.360 --> 00:35:24.400]   because this is the version that uses a data frame.
[00:35:24.400 --> 00:35:27.480]   So this is-- so the version that uses data frame--
[00:35:27.480 --> 00:35:35.760]   let's see.
[00:35:35.760 --> 00:35:39.880]   Is it right to think, get x's?
[00:35:39.880 --> 00:35:41.520]   Yeah, and that's interesting.
[00:35:41.520 --> 00:35:43.680]   Let me just do this, and let me come to your question.
[00:35:43.680 --> 00:35:52.160]   OK, so in this data block, I started out with a data frame,
[00:35:52.160 --> 00:35:53.680]   like so, right?
[00:35:53.680 --> 00:35:57.720]   And so by passing into data block.dataload,
[00:35:57.720 --> 00:36:03.360]   as I passed in the data frame, it's going to get each row.
[00:36:03.360 --> 00:36:08.920]   And so then get y becomes colreader 1,
[00:36:08.920 --> 00:36:11.320]   which is just a function which--
[00:36:11.320 --> 00:36:14.680]   I mean, let's look at it.
[00:36:14.680 --> 00:36:15.760]   That doesn't do much.
[00:36:15.760 --> 00:36:21.560]   Let's see what it does.
[00:36:21.560 --> 00:36:24.280]   So it's done as an object, because you
[00:36:24.280 --> 00:36:27.680]   can do things like add in a prefix path and a suffix path,
[00:36:27.680 --> 00:36:30.240]   and you can split it with a label delimiter and whatever.
[00:36:30.240 --> 00:36:36.000]   But basically, all it's basically doing, OK,
[00:36:36.000 --> 00:36:38.680]   and it checks what kind of thing you're passing in.
[00:36:38.680 --> 00:36:49.760]   Basically, all it does is it calls getAtra to grab
[00:36:49.760 --> 00:36:54.480]   the column and we--
[00:36:54.480 --> 00:37:01.880]   colreader for context, like reading data frames.
[00:37:01.880 --> 00:37:03.120]   Sorry?
[00:37:03.120 --> 00:37:08.000]   Is this colreader function specifically for data frames?
[00:37:08.000 --> 00:37:11.120]   I mean, it can work with anything, basically,
[00:37:11.120 --> 00:37:15.920]   that you're-- so what it's doing here is it's saying,
[00:37:15.920 --> 00:37:19.680]   grab that column.
[00:37:19.680 --> 00:37:20.760]   But it's really--
[00:37:20.760 --> 00:37:22.560]   I've only really used it for data frames,
[00:37:22.560 --> 00:37:24.600]   but you could use it for anything.
[00:37:24.600 --> 00:37:27.280]   But yeah, so basically here, getY is saying, OK, well,
[00:37:27.280 --> 00:37:31.120]   let's return the index 1 field and the index 2 field.
[00:37:31.120 --> 00:37:40.680]   What's up with getX?
[00:37:40.680 --> 00:37:42.680]   So because now we're being passed--
[00:37:42.680 --> 00:37:48.840]   so you can't pass a row of a database table to pailimage.create.
[00:37:48.840 --> 00:37:55.360]   So getX is this function, which basically is going,
[00:37:55.360 --> 00:37:59.400]   oh, it's going to be in the training path slash disease
[00:37:59.400 --> 00:38:04.120]   name slash image name.
[00:38:04.120 --> 00:38:09.240]   So that's-- and then there's a special case for the test set,
[00:38:09.240 --> 00:38:13.400]   because the test set things are not stored in subfolders
[00:38:13.400 --> 00:38:15.640]   according to label, because we don't know the label.
[00:38:15.640 --> 00:38:18.440]   So it's just directly in the test path.
[00:38:18.440 --> 00:38:21.760]   So that's the-- as I said, this was more hacky.
[00:38:21.760 --> 00:38:22.360]   I don't--
[00:38:22.360 --> 00:38:23.840]   [INTERPOSING VOICES]
[00:38:23.840 --> 00:38:25.080]   This really helps.
[00:38:25.080 --> 00:38:27.120]   So getX is kind of like getY.
[00:38:27.120 --> 00:38:28.760]   You can have a list in there.
[00:38:28.760 --> 00:38:30.120]   It's like from--
[00:38:30.120 --> 00:38:32.240]   Yeah, you can have-- yeah, it's totally flexible.
[00:38:32.240 --> 00:38:37.200]   And I mean, seriously, Hamel, we have so many examples
[00:38:37.200 --> 00:38:42.920]   of all of these patterns in the docs in the tutorials.
[00:38:42.920 --> 00:38:45.000]   So like this exact pattern--
[00:38:45.000 --> 00:38:48.600]   let's take a look at one, right, docs.faster.ai.
[00:38:48.600 --> 00:38:58.160]   So tutorials-- let's do data block tutorial.
[00:38:58.160 --> 00:39:00.240]   Right here, look, multi-label.
[00:39:00.240 --> 00:39:03.120]   So here's one.
[00:39:03.120 --> 00:39:05.840]   And yeah, you can see here, this is even
[00:39:05.840 --> 00:39:08.680]   splitting based on columns in the database table.
[00:39:08.680 --> 00:39:11.480]   And here's the co-reader using prefix.
[00:39:11.480 --> 00:39:14.240]   And here's a co-reader using a label delimiter.
[00:39:14.240 --> 00:39:16.040]   And here's the examples coming out.
[00:39:16.040 --> 00:39:18.000]   Yeah, so there's--
[00:39:18.000 --> 00:39:22.320]   yeah, lots of examples you can check out
[00:39:22.320 --> 00:39:23.560]   to see how to do all this.
[00:39:23.560 --> 00:39:28.840]   Yeah, so I think I'm at a point now where I actually
[00:39:28.840 --> 00:39:30.440]   do want to go into the weeds.
[00:39:30.440 --> 00:39:32.240]   So Hamel, you're now, after this,
[00:39:32.240 --> 00:39:37.120]   totally free to ask any super-weedy questions.
[00:39:37.120 --> 00:39:40.320]   The most basic kind of data block
[00:39:40.320 --> 00:39:41.840]   is called the transform block.
[00:39:41.840 --> 00:39:54.600]   And the transform block, basically,
[00:39:54.600 --> 00:39:56.880]   it's going to store a bunch of things you pass in.
[00:39:56.880 --> 00:39:58.920]   It's going to store things called type transforms.
[00:39:58.920 --> 00:40:00.800]   It's going to store things called item transforms.
[00:40:00.800 --> 00:40:04.320]   It's going to store things called batch transforms.
[00:40:04.320 --> 00:40:06.680]   And also, it always adds one thing,
[00:40:06.680 --> 00:40:10.480]   which is to tensor, because PyTorch means tensors.
[00:40:10.480 --> 00:40:15.280]   If you look at the image block, we
[00:40:15.280 --> 00:40:19.200]   saw that that's defined as a transform block where
[00:40:19.200 --> 00:40:23.800]   the type transforms is this and the batch transforms is this.
[00:40:23.800 --> 00:40:25.360]   So now's a good time to talk about how
[00:40:25.360 --> 00:40:27.720]   this all works, what this does.
[00:40:27.720 --> 00:40:33.720]   So if I pass in here transform block
[00:40:33.720 --> 00:40:37.600]   and don't pass any transforms, it won't do anything.
[00:40:37.600 --> 00:40:50.800]   So let's get rid of pretty much everything.
[00:40:56.320 --> 00:41:00.680]   Let's do that separate cell so it gets a little bit easier
[00:41:00.680 --> 00:41:01.160]   to read.
[00:41:01.160 --> 00:41:08.480]   OK.
[00:41:08.480 --> 00:41:12.680]   Here is the world's simplest data block.
[00:41:12.680 --> 00:41:14.040]   OK.
[00:41:14.040 --> 00:41:26.160]   So if we call that, as you can see,
[00:41:26.160 --> 00:41:31.960]   all it does is it takes the output of get image file 0
[00:41:31.960 --> 00:41:35.440]   and turns it into a tuple containing one thing, which
[00:41:35.440 --> 00:41:37.920]   is the thing itself.
[00:41:37.920 --> 00:41:43.360]   If we have two transform blocks, it
[00:41:43.360 --> 00:41:46.880]   returns a tuple with two things in it.
[00:41:46.880 --> 00:41:49.200]   So and the reason it's returning tuples
[00:41:49.200 --> 00:41:51.480]   is because this is what we want.
[00:41:51.480 --> 00:41:59.480]   When we train, we have batches containing inputs and outputs,
[00:41:59.480 --> 00:42:02.200]   potentially multiple inputs and potentially multiple outputs.
[00:42:02.200 --> 00:42:08.520]   So that's why indexing into this gives you back a tuple.
[00:42:08.520 --> 00:42:14.160]   My question, the blocks can either be a list or a tuple?
[00:42:14.160 --> 00:42:16.120]   I don't know, probably.
[00:42:16.120 --> 00:42:17.440]   Yes.
[00:42:17.440 --> 00:42:19.440]   OK.
[00:42:19.440 --> 00:42:21.840]   I have no idea.
[00:42:21.840 --> 00:42:25.840]   OK.
[00:42:25.840 --> 00:42:26.340]   OK.
[00:42:26.340 --> 00:42:41.160]   So then we can do stuff to the first thing in the tuple.
[00:42:44.160 --> 00:42:56.560]   So get x equals-- say let's get a lambda o dot name.
[00:42:56.560 --> 00:43:09.540]   Hello.
[00:43:09.540 --> 00:43:16.980]   Hey, what are you doing?
[00:43:16.980 --> 00:43:17.480]   Oh.
[00:43:17.480 --> 00:43:26.060]   Something to do with lambda, right?
[00:43:26.060 --> 00:43:27.780]   Does name have to be call?
[00:43:27.780 --> 00:43:28.280]   No.
[00:43:37.220 --> 00:43:39.380]   Maybe it's notebook restart time.
[00:43:39.380 --> 00:43:42.820]   It's my notebook restart time.
[00:43:42.820 --> 00:43:48.260]   Oh, that's-- oh.
[00:43:48.260 --> 00:43:53.780]   I wonder if something happened to my GPU server.
[00:43:53.780 --> 00:43:59.220]   I mean, something has happened to my GPU server, clearly.
[00:43:59.220 --> 00:44:00.100]   Never happened before.
[00:44:05.500 --> 00:44:07.700]   Oh, it looks like it's back.
[00:44:07.700 --> 00:44:09.060]   Oh, OK.
[00:44:09.060 --> 00:44:10.980]   It just recognized that it disappeared.
[00:44:10.980 --> 00:44:19.380]   That's wild.
[00:44:19.380 --> 00:44:20.380]   Oh, OK.
[00:44:20.380 --> 00:44:28.700]   I'm very-- oh, I don't know what just happened.
[00:44:28.700 --> 00:44:41.300]   I guess it doesn't really matter.
[00:44:41.300 --> 00:44:42.900]   What are you doing right now?
[00:44:42.900 --> 00:44:45.380]   I'm just looking at the log, see if anything just happened.
[00:44:50.620 --> 00:44:58.980]   Who knows?
[00:44:58.980 --> 00:44:59.480]   OK.
[00:44:59.480 --> 00:45:02.220]   All right.
[00:45:02.220 --> 00:45:09.140]   OK.
[00:45:09.140 --> 00:45:18.500]   So you see what happened here is we got the first thing
[00:45:18.500 --> 00:45:26.540]   from image files, which was this, and get x got its name.
[00:45:26.540 --> 00:45:36.780]   So we could also do get y equals lambda o o dot parent, say.
[00:45:36.780 --> 00:45:40.500]   OK.
[00:45:40.500 --> 00:45:42.500]   So--
[00:45:42.500 --> 00:45:51.460]   It first went-- first, the thing went to the transform block,
[00:45:51.460 --> 00:45:52.300]   get items.
[00:45:52.300 --> 00:45:52.820]   Yes.
[00:45:52.820 --> 00:45:56.660]   So whatever get items got went to transform blocks.
[00:45:56.660 --> 00:46:00.060]   And then it went to get x and get y.
[00:46:00.060 --> 00:46:04.020]   Well, transform block doesn't do anything, right, at all,
[00:46:04.020 --> 00:46:05.980]   unless you pass the transforms.
[00:46:05.980 --> 00:46:07.140]   So yeah.
[00:46:07.140 --> 00:46:11.500]   So it's basically-- but the number of them you have
[00:46:11.500 --> 00:46:15.420]   is the number of pipelines it's going to create.
[00:46:15.420 --> 00:46:18.660]   So if we created another one--
[00:46:18.660 --> 00:46:21.020]   But generally, if you have an image block,
[00:46:21.020 --> 00:46:22.220]   it would do something.
[00:46:22.220 --> 00:46:23.580]   So the order is--
[00:46:23.580 --> 00:46:24.860]   We're going to get to that, yeah.
[00:46:24.860 --> 00:46:26.700]   So here, look, we've now got--
[00:46:26.700 --> 00:46:27.740]   --the order.
[00:46:27.740 --> 00:46:30.300]   We're not quite there yet, right?
[00:46:30.300 --> 00:46:32.700]   So let's get to that.
[00:46:32.700 --> 00:46:35.780]   And it's not quite the mental model you've got, I think.
[00:46:35.780 --> 00:46:38.340]   Now that I've got three transform blocks,
[00:46:38.340 --> 00:46:42.660]   I only have things to create two of them.
[00:46:42.660 --> 00:46:45.860]   So it's sad, right?
[00:46:45.860 --> 00:46:59.580]   And so we could put them here, for instance.
[00:46:59.580 --> 00:47:00.420]   And that would be--
[00:47:00.420 --> 00:47:01.020]   [INAUDIBLE]
[00:47:01.020 --> 00:47:03.340]   Last one is the y in the first two or the x.
[00:47:03.340 --> 00:47:04.140]   Correct.
[00:47:04.140 --> 00:47:11.660]   Unless we say number of inputs equals 1, in which case
[00:47:11.660 --> 00:47:16.740]   now we get x is just going to have to return one thing.
[00:47:16.740 --> 00:47:18.820]   There's going to be one function.
[00:47:18.820 --> 00:47:20.580]   And get y will be two things.
[00:47:28.180 --> 00:47:43.620]   So you could even put it here instead, right?
[00:47:43.620 --> 00:47:45.460]   So you could say, oh, well, this is actually--
[00:47:45.460 --> 00:47:52.380]   let's move it.
[00:47:56.540 --> 00:47:59.140]   We could put it here.
[00:47:59.140 --> 00:48:03.300]   Item transforms equals--
[00:48:03.300 --> 00:48:06.340]   And so the transform block is stuff
[00:48:06.340 --> 00:48:09.700]   that is applied for that transform.
[00:48:09.700 --> 00:48:14.780]   How is that not working?
[00:48:14.780 --> 00:48:21.020]   That's slightly surprising to me.
[00:48:21.020 --> 00:48:37.900]  , it needs to be a type transform.
[00:48:37.900 --> 00:48:39.060]   OK, type transform.
[00:48:39.060 --> 00:48:44.260]   So it's now converted to the type it's meant to be.
[00:48:44.260 --> 00:48:49.180]   So Radek, you were asking about image block.
[00:48:49.180 --> 00:48:53.820]   I'm just curious how all the pieces interact.
[00:48:53.820 --> 00:48:55.580]   [INTERPOSING VOICES]
[00:48:55.580 --> 00:48:57.260]   Let me show you.
[00:48:57.260 --> 00:48:58.340]   Let me show you.
[00:48:58.340 --> 00:49:01.260]   So let's do it manually.
