
[00:00:00.000 --> 00:00:14.080]   Welcome, everyone, to the 68th edition of Bogle Heads on Investing.
[00:25:08.900 --> 00:25:12.180]   All of the under-index providers have their own methodology.
[00:25:12.180 --> 00:25:14.680]   Value is in the eyes of the beholder.
[00:25:14.680 --> 00:25:22.640]   And the returns, therefore, are much more disperse among the index providers.
[00:25:22.640 --> 00:25:27.940]   Some accounting values can be subject to, I hate to say manipulation, but they can be managed, right?
[00:25:28.420 --> 00:25:38.240]   So, if you think about it, originally, value might have been defined by price-to-earnings, but I think there's definitely concerns about how earnings can be managed using various different accounting techniques.
[00:25:38.240 --> 00:25:43.760]   Book value tended to be more stable, but even book value has issues when you have companies with maybe large write-offs.
[00:25:43.900 --> 00:25:58.060]   So, I think the whole idea is, you know, coming up, again, with a more robust way of defining value, potentially looking at different variables, taking some sort of an average across those variables, and coming up with a signal that you could argue is much more robust as you're looking at individual companies.
[00:25:59.060 --> 00:26:02.340]   Let's move on to other asset classes, like fixed income.
[00:26:02.340 --> 00:26:04.760]   So, fixed income creates a challenge.
[00:26:04.760 --> 00:26:09.420]   Most of fixed income is not traded on a stock exchange, so a lot of it is just not traded.
[00:26:09.420 --> 00:26:13.520]   And yet, you still have to come up with indices.
[00:26:13.520 --> 00:26:19.880]   And Lehman Brothers came up with the first aggregate bond market indice.
[00:26:19.880 --> 00:26:31.640]   In fact, in episode 45 of Bogle Heads on Investing, I interviewed Nick Gendron, who was at Lehman Brothers and worked on the aggregate bond market index and is now doing the same thing at Bloomberg.
[00:26:31.640 --> 00:26:34.460]   Have you done much work with fixed income indexes?
[00:26:34.460 --> 00:26:35.060]   I have not.
[00:26:35.060 --> 00:26:47.200]   That's not – my background is typically in equity, but obviously, at Morningstar, we have a full suite of fixed income indexes that would mirror the sorts of exposures that you would see in more of an aggregate, like a formerly Lehman aggregate.
[00:26:47.380 --> 00:26:56.760]   It was interesting talking with him about TIPS, Treasury Inflation Protected Securities, and why they were not added to the aggregate bond market index.
[00:26:56.760 --> 00:27:05.640]   And I got the feeling in talking to him where it was Lehman's original belief that TIPS should have been added to the aggregate bond market.
[00:27:05.760 --> 00:27:21.900]   But it was actually the companies that were licensing that index, either as a benchmark or using it to run money against, that back in the early 2000s, when TIPS were first coming out, they were the ones who asked that it not be included.
[00:27:21.900 --> 00:27:22.380]   Yeah.
[00:27:22.600 --> 00:27:29.080]   There's this tension between having an index that is the best representation of a particular asset class versus something that's tradable.
[00:27:29.080 --> 00:27:31.700]   On the equity side, the analogy might be REITs, right?
[00:27:31.700 --> 00:27:36.700]   I think generally when you look at the small cap indexes, REITs tend to show up in fairly healthy proportions.
[00:27:36.700 --> 00:27:41.300]   There's some asset managers that don't – either aren't allowed to invest in REITs or don't like REITs.
[00:27:41.300 --> 00:27:47.060]   And so you would have seen a similar thing on the equity side where there's people who would have said, hey, can you keep REITs out of the portfolio?
[00:27:47.060 --> 00:27:54.960]   So there's a similar principle there in terms of what is the real purpose of the index and why you might try to leave certain stocks out or securities out.
[00:27:54.960 --> 00:28:05.540]   And this gets to my next point, which is nobody was telling Russell back in the 1980s what to include in their Russell 3000 or even in their original growth and value and size indexes.
[00:28:05.600 --> 00:28:11.920]   Nobody was telling you that you were coming up with a benchmark and the asset managers didn't have any real say in it.
[00:28:11.920 --> 00:28:32.140]   It seems though things have changed and that the index providers now are creating indexes, yes, that are benchmarks, yes, that are used as the basis for index funds, but that the asset managers who that they're licensing these indexes to also have some say in this.
[00:28:32.140 --> 00:29:00.460]   In fact, in my interview with David Blitzer, which was podcast number two, he talks about going out to the major holders of the S&P 500 and discussing these issues with them, not to say particular companies, but just a more significant part of changes that occur in indexes have at least some participation by the licensees of the index.
[00:29:00.460 --> 00:29:11.160]   Yes, I think, you know, as we look at now the sort of latter part of the index history, it's more about, you know, indexes being created as for the basis of an investment product, right?
[00:29:11.160 --> 00:29:15.760]   The last 20, 20 or so years or 30 years, I guess, especially, you know, with the advent of the ETF.
[00:29:15.760 --> 00:29:18.180]   And so, yes, I think it's more about choice.
[00:29:18.180 --> 00:29:21.960]   I think what you were mentioning, it started out much more research driven, right?
[00:29:21.960 --> 00:29:29.920]   So, Russell and other firms, as a result of their research and, again, doing things like, you know, assessing active managers would come up with what they felt were the right principles.
[00:29:29.920 --> 00:29:37.960]   But as the industry has evolved, it really is now, you know, people are now being given more choices of how they want to invest, the ability to get more discrete, granular exposures.
[00:29:37.960 --> 00:29:47.840]   And so there's a lot more input now from clients from the market in terms of what sort of additional choices do people want to have and what should they have?
[00:29:47.840 --> 00:29:52.140]   It's much more demand driven now than research driven, I would say.
[00:29:52.700 --> 00:29:59.920]   I remember when South Korea was going to be taken out of the emerging market index and put into the developed market index.
[00:29:59.920 --> 00:30:01.360]   It was a big discussion about this.
[00:30:01.360 --> 00:30:04.180]   In fact, one index provider did it and another one didn't.
[00:30:04.180 --> 00:30:08.640]   And I'm not sure where it fits right now, but there was big discussion about this.
[00:30:08.640 --> 00:30:12.740]   How much is it going to impact our portfolios?
[00:30:12.740 --> 00:30:13.700]   Do you recall that?
[00:30:13.700 --> 00:30:18.440]   Yeah, we're in that camp as well where we continue to have, you know, South Korea as an emerging market.
[00:30:18.440 --> 00:30:28.900]   But this really comes back to the benefit of having a rules-based methodology because we have rules for how companies get classified as developed or emerging, which determines their inclusion.
[00:30:28.900 --> 00:30:37.100]   So, you know, the beauty of not having to have some sort of an internal meeting is if someone says, well, why do you have South Korea in your index that's different than the other guy?
[00:30:37.100 --> 00:30:38.600]   We can point to the answer.
[00:30:38.600 --> 00:30:39.960]   Here's the rules we use.
[00:30:39.960 --> 00:30:45.720]   You could anticipate if South Korea were to move, you can see what were the criteria that were used.
[00:30:45.720 --> 00:30:46.800]   You can anticipate that.
[00:30:46.800 --> 00:30:52.800]   So you may not agree with us, but at least you can understand why we did what we did.
[00:30:52.800 --> 00:30:54.760]   Because, as you said, it could be debatable.
[00:30:54.760 --> 00:30:59.420]   Depending on the criteria you're using for defining who's developed, who's emerging, you might get a different answer.
[00:30:59.420 --> 00:31:04.360]   So I think it's important to be transparent and have rules around why you make those decisions.
[00:31:04.360 --> 00:31:08.580]   I just want to touch on this last point and call it the care and feeding of indexes.
[00:31:08.580 --> 00:31:11.560]   There's some terms that we threw around out there.
[00:31:11.560 --> 00:31:14.840]   One of them is called reconstitution, and then there's rebalancing.
[00:31:15.140 --> 00:31:19.000]   Talk about the difference between reconstitution and rebalancing of an index.
[00:31:19.000 --> 00:31:20.060]   Yes.
[00:31:20.060 --> 00:31:22.780]   You know, this one we get into sort of the arcana of the jargon.
[00:31:22.780 --> 00:31:28.260]   But strictly speaking, reconstitution means we basically reapply all the rules for determining the membership.
[00:31:28.260 --> 00:31:40.200]   So if we're looking at something, let's say, like trying to construct size indexes, we would basically go out and look at the market capitalizations of all the companies and reconstitute the indexes in terms of who's now in the large cap index, who's now in the small cap index.
[00:31:40.200 --> 00:31:42.000]   We would also then assign weights accordingly.
[00:31:42.000 --> 00:31:49.800]   A rebalancing is you don't necessarily reset all of the membership, but sometimes shares outstanding changes happen for companies.
[00:31:49.800 --> 00:31:55.200]   So rebalancing is when you basically reset the company weights back to their targets, right?
[00:31:55.200 --> 00:31:57.400]   So you aren't changing the selection of stocks.
[00:31:57.400 --> 00:32:02.440]   You're sticking with the existing set of stocks, but you're now rebalancing them back to their target weights.
[00:32:02.480 --> 00:32:04.220]   And that's sort of more of it in a general way.
[00:32:04.220 --> 00:32:09.660]   So reconstitution means completely choosing or resetting the membership of the indexes.
[00:32:09.660 --> 00:32:15.140]   Rebalancing typically means we're just adjusting the weights of those constituents back to their targets.
[00:32:15.140 --> 00:32:17.320]   And Russell did this once a year.
[00:32:17.320 --> 00:32:20.920]   How often does Morningstar do this, the reconstitution part?
[00:32:20.920 --> 00:32:22.880]   Best practice generally is semi-annually, right?
[00:32:22.880 --> 00:32:26.560]   If you're only rebalancing one time a year, you have to hold on to that now for another year.
[00:32:26.560 --> 00:32:39.000]   So I think semi-annual rebalancing seems to be this happy medium in terms of really making sure you're representing the market by, you know, reconstituting the index every six months and not just holding it stale for an entire year.
[00:32:39.000 --> 00:32:41.820]   And how often do you rebalance, you know, shares outstanding?
[00:32:41.820 --> 00:32:42.620]   Quarterly.
[00:32:42.620 --> 00:32:43.100]   Quarterly.
[00:32:43.100 --> 00:32:46.960]   Effectively, the portfolio is the weights are being reset on a quarterly basis.
[00:32:46.960 --> 00:32:49.200]   You know, two times would be because of the reconstitution.
[00:32:49.200 --> 00:32:52.820]   But then off the reconstitution cycle, there's a rebalance happening.
[00:32:52.820 --> 00:32:55.900]   And what about, you know, big new issues that come to the market?
[00:32:55.900 --> 00:32:58.120]   Is there exceptions for big new issues?
[00:32:58.120 --> 00:32:59.400]   How would you include that?
[00:32:59.400 --> 00:33:00.280]   Yeah.
[00:33:00.280 --> 00:33:04.160]   Generally, IPOs come in through the normal reconstitution process.
[00:33:04.160 --> 00:33:07.120]   The goal isn't to capture these things as quickly as possible.
[00:33:07.120 --> 00:33:08.720]   Generally, you want to have some sort of a seasoning.
[00:33:08.720 --> 00:33:15.020]   And so the expectation is, you know, IPOs will generally get picked up at least within six months during a reconstitution cycle.
[00:33:15.020 --> 00:33:20.440]   I think that's the other thing to highlight is, obviously, we have the quarterly cycle, you know, rebalancing reconstitution.
[00:33:20.680 --> 00:33:25.880]   But we're basically managing a paper portfolio that has to replicate the experience that an investor would have.
[00:33:25.940 --> 00:33:31.180]   So things like splits, other corporate actions, we actually are simulating those as we manage the index.
[00:33:31.180 --> 00:33:32.260]   And that's on a daily basis.
[00:33:32.260 --> 00:33:39.240]   So spinoffs, mergers, acquisitions, anything that's going to happen to a company in reality, we have to reflect in the index portfolio.
[00:33:39.740 --> 00:33:43.080]   And so that's something we do on a daily basis, you know, reflecting corporate activity.
[00:33:43.080 --> 00:33:48.000]   And I want to talk about the difference between full market replication and free float.
[00:33:48.000 --> 00:33:50.840]   Back in the late 90s, there was a problem.
[00:33:50.840 --> 00:34:01.280]   Wilshire 5000, if you recall at the time, a lot of the stocks in there were, you couldn't really replicate the Wilshire 5000 because so much of the stock was held by insiders.
[00:34:01.700 --> 00:34:09.240]   And so eventually, index providers changed their methodologies to go to free float.
[00:34:09.240 --> 00:34:10.460]   So you could describe the difference.
[00:34:10.460 --> 00:34:11.620]   Yeah.
[00:34:11.620 --> 00:34:20.440]   You know, the academic theory would talk about holding companies in proportion to their total market capitalization, which is their, you know, shares outstanding, what are listed on the exchange times their price, right?
[00:34:20.440 --> 00:34:22.880]   That's the total market capitalization of the company.
[00:34:22.880 --> 00:34:24.700]   It's what we use to reflect the size.
[00:34:24.840 --> 00:34:29.960]   But as you mentioned, what actually happens is not all shares outstanding are necessarily trading in the market.
[00:34:29.960 --> 00:34:31.080]   Sometimes they're locked up.
[00:34:31.080 --> 00:34:35.580]   So you can have situations where a company might have only 50% of their shares are trading.
[00:34:35.580 --> 00:34:41.040]   So even though you might see their total market capitalization as one number, in reality, only 50% is available.
[00:34:41.040 --> 00:34:52.280]   So if you think about it, if someone is trying to replicate an index with a large amount of money, if they try to achieve that relative weight, in some cases, especially for smaller companies, it can have a price effect, right?
[00:34:52.300 --> 00:35:00.260]   And in fact, I think the reason S&P moved to float back in the early 2000s was because they had a major addition that came in at total market capitalization.
[00:35:00.260 --> 00:35:05.860]   All the index fund managers were trying to, you know, to hold that at the weight, and it created this huge price impact.
[00:35:05.860 --> 00:35:13.340]   I can't remember the stock, but it would show the impact of trying to hold a company based on its total shares outstanding, as opposed to its float shares outstanding.
[00:35:13.640 --> 00:35:17.420]   A lot of people call this the opportunity set for investors.
[00:35:17.420 --> 00:35:23.000]   In other words, the free float is the opportunity set we all have on the outside that we can invest in.
[00:35:23.000 --> 00:35:31.580]   The shares that Mark Zuckerberg holds or Jeff Bezos holds of his own company, they're not part of the free float.
[00:35:31.580 --> 00:35:34.860]   So this is what's available, and this is how the indexes are created.
[00:35:34.940 --> 00:35:40.100]   They all moved or migrated to free float, I want to say, in the late 1990s and early 2000s.
[00:35:40.100 --> 00:35:44.660]   And basically now, with the exception of very few indices, all of them are free float.
[00:35:44.660 --> 00:35:45.620]   Yes.
[00:35:45.620 --> 00:35:48.440]   And free float really is a proxy for what we would call capacity, right?
[00:35:48.440 --> 00:35:53.920]   So how much of a stock realistically can you hold before you start to create price impacts?
[00:35:53.920 --> 00:35:55.020]   It's related to liquidity.
[00:35:55.020 --> 00:35:58.240]   Some people would say liquidity, but strictly speaking, we use the term capacity.
[00:35:58.240 --> 00:36:10.500]   But float is really a proxy for how much of this stock is really available for the general investor, such that index funds or all investors, in fact, right, can hold, can get positions in that particular security.
[00:36:10.500 --> 00:36:17.680]   We've talked about the S&P, and we've talked about Russell indices, and there are, of course, many other total market indices out there.
[00:36:17.680 --> 00:36:31.180]   But one of them is kind of my favorite wonky index, and I know that a lot of people who are listening to this may not agree with, is the NASDAQ 100, which is what QQQs, the ETF QQQs, a benchmark to.
[00:36:31.180 --> 00:36:43.800]   And the history behind the NASDAQ 100 is a little bit wonky in itself because the New York Stock Exchange decided that in order to get publicity, they were going to create their own New York Stock Exchange index.
[00:36:43.800 --> 00:36:45.440]   And it started to get some publicity.
[00:36:46.380 --> 00:36:49.040]   So the NASDAQ said, well, we need our own index.
[00:36:49.040 --> 00:36:55.780]   So they created the NASDAQ 100, which was supposed to be the largest 100 stocks that trade on the NASDAQ.
[00:36:55.780 --> 00:37:02.780]   But then they decided that financial stocks were not going to be included, even though there were financial stocks trading on the NASDAQ.
[00:37:02.780 --> 00:37:08.960]   And then there's a cap on the value of any particular stock that you could have in the index.
[00:37:08.960 --> 00:37:13.340]   And nobody really paid that much attention to it until it became an ETF.
[00:37:14.140 --> 00:37:17.860]   At the time, it was QQQQs, and now it's just QQQ.
[00:37:17.860 --> 00:37:19.000]   Can you talk about that evolution?
[00:37:19.640 --> 00:37:22.320]   I would never want to cast aspersions on other index providers.
[00:37:22.320 --> 00:37:25.600]   But the importance for investors is it's why you need to understand the rules.
[00:37:25.600 --> 00:37:26.960]   How is this index being constructed?
[00:37:26.960 --> 00:37:27.680]   What are the parameters?
[00:37:27.680 --> 00:37:28.860]   And what's the outcome?
[00:37:28.860 --> 00:37:30.180]   And there's transparency, right?
[00:37:30.260 --> 00:37:33.760]   So the point is, as an investor, I'm not going to categorize it as good or bad.
[00:37:33.760 --> 00:37:40.340]   But you should be aware that using an exchange as the criteria for creating a portfolio is somewhat arbitrary.
[00:37:40.340 --> 00:37:42.760]   And what's the economic rationale between using an exchange?
[00:37:42.760 --> 00:37:46.460]   Because as an outcome, what you find is, well, you basically have 60% technology.
[00:37:46.460 --> 00:37:47.760]   You can see the exposures.
[00:37:47.760 --> 00:37:49.920]   It doesn't have the same sector profile as the economy.
[00:37:49.980 --> 00:37:51.280]   So you're making a bet somewhere.
[00:37:51.280 --> 00:37:52.960]   So it's important for you to be aware.
[00:37:52.960 --> 00:37:55.820]   What exposures is this index really giving me?
[00:37:55.820 --> 00:38:02.960]   Again, exchange criteria doesn't reflect, as far as I know, any sort of an economic rationale for investing, right?
[00:38:03.420 --> 00:38:04.280]   No, I agree.
[00:38:04.280 --> 00:38:14.020]   And you know, when they came out with industry sectors and they came out with the technology industry sector ETFs and index funds, I said, well, if you want technology, why would people just buy that?
[00:38:14.020 --> 00:38:14.540]   Right.
[00:38:14.540 --> 00:38:21.400]   But no, QQQ, just like DIA for the Dow Jones Industrial Average, I still see a lot of client portfolios that have this in it.
[00:38:21.400 --> 00:38:23.080]   And I kind of scratch my head at times.
[00:38:23.080 --> 00:38:23.480]   Yeah.
[00:38:23.480 --> 00:38:32.820]   I want to continue to get into indexes as a product as opposed to indexes as a benchmark or economic indicator or price indicator.
[00:38:33.100 --> 00:38:34.980]   This has become a huge business.
[00:38:34.980 --> 00:38:37.900]   As an index provider, you've been in the industry.
[00:38:37.900 --> 00:38:44.320]   I mean, you used to get paid at Russell for using your benchmarks if somebody wanted to use your benchmarks.
[00:38:44.320 --> 00:38:52.340]   But now, as a benchmark for ETFs or for index funds, it's a really lucrative business.
[00:38:52.340 --> 00:38:55.580]   Is it like the most lucrative part of indexing, is it not?
[00:38:55.580 --> 00:38:57.040]   Depends on the provider.
[00:38:57.200 --> 00:39:03.080]   I think clearly it's become a bigger and bigger component of most index providers' revenue streams.
[00:39:03.080 --> 00:39:10.400]   Every provider potentially has a different mix of how much they make from data subscriptions versus licensing for investable products.
[00:39:10.400 --> 00:39:11.980]   And then even things like derivatives, right?
[00:39:11.980 --> 00:39:14.640]   Potentially, you might consider that a third stream.
[00:39:15.080 --> 00:39:22.240]   As we've talked about, we sort of captured the first two uses of indexes, you know, asset class proxy, a measure of the market, and then benchmarks for active managers.
[00:39:22.240 --> 00:39:27.040]   This latter stage of the index world is the use as the basis of an investable product.
[00:39:27.040 --> 00:39:31.920]   Since the advent of the ETF in the early 90s, that's really now where we've seen most of the growth.
[00:39:31.920 --> 00:39:42.440]   But as I mentioned, so prior to the ETF launch, you would have seen providers like Russell and MSCI would have made the majority of their revenues licensing the index data to active managers because they were using it as a benchmark.
[00:39:42.440 --> 00:39:46.360]   S&P was actually making money more around, you know, trading of futures and options, right?
[00:39:46.360 --> 00:39:48.680]   So you kind of had that investable side there.
[00:39:48.680 --> 00:39:56.160]   But once the ETF got launched, what you saw is incredible demand now to use indexes as the basis of funds, which has now continued to this day.
[00:39:56.240 --> 00:40:04.880]   So it's definitely a much bigger component of our revenue streams as it has been, but most of us still make a decent amount of revenue from the data subscriptions.
[00:40:04.880 --> 00:40:16.040]   I have a term for the indexes that are created solely for the purpose of creating a product, special purpose indexes, spindexes for short.
[00:40:16.040 --> 00:40:20.620]   You know, you see some crazy indexes.
[00:40:21.620 --> 00:40:28.540]   This is an index of CEOs who are shorter than 5'10 and manage companies west of the Mississippi.
[00:40:28.540 --> 00:40:33.940]   I did the back test on this, and you know what?
[00:40:33.940 --> 00:40:35.000]   I mean, it works.
[00:40:35.000 --> 00:40:36.140]   It outperforms the market.
[00:40:36.140 --> 00:40:44.720]   But I can't create an index because if this is my great idea to create this index fund based on this index that I came up with, I have to go to an index provider.
[00:40:45.160 --> 00:40:55.100]   I mean, you know, S&P, whomever, and I say, how much money will you charge me to create and run the index for me that I can then license it from you?
[00:40:55.100 --> 00:40:56.180]   This is a big business.
[00:40:56.180 --> 00:40:57.260]   Yeah.
[00:40:57.260 --> 00:41:00.840]   You know, obviously, as a product provider, I'm going to talk about choice, right?
[00:41:00.840 --> 00:41:01.380]   Free market.
[00:41:01.380 --> 00:41:05.100]   If there's someone willing to pay for it, potentially there's a provider willing to build it.
[00:41:05.360 --> 00:41:09.180]   But I think what you're really touching on is the key thing for investors to be aware.
[00:41:09.180 --> 00:41:11.860]   You have to be really intentional on what do you believe?
[00:41:11.860 --> 00:41:12.820]   What's your conviction, right?
[00:41:12.820 --> 00:41:15.340]   What are you saying about this particular group of companies?
[00:41:15.340 --> 00:41:18.300]   What do you think is the rationale behind investing in them?
[00:41:18.300 --> 00:41:24.880]   As an index provider, I'm going to give you the best exposure I can, but I'm not the one telling you that these companies are necessarily going to do better.
[00:41:24.880 --> 00:41:29.060]   The outcome I'm promising you is some exposure to some characteristics.
[00:41:29.060 --> 00:41:33.680]   So I think it's important for the investors to say, why do I think these companies are going to do better, right?
[00:41:33.680 --> 00:41:35.300]   What's the reason I want to get this exposure?
[00:41:35.300 --> 00:41:38.400]   It comes back to, what do I know that others don't know?
[00:41:38.400 --> 00:41:39.400]   It's all about information.
[00:41:39.400 --> 00:41:42.740]   Presumably, efficient markets would tell me that all companies have been priced equally.
[00:41:42.740 --> 00:41:50.280]   Therefore, if I'm willing to buy one of these more narrowly described indexes, I must think I know something that the market doesn't.
[00:41:50.280 --> 00:41:53.680]   Those principles still apply as we think about all these new products.
[00:41:54.100 --> 00:42:02.540]   But a lot of the indexes that are created that way, these special purpose indexes that are just created for the purpose of creating a product, they don't last.
[00:42:02.540 --> 00:42:03.840]   A lot of them don't last.
[00:42:03.840 --> 00:42:08.060]   And when the product dies and closes, the index goes away.
[00:42:08.060 --> 00:42:09.580]   So we see a lot of that.
[00:42:09.580 --> 00:42:13.820]   We see a lot of creation of indexes, then indexes disappearing and so forth.
[00:42:13.820 --> 00:42:17.620]   But the core classic traditional indexes continue.
[00:42:17.620 --> 00:42:21.620]   Of course, there's the S&P 500, and then there's the total markets.
[00:42:22.240 --> 00:42:25.220]   Vanguard uses the CRISP for the total market.
[00:42:25.220 --> 00:42:26.800]   You've got the Russell 3000.
[00:42:26.800 --> 00:42:28.700]   There's S&P has total market.
[00:42:28.700 --> 00:42:31.380]   And Morningstar has broad market indexes as well.
[00:42:31.380 --> 00:42:32.920]   And style indexes, yes.
[00:42:32.920 --> 00:42:33.760]   Style indexes.
[00:42:33.760 --> 00:42:45.160]   And when we're talking about more than 50% of mutual fund money is now in index funds, I think it's safe to say that most of that money are in these core products.
[00:42:45.160 --> 00:42:45.740]   Would you agree?
[00:42:45.740 --> 00:42:46.480]   Yeah.
[00:42:46.480 --> 00:42:56.100]   The last time I looked at this, I think over 70% of AUM and flows are attributable to the more broad market products across a variety of vendors, right?
[00:42:56.100 --> 00:43:04.980]   Even though a lot of the press is around what you call the spindexes, most of the flows and AUM that you hear reported is still going into the broad beta products.
[00:43:04.980 --> 00:43:06.260]   That is a reality.
[00:43:06.620 --> 00:43:09.160]   Now, I want to get into one more aspect of indexing.
[00:43:09.160 --> 00:43:14.000]   Obviously, back in the day, and this was during the early 2000s, it's not that way anymore.
[00:43:14.000 --> 00:43:18.240]   But in order to launch an ETF, you had to have an index.
[00:43:18.240 --> 00:43:19.640]   You had to follow an index.
[00:43:19.640 --> 00:43:22.440]   There were no actively managed ETFs.
[00:43:22.440 --> 00:43:27.320]   If somebody wanted to launch an ETF, they had to have the index created first.
[00:43:27.320 --> 00:43:34.700]   So I remember, I think it was 2004, a new index was created called an Intellidex index.
[00:43:34.700 --> 00:43:39.960]   And it was created by the American Stock Exchange for the benefit of PowerShares.
[00:43:39.960 --> 00:43:47.120]   PowerShares was a new ETF company that launched ETFs tracking these Intellidex indexes.
[00:43:47.620 --> 00:43:54.820]   And when I first looked at those Intellidex indexes, I said, there's no way the SEC is going to allow this to be called an index.
[00:43:54.820 --> 00:44:03.420]   But I was wrong because these Intellidex indexes were quantitative fund selection, alternative weighting.
[00:44:03.420 --> 00:44:04.320]   They weren't cap weighted.
[00:44:04.320 --> 00:44:08.240]   They were weighted by other methodologies using fundamentals.
[00:44:08.240 --> 00:44:10.940]   And they were pure active management.
[00:44:10.940 --> 00:44:24.180]   The only difference was they were created first in a index and then the fund manager, PowerShares, followed within 80% because that's the rule, right?
[00:44:24.180 --> 00:44:28.360]   If you're a fund manager, you have to do 80% of what the index is to be able to call yourself an index fund.
[00:44:28.360 --> 00:44:32.400]   But they were calling themselves a passive index fund provider.
[00:44:32.520 --> 00:44:35.280]   And I almost fell off my chair when I saw this.
[00:44:35.280 --> 00:44:37.020]   I said, where is the SEC on this?
[00:44:37.020 --> 00:44:39.740]   But this has now become the norm.
[00:44:39.740 --> 00:44:50.100]   Active management can get away with being called passive index investing if they created some sort of a rules-based index first.
[00:44:50.240 --> 00:44:54.680]   And not only that, it used to be you had to go out and you had to hire an indexing company.
[00:44:54.680 --> 00:44:56.640]   Now you can do self-indexing.
[00:44:56.640 --> 00:45:07.960]   So me as the fund company, I can create my own index and then I can follow the index in a fund or an ETF and I can call myself a passive index fund manager.
[00:45:07.960 --> 00:45:09.020]   How do you feel about that?
[00:45:09.020 --> 00:45:10.940]   Because you can see I have issues with that.
[00:45:10.940 --> 00:45:11.440]   Yeah.
[00:45:11.440 --> 00:45:13.320]   There was a huge turmoil in the industry, right?
[00:45:13.320 --> 00:45:22.080]   Not only the Intellidex, but I think you saw with the fundamental index a few years later because, again, most people's concept of an index was it has to be broad market, market cap weighted.
[00:45:22.080 --> 00:45:26.000]   But clearly, something like an Intellidex was obviously an active strategy.
[00:45:26.000 --> 00:45:32.340]   I mean, I could make an argument that even when you start to break up the market by large, small growth value, that implies you're making an active decision somewhere.
[00:45:32.340 --> 00:45:33.840]   But most people didn't think that.
[00:45:33.840 --> 00:45:38.020]   So there's been this incredible blurring now of what's active, what's passive.
[00:45:38.020 --> 00:45:48.520]   And I think that just highlights, as you say, you can now have much more, call them active strategies, doing a variety of different things, but positioned as an index for purposes of an ETF.
[00:45:48.520 --> 00:45:51.660]   For me, it really begs the question, then what is the distinction now?
[00:45:51.660 --> 00:45:54.740]   And I think it does come back to rules-based and transparent.
[00:45:54.740 --> 00:45:59.020]   It's no longer this academic definition of active and passive because everything's really active now.
[00:45:59.020 --> 00:46:03.920]   Once you go past the broad market portfolio, right, you're now in some sort of active space.
[00:46:04.000 --> 00:46:10.420]   So really, the distinction now is, is it truly rules-based, i.e., is there any discretion, and is it transparent?
[00:46:10.420 --> 00:46:15.100]   Because obviously, the whole concept behind an active strategy is, I must know something the market doesn't.
[00:46:15.100 --> 00:46:17.680]   I'm not going to share that because I'll lose that edge.
[00:46:17.680 --> 00:46:21.040]   So in theory, if I'm making something transparent, it's not active, right?
[00:46:21.040 --> 00:46:22.680]   I'm just that sort of reverse logic.
[00:46:22.680 --> 00:46:28.280]   But that's sort of the litmus test I'm applying is, are they making the rules transparent?
[00:46:28.280 --> 00:46:30.700]   It's still what we would call an index.
[00:46:31.500 --> 00:46:34.640]   It's interesting the pivot these active managers took over the years.
[00:46:34.640 --> 00:46:40.140]   The way they responded to Jack Bogle back in 1976 was, you know, indexing is un-American.
[00:46:40.140 --> 00:46:41.580]   Well, I think we're beyond that.
[00:46:41.580 --> 00:46:42.060]   Yes.
[00:46:42.060 --> 00:46:47.200]   And indexing is not only here to stay, but it's probably the preferred strategy.
[00:46:47.200 --> 00:46:50.340]   So if you're an active manager, you've got to do something else.
[00:46:50.340 --> 00:46:58.360]   You've got to muddy the water, and you've got to try to convince people that what you're doing is better than traditional broad cap-weighted indexes.
[00:46:58.420 --> 00:47:14.180]   We were at an indexing conference back in 2007 when the S&P 500 was 50 years old, and research affiliates ran a full-page ad in the Wall Street Journal congratulating Standard & Poor's for 50 years, and then said, and now we're the indexes for the next 50 years.
[00:47:14.180 --> 00:47:14.360]   Right, right.
[00:47:14.360 --> 00:47:14.660]   Yeah.
[00:47:15.940 --> 00:47:17.340]   Because they're trying to muddy the water.
[00:47:17.340 --> 00:47:23.820]   They're trying to confuse people as to what, you know, the John Bogle type of indexing, which is the basic traditional indexing.
[00:47:23.820 --> 00:47:25.700]   They're trying to say, oh, this is just as good, it's not better.
[00:47:25.700 --> 00:47:30.560]   And a lot of people believe that, and I see these in portfolios, and they're always more expensive.
[00:47:30.560 --> 00:47:33.040]   A lot of them don't work, but they exist.
[00:47:33.040 --> 00:47:35.920]   Well, the comment I would make is, you know, that's sort of as American as you can get, right?
[00:47:35.920 --> 00:47:38.780]   The free market, you know, providing, you know, lots of choices to people.
[00:47:38.780 --> 00:47:41.300]   But I think for me, it's also a very Darwinian process.
[00:47:41.300 --> 00:47:45.880]   As you suggested earlier, the fund companies will launch these products, but not all of them survive, right?
[00:47:45.880 --> 00:47:50.340]   In theory, the ones that survive are the ones that get flows in AUM, so there must be some demand from there.
[00:47:50.340 --> 00:47:53.820]   So to me, this is a sign that the free markets are still potentially working.
[00:47:53.820 --> 00:47:57.640]   It just sometimes takes time to weed out the ones that don't make sense for anybody.
[00:47:57.800 --> 00:47:58.400]   Okay, fair enough.
[00:47:58.400 --> 00:48:02.640]   So I don't know if Morningstar has done this, but you at Morningstar, I don't know how involved you are in this,
[00:48:02.640 --> 00:48:07.080]   but you do your benchmarking studies every year where you look at all the active managers,
[00:48:07.080 --> 00:48:10.880]   and you say, how are they outperforming your indices?
