
[00:00:00.000 --> 00:00:24.200]   Okay, is that better?
[00:37:58.080 --> 00:38:01.400]   We don't want to have to do this every time we call this function. So once we find the
[00:38:01.400 --> 00:38:16.000]   right one, we pop it in the cache. So next time around, we can just grab it. Okay. So
[00:38:16.000 --> 00:38:22.120]   that is type dispatch. And so the key way to understand it really is to look at the tests,
[00:38:22.120 --> 00:38:26.600]   right? So you can see here we've got things at lots of different levels of hierarchy.
[00:38:26.600 --> 00:38:36.800]   There's a parameter that's a collection, some kind of integer, tensor, mask or image, or
[00:38:36.800 --> 00:38:44.580]   some kind of number, right? So these are all functions. So we can create a types dispatch
[00:38:44.580 --> 00:38:55.720]   object with all of those different functions in. And so we should try, if we look up int
[00:38:55.720 --> 00:39:05.400]   for instance, then we should get back this one because none of them were defined with
[00:39:05.400 --> 00:39:14.760]   int specifically, but it's going to match number and integral. Integral is more specific
[00:39:14.760 --> 00:39:23.880]   type than number. So that's why it matches that. String doesn't match any of them. So
[00:39:23.880 --> 00:39:34.040]   it's a none. So here's the same kind of thing, but this time after creating the object, we'll
[00:39:34.040 --> 00:39:47.560]   actually start calling some functions and make sure that they do the right thing. Okay.
[00:39:47.560 --> 00:39:56.960]   So that is type dispatch. So yeah, to get the Python data model in your head requires kind
[00:39:56.960 --> 00:40:02.320]   of putting all these things together. But the nice thing is once it is all in your head,
[00:40:02.320 --> 00:40:11.760]   you can put it together the way we have here. So we were able to replace the normal dictionary
[00:40:11.760 --> 00:40:19.640]   by replacing prepare with to firm dict. The firm dict is something which instead of a
[00:40:19.640 --> 00:40:25.620]   normal dictionary, when you set the item as encodes or decodes, it actually creates a type
[00:40:25.620 --> 00:40:39.440]   dispatch object and adds to it. And that means that now when we inherit from transform and
[00:40:39.440 --> 00:40:46.360]   we create an encodes or decodes, um, attribute, uh, it will actually add it to the encodes
[00:40:46.360 --> 00:40:55.400]   or decodes type dispatch. And so when we call encodes or decodes, we get this behavior, which
[00:40:55.400 --> 00:41:01.600]   is to get a negative version of this because it's a tensor image and a non-negative version
[00:41:01.600 --> 00:41:13.080]   of this because it's not a tensor image. Um, so, um, this specifically is single dispatch,
[00:41:13.080 --> 00:41:24.980]   not multiple dispatch. So, um, it only looks up. Let's find it. Um, when you add it, it
[00:41:24.980 --> 00:41:35.240]   only adds the, so P one ano is a function, any tiny little function here, which just
[00:41:35.240 --> 00:41:40.720]   grabs the, um, added the first parameter annotation. So this will only work. Uh, so this will only
[00:41:40.720 --> 00:41:50.060]   do type dispatch based on the first, um, non-self parameter. So for me, that's a very good question.
[00:41:50.060 --> 00:41:56.680]   Why not throw an error? Um, basically because of what I was describing before, if you are
[00:41:56.680 --> 00:42:06.860]   defining say, uh, rotate data augmentation for various types, um, then generally speaking,
[00:42:06.860 --> 00:42:14.160]   if you don't have it defined for your type, then probably what we want to do is nothing
[00:42:14.160 --> 00:42:21.040]   at all. Um, so the basic idea is that these kind of transforms are things you can opt
[00:42:21.040 --> 00:42:37.440]   into. Um, if you do want to create a transform, um, um, if you do want to create a transform
[00:42:37.440 --> 00:42:45.060]   which, uh, throws an error, uh, if you, um, if you call it with something that doesn't
[00:42:45.060 --> 00:42:57.000]   exist, you certainly can. Let's do it. So here's a transform. And so if we say def encodes,
[00:42:57.000 --> 00:43:09.600]   and we'll say here, raise not implemented, and then we'll go def encodes self comma x
[00:43:09.600 --> 00:43:22.640]   colon int return x plus one. So let's go a equals a, and then we can go a one that returns
[00:43:22.640 --> 00:43:37.280]   two a high, and that's going to return. Oh, is that not the right one? There we go. Not
[00:43:37.280 --> 00:43:43.600]   implemented error. So you can certainly, um, um, add that. And so the reason this works
[00:43:43.600 --> 00:43:48.440]   is because to remember that if you don't have an annotation, it's the same as saying object.
[00:43:48.440 --> 00:43:52.760]   It's kind of the way Python normally does things. That's the way we do things too. And
[00:43:52.760 --> 00:43:57.360]   since that's the highest thing up in the inheritance, in the inheritance hierarchy, that's the one
[00:43:57.360 --> 00:44:05.440]   that it would end up calling if you don't provide some other behavior. Uh, so thank
[00:44:05.440 --> 00:44:31.840]   you for that. Excellent question. Um, okay, so that is the way that we handle dispatch.
[00:44:31.840 --> 00:44:44.680]   So the next thing is what about the way we can treat a transform sub class as a decorator?
[00:44:44.680 --> 00:44:52.840]   So if you remember a decorator, um, uh, when you see something like this, um, we'll actually
[00:44:52.840 --> 00:45:04.600]   call this as a callable and pass this function to it. So that is basically identical to saying
[00:45:04.600 --> 00:45:16.520]   something like def underscore encodes equals that. And then encodes equals, um, a parenthesis.
[00:45:16.520 --> 00:45:28.800]   And actually what I should say is no, I just say, yeah, a underscore encodes. It's basically
[00:45:28.800 --> 00:45:37.400]   the same as doing that. Um, and we should find that the same test then passes. Um, but
[00:45:37.400 --> 00:45:52.680]   we have to say a equals that. Um, let's see. Ah, yes, it's slightly different because it
[00:45:52.680 --> 00:46:02.720]   thinks of it as not as a method. Okay. So it's not exactly the same. It's nearly the same,
[00:46:02.720 --> 00:46:09.000]   well because of Python, because of stuff we do. So we'll come back to that later. Um, okay.
[00:46:09.000 --> 00:46:22.640]   So the reason we can use this, um, as a decorator is because that means that our class, um,
[00:46:22.640 --> 00:46:29.360]   is going to have to support, um, the callable basically. Um, now classes are normally callables
[00:46:29.360 --> 00:46:37.800]   because you can, um, instantiate a class, obviously. So if you go class B like this,
[00:46:37.800 --> 00:46:46.200]   then you go B equals B, then you're calling B as a callable or B's type, B's metatype
[00:46:46.200 --> 00:46:54.080]   as a callable. Uh, so that means if we go to our meta class, we can redefine under call.
[00:46:54.080 --> 00:47:04.760]   And that means we can redefine what happens when we instantiate this class. Um, so if we
[00:47:04.760 --> 00:47:12.920]   instantiate this class or if we, if we done the call this class, um, and we pass in some
[00:47:12.920 --> 00:47:28.840]   argument, um, and if that argument is callable, um, and it's not decodes or encodes, then we
[00:47:28.840 --> 00:47:38.800]   are going to, um, add that function, uh, to our type dispatch. Um, and so that's exactly
[00:47:38.800 --> 00:47:46.040]   what happens when we say at a def encodes, blah, blah, blah. It's just going to add that
[00:47:46.040 --> 00:47:58.280]   function to this class's type dispatch. So you can see here it calls dot add, which is
[00:47:58.280 --> 00:48:05.800]   the dot add that we had here in type dispatch. So this is the thing that basically registers
[00:48:05.800 --> 00:48:23.160]   another type. Um, okay. So, uh, that's the hat. Uh, there's one last piece, which is done
[00:48:23.160 --> 00:48:32.240]   to new. So this is the thing that first gets called when you're creating a new type. Um,
[00:48:32.240 --> 00:48:37.240]   and one of the things I discovered, which is super annoying, is that if I create a new
[00:48:37.240 --> 00:48:44.240]   type, like so any title type, even without being a meta type, and I define a done to
[00:48:44.240 --> 00:49:13.080]   new, like so, so here's some class and then I define some sub class and I say in it, like
[00:49:13.080 --> 00:49:23.200]   so. And then so I want to instantiate that and then I shift tab. Um, oh, that was not
[00:49:23.200 --> 00:49:33.920]   what I expected to happen. Oh, sorry. And plus B inherits from a shift tab. You can
[00:49:33.920 --> 00:49:39.200]   see the signature is star, star, star quags, or else I would have expected the signature
[00:49:39.200 --> 00:49:49.080]   to be a, as it would be if I removed my base class. Um, so I found that super annoying because
[00:49:49.080 --> 00:49:54.480]   like you want to customize new all the time. Not all the time, but very frequently. Um,
[00:49:54.480 --> 00:49:58.280]   and pretty much most of the time when you customize it, you're going to use star, star,
[00:49:58.280 --> 00:50:03.480]   star quags because you don't want to define what base classes can do. Um, but as soon
[00:50:03.480 --> 00:50:20.240]   as you do that, you, you kill the signature, like so. So, um, I don't know why it works
[00:50:20.240 --> 00:50:29.640]   that way and maybe I'm missing something, but what I did here was I replaced the signature
[00:50:29.640 --> 00:50:37.080]   for the class with a signature for the dunder init so that we get the right nice signature.
[00:50:37.080 --> 00:50:45.240]   So if we try that, here we have a look at transform. You can see we get the correct
[00:50:45.240 --> 00:50:55.120]   signature as we would want. Um, because otherwise, uh, it's not just under new, it would also
[00:50:55.120 --> 00:51:02.680]   be done to call from the meta class, uh, would also replace the signature otherwise. Um, so
[00:51:02.680 --> 00:51:12.580]   that's why that's there. Um, so believe it or not, that's actually all the pieces. Um,
[00:51:12.580 --> 00:51:17.120]   and so if you want to study this, like, so the first thing to point out is none of this
[00:51:17.120 --> 00:51:24.720]   is at all necessary to understand fast AI version two. It's no more important than understanding
[00:51:24.720 --> 00:51:33.600]   the meta object data model is to, um, use Python day to day. It's an advanced technique which
[00:51:33.600 --> 00:51:38.340]   you can learn about if you're interested. And if you're interested in learning more
[00:51:38.340 --> 00:51:42.600]   about how Python works behind the scenes, so you can try doing stuff like this yourself
[00:51:42.600 --> 00:51:49.840]   if you want to create, um, change how Python works and fully use its dynamic features.
[00:51:49.840 --> 00:51:55.840]   So if you want to fully understand what transform does, just check out all the tests. Um, we've
[00:51:55.840 --> 00:52:03.540]   tried to make it so that each test does one thing, you know, one shows one clear type
[00:52:03.540 --> 00:52:13.720]   of behavior. We try to add comments explaining what each behavior is that it's showing. Um,
[00:52:13.720 --> 00:52:20.440]   so yeah, hopefully that all is useful for those of you that are interested. So then you can
[00:52:20.440 --> 00:52:28.880]   see tuple transform and item transform just force an item to be true or false and lots
[00:52:28.880 --> 00:52:38.240]   more tests of that behavior, as you can see. Um, all right. Well, I think that's enough
[00:52:38.240 --> 00:52:43.040]   for today because that was super dense. Um, and, uh, yeah, if you start looking through
[00:52:43.040 --> 00:52:48.480]   this code and want to learn more about it, feel free to ask any questions you like. All
[00:52:48.480 --> 00:52:51.360]   right. Thanks, everybody. Bye.
[00:52:51.360 --> 00:53:01.360]   [BLANK_AUDIO]

