
[00:00:00.000 --> 00:00:05.000]   Wake up at Holiday Inn Express to a can't-miss breakfast that's free with every stay.
[00:27:35.000 --> 00:27:39.000]   But at least then they've got people all over the country looking for the criminal.
[00:27:39.000 --> 00:27:41.000]   And your friends want to help.
[00:27:41.000 --> 00:27:48.000]   So, make your first priority activating all of the people that know you and like you and want to help you.
[00:27:48.000 --> 00:27:52.000]   And in today's world, it's easier than ever to do this.
[00:27:52.000 --> 00:27:54.000]   So, start with make a Facebook post.
[00:27:54.000 --> 00:27:58.000]   Make a LinkedIn post or put it out on Twitter and Google+.
[00:27:58.000 --> 00:28:03.000]   Put a frowny face with your story of getting laid off on Instagram.
[00:28:03.000 --> 00:28:11.000]   Maybe make a quick YouTube video and put it on your YouTube channel or add a blog post to your blog and tell the story and just say what you're looking for and ask people to help.
[00:28:11.000 --> 00:28:13.000]   Recruit them.
[00:28:13.000 --> 00:28:22.000]   Don't say, "I got laid off. I'm looking for work in marketing or I'm looking for work in better. I'm looking for work in marketing at oil companies," or whatever your version is.
[00:28:22.000 --> 00:28:25.000]   And make it public and let people know.
[00:28:25.000 --> 00:28:37.000]   Then, more importantly, go through your contacts list on every social media platform and individually message each and every person there a quick note asking them to keep their ears open.
[00:28:37.000 --> 00:28:41.000]   If you don't have time to do that, hire somebody for $8 an hour to do it for you.
[00:28:41.000 --> 00:28:47.000]   But in today's world, you've got to work harder and harder to get seen and just tossing something out on Facebook isn't enough.
[00:28:47.000 --> 00:28:50.000]   Individually message each and every one of your friends.
[00:28:50.000 --> 00:28:55.000]   And make it simple. Make it quick and ask a quick question at the end so they can respond.
[00:28:55.000 --> 00:29:00.000]   Maybe something like, "Hey, I'm looking for work. If you know of any opportunities, please just let me know.
[00:29:00.000 --> 00:29:03.000]   And, oh, by the way, I was trying to figure out what would be a better fit for me.
[00:29:03.000 --> 00:29:09.000]   Do you have any ideas of anybody in any other industry or something that you think would be a better fit for me?"
[00:29:09.000 --> 00:29:11.000]   Just inviting them to connect with you.
[00:29:11.000 --> 00:29:14.000]   Email every person in your address book individually.
[00:29:14.000 --> 00:29:17.000]   Text every cell phone number in your phone.
[00:29:17.000 --> 00:29:20.000]   Call every name in your phone and tell them quickly your story.
[00:29:20.000 --> 00:29:23.000]   Leave a voicemail. Ask for help.
[00:29:23.000 --> 00:29:32.000]   Even if you just simply let people know, tell them, "No need to call me back, but I wanted to give you a quick notification," then that person is likely to start listening.
[00:29:32.000 --> 00:29:39.000]   And the same way that you've done this many times for your friends, activate your social networks.
[00:29:39.000 --> 00:29:47.000]   If you had a good reputation at your previous company, meaning you were laid off but you did good work, you didn't get fired because of some egregious breach of protocol,
[00:29:47.000 --> 00:29:50.000]   then ask all your former coworkers for help.
[00:29:50.000 --> 00:29:59.000]   Wherever you work, you should do your best to get hold of the company directory and make sure you have that in your files so that you have a database of your former coworkers so you can keep in touch with them.
[00:29:59.000 --> 00:30:04.000]   If you're on a nonprofit board of some kind, call all the board members and tell them what you're looking for.
[00:30:04.000 --> 00:30:09.000]   Go through your church directory and call everybody there or call all the recruiters back who've been calling you.
[00:30:09.000 --> 00:30:19.000]   And of course, you took the advice to put them onto a list and make sure that you activate all the recruiters that you know and tell them you're looking for work and maybe one of them will be able to find you an option.
[00:30:19.000 --> 00:30:23.000]   Call your university or high school and talk to their career department.
[00:30:23.000 --> 00:30:30.000]   Look at the alumni directory and if worse comes to worse, start cold calling all the people in your alumni directory.
[00:30:30.000 --> 00:30:38.000]   My guess is that you won't be a third of the way through those ideas or those lists before you stumble across dozens of opportunities.
[00:30:38.000 --> 00:30:41.000]   Now, those opportunities may or may not be what you want.
[00:30:41.000 --> 00:30:46.000]   But again, remember I'm primarily targeting people who need work quickly.
[00:30:46.000 --> 00:30:51.000]   If you need work quickly, it's good to have a bunch of opportunities in hand.
[00:30:51.000 --> 00:30:56.000]   Keep careful notes as you talk to everybody and follow up on all the leads.
[00:30:56.000 --> 00:31:00.000]   If you call up your Uncle Mark and your Uncle Mark says, "Oh, you know what?
[00:31:00.000 --> 00:31:04.000]   Here, call this person," call the person.
[00:31:04.000 --> 00:31:10.000]   Tell people what you're looking for but also if you are open to any opportunity, then be open to any opportunity.
[00:31:10.000 --> 00:31:13.000]   So maybe it takes you a week of work to contact everyone you know.
[00:31:13.000 --> 00:31:15.000]   It's probably worth it.
[00:31:15.000 --> 00:31:24.000]   Especially if you're open to, again, a variety of opportunities and if you aren't hunting specifically for let's call it the elephant job.
[00:31:24.000 --> 00:31:30.000]   You'll start hearing of opportunities everywhere and then you can start to sift and sort.
[00:31:30.000 --> 00:31:38.000]   Now, if you are targeting a very specific upper level job, there's no need to do this broad blanket approach.
[00:31:38.000 --> 00:31:46.000]   If you were the CEO of Home Depot and you just got fired, you don't necessarily need to put a post out on your Facebook page that you're looking for a job.
[00:31:46.000 --> 00:31:49.000]   The Wall Street Journal will take care of that for you.
[00:31:49.000 --> 00:31:52.000]   But the process is the same.
[00:31:52.000 --> 00:31:53.000]   It's just more targeted.
[00:31:53.000 --> 00:31:54.000]   You still activate your network.
[00:31:54.000 --> 00:32:00.000]   It's just a slightly more exclusive, slightly more focused network.
[00:32:00.000 --> 00:32:02.000]   That's the way the world works.
[00:32:02.000 --> 00:32:05.000]   It's with networks.
[00:32:05.000 --> 00:32:10.000]   So at whatever level this is appropriate to you, move quickly.
[00:32:10.000 --> 00:32:25.000]   If you got fired as the CEO of the Home Depot and you want to get another job, you're going to make a bunch of phone calls pretty quickly and put the five or six people who are going to be most helpful and most important on notice that you're available.
[00:32:25.000 --> 00:32:44.000]   Once you've activated your social network, then you need to start a targeted process of approaching specific companies who might be good candidates for the output and products of your personal services corporation.
[00:32:44.000 --> 00:32:47.000]   Remember, you're in a sales job.
[00:32:47.000 --> 00:32:50.000]   You sell a product with certain features and attributes.
[00:32:50.000 --> 00:32:53.000]   You've got to find the right fit for that product.
[00:32:53.000 --> 00:32:55.000]   There are a bunch of great ways to do this.
[00:32:55.000 --> 00:32:57.000]   Start with going to the library and getting some books.
[00:32:57.000 --> 00:33:01.000]   Go and get Dan Miller's book, 48 Days to the Work You Love.
[00:33:01.000 --> 00:33:04.000]   Go and get Guerrilla Marketing for Job Hunters.
[00:33:04.000 --> 00:33:06.000]   Go and get What Color is Your Parachute?
[00:33:06.000 --> 00:33:07.000]   There are dozens of them.
[00:33:07.000 --> 00:33:19.000]   Go through the books and take the ideas and start implementing them and be targeted and focused on exactly what you want and start the process forward.
[00:33:19.000 --> 00:33:30.000]   Remember this, filling vacant job positions is some of the most difficult work that employers do.
[00:33:30.000 --> 00:33:47.000]   This is why if you're a great worker and you contribute great value, you're unlikely to get laid off or fired because finding a replacement is hard and it's expensive for employers to find your replacement.
[00:33:47.000 --> 00:33:52.000]   But there are some keys and strategies that you can use.
[00:33:52.000 --> 00:33:56.000]   I won't go into this in detail but I do just want to mention one thing.
[00:33:56.000 --> 00:34:03.000]   As I was preparing for today's show, just checking a couple of those books, I've read those books in the past, the Guerrilla Job Hunters and Dan Miller's.
[00:34:03.000 --> 00:34:09.000]   I happened to look over at the blog for What Color is Your Parachute?
[00:34:09.000 --> 00:34:13.000]   That book is by a guy named Dick Bowles.
[00:34:13.000 --> 00:34:16.000]   His book, he's been around forever.
[00:34:16.000 --> 00:34:20.000]   He updates it every year and he had a little chart here and I'm just going to tell you this chart.
[00:34:20.000 --> 00:34:28.000]   It's about how employers prefer to hire people versus how job hunters look for jobs.
[00:34:28.000 --> 00:34:33.000]   So this is the path that an employer would prefer to use to fill a vacant position.
[00:34:33.000 --> 00:34:36.000]   Their number one choice would be to hire from within.
[00:34:36.000 --> 00:34:47.000]   The promotion of a full-time employee or promotion of a present part-time employee or hiring a former consultant for in-house or contract work or hiring a former temp full-time.
[00:34:47.000 --> 00:34:49.000]   The employer's thoughts are these.
[00:34:49.000 --> 00:34:55.000]   I want to hire someone whose work I have already seen because that's a low-risk strategy for the employer.
[00:34:55.000 --> 00:35:05.000]   So if you're a job hunter, see if you can get hired in an organization that you've chosen as a temp, as a contract worker, as a consultant, aiming at a full-time position only later or not at all.
[00:35:05.000 --> 00:35:10.000]   The number two way that the employer would prefer to hire is using proof.
[00:35:10.000 --> 00:35:17.000]   Hiring an unknown job hunter who brings proof of what he or she can do with regards to the skills needed.
[00:35:17.000 --> 00:35:22.000]   So that was why we talked about things like websites being an industry representative.
[00:35:22.000 --> 00:35:26.000]   The implication for job hunters, if you're a programmer, bring a program you've done with its code.
[00:35:26.000 --> 00:35:28.000]   If you're a photographer, bring photos.
[00:35:28.000 --> 00:35:31.000]   If you're a counselor, bring a case study with you, etc.
[00:35:31.000 --> 00:35:37.000]   Number three, for an employer, they prefer to hire using a best friend or business colleague.
[00:35:37.000 --> 00:35:42.000]   Hiring someone whose work a trusted friend of yours has seen, perhaps they worked for him or her.
[00:35:42.000 --> 00:35:51.000]   So implication for job hunters, find someone who knows the person who has the power to hire at your target organization and who also knows your work and will introduce you to.
[00:35:51.000 --> 00:35:56.000]   Number four, an employer would prefer to use an agency that they trust.
[00:35:56.000 --> 00:36:04.000]   This may be a recruiter or search firm the employer has hired or a private employment agency, both of which have checked you out on behalf of the employer.
[00:36:04.000 --> 00:36:09.000]   Number five, they can hire using an ad they placed online or in newspapers, etc.
[00:36:09.000 --> 00:36:15.000]   Number six, they can hire using a resume even if the resume was unsolicited if the employer is desperate.
[00:36:15.000 --> 00:36:24.000]   Now typically, the cool thing about this chart and I'll link to it in the notes, but the cool thing about this chart is that's typically the exact opposite of the approach that most people take to getting a job.
[00:36:24.000 --> 00:36:27.000]   Most of the time, they send out resumes or reply to ads.
[00:36:27.000 --> 00:36:33.000]   That's what they most popularly do instead of taking some of those alternative strategies.
[00:36:33.000 --> 00:36:36.000]   Don't get stuck in the job advice of the 1970s.
[00:36:36.000 --> 00:36:38.000]   It doesn't work anymore.
[00:36:38.000 --> 00:36:42.000]   So read some of those books and start implementing what they encourage you to do.
[00:36:42.000 --> 00:36:46.000]   Be targeted and focused and pursue the opportunities and work your way through.
[00:36:46.000 --> 00:36:58.000]   And because you're doing a lot of work up front, you should be able quickly to select and collect various opportunities among which you can choose what's most appropriate for you.
[00:36:58.000 --> 00:37:04.000]   Don't forget about some of the radical strategies that you can employ, things like working for free.
[00:37:04.000 --> 00:37:07.000]   I haven't done it.
[00:37:07.000 --> 00:37:10.000]   I'm sure there are people that have done it, but I didn't look up any stories to prove it.
[00:37:10.000 --> 00:37:19.000]   But I've often thought to myself that one of the things that I would do if I knew there were a specific company that I wanted to work at is I would trot in and I'd get as high up as I could.
[00:37:19.000 --> 00:37:23.000]   I'd walk into the board meeting or the CEO or something and I'd say, "Listen."
[00:37:23.000 --> 00:37:26.000]   I'd do a little bit of work and make the presentation a little bit better.
[00:37:26.000 --> 00:37:29.000]   But in essence, "Listen, I really want to work here.
[00:37:29.000 --> 00:37:31.000]   I think I can bring a tremendous amount of value.
[00:37:31.000 --> 00:37:33.000]   I'd like to work for you for free for a month.
[00:37:33.000 --> 00:37:36.000]   You could check me out and vet me, but I'll work for you for free.
[00:37:36.000 --> 00:37:42.000]   At the end of a month or two months or whatever, depending on how valuable it is, then go ahead and hire me or not.
[00:37:42.000 --> 00:37:48.000]   But I am committed to this company and I believe this is what I want to do."
[00:37:48.000 --> 00:37:53.000]   You can get through a lot with polite pestering.
[00:37:53.000 --> 00:38:04.000]   Now, obviously, there's an art to it to not be annoying and you've got to be able to discern between those, but a little bit of polite persistence goes a long way.
[00:38:04.000 --> 00:38:09.000]   If you're desperate for work, draw a ring around your house and start going door to door.
[00:38:09.000 --> 00:38:14.000]   Walk in and talk to the receptionist, talk to the business owners, leave your card, tell them your story.
[00:38:14.000 --> 00:38:18.000]   Nobody does that, but I guarantee you'll get hired.
[00:38:18.000 --> 00:38:23.000]   I can't imagine you not getting hired just because you're out there actually showing initiative and doing things.
[00:38:23.000 --> 00:38:28.000]   And many times people need workers and they're just too busy to go and find them.
[00:38:28.000 --> 00:38:35.000]   So take massive action and something will turn out.
[00:38:35.000 --> 00:38:39.000]   Now, on the personal finance side of things, what do you do?
[00:38:39.000 --> 00:38:42.000]   Take action and cut expenses quickly.
[00:38:42.000 --> 00:38:46.000]   Look at your expenses and figure out what your margin is.
[00:38:46.000 --> 00:38:54.000]   Calculate how many months of wiggle room you have based upon your level of savings and then respond appropriately.
[00:38:54.000 --> 00:38:58.000]   You normally spend, say, $6,000 a month and you have $30,000 in savings.
[00:38:58.000 --> 00:39:02.000]   Well, at that rate, you have a five-month window to find a job.
[00:39:02.000 --> 00:39:07.000]   Now, if you can cut your expenses to $4,000 a month, now you have a seven-and-a-half-month window.
[00:39:07.000 --> 00:39:12.000]   That's a massive difference of time.
[00:39:12.000 --> 00:39:18.000]   You can do a lot in an extra two-and-a-half months, especially when you're taking huge action in the first month or two.
[00:39:18.000 --> 00:39:23.000]   So cut, cut, cut quickly and do it up front.
[00:39:23.000 --> 00:39:26.000]   Stop buying expensive foods, no packaged foods, less or no meat.
[00:39:26.000 --> 00:39:28.000]   You've got time to cook.
[00:39:28.000 --> 00:39:29.000]   Cut your auto expenses.
[00:39:29.000 --> 00:39:30.000]   Park the second car.
[00:39:30.000 --> 00:39:31.000]   Drop the insurance.
[00:39:31.000 --> 00:39:32.000]   Sell the car.
[00:39:32.000 --> 00:39:33.000]   Ride the bikes.
[00:39:33.000 --> 00:39:34.000]   Cut your entertainment expenses.
[00:39:34.000 --> 00:39:35.000]   Cut your utilities.
[00:39:35.000 --> 00:39:36.000]   Pull the kids out.
[00:39:36.000 --> 00:39:41.000]   Do it quickly because if you do it quickly, you buy a ton of time.
[00:39:41.000 --> 00:39:43.000]   Let me give you a simple example.
[00:39:43.000 --> 00:39:46.000]   You have $30,000 in savings and you spend $6,000 a month.
[00:39:46.000 --> 00:39:51.000]   That means you have five months of window to find a job.
[00:39:51.000 --> 00:40:00.000]   Now, you could if possible – let's say in the first month, you can cut your expenses from $6,000 a month to $3,000 a month by moving quickly.
[00:40:00.000 --> 00:40:03.000]   Now you have a ten-month window.
[00:40:03.000 --> 00:40:06.000]   You have doubled the time.
[00:40:06.000 --> 00:40:10.000]   But what most people do is they continue spending $6,000 a month for three months.
[00:40:10.000 --> 00:40:13.000]   That burns up $18,000.
[00:40:13.000 --> 00:40:18.000]   You're left with $12,000.
[00:40:18.000 --> 00:40:28.000]   Now, even if after only three months you cut your expenses to $3,000 a month, you still only have four months left.
[00:40:28.000 --> 00:40:36.000]   So you have a total of seven months of expenses under that scenario versus ten months if you move quickly.
[00:40:36.000 --> 00:40:39.000]   The faster you can cut, the more time you have.
[00:40:39.000 --> 00:40:45.000]   And the more time you have, the pickier and the more selective and choosy you're able to be.
[00:40:45.000 --> 00:40:51.000]   And the more options you'll be able to collect, gather, and the better this experience will be.
[00:40:51.000 --> 00:40:59.000]   Now again, apply this to your life as is appropriate to your scale.
[00:40:59.000 --> 00:41:03.000]   Maybe you don't make everything in the first month.
[00:41:03.000 --> 00:41:06.000]   You don't cut everything and just go to nothing.
[00:41:06.000 --> 00:41:14.000]   But at least have your bias be towards let me move quickly not knowing how much time I'm going to need.
[00:41:14.000 --> 00:41:22.000]   And we can always increase spending later versus let me move slowly and try to keep our lifestyle the same.
[00:41:22.000 --> 00:41:26.000]   And then all of a sudden, we're really sunk.
[00:41:26.000 --> 00:41:30.000]   Have a bias towards action and towards moving quickly.
[00:41:30.000 --> 00:41:35.000]   Once the money is gone, it's gone and it ain't coming back.
[00:41:35.000 --> 00:41:44.000]   So make sure it leaves very, very slowly and make sure it's been pinched and squeezed and hurt on its way out.
[00:41:44.000 --> 00:41:48.000]   Because cash buys you options.
[00:41:48.000 --> 00:41:55.000]   You don't want to get to the point where you're trying to make a life transition and you don't have cash.
[00:41:55.000 --> 00:41:59.000]   Next point, it is closely related but just a different look at it.
[00:41:59.000 --> 00:42:07.000]   If things start looking desperate, be strategic in your decisions soon for the sake of your family.
[00:42:07.000 --> 00:42:08.000]   Let me give you an example.
[00:42:08.000 --> 00:42:15.000]   Let's say that you have $3,000 saved but you have a $1,500 a month mortgage payment.
[00:42:15.000 --> 00:42:17.000]   This would not be unusual in today's world.
[00:42:17.000 --> 00:42:19.000]   This is what many families are in.
[00:42:19.000 --> 00:42:22.000]   Hopefully not you if you've been listening to Radical Personal Finance for a while.
[00:42:22.000 --> 00:42:28.000]   But this would be a situation that would be common for many families, an average balance sheet for many middle-class families.
[00:42:28.000 --> 00:42:31.000]   You've got $3,000 in the bank and you've got a $1,500 mortgage payment.
[00:42:31.000 --> 00:42:36.000]   Now you got laid off and you've been looking for work for a few weeks but you're realizing it's tough.
[00:42:36.000 --> 00:42:38.000]   This is a problem.
[00:42:38.000 --> 00:42:43.000]   Now hopefully you're going to start to be pushing out some options pretty quickly.
[00:42:43.000 --> 00:42:48.000]   But sit down and triage your expenses soon.
[00:42:48.000 --> 00:42:53.000]   Don't wait until you're right on the edge and you've run out of cash and you're living on the credit cards.
[00:42:53.000 --> 00:43:03.000]   If you get the sense that you're going to have to make some hard decisions, make the hard decisions sooner rather than later.
[00:43:03.000 --> 00:43:13.000]   So keep your cash on hand and make sure that you pay for food and utilities and put gas in the car and stop paying the mortgage early if you have to.
[00:43:13.000 --> 00:43:17.000]   Don't wait until you're stuck.
[00:43:17.000 --> 00:43:20.000]   Now, obviously, I don't want to stop paying the mortgage payment.
[00:43:20.000 --> 00:43:25.000]   But if you've got to do what you've got to do, then do it early and protect yourself.
[00:43:25.000 --> 00:43:26.000]   Do the honorable thing.
[00:43:26.000 --> 00:43:27.000]   Call them.
[00:43:27.000 --> 00:43:30.000]   Tell them what's going on and work like crazy to find any kind of work to stay current.
[00:43:30.000 --> 00:43:49.000]   But don't spend all your money keeping the big bills going and then be stuck without any cash trying to move to another place and not having any cash to do first, last, and security deposit on another place to live while you've got a job on the other side of the state and not having anything to eat.
[00:43:49.000 --> 00:43:55.000]   The whole point is try not to get your back up against the wall where you're broke and desperate.
[00:43:55.000 --> 00:44:17.000]   If you were in that situation and you knew what it was going to be, if I were in that situation and I were facing that financial situation, I would work like crazy for a couple weeks to get a job and I would immediately stop paying the mortgage because it would take months and months and months for them to foreclose on you.
[00:44:17.000 --> 00:44:22.000]   And if you get a job, you can quickly dig yourself out and back and get caught up.
[00:44:22.000 --> 00:44:26.000]   Okay, a few months of deficiencies, you quickly get caught up.
[00:44:26.000 --> 00:44:28.000]   It's no big deal.
[00:44:28.000 --> 00:44:45.000]   But if a month later I've lost all what little savings I had and my family hasn't eaten in a week, it's going to be hard to feel confident about doing what needs to be done to get that job.
[00:44:45.000 --> 00:44:48.000]   Now, hear me right.
[00:44:48.000 --> 00:44:50.000]   I hate the idea of being late on bills.
[00:44:50.000 --> 00:44:52.000]   I've done hours and hours of shows to minimize that possibility.
[00:44:52.000 --> 00:44:57.000]   But if you find yourself in a desperate situation, don't wait.
[00:44:57.000 --> 00:45:02.000]   Make the difficult decisions quickly.
[00:45:02.000 --> 00:45:09.000]   Make them up front and try to keep from putting yourself in a desperate situation.
[00:45:09.000 --> 00:45:26.000]   If I were stuck in a middle class lifestyle, I got laid off, assumed no unemployment, you run these scenarios through your own situation, but I don't have any unemployment, I've got $3,000 in the bank and I'm used to spending $3,000 a month of which $1,500 is my mortgage, I'm not making the next payment.
[00:45:26.000 --> 00:45:36.000]   I got to keep my $3,000 in the bank until we get cash flow coming in because I might need that $3,000 to go buy a lawnmower so I can go start making money mowing lawns.
[00:45:36.000 --> 00:45:44.000]   Keep your options and your decisions open to you and take control of the situation.
[00:45:44.000 --> 00:45:54.000]   Now, I hope these ideas are useful to you if you are at the edge or if you find yourself in that difficult situation.
[00:45:54.000 --> 00:45:56.000]   But many of you listening are not at the edge.
[00:45:56.000 --> 00:46:07.000]   And here I'd like to adjust the tone a little bit and talk about the opportunities that can be presented with a layoff.
[00:46:07.000 --> 00:46:21.000]   And if you're in the edge now and you're listening to the show but you haven't been laid off, get yourself into this situation and into this position now so that you're never in those desperate straits that I just referenced.
[00:46:21.000 --> 00:46:41.000]   If you've got margin, you've got cash, and you've got time, and you've got – I guess margin is the best word, then consider seeing the layoff as a tremendous opportunity and take advantage of it in every way you can.
[00:46:41.000 --> 00:46:50.000]   Take advantage of the opportunity to fulfill a dream if you can or to use it to advance something that you usually don't get an opportunity to advance.
[00:46:50.000 --> 00:46:58.000]   When I was a young financial advisor, I had the opportunity to call on a guy who was – he's a construction guy.
[00:46:58.000 --> 00:47:01.000]   And he was here in Palm Beach County.
[00:47:01.000 --> 00:47:06.000]   And I won't give the type of construction, but he was a construction guy and had been a construction guy for a long time.
[00:47:06.000 --> 00:47:08.000]   He was in his 50s.
[00:47:08.000 --> 00:47:18.000]   And when I called on him, it was one of these very challenging scenarios where construction guys – they're a unique lot when it comes to their personalities.
[00:47:18.000 --> 00:47:28.000]   You've got to be a little bit gruff and you can't be scared and you've got to be willing to follow through because they're used to dealing with people in a straightforward way, which I like.
[00:47:28.000 --> 00:47:32.000]   I always have gotten along well with blue-collar construction guys.
[00:47:32.000 --> 00:47:35.000]   But you've got to work a little bit.
[00:47:35.000 --> 00:47:39.000]   You've got to be willing to stay in there and press through the bluster.
[00:47:39.000 --> 00:47:41.000]   So this guy pressed through the bluster.
[00:47:41.000 --> 00:47:49.000]   And I impressed him enough that he kind of took pity on me as this young, baby-faced – I don't know what – 24-year-old financial advisor or something like that.
[00:47:49.000 --> 00:47:51.000]   He's like, "Let me share with you a story."
[00:47:51.000 --> 00:47:56.000]   He says, "My business" – this would have been '09, '10, something like that.
[00:47:56.000 --> 00:48:01.000]   He said, "My business has declined some massive percentage in the past months."
[00:48:01.000 --> 00:48:06.000]   He says, "I used to run crews of 50 guys and I'm down to six."
[00:48:06.000 --> 00:48:14.000]   And with the absolute destruction of the South Florida construction market, his entire business had collapsed.
[00:48:14.000 --> 00:48:19.000]   But he said, "I'll tell you what. This is not my first rodeo. I've been through this a bunch of times."
[00:48:19.000 --> 00:48:24.000]   He says, "The first recession that I went through as a young business person, that one almost sank me.
[00:48:24.000 --> 00:48:27.000]   And I swore I would never get put in that position again."
[00:48:27.000 --> 00:48:29.000]   He said, "I don't owe anybody money.
[00:48:29.000 --> 00:48:32.000]   The majority of my employees were not employees.
[00:48:32.000 --> 00:48:33.000]   They were contractors.
[00:48:33.000 --> 00:48:37.000]   I don't owe a dime of debt on any of my business assets."
[00:48:37.000 --> 00:48:41.000]   He said, "All these guys have parked their trucks and I just didn't renew their contracts."
[00:48:41.000 --> 00:48:42.000]   He said, "My overhead is low."
[00:48:42.000 --> 00:48:45.000]   He was some grimy little office on the back of a gas station.
[00:48:45.000 --> 00:48:49.000]   It was kind of a crazy thing.
[00:48:49.000 --> 00:48:57.000]   And he said, "And I just bought a boat from another guy I know who had bought this big fancy boat
[00:48:57.000 --> 00:49:01.000]   and he got it for a tiny amount of money compared to the value, 30 cents on the dollar."
[00:49:01.000 --> 00:49:03.000]   He said, "I paid cash for it. I'm going fishing every day.
[00:49:03.000 --> 00:49:08.000]   I got my assistant here answering the phones and I go fishing every day and I just wait it out.
[00:49:08.000 --> 00:49:10.000]   I got enough money I can sit back and wait it out."
[00:49:10.000 --> 00:49:15.000]   And the point of it was that when the market was bad,
[00:49:15.000 --> 00:49:19.000]   instead of freaking out and saying, "How can I get the business back?"
[00:49:19.000 --> 00:49:25.000]   he just let things coast and enjoyed the break.
[00:49:25.000 --> 00:49:30.000]   But you can only do that if you've prepared for it.
[00:49:30.000 --> 00:49:36.000]   Now obviously there are business techniques to say, "How can I keep my business going even when times are tough?"
[00:49:36.000 --> 00:49:39.000]   You can pivot, you can adjust, you can change.
[00:49:39.000 --> 00:49:44.000]   But for him, he had a long, well-established business and it was just a matter of the business cycle,
[00:49:44.000 --> 00:49:46.000]   the market coming back.
[00:49:46.000 --> 00:49:51.000]   And he put himself into a position where he didn't have to chase all of the hard work with very low margins
[00:49:51.000 --> 00:49:58.000]   when everybody's beating you up on price and he could sit back and he could wait.
[00:49:58.000 --> 00:50:07.000]   That inspired me to say, "What can I do to be out of sync with the economy?"
[00:50:07.000 --> 00:50:14.000]   Frankly, a lot of wealth and wealth creation simply has to do with fortunate timing.
[00:50:14.000 --> 00:50:21.000]   If you look at overall statistics sometimes on economic growth, say for example in the United States,
[00:50:21.000 --> 00:50:25.000]   sometimes it's all about just being at the right place at the right time
[00:50:25.000 --> 00:50:30.000]   even though you might like to attribute it to your own personal skill, it may or may not have been.
[00:50:30.000 --> 00:50:35.000]   The problem is that most people are very in sync with the economy
[00:50:35.000 --> 00:50:40.000]   and they increase their consumption to match their income.
[00:50:40.000 --> 00:50:42.000]   Don't do that.
[00:50:42.000 --> 00:50:48.000]   When your income is high, enjoy it and stash it aside.
[00:50:48.000 --> 00:50:52.000]   And if you keep your expenses low relative to your income,
[00:50:52.000 --> 00:50:56.000]   then you'll have options when the income disappears or is adjusted.
[00:50:56.000 --> 00:50:59.000]   If possible, set yourself up to do that.
[00:50:59.000 --> 00:51:02.000]   So getting laid off could be an advantage to you
[00:51:02.000 --> 00:51:08.000]   because it might give you that opportunity that you need to go and travel the world.
[00:51:08.000 --> 00:51:11.000]   You've been thinking about it. You've been planning for it. You've been saving money.
[00:51:11.000 --> 00:51:15.000]   But man, you're just making a lot of money and this has been good and do I really want to walk away?
[00:51:15.000 --> 00:51:18.000]   Well, decision was made.
[00:51:18.000 --> 00:51:23.000]   Go ahead and buy the ticket or get in the car and start driving.
[00:51:23.000 --> 00:51:26.000]   Get the RV or whatever. Sell the house. Travel.
[00:51:26.000 --> 00:51:31.000]   Dump the monthly expenses if possible and just stretch yourself out
[00:51:31.000 --> 00:51:35.000]   and use it as an opportunity to adjust and to reestablish yourself.
[00:51:35.000 --> 00:51:40.000]   What happens is we often get locked into the corporate world of career growth
[00:51:40.000 --> 00:51:47.000]   and minimum time and maximum expenses.
[00:51:47.000 --> 00:51:52.000]   And we're trying to build our life around the two or three-week vacation opportunities.
[00:51:52.000 --> 00:51:56.000]   Now, we talk a lot about early financial independence. That's great.
[00:51:56.000 --> 00:51:59.000]   But what if you're halfway there and then you get laid off?
[00:51:59.000 --> 00:52:02.000]   Well, maybe this could be the opportunity to go ahead and try it out.
[00:52:02.000 --> 00:52:09.000]   You're halfway there. Take some time. Take a few years off and go and start doing the things that are on the list.
[00:52:09.000 --> 00:52:13.000]   You might even be fortunate enough to have some unemployment checks.
[00:52:13.000 --> 00:52:16.000]   That can be cool.
[00:52:16.000 --> 00:52:19.000]   If that's the case, you have an incredible opportunity.
[00:52:19.000 --> 00:52:23.000]   Take that money and see if you can adjust your lifestyle to make maximum use out of it.
[00:52:23.000 --> 00:52:27.000]   Maybe this is the opportunity to start the business that you've always wanted to start.
[00:52:27.000 --> 00:52:32.000]   Or again, maybe this is the opportunity to rent your house out and even if you just break even on it,
[00:52:32.000 --> 00:52:37.000]   go and buy the sailboat and use the unemployment checks to cover your marina fees.
[00:52:37.000 --> 00:52:45.000]   Now, obviously, you have to take care of the simple administrative things to take care of those checks.
[00:52:45.000 --> 00:52:47.000]   But recognize this.
[00:52:47.000 --> 00:52:53.000]   Last recession, they put those things out to 99 weeks and they'll do it again if it buys votes in the next recession.
[00:52:53.000 --> 00:52:55.000]   Remember, politicians always have to be seen doing something.
[00:52:55.000 --> 00:52:59.000]   It doesn't matter if what they're doing is helping or actually hurting in reality.
[00:52:59.000 --> 00:53:03.000]   They're not going to listen to anybody that says that what they're doing is wrong.
[00:53:03.000 --> 00:53:05.000]   They're just going to continue blustering forward.
[00:53:05.000 --> 00:53:11.000]   And it's not until years later after they're out of office that people look back and settle into the proof of what they're doing.
[00:53:11.000 --> 00:53:15.000]   So it's all about the perception now that I'm doing something.
