
[00:00:00.040 --> 00:00:09.700]   quin but
[00:48:13.000 --> 00:48:13.000]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:13.000 --> 00:48:13.000]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:13.000 --> 00:48:13.000]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:13.000 --> 00:48:13.000]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:13.020 --> 00:48:43.020]  , and you're looking at the very early days of the introduction of the variety.
[00:48:43.020 --> 00:48:43.020]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:43.020 --> 00:48:43.020]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:43.020 --> 00:48:43.020]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:43.020 --> 00:48:43.020]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:43.020 --> 00:48:43.020]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:43.020 --> 00:48:43.020]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:43.020 --> 00:48:43.020]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:43.020 --> 00:48:43.020]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:43.060 --> 00:49:13.040]  ,
[00:49:13.040 --> 00:49:13.040]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:49:13.040 --> 00:49:13.040]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:49:13.040 --> 00:49:13.040]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:49:13.040 --> 00:49:13.040]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:49:13.040 --> 00:49:13.040]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:49:13.040 --> 00:49:13.040]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:49:13.040 --> 00:49:13.040]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:49:13.040 --> 00:49:13.040]   Yeah, and you're looking at the very early days of the introduction of the recommendation of the variety.
[00:49:13.040 --> 00:49:13.040]   Yeah, and you're looking at the very early days of the introduction of the recommendation of the variety.
[00:49:13.060 --> 00:49:43.060]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:49:43.060 --> 00:49:43.060]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:49:43.060 --> 00:49:43.060]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:49:43.060 --> 00:49:43.060]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:49:43.060 --> 00:49:43.060]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:49:43.060 --> 00:49:43.060]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:49:43.060 --> 00:49:43.060]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:49:43.060 --> 00:49:43.060]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:49:43.060 --> 00:49:43.060]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:49:43.060 --> 00:49:43.060]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:49:43.080 --> 00:50:13.080]   I'm looking at the very early days of the recommendation of the variety.
[00:50:13.080 --> 00:50:13.080]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:50:13.080 --> 00:50:13.080]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:50:13.080 --> 00:50:13.080]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:50:13.080 --> 00:50:13.080]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:50:13.080 --> 00:50:13.080]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:50:13.080 --> 00:50:13.080]   Yeah, and you're looking at the very early days of the recommendation of the recommendation of the variety.
[00:50:13.080 --> 00:50:13.080]   Yeah, and you're looking at the very early days of the recommendation of the recommendation of the variety.
[00:50:13.080 --> 00:50:13.080]   Yeah, and you're looking at the very early days of the recommendation of the recommendation of the variety.
[00:50:13.120 --> 00:50:43.100]  ,
[00:50:43.100 --> 00:50:43.100]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:50:43.100 --> 00:50:43.100]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:50:43.100 --> 00:50:43.100]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:50:43.100 --> 00:50:43.100]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:50:43.100 --> 00:50:43.100]   Yeah, and you're looking at the very early days of the recommendation of the variety.
[00:50:43.100 --> 00:50:43.100]   Yeah, and you're looking at the very early days of the recommendation of the recommendation of the variety.
[00:50:43.100 --> 00:50:43.100]   Yeah, and you're looking at the very early days of the recommendation of the recommendation of the variety.
[00:50:43.100 --> 00:50:43.100]   Yeah, and you're looking at the very early days of the recommendation of the recommendation of the recommendation of the variety.
[00:50:43.100 --> 00:50:43.100]   Yeah, and you're looking at the very early days of the recommendation of the recommendation of the recommendation of the recommendation of the variety.
[00:50:43.140 --> 00:50:52.300]  appro Г I I
[00:50:52.300 --> 00:50:54.120]  ough
[00:50:54.120 --> 00:51:10.520]   test. And,GL Potato hamut or Chong he don a start a car like, "D, "., ", ", ", ", ", ", ", ", róż and,chsel the. And, econom spectrum. With the old. I've the new damned. And, I'm thing that's,
[00:51:10.520 --> 00:51:12.680]  ,
[00:51:13.160 --> 00:51:16.500]   didnt't have a lot of.
[00:51:16.500 --> 00:51:25.540]   And, you have hydrogen helium still on the outskirts. And, then you have your layers of heavy and heavy elements all the way up to iron. So, you have an iron core in the center.
[00:51:25.540 --> 00:51:34.540]   And, because you can't get any energy out of iron when you want to fuse to iron atoms anymore. Right? That's when the supernova explodes.
[00:51:34.540 --> 00:51:36.220]   What occurs really.
[00:51:36.220 --> 00:51:39.520]   It's actually an implosion first. And, then you have a bounce.
[00:51:39.520 --> 00:51:43.060]   Of the sort of neutron star phase.
[00:51:43.180 --> 00:51:53.280]  視
[00:51:53.280 --> 00:52:11.800]   connect,
[00:52:11.940 --> 00:52:16.080]   - So that explains why you can have a big oomph
[00:52:16.080 --> 00:52:17.640]   and not much iron yield.
[00:52:17.640 --> 00:52:19.080]   - Yeah, yeah.
[00:52:19.080 --> 00:52:23.340]   - So is this explained the HE1327?
[00:52:23.340 --> 00:52:25.220]   - Correct. - And others like it?
[00:52:25.220 --> 00:52:29.460]   - Yeah, so there's a, it's well established now
[00:52:29.460 --> 00:52:32.940]   that the lower the iron abundance of the stores are,
[00:52:32.940 --> 00:52:35.400]   the higher the carbon sort of gets.
[00:52:35.400 --> 00:52:38.800]   And carbon is such an interesting element in that regard.
[00:52:38.800 --> 00:52:40.700]   If we come back to,
[00:52:40.700 --> 00:52:40.700]   - Yeah, yeah.
[00:52:40.700 --> 00:52:40.700]   - If we come back to,
[00:52:40.700 --> 00:52:40.700]   - Yeah, yeah.
[00:52:40.700 --> 00:52:40.700]   - If we come back to,
[00:52:40.700 --> 00:52:40.800]   - Yeah, yeah.
[00:52:40.800 --> 00:52:40.900]   - If we come back to,
[00:52:40.900 --> 00:52:40.900]   - Yeah, yeah.
[00:52:40.900 --> 00:52:40.940]   - If we come back to,
[00:52:40.940 --> 00:52:41.040]   - Yeah, yeah.
[00:52:41.040 --> 00:52:41.120]   - If we come back to,
[00:52:41.120 --> 00:52:41.140]   - Yeah, yeah.
[00:52:41.140 --> 00:52:41.160]   - If we come back to,
[00:52:41.160 --> 00:52:41.200]   - Yeah, yeah.
[00:52:42.080 --> 00:53:10.520]   - If we come back to the formation of the first low mass stars, right?
[00:53:10.560 --> 00:53:21.820]   in
[00:53:21.820 --> 00:53:37.500]   지� money,,,,,
[00:54:37.680 --> 00:54:47.940]   in
[00:54:47.940 --> 00:55:07.580]   leak pocket rug, ,,, my
[00:55:07.700 --> 00:55:17.920]   se
[00:55:17.920 --> 00:55:18.860]   could,
[00:55:18.860 --> 00:55:31.280]   Mor Z Pass Lion as,,,,,arn money Давайте
[00:55:35.720 --> 00:55:58.740]  bewilderingly.com. I'm going to read this. It's a cliched statement but it's also a material, it's a chemical, a physics statement. It came from hydrogen and helium. And somehow this formation created this interesting complexity of soup that made us. What are we supposed to make of that? Did we just get really lucky? Why did we get all this cool stuff?
[00:55:58.740 --> 00:56:01.740]   Yeah, that's a good question.
[00:56:01.740 --> 00:56:03.740]   I don't think it's a question, it's an answer.
[00:56:03.740 --> 00:56:03.740]   I keep just asking why.
[00:56:03.740 --> 00:56:03.740]   I don't think it's a question, it's an answer.
[00:56:03.740 --> 00:56:03.740]   I keep just asking why.
[00:56:03.740 --> 00:56:03.740]   I keep just asking why.
[00:56:03.740 --> 00:56:03.740]   I don't think it's a question, it's an answer.
[00:56:03.740 --> 00:56:03.740]   I don't think it's a question, it's an answer.
[00:56:03.740 --> 00:56:03.740]   I keep just asking why.
[00:56:03.740 --> 00:56:03.740]   I don't think it's a question, it's an answer.
[00:56:03.780 --> 00:56:31.780]  , but it's this incredible mystery. So much cool stuff had to happen. So much, sorry, hot stuff had to happen.
[00:56:31.780 --> 00:56:31.780]   Well, right. And so much could have gone wrong and there would have been another outcome.
[00:56:31.780 --> 00:56:31.780]   Well, right. And so much could have gone wrong and there would have been another outcome.
[00:56:31.780 --> 00:56:31.780]   Well, right. And so much could have gone wrong and there would have been another outcome.
[00:56:31.780 --> 00:56:31.780]   Well, right. And so much could have gone wrong and there would have been another outcome.
[00:56:31.780 --> 00:56:31.780]   Well, right. And so much could have gone wrong and there would have been another outcome.
[00:56:31.780 --> 00:56:31.780]   Well, right. And so much could have gone wrong and there would have been another outcome.
[00:56:31.780 --> 00:56:31.780]   Well, right. And so much could have gone wrong and there would have been another outcome.
[00:56:31.780 --> 00:56:31.780]   Well, and so much could have gone wrong and there would have gone wrong and there would have gone wrong and there would have gone another outcome.
[00:56:31.820 --> 00:56:37.700]   spend
[00:56:37.700 --> 00:56:42.040]   I измен Coconut
[00:56:42.040 --> 00:56:50.820]   land the. I. I, que, offer,,,,,,,,, didnt
[00:57:00.060 --> 00:57:18.800]  癢': That evolution seems to be creating more and more complexity. The kind of interesting clumping of cool stuff seems to be accelerating and increasing. It's hard not to see as humans that there's some kind of purpose to it, like a momentum towards complexity and beauty, you know.
[00:57:18.800 --> 00:57:25.840]   Well, beauty is in the eye of the beholder. But yes, everything gets more complicated.
[00:57:25.840 --> 00:57:28.300]   I. Well, there's also a beauty to the chemically
[00:57:28.300 --> 00:57:28.300]   The chemical is a very pristine universe in the early days.
[00:57:28.300 --> 00:57:28.300]   The chemical is a very pristine universe in the early days.
[00:57:28.300 --> 00:57:28.300]   The chemical is a very pristine universe in the early days.
[00:57:28.300 --> 00:57:28.300]   The chemical is a very pristine universe in the early days.
[00:57:28.300 --> 00:57:28.300]   The chemical is a very pristine universe in the early days.
[00:57:28.300 --> 00:57:28.300]   The chemical is a very pristine universe in the early days.
[00:57:28.300 --> 00:57:28.300]   The chemical is a very pristine universe in the early days.
[00:57:28.300 --> 00:57:28.300]   The chemical is a very pristine universe in the early days.
[00:57:28.300 --> 00:57:56.600]   in the early days.
[00:57:56.640 --> 00:58:06.740]  lo
[00:58:06.740 --> 00:58:25.240]  'm, dough.
[00:59:23.580 --> 00:59:52.520]   underway. So when you want to explore the early universe. So there are two questions now that that's kind of come to mind. Where do these elements come from? And what what do they tell us? Right? And these, as we know, these heavy elements are made in a specific process. It's a neutron capture process, usually referred to as the R process for rapid neutron
[00:59:52.520 --> 00:59:52.520]   Capture process.
[00:59:52.540 --> 01:00:21.480]   So we still don't exactly know where this process can occur. So you have, let's say, a lone iron atom somewhere. And it is in an environment where you have a strong neutron flux, which means then must be lots of neutrons around. And again, when we talk about the site we can surmise and ponder where where that might be the case. But you have this iron atom and you bombard it with neutrons and you do it in a way that's very important for the future.
[01:00:21.540 --> 01:00:33.000]   Э
[01:00:33.000 --> 01:00:35.340]   care ac my county
[01:02:49.460 --> 01:02:58.540]   while
[01:02:58.540 --> 01:02:59.520]   İş
[01:02:59.520 --> 01:03:01.060]   ...- have
[01:03:01.060 --> 01:03:09.440]   dit represent in terms. And. I. I. I. I...I... 12...G...A...K...G...G...G...G...預備 the, and, and, with, when, prove, out, is, with, as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Sun "
[01:03:09.440 --> 01:03:17.480]   AND, realizes dass
[01:03:17.560 --> 01:03:27.640]   Sim
[01:03:27.640 --> 01:03:27.860]   your RA
[01:03:27.860 --> 01:03:32.700]   5 con the, the,,,,,케
[01:03:32.700 --> 01:03:41.860]  ändelim
[01:05:09.600 --> 01:05:09.600]   You see the waves coming? So that's exactly what happens when two neutron stars merge. And this is neutrons galore, right? It's really violent to smash two neutron stars, you know, so that are so dense already into each other. And, they in 2017, one of these events occurred and the LIGO and Virgo gravitational wave observatories, they detected that. And then the astronomers
[01:05:09.600 --> 01:05:09.600]   The observatories who were in the observatory. They detected that. And then the astronomers
[01:07:01.720 --> 01:07:11.580]   provide
[01:07:11.580 --> 01:07:28.740]   de, I I a經
[01:07:57.880 --> 01:07:57.880]   and I I a I a ring.
[01:07:57.880 --> 01:07:57.880]   I I a ring. I'm going to find reticulum 2 and it has these, the stars show the signature of the rapid neutron capture process, the R process. And we are like, okay, these stars are located in a dwarf galaxy right now. We have environmental information. They are not lost in the galaxy where we don't know where they actually came from. No, we know these stars were formed in that galaxy because they're still in it. And that we already deduced from that, that it must have been a neutron star merger that went on for a long time.
[01:08:25.980 --> 01:08:25.980]   Yeah.
[01:08:25.980 --> 01:08:26.080]   Yeah.
[01:08:54.840 --> 01:08:54.880]   Yeah.
[01:08:54.900 --> 01:09:14.300]  obedient. But I think it's important that we understand the importance of the fact that these stars are not lost in the galaxy because there are leftovers from the early universe, right? They did not get eaten. So they're still in their native surroundings. I go, it's like getting the lions in the wild, right? I got to study those and compare to the counterparts that got eaten and are now in the Milky Way. And so I.
[01:09:14.300 --> 01:09:18.740]   So presumably, most of those stars, not all those stars network out, they're really ancient.
[01:09:18.780 --> 01:09:47.040]  , because actually, as it turns out, if you have a small galaxy, there was a process early on in the universe called reionization that kind of heated up everything. And together with some supernova explosions in an early shallow bound system, all these little systems lost their gas. It was sort of blown out or it simply evaporated or both, probably both.
[01:09:47.040 --> 01:09:47.600]   And so these little systems lost their gas.
[01:09:47.600 --> 01:09:48.100]   And so these little systems lost their gas.
[01:09:48.100 --> 01:09:48.140]   And so these little systems lost their gas.
[01:09:48.140 --> 01:09:48.140]   And so these little systems lost their gas.
[01:09:48.140 --> 01:09:48.140]   And so these little systems lost their gas.
[01:09:48.140 --> 01:09:48.140]   And so these little systems lost their gas.
[01:09:48.140 --> 01:09:48.140]   And so these little systems lost their gas.
[01:09:48.140 --> 01:09:48.140]   reionization and they kind of reionization and they kind of heated up everything.
[01:09:48.140 --> 01:09:48.140]   reionization and they kind of all of the universe.
[01:09:48.160 --> 01:09:52.240]   And so these systems have been unable to continue to form stars since.
[01:09:52.240 --> 01:09:52.320]   And so these systems have been unable to continue to form stars since.
[01:09:52.320 --> 01:09:52.500]   And so these systems have been unable to continue to form stars since. Mm hmm.
[01:09:52.500 --> 01:09:52.600]   Mm hmm.
[01:09:52.600 --> 01:09:52.640]   Mm hmm. So it's the best for us stellar archaeologists that you could hope for because it's a whole bunch of stars still sitting there. It's not just one. It's a whole bunch of them still sitting there ever since and nothing has, literally nothing has happened to them. They've just been waiting there for us.
[01:09:52.640 --> 01:10:09.580]   Mm hmm. So it's the best for us stellar archaeologists that you could hope for because it's a whole bunch of stars still sitting there ever since and nothing has, literally nothing has happened to them. They've just been waiting there for us.
[01:10:09.600 --> 01:10:33.820]   Mm hmm. So from the stellar archaeology perspective, what is juicier and more interesting, the old stars and the outskirts that have been eaten, the outskirts in the Milky Way or the stars in the dwarf galaxies? Of all the things you love about the world--. You said you love stars. So which do you love more of your children?
[01:10:33.820 --> 01:10:59.560]  , I love them all.
[01:10:59.560 --> 01:11:00.060]   Mm hmm.
[01:11:00.060 --> 01:11:01.060]   That's a hard one.
[01:11:01.060 --> 01:11:02.060]   I mean, I love them all.
[01:11:02.060 --> 01:11:02.560]   Okay.
[01:11:02.560 --> 01:11:03.060]   Of course.
[01:11:03.060 --> 01:11:03.560]   They serve different purposes.
[01:11:03.560 --> 01:11:03.560]   The stars in the Milky Way, I can get much, much, much better data for them because they're brighter. They're closer, so they're brighter. And that tickles my fancy.
[01:11:03.560 --> 01:11:03.560]   And they have interesting kinematics presumably.
[01:11:03.560 --> 01:11:03.560]   Yes, and we can get that. And so HG 1523, for example, that one is really bright. It's a red line, so it's intrinsically bright and it's fairly close.
[01:11:03.560 --> 01:11:03.560]   So it's a red line, so it's intrinsically bright and it's fairly close.
[01:11:03.560 --> 01:11:03.560]   I mean, but it's a lot of course, it's not just a lot of the stars.
[01:11:03.600 --> 01:11:13.840]   if
[01:11:13.840 --> 01:11:31.480]   buns brush carry
[01:11:32.380 --> 01:11:42.100]   connects had
[01:11:42.100 --> 01:11:52.440]   Verantwortung organize put as tells Mo I I just have in, or, polic, ,,,,,,,,, Con I'm lined工作 torment MM Lau
[01:11:52.440 --> 01:12:01.960]   me reduces the drink. I was a thankfulire. ... . . . . . . . . . . . . . . . . . . . . wouldn M .imet il sees your-- it's just happy faced a op også equipo runper Это orGLA then輕 dried Merry land que like evenári went very nothin化 emailed jiicon pięk Giant a suck solidarity recognise hang happens justgio my Seok였습니다 educators thrix.pecially Originally one facult permett Goodnightотр light slice requests in Hell, on yelled 이él, it's hell, sounds, In Head,строй, che, bitches, Mun, que, then, covers, look,
[01:13:28.420 --> 01:13:28.420]  ,
[01:13:28.420 --> 01:13:28.420]  ,
[01:13:28.420 --> 01:13:28.420]  ,
[01:13:28.420 --> 01:13:28.420]  ,
[01:13:28.420 --> 01:13:28.440]  ,
[01:13:28.440 --> 01:13:28.500]  ,
[01:13:28.540 --> 01:13:38.300]   Sinne
[01:13:38.300 --> 01:13:38.720]  i,
[01:13:38.720 --> 01:13:42.380]   Buddh
[01:13:42.380 --> 01:13:57.040]   the is the to과� contractslem實 claw avere
[01:14:55.220 --> 01:14:55.980]  олот: Mm-hmm.
[01:14:55.980 --> 01:15:24.100]   the basement, where we can go day and night or whenever we please, and ask a certain question of the apparatus. Right? Let's turn this knob and see what happens. Let's turn that knob and see what happens. No, you know, we only have one experiment, which is the universe. And we, what we see is what we get. And I think it's so important to, to take an active role in that. So I really loved going to the
[01:15:53.040 --> 01:16:00.880]   low
[01:16:00.880 --> 01:16:03.340]   tower the更
[01:16:03.340 --> 01:16:21.780]   Ведь this. I. I. I. receive,,,,,,, rad en
[01:16:40.700 --> 01:16:42.700]   And also the emails from ho
[01:16:42.700 --> 01:16:44.700]   significant. Yeah. Yeah. It'
[01:16:44.700 --> 01:16:44.700]   just, you can afford to foc
[01:16:51.140 --> 01:16:51.140]  ,,,,,,,,,,,,,,,,,,,,,,,
[01:16:51.140 --> 01:16:51.160]   just kind of does it. And I
[01:16:51.160 --> 01:16:51.180]   just kind of does it. And I
[01:16:51.180 --> 01:16:51.280]   just kind of does it. And I
[01:16:51.340 --> 01:17:02.260]   Mar
[01:20:08.740 --> 01:20:10.200]   I don't think there's a problem to get the financial benefits of getting spices from India, whatever the reasons, whatever the grant funding process is all about, but ultimately actually results in a deep understanding of the mystery that's all around us. And I mean, just to travel out there. To me, the discovery of life in the solar system, I really hope to see that in my lifetime. Some kind of life. Back to you.
[01:21:10.280 --> 01:21:20.020]   여�
[01:21:20.020 --> 01:21:39.860]   показ'd,,, ch�
[01:22:39.920 --> 01:22:49.320]   Al
[01:22:49.320 --> 01:22:49.740]   in the custom. It's hai
[01:22:49.740 --> 01:22:54.260]   wanna
[01:22:54.260 --> 01:23:04.000]   on the jednak the 걸� the be Palm� priorityこちら many yes a'm that is the cause that is that I'reored Master LGBTQர Mo desc comentarios halls
[01:23:08.860 --> 01:23:14.640]   case
[01:23:14.640 --> 01:23:19.840]  ,ihad
[01:23:19.840 --> 01:23:37.240]  ,,,,, go to the änóm nonprofit
[01:23:37.920 --> 01:23:49.760]   in
[01:23:49.760 --> 01:24:04.720]   the第 the, and, en,,,,, affect the cat. The one who usually do the very Sty^_G.G.G.G.G.G.G. G, probably say , repeat the in the f Ihrап and at the little like, and, in, set, and, Geld, intox, en, at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, don at the Ass� the close the tray and invis the had aed the set thehour theerm the have aab the設w a dec recognizes the tree and didnt pas Humans the Hoнож firstJI used the Lavir the hard
[01:24:04.720 --> 01:24:07.160]   Ident shows the shade hike the
[01:24:07.300 --> 01:24:17.840]   "
[01:24:17.840 --> 01:24:20.840]   el I I work sometimes
[01:24:35.140 --> 01:24:46.200]   right
[01:24:46.200 --> 01:25:00.580]   knew, but,
[01:25:00.580 --> 01:25:05.120]   making e Ya Cl Itís�學, and, with, it's, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, Verimet chapter tragic--G, somebody-G, Потом-G-G-G-G-G-G-G-G-G-G-G-G- G- gig- conduct- gig- g Was ' water n емуmin 5 say因arch- has a告 fondo tô chair- describe- G. look at C could be attention really like the say even DIS a Oğlum or i Looking in a la Vac Ned of the onர good about a not play a go setting aTF. And I'mた. And, it's like, that's a woman. I'm. I'm. I'm. I think. I'm. It's. I'm. So, with a at the first. Sarah, at.個人. que,
[01:25:05.160 --> 01:25:08.240]   bargain
[01:25:08.240 --> 01:25:15.400]  , and,
[01:25:15.400 --> 01:25:17.100]   eyeball the disrespectful least, and,
[01:25:33.840 --> 01:25:41.080]   we call it absorption lines to then calculate with existing codes that mimic the physics of the stellar atmosphere.
[01:25:41.080 --> 01:25:47.760]   It's like how much was absorbed, how many, what, what kind of elements were, were present in, in the stellar atmosphere.
[01:25:47.760 --> 01:25:51.140]   And so this is how we get to our abundance measurements.
[01:25:51.140 --> 01:25:58.220]   And then altogether that gives us the, the, the chemical composition and, and that particular signature in that style.
[01:25:58.220 --> 01:26:02.520]   If you, do you ever look at like the raw spectrograph and the absorption line?
[01:26:02.520 --> 01:26:02.520]   The raw spectrograph and the absorption line?
[01:26:02.520 --> 01:26:02.520]   If you, do you ever look at like the raw spectrograph and the absorption line?
[01:26:02.520 --> 01:26:02.520]   If you, do you ever look at like the raw spectrograph and the absorption line?
[01:26:02.520 --> 01:26:02.700]   If you, do you ever look at like the raw spectrograph and the absorption line?
[01:26:02.700 --> 01:26:02.740]   If you, do you ever look at like the raw spectrograph and the absorption line?
[01:26:02.740 --> 01:26:31.440]   I'm able to see into it some interesting non-standard outlier kind of patterns. Or does this have to do heavy amount of processing? We actually process our, it's fairly straightforward to do our processing. We do it at the telescope so I often take a shorter exposure first, let's say 10 or 15 minutes. So mostly when I do the first one, I do the second one.
[01:26:31.460 --> 01:26:33.640]   So mostly when I do the first one, I do the second one.
[01:26:33.640 --> 01:26:39.820]   We just take a quick look spectrum, then we process it while we observe the next star.
[01:26:39.820 --> 01:26:41.360]   Then we take a quick look.
[01:26:41.360 --> 01:26:43.280]   We have what I call the summary plot.
[01:26:43.280 --> 01:26:49.240]   It's a collection of little areas in the spectrum that have the key positions,
[01:26:49.240 --> 01:26:52.420]   the positions of the key elements in it.
[01:26:52.420 --> 01:26:55.220]   And it's kind of like reading the tea leaves.
[01:26:55.220 --> 01:26:57.340]   I have stared at so many spectra.
[01:26:57.340 --> 01:27:00.480]   I just need to know, I just need to see our summary plot.
[01:27:00.720 --> 01:27:30.520]  ,
[01:27:30.520 --> 01:27:30.520]   So I have a lot of things to do.
[01:27:30.520 --> 01:27:30.520]   So I have a lot of things to do.
[01:27:30.520 --> 01:27:30.520]   So I have a lot of things to do.
[01:27:30.520 --> 01:27:30.520]   So I have a lot of things to do.
[01:27:30.520 --> 01:27:30.520]   So I have a lot of things to do.
[01:27:30.520 --> 01:27:30.520]   So I have a lot of things to do.
[01:27:30.520 --> 01:27:30.520]   So I have a lot of things to do.
[01:27:30.520 --> 01:27:30.520]   So I have a lot of things to do.
[01:27:30.520 --> 01:27:30.520]   So I have a lot of things to do.
[01:27:30.520 --> 01:27:30.520]   So I have a lot of things to do. So I can't do. So I can tell you exactly what the numbers are going to be.
[01:27:30.560 --> 01:27:33.640]   cannot
[01:27:33.640 --> 01:27:40.860]  觀眾 our-- это dei
[01:27:40.860 --> 01:27:49.380]   convey the thing. And,,,,,,
[01:28:09.600 --> 01:28:15.480]   my career by answering,
[01:28:15.480 --> 01:28:17.600]   to answer that question as
[01:28:17.600 --> 01:28:17.600]   the search process. That's
[01:28:17.600 --> 01:28:24.340]   for the oldest stars because
[01:28:24.340 --> 01:28:30.080]   and then on top of that, I
[01:28:30.080 --> 01:28:30.080]   and then on top of that, I
[01:28:30.080 --> 01:28:30.080]   and then on top of that, I have a lot of questions that I
[01:28:30.080 --> 01:28:30.080]   have a lot of questions that I
[01:28:30.080 --> 01:28:30.080]   have a lot of questions that I have.
[01:28:30.080 --> 01:28:30.080]   have a lot of questions that I have.
[01:28:30.080 --> 01:28:30.080]   have a lot of questions that I have. And I'm not sure if
[01:28:30.080 --> 01:28:30.140]   have a lot of questions that I'm not sure if
[01:28:30.140 --> 01:28:30.200]   have a lot of questions that I'm not sure if I'm not sure if
[01:28:31.140 --> 01:29:00.180]   B.B.: I'm not sure if I'm not sure if I'm not sure if I'm not sure if
[01:29:00.220 --> 01:29:26.800]   showed
[01:29:29.060 --> 01:29:53.300]   That's an indicator that there's many more of them, potentially.
[01:29:53.300 --> 01:29:57.900]   Yes. Yes. Yes. So, to cut a long story short about the searching,
[01:29:57.900 --> 01:29:57.900]   um, we started to do a lot of research on the iron deficiency.
[01:29:57.900 --> 01:29:57.900]   Um, we started to do a lot of research on the iron deficiency.
[01:29:57.920 --> 01:30:26.760]  , um, we started early on with, um,
[01:30:26.760 --> 01:30:26.760]   um, we started early on with, um,
[01:30:26.760 --> 01:30:26.760]   um, we started early on with, um, what's called low resolution spectroscopy
[01:30:26.760 --> 01:30:26.800]   what's called low resolution spectroscopy
[01:30:26.800 --> 01:30:55.760]  , um, we started to do a lot of research on the iron deficiency.
[01:30:55.760 --> 01:30:55.840]   um, we started to do a lot of research on the iron deficiency.
[01:30:55.840 --> 01:30:55.900]   um, we started to do a lot of research on the iron deficiency.
[01:30:55.900 --> 01:30:56.000]   um, we started to do a lot of research on the iron deficiency.
[01:30:56.000 --> 01:30:56.060]   um, we started to do a lot of research on the iron deficiency.
[01:30:56.060 --> 01:30:56.140]   um, we started to do a lot of research on the iron deficiency.
[01:30:56.140 --> 01:30:56.200]   um, we started to do a lot of research on the iron deficiency.
[01:30:56.200 --> 01:30:56.240]   um, we started to do a lot of research on the iron deficiency.
[01:30:56.240 --> 01:30:56.260]   um, we started to do a lot of research on the iron deficiency.
[01:30:56.260 --> 01:30:56.300]   um, we started to do a lot of research on the iron deficiency.
[01:30:56.300 --> 01:30:56.340]   um, we started to do a lot of research on the iron deficiency.
[01:30:56.340 --> 01:30:56.360]   um, we started to do a lot of research on the iron deficiency.
[01:30:56.400 --> 01:30:58.220]   get
[01:30:58.220 --> 01:31:06.260]   like ...
[01:31:06.260 --> 01:31:06.620]   Flight보
[01:31:06.620 --> 01:31:08.320]   heart one, and, eat,
[01:31:08.320 --> 01:31:24.760]   have a class. I've the class. I think that I'm the relation. I'm the grand. I'm the grand. I'm the grand. I'm the. I. I'm the. I'm the. He. I'm the.裡面. Virtual. Highway. I. Nin. even. at. circuit. staring. che. e. SY. in the reveals the d. go to get theProdu hey. go to go to be. Gel.oke. i, why, half,elijk, que, thats, Spin,
[01:31:24.860 --> 01:31:34.960]   check
[01:31:34.960 --> 01:31:37.040]   am no is me
[01:31:37.040 --> 01:31:52.960]   sit g them,,,,,,,, started government
[01:31:54.700 --> 01:32:00.900]   ce
