
[00:00:00.400 --> 00:00:06.800]   in recent weeks there has been a lot of turmoil surrounding ai technology it increasingly seems now
[00:27:04.400 --> 00:27:09.360]   your work into something where you go back and forth with the chat bot you hand off more you know have
[00:27:09.360 --> 00:27:13.760]   them do it do some stuff and you look at what they did and you ask a question you go back and forth this is
[00:27:13.760 --> 00:27:18.160]   more pleasant this feels nicer it makes work seem better but just as the meter study found with
[00:27:18.160 --> 00:27:24.400]   programmers if it's reducing your peak intensity of focus or the sustained duration of your focus
[00:27:24.400 --> 00:27:28.560]   and you're doing anything that's non-trivial it also could be slowing you down and hurting the the
[00:27:28.560 --> 00:27:34.960]   the quality of your results the key with any type of effort that requires deep work is not reducing
[00:27:34.960 --> 00:27:40.080]   the difficulty of the deep work it's not reducing the intensity of focus it's setting things up so
[00:27:40.080 --> 00:27:45.440]   that you can reach high intensity of focus the focus mind is what produces value so that's my only issue
[00:27:45.440 --> 00:27:50.320]   i would be wary if you're trying to make work in this cybernet collaboration that might not be making
[00:27:50.320 --> 00:27:56.000]   you as productive as you think even if it feels nicer last week you talked about leaving a narrative for
[00:27:56.000 --> 00:28:01.760]   personal projects and originally i think this question was in relation to that but now that
[00:28:01.760 --> 00:28:05.360]   you talk about the cybernet collaboration it kind of makes sense but if you could touch on the narrative
[00:28:05.360 --> 00:28:10.480]   part too yeah so like understanding so what i meant by that is like understanding how to hit the ground
[00:28:10.480 --> 00:28:18.320]   running so you know if i'm writing something i will into writing sessions like okay i've gotten up to here
[00:28:18.320 --> 00:28:23.680]   and then i have a few notes i'm like okay here's what comes next so if i could like i'm missing this
[00:28:23.680 --> 00:28:27.840]   example but if i could get this key example you can we could finish this section and try to get to the
[00:28:27.840 --> 00:28:32.320]   end or something right so it's a little note i left for myself so that when i load up that writing project
[00:28:32.320 --> 00:28:37.600]   again i know what i'm doing i would do this a lot with mathematics papers as well right i would put notes
[00:28:37.600 --> 00:28:42.640]   right into the document where i was you know typing in my results or i would email these to my collaborators
[00:28:42.640 --> 00:28:47.280]   and be like okay well here's where i'm stuck but i think here are like three ways i was thinking might
[00:28:47.280 --> 00:28:51.440]   be useful for getting unstuck it's like a little narrative a little note so that when i get back
[00:28:51.440 --> 00:28:56.000]   to that work i'm like okay here here's where i was or here's where i was going to think so i do think
[00:28:56.000 --> 00:29:00.000]   that's useful but i usually just leave these notes right where i'm doing my work it's in the document
[00:29:00.000 --> 00:29:05.360]   where i'm writing it's in the in the document uh where i'm putting out my math equations and i think
[00:29:05.360 --> 00:29:10.160]   that's useful so you know where to start again and it's easier to get into it the thing that makes me more
[00:29:10.160 --> 00:29:15.920]   nervous is i this idea of this long ongoing interaction i i don't actually think that type
[00:29:15.920 --> 00:29:22.480]   of cybernet collaboration in most cases is a useful new form of knowledge work i think it's just escaping
[00:29:22.480 --> 00:29:27.600]   strain it's it's a it's a fancier version of like i'm looking at my phone a lot it sort of makes the
[00:29:27.600 --> 00:29:33.760]   work feel less less hard but hard is sometimes what you need all right who do we got next up is mark
[00:29:33.760 --> 00:29:39.600]   when using active recall to study a large volume of material how soon and how often should i revisit
[00:29:39.600 --> 00:29:44.000]   material i've already mastered right now i find that when i return to something a few weeks after
[00:29:44.000 --> 00:29:48.160]   learning it i've forgotten many of the details well i mean it depends what you're trying to do here
[00:29:48.160 --> 00:29:52.240]   like what are you learning and why are you trying to hold on to it if you learn something that you
[00:29:52.240 --> 00:29:57.680]   then use it will stay sort of active in your memory and it'll eventually will really dig in
[00:29:57.680 --> 00:30:01.920]   if you're memorizing some sort of information that you just basically don't come back to again
[00:30:01.920 --> 00:30:06.000]   you're going to need to retouch on that within a two-week window like if you let about two
[00:30:06.000 --> 00:30:09.040]   weeks or more go your mileage will vary depending on the information in your brain
[00:30:09.040 --> 00:30:14.480]   brain but if you let more than two weeks go without using information at all uh it's going
[00:30:14.480 --> 00:30:19.360]   to start to lose its location that is just like informal based on my experience as a as a student
[00:30:19.360 --> 00:30:24.000]   professor so if it's like this is arbitrary information i want to remember every week or so
[00:30:24.000 --> 00:30:28.560]   you want to keep going back and doing that active recall eventually if you do active recall enough it
[00:30:28.560 --> 00:30:33.680]   will uh lock in but again be sure that you need to if you're not using this stuff be sure you need to
[00:30:33.680 --> 00:30:40.640]   remember it like the best way to submit something in your memory is to use it to do it i i you know
[00:30:40.640 --> 00:30:46.000]   you teach the concept a couple times you really remember it you explain it to someone else because
[00:30:46.000 --> 00:30:50.320]   you're using it for a project you know you really remember it active recall of course simulates that
[00:30:50.320 --> 00:30:54.240]   by recalling the information from scratch you are firing up all the circuits you would use if you were
[00:30:54.240 --> 00:30:59.440]   actually applying the the technique so it's using your own brain's own memory apparatus but yeah i would
[00:30:59.440 --> 00:31:04.800]   find if i memorize something using active recall and just never touched it again within about two
[00:31:04.800 --> 00:31:10.480]   weeks i might start to forget it so i don't two weeks ish but what are you trying to remember and
[00:31:10.480 --> 00:31:15.600]   why and why aren't you using it so maybe it doesn't have to be all right who do we got next up is
[00:31:15.600 --> 00:31:21.040]   beth i've seen articles ranging from ai is terrible for the environment to studies suggesting
[00:31:21.040 --> 00:31:25.360]   its carbon emissions can actually be lower than traditional methods can you help put this in
[00:31:25.360 --> 00:31:31.200]   perspective for example by comparing the emissions from one person's chat pt gpt use to something more
[00:31:31.200 --> 00:31:35.760]   familiar like a plane trip and by clarifying whether ai's footprint is unique to platforms
[00:31:35.760 --> 00:31:41.360]   like chat gpt or similar to energy use and everyday tools like google search all right i mean i do have
[00:31:41.360 --> 00:31:45.520]   a hot take here um if you want like the actual answers i don't know i don't have the numbers in
[00:31:45.520 --> 00:31:51.680]   front of me but something like a google search is sufficiently uh significantly more energy efficient
[00:31:52.560 --> 00:31:58.800]   than like a chat gpt query i mean a chat gpt query you have to you have to have this frontier model
[00:31:58.800 --> 00:32:03.120]   loaded up in memory now this thing could have hundreds of billions if not a trillion parameters
[00:32:03.120 --> 00:32:07.520]   defining it right so you're not going to fit into the memory of a single gpu chip you're gonna have
[00:32:07.520 --> 00:32:12.480]   to shard this thing over like three four five maybe six gpus that are then going to have to be
[00:32:12.480 --> 00:32:18.320]   running all out just to generate tokens for your answers i compare this to a google search where they
[00:32:18.320 --> 00:32:24.080]   use commodity intel chips most of this stuff is cached they can be dynamic of like oh there's a
[00:32:24.080 --> 00:32:28.400]   little downtime on this chip hey can you like go look something up in a hyper efficient sort of cached
[00:32:28.400 --> 00:32:34.000]   you know search index and the the amount of computation they've got it's down you know minuscule
[00:32:34.000 --> 00:32:38.000]   probably the answer you're looking for is in some cdn server that's like 10 miles away
[00:32:38.000 --> 00:32:41.200]   so no it's a lot of computational power but here's my hot take
[00:32:42.320 --> 00:32:49.280]   i might i might get yelled at for this one jesse you ready for it yeah i think right now the focus
[00:32:49.280 --> 00:32:58.240]   on the environmental impact of ai is in part a way for people who are critical of technology or big tech
[00:32:58.240 --> 00:33:04.080]   to get in on like i don't like ai in a territory that they're much more comfortable with than the
[00:33:04.080 --> 00:33:10.320]   technology so if i'm just like i don't know like a typical like left-leaning critique of the tech industry
[00:33:10.320 --> 00:33:14.560]   and ai i'm super comfortable for talking environmental stuff like you don't care about
[00:33:14.560 --> 00:33:19.920]   the environment i do i saw the al gore documentary you don't know science the environment's important
[00:33:19.920 --> 00:33:24.960]   like i feel like i'm smart there when it's me talking to other people like that's where i'm
[00:33:24.960 --> 00:33:29.360]   smart like i know more about this than you you're you don't know science global warming's a real thing
[00:33:29.360 --> 00:33:36.320]   so that's like a very secure place of critique a less secure place of critique is you know the type of
[00:33:36.320 --> 00:33:40.000]   stuff i've been doing in my writing recently like coming in and be like here i don't think that
[00:33:40.000 --> 00:33:45.360]   reinforcement based learning post training refinements is giving you the sort of uh lost
[00:33:45.360 --> 00:33:49.440]   reductions that you would have expected on a more elongated power law curve like people getting into
[00:33:49.440 --> 00:33:54.080]   the technical details is very like uh it's hard and you're like i don't really know this details well
[00:33:54.080 --> 00:33:59.760]   but i i don't like this and i don't like the people involved and sam altman's kind of creepy
[00:33:59.760 --> 00:34:04.080]   and mark zuckerberg still talks like a robot whose emotion circuit board is shorted out we've covered this on
[00:34:04.080 --> 00:34:09.760]   the show and this is a territory that i'm much more comfortable in um just like also really leaning
[00:34:09.760 --> 00:34:16.240]   into like the specific ai safety concerns over the particular words that a particular chatbot will or
[00:34:16.240 --> 00:34:23.840]   will not say like well i'm comfortable there this is inappropriate speech but i think if we're really
[00:34:23.840 --> 00:34:28.640]   thinking about ai these are kind of these are kind of transient concerns because i don't think a future
[00:34:28.640 --> 00:34:34.320]   of these massive frontier models being queried for everything is a future that makes any economic sense
[00:34:34.320 --> 00:34:40.960]   anyways here's the right way to think about it if querying one of these models is bad for the environment
[00:34:40.960 --> 00:34:47.120]   that means the amount of computation it's using can't possibly be profitable
[00:34:47.120 --> 00:34:54.160]   so they can't be bad for the environment too long because it correlates also with expense and people
[00:34:54.160 --> 00:34:59.680]   aren't willing to pay for the massive computational expense i mean stuff it takes money to create heat
[00:34:59.680 --> 00:35:03.280]   because that requires electricity electricity costs money so like my thought about this is
[00:35:03.280 --> 00:35:10.400]   yes i would be concerned if we we had chat gpt used all the time but i just don't think it's profitable
[00:35:10.400 --> 00:35:16.240]   i think the future of ai is going to be it has to be systems that have much smaller models
[00:35:16.240 --> 00:35:22.160]   machine native models if possible meaning like this thing is running on my ipad not in the cloud somewhere
[00:35:22.160 --> 00:35:27.600]   on a bunch of gpus small specialized language models combined with other specialized components
[00:35:27.600 --> 00:35:32.880]   like policy networks for evaluating options future simulators for trying to understand what actions to
[00:35:32.880 --> 00:35:38.560]   take next control logic that's specific to the task at hand put together into a program that you can get
[00:35:38.560 --> 00:35:43.840]   your arms around that can run on existing hardware and does really good at being intelligent about a very
[00:35:43.840 --> 00:35:48.400]   specific thing that i'm convinced is the future of ai it doesn't have an environmental footprint that's
[00:35:48.400 --> 00:35:52.800]   different than you know other things that we're doing right now with our computer so there probably
[00:35:52.800 --> 00:35:58.560]   is it does use too much electricity but i just don't think these massive frontier models are going to
[00:35:58.560 --> 00:36:05.440]   it just doesn't make sense i cannot be querying a trillion parameter model that requires six h100 gpus
[00:36:05.440 --> 00:36:11.040]   to even produce a token for me for everything i'm doing in my life that would probably be an environmental
[00:36:11.040 --> 00:36:15.840]   catastrophe but we're not that's not sustainable i think frontier models like f1 cards it's a way of showing
[00:36:15.840 --> 00:36:19.760]   off your technology and proving that your company has the best technology but it's not the car we're
[00:36:19.760 --> 00:36:25.040]   buying on the ford lot you know a year from now that's gonna be a much simpler car but we'll buy
[00:36:25.040 --> 00:36:29.280]   it from the company who had the best f1 car because that convinced us so i don't know that's right so
[00:36:29.280 --> 00:36:35.200]   that's my hot take is of all the issues we have with ai the focus on environment right now it's
[00:36:35.200 --> 00:36:38.320]   we're not in some steady state yet i just think it makes people more comfortable because that's
[00:36:38.320 --> 00:36:43.840]   territory where they're familiar being the sort of higher level of the hierarchy and the argument
[00:36:43.840 --> 00:36:47.120]   and they're uncomfortable getting the tech because like let's be honest my people are nerds and are
[00:36:47.120 --> 00:36:52.240]   kind of uncomfortable to be around and we don't talk very normal and we know too much about algorithmic
[00:36:52.240 --> 00:36:55.520]   nonsense or whatever so i don't know that's what i think is going on so i'm not as worried about the
[00:36:55.520 --> 00:37:01.040]   environment because i don't think this industry can survive in a mode that is super bad for the
[00:37:01.040 --> 00:37:03.920]   environment it just costs too much money people aren't going to pay a thousand dollars a month
[00:37:04.880 --> 00:37:10.160]   to pay for all their queries for things i think smaller models can work did you know for example
[00:37:10.160 --> 00:37:17.040]   the model uh no one brown's model pluribus which was the first ai system to beat actual tournament
[00:37:17.040 --> 00:37:22.240]   players in texas hold on poker the original way they built it was with like very large neural networks
[00:37:22.240 --> 00:37:27.120]   and they used a supercomputer system a center at new pittsburgh to train it it was like okay and then
[00:37:27.120 --> 00:37:32.400]   they figured out like oh we could have a couple different networks and what matters is like the logic
[00:37:32.400 --> 00:37:37.520]   of how we connect them together and the logic of our ai and the system they built pluribus it can beat
[00:37:37.520 --> 00:37:42.080]   the professional players you can run on the laptop because it didn't have to it wasn't just like we
[00:37:42.080 --> 00:37:48.080]   have 100 billion parameter network that we're just like learn poker like no like we're we have a future
[00:37:48.080 --> 00:37:53.200]   simulator that simulates the possible mind states and cards of the other players then we have a smaller
[00:37:53.200 --> 00:37:57.520]   neural network train just to like understand different poker positions and say what would be good or bad
[00:37:57.520 --> 00:38:03.200]   and then we have some logic that we symbolic logic we hand programmed in about like okay let's calculate
[00:38:03.200 --> 00:38:08.000]   the value the expected value if we do this and this was the case here's what would happen let's give
[00:38:08.000 --> 00:38:12.720]   that a number what about this it's just like straightforward mix of neural network unsupervised
[00:38:12.720 --> 00:38:17.600]   learning with like symbolic old-fashioned hard-coded ai and the whole thing fits on a laptop and it can
[00:38:17.600 --> 00:38:25.040]   beat professional poker players so hopefully the future of ai i think is most most likely the environmental
[00:38:25.040 --> 00:38:30.720]   concerns are not going to be um i think substantially different than sort of the environmental footprint
[00:38:30.720 --> 00:38:40.080]   of the computing we have right now but we'll see all right what do we got next next up is david if you
[00:38:40.080 --> 00:38:45.360]   left academia would you spend your days as a writer and podcaster would you enjoy this or become antsy
[00:38:46.800 --> 00:38:53.040]   um yeah i would continue to write and i would continue to podcast i don't think i would become
[00:38:53.040 --> 00:39:00.240]   antsy so i've kind of two reactions to this no i want to become antsy uh writing and podcasting actually
[00:39:00.240 --> 00:39:05.440]   takes up a lot of time and it's not like i'm hurting for other things to do you know how many teams i'm
[00:39:05.440 --> 00:39:13.440]   coaching and my kids like schools and sports leagues right now let me guess three k six it's three i'm
[00:39:13.440 --> 00:39:18.080]   coaching three teams right now there's a lot of time doing though i have a lot of things to do that's
[00:39:18.080 --> 00:39:23.040]   fine but here's the here's the here's the bigger point though is writing and podcasting is like a
[00:39:23.040 --> 00:39:28.240]   lot of what i do as an academic right now so i i don't know how different it would be so you know for
[00:39:28.240 --> 00:39:33.200]   those who know my trajectory uh i've been a writer my entire adult life right i started writing in college
[00:39:33.200 --> 00:39:39.840]   i trained as a theoretical computer scientist focusing on the theory of distributed systems so i studied at
[00:39:39.840 --> 00:39:43.040]   nancy lynch's theory of distributed systems group at mit and did my postdoc
[00:39:43.040 --> 00:39:47.600]   under harry balakrishnan and his network and mobile systems group so i had a computer science
[00:39:47.600 --> 00:39:52.960]   specialty that was on the math behind distributed systems went to georgetown this is where like
[00:39:52.960 --> 00:39:57.840]   my nsf funding was all about this my papers were all about this my grad students we did a bunch of i
[00:39:57.840 --> 00:40:01.760]   was pretty good distributed theoretician published a bunch of papers around a bunch of steering committees
[00:40:01.760 --> 00:40:07.280]   somewhere around the time i was you know i got tenure then i got full professor around the time
[00:40:07.280 --> 00:40:14.160]   i was getting full professor georgetown my where i work they began making a real move for like we want
[00:40:14.160 --> 00:40:19.520]   to be one of the places grappling with technology and its impacts they call the field digital ethics like
[00:40:19.520 --> 00:40:24.160]   we want to be at the core of this because we're in washington dc we have a big ethics background here
[00:40:24.160 --> 00:40:29.360]   we were the university that like figured out bioethics in the 20th century the kennedy center for ethics
[00:40:29.360 --> 00:40:35.120]   we want to do the same thing for tech ethics we're in the we're here in dc we have all these policy
[00:40:35.120 --> 00:40:39.120]   centers we have one of the biggest tech law faculties that are law school like it makes a lot of sense
[00:40:39.120 --> 00:40:43.520]   and i was like this is kind of what i'm doing already with my writing i write about technology
[00:40:43.520 --> 00:40:49.040]   and how it impacts us i want it and so like i've really been focusing on that so i was one of the
[00:40:49.040 --> 00:40:54.400]   founding faculty members of georgetown center for digital ethics under inaugural director of our computer
[00:40:54.400 --> 00:40:59.760]   science ethics and society academic program it's the first major in the country to integrate computer
[00:40:59.760 --> 00:41:04.400]   science and ethics in a combined major there's places where there's majors where like you're
[00:41:04.400 --> 00:41:09.920]   a computer science major and you throw on a little bit of ethics first integrated one uh in the country
[00:41:09.920 --> 00:41:16.480]   it's like this is actually what i i'm doing largely right now as an academic is technology how it impacts
[00:41:16.480 --> 00:41:20.560]   us what to do about it and i do it in a lot of different forms and i think i think public outreach is
[00:41:20.560 --> 00:41:26.000]   important i think the podcast is very pragmatic but i reach a lot of people this way my writing for the
[00:41:26.000 --> 00:41:30.800]   new yorker now we're talking to a little bit more of a of like a rarefied cloud crowd this gets me in
[00:41:30.800 --> 00:41:36.320]   front of policy makers this gets me in front of like the senate and and on npr or whatever um but
[00:41:36.320 --> 00:41:40.560]   it's a way again to work on tech and its impact i do some academic papers on tech and its impact which
[00:41:40.560 --> 00:41:46.960]   is more for like an academic crowd and then my books fall somewhere in between so i don't really
[00:41:46.960 --> 00:41:52.720]   know it wouldn't my life wouldn't be that much different if i left academia to write and podcast writing
[00:41:52.720 --> 00:41:56.480]   podcasting is what i'm doing in academia the main difference would be there'd be less time around
[00:41:56.480 --> 00:42:01.840]   really smart people and less time around students both of which i like also teaching but teaching
[00:42:01.840 --> 00:42:05.520]   increasingly i can teach things that like helps me think about these thoughts anyway so you know
[00:42:05.520 --> 00:42:10.000]   no i want to be antsy and also i don't know how different it would be do you still do any math
[00:42:10.000 --> 00:42:16.480]   i haven't very recently i haven't yeah been a year or so so do you still teach undergrads like
[00:42:16.480 --> 00:42:21.600]   traditional computer science classes i do a mix of traditional computer science and stuff that's relevant for
[00:42:21.600 --> 00:42:27.200]   uh the computer science and ethics program yeah and i teach less than i did before too because i'm
[00:42:27.200 --> 00:42:33.920]   doing running these things or whatever so that's a good question though um i think we have a case study
[00:42:33.920 --> 00:42:40.160]   yeah before we do the case study if folks have calls then just go to the deep life dot com slash
[00:42:40.160 --> 00:42:45.280]   listen and submit some updated calls is that deep life or the deep life the deep life the deep life dot com
[00:42:45.280 --> 00:42:50.160]   slash listen there's a link yep and you can record the call right there from the browser yeah do that
[00:42:50.160 --> 00:42:56.080]   we have a lot of calls but they're getting kind of old right yeah you got a good shot a good pithy call
[00:42:56.080 --> 00:43:01.600]   on a topic i've been talking a lot recently you got a good shot now so i would go i would go record the
[00:43:01.600 --> 00:43:06.720]   calls uh we do have a case study however i love case studies this is kind of a long one but it's
[00:43:06.720 --> 00:43:11.680]   great case study on my theories of lifestyle centric planning i'm thinking so much about this because
[00:43:11.680 --> 00:43:17.120]   of my new books i'm happy to have this we have what theme music for this right yep do we i don't
[00:43:17.120 --> 00:43:22.000]   remember is it just to introduce the segment or do we play it the whole time i don't know the two
[00:43:22.000 --> 00:43:26.720]   episodes we did one but then last week you wanted to hear both all right play it now and see your mood
[00:43:26.720 --> 00:43:28.320]   at the end all right let's see what we let's hear it
[00:43:37.520 --> 00:43:43.200]   i just want to do a deep thoughts with jack handy all right so today's case study comes from vin
[00:43:43.200 --> 00:43:48.960]   i hold a bachelor's degree in interface design and in my 20s first worked as a web developer and later
[00:43:48.960 --> 00:43:54.000]   as a ux designer for several digital agencies i enjoyed my work but i felt stuck in big cities
[00:43:54.000 --> 00:44:02.240]   and kept dreaming about a life closer to nature so in my mid-20s i did something that you would surely
[00:44:02.240 --> 00:44:09.760]   advise against oh i threw my career into the trash and moved to norway to live and work on an organic
[00:44:09.760 --> 00:44:14.880]   farm i had a great time there and enjoyed every aspect of it however i didn't have a sustainable
[00:44:14.880 --> 00:44:20.640]   long-term plan i realized i needed and wanted to move back to my home country where my girlfriend now
[00:44:20.640 --> 00:44:25.760]   wife lived back home i decided that my next big move would be to find a job that allowed me to work in
[00:44:25.760 --> 00:44:31.440]   nature so i signed up for a nature guide program and actually managed to land a job at a as a guide
[00:44:31.440 --> 00:44:36.720]   at the very place where i had completed that course for the last six years i worked there running
[00:44:36.720 --> 00:44:44.400]   workshops and similar programs sounds like a happy ending right not quite life changed i became a father
[00:44:44.400 --> 00:44:49.440]   of two children and we moved closer to my parents so we could get support from the grandparents with family
[00:44:49.440 --> 00:44:54.480]   life this meant i was now living almost two hours away from my workplace constantly torn between family and
[00:44:54.480 --> 00:44:59.840]   professional life on top of that since most workshops take place on weekends i was away from my wife and
[00:44:59.840 --> 00:45:04.400]   our two little ones at the very time they needed me most it turned out that the dream of working in
[00:45:04.400 --> 00:45:12.320]   nature definitely had its flaws i'm going to stop there for a second let's take stock of where we are
[00:45:12.320 --> 00:45:18.160]   in the story so far we're seeing a common issue when people think about the deep life
[00:45:19.040 --> 00:45:27.200]   so a common issue that people have is that you fixate on a single change that you begin to believe
[00:45:27.200 --> 00:45:33.200]   will make everything better it's simpler to think about a single change we can sort of inhabit that
[00:45:33.200 --> 00:45:39.840]   change the idea of doing something radical itself makes us feel excited in anticipation and we we can
[00:45:39.840 --> 00:45:45.440]   sort of take the imagined feeling of like the best parts of that change and sort of expand that in our
[00:45:45.440 --> 00:45:50.800]   mind like my life is going to be better so savind did this with nature he's like i like nature so i'm
[00:45:50.800 --> 00:45:55.680]   just going to focus like a laser on if i could just be in nature all the time i would be really happy
[00:45:55.680 --> 00:46:00.640]   the problem as we often say when we talk about lifestyle centric planning is that your daily
[00:46:00.640 --> 00:46:06.000]   subjective mood is not the result of a single decision or change but on all of the relevant
[00:46:06.000 --> 00:46:11.600]   aspects of your life call this your lifestyle all the different things that are relevant during the day add up
[00:46:12.800 --> 00:46:18.000]   to give you your subjective experience of the day so you might like the part where i'm giving
[00:46:18.000 --> 00:46:21.520]   a workshop and it's in nature and that's nice but you have other parts of your life too like the fact
[00:46:21.520 --> 00:46:26.400]   that you had to drive two hours to get there and that you're kind of stressed out about what's going
[00:46:26.400 --> 00:46:32.320]   on with your your in your grand your parents and like the kids are you're not around enough to help
[00:46:32.320 --> 00:46:36.960]   and it's creating tension with your wife all of your houses maybe not it's nowhere near nature and
[00:46:36.960 --> 00:46:40.480]   you're actually spending most of your time in a car all of these other aspects of your lifestyle
[00:46:40.480 --> 00:46:44.880]   matter too and this is how you can make one radical change that you're excited about and yet end up
[00:46:44.880 --> 00:46:50.960]   less happy than you were before because by making this thing better you accidentally maybe made other
[00:46:50.960 --> 00:46:56.240]   things worse so lifestyle centric planning says you got to construct your ideal vision for an entire
[00:46:56.240 --> 00:47:01.120]   lifestyle all the parts of your life how would i reorient my life so that all of the parts were
[00:47:01.120 --> 00:47:04.960]   something that resonated and then how do i make progress towards that you're going to have you're going
[00:47:04.960 --> 00:47:10.080]   to enjoy your life more if you explicitly construct it so that all of the things that contribute to your
[00:47:10.080 --> 00:47:15.440]   enjoyment are are being pushed in ways that are better let's return this finn because he recognized
[00:47:15.440 --> 00:47:21.120]   that and let's see how he made some changes around this time i came across your books deep work so good
[00:47:21.120 --> 00:47:25.840]   they can't ignore you and slow productivity they gave me a framework to better understand my professional
[00:47:25.840 --> 00:47:31.680]   situation i had to take a hard look at myself and realize that for the last five to six years i hadn't
[00:47:31.680 --> 00:47:37.120]   built transferable career capital that could help me in a different role after some reflection i decided
[00:47:37.120 --> 00:47:42.160]   to revive my previously built career capital as a web developer however i hadn't been coding seriously
[00:47:42.160 --> 00:47:46.720]   for years and looking at job descriptions i realized how much had changed in the web development space
[00:47:46.720 --> 00:47:52.000]   and i had a lot of catching up to do all right so he's doing something here called evidence-based
[00:47:52.000 --> 00:47:58.000]   planning like so he makes this decision he's looking at his life and it's like actually i need a job
[00:47:58.000 --> 00:48:03.600]   that um it's going to whatever the criteria here but probably like more money more autonomy i don't
[00:48:03.600 --> 00:48:08.880]   have to commute so much um whatever web development is like i have career capital there let me start
[00:48:08.880 --> 00:48:12.720]   there but he does evidence-based planning he actually looked at real job listings like oh skill a
[00:48:12.720 --> 00:48:18.640]   b and c i don't have so i'm gonna i'm gonna summarize a little bit here but basically he uses like
[00:48:18.640 --> 00:48:23.440]   techniques from deep work and slow productivity as well as from scott young's excellent book ultra learning
[00:48:24.400 --> 00:48:30.240]   to begin a education process of learning the specific skills that his evidence-based planning
[00:48:30.240 --> 00:48:35.360]   said were important not what he wants to be true but like i need to know a b and c these employers
[00:48:35.360 --> 00:48:43.200]   want exactly those skills and how do i get there as effectively as possible i'll jump back to regular
[00:48:43.200 --> 00:48:48.080]   speed here thanks to your techniques and tools it took me about a year to get out of my difficult job
[00:48:48.080 --> 00:48:53.600]   situation and back into my old career the side effect i now earn more than twice as much as before
[00:48:53.600 --> 00:48:58.320]   my next move won't be as bold as the ones i made in the past i want to become a valuable asset for my
[00:48:58.320 --> 00:49:03.040]   company to get so good they can't ignore me and then use my career capital to reduce my working hours
[00:49:03.040 --> 00:49:09.040]   so i can have fridays off to spend in nature without having to work there so see what happened there
[00:49:09.040 --> 00:49:14.080]   is when he did lifestyle-centric planning he's like i like nature but by reorienting my life around my
[00:49:14.080 --> 00:49:18.560]   career is takes place in nature a lot of other things got worse and actually being in nature is
[00:49:18.560 --> 00:49:23.360]   not as great as you think when you're also like working and you realize like oh if i could take my
[00:49:23.360 --> 00:49:30.640]   programming expertise make it up to date make myself really valuable i can go back to programming
[00:49:30.640 --> 00:49:37.840]   get good enough that i can cut my hours still make more than my old salary only work three or four days
[00:49:37.840 --> 00:49:42.400]   a week and then spend time in nature very intentionally but now without the commute now being home with my
[00:49:42.400 --> 00:49:49.040]   family now things being more stable um man that's a better life so lifestyle-centric planning worked
[00:49:49.040 --> 00:49:53.600]   out better than just putting laying back like what's a radical thing i can do i'll move to norway i'll get
[00:49:53.600 --> 00:49:58.480]   a job as like a nature guide lifestyle-centric planning was not as exciting but it led them to a better place
[00:49:58.480 --> 00:50:05.920]   all right so we got coming up my investigative journalism beware i do a little bit of data reporting but
[00:50:05.920 --> 00:50:11.840]   first before we get there what you've really been waiting for to hear about another one of our sponsors
[00:50:11.840 --> 00:50:18.320]   so here's the thing if you run a small business you know there's nothing small about it every day there
[00:50:18.320 --> 00:50:24.800]   is a new decision to make and even the smallest decisions can feel massive jesse knows this i get
[00:50:24.800 --> 00:50:30.320]   upset whenever anyone refers to our business here as small i know how hard it is to run this just the
[00:50:30.320 --> 00:50:36.080]   other day for example the nice woman who runs the gift shop down the on the next block here in tacoma
[00:50:36.080 --> 00:50:41.440]   park asked me how life as a small business owner was going so naturally jesse and i rolled her car
[00:50:41.440 --> 00:50:45.360]   into a swamp that's where i can put up with that nonsense so here's what i'm trying to say it's hard
[00:50:45.360 --> 00:50:49.120]   to run a small business so when you can find decisions that are no-brainers you should take them
[00:50:49.120 --> 00:50:56.560]   and when it comes to selling thing using shopify is exactly one of those no brainers shopify's point
[00:50:56.560 --> 00:51:01.360]   of sale system is a unified command center for your retail business it brings together in-store and
[00:51:01.360 --> 00:51:07.360]   online operations across up to a thousand locations it has very impressive features like endless aisle
[00:51:07.360 --> 00:51:14.240]   ship to customer and buy online pickup buy online pickup in store and with shopify pos you can get
[00:51:14.240 --> 00:51:19.680]   personalized experiences to help shoppers keep coming back and they will come back based on
[00:51:19.680 --> 00:51:26.000]   report from ey businesses on shopify pos see real results like 22 better total cost of ownership
[00:51:26.000 --> 00:51:33.600]   and benefits equivalent to an 8.9 uplift in sales on average relevant to the market set survey so get
[00:51:33.600 --> 00:51:38.320]   all the big stuff for your small business right with shopify sign up for your one dollar per month
[00:51:38.320 --> 00:51:46.640]   trial and start selling today at shopify.com slash deep go to shopify.com slash deep shopify.com
[00:51:46.640 --> 00:51:54.560]   slash deep i also want to talk about our friends at my body tutor i've known adam gilbert my body tutors
[00:51:54.560 --> 00:52:01.200]   founder for many years and he is my go-to guy for fitness advice his company my body tutor is 100
[00:52:01.200 --> 00:52:07.440]   online coaching program that solves the biggest problem in health and fitness which is lack of consistency
[00:52:07.440 --> 00:52:12.000]   they do this by simplifying the process into practical sustainable behaviors and then giving
[00:52:12.000 --> 00:52:17.040]   you daily accountability and support what you need to actually keep taking action on your plan
[00:52:17.040 --> 00:52:21.520]   you have an app you check in every day like hey here's what i ate here's how i did my exercise
[00:52:21.520 --> 00:52:27.040]   and your coach checks it hey how'd it go if you have a question like you know i'm really struggling
