
[00:00:00.000 --> 00:00:01.640]   what do women want?
[00:52:28.540 --> 00:52:31.420]   a certain type of clothing,
[00:52:31.420 --> 00:52:33.820]   and then when the lower-status people imitate them,
[00:52:33.820 --> 00:52:37.380]   then they have to shift to signal their status.
[00:52:37.380 --> 00:52:39.660]   And so I think the fashion and clothing
[00:52:39.660 --> 00:52:42.380]   is in part linked to status.
[00:52:42.380 --> 00:52:43.980]   - So this is not you talking, this is me.
[00:52:43.980 --> 00:52:47.660]   I just wanna make a statement, a profound statement,
[00:52:47.660 --> 00:52:51.420]   that I think yoga pants, now this is broadly speaking,
[00:52:51.420 --> 00:52:53.580]   but yoga pants is one of the greatest inventions
[00:52:53.580 --> 00:52:54.420]   in human history.
[00:52:54.420 --> 00:52:58.260]   There's fire, and yoga, and I'm just gonna leave it there.
[00:52:58.260 --> 00:53:02.380]   I'm a fan, and I have female friends
[00:53:02.380 --> 00:53:05.260]   that talk about how comfortable yoga pants are,
[00:53:05.260 --> 00:53:07.300]   which is what I'm referring to when I say
[00:53:07.300 --> 00:53:08.700]   it's one of the greatest inventions,
[00:53:08.700 --> 00:53:13.060]   because comfort in fashion is really, really important to me.
[00:53:13.060 --> 00:53:17.160]   Let me ask about sort of the sociological aspect of this.
[00:53:18.180 --> 00:53:21.640]   So I've talked to Mark Zuckerberg,
[00:53:21.640 --> 00:53:27.140]   the meta who's the CEO, founder of Facebook,
[00:53:27.140 --> 00:53:28.820]   and now meta and owns Instagram.
[00:53:28.820 --> 00:53:29.940]   - Right, I've heard of him.
[00:53:29.940 --> 00:53:32.900]   - Yeah, he's a, yeah. (laughs)
[00:53:32.900 --> 00:53:37.900]   He holds the American flag and likes the water.
[00:53:37.900 --> 00:53:43.020]   Anyway, so there's been criticisms
[00:53:43.020 --> 00:53:44.740]   of social networks and so on,
[00:53:45.660 --> 00:53:48.220]   and I just wanna ask you about the broader question here,
[00:53:48.220 --> 00:53:52.820]   that there's objectification of the human body in the media,
[00:53:52.820 --> 00:53:55.860]   and that creates standards for young women,
[00:53:55.860 --> 00:53:59.020]   for young men, perhaps, but more young women.
[00:53:59.020 --> 00:54:02.420]   You mentioned to the cruelty that women can have
[00:54:02.420 --> 00:54:03.740]   towards each other in terms of,
[00:54:03.740 --> 00:54:07.740]   well, let's, you know, cruelty is already a moral judgment.
[00:54:07.740 --> 00:54:10.180]   Just, you've made a statement about the fact
[00:54:10.180 --> 00:54:15.180]   that women seem to point out imperfections in other women.
[00:54:15.580 --> 00:54:19.860]   Do you think it's a problem in our modern society
[00:54:19.860 --> 00:54:23.820]   that we objectify each other in this way?
[00:54:23.820 --> 00:54:28.820]   Do you think this is a fundamental aspect of our biology
[00:54:28.820 --> 00:54:33.860]   that we need to suppress versus celebrate?
[00:54:33.860 --> 00:54:41.620]   Just like we might suppress our natural desire for violence
[00:54:41.620 --> 00:54:44.940]   if such exists in modern society?
[00:54:44.940 --> 00:54:46.580]   - Well, a couple thoughts on that.
[00:54:46.580 --> 00:54:49.540]   I think it is damaging,
[00:54:49.540 --> 00:54:56.020]   the fact that so many images are displayed in social media,
[00:54:56.020 --> 00:55:00.340]   and so what I would say is that there's what's called
[00:55:00.340 --> 00:55:04.140]   in the field an evolutionary mismatch.
[00:55:04.140 --> 00:55:07.820]   So we evolved in the context of small group living
[00:55:07.820 --> 00:55:10.060]   where there was made competition,
[00:55:10.060 --> 00:55:12.700]   but your competitors were a small number
[00:55:12.700 --> 00:55:15.020]   of other potential individuals,
[00:55:15.020 --> 00:55:17.280]   and so people do comparisons.
[00:55:17.280 --> 00:55:24.380]   But now what we have is this bombardment,
[00:55:24.380 --> 00:55:29.380]   bombardment of our visual system and our sexual psychology
[00:55:29.380 --> 00:55:33.700]   and our mating psychology with thousands and thousands
[00:55:33.700 --> 00:55:37.460]   of images that are not at all representative
[00:55:37.460 --> 00:55:42.460]   of who our actual competition is in the mating domain.
[00:55:42.580 --> 00:55:46.380]   And so I think that, and there's actually evidence on this
[00:55:46.380 --> 00:55:51.300]   that Baz Luhrmann actually said something like this
[00:55:51.300 --> 00:55:52.780]   in his "Sunscreen Song."
[00:55:52.780 --> 00:55:54.140]   I don't know if you ever heard that,
[00:55:54.140 --> 00:55:57.900]   but it's like a set of, it's a wonderful string of advice,
[00:55:57.900 --> 00:55:59.580]   song about advice, but he says--
[00:55:59.580 --> 00:56:01.060]   - Oh, yeah, yeah, yeah, okay, sorry.
[00:56:01.060 --> 00:56:04.740]   - Yeah, he says, "Don't read beauty magazines.
[00:56:04.740 --> 00:56:07.500]   "They will only make you feel ugly."
[00:56:07.500 --> 00:56:09.540]   I think that there's truth to that,
[00:56:09.540 --> 00:56:11.420]   that is, especially with women,
[00:56:11.420 --> 00:56:13.100]   they look at all these images,
[00:56:13.100 --> 00:56:18.100]   and of course, they're photographed, they're Photoshopped,
[00:56:18.100 --> 00:56:22.860]   they're highly selected and not at all representative,
[00:56:22.860 --> 00:56:25.380]   and so women compare themselves to that.
[00:56:25.380 --> 00:56:27.420]   So I think this social comparison
[00:56:27.420 --> 00:56:30.140]   is an evolved feature of humans.
[00:56:30.140 --> 00:56:32.780]   I mean, males do it, females do it,
[00:56:32.780 --> 00:56:35.340]   but it's exacerbated in the modern environment
[00:56:35.340 --> 00:56:39.140]   in wildly evolutionarily mismatched ways.
[00:56:39.140 --> 00:56:42.900]   And so I think that it is destructive, it's harmful.
[00:56:42.900 --> 00:56:47.580]   There's evidence that it hurts women's self-esteem.
[00:56:47.580 --> 00:56:52.580]   So here's just another factoid, or fact, if you will,
[00:56:52.580 --> 00:56:55.600]   that at least in Western cultures,
[00:56:55.600 --> 00:56:58.300]   males and females have roughly the same
[00:56:58.300 --> 00:57:01.260]   overall average levels of self-esteem,
[00:57:01.260 --> 00:57:04.820]   but once puberty hits, all of a sudden,
[00:57:04.820 --> 00:57:07.140]   women's self-esteem starts to drop,
[00:57:07.140 --> 00:57:10.260]   and I think it's because when they enter, make competition,
[00:57:10.260 --> 00:57:14.500]   then they start elevating the importance
[00:57:14.500 --> 00:57:16.140]   they attach to physical appearance,
[00:57:16.140 --> 00:57:20.820]   and then as you point out, the tremendous objectification
[00:57:20.820 --> 00:57:24.940]   that saturates social media and media in general,
[00:57:24.940 --> 00:57:27.940]   it's damaging and harmful.
[00:57:27.940 --> 00:57:29.860]   I don't know how to undo it, though.
[00:57:29.860 --> 00:57:34.060]   I don't know how to design a society that undoes that.
[00:57:34.060 --> 00:57:36.660]   - Well, one of the ways we undo things,
[00:57:36.660 --> 00:57:39.500]   just like you pointed out, is we use words.
[00:57:39.500 --> 00:57:42.460]   When we manipulate society,
[00:57:42.460 --> 00:57:45.220]   we manipulate social and status hierarchies
[00:57:45.220 --> 00:57:49.460]   using our words for ill, and we can do the same for good,
[00:57:49.460 --> 00:57:52.780]   and that's why there's a lot of clickbait articles
[00:57:52.780 --> 00:57:57.780]   about Instagram leading to a lot of suffering
[00:57:57.780 --> 00:58:04.880]   amongst teenage girls and all those kinds of things.
[00:58:05.880 --> 00:58:08.840]   I'm criticizing the clickbait nature,
[00:58:08.840 --> 00:58:10.840]   not the contents of the articles,
[00:58:10.840 --> 00:58:13.520]   but in those articles, hopefully become viral
[00:58:13.520 --> 00:58:14.960]   in a way that makes us rethink
[00:58:14.960 --> 00:58:17.720]   about how we build social networks
[00:58:17.720 --> 00:58:21.240]   that kind of allow us to too easily misrepresent
[00:58:21.240 --> 00:58:25.160]   how we look when we are quote-unquote influencers
[00:58:25.160 --> 00:58:29.600]   and what mental effect it has on young people
[00:58:29.600 --> 00:58:31.320]   that look up to those influencers,
[00:58:31.320 --> 00:58:34.320]   but I guess it's not the objectification fundamentally
[00:58:34.320 --> 00:58:35.480]   that's the problem.
[00:58:35.480 --> 00:58:39.520]   It's the inaccurate, it's the fake news,
[00:58:39.520 --> 00:58:43.320]   it's the fake news, misrepresentation.
[00:58:43.320 --> 00:58:48.240]   You still objectify the male body, the female body,
[00:58:48.240 --> 00:58:53.000]   but you do so while misrepresenting the actual truth,
[00:58:53.000 --> 00:58:54.840]   and so you're moving the average,
[00:58:54.840 --> 00:58:56.400]   you're moving the standard representation
[00:58:56.400 --> 00:58:57.520]   of what a male should look like,
[00:58:57.520 --> 00:58:59.280]   what a woman should look like,
[00:58:59.280 --> 00:59:03.800]   and the dishonesty's the problem, not the objectification.
[00:59:03.800 --> 00:59:07.200]   - Here's just one other interesting empirical finding
[00:59:07.200 --> 00:59:10.200]   on that, and it has to do with another dimension
[00:59:10.200 --> 00:59:14.040]   that I think is harmful, and that's the thinness dimension.
[00:59:14.040 --> 00:59:19.040]   These are studies originally done by Paul Rosin,
[00:59:19.040 --> 00:59:22.320]   but they've been replicated, where if you ask men,
[00:59:22.320 --> 00:59:25.320]   okay, what is your ideal figure in a woman?
[00:59:25.320 --> 00:59:27.480]   And so they have these, say, nine figures
[00:59:27.480 --> 00:59:32.240]   that vary from very, very thin to average to plump.
[00:59:32.240 --> 00:59:34.120]   Men give it the midpoint.
[00:59:34.120 --> 00:59:39.120]   They say the midpoint is in relative thinness or plumpness
[00:59:39.120 --> 00:59:41.800]   is what I value, and you ask women,
[00:59:41.800 --> 00:59:44.800]   what is your ideal body type for you?
[00:59:44.800 --> 00:59:49.120]   They give it, they say thinner, but then if you ask them,
[00:59:49.120 --> 00:59:52.440]   what do you think male's ideal body type is?
[00:59:52.440 --> 00:59:54.840]   They put it in exactly the same spot
[00:59:54.840 --> 00:59:58.200]   that they put their own ideal, which is thin,
[00:59:58.200 --> 01:00:01.200]   and so there's actually an inaccurate perception
[01:00:01.200 --> 01:00:05.520]   of how thin men desire women to be,
[01:00:05.520 --> 01:00:08.480]   and I think that's partly exacerbated
[01:00:08.480 --> 01:00:11.480]   by the fashion industry, where the models
[01:00:11.480 --> 01:00:16.480]   are often real thin, and the lore is that clothes hang better
[01:00:16.480 --> 01:00:23.800]   on thin models, and then on TV, they say you gain 15 pounds
[01:00:23.800 --> 01:00:25.920]   over what you really are or whatever,
[01:00:25.920 --> 01:00:28.840]   but for whatever reason, women misperceive
[01:00:28.840 --> 01:00:31.000]   how thin men want them to be,
[01:00:31.000 --> 01:00:34.240]   and so you have, this is another huge sex difference,
[01:00:34.240 --> 01:00:39.200]   is eating disorders, anorexia, for example,
[01:00:39.200 --> 01:00:44.000]   bulimia, binging, purging, where these eating disorders
[01:00:44.000 --> 01:00:48.440]   are nine to 10 times more common in women than in men.
[01:00:48.440 --> 01:00:52.080]   - Can I just take a small tangent,
[01:00:52.080 --> 01:00:55.480]   'cause it was such a beautiful, the Sunscreen Song,
[01:00:55.480 --> 01:00:57.480]   such a beautiful one, if I can read
[01:00:57.480 --> 01:00:58.720]   some of the words from it?
[01:00:58.720 --> 01:01:00.200]   - Yeah. - I really enjoy it.
[01:01:00.200 --> 01:01:01.960]   - Yeah, it's a great song.
[01:01:01.960 --> 01:01:03.640]   - For people, you should check it out,
[01:01:03.640 --> 01:01:05.760]   it's called Everybody's Free to Wear Sunscreen.
[01:01:05.760 --> 01:01:09.040]   I guess it's actually a speech to a class,
[01:01:09.040 --> 01:01:10.640]   I don't know if that's artificial or real,
[01:01:10.640 --> 01:01:13.320]   but it's a speech that gives advice,
[01:01:13.320 --> 01:01:18.240]   and it goes, "Ladies and gentlemen of the class of '97,"
[01:01:18.240 --> 01:01:20.600]   I just remember it even now, those words,
[01:01:20.600 --> 01:01:22.120]   "Where's sunscreen?
[01:01:22.120 --> 01:01:24.560]   "If I could offer you only one tip for the future,
[01:01:24.560 --> 01:01:26.380]   "sunscreen would be it.
[01:01:26.380 --> 01:01:28.080]   "The long-term benefits of sunscreen
[01:01:28.080 --> 01:01:29.920]   "have been proven by scientists.
[01:01:29.920 --> 01:01:33.280]   "Whereas the rest of my advice has no basis more reliable
[01:01:33.280 --> 01:01:35.560]   "than my own meandering experience.
[01:01:35.560 --> 01:01:38.440]   "I will dispense this advice now.
[01:01:38.440 --> 01:01:41.280]   "Enjoy the power and beauty of your youth.
[01:01:41.280 --> 01:01:43.080]   "Oh, nevermind, you will not understand
[01:01:43.080 --> 01:01:45.900]   "the power and beauty of your youth until they're faded.
[01:01:45.900 --> 01:01:48.140]   "But trust me, in 20 years,
[01:01:48.140 --> 01:01:50.520]   "you'll look back at the photos of yourself
[01:01:50.520 --> 01:01:53.560]   "and recall in a way that you can't grasp now
[01:01:53.560 --> 01:01:55.800]   "how much possibility laid before you
[01:01:55.800 --> 01:01:58.280]   "and how fabulous you really looked.
[01:01:58.280 --> 01:02:01.420]   "You are not as fat as you imagine.
[01:02:01.420 --> 01:02:03.100]   "Don't worry about the future.
[01:02:03.100 --> 01:02:06.460]   "Or worry, but know that worrying is as effective
[01:02:06.460 --> 01:02:08.480]   "as trying to solve an algebra equation
[01:02:08.480 --> 01:02:10.040]   "by chewing bubble gum.
[01:02:10.040 --> 01:02:11.640]   "The real troubles in your life
[01:02:11.640 --> 01:02:12.760]   "are apt to be the things
[01:02:12.760 --> 01:02:14.960]   "that never cross your worried mind.
[01:02:14.960 --> 01:02:17.000]   "The kind that blindsides you at 4 p.m.
[01:02:17.000 --> 01:02:18.360]   "on some idle Tuesday.
[01:02:18.360 --> 01:02:22.440]   "Do one thing every day that scares you.
[01:02:22.440 --> 01:02:26.900]   "Saying, 'Don't be reckless with other people's hearts.
[01:02:26.900 --> 01:02:28.420]   "'Don't put up with the people
[01:02:28.420 --> 01:02:30.380]   "'who are reckless with yours.'
[01:02:30.380 --> 01:02:31.820]   "Floss.
[01:02:31.820 --> 01:02:33.920]   "Don't waste your time on jealousy.
[01:02:33.920 --> 01:02:36.740]   "Sometimes you're ahead, sometimes you're behind.
[01:02:36.740 --> 01:02:38.920]   "The race is long, and in the end,
[01:02:38.920 --> 01:02:40.840]   "it's only with yourself.
[01:02:40.840 --> 01:02:42.880]   "Remember compliments you receive.
[01:02:42.880 --> 01:02:44.560]   "Forget the insults.
[01:02:44.560 --> 01:02:47.020]   "If you succeed in doing this, tell me how."
[01:02:47.020 --> 01:02:49.440]   (laughing)
[01:02:49.440 --> 01:02:50.760]   Keep your old love letters.
[01:02:50.760 --> 01:02:53.000]   Throw away your old bang statements.
[01:02:53.000 --> 01:02:54.300]   Stretch.
[01:02:54.300 --> 01:02:56.200]   Don't feel guilty if you don't know
[01:02:56.200 --> 01:02:58.080]   what you want to do with your life.
[01:02:58.080 --> 01:03:00.240]   The most interesting people I know
[01:03:00.240 --> 01:03:03.800]   didn't know at 22 what they wanted to do with their lives.
[01:03:03.800 --> 01:03:07.440]   Some of the most interesting 40-year-olds I know
[01:03:07.440 --> 01:03:08.840]   still don't.
[01:03:08.840 --> 01:03:13.320]   For me, that's true for 50, 60, and 70-year-olds, honestly.
[01:03:13.320 --> 01:03:14.720]   Get plenty of calcium.
[01:03:14.720 --> 01:03:16.280]   Be kind to your niece.
[01:03:16.280 --> 01:03:18.080]   You'll miss them when they're gone.
[01:03:18.080 --> 01:03:20.280]   Maybe you'll marry, maybe you won't.
[01:03:20.280 --> 01:03:22.640]   Maybe you'll have children, maybe you won't.
[01:03:22.640 --> 01:03:24.600]   Maybe you'll divorce at 40.
[01:03:24.600 --> 01:03:26.440]   Maybe you'll dance the funky chicken
[01:03:26.440 --> 01:03:28.600]   on your 75th wedding anniversary.
[01:03:28.600 --> 01:03:32.280]   Whatever you do, don't congratulate yourself too much
[01:03:32.280 --> 01:03:34.680]   or berate yourself either.
[01:03:34.680 --> 01:03:36.720]   Your choices are half chance.
[01:03:36.720 --> 01:03:38.780]   So are everybody else's.
[01:03:38.780 --> 01:03:41.280]   Enjoy your body.
[01:03:41.280 --> 01:03:43.440]   Use it every way you can.
[01:03:43.440 --> 01:03:46.560]   Don't be afraid of it or what other people think of it.
[01:03:46.560 --> 01:03:49.080]   It's the greatest instrument you'll ever own.
[01:03:49.080 --> 01:03:52.280]   Dance, even if you have nowhere to do it
[01:03:52.280 --> 01:03:54.000]   but in your own living room.
[01:03:54.000 --> 01:03:56.840]   Read the directions, even if you don't follow them.
[01:03:56.840 --> 01:03:58.440]   Do not read beauty magazines
[01:03:58.440 --> 01:04:01.000]   that will only make you feel ugly.
[01:04:01.000 --> 01:04:02.480]   Get to know your parents.
[01:04:02.480 --> 01:04:04.960]   You never know when they'll be gone for good.
[01:04:04.960 --> 01:04:08.040]   Be nice to your siblings.
[01:04:08.040 --> 01:04:10.280]   They're your best link to your past
[01:04:10.280 --> 01:04:13.720]   and the people most likely to stick with you in the future.
[01:04:13.720 --> 01:04:16.760]   Understand that friends come and go,
[01:04:16.760 --> 01:04:19.720]   but a precious few who should hold on.
[01:04:20.640 --> 01:04:24.200]   Work hard to bridge the gaps in geography and lifestyle.
[01:04:24.200 --> 01:04:26.400]   For as older you get,
[01:04:26.400 --> 01:04:29.640]   the more you need the people you knew when you were young.
[01:04:29.640 --> 01:04:31.080]   Live in New York City once.
[01:04:31.080 --> 01:04:32.300]   I actually took this advice.
[01:04:32.300 --> 01:04:33.560]   This is fascinating advice.
[01:04:33.560 --> 01:04:36.840]   I remember this advice well.
[01:04:36.840 --> 01:04:38.600]   It's broadly applied.
[01:04:38.600 --> 01:04:40.320]   Live in New York City once,
[01:04:40.320 --> 01:04:43.120]   but leave before it makes you hard.
[01:04:43.120 --> 01:04:45.040]   Live in Northern California once,
[01:04:45.040 --> 01:04:47.760]   but leave before it makes you soft.
[01:04:47.760 --> 01:04:51.460]   Travel, accept certain inalienable truths.
[01:04:51.460 --> 01:04:55.240]   Prices will rise, politicians will philander,
[01:04:55.240 --> 01:04:56.960]   you too will get old.
[01:04:56.960 --> 01:05:00.320]   And when you do, you'll fantasize that when you were young,
[01:05:00.320 --> 01:05:03.320]   prices were reasonable, politicians were noble,
[01:05:03.320 --> 01:05:05.960]   and children respected their elders.
[01:05:05.960 --> 01:05:07.680]   Respect your elders.
[01:05:07.680 --> 01:05:09.920]   Don't expect anyone else to support you.
[01:05:09.920 --> 01:05:11.560]   Maybe you have a trust fund,
[01:05:11.560 --> 01:05:13.600]   maybe you'll have a wealthy spouse,
[01:05:13.600 --> 01:05:18.600]   but you never know when either one might run out.
[01:05:18.600 --> 01:05:20.840]   Never mess too much with your hair,
[01:05:20.840 --> 01:05:24.200]   or by the time you're 40, it will look 85.
[01:05:24.200 --> 01:05:26.880]   Be careful whose advice you buy,
[01:05:26.880 --> 01:05:29.320]   but be patient with those who supply it.
[01:05:29.320 --> 01:05:31.200]   Advice is a form of nostalgia.
[01:05:31.200 --> 01:05:34.720]   Dispensing it is a way of fishing the past
[01:05:34.720 --> 01:05:36.880]   from the disposal, wiping it off,
[01:05:36.880 --> 01:05:38.560]   painting over the ugly parts,
[01:05:38.560 --> 01:05:41.240]   and recycling it for more than it's worth.
[01:05:41.240 --> 01:05:42.840]   But trust me on the sunscreen.
[01:05:43.680 --> 01:05:47.040]   - So this is, thank you for allowing me to read it.
[01:05:47.040 --> 01:05:48.640]   It's almost sentimental for me.
[01:05:48.640 --> 01:05:50.400]   I don't know when I first heard it,
[01:05:50.400 --> 01:05:53.860]   but there's a few pieces of advice in that,
[01:05:53.860 --> 01:05:57.740]   similar to the poem "If" by Rajat Kipling,
[01:05:57.740 --> 01:06:01.320]   there's some deep truths when you step back
[01:06:01.320 --> 01:06:02.200]   and look at it all.
[01:06:02.200 --> 01:06:05.680]   And also the places where you live.
[01:06:05.680 --> 01:06:10.680]   'Cause I lived for a time in, I guess, Northern California
[01:06:11.600 --> 01:06:14.200]   with Google and so on.
[01:06:14.200 --> 01:06:16.760]   And one of the reasons I had to leave
[01:06:16.760 --> 01:06:19.360]   is I felt I was becoming soft.
[01:06:19.360 --> 01:06:22.340]   This is my own personal experience.
[01:06:22.340 --> 01:06:28.360]   And the same is true for the cities of the East.
[01:06:28.360 --> 01:06:31.480]   They can, if you're not careful, make you hard,
[01:06:31.480 --> 01:06:34.340]   'cause everybody's super busy and rushing around,
[01:06:34.340 --> 01:06:38.000]   and there's just a buzz to the city, which is exciting.
[01:06:38.000 --> 01:06:41.680]   It's empowering, but it can change you in ways.
[01:06:41.680 --> 01:06:44.920]   And so it's one of the reasons I'm here in Austin.
[01:06:44.920 --> 01:06:46.080]   I fell in love with the city,
[01:06:46.080 --> 01:06:46.920]   'cause it's such a nice, balanced--
[01:06:46.920 --> 01:06:47.920]   - Yeah, it's a great move.
[01:06:47.920 --> 01:06:51.440]   And yeah, I've lived on both coasts as well,
[01:06:51.440 --> 01:06:55.600]   Boston area and then Berkeley, California.
[01:06:55.600 --> 01:06:57.840]   So I'm familiar with both.
[01:06:57.840 --> 01:06:59.640]   - How'd you end up in Austin?
[01:06:59.640 --> 01:07:00.800]   As a small side.
[01:07:00.800 --> 01:07:04.620]   - Well, I got my undergraduate degree here
[01:07:04.620 --> 01:07:06.520]   and then left for 20 years
[01:07:06.520 --> 01:07:08.800]   and migrated around.
[01:07:08.800 --> 01:07:12.840]   So went to UC Berkeley for my PhD,
[01:07:12.840 --> 01:07:16.240]   Harvard for my first job, University of Michigan.
[01:07:16.240 --> 01:07:20.320]   And then a job opened up at University of Texas
[01:07:20.320 --> 01:07:22.480]   for an evolutionary psychologist.
[01:07:22.480 --> 01:07:27.480]   And so they wanted me, fortunately.
[01:07:27.480 --> 01:07:28.760]   So I was very happy to,
[01:07:28.760 --> 01:07:30.800]   so I've always loved Austin.
[01:07:30.800 --> 01:07:32.680]   - Yeah, the love never died, it was there.
[01:07:32.680 --> 01:07:34.120]   - Yeah, yeah, it's a great town.
[01:07:34.120 --> 01:07:35.680]   I was glad that I left.
[01:07:35.680 --> 01:07:38.960]   So, and experienced, well, both coasts
[01:07:38.960 --> 01:07:40.360]   and also the Midwest,
[01:07:40.360 --> 01:07:43.800]   but happy to be back in Austin.
[01:07:43.800 --> 01:07:45.640]   - Let me ask a difficult question.
[01:07:45.640 --> 01:07:46.460]   Now we did pretty good
[01:07:46.460 --> 01:07:48.000]   with some difficult questions already,
[01:07:48.000 --> 01:07:51.280]   but there are people in this world today
[01:07:51.280 --> 01:07:55.600]   who believe that gender is purely a social construct.
[01:07:55.600 --> 01:07:58.160]   You, I think, are not one of those people.
[01:07:58.160 --> 01:08:01.960]   To you, what are the difference between men and women?
[01:08:01.960 --> 01:08:05.360]   How much of those differences are in nature
[01:08:05.360 --> 01:08:07.160]   and how much is nurture?
[01:08:07.160 --> 01:08:11.880]   - I guess if you're asking the question morphologically
[01:08:11.880 --> 01:08:15.520]   or psychologically, I assume you're asking psychologically.
[01:08:15.520 --> 01:08:17.320]   - The question is what it is.
[01:08:17.320 --> 01:08:20.560]   And the answer, sometimes the questions
[01:08:20.560 --> 01:08:23.280]   don't contain with them
[01:08:23.280 --> 01:08:25.560]   the trajectory you take with the answer, right?
[01:08:25.560 --> 01:08:30.560]   So I think I was asking both.
[01:08:30.560 --> 01:08:35.040]   And the fact that both are a thing is an interesting thing.
[01:08:35.040 --> 01:08:35.880]   - Yes.
[01:08:35.880 --> 01:08:38.800]   - So you wrote a book, textbook, I should say,
[01:08:38.800 --> 01:08:41.360]   Evolutionary Psychology, right?
[01:08:41.360 --> 01:08:42.200]   - Yes.
[01:08:42.200 --> 01:08:44.840]   - Both of those words are in the book title,
[01:08:44.840 --> 01:08:47.280]   psychology, that's the human mind.
[01:08:47.280 --> 01:08:48.440]   - Yes, yeah.
[01:08:48.440 --> 01:08:53.440]   - How much of gender, how much of sex is the human mind?
[01:08:53.440 --> 01:08:56.080]   And how much of it is the biology?
[01:08:56.080 --> 01:08:57.480]   - The way that I phrase it,
[01:08:57.480 --> 01:09:02.120]   so I don't like sort of dividing the world
[01:09:02.120 --> 01:09:05.240]   into two categories, things that are biological
[01:09:05.240 --> 01:09:07.760]   versus things that are not biological.
[01:09:07.760 --> 01:09:12.520]   So the biology is actually defined
[01:09:12.520 --> 01:09:15.400]   as the study of life and life processes.
[01:09:15.400 --> 01:09:17.920]   And so at that sort of abstract level,
[01:09:17.920 --> 01:09:19.960]   everything we do is biological,
[01:09:19.960 --> 01:09:23.440]   including culture and our capacity for culture,
[01:09:23.440 --> 01:09:26.740]   which I think is an evolved capacity that humans have.
[01:09:28.760 --> 01:09:32.640]   - When you get to the issue of sex and gender,
[01:09:32.640 --> 01:09:36.440]   I mean, one cut at your question is,
[01:09:36.440 --> 01:09:40.340]   are there universal psychological sex differences?
[01:09:40.340 --> 01:09:44.760]   And the answer to that question is, yes, there are some.
[01:09:44.760 --> 01:09:49.360]   So for example, well, and this is in one of your areas
[01:09:49.360 --> 01:09:54.120]   of specialty, engineering, one of the interesting things
[01:09:54.120 --> 01:09:59.120]   is that it's called the people's thing dimension.
[01:09:59.120 --> 01:10:02.520]   So do you want an occupation?
[01:10:02.520 --> 01:10:07.520]   You want a job that involves people, social interaction,
[01:10:07.520 --> 01:10:11.120]   or are you happy with a job that just involves things,
[01:10:11.120 --> 01:10:15.720]   mechanical objects or computer code or whatever?
[01:10:15.720 --> 01:10:18.920]   And this is one of the largest psychological sex differences
[01:10:18.920 --> 01:10:21.920]   that exists, and it's true in every culture.
[01:10:21.920 --> 01:10:26.520]   So in terms of, I don't know, magnitude of effects,
[01:10:26.520 --> 01:10:30.360]   it's an effect size of more than a standard deviation,
[01:10:30.360 --> 01:10:32.600]   difference between the means
[01:10:32.600 --> 01:10:35.200]   on this psychological sex difference.
[01:10:35.200 --> 01:10:37.720]   And so one of the interesting things is,
[01:10:37.720 --> 01:10:39.120]   so if you go to places like,
[01:10:39.120 --> 01:10:44.120]   go to the most gender egalitarian cultures in the world.
[01:10:44.120 --> 01:10:48.220]   So places like Sweden or Norway,
[01:10:49.680 --> 01:10:53.520]   which are explicitly gender egalitarian
[01:10:53.520 --> 01:10:56.840]   and are truly in many, many ways,
[01:10:56.840 --> 01:10:59.480]   but you allow people freedom of choice,
[01:10:59.480 --> 01:11:02.120]   some of these sex differences actually get larger,
[01:11:02.120 --> 01:11:04.000]   the psychological sex differences,
[01:11:04.000 --> 01:11:09.000]   and also assortment into different occupational choices.
[01:11:09.000 --> 01:11:12.920]   Now, but this is not something that I study.
[01:11:12.920 --> 01:11:17.920]   I study mating, and the sex differences,
[01:11:18.160 --> 01:11:21.480]   if you ask in what domains
[01:11:21.480 --> 01:11:24.080]   are the sex differences the largest,
[01:11:24.080 --> 01:11:25.720]   it turns out they occur
[01:11:25.720 --> 01:11:28.640]   within the domain of mating and sexuality.
[01:11:28.640 --> 01:11:31.320]   So our evolved sexual psychology,
[01:11:31.320 --> 01:11:32.920]   our evolved mating psychology
[01:11:32.920 --> 01:11:36.040]   is to some degree sexually demorphic.
[01:11:36.040 --> 01:11:40.160]   Okay, with the very important asterisk
[01:11:40.160 --> 01:11:43.760]   that we're talking about overlapping distributions.
[01:11:43.760 --> 01:11:45.160]   So there are some things that,
[01:11:45.160 --> 01:11:47.640]   so if you look at human morphology,
[01:11:47.640 --> 01:11:50.600]   we talked about breasts earlier.
[01:11:50.600 --> 01:11:53.840]   Women have evolved functional breasts
[01:11:53.840 --> 01:11:56.360]   that's functional for lactation.
[01:11:56.360 --> 01:11:57.200]   Men don't.
[01:11:57.200 --> 01:12:01.880]   So there's no amount of culture or social coercion
[01:12:01.880 --> 01:12:05.840]   can cause men to have lactating breasts.
[01:12:05.840 --> 01:12:10.040]   Psychologically, we don't see dimorphism that extreme
[01:12:10.040 --> 01:12:13.440]   where something is literally present in one sex
[01:12:13.440 --> 01:12:14.920]   and totally absent in the other.
[01:12:14.920 --> 01:12:17.320]   So there's overlap in the distributions.
[01:12:17.320 --> 01:12:21.320]   So I mentioned earlier that in the mating domain,
[01:12:21.320 --> 01:12:22.880]   men more than women on average
[01:12:22.880 --> 01:12:24.760]   prioritize physical appearance,
[01:12:24.760 --> 01:12:27.560]   physical attractiveness, relative youth.
