
[00:00:00.000 --> 00:00:03.000]   Who's your REALTOR®?
[00:20:56.000 --> 00:20:57.000]   All of us do it.
[00:20:57.000 --> 00:21:01.000]   And so expect that in the beginning you're going to say, I've got to cover everything.
[00:21:01.000 --> 00:21:02.000]   And that's fine.
[00:21:02.000 --> 00:21:03.000]   Go cover everything.
[00:21:03.000 --> 00:21:08.000]   But then plan to slow down after a couple of months and recognize that there's no hurry.
[00:21:08.000 --> 00:21:11.000]   And you'll enjoy it more when you're traveling a little bit less.
[00:21:11.000 --> 00:21:13.000]   In terms of the money, you have an abundant budget.
[00:21:13.000 --> 00:21:16.000]   But just because you have it doesn't mean you need to spend it.
[00:21:16.000 --> 00:21:24.000]   And so what I always did was I just picked either we're going to travel, in which case today's budget is going to fuel,
[00:21:24.000 --> 00:21:31.000]   or we're going to do activities, in which case we'll try to minimize the accommodation costs,
[00:21:31.000 --> 00:21:33.000]   or we'll just take accommodations.
[00:21:33.000 --> 00:21:39.000]   And so for us, you know, you go in and out of nice RV parks with the amenities of a nice RV park
[00:21:39.000 --> 00:21:46.000]   that you pay a higher daily rate for as compared to just boondocking or taking an inexpensive state park
[00:21:46.000 --> 00:21:48.000]   with fewer amenities but a different experience.
[00:21:48.000 --> 00:21:54.000]   So you can very easily moderate your budget and live very inexpensively but still have plenty available.
[00:21:54.000 --> 00:21:58.000]   So think about that in terms of your accommodations and things like that.
[00:21:58.000 --> 00:22:05.000]   There are a few places that are very difficult to get into, and many of the parks are just completely overcrowded.
[00:22:05.000 --> 00:22:11.000]   So places like Yellowstone are basically impossible to get into without significant prior planning.
[00:22:11.000 --> 00:22:14.000]   I mean, we went into Yellowstone, but we just made a day trip of it.
[00:22:14.000 --> 00:22:17.000]   And I just skip a lot of those places because there's no need for that.
[00:22:17.000 --> 00:22:19.000]   Every place is spectacular.
[00:22:19.000 --> 00:22:21.000]   Spend some time in Utah.
[00:22:21.000 --> 00:22:26.000]   Utah is one of the most spectacular places, really nice as it starts to get to wintertime.
[00:22:26.000 --> 00:22:32.000]   Come down out of the north and go into the deserts, and it's spectacular there.
[00:22:32.000 --> 00:22:38.000]   Yeah, awesome. Is it easy to pull into a national park on a Tuesday or Wednesday
[00:22:38.000 --> 00:22:41.000]   and get a first-come, first-served campsite and hang out there for a week?
[00:22:41.000 --> 00:22:43.000]   I found it to be so, yeah.
[00:22:43.000 --> 00:22:48.000]   Generally, if you just are off schedule, and if you can be there early and be off schedule,
[00:22:48.000 --> 00:22:50.000]   we never had much trouble.
[00:22:50.000 --> 00:22:53.000]   I don't think I made a single reservation all the way through.
[00:22:53.000 --> 00:22:57.000]   And the only place I couldn't get in was Yellowstone, and that was no problem.
[00:22:57.000 --> 00:23:01.000]   We just did a day trip into Yellowstone, which was sufficient at the time
[00:23:01.000 --> 00:23:04.000]   because everything around there is basically almost as good.
[00:23:04.000 --> 00:23:07.000]   So if you're flexible and you're comfortable,
[00:23:07.000 --> 00:23:10.000]   and if you don't get in on Tuesday, then you can get in on Wednesday morning.
[00:23:10.000 --> 00:23:15.000]   Yeah, usually the first-come, first-served system still works fine.
[00:23:15.000 --> 00:23:18.000]   Yeah, okay. Thanks a lot. Thank you, sir.
[00:23:18.000 --> 00:23:21.000]   Yeah, my pleasure. Enjoy.
[00:23:21.000 --> 00:23:23.000]   You're going to meet some great people and have some great adventures.
[00:23:23.000 --> 00:23:26.000]   Eric in California, welcome to the show. How can I serve you?
[00:23:26.000 --> 00:23:32.000]   Hey, Joshua. I just want to make a comment about one of your latest podcasts on sudden death.
[00:23:32.000 --> 00:23:35.000]   It was phenomenal. I deal a lot with cybersecurity.
[00:23:35.000 --> 00:23:43.000]   I work with your pal Stephen Harris, and it's heartbreaking just being involved in church,
[00:23:43.000 --> 00:23:46.000]   and everybody knows, "Hey, Eric's in cybersecurity."
[00:23:46.000 --> 00:23:51.000]   And we have so many individuals that will come to us and say, "Hey, so-and-so died.
[00:23:51.000 --> 00:23:56.000]   Grandpa died. Dad died. Somebody died, and all of his technology is completely locked up.
[00:23:56.000 --> 00:23:59.000]   We don't know any of his passwords. Nothing's written down,"
[00:23:59.000 --> 00:24:03.000]   which means family photos for decades are locked up potentially.
[00:24:03.000 --> 00:24:07.000]   Cryptocurrency is locked up.
[00:24:07.000 --> 00:24:10.000]   It's a phenomenal podcast because I'm fairly young,
[00:24:10.000 --> 00:24:18.000]   and it seems to me that if you're nearing retirement age or past that, you have a trust and a will,
[00:24:18.000 --> 00:24:23.000]   but I've seen a lot of individuals pass away untimely,
[00:24:23.000 --> 00:24:27.000]   and it's heartbreaking to see if they can or cannot get into some of those things.
[00:24:27.000 --> 00:24:30.000]   So yeah, anyways, I just thought it was a phenomenal podcast.
[00:24:30.000 --> 00:24:32.000]   I deal with it a lot on a personal basis.
[00:24:32.000 --> 00:24:38.000]   And then out of the Jack Spierko gravel truck, what happens if you get hit by a gravel truck?
[00:24:38.000 --> 00:24:44.000]   My buddy and I started up our own side business of just like, "Hey, let's prepare for this ahead of time.
[00:24:44.000 --> 00:24:47.000]   We'll give you some documents to fill out."
[00:24:47.000 --> 00:24:53.000]   I mean, not a trust, not a will, but just where are things stored, what to look for, all of that stuff,
[00:24:53.000 --> 00:24:59.000]   and it has been hugely successful just out of the sense of it takes no time to take 15 minutes
[00:24:59.000 --> 00:25:03.000]   and write it all down of what's there and what's available.
[00:25:03.000 --> 00:25:07.000]   And yeah, anyways, I just thought the podcast was absolutely phenomenal.
[00:25:07.000 --> 00:25:10.000]   Thank you. What's the name of the business or the website?
[00:25:10.000 --> 00:25:15.000]   Gravel Truck. Right now, we don't have a website. We just have an email because we've been doing it locally.
[00:25:15.000 --> 00:25:19.000]   But it's Gravel Truck Plan, and the idea is what happens if you get hit?
[00:25:19.000 --> 00:25:22.000]   My wife made fun of me. She's like, "That's such a dumb name."
[00:25:22.000 --> 00:25:26.000]   And I was like, "Yeah, but when we say, 'Hey, what do you guys do?' It's like, 'Gravel Truck.'
[00:25:26.000 --> 00:25:29.000]   What does a gravel truck do? What happens right now if you get hit by a gravel truck?"
[00:25:29.000 --> 00:25:31.000]   I love it. It's sick.
[00:25:31.000 --> 00:25:35.000]   And everybody kind of looks at you blank in the face. I'm like, "What happens?
[00:25:35.000 --> 00:25:38.000]   Where are your passwords? Are there backups to your passwords?"
[00:25:38.000 --> 00:25:42.000]   If you have crypto, does everybody know your ledger, your seed phrase, all that stuff?
[00:25:42.000 --> 00:25:44.000]   How is that secured?
[00:25:44.000 --> 00:25:51.000]   So we work with them on varying levels of paranoia of like, "We can hold the files for you.
[00:25:51.000 --> 00:25:53.000]   You can give us the encrypted version of the files."
[00:25:53.000 --> 00:25:59.000]   And it's also interesting doing that technical bits with potentially some older generation,
[00:25:59.000 --> 00:26:02.000]   which is not necessarily trusting the technology.
[00:26:02.000 --> 00:26:04.000]   So like, "Hey, let's print it all out in a binder."
[00:26:04.000 --> 00:26:09.000]   Just having that information somewhere is so hugely powerful.
[00:26:09.000 --> 00:26:12.000]   Anyways, when I was talking to my buddy, I was like,
[00:26:12.000 --> 00:26:17.000]   "You're not going to believe the latest Radical Personal Finance podcast."
[00:26:17.000 --> 00:26:20.000]   He all but said our name and what we do.
[00:26:20.000 --> 00:26:23.000]   So anyways, it's just a side thing for right now.
[00:26:23.000 --> 00:26:30.000]   But if it just helps one person and one family not go through what I've seen a bunch of other families go through,
[00:26:30.000 --> 00:26:32.000]   it'll have been more than worth it.
[00:26:32.000 --> 00:26:36.000]   What is the – how do people get in touch with you and what can they buy from you?
[00:26:36.000 --> 00:26:39.000]   Yeah, so I mean this doesn't need to be infomercial or anything.
[00:26:39.000 --> 00:26:40.000]   Go ahead.
[00:26:40.000 --> 00:26:41.000]   I'm giving you layups here.
[00:26:41.000 --> 00:26:43.000]   Sell, sell, sell.
[00:26:43.000 --> 00:26:45.000]   All right, all right, all right.
[00:26:45.000 --> 00:26:48.000]   I won't take money as Jack Sparrow says, right?
[00:26:48.000 --> 00:26:52.000]   So essentially it's one time that we onboard you for $500.
[00:26:52.000 --> 00:26:56.000]   We give you the documentation that covers an annual thing.
[00:26:56.000 --> 00:27:01.000]   And basically what we do is you designate two people to be your "cleanup crew."
[00:27:01.000 --> 00:27:06.000]   Family members, wife, whoever, who we validate, "Hey, is this person actually dead?"
[00:27:06.000 --> 00:27:10.000]   Or they call us if they're actually – if you're actually dead.
[00:27:10.000 --> 00:27:13.000]   And then after that, it's $220 a year.
[00:27:13.000 --> 00:27:18.000]   And that gets you basically a one-time or an annual phone call saying, "Hey, here's what we have on file.
[00:27:18.000 --> 00:27:19.000]   What do you want to update?
[00:27:19.000 --> 00:27:20.000]   Has anything changed?"
[00:27:20.000 --> 00:27:24.000]   Kind of walk them through our list of – a list of those different things.
[00:27:24.000 --> 00:27:27.000]   Just it's one of those things that life goes on.
[00:27:27.000 --> 00:27:34.000]   If somebody were to call you up right now and ask you, "Hey, are these still the same people in your life that you want your designated cleanup crew?
[00:27:34.000 --> 00:27:35.000]   Do you have a new house?
[00:27:35.000 --> 00:27:39.000]   Do you have new passwords, new crypto, new passwords?"
[00:27:39.000 --> 00:27:43.000]   That's in that annual kind of like subscription model.
[00:27:43.000 --> 00:27:47.000]   And if anybody's interested, it's info@graveltruckplan.com.
[00:27:47.000 --> 00:27:49.000]   It's the way to get ahold of us.
[00:27:49.000 --> 00:27:51.000]   And it's one of those things, the way that I also pitch it.
[00:27:51.000 --> 00:27:58.000]   I'm like, "Look, it's cheaper than a Netflix subscription to know that your loved ones can get into all of your stuff after you pass away."
[00:27:58.000 --> 00:28:02.000]   And at any point, somebody could cancel it, keep all the documents for themselves.
[00:28:02.000 --> 00:28:04.000]   And just as long as they update them, they can do it.
[00:28:04.000 --> 00:28:09.000]   And I have a lot of people that say – tell me like, "Wow, that's awfully expensive for something I could do by myself."
[00:28:09.000 --> 00:28:12.000]   And I go, "Please do.
[00:28:12.000 --> 00:28:13.000]   Please do it by yourself.
[00:28:13.000 --> 00:28:15.000]   Please sit down and take some time.
[00:28:15.000 --> 00:28:21.000]   Do not hurt my feelings at all in any way, shape, or form because I just – my hope is that everybody does it."
[00:28:21.000 --> 00:28:27.000]   I've had some clients that have come to me with multiple millions of dollars of cryptocurrency.
[00:28:27.000 --> 00:28:30.000]   And they're just like, "We just can't get into this Excel document."
[00:28:30.000 --> 00:28:35.000]   And the person was pretty astute, had good passwords, and we weren't able to break in.
[00:28:35.000 --> 00:28:38.000]   But we just know that it's sitting there.
[00:28:38.000 --> 00:28:44.000]   And so if we could prevent anything like that, that's kind of our whole model of it.
[00:28:44.000 --> 00:28:52.000]   And then the way that it works as far as your cleanup crew is that if something happens to you, we have your cleanup crew's contact information.
[00:28:52.000 --> 00:28:58.000]   And we call them as well in that annual process just to say, "Hey, if anything happens to Joshua, give us a call.
[00:28:58.000 --> 00:29:00.000]   We'll call the other person designated.
[00:29:00.000 --> 00:29:03.000]   Make sure that this is all above board."
[00:29:03.000 --> 00:29:07.000]   And kind of go from there and basically carry out on your wishes.
[00:29:07.000 --> 00:29:13.000]   And one of the last things kind of too that we are kind of looking forward to is implementing something where it's like,
[00:29:13.000 --> 00:29:20.000]   "Hey, on the anniversary of say your death, your wedding anniversary after you're gone, you're going to have flowers or something delivered to your significant other."
[00:29:20.000 --> 00:29:24.000]   It's kind of like beyond the grave just for that first year.
[00:29:24.000 --> 00:29:26.000]   Anyways, enough of the infomercial.
[00:29:26.000 --> 00:29:28.000]   I absolutely love that podcast.
[00:29:28.000 --> 00:29:29.000]   Good.
[00:29:29.000 --> 00:29:31.000]   Let me comment briefly.
[00:29:31.000 --> 00:29:32.000]   But I love it.
[00:29:32.000 --> 00:29:34.000]   I think it's a great idea, great business, and a great service.
[00:29:34.000 --> 00:29:41.000]   And what you're offering is in some ways I brainstormed some solutions to some of this stuff.
[00:29:41.000 --> 00:29:51.000]   Because there's a balance between security and I'm not sure what word to use to contrast, but security and practicality.
[00:29:51.000 --> 00:29:55.000]   The more secure you make things, the better in terms of security.
[00:29:55.000 --> 00:29:57.000]   But then we're fallible.
[00:29:57.000 --> 00:30:05.000]   One of the most embarrassing things that's ever happened to me is I lost access to a couple of hard drives that I encrypted.
[00:30:05.000 --> 00:30:10.000]   And I was being hardcore on security.
[00:30:10.000 --> 00:30:19.000]   So I use all these very long format passwords that are randomly generated rather than anything that could be designed.
[00:30:19.000 --> 00:30:22.000]   And I commit them to memory using muscle memory.
[00:30:22.000 --> 00:30:25.000]   And so I use them many, many times.
[00:30:25.000 --> 00:30:30.000]   And so I set it all up, use these hard drives, and I didn't write down the password.
[00:30:30.000 --> 00:30:38.000]   Because, of course, I don't want to have a place that the CIA can come and open my home safe and open it up and find my 15-character random password.
[00:30:38.000 --> 00:30:40.000]   Things like that.
[00:30:40.000 --> 00:30:46.000]   So then I started traveling and I left the passwords with some of my private things in a different country.
[00:30:46.000 --> 00:30:50.000]   Came back and got them months, I don't know, it was a year or two later.
[00:30:50.000 --> 00:30:52.000]   And I had forgotten the password.
[00:30:52.000 --> 00:30:54.000]   And to this day I can't gain access to them.
[00:30:54.000 --> 00:30:56.000]   So thankfully there was nothing mission critical.
[00:30:56.000 --> 00:31:04.000]   But it's pretty galling to know exactly where you have something and you can't get into it because you encrypted everything too much and you didn't leave yourself a backdoor.
[00:31:04.000 --> 00:31:08.000]   So the whole concept of having a backdoor is really valuable.
[00:31:08.000 --> 00:31:18.000]   And when you do security consulting, I teach in the course that Gabriel Custodia and I teach on HackProof, HackProofCourse.com.
[00:31:18.000 --> 00:31:23.000]   One of the things that we talk about is the safety of not having paper documents.
[00:31:23.000 --> 00:31:30.000]   A standard vector of theft has always been the documents in your mailbox.
[00:31:30.000 --> 00:31:35.000]   It's easy for someone to walk out and pull out your social security check from your mailbox and steal it.
[00:31:35.000 --> 00:31:39.000]   It's easy for someone to get your info by just stealing stuff from your mailbox.
[00:31:39.000 --> 00:31:48.000]   And so today most prudent people don't receive documents like that in the mailbox because receiving those on the web is much easier.
[00:31:48.000 --> 00:31:51.000]   But what that means is we don't have the standard file folders full of stuff.
[00:31:51.000 --> 00:31:54.000]   We don't have the standard file folders full of bank records.
[00:31:54.000 --> 00:31:55.000]   And they could be created.
[00:31:55.000 --> 00:31:57.000]   Somebody could print them.
[00:31:57.000 --> 00:32:09.000]   And that would be a good thing because – well, the other aspect of identity theft, the most common form of identity theft is somebody is in your home, a trusted family member or a trusted friend.
[00:32:09.000 --> 00:32:10.000]   Someone is in your home.
[00:32:10.000 --> 00:32:17.000]   They rifle through your papers and they pull open your drawer marked "tax returns" and there is your social security number.
[00:32:17.000 --> 00:32:22.000]   And now they've got what they need to go and steal your identity and open accounts in your name, things like that.
[00:32:22.000 --> 00:32:24.000]   It's a pretty standard thing.
[00:32:24.000 --> 00:32:27.000]   And so you can protect against it by not having that stuff there.
[00:32:27.000 --> 00:32:30.000]   But then if you don't have that stuff there, then when you're dead, no one has your stuff.
[00:32:30.000 --> 00:32:39.000]   And so there's a real balancing act that is probably necessary to figure out exactly how and what to do it.
[00:32:39.000 --> 00:32:43.000]   But having another partner involved cuts out a lot of the risk.
[00:32:43.000 --> 00:32:46.000]   And so that certainly can be a great solution for many.
[00:32:46.000 --> 00:32:50.000]   So the website is GravelTruckPlan.com and Info@GravelTruckPlan.com.
[00:32:50.000 --> 00:32:56.000]   And just real quick, kind of speaking to what you said, the way that we approach the – we call it availability versus security.
[00:32:56.000 --> 00:33:00.000]   So like you said, you don't want to be completely available.
[00:33:00.000 --> 00:33:01.000]   Otherwise, then it's public.
[00:33:01.000 --> 00:33:05.000]   But you also don't want to be infinitely secure because then nobody can access it, including yourself.
[00:33:05.000 --> 00:33:08.000]   And so basically we have kind of like the locking key setup.
[00:33:08.000 --> 00:33:14.000]   So either you can give whoever your cleanup crew is a password, and then we hold an encrypted file or folder for them.
[00:33:14.000 --> 00:33:15.000]   So we can't touch it.
[00:33:15.000 --> 00:33:17.000]   They can't touch it because they don't have it.
[00:33:17.000 --> 00:33:20.000]   And then in the event that something happens, we combine the two together, right?
[00:33:20.000 --> 00:33:28.000]   So you do something along those lines to where – or you give somebody that encrypted flash drive already, and then we maintain the password.
[00:33:28.000 --> 00:33:32.000]   So there's that separation there that makes it so that they can't just open up your crypto wallet.
[00:33:32.000 --> 00:33:34.000]   They can't just do any of those things.
[00:33:34.000 --> 00:33:35.000]   Nor could we, right?
[00:33:35.000 --> 00:33:37.000]   We couldn't do any of those things because we don't have the password.
[00:33:37.000 --> 00:33:39.000]   We don't have the – or the flash drive, right?
[00:33:39.000 --> 00:33:42.000]   We would have one of those missing pieces of information.
[00:33:42.000 --> 00:33:45.000]   So it works out really, really well.
[00:33:45.000 --> 00:33:46.000]   Great.
[00:33:46.000 --> 00:33:47.000]   I'm glad you called in.
[00:33:47.000 --> 00:33:51.000]   Anything else or just – you want to tell us about – say thank you and tell us about that?
[00:33:51.000 --> 00:34:00.000]   Just thank you for the podcast because if just, I don't know, 1% listened to you about that, it could save their families tons of heartache.
[00:34:00.000 --> 00:34:01.000]   I've seen it a bunch.
[00:34:01.000 --> 00:34:02.000]   So I just thought it was great.
[00:34:02.000 --> 00:34:03.000]   Thank you.
[00:34:03.000 --> 00:34:05.000]   Thank you for calling in and for telling us about your business.
[00:34:05.000 --> 00:34:15.000]   You can get more info at GravelTruckPlan.com for anybody who's interested in more details, and I hope that the business continues to be – or I hope that the business is extremely successful.
[00:34:15.000 --> 00:34:16.000]   Adam in Washington, welcome to the show.
[00:34:16.000 --> 00:34:18.000]   How can I serve you today, sir?
[00:34:18.000 --> 00:34:19.000]   Hey, Joshua.
[00:34:19.000 --> 00:34:21.000]   I had a question for you.
[00:34:21.000 --> 00:34:34.000]   I've seen more and more mainstream news sources start to get concerned about microplastics and different chemicals like forever chemicals, these different categories of chemicals that we're getting exposed to it more and more.
[00:34:34.000 --> 00:34:42.000]   I'm curious – and so I've seen these concerns, but never with those have been any sort of action plans on how you could potentially reduce your exposure to these things.
[00:34:42.000 --> 00:34:52.000]   So I'm curious if you share sort of this growing concern around some of these chemicals and if you've kind of thought at all about how to reduce exposure to these sorts of things in a meaningful way.
[00:34:52.000 --> 00:34:53.000]   I do.
[00:34:53.000 --> 00:35:03.000]   I'm not particularly knowledgeable, so I'll tell you my very cursory knowledge and kind of what I do and then refer you to other people for more detail.
[00:35:03.000 --> 00:35:17.000]   First, the health risks, the long-term health risks of microplastics and other endocrine – potential endocrine disruptors, to me that seems persuasive.
[00:35:17.000 --> 00:35:18.000]   I'm not a doctor.
[00:35:18.000 --> 00:35:22.000]   I don't know how to properly vet medical stuff, but it seems persuasive.
[00:35:22.000 --> 00:35:37.000]   Something is dramatically wrong and we are obviously – as a human species, we are basically falling apart and our functions, our bodies are just not working in many ways.
[00:35:37.000 --> 00:35:42.000]   One of the biggest long-term things is our ability to reproduce.
[00:35:42.000 --> 00:35:54.000]   If we continue on our current trajectory, huge swathes of our population will be sterile within a few decades, just completely sterile.
[00:35:54.000 --> 00:36:03.000]   I can't cite off the top of my head some of the data I've read, but I've read shocking predictions of where things could be by 2060.
[00:36:03.000 --> 00:36:07.000]   I don't know, as with anything, predictions are predictions.
[00:36:07.000 --> 00:36:14.000]   It's hard to make predictions, especially about the future, but the point remains that these are significant concerns.
[00:36:14.000 --> 00:36:20.000]   We can trace them in the body's chemicals in addition to other things, and they may have all kinds of factors.
[00:36:20.000 --> 00:36:40.000]   One of the things that I find fascinating about anything health-related is that so many people assume that the body is like a machine where there's a clear connection between this thing, causal A, factor B, and result C.
[00:36:40.000 --> 00:36:49.000]   If we just fix cause A or just fix factor B, then result C is guaranteed, but I don't think the body works that way.
[00:36:49.000 --> 00:37:06.000]   It's an organism, and it can respond various ways, which is why, in so much research, you can have two people who are given a substance, and the substance can cause no reaction whatsoever in person A and an enormously catastrophic reaction in person B.
[00:37:06.000 --> 00:37:09.000]   You say, "Well, we can fix that with large numbers."
[00:37:09.000 --> 00:37:10.000]   Well, maybe.
[00:37:10.000 --> 00:37:25.000]   I would say, of course, large studies and things like that are obviously integral to our understanding of how things work, but to think that there's not individual factors that don't play a role is important.
[00:37:25.000 --> 00:37:32.000]   I have to protect myself with anything that seems doable, and there's always this balance between doable and effective.
[00:37:32.000 --> 00:37:34.000]   To cut to the point, what do I do?
[00:37:34.000 --> 00:37:35.000]   Well, I don't live in the middle of the city.
[00:37:35.000 --> 00:37:37.000]   I don't live by a highway.
[00:37:37.000 --> 00:37:47.000]   There's all kinds of toxins that are released by highways, things like that, everything coming out of the car's tailpipes, coming off the rubber tires.
[00:37:47.000 --> 00:37:50.000]   Highways are enormously polluting, so I don't live near a highway.
[00:37:50.000 --> 00:37:55.000]   I try to live in a place where I get fresh air and have good quality air.
[00:37:55.000 --> 00:37:57.000]   That's fundamental.
[00:37:57.000 --> 00:38:06.000]   Living in a place where you're breathing in smog and bad air is utterly destructive, and so I live in a place with beautiful, clean, fresh air, which is a wonderful thing to have.
[00:38:06.000 --> 00:38:12.000]   Number two, with regard to food, I try my best to get high-quality sources of food.
[00:38:12.000 --> 00:38:22.000]   I purchase most of my food direct from farmers, and I'm a big fan of that from a—what's the word?
[00:38:22.000 --> 00:38:26.000]   Not political, not ideological, but just from a practical standpoint.
[00:38:26.000 --> 00:38:36.000]   Years ago, when I started reading Joel Salatin's books, he convinced me that one of the most impactful things that we could do to increase the quality of food would just be to buy direct from farmers.
[00:38:36.000 --> 00:38:40.000]   So I try to buy as much food as possible direct from farmers.
[00:38:40.000 --> 00:38:46.000]   I try to avoid—this is not directly to microplastics necessarily, but I try to avoid industrial food.
[00:38:46.000 --> 00:38:50.000]   I'm not a hardcore about it.
[00:38:50.000 --> 00:38:52.000]   I try to be flexible.
[00:38:52.000 --> 00:38:54.000]   We eat fast food on occasion.
[00:38:54.000 --> 00:38:56.000]   I kind of think of it as like an 80/20.
[00:38:56.000 --> 00:39:04.000]   If you can get it 80% right, that's probably good enough, and the ease of going to 80% clean is pretty easy.
[00:39:04.000 --> 00:39:08.000]   The ease of going to 100% clean is massively impossible.
[00:39:08.000 --> 00:39:12.000]   So I just try to get to 80% and hope that that is enough to move the needle.
[00:39:12.000 --> 00:39:16.000]   And so the good-quality food sources are important.
[00:39:16.000 --> 00:39:18.000]   Try to filter all the water.
[00:39:18.000 --> 00:39:24.000]   I think there are many great water filtration systems, and some of them are simple.
[00:39:24.000 --> 00:39:28.000]   So filtering water, especially filtering all the tap water, because I don't know what's in the pipes.
[00:39:28.000 --> 00:39:30.000]   I don't know what's in there.
[00:39:30.000 --> 00:39:32.000]   I think filtering your water is a really impactful thing.
[00:39:32.000 --> 00:39:38.000]   We don't use any plastic and try not to drink from any plastic.
[00:39:38.000 --> 00:39:47.000]   My wife caught me the other day drinking from a bottle of water, and she playfully slapped it out of my hands and said, "You can't do that."
[00:39:47.000 --> 00:39:51.000]   And the point is just to avoid plastic.
[00:39:51.000 --> 00:40:01.000]   So we eat on all of our -- we have children, so we use stainless steel cups, things like that, to try to avoid plastic cups or glass, glass or stainless steel.
[00:40:01.000 --> 00:40:04.000]   Obviously, we avoid plastic plates, plastic bowls.
[00:40:04.000 --> 00:40:07.000]   One of the key things with plastic seems to be if they get hot.
[00:40:07.000 --> 00:40:11.000]   That seems like a really impactful thing.
[00:40:11.000 --> 00:40:14.000]   So we don't use plastic water bottles.
[00:40:14.000 --> 00:40:16.000]   We use stainless steel water bottles.
[00:40:16.000 --> 00:40:20.000]   I avoid -- we don't even have any plastic storage containers.
[00:40:20.000 --> 00:40:22.000]   I use all glass storage containers.
[00:40:22.000 --> 00:40:25.000]   By the way, quick pro tip or something that I have found really useful.
[00:40:25.000 --> 00:40:26.000]   We're Raiders.
[00:40:26.000 --> 00:40:27.000]   We're neighbors.
[00:40:27.000 --> 00:40:28.000]   We're trailblazers.
[00:40:28.000 --> 00:40:30.000]   We're at the top of our game.
[00:40:30.000 --> 00:40:32.000]   And we're more than the strip.
[00:40:32.000 --> 00:40:34.000]   We're beyond your wildest expectations.
[00:40:34.000 --> 00:40:36.000]   We're headfirst into the currents of change.
[00:40:36.000 --> 00:40:37.000]   We love a good challenge.
[00:40:37.000 --> 00:40:43.000]   A better cost of living and an incredible retirement plan as a teacher in Las Vegas for the Clark County School District.
[00:40:43.000 --> 00:40:45.000]   We are Vegas.
[00:40:45.000 --> 00:40:47.000]   We are CCSD.
[00:40:47.000 --> 00:40:50.000]   Start your adventure at teach.ccsd.net.
[00:40:50.000 --> 00:40:52.000]   We are CCSD.
[00:40:52.000 --> 00:40:56.000]   Start your adventure at teach.ccsd.net.
[00:40:56.000 --> 00:41:00.000]   I grew up in a family and you grow up and you see how your mom does stuff
[00:41:00.000 --> 00:41:02.000]   and some things you take and some things you don't take.
[00:41:02.000 --> 00:41:05.000]   My mom always would buy sets of containers.
[00:41:05.000 --> 00:41:07.000]   And so you have the sets of containers that you get.
[00:41:07.000 --> 00:41:11.000]   There's a couple little small ones and big ones and square ones.
[00:41:11.000 --> 00:41:12.000]   It drove me nuts.
[00:41:12.000 --> 00:41:18.000]   So what I do is I buy about 20 big square glass containers.
[00:41:18.000 --> 00:41:20.000]   Not enormous but like big square.
[00:41:20.000 --> 00:41:22.000]   And I don't have any big ones, any huge ones, and no small ones.
[00:41:22.000 --> 00:41:24.000]   And it makes it so easy to do.
[00:41:24.000 --> 00:41:28.000]   And sometimes you just put a spoonful of something in your big square container.
[00:41:28.000 --> 00:41:31.000]   But it works really well in the refrigerator.
[00:41:31.000 --> 00:41:34.000]   It works really phenomenally for storage.
[00:41:34.000 --> 00:41:39.000]   And it makes it just everything is better without having all the variety of containers.
[00:41:39.000 --> 00:41:41.000]   And you're always looking for the right size container.
[00:41:41.000 --> 00:41:45.000]   I guess the other component of that is that I have a commercial refrigerator that I bought
[00:41:45.000 --> 00:41:47.000]   instead of a residential refrigerator.
[00:41:47.000 --> 00:41:51.000]   And with a big family, that's also been wonderful because you always have tons of space.
[00:41:51.000 --> 00:41:54.000]   You just got a big giant square box to stick your stuff into.
[00:41:54.000 --> 00:41:56.000]   And that helps as well.
[00:41:56.000 --> 00:41:59.000]   So I don't use anything plastic to eat or to eat with.
[00:41:59.000 --> 00:42:01.000]   I don't have a microwave.
[00:42:01.000 --> 00:42:04.000]   But if I did have a microwave, I wouldn't microwave anything in plastic.
[00:42:04.000 --> 00:42:06.000]   And what else?
[00:42:06.000 --> 00:42:11.000]   We try to avoid all the scents, sorry, the smelly stuff.
[00:42:11.000 --> 00:42:12.000]   I don't think this is microplastics.
[00:42:12.000 --> 00:42:15.000]   I just think that the smelly stuff is probably not good for you.
[00:42:15.000 --> 00:42:19.000]   So we clean with vinegar and I don't know what else.
[00:42:19.000 --> 00:42:22.000]   But clean with water and vinegar and alcohol.
[00:42:22.000 --> 00:42:27.000]   And just don't buy any of the cleaners and don't buy anything with scent stuff.
[00:42:27.000 --> 00:42:29.000]   We don't buy laundry soap that has scent stuff in it.
[00:42:29.000 --> 00:42:30.000]   My wife makes soap.
[00:42:30.000 --> 00:42:32.000]   She makes it because she likes it.
[00:42:32.000 --> 00:42:34.000]   It's just something fun that she enjoys doing.
[00:42:34.000 --> 00:42:38.000]   But the benefit is you get soap without all the junk in it.
[00:42:38.000 --> 00:42:40.000]   And that's about it.
[00:42:40.000 --> 00:42:44.000]   I stopped wearing all of the deodorant with junk for a long time I did.
[00:42:44.000 --> 00:42:46.000]   I switched to a crystal deodorant.
[00:42:46.000 --> 00:42:49.000]   I don't know if that's better or not, but I figure it can't hurt.
[00:42:49.000 --> 00:42:53.000]   When you look at what's in the deodorant, that stuff can't be good for you.
[00:42:53.000 --> 00:42:56.000]   Your skin is the most absorbing thing possible.
[00:42:56.000 --> 00:43:00.000]   And so just slathering on antiperspirant and all that chemicals,
