
[00:00:00.040 --> 00:00:10.720]   fight
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
[00:22:52.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.080 --> 00:23:22.080]   HSAs are the people who are in charge of the HSAs.
[00:23:22.100 --> 00:23:52.100]  ,
[00:23:52.100 --> 00:23:52.100]   HSAs are the people who are in charge of the HSAs.
[00:23:52.100 --> 00:23:52.100]   HSAs are the people who are in charge of the HSAs.
[00:23:52.100 --> 00:23:52.100]   HSAs are the people who are in charge of the HSAs.
[00:23:52.100 --> 00:23:52.100]   HSAs are the people who are in charge of the HSAs.
[00:23:52.100 --> 00:23:52.100]   HSAs are the people who are in charge of the HSAs.
[00:23:52.100 --> 00:23:52.100]   HSAs are the people who are in charge of the HSAs.
[00:23:52.100 --> 00:23:52.100]   HSAs are the people who are in charge of the HSAs.
[00:23:52.100 --> 00:23:52.100]   HSAs are the people who are in charge of the HSAs.
[00:23:52.100 --> 00:23:52.100]   HSAs are the people who are in charge of the HSAs who are in charge of the HSAs.
[00:23:52.100 --> 00:24:22.120]  ,
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.120 --> 00:24:22.120]   HSAs are the people who are in charge of the HSAs.
[00:24:22.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:24:52.140]   HSAs are the people who are in charge of the HSAs.
[00:24:52.140 --> 00:25:22.160]  ,
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.160 --> 00:25:22.160]   HSAs are the people who are in charge of the HSAs.
[00:25:22.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:25:52.180]   HSAs are the people who are in charge of the HSAs.
[00:25:52.180 --> 00:26:22.200]  ,
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.200 --> 00:26:22.200]   HSAs are the people who are in charge of the HSAs.
[00:26:22.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:26:52.220]   HSAs are the people who are in charge of the HSAs.
[00:26:52.220 --> 00:27:22.240]  ,
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.240 --> 00:27:22.240]   HSAs are the people who are in charge of the HSAs.
[00:27:22.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:27:52.260]   HSAs are the people who are in charge of the HSAs.
[00:27:52.260 --> 00:28:22.280]  ,
[00:28:22.280 --> 00:28:22.280]   If the shoe fits, if you have those, you know, private school tuition for K-12, planned for yourself and/or if you are contributing money for college expenses and you plan to pay for retail prices for college, etc., 529 account is a very attractive tool given the creditor protection. Now, if only in the future we can get it to switch and also cover homeschool expenses, I will become a much less grudging fan of 529 account.
[00:28:22.280 --> 00:28:22.280]   If the shoe fits, if you have those, you know, private school tuition for K-12, planned for yourself and/or if you are contributing money for college expenses and you plan to pay for retail prices for college, etc., 529 account is a very attractive tool given the creditor protection. Now, if only in the future we can get it to switch and also cover homeschool expenses, I will become a much less grudging fan of 529 account.
[00:28:22.300 --> 00:28:52.300]   If the shoe fits, if you are in charge of the HSAs, if you are in charge of the HSAs, if you are in charge of the HSAs, if you are in charge of the HSAs, if you are in charge of the HSAs, if you are in charge of the HSAs, if you are in charge of the HSAs, if you are in charge of the HSAs, if you are in charge of the HSAs,
[00:28:52.300 --> 00:28:52.300]   HSAs are the people who are in charge of the HSAs, if only in the future we can get it to switch and also cover homeschool expenses.
[00:28:52.300 --> 00:28:52.300]   The only problem, of course, is your contribution limits to a Coverdell educational savings account are much, much smaller.
[00:28:52.300 --> 00:28:52.300]   You can only contribute $2,000 per beneficiary per year.
[00:28:52.340 --> 00:29:22.320]  ,
[00:29:22.320 --> 00:29:22.320]   and you are actively investing in the HSAs.
[00:29:22.320 --> 00:29:22.320]   If you are a hands-on investor and you are actively investing in the HSAs,
[00:29:22.320 --> 00:29:22.320]   and you are actively investing in the HSAs,
[00:29:22.320 --> 00:29:22.320]   and you are actively investing in the HSAs,
[00:29:22.320 --> 00:29:22.320]   and you are actively investing in the HSAs,
[00:29:22.320 --> 00:29:22.320]   and you are actively investing in the HSAs,
[00:29:22.320 --> 00:29:22.320]   and you are actively investing in the HSAs,
[00:29:22.320 --> 00:29:22.320]   and you are actively investing in the HSAs,
[00:29:22.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.340 --> 00:29:52.340]   and you are actively investing in the HSAs,
[00:29:52.480 --> 00:30:22.360]   and you are actively investing in the HSAs,
[00:30:22.360 --> 00:30:22.360]   and you are actively investing in the HSAs,
[00:30:22.360 --> 00:30:22.360]   and you are actively investing in the HSAs,
[00:30:22.360 --> 00:30:22.360]   and you are actively investing in the HSAs,
[00:30:22.360 --> 00:30:22.360]   and you are actively investing in the HSAs,
[00:30:22.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:30:52.380]   and you are actively investing in the HSAs,
[00:30:52.380 --> 00:31:22.400]   and you are actively investing in the HSAs,
[00:31:22.400 --> 00:31:22.400]   and you are actively investing in the HSAs,
[00:31:22.400 --> 00:31:22.400]   and you are actively investing in the HSAs,
[00:31:22.400 --> 00:31:22.400]   and you are actively investing in the HSAs,
[00:31:22.400 --> 00:31:22.400]   and you are actively investing in the HSAs,
[00:31:22.400 --> 00:31:22.400]   and you are actively investing in the HSAs,
[00:31:22.400 --> 00:31:22.400]   and you are actively investing in the HSAs,
[00:31:22.400 --> 00:31:22.400]   and you are actively investing in the HSAs,
[00:31:22.440 --> 00:31:52.420]  .
[00:31:52.420 --> 00:31:52.420]   That is the extent of the discussion I want to make today on health and education account exemption planning.
[00:31:52.420 --> 00:31:52.420]   Most people don't think about these accounts from the perspective of their health and education account exemption planning.
[00:31:52.420 --> 00:31:52.420]   Most people don't think about these accounts from the perspective of their health and education account exemption planning.
[00:31:52.420 --> 00:31:52.420]   Most people don't think about these accounts from the perspective of their health and education account exemption planning.
[00:31:52.420 --> 00:31:52.420]   Most people don't think about these accounts from the perspective of their health and education account exemption planning.
[00:31:52.420 --> 00:31:52.420]   Most people don't think about these accounts from the perspective of their health and education account exemption planning.
[00:31:52.420 --> 00:31:52.420]   Most people don't think about these accounts from the perspective of their health and education account exemption planning.
[00:31:52.420 --> 00:31:52.420]   Most people don't think about these accounts from the perspective of their health and education account exemption planning.
[00:31:52.420 --> 00:31:52.420]   Most people don't think about these accounts from the perspective of their health and education account exemption planning.
[00:31:52.460 --> 00:32:22.440]  ,
[00:32:22.440 --> 00:32:22.440]   S
[00:32:22.440 --> 00:32:22.440]   S
[00:32:22.440 --> 00:32:22.440]   S
[00:32:22.440 --> 00:32:22.440]   S
[00:32:22.440 --> 00:32:22.440]   S
[00:32:22.440 --> 00:32:22.440]   S
[00:32:22.440 --> 00:32:44.480]   S
[00:32:44.520 --> 00:32:51.940]   like
[00:32:51.940 --> 00:33:08.460]   Gra L S a spite for here
[00:33:11.980 --> 00:33:23.980]  �.s the next one in this series is scheduled to be personal property exemptions. So stay tuned for that when we come back to this series very soon.

