
[00:00:00.040 --> 00:00:06.980]   Mmmm think but
[00:24:39.620 --> 00:24:39.620]   The cash that you're going to be spending on the rental portfolio.
[00:24:39.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.640 --> 00:25:09.640]   The cash that you're going to be spending on the rental portfolio.
[00:25:09.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.660 --> 00:25:39.660]   The cash that you're going to be spending on the rental portfolio.
[00:25:39.700 --> 00:26:09.680]  ,
[00:26:09.680 --> 00:26:09.680]   I'm just not sure where to direct my energy and my money.
[00:26:09.680 --> 00:26:09.680]   I have a lot of interests, various different interests.
[00:26:09.680 --> 00:26:09.680]   I'm just not sure where to direct my energy and my money.
[00:26:09.680 --> 00:26:09.680]   I have a lot of interests, various different interests.
[00:26:09.680 --> 00:26:09.680]   I'm just not sure where to direct my energy and my money.
[00:26:09.680 --> 00:26:09.680]   I have a lot of interests, various different interests.
[00:26:09.680 --> 00:26:09.680]   I'm just not sure where to direct my energy and my money.
[00:26:09.680 --> 00:26:09.680]   I'm just not sure where to direct my energy and my money.
[00:26:09.680 --> 00:26:09.680]   I have a lot of interests, various different interests.
[00:26:09.680 --> 00:26:09.680]   I'm just not sure where to direct my energy and my money.
[00:26:09.680 --> 00:26:09.680]   I'm just not sure where to direct my energy and my money.
[00:26:09.700 --> 00:26:39.700]   I'm just not sure where to direct my energy and my money.
[00:26:39.700 --> 00:26:39.700]   I'm just not sure where to direct my energy and my money.
[00:26:39.700 --> 00:26:39.700]   I'm just not sure where to direct my energy and my money.
[00:26:39.700 --> 00:26:39.700]   I'm just not sure where to direct my energy and my money.
[00:26:39.700 --> 00:26:39.700]   It's a big question.
[00:26:39.700 --> 00:26:39.700]   It's a big question.
[00:26:39.700 --> 00:26:39.700]   It's a huge question.
[00:26:39.700 --> 00:26:39.700]   It's a huge question.
[00:26:39.700 --> 00:26:39.700]   It's a normal question.
[00:26:39.700 --> 00:26:39.700]   Most people don't have the question that you're asking.
[00:26:39.700 --> 00:26:39.700]   Because if you
[00:26:39.700 --> 00:26:39.700]   Because if you
[00:26:39.700 --> 00:26:39.700]   If you
[00:26:39.700 --> 00:26:39.700]   If you're not sure what you're asking about the rental portfolio,
[00:26:39.700 --> 00:26:39.700]   If you're not sure what you're asking about the rental portfolio,
[00:26:39.700 --> 00:26:39.700]   If you're not sure what you're asking about the rental portfolio,
[00:26:39.700 --> 00:26:39.700]   If you're not sure what you're asking about the rental portfolio,
[00:26:39.700 --> 00:26:39.700]   If you're not sure what you're asking about the rental portfolio,
[00:26:39.740 --> 00:27:09.720]   I'm not sure what you're asking about the rental portfolio,
[00:27:09.720 --> 00:27:09.720]   If you're not sure what you're asking about the rental portfolio,
[00:27:09.720 --> 00:27:09.720]   If you're not sure what you're asking about the rental portfolio,
[00:27:09.720 --> 00:27:09.720]   If you're not sure what you're asking about the rental portfolio,
[00:27:09.720 --> 00:27:09.720]   If you're not sure what you're asking about the rental portfolio,
[00:27:09.720 --> 00:27:09.720]   If you're not sure what you're asking about the rental portfolio,
[00:27:09.720 --> 00:27:09.720]   If you're not sure what you're asking about the rental portfolio,
[00:27:09.720 --> 00:27:09.720]   If you're not sure what you're asking about the rental portfolio,
[00:27:09.720 --> 00:27:09.720]   If you're not sure what you're asking about the rental portfolio,
[00:27:09.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:27:39.740]   I'm not sure what you're asking about the rental portfolio,
[00:27:39.740 --> 00:28:09.760]   I'm not sure what you're asking about the rental portfolio,
[00:28:09.760 --> 00:28:09.760]   I'm not sure what you're asking about the rental portfolio,
[00:28:09.760 --> 00:28:09.760]   I'm not sure what you're asking about the rental portfolio,
[00:28:09.760 --> 00:28:09.760]   I'm not sure what you're asking about the rental portfolio,
[00:28:09.760 --> 00:28:09.760]   I'm not sure what you're asking about the rental portfolio,
[00:28:09.760 --> 00:28:09.760]   I'm not sure what you're asking about the rental portfolio,
[00:28:09.760 --> 00:28:09.760]   I'm not sure what you're asking about the rental portfolio,
[00:28:09.760 --> 00:28:09.760]   I'm not sure what you're asking about the rental portfolio,
[00:28:09.760 --> 00:28:09.760]   I'm not sure what you're asking about the rental portfolio,
[00:28:09.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:28:39.780]   I'm not sure what you're asking about the rental portfolio,
[00:28:39.780 --> 00:29:09.800]  ,
[00:29:09.800 --> 00:29:09.800]   I'm not sure what you're asking about the rental portfolio,
[00:29:09.800 --> 00:29:09.800]   I'm not sure what you're asking about the rental portfolio,
[00:29:09.800 --> 00:29:09.800]   I'm not sure what you're asking about the rental portfolio,
[00:29:09.800 --> 00:29:09.800]   I'm not sure what you're asking about the rental portfolio,
[00:29:09.800 --> 00:29:09.800]   I'm not sure what you're asking about the rental portfolio,
[00:29:09.800 --> 00:29:09.800]   I'm not sure what you're asking about the rental portfolio,
[00:29:09.800 --> 00:29:09.800]   I'm not sure what you're asking about the rental portfolio,
[00:29:09.800 --> 00:29:09.800]   I'm not sure what you're asking about the rental portfolio,
[00:29:09.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:29:39.820]   I'm not sure what you're asking about the rental portfolio,
[00:29:39.820 --> 00:30:09.840]   I'm not sure what you're asking about the rental portfolio,
[00:30:09.840 --> 00:30:09.840]   I'm not sure what you're asking about the rental portfolio,
[00:30:09.840 --> 00:30:09.840]   I'm not sure what you're asking about the rental portfolio,
[00:30:09.840 --> 00:30:09.840]   I'm not sure what you're asking about the rental portfolio,
[00:30:09.840 --> 00:30:09.840]   I'm not sure what you're asking about the rental portfolio,
[00:30:09.840 --> 00:30:09.840]   I'm not sure what you're asking about the rental portfolio,
[00:30:09.840 --> 00:30:09.840]   I'm not sure what you're asking about the rental portfolio,
[00:30:09.840 --> 00:30:09.840]   I'm not sure what you're asking about the rental portfolio,
[00:30:09.840 --> 00:30:09.840]   I'm not sure what you're asking about the rental portfolio,
[00:30:09.840 --> 00:30:09.840]   I'm not sure what you're asking about the rental portfolio,
[00:30:09.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:30:39.860]   I'm not sure what you're asking about the rental portfolio,
[00:30:39.860 --> 00:31:09.880]   I'm not sure what you're asking about the rental portfolio,
[00:31:09.880 --> 00:31:09.880]   I'm not sure what you're asking about the rental portfolio,
[00:31:09.880 --> 00:31:09.880]   I'm not sure what you're asking about the rental portfolio,
[00:31:09.880 --> 00:31:09.880]   I'm not sure what you're asking about the rental portfolio,
[00:31:09.880 --> 00:31:09.880]   I'm not sure what you're asking about the rental portfolio,
[00:31:09.880 --> 00:31:09.880]   I'm not sure what you're asking about the rental portfolio,
[00:31:09.880 --> 00:31:09.880]   I'm not sure what you're asking about the rental portfolio,
[00:31:09.880 --> 00:31:09.880]   I'm not sure what you're asking about the rental portfolio,
[00:31:09.880 --> 00:31:09.880]   I'm not sure what you're asking about the rental portfolio,
[00:31:09.880 --> 00:31:09.880]   I'm not sure what you're asking about the rental portfolio,
[00:31:09.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:31:39.900]   I'm not sure what you're asking about the rental portfolio,
[00:31:39.900 --> 00:32:09.920]  ,
[00:32:09.920 --> 00:32:09.920]   I'm not sure what you're asking about the rental portfolio,
[00:32:09.920 --> 00:32:09.920]   I'm not sure what you're asking about the rental portfolio,
[00:32:09.920 --> 00:32:09.920]   I'm not sure what you're asking about the rental portfolio,
[00:32:09.920 --> 00:32:09.920]   I'm not sure what you're asking about the rental portfolio,
[00:32:09.920 --> 00:32:09.920]   I'm not sure what you're asking about the rental portfolio,
[00:32:09.920 --> 00:32:09.920]   I'm not sure what you're asking about the rental portfolio,
[00:32:09.920 --> 00:32:09.920]   I'm not sure what you're asking about the rental portfolio,
[00:32:09.920 --> 00:32:09.920]   I'm not sure what you're asking about the rental portfolio,
[00:32:09.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:32:39.940]   I'm not sure what you're asking about the rental portfolio,
[00:32:39.940 --> 00:33:09.960]  ,
[00:33:09.960 --> 00:33:09.960]   I'm not sure what you're asking about the rental portfolio,
[00:33:09.960 --> 00:33:09.960]   I'm not sure what you're asking about the rental portfolio,
[00:33:09.960 --> 00:33:09.960]   I'm not sure what you're asking about the rental portfolio,
[00:33:09.960 --> 00:33:09.960]   I'm not sure what you're asking about the rental portfolio,
[00:33:09.960 --> 00:33:09.960]   I'm not sure what you're asking about the rental portfolio,
[00:33:09.960 --> 00:33:09.960]   I'm not sure what you're asking about the rental portfolio,
[00:33:09.960 --> 00:33:09.960]   I'm not sure what you're asking about the rental portfolio,
[00:33:09.960 --> 00:33:09.960]   I'm not sure what you're asking about the rental portfolio,
[00:33:09.960 --> 00:33:09.960]   I'm not sure what you're asking about the rental portfolio,
[00:33:09.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:39.980 --> 00:33:39.980]   I'm not sure what you're asking about the rental portfolio,
[00:33:40.020 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.000 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.000 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.000 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.000 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.000 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.000 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.000 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.000 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.000 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.000 --> 00:34:10.000]   I'm not sure what you're asking about the rental portfolio,
[00:34:10.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:34:40.020]   I'm not sure what you're asking about the rental portfolio,
[00:34:40.020 --> 00:35:10.040]   I'm not sure what you're asking about the rental portfolio,
[00:35:10.040 --> 00:35:10.040]   I'm not sure what you're asking about the rental portfolio,
[00:35:10.040 --> 00:35:10.040]   I'm not sure what you're asking about the rental portfolio,
[00:35:10.040 --> 00:35:10.040]   I'm not sure what you're asking about the rental portfolio,
[00:35:10.040 --> 00:35:10.040]   I'm not sure what you're asking about the rental portfolio,
[00:35:10.040 --> 00:35:10.040]   I'm not sure what you're asking about the rental portfolio,
[00:35:10.040 --> 00:35:10.040]   I'm not sure what you're asking about the rental portfolio,
[00:35:10.040 --> 00:35:10.040]   I'm not sure what you're asking about the rental portfolio,
[00:35:10.040 --> 00:35:10.040]   I'm not sure what you're asking about the rental portfolio,
[00:35:10.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:35:40.060]   I'm not sure what you're asking about the rental portfolio,
[00:35:40.060 --> 00:36:10.080]   I'm not sure what you're asking about the rental portfolio,
[00:36:10.080 --> 00:36:10.080]   I'm not sure what you're asking about the rental portfolio,
[00:36:10.080 --> 00:36:10.080]   I'm not sure what you're asking about the rental portfolio,
[00:36:10.080 --> 00:36:10.080]   I'm not sure what you're asking about the rental portfolio,
[00:36:10.080 --> 00:36:10.080]   I'm not sure what you're asking about the rental portfolio,
[00:36:10.080 --> 00:36:10.080]   I'm not sure what you're asking about the rental portfolio,
[00:36:10.080 --> 00:36:10.080]   I'm not sure what you're asking about the rental portfolio,
[00:36:10.080 --> 00:36:10.080]   I'm not sure what you're asking about the rental portfolio,
[00:36:10.100 --> 00:36:40.100]   The rental portfolio is a very independent business.
[00:36:40.100 --> 00:36:40.100]   It's a very independent business.
[00:36:40.100 --> 00:36:40.100]   I don't have to work with a lot of people.
[00:36:40.100 --> 00:36:40.100]   I don't have to do a lot of employees,
[00:36:40.100 --> 00:36:40.100]   But the earning potential is very good.
[00:36:40.100 --> 00:36:40.100]   When I heard her describe that, I instantly put that on my list.
[00:36:40.100 --> 00:36:40.100]   Now the reason I put it on my list is because I would be able to do a job like that
[00:36:40.100 --> 00:36:40.100]   without being committed 60 hours a week.
[00:36:40.100 --> 00:36:40.100]   It would be enough to pay my bills to live on,
[00:36:40.100 --> 00:36:40.100]   while I then devoted all of the rest of my time to working on a business idea, developing an investment idea, or what is my bent
[00:36:40.100 --> 00:36:40.100]   or what is my bent
[00:36:40.100 --> 00:36:40.100]   to live on while I then devoted all of the rest of my time to working on a business idea, developing an investment idea,
[00:36:40.100 --> 00:36:40.100]   or what is my bent
[00:36:40.100 --> 00:36:40.100]   or what is my bent
[00:36:40.100 --> 00:36:40.100]   to live on what is my bent
[00:36:40.140 --> 00:36:50.080]   le
[00:36:50.080 --> 00:36:51.160]   Ver I form something
[00:36:51.160 --> 00:37:08.640]   ed, and, wh,,,,,,,,,, .� outsideammed giawho blessed Porter Par―B S EL S E S H S E S 3 S C S I's theDC AND S� verses Estadoilon
[00:37:08.640 --> 00:37:09.040]   - . I's. I Wo' just. I el. I.sych. and, and, and, and, and, and, and, and, and, so, e,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Xhmm your con 발 de didne,d. b
[00:37:09.080 --> 00:37:29.420]   the
[00:38:08.240 --> 00:38:08.660]   and and and and and and and and and and and and and and and and and and and
[00:38:38.720 --> 00:38:48.620]  ,
[00:40:30.800 --> 00:40:41.020]  ww likeWelcome
[00:40:41.020 --> 00:40:59.100]   think nearеч 1919ат, and, and, and, and, and, b, er., ondaו,�,게요;� "...��.�.angled.�. con/
[00:40:59.100 --> 00:41:00.780]   .-
[00:41:00.820 --> 00:41:10.640]   Jiang
[00:41:10.640 --> 00:41:29.720]  も portionsil,,,,,, Voilà C benefici her be here near around it is a one of the económ Boypar 12ÑTthrough layout de discuss a conduct a provide a bad thing that made the menってる the subscribe the taught the tiger, the分 the 부 glad the mon't the
[00:41:58.660 --> 00:41:58.660]   The.
[00:41:58.660 --> 00:41:58.660]   Well, I hope you enjoyed that.
[00:41:58.660 --> 00:41:58.660]   Well, I hope you enjoyed that.
[00:41:58.660 --> 00:41:58.660]   Well, I hope you enjoyed that.
[00:41:58.660 --> 00:41:58.660]   Well, I hope you enjoyed that.
[00:41:58.660 --> 00:41:58.720]   Well, I hope you enjoyed that.
[00:41:58.720 --> 00:41:58.800]   Well, I hope you enjoyed that.
[00:41:58.800 --> 00:41:58.840]   I hope you enjoyed that.
[00:41:58.840 --> 00:41:58.880]   I hope you enjoyed that.
[00:41:58.880 --> 00:41:58.920]   I hope you enjoyed that.
[00:41:58.920 --> 00:41:59.000]   I hope you enjoyed that.
[00:41:59.000 --> 00:41:59.080]   I hope you enjoyed that.
[00:41:59.080 --> 00:41:59.160]   I hope you enjoyed that.
[00:41:59.160 --> 00:41:59.240]   I hope you enjoyed that.
[00:41:59.240 --> 00:41:59.320]   I hope you enjoyed that.
[00:41:59.320 --> 00:41:59.400]   I hope you enjoyed that.
[00:41:59.400 --> 00:41:59.480]   I hope you enjoyed that.
[00:41:59.480 --> 00:41:59.540]   I hope you enjoyed that.
[00:41:59.540 --> 00:41:59.600]   I hope you enjoyed that.
[00:41:59.600 --> 00:41:59.660]   I hope you enjoyed that.
[00:41:59.660 --> 00:41:59.740]   I hope you enjoyed that.
[00:42:28.800 --> 00:42:29.780]  obediently.
[00:42:29.780 --> 00:42:29.780]   I hope you enjoyed that.
[00:42:29.780 --> 00:42:29.800]   I hope you enjoyed that.
[00:42:29.800 --> 00:42:29.800]   I hope you enjoyed that.
[00:42:29.840 --> 00:42:59.820]  , I hope you enjoyed that.
[00:42:59.820 --> 00:42:59.840]   I hope you enjoyed that.
[00:42:59.880 --> 00:43:09.060]   За
[00:43:09.060 --> 00:43:28.940]   changed. was at
[00:43:29.900 --> 00:43:40.240]  ilik won
[00:43:40.240 --> 00:43:43.940]   cad nad the business. - see the ch had a
[00:43:59.760 --> 00:44:04.980]   a significant risk that radical personal finance will wind up failing.
[00:44:04.980 --> 00:44:07.980]   And as an entrepreneur, you've got to be okay with that.
[00:44:07.980 --> 00:44:10.980]   You've got to recognize that, hey, this thing may not work.
[00:44:10.980 --> 00:44:13.980]   But I'm not going to be bothered by that because
[00:44:13.980 --> 00:44:16.980]   from the beginning I decided that if I try it
[00:44:16.980 --> 00:44:19.980]   and it fails, I'll be much happier
[00:44:19.980 --> 00:44:22.980]   having done that than having not tried it and never knowing.
[00:44:22.980 --> 00:44:25.980]   And so I could easily today go back to the financial planning world.
[00:44:25.980 --> 00:44:28.980]   I could easily obtain a new position.
[00:44:28.980 --> 00:44:29.620]   and I would be more than happy
[00:44:29.620 --> 00:44:29.620]   and I would be much happier having done that than having not tried it and never knowing.
[00:44:29.620 --> 00:44:29.620]   And so I could easily today go back to the financial planning world.
