
[00:00:00.000 --> 00:00:08.000]   Great.
[00:35:22.000 --> 00:35:27.000]   OK so this is now running this program called Man of Man before Linux dot sh.
[00:35:27.000 --> 00:35:31.000]   So please review the license agreement. Of course.
[00:35:31.000 --> 00:35:35.000]   Do I accept the license terms. I've read them very carefully.
[00:35:35.000 --> 00:35:46.000]   OK. And it's going to get installed for you. So I'll just press enter and you'll see here it's going to install it into my home directory to something called member Forge.
[00:35:46.000 --> 00:35:59.000]   Away it goes. OK. So while that's happening let's describe what's going on here. So this is installing not just Python but a whole bunch of libraries. These are all the libraries that it's installing.
[00:35:59.000 --> 00:36:10.000]   OK so it's finished. That was quick. Do you want to this to initialize it. So the answer is yes we do. And what that means is each time in the future that we open our terminal.
[00:36:10.000 --> 00:36:17.000]   It's going to automatically set up our Python environment for us. So type yes.
[00:36:17.000 --> 00:36:23.000]   There we go. So as it says for changes to take effect close and reopen your shell. So let's go ahead and do that.
[00:36:23.000 --> 00:36:42.000]   Jeremy I have a quick question. Yeah. I'm using a Mac and I went through lesson three and I think you had covered something about installing some of the software of including and then getting to the notebook.
[00:36:42.000 --> 00:36:51.000]   I'm a bit confused. So you been to doesn't apply to Mac does it are everything described so far will work perfectly on that. Yes.
[00:36:51.000 --> 00:37:00.000]   But can should I be using the terminal directly. And I do see that. Yes I suggest doing everything exactly as I'm showing it.
[00:37:00.000 --> 00:37:13.000]   Although the Mac version of the install let's see OS X the Mac installer might be not a shell script. No it is a shell script. Yeah. So it looks like it should work. Yeah.
[00:37:13.000 --> 00:37:16.000]   I think I can confirm it is.
[00:37:16.000 --> 00:37:22.000]   Great. Great. Yeah. So that should all work fine. If it doesn't let us know.
[00:37:22.000 --> 00:37:28.000]   But yeah sure. All the steps should be identical. Great. Thanks.
[00:37:28.000 --> 00:37:31.000]   All right.
[00:37:31.000 --> 00:37:40.000]   Okay so I just closed and reopened my shell. So one way to do that is just to close your terminal and open the terminal again and my terminal now looks slightly differently.
[00:37:40.000 --> 00:37:53.000]   It looks good. It's got the word base before it. And this is the way we can tell that we are. We have our Python environment running we're inside it, if you like. So we're all set up to use Python.
[00:37:53.000 --> 00:38:06.000]   So if I now type which Python it doesn't say slash user slash bin slash Python anymore. It actually shows me I'm in my home directory. There's a man before its directory and there's a bin slash Python there.
[00:38:06.000 --> 00:38:20.000]   This is what we want. Okay. You know you've set this up correctly. If you type which Python and you get back an answer that's inside your home directory.
[00:38:20.000 --> 00:38:35.000]   There's a number of reasons for this but really a key one as I say is that the main alternative is that you'll be using your system Python that's the Python that your computer uses for like running stuff in your operating system and that's causes all kinds of confusion with
[00:38:35.000 --> 00:38:39.000]   between what your computer is trying to do and what you're trying to do.
[00:38:39.000 --> 00:38:45.000]   It's also super easy when you're using the one in your home directory because if anything ever goes wrong.
[00:38:45.000 --> 00:38:57.000]   Like just RM minus RF member forage and that deletes everything and this run it again and you're up and running and you want to get to a point where you can do that.
[00:38:57.000 --> 00:39:01.000]   Incredibly easily.
[00:39:01.000 --> 00:39:17.000]   So let me now describe. Okay, so what I'm now going to do is I'm going to I'm going to show you I'm going to start from scratch. Right. So currently I got that all set up there's my man before directory created so I'm going to go RM minus RF member forage.
[00:39:17.000 --> 00:39:25.000]   There we go. I'm going to go to downloads and I'm going to even remove the installer we downloaded.
[00:39:25.000 --> 00:39:29.000]   Okay.
[00:39:29.000 --> 00:39:43.000]   And I got to show you how we can do all the same steps, but using a script. Oh, and also let's delete the thing that it that it added. Remember, I said, Do you want to automatically initialize member forage when you start your terminal.
[00:39:43.000 --> 00:40:05.000]   Well, what it actually did was it edited a secret hidden file. Normally LS doesn't show you secret hidden files but if you add the minus a for all it does. And so you can see now there's a whole bunch of files that we didn't see before anything starting with a dot is by default hidden in the shell.
[00:40:05.000 --> 00:40:18.000]   And this one here called bash RC, which if you're using a Mac will be called dot zsh RC is a script where all the things in that are run automatically. Every time you run your terminal.
[00:40:18.000 --> 00:40:29.000]   So if we edit that script.
[00:40:29.000 --> 00:40:48.000]   You can see at the end of it, they've the installer is set up stuff to initialize condo. So I'm just going to delete all that so that we're really back to scratch. Okay, so if I now close and reopen my shell.
[00:40:48.000 --> 00:40:53.000]   You can see it no longer says base right so we've totally started again.
[00:40:53.000 --> 00:41:09.000]   So I don't like to do anything. I'm going to do more than a couple of times. I don't like to do manually. So I'd like to automate this whole thing. So, which I have. There's a repo called fast setup.
[00:41:09.000 --> 00:41:22.000]   Which Radek knows well because he's helped set up some of this, which contains all the things I use to like very rapidly set up everything on a on a new computer or a new server or whatever.
[00:41:22.000 --> 00:41:36.000]   And there's a thing here called setup Conda.
[00:41:36.000 --> 00:41:51.000]   And I just wanted to ask, can you hear me a little bit better now, I switched a different microphone. Oh, so much wonderful, wonderful. So, now that you can hear me if I could maybe make one tiny comment, please, please.
[00:41:51.000 --> 00:42:07.000]   So, with the comments like we've seen LS dash minus a or there was another one and the dash minus RF. The flags, they often have the same unique for different programs.
[00:42:07.000 --> 00:42:15.000]   They have mv minus R that's recursive.
[00:42:15.000 --> 00:42:28.000]   I don't think you actually need that for me, but, for example, with the LS, the minus h flag, you will see the cross a bunch of other comments that the minus h will be human readable.
[00:42:28.000 --> 00:42:45.000]   And it might sound a little bit overwhelming to see these flags that maybe don't seem to make that much meaning. But since you will be using them across many commands and then there's also a trick to very easy to list the flags for command.
[00:42:45.000 --> 00:42:51.000]   You know, it actually gets quite straightforward.
[00:42:51.000 --> 00:42:54.000]   Yeah, that's a great point.
[00:42:54.000 --> 00:43:03.000]   Many programs have a special flag minus minus help, which will list all the flags, for example.
[00:43:03.000 --> 00:43:08.000]   They can be a bit overwhelming because there's a lot of flags but that doesn't mean you have to know them all.
[00:43:08.000 --> 00:43:18.000]   I mentioned something else which is like, you know, we're covering a lot of stuff pretty quickly and so people who haven't used the terminal before, there's going to be a lot of new information here.
[00:43:18.000 --> 00:43:34.000]   Obviously, it's a good idea to watch the video afterwards, but something that would I think help a lot of people in the community would be if there are bits that you do read it once again afterwards because you want to learn that bit is if you write it down.
[00:43:34.000 --> 00:43:51.000]   Like just write down what, you know, this is what Jeremy said and here's a link to the thing he was talking about, chuck it into a blog post that would like help a lot of people, because, you know, watching a video is takes more time than grabbing the best of bits out of a
[00:43:51.000 --> 00:43:58.000]   out of a blog post so that would be something if you're interested in both giving back to the community and documenting it for yourself.
[00:43:58.000 --> 00:44:10.000]   That would be amazing. And I guess something we should probably talk about in more detail at some point is how to write a blog post.
[00:44:10.000 --> 00:44:25.000]   Sharing things like the blog post or tweets or on the forums. It has a lot of nice benefits. It's not only that you're helping others, but you're also remembering the stuff better or understanding the things better.
[00:44:25.000 --> 00:44:39.000]   And I think that's something in words, you know, I often find myself writing something out and I think I understand it, but it's only at the point of putting it in words that I identify gaps in my understanding.
[00:44:39.000 --> 00:44:42.000]   It's definitely great for remembering things.
[00:44:42.000 --> 00:44:56.000]   The fact that I still have a hard time believing that it is a real thing, but it is. You will write something and you will share it and then somebody else will read it and they will say, hmm, that's useful.
[00:44:56.000 --> 00:45:10.000]   This person maybe knows about what they're talking about and suddenly people will reach out to you asking you to collaborate or maybe even, you know,
[00:45:10.000 --> 00:45:23.000]   you might need to professional opportunities. So it's something that is very far away from what we normally imagine that is possible, but apparently it is a very real thing.
[00:45:23.000 --> 00:45:32.000]   Well, it happened to you for sure. And lots of people in our community. When I look at the most, the biggest contributors to our community.
[00:45:32.000 --> 00:45:42.000]   All of them started out without having a job in AI and pretty much all of them have jobs or research positions in AI now. So probably not a coincidence.
[00:45:42.000 --> 00:46:01.000]   Now this thing we're looking at right now is a Git repo in GitHub. We'll talk more about Git a lot, but for now it's enough to know that GitHub is a place that has lots and lots of coding libraries and coding tools that you can download, edit, play with, explore, and so forth.
[00:46:01.000 --> 00:46:18.000]   So this is a very, very, very useful tool to get extremely familiar with. In this case, we want just one file from it, which is the file called setup condor.sh, which is a list of steps necessary to install member forage on your computer.
[00:46:18.000 --> 00:46:21.000]   As you can see, it's just 28 lines. It's very short.
[00:46:21.000 --> 00:46:26.000]   So how do you download a single file from GitHub?
[00:46:26.000 --> 00:46:38.000]   The way, in my opinion, is just to click on the file, click on raw, because you see at the moment it's got all this stuff around it. We just want the file itself. Click on raw.
[00:46:38.000 --> 00:46:45.000]   And now there's just the script, right? And now if I click on the URL and copy it,
[00:46:45.000 --> 00:47:01.000]   I can now go back here, and who remembers what we type? wget is the way we download something. So if I type wget setup condor, then that's now created a file called setup condor on my computer.
[00:47:01.000 --> 00:47:05.000]   And if I want to look at it, remember we type less.
[00:47:05.000 --> 00:47:10.000]   And there we can see there's the file. So we want to run this script.
[00:47:10.000 --> 00:47:18.000]   And you can see a bash script, a shell is a little mini programming language. So it's got a case statement. So the case, I mean, we can look at what it's going to do, right?
[00:47:18.000 --> 00:47:29.000]   It's going to check the operating system type. If it's Darwin, that's a Mac. It's going to check what kind of CPU you have, and it will download the appropriate member forage for your environment.
[00:47:29.000 --> 00:47:36.000]   And then it's going to check what shell you're using, and then it's going to set up bash or zsh_fish is appropriate.
[00:47:36.000 --> 00:47:47.000]   So echo means printout, sort of printout downloading installer, it'll download it, cowl is just like wget, and it'll run that bash thing we just saw, and it'll initialize it.
[00:47:47.000 --> 00:47:56.000]   There's a handy flag for the member forage installer -b, which is something that causes it to not ask you to check the license and stuff like that, it all happens automatically.
[00:47:56.000 --> 00:48:03.000]   So if I now do exactly what I did before to run my script, I could type bash setup condor.sh, that would work.
[00:48:03.000 --> 00:48:12.000]   Another thing we can do is the very first file here, hash exclamation mark, blah, blah, blah, blah.
[00:48:12.000 --> 00:48:20.000]   This tells our computer how to run this script that says to run it with bash.
[00:48:20.000 --> 00:48:25.000]   So we actually don't need to say bash, then that we can just run it directly.
[00:48:25.000 --> 00:48:33.000]   So we could try doing that, setup bash condor.sh, with a dot slash, this means in the current directory.
[00:48:33.000 --> 00:48:41.000]   And that doesn't work. And the reason that doesn't work is because by default things you download from the internet, you can't just run.
[00:48:41.000 --> 00:48:54.000]   Your computer assumes that, you know, things are dangerous unless you specify otherwise. So we need to tell it that this is something where I want to give it permission to execute this as a script.
[00:48:54.000 --> 00:49:03.000]   So if I type ls -la, actually just ls -a would be fine. No, ls -l.
[00:49:03.000 --> 00:49:15.000]   Oh, here's a trick. I want to repeat the last command, but I want to change the a to an l. So just press up arrow to get back the last command. Backspace, make that an l.
[00:49:15.000 --> 00:49:22.000]   So this thing over here we skipped over before, this is what's called the permissions. This tells you what you're allowed to do with a file.
[00:49:22.000 --> 00:49:31.000]   An r says you're allowed to read it. A w says you're allowed to write to it. And this dash here, if that was an x, it means you're allowed to execute it.
[00:49:31.000 --> 00:49:44.000]   So to change the permissions of a file. So we want to say that the user is allowed to execute it. We use a program called chmod to type chmod and you say, OK, who do you want to change the permissions for?
[00:49:44.000 --> 00:49:52.000]   And I say this user, that's a w. What permissions do you want to change? I want to add the executable permission. So you say plus x.
[00:49:52.000 --> 00:50:00.000]   And then you type the name of the program that you want to change the permissions for. So press tab.
[00:50:00.000 --> 00:50:05.000]   And so now if I go ls -l, I'll press up arrow twice and then hit enter.
[00:50:05.000 --> 00:50:08.000]   There's that x we wanted.
[00:50:08.000 --> 00:50:18.000]   OK, so now I should be able to rerun dot slash set up Conda. So press up a few times to find that there it is and hit enter.
[00:50:18.000 --> 00:50:27.000]   And so that's all going to go ahead and download and set that up for us.
[00:50:27.000 --> 00:50:38.000]   OK, so while that's happening, does anybody that will take a minute or two, does anybody have any questions or comments up to this point?
[00:50:38.000 --> 00:50:52.000]   Hi Jeremy, I had a doubt which version of Python are we using right now? And in case of some other kind of experimentations, if we want to switch Python versions, do we have any recommendations on that?
[00:50:52.000 --> 00:51:02.000]   So this is just going to use whatever the default is. And generally speaking, the default will be the most recent release.
[00:51:02.000 --> 00:51:17.000]   So we can check which version it's going to be by looking at MambaForge and say which version.
[00:51:17.000 --> 00:51:22.000]   The latest installers have Python 3.9.
[00:51:22.000 --> 00:51:30.000]   So I just use whatever is like the default because that's going to be most likely what most other people are using.
[00:51:30.000 --> 00:51:41.000]   There is actually a Python 3.10 now, but the fact that they're making the default 3.9 suggests that folks are thinking that's probably the most reliable thing to use.
[00:51:41.000 --> 00:51:44.000]   So that's what I would also recommend using.
[00:51:44.000 --> 00:52:11.000]   That's a nice thing about MambaForge and I call that it allows you to create environments very easy. So if you just want to experiment with a different Python version or with some different sets of packages, then it's just one command in your terminal that you have to execute and you're transported to a new environment, which is very helpful.
[00:52:11.000 --> 00:52:23.000]   Yeah, although I would recommend not using different versions of Python if you can avoid it. Sometimes you need to because you need to check compatibility like a lot of workplaces use really old versions.
[00:52:23.000 --> 00:52:36.000]   There's actually if you look up Python EOL for end of life, there's a list of like when each version of Python became end of life, which means you shouldn't be using it anymore.
[00:52:36.000 --> 00:52:49.000]   So 3.6 is now officially ended security support. So if your workplace is using 3.6 or older, you should be strongly encouraging them to upgrade because it's insecure.
[00:52:49.000 --> 00:53:07.000]   And so currently 3.7 to 3.10 are all supported versions of Python. I do tend to avoid using the very most recent version for probably a year after it's released because I find it takes a while for everybody to get compatible.
[00:53:07.000 --> 00:53:22.000]   So 3.10 in particular introduced some nasty incompatibilities, which I try to make sure fast AI works with them with all the versions, as long as PyTorch does, but yeah, I'd say the penultimate versions are good one to choose.
[00:53:22.000 --> 00:53:24.000]   And that's the default.
[00:53:24.000 --> 00:53:29.000]   Okay, so look at that we just ran a single command and it downloaded and installed.
[00:53:29.000 --> 00:53:37.000]   Okay, I have run into an error, saying, may I share my screen if that's all right? Yes, of course.
[00:53:37.000 --> 00:53:45.000]   Absolutely. Do I need to do anything? Yeah, you might need to give me permission to share. So I'll stop sharing.
[00:53:45.000 --> 00:53:50.000]   And then.
[00:53:50.000 --> 00:53:54.000]   Okay, got it. Thank you. Okay, so I just have to stop. No worries.
[00:53:54.000 --> 00:54:01.000]   Great. This is great. Our first debugging session. Here we go. Yeah. So this is the error, I think.
[00:54:01.000 --> 00:54:07.000]   Expected environment not found at prefix aborting.
[00:54:07.000 --> 00:54:18.000]   Interesting. Okay, so, did you do the manual version first and then now you're doing the script version? That's right. But I removed the through RM and RF.
[00:54:18.000 --> 00:54:23.000]   Oh, I see the problem. Do you see how you've got base in brackets before your... Yes.
[00:54:23.000 --> 00:54:30.000]   Okay, that means you're, you're inside Conda right now. So you've removed it but then you didn't close and reopen your shell.
[00:54:30.000 --> 00:54:35.000]   Oh, I see. So let's start again so close your, close your shell.
[00:54:35.000 --> 00:54:45.000]   And then reopen it.
[00:54:45.000 --> 00:54:52.000]   Okay now so the next thing you'll see here is it's complaining. No search file or directory. Oh, that's something else. Never mind about that. Okay, great.
[00:54:52.000 --> 00:55:01.000]   So, oh, now, yeah, good. So, that's something that actually just did is she typed CD with nothing after it, and that put her in her home directory.
[00:55:01.000 --> 00:55:07.000]   So you've been to on wsl is a bit weird. Most things put you there by default this one doesn't.
[00:55:07.000 --> 00:55:14.000]   Okay, great. So that should run the setup quantify now. So I would do an IRA minus IRF member forge at this point.
[00:55:14.000 --> 00:55:20.000]   And then, yeah, and then dot slash set up hundred.sh and then, yeah, come back.
[00:55:20.000 --> 00:55:29.000]   That's it. Good. Nice. All right, then come back to us if that causes will do. All right. Thank you so much. My pleasure.
[00:55:29.000 --> 00:55:46.000]   And the Python versions we discussed before. It is very rare, but it happens that you might encounter some code on GitHub, you will want to use your project, and it will use, it will require some Python version, you know, that's much earlier from what you're using.
[00:55:46.000 --> 00:56:05.000]   And in the environment that will be using Jupyter notebook, there is actually a way to run a specific version of Python for a for a given notebook so okay should we add that to our list of things to talk about them that sounds useful.
[00:56:05.000 --> 00:56:08.000]   I put that here things to cover.
[00:56:08.000 --> 00:56:23.000]   Sure, running. I mean, it's, it's useful in the sense that you don't have to switch environments while you're working on something and usually that would be part of your workflow that you want to do something to your data.
[00:56:23.000 --> 00:56:25.000]   Right.
[00:56:25.000 --> 00:56:32.000]   Thanks for that. Great. Okay, so I have to close and read my terminal.
[00:56:32.000 --> 00:56:36.000]   Done. And so again we've got that base there. Okay.
[00:56:36.000 --> 00:56:39.000]   And we'll also double check with which Python.
[00:56:39.000 --> 00:56:42.000]   Okay.
[00:56:42.000 --> 00:56:46.000]   So, with Python installed.
[00:56:46.000 --> 00:56:51.000]   We can run Python scripts,
[00:56:51.000 --> 00:57:01.000]   which isn't that useful of itself unless I mean because we want to be able to like, you know, have some environment we can we can work in, particularly in particular we want Jupyter.
[00:57:01.000 --> 00:57:04.000]   So we can install.
[00:57:04.000 --> 00:57:21.000]   We can install stuff into our Python environment, but actually this Python environment it's more than just Python we can actually install just any program we like, in fact, into into here so basically what
[00:57:21.000 --> 00:57:41.000]   Mamba Forge and Conda and so forth do is they basically create a whole kind of directory of programs and libraries for you in your home directory so it's not just for setting up Python, but for installing literally any program you want.
[00:57:41.000 --> 00:57:52.000]   So you'll find often when you install something you don't just end up with a Python library but there's actually programs that you can run like Jupyter, for example.
[00:57:52.000 --> 00:57:55.000]   Jeremy just very quickly just as a quick interruption.
[00:57:55.000 --> 00:58:07.000]   I think maybe some people might find it helpful even even I find it helpful still try and understand what I guess what it disambiguates Mamba from Conda from using pip, why would you choose one over the other.
[00:58:07.000 --> 00:58:20.000]   So now, exactly. Okay, cool. Perfect. So, so how do you install software into your Python environment. Well, let's start just by talking about how do you install Python libraries into your Conda environment.
[00:58:20.000 --> 00:58:28.000]   And Nick just mentioned the three options you have which is Conda, pip, and Mamba you'll come across all of these three things.
[00:58:28.000 --> 00:58:44.000]   Let's just focus first of all on Conda and Mamba. So, Conda and Mamba are literally two ways of doing the same thing. And they are fully compatible with each other. Mamba is a faster version of Conda.
[00:58:44.000 --> 00:58:46.000]   So why would you use Conda.
[00:58:46.000 --> 00:59:09.000]   Basically, you wouldn't. But Mamba is very new. So the vast majority of documentation you'll find on the internet users Conda. Anytime you see something that says Conda blah, you can type Mamba blah, and generally speaking, that's going to happen much faster, at least if the blah is install.
[00:59:09.000 --> 00:59:13.000]   So, let's look at an example.
[00:59:13.000 --> 00:59:26.000]   If I want to, so a really helpful thing for playing around with Python at the command line is I Python that's interactive Python, which we'll play with now I don't have a Python doesn't exist.
[00:59:26.000 --> 00:59:33.000]   Right. Now when I try to run it, it says, Oh, did you mean some of these other things. This is, this is Ubuntu talking to me.
[00:59:33.000 --> 00:59:43.000]   I don't want. Make sure you never install any Python stuff through through brew on Mac or apt on Ubuntu or whatever.
[00:59:43.000 --> 00:59:53.000]   That's just for the system Python only use Conda Mamba or PIP. The vast majority of the time you're going to be using Mamba. So if I type Mamba.
[00:59:53.000 --> 00:59:58.000]   If I just type Mamba, then it tells me okay well what do you want to do.
[00:59:58.000 --> 01:00:05.000]   In fact, it even says Conda is a tool for blah blah blah so you can see Mamba and Conda really get mixed up right.
[01:00:05.000 --> 01:00:16.000]   These are things you can do most of the time after typing Mamba you're going to be typing install. So, Mamba install, what do you want to install, I Python.
[01:00:16.000 --> 01:00:27.000]   And so what that's going to do is go away and check its index to see if anybody has uploaded something called I Python.
[01:00:27.000 --> 01:00:32.000]   And if they have it's then going to see what are all of the things that I Python depends on.
[01:00:32.000 --> 01:00:38.000]   And so it's now going to check with me. It's going to say okay for in order to use I Python, you got to install all these other things as well.
[01:00:38.000 --> 01:00:42.000]   Is that okay. Let's say yeah, that's absolutely fine.
[01:00:42.000 --> 01:00:46.000]   So that goes ahead and downloads those things.
[01:00:46.000 --> 01:00:50.000]   And it's awesome. And now I can type by Python.
[01:00:50.000 --> 01:01:02.000]   And there we go. So this is a Python REPL, a REPL is a read eval print loop, I can type things.
[01:01:02.000 --> 01:01:07.000]   And it will tell me the answers. Okay.
[01:01:07.000 --> 01:01:20.000]   So this is like a good way for quickly experimenting with stuff in Python on the command line. I don't use it very much because I mainly use Jupyter. But, you know, sometimes you're really quick and dirty stuff can be helpful.
[01:01:20.000 --> 01:01:30.000]   If you've read Wes McKinney's fantastic pandas and so forth book, Python for Data Analysis, he does most things in I Python.
[01:01:30.000 --> 01:01:40.000]   To close I Python, you close it in the same way as the fastest way also to close a bash or zsh shell, which is to hold down Ctrl and press D.
[01:01:40.000 --> 01:01:53.000]   And that exits. Okay, so Ctrl D is a nice fast way of closing probably most programs at your terminal.
[01:01:53.000 --> 01:02:00.000]   Okay, so that's how you install stuff.
[01:02:00.000 --> 01:02:24.000]   So let's install PyTorch, shall we? So PyTorch install. PyTorch, probably get started I guess.
[01:02:24.000 --> 01:02:30.000]   There we are, start locally. All right, get the latest version.
[01:02:30.000 --> 01:02:44.000]   It's choosing Windows, but I'm actually not on Windows, like I'm not WSL is not considered Windows, it's considered Linux. So, Linux, Conda, Python.
[01:02:44.000 --> 01:02:52.000]   And then there's various platforms you can choose. So if you've got an NVIDIA GPU, which you probably don't, you would choose CUDA.
[01:02:52.000 --> 01:03:02.000]   And if you don't, you would choose CPU. I actually do have an NVIDIA GPU on my laptop, but just to keep things simple. I'm going to do this and you can see by default it says Conda install.
[01:03:02.000 --> 01:03:08.000]   So remember, it's going to be faster if I use Mamba install. So I'm going to copy everything except the Conda copy.
[01:03:08.000 --> 01:03:17.000]   And then over here I'll type Mamba and then Ctrl+Shift+V to paste and enter.
[01:03:17.000 --> 01:03:24.000]   There we go. Now, you'll see here it's going to install.
[01:03:24.000 --> 01:03:33.000]   It's going to install PyTorch, Torch Vision, which is the computer vision bit of PyTorch, Torch Audio, the audio bit of PyTorch, just for the CPU.
[01:03:33.000 --> 01:03:45.000]   And this minus C is important. This is called a channel, a PyTorch channel. When people upload stuff that you can install from Mamba,
[01:03:45.000 --> 01:03:51.000]   it can kind of be installed to the main default repository that people grab stuff from,
[01:03:51.000 --> 01:03:58.000]   which in the case of the Mamba Forge package we're using is called Conda Forge, or they can upload it to their own channel.
[01:03:58.000 --> 01:04:07.000]   So PyTorch and FastAI and NVIDIA, we all upload things to our own channel. So to get stuff from the PyTorch channel, you say minus C PyTorch.
[01:04:07.000 --> 01:04:15.000]   That says, please search in PyTorch's channel for this software.
[01:04:15.000 --> 01:04:29.000]   OK, so it's now downloading all the packages that we asked for and also decompressing them.
[01:04:29.000 --> 01:04:42.000]   And so this is basically a list of all of the stuff that it figured out was needed to install PyTorch.
[01:04:42.000 --> 01:04:52.000]   Jeremy, quick question. Let's say that I'm like I just come along and I type in Mamba install PyTorch or something similar,
[01:04:52.000 --> 01:04:58.000]   or even if I'm reading through a blog post or a tutorial and I accidentally type in pip install xyz.
[01:04:58.000 --> 01:05:03.000]   Have I created a cardinal scene for which there is no return?
[01:05:03.000 --> 01:05:07.000]   You mean if you've pip install something rather than Mamba installing the thing?
[01:05:07.000 --> 01:05:08.000]   Correct, yeah.
[01:05:08.000 --> 01:05:18.000]   Yeah. So if you pip install PyTorch, like that is an option here, pip.
[01:05:18.000 --> 01:05:24.000]   The thing is, though, that they've got some extra things here to make sure that you get the version you want.
[01:05:24.000 --> 01:05:41.000]   Right. Mambas, so for one thing, if you've got a graphics card, an NVIDIA graphics card, pip installing won't work unless you do a lot of futzing around with installing NVIDIA's CUDA software development kit,
[01:05:41.000 --> 01:05:44.000]   which you don't want to do that. It's annoying, right?
[01:05:44.000 --> 01:05:51.000]   If you use Condor or Mamba to install it, it installs those libraries automatically for you.
[01:05:51.000 --> 01:05:57.000]   Even if you're using Windows, your NVIDIA GPU will still work.
[01:05:57.000 --> 01:06:07.000]   So, yeah, in general, installing with Condor or Mamba is going to more reliably give you the kind of correct setup of everything without you futzing around.
[01:06:07.000 --> 01:06:13.000]   Because Condor and Mamba are able to install what's called binary dependencies, so it installs all the libraries you need.
[01:06:13.000 --> 01:06:20.000]   If you've accidentally pip installed something, you can just type pip uninstall, the same thing.
[01:06:20.000 --> 01:06:25.000]   Problem is, though, that pip's going to have installed also a bunch of dependencies.
[01:06:25.000 --> 01:06:30.000]   Again, they came from pip rather than Mamba, and again, they might not be the right versions that are optimized for your machine.
[01:06:30.000 --> 01:06:46.000]   So, yeah, you know, I would be inclined to delete my Mamba Forge directory and start again, particularly if I did that for PyTorch, because it's just really important to have a good PyTorch installation.
[01:06:46.000 --> 01:06:51.000]   So that would be certainly my recommendation. I feel a bit the same way when we do Jupyter.
[01:06:51.000 --> 01:06:56.000]   If you accidentally pip install Jupyter, you know, I'd just be inclined to start again.
[01:06:56.000 --> 01:07:06.000]   But if you always type Mamba or Condor instead of pip, just make that your habit, then you won't get out of that situation.
[01:07:06.000 --> 01:07:08.000]   That's helpful.
[01:07:08.000 --> 01:07:10.000]   Yeah, I mean.
[01:07:10.000 --> 01:07:11.000]   Can you hear me?
[01:07:11.000 --> 01:07:12.000]   Yes.
[01:07:12.000 --> 01:07:20.000]   So, for certain things I believe was Tim, there is no way to install it with Condor.
[01:07:20.000 --> 01:07:22.000]   I didn't see it.
[01:07:22.000 --> 01:07:31.000]   There is, we will get to that, don't worry. But for now, my channel for fastchan will let you do that.
[01:07:31.000 --> 01:07:36.000]   Can I just type in or just make a comment?
[01:07:36.000 --> 01:07:46.000]   With pip, now, if I understand correctly, I think like if you just do pip, when you like set up a con environment, that pip is still going to be, I think, for like the system, right?
[01:07:46.000 --> 01:07:50.000]   No, no, no, it's not. It'll be fine.
[01:07:50.000 --> 01:08:00.000]   In fact, let's check, shall we?
[01:08:00.000 --> 01:08:03.000]   Alright, so which pip?
[01:08:03.000 --> 01:08:06.000]   No, we're all good. So it should be a problem.
[01:08:06.000 --> 01:08:15.000]   No, but like if you were to create a new environment, right, then, because right now you're from the base, right? So if you create your own environment.
[01:08:15.000 --> 01:08:18.000]   Well, we haven't got good environments yet, so I wouldn't worry too much.
[01:08:18.000 --> 01:08:22.000]   No worries.
[01:08:22.000 --> 01:08:27.000]   I mean, did you have a question or comment?
[01:08:27.000 --> 01:08:30.000]   It was the same as already discussed.
[01:08:30.000 --> 01:08:44.000]   Okay, so now that we've like installed this stuff, how do we know if it's working? So if I hit up arrow, I can find my ipython, and I could just try importing it.
[01:08:44.000 --> 01:08:52.000]   It is, right? So I can now type torch. and if I hit tab in ipython, it actually gives me a nice list of things.
[01:08:52.000 --> 01:08:57.000]   So for example, torch.tensor.
[01:08:57.000 --> 01:09:03.000]   And you can see it's going to give me the arguments.
[01:09:03.000 --> 01:09:08.000]   There we go. So that's working. So remember, control D.
[01:09:08.000 --> 01:09:16.000]   So yeah, another thing we probably want to install is Jupyter.
[01:09:16.000 --> 01:09:24.000]   So there's a couple of different versions of Jupyter. There's Jupyter lab, there's Jupyter notebook.
[01:09:24.000 --> 01:09:34.000]   So we'll probably use lab. Because we're using memberforge, this condorforge channel, we're going to be using automatically, right?
[01:09:34.000 --> 01:09:47.000]   So we don't need this -c condorforge. So we can just type member, install Jupyter lab.
[01:09:47.000 --> 01:09:54.000]   Okay, so that's got a lot of stuff. It's a big piece of software.
[01:09:54.000 --> 01:09:59.000]   But that's okay.
[01:09:59.000 --> 01:10:04.000]   Doesn't take too long. There we go. It's finished.
[01:10:04.000 --> 01:10:09.000]   Okay, so now we're ready to create our first notebook.
[01:10:09.000 --> 01:10:15.000]   So it's nice to keep things organized. So let's create a directory for our notebooks.
[01:10:15.000 --> 01:10:29.000]   So I'll make a directory called nbs and change directory to nbs. So that's empty. Okay. And so now we can type Jupyter lab.
[01:10:29.000 --> 01:10:39.000]   And there it is. Okay, so it got a little bit confused here in my version because WSL
[01:10:39.000 --> 01:10:47.000]   tried to open my browser. But my browser is a Windows application, not a Ubuntu application. So it tried to
[01:10:47.000 --> 01:10:58.000]   open it up and said there was an error. Now it's actually fine. I can still use this. So you can see here, if I click, if these are hyperlinks, I can
[01:10:58.000 --> 01:11:02.000]   control click on it.
[01:11:02.000 --> 01:11:04.000]   And it opens it up.
[01:11:04.000 --> 01:11:21.000]   There it is. Right. If I don't want it to complain like that, you can say don't open a browser by typing no dash browser.
