
[00:00:00.040 --> 00:00:09.540]   quin
[00:32:23.960 --> 00:32:23.960]   I mean, I think for me it's as important as going to the gym.
[00:32:23.960 --> 00:32:23.960]   I mean, I think for me it's as important as going to the gym.
[00:32:23.960 --> 00:32:23.960]   I mean, I think for me it's as important as going to the gym.
[00:32:23.960 --> 00:32:23.960]   I mean, I think for me it's as important as going to the gym.
[00:32:23.960 --> 00:32:23.960]   I mean, I think for me it's as important as going to the gym.
[00:32:23.960 --> 00:32:23.960]   I mean, I think for me it's as important as going to the gym.
[00:32:23.960 --> 00:32:23.960]   I mean, I mean, I think for me it's as important as going to the gym.
[00:32:23.980 --> 00:32:53.980]   I mean, I think for me it's as important as going to the gym.
[00:32:53.980 --> 00:32:53.980]   I mean, I think for me it's as important as going to the gym.
[00:32:53.980 --> 00:32:53.980]   I mean, I think for me it's as important as going to the gym.
[00:32:53.980 --> 00:32:53.980]   I mean, I think for me it's as important as going to the gym.
[00:32:53.980 --> 00:32:53.980]   I mean, I think for me it's as important as going to the gym.
[00:32:53.980 --> 00:32:53.980]   I mean, I think for me it's as important as going to the gym.
[00:32:53.980 --> 00:32:53.980]   I mean, I think for me it's as important as going to the gym.
[00:32:53.980 --> 00:32:53.980]   I mean, I think for me it's as important as going to the gym.
[00:32:53.980 --> 00:32:53.980]   I mean, I think for me it's as important as going to the gym.
[00:32:53.980 --> 00:32:53.980]   I mean, I mean, I think for me it's as important as going to the gym.
[00:32:54.000 --> 00:33:24.000]   I mean, I think for me it's as important as going to the gym.
[00:33:24.000 --> 00:33:24.000]   I mean, I think for me it's as important as going to the gym.
[00:33:24.000 --> 00:33:24.000]   I mean, I think for me it's as important as going to the gym.
[00:33:24.000 --> 00:33:24.000]   I mean, I think for me it's as important as going to the gym.
[00:33:24.000 --> 00:33:24.000]   I mean, I think for me it's as important as going to the gym.
[00:33:24.000 --> 00:33:24.000]   I mean, I think for me it's as important as going to the gym.
[00:33:24.000 --> 00:33:24.000]   I mean, I think for me it's as important as going to the gym.
[00:33:24.000 --> 00:33:24.000]   I mean, I think for me it's as important as going to the gym.
[00:33:24.000 --> 00:33:24.000]   I mean, I mean, I think for me it's as important as going to the gym.
[00:33:24.020 --> 00:33:54.020]   I mean, I think for me it's as important as going to the gym.
[00:33:54.020 --> 00:33:54.020]   I mean, I think for me it's as important as going to the gym.
[00:33:54.020 --> 00:33:54.020]   I mean, I think for me it's as important as going to the gym.
[00:33:54.020 --> 00:33:54.020]   I mean, I think for me it's as important as going to the gym.
[00:33:54.020 --> 00:33:54.020]   I mean, I think for me it's as important as going to the gym.
[00:33:54.020 --> 00:33:54.020]   I mean, I think for me it's as important as going to the gym.
[00:33:54.020 --> 00:33:54.020]   I mean, I think for me it's as important as going to the gym.
[00:33:54.020 --> 00:33:54.020]   I mean, I think for me it's as important as going to the gym.
[00:33:54.020 --> 00:33:54.020]   I mean, I think for me it's as important as going to the gym.
[00:33:54.020 --> 00:33:54.020]   I mean, I mean, I think for me it's as important as going to the gym.
[00:33:54.040 --> 00:34:24.040]   I mean, I think for me it's as important as going to the gym.
[00:34:24.040 --> 00:34:24.040]   I mean, I think for me it's as important as going to the gym.
[00:34:24.040 --> 00:34:24.040]   I mean, I think for me it's as important as going to the gym.
[00:34:24.040 --> 00:34:24.040]   I mean, I think for me it's as important as going to the gym.
[00:34:24.040 --> 00:34:24.040]   I mean, I think for me it's as important as going to the gym.
[00:34:24.040 --> 00:34:24.040]   I mean, I think for me it's as important as going to the gym.
[00:34:24.040 --> 00:34:24.040]   I mean, I think for me it's as important as going to the gym.
[00:34:24.040 --> 00:34:24.040]   I mean, I think for me it's as important as going to the gym.
[00:34:24.040 --> 00:34:24.040]   I mean, I think for me it's as important as going to the gym.
[00:34:24.040 --> 00:34:24.040]   I mean, I mean, I think for me it's as important as going to the gym.
[00:34:24.080 --> 00:34:54.060]  ертв.
[00:34:54.060 --> 00:34:54.060]   I mean, I think for me it's as important as going to the gym.
[00:34:54.060 --> 00:34:54.060]   I mean, I think for me it's as important as going to the gym.
[00:34:54.060 --> 00:34:54.060]   I mean, I think for me it's as important as going to the gym.
[00:34:54.060 --> 00:34:54.060]   I mean, I think for me it's as important as going to the gym.
[00:34:54.060 --> 00:34:54.060]   I mean, I think for me it's as important as going to the gym.
[00:34:54.060 --> 00:34:54.060]   I mean, I think for me it's as important as going to the gym.
[00:34:54.060 --> 00:34:54.060]   I mean, I think for me it's as important as going to the gym.
[00:34:54.060 --> 00:34:54.060]   I mean, I mean, I think for me it's as important as going to the gym.
[00:34:54.100 --> 00:35:24.080]  ,
[00:35:24.080 --> 00:35:24.080]   I mean, I think for me it's as important as going to the gym.
[00:35:24.080 --> 00:35:24.080]   I mean, I think for me it's as important as going to the gym.
[00:35:24.080 --> 00:35:24.080]   I mean, I think for me it's as important as going to the gym.
[00:35:24.080 --> 00:35:24.080]   I mean, I think for me it's as important as going to the gym.
[00:35:24.080 --> 00:35:24.080]   I mean, I think for me it's as important as going to the gym.
[00:35:24.080 --> 00:35:24.080]   I mean, I think for me it's as important as going to the gym.
[00:35:24.080 --> 00:35:24.080]   I mean, I think for me it's as important as going to the gym.
[00:35:24.080 --> 00:35:24.080]   I mean, I think for me it's as important as going to the gym.
[00:35:24.100 --> 00:35:54.100]   I mean, I think for me it's as important as going to the gym.
[00:35:54.100 --> 00:35:54.100]   I mean, I think for me it's as important as going to the gym.
[00:35:54.100 --> 00:35:54.100]   I mean, I think for me it's as important as going to the gym.
[00:35:54.100 --> 00:35:54.100]   I mean, I think for me it's as important as going to the gym.
[00:35:54.100 --> 00:35:54.100]   I mean, I think for me it's as important as going to the gym.
[00:35:54.100 --> 00:35:54.100]   I mean, I think for me it's as important as going to the gym.
[00:35:54.100 --> 00:35:54.100]   I mean, I think for me it's as important as going to the gym.
[00:35:54.100 --> 00:35:54.100]   I mean, I think for me it's as important as going to the gym.
[00:35:54.100 --> 00:35:54.100]   I mean, I think for me it's as important as going to the gym.
[00:35:54.100 --> 00:35:54.100]   I mean, I think for me it's as important as going to the gym.
[00:35:54.100 --> 00:35:54.100]   I mean, I mean, I think for me it's as important as going to the gym.
[00:35:54.140 --> 00:36:24.120]   I mean, I think for me it's as important as going to the gym.
[00:36:24.120 --> 00:36:24.120]   I mean, I think for me it's as important as going to the gym.
[00:36:24.120 --> 00:36:24.120]   I mean, I think for me it's as important as going to the gym.
[00:36:24.120 --> 00:36:24.120]   I mean, I think for me it's as important as going to the gym.
[00:36:24.120 --> 00:36:24.120]   I mean, I think for me it's as important as going to the gym.
[00:36:24.120 --> 00:36:24.120]   I mean, I think for me it's as important as going to the gym.
[00:36:24.120 --> 00:36:24.120]   I mean, I think for me it's as important as going to the gym.
[00:36:24.120 --> 00:36:24.120]   I mean, I think for me it's as important as going to the gym.
[00:36:24.120 --> 00:36:24.120]   I mean, I mean, I think for me it's as important as going to the gym.
[00:36:24.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.140 --> 00:36:54.140]   I mean, I think for me it's as important as going to the gym.
[00:36:54.180 --> 00:37:24.160]   I mean, I think for me it's as important as going to the gym.
[00:37:24.160 --> 00:37:24.160]   I mean, I think for me it's as important as going to the gym.
[00:37:24.160 --> 00:37:24.160]   I mean, I think for me it's as important as going to the gym.
[00:37:24.160 --> 00:37:24.160]   I mean, I think for me it's as important as going to the gym.
[00:37:24.160 --> 00:37:24.160]   I mean, I think for me it's as important as going to the gym.
[00:37:24.160 --> 00:37:24.160]   I mean, I think for me it's as important as going to the gym.
[00:37:24.160 --> 00:37:24.160]   I mean, I think for me it's as important as going to the gym.
[00:37:24.160 --> 00:37:24.160]   I mean, I think for me it's as important as going to the gym.
[00:37:24.160 --> 00:37:24.160]   I mean, I mean, I think for me it's as important as going to the gym.
[00:37:24.180 --> 00:37:54.180]   I mean, I think for me it's as important as going to the gym.
[00:37:54.180 --> 00:37:54.180]   I mean, I think for me it's as important as going to the gym.
[00:37:54.180 --> 00:37:54.180]   I mean, I think for me it's as important as going to the gym.
[00:37:54.180 --> 00:37:54.180]   I mean, I think for me it's as important as going to the gym.
[00:37:54.180 --> 00:37:54.180]   I mean, I think for me it's as important as going to the gym.
[00:37:54.180 --> 00:37:54.180]   I mean, I think for me it's as important as going to the gym.
[00:37:54.180 --> 00:37:54.180]   I mean, I think for me it's as important as going to the gym.
[00:37:54.180 --> 00:37:54.180]   I mean, I think for me it's as important as going to the gym.
[00:37:54.180 --> 00:37:54.180]   I mean, I mean, I think for me it's as important as going to the gym.
[00:37:54.200 --> 00:38:24.200]   You know, not so much in professional fighting, but if you're in a relationship,
[00:38:24.200 --> 00:38:24.200]   you know, not so much in professional fighting, but if you're in a relationship,
[00:38:24.200 --> 00:38:24.200]   you know, not so much in professional fighting, but if you're in a relationship,
[00:38:24.200 --> 00:38:24.200]   you know, not so much in professional fighting, but if you're in a relationship,
[00:38:24.200 --> 00:38:24.200]   you know, not so much in professional fighting, but if you're in a relationship,
[00:38:24.200 --> 00:38:24.200]   you know, not so much in professional fighting, but if you're in a relationship,
[00:38:24.200 --> 00:38:24.200]   you know, not so much in professional fighting, but if you're in a relationship,
[00:38:24.200 --> 00:38:24.200]   you know, not so much in professional fighting, but if you're in a relationship,
[00:38:24.240 --> 00:38:33.920]   remember
[00:38:33.920 --> 00:38:34.520]   it see saw
[00:38:34.520 --> 00:38:35.080]   escol "еч
[00:38:35.080 --> 00:38:50.120]   G Let Z is a minus play led 두 Lee may 3 tevegin, I'm, .D,G,I,D,D,J,C,C,P,C,\,X,eded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, r, as so this is the cas close the me won't the troll set a look the a me is a new by sound happened in their Mountain piece of the Easha Tinyğ I'm communitywriting qu�ing posters let sabia Mer dedic associatesちゃん Nationite all為 crazy dentули certific Guide именно er blind started不會 manage Torah sea sistema نہ
[00:38:50.120 --> 00:38:51.520]   Bowl over the De* Mar everyone let's no
[00:38:51.520 --> 00:38:51.900]   requirement in your say no int, Undertemen inia Wu no
[00:38:51.920 --> 00:39:19.240]   wait hasn't come out yet oh hasn't come out yet okay yeah I asked Mike kids are great they came in there they're super smart kids goodness gracious they ask great questions ask Mike what he did with the piece of Evander's ear that he bit off did you remember he's I gave back to him here you go sorry about that he sells edibles that are in the shape of ears with a little bite out of it yeah that his his life has been incredible he's a
[00:39:19.240 --> 00:39:19.240]   wait hasn't come out yet oh hasn't come out yet okay yeah I asked Mike kids are great they came in there they're super smart kids goodness gracious they ask great questions ask Mike what he did with the piece of Evander's ear that he bit off did you remember he's I gave back to him here you go sorry about that he sells edibles that are in the shape of ears with a little bite out of it yeah that his his life has been incredible he's a little bite out of it yeah that his his life has been incredible he's a
[00:39:19.240 --> 00:39:49.260]  , yeah he his family you get the sense that they're really a great family they're really Mike Tyson that's a heck of a journey right there of a man yeah my now friend Tim Armstrong like I said Lee's here from Ramsey he put it best he said you know that Mike Tyson's life is Shakespearean and you know down up down up down up down up down up and just let's the arcs of his life are just like the arcs of his life are just like
[00:39:49.280 --> 00:39:52.960]   serving only in America kind of tail too right so speaking of
[00:39:52.960 --> 00:39:54.680]   serving only in America kind of tail too right so speaking of Shakespeare I recently gotten to know Neri
[00:39:54.680 --> 00:39:58.380]   Shakespeare I recently gotten to know Neri Oxman who's this incredible scientist that
[00:39:58.380 --> 00:40:00.440]   Oxman who's this incredible scientist that works at the intersection of nature and
[00:40:00.440 --> 00:40:05.460]   works at the intersection of nature and engineering and she reminded me of this
[00:40:05.460 --> 00:40:08.760]   engineering and she reminded me of this Anna Ahmad of a line this is this great
[00:40:08.760 --> 00:40:12.360]   Anna Ahmad of a line this is this great Soviet poet that I really love from over a
[00:40:12.360 --> 00:40:14.960]   Soviet poet that I really love from over a century ago that each of our lives is a
[00:40:14.960 --> 00:40:16.620]   century ago that each of our lives is a Shakespearean drama race to the
[00:40:16.620 --> 00:40:19.280]   Shakespearean drama race to the thousand degree so I have to ask why do you
[00:40:19.280 --> 00:40:19.280]   a thousand degree so I have to ask why do you
[00:40:19.280 --> 00:40:19.280]   a thousand degree so I have to ask why do you
[00:40:19.320 --> 00:40:49.300]   think humans are attracted to this kind
[00:40:49.300 --> 00:40:49.300]   think humans are attracted to this kind of Shakespearean drama is there some
[00:40:49.320 --> 00:40:51.580]   Shakespearean drama is there some I mean I think about who I chose to work for
[00:40:51.580 --> 00:40:53.580]   I mean I think about who I chose to work for as an undergraduate right I was a you know
[00:40:53.580 --> 00:40:55.320]   as an undergraduate right I was a you know barely finished high school finally get to
[00:40:55.320 --> 00:40:59.260]   barely finished high school finally get to college barely I got this is really
[00:40:59.260 --> 00:41:01.140]   college barely I got this is really embarrassing and not something to aspire
[00:41:01.140 --> 00:41:03.340]   embarrassing and not something to aspire to you know I was you know thrown out of
[00:41:03.340 --> 00:41:06.060]   to you know I was you know thrown out of the dorms for fighting my early passed my
[00:41:06.060 --> 00:41:08.920]   the dorms for fighting my early passed my classes you know the girlfriend and I split
[00:41:08.920 --> 00:41:10.880]   classes you know the girlfriend and I split up I mean I was living in a squat got
[00:41:10.880 --> 00:41:12.760]   up I mean I was living in a squat got into big fight was getting in trouble
[00:41:12.760 --> 00:41:14.680]   into big fight was getting in trouble with the law I eventually got my act together
[00:41:15.600 --> 00:41:44.700]   with the law I eventually got my act together and I was like I'm gonna go back to school
[00:41:44.700 --> 00:41:44.700]   and I was like I'm gonna go back to school start working for somebody who do I
[00:41:44.740 --> 00:41:54.240]   load
[00:41:54.240 --> 00:41:58.640]   in the make don
[00:41:58.640 --> 00:42:14.740]  う?,,,,,, ab
[00:45:25.500 --> 00:45:31.720]   my
[00:45:31.720 --> 00:45:54.620]   on say,,,,
[00:45:54.660 --> 00:46:23.820]   I'm not sure what you're talking about.
[00:46:23.820 --> 00:46:23.820]   I'm not sure what you're talking about.
[00:46:23.820 --> 00:46:23.820]   I'm not sure what you're talking about.
[00:46:23.820 --> 00:46:23.820]   I'm not sure what you're talking about.
[00:46:23.820 --> 00:46:23.820]   I'm not sure what you're talking about.
[00:46:23.820 --> 00:46:23.860]   I'm not sure what you're talking about.
[00:46:23.860 --> 00:46:23.900]   I'm not sure what you're talking about.
[00:46:23.900 --> 00:46:23.980]   I'm not sure what you're talking about.
[00:46:23.980 --> 00:46:24.060]   I'm not sure what you're talking about.
[00:46:24.060 --> 00:46:24.100]   I'm not sure what you're talking about.
[00:46:24.100 --> 00:46:24.160]   I'm not sure what you're talking about.
[00:46:24.160 --> 00:46:24.240]   I'm not sure what you're talking about.
[00:46:24.240 --> 00:46:24.280]   I'm not sure what you're talking about.
[00:46:24.280 --> 00:46:24.300]   I'm not sure what you're talking about.
[00:46:24.300 --> 00:46:24.340]   I'm not sure what you're talking about.
[00:46:24.340 --> 00:46:24.380]   I'm not sure what you're talking about.
[00:46:24.380 --> 00:46:24.400]   I'm not sure what you're talking about.
[00:46:24.400 --> 00:46:24.420]   I'm not sure what you're talking about.
[00:46:24.420 --> 00:46:54.260]  , I'm not sure what you're talking about.
[00:46:54.260 --> 00:46:54.320]   I'm not sure what you're talking about.
[00:46:54.320 --> 00:46:54.340]   I'm not sure what you're talking about.
[00:46:54.340 --> 00:46:54.360]   I'm not sure what you're talking about.
[00:46:54.360 --> 00:46:54.380]   I'm not sure what you're talking about.
[00:46:54.380 --> 00:46:54.400]   I'm not sure what you're talking about.
[00:46:54.400 --> 00:46:54.440]   I'm not sure what you're talking about.
[00:46:54.440 --> 00:46:54.440]   I'm not sure what you're talking about.
[00:46:54.480 --> 00:47:07.920]   dungeon
[00:47:07.920 --> 00:47:21.580]   Believe have be what's muddy Un But And enseñ gradient continue the last, the, the, the, the, the, the, the, play, whatever, buy, speak,. Plug.ructor. Hutch. Judge 12 B. C. lasted.幫.ruktur. consumption. em,
[00:47:21.580 --> 00:47:22.720]  've
[00:47:22.720 --> 00:47:24.180]  A
[00:47:24.260 --> 00:47:52.520]   In
[00:49:49.560 --> 00:49:51.560]   I'm not sure if you know what I'm saying.
[00:49:51.560 --> 00:49:52.560]   But I do a prayer that God works through us, whatever God is to you.
[00:49:52.560 --> 00:49:58.000]   He, him, her, whatever, life force, nature, whatever it is to you, right?
[00:49:58.000 --> 00:49:59.700]   That it works through us.
[00:49:59.700 --> 00:50:06.080]   And so I do a prayer, I'll just describe it, where I ask, I make an ask to help remove
[00:50:06.080 --> 00:50:09.560]   my defects, my character defects.
[00:50:09.560 --> 00:50:15.480]   I pray to God to help remove my character defects so that I can show up better in
[00:50:15.480 --> 00:50:19.140]   all the roles of my life and do good work.
[00:50:19.140 --> 00:50:19.560]   Which for me is a great thing.
[00:50:19.560 --> 00:50:19.560]   00:15:15.720,00:15:18.720 I think it's a great thing.
[00:50:19.560 --> 00:50:19.560]   00:15:18.720,00:15:21.720 I think it's a great thing.
[00:50:19.600 --> 00:50:48.600]   And so you might say, well, how is that different than a meditation?
[00:50:48.600 --> 00:50:49.600]   Well, I'm acknowledging that there is something that's bigger than me, bigger than nature, as I understand it, that I cannot understand or control, nor do I want to.
[00:50:49.640 --> 00:51:14.160]   even
[00:51:14.160 --> 00:51:18.400]  inst am a is over son showed educación minus35, by,,,,,,, money? Or er e heart a work a work a stuff a stuff. So,一些, É, stinky, discuss the, swing. I, at. I'm. I'm.
[00:55:10.820 --> 00:55:14.040]   Super
[00:55:14.040 --> 00:55:20.320]   rarely I I edge,,,, вел
[00:55:20.320 --> 00:55:26.920]   S I play the
[00:55:40.840 --> 00:55:42.700]   gun
[00:55:42.700 --> 00:56:08.260]   I, but heart. N, Ry,,,,, is這
[00:56:09.760 --> 00:56:17.820]   When my body would break down or I'd get sick a lot, I don't get sick much anymore. Occasionally about once every 18 months to two years, I get a, you know, I'll get something. But, um,
[00:56:17.820 --> 00:56:26.840]   You know, I used to break my foot skateboarding all the time. I couldn't understand what's wrong with my body. I'm getting injured. I can't do what everyone else can. Now I developed more slowly at a long arc of puberty.
[00:56:26.840 --> 00:56:38.680]   Um, but I, so that was part of it. I was still developing, but you know, how to get your body stronger, how to build endurance, but no one told me the information wasn't there. So a lot of what I put out there is the information that
[00:56:38.680 --> 00:56:38.680]   I wish I had had the information.
[00:56:38.700 --> 00:57:07.620]  , I wish I had had because once I had it, I was like, wow, like a, this stuff really works. B it's grounded in something real, you know, some place, sometimes certain protocols are a combination of, you know, animal, human and animal and human studies, sometimes clinical trials. Sometimes there's some mechanistic conjecture for some, not all I always make clear, which but in the end, like, figuring out how things work so that we can be happier, healthier, more productive, suffer less.
[00:57:07.660 --> 00:57:18.820]   provide
[00:57:18.820 --> 00:57:33.660]   the,,,'t
[00:57:37.700 --> 00:57:41.680]  我們的 air's show
[00:57:41.680 --> 00:57:51.000]   12 in the me is
[00:59:00.200 --> 00:59:10.360]   because
[00:59:10.360 --> 00:59:11.700]   but, the -- Kne--
[00:59:11.700 --> 00:59:29.320]  acht察 Pet S LS C S L S 게 matter よ today. I'm something, I'm, but, but, and, and, and, and, and, and, and, and,,,,,,,,,,,,,,,,,,,,,,,,,,., in .う Human S deadly tych trades PERJести600urt��H slightly Intelég qualify gat relie comport voice Pun Twe's Mickey gl perfection Poland ratioみたい Momi million SIei Lak they're were flow sets coraçãojet behind the close word prevail Bert's theTAS Ab remembered the ring disrespectful 123 grand of the lead at the thing instead of the man. I mean the cin Young investigation nói Fred's no matters Mods. I'm the
[00:59:29.360 --> 00:59:32.240]  ,
[00:59:32.240 --> 00:59:54.260]   only I Keep
[00:59:54.260 --> 00:59:58.060]  ,,,,
[00:59:58.640 --> 01:00:08.520]   rend the be
[01:00:08.520 --> 01:00:08.900]   8 er a,,,,
[01:00:08.900 --> 01:00:11.380]   reason made a amount of the con, Worlds,
[01:00:27.380 --> 01:00:56.000]   the number two, three and four males are aware that he's doing these vigor displays, but they're also aware because in priming evolution, they got some extra for brain to not as much as us, but they got some and they're aware that the vigor displays are displays that.
[01:00:56.000 --> 01:00:56.120]   The vigor displays are displays that because they've done them as well in a different context.
[01:00:56.140 --> 01:01:24.960]   and they're aware that they're doing them as well in a different context.
[01:01:24.980 --> 01:01:53.720]  ,
[01:01:53.720 --> 01:01:53.900]   they're aware that they're doing them as well in a different context.
[01:01:53.900 --> 01:01:53.960]   they're aware that they're doing them as well in a different context.
[01:01:53.960 --> 01:01:54.060]   they're aware that they're doing them as well in a different context.
[01:01:54.060 --> 01:01:54.160]   they're aware that they're doing them as well in a different context.
[01:01:54.160 --> 01:01:54.220]   they're aware that they're doing them as well in a different context.
[01:01:54.220 --> 01:01:54.300]   they're aware that they're doing them as well in a different context.
[01:01:54.300 --> 01:01:54.360]   they're aware that they're doing them as well in a different context.
[01:01:54.360 --> 01:01:54.420]   they're aware that they're doing them as well in a different context.
[01:01:54.420 --> 01:01:54.460]   they're aware that they're doing them as well in a different context.
[01:01:54.460 --> 01:01:54.520]   they're aware that they're doing them as well in a different context.
[01:01:54.520 --> 01:01:54.600]   they're aware that they're doing them as well in a different context.
[01:01:54.600 --> 01:01:54.620]   they're aware that they're doing them as well in a different context.
[01:01:54.640 --> 01:02:02.840]   But the current alpha did that to get where he is.
[01:02:02.840 --> 01:02:03.000]   But the current alpha did that to get where he is.
[01:02:03.000 --> 01:02:07.140]   But the current alpha did that to get where he is. So he knows that they're doing this grooming thing.
[01:02:07.140 --> 01:02:07.200]   So he knows that they're doing this grooming thing.
[01:02:07.200 --> 01:02:09.500]   So he knows that they're doing this grooming thing. But they're not might not be sincere about the grooming.
[01:02:09.500 --> 01:02:09.600]   But they're not might not be sincere about the grooming.
[01:02:09.600 --> 01:02:10.140]   But they're not might not be sincere about the grooming. So what does he do?
[01:02:10.140 --> 01:02:10.200]   So what does he do?
[01:02:10.200 --> 01:02:14.240]   So what does he do? He takes the whole troop on a raid to another troop and sees who will fight for him and who won't.
[01:02:14.240 --> 01:02:14.280]   He takes the whole troop on a raid to another troop and sees who will fight for him and who won't.
[01:02:14.300 --> 01:02:38.480]   So it's very interesting and it gets to something I hope we'll have an opportunity to talk about because it's something that I'm obsessed with lately is this notion of overt versus covert contracts right there are overt contracts where you change work for money or you exchange any number of things in an overt way.
[01:02:38.480 --> 01:02:39.580]   so it's very interesting and it gets to something I hope we'll have an opportunity to talk about because it's something that I'm obsessed with lately is this notion of overt versus covert contracts right there are overt contracts where you change work for money or you exchange any number of things in an overt way.
[01:02:39.580 --> 01:02:39.640]   so it's very interesting and it gets to something that I hope will have an opportunity to talk about because it's something that I'm obsessed with lately is this notion of overt contracting of this notion of overt contracting of behavior for species that normally we don't think of course of this is this one of behavior of behavior.
[01:02:40.540 --> 01:03:09.640]  , but then there are covert contracts and those take on a very different form and always lead to in my belief bad things well how much of human and chimp relationships are over versus covert well here's one thing that we know is true dogs and humans the dog to human relationship is 100% overt they don't manipulate you now you could say they do in the sense that they learn that if they look a certain way or roll on their back they get food.
[01:03:09.680 --> 01:03:19.760]  ,
[01:03:19.760 --> 01:03:20.980]   thin and,add ce
[01:03:20.980 --> 01:03:37.900]   hear or, like,--,,,,, specifically cere
[01:03:38.500 --> 01:03:43.820]   we're going to do some work together.
[01:03:43.820 --> 01:03:45.320]   You're going to get a percentage of money.
[01:03:45.320 --> 01:03:46.720]   I'm going to get a percentage of money.
[01:03:46.720 --> 01:03:52.520]   Could look just like the overt contract, but secretly, I'm resentful that I got
[01:03:52.520 --> 01:03:53.620]   the percentage I got.
[01:03:53.620 --> 01:03:59.620]   So what I start doing is covertly taking something else.
[01:03:59.620 --> 01:04:00.620]   What do I take?
[01:04:00.620 --> 01:04:04.620]   Maybe I take the opportunity to jab you verbally every once in a while.
[01:04:04.620 --> 01:04:07.220]   Maybe I take the opportunity to show up late.
[01:04:07.220 --> 01:04:07.320]   - Mm-hmm.
[01:04:07.320 --> 01:04:07.320]   - Maybe I take the opportunity to show up late.
[01:04:07.320 --> 01:04:07.320]   - Mm-hmm.
[01:04:07.320 --> 01:04:07.320]   - Maybe I take the opportunity to show up late.
[01:04:07.320 --> 01:04:07.320]   - Mm-hmm.
[01:04:07.320 --> 01:04:07.320]   - Maybe I take the opportunity to show up late.
[01:04:07.320 --> 01:04:07.320]   - Mm-hmm.
[01:04:07.320 --> 01:04:07.320]   - Maybe I take the opportunity to show up late.
[01:04:07.320 --> 01:04:07.420]   - Mm-hmm.
[01:04:07.420 --> 01:04:07.520]   - Maybe I take the opportunity to show up late.
[01:04:07.660 --> 01:04:37.360]  , so that I might start a business with them.
[01:04:37.400 --> 01:04:48.080]   ,
[01:04:48.080 --> 01:04:48.420]   and a
[01:04:48.420 --> 01:05:05.780]   déiov ginger 100 . .. I like to do. But, might,ihi,ann, bowling, Wi,,,,,,, but,,, - because I'm in the art and -
[01:05:05.780 --> 01:05:07.380]   disappointed enough I
[01:05:07.420 --> 01:05:17.620]   I
[01:05:17.620 --> 01:05:19.500]   coverage case acquire o aye when,, ,,,,, which hevre the fプ providers the K. F. It. It. F. EN, become a, thank, de, Herz, con,,,,,,,,,,,,,,,,,,,,,,, the i'm ha半 de mean a justson�
[01:05:19.500 --> 01:05:35.280]  �� 15視 all sets a
[01:05:35.360 --> 01:05:45.620]   stuff
[01:05:45.620 --> 01:06:04.680]   ah a more bus
[01:06:05.380 --> 01:06:35.360]   Mushes are more sophisticated than a dog. More sophisticated than a chimpanzee, but they do it too. And it's because it's often harder to deal with in the short term to deal with the real sense of this is scary. This feels threatening than it is to play out all the iterations. It takes a lot of brain work. You're playing chess and go simultaneously trying to figure out where things are going.
[01:06:35.360 --> 01:06:35.360]   It's a lot of brain work. You're playing chess and go simultaneously trying to figure out where things are going.
[01:06:35.360 --> 01:06:35.360]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:06:35.360 --> 01:06:35.360]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:06:35.360 --> 01:06:35.360]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:06:35.360 --> 01:06:35.360]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:06:35.360 --> 01:06:35.360]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:06:35.400 --> 01:07:05.380]  ,
[01:07:05.380 --> 01:07:05.380]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:07:05.380 --> 01:07:05.380]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:07:05.380 --> 01:07:05.380]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:07:05.380 --> 01:07:05.380]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:07:05.380 --> 01:07:05.380]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:07:05.380 --> 01:07:05.380]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:07:05.380 --> 01:07:05.380]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:07:05.380 --> 01:07:05.380]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:07:05.380 --> 01:07:05.380]   You're playing chess and go simultaneously trying to figure out where things are going.
[01:07:05.400 --> 01:07:35.400]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
